あ	a̠
きょうしょう	kʲ o̞ː ɕ o̞ː
きょうしんしょう	kʲ o̞ː ɕ ĩ ɰ̃ ɕ o̞ː
きょうじ	kʲ o̞ː ʑ i
きょうじつ	kʲ o̞ː ʑ i t͡s ɨᵝ
きょうじゅ	kʲ o̞ː ʑ ɨᵝ
きょうじょう	kʲ o̞ː ʑ o̞ː
きょうじん	kʲ o̞ː ʑ ĩ ɴ
きょうすいびょう	kʲ o̞ː s ɨᵝ i bʲ o̞ː
きょうすけ	kʲ o̞ː s ɨᵝ k e̞
きょうせい	kʲ o̞ː s e̞ː
きょうせいしゅうようじょ	kʲ o̞ː s e̞ː ɕ ɨᵝː j o̞ː ʑ o̞
きょうせいろうどうしょう	kʲ o̞ː s e̞ː ɾ o̞ː d o̞ː ɕ o̞ː
きょうそ	kʲ o̞ː s o̞
きょうそう	kʲ o̞ː s o̞ː
きょうそうきょく	kʲ o̞ː s o̞ː kʲ o̞ k ɯ̟ᵝ
きょうぞう	kʲ o̞ː z o̞ː
きょうたく	kʲ o̞ː t a̠ k ɯ̟ᵝ
きょうだ	kʲ o̞ː d a̠
きょうだい	kʲ o̞ː d a̠ i
きょうだいぶん	kʲ o̞ː d a̠ i b ɯ̟̃ᵝ ɴ
きょうだん	kʲ o̞ː d ã̠ ɴ
きょうちょう	kʲ o̞ː t͡ɕ o̞ː
きょうちょくせいせきついえん	kʲ o̞ː t͡ɕ o̞ k ɯ̟ᵝ s e̞ː s e̞ kʲ i t͡s ɨᵝ i ẽ̞ ɴ
きょうつうしゅうごう	kʲ o̞ː t͡s ɨᵝː ɕ ɨᵝː ɡ o̞ː
きょうつうてん	kʲ o̞ː t͡s ɨᵝː t ẽ̞ ɴ
きょうつうてん	ɾ ɯ̟ᵝ i ʑ i t ẽ̞ ɴ
きょうてい	kʲ o̞ː t e̞ː
きょうてき	kʲ o̞ː t e̞ kʲ i
きょうてん	kʲ o̞ː t ẽ̞ ɴ
きょうと	kʲ o̞ː t o̞
きょうとう	kʲ o̞ː t o̞ː
きょうとふ	kʲ o̞ː t o̞ ɸ ɯ̟ᵝ
きょうどう	kʲ o̞ː d o̞ː
きょうどうしゅっし	kʲ o̞ː d o̞ː ɕ ɨᵝ ɕː i
きょうどうたい	kʲ o̞ː d o̞ː t a̠ i
きょうどりょうり	kʲ o̞ː d o̞ ɾʲ o̞ː ɾʲ i
きょうにん	kʲ o̞ː ɲ̟ ĩ ɴ
きょうねん	kʲ o̞ː n ẽ̞ ɴ
きょうはく	kʲ o̞ː h a̠ k ɯ̟ᵝ
きょうはくじょう	kʲ o̞ː h a̠ k ɯ̟ᵝ ʑ o̞ː
きょうはん	kʲ o̞ː h ã̠ ɴ
きょうはんしゃ	kʲ o̞ː h ã̠ ɰ̃ ɕ a̠
きょうばい	kʲ o̞ː b a̠ i
きょうふ	kʲ o̞ː ɸ ɯ̟ᵝ
きょうふしょう	kʲ o̞ː ɸ ɯ̟ᵝ ɕ o̞ː
きょうべん	kʲ o̞ː b ẽ̞ ɴ
きょうほ	kʲ o̞ː h o̞
きょうほう	kʲ o̞ː h o̞ː
きょうぼう	kʲ o̞ː b o̞ː
きょうみぶかい	kʲ o̞ː mʲ i b ɯ̟ᵝ k a̠ i
きょうむ	kʲ o̞ː m ɯ̟ᵝ
きょうめい	kʲ o̞ː m e̞ː
きょうゆう	kʲ o̞ː j ɯ̟ᵝː
きょうよ	kʲ o̞ː j o̞
きょうよう	kʲ o̞ː j o̞ː
きょうらく	kʲ o̞ː ɾ a̠ k ɯ̟ᵝ
きょうらくしゅぎ	kʲ o̞ː ɾ a̠ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
きょうらくてき	kʲ o̞ː ɾ a̠ k ɯ̟ᵝ t e̞ kʲ i
きょうりゅう	kʲ o̞ː ɾʲ ɨᵝː
きょうりょう	kʲ o̞ː ɾʲ o̞ː
きょうりょく	kʲ o̞ː ɾʲ o̞ k ɯ̟ᵝ
きょうわ	kʲ o̞ː ɰᵝ a̠
きょうわこく	kʲ o̞ː ɰᵝ a̠ k o̞ k ɯ̟ᵝ
きょうわとういん	kʲ o̞ː ɰᵝ a̠ t o̞ː ĩ ɴ
きょか	kʲ o̞ k a̠
きょがく	kʲ o̞ ɡ a̠ k ɯ̟ᵝ
きょきん	kʲ o̞ kʲ ĩ ɴ
きょぎ	kʲ o̞ ɡ i
きょく	kʲ o̞ k ɯ̟ᵝ
きょくあじさし	kʲ o̞ k ɯ̟ᵝ a̠ ʑ i s a̠ ɕ i
きょくげい	kʲ o̞ k ɯ̟ᵝ ɡ e̞ː
きょくげん	kʲ o̞ k ɯ̟ᵝ ɡ ẽ̞ ɴ
きょくせつ	kʲ o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
きょくせん	kʲ o̞ k ɯ̟̊ᵝ s ẽ̞ ɴ
きょくせんび	kʲ o̞ k ɯ̟ᵝ s ẽ̞ m bʲ i
きょくたん	kʲ o̞ k ɯ̟̊ᵝ t ã̠ ɴ
きょくとう	kʲ o̞ k ɯ̟̊ᵝ t o̞ː
きょくひどうぶつ	kʲ o̞ k ɯ̟ᵝ ç i d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
きょくぶ	kʲ o̞ k ɯ̟ᵝ b ɯ̟ᵝ
きょくめい	kʲ o̞ k ɯ̟ᵝ m e̞ː
きょくや	kʲ o̞ k ɯ̟ᵝ j a̠
きょくりょく	kʲ o̞ k ɯ̟ᵝ ɾʲ o̞ k ɯ̟ᵝ
きょこん	kʲ o̞ k õ̞ ɴ
きょしゅ	kʲ o̞ ɕ ɨᵝ
きょしゅつ	kʲ o̞ ɕ ɨᵝ t͡s ɨᵝ
きょしゅつきん	kʲ o̞ ɕ ɨᵝ t͡s ɨᵝ kʲ ĩ ɴ
きょしょう	kʲ o̞ ɕ o̞ː
きょしょく	kʲ o̞ ɕ o̞ k ɯ̟ᵝ
きょじゃく	kʲ o̞ ʑ a̠ k ɯ̟ᵝ
きょじゅう	kʲ o̞ ʑ ɨᵝː
きょじゅうしゃ	kʲ o̞ ʑ ɨᵝː ɕ a̠
きょじゅうせい	kʲ o̞ ʑ ɨᵝː s e̞ː
きょじん	kʲ o̞ ʑ ĩ ɴ
きょすう	kʲ o̞ s ɨᵝː
きょすうたんい	kʲ o̞ s ɨᵝː t ã̠ ɰ̃ i
きょせい	kʲ o̞ s e̞ː
きょぜつ	kʲ o̞ z e̞ t͡s ɨᵝ
きょた	kʲ o̞ t a̠
きょたん	kʲ o̞ t ã̠ ɴ
きょたんやく	kʲ o̞ t ã̠ ɰ̃ j a̠ k ɯ̟ᵝ
きょだい	kʲ o̞ d a̠ i
きょだく	kʲ o̞ d a̠ k ɯ̟ᵝ
きょだつ	kʲ o̞ d a̠ t͡s ɨᵝ
きょっけい	kʲ o̞ k̚ k e̞ː
きょっこう	kʲ o̞ k̚ k o̞ː
きょてん	kʲ o̞ t ẽ̞ ɴ
きょとう	kʲ o̞ t o̞ː
きょどう	kʲ o̞ d o̞ː
きょどうふしん	kʲ o̞ d o̞ː ɸ ɯ̟ᵝ ɕ ĩ ɴ
きょにゅう	kʲ o̞ ɲ̟ ɯ̟ᵝː
きょねん	kʲ o̞ n ẽ̞ ɴ
きょはく	kʲ o̞ h a̠ k ɯ̟ᵝ
きょひる	kʲ o̞ ç i ɾ ɯ̟ᵝ
きょみん	kʲ o̞ mʲ ĩ ɴ
きょむしゅぎ	kʲ o̞ m ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
きょよう	kʲ o̞ j o̞ː
きょり	kʲ o̞ ɾʲ i
きょりきょうぎ	kʲ o̞ ɾʲ i kʲ o̞ː ɡʲ i
きょりゅう	kʲ o̞ ɾʲ ɨᵝː
きょりゅう	kʲ o̞ː ɾʲ ɨᵝː
きょりゅうち	kʲ o̞ ɾʲ ɨᵝː t͡ɕ i
きょろきょろ	kʲ o̞ ɾ o̞ kʲ o̞ ɾ o̞
きよ	kʲ i j o̞
きよい	kʲ i j o̞ i
きよう	kʲ i j o̞ː
きようびんぼう	kʲ i j o̞ː bʲ ĩ m b o̞ː
きよはら	kʲ i j o̞ h a̠ ɾ a̠
きよまる	kʲ i j o̞ m a̠ ɾ ɯ̟ᵝ
きよめる	kʲ i j o̞ m e̞ ɾ ɯ̟ᵝ
きら	kʲ i ɾ a̠
きらい	kʲ i ɾ a̠ i
きらう	kʲ i ɾ a̠ ɯ̟ᵝ
きらきら	kʲ i ɾ a̠ kʲ i ɾ a̠
きらく	kʲ i ɾ a̠ k ɯ̟ᵝ
きらす	kʲ i ɾ a̠ s ɨᵝ
きらぼし	kʲ i ɾ a̠ b o̞ ɕ i
きらめく	kʲ i ɾ a̠ m e̞ k ɯ̟ᵝ
きらり	kʲ i ɾ a̠ ɾʲ i
きり	kʲ i ɾʲ i
きりおとす	kʲ i ɾʲ i o̞ t o̞ s ɨᵝ
きりかえ	kʲ i ɾʲ i k a̠ e̞
きりかえす	kʲ i ɾʲ i k a̠ e̞ s ɨᵝ
きりかえる	kʲ i ɾʲ i k a̠ e̞ ɾ ɯ̟ᵝ
きりがみ	kʲ i ɾʲ i ɡ a̠ mʲ i
きりがやつ	kʲ i ɾʲ i ɡ a̠ j a̠ t͡s ɨᵝ
きりきり	kʲ i ɾʲ i kʲ i ɾʲ i
きりきりまい	kʲ i ɾʲ i kʲ i ɾʲ i m a̠ i
きりぎりす	kʲ i ɾʲ i ɡʲ i ɾʲ i s ɨᵝ
きりぐも	kʲ i ɾʲ i ɡ ɯ̟ᵝ m o̞
きりさく	kʲ i ɾʲ i s a̠ k ɯ̟ᵝ
きりさめ	kʲ i ɾʲ i s a̠ m e̞
きりすてる	kʲ i ɾʲ i s ɨᵝ t e̞ ɾ ɯ̟ᵝ
きりつせい	kʲ i ɾʲ i t͡s ɨᵝ s e̞ː
きりつせいていけつあつ	kʲ i ɾʲ i t͡s ɨᵝ s e̞ː t e̞ː k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ
きりとる	kʲ i ɾʲ i t o̞ ɾ ɯ̟ᵝ
きりは	kʲ i ɾʲ i h a̠
きりはなす	kʲ i ɾʲ i h a̠ n a̠ s ɨᵝ
きりひらく	kʲ i ɾʲ i ç i ɾ a̠ k ɯ̟ᵝ
きりふだ	kʲ i ɾʲ i ɸ ɯ̟ᵝ d a̠
きりぼしだいこん	kʲ i ɾʲ i b o̞ ɕ i d a̠ i k õ̞ ɴ
きりみ	kʲ i ɾʲ i mʲ i
きりょう	kʲ i ɾʲ o̞ː
きりょく	kʲ i ɾʲ o̞ k ɯ̟ᵝ
きりん	kʲ i ɾʲ ĩ ɴ
きりんざ	kʲ i ɾʲ ĩ n d͡z a̠
きりんじ	kʲ i ɾʲ ĩ ɲ̟ d͡ʑ i
きりんれいよう	kʲ i ɾʲ ĩ n ɾ e̞ː j o̞ː
きる	kʲ i ɾ ɯ̟ᵝ
きれい	kʲ i ɾ e̞ː
きれいごと	kʲ i ɾ e̞ː ɡ o̞ t o̞
きれきれ	kʲ i ɾ e̞ kʲ i ɾ e̞
きれっきれ	kʲ i ɾ e̞ k̚ʲ kʲ i ɾ e̞
きれつ	kʲ i ɾ e̞ t͡s ɨᵝ
きれて	kʲ i ɾ e̞ t e̞
きれもの	kʲ i ɾ e̞ m o̞ n o̞
きれる	kʲ i ɾ e̞ ɾ ɯ̟ᵝ
きろう	kʲ i ɾ o̞ː
きろく	kʲ i ɾ o̞ k ɯ̟ᵝ
きわた	kʲ i ɰᵝ a̠ t a̠
きわみ	kʲ i ɰᵝ a̠ mʲ i
きをおとす	kʲ i o̞ o̞ t o̞ s ɨᵝ
きをてらう	kʲ i o̞ t e̞ ɾ a̠ ɯ̟ᵝ
きをとりなおす	kʲ i o̞ t o̞ ɾʲ i n a̠ o̞ s ɨᵝ
きん	kʲ ĩ ɴ
きんいしゅくせいそくさくこうかしょう	kʲ ĩ ɰ̃ i ɕ ɨᵝ k ɯ̟ᵝ s e̞ː s o̞ k ɯ̟ᵝ s a̠ k ɯ̟ᵝ k o̞ː k a̠ ɕ o̞ː
きんいろ	kʲ ĩ ɰ̃ i ɾ o̞
きんかんがっき	kʲ ĩ ŋ k ã̠ ŋ ɡ a̠ k̚ʲ kʲ i
きんがしんねん	kʲ ĩ ŋ ɡ a̠ ɕ ĩ nː ẽ̞ ɴ
きんがん	kʲ ĩ ŋ ɡ ã̠ ɴ
きんき	kʲ ĩ ŋʲ kʲ i
きんきゅう	kʲ ĩ ŋʲ kʲ ɨᵝː
きんきゅうじしんそくほう	kʲ ĩ ŋʲ kʲ ɨᵝː d͡ʑ i ɕ ĩ ɰ̃ s o̞ k ɯ̟ᵝ h o̞ː
きんきょう	kʲ ĩ ŋʲ kʲ o̞ː
きんぎゅうきゅう	kʲ ĩ ŋʲ ɡʲ ɨᵝː kʲ ɨᵝː
きんぎょ	kʲ ĩ ŋʲ ɡʲ o̞
きんぎょく	kʲ ĩ ŋʲ ɡʲ o̞ k ɯ̟ᵝ
きんぎょすくい	kʲ ĩ ŋʲ ɡʲ o̞ s ɨᵝ k ɯ̟ᵝ i
きんぎょばち	kʲ ĩ ŋʲ ɡʲ o̞ b a̠ t͡ɕ i
きんぎんか	kʲ ĩ ŋʲ ɡʲ ĩ ŋ k a̠
きんく	kʲ ĩ ŋ k ɯ̟ᵝ
きんけい	kʲ ĩ ŋ k e̞ː
きんけり	kʲ ĩ ŋ k e̞ ɾʲ i
きんけん	kʲ ĩ ŋ k ẽ̞ ɴ
きんけんせいじ	kʲ ĩ ŋ k ẽ̞ ɰ̃ s e̞ː ʑ i
きんこ	kʲ ĩ ŋ k o̞
きんこう	kʲ ĩ ŋ k o̞ː
きんさ	kʲ ĩ ɰ̃ s a̠
きんし	kʲ ĩ ɰ̃ ɕ i
きんしがん	kʲ ĩ ɰ̃ ɕ i ɡ ã̠ ɴ
きんしじゃく	kʲ ĩ ɰ̃ ɕ i ʑ a̠ k ɯ̟ᵝ
きんしゅう	kʲ ĩ ɰ̃ ɕ ɨᵝː
きんしゅく	kʲ ĩ ɰ̃ ɕ ɨᵝ k ɯ̟ᵝ
きんしょう	kʲ ĩ ɰ̃ ɕ o̞ː
きんしょもくろく	kʲ ĩ ɰ̃ ɕ o̞ m o̞ k ɯ̟ᵝ ɾ o̞ k ɯ̟ᵝ
きんしん	kʲ ĩ ɰ̃ ɕ ĩ ɴ
きんしんそうかん	kʲ ĩ ɰ̃ ɕ ĩ ɰ̃ s o̞ː k ã̠ ɴ
きんじ	kʲ ĩ ɲ̟ d͡ʑ i
きんじえない	kʲ ĩ ɲ̟ d͡ʑ i e̞ n a̠ i
きんじそう	kʲ ĩ ɲ̟ d͡ʑ i s o̞ː
きんじつ	kʲ ĩ ɲ̟ d͡ʑ i t͡s ɨᵝ
きんじて	kʲ ĩ ɲ̟ d͡ʑ i t e̞
きんじとう	kʲ ĩ ɲ̟ d͡ʑ i t o̞ː
きんじょ	kʲ ĩ ɲ̟ d͡ʑ o̞
きんじょうてっぺき	kʲ ĩ ɲ̟ d͡ʑ o̞ː t e̞ p̚ p e̞ kʲ i
きんじょうてんのう	kʲ ĩ ɲ̟ d͡ʑ o̞ː t ẽ̞ nː o̞ː
きんじる	kʲ ĩ ɲ̟ d͡ʑ i ɾ ɯ̟ᵝ
きんす	kʲ ĩ ɰ̃ s ɨᵝ
きんせい	kʲ ĩ ɰ̃ s e̞ː
きんせつ	kʲ ĩ ɰ̃ s e̞ t͡s ɨᵝ
きんせん	kʲ ĩ ɰ̃ s ẽ̞ ɴ
きんそくしょり	kʲ ĩ ɰ̃ s o̞ k ɯ̟ᵝ ̥ ɕ o̞ ɾʲ i
きんぞく	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ
きんぞくおん	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ õ̞ ɴ
きんぞくたんちき	kʲ ĩ n d͡z o̞ k ɯ̟ᵝ t ã̠ ɲ̟ t͡ɕ i kʲ i
きんたまぶくろ	kʲ ĩ n t a̠ m a̠ b ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞
きんたん	kʲ ĩ n t ã̠ ɴ
きんだい	kʲ ĩ n d a̠ i
きんだいち	kʲ ĩ n d a̠ i t͡ɕ i
きんだん	kʲ ĩ n d ã̠ ɴ
きんちゃく	kʲ ĩ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
きんちょう	kʲ ĩ ɲ̟ t͡ɕ o̞ː
きんつぎ	kʲ ĩ n t͡s ɨᵝ ɡʲ i
きんて	kʲ ĩ n t e̞
きんてい	kʲ ĩ n t e̞ː
きんていやくせいしょ	kʲ ĩ n t e̞ː j a̠ k ɯ̟ᵝ ̥ s e̞ː ɕ o̞
きんてき	kʲ ĩ n t e̞ kʲ i
きんてん	kʲ ĩ n t ẽ̞ ɴ
きんとう	kʲ ĩ n t o̞ː
きんにく	kʲ ĩ ɲ̟ ɲ̟ i k ɯ̟ᵝ
きんばく	kʲ ĩ m b a̠ k ɯ̟ᵝ
きんばくび	kʲ ĩ m b a̠ k ɯ̟ᵝ bʲ i
きんぱく	kʲ ĩ m p a̠ k ɯ̟ᵝ
きんぱつ	kʲ ĩ m p a̠ t͡s ɨᵝ
きんぴん	kʲ ĩ m pʲ ĩ ɴ
きんぺいばい	kʲ ĩ m p e̞ː b a̠ i
きんぼう	kʲ ĩ m b o̞ː
きんみゃく	kʲ ĩ mʲː a̠ k ɯ̟ᵝ
きんみらい	kʲ ĩ mʲː i ɾ a̠ i
きんむ	kʲ ĩ mː ɯ̟ᵝ
きんむいん	kʲ ĩ mː ɯ̟ᵝ ĩ ɴ
きんむさき	kʲ ĩ mː ɯ̟ᵝ s a̠ kʲ i
きんめだい	kʲ ĩ mː e̞ d a̠ i
きんもくせい	kʲ ĩ mː o̞ k ɯ̟ᵝ s e̞ː
きんもつ	kʲ ĩ mː o̞ t͡s ɨᵝ
きんゆう	kʲ ĩ ɰ̃ j ɯ̟ᵝː
きんよう	kʲ ĩ ɰ̃ j o̞ː
きんようび	kʲ ĩ ɰ̃ j o̞ː bʲ i
きんよく	kʲ ĩ ɰ̃ j o̞ k ɯ̟ᵝ
きんらい	kʲ ĩ n ɾ a̠ i
きんらん	kʲ ĩ n ɾ ã̠ ɴ
きんりょう	kʲ ĩ n ɾʲ o̞ː
きんりょく	kʲ ĩ n ɾʲ o̞ k ɯ̟ᵝ
きんるい	kʲ ĩ n ɾ ɯ̟ᵝ i
きんろう	kʲ ĩ n ɾ o̞ː
き゚	ŋʲ i
き゚ぇ	ŋʲ e̞
き゚ゃ	ŋʲ a̠
き゚ゅ	ŋʲ ɨᵝ
き゚ょ	ŋʲ o̞
ぎ	ɡʲ i
ぎいん	ɡʲ i ĩ ɴ
ぎぇ	ɡʲ e̞
ぎえんきん	ɡʲ i ẽ̞ ŋʲ kʲ ĩ ɴ
ぎおん	ɡʲ i õ̞ ɴ
ぎかい	ɡʲ i k a̠ i
ぎきょうだい	ɡʲ i kʲ o̞ː d a̠ i
ぎくんし	ɡʲ i k ɯ̟̃ᵝ ɰ̃ ɕ i
ぎぐん	ɡʲ i ɡ ɯ̟̃ᵝ ɴ
ぎけい	ɡʲ i k e̞ː
ぎけつ	ɡʲ i k e̞ t͡s ɨᵝ
ぎこちない	ɡʲ i k o̞ t͡ɕ i n a̠ i
ぎごく	ɡʲ i ɡ o̞ k ɯ̟ᵝ
ぎさぶろう	ɡʲ i s a̠ b ɯ̟ᵝ ɾ o̞ː
ぎざ	ɡʲ i z a̠
ぎし	ɡʲ i ɕ i
ぎしき	ɡʲ i ɕ i̥ kʲ i
ぎしょう	ɡʲ i ɕ o̞ː
ぎしん	ɡʲ i ɕ ĩ ɴ
ぎじ	ɡʲ i ʑ i
ぎじゅつ	ɡʲ i ʑ ɨᵝ t͡s ɨᵝ
ぎじゅつてき	ɡʲ i ʑ ɨᵝ t͡s ɨᵝ t e̞ kʲ i
ぎじょう	ɡʲ i ʑ o̞ː
ぎじょうご	ɡʲ i ʑ o̞ː ɡ o̞
ぎじんか	ɡʲ i ʑ ĩ ŋ k a̠
ぎせい	ɡʲ i s e̞ː
ぎせき	ɡʲ i s e̞ kʲ i
ぎぜんしゃ	ɡʲ i z ẽ̞ ɰ̃ ɕ a̠
ぎそう	ɡʲ i s o̞ː
ぎそく	ɡʲ i s o̞ k ɯ̟ᵝ
ぎぞく	ɡʲ i z o̞ k ɯ̟ᵝ
ぎたい	ɡʲ i t a̠ i
ぎっしゃ	ɡʲ i ɕː a̠
ぎったんばっこん	ɡʲ i t̚ t ã̠ m b a̠ k̚ k õ̞ ɴ
ぎてい	ɡʲ i t e̞ː
ぎどうさんし	ɡʲ i d o̞ː s ã̠ ɰ̃ ɕ i
ぎなたよみ	ɡʲ i n a̠ t a̠ j o̞ mʲ i
ぎねん	ɡʲ i n ẽ̞ ɴ
ぎふ	ɡʲ i ɸ ɯ̟ᵝ
ぎふけん	ɡʲ i ɸ ɯ̟ᵝ k ẽ̞ ɴ
ぎふん	ɡʲ i ɸ ɯ̟̃ᵝ ɴ
ぎほう	ɡʲ i h o̞ː
ぎぼ	ɡʲ i b o̞
ぎまい	ɡʲ i m a̠ i
ぎむづける	ɡʲ i m ɯ̟ᵝ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
ぎめい	ɡʲ i m e̞ː
ぎもんふ	ɡʲ i m õ̞ ɰ̃ ɸ ɯ̟ᵝ
ぎもんぶん	ɡʲ i m õ̞ m b ɯ̟̃ᵝ ɴ
ぎゃ	ɡʲ a̠
ぎゃく	ɡʲ a̠ k ɯ̟ᵝ
ぎゃくおうて	ɡʲ a̠ k ɯ̟ᵝ o̞ː t e̞
ぎゃくさつ	ɡʲ a̠ k ɯ̟ᵝ s a̠ t͡s ɨᵝ
ぎゃくすう	ɡʲ a̠ k ɯ̟ᵝ s ɨᵝː
ぎゃくぞく	ɡʲ a̠ k ɯ̟ᵝ z o̞ k ɯ̟ᵝ
ぎゃくばり	ɡʲ a̠ k ɯ̟ᵝ b a̠ ɾʲ i
ぎゃっこうか	ɡʲ a̠ k̚ k o̞ː k a̠
ぎゃふ	ɡʲ a̠ ɸ ɯ̟ᵝ
ぎゃふん	ɡʲ a̠ ɸ ɯ̟̃ᵝ ɴ
ぎゃんなき	ɡʲ ã̠ nː a̠ kʲ i
ぎやく	ɡʲ i j a̠ k ɯ̟ᵝ
ぎゅ	ɡʲ ɨᵝ
ぎゅうこうしき	ɡʲ ɨᵝː k o̞ː ɕ i kʲ i
ぎゅうし	ɡʲ ɨᵝː ɕ i
ぎゅうしゃ	ɡʲ ɨᵝː ɕ a̠
ぎゅうじる	ɡʲ ɨᵝː ʑ i ɾ ɯ̟ᵝ
ぎゅうどん	ɡʲ ɨᵝː d õ̞ ɴ
ぎゅうにゅう	ɡʲ ɨᵝː ɲ̟ ɯ̟ᵝː
ぎゅうば	ɡʲ ɨᵝː b a̠
ぎゅうらく	ɡʲ ɨᵝː ɾ a̠ k ɯ̟ᵝ
ぎゅっと	ɡʲ ɨᵝ t̚ t o̞
ぎょ	ɡʲ o̞
ぎょう	ɡʲ o̞ː
ぎょうかいがん	ɡʲ o̞ː k a̠ i ɡ ã̠ ɴ
ぎょうが	ɡʲ o̞ː ɡ a̠
ぎょうぎ	ɡʲ o̞ː ɡʲ i
ぎょうこう	ɡʲ o̞ː k o̞ː
ぎょうざ	ɡʲ o̞ː z a̠
ぎょうし	ɡʲ o̞ː ɕ i
ぎょうしゅ	ɡʲ o̞ː ɕ ɨᵝ
ぎょうしゅう	ɡʲ o̞ː ɕ ɨᵝː
ぎょうしゅく	ɡʲ o̞ː ɕ ɨᵝ k ɯ̟ᵝ
ぎょうしょ	ɡʲ o̞ː ɕ o̞
ぎょうしょうにん	ɡʲ o̞ː ɕ o̞ː ɲ̟ ĩ ɴ
ぎょうじ	ɡʲ o̞ː ʑ i
ぎょうちゅう	ɡʲ o̞ː t͡ɕ ɨᵝː
ぎょうれつ	ɡʲ o̞ː ɾ e̞ t͡s ɨᵝ
ぎょうれつしき	ɡʲ o̞ː ɾ e̞ t͡s ɨᵝ ɕ i kʲ i
ぎょがん	ɡʲ o̞ ɡ ã̠ ɴ
ぎょがんせき	ɡʲ o̞ ɡ ã̠ ɰ̃ s e̞ kʲ i
ぎょく	ɡʲ o̞ k ɯ̟ᵝ
ぎょくさい	ɡʲ o̞ k ɯ̟̊ᵝ s a̠ i
ぎょくざ	ɡʲ o̞ k ɯ̟ᵝ z a̠
ぎょくじん	ɡʲ o̞ k ɯ̟ᵝ ʑ ĩ ɴ
ぎょくろ	ɡʲ o̞ k ɯ̟ᵝ ɾ o̞
ぎょぐん	ɡʲ o̞ ɡ ɯ̟̃ᵝ ɴ
ぎょしゃ	ɡʲ o̞ ɕ a̠
ぎょしゃざ	ɡʲ o̞ ɕ a̠ z a̠
ぎょたく	ɡʲ o̞ t a̠ k ɯ̟ᵝ
ぎょにく	ɡʲ o̞ ɲ̟ i k ɯ̟ᵝ
ぎょふ	ɡʲ o̞ ɸ ɯ̟ᵝ
ぎょもう	ɡʲ o̞ m o̞ː
ぎょゆ	ɡʲ o̞ j ɯ̟ᵝ
ぎょらん	ɡʲ o̞ ɾ ã̠ ɴ
ぎょりゅう	ɡʲ o̞ ɾʲ ɨᵝː
ぎょるいがく	ɡʲ o̞ ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ
ぎょるいがくしゃ	ɡ j o̞ ɽ ɯᵝ i ŋ ä k ɯ̥ᵝ ɕʲ ä
ぎょるいがくてき	ɡʲ o̞ ɾ ɯ̟ᵝ i ɡ a̠ k ɯ̟ᵝ t e̞ kʲ i
ぎりぎり	ɡʲ i ɾʲ i ɡʲ i ɾʲ i
ぎりょう	ɡʲ i ɾʲ o̞ː
ぎれい	ɡʲ i ɾ e̞ː
ぎろん	ɡʲ i ɾ õ̞ ɴ
ぎろんひゃくしゅつ	ɡʲ i ɾ õ̞ ɰ̃ ç a̠ k ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
ぎん	ɡʲ ĩ ɴ
ぎんかん	ɡʲ ĩ ŋ k ã̠ ɴ
ぎんが	ɡʲ ĩ ŋ ɡ a̠
ぎんがけい	ɡʲ ĩ ŋ ɡ a̠ k e̞ː
ぎんがだん	ɡʲ ĩ ŋ ɡ a̠ d ã̠ ɴ
ぎんこう	ɡʲ ĩ ŋ k o̞ː
ぎんざめ	ɡʲ ĩ n d͡z a̠ m e̞
ぎんしょう	ɡʲ ĩ ɰ̃ ɕ o̞ː
ぎんぱく	ɡʲ ĩ m p a̠ k ɯ̟ᵝ
ぎんぱつ	ɡʲ ĩ m p a̠ t͡s ɨᵝ
ぎんぶか	ɡʲ ĩ m b ɯ̟ᵝ k a̠
ぎんぽ	ɡʲ ĩ m p o̞
ぎんみ	ɡʲ ĩ mʲː i
く	k ɯ̟ᵝ
くぁ	k ɰᵝ a̠
くぃ	k ɰᵝ i
くい	k ɯ̟ᵝ i
くいき	k ɯ̟ᵝ i kʲ i
くいこむ	k ɯ̟ᵝ i k o̞ m ɯ̟ᵝ
くいころす	k ɯ̟ᵝ i k o̞ ɾ o̞ s ɨᵝ
くいさがる	k ɯ̟ᵝ i s a̠ ɡ a̠ ɾ ɯ̟ᵝ
くいちがい	k ɯ̟ᵝ i t͡ɕ i ɡ a̠ i
くいな	k ɯ̟ᵝ i n a̠
くう	k ɯ̟ᵝː
くうい	k ɯ̟ᵝː i
くうき	k ɯ̟ᵝː kʲ i
くうきせいじょうき	k ɯ̟ᵝː kʲ i s e̞ː ʑ o̞ː kʲ i
くうきょ	k ɯ̟ᵝː kʲ o̞
くうきりきがく	k ɯ̟ᵝː kʲ i ɾʲ i kʲ i ɡ a̠ k ɯ̟ᵝ
