آب	a w
راهبردی	r ɒː h b o ɾ d iː
راک	r ɒ k
راک	r ɒː k
ربودن	r o b uː d æ n
ردیا	r æ dː e pʰ ɒː
رزا	r o z ɑː
رزا	r o z ɒː
رساندن	r e s u n d̪ æ n
رساندن	r e s ɒ n d̪ æ n
رستاخیز	r e s t̪ʰ ɒː x iː z
رستاخیز	r æ s t̪ʰ ɒː x iː z
رستم	r o s t æ m
رستم	r ʊ s t a m
رستن	r o s t æ n
رستن	r æ s t æ n
رسما	r æ s m æ n
رسمی	r æ s m iː
رشتن	r e ʃ t æ n
رشتن	r æ ʃ t æ n
رصدخانه	r æ s a d̪ x ɒː n e
رعایا	r o ʔ ɒː j ɒː
رعیت	r æ ʔ j æ t
رعیت	r æː j æ t
رفتار	r æ f t̪ʰ ɒː ɾ
رفتن	r o f tʰ æ n
رفتن	r æ f tʰ æ n
رفتگان	r æ f t e ɡ ɒ n
رفیق	r æ f iː ɣ
رقصنده	r æ x s æ n d̪ e
رقصیدن	r æ q s iː d æ n
رقصیدن	r æ ɣ s iː d æ n
رمق	r æ m æ ɢ
رمه	r æ m e
رنگارنگ	r æ ŋ ɡ ɒː ɾ æ ŋ ɡ
رنگارنگ‌تر	r æ ŋ ɡ ɒː ɾ æ ŋ t̪ʰ æ ɾ
رنگارنگ‌ترین	r æ ŋ ɡ ɒː ɾ æ ŋ t̪ʰ æ ɾ iː n
رنگین‌کمان	r æ ŋ ɡʲ iː ŋ kʲ æ m uː n
رنگین‌کمان	r æ ŋ ɡʲ iː ŋ kʲ æ m ɒː n
رنگ‌آمیزی	r æ ŋ ɡ ɒː m iː z iː
رهبر	ɾ æ h b æ ɾ
رهبر	ɾ æː b æ ɾ
رواندا	r æ v ɒː n d ɒː
روحانی	r oː h ɒː n iː
روزانه	r uː z ɒː n e
روزبه	r oː z b ɪ h
روزبه	r uː z b e h
روزمه	r uː z m æ h
روشنگری	r o ʊ ʃ æ n ɡ æ ɾ i
روش‌ها	r æ v e ʃ h ɒː
روش‌ها	r æ v e ʃ ɒː
رومانی	ɾ o m ɒː n iː
رونوشت	r uː n e v e ʃ t̪
رویا	r oː j ɒː
رژه	r e ʒ e
رژه	r æ ʒ e
رگ	r æ ɡ
ریحان	r e i̯ h u n
ریحان	r e i̯ h ɒ n
ریحان	r e i̯ h ɒː n
ریدن	r iː d̪ æ n
ریش	r iː ʃ
ریچارد	ɾ i t͡ʃ ɒː ɾ d̪
زاغی	z ɒː ɣ iː
زامبیا	z ɒː m b j ɒː
زاهدی	z ɒː h e d̪ iː
زاوش	z ɒː v o ʃ
زبان	z e b ɒː n
زدن	z e d̪ e n
زدودن	z o d u d̪ æ n
زرتشتی	z æ ɾ t̪ʰ o ʃ t̪ʰ iː
زرناپا	z o r n ɒː pʰ ɒː
زرنگ	z e ɾ æ ŋ
زرین‌کوب	z æ ɾː ɪ ŋ kʰ uː b
زمانی	z æ m ɒː n iː
زمین‌لرزه	z æ m i n l æ ɾ z e
زمین‌لرزه	z æ m iː n l æ ɾ z e
زندگی‌نامه	z e n d̪ e ɡʲ iː n ɒː m e
زندی	z æ n d i
زنونه	z æ n uː n e
زنونگی	z æ n uː n e ɡʲ iː
زنگنه	z æ ŋ ɡʲ e n e
زنگنه	z æ ŋ ɡʲ æ n e
زواره	z æ v ɒː ɾ e
زیمبابوه	z iː m b ɒː b v e
زیواندن	z iː v ɒ n d̪ æ n
زیگ	z iː ɡ
ساحر	s ɒː h e ɾ
ساحرات	s ɒː h e ɾ ɒː t̪ʰ
ساحره	s ɒː h e ɾ e
ساحرها	s ɒː h e ɾ h ɒː
ساحرها	s ɒː h e ɾ ɒː
ساحره‌ها	s ɒː h e ɾ e h ɒː
سادگی	s ɒː d̪ e ɡʲ iː
سازها	s ɒː z h ɒː
ساعتچی	s ɒː æ t͡ʃʰː iː
سالانه	s ɒː l uː n e
سالانه	s ɒː l ɒː n e
سبیل	s ɪ b iː l
ستاره	s e t̪ʰ ɒː ɾ e
ستایش	s e t ɒː j e ʃ
ستدن	s e t̪ʰ æ d̪ æ n
ستردن	s e t o ɾ d̪ æ n
ستودن	s e tʰ uː d æ n
ستون	s e tʰ uː n
ستون	s ʊ tʰ uː n
سخت‌کوش	s æ x t̪ kʰ uː ʃ
سخنگو	s o x æ ŋ ɡ uː
سد	s æ dː
سراینده	s æ ɾ ɒː j æ n d̪ e
سرباز	s æ ɾ b ɒː z
سرده	s æ ɾ d̪ e
سرده‌ها	s æ ɾ d̪ e h ɒː
سرشتن	s e ɾ e ʃ t æ n
سرفه	s o ɾ f e
سرفه‌ها	s o ɾ f e h ɒː
سرنوشت	s æ ɾ n e v e ʃ t̪ʰ
سرپرست	s æ ɾ pʰ æ ɾ æ s t̪ʰ
سرک	s æ ɾ æ kʰ
سرکوب	s æ ɾ kʰ uː b
سریع	s æ ɾ iː
سرین	s o ɾ iː n
سری‌لانکا	s e ɾ i l ɒ ŋ k ɒ
سطر	s æ t ɾ
سفال	s o f ɒː l
سفی	s f iː
سفیر	s æ f iː ɾ
سقرلات	s æ ɣ e ɹ l ɒː t
سلیمی	s æ l iː m iː
سمج	s e m e d͡ʒ
سمرقند	s æ m æ ɾ q æ n d̪
سمرقند	s æ m æ ɾ ɣ æ n d̪
سمیر	s æ m iː ɾ
سمیرا	s æ m iː ɾ ɒː
سمیعی	s æ m iː ʔ i
سنار	s e n ɒː ɾ
سنار	s æ n ɒː ɾ
سنت	s o nː æ t̪ʰ
سنتور	s æ n t̪ʰ uː ɾ
سنتی	s o nː æ t̪ʰ iː
سنجاقک	s æ n d͡ʒ ɒː ɣ æ kʲ
سندان	s e n d ɒ n
سندان	s æ n d ɒ n
سندباد	s e n d b ɒː d
سندباد	s æ m b ɒː d
سندباد	s æ m b ɒː ð
سندباد	s æ n d b ɒː d
سندباد	s ɪ m b ɒː d
سندباد	s ɪ m b ɒː ð
سندباد	s ʊ m b ɒː d
سندباد	s ʊ m b ɒː ð
سنگال	s e n e ɡ ɒː l
سنگاپور	s æ ŋ ɡ ɒː pʰ uː ɾ
سنگک	s æ ŋ ɡʲ æ kʲ
سهستن	s æ h e s t̪ʰ æ n
سهند	s æ h æː n d̪
سهیل	s o h e i̯ l
سه‌تار	s e t̪ʰ ɒː ɾ
سه‌ماهه	s e m ɒː h e
سوئد	s o ʔ e d̪
سوئد	s u ʔ e d̪
سوئیس	s u ʔ i s
سوار	s æ v ɒː ɾ
سوازیلند	s e v ɒː z iː l æ n d
سوازیلند	s uː ɒː z iː l æ n d
سودان	s uː d ɒː n
سوراخ	s uː ɾ ɒː x
سوراخ‌ها	s uː ɾ ɒː x h ɒː
سوراخ‌ها	s uː ɾ ɒː x ɒː
سوره	s uː ɾ e
سوز	s o w z
سولاخ	s uː l ɒː x
سومالی	s uː m ɒː l iː
سپاسگزار	s e pʰ ɒː s ɡ o z ɒː ɾ
سپاه	s e pʰ ɒː h
سپر	s e pʰ æ ɾ
سپردن	s e pʰ o ɾ d̪ æ n
سپریغ	s e p æ ɾ iː ɣ
سپریغ	s æ p ɾ iː ɣ
سپنتا	s e pʰ æ n t̪ ɒː
سپهبد	s e pʰ æ h b o d
سپهر	s e pʰ e h ɾ
سپهسالار	s e pʰ æ h s ɒː l ɒː ɾ
سپیده	s e pʰ iː d e
سکان	s o k k ɒ n
سکان	s o k ɒ n
سکرفیدن	s e kʲ æ ɾ f iː d̪ æ n
سیاره	s æ j ɒː ɾ e
سیامک	s ɪ j ɒː m æ k
سیاه	s i j ɒː
سیاه‌گوش	s i j ɒː h ɡ uː ʃ
سیخ	s iː x
سیر	s iː ɾ
سیرالئون	s e j e ɾ ɒː l e oː n
سیشل	s e j ʃ e l
سیلاغ	s iː l ɒː ɣ
سیمین	s iː m i n
سیمین	s iː m iː n
سینزه	s iː n z æʰ
سینما	s i n e m ɒː
سینما	s i n æ m ɒː
شاخه‌ها	ʃ ɒː x e h ɒː
شاد	ʃ ɒː d̪
شانزده	ʃ uː n z d̪ æʰ
شانزده	ʃ ɒː n z d̪ æʰ
شانگهای	ʃ ɒː ŋ ɡ h ɒː j
شاهد	ʃ ɒː h e d̪
شب	ʃ a w
شبانگاه	ʃ æ b ɒː ŋ ɡ ɒː h
شباهت	ʃ æ b ɒː h æ t̪ʰ
شباهنگ	ʃ æ b ɒː h æ ŋ ɡ
شب‌ها	ʃ æ b h ɒː
شب‌ها	ʃ æ b ɒː
شب‌کور	ʃ æ p kʰ uː ɾ
شتر	ʃ o tʰ o ɾ
شجاع	ʃ o d ʒ ɒː
شجاع	ʃ o d ʒ ɒː ʔ
شجاعت	ʃ o d͡ʒ ɒː ʔ a t
شخصی	ʃ æ x s iː
شدید	ʃ æ d̪ iː d̪
شراب	ʃ æ ɾ ɒː b
شرع	ʃ æː ɾ ʔ
شرکت	ʃ e ɾ kʲ æ t̪ʰ
شریفی	ʃ æ ɾ iː f iː
ششتن	ʃ o ʃ t æ n
شعبه	ʃ oː b a
شقایق	ʃ æ q ɒː j e q
شقایق	ʃ æ ɣ ɒː j e ɣ
شمشیر	ʃ æ m ʃ eː ɾ
شمشیر	ʃ æ m ʃ iː ɾ
شمیدن	ʃ æ m iː d æ n
شهاب	ʃ æ h ɒː b
شهبازی	ʃ æ h b ɒː z iː
شهردار	ʃ æː h ɾ d̪ ɒː ɾ
شهرزاد	ʃ æː ɾ z ɒː d
شهرها	ʃ æ h ɾ ɒː
شهرها	ʃ æː ɾ ɒː
شهریاری	ʃ æ h ɾ i ɒː ɾ iː
شهریور	ʃ a h ɾ eː w a ɾ
شهوانی	ʃ æ h v ɒː n iː
شهید	ʃ æ h iː d̪
شورباه	ʃ uː ɾ b ɒː
شکار	ʃ e kʰ ɒː ɾ
شکارچی	ʃ e kʰ ɒː ɾ t ʃʰ iː
شکستنی	ʃ e kʲ æ s t̪ʰ æ n iː
شکسته‌نستعلیق	ʃ e kʲ æ s tʰ e n æ s tʰ æː l iː ɣ
شکلات	ʃ o kʰ o l ɒː tʰ
شکم	ʃ e kʲ æ m
شکمی	ʃ e kʲ æ m iː
شکننده	ʃ e kʲ æ n æ n d e
شگرف	ʃ e ɡʲ æ ɾ f
شگفت	ʃ e ɡʲ e f t̪ʰ
شگفت	ʃ i ɡʲ i f t̪ʰ
شیطان‌پرستی	ʃ e j t̪ʰ ɒː n pʰ æ ɾ æ s t̪ʰ i
شیعه	ʃ iː ʔ e
صادقی	s ɒː d e ɣ iː
صبحانه	s ʊ b uː n e
صبوح	s æ b uː h
صدا	s e d ɒː
صدا	s æ d ɒː
صعب	s æ ʔ b
صعب	s æː b
صفحات	s æ f æ h ɒː tʰ
صلیب	s æ l iː b
صنار	s e n ɒː ɾ
ضبط	z æ b t
ضد	z e d̪
ضرورت	z æ ɾ uː ɾ æ t̪ʰ
ضمیمه	z æ m iː m e
طاس	tʰ ɒː s
طاها	tʰ ɒː h ɒː
طعم	t æ ʔ m
طعم	t æː m
طوطی	tʰ uː tʰ iː
طیف	t e i̯ f
ظریف	z æ ɾ iː f
ظفر	z æ f æ ɾ
عاج	ʔ ɒː d͡ʒ
عبارت	ʔ e b ɒː ɾ æ t̪
عبرت	ʔ e b ɾ æ t̪
عبید	o b e i̯ d̪
عجیب	æ d ʒ iː b
عراق	ʔ e ɾ ɒː ɣ
عراق	ʔ æ ɾ ɒː ɣ
عراقچی	ʔ æ ɾ ɒː ɣ t͡ʃʰ i
عروسک	æ ɾ uː s æ kʲ
عروسک	ʔ æ ɾ uː s æ kʲ
عزر	ʔ æ z r
عصر	ʔ æ s ɾ
عصر	ʔ æː s ɾ
عضوها	o z v h ɒː
عضوها	o z v ɒː
عطسه	ʔ æ t s e
عطسه‌ها	ʔ æ t s e h ɒː
عظیم	æ z iː m
عظیم	ʔ æ z iː m
عظیمی	ʕ æ z iː m iː
عظیم‌تر	æ z iː m t̪ʰ æ ɾ
عظیم‌تر	ʔ æ z iː m t̪ʰ æ ɾ
عظیم‌ترین	æ z iː m t̪ʰ æ ɾ iː n
عظیم‌ترین	ʔ æ z iː m t̪ʰ æ ɾ iː n
عقاب	e ɣ ɒː b
عقاب	o ɣ ɒː b
عقیده	ʔ æ ɣ iː d e
علی	ʔ æ l iː
علیرضا	æ l iː ɾ e z ɒː
علیرضا	ʔ æ l iː ɾ e z ɒː
علی‌نژاد	ʔ æ l iː n e ʒ ɒː d̪
عمان	ʔ o m m ɒ n
عمان	ʔ æ m m ɒ n
عمل	ʔ æ m æ l
عمو	ʔ a m uː
عمو	ʔ æ m uː
عمیق	æ m iː ɣ
عمیق‌تر	æ m iː x t̪ʰ æ ɾ
عمیق‌ترین	æ m iː x t̪ʰ æ ɾ iː n
عن	ʔ æ n
عنکبوت	ʔ æ ŋ kʲ æ b uː tʰ
عوامانه	æ v ɒː mː m ɒː n e
عکس‌ها	æ k s h ɒː
عکس‌ها	æ k s ɒː
عید	ʔ e i̯ d
عید	ʔ iː d
عیسی	ʔ iː s ɒː
غرب	ɢ æ ɾ b
غربت	ɢ o ɾ b æ tʰ
غرق	ɢ æː ɾ ɣ
غرور	ɢ u ɾ uː ɾ
غریب	ɢ æ ɾ iː b
غریزه	ɢ æ ɾ iː z e
غزل	ɢ æ z æ l
غلتیدن	ɢ æ l t i d æ n
غلغله	ɢ o l ɣ o l e
غلیواج	ɢ æ l iː v ɒː d ʒ
غمگین	ɢ æ m ɡ i n
غمگین	ɢ æ m ɡ iː n
غنا	ɢ æ n ɒː
غوز	ɢ uː z
غوک	ɢ uː k
غژگاو	ɢ æ ʒ ɡ ɒː v
غژگاو	ɣ a ʒ ɡ ɔː v
غژگاو	ɣ æ ʒ ɡ ɒː w
غیررسمی	ɢ e i̯ ɾ e ɾ æ s m iː
ـی	iː
فاحشه	f ɒː h e ʃ e
فاسق	f ɒː s e ɣ
فاسق‌ها	f ɒː s e ɣ h ɒː
فالوده	f ɒː l uː d̪ e
فتح	f æ t̪ h
فدات	f æ d̪ ɒː t̪
فرادیس	f æ ɾ ɒː d iː s
فرانسه	f æ ɾ ɒ n s e
فرانسه	f æ ɾ ɒː n s e
فراگیر	f æ ɾ ɒː ɡʲ iː ɾ
فرختن	f o ɾ o x t æ n
فرزاد	f æ ɾ z ɒː d
فرزانه	f æ ɾ z ɒː n e
فرزند	f æ ɾ z æ n d̪
فرسادن	f e r s ɒː d æ n
فرسایش	f æ ɾ s ɑː j e ʃ
فرستاده	f e ɾ e s t̪ʰ ɒː d̪ e
فرسنگ	f æ ɾ s æ ŋ ɡ
فرسنگ	f æ ɾ s æː ŋ ɡ
فرصت	f o ɾ s æ t̪
فرض	f æ ɾ z
فرض	f æː ɾ z
فرمودن	f æ ɾ m uː d̪ æ n
فرنود	f æ ɾ n uː d
فرنوش	f æ ɾ n uː ʃ
فرنگ	f æ ɾ æ ŋ ɡ
فرنگستان	f æ ɾ æ ŋ ɡʲ e s t̪ʰ ɒː n
فرنگی	f æ ɾ æ ŋ ɡʲ iː
فرهادی	f æ ɾ h ɒː d iː
فرهنگ	f æ ɾ h æ ŋ ɡ
فرهنگستان	f æ ɾ h æ ŋ ɡ e s t ɒː n
فرهنگی	f æ ɾ h æ ŋ ɡʲ iː
فروردین	f a ɾ w a ɾ d̪ iː n
فروشنده	f o ɾ uː ʃ æ n d̪ e
فروهر	f ʊ ɾ uː h æ ɾ
فرگرد	f æ ɾ ɡʲ æ ɾ d̪
فریاد	f æ ɾ j ɒː d̪
فریان	f æ ɾ ɪ j ɒ n
فریانه	f æ ɾ ɪ j ɒː n e
فرید	f æ ɾ iː d
فریدون	f e ɾ e i̯ d uː n
فریماه	f æ ɾ iː m ɒːʰ
فرینام	f æ ɾ iː n ɒː m
فساق	f o s ɒː ɣ
فصیح	f æ s iː h
فلان	f e l ɒ n
فلان	f o l ɒ n
فلسطین	f e l e s t̪ʰ i n
فلسطین	f e l e s t̪ʰ iː n
فلفل	f e l f e l
فلورا	f e l o ɾ ɑː
فلورا	f e l o ɾ ɒː
فندق	f æ n d o ɣ
فندک	f æ n d̪ æ kʲ
فهم	f æ h m
فهم	f æː h m
فهموندن	f æ h m uː n d æ n
فواره	f æ v v ɒː ɾ e
فوق‌العاده	f oː ɣ o l ʔ ɒː d e
فیلیپین	f i l i pʰ i n
قابل‌فهم	ɢ ɒː b e l e f æː h m
قارچ	ɢ ɒː ɾ t ʃʰ
قاغذ	q ɒː ɣ o z
قاغذ	q ɒː ɣ æ z
قافله	ɢ ɒː f e l e
قافیه	ɢ ɒː f i j e
قالی	ɢ ɒː l iː
قالیباف	ɢ ɒː l iː b ɒː f
قاهره	ɢ ɒː h e r e
قبا	ɢ æ b ɒː
قبرس	ɢ e b ɾ e s
قدرت	ɢ o d̪ ɾ æ t̪ʰ
قربونت	ɢ o ɾ b u n e t̪
قرص	ɢ o ɾ s
قرغیزستان	ɢ e ɾ ɣ iː z e s tʰ ɒ n
قرقیزستان	ɢ e ɾ ɣ iː z e s tʰ ɒ n
قرمز	ɢ e ɾ m e z
قریه	ɢ æ ɾ i j e
قزاق	ɢ æ z z ɒ ɣ
قزاقستان	ɢ a z z ɒː ɣ e s t̪ʰ ɒ n
قشنگی	ɢ æ ʃ æ ŋ ɡʲ iː
قصاب	q æ s s ɒː b
قصاب	ɢ æ s s ɒː b
قصیده	ɢ æ s iː d̪ e
قضیب	ɢ æ z iː b
قطار	ɢ æ t ɒː ɾ
قطبی	ɢ o tʰ b iː
قطر	ɢ o t̪ ɾ
قطر	ɢ oː t̪ ɾ
قطر	ɢ æ t̪ʰ æ ɾ
قطور	ɢ æ tʰ uː ɾ
قلا	q e l ɒː
قلا	q æ l ɒː
قلا	q ɛ l ɒː
قم	ɢ o m
قند	ɢ æ n d
قهوه‌خونه	ɢ æ h v e x uː n e
قهوه‌خونه	ɢ æː v e x uː n e
قو	ɢ uː
قورباغه	ɢ uː ɾ b ɒː ɣ e
قوش	ɢ uː ʃ
قوطی	ɢ u tʰ iː
قول	ɢ o u̯ l
قوها	ɢ uː h ɒː
لاجورد	l ɒː d͡ʒ e v æ ɾ d
لاجورد	l ɒː d͡ʒ v æ ɾ d
لاجورد	l ɒː d͡ʒ w æ ɾ d
لاجورد	l ɒː d͡ʒ æ v æ ɾ d
لاجورد	l ɒː d͡ʒ æ w æ ɾ d
لاریجانی	l ɒː ɾ iː d͡ʒ ɒː n iː
لاغ	l ɒː ɣ
لاف	l ɒː f
لاژورد	l ɒː ʒ v æ ɾ d
لاژورد	l ɒː ʒ æ v æ ɾ d
لباس	l e b ɒː s
لباس‌ها	l e b ɒː s h ɒː
لباس‌ها	l e b ɒː s ɒː
لبخند	l æ p x æ n d̪
لبنان	l o b n ɒ n
لثه	l a s e
لثه	l æ s e
لحظه	l æ h z e
لحظه	l æ h z æ
لذیذ	l æ z iː z
لزوماً	l ʊ z uː m æ n
لسوتو	l e s oː t oː
لطیف	l æ tʰ iː f
لعنتی	l æː n æ tʰ i
لفاف	l e f ɒː f
لله	l æ l e
لوبیا	l u b i i̯ ɒː
لوید	l æ v iː d
لوید	l æ w eː d
لپتون	l e pʰ t̪ʰ o n
لپتون‌ها	l e pʰ t̪ʰ o n h ɒː
لپتون‌ها	l e pʰ t̪ʰ o n ɒː
لگام	l e ɡ ɒː m
لیبی	l iː b iː
لیسیدن	l iː s iː d̪ æ n
لیلا	l e j l ɒː
لیوان	l iː v ɒː n
ماداگاسکار	m ɒː d ɒː ɡ ɒː s k ɒː ɾ
مار	m ɒː ɾ
مارها	m ɒː ɾ h ɒː
مالاوی	m ɒː l ɒː v iː
مالته	m ɒː l tʰ æ
مالدیو	m ɒː l d iː v
مالی	m ɒː l iː
مالیدن	m ɒː l iː d̪ æ n
مانده	m uː n d̪ e
مانده	m ɒː n d̪ e
ماندگار	m ɒ n d̪ e ɡ ɒː ɾ
مانند	m ɒː n æ n d
مانی	m ɒː n iː
ماهیتابه	m ɒ j tʰ ɒ b e
ماهیچه	m ɒː h iː t ʃʰ a
ماهیچه	m ɒː h iː t ʃʰ e
ماچ	m ɒ t͡ʃʰ
مایه	m ɒː j e
مبتدی	m o b t̪ʰ æ d̪ iː
مبنا	m æ b n ɒː
متر	m e t̪ ɾ
مترادف	m o t̪ʰ æ ɾ ɒː d̪ e f
مترسک	m æ t æ ɾ s æ k
متشکرم	m o t̪ ʃ æ kʲ e ɾ æ m
متشکرم	m o t̪ʰ e ʃ æ kʲː e ɾ æ m
متعارف	m o t̪ʰ æ ʔ ɒː ɾ e f
متوسط	m o t̪ʰ æ v æ sː e t̪ʰ
متون	m o t̪ʰ uː n
مثبت	m o s b æ t̪ʰ
مجاری	m æ d ʒ ɒː ɾ iː
مجتبی	m o ʒ t̪ʰ æ b ɒː
مجد	m æ dː ʒ e d
مجد	m æː ʒ d
مجدانی	m æ d͡ʒ d ɒː n iː
محال	m o h ɑː l
محمدجواد	m o h æ mː æ d͡ʒː æ v ɒː d
محمود	m æ h m uː d̪
مخالفت	m o x ɒː l e f æ tʰ
مخمر	m o x a m m e ɾ
مدفون	m æ d f uː n
مدینه	m æ d̪ iː n e
مذاهب	m æ z ɒː h e b
مذاکره	m o z ɒː kʲ e ɾ e
مذهب	m æ z h æ b
مذهبی	m æ z h æ b iː
مرا	m æ n o
مرا	m æ ɾ ɒː
مرتضوی	m o ɾ t̪ʰ æ z æ v iː
مرداد	m u ɾ d̪ ɒː d̪
مردد	m o ɾ æ d̪ d̪ æ d̪
مردم‌شناسی	m æ ɾ d̪ o m ʃ e n ɒː s iː
مرده	m o ɾ d e
مردونه	m æ ɾ d uː n e
مردونگی	m æ ɾ d̪ uː n e ɡʲ iː
مرسی	m e ɾ s iː
مرضیه	m æ ɾ z i j e
مرطوب	m æ ɾ tʰ uː b
مرغاب	m o ɾ ɣ ɒː b
مروت	m o ɾ o vː æ tʰ
مرکز	m æ ɾ kʲ æ z
مریلا	m e ɾ i l ɒ
مزخرف	m o z æ x ɾ æ f
مزخرف‌تر	m o z æ x ɾ æ f t̪ʰ æ ɾ
مزخرف‌ترین	m o z æ x ɾ æ f t̪ʰ æ ɾ i n
مزرعه	m æ z ɾ æ ʔ e
مسئله	m æ s ʔ æ l e
مساجد	m æ s ɒː d ʒ e d
مستطیل	m o s t̪ʰ æ t̪ʰ iː l
مسعود	m æː s uː d
مسلمان	m o s æ l m ɒ n
مسلمان	m u s æ l m ɒ n
مسلمانم	m o s æ l m ɒː n æ m
مسکه	m æ s kʲ e
مسکه	m æ s kʲ æ
مسکو	m o s kʰ o
مسیحی	m æ s iː h iː
مشترک	m o ʃ t̪ʰ æ ɾ æ kʲ
مشتری	m o ʃ t̪ʰ æ ɾ iː
مشهد	m æ ʃ h æ d̪
مشکات	m e ʃ kʰ ɒː tʰ
مشکل	m o ʃ kʲ e l
مشکلات	m o ʃ kʲ e l ɒː tʰ
مشیری	m o ʃ iː ɾ iː
مصاحبه	m o s ɒː h e b e
مصون	m æ s uː n
مطلع	m æ t̪ l æ ʔ
معادله	m o ʔ ɒː d̪ e l e
معتبر	m o ʔ t̪ʰ æ b æ ɾ
معتبر	m oː t̪ʰ æ b æ ɾ
معجزه	m o ʔ d͡ʒ e z e
معجزه	m oː d͡ʒ e z e
معده	m e ʔ d e
معده	m eː d e
معشوق	m æ ʃ uː ɣ
معشوق	m ɒː ʃ uː q
معنی	m ɒː n ɒː
مغ	m o ɣ
مغاره	m æ ɢ ɒː r e
مغاره	m æ ɣ ɒː r æ
مغاک	m æ ɣ ɒː kʲ
مغاک‌تر	m æ ɣ ɒː kʰ t̪ʰ æ ɾ
مغاک‌ترین	m æ ɣ ɒː kʰ t̪ʰ æ ɾ iː n
مغرب‌زمین	m æ ɣ ɾ e b z æ m iː n
مغولستان	m o ɣ o l e s t̪ʰ ɒ n
مفتون	m æ f t̪ʰ uː n
مفقود	m æ f ɣ uː d
مقاله	m æ q ɒː l æ
مقاله	m æ ɣ ɒː l e
مقیم	m o ɣ i m
مقیم	m o ɣ iː m
ملوان	m æ l æ v ɒ n
ملیکا	m e l i kʰ ɒ
ممد	m æ m m æ d̪
من	m a
مناره	m e n ɒː ɾ e
منبع	m æ m b æ ʔ
مندن	m o n d æ n
منشی	m o n ʃ iː
منطقه	m æ n tʰ æ ɣ e
منطقه‌ها	m e n tʰ æ ɣ e h ɒː
منو	m æ n o
مهاجرت	m o h ɒː d ʒ e ɾ æ t̪ʰ
مهاجم	m o h ɒː d ʒ e m
مهبل	m a h b a l
مهبل	m a h b e l
مهدی	m e h d̪ iː
مهدی	m eː d̪ iː
مهدی	m eː t̪ iː
مهدی	m æ h d̪ iː
مهران	m e h ɾ ɒː n
مهسا	m æ h s ɒː
مهمان‌پرست	m e h m ɒ n pʰ æ ɾ æ s t
مهنوش	m æ h n uː ʃ
مهیار	m æ h j ɒː ɾ
موریس	m uː ɾ iː s
موزامبیک	m uː z ɒː m b iː k
موفق	m u v a f f a k
مولانا	m oː l ɒː n ɒː
مومیا	m uː m i j ɒː
مومیایی	m uː m i j ɒː j iː
موندن	m uː n d æ n
مچد	m æ t s t s e d
مچد	m æ t ʃ t ʃ e d
مکافات	m o kʰ ɒː f ɒː tʰ
مکان	m æ kʰ ɒ n
مکتب	m æ k tʰ æ b
مکنزی	m æ kʲ e n z i
مکنزی	m æ kʲ e n z iː
مکه	m æ k kʲ e
مکیدن	m æ kʲ iː d æ n
مگر	m æ ɡʲ e
مگر	m æ ɡʲ æ ɾ
مگردومیان	m e ɡʲ e ɾ d u m j ɒː n
مگس	m æ ɡ æ s
میانمار	m i j ɒ n m ɒː ɾ
میترا	m i t ɾ ɒ
میرنده	m iː ɾ æ n d e
میغ	m iː ɣ
می‌گم	m i ɡʲ æ m
نابینا	n ɒː b iː n ɒː
ناحیه	n ɒː h i j e
نادر	n ɒː d̪ e ɾ
نارگیله	n ɒː ɾ ɡʲ iː l e
نام‌ها	n ɒː m h ɒː
نام‌ها	n ɒː m ɒː
ناو	n ɒː v
ناودان	n ɒː v d̪ uː n
ناودان	n ɒː v d̪ ɒː n
ناگه	n ɒː ɡʲ æ h
ناگهان	n ɒː ɡʲ æ h ɒ n
نایاب	n ɒː j ɒː b
نبید	n æ b iː d
نبید	n æ b iː ð
نبیذ	n æ b iː z
نبیذ	n æ b iː ð
نتیجه	n æ t̪ʰ iː d͡ʒ e
نجفی	n æ d͡ʒ æ f iː
نجومی	n o d ʒ uː m iː
نخست	n o x o s t
نخست	n æ x o s t
نخود	n æ x o d̪
نخود	n æ x oː d̪
نروژ	n o ɾ v e ʒ
نرگس	n æ ɾ ɡʲ e s
نری	n æ ɾ iː
نریمان	n æ ɾ iː m ɒ n
نسبتا	n e s b æ t̪ʰ æ n
نسخ	n æ s x
نسخ	n æː s x
نسرین	n æ s ɾ i n
نسل	n æ s l
نسل	n æː s l
نسیم	n æ s iː m
نشئه	n æː ʃ e
نشانه	n e ʃ ɒː n e
نشستن	n e ʃ æ s t̪ʰ æ n
نصیب	n æ s iː b
نعناع	n æː n ɒː
نغز	n æ ɣ z
نغز	n æː ɣ z
نفت	n æ f t
نفس	n æ f s
نفس	n æ f æ s
نفس	n æː f s
نقطه	n o x t̪ʰ e
نم	n æ m
نمی‌دانم	n e m iː d ɒː n æ m
نمی‌دونم	n e m iː d uː n æ m
نه	n eː
نه	n oː
نه	n æ
نه	n æ ʔ
نهاد	n æ h ɒː d̪
نهادن	n e h ɒː d æ n
نهادن	n æ h ɒː d æ n
نهان	n æ h ɒ n
نهنگ	n æ h æ ŋ ɡ
نواختن	n æ v ɒː x tʰ æ n
نوازنده	n æ v ɒː z æ n d̪ e
نوازنده‌ها	n æ v ɒː z æ n d e h ɒː
نوازندگان	n æ v ɒː z æ n d e ɡ ɒː n
نوبت	n o ʊ b æ t̪ʰ
نوترینو	n uː t̪ʰ ɾ iː n o
نود	n æ v æ d̪
نورانی	n uː ɾ ɒː n iː
