a	ɑː
fah	f ɑː x
fallan	f ɑ l l ɑ n
fals	f ɑ l s
fam	f ɑː m
famblawende	f ɑː m b l ɑː w e n d e
famig	f ɑː m i j
fana	f ɑ n ɑ
fand	f ɑ n d
fandian	f ɑ n d i ɑ n
fang	f ɑ n ɡ
fanu	f ɑ n u
faran	f ɑ r ɑ n
faroþ	f ɑ r o θ
faru	f ɑ r u
fas	f ɑ s
fatian	f ɑ t i ɑ n
faþe	f ɑ θ e
faþu	f ɑ θ u
fealcen	f æ͜ɑ l k e n
feald	f æ͜ɑ l d
fealdan	f æ͜ɑ l d ɑ n
fealg	f æ͜ɑ l ɡ
fealh	f æ͜ɑ l x
feall	f æ͜ɑ l l
feallan	f æ͜ɑ l l ɑ n
fealle	f æ͜ɑ l l e
fealu	f æ͜ɑ l u
fealwian	f æ͜ɑ l w i ɑ n
fearh	f æ͜ɑ r x
fearm	f æ͜ɑ r m
fearn	f æ͜ɑ r n
fearr	f æ͜ɑ r r
feasceaft	f æ͜ɑː ʃ æ͜ɑ f t
feaw	f æ͜ɑː w
feax	f æ͜ɑ k s
feaxnett	f æ͜ɑ k s n e t t
feccan	f e t t͡ʃ ɑ n
fedan	f eː d ɑ n
feder	f e d e r
fefor	f e f o r
fegan	f eː j ɑ n
feh	f e x
feht	f e x t
fehtan	f e x t ɑ n
fela	f e l ɑ
felafeald	f e l ɑ f æ͜ɑ l d
felahror	f e l ɑ x r oː r
felan	f eː l ɑ n
feld	f e l d
feldbeo	f e l d b e͜oː
feldielfen	f e l d i͜y l f e n
feldlic	f e l d l iː t͡ʃ
feldmore	f e l d m o r e
feldswamm	f e l d s w ɑ m m
feldwyrt	f e l d w y r t
feldælfen	f e l d æ l f e n
fell	f e l l
fellan	f e l l ɑ n
fellen	f e l l e n
felt	f e l t
feltwurma	f e l t w u r m ɑ
feltwyrt	f e l t w y r t
femne	f eː m n e
fenester	f e n e s t e r
fengel	f e n ɡ e l
fenix	f eː n i k s
fenlic	f e n l iː t͡ʃ
fenn	f e n n
fennig	f e n n i j
feogan	f e͜oː j ɑ n
feogean	f e͜oː j ɑ n
feoh	f e͜o x
feohbot	f e͜o x b oː t
feohern	f e͜o x e r n
feohgift	f e͜o x j i f t
feoht	f e͜o x t
feohtan	f e͜o x t ɑ n
feohtlac	f e͜o x t l ɑː k
feola	f e͜o l ɑ
feolan	f e͜oː l ɑ n
feolo	f e͜o l o
feond	f e͜oː n d
feondlic	f e͜oː n d l iː t͡ʃ
feondræden	f e͜oː n d r æː d e n
feondscipe	f e͜oː n d ʃ i p e
feor	f e͜o r
feorbuend	f e͜o r b uː e n d
feorh	f e͜o r x
feorhbealo	f e͜o r x b æ͜ɑ l o
feorhscyldig	f e͜o r x ʃ y l d i j
feorhweard	f e͜o r x w æ͜ɑ r d
feorm	f e͜o r m
feormeham	f e͜o r m e x ɑː m
feormere	f e͜o r m e r e
feormian	f e͜o r m i ɑ n
feornes	f e͜o r n e s
feorr	f e͜o r r
feorran	f e͜o r r ɑ n
feorsian	f e͜o r s i ɑ n
feortan	f e͜o r t ɑ n
feorweg	f e͜o r w e j
feorða	f e͜oː r θ ɑ
feorþa	f e͜oː r θ ɑ
feower	f e͜oː w e r
feowerfeald	f e͜oː w e r f æ͜ɑ l d
feowerteoþa	f e͜oː w e r t e͜oː θ ɑ
feowertiene	f e͜oː w e r t i͜yː n e
feowertig	f e͜oː w e r t i j
feran	f eː r ɑ n
ferdwite	f e r d w iː t e
ferht	f e r x t
ferhþ	f e r x θ
ferian	f e r j ɑ n
ferræden	f eː r r æː d e n
fers	f e r s
fersc	f e r ʃ
ferþ	f e r θ
fesian	f eː s i ɑ n
fet	f eː t
fetel	f e t e l
feter	f e t e r
fetian	f e t i ɑ n
feþer	f e θ e r
feþerbære	f e θ e r b æː r e
fic	f iː k
fician	f i k i ɑ n
ficol	f i k o l
fictreow	f iː k t r e͜oː w
fieldestol	f i͜y l d e s t oː l
fieldstol	f i͜y l d s t oː l
fiell	f i͜y l l
fiellan	f i͜y l l ɑ n
fielleseoc	f i͜y l l e s e͜oː k
fielleseocnes	f i͜y l l e s e͜oː k n e s
fierd	f i͜y r d
fierdfæreld	f i͜y r d f æ r e l d
fierr	f i͜y r r
fiersn	f i͜y r s n
fierst	f i͜y r s t
fif	f iː f
fifealde	f iː f æ͜ɑ l d e
fifel	f iː f e l
fifelcynn	f iː f e l k y n n
fiffeald	f iː f f æ͜ɑ l d
fiffealde	f iː f f æ͜ɑ l d e
fifta	f iː f t ɑ
fifteoþa	f iː f t e͜oː θ ɑ
fiftiene	f iː f t i͜yː n e
fiftig	f iː f t i j
filmen	f i l m e n
fina	f i n ɑ
finc	f i n t͡ʃ
findan	f i n d ɑ n
findaþ	f i n d ɑ θ
findig	f i n d i j
finger	f i n ɡ e r
fingerdocce	f i n ɡ e r d o k k e
fingeræppel	f i n ɡ e r æ p p e l
finn	f i n n
finta	f i n t ɑ
finul	f i n u l
firas	f iː r ɑ s
firen	f i r e n
firendæd	f i r e n d æː d
firenfull	f i r e n f u l l
firengeorn	f i r e n j e͜o r n
firenhycga	f i r e n x y j j ɑ
firenhycge	f i r e n x y j j e
firenian	f i r e n i ɑ n
firenleahtor	f i r e n l u s t
firenlic	f i r e n l iː t͡ʃ
firenlice	f i r e n l iː t͡ʃ e
firenligerian	f i r e n l i j e r j ɑ n
firenlust	f i r e n l u s t
firensynn	f i r e n s y n n
firensynnig	f i r e n s y n n i j
firentacen	f i r e n t ɑː k e n
firentacnian	f i r e n t ɑː k n i ɑ n
firenum	f i r e n u m
firgen	f i r ɡ e n
firgengat	f i r ɡ e n ɡ ɑː t
fisc	f i ʃ
fiscere	f i ʃ ʃ e r e
fiscian	f i s k i ɑ n
fisclacu	f i ʃ l ɑ k u
fiscoþ	f i s k o θ
fitt	f i t t
fixen	f i k s e n
fiþerbære	f i θ e r b æː r e
fiþere	f i θ e r e
fiþerfete	f i θ e r f eː t e
fiþerian	f i θ e r i ɑ n
fiþerleas	f i θ e r l æ͜ɑː s
fiþre	f i θ r e
fiþrian	f i θ r i ɑ n
fla	f l ɑː
flacor	f l ɑ k o r
flan	f l ɑː n
flanhræd	f l ɑː n x r æ d
flaniht	f l ɑː n i x t
flanþracu	f l ɑː n θ r ɑ k u
flasce	f l ɑ s k e
flat	f l ɑː t
flaxe	f l ɑ k s e
fleah	f l æ͜ɑː x
fleam	f l æ͜ɑː m
flean	f l æ͜ɑː n
fleard	f l æ͜ɑ r d
fleardere	f l æ͜ɑ r d e r e
fleax	f l æ͜ɑ k s
fleaxen	f l æ͜ɑ k s e n
flegan	f l eː ɡ ɑ n
fleo	f l e͜oː
fleogan	f l e͜oː ɡ ɑ n
fleoge	f l e͜oː ɡ e
fleogenda	f l e͜oː ɡ e n d ɑ
fleohtan	f l e͜o x t ɑ n
fleon	f l e͜oː n
fleos	f l e͜oː s
fleotan	f l e͜oː t ɑ n
flering	f l eː r i n ɡ
flet	f l e t
flet	f l eː t
fletgefeoht	f l e t j e f e͜o x t
flett	f l e t t
flewsa	f l eː w s ɑ
flicorian	f l i k o r i ɑ n
fliema	f l i͜yː m ɑ
fliete	f l i͜yː t e
flitan	f l iː t ɑ n
flitcræft	f l iː t k r æ f t
flocc	f l o k k
floccmælum	f l o k k m æː l u m
flocmælum	f l o k m æː l u m
flod	f l oː d
flodyþ	f l oː d yː θ
flor	f l oː r
florstan	f l oː r s t ɑː n
flota	f l o t ɑ
flotian	f l o t i ɑ n
flowan	f l oː w ɑ n
flugol	f l u ɡ o l
flyht	f l y x t
flæsc	f l æː ʃ
flæsclic	f l æː ʃ l iː t͡ʃ
flæscmangere	f l æː ʃ m ɑ n ɡ e r e
flæscmete	f l æː ʃ m e t e
fneosan	f n e͜oː s ɑ n
fnora	f n o r ɑ
fnæd	f n æ d
fnæs	f n æ s
fnæst	f n æ s t
foda	f oː d ɑ
fodor	f oː d o r
fola	f o l ɑ
folc	f o l k
folcgefeoht	f o l k j e f e͜o x t
folcland	f o l k l ɑ n d
folclar	f o l k l ɑː r
folclic	f o l k l iː t͡ʃ
folcræden	f o l k r æː d e n
folcstede	f o l k s t e d e
foldbold	f o l d b o l d
foldbuend	f o l d b uː e n d
folde	f o l d e
folgian	f o l ɡ i ɑ n
folm	f o l m
fon	f oː n
for	f o r
for	f oː r
foran	f o r ɑ n
forbeodan	f o r b e͜oː d ɑ n
forberan	f o r b e r ɑ n
forberstan	f o r b e r s t ɑ n
forbiernan	f o r b i͜y r n ɑ n
forbindan	f o r b i n d ɑ n
forbirnan	f o r b i r n ɑ n
forbitan	f o r b iː t ɑ n
forblawan	f o r b l ɑː w ɑ n
forbod	f o r b o d
forboden	f o r b o d e n
forbrecan	f o r b r e k ɑ n
forbugan	f o r b uː ɡ ɑ n
forbugennes	f o r b uː ɡ e n n e s
forbugennys	f o r b uː ɡ e n n y s
forbærnan	f o r b æ r n ɑ n
forca	f o r k ɑ
forcel	f o r k e l
forceorfan	f o r t͡ʃ e͜o r f ɑ n
forcierrednes	f o r t͡ʃ i͜y r r e d n e s
forcippian	f o r t͡ʃ i p p i ɑ n
forclingan	f o r k l i n ɡ ɑ n
forcuman	f o r k u m ɑ n
forcweþan	f o r k w e θ ɑ n
forcyrran	f o r t͡ʃ y r r ɑ n
forcyrrednes	f o r t͡ʃ y r r e d n e s
forcyrring	f o r t͡ʃ y r r i n ɡ
ford	f o r d
fordeman	f o r d eː m ɑ n
fordon	f o r d oː n
fordragan	f o r d r ɑ ɡ ɑ n
fordrencan	f o r d r e n t͡ʃ ɑ n
fordrifan	f o r d r iː f ɑ n
fordrincan	f o r d r i n k ɑ n
fordrugian	f o r d r uː ɡ i ɑ n
fordruncnian	f o r d r u n k n i ɑ n
fordwinan	f o r d w iː n ɑ n
fordælan	f o r d æː l ɑ n
forealdian	f o r æ͜ɑ l d i ɑ n
foreberan	f o r e b e r ɑ n
forebisen	f o r e b iː s e n
forebisgian	f o r e b i s j i ɑ n
forebodian	f o r e b o d i ɑ n
foreceorfan	f o r e t͡ʃ e͜o r f ɑ n
forecuman	f o r e k u m ɑ n
forecweþan	f o r e k w e θ ɑ n
foredeman	f o r e d eː m ɑ n
forefon	f o r e f oː n
foregan	f o r e ɡ ɑː n
foregangan	f o r e ɡ ɑ n ɡ ɑ n
foregenga	f o r e ɡ e n j ɑ
foregengel	f o r e ɡ e n j e l
forelar	f oː r e l ɑː r
forelocc	f o r e l o k k
forelædan	f o r e l æː d ɑ n
foremearcod	f o r e m æ͜ɑ r k o d
foremearcung	f o r e m æ͜ɑ r k u n ɡ
forenama	f o r e n ɑ m ɑ
foresceawian	f o r e ʃ æ͜ɑː w i ɑ n
foresceawung	f o r e ʃ æ͜ɑː w u n ɡ
foresecgan	f o r e s e j j ɑ n
foresendan	f o r e s e n d ɑ n
foreseon	f o r e s e͜oː n
foresetnes	f o r e s e t n e s
foresettan	f o r e s e t t ɑ n
foresmeagan	f o r e s m æ͜ɑː j ɑ n
forespræc	f o r e s p r æː t͡ʃ
forestandan	f o r e s t ɑ n d ɑ n
foresteall	f o r e s t æ͜ɑ l l
foresteppan	f o r e s t e p p ɑ n
foresægdnes	f o r e s æ j d n e s
foretacen	f o r e t ɑː k e n
foreward	f o r e w ɑ r d
forewarnian	f o r e w ɑ r n i ɑ n
foreweard	f o r e w æ͜ɑ r d
forewitan	f o r e w i t ɑ n
forewittig	f o r e w i t t i j
forewritan	f o r e w r iː t ɑ n
foreþencan	f o r e θ e n t͡ʃ ɑ n
foreþingian	f o r e θ i n ɡ i ɑ n
forfaran	f o r f ɑ r ɑ n
forfon	f o r f oː n
forgan	f o r ɡ ɑː n
forgangan	f o r ɡ ɑ n ɡ ɑ n
forgeaf	f o r j æ ɑ̯ f
forgeald	f o r j æ ɑ̯ l d
forgengel	f o r ɡ e n j e l
forgiefan	f o r j i͜y f ɑ n
forgiefendlic	f o r j i͜y f e n d l iː t͡ʃ
forgieldan	f o r j i͜y l d ɑ n
forgieman	f o r j i͜yː m ɑ n
forgiemeleasian	f o r j i͜yː m e l æ͜ɑː s i ɑ n
forgiemeleasnes	f o r j i͜yː m e l æ͜ɑː s n e s
forgietan	f o r j i͜y t ɑ n
forgifendlic	f o r j i f e n d l iː t͡ʃ
forgifnes	f o r j i f n e s
forgnagan	f o r ɡ n ɑ ɡ ɑ n
forgripan	f o r ɡ r iː p ɑ n
forgrowan	f o r ɡ r oː w ɑ n
forgyman	f o r j yː m ɑ n
forgymeleasian	f o r j yː m e l æ͜ɑː s i ɑ n
forgymeleasnes	f o r j yː m e l æ͜ɑː s n e s
forgyrdan	f o r ɡ y r d ɑ n
forhabban	f o r x ɑ b b ɑ n
forhatan	f o r x ɑː t ɑ n
forhatena	f o r x ɑː t e n ɑ
forhealdan	f o r x æ͜ɑ l d ɑ n
forheardian	f o r x æ͜ɑ r d i ɑ n
forhelan	f o r x e l ɑ n
forhierdan	f o r x i͜y r d ɑ n
forhweorfan	f o r x w e͜o r f ɑ n
forhycgan	f o r x y j j ɑ n
forhydan	f o r x yː d ɑ n
forhyrdan	f o r x y r d ɑ n
forleosan	f o r l e͜oː s ɑ n
forlicgan	f o r l i ɡ ɡ ɑ n
forliden	f o r l i d e n
forlidennes	f o r l i d e n n e s
forliger	f o r l i j e r
forligerhus	f o r l i j e r x uː s
forliþan	f o r l iː θ ɑ n
forloren	f o r l o r e n
forlædan	f o r l æː d ɑ n
forlæran	f o r l æː r ɑ n
forlætan	f o r l æː t ɑ n
forma	f o r m ɑ
formeltan	f o r m e l t ɑ n
formest	f o r m e s t
forn	f o r n
forn	f oː r n
forneah	f o r n æ͜ɑː x
forniman	f o r n i m ɑ n
forrædan	f o r r æː d ɑ n
forsacan	f o r s ɑ k ɑ n
forsace	f o r s ɑ k e
forsacende	f o r s ɑ k e n d e
forsceadan	f o r ʃ æ͜ɑː d ɑ n
forsceadan	f o r ʃ ɑː d ɑ n
forscieppan	f o r ʃ i͜y p p ɑ n
forscrihan	f o r ʃ r iː x ɑ n
forscrincan	f o r ʃ r i n k ɑ n
forscyldig	f o r ʃ y l d i j
forscyldigian	f o r ʃ y l d i ɡ i ɑ n
forscyttan	f o r ʃ y t t ɑ n
forsecan	f o r s eː t͡ʃ ɑ n
forsecgan	f o r s e j j ɑ n
forsellan	f o r s e l l ɑ n
forsendan	f o r s e n d ɑ n
forseon	f o r s e͜oː n
forseoþan	f o r s e͜oː θ ɑ n
forsettan	f o r s e t t ɑ n
forsewennes	f o r s e w e n n e s
forsittan	f o r s i t t ɑ n
forslawian	f o r s l ɑː w i ɑ n
forslean	f o r s l æ͜ɑː n
forsoc	f o r s oː k
forsocon	f o r s oː k o n
forspendan	f o r s p e n d ɑ n
forspennend	f o r s p e n n e n d
forspillan	f o r s p i l l ɑ n
forsprecan	f o r s p r e k ɑ n
forst	f o r s t
forstandan	f o r s t ɑ n d ɑ n
forstelan	f o r s t e l ɑ n
forstes	f o r s t e s
forstoppian	f o r s t o p p i ɑ n
forswelgan	f o r s w e l ɡ ɑ n
forswerian	f o r s w e r j ɑ n
forswiþan	f o r s w iː θ ɑ n
forsæcþ	f o r s æ k θ
forteon	f o r t e͜oː n
fortredan	f o r t r e d ɑ n
forweaxan	f o r w æ͜ɑ k s ɑ n
forwemman	f o r w e m m ɑ n
forwenan	f o r w eː n ɑ n
forweorpan	f o r w e͜o r p ɑ n
forweorþan	f o r w e͜o r θ ɑ n
forwlencan	f o r w l e n t͡ʃ ɑ n
forwrecan	f o r w r e k ɑ n
forwundian	f o r w u n d i ɑ n
forwyrcan	f o r w y r t͡ʃ ɑ n
forð	f o r θ
forþ	f o r θ
forþberan	f o r θ b e r ɑ n
forþbringan	f o r θ b r i n ɡ ɑ n
forþcuman	f o r θ k u m ɑ n
forþfaran	f o r θ f ɑ r ɑ n
forþferan	f o r θ f eː r ɑ n
forþferde	f o r θ f eː r d e
forþflowan	f o r θ f l oː w ɑ n
forþgan	f o r θ ɡ ɑː n
forþgang	f o r θ ɡ ɑ n ɡ
forþgangan	f o r θ ɡ ɑ n ɡ ɑ n
forþgeriman	f o r θ j e r iː m ɑ n
forþgesceaft	f o r θ j e ʃ æ͜ɑ f t
forþgestigan	f o r θ j e s t iː ɡ ɑ n
forþgewitan	f o r θ j e w iː t ɑ n
forþgewiten	f o r θ j e w i t e n
forþgewitennes	f o r θ j e w i t e n n e s
forþlædan	f o r θ l æː d ɑ n
forþrysmian	f o r θ r y s m i ɑ n
forþscype	f o r θ ʃ y p e
forþsendan	f o r θ s e n d ɑ n
forþsprecan	f o r θ s p r e k ɑ n
forþteon	f o r θ t e͜oː n
forþwisian	f o r θ w iː s i ɑ n
foster	f oː s t e r
fostor	f oː s t o r
fot	f oː t
fotadl	f oː t ɑː d l
fotadlig	f oː t ɑː d l i j
fotlic	f oː t l iː t͡ʃ
fotmælum	f oː t m æː l u m
fotscamol	f oː t ʃ ɑ m o l
fotsceamol	f oː t ʃ ɑ m o l
fotwielm	f oː t w i͜y l m
fox	f o k s
foxhol	f o k s x o l
fram	f r ɑ m
framacyrran	f r ɑ m ɑː t͡ʃ y r r ɑ n
framateon	f r ɑ m ɑː t e͜oː n
frambugan	f r ɑ m b uː ɡ ɑ n
framcierran	f r ɑ m t͡ʃ i͜y r r ɑ n
framcynn	f r ɑ m k y n n
framfæreld	f r ɑ m f æ r e l d
framhweorfan	f r ɑ m x w e͜o r f ɑ n
framian	f r ɑ m i ɑ n
franca	f r ɑ n k ɑ
francland	f r ɑ n k l ɑ n d
francrice	f r ɑ n k r iː t͡ʃ e
frasian	f r ɑː s i ɑ n
frasung	f r ɑː s u n ɡ
frea	f r æ͜ɑː
freadrihten	f r æ͜ɑː d r i x t e n
fream	f r æː ɑ̯ m
frean	f r æː ɑ̯ n
freana	f r æː ɑ̯ n ɑ
frec	f r e k
frecen	f r eː k e n
frecennes	f r eː k e n n e s
frecgan	f r e j j ɑ n
frecne	f r eː k n e
fredan	f r eː d ɑ n
frefran	f r eː f r ɑ n
fregen	f r e j e n
fregn	f r e j n
fregnan	f r e j n ɑ n
freht	f r e x t
fremde	f r e m d e
freme	f r e m e
fremede	f r e m e d e
fremedlæcan	f r e m e d l æː t͡ʃ ɑ n
fremeþe	f r e m e θ e
fremman	f r e m m ɑ n
frencisc	f r e n t͡ʃ i ʃ
freo	f r e͜oː
freod	f r e͜oː d
freodom	f r e͜oː d oː m
freogan	f r e͜oː j ɑ n
freoh	f r e͜oː x
freolac	f r e͜oː l ɑː k
freolic	f r e͜oː l iː t͡ʃ
freolice	f r e͜oː l iː t͡ʃ e
freols	f r e͜oː l s
freolsian	f r e͜oː l s i ɑ n
freolsiend	f r e͜oː l s i e n d
freond	f r e͜oː n d
freondlar	f r e͜oː n d l ɑː r
freondlaþu	f r e͜oː n d l ɑ θ u
freondleas	f r e͜oː n d l æ͜ɑː s
freondlic	f r e͜oː n d l iː t͡ʃ
freondræden	f r e͜oː n d r æː d e n
freondscipe	f r e͜oː n d ʃ i p e
freosan	f r e͜oː s ɑ n
freoþuwebba	f r e͜o θ u w e b b ɑ
freslond	f r eː s l o n d
fretan	f r e t ɑ n
fricgan	f r i j j ɑ n
frician	f r i k i ɑ n
frician	f r iː k i ɑ n
friclu	f r i k l u
fricu	f r i k u
friesa	f r i͜y s ɑ
frig	f r iː j
frigedæg	f r iː j e d æ j
frignan	f r i j n ɑ n
frinan	f r iː n ɑ n
friþ	f r i θ
friþ	f r iː θ
friþhus	f r i θ x uː s
friþian	f r i θ i ɑ n
friþigend	f r i θ i j e n d
friþleas	f r i θ l æ͜ɑː s
friþlic	f r i θ l iː t͡ʃ
friþlice	f r i θ l iː t͡ʃ e
friþotacen	f r i θ o t ɑː k e n
friþowebba	f r i θ o w e b b ɑ
friþsum	f r i θ s u m
friþsumian	f r i θ s u m i ɑ n
frocga	f r o ɡ ɡ ɑ
frod	f r oː d
frofor	f r oː f o r
froforgast	f r oː f o r ɡ ɑː s t
from	f r o m
fromcynn	f r o m k y n n
fromcyrran	f r o m t͡ʃ y r r ɑ n
fromhweorfan	f r o m x w e͜o r f ɑ n
frosc	f r o ʃ
frowe	f r oː w e
frox	f r o k s
fruma	f r u m ɑ
frumcynn	f r u m k y n n
frumcyrr	f r u m t͡ʃ y r r
frumlida	f r u m l i d ɑ
frumsceaft	f r u m ʃ æ͜ɑ f t
fryhtu	f r y x t u
frymþ	f r y m θ
frymþu	f r y m θ u
frysa	f r y s ɑ
fræfel	f r æ f e l
frægn	f r æ j n
frægning	f r æ j n i n ɡ
frætwe	f r æ t w e
fugelere	f u ɡ e l e r e
fuglere	f u ɡ l e r e
fugol	f u ɡ o l
fuht	f uː x t
ful	f u l
ful	f uː l
fuldon	f u l d oː n
fulfremed	f u l f r e m e d
fulfremednes	f u l f r e m e d n e s
fulgenihtsum	f u l j e n i x t s u m
fulian	f uː l i ɑ n
full	f u l l
fullfyllan	f u l l f y l l ɑ n
fullice	f u l l iː t͡ʃ e
fulnes	f uː l n e s
fultum	f u l t u m
fultuman	f u l t u m ɑ n
fultumian	f u l t u m i ɑ n
fultumleas	f u l t u m l æ͜ɑː s
fulwian	f u l w i ɑ n
fulwiht	f u l w i x t
fulwihtan	f u l w i x t ɑ n
fulwihtian	f u l w i x t i ɑ n
fundian	f u n d i ɑ n
furþum	f u r θ u m
fus	f uː s
fyhtan	f yː x t ɑ n
fylan	f yː l ɑ n
fylgan	f y l j ɑ n
fyllan	f y l l ɑ n
fyllu	f y l l u
fylþ	f yː l θ
fylþu	f yː l θ u
fyndel	f y n d e l
fyr	f y r
fyr	f yː r
fyrd	f y r d
fyrdrinc	f y r d r i n k
fyrdsearu	f y r d s æ͜ɑ r u
fyrdwite	f y r d w iː t e
fyren	f y r e n
fyren	f yː r e n
fyrenþearf	f y r e n θ æ͜ɑ r f
fyrest	f y r e s t
fyrgengat	f y r j e n ɡ ɑː t
fyrhtu	f y r x t u
fyrhus	f yː r x uː s
fyrhþ	f y r x θ
fyrhþe	f y r x θ e
fyrmest	f y r m e s t
fyrn	f y r n
fyrst	f y r s t
fyrstan	f yː r s t ɑː n
fyrtorr	f yː r t o r r
fyrwet	f y r w e t
fyrwit	f y r w i t
fysan	f yː s ɑ n
fysian	f yː s i ɑ n
fyst	f yː s t
fyxen	f y k s e n
fæc	f æ k
fæcele	f æ k e l e
fæcne	f æː k n e
fæder	f æ d e r
fædera	f æ d e r ɑ
fæderen	f æ d e r e n
fæderland	f æ d e r l ɑ n d
fæderleas	f æ d e r l æ͜ɑː s
fæderlic	f æ d e r l iː t͡ʃ
fæderrice	f æ d e r r iː t͡ʃ e
fægan	f æː j ɑ n
fæge	f æː j e
fægen	f æ j e n
fæger	f æ j e r
fægernes	f æ j e r n e s
fægnian	f æ j n i ɑ n
fæhþ	f æː x θ
fæhþbot	f æː x θ b oː t
fæhþe	f æː h θ e
fæhþu	f æː x θ u
fæla	f æː l ɑ
fæle	f æː l e
fælsian	f æː l s i ɑ n
fæman	f æː m ɑ n
fæmende	f æː m e n d e
fæmne	f æː m n e
fæmnhad	f æː m n x ɑː d
fær	f æ r
fær	f æː r
færbu	f æ r b u
færeld	f æ r e l d
færeldboc	f æ r e l d b oː k
færeldfreols	f æ r e l d f r e͜oː l s
færgripe	f æː r ɡ r i p e
færgryre	f æː r ɡ r y r e
færinga	f æː r i n ɡ ɑ
fæs	f æ s
fæsl	f æ s l
fæss	f æ s s
fæst	f æ s t
fæstan	f æ s t ɑ n
fæsten	f æ s t e n
fæstlice	f æ s t l iː t͡ʃ e
fæstnes	f æ s t n e s
fæstnian	f æ s t n i ɑ n
fæstnung	f æ s t n u n ɡ
fæt	f æ t
fæt	f æː t
fætels	f æ t e l s
fætnes	f æ t n e s
fætt	f æː t t
fæx	f æ k s
fæþm	f æ θ m
gaast	ɡ ɑː s t
gaderian	ɡ ɑ d e r i ɑ n
gaderung	ɡ ɑ d e r u n ɡ
gador	ɡ ɑ d o r
gadrian	ɡ ɑ d r i ɑ n
gafol	ɡ ɑ f o l
gafolrand	ɡ ɑ f o l r ɑ n d
gafolræden	ɡ ɑ f o l r æː d e n
gal	ɡ ɑː l
galan	ɡ ɑ l ɑ n
galdor	ɡ ɑ l d o r
galdre	ɡ ɑ l d r e
galfull	ɡ ɑː l f u l l
gamen	ɡ ɑ m e n
gamenian	ɡ ɑ m e n i ɑ n
gamnian	ɡ ɑ m n i ɑ n
gamol	ɡ ɑ m o l
gan	ɡ ɑː n
gang	ɡ ɑ n ɡ
gangan	ɡ ɑ n ɡ ɑ n
gangere	ɡ ɑ n ɡ e r e
gangern	ɡ ɑ n ɡ e r n
gangweg	ɡ ɑ n ɡ w e j
ganot	ɡ ɑ n o t
ganra	ɡ ɑ n r ɑ
gar	ɡ ɑː r
garas	ɡ ɑː r ɑ s
gardena	ɡ ɑː r d e n ɑ
gardene	ɡ ɑː r d e n e
garleac	ɡ ɑː r l æ͜ɑː k
garsecg	ɡ ɑː r s e j j
gast	ɡ ɑː s t
gastbana	ɡ ɑː s t b ɑ n ɑ
gastberend	ɡ ɑː s t b e r e n d
gastcund	ɡ ɑː s t k u n d
gastgedal	ɡ ɑː s t j e d ɑː l
gastgifu	ɡ ɑː s t j i f u
gastleas	ɡ ɑː s t l æ͜ɑː s
gastlic	ɡ ɑː s t l iː t͡ʃ
gastlice	ɡ ɑː s t l iː t͡ʃ e
gastsunu	ɡ ɑː s t s u n u
gat	ɡ ɑː t
gathierde	ɡ ɑː t x i͜y r d e
gathiorde	ɡ ɑː t x i͜u r d e
gathyrde	ɡ ɑː t x y r d e
gatum	ɡ ɑː t u m
ge	j e
ge	j eː
gea	j æ͜ɑː
geac	j æ͜ɑː k
geaces	j æ͜ɑː k e s
geador	j æ͜ɑ d o r
geador	ɡ æ͜ɑ d o r
geafon	j æ͜ɑː f o n
geagnian	j e ɑː ɡ n i ɑ n
geagniendlic	j ɑː ɡ n i͜y n d l iː t͡ʃ
geagnigendlic	j ɑː ɡ n i j e n d l iː t͡ʃ
geahl	j æ͜ɑ x l
gealdor	j æ͜ɑ l d o r
gealga	j æ͜ɑ l ɡ ɑ
gealla	j æ͜ɑ l l ɑ
gean	j æ͜ɑː n
geancyrr	j æ͜ɑː n t͡ʃ y r r
geanhweorfan	j æ͜ɑː n x w e͜o r f ɑ n
geanian	j e ɑː n i ɑ n
geanlæcan	j e ɑː n l æː t͡ʃ ɑ n
geap	j æ͜ɑː p
gear	j æ͜ɑː r
geara	j ɑː r ɑ
gearcian	j æ͜ɑ r k i ɑ n
geard	j æ͜ɑ r d
geardagas	j æ͜ɑː r d ɑ ɡ ɑ s
geardagum	j æ͜ɑː r d ɑ ɡ u m
geardum	j æ ɑ r d u m
gearlic	j æ͜ɑː r l iː t͡ʃ
gearn	j æ͜ɑ r n
gearu	j æ͜ɑ r u
gearwe	j æ͜ɑ r w e
gearwian	j æ͜ɑ r w i ɑ n
geascian	j e ɑː s k i ɑ n
geat	j æ͜ɑ t
geat	j æ͜ɑː t
geatan	j æ͜ɑː t ɑ n
geatolic	j æ͜ɑ t o l iː t͡ʃ
geatwa	j æ͜ɑ t w ɑ
geatwe	j æ͜ɑ t w e
gebad	j e b ɑː d
gebannan	j e b ɑ n n ɑ n
gebeacnian	j e b æ͜ɑː k n i ɑ n
gebeagian	j e b æ͜ɑː ɡ i ɑ n
gebed	j e b e d
gebedda	j e b e d d ɑ
gebeodan	j e b e͜oː d ɑ n
gebeor	j e b e͜oː r
gebeorc	j e b e͜o r k
gebeorg	j e b e͜o r ɡ
gebeotian	j e b e͜oː t i ɑ n
geberan	j e b e r ɑ n
gebetan	j e b eː t ɑ n
gebeterian	j e b e t e r i ɑ n
gebetung	j e b eː t u n ɡ
gebicnian	j e b iː k n i ɑ n
gebidan	j e b iː d ɑ n
