ア	a̠
キャンデー	kʲ ã̠ n d e̞ː
キャンバス	kʲ ã̠ m b a̠ s ɨᵝ
キャンパス	kʲ ã̠ m p a̠ s ɨᵝ
キャンピング	kʲ ã̠ m pʲ ĩ ŋ ɡ ɯ̟ᵝ
キャンピングカー	kʲ ã̠ m pʲ ĩ ŋ ɡ ɯ̟ᵝ k a̠ː
キャンプ	kʲ ã̠ m p ɯ̟ᵝ
キャンプサイト	kʲ ã̠ m p ɯ̟ᵝ s ḁ i t o̞
キャンプファイア	kʲ ã̠ m p ɯ̟ᵝ ɸ ḁ i a̠
キャンベラ	kʲ ã̠ m b e̞ ɾ a̠
キャンペーン	kʲ ã̠ m p ẽ̞ː ɴ
キュ	kʲ ɨᵝ
キュクロプス	kʲ ɨᵝ k ɯ̟ᵝ ɾ o̞ p ɯ̟ᵝ s ɨ̥ᵝ
キュビスム	kʲ ɨᵝ bʲ i s ɨᵝ m ɯ̟ᵝ
キュリウム	kʲ ɨᵝ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
キュリー	kʲ ɨᵝ ɾʲ iː
キュロット	kʲ ɨᵝ ɾ o̞ t̚ t o̞
キュー	kʲ ɨᵝː
キューバ	kʲ ɨᵝː b a̠
キュービズム	kʲ ɨᵝː bʲ i z ɨᵝ m ɯ̟ᵝ
キューピッド	kʲ ɨᵝː pʲ i d̚ d̥ o̞
キョ	kʲ o̞
キラー	kʲ i ɾ a̠ː
キリスト	kʲ i ɾʲ i s ɨᵝ t o̞
キル	kʲ i ɾ ɯ̟ᵝ
キルト	kʲ i ɾ ɯ̟ᵝ t o̞
キルレ	kʲ i ɾ ɯ̟ᵝ ɾ e̞
キロ	kʲ i ɾ o̞
キログラム	kʲ i ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
キンカジュー	kʲ ĩ ŋ k a̠ ʑ ɨᵝː
キンキ	kʲ ĩ ŋʲ kʲ i
キング	kʲ ĩ ŋ ɡ ɯ̟ᵝ
キングコブラ	kʲ ĩ ŋ ɡ ɯ̟ᵝ k o̞ b ɯ̟ᵝ ɾ a̠
キングストン	kʲ ĩ ŋ ɡ ɯ̟ᵝ s ɨᵝ t õ̞ ɴ
キングペンギン	kʲ ĩ ŋ ɡ ɯ̟ᵝ p ẽ̞ ŋʲ ɡʲ ĩ ɴ
キンセアニェーラ	kʲ ĩ ɰ̃ s e̞ a̠ ɲ̟ e̞ː ɾ a̠
キンパ	kʲ ĩ m p a̠
キー	kʲ iː
キーウィ	kʲ iː ɰᵝ i
キービジュ	kʲ iː bʲ i ʑ ɨᵝ
キービジュアル	kʲ iː bʲ i ʑ ɨᵝ a̠ ɾ ɯ̟ᵝ
キープ	kʲ iː p ɯ̟ᵝ
キーマン	kʲ iː m ã̠ ɴ
キーライム	kʲ iː ɾ a̠ i m ɯ̟ᵝ
キーライムパイ	kʲ iː ɾ a̠ i m ɯ̟ᵝ p a̠ i
キーワード	kʲ iː ɰᵝ a̠ː d o̞
キーン	kʲ ĩː ɴ
キーンコーンカーンコーン	kʲ ĩː ŋ k õ̞ː ŋ k ã̠ː ŋ k õ̞ː ɴ
ギ	ɡʲ i
ギェ	ɡʲ e̞
ギグエコノミー	ɡʲ i ɡ ɯ̟ᵝ e̞ k o̞ n o̞ mʲ iː
ギシギシアンアン	ɡʲ i ɕ i ɡʲ i ɕ i ã̠ ɰ̃ ã̠ ɴ
ギタリスト	ɡʲ i t a̠ ɾʲ i s ɨᵝ t o̞
ギター	ɡʲ i t a̠ː
ギニアピッグ	ɡʲ i ɲ̟ i a̠ pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
ギニーピッグ	ɡʲ i ɲ̟ iː pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
ギビバイト	ɡʲ i bʲ i b a̠ i t o̞
ギビビット	ɡʲ i bʲ i bʲ i t̚ t o̞
ギブアンドテーク	ɡʲ i b ɯ̟ᵝ ã̠ n d o̞ t e̞ː k ɯ̟ᵝ
ギャ	ɡʲ a̠
ギャップ	ɡʲ a̠ p̚ p ɯ̟ᵝ
ギャバ	ɡʲ a̠ b a̠
ギャバジン	ɡʲ a̠ b a̠ ʑ ĩ ɴ
ギャフ	ɡʲ a̠ ɸ ɯ̟ᵝ
ギャラ	ɡʲ a̠ ɾ a̠
ギャラリー	ɡʲ a̠ ɾ a̠ ɾʲ iː
ギャランティ	ɡʲ a̠ ɾ ã̠ n tʲ i
ギャル	ɡʲ a̠ ɾ ɯ̟ᵝ
ギャルゲー	ɡʲ a̠ ɾ ɯ̟ᵝ ɡ e̞ː
ギャルゲーム	ɡʲ a̠ ɾ ɯ̟ᵝ ɡ e̞ː m ɯ̟ᵝ
ギュ	ɡʲ ɨᵝ
ギョ	ɡʲ o̞
ギヨチン	ɡʲ i j o̞ t͡ɕ ĩ ɴ
ギリシャ	ɡʲ i ɾʲ i ɕ a̠
ギロチン	ɡʲ i ɾ o̞ t͡ɕ ĩ ɴ
ギンガム	ɡʲ ĩ ŋ ɡ a̠ m ɯ̟ᵝ
ギンギツネ	ɡʲ ĩ ŋʲ ɡʲ i t͡s ɨᵝ n e̞
ギー	ɡʲ iː
ク	k ɯ̟ᵝ
クァ	k ɰᵝ a̠
クアッガ	k ɯ̟ᵝ a̠ ɡ̚ ɡ̊ a̠
クィ	k ɰᵝ i
クィディッチ	k ɰᵝ i dʲ i t̚ t͡ɕ i
クイズ	k ɯ̟ᵝ i z ɨᵝ
クイーン	k ɯ̟ᵝ ĩː ɴ
クェ	k ɰᵝ e̞
クェゼリン	k ɰᵝ e̞ z e̞ ɾʲ ĩ ɴ
クエスチョンマーク	k ɯ̟ᵝ e̞ s ɨᵝ t͡ɕ õ̞ m m a̠ː k ɯ̟ᵝ
クエリ	k ɯ̟ᵝ e̞ ɾʲ i
クエーカー	k ɯ̟ᵝ e̞ː k a̠ː
クエーサー	k ɯ̟ᵝ e̞ː s a̠ː
クォ	k ɰᵝ o̞
クォーク	k ɰᵝ o̞ː k ɯ̟ᵝ
クォークチーズ	k ɰᵝ o̞ː k ɯ̟ᵝ t͡ɕ iː z ɨᵝ
クォーター	k ɰᵝ o̞ː t a̠ː
クォーターバック	k ɰᵝ o̞ː t a̠ː b a̠ k̚ k ɯ̟ᵝ
クオーク	k ɯ̟ᵝ o̞ː k ɯ̟ᵝ
クオータリー	k ɯ̟ᵝ o̞ː t a̠ ɾʲ iː
クオーター	k ɯ̟ᵝ o̞ː t a̠ː
クサイ	k ɯ̟̊ᵝ s a̠ i
クシー	k ɯ̟̊ᵝ ɕ iː
クソカキコ	k ɯ̟ᵝ s o̞ k a̠ kʲ i k o̞
クソガキ	k ɯ̟ᵝ s o̞ ɡ a̠ kʲ i
クチュリエ	k ɯ̟ᵝ t͡ɕ ɨᵝ ɾʲ i e̞
クッキー	k ɯ̟̊ᵝ k̚ʲ kʲ iː
クッション	k ɯ̟ᵝ ɕː õ̞ ɴ
クッパ	k ɯ̟ᵝ p̚ p a̠
クライエント	k ɯ̟ᵝ ɾ a̠ i ẽ̞ n t o̞
クラウドファンディング	k ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ d o̞ ɸ ã̠ n dʲ ĩ ŋ ɡ ɯ̟ᵝ
クラウド・サーフィング	k ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ d o̞ s a̠ː ɸʲ ĩ ŋ ɡ ɯ̟ᵝ
クラス	k ɯ̟ᵝ ɾ a̠ s ɨᵝ
クラスター	k ɯ̟ᵝ ɾ a̠ s ɨᵝ t a̠ː
クラッキング	k ɯ̟ᵝ ɾ a̠ k̚ʲ kʲ ĩ ŋ ɡ ɯ̟ᵝ
クラファン	k ɯ̟ᵝ ɾ a̠ ɸ ã̠ ɴ
クラブ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
クラブサンドイッチ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ s ã̠ n d o̞ i t̚ t͡ɕ i
クラブチーム	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ t͡ɕ iː m ɯ̟ᵝ
クラブハウス	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ h a̠ ɯ̟ᵝ s ɨᵝ
クラブミュージック	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ mʲ ɨᵝː ʑ i k̚ k ɯ̟ᵝ
クラミジア	k ɯ̟ᵝ ɾ a̠ mʲ i ʑ i a̠
クラリネット	k ɯ̟ᵝ ɾ a̠ ɾʲ i n e̞ t̚ t o̞
クランク	k ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟ᵝ
クランベリー	k ɯ̟ᵝ ɾ ã̠ m b e̞ ɾʲ iː
クリア	k ɯ̟ᵝ ɾʲ i a̠
クリエイター	k ɯ̟ᵝ ɾʲ i e̞ː t a̠ː
クリエイティブ	k ɯ̟ᵝ ɾʲ i e̞ː tʲ i b ɯ̟ᵝ
クリエーター	k ɯ̟ᵝ ɾʲ i e̞ː t a̠ː
クリオーリョ	k ɯ̟ᵝ ɾʲ i o̞ː ɾʲ o̞
クリオール	k ɯ̟ᵝ ɾʲ i o̞ː ɾ ɯ̟ᵝ
クリケット	k ɯ̟ᵝ ɾʲ i k e̞ t̚ t o̞
クリス	k ɯ̟ᵝ ɾʲ i s ɨ̥ᵝ
クリスマス	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ
クリスマスイブ	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨ̥ᵝ i b ɯ̟ᵝ
クリスマスツリー	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ ̥ t͡s ɨᵝ ɾʲ iː
クリップボード	k ɯ̟ᵝ ɾʲ i p̚ p ɯ̟ᵝ b o̞ː d o̞
クリトリス	k ɯ̟ᵝ ɾʲ i t o̞ ɾʲ i s ɨ̥ᵝ
クリニック	k ɯ̟ᵝ ɾʲ i ɲ̟ i k̚ k ɯ̟ᵝ
クリノリン	k ɯ̟ᵝ ɾʲ i n o̞ ɾʲ ĩ ɴ
クリプトン	k ɯ̟ᵝ ɾʲ i p ɯ̟̊ᵝ t õ̞ ɴ
クリーナー	k ɯ̟ᵝ ɾʲ iː n a̠ː
クリーン	k ɯ̟ᵝ ɾʲ ĩː ɴ
クルアーン	k ɯ̟ᵝ ɾ ɯ̟ᵝ ã̠ː ɴ
クルー	k ɯ̟ᵝ ɾ ɯ̟ᵝː
クレオール	k ɯ̟ᵝ ɾ e̞ o̞ː ɾ ɯ̟ᵝ
クレカ	k ɯ̟ᵝ ɾ e̞ k a̠
クレジット	k ɯ̟ᵝ ɾ e̞ ʑ i t̚ t o̞
クレジットカード	k ɯ̟ᵝ ɾ e̞ ʑ i t̚ t o̞ k a̠ː d o̞
クレパス	k ɯ̟ᵝ ɾ e̞ p a̠ s ɨᵝ
クレヨン	k ɯ̟ᵝ ɾ e̞ j õ̞ ɴ
クレープ	k ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ
クレープデシン	k ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ d e̞ ɕ ĩ ɴ
クレーマー	k ɯ̟ᵝ ɾ e̞ː m a̠ː
クレーン	k ɯ̟ᵝ ɾ ẽ̞ː ɴ
クロケット	k ɯ̟ᵝ ɾ o̞ k e̞ t̚ t o̞
クロスオーバー	k ɯ̟ᵝ ɾ o̞ s ɨᵝ o̞ː b a̠ː
クロスサイトスクリプティング	k ɯ̟ᵝ ɾ o̞ s ɨᵝ s a̠ i t o̞ s ɨᵝ k ɯ̟ᵝ ɾʲ i p ɯ̟ᵝ tʲ ĩ ŋ ɡ ɯ̟ᵝ
クロスワード	k ɯ̟ᵝ ɾ o̞ s ɨᵝ ɰᵝ a̠ː d o̞
クロスワードパズル	k ɯ̟ᵝ ɾ o̞ s ɨᵝ ɰᵝ a̠ː d o̞ p a̠ z ɨᵝ ɾ ɯ̟ᵝ
クロックラジオ	k ɯ̟ᵝ ɾ o̞ k̚ k ɯ̟ᵝ ɾ a̠ ʑ i o̞
クロッケー	k ɯ̟ᵝ ɾ o̞ k̚ k e̞ː
クロマキー	k ɯ̟ᵝ ɾ o̞ m a̠ kʲ iː
クロム	k ɯ̟ᵝ ɾ o̞ m ɯ̟ᵝ
クロモリ	k ɯ̟ᵝ ɾ o̞ m o̞ ɾʲ i
クロロフィル	k ɯ̟ᵝ ɾ o̞ ɾ o̞ ɸʲ i ɾ ɯ̟ᵝ
クロロベンゼン	k ɯ̟ᵝ ɾ o̞ ɾ o̞ b ẽ̞ n d͡z ẽ̞ ɴ
クロワッサン	k ɯ̟ᵝ ɾ o̞ ɰᵝ a̠ sː ã̠ ɴ
クローゼット	k ɯ̟ᵝ ɾ o̞ː z e̞ t̚ t o̞
クローラ	k ɯ̟ᵝ ɾ o̞ː ɾ a̠
クローン	k ɯ̟ᵝ ɾ õ̞ː ɴ
クヮ	k ɰᵝ a̠
クワルク	k ɯ̟ᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
クンカクンカ	k ɯ̟̃ᵝ ŋ k a̠ k ɯ̟̃ᵝ ŋ k a̠
クンニ	k ɯ̟̃ᵝ ɲ̟ ɲ̟ i
クンニリングス	k ɯ̟̃ᵝ ɲ̟ ɲ̟ i ɾʲ ĩ ŋ ɡ ɯ̟ᵝ s ɨᵝ
クヴァルク	k ɯ̟ᵝ b a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
クーニャン	k ɯ̟ᵝː ɲ̟ ã̠ ɴ
クーポン	k ɯ̟ᵝː p õ̞ ɴ
クーラー	k ɯ̟ᵝː ɾ a̠ː
クーリー	k ɯ̟ᵝː ɾʲ iː
クール	k ɯ̟ᵝː ɾ ɯ̟ᵝ
クールビズ	k ɯ̟ᵝː ɾ ɯ̟ᵝ bʲ i z ɨᵝ
クーロン	k ɯ̟ᵝː ɾ õ̞ ɴ
グ	ɡ ɯ̟ᵝ
グァ	ɡ ɰᵝ a̠
グアナコ	ɡ ɯ̟ᵝ a̠ n a̠ k o̞
グアニジン	ɡ ɯ̟ᵝ a̠ ɲ̟ i ʑ ĩ ɴ
グアバ	ɡ ɯ̟ᵝ a̠ b a̠
グィ	ɡ ɰᵝ i
グェ	ɡ ɰᵝ e̞
グォ	ɡ ɰᵝ o̞
グッズ	ɡ ɯ̟ᵝ d̚ d͡z ɨᵝ
グッバイ	ɡ ɯ̟ᵝ b̚ b̥ a̠ i
グッピー	ɡ ɯ̟ᵝ p̚ʲ pʲ iː
グッモーニン	ɡ ɯ̟ᵝ mː o̞ː ɲ̟ ĩ ɴ
グミ	ɡ ɯ̟ᵝ mʲ i
グラス	ɡ ɯ̟̊ᵝ ɾ a̠ s ɨ̥ᵝ
グラデーション	ɡ ɯ̟ᵝ ɾ a̠ d e̞ː ɕ õ̞ ɴ
グラナダ	ɡ ɯ̟̊ᵝ ɾ a̠ n a̠ d a̠
グラノーラ	ɡ ɯ̟ᵝ ɾ a̠ n o̞ː ɾ a̠
グラフ	ɡ ɯ̟ᵝ ɾ a̠ ɸ ɯ̟ᵝ
グラフィック	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i̥ k̚ k ɯ̟ᵝ
グラフィックデザイナー	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i̥ k̚ k ɯ̟ᵝ d e̞ z a̠ i n a̠ː
グラフィックデザイン	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i k̚ k ɯ̟ᵝ d e̞ z a̠ ĩ ɴ
グラフィティ	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i tʲ i
グラム	ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
グランドピアノ	ɡ ɯ̟ᵝ ɾ ã̠ n d o̞ pʲ i a̠ n o̞
グリコシド	ɡ ɯ̟ᵝ ɾʲ i k o̞ ɕ i d o̞
グリコーゲン	ɡ ɯ̟ᵝ ɾʲ i k o̞ː ɡ ẽ̞ ɴ
グリシン	ɡ ɯ̟ᵝ ɾʲ i ɕ ĩ ɴ
グリズリー	ɡ ɯ̟ᵝ ɾʲ i z ɨᵝ ɾʲ iː
グリセリド	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ i d o̞
グリセリン	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ ĩ ɴ
グリセロール	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾ o̞ː ɾ ɯ̟ᵝ
グリッサンド	ɡ ɯ̟ᵝ ɾʲ i sː ã̠ n d o̞
グリンプス	ɡ ɯ̟ᵝ ɾʲ ĩ m p ɯ̟ᵝ s ɨᵝ
グリークラブ	ɡ ɯ̟ᵝ ɾʲ iː k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
グリーグ	ɡ ɯ̟ᵝ ɾʲ iː ɡ ɯ̟ᵝ
グリーンタフ	ɡ ɯ̟ᵝ ɾʲ ĩː n t a̠ ɸ ɯ̟ᵝ
グリーンピース	ɡ ɯ̟ᵝ ɾʲ ĩː m pʲ iː s ɨᵝ
グリーンランド	ɡ ɯ̟ᵝ ɾʲ ĩː n ɾ ã̠ n d o̞
グルコース	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ k o̞ː s ɨᵝ
グルジア	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ʑ i a̠
グルタミン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ mʲ ĩ ɴ
グルテン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t ẽ̞ ɴ
グルテンミート	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t ẽ̞ mʲː iː t o̞
グルーオン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː õ̞ ɴ
グループ	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː p ɯ̟ᵝ
グレイ	ɡ ɯ̟ᵝ ɾ e̞ː
グレイシア	ɡ ɯ̟ᵝ ɾ e̞ː ɕ i a̠
グレイ・カップ	ɡ ɯ̟ᵝ ɾ e̞ː k a̠ p̚ p ɯ̟ᵝ
グレコローマン	ɡ ɯ̟ᵝ ɾ e̞ k o̞ ɾ o̞ː m ã̠ ɴ
グレップ	ɡ ɯ̟ᵝ ɾ e̞ p̚ p ɯ̟ᵝ
グレンフェル	ɡ ɯ̟ᵝ ɾ ẽ̞ ɰ̃ ɸ e̞ ɾ ɯ̟ᵝ
グレー	ɡ ɯ̟ᵝ ɾ e̞ː
グレースケール	ɡ ɯ̟ᵝ ɾ e̞ː s ɨ̥ᵝ k e̞ː ɾ ɯ̟ᵝ
グレート・ピレニーズ	ɡ ɯ̟ᵝ ɾ e̞ː t o̞ pʲ i ɾ e̞ ɲ̟ iː z ɨᵝ
グレービー	ɡ ɯ̟ᵝ ɾ e̞ː bʲ iː
グレープフルーツ	ɡ ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝː t͡s ɨᵝ
グロ	ɡ ɯ̟ᵝ ɾ o̞
グログラン	ɡ ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ ã̠ ɴ
グロテスク	ɡ ɯ̟ᵝ ɾ o̞ t e̞ s ɨᵝ k ɯ̟ᵝ
グロリア	ɡ ɯ̟ᵝ ɾ o̞ ɾʲ i a̠
グローバリゼーション	ɡ ɯ̟ᵝ ɾ o̞ː b a̠ ɾʲ i z e̞ː ɕ õ̞ ɴ
グローリア	ɡ ɯ̟ᵝ ɾ o̞ː ɾʲ i a̠
グヮ	ɡ ɰᵝ a̠
グー	ɡ ɯ̟ᵝː
グーグル	ɡ ɯ̟ᵝː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
グーパン	ɡ ɯ̟ᵝː p ã̠ ɴ
ケ	k e̞
ケイ	k e̞ː
ケチャップ	k e̞ t͡ɕ a̠ p̚ p ɯ̟ᵝ
ケツバット	k e̞ t͡s ɨᵝ b a̠ t̚ t o̞
ケトン	k e̞ t õ̞ ɴ
ケニア	k e̞ ɲ̟ i a̠
ケネディ	k e̞ n e̞ dʲ i
ケモナー	k e̞ m o̞ n a̠ː
ケモノ	k e̞ m o̞ n o̞
ケラヴァ	k e̞ ɾ a̠ b a̠
ケルビン	k e̞ ɾ ɯ̟ᵝ bʲ ĩ ɴ
ケルベルス	k e̞ ɾ ɯ̟ᵝ b e̞ ɾ ɯ̟ᵝ s ɨᵝ
ケルベロス	k e̞ ɾ ɯ̟ᵝ b e̞ ɾ o̞ s ɨᵝ
ケロイド	k e̞ ɾ o̞ i d o̞
ケン	k ẽ̞ ɴ
ケンブリッジ	k ẽ̞ m b ɯ̟ᵝ ɾʲ i d̚ d͡ʑ i
ケー	k e̞ː
ケーエス	k e̞ː e̞ s ɨᵝ
ケーキ	k e̞ː kʲ i
ケーシィ	k e̞ː ɕ iː
ケージ	k e̞ː ʑ i
ケージービー	k e̞ː ʑ iː bʲ iː
ケース	k e̞ː s ɨᵝ
ケーブル	k e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
ケーブルテレビ	k e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ t e̞ ɾ e̞ bʲ i
ケーブルネットワーク	k e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ t̚ t o̞ ɰᵝ a̠ː k ɯ̟ᵝ
ゲ	ɡ e̞
ゲイ	ɡ e̞ː
ゲシュタポ	ɡ e̞ ɕ ɨᵝ t ḁ p o̞
ゲス	ɡ e̞ s ɨᵝ
ゲゼルシャフト	ɡ e̞ z e̞ ɾ ɯ̟ᵝ ɕ a̠ ɸ ɯ̟ᵝ t o̞
ゲット	ɡ e̞ t̚ t o̞
ゲテモノ	ɡ e̞ t e̞ m o̞ n o̞
ゲノム	ɡ e̞ n o̞ m ɯ̟ᵝ
ゲマインシャフト	ɡ e̞ m a̠ ĩ ɰ̃ ɕ a̠ ɸ ɯ̟ᵝ t o̞
ゲリマンダー	ɡ e̞ ɾʲ i m ã̠ n d a̠ː
ゲリラ	ɡ e̞ ɾʲ i ɾ a̠
ゲル	ɡ e̞ ɾ ɯ̟ᵝ
ゲルマニウム	ɡ e̞ ɾ ɯ̟ᵝ m a̠ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ゲルマン	ɡ e̞ ɾ ɯ̟ᵝ m ã̠ ɴ
ゲレンデ	ɡ e̞ ɾ ẽ̞ n d e̞
ゲート	ɡ e̞ː t o̞
ゲーム	ɡ e̞ː m ɯ̟ᵝ
ゲームセット	ɡ e̞ː m ɯ̟ᵝ s e̞ t̚ t o̞
ゲームソフト	ɡ e̞ː m ɯ̟ᵝ s o̞ ɸ ɯ̟ᵝ t o̞
ゲームチェンジャー	ɡ e̞ː m ɯ̟ᵝ t͡ɕ ẽ̞ ɲ̟ d͡ʑ a̠ː
ゲームマスター	ɡ e̞ː m ɯ̟ᵝ m a̠ s ɨᵝ t a̠ː
コ	k o̞
コア	k o̞ a̠
コアラ	k o̞ a̠ ɾ a̠
コイキング	k o̞ i kʲ ĩ ŋ ɡ ɯ̟ᵝ
コイン	k o̞ ĩ ɴ
コイントス	k o̞ ĩ n t o̞ s ɨᵝ
コウレイグス	k o̞ː ɾ e̞ː ɡ ɯ̟ᵝ s ɨᵝ
コカイン	k o̞ k a̠ ĩ ɴ
コカコーラ	k o̞ k a̠ k o̞ː ɾ a̠
コガネムシ	k o̞ ɡ a̠ n e̞ m ɯ̟ᵝ ɕ i
コギャル	k o̞ ɡʲ a̠ ɾ ɯ̟ᵝ
ココア	k o̞ k o̞ a̠
ココナッツ	k o̞ k o̞ n a̠ t̚ t͡s ɨᵝ
コサイン	k o̞ s a̠ ĩ ɴ
コサージュ	k o̞ s a̠ː ʑ ɨᵝ
コス	k o̞ s ɨᵝ
コスチューム	k o̞ s ɨ̥ᵝ t͡ɕ ɨᵝː m ɯ̟ᵝ
コストパフォーマンス	k o̞ s ɨᵝ t o̞ p a̠ ɸ o̞ː m ã̠ ɰ̃ s ɨᵝ
コスプレ	k o̞ s ɨᵝ p ɯ̟ᵝ ɾ e̞
コスプレイヤー	k o̞ s ɨᵝ p ɯ̟ᵝ ɾ e̞ː j a̠ː
コセカント	k o̞ s e̞ k ã̠ n t o̞
コソアド	k o̞ s o̞ a̠ d o̞
コタンジェント	k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
コチュジャン	k o̞ t͡ɕ ɨᵝ ʑ ã̠ ɴ
コック	k o̞ k̚ k ɯ̟ᵝ
コットン	k o̞ t̚ t õ̞ ɴ
コップ	k o̞ p̚ p ɯ̟ᵝ
コトヌー	k o̞ t o̞ n ɯ̟ᵝː
コニャック	k o̞ ɲ̟ a̠ k̚ k ɯ̟ᵝ
コバルト	k o̞ b a̠ ɾ ɯ̟ᵝ t o̞
コビトカバ	k o̞ bʲ i t o̞ k a̠ b a̠
コピペ	k o̞ pʲ i p e̞
コピー	k o̞ pʲ iː
コブラ	k o̞ b ɯ̟ᵝ ɾ a̠
コペルニシウム	k o̞ p e̞ ɾ ɯ̟ᵝ ɲ̟ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
コボラー	k o̞ b o̞ ɾ a̠ː
コミチバシリ	k o̞ mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
コミック	k o̞ mʲ i k̚ k ɯ̟ᵝ
コミッショナー	k o̞ mʲ i ɕː o̞ n a̠ː
コミュニケーション	k o̞ mʲ ɨᵝ ɲ̟ i k e̞ː ɕ õ̞ ɴ
コミュニスト	k o̞ mʲ ɨᵝ ɲ̟ i s ɨᵝ t o̞
コミンテルン	k o̞ mʲ ĩ n t e̞ ɾ ɯ̟̃ᵝ ɴ
コム	k o̞ m ɯ̟ᵝ
コメディ	k o̞ m e̞ dʲ i
コメディクラブ	k o̞ m e̞ dʲ i k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
コメント	k o̞ m ẽ̞ n t o̞
コメントアウト	k o̞ m ẽ̞ n t o̞ a̠ ɯ̟ᵝ t o̞
コモロ	k o̞ m o̞ ɾ o̞
コヨーテ	k o̞ j o̞ː t e̞
コラット	k o̞ ɾ a̠ t̚ t o̞
コラボレーション	k o̞ ɾ a̠ b o̞ ɾ e̞ː ɕ õ̞ ɴ
コラーゲン	k o̞ ɾ a̠ː ɡ ẽ̞ ɴ
コラーン	k o̞ ɾ ã̠ː ɴ
コリアンダー	k o̞ ɾʲ i ã̠ n d a̠ː
コリン	k o̞ ɾʲ ĩ ɴ
コルカタ	k o̞ ɾ ɯ̟ᵝ k a̠ t a̠
コルク	k o̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ
コルサージュ	k o̞ ɾ ɯ̟ᵝ s a̠ː ʑ ɨᵝ
コルセット	k o̞ ɾ ɯ̟ᵝ s e̞ t̚ t o̞
コルセン	k o̞ ɾ ɯ̟ᵝ s ẽ̞ ɴ
コルチコステロン	k o̞ ɾ ɯ̟ᵝ t͡ɕ i k o̞ s ɨᵝ t e̞ ɾ õ̞ ɴ
コレクション	k o̞ ɾ e̞ k ɯ̟̊ᵝ ɕ õ̞ ɴ
コレラ	k o̞ ɾ e̞ ɾ a̠
コロッケ	k o̞ ɾ o̞ k̚ k e̞
コロナ	k o̞ ɾ o̞ n a̠
コロナウィルス	k o̞ ɾ o̞ n a̠ ɰᵝ i ɾ ɯ̟ᵝ s ɨᵝ
コロナウイルス	k o̞ ɾ o̞ n a̠ ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
コロニー	k o̞ ɾ o̞ ɲ̟ iː
コロラド	k o̞ ɾ o̞ ɾ a̠ d o̞
コロン	k o̞ ɾ õ̞ ɴ
コンクリート	k õ̞ ŋ k ɯ̟ᵝ ɾʲ iː t o̞
