abaich	a p ɪ ç
nàdarrach	n̪ˠ aː t̪ ə rˠ ə x
nàireach	n̪ˠ aː ɾʲ ə x
nàiseantach	n̪ˠ aː ʃ ə n̪ˠ t̪ ə x
nàrach	n̪ˠ aː ɾ ə x
obair	o p ə ɾʲ
obrachadh	o b r ə x ə ɣ
obraich	o p r ɪ ç
ochd	ɔ x k
odhar	o ə r
oidhche	ɤ̃ ĩ ç ə
oighre	ɤ i ɾʲ ə
oighrig	ɤ i ɾ i c
oillt	ə i ʎʲ tʰʲ
oilthigh	ɤ l h ɪ
oir	ɔ i r
oirbh	ə ɾ ə v
oisinn	o i ʃ ə n
olc	ɔ ɫ̪ x k
orainds	ɔ r ɪ n tʲ ʃ
oraindsear	ɔ ɾ ɪ ɲ tʲ ʃ ɛ ɾ
orainsear	ɔ ɾ ɪ ɲ ʃ ɛ ɾ
orm	ɔ ɾ ɔ m
ort	ɔ rˠ s t
peacach	pʰ ɛ x k ə x
peadar	pʰ e t̪ ə ɾ
peall	pʰ j a u l̪ˠ
peann	pʰ j a u n̪ˠ
peasair	pʰ ɛ s̪ ɪ ɾʲ
peileag	pʰ e l a ɡ̊
peinnsean	pʰ e i ɲ ʃ a n
peur	pʰ i ə ɾ
pheann	f j a u n̪ˠ
pheasair	f ɛ s̪ ɪ ɾʲ
pheata	f ɛʰ t̪ ə
phiuthar	f j u ə ɾ
phost	f ɔ s̪ t̪
phàisde	f aː ʃ tʰʲ ə
phàiste	f aː ʃ tʰʲ ə
pinc	pʰ i ŋʲ kʲ
piuthar	pʰ j u ə ɾ
poblachd	pʰ ɔ p l̪ˠ ə x k
poca	pʰ ɔ x k ə
post	pʰ ɔ s̪ t̪
prionnsa	p rʲ ũː n̪ˠ s ə
prògramair	p ɾ oː ɡ ɾ a m ɛ ɾʲ
pròis	p r ɔː ʃ
pròiseil	p r ɔː ʃ ɛ l
purpaidh	pʰ u r p i
put	pʰ uʰ t̪
pàipear	pʰ ɛːʰ pʰ ə ɾ
pàirc	pʰ aː ɾʲ ç kʲ
pàirtidh	pʰ aː rˠ ʃ tʲ i
pàisde	p aː ʃ tʲ ə
pìosail	pʰ iː s a l
pòca	p ɔː x k ə
pòg	pʰ ɔː k
pòs	pʰ ɔː s
pòsaidh	pʰ ɔː s̪ ɪ
radan	r a t ə n
raibeart	rˠ a p ə ɾ ʂ ʈ
raon	rˠ ɯː n
reachd	rˠ ɛ x k
reul	rˠ eː ɫ̪
reòth	rˠ ɔː
riabhach	rˠ i ə v ə x
riaghail	rˠ i ə a l
riaghailt	rˠ i ə ə l tʲ
riamh	r i ə v
ridireach	rˠ i tʲ ɪ ɾʲ ə x
rinn	rˠ iː ɲ
riochdaich	rˠ i x k ɪ ç
rionnag	rʲ uː n a k
robh	r oː
roghnaich	rˠ oː n ɪ ç
roid	rˠ ɔ tʲ
rothair	rˠ ɔ h ɪ ɾʲ
ruadh	rˠ u ə ɣ
rug	rˠ u k
ràdh	rˠ aː
ràith	rˠ aː j
ràmh	rˠ aː v
rèidh	rˠ eː j
rèite	rˠ eːʰ tʲ ə
rèiteach	rˠ eː h tʲ ə x
rèiteachadh	rˠ eː h tʲ ə x ə ɣ
rèitich	rˠ eː h tʲ ɪ ç
rìbhinn	rˠ iː v ɪ ɲ
ròb	ʀ ɔː b
ròmanach	rˠ ɔː m ə n ə x
ròn	r ɔː n
rùn	rˠ uː n
rùraich	rˠ uː ɾ ɪ ç
sabaid	s a p a tʲ , s a p ɪ tʲ
saighdear	s ɤ i tʲ ə ɾ
saighdearach	s ɤ i dʲ ə r ə x
salach	s a ɫ̪ ə x
salainn	s a l̪ˠ ə ɲ
salann	s̪ a l̪ˠ ə n̪ˠ
samhain	s a ũ i ɲ
samhla	s ã ũ l̪ˠ ə
samhradh	s a u ɾ ə ɣ
samhradh	s̪ a u ɾ ə ɣ
saoghal	s̪ ɯː ə ɫ̪
saoil	s ɯː l
sasainn	s a s ə ɲ
seachain	ʃ ɛ x ɪ n
seachainn	ʃ ɛ x ɪ ɲ
seachd	ʃ ɛ x k
seadh	ʃ ɤ ɣ
seagh	ʃ ɤ ɣ
sealg	ʃ a ɫ̪ a k
sealladh	ʃ a l̪ˠ ə ɣ
sean	ʃ ɛ n
seanair	ʃ ɛ n ɑ r
seanchais	ʃ ɛ n ə x ə ʃ
seanchas	ʃ ɛ n ə x ə s̪
seang	ʃ ɛ ŋ k
seanmhair	ʃ ɛ n ə v ɛ ɾʲ
seanmhairean	ʃ ɛ n ə v ɛ ɾʲ ə n
seanmhar	ʃ ɛ n ə v ə ɾ
seiceach	ʃ e ç kʲ ə x
seiche	ʃ e ç ə
seicich	ʃ e ç kʲ ɪ ç
seilcheag	ʃ e l ə ç a k
seile	ʃ e l ə
seileach	ʃ e l ə x
seinneadair	ʃ e ɲ ə t̪ ɪ ɾʲ
seirbheis	ʃ e ɾʲ e v ɪ ʃ
seisear	ʃ e ʃ ə ɾ
seo	ʃ ɔ
seonag	ʃ o n a k
seonaid	ʃʲ o n ɛ d͡ʒ
seumas	ʃ eː m ə s̪
seun	ʃ i a n
seàirdeant	s̪ a ɾ tʲ ɛ n t̪
seòl	ʃ ɔː ɫ̪
seòladh	ʃ ɔː ɫ̪ ə ɣ
seòmar	ʃ ɔː m ə r
seòrsa	ʃ ɔː rˠ s̪ ə
sgadan	s k a t a n
sgap	s ɡ a h b
sgeulachd	s k i ə l ə x k
sgian	s̪ kʲ i a n
sgiathach	s kʲ i ə h ə x
sgillinn	s kʲ i ʎ ɪ ɲ
sgimilear	s kʲ i m i l ə ɾʲ
sgimilearachd	s kʲ i m i l ə ɾ ə x k
sgiomalaireachd	s kʲ i m i ɫ ə ɾʲ ə x k
sgoilear	s̪ k ɔ l ɛ ɾ
sgrùdaich	s ɡ r uː d ɪ ç
shalach	h a ɫ̪ ə x
shean	h ɛ n
sheumas	h eː m ə s̪
sheòladh	h j ɔː ɫ̪ ə ɣ
shiùcair	h j uː x k ɪ ɾʲ
shoilleir	h ɤ ʎ ɪ ɾʲ
shìl	h iː l
sianar	ʃ i a n ə ɾ
siar	ʃ i ə r
sine	ʃ i n ə
sinn	ʃ i ɲ
sionnach	ʃ u n̪ˠ ə x
siorc	ʃ ɪ ɾ ʃ k
siorc	ʃ ɪ ʃ k
siubhal	ʃ u ə ɫ̪
siùcair	ʃ uː x k ɪ ɾʲ
siùcar	ʃ uː x k ə r
siùrsach	ʃ uː ɾ s̪ ə x
siùrsachd	ʃ uː rˠ s̪ ə x k
sleagh	ʃ ʎ ɤ ɣ
sleamhainn	ʃ ʎ ɛ̃ v ɪ ɲ
sleamhainn	ʃ ʎ ɛ̃ ũ̯ ɪ ɲ
sliseag	ʃ l i ʃ a k
sloc	s ɫ̪ ɔ x k
sluagh	s ɫ̪ u ə ɣ
slàinte	s l aː n t͡ʃ ə
slòighre	s̪ ɫ̪ ɤ i ɾʲ ə
smaoinich	s̪ m ɯː ɲ ɪ ç
smid	s m i tʲ
snaidhm	s̪ n a i m
snas	s̪ n̪ˠ a s̪
snog	s n̪ˠ o k
snàthad	s̪ n aː h ə t̪
soilleir	s ɤ ʎ ɪ ɾʲ
sorcha	s̪ ɔ ɾ ɔ x ə
speal	s p j a l̪ˠ
sponsair	s b ɔ n s ɛ rʲ
sponsairich	s b ɔ n s ɛ rʲ ɪ ç
sporan	s p ɔ r a n
spìos	s̪ p i ə s̪
spìos	s̪ p iː s̪
spìosrach	s̪ p iː s̪ ɾ ə x
spìosraich	s̪ p iː s̪ ɾ ɪ ç
srath	s̪ t̪ ɾ a
sreap	s t r ɛ h p
sràc	s̪ t̪ ɾ aːʰ k
sràid	s r ɑː t͡ʃ
sròn	s̪ t̪ ɾ ɔː n
stais	s d a ʃ
stamag	s̪ t̪ʰ a m a k
strì	s̪ t̪ ɾ iː
strìopach	s t̪ ɾ iː pʰ ə x
strìopachas	s t̪ ɾ iː pʰ ə x ə s̪
stèidh	s tʲ eː
stèidh	ʃ tʲ eː
stèidheadh	ʃ tʲ eː ə ɣ
stèidhich	ʃ tʲ eː ɪ ç
stèidhte	ʃ tʲ eː tʲ ə
suidhe	s̪ ɯ i ə
suirghe	s̪ ɯ ɾʲ ɯ j ə
sunndach	s̪ uː n̪ˠ t̪ˠ ə x
sàbh	s̪ aː v
sàil	s̪ aː l
sàl	s aː l̪ˠ
sàr	s̪ aː ɾ
sàraich	s̪ aː ɾ ɪ ç
sè	ʃ ɛː
sèimh	ʃ ɛː v
sèimheachadh	ʃ ɛː v ə x ə ɣ
sìl	ʃ iː l
sìle	ʃ iː lʲ ə
sìne	ʃ iː nʲ ə
sìneag	ʃ iː nʲ a k
sìor	ʃ i ə ɾ
sùil	s̪ uː l
sùnndach	s̪ uː n̪ˠ t̪ˠ ə x
t	t iː
tachair	tʰ aː x ɪ ɾʲ
tachd	t a x ɡ
tagair	tʰ a k ɪ rʲ
tagairt	t̪ʰ a k ə ɾʲ ʃ tʲ
tagh	tʰ ɤ ɣ
taghairm	t ɤ ɾʲ ɤ m
taigh	tʰ ɤ j
taisg	t a ʃ ɡʲ
taisteal	t̪ʰ a ʃ tʲ ə l̪ˠ
talamh	t̪ʰ a l̪ˠ a v
taobh	t̪ʰ ɯː v
tapadh	t a h b ə ɣ
tasdan	t̪ʰ a s̪ t̪ a n
teachd	tʲ ɛ x ɡ
teaghlach	t ʃʰ ɤː ɫ̪ ə x
teanga	tʰʲ ɛ ŋ ɡ ə
teannta	t̪ ʃʰ a u n̪ˠ t̪ʰ ə
teine	tʰʲ e n ə
teth	t ʃʰ e h
tha	h a
tha	h aː
thaigh	h ɤ j
theaghlach	h j ɤː ɫ̪ ə x
their	h eː r
thig	h i kʲ
thinn	h iː ɲ
thiugh	h j u
thu	h u
thu	u
thàinig	h aː n ɪ kʲ
thòn	h ɔː n
tighearna	t̪ʰʲ i ə rˠ n̪ˠ ə
tilg	t ʃʰ i l i kʲ
till	tʰʲ iː ʎ
tinn	tʲ ĩː ɲ
tinneas	tʰʲ i ɲ ə s̪
tiodhlaic	tʰʲ i ə ɫ̪ ɪʰ kʰʲ
tiops	t̪ʲ ɪ p s
tioram	t ʃʰ i ɾ ə m
tiugh	tʰʲ u
tobar	t̪ʰ o p ə ɾ
togair	t o ɡ ɪ rʲ
toil	t̪ʰ ɔ l
toinn	tʰ ɤ i ɲ
tolltach	t̪ʰ ɔ u ɫ̪ t̪ʰ ə x
tom	t̪ʰ ɔ u m
traisg	t̪ʰ ɾ a ʃ kʲ
trasg	t̪ʰ ɾ a s̪ k
treun	t̪ʰ ɾʲ eː n
troich	t r ɔ ç
truime	t̪ʰ ɾ ɯ m j ə
tràigh	tʰ ɾ aː j
tu	t̪ u
tuagh	t̪ʰ u ə ɣ
tuath	t̪ʰ u ə
tuil	t u l
tuilleadh	t̪ʰ ɯ ʎ ə ɣ
tuit	t̪ʰ uʰ tʰʲ
tumadh	t̪ʰ u m ə ɣ
tunnag	tʰ u n̪ˠ a k
turas	t̪ʰ u ɾ ə s̪
tìm	tʰʲ iː m
tòn	tʰ ɔː n
tòrr	t̪ʰ ɔː rˠ
uachdaran	u ə x k ə r ə n
uaigneach	u ə kʲ ɲ ə x
uaine	u ə ɲ ə
uan	u a n
uathachas	u ə h ə x ə s
ubhal	u ə ɫ̪
ugan	u k a n
ugh	u
uicipeid	u ç kʲ ɪ p e tʲ
uidh	u j
uill	w i l
uill	w ə l
uill	w ɛ l
uilleam	ɯ ʎ ə m
uiseag	ɪ ʃʲ a k
uiseag	ɯ ʃ a k
uisge	ɯ ʃ kʲ ə
umha	ũ ə
ungair	u ŋ k ɪ ɾʲ
ungairis	u ŋ k ɪ ɾʲ ɪ ʃ
urras	u rˠ ə s̪
àicheadh	aː ç ə ɣ
àicheidh	aː ç ɪ
àilean	aː l a n
àird	aː ɾ ʃ t̪
àirde	aː rˠ tʲ ə
àisia	ɛː ʃ ə
àite	aːʰ tʰʲ ɪ
àl	aː l̪ˠ
àlainn	aː ɫ̪ ɪ ɲ
àlas	aː l̪ˠ ə s̪
àmhainn	aː v ɪ ɲ
àrd	aː r ʃ t̪
àrd	aː rˠ sˠ t̪
àrd	aː rˠ t̪
èigh	eː v
èighich	iː ɪ ç
èirinn	eː ɾʲ ɪ ɲ
èist	eː ʃ d̥ʲ
ìoc	i ə x k
òir	ɔː ɾʲ
òr	ɔː ɾ
òran	ɔː r a n
òrd	ɔː ɾ ʃ t̪
ùidh	uː j
ùine	uː ɲ ə
ùire	uː ɾʲ ə
ùna	uː n ə
ùrnaigh	uː rˠ n̪ˠ ɪ
