aa	ɑː
karjanrehu	k ɑ r j ɑ n r e̞ ɦ u
karjanruoka	k ɑ r j ɑ n r u o̞̯ k ɑ
karjanruokinta	k ɑ r j ɑ n r u o̞̯ k i n̪ t̪ ɑ
karjantarkkailu	k ɑ r j ɑ n t̪ ɑ r kː ɑ i̯ l u
karjanäyttely	k ɑ r j ɑ n æ y̯ t̪ː e̞ l y
karjapolku	k ɑ r j ɑ p o̞ l k u
karjarotu	k ɑ r j ɑ r o̞ t̪ u
karjarutto	k ɑ r j ɑ r u t̪ː o̞
karjatalouskone	k ɑ r j ɑ t̪ ɑ l o̞ u s̠ k o̞ n e̞ ʔ
karjataloustekniikka	k ɑ r j ɑ t̪ ɑ l o̞ u s̠ t̪ e̞ k n iː kː ɑ
karjatalousteknikko	k ɑ r j ɑ t̪ ɑ l o̞ u s̠ t̪ e̞ k n i kː o̞
karjataloustuote	k ɑ r j ɑ t̪ ɑ l o̞ u s̠ t̪ u o̞̯ t̪ e̞ ʔ
karjatarha	k ɑ r j ɑ t̪ ɑ r h ɑ
karjaton	k ɑ r j ɑ t̪ o̞ n
karjavene	k ɑ r j ɑ ʋ e̞ n e̞ ʔ
karju	k ɑ r j u
karju	k ɑ r j u ʔ
karjua	k ɑ r j u ɑ
karjua	k ɑ r j u ɑ ʔ
karjuko	k ɑ r j u k o̞
karjuko	k ɑ r j u k o̞ ʔ
karjuminen	k ɑ r j u m i n e̞ n
karkaaminen	k ɑ r k ɑː m i n e̞ n
karkaisematon	k ɑ r k ɑ i̯ s̠ e̞ m ɑ t̪ o̞ n
karkaiseminen	k ɑ r k ɑ i̯ s̠ e̞ m i n e̞ n
karkaisimo	k ɑ r k ɑ i̯ s̠ i m o̞
karkaisuallas	k ɑ r k ɑ i̯ s̠ u ɑ lː ɑ s̠
karkaisukovuus	k ɑ r k ɑ i̯ s̠ u k o̞ ʋ uː s̠
karkaus	k ɑ r k ɑ u s̠
karkauspäivä	k ɑ r k ɑ u s̠ p æ i̯ ʋ æ
karkaussekunti	k ɑ r k ɑ u s̠ s̠ e̞ k u n̪ t̪ i
karkaussekunti	k ɑ r k ɑ u s̠ s̠ e̞ k u n̪ t̪ː i
karkausvuosi	k ɑ r k ɑ u s̠ ʋ u o̞̯ s̠ i
karkausyritys	k ɑ r k ɑ u s̠ y r i t̪ y s̠
karkea	k ɑ r k e̞ ɑ
karkeahko	k ɑ r k e̞ ɑ x k o̞
karkeakiteinen	k ɑ r k e̞ ɑ k i t̪ e̞ i̯ n e̞ n
karkeakäytöksinen	k ɑ r k e̞ ɑ k æ y̯ t̪ ø̞ k s̠ i n e̞ n
karkealuonteinen	k ɑ r k e̞ ɑ l u o̞̯ n̪ t̪ e̞ i̯ n e̞ n
karkeapiirteinen	k ɑ r k e̞ ɑ p iː r t̪ e̞ i̯ n e̞ n
karkeapintainen	k ɑ r k e̞ ɑ p i n̪ t̪ ɑ i̯ n e̞ n
karkeapuheinen	k ɑ r k e̞ ɑ p u ɦ e̞ i̯ n e̞ n
karkearakeinen	k ɑ r k e̞ ɑ r ɑ k e̞ i̯ n e̞ n
karkearehu	k ɑ r k e̞ ɑ r e̞ ɦ u
karkeasanainen	k ɑ r k e̞ ɑ s̠ ɑ n ɑ i̯ n e̞ n
karkeasti	k ɑ r k e̞ ɑ s̠ t̪ i ʔ
karkeasyinen	k ɑ r k e̞ ɑ s̠ y i̯ n e̞ n
karkeasäätö	k ɑ r k e̞ ɑ s̠ æː t̪ ø̞
karkeatapainen	k ɑ r k e̞ ɑ t̪ ɑ p ɑ i̯ n e̞ n
karkeatekoinen	k ɑ r k e̞ ɑ t̪ e̞ k o̞ i̯ n e̞ n
karkeishionta	k ɑ r k e̞ i̯ s̠ h i o̞ n̪ t̪ ɑ
karkeistaa	k ɑ r k e̞ i̯ s̠ t̪ ɑː ʔ
karkeistaminen	k ɑ r k e̞ i̯ s̠ t̪ ɑ m i n e̞ n
karkeistus	k ɑ r k e̞ i̯ s̠ t̪ u s̠
karkeistyö	k ɑ r k e̞ i̯ s̠ t̪ y ø̞̯
karkelo	k ɑ r k e̞ l o̞
karkelointi	k ɑ r k e̞ l o̞ i̯ n̪ t̪ i
karkeutuminen	k ɑ r k e̞ u t̪ u m i n e̞ n
karkki	k ɑ r kː i
karkkihylly	k ɑ r kː i h y lː y
karkkikauppa	k ɑ r kː i k ɑ u̯ pː ɑ
karkkila	k ɑ r kː i l ɑ
karkkilainen	k ɑ r kː i l ɑ i̯ n e̞ n
karkkilalainen	k ɑ r kː i l ɑ l ɑ i̯ n e̞ n
karkkipussi	k ɑ r kː i p u s̠ː i
karkkipäivä	k ɑ r kː i p æ i̯ ʋ æ
karkota	k ɑ r k o̞ t̪ ɑ ʔ
karkote	k ɑ r k o̞ t̪ e̞ ʔ
karkotin	k ɑ r k o̞ t̪ i n
karkottaminen	k ɑ r k o̞ t̪ t̪ ɑ m i n e̞ n
karkotusmääräys	k ɑ r k o̞ t̪ u s̠ m æː r æ y s̠
karkotuspaikka	k ɑ r k o̞ t̪ u s̠ p ɑ i̯ kː ɑ
karkotusrangaistus	k ɑ r k o̞ t̪ u s̠ r ɑ ŋː ɑ i̯ s̠ t̪ u s̠
karkotustuomio	k ɑ r k o̞ t̪ u s̠ t̪ u o̞̯ m i o̞
karku	k ɑ r k u
karkulainen	k ɑ r k u l ɑ i̯ n e̞ n
karkumatka	k ɑ r k u m ɑ t̪ k ɑ
karkuretki	k ɑ r k u r e̞ t̪ k i
karkuruus	k ɑ r k u r uː s̠
karkuteille	k ɑ r k u t̪ e̞ i̯ lː e̞ ʔ
karkuteillä	k ɑ r k u t̪ e̞ i̯ lː æ
karkuteiltä	k ɑ r k u t̪ e̞ i̯ l t̪ æ
karkutie	k ɑ r k u t̪ i e̞̯
karma	k ɑ r m ɑ
karmaista	k ɑ r m ɑ i̯ s̠ t̪ ɑ ʔ
karmea	k ɑ r m e̞ ɑ
karmeasti	k ɑ r m e̞ ɑ s̠ t̪ i ʔ
karmeliittaluostari	k ɑ r m e̞ l iː t̪ː ɑ l u o̞ s̠ t̪ ɑ r i
karmeliittamunkki	k ɑ r m e̞ l iː t̪ː ɑ m u ŋ kː i
karmeliittasisar	k ɑ r m e̞ l iː t̪ː ɑ s̠ i s̠ ɑ r
karmeus	k ɑ r m e̞ u s̠
karmi	k ɑ r m i
karmi	k ɑ r m i ʔ
karmia	k ɑ r m i ɑ
karmia	k ɑ r m i ɑ ʔ
karmiini	k ɑ r m iː n i
karmosiininpunainen	k ɑ r m o̞ s̠ iː n i m p u n ɑ i n e̞ n
karneolisormus	k ɑ r n e̞ o̞ l i s̠ o̞ r m u s̠
karnevaali	k ɑ r n e̞ ʋ ɑː l i
karnevaalijuhla	k ɑ r n e̞ ʋ ɑː l i j u x l ɑ
karnevaalimusiikki	k ɑ r n e̞ ʋ ɑː l i m u s̠ iː kː i
karnevaalipäivä	k ɑ r n e̞ ʋ ɑː l i p æ i ʋ æ
karnevaalisamba	k ɑ r n e̞ ʋ ɑː l i s̠ ɑ m b ɑ
karnevalisoida	k ɑ r n e̞ ʋ ɑ l i s̠ o̞ i̯ d ɑ ʔ
karniisi	k ɑ r n iː s̠ i
karnosinaasi	k ɑ r n o̞ s̠ i n ɑː s̠ i
karnotiitti	k ɑ r n o̞ t̪ iː t̪ː i
karoliina	k ɑ r o̞ l iː n ɑ
karoliininen	k ɑ r o̞ l iː n i n e̞ n
karolinginen	k ɑ r o̞ l i ŋː i n e̞ n
karpalohyydyke	k ɑ r p ɑ l o̞ h yː d y k e̞ ʔ
karpalohyytelö	k ɑ r p ɑ l o̞ h yː t̪ e̞ l ø̞
karpalokiisseli	k ɑ r p ɑ l o̞ k iː s̠ː e̞ l i
karpalolikööri	k ɑ r p ɑ l o̞ l i k ø̞ː r i
karpalonpunainen	k ɑ r p ɑ l o̞ m p u n ɑ i̯ n e̞ n
karpalosuo	k ɑ r p ɑ l o̞ s̠ u o̞̯
karpo	k ɑ r p o̞
karppinen	k ɑ r pː i n e̞ n
karpponen	k ɑ r pː o̞ n e̞ n
karri	k ɑ rː i
karrieerinainen	k ɑ rː i e̞ː r i n ɑ i n e̞ n
karrieristi	k ɑ rː i e̞ r i s̠ t̪ i
karrikana	k ɑ rː i k ɑ n ɑ
karrikastike	k ɑ rː i k ɑ s̠ t̪ i k e̞ ʔ
karrikatyyri	k ɑ rː i k ɑ t̪ yː r i
karrikointi	k ɑ rː i k o̞ i̯ n̪ t̪ i
karsassilmäinen	k ɑ r s̠ ɑ s̠ s̠ i l m æ i̯ n e̞ n
karsastaminen	k ɑ r s̠ ɑ s̠ t̪ ɑ m i n e̞ n
karsaus	k ɑ r s̠ ɑ u s̠
karsea	k ɑ r s̠ e̞ ɑ
karsi	k ɑ r s̠ i
karsi	k ɑ r s̠ i ʔ
karsia	k ɑ r s̠ i ɑ ʔ
karsikkokivi	k ɑ r s̠ i kː o̞ k i ʋ i
karsikkolauta	k ɑ r s̠ i kː o̞ l ɑ u̯ t̪ ɑ
karsikkopuu	k ɑ r s̠ i kː o̞ p uː
karsimalmi	k ɑ r s̠ i m ɑ l m i
karsiminen	k ɑ r s̠ i m i n e̞ n
karsimineraali	k ɑ r s̠ i m i n e̞ r ɑː l i
karsina	k ɑ r s̠ i n ɑ
karsinan	k ɑ r s̠ i n ɑ n
karsinogeeni	k ɑ r s̠ i n o̞ ɡ e̞ː n i
karsinogeenisuus	k ɑ r s̠ i n o̞ ɡ e̞ː n i s̠ uː s̠
karsinoida	k ɑ r s̠ i n o̞ i̯ d ɑ ʔ
karsinointi	k ɑ r s̠ i n o̞ i̯ n̪ t̪ i
karsinoitua	k ɑ r s̠ i n o̞ i̯ t̪ u ɑ
karsinoitua	k ɑ r s̠ i n o̞ i̯ t̪ u ɑ ʔ
karsintakilpailu	k ɑ r s̠ i n̪ t̪ ɑ k i l p ɑ i̯ l u
karsintakurssi	k ɑ r s̠ i n̪ t̪ ɑ k u r s̠ː i
karsintapeli	k ɑ r s̠ i n̪ t̪ ɑ p e̞ l i
karsintaraja	k ɑ r s̠ i n̪ t̪ ɑ r ɑ j ɑ
karsintasarja	k ɑ r s̠ i n̪ t̪ ɑ s̠ ɑ r j ɑ
karskisti	k ɑ r s̠ k i s̠ t̪ i ʔ
karskius	k ɑ r s̠ k i u s̠
karsseri	k ɑ r s̠ː e̞ r i
karsta	k ɑ r s̠ t̪ ɑ
karstaaminen	k ɑ r s̠ t̪ ɑː m i n e̞ n
karstaamo	k ɑ r s̠ t̪ ɑː m o̞
karstainen	k ɑ r s̠ t̪ ɑ i̯ n e̞ n
karstasammal	k ɑ r s̠ t̪ ɑ s̠ ɑ mː ɑ l
karsti	k ɑ r s̠ t̪ i
karstialue	k ɑ r s̠ t̪ i ɑ l u e̞ ʔ
karstimuodostuma	k ɑ r s̠ t̪ i m u o̞̯ d o̞ s̠ t̪ u m ɑ
karstinpaimenkoira	k ɑ r s̠ t̪ i m p ɑ i̯ m e̞ ŋ k o̞ i̯ r ɑ
karstoittua	k ɑ r s̠ t̪ o̞ i̯ t̪ t̪ u ɑ ʔ
karstula	k ɑ r s̠ t̪ u l ɑ
karstulalainen	k ɑ r s̠ t̪ u l ɑ l ɑ i̯ n e̞ n
kartanluku	k ɑ r t̪ ɑ n l u k u
kartano	k ɑ r t̪ ɑ n o̞
kartanohotelli	k ɑ r t̪ ɑ n o̞ h o̞ t̪ e̞ lː i
kartanolainen	k ɑ r t̪ ɑ n o̞ l ɑ i̯ n e̞ n
kartanolaisuus	k ɑ r t̪ ɑ n o̞ l ɑ i̯ s̠ uː s̠
kartanonherra	k ɑ r t̪ ɑ n o̞ n h e̞ rː ɑ
kartanonomistaja	k ɑ r t̪ ɑ n o̞ n o̞ m i s̠ t̪ ɑ j ɑ
kartanonrouva	k ɑ r t̪ ɑ n o̞ n r o̞ u̯ ʋː ɑ
kartanorakennus	k ɑ r t̪ ɑ n o̞ r ɑ k e̞ nː u s̠
kartanoromantiikka	k ɑ r t̪ ɑ n o̞ r o̞ m ɑ n t̪ iː kː ɑ
kartanpiirtäjä	k ɑ r t̪ ɑ m p iː r t̪ æ j æ
kartanpiirustus	k ɑ r t̪ ɑ m p iː r u s̠ t̪ u s̠
kartellihinta	k ɑ r t̪ e̞ lː i h i n̪ t̪ ɑ
kartellisopimus	k ɑ r t̪ e̞ lː i s̠ o̞ p i m u s̠
kartelloitua	k ɑ r t̪ e̞ l l o̞ i̯ t̪ u ɑ ʔ
kartesianismi	k ɑ r t̪ e̞ s̠ i ɑ n i s̠ m i
kartessi	k ɑ r t̪ e̞ s̠ː i
karting	k ɑ r t̪ i ŋː
karting	k ɑ r t̪ː i ŋː
kartiohammaspyörä	k ɑ r t̪ i o̞ h ɑ mː ɑ s̠ p y ø̞̯ r æ
kartioholkki	k ɑ r t̪ i o̞ h o̞ l kː i
kartiokulma	k ɑ r t̪ i o̞ k u l m ɑ
kartiopinta	k ɑ r t̪ i o̞ p i n̪ t̪ ɑ
kartiorullalaakeri	k ɑ r t̪ i o̞ r u lː ɑ l ɑː k e̞ r i
kartografi	k ɑ r t̪ o̞ ɡ r ɑ f i
kartografia	k ɑ r t̪ o̞ ɡ r ɑ f i ɑ
kartografisesti	k ɑ r t̪ o̞ ɡ r ɑ f i s̠ e̞ s̠ t̪ i ʔ
kartoitin	k ɑ r t̪ o̞ i̯ t̪ i n
kartoittaminen	k ɑ r t̪ o̞ i̯ t̪ t̪ ɑ m i n e̞ n
kartoitus	k ɑ r t̪ o̞ i̯ t̪ u s̠
kartonki	k ɑ r t̪ o̞ ŋ k i
kartonkiteollisuus	k ɑ r t̪ o̞ ŋ k i t̪ e̞ o̞ l l i s̠ uː s̠
kartsa	k ɑ r t s̠ ɑ
kartta	k ɑ r t̪ː ɑ
karttaa	k ɑ r t̪ː ɑː
karttaa	k ɑ r t̪ː ɑː ʔ
karttajousi	k ɑ r t̪ː ɑ j o̞ u̯ s̠ i
karttajäkälä	k ɑ r t̪ː ɑ j æ k æ l æ
karttakaavio	k ɑ r t̪ː ɑ k ɑː ʋ i o̞
karttakokoelma	k ɑ r t̪ː ɑ k o̞ k o̞ e̞ l m ɑ
karttakoordinaatisto	k ɑ r t̪ː ɑ k o̞ː r d i n ɑː t̪ i s̠ t̪ o̞
karttakotelo	k ɑ r t̪ː ɑ k o̞ t̪ e̞ l o̞
karttalaukku	k ɑ r t̪ː ɑ l ɑ u̯ kː u
karttalehti	k ɑ r t̪ː ɑ l e̞ h t̪ i
karttaliite	k ɑ r t̪ː ɑ l iː t̪ e̞ ʔ
karttaluonnos	k ɑ r t̪ː ɑ l u o̞̯ nː o̞ s̠
karttamerkki	k ɑ r t̪ː ɑ m e̞ r kː i
karttaoppi	k ɑ r t̪ː ɑ o̞ pː i
karttapallo	k ɑ r t̪ː ɑ p ɑ lː o̞
karttapalvelu	k ɑ r t̪ː ɑ p ɑ l ʋ e̞ l u
karttaperhonen	k ɑ r t̪ː ɑ p e̞ r h o̞ n e̞ n
karttapiirros	k ɑ r t̪ː ɑ p iː rː o̞ s̠
karttaselitys	k ɑ r t̪ː ɑ s̠ e̞ l i t̪ y s̠
karttatasku	k ɑ r t̪ː ɑ t̪ ɑ s̠ k u
karttateline	k ɑ r t̪ː ɑ t̪ e̞ l i n e̞ ʔ
karttatie	k ɑ r t̪ː ɑ t̪ i e̞̯
kartteleminen	k ɑ r t̪ː e̞ l e̞ m i n e̞ n
karttelu	k ɑ r t̪ː e̞ l u
karttuisa	k ɑ r t̪ː u i̯ s̠ ɑ
karttuminen	k ɑ r t̪ː u m i n e̞ n
karttupiilo	k ɑ r t̪ː u p iː l o̞
karttupiilosilla	k ɑ r t̪ː u p iː l o̞ s̠ i lː ɑ
karttuuni	k ɑ r t̪ː uː n i
kartuntaluettelo	k ɑ r t̪ u n̪ t̪ ɑ l u e̞ t̪ t̪ e̞ l o̞
kartusiaani	k ɑ r t̪ u s̠ i ɑː n i
kartusiaaniluostari	k ɑ r t̪ u s̠ i ɑː n i l u o̞ s̠ t̪ ɑ r i
kartusiaanimunkki	k ɑ r t̪ u s̠ i ɑː n i m u ŋ kː i
kartuttaa	k ɑ r t̪ u t̪ː ɑː ʔ
kartuttaminen	k ɑ r t̪ u t̪ t̪ ɑ m i n e̞ n
kartutus	k ɑ r t̪ u t̪ u s̠
kartuusi	k ɑ r t̪ uː s̠ i
kartuusipaperi	k ɑ r t̪ uː s̠ i p ɑ p e̞ r i
karu	k ɑ r u
karuselli	k ɑ r u s̠ e̞ lː i
karusellisorvi	k ɑ r u s̠ e̞ lː i s̠ o̞ r ʋ i
karusti	k ɑ r u s̠ t̪ i ʔ
karva	k ɑ r ʋ ɑ
karvaaminen	k ɑ r ʋ ɑː m i n e̞ n
karvaamo	k ɑ r ʋ ɑː m o̞
karvaasti	k ɑ r ʋ ɑː s̠ t̪ i ʔ
karvahattu	k ɑ r ʋ ɑ h ɑ t̪ː u
karvahorsma	k ɑ r ʋ ɑ h o̞ r s̠ m ɑ
karvaisuus	k ɑ r ʋ ɑ i̯ s̠ uː s̠
karvajalkahyppymyyrä	k ɑ r ʋ ɑ j ɑ l k ɑ h y pː y m yː r æ
karvakato	k ɑ r ʋ ɑ k ɑ t̪ o̞
karvakaulus	k ɑ r ʋ ɑ k ɑ u̯ l u s̠
karvakenkä	k ɑ r ʋ ɑ k e̞ ŋ k æ
karvakuonovompatti	k ɑ r ʋ ɑ k u o̞̯ n o̞ ʋ o̞ m p ɑ t̪ː i
karvakäsikebab	k ɑ r ʋ ɑ k æ s̠ i k e̞ b ɑ b
karvalakki	k ɑ r ʋ ɑ l ɑ kː i
karvalakkilähetystö	k ɑ r ʋ ɑ l ɑ kː i l æ ɦ e̞ t̪ y s̠ t̪ ø̞
karvalakkimalli	k ɑ r ʋ ɑ l ɑ kː i m ɑ lː i
karvalakkipuoli	k ɑ r ʋ ɑ l ɑ kː i p u o̞̯ l i
karvalanka	k ɑ r ʋ ɑ l ɑ ŋ k ɑ
karvalankamatto	k ɑ r ʋ ɑ l ɑ ŋ k ɑ m ɑ t̪ː o̞
karvalaukku	k ɑ r ʋ ɑ l ɑ u̯ kː u
karvalehti	k ɑ r ʋ ɑ l e̞ h t̪ i
karvallinen	k ɑ r ʋ ɑ l l i n e̞ n
karvamerkki	k ɑ r ʋ ɑ m e̞ r kː i
karvanaama	k ɑ r ʋ ɑ n ɑː m ɑ
karvanaamainen	k ɑ r ʋ ɑ n ɑː m ɑ i̯ n e̞ n
karvanjuuri	k ɑ r ʋ ɑ n j uː r i
karvankasvu	k ɑ r ʋ ɑ ŋ k ɑ s̠ ʋ u
karvanluonti	k ɑ r ʋ ɑ n l u o̞̯ n̪ t̪ i
karvanoppa	k ɑ r ʋ ɑ n o̞ pː ɑ
karvanpoistoaine	k ɑ r ʋ ɑ m p o̞ i̯ s̠ t̪ o̞ ɑ i̯ n e̞ ʔ
karvanvaihto	k ɑ r ʋ ɑ n ʋ ɑ i̯ ç t̪ o̞
karvanysty	k ɑ r ʋ ɑ n y s̠ t̪ y
karvapeite	k ɑ r ʋ ɑ p e̞ i̯ t̪ e̞ ʔ
karvapeitteinen	k ɑ r ʋ ɑ p e̞ i̯ t̪ː e̞ i̯ n e̞ n
karvapintainen	k ɑ r ʋ ɑ p i n̪ t̪ ɑ i̯ n e̞ n
karvareuhka	k ɑ r ʋ ɑ r e̞ u̯ x k ɑ
karvari	k ɑ r ʋ ɑ r i
karvarintainen	k ɑ r ʋ ɑ r i n̪ t̪ ɑ i̯ n e̞ n
karvarousku	k ɑ r ʋ ɑ r o̞ u̯ s̠ k u
karvas	k ɑ r ʋ ɑ s̠
karvasaine	k ɑ r ʋ ɑ s̠ ɑ i̯ n e̞ ʔ
karvasara	k ɑ r ʋ ɑ s̠ ɑ r ɑ
karvasipuli	k ɑ r ʋ ɑ s̠ i p u l i
karvasivellin	k ɑ r ʋ ɑ s̠ i ʋ e̞ lː i n
karvasmanteli	k ɑ r ʋ ɑ s̠ m ɑ n̪ t̪ e̞ l i
karvasmanteliöljy	k ɑ r ʋ ɑ s̠ m ɑ n̪ t̪ e̞ l i ø̞ l j y
karvasputki	k ɑ r ʋ ɑ s̠ p u t̪ k i
karvastaa	k ɑ r ʋ ɑ s̠ t̪ ɑː ʔ
karvastella	k ɑ r ʋ ɑ s̠ t̪ e̞ lː ɑ ʔ
karvastelu	k ɑ r ʋ ɑ s̠ t̪ e̞ l u
karvasto	k ɑ r ʋ ɑ s̠ t̪ o̞
karvattomuus	k ɑ r ʋ ɑ t̪ t̪ o̞ m uː s̠
karvatukko	k ɑ r ʋ ɑ t̪ u kː o̞
karvaus	k ɑ r ʋ ɑ u s̠
karvejäkälä	k ɑ r ʋ e̞ j j æ k æ l æ
karvia	k ɑ r ʋ i ɑ
karviainen	k ɑ r ʋ i ɑ i̯ n e̞ n
karviaishillo	k ɑ r ʋ i ɑ i̯ s̠ h i lː o̞
karviaiskoiso	k ɑ r ʋ i ɑ i̯ s̠ k o̞ i̯ s̠ o̞
karviaismarjahillo	k ɑ r ʋ i ɑ i̯ s̠ m ɑ r j ɑ h i lː o̞
karviaismarjapensas	k ɑ r ʋ i ɑ i̯ s̠ m ɑ r j ɑ p e̞ n s̠ ɑ s̠
karviaismittari	k ɑ r ʋ i ɑ i̯ s̠ m i t̪ː ɑ r i
karviaispistiäinen	k ɑ r ʋ i ɑ i̯ s̠ p i s̠ t̪ i æ i̯ n e̞ n
karvialainen	k ɑ r ʋ i ɑ l ɑ i̯ n e̞ n
karvianjoki	k ɑ r ʋ i ɑ n j o̞ k i
karvoa	k ɑ r ʋ o̞ ɑ ʔ
karyogamia	k ɑ r y o̞ ɡ ɑ m i ɑ
kasa	k ɑ s̠ ɑ
kasaaminen	k ɑ s̠ ɑː m i n e̞ n
kasaantuminen	k ɑ s̠ ɑː n t̪ u m i n e̞ n
kasaari	k ɑ s̠ ɑː r i
kasailla	k ɑ s̠ ɑ i̯ lː ɑ ʔ
kasailu	k ɑ s̠ ɑ i̯ l u
kasakka	k ɑ s̠ ɑ kː ɑ
kasakkahyppy	k ɑ s̠ ɑ kː ɑ h y pː y
kasakkajoukko	k ɑ s̠ ɑ kː ɑ j o̞ u̯ kː o̞
kasakkakylä	k ɑ s̠ ɑ kː ɑ k y l æ
kasakkalakki	k ɑ s̠ ɑ kː ɑ l ɑ kː i
kasakkapaita	k ɑ s̠ ɑ kː ɑ p ɑ i̯ t̪ ɑ
kasakkapäällikkö	k ɑ s̠ ɑ kː ɑ p æː lː i kː ø̞
kasakkatanssi	k ɑ s̠ ɑ kː ɑ t̪ ɑ n s̠ː i
kasakki	k ɑ s̠ ɑ kː i
kasapäissä	k ɑ s̠ ɑ p æ i̯ s̠ː æ
kasari	k ɑ s̠ ɑ r i
kasarmi	k ɑ s̠ ɑ r m i
kasarmialue	k ɑ s̠ ɑ r m i ɑ l u e̞ ʔ
kasarmimajoitus	k ɑ s̠ ɑ r m i m ɑ j o̞ i̯ t̪ u s̠
kasarmirakennus	k ɑ s̠ ɑ r m i r ɑ k e̞ nː u s̠
kasaus	k ɑ s̠ ɑ u s̠
kasautua	k ɑ s̠ ɑ u t̪ u ɑ ʔ
kasautuminen	k ɑ s̠ ɑ u t̪ u m i n e̞ n
kasautumislaki	k ɑ s̠ ɑ u t̪ u m i s̠ l ɑ k i
kasautumispiste	k ɑ s̠ ɑ u t̪ u m i s̠ p i s̠ t̪ e̞ ʔ
kaseeraus	k ɑ s̠ e̞ː r ɑ u s̠
kasetointi	k ɑ s̠ e̞ t̪ o̞ i̯ n̪ t̪ i
kasetti	k ɑ s̠ e̞ t̪ː i
kasettidekki	k ɑ s̠ e̞ t̪ː i d e̞ kː i
kasettikirja	k ɑ s̠ e̞ t̪ː i k i r j ɑ
kasettikirjasto	k ɑ s̠ e̞ t̪ː i k i r j ɑ s̠ t̪ o̞
kasettilevy	k ɑ s̠ e̞ t̪ː i l e̞ ʋ y
kasettinauha	k ɑ s̠ e̞ t̪ː i n ɑ u̯ ɦ ɑ
kasettinauhuri	k ɑ s̠ e̞ t̪ː i n ɑ u̯ ɦ u r i
kasettisoitin	k ɑ s̠ e̞ t̪ː i s̠ o̞ i̯ t̪ i n
kasi	k ɑ s̠ i
kasiainen	k ɑ s̠ i ɑ i̯ n e̞ n
kasino	k ɑ s̠ i n o̞
kasinotalous	k ɑ s̠ i n o̞ t̪ ɑ l o̞ u s̠
kasipallo	k ɑ s̠ i p ɑ lː o̞
kaskadihäiriö	k ɑ s̠ k ɑ d i h æ i̯ r i ø̞
kaskas	k ɑ s̠ k ɑ s̠
kaskeaminen	k ɑ s̠ k e̞ ɑ m i n e̞ n
kaskelotti	k ɑ s̠ k e̞ l o̞ t̪ː i
kaskenkaataja	k ɑ s̠ k e̞ ŋ k ɑː t̪ ɑ j ɑ
kaskenkaato	k ɑ s̠ k e̞ ŋ k ɑː t̪ o̞
kaskenpolttaja	k ɑ s̠ k e̞ m p o̞ l t̪ː ɑ j ɑ
kaskenpoltto	k ɑ s̠ k e̞ m p o̞ l t̪ː o̞
kaskenvierto	k ɑ s̠ k e̞ n ʋ i e̞̯ r t̪ o̞
kaski	k ɑ s̠ k i
kaskikulttuuri	k ɑ s̠ k i k u l t̪ː uː r i
kaskimaa	k ɑ s̠ k i m ɑː
kaskinauris	k ɑ s̠ k i n ɑ u̯ r i s̠
kaskinen	k ɑ s̠ k i n e̞ n
kaskiröykkiö	k ɑ s̠ k i r ø̞ y̯ kː i ø̞
kaskislainen	k ɑ s̠ k i s̠ l ɑ i̯ n e̞ n
kaskovakuutus	k ɑ s̠ k o̞ ʋ ɑ k uː t̪ u s̠
kasku	k ɑ s̠ k u
kasperi	k ɑ s̠ p e̞ r i
kassa	k ɑ s̠ː ɑ
kassaatio	k ɑ s̠ː ɑː t̪ i o̞
kassahallinto	k ɑ s̠ː ɑ h ɑ lː i n̪ t̪ o̞
kassahihna	k ɑ s̠ː ɑ h i h n ɑ
kassaholvi	k ɑ s̠ː ɑ h o̞ l ʋ i
kassakaappisopimus	k ɑ s̠ː ɑ k ɑː pː i s̠ o̞ p i m u s̠
kassakappale	k ɑ s̠ː ɑ k ɑ pː ɑ l e̞ ʔ
kassakapula	k ɑ s̠ː ɑ k ɑ p u l ɑ
kassakirja	k ɑ s̠ː ɑ k i r j ɑ
kassakriisi	k ɑ s̠ː ɑ k r iː s̠ i
kassakuitti	k ɑ s̠ː ɑ k u i̯ t̪ː i
kassalinja	k ɑ s̠ː ɑ l i n j ɑ
kassalipas	k ɑ s̠ː ɑ l i p ɑ s̠
kassamagneetti	k ɑ s̠ː ɑ m ɑ ɡ n e̞ː t̪ː i
kassanauha	k ɑ s̠ː ɑ n ɑ u̯ ɦ ɑ
kassanhallinta	k ɑ s̠ː ɑ n h ɑ lː i n̪ t̪ ɑ
kassanhoitaja	k ɑ s̠ː ɑ n h o̞ i̯ t̪ ɑ j ɑ
kassanhoito	k ɑ s̠ː ɑ n h o̞ i̯ t̪ o̞
kassantarkastus	k ɑ s̠ː ɑ n t̪ ɑ r k ɑ s̠ t̪ u s̠
kassapäinen	k ɑ s̠ː ɑ p æ i̯ n e̞ n
kassapää	k ɑ s̠ː ɑ p æː
kassapääte	k ɑ s̠ː ɑ p æː t̪ e̞ ʔ
kassara	k ɑ s̠ː ɑ r ɑ
kassareservi	k ɑ s̠ː ɑ r e̞ s̠ e̞ r ʋ i
kassatili	k ɑ s̠ː ɑ t̪ i l i
kassava	k ɑ s̠ː ɑ ʋ ɑ
kassavajaus	k ɑ s̠ː ɑ ʋ ɑ j ɑ u s̠
kassavaranto	k ɑ s̠ː ɑ ʋ ɑ r ɑ n̪ t̪ o̞
kassi	k ɑ s̠ː i
kassilohi	k ɑ s̠ː i l o̞ ɦ i
