абдж	ʔ aː b d͡ʒ
шынагъуэ	ʃ ə n a ʁʷ a
шынэхъыжь	ʃ ə n aː χ ə ʑ
шынэхъыщӏ	ʃ ə n aː χ ə t ɕʼ
шыпхъу	ʃ ə p χʷ
шэ	ʃ a
шэджагъуэ	ʃ a d͡ʒ aː ʁʷ a
шэмэдж	ʃ a m a ɡʲʼ
шэрэхъ	ʃ a r a χ
шэсын	ʃ a s ə n
шэху	ʃ a xʷ ə
щабэ	ɕ aː b a
щапхъэ	ɕ aː p χ a
щауэ	ɕ aː w a
щхъырыб	ɕ χ ə r ə b
щхьэ	ɕ ħ a
щхьэгъубжэ	ɕ ħ a ʁʷ ə b ʒ a
щхьэгъусэ	ɕ ħ a ʁʷ ə s a
щхьэкӏэ	ɕ ħ a t͡ʃʼ a
щхьэхын	ɕ ħ a x ə n
щхэн	ɕ x a n
щыгу	ɕ ə ɡʷ
щыгуфӏыкӏын	ʃ ə ɡʷ ə fʼ t͡ʃʼ ə n
щыгъуэ	ɕ ə ʁʷ a
щыгъэтын	ɕ ə ʁ a t ə n
щыдыхьэшхын	ɕ ə d ə ħ a ʃ x ə n
щынэ	ɕ ə n a
щыӏ	ɕ ə ʔ
щыӏэн	ɕ ə ʔ a n
щыӏэцӏэ	ɕ ə ʔ a t͡sʼ a
щэ	ɕ a
щэбэт	ɕ a b a t
щэкӏ	ɕ a t͡ʃʼ
щэн	ɕ a n
щэныншэ	ɕ a n ə n ʃ a
щэхун	ɕ a xʷ ə n
щӏакхъуэгъэтэдж	ɕʼ aː q χʷ a ʁ a t aː d͡ʒ
щӏалэ	ɕʼ aː ɮ a
щӏалэгъуалэ	ɕʼ aː ɮ a ʁʷ aː ɮ a
щӏегъуэжын	ɕʼ e ʁʷ a ʑ ə n
щӏы	ɕʼ a
щӏыб	ɕʼ ə b
щӏыгу	ɕʼ ə ɡʷ
щӏыгъун	ɕʼ ə ʁʷ ə n
щӏыкӏафӏэ	ɕʼ ə t͡ʃʼ aː fʼ a
щӏыкӏэ	ɕʼ ə t͡ʃʼ a
щӏылъэ	ɕʼ ə ɬ a
щӏышылэ	ɕʼ ə ʃ ə l a
щӏыӏу	ɕʼ ə ʔʷ
щӏыӏэ	ɕʼ ə ʔ a
щӏэ	ɕʼ a
щӏэлъхьэн	ɕʼ a ɬ ħ a n
щӏэлэгъу	ɕʼ a ɮ a ʁʷ
щӏэн	ɕ a n
щӏэныгъэ	ɕʼ a n ə ʁ a
щӏэп	ɕʼ a p
щӏэтэкъун	ɕʼ a t a qʷ ə n
щӏэупщӏэн	ɕʼ a w p t ɕʼ a n
щӏэуфэ	ɕʼ a w f a
щӏэуфэн	ɕʼ a w f a n
щӏэхыу	ɕʼ a x a w
щӏэхьэн	ɕʼ ə ħ a n
яжьэ	j aː ʑ a
ятӏэ	j aː tʼ a
ӏанэ	ʔ aː n a
ӏахъуэ	ʔ a χʷ a
ӏу	ʔʷ ə
ӏуащхьэ	ʔʷ aː ɕ ħ a
ӏуащхьэмахуэ	ʔʷ a ɕ ħ a m aː xʷ a
ӏувы	ʔʷ ə v ə
ӏугъо	ʔʷ ə ʁʷ a
ӏункӏыбзэ	ʔʷ ə n t͡ʃʼ ə b z a
ӏупс	ʔʷ ə p
ӏупэ	ʔʷ ə p a
ӏуэху	ʔʷ a xʷ
ӏыгъэн	ʔ ə ʁ a n
ӏэ	ʔ a
ӏэбжьанэ	ʔ a b ʑ aː n a
ӏэгъуапэ	ʔ a ʁʷ aː p a
ӏэзэ	ʔ a z a
ӏэлъын	ʔ a ɬ ə n
ӏэпкълъэпкъ	ʔ a p q ɬ a p q
ӏэрыпӏ	ʔ a r ə pʼ
ӏэтын	ʔ aː t ə n
ӏэхъуэгъу	ʔ a χʷ a ʁʷ
ӏэщӏэзын	ʔ a ɕʼ a z ə n
ӏэщӏэкӏын	ʔ a ɕʼ a t͡ʃʼ ə n
ӏэщӏэукӏэн	ʔ a ɕʼ a w t͡ʃʼ a n
