a	ɛ aː
kjadd	t ʃʰ a tː
kjarnasýra	t͡ʃʰ a t n a s ʊ iː ɹ a
kjarni	t ʃʰ a t n ɪ
kjósa	t͡ʃʰ ɔ uː s a
kjølur	t͡ʃʰ øː l ʊ ɹ
kjøra	t͡ʃʰ øː ɹ a
kjøt	t͡ʃʰ øːʰ t
klipp	kʰ l ɪʰ pː
klokka	kʰ l ɔʰ kː a
klára	k l ɔ ɑː ɹ a
klæmintsmessa	kʰ l ɛ aː m ɪ n s m ɛ sː a
klæði	kʰ l ɛ aː j ɪ
klógv	kʰ l ɛ k f
knappaborð	kʰ n aʰ pː a p oː ɹ
knettasúpan	kʰ n ɛʰ tː a s ʉ uː w p a n
knæ	k n ɛ aː
knæ	k n̥ ɛ aː
knívur	k n ʊ iː v ʊ ɹ
knøttur	kʰ n œʰ tː ʊ ɹ
knútur	k n ʉ uː t ʊ ɹ
knútur	kʰ n ʉ uː t ʊ ɹ
kokusnøt	kʰ oːʰ k ʊ s n øːʰ t
kollfirðingur	k ɔ l̥ f ɪ ɹ ɪ ŋ k ʊ ɹ
koltur	kʰ ɔ l̥ t ʊ ɹ
kombikk	kʰ ɔ m p ɪʰ k
kommuna	kʰ ɔ m uː n a
konsert	kʰ ɔ n s ɛ ɻ̊ ʈ
konsertferð	k ɔ n s ɛ ɻ̊ ʈ f eː ɹ
konufólk	kʰ oː n ʊ f œ l̥ k
kopar	kʰ ɔːʰ p a ɹ
koppur	kʰ ɔʰ pː ʊ ɹ
korea	kʰ o ɹ eː a
korki	kʰ ɔ ɹ̥ t ʃ ɪ
korsika	kʰ ɔ ʂ ɪ k a
kort	kʰ ɔ ɻ̊ ʈ
kortini	kʰ ɔ ɻ̊ ʈ ɪ n ɪ
kot	kʰ oːʰ t
koyta	kʰ ɔ i t a
kraft	k ɹ a f t
kragi	kʰ r ɛ aː j ɪ
krakkur	k ɹ aʰ kː ʊ ɹ
krambúðarmál	k ɹ a m p ʉ uː w a ɹ m ɔ aː l
kringvarp	k ɹ ɪ ŋ k v a ɹ̥ p
kristus	kʰ ɾ ɪ s t ʊ s
krossfiskur	k ɹ ɔ sː f ɪ s k ʊ ɹ
krossur	kʰ ɹ ɔ sː ʊ ɹ
krypil	k ɾ iː p ɪ l
krá	k ɹ ɔ aː
kráka	kʰ ɾ ɔ ɑːʰ k a
kræklingur	k ɹ ɛ aː k l ɪ ŋ k ʊ ɹ
kríggj	k ɹ ʊ i t ʃ
krím	k ɹ ʊ iː j m
krógv	kʰ ɾ ɛ k v
krókur	kʰ ɾ ɔ uː k ʊ ɹ
króna	k ɹ ɔ uː n a
krónur	kʰ ɹ ɔ uː n ʊ ɹ
krúna	k ɹ ʉ uː n a
krúpa	kʰ ɹ ʉ uː p a
kuffert	kʰ ʊ fː ɛ ɹ̥ ʈ
kukka	kʰ ʊʰ kː a
kunna	kʰ ʊ nː a
kunning	kʰ ʊ nː ɪ ŋ k
kunoyingur	kʰ uː n ɪ ŋ k ʊ ɹ
kunta	kʰ ʊ n̥ t a
kurla	kʰ ʊ ɻ ɭ a
kusa	kʰ uː s a
kvala	k v ɛ aː l a
kvennkyn	k f ɛ n̥ː t ʃʰ iː n
kvirra	k v ɪ ɹː a
kvið	k f iː j
kvið	kʰ v iː j
kviður	k f iː j ʊ ɹ
kviður	kʰ v iː j ʊ ɹ
kvæði	k v ɛ aː j ɪ
kvøl	kʰ v øː l
kvøld	k f œ l t
kvørkveggja	k v œ ɹ̥ k v ɛ t ʃː a
kvøða	k v øː a
kvøða	k v øː v a
kykna	t͡ʃʰ ɪʰ k n a
kymru	t ʃʰ ɪ m ɹ ʊ
kyndilsmessa	t ʃʰ ɪ n t ɪ l s m ɛ sː a
kál	kʰ ɔ aː l
kálksótt	kʰ ɔ l̥ k s œʰ tː
kálva	kʰ ɔ l v a
kálvi	kʰ ɔ l v ɪ
kálvur	kʰ ɔ l v ʊ ɹ
kári	kʰ ɔ ɑː ɹ ɪ
kíkur	k ʊ iː j k ʊ ɹ
kólna	kʰ œ l n a
kópur	kʰ ɔ uː p ʊ ɹ
kór	kʰ ɔ uː ɹ
køka	kʰ øːʰ k a
køliskáp	kʰ ø l ɪ s k ɔ ɑːʰ p
kør	kʰ øː ɹ
køttur	kʰ œʰ tː ʊ ɹ
kúbein	kʰ ʉ uː w p a iː j n
kúm	kʰ ʉ uː n
kúnna	kʰ ʏ nː a
kúnni	kʰ ʏ nː ɪ
kúnum	kʰ ʉ u nː ʊ n
kýr	kʰ ʊ iː j r
l	l
lag	l ɛ aː
laga	l eː a
lagna	l a k n a
laki	l ɛ aːʰ t͡ʃ ɪ
lampa	l a m̥ p a
landafrøði	l a n t a f ɹ øː j ɪ
landkort	l a n k ɔ ɻ̊ ʈ
landslag	l a n s l ɛ aː
landslið	l a n s l iː j
langabbi	l ɛ ŋ k a pː ɪ
langavi	l ɛ ŋ k ɛ aː v ɪ
langskip	l ɛ ŋ k ʃ iː p
langur	l ɛ ŋ k ʊ ɹ
lansa	l a n̥ s a
lansi	l a n̥ s ɪ
last	l a s t
lata	l ɛ aː t a
leggur	l ɛ kː ʊ ɹ
leiftur	l a iʰ tː ʊ ɹ
leiftur	l aʰ k t ʊ ɹ
leikføri	l a iː k f øː ɹ ɪ
leingi	l ɔ ɲ t ʃ ɪ
leita	l a iː t a
leið	l a iː j
lendi	l ɛ n t ɪ
lettland	l ɛʰ tː l a n t
leykur	l ɛ iː k ʊ ɹ
leysur	l ɛ iː s ʊ ɹ
leyv	l ɛ iː v
leðurbløka	l eː v ʊ ɹ p l øːʰ k a
likka	l ɪʰ kː a
list	l ɪ s t
litur	l iː t ʊ ɹ
livur	l iː v ʊ ɹ
ljósstyrki	l j ɔ u sː t ɪ ɻ̊ t͡ʃ ɪ
ljósur	l j œ uː s ʊ ɹ
ljósur	l j ɔ uː s ʊ ɹ
ljótur	lʲ ɔ uː t ʊ ɹ
ljóð	l j ɔ uː
lodna	l ɔ t n a
longa	l ɔ ŋ k a
lord	l ɔ ɻ ʈ
lordi	l ɔ ɻ ʈ ɪ
lords	l ɔ ɻ ʈ s
lordur	l ɔ ɻ ʈ ʊ ɹ
losti	l ɔ s t ɪ
lulla	l ʊ lː a
lundi	l ʊ n t ɪ
lyfta	l ɪ f t a
lyfta	l ɪ ɸ t a
lyfta	l ɪʰ t a
lykil	l iː t ʃ ɪ l
lyngur	l ɪ ŋ k ʊ ɹ
lynur	l iː n ʊ ɹ
lá	l ɔ ɑː
lág	l ɔ ɑː
lálla	l ɔ t l a
lán	l ɔ ɑː n
lás	l ɔ ɑː s
láta	l ɔ aː t a
læa	l e̞ː a
lægd	l a k t
lækni	l aʰ k n ɪ
læmingi	l ɛ aː m ɪ ɲ t͡ʃ ɪ
líggja	l ʊ ɪ t͡ʃː a
lík	l ʊ iː j k
líkur	l ʊ iː k ʊ ɹ
lína	l ʊ iː n a
líð	l ʊ iː
lóg	l ɔ uː w
lógvi	l ɛ k f ɪ
lógvi	l ɛ k v ɪ
løgfrøði	l œ k f ɾ øː j ɪ
løgin	l øː j ɪ n
løgregla	l œ k ɹ ɛ k l a
løn	l øː n
lúka	l ʉ uː k a
lús	l ʉ uː s
lý	l ʊ iː
lýri	l ʊ iː ɹ ɪ
lýðveldi	l ʊ iː v ɛ l t ɪ
m	m
magur	m ɛ aː v ʊ ɹ
mamma	m a mː a
mandla	m a n l a
mangan	m a ŋ k a n
mangan	m ɛ ŋ k a n
mangur	m ɛ ŋ k ʊ ɹ
mannbjørn	m a nː p j œ t n
marita	m ɛ aː ɹ ɪ t a
mars	m a ʂː
marur	m ɛ aː ɹ ʊ ɹ
mat	m ɛ aː t
matur	m ɛ aːʰ t ʊ ɹ
maður	m ɛ aː v ʊ ɹ
mega	m eː a
mega	m iː j a
megin	m eː j ɪ n
meksiko	m ɛʰ k s ɪ k oː
melón	m e l ɔ oː n
menn	m ɛ nː
mer	m eː ɹ
mestur	m ɛ s t ʊ ɹ
met	m eːʰ t
mettur	m ɛʰ tː ʊ ɹ
meyra	m ɛ iː ɹ a
meyrusýra	m ɛ iː ɹ ʊ s ʊ iː ɹ a
meðan	m eː a n
meðan	m iː j a n
middagur	m ɪ tː ɛ aː v ʊ ɹ
mikudagur	m iː k ʊ t ɛ aː w ʊ ɹ
milt	m ɪ l̥ t
milti	m ɪ l̥ t ɪ
minuttur	m i n ʊ tː ʊ ɹ
mistilteinur	m ɪ s t ɪ l tʰ a iː n ʊ ɹ
miði	m iː j ɪ
miðøld	m iː œ l t
mjólkarsukur	m j œ l̥ k a ɹ s uː k ʊ ɹ
mjødn	m j œ t n
mjúkur	m j ʉ uː k ʊ ɹ
mogga	m ɔ kː a
momma	m ɔ mː a
monika	m oː n ɪ k a
morgin	m ɔ r d ʒ ɪ n
morgnar	m ɔ t n a ɹ
morgunmatur	m ɔ ɹ k ʊ n m ɛ aːʰ t ʊ ɹ
morreyður	m ɔ ɹː ɛ iː j ʊ ɹ
mortan	m ɔ ɻ̊ ʈ a n
mortítlingur	m ɔ ɹ̥ tʰ ʊ i t l ɪ ŋ k ʊ ɹ
morð	m oː ɹ
mosi	m oː s ɪ
moska	m ɔ s k a
motta	m ɔʰ tː a
munnum	m ʊ nː ʊ n
munnur	m ʊ nː ʊ ɹ
munum	m uː n ʊ n
mununum	m uː n ʊ n ʊ n
muskattnøt	m u s k aʰ tː n øːʰ t
mykines	m iː t ʃ ɪ n eː s
mynd	m ɪ n t
myrra	m ɪ ɹː a
mágur	m ɔ aː v ʊ ɹ
mál	m ɔ ɑː l
mánaður	m ɔ ɑː n a v ʊ ɹ
máni	m ɔ ɑː n ɪ
márur	m ɔ ɑː ɹ ʊ ɹ
mási	m ɔ aː s ɪ
mær	m ɛ aː ɹ
mætur	m ɛ aːʰ t ʊ ɹ
míl	m ʊ iː l
móður	m ɔ uː v ʊ ɹ
møna	m øː n a
mørur	m øː ɹ ʊ ɹ
mørður	m øː ɹ ʊ ɹ
møttul	m œʰ tː ʊ l
múr	m ʉ uː ɹ
múrur	m ʉ uː ɹ ʊ ɹ
músabróðir	m ʉ uː s a p ɾ ɔ uː w ɪ ɹ
münchen	m ʏ n̥ ʃ ɛ n
mýrisnípa	m ʊ iː ɹ ɪ s n ʊ iː p a
n	n
nailon	n a iː j l ɔ n
nakki	n aʰ t͡ʃː ɪ
namibia	n a m iː p i a
napoleon	n a pʰ oː l ɪ ɔ n
nei	n a iː
neiggj	n a i t͡ʃː
nema	n eː m a
neon	n eː ɔ n
nepal	n eːʰ p a l
nev	n eː v
nevna	n ɛ u̯ n a
nevna	n ɛ v n a
neyst	n ɛ s t
neyt	n ɛ iː t
neyvleiki	n ɛ iː v l a iːʰ t͡ʃ ɪ
nikka	n ɪʰ kː a
niðurlond	n iː j ʊ ɹ l ɔ n d̥
njál	nʲ ɔ ɑː l
njálur	nʲ ɔ ɑː l ʊ ɹ
njørður	ɲ øː ɹ ʊ ɹ
norn	n ɔ ɻ ɳ
norður	n oː ɹ ʊ ɹ
norðurland	n oː r ʊ r l a n t
norðurírland	n oː ɹ ʊ ɹ ʊ ɹ l a n t
nossa	n ɔ sː a
nudla	n ʊ t l a
nugga	n ʊ kː a
null	n ʊ lː
nábúgvi	n ɔ ɑː p ɪ k v ɪ
nál	n ɔ ɑː l
nálatræ	n ɔ ɑː l a t ɹ ɛ aː
nátan	n ɔ ɑːʰ t a n
nærhendis	n ɛ a r ɪ n d ɪ s
næstakærleiki	n a s t a k ɛ aː ɻ ɭ a iːʰ t͡ʃ ɪ
nógvur	n ɛ k v ʊ ɹ
nørdur	n œ ɻ ʈ ʊ ɹ
nøt	n øːʰ t
nú	n ʉ uː
núgv	n ɪ k f
nútíð	n ʉ uː tʰ ʊ iː
nýggjur	n ʊ t͡ʃː ʊ ɹ
nýrasteinur	n ʊ iː ɹ a s t a iː n ʊ ɹ
nýsilvur	n ʊ iː s ɪ l v ʊ ɹ
nýsæland	n ʊ iː j s ɛ aː l a n t
nýta	n ʊ iː t a
o	oː
oddbjørn	ɔ t p j œ t n
oddur	ɔ tː ʊ ɹ
og	oː
ok	oːʰ k
okn	ɔʰ k n
oknagras	ɔʰ k n a k r ɛ aː s
oksi	ɔʰ k s ɪ
olga	ɔ l k a
olivinolja	ɔ l iː ʋ ɪ n ɔ l j a
oljuber	ɔ l j ʊ p e ɛː ɹ
ong	ɔ ŋ k
onnu	ɔ nː ʊ
onnur	ɔ nː ʊ ɹ
ont	ɔ n̥ t
orangutang	o ɹ a ŋ k ʊ t a ŋ k
orkuframleiðsla	ɔ ɻ̥ k ʊ f ɹ a n l a i ʃ l a
orkuframleiðsla	ɔ ɻ̥ k ʊ f ɹ a n l ɔ i ʃ l a
ormum	ɔ ɹ m ʊ n
orð	oː ɹ
orði	oː ɹ ɪ
orðið	oː ɹ ɪ
ost	ɔ s t
otto	ɔʰ tː ʊ
otur	oːʰ t ʊ ɹ
oyggj	ɔ t͡ʃː
oyra	ɔ i r a
oyðin	ɔ iː j ɪ n
p	pʰ
padda	pʰ a tː a
pakistan	pʰ aʰ k i s t a n
pakki	pʰ aʰ t ʃː ɪ
pannukøka	pʰ a nː ʊ kʰ øːʰ k a
papp	pʰ aʰ pː
par	pʰ ɛ aː ɹ
pasta	pʰ a s t a
pera	pʰ eː ɹ a
persilla	pʰ ɛ ɻ̥ ʂ ɪ lː a
perutræ	pʰ e ɛː ɹ ʊ t ɹ ɛ aː
petti	pʰ ɛʰ tː ɪ
pikti	pʰ ɪʰ k t ɪ
pilsnari	pʰ ɪ l s n a ɹ ɪ
pipar	pʰ iː p a ɹ
piparnøt	pʰ iː p a ɹ n øːʰ t
piparrót	pʰ iː p a ɹ œ uː t
piparrót	pʰ iː p a ɹ ɔ uː t
pissa	pʰ ɪ sː a
plantuolja	p l a n̥ t ʊ ɔ l j a
plantur	p l a n̥ t ʊ ɹ
plantuslag	p l a n̥ t ʊ s l ɛ aː
plantuætt	p l a n̥ t ʊ aʰ tː
plumba	pʰ l ʊ m p a
pláss	p l ɔ sː
protesa	p ɾ o tʰ eː s a
prógv	p ɾ ɛ k v
prýði	p ɹ ʊ iː j ɪ
puma	pʰ uː m a
pund	pʰ ʊ n t
pungur	pʰ u ŋ k ʊ ɹ
punktum	p ʊ ŋ k t ʊ m
purra	pʰ ʊ ɹː a
páll	pʰ ɔ t l
pálsmessa	pʰ ɔ l s m ɛ sː a
pápa	pʰ ɔ ɑːʰ p a
pápi	pʰ ɔ ɑːʰ p ɪ
páskir	pʰ ɔ ʃː ɪ ɹ
pávi	pʰ ɔ ɑː v ɪ
pætursmessa	pʰ ɛ aː t ʊ ʂ m ɛ sː a
píka	pʰ ʊ iː k a
pílatræ	pʰ ʊ iː l a tʰ ɾ ɛ aː
pínslarváttur	pʰ ʊ iː n̥ s l a ɺ v ɔʰ tː ʊ ɹ
pípa	pʰ ʊ iː p a
púta	pʰ ʉ uː t a
r	ɹ
ragnarøk	ɹ a k n a ɹ øːʰ k
ragnheiður	ɹ a k n h a iː j ʊ ɹ
rann	r a nː
ravnur	ɹ a v n ʊ ɹ
regin	ɹ eː j ɪ n
regn	ɹ ɛ k n
reindýr	ɹ ɔ i n d ʊ iː ɹ
renna	ɹ ɛ nː a
revtík	ɹ ɛ f t ʊ iː j k
revur	ɹ eː v ʊ ɹ
reyðkollur	ɹ ɛ iː j kʰ ɔ t l ʊ ɹ
ringvøddi	ɹ ɪ ŋ k v œ tː ɪ
rita	ɹ iː t a
riv	ɹ iː v
rokkur	ɹ ɔʰ kː ʊ ɹ
romi	ɹ oː m ɪ
ross	ɹ ɔ sː
rukka	ɹ ʊʰ kː a
rukkulakki	ɹ ʊʰ kː ʊ l aʰ t͡ʃː ɪ
ruku	ɹ uː k u
runnur	ɹ ʊ nː ʊ ɹ
russland	ɹ ʊ sː l a n t
ryggur	ɹ ɪ kː ʊ ɹ
ryta	ɹ iː t a
rá	ɹ ɔ ɑː
rái	ɹ ɔ ɑː j ɪ
rárur	ɹ ɔ ɑː ɹ ʊ ɹ
ráð	ɹ ɔ ɑː
ræ	r ɛ aː
ríki	ɹ ʊ iː t ʃ ɪ
rín	ɹ ʊ iː n
ríða	ɹ ʊ iː j a
rógva	ɹ ɛ k v a
rógvi	ɹ ɛ k v ɪ
rói	r ɔ uː w ɪ
rókur	ɹ ɔ uː k ʊ ɹ
róm	ɹ o uː m
rópa	ɹ ɔ uː p a
rødd	ɹ œ tː
rún	ɹ ʉ uː n
rúsdrekka	ɹ ʉ uː s t ɹ ɛʰ kː a
s	s
sabbatur	s a pː aʰ t ʊ ɹ
sag	s ɛ aː
sagnorð	s a k n oː ɹ
sakaris	s ɛ aːʰ k a ɹ ɪ s
salmiakk	s a l m i aʰ kː
saltsýra	s a l̥ t s ʊ iː ɹ a
salva	s a l v a
samband	s a m p a n t
samkyndur	s a m̥ t͡ʃ ɪ n t ʊ ɹ
samlega	s a m l eː v a
samur	s ɛ aː m ʊ ɹ
sandoy	s a n t ɔ iː
sandoy	s a n t ɪ
sandur	s a n t ʊ ɹ
sanna	s a nː a
satt	s aʰ tː
se	s eː
seg	s eː
seiður	s a iː j ʊ ɹ
sekk	s ɛʰ kː
sekki	s ɛʰ t͡ʃː ɪ
sekkin	s ɛʰ t͡ʃː ɪ n
sekkur	s ɛʰ kː ʊ ɹ
sekund	s e k ʊ n t
selma	s ɛ l m a
sesam	s eː s a m
sesamfræ	s eː s a m f ɾ ɛ aː
setningur	s ɛ t n ɪ ŋ k ʊ ɹ
sett	s ɛʰ tː
seðil	s eː j ɪ l
shamanur	ʃ a m a n ʊ ɹ
siga	s iː j a
sigar	s i k aː ɹ
sigarett	s i k a ɹ ɛʰ tː
sigfríður	s ɪ k f ɾ ʊ iː j ʊ ɹ
signa	s ɪ k n a
sikiloy	s iː t͡ʃ ɪ l ɔ iː j
sil	s iː l
silas	s iː l a s
sild	s ɪ l t
sink	s ɪ ŋ̊ k
sitja	s iː t͡ʃ a
siv	s iː v
sjeikur	ʃ a iː k ʊ ɹ
sjeyndi	ʃ ɛ n t ɪ
sjokuláta	ʃ oːʰ k ʊ l ɔ ɑːʰ t a
sjókort	ʃ ɔ u k ɔ ɻ̊ ʈ
sjón	ʃ ɔ uː n
sjónleikari	ʃ ɔ uː n l a i k a ɹ ɪ
sjórænari	ʃ ɔ u ɹ ɛ aː n a ɹ ɪ
sjúkrahús	ʃ ʉ uː k ɹ a h ʉ uː s
sjúkur	ʃ ʉ uː k ʊ ɹ
sjúrður	ʃ ʉ uː ɹ ʊ ɹ
skalv	s k a l v
skalvur	s k a l v ʊ ɹ
skarlak	s k a ɻ ɭ a k
skarv	s k a ɹ v
skarvs	s k a ʂː
skarð	s k ɛ aː ɹ
skaði	s k ɛ aː j ɪ
ske	s k eː
ske	ʃ eː
skegg	ʃ ɛ kː
skein	s k a iː n
skeið	s k a iː j
skel	ʃ eː l
skemt	ʃ ɛ m̥ t
skemta	ʃ ɛ m̥ t a
skemtiteknari	ʃ ɛ m̥ t ɪ tʰ ɛ k n a ɹ ɪ
skeppa	ʃ ɛʰ pː a
skerpikjøt	ʃ ɛ ɹ̥ p ɪ t ʃʰ øːʰ t
skeyt	ʃ ɛ iː t
skinfluga	ʃ ɪ n̥ f l uː a
skip	ʃ iː p
skipa	ʃ iː p a
skipari	ʃ iː p a ɹ ɪ
skittur	ʃ ɪʰ t ʊ ɹ
skjól	ʃ ɔ uː l
skjóta	ʃ ɔ uː t a
skjøldur	ʃ œ l t ʊ ɹ
skola	s k oː l a
skomm	s k ɔ mː
skorsteinur	s k ɔ ʂ s t a iː n ʊ ɹ
skotskur	s k ɔ s k ʊ ɹ
skriva	s k ɾ iː v a
skrá	s k ɹ ɔ aː
skrápur	s k ɹ ɔ ɑːʰ p ʊ ɹ
skurðlækni	s k uː r l aʰ k n ɪ
skurðmynd	s k uː r m ɪ n t
skyr	ʃ iː ɹ
skák	s k ɔ ɑːʰ k
skál	s k ɔ ɑː l
skála	s k ɔ ɑː l a
skómakari	s k ɔ uː m ɛ aːʰ k a ɹ ɪ
skósmiður	s k ɔ uː s m iː j ʊ ɹ
skóti	s k ɔ uː t ɪ
skøta	s k øːʰ t a
skúgvur	s k ɪ k v ʊ ɹ
skúm	s k ʉ uː m
skúvoy	s k ʉ uː v ɪ
skúvoyingur	s k ʉ uː v ɪ ŋ k ʊ ɹ
slag	s l ɛ aː
slektbólkur	s l ɛʰ k t p œ l̥ k ʊ ɹ
slips	s l ɪʰ p s
slovenia	s l o v eː n i a
slættur	s l aʰ tː ʊ ɹ
slíkur	s l ʊ iː k ʊ ɹ
slóð	s l ɔ uː
smiðja	s m iː j a
smiður	s m iː j ʊ ɹ
smyril	s m iː ɹ ɪ l
smáokn	s m ɔ ɑː ɔʰ k n
smør	s m øː ɹ
snið	s n iː j
snjósólja	s n j ɔ uː s œ l j a
so	s oː
sonardóttir	s oː n a ɹ t œʰ tː ɪ ɹ
song	s ɔ ŋ k
soppur	s ɔʰ pː ʊ ɹ
sorg	s ɔ ɹ k
sorgarboð	s ɔ ɹ ɡ a ɹ p oː
soviposi	s oː v ɪ pʰ oː s ɪ
soð	s oː
spaki	s p ɛ aːʰ t͡ʃ ɪ
spakur	s p ɛ aːʰ k ʊ ɹ
spann	s p a nː
spark	s p a ɹ̥ k
spaði	s p ɛ aː j ɪ
speki	s p eːʰ t͡ʃ ɪ
spell	s p ɛ t l
spennandi	s p ɛ nː a n t ɪ
spermur	s p ɛ ɹ m ʊ ɹ
spin	s p iː n
spina	s p iː n a
spini	s p iː n ɪ
sprákari	s p ɹ ɔ ɑːʰ k a ɹ ɪ
spurt	s p ʊ ɻ̊ ʈ
spurvur	s p ʊ ɹ v ʊ ɹ
spyrja	s p ɪ ɹ j a
spyrji	s p ɪ ɹ j ɪ
spyrjið	s p ɪ ɹ j ɪ
spæl	s p ɛ aː l
spæta	s p ɛ aːʰ t a
spógvi	s p ɛ k v ɪ
spøk	s p øːʰ k
standa	s t a n t a
standmynd	s t a n t m ɪ n t
stari	s t ɛ aː ɹ ɪ
starv	s t a r v
stavur	s t ɛ aː v ʊ ɹ
stað	s t ɛ aː
staður	s t ɛ aː v ʊ ɹ
steikja	s t a iː t͡ʃ a
steinbítur	s t a iː n p ʊ iː t ʊ ɹ
steðgur	s t ɛ kː ʊ ɹ
stig	s t iː j
stigbending	s t iː p ɛ n t ɪ ŋ k
stikkari	s t ɪʰ kː a ɹ ɪ
stjóri	s t j ɔ uː ɹ ɪ
stjóri	ʃ ɔ uː ɹ ɪ
stjørnufrøði	ʃ œ t n ʊ f r øː j ɪ
stokkhólmur	s t ɔʰ k h œ l m ʊ ɹ
storkur	s t ɔ ɹ̥ k ʊ ɹ
stova	s t ɔː v a
streymur	s t ɹ ɛ iː j m ʊ ɹ
strond	s t r ɔ n t
strongur	s t ɹ ɔ ŋ k ʊ ɹ
strutsur	s t ɹ ʊ sː ʊ ɹ
strutsur	s t ɹ ʊ t s ʊ ɹ
stubbi	s t ʊ pː ɪ
studentur	s t u t ɛ n̥ t ʊ ɹ
stuðul	s t uː w ʊ l
styrki	s t ɪ ɻ̊ t͡ʃ ɪ
stá	s t ɔ ɑː
stór	s t ɔ uː ɹ
stóra	s t ɔ uː ɹ a
stóru	s t ɔ uː ɹ ʊ
stórum	s t ɔ uː ɹ ʊ n
stórur	s t ɔ uː ɹ ʊ ɹ
stødd	s t œ tː
støddfrøði	s t œ tː f ɹ øː j ɪ
størstur	s t œ s t ʊ ɹ
støð	s t øː
støða	s t øː v a
stýrimaður	s t ʊ iː j ɹ ɪ m ɛ aː v ʊ ɹ
stýrivolt	s t ʊ i ɹ ɪ v ɔ l̥ t
sukur	s uː k ʊ ɹ
sum	s ʊ mː
suni	s uː n ɪ
sunniva	s ʊ nː ɪ v a
suðuroyingur	s uː ɹ ɪ ŋ k ʊ ɹ
svangur	s v ɛ ŋ k ʊ ɹ
svanur	s v ɛ aː n ʊ ɹ
svar	s v ɛ aː ɹ
sveinur	s v a iː n ʊ ɹ
sveisari	s v a i s a r ɪ
sverri	s v ɛ ɹː ɪ
svimjibuksur	s v i m j ɪ p ʊ k s ʊ ɹ
svimjibúni	s v ɪ m j ɪ p ʉ uː n ɪ
svá	s v ɔ ɑː
sváva	s v ɔ ɑː v a
svíma	s v ʊ iː m a
svín	s v ʊ i n
svínoy	s v ʊ iː n ɪ
svínoyingur	s v ʊ i n ɪ ŋ k ʊ ɹ
svølgja	s v œ l t͡ʃ a
svølta	s v œ l̥ t a
svøppur	s v œʰ pː ʊ ɹ
svørð	s v øː ɹ
svøvnur	s v œ v n ʊ ɹ
systir	s ɪ s t ɪ ɹ
systkin	s ɪ s t͡ʃʰ ɪ n
sá	s ɔ ɑː
sáa	s ɔː a
sálarfrøði	s ɔ aː l a ɹ f ɹ øː j ɪ
sálarmessa	s ɔ aː l a ɹ m ɛ sː a
sálmur	s ɔ l m ʊ r
sálva	s ɔ l v a
sámal	s ɔ aː m a l
sámi	s ɔ ɑː m ɪ
sápa	s ɔ ɑːʰ p a
sár	s ɔ aː ɹ
sára	s ɔ ɑː ɹ a
sáta	s ɔ ɑːʰ t a
sátan	s ɔ ɑːʰ t a n
sátt	s ɔʰ tː
sáð	s ɔ ɑː
sæbjørn	s ɛ aː p j œ t n
sætt	s aʰ tː
sæð	s ɛ aː
síga	s ʊ iː j a
síl	s ʊ iː l
síða	s ʊ iː j a
sós	s ɔ uː s
sótt	s œʰ tː
søldfirðingur	s œ l̥ f ɪ ɹ ɪ ŋ k ʊ ɹ
søtt	s œʰ tː
søtum	s øːʰ t ʊ n
sú	s ʉ uː
súkkla	s ʏʰ kː l a
súla	s ʉ uː l a
súltutoy	s ʏ l̥ t ʊ tʰ ɔ iː
súm	s ʉ uː n
súpanarskeið	s ʉ uː p a n a ɹ s k a iː j
súrum	s ʉ uː r ʊ n
sýning	s ʊ iː n ɪ ŋ k
sýra	s ʊ iː ɹ a
sýria	s ʊ iː ɹ i j a
t	tʰ
tailand	tʰ a iː l a n t
taivan	tʰ a iː v a n
tak	tʰ ɛ aːʰ k
taka	tʰ ɛ aːʰ k a
takksamur	tʰ aʰ kː s ɛ aː m ʊ ɹ
tal	tʰ ɛ aː l
tala	tʰ ɛ aː l a
talorð	tʰ ɛ aː l oː ɹ
talsmaður	tʰ a l s m ɛ aː v ʊ ɹ
talvfólk	tʰ a l f œ l̥ k
tamarhald	tʰ ɛ aː m a ɹ h a l t
tamur	tʰ ɛ aː m ʊ ɹ
tanki	tʰ ɛ ɲ̊ t ʃ ɪ
tannlækni	tʰ a nː l aʰ k n ɪ
tari	tʰ ɛ aː ɹ ɪ
tarmur	tʰ a ɹ m ʊ ɹ
taska	tʰ a s k a
te	tʰ eː
teg	tʰ eː
teir	tʰ a iː ɹ
teisti	tʰ a iː s t ɪ
teitur	tʰ a iː t ʊ ɹ
tekk	tʰ ɛʰ kː
teknari	tʰ ɛ k n a ɹ ɪ
teldubræv	tʰ ɛ l t ʊ p ɹ ɛ aː v
teldupostur	tʰ ɛ l t ʊ pʰ ɔ s t ʊ ɹ
telduspæl	tʰ ɛ l t ʊ s p ɛ aː l
telefon	tʰ e l e f oː n
tema	tʰ eː m a
teppi	tʰ ɛʰ pː ɪ
terna	tʰ ɛ t n a
terna	tʰ ɛ ɻ ɳ a
teskeið	tʰ eː s k a iː j
tiga	tʰ iː j a
tign	tʰ ɪ k n
til	tʰ iː l
tiltak	t iː l̥ tʱ ɛ aːʰ k
timbur	tʰ ɪ m p ʊ ɹ
tin	tʰ iː n
tingfundur	tʰ ɪ ŋ k f ʊ n t ʊ ɹ
tit	t iː t
tjald	t ʃʰ a l t
tjaldur	t͡ʃʰ a l t ʊ ɹ
tjaldursegg	t ʃʰ a l t ʊ ɹ s ɛ kː
