က	k a̰
ညကြီး	ɲ a̰ t͡ɕ í
ညစာ	ɲ a̰ z à
ညစ်	ɲ ɪ ʔ
ညစ်ထည်း	ɲ ɪ ʔ tʰ é
ညည်း	ɲ í
ညနေ	ɲ a̰ n è
ညနေခင်း	ɲ a̰ n è ɡ ɪ́ ɴ
ညလေး	ɲ a̰ l é
ညာ	ɲ à
ညို	ɲ ò
ညီ	ɲ ì
ညီနောင်	ɲ ì n à ʊ ɴ
ညီမ	ɲ ì m a̰
ညီမျှခြင်း	ɲ ì m̥ j a̰ d͡ʑ ɪ́ ɴ
ညီလာခံ	ɲ ì l à ɡ à ɴ
ညီအစ်ကို	ɲ ì ʔ ə k ò
ညီအစ်မ	ɲ ì ʔ ə m a̰
ညောင်	ɲ à ʊ ɴ
ညောင်ဖြူ	ɲ à ʊ ɴ b j ù
ညောင်ဗောဓိ	ɲ à ʊ ɴ b ɔ́ d ḭ
ညောင်လေးပင်	ɲ à ʊ ɴ l é p ɪ̀ ɴ
ညောင်းကျရောဂါ	ɲ á ʊ ɴ t͡ɕ a̰ j ɔ́ ɡ à
ညေး	ɲ é
ညံစာစာ	ɲ à ɴ s à z à
ညွန့်	ɲ ʊ̰ ɴ
ညှင်း	ɲ̊ ɪ́ ɴ
ညှစ်	ɲ̊ ɪ ʔ
ညှပ်	ɲ̊ a ʔ
ညှာ	ɲ̊ à
ဋသန်လျင်းချိတ်	t a̰ θ ə j ɪ́ ɴ d͡ʑ e ɪ ʔ
ဌဝမ်းဘဲ	tʰ a̰ w ʊ́ ɴ b ɛ́
ဌာန	tʰ à n a̰
ဌာပနာ	tʰ à p ə n à
ဌေး	tʰ é
ဍရင်ကောက်	d a̰ j ɪ̀ ɴ ɡ a ʊ ʔ
ဎရေမှုတ်	d a̰ j è m̥ o ʊ ʔ
ဏကြီး	n a̰ d͡ʑ í
တ	t a̰
တ	t ə
တကယ်	d ə ɡ ɛ̀
တကာ	d ə ɡ à
တက္ကစီ	t ɛ ʔ k ə s ì
တက္ကဗေဒ	t ɛ ʔ k a̰ b è d a̰
တက္ကသိုလ်	t ɛ ʔ k ə θ ò
တက်	t ɛ ʔ
တကွ	d ə ɡ w a̰
တချို့	t ə t͡ɕʰ o̰
တခြား	t ə t͡ɕʰ á
တင့်ကား	t ɪ̰ ɴ k á
တင်	t ɪ̀ ɴ
တင်ကူး	t ɪ̀ ɴ ɡ ú
တင်ဒါ	t ɪ̀ ɴ d à
တင်ပါ့ဘုရား	t ɪ̀ ɴ b a̰ pʰ ə j á
တင်းတင်း	t ɪ́ ɴ t ɪ́ ɴ
တင်းထိမ်	t ɪ́ ɴ d è ɪ ɴ
တင်းနစ်	t ɪ́ ɴ n ɪ ʔ
တစပြင်	d ə z a̰ b j ɪ̀ ɴ
တစောင်း	d ə z á ʊ ɴ
တစ္ဆေ	t ə sʰ è
တစ်	t ɪ ʔ
တစ်ခုလပ်	t ə kʰ ṵ l a ʔ
တစ်ချောင်းပုဒ်	t ə t͡ɕʰ á ʊ ɴ p o ʊ ʔ
တစ်ဆယ်	t ə z ɛ̀
တစ်ထောင်	t ə tʰ à ʊ ɴ
တစ်ပင်တိုင်မင်းသမီး	d ə b ɪ̀ ɴ d à ɪ ɴ m ɪ́ ɴ ð ə m í
တစ်ရာ	t ə j à
တစ်လ	t ə l a̰
တဆယ်	t ə z ɛ̀
တဆေး	t ə sʰ é
တညင်း	d ə ɲ ɪ́ ɴ
တညင်းသီး	d ə ɲ ɪ́ ɴ ð í
တည်	t ì
တည်	t ɛ̀
တည်ဆောက်	t ì sʰ a ʊ ʔ
တည်တံ့	t ì d a̰ ɴ
တည်း	tʰ ɛ́
တဏှင်္ကရာ	t ə n̥ ɪ̀ ɴ k ə ɹ à
တဏှင်္ကရာဘုရား	t ə n̥ ɪ̀ ɴ k ə ɹ à pʰ ə j á
တဏှာ	t ə n̥ à
တတိယ	t a̰ t ḭ j a̰
တတ်	d a ʔ
တတ်	t a ʔ
တတ်	ɴ
တတ်	ʔ
တန	t a̰ n a̰
တနင်္ဂနွေ	t ə n ɪ̀ ɴ ɡ ə n w è
တနင်္လာ	t ə n ɪ́ ɴ l à
တန်ခိုးရှင်	t à ɴ kʰ ó ʃ ɪ̀ ɴ
တန်ခူး	d ə ɡ ú
တန်ဆောင်မုန်း	d ə z à ʊ ɴ m ó ʊ ɴ
တန်ဇေးနီးယား	t à ɴ z é n í j á
တပည့်တော်	d ə b ḭ d ɔ̀
တပည့်တော်မ	d ə b ḭ d ɔ̀ m a̰
တပို့တွဲ	d ə b o̰ d w ɛ́
တပေါင်း	d ə b á ʊ ɴ
တပေါင်းလပြည့်နေ့	d ə b á ʊ ɴ l a̰ p j ḭ n ḛ
တပ်	t a ʔ
တပ်ကြပ်	t a ʔ t͡ɕ a ʔ
တပ်ကြပ်ကြီး	t a ʔ t͡ɕ a ʔ t͡ɕ í
တပ်ခွဲတပ်ကြပ်ကြီး	t a ʔ kʰ w ɛ́ t a ʔ t͡ɕ a ʔ t͡ɕ í
တပ်မတော်	t a ʔ m ə d ɔ̀
တပ်မတော်နေ့	t a ʔ m ə d ɔ̀ n ḛ
တဘက်	d ə b ɛ ʔ
တမန်	t ə m à ɴ
တမန်တော်	t ə m à ɴ d ɔ̀
တမလန်း	t ə m ə l á ɴ
တယော	t ə j ɔ́
တယ်	t ɛ̀
တယ်လီဖုန်း	t ɛ̀ l ì pʰ ó ʊ ɴ
တယ်လီဗီးရှင်း	t ɛ̀ l ì b í ʃ ɪ́ ɴ
တရား	t ə j á
တရားခံ	t ə j ə kʰ à ɴ
တရားစွဲ	t ə j á s w ɛ́
တရားရုံး	t ə j á j ó ʊ ɴ
တရားလွှတ်တော်	t ə j á l̥ ʊ ʔ t ɔ̀
တရားလွှတ်တော်ချုပ်	t ə j á l̥ ʊ ʔ t ɔ̀ d͡ʑ o ʊ ʔ
တရားသူကြီး	t ə j á ð ù d͡ʑ í
တရုတ်	t ə j o ʊ ʔ
တရုတ်စံကား	t a̰ j o ʊ ʔ s à ɴ k á
တရုတ်ဆီးသီး	t ə j o ʊ ʔ z í θ í
တရုတ်နံနံ	t a̰ j o ʊ ʔ n à ɴ n à ɴ
တရုတ်နှင်းသီး	t a̰ j o ʊ ʔ n̥ ɪ́ ɴ θ í
တရုတ်မဆလာ	t ə j o ʊ ʔ m ə sʰ ə l à
တလည်း	t ə l é
တလိုင်း	t ə l á ɪ ɴ
တလွဲ	t ə l w ɛ́
တာချီလိတ်	t à t͡ɕʰ ì l e ɪ ʔ
တာဂျစ်ကစ္စတန်	t à d͡ʑ ɪ ʔ k ɪ ʔ s ə t à ɴ
တာတား	t à t á
တာမွေ	t à m w è
တာယာ	t à j à
တာရာ	t à j à
တာလုဇ	t à l ṵ z a̰
တာဝတိံသာ	t à w a̰ t è ɪ ɴ θ à
တာဝန်	t à w ʊ̀ ɴ
တာ့ခ်မင်နစ္စတန်	t a̰ kʰ m ɪ̀ ɴ n ɪ ʔ s ə t à ɴ
တား	t á
တိ	t ḭ
တိတ်	t e ɪ ʔ
တိန်းညက်	t é ɪ ɴ ɲ ɛ ʔ
တိပိဋက	t ḭ p ḭ t ə k a̰
တိမ်	t è ɪ ɴ
တိရစ္ဆာန်	t ə ɹ e ɪ ʔ sʰ à ɴ
တိရစ္ဆာန်ရုံ	t ə ɹ e ɪ ʔ sʰ à ɴ j ò ʊ ɴ
တို	t ò
တိုက်	t a ɪ ʔ
တိုက်ခန်း	t a ɪ ʔ kʰ á ɴ
တိုက်ပုံ	t a ɪ ʔ p ò ʊ ɴ
တိုက်ပွဲ	t a ɪ ʔ p w ɛ́
တိုက်အိမ်	t a ɪ ʔ ʔ è ɪ ɴ
တိုကျို	t ò t͡ɕ ò
တိုဂို	t ò ɡ ò
တိုင်	t à ɪ ɴ
တိုင်ကီ	t à ɪ ɴ k ì
တိုင်ပင်	t à ɪ ɴ b ɪ̀ ɴ
တိုင်ဖွန်း	t à ɪ ɴ pʰ ʊ́ ɴ
တိုင်းရင်းသား	t á ɪ ɴ j ɪ́ ɴ ð á
တိုဖူး	t ò pʰ ú
တိုရှေ	t ò ʃ è
တိုဟူး	t ò h ú
တိုဟူးနွေး	t ò h ú n w é
တိုဟူးသုပ်	t ò h ú θ o ʊ ʔ
တို့	d o̰
တိုး	t ó
တိုးတက်	t ó t ɛ ʔ
တိုးတက်ခြင်း	t ó t ɛ ʔ d͡ʑ ɪ̀ ɴ
တိုးတက်ရေး	t ó t ɛ ʔ j é
တိုးတိုး	t ó d ó
တိုးနရား	t ó n ə j á
တိဿ	t e ɪ ʔ θ a̰
တိဿဘုရား	t e ɪ ʔ θ a̰ pʰ ə j á
တီ	t ì
တီကောင်	t ì ɡ à ʊ ɴ
တီကေ့	t ì k ḛ
တီထွင်	t ì tʰ w ɪ̀ ɴ
တီထွင်မှု	t ì tʰ w ɪ̀ ɴ m̥ ṵ
တီဗီ	t ì b ì
တီရှပ်	t ì ʃ a ʔ
တီဟီရန်	t ì h ì ɹ à ɴ
တီး	t í
တီးတိုးပြော	t í d ó p j ɔ́
တုတ်	d o ʊ ʔ
တုတ်မီး	d o ʊ ʔ m í
တုံး	t ó ʊ ɴ
တူ	t ù
တူနီးရှား	t ù n í ʃ á
တူမ	t ù m a̰
တူရကီ	t ù ɹ ə k ì
တူရိယာ	t ù ɹ ḭ j à
တူး	t ú
တူးမြောင်း	t ú m j á ʊ ɴ
တူးရစ်	t ú ɹ ɪ ʔ
တေဇော	t è z ɔ́
တေသံ	t è ð à ɴ
တော	t ɔ́
တောက်တဲ့	t a ʊ ʔ t ɛ̰
တောက်ပ	t a ʊ ʔ p a̰
တောကြက်မောက်	t ɔ́ t͡ɕ ɛ ʔ m a ʊ ʔ
တောခွေး	t ɔ́ ɡ w é
တောင်	t à ʊ ɴ
တောင်ကိုရီးယား	t à ʊ ɴ k ò ɹ í j á
တောင်ကြား	t à ʊ ɴ d͡ʑ á
တောင်ကြီး	t à ʊ ɴ d͡ʑ í
တောင်ငူ	t à ʊ ɴ ŋ ù
တောင်ဆူဒန်	t à ʊ ɴ sʰ ù d à ɴ
တောင်ပံ	t à ʊ ɴ b à ɴ
တောင်ဖက်ဝန်း	t à ʊ ɴ pʰ ɛ ʔ w ʊ́ ɴ
တောင်သူ	t à ʊ ɴ ð ù
တောင်သူလယ်သမား	t à ʊ ɴ ð ù l ɛ̀ ð ə m á
တောင်သူလယ်သမားနေ့	t à ʊ ɴ ð ù l ɛ̀ θ ə m á n ḛ
တောင်အာဖရိက	t à ʊ ɴ ʔ à pʰ ə ɹ ḭ k a̰
တောင်း	t á ʊ ɴ
တောင်းပန်	t á ʊ ɴ b à ɴ
တောမန်ကျည်း	t ɔ́ m ə d͡ʑ í
တောသား	t ɔ́ ð á
တောသီတင်း	t ɔ́ θ ì d ɪ́ ɴ
တော်	t ɔ̀
တော်ပြီ	t ɔ̀ b ì
တော်လေးဝ	t ɔ̀ l é w a̰
တော်လှန်	t ɔ̀ l̥ à ɴ
တော်လှန်ရေး	t ɔ̀ l̥ à ɴ j é
တော်သလင်း	t ɔ̀ ð ə l ɪ́ ɴ
တေးသံရှင်	t é θ à ɴ ʃ ɪ̀ ɴ
တေးသွား	t é ð w á
တဲ	t ɛ́
တဲ့	d ɛ̰
တံ	t à ɴ
တံခါး	d ə ɡ á
တံခါးဗိုလ်	d ə ɡ á b ò
တံခွန်	d ə ɡ ʊ̀ ɴ
တံခွန်တိုင်	d ə ɡ ʊ̀ ɴ d à ɪ ɴ
တံငါ	t ə ŋ à
တံစဉ်	d ə z ɪ̀ ɴ
တံစဉ်း	d ə z ɪ́ ɴ
တံဆိပ်	d ə z e ɪ ʔ
တံဆိပ်ခေါင်း	d ə z e ɪ ʔ ɡ á ʊ ɴ
တံတား	d ə d á
တံတိုင်း	d ə d á ɪ ɴ
တံတောင်	d ə d à ʊ ɴ
တံပိုး	d ə b ó
တံပူ	d ə b ù
တံမြက်စည်း	d ə b j ɛ ʔ s í
တံ့တံ့	t a̰ ɴ d a̰ ɴ
တြိ	t ə ɹ ḭ
တြိဂံ	t ɹ ḭ ɡ à ɴ
တြိပူရ	t ə ɹ ḭ p ù j a̰
တွက်	t w ɛ ʔ
တွင်	t w ɪ̀ ɴ
တွင်း	t w ɪ́ ɴ
တွန်း	t ʊ́ ɴ
တွပ်	t ʊ ʔ
တွေ့	t w ḛ
တွေး	t w é
ထ	tʰ a̰
ထက်	tʰ ɛ ʔ
ထက်ဝယ်ဖွဲ့ခွေ	tʰ ɛ ʔ w ɛ̀ pʰ w ɛ̰ kʰ w è
ထင်	tʰ ɪ̀ ɴ
ထင်စား	tʰ ɪ̀ ɴ z á
ထင်း	tʰ ɪ́ ɴ
ထဆင်ထူး	tʰ a̰ sʰ ɪ̀ ɴ d ú
ထည်	tʰ ɛ̀
ထနောင်း	tʰ ə n á ʊ ɴ
ထန်း	tʰ á ɴ
ထန်းလျက်	tʰ ə ɲ ɛ ʔ
ထပ်	tʰ a ʔ
ထပ်တစ်ရာ	tʰ a ʔ t ə j à
ထဘီ	tʰ ə m ì
ထမင်း	tʰ ə m ɪ́ ɴ
ထမင်းကြော်	tʰ ə m ɪ́ ɴ d͡ʑ ɔ̀
ထမင်းချဉ်	tʰ ə m ɪ́ ɴ d͡ʑ ɪ̀ ɴ
ထမင်းဆိုင်	tʰ ə m ɪ́ ɴ z à ɪ ɴ
ထမင်းသုပ်	tʰ a̰ m ɪ́ ɴ θ o ʊ ʔ
ထမင်း‌ကြော်	tʰ ə m ɪ́ ɴ‌ d͡ʑ ɔ̀
ထမနဲ	tʰ a̰ m a̰ n ɛ́
ထယ်	tʰ ɛ̀
ထာဝရ	tʰ à w ə j a̰
ထာဝရဥစ္စာ	tʰ à w ə j a̰ ʔ o ʊ ʔ s à
ထား	tʰ á
ထားဝယ်	d ə w ɛ̀
ထိ	tʰ ḭ
ထိကပေါက်	tʰ ḭ ɡ ə b a ʊ ʔ
ထိပ်ခေါင်တင်	tʰ e ɪ ʔ kʰ à ʊ ɴ t ɪ̀ ɴ
ထိပ်စုဖုရား	tʰ e ɪ ʔ s ṵ pʰ ə j á
ထိမ်းမြား	tʰ é ɪ ɴ m j á
ထို	tʰ ò
ထိုင်	tʰ à ɪ ɴ
ထိုင်ခုံ	tʰ à ɪ ɴ ɡ ò ʊ ɴ
ထိုင်ပေ	tʰ à ɪ ɴ p è
ထိုင်မသိမ်း	tʰ à ɪ ɴ m ə θ é ɪ ɴ
ထိုင်ဝမ်	tʰ à ɪ ɴ w à ɴ
ထိုင်း	tʰ á ɪ ɴ
ထိုမှာ	tʰ ò m̥ à
ထိုး	tʰ ó
ထိုးမုန့်	tʰ ó m o̰ ʊ ɴ
ထီ	tʰ ì
ထီး	tʰ í
ထီးတင်	tʰ í t ɪ̀ ɴ
ထီးဖြူ	tʰ í b j ù
ထုတ်ကုန်	tʰ o ʊ ʔ k ò ʊ ɴ
ထုတ်လုပ်	tʰ o ʊ ʔ l o ʊ ʔ
ထုတ်လုပ်မှု	tʰ o ʊ ʔ l o ʊ ʔ m̥ ṵ
ထုတ်ဝေသူ	tʰ o ʊ ʔ w è ð ù
ထုံးစံ	tʰ ó ʊ ɴ z à ɴ
ထူ	tʰ ù
ထူထဲ	tʰ ù d ɛ́
ထူပါ	tʰ ù p à
ထူး	tʰ ú
ထေရဝါဒ	tʰ è j a̰ w à d a̰
ထော	tʰ ɔ́
ထောက်	tʰ a ʊ ʔ
ထောက်ကြံ့	tʰ a ʊ ʔ t͡ɕ a̰ ɴ
ထောက်ခံ	tʰ a ʊ ʔ kʰ à ɴ
ထောက်ပံ့	tʰ a ʊ ʔ p a̰ ɴ
ထောင့်	d a̰ ʊ ɴ
ထောင်	tʰ à ʊ ɴ
ထောင်ကဲ	tʰ à ʊ ɴ k ɛ́
ထောင်မှူး	tʰ à ʊ ɴ m̥ ú
ထောင်သား	tʰ à ʊ ɴ ð á
ထောပတ်	tʰ ɔ́ b a ʔ
ထောပတ်ထမင်း	tʰ ɔ́ b a ʔ tʰ ə m ɪ́ ɴ
ထောပတ်သီး	tʰ ɔ́ p a ʔ θ í
ထော်လာဂျီ	tʰ ɔ̀ l à d͡ʑ ì
ထဲ	tʰ ɛ́
ထံ	tʰ à ɴ
ထွက်	tʰ w ɛ ʔ
ထွက်ပေါက်	tʰ w ɛ ʔ p a ʊ ʔ
ထွက်ပြေး	tʰ w ɛ ʔ p j é
ထွန်	tʰ ʊ̀ ɴ
ထွန်စက်	tʰ ʊ̀ ɴ z ɛ ʔ
ထွန်း	tʰ ʊ́ ɴ
ထွေး	tʰ w é
ဒကာ	d ə ɡ à
ဒက္ခိဏ	d ɛ ʔ kʰ ḭ n a̰
ဒဂုံ	d ə ɡ ò ʊ ɴ
ဒင်္ဂါး	d ɪ̀ ɴ ɡ á
ဒင်္ဂါးတိုက်	d ɪ̀ ɴ ɡ á d a ɪ ʔ
ဒစ္စကို	d ɪ ʔ s a̰ k ò
ဒဏ္ဍာရီ	d à n d à j ì
ဒဏ်	d à n
ဒဏ်ငွေ	d à n ŋ w è
ဒဏ်ရာ	d à ɴ j à
ဒထွေး	d a̰ d w é
ဒန့်သလွန်	d a̰ ɴ ð ə l ʊ̀ ɴ
ဒန်ပူ	d ə b ù
ဒန်း	d á ɴ
ဒသမ	d a̰ θ ə m a̰
ဒါ	d à
ဒါန	d à n a̰
ဒါပါပဲ	d à b à b ɛ́
ဒါပေမဲ့	d à b è m ɛ̰
ဒါပော့	d à p ɔ̰
ဒိန်ခဲ	d è ɪ ɴ ɡ ɛ́
ဒိန်ချဉ်	d è ɪ ɴ d͡ʑ ɪ̀ ɴ
ဒိန်းမတ်	d é ɪ ɴ m a ʔ
ဒိုင်ခွက်	d à ɪ ɴ ɡ w ɛ ʔ
ဒိုင်နိုဆော	d à ɪ ɴ n ò sʰ ɔ́
ဒိုင်ယာနာ	d à ɪ ɴ j à n à
ဒိုင်ယာရီ	d à ɪ ɴ j ə ɹ ì
ဒီ	d ì
ဒီဂရီ	d ì ɡ ə ɹ ì
ဒီဃ	d ì ɡ a̰
ဒီဇင်ဘာ	d ì z ɪ̀ ɴ b à
ဒီဇိုင်နာ	d ì z à ɪ ɴ n à
ဒီဇိုင်း	d ì z á ɪ ɴ
ဒီည	d ì ɲ a̰
ဒီနေ့	d ì n ḛ
ဒီပင်္ကရာ	d ì p ɪ̀ ɴ k ə ɹ à
ဒီပင်္ကရာဘုရား	d ì p ɪ̀ ɴ k ə ɹ à pʰ ə j á
ဒီပါ	d ì p à
ဒီပါဝလီ	d ì p à w ə l ì
ဒီဗီဒီ	d ì b ì d ì
ဒီမိုကရေစီ	d ì m ò k ə ɹ è s ì
ဒီမှာ	d ì m̥ à
ဒီလို	d ì l ò
ဒီဟာ	d ì h à
ဒု	d ṵ
ဒုက္ခ	d o ʊ ʔ kʰ a̰
ဒုက္ခသည်	d o ʊ ʔ kʰ a̰ ð è
ဒုက္ခိတ	d o ʊ ʔ kʰ ḭ t a̰
ဒုတိယ	d ṵ t ḭ j a̰
ဒုတိယတပ်ကြပ်	d ṵ t ḭ j a̰ t a ʔ t͡ɕ a ʔ
ဒုတိယဗိုလ်	d ṵ t ḭ j a̰ b ò
ဒုတိယဗိုလ်ချုပ်ကြီး	d ṵ t ḭ j a̰ b ò d͡ʑ o ʊ ʔ d͡ʑ í
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	d ṵ t ḭ j a̰ b ò d͡ʑ o ʊ ʔ m̥ ú d͡ʑ í
ဒုတိယဗိုလ်မှူးကြီး	d ṵ t ḭ j a̰ b ò m̥ ú d͡ʑ í
ဒုတိယအရာခံဗိုလ်	d ṵ t ḭ j a̰ ʔ ə j à ɡ à ɴ b ò
ဒုဗ္ဘိက္ခန္တရကပ်	d o ʊ ʔ b e ɪ ʔ kʰ à ɴ t ə ɹ a̰ k a ʔ
ဒုယင်တော်	d ə j ɪ̀ ɴ d ɔ̀
ဒုံမင်း	d ò ʊ ɴ m ɪ́ ɴ
ဒုံး	d ó ʊ ɴ
ဒုံးပျံ	d ó ʊ ɴ b j à ɴ
ဒူလာ	d ù l à
ဒူး	d ú
ဒူးခေါင်း	d ú ɡ á ʊ ɴ
ဒူးထောက်	d ú tʰ a ʊ ʔ
ဒူးရင်းယို	d ú j ɪ́ ɴ j ò
ဒူးရင်းသီး	d ú j ɪ́ ɴ θ í
ဒူးလေး	d ú l é
ဒူးဝါး	d ú w á
ဒေတာဘေ့စ်	d è t à b ḛ s
ဒေဝ	d è w a̰
ဒေဝဒတ်	d è w ə d a ʔ
ဒေဝနာဂရီ	d è w a̰ n à ɡ ə ɹ ì
ဒေဝါလီခံ	d è w à l ì kʰ à ɴ
ဒေဝီ	d è w ì
ဒေသ	d è θ a̰
ဒေသန္တရ	d è θ à ɴ t ə j a̰
ဒေသန္တရစကား	d è θ à ɴ t ə ɹ a̰ z ə ɡ á
ဒေသိယစကား	d è θ ḭ j a̰ z ə ɡ á
ဒေါက်တာ	d a ʊ ʔ t à
ဒေါင်း	d á ʊ ɴ
ဒေါင်းလန်း	d á ʊ ɴ l á ɴ
ဒေါ်	d ɔ̀
ဒေါ်ကြီး	d ɔ̀ d͡ʑ í
ဒေါ်လာ	d ɔ̀ l à
ဒေါ်လေး	d ɔ̀ l é
ဒံပေါက်	d à ɴ p a ʊ ʔ
ဒြပ်	d ə ɹ a ʔ
ဒြပ်စင်	d ə ɹ a ʔ s ɪ̀ ɴ
ဒြပ်ထု	d ə ɹ a ʔ tʰ ù
ဒွယံဒွယံ	d w a̰ j à ɴ d w a̰ j à ɴ
ဒွာရ	d w à j a̰
ဒွိ	d w ḭ
ဒွိလိင်	d w ḭ l è ɪ ɴ
ဒွေးဘော်	d w é b ɔ̀
ဒဿဂီရိ	d ə θ a̰ ɡ ì j ḭ
ဒဿနဗေဒ	d a̰ θ ə n a̰ b è d a̰
ဒဿနိကဗေဒ	d a̰ θ ə n ḭ k a̰ b è d a̰
ဓနရှင်	d ə n a̰ ʃ ɪ̀ ɴ
ဓနိတ	d ə n ḭ t a̰
ဓနု	d ə n ṵ
ဓမ္မ	d ə m a̰
ဓမ္မတာ	d ə m ə d à
ဓမ္မတာကာလ	d ə m ə d à k à l a̰
ဓမ္မတာလာ	d ə m ə d à l à
ဓမ္မတာဝန်	d ə m ə d à w ʊ̀ ɴ
ဓမ္မဒဿီ	d ə m a̰ m a̰ d a ʔ θ ì
ဓမ္မဒဿီဘုရား	d ə m a̰ d ə t θ ì pʰ ə j á
ဓမ္မပါလ	d à ɴ m a̰ p à l a̰
ဓမ္မသတ်	d ə m ə θ a ʔ
ဓလေ့	d ə l ḛ
ဓအောက်ခြိုက်	d a̰ ʔ a ʊ ʔ t͡ɕʰ a ɪ ʔ
ဓာတုဗေဒ	d à t ṵ b è d a̰
ဓာတ်	d a ʔ
ဓာတ်ကြီးလေးပါး	d à t t͡ɕ í l é p á
ဓာတ်ခဲ	d a ʔ kʰ é
ဓာတ်ခွက်	d à t kʰ w ɛ ʔ
ဓာတ်ငွေ့	d a ʔ ŋ w ḛ
ဓာတ်ဆီ	d a ʔ sʰ ì
ဓာတ်ဆီဆိုင်	d a ʔ sʰ ì z à ɪ ɴ
ဓာတ်ပုံ	d a ʔ p ò ʊ ɴ
ဓာတ်ပြား	d a ʔ p j à
ဓာတ်မီးခြစ်	d a ʔ m í d͡ʑ ɪ ʔ
ဓာတ်မီးပူ	d a ʔ m í b ù
ဓာတ်လှေကား	d a ʔ l̥ è ɡ á
ဓာတ်အိုး	d a ʔ ʔ ó
ဓား	d á
ဓားစာခံ	d ə z à ɡ à ɴ
ဓားပြ	d ə m j a̰
ဓားပြား	d ə b j á
ဓားအိမ်	d ə ʔ è ɪ ɴ
နက္ခတ္တဗေဒ	n ɛ ʔ kʰ ə t a̰ b è d a̰
နက်	n ɛ ʔ
နက်ဖြန်	n ɛ ʔ pʰ j à ɴ
နကျယ်ကောင်	n ə d͡ʑ ɛ̀ ɡ à ʊ ɴ
နဂါး	n ə ɡ á
နဂါးမောက်	n a̰ ɡ á m a ʊ ʔ
နဂါးမောက်သီး	n a̰ ɡ á m a ʊ ʔ θ í
နငယ်	n a̰ ŋ ɛ̀
နင်	n ɪ̀ ɴ
နင်တို့	n ɪ̀ ɴ d o̰
နည်း	n ɛ́
နည်းနည်း	n ɛ́ n ɛ́
နည်းနည်းချင်း	n í n í t͡ɕʰ ɪ́ ɴ
နည်းပညာ	n í p j ɪ̀ ɴ ɲ à
နတ်	n a ʔ
နတ်ကွန်း	n a ʔ k ʊ́ ɴ
နတ်ဆိုး	n a ʔ sʰ ó
နတ်တော်	n ə d ɔ̀
နတ်နန်း	n a ʔ n á ɴ
နတ်ပြည်ခြောက်ထပ်	n a ʔ p j ì t͡ɕʰ a ʊ ʔ tʰ a ʔ
နတ်ရွာစံ	n a ʔ j w à s à ɴ
နတ်သုဓာ	n a ʔ θ o ʊ ʔ d à
နတ်သုဓာထမင်း	n a ʔ θ o ʊ ʔ d à tʰ ə m ɪ́ ɴ
နဒီ	n ə d ì
နန္ဒာ	n à ɴ d à
နန်း	n á ɴ
နန်းကထိ	n á ɴ k ə tʰ ḭ
နန်းကြီး	n á ɴ t͡ɕ í
နန်းကြီးသုပ်	n á ɴ t͡ɕ í θ o ʊ ʔ
နန်းတော်	n á ɴ d ɔ̀
နန်းပြားသုပ်	n á ɴ b j á θ o ʊ ʔ
နန်းမတော်	n á ɴ m ə d ɔ̀
နန်းမြင့်	n á ɴ m j ɪ̰ ɴ
နနွင်း	sʰ ə n w ɪ́ ɴ
နပန်း	n ə b á ɴ
နဖူး	n a̰ pʰ ú
နမီးဘီးယား	n a̰ m í b í j á
နမူနာ	n ə m ù n à
နမ်း	n á ɴ
နယုန်	n ə j ò ʊ ɴ
နယူးဇီလန်	n ə j ú z ì l à ɴ
နယူးဒေလီ	n ə j ú d è l ì
နယူးယောက်	n ə j ú j a ʊ ʔ
နယ်	n ɛ̀
နယ်စပ်	n ɛ̀ z a ʔ
နယ်သာလန်	n ɛ̀ ð ə l à ɴ
နရက်	n ə ɹ ɛ ʔ
နရန်း	n ə j á ɴ
နရား	n ə j á
နဝကမ္မ	n ə w a̰ k à ɴ m a̰
နဝမ	n ə w ə m a̰
နဝရတ်	n ə w ə ɹ a ʔ
နဝရူပ	n a̰ w a̰ j ù p a̰
နာ	n à
နာဂဒေဝ	n à ɡ a̰ d è w a̰
နာဂရီ	n à ɡ ə ɹ ì
နာတာလူးပွဲ	n à t à l ú b w ɛ́
နာနတ်	n ə n a ʔ
နာနတ်ပွင့်	n ə n a ʔ p w ɪ̰ ɴ
နာနတ်သီး	n à n a ʔ θ í
နာနာ	n à n à
နာနာဘာဝ	n à n à b à w a̰
နာမ	n à m a̰
နာမကရဏ	n à m a̰ k ə ɹ ə n a̰
နာမကျန်း	n à m ə t͡ɕ á ɴ
နာမည်	n à m j ì
နာမဝိသေသန	n à m a̰ w ḭ θ è θ ə n a̰
နာမ်	n à ɴ
နာမ်စား	n à m z á
နာရဒ	n à ɹ ə d a̰
နာရဒဘုရား	n à ɹ ə d a̰ pʰ ə j á
နာရီ	n à j ì
နာရီဝက်	n à j ì w ɛ ʔ
နား	n á
နားကပ်	n á ɡ a ʔ
နားကြပ်	n ə d͡ʑ a ʔ
နားကွင်း	n á ɡ w ɪ́ ɴ
နားထင်	n ə tʰ ɪ̀ ɴ
နားထောင်	n á tʰ à ʊ ɴ
နားရွက်	n ə j w ɛ ʔ
နားလည်	n á l ɛ̀
နိကာယ	n ḭ k à j a̰
နိခါတကဗေဒ	n ḭ kʰ à t ə k a̰ b è d a̰
နိဂ္ဂဟိတ	n e ɪ ʔ ɡ ə h ḭ t a̰
နိစ္စ	n è s a̰
