'ch	χ
chwarel	χ w aː r ɛ l
chwarren	ʍ a r ɛ n
chwarren	χ w a r ɛ n
chwch	χ ʊ χ
chwe	w eː
chwe	ʍ eː
chwe	χ w eː
chwech	h w eː χ
chwech	w eː χ
chwech	χ w eː χ
chwech ar hugain	h w eː χ a r h iː ɡ ɛ n
chwech ar hugain	h w eː χ a r h ɪ ɡ ɛ n
chwech ar hugain	w eː χ a r iː ɡ ɛ n
chwech ar hugain	w eː χ a r ɪ ɡ ɛ n
chwech ar hugain	χ w eː χ a r h iː ɡ a i̯ n
chwech ar hugain	χ w eː χ a r h ɪ ɡ a i̯ n
chweched	ʍ eː χ ɛ d
chweched	ʍ ɛ χ ɛ d
chweched	χ w eː χ ɛ d
chweched	χ w ɛ χ ɛ d
chwedl	ʍ eː d ɛ l
chwedl	ʍ ɛ d ɛ l
chwedl	χ w eː d ɛ l
chwedl	χ w ɛ d l
chwedl	χ w ɛ d ɛ l
chwefror	ʍ ɛ v r ɔ r
chwefror	χ w ɛ v r ɔ r
chweina	χ w e i̯ n a
chwennych	χ w ɛ n ɪ χ
chwenychu	χ w ɛ n ə χ i
chwern	h w ɛ r n
chwerthin	h w ɛ r θ ɪ n
chwerthin	w ɛ r θ ɪ n
chwerthin	χ w ɛ r θ ɪ n
chwerw	ʍ eː r u
chwerw	ʍ ɛ r u
chwerw	χ w eː r u
chwerw	χ w ɛ r u
chwerwddwr	χ w ɛ r w ð ʊ r
chwerwddwr	χ w ɛ r ð ʊ r
chwery	χ w eː r i
chwery	χ w ɛ r i
chwestiwn	k w ɛ s d j ʊ n
chweugain	χ w e i̯ ɡ a i̯ n
chwi	χ w iː
chwigain	χ w iː ɡ a i̯ n
chwigain	χ w ɪ ɡ a i̯ n
chwilio	w ɪ l j ɔ
chwilio	w ɪ l ɔ
chwilio	ʍ ɪ l j ɔ
chwilio	ʍ ɪ l ɔ
chwilio	χ w ɪ l j ɔ
chwinciad	χ w ɪ ŋ k j a d
chwiorydd	ʍ i oː r ɪ ð
chwiorydd	ʍ i ɔ r ɪ ð
chwiorydd	χ w i oː r ɪ ð
chwiorydd	χ w i ɔ r ɪ ð
chwip	χ w ɪ p
chwisgi	h w ɪ s ɡ i
chwisgi	w ɪ s ɡ i
chwith	w iː θ
chwith	ʍ iː θ
chwith	χ w iː θ
chwningen	χ ʊ n ɪ ŋ ɛ n
chwpan	χ ʊ p a n
chwpwrdd	χ ʊ p ʊ r ð
chwrdd	χ ʊ r ð
chwrs	χ ʊ r s
chwrw	χ uː r u
chwrw	χ ʊ r u
chwydd	h w iː ð
chwydd	χ ʊ i̯ ð
chwyddiant	χ w ə ð j a n t
chwyddo	χ w iː ð ɔ
chwyddo	χ w ɪ ð ɔ
chwyldro	χ w ɪ l d r ɔ
chwympo	χ w ɪ m p ɔ
chwympo	χ ʊ m p ɔ
chwympo	χ ʊ ɪ̯ m p ɔ
chwyno	χ ʊ i̯ n ɔ
chwyrn	ʍ ɪ r n
chwyrn	χ w ɪ r n
chwyrnaf	χ w ə r n a v
chwyrnu	h ʊ r n i
chwyrnu	ʍ ə r n i
chwyrnu	χ w ə r n i
chwys	ʍ iː s
chwys	χ w iː s
chwyth	h w iː θ
chwythaf	h ʊ θ a
chwythaf	ʍ ə θ a
chwythaf	χ w ə θ a
chwythaf	χ w ə θ a v
chwythu	h w ə θ i
chwythu	h ʊ θ i
chwythu	χ w ə θ i
chwŷl	χ w iː l
chychwyn	χ ə χ w ɪ n
chydbreswylwyr	χ iː d b r ɛ s ʊ i̯ l w ɪ r
chyfarfod	χ w a r v ɔ d
chyfarfod	χ ə v a r v ɔ d
chyfforddus	χ ə f ɔ r ð ɪ s
chyfiawnder	χ ə v j a u̯ n d ɛ r
chyflym	χ ə v l ɪ m
chyfnither	χ ə v n iː θ ɛ r
chyfnither	χ ə v n ɪ θ ɛ r
chyfoethog	χ ə v ɔ i̯ θ ɔ ɡ
chyfreithiwr	χ ə v r e i̯ θ j ʊ r
chylchgrawn	χ ə l χ ɡ r a u̯ n
chylchgrawn	χ ɪ l χ ɡ r a u̯ n
chymaint	χ ə m a i̯ n t
chymaint	χ ə m ɛ n t
chymaint	χ ɪ m ɛ n t
chymedrolwr	χ ə m ɛ d r oː l ʊ r
chymedrolwr	χ ə m ɛ d r ɔ l ʊ r
chymedrolwyr	χ ə m ɛ d r ɔ l w ɪ r
chymorth	χ ə m ɔ r θ
chymru	χ ə m r i
chymylog	χ ə m ə l ɔ ɡ
chyngor	χ ə ŋ ɔ r
chynhadledd	χ ə n h a d l ɛ ð
chynnwrf	χ ə n ʊ r v
chyrraedd	χ ə r a i̯ ð
chyrraedd	χ ə r a ð
chyrraedd	χ ə r ɛ ð
chysgu	χ ə s ɡ i
chystadlu	χ ə s d a d l i
chythraul	χ ə θ r a i̯ l
chythraul	χ ə θ r ɛ l
chythreuliaid	χ ə θ r e i̯ l j a i̯ d
chythreuliaid	χ ə θ r e i̯ l j ɛ d
chân	χ aː n
chôt	χ oː t
ci	k iː
cic	k ɪ k
cic adlam	k ɪ k a d l a m
cic gosb	k ɪ k ɡ ɔ s b
ciciau	k i k j a i̯
ciciau	k i k j ɛ
ciciau adlam	k i k j a i̯ a d l a m
ciciau adlam	k i k j ɛ a d l a m
ciciau cosb	k ɪ k j a i̯ ɡ ɔ s b
ciciau cosb	k ɪ k j ɛ ɡ ɔ s b
cicio	k ɪ k j ɔ
cig	k iː ɡ
cigfran	k ɪ ɡ v r a n
cil	k iː l
cilbost	k ɪ l b ɔ s t
cilbren	k ɪ l b r ɛ n
cilddant	k ɪ l ð a n t
cildroi	k ɪ l d r ɔ i̯
cildwrn	k ɪ l d ʊ r n
ciledrych	k ɪ l ɛ d r ɪ χ
cilfach	k ɪ l v a χ
cilgant	k ɪ l ɡ a n t
cilio	k ɪ l j ɔ
cilwen	k ɪ l w ɛ n
cilwg	k iː l ʊ ɡ
cilwg	k ɪ l ʊ ɡ
cilydd	k iː l ɪ ð
cilydd	k ɪ l ɪ ð
cinio	k ɪ n j ɔ
cinio	k ɪ n ɔ
cipio	k ɪ p j ɔ
cist	k ɪ s d
ciw	k ɪ u̯
ciwcymber	k ɪ u̯ k ə m b ɛ r
ciwcymbr	k ɪ u̯ k ə m b r
ciwcymbrau	k ɪ u̯ k ə m b r a i̯
ciwcymbrau	k ɪ u̯ k ə m b r ɛ
ciwdod	k ɪ u̯ d ɔ d
claddu	k l a ð i
claddu	k l aː ð i
claf	k l aː v
clas	k l aː s
clau	k l a i̯
clawdd	k l a u̯ ð
clawr	k l a u̯ r
cledd	k l eː ð
cledr	k l eː d ɛ r
cledr	k l ɛ d r
cledr	k l ɛ d ɛ r
clefyd	k l eː v ɪ d
clefyd	k l ɛ v ɪ d
clefyd y galon	k l eː v ɪ d ə ɡ aː l ɔ n
clefyd y galon	k l ɛ v ɪ d ə ɡ a l ɔ n
clefyd y gwair	k l eː v ɪ d ə ɡ w a i̯ r
clefyd y gwair	k l ɛ v ɪ d ə ɡ w a i̯ r
clefyd y sul	k l eː v ɪ d ə s iː l
clefyd y sul	k l ɛ v ɪ d ə s iː l
cleren	k l eː r ɛ n
cleren	k l ɛ r ɛ n
clicio	k l ɪ k j ɔ
clicio	k l ɪ k ɔ
clirio	k l ɪ r j ɔ
clo	k l oː
cloan	k l oː a n
cloan	k l ɔ a n
cloc	k l ɔ k
cloch	k l oː χ
clod	k l oː d
cloddfa	k l ɔ ð v a
clodfawr	k l ɔ d v a u̯ r
clodforedd	k l ɔ d v oː r ɛ ð
clodforedd	k l ɔ d v ɔ r ɛ ð
clodfori	k l ɔ d v oː r i
clodfori	k l ɔ d v ɔ r i
clodwiw	k l ɔ d w ɪ u̯
clodydd	k l oː d ɪ ð
clodydd	k l ɔ d ɪ ð
cloem	k l ɔ i̯ m
cloen	k l ɔ i̯ n
cloent	k l ɔ i̯ n t
clof	k l oː v
clog	k l oː ɡ
cloi	k l ɔ i̯
clois	k l ɔ i̯ s
cloit	k l ɔ i̯ t
cloriau	k l ɔ r j a i̯
cloriau	k l ɔ r j ɛ
closed	k l ɔ s ɛ d
closen	k l ɔ s ɛ n
closet	k l ɔ s ɛ t
clou	k l ɔ i̯
clown	k l ɔ u̯ n
clun	k l iː n
clust	k l ɪ s t
clustdlws	k l ɪ s d l ʊ s
clwb	k l uː b
clwb	k l ʊ b
clwb te	k l ʊ b t eː
clwt	k l ʊ t
clwyd	k l ʊ i̯ d
cly	k l iː
clybiau	k l ə b j a i̯
clybiau	k l ə b j ɛ
clyfar	k l ə v a r
clymu	k l ə m i
clyw	k l ɪ u̯
clywaf	k l ə w a v
clywed	k l ə u̯ ɛ d
clywed	k l ɪ u̯ ɛ d
clywedog	k l ə u̯ eː d ɔ ɡ
clywedog	k l ə u̯ ɛ d ɔ ɡ
cnau	k n a i̯
cnau cyll	k n a i̯ k ɪ ɬ
cnau ffrengig	k n a i̯ f r ɛ ŋ ɪ ɡ
cnawd	k n a u̯ d
cnawdol	k n a u̯ d ɔ l
cneua	k n e i̯ a
cneuen	k n e i̯ ɛ n
cneuen ffrengig	k n e i̯ ɛ n f r ɛ ŋ ɪ ɡ
cneuen gyll	k n e i̯ ɛ n ɡ ɪ ɬ
cnewyllyn	k n ɛ u̯ ə ɬ ɪ n
cnoi	k n ɔ i̯
cnuchio	k n ɪ χ j ɔ
cnud	k n iː d
cnwd	k n uː d
cobra	k ɔ b r a
coch	k oː χ
coch y berllan	k oː χ ə b ɛ r ɬ a n
cochlas	k ɔ χ l a s
cochyn	k oː χ ɪ n
cochyn	k ɔ χ ɪ n
cocsa	k ɔ k s a
cod	k oː d
cod post	k oː d p ɔ s d
codau	k oː d a i̯
codau	k oː d ɛ
codau	k ɔ d a i̯
codau	k ɔ d ɛ
coden	k oː d ɛ n
coden	k ɔ d ɛ n
codi	k oː d i
codi	k ɔ d i
coed	k oː d
coed	k ɔ i̯ d
coed afalau	k oː d a v a l ɛ
coed afalau	k oː d a v aː l ɛ
coed afalau	k ɔ i̯ d a v a l a i̯
coed afalau	k ɔ i̯ d a v a l ɛ
coed afalau	k ɔ i̯ d a v aː l a i̯
coed afalau	k ɔ i̯ d a v aː l ɛ
coeden	k ɔ i̯ d ɛ n
coeden afalau	k ɔ i̯ d ɛ n a v a l a i̯
coeden afalau	k ɔ i̯ d ɛ n a v a l ɛ
coeden afalau	k ɔ i̯ d ɛ n a v aː l a i̯
coeden afalau	k ɔ i̯ d ɛ n a v aː l ɛ
coeden afalau	k ɔ i̯ d ɛ n v a l ɛ
coeden afalau	k ɔ i̯ d ɛ n v aː l ɛ
coedwig	k ɔ i̯ d w ɪ ɡ
coeg	k ɔ i̯ ɡ
coegog	k ɔ i̯ ɡ ɔ ɡ
coel	k ɔ i̯ l
coelcerth	k ɔ i̯ l k ɛ r θ
coelio	k ɔ i̯ l j ɔ
coes	k oː s
coes	k ɔ i̯ s
cof	k oː v
cofbin	k ɔ v b ɪ n
coffi	k ɔ f i
cofia	k ɔ v j a
cofiai	k ɔ v j a i̯
cofiais	k ɔ v j a i̯ s
cofiais	k ɔ v j ɛ s
cofiem	k ɔ v j ɛ m
cofio	k ɔ v j ɔ
cofiwn	k ɔ v j ʊ n
cofnod	k ɔ v n ɔ d
cofnodi	k ɔ v n oː d i
cofnodi	k ɔ v n ɔ d i
cofnodion	k ɔ v n ɔ d j ɔ n
cog	k oː ɡ
coginio	k ɔ ɡ ɪ n j ɔ
coleg	k oː l ɛ ɡ
coleg	k ɔ l ɛ ɡ
colfen	k ɔ l v ɛ n
colled	k ɔ ɬ ɛ d
colledion	k ɔ ɬ ɛ d j ɔ n
collen	k ɔ ɬ ɛ n
colli	k ɔ ɬ i
collnod	k ɔ ɬ n ɔ d
colomen	k ɔ l ɔ m ɛ n
colur	k oː l ɪ r
colur	k ɔ l ɪ r
coma	k ɔ m a
condemni	k ɔ n d ɛ m n i
condemnio	k ɔ n d ɛ m n j ɔ
conglfaen	k ɔ ŋ l v a i̯ n
cont	k ɔ n t
contract	k ɔ n t r a k t
contractau	k ɔ n t r a k t a i̯
contractau	k ɔ n t r a k t ɛ
conwy	k ɔ n ʊ i̯
conwydd	k oː n ʊ i̯ ð
conwydd	k ɔ n w ɪ ð
conwydd	k ɔ n ʊ i̯ ð
conwydden	k ɔ n w ə ð ɛ n
conwydden	k ɔ n w ɪ ð ɛ n
conyn	k oː n ɪ n
conyn	k ɔ n ɪ n
cop	k ɔ p
copa	k ɔ p a
copii	k ɔ p iː i
copog	k ɔ p ɔ ɡ
copyn	k ɔ p ɪ n
copïo	k ɔ p iː ɔ
copïwr	k ɔ p iː ʊ r
copïwyr	k ɔ p iː w ɪ r
cor	k ɔ r
corcyn	k ɔ r k ɪ n
corff	k ɔ r f
corfflu	k ɔ r f l i
corfflunio	k ɔ r f l ɪ n j ɔ
corffluniwr	k ɔ r f l ɪ n j ʊ r
corffluoedd	k ɔ r f l iː ɔ i̯ ð
corgi	k ɔ r ɡ i
corgwn	k ɔ r ɡ ʊ n
corhedydd	k ɔ r h eː d ɪ ð
corhedydd	k ɔ r h ɛ d ɪ ð
corhwyad	k ɔ r h ʊ i̯ a d
corhwyaden	k ɔ r h ʊ i̯ a d ɛ n
corhwyaden	k ɔ r h ʊ i̯ aː d ɛ n
corhwyaid	k ɔ r h ʊ i̯ a i̯ d
corhwyaid	k ɔ r h ʊ i̯ ɛ d
corn	k ɔ r n
cornel	k ɔ r n ɛ l
corneli	k ɔ r n eː l i
corneli	k ɔ r n ɛ l i
coronafeirws	k ɔ r oː n a v e i̯ r ʊ s
coronafeirws	k ɔ r ɔ n a v e i̯ r ʊ s
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a i̯
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s ɛ
coronafirws	k ɔ r oː n a v iː r ʊ s
coronafirws	k ɔ r ɔ n a v ɪ r ʊ s
corryn	k ɔ r ɪ n
corwg	k oː r ʊ ɡ
corwg	k ɔ r ʊ ɡ
cosb	k ɔ s b
cosbau	k ɔ s b a i̯
cosbau	k ɔ s b ɛ
cosyn	k ɔ s ɪ n
cot	k ɔ t
cot law	k ɔ t l a u̯
cotiau	k ɔ t j a i̯
cotiau	k ɔ t j ɛ
cotiau	k ɔ t ɛ
cowyll	k ɔ u̯ ɪ ɬ
crac	k r a k
craf	k r aː v
craf y geifr	k r aː v ə ɡ e i̯ v r
crair	k r a i̯ r
cramen	k r a m ɛ n
crech	k r eː χ
cred	k r eː d
creda	k r eː d a
creda	k r ɛ d a
credaf	k r eː d a
credaf	k r eː d a v
credaf	k r ɛ d a
credaf	k r ɛ d a v
credant	k r eː d a n t
credant	k r ɛ d a n t
credent	k r eː d ɛ n t
credent	k r ɛ d ɛ n t
creder	k r eː d ɛ r
creder	k r ɛ d ɛ r
credes	k r eː d ɛ s
credes	k r ɛ d ɛ s
credet	k r eː d ɛ t
credet	k r ɛ d ɛ t
credi	k r eː d i
credi	k r ɛ d i
credit	k r eː d ɪ t
credit	k r ɛ d ɪ t
credo	k r eː d ɔ
credo	k r ɛ d ɔ
credu	k r eː d i
credu	k r ɛ d i
cref	k r eː v
crefydd	k r eː v ɪ ð
crefydd	k r ɛ v ɪ ð
crefyddol	k r ɛ v ə ð ɔ l
cregynna	k r ɛ ɡ ə n a
creision	k r e i̯ s j ɔ n
creision	k r e i̯ ʃ ɔ n
creision ŷd	k r e i̯ s j ɔ n iː d
creision ŷd	k r e i̯ ʃ ɔ n iː d
creisionen	k r e i̯ s j oː n ɛ n
creisionen	k r e i̯ s j ɔ n ɛ n
creisionen	k r e i̯ ʃ oː n ɛ n
creisionen	k r e i̯ ʃ ɔ n ɛ n
creisionen ŷd	k r e i̯ s j oː n ɛ n iː d
creisionen ŷd	k r e i̯ s j ɔ n ɛ n iː d
creisionen ŷd	k r e i̯ ʃ oː n ɛ n iː d
creisionen ŷd	k r e i̯ ʃ ɔ n ɛ n iː d
creisionllyd	k r e i̯ s j ɔ n ɬ ɪ d
creisionllyd	k r e i̯ ʃ ɔ n ɬ ɪ d
crempog	k r ɛ m p ɔ ɡ
creto	k r ɛ t ɔ
crewyr	k r ɛ u̯ ɪ r
crist	k r ɪ s t
cristion	k r ɪ s d j ɔ n
cristionogion	k r ɪ s d j ɔ n ɔ ɡ j ɔ n
cristnogaeth	k r ɪ s d n oː ɡ a i̯ θ
cristnogaeth	k r ɪ s d n oː ɡ ɛ θ
cristnogaeth	k r ɪ s d n ɔ ɡ a i̯ θ
cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
cristnogol	k r ɪ s d n oː ɡ ɔ l
cristnogol	k r ɪ s d n ɔ ɡ ɔ l
criw	k r ɪ u̯
croen	k r oː n
croen	k r ɔ i̯ n
croeniog	k r ɔ i̯ n j ɔ ɡ
croenliw	k r ɔ i̯ n l ɪ u̯
croes	k r oː s
croes	k r ɔ i̯ s
croesair	k r ɔ i̯ s a i̯ r
croesffordd	k r ɔ i̯ s f ɔ r ð
croesgad	k r ɔ i̯ s ɡ a d
croeshoeliad	k r ɔ i̯ s h ɔ i̯ l j a d
croeshoelio	k r ɔ i̯ s h ɔ i̯ l j ɔ
croesholi	k r ɔ i̯ s h oː l i
croesholi	k r ɔ i̯ s h ɔ l i
croesi	k r ɔ i̯ s i
croeso	k r ɔ i̯ s ɔ
croestorri	k r ɔ i̯ s d ɔ r i
crog	k r oː ɡ
croglen	k r ɔ ɡ l ɛ n
cromfach	k r ɔ m v a χ
cromlech	k r ɔ m l ɛ χ
cronni	k r ɔ n i
croth	k r oː θ
crwban	k r uː b a n
crwban	k r ʊ b a n
crwn	k r ʊ n
crwst	k r ʊ s d
crwt	k r ʊ t
crwth	k r uː θ
crwydr	k r ʊ i̯ d r
crwydr	k r ʊ i̯ d ɪ r
crwyn	k r ʊ i̯ n
crych	k r iː χ
crychach	k r ə χ a χ
crychau	k r ə χ a i̯
crychau	k r ə χ ɛ
cryched	k r ə χ ɛ d
crychion	k r ə χ j ɔ n
crychydd	k r ə χ ɪ ð
cryd	k r iː d
crydd	k r iː ð
cryddiaeth	k r ə ð j a i̯ θ
cryddiaeth	k r ə ð j ɛ θ
cryddion	k r ə ð j ɔ n
crydiau	k r ə d j a i̯
crydiau	k r ə d j ɛ
cryf	k r iː v
crymu	k r ə m i
cryn	k r ɪ n
cryndod	k r ə n d ɔ d
crynhoad	k r ə n h oː a d
crynhoad	k r ə n h ɔ a d
crynu	k r ə n i
crynwr	k r ə n ʊ r
crynwyr	k r ə n w ɪ r
crëwr	k r eː ʊ r
crëwr	k r ɛ ʊ r
crëyr	k r eː ɪ r
crëyr	k r ɛ ɪ r
crŷn	k r iː n
cu	k iː
cucumer	k ɪ k ɪ m ɛ r
cuddio	k ɪ ð j o
cudyn	k iː d ɪ n
cudyn	k ɪ d ɪ n
cul	k iː l
culdir	k ɪ l d ɪ r
culdiroedd	k ɪ l d iː r ɔ i̯ ð
culdiroedd	k ɪ l d ɪ r ɔ i̯ ð
curo	k iː r ɔ
curo	k ɪ r ɔ
cusan	k ɪ s a n
cusanau	k ɪ s a n a i̯
cusanau	k ɪ s a n ɛ
cusanau	k ɪ s aː n a i̯
cusanau	k ɪ s aː n ɛ
cusanu	k ɪ s a n i
cusanu	k ɪ s aː n i
cut	k ɪ t
cwar	k w a r
cwb	k ʊ b
cwbl	k uː b ʊ l
cwbl	k ʊ b l
cwbl	k ʊ b ʊ l
cwblhau	k ʊ b l h a i̯
cwch	k ʊ χ
cwd	k uː d
cweryl	k w eː r ɪ l
cweryl	k w ɛ r ɪ l
cweryla	k w ɛ r ə l a
cwerylau	k w ɛ r ə l a
cwerylau	k w ɛ r ə l a i̯
cwerylau	k w ɛ r ə l ɛ
cwerylgar	k w ɛ r ə l ɡ a r
cwerylon	k w ɛ r ə l ɔ n
cwerylwr	k w ɛ r ə l ʊ r
cwerylwyr	k w ɛ r ə l w ɪ r
cwest	k w ɛ s d
cwestau	k w ɛ s d a i̯
cwestau	k w ɛ s d ɛ
cwestiwn	k w ɛ s d j ʊ n
cwestiynau	k w ɛ s d j uː n ɛ
cwestiynau	k w ɛ s d j ə n a i̯
cwestiynau	k w ɛ s d j ə n ɛ
cwestiynau	k w ɛ s d j ʊ n ɛ
cwestiynau	k w ɛ s d ə n ɛ
cwffio	k ʊ f j ɔ
cwis	k w ɪ s
cwlwm	k uː l ʊ m
cwlwm	k ʊ l ʊ m
cwm	k ʊ m
cwmpas	k ʊ m p a s
cwmpawd	k ʊ m p a u̯ d
cwmwd	k ʊ m ʊ d
cwmwl	k ʊ m ʊ l
cwmws	k ʊ m ʊ s
cwningen	k ʊ n ɪ ŋ ɛ n
cwpan	k ʊ p a n
cwpanaid	k ʊ p a n a i̯ d
cwpanaid	k ʊ p a n ɛ d
cwpanaid	k ʊ p aː n a i̯ d
cwpanaid	k ʊ p aː n ɛ d
cwpaneidiau	k ʊ p a n e i̯ d j a i̯
cwpaneidiau	k ʊ p a n e i̯ d j ɛ
cwpla	k ʊ p l a
cwpwrdd	k ʊ p ʊ r ð
cwrdd	k ʊ r ð
cwrs	k ʊ r s
cwrw	k uː r u
cwrw	k ʊ r u
cwsg	k ʊ s ɡ
cwsmer	k ʊ s m ɛ r
cwsmeriaid	k ʊ s m ɛ r j a i̯ d
cwsmeriaid	k ʊ s m ɛ r j ɛ d
cwstard	k ʊ s d a r d
cwstardiau	k ʊ s d a r d j a i̯
cwstardiau	k ʊ s d a r d j ɛ
cwta	k ʊ t a
cwtiar	k ʊ t j a r
cwtsh	k ʊ t ʃ
cwtshys	k ʊ t ʃ ɪ z
cwtsio	k ʊ t ʃ ɔ
cwyd	k ʊ ɪ̯ d
cwymp	k ʊ ɪ̯ m p
cwympo	k w ɪ m p ɔ
cwympo	k ʊ m p ɔ
cwympo	k ʊ ɪ̯ m p ɔ
cwyn	k ʊ i̯ n
cwynion	k ʊ i̯ n j ɔ n
cwyno	k ʊ i̯ n ɔ
cwyr	k ʊ i̯ r
cychwyn	k ə χ w ɪ n
cyd	k iː d
cydbreswylwyr	k iː d b r ɛ s ʊ i̯ l w ɪ r
cydgordio	k ɪ d ɡ ɔ r d j ɔ
cydgordiol	k ɪ d ɡ ɔ r d j ɔ l
cydseiniol	k iː d s e i̯ j ɔ l
cydseiniol	k ɪ d s e i̯ j ɔ l
cydsynio	k ɪ d s ə n j ɔ
cydweithiad	k iː d w e i̯ θ j a d
cydweithio	k iː d w e i̯ θ j ɔ
cydweithiwr	k iː d w e i̯ θ j ʊ r
cydweithiwr	k ɪ d w e i̯ θ j ʊ r
cydweithrediad	k iː d w e i̯ θ r ɛ d j a d
cydweithrediadau	k iː d w e i̯ θ r ɛ d j a d a i̯
cydweithrediadau	k iː d w e i̯ θ r ɛ d j a d ɛ
cydweithrediadau	k iː d w e i̯ θ r ɛ d j aː d a i̯
cydweithrediadau	k iː d w e i̯ θ r ɛ d j aː d ɛ
cydweithredu	k iː d w e i̯ θ r eː d i
cydweithredu	k iː d w e i̯ θ r ɛ d i
cydweithredwr	k iː d w e i̯ θ r eː d ʊ r
cydweithredwr	k iː d w e i̯ θ r ɛ d ʊ r
cydweithredwyr	k iː d w e i̯ θ r ɛ d w ɪ r
cydweithwyr	k iː d w e i̯ θ w ɪ r
cydweithwyr	k ɪ d w e i̯ θ w ɪ r
cydwelediad	k ɪ d w ɛ l ɛ d j a d
cydymdeimlad	k iː d ə m d e i̯ m l a d
cyfaill	k ə v a i̯ ɬ
cyfair	k ə v a i̯ r
cyfair	k ə v ɛ r
cyfamod	k ə v a m ɔ d
cyfamodi	k ə v a m oː d i
cyfamodi	k ə v a m ɔ d i
cyfamser	k ə v a m s ɛ r
cyfan	k ə v a n
cyfandir	k ə v a n d ɪ r
cyfanswm	k ə v a n s ʊ m
cyfansymiau	k ə v a n s ə m j a i̯
cyfansymiau	k ə v a n s ə m j ɛ
cyfarch	k ə v a r χ
cyfarchol	k ə v a r χ ɔ l
cyfaredd	k ə v a r ɛ ð
cyfaredd	k ə v aː r ɛ ð
cyfareddol	k ə v a r eː ð ɔ l
cyfareddol	k ə v a r ɛ ð ɔ l
cyfarfod	k w a r v ɔ d
cyfarfod	k ə v a r v ɔ d
cyfartal	k ə v a r t a l
cyfartaledd	k ə v a r t a l ɛ ð
cyfartaledd	k ə v a r t aː l ɛ ð
cyfartalog	k ə v a r t a l ɔ ɡ
cyfartalog	k ə v a r t aː l ɔ ɡ
cyfarthiad	k ə v a r θ j a d
cyfarthiadau	k ə v a r θ j a d a i̯
cyfarthiadau	k ə v a r θ j a d ɛ
cyfarthiadau	k ə v a r θ j aː d a i̯
cyfarthiadau	k ə v a r θ j aː d ɛ
cyfarwydd	k ə v a r w ɪ ð
cyfarwydd	k ə v a r ʊ i̯ ð
cyfarwydd	k ə v aː r ʊ i̯ ð
cyfarwyddo	k ə v a r ʊ ɨ̯ ð ɔ
cyfarwyddwr	k ə v a r ʊ i̯ ð ʊ r
cyfarwys	k ə v a r ʊ i̯ s
cyfarwys	k ə v aː r ʊ i̯ s
cyfateb	k ə v a t ɛ b
cyfatebiaeth	k ə v a t ɛ b j a i̯ θ
cyfatebiaeth	k ə v a t ɛ b j ɛ θ
cyfatebiaethau	k ə v a t ɛ b j e i̯ θ a i̯
cyfatebiaethau	k ə v a t ɛ b j e i̯ θ ɛ
cyfatebol	k ə v a t eː b ɔ l
cyfatebol	k ə v a t ɛ b ɔ l
cyfathrach	k ə v a θ r a χ
cyfddydd	k ə v ð ɪ ð
cyfeillgar	k ə v e i̯ ɬ ɡ a r
cyfeillion	k ə v e i̯ ɬ j ɔ n
cyfeirio	k ə v e i̯ r j ɔ
cyfenw	k ə v eː n u
cyfenw	k ə v ɛ n u
cyfer	k ə v ɛ r
cyff	k iː f
cyffaith	k ʌ f a i̯ θ
cyfforddus	k ə f ɔ r ð ɪ s
cyffredin	k ə f r eː d ɪ n
cyffredin	k ə f r ɛ d ɪ n
cyffredinol	k ə f r ɛ d iː n ɔ l
cyffredinol	k ə f r ɛ d ɪ n ɔ l
cyffwrdd	k ə f ʊ r ð
cyffyloca	k ə f ə l ɔ k a
cyffylog	k ə f ə l ɔ ɡ
cyfiawn	k ə v j a u̯ n
cyfiawnder	k ə v j a u̯ n d ɛ r
cyfiawnhad	k ə v j a u̯ n h aː d
cyfiawnhau	k ə v j a u̯ n h a i̯
cyfieithu	k ə v j e i̯ θ i
cyfieithydd	k ə v j e i̯ θ ɪ ð
cyflafar	k ə v l a v a r
cyflafar	k ə v l aː v a r
cyflafaredd	k ə v l a v a r ɛ ð
cyflafaredd	k ə v l a v aː r ɛ ð
cyflafareddu	k ə v l a v a r eː ð i
cyflafareddu	k ə v l a v a r ɛ ð i
cyflafareddwr	k ə v l a v a r eː ð ʊ r
cyflafareddwr	k ə v l a v a r ɛ ð ʊ r
cyflawni	k ə v l a u̯ n i
cyfle	k ə v l ɛ
cyflogaeth	k ə v l oː ɡ a i̯ θ
cyflogaeth	k ə v l oː ɡ ɛ θ
cyflogaeth	k ə v l ɔ ɡ a i̯ θ
cyflogaeth	k ə v l ɔ ɡ ɛ θ
cyflogi	k ə v l oː ɡ i
cyflogi	k ə v l ɔ ɡ i
cyflogwr	k ə v l oː ɡ ʊ r
cyflogwr	k ə v l ɔ ɡ ʊ r
cyflogwyr	k ə v l oː ɡ w ɪ r
cyflogwyr	k ə v l ɔ ɡ w ɪ r
cyflwr	k ə v l ʊ r
cyflwyno	k ə v l ʊ i̯ n ɔ
cyflym	k ə v l ɪ m
cyflymder	k ə v l ə m d ɛ r
cyfnewid	k ə v n ɛ u̯ ɪ d
cyfnither	k ə v n iː θ ɛ r
cyfnither	k ə v n ɪ θ ɛ r
cyfnod	k ə v n ɔ d
