அ	ʌ
ஏனம்	ʔ eː n a m
ஏனென்றால்	ʔ eː n e n r aː l̪
ஏன்	ʔ eː n
ஏப்ரல்	ʔ eː p ɾ̪ a l̪
ஏரணம்	ʔ eː ɾ̪ a ɳ a m
ஏராளம்	ʔ eː ɾ̪ aː ɭ a m
ஏரி	ʔ eː ɾ̪ i
ஏலக்காய்	ʔ eː l̪ a kː aː j
ஏலம்	ʔ eː l̪ a m
ஏழு	ʔ eː ɻ u
ஏவாள்	ʔ eː ʋ aː ɭ
ஐ	ʔ a ɪ̯
ஐதரசன்	ʔ a ɪ̯ t̪ a ɾ̪ a s a n
ஐநூறு	ʔ a ɪ̯ n̪ uː r u
ஐந்து	ʔ a ɪ̯ n̪ d̪ u
ஐம்பது	ʔ a ɪ̯ m b a d̪ u
ஐம்பொன்	ʔ a ɪ̯ m b o n
ஐயம்	ʔ a ɪ̯ j a m
ஐரோப்பா	ʔ a ɪ̯ ɾ̪ oː pː aː
ஒ	ʔ o
ஒகையோ	ʔ o ɡ a ɪ̯ j oː
ஒக்கல்	ʔ o kː a l̪
ஒடி	ʔ o ɖ i
ஒட்டகம்	ʔ o ʈː a ɡ a m
ஒன்பது	ʔ o n p a d̪ u
ஒன்று	ʔ o n r u
ஒப்பம்	ʔ o pː a m
ஒப்பு	ʔ o pː u
ஒப்புகை	ʔ o pː u ɡ a ɪ̯
ஒப்புமை	ʔ o pː u m a ɪ̯
ஒரு	ʔ o ɾ̪ u
ஒற்றுமை	ʔ o ʈː ɾ u m a ɪ̯
ஒலி	ʔ o l̪ i
ஒளி	ʔ o ɭ i
ஒழுகு	ʔ o ɻ u ɡ u
ஒழுக்கம்	ʔ o ɻ u kː a m
ஒழுங்கை	ʔ o ɻ u ŋ ɡ a ɪ̯
ஒவ்வாமை	ʔ o ʋː aː m a ɪ̯
ஓ	ʔ oː
ஓடம்	ʔ oː ɖ a m
ஓடு	ʔ oː ɖ u
ஓடை	ʔ oː ɖ a ɪ̯
ஓட்டல்	ʔ oː ʈː a l̪
ஓது	ʔ oː d̪ u
ஓநாய்	ʔ oː n̪ aː j
ஓய்வூதியம்	ʔ oː j ʋ uː d̪ i j a m
ஓவியம்	ʔ oː ʋ i j a m
ஔ	ʔ a ʊ̯
ஔடதம்	ʔ a ʊ̯ ʈ a d̪ a m
க	k a
ககனம்	k a ɡ a n a m
கங்கு	k a ŋ ɡ u
கஞ்சா	k a ɲ d͡ʑ aː
கஞ்சாவை	k a ɲ d͡ʑ aː ʋ a ɪ̯
கடனாளி	k a ɖ a n aː ɭ i
கடன்	k a ɖ a n
கடற்கரை	k a ɖ a r k a ɾ̪ a ɪ̯
கடல்	k a ɖ a l̪
கடல்நீர்	k a ɖ a l̪ n̪ iː ɾ̪
கடவுள்	k a ɖ a ʋ u ɭ
கடி	k a ɖ i
கடிகாரம்	k a ɖ i ɡ aː ɾ̪ a m
கடிதம்	k a ɖ i d̪ a m
கடுங்கோபம்	k a ɖ u ŋ ɡ oː b a m
கடுதாசி	k a ɖ u d̪ aː s i
கடை	k a ɖ a ɪ̯
கடைவாய்ப்பல்	k a ɖ a ɪ̯ ʋ aː j pː a l̪
கட்கம்	k a ʈ k a m
கட்சி	k a ʈ t͡ʃ i
கட்டடம்	k a ʈː a ɖ a m
கட்டல்	k a ʈː a l̪
கட்டளை	k a ʈː a ɭ a ɪ̯
கட்டி	k a ʈː i
கட்டிடக்கலை	k a ʈː i ɖ a kː a l̪ a ɪ̯
கட்டிமை	k a ʈː i m a ɪ̯
கட்டியடுப்பு	k a ʈː i j a ɖ u pː u
கட்டில்	k a ʈː i l̪
கட்டு	k a ʈː u
கணக்காளர்	k a ɳ a kː aː ɭ a ɾ̪
கணக்கியல்	k a ɳ a kː i j a l̪
கணக்கு	k a ɳ a kː u
கணம்	k a ɳ a m
கணவன்	k a ɳ a ʋ a n
கணிதம்	k a ɳ i d̪ a m
கணினி	k a ɳ i n i
கணினியியல்	k a ɳ i n i j i j a l̪
கணு	k a ɳ u
கணுமருது	k a ɳ u m a ɾ̪ u d̪ u
கணையாழி	k a ɳ a ɪ̯ j aː ɻ i
கண்	k a ɳ
கண்டக்கருவி	k a ɳ ɖ a kː a ɾ̪ u ʋ i
கண்டரை	k a ɳ ɖ a ɾ̪ a ɪ̯
கண்டு	k a ɳ ɖ u
கண்ணன்	k a ɳː a n
கண்ணாடி	k a ɳː aː ɖ i
கண்ணீர்	k a ɳː iː ɾ̪
கண்மாய்	k a ɳ m aː j
கதம்பகம்	k a d̪ a m b a ɡ a m
கதவு	k a d̪ a ʋ u
கதை	k a d̪ a ɪ̯
கத்தரி	k a t̪ː a ɾ̪ i
கத்தரிக்காய்	k a t̪ː a ɾ̪ i kː aː j
கத்தி	k a t̪ː i
கத்திரி	k a t̪ː i ɾ̪ i
கத்திரிக்காய்	k a t̪ː i ɾ̪ i kː aː j
கத்திரிணி	k a t̪ː i ɾ̪ i ɳ i
கந்தகம்	k a n̪ d̪ a ɡ a m
கனடா	k a n a ɖ aː
கனமழை	k a n a m a ɻ a ɪ̯
கனவு	k a n a ʋ u
கனிமம்	k a n i m a m
கன்னடம்	k a nː a ɖ a m
கன்னம்	k a nː a m
கன்று	k a n r u
கபடம்	k a b a ɖ a m
கபாலம்	k a b aː l̪ a m
கபிலம்	k a b i l̪ a m
கபுரம்	k a b u ɾ̪ a m
கபோதகம்	k a b oː d̪ a ɡ a m
கபோதம்	k a b oː d̪ a m
கப்பல்	k a pː a l̪
கமலம்	k a m a l̪ a m
கம்பம்	k a m b a m
கம்பி	k a m b i
கயம்	k a j a m
கயவாய்	k a j a ʋ aː j
கயிரவம்	k a j i ɾ̪ a ʋ a m
கயிறு	k a j i r u
கரடகம்	k a ɾ̪ a ɖ a ɡ a m
கரடி	k a ɾ̪ a ɖ i
கரண்டி	k a ɾ̪ a ɳ ɖ i
கரி	k a ɾ̪ i
கரிமம்	k a ɾ̪ i m a m
கரியமிலவாயு	k a ɾ̪ i j a m i l̪ a ʋ aː j u
கரு	k a ɾ̪ u
கருணை	k a ɾ̪ u ɳ a ɪ̯
கருது	k a ɾ̪ u d̪ u
கருத்துரு	k a ɾ̪ u t̪ː u ɾ̪ u
கருப்பு	k a ɾ̪ u pː u
கருப்பை	k a ɾ̪ u pː a ɪ̯
கருமம்	k a ɾ̪ u m a m
கருமுட்டை	k a ɾ̪ u m u ʈː a ɪ̯
கருமை	k a ɾ̪ u m a ɪ̯
கருமையான	k a ɾ̪ u m a ɪ̯ j aː n a
கரும்பு	k a ɾ̪ u m b u
கருவி	k a ɾ̪ u ʋ i
கருவீரல்	k a ɾ̪ u ʋ iː ɾ̪ a l̪
கரை	k a ɾ̪ a ɪ̯
கரைப்பு	k a ɾ̪ a ɪ̯ pː u
கர்த்தர்	k a ɾ̪ t̪ː a ɾ̪
கர்நாடகம்	k a ɾ̪ n̪ aː ɖ a ɡ a m
கறவு	k a r a ʋ u
கறவை	k a r a ʋ a ɪ̯
கறி	k a r i
கறுவா	k a r u ʋ aː
கற்கம்	k a r k a m
கற்பாழி	k a r p aː ɻ i
கற்பூரம்	k a r p uː ɾ̪ a m
கற்றாலை	k a ʈː ɾ aː l̪ a ɪ̯
கலகம்	k a l̪ a ɡ a m
கலந்தாய்வு	k a l̪ a n̪ d̪ aː j ʋ u
கலப்பை	k a l̪ a pː a ɪ̯
கலம்	k a l̪ a m
கலயம்	k a l̪ a j a m
கலவி	k a l̪ a ʋ i
கலுழ்ச்சி	k a l̪ u ɻ t͡ʃː i
கலை	k a l̪ a ɪ̯
கலைக்களஞ்சியம்	k a l̪ a ɪ̯ kː a ɭ a ɲ d͡ʑ i j a m
கலைச்சொல்	k a l̪ a ɪ̯ t͡ʃː o l̪
கலைஞர்	k a l̪ a ɪ̯ ɲ a ɾ̪
கல்	k a l̪
கல்யாணம்	k a l̪ j aː ɳ a m
கல்லீரல்	k a l̪ː iː ɾ̪ a l̪
கல்வி	k a l̪ ʋ i
கல்விக்கூடம்	k a l̪ ʋ i kː uː ɖ a m
கல்விநிலையம்	k a l̪ ʋ i n̪ i l̪ a ɪ̯ j a m
கல்வெட்டியல்	k a l̪ ʋ e ʈː i j a l̪
கல்வெட்டு	k a l̪ ʋ e ʈː u
களம்	k a ɭ a m
களவு	k a ɭ a ʋ u
களை	k a ɭ a ɪ̯
கள்ளம்	k a ɭː a m
கழித்தல்	k a ɻ i t̪ː a l̪
கழுத்து	k a ɻ u t̪ː u
கழுவு	k a ɻ u ʋ u
கவர்வு	k a ʋ a ɾ̪ ʋ u
கவற்சி	k a ʋ a r t͡ʃ i
கவல்	k a ʋ a l̪
கவிஞர்	k a ʋ i ɲ a ɾ̪
கவிதை	k a ʋ i d̪ a ɪ̯
கஸாயி	k a s aː j i
காகம்	k aː ɡ a m
காகிதம்	k aː ɡ i d̪ a m
காக்கை	k aː kː a ɪ̯
காசு	k aː s u
காடு	k aː ɖ u
காடைக்கண்ணி	k aː ɖ a ɪ̯ kː a ɳː i
காட்டுப்பயிர்	k aː ʈː u pː a j i ɾ̪
காட்டெருமை	k aː ʈː e ɾ̪ u m a ɪ̯
காண்டம்	k aː ɳ ɖ a m
காண்டாமிருகம்	k aː ɳ ɖ aː m i ɾ̪ u ɡ a m
காண்டீவம்	k aː ɳ ɖ iː ʋ a m
காண்டு	k aː ɳ ɖ u
காதணி	k aː d̪ a ɳ i
காதம்	k aː d̪ a m
காதரம்	k aː d̪ a ɾ̪ a m
காதல்	k aː d̪ a l̪
காது	k aː d̪ u
காதை	k aː d̪ a ɪ̯
காத்திரம்	k aː t̪ː i ɾ̪ a m
காந்தக்கல்	k aː n̪ d̪ a kː a l̪
காந்தம்	k aː n̪ d̪ a m
காந்தவண்டி	k aː n̪ d̪ a ʋ a ɳ ɖ i
கானலி	k aː n a l̪ i
காபி	k aː b i
காபூல்	k aː b uː l̪
காப்ச்சா	k aː p t͡ʃː aː
காப்பியம்	k aː pː i j a m
காப்பீடு	k aː pː iː ɖ u
காமம்	k aː m a m
காய்	k aː j
காய்கறி	k aː j k a r i
காரணம்	k aː ɾ̪ a ɳ a m
காரம்	k aː ɾ̪ a m
காராமணி	k aː ɾ̪ aː m a ɳ i
காரீயக்கல்	k aː ɾ̪ iː j a kː a l̪
கார்	k aː ɾ̪
கார்த்திகை	k aː ɾ̪ t̪ː i ɡ a ɪ̯
கார்த்தூம்	k aː ɾ̪ t̪ː uː m
கார்மம்	k aː ɾ̪ m a m
காறையெலும்பு	k aː r a ɪ̯ j e l̪ u m b u
காற்றழுத்தமானி	k aː ʈː ɾ a ɻ u t̪ː a m aː n i
காற்றழுத்தம்	k aː ʈː ɾ a ɻ u t̪ː a m
காற்று	k aː ʈː ɾ u
காலணி	k aː l̪ a ɳ i
காலம்	k aː l̪ a m
காலை	k aː l̪ a ɪ̯
கால்	k aː l̪
காளான்	k aː ɭ aː n
காளை	k aː ɭ a ɪ̯
காவல்	k aː ʋ a l̪
காவு	k aː ʋ u
கிடை	k i ɖ a ɪ̯
கிட்ட	k i ʈː a
கிணறு	k i ɳ a r u
கித்தார்	k i t̪ː aː ɾ̪
கின்னம்	k i nː a m
கிராம்பு	k i ɾ̪ aː m b u
கிரி	k i ɾ̪ i
கிருட்டிணன்	k i ɾ̪ u ʈː i ɳ a n
கிருத்திரம்	k i ɾ̪ u t̪ː i ɾ̪ a m
கிருபை	k i ɾ̪ u b a ɪ̯
கிரேக்கம்	k i ɾ̪ eː kː a m
கிறாம்பு	k i r aː m b u
கிறி	k i r i
கிறிஸ்து	k i r i s t̪ u
கிறிஸ்துமஸ்	k i r i s t̪ u m a s
கிற்பு	k i r p u
கிளம்பினவேலை	k i ɭ a m b i n a ʋ eː l̪ a ɪ̯
கிளம்பு	k i ɭ a m b u
கிளர்	k i ɭ a ɾ̪
கிளர்ச்சி	k i ɭ a ɾ̪ t͡ʃː i
கிளர்த்து	k i ɭ a ɾ̪ t̪ː u
கிளவி	k i ɭ a ʋ i
கிளி	k i ɭ i
கிளிமெண்டி	k i ɭ i m e ɳ ɖ i
கிளை	k i ɭ a ɪ̯
கிளைப்பு	k i ɭ a ɪ̯ pː u
கிழக்கு	k i ɻ a kː u
கிழங்கு	k i ɻ a ŋ ɡ u
கிழமை	k i ɻ a m a ɪ̯
கிழவன்	k i ɻ a ʋ a n
கிழவி	k i ɻ a ʋ i
கிழவு	k i ɻ a ʋ u
கீரை	k iː ɾ̪ a ɪ̯
கீழே	k iː ɻ eː
கீழ்	k iː ɻ
கீழ்ப்பாகம்	k iː ɻ pː aː ɡ a m
கீழ்மை	k iː ɻ m a ɪ̯
குகை	k u ɡ a ɪ̯
குங்கிலியம்	k u ŋ ɡ i l̪ i j a m
குங்குமப்பூ	k u ŋ ɡ u m a pː uː
குங்குமம்	k u ŋ ɡ u m a m
குசராத்	k u s a ɾ̪ aː t̪
குஞ்சி	k u ɲ d͡ʑ i
குடம்	k u ɖ a m
குடல்வால்	k u ɖ a l̪ ʋ aː l̪
குடி	k u ɖ i
குடிசை	k u ɖ i s a ɪ̯
குடிநீர்	k u ɖ i n̪ iː ɾ̪
குடில்	k u ɖ i l̪
குடும்பம்	k u ɖ u m b a m
குடுவை	k u ɖ u ʋ a ɪ̯
குடை	k u ɖ a ɪ̯
குட்டி	k u ʈː i
குணம்	k u ɳ a m
குணிப்பு	k u ɳ i pː u
குண்டம்	k u ɳ ɖ a m
குண்டி	k u ɳ ɖ i
குதிரை	k u d̪ i ɾ̪ a ɪ̯
குன்றின்	k u n r i n
குன்று	k u n r u
குப்பம்	k u pː a m
குப்பி	k u pː i
குமாரத்தி	k u m aː ɾ̪ a t̪ː i
குமாரன்	k u m aː ɾ̪ a n
குமார்	k u m aː ɾ̪
குமிழி	k u m i ɻ i
கும்பிடு	k u m b i ɖ u
குயவன்	k u j a ʋ a n
குயில்	k u j i l̪
குரங்கு	k u ɾ̪ a ŋ ɡ u
குரல்	k u ɾ̪ a l̪
குரல்வளை	k u ɾ̪ a l̪ ʋ a ɭ a ɪ̯
குரு	k u ɾ̪ u
குருகுலம்	k u ɾ̪ u ɡ u l̪ a m
குருடன்	k u ɾ̪ u ɖ a n
குருடு	k u ɾ̪ u ɖ u
குருதி	k u ɾ̪ u d̪ i
குருத்து	k u ɾ̪ u t̪ː u
குறங்கு	k u r a ŋ ɡ u
குறி	k u r i
குறித்து	k u r i t̪ː u
குறிப்பு	k u r i pː u
குறுமை	k u r u m a ɪ̯
குலம்	k u l̪ a m
குலிகம்	k u l̪ i ɡ a m
குலை	k u l̪ a ɪ̯
குளம்	k u ɭ a m
குளி	k u ɭ i
குளிப்பு	k u ɭ i pː u
குளியல்	k u ɭ i j a l̪
குளிர்	k u ɭ i ɾ̪
குளிர்ச்சி	k u ɭ i ɾ̪ t͡ʃː i
குளிர்ப்பு	k u ɭ i ɾ̪ pː u
குளிர்மை	k u ɭ i ɾ̪ m a ɪ̯
குள்ளம்	k u ɭː a m
குழப்பம்	k u ɻ a pː a m
குழி	k u ɻ i
குழிவு	k u ɻ i ʋ u
குவளை	k u ʋ a ɭ a ɪ̯
குவார்ட்சு	k u ʋ aː ɾ̪ ʈ t͡ʃ u
குவியம்	k u ʋ i j a m
குவியல்	k u ʋ i j a l̪
கூகை	k uː ɡ a ɪ̯
கூடம்	k uː ɖ a m
கூடாரத்தில்	k uː ɖ aː ɾ̪ a t̪ː i l̪
கூடாரம்	k uː ɖ aː ɾ̪ a m
கூடு	k uː ɖ u
கூடை	k uː ɖ a ɪ̯
கூட்டம்	k uː ʈː a m
கூட்டல்	k uː ʈː a l̪
கூத்தாட	k uː t̪ː aː ɖ a
கூத்து	k uː t̪ː u
கூனைப்பூ	k uː n a ɪ̯ pː uː
கூரை	k uː ɾ̪ a ɪ̯
கூரைவீடு	k uː ɾ̪ a ɪ̯ ʋ iː ɖ u
கூறு	k uː r u
கூறை	k uː r a ɪ̯
கூற்று	k uː ʈː ɾ u
கூலம்	k uː l̪ a m
கூளி	k uː ɭ i
கெட்ட	k e ʈː a
கெட்டம்	k e ʈː a m
கெழு	k e ɻ u
கேரளம்	k eː ɾ̪ a ɭ a m
கேரளா	k eː ɾ̪ a ɭ aː
கேள்	k eː ɭ
கை	k a ɪ̯
கைது	k a ɪ̯ t̪ u
கைப்பை	k a ɪ̯ pː a ɪ̯
கொக்கு	k o kː u
கொக்குமந்தாரை	k o kː u m a n̪ d̪ aː ɾ̪ a ɪ̯
கொசு	k o s u
கொஞ்சம்	k o ɲ d͡ʑ a m
கொடுவாள்	k o ɖ u ʋ aː ɭ
கொட்டகை	k o ʈː a ɡ a ɪ̯
கொண்டாட்டம்	k o ɳ ɖ aː ʈː a m
கொண்டி	k o ɳ ɖ i
கொம்பி	k o m b i
கொம்பு	k o m b u
கொறுக்கை	k o r u kː a ɪ̯
கொல்	k o l̪
கொல்லறு	k o l̪ː a r u
கொல்லற்றுவேலை	k o l̪ː a ʈː ɾ u ʋ eː l̪ a ɪ̯
கொள்ளை	k o ɭː a ɪ̯
கொழுப்பு	k o ɻ u pː u
கொழும்பு	k o ɻ u m b u
கோ	k oː
கோடரி	k oː ɖ a ɾ̪ i
கோடர்	k oː ɖ a ɾ̪
கோடாலி	k oː ɖ aː l̪ i
கோடி	k oː ɖ i
கோடிமுனை	k oː ɖ i m u n a ɪ̯
கோட்டம்	k oː ʈː a m
கோட்டை	k oː ʈː a ɪ̯
கோட்பாடு	k oː ʈ p aː ɖ u
கோணவியல்	k oː ɳ a ʋ i j a l̪
கோபம்	k oː b a m
கோபுரம்	k oː b u ɾ̪ a m
கோப்பை	k oː pː a ɪ̯
கோமான்	k oː m aː n
கோமி	k oː m i
கோயம்புத்தூர்	k oː j a m b u t̪ː uː ɾ̪
கோயில்	k oː j i l̪
கோரிக்கை	k oː ɾ̪ i kː a ɪ̯
கோலம்	k oː l̪ a m
கோல்	k oː l̪
கோளாறு	k oː ɭ aː r u
கோழி	k oː ɻ i
கோவைக்காய்	k oː ʋ a ɪ̯ kː aː j
க்ஷ	k ʂ a
ங	ŋ a
ச	t͡ʃ a
சகதி	t͡ʃ a ɡ a d̪ i
சகோதரன்	t͡ʃ a ɡ oː d̪ a ɾ̪ a n
சகோதரி	t͡ʃ a ɡ oː d̪ a ɾ̪ i
சக்கரை	t͡ʃ a kː a ɾ̪ a ɪ̯
சங்கம்	t͡ʃ a ŋ ɡ a m
சச்சம்	t͡ʃ a t͡ʃː a m
சட்டமன்றம்	t͡ʃ a ʈː a m a n r a m
சட்டம்	t͡ʃ a ʈː a m
சட்டி	t͡ʃ a ʈː i
சட்டை	t͡ʃ a ʈː a ɪ̯
சட்னி	t͡ʃ a ʈ n i
சணல்	t͡ʃ a ɳ a l̪
சண்டை	t͡ʃ a ɳ ɖ a ɪ̯
சதுரங்கம்	t͡ʃ a d̪ u ɾ̪ a ŋ ɡ a m
சதை	t͡ʃ a d̪ a ɪ̯
சத்தியம்	t͡ʃ a t̪ː i j a m
சத்திரம்	t͡ʃ a t̪ː i ɾ̪ a m
சத்து	t͡ʃ a t̪ː u
சந்தனம்	t͡ʃ a n̪ d̪ a n a m
சந்தா	t͡ʃ a n̪ d̪ aː
சந்திப்பு	t͡ʃ a n̪ d̪ i pː u
சந்திரன்	t͡ʃ a n̪ d̪ i ɾ̪ a n
சந்திரப்பிரபை	t͡ʃ a n̪ d̪ i ɾ̪ a pː i ɾ̪ a b a ɪ̯
சந்திராதபம்	t͡ʃ a n̪ d̪ i ɾ̪ aː d̪ a b a m
சந்து	t͡ʃ a n̪ d̪ u
சந்தை	t͡ʃ a n̪ d̪ a ɪ̯
சனி	t͡ʃ a n i
சப்பாத்தி	t͡ʃ a pː aː t̪ː i
சப்போட்டா	t͡ʃ a pː oː ʈː aː
சமசுகிருதம்	t͡ʃ a m a s u ɡ i ɾ̪ u d̪ a m
சமம்	t͡ʃ a m a m
சமயம்	t͡ʃ a m a j a m
சமவெளி	t͡ʃ a m a ʋ e ɭ i
சமாதானம்	t͡ʃ a m aː d̪ aː n a m
சமைவு	t͡ʃ a m a ɪ̯ ʋ u
சமோசா	t͡ʃ a m oː s aː
சம்பளம்	t͡ʃ a m b a ɭ a m
சம்புநாவல்	t͡ʃ a m b u n̪ aː ʋ a l̪
சம்மட்டி	t͡ʃ a mː a ʈː i
சயிக்கம்	t͡ʃ a j i kː a m
சயிந்தவம்	t͡ʃ a j i n̪ d̪ a ʋ a m
சரி	t͡ʃ a ɾ̪ i
சரித்திரம்	t͡ʃ a ɾ̪ i t̪ː i ɾ̪ a m
சரிவு	t͡ʃ a ɾ̪ i ʋ u
சருமம்	t͡ʃ a ɾ̪ u m a m
சர்க்கரை	t͡ʃ a ɾ̪ kː a ɾ̪ a ɪ̯
சர்ச்சை	t͡ʃ a ɾ̪ t͡ʃː a ɪ̯
சர்பராஜ்	t͡ʃ a ɾ̪ p a ɾ̪ aː d͡ʑ
சர்வத்திர	t͡ʃ a ɾ̪ ʋ a t̪ː i ɾ̪ a
சற்பிரசாதம்	t͡ʃ a r p i ɾ̪ a s aː d̪ a m
சலகம்	t͡ʃ a l̪ a ɡ a m
சலவைக்காரர்	t͡ʃ a l̪ a ʋ a ɪ̯ kː aː ɾ̪ a ɾ̪
சவால்	t͡ʃ a ʋ aː l̪
சாணைக்கல்	t͡ʃ aː ɳ a ɪ̯ kː a l̪
சாதம்	t͡ʃ aː d̪ a m
சாதிக்காய்	t͡ʃ aː d̪ i kː aː j
சாப்பாட்டுக்கடை	t͡ʃ aː pː aː ʈː u kː a ɖ a ɪ̯
சாம்பல்	t͡ʃ aː m b a l̪
சாயங்காலம்	t͡ʃ aː j a ŋ ɡ aː l̪ a m
சாய்ப்பிடம்	t͡ʃ aː j pː i ɖ a m
சார்வு	t͡ʃ aː ɾ̪ ʋ u
சாறு	t͡ʃ aː r u
சாலி	t͡ʃ aː l̪ i
சாலை	t͡ʃ aː l̪ a ɪ̯
சாளம்	t͡ʃ aː ɭ a m
சாளரம்	t͡ʃ aː ɭ a ɾ̪ a m
சாவல்	t͡ʃ aː ʋ a l̪
சாவி	t͡ʃ aː ʋ i
சிகப்பு	t͡ʃ i ɡ a pː u
சிகரட்	t͡ʃ i ɡ a ɾ̪ a ʈ
சிகரம்	t͡ʃ i ɡ a ɾ̪ a m
சிகிச்சை	t͡ʃ i ɡ i t͡ʃː a ɪ̯
சிங்கப்பூர்	t͡ʃ i ŋ ɡ a pː uː ɾ̪
சிங்கம்	t͡ʃ i ŋ ɡ a m
சிசு	t͡ʃ i s u
சிதடு	t͡ʃ i d̪ a ɖ u
சிதமை	t͡ʃ i d̪ a m a ɪ̯
சிதர்	t͡ʃ i d̪ a ɾ̪
சிதறியம்	t͡ʃ i d̪ a r i j a m
சிதல்	t͡ʃ i d̪ a l̪
சிதாரி	t͡ʃ i d̪ aː ɾ̪ i
சித்திரை	t͡ʃ i t̪ː i ɾ̪ a ɪ̯
சிநேகிதன்	t͡ʃ i n̪ eː ɡ i d̪ a n
சிந்து	t͡ʃ i n̪ d̪ u
சினகரம்	t͡ʃ i n a ɡ a ɾ̪ a m
சினகர்	t͡ʃ i n a ɡ a ɾ̪
சினம்	t͡ʃ i n a m
சினாடிகா	t͡ʃ i n aː ɖ i ɡ aː
சினேகம்	t͡ʃ i n eː ɡ a m
சினை	t͡ʃ i n a ɪ̯
சினைப்பை	t͡ʃ i n a ɪ̯ pː a ɪ̯
சின்டி	t͡ʃ i n ʈ i
சின்ன	t͡ʃ i nː a
சின்னக்கரடி	t͡ʃ i nː a kː a ɾ̪ a ɖ i
சிரித்தை	t͡ʃ i ɾ̪ i t̪ː a ɪ̯
சிரிப்பு	t͡ʃ i ɾ̪ i pː u
சிருஷ்டி	t͡ʃ i ɾ̪ u ʂ ʈ i
சிற	t͡ʃ i r a
சிறகு	t͡ʃ i r a ɡ u
சிறப்பு	t͡ʃ i r a pː u
சிறுகதை	t͡ʃ i r u ɡ a d̪ a ɪ̯
சிறுநீரகம்	t͡ʃ i r u n̪ iː ɾ̪ a ɡ a m
சிறுமை	t͡ʃ i r u m a ɪ̯
சிறுவன்	t͡ʃ i r u ʋ a n
சிற்பம்	t͡ʃ i r p a m
சிற்றுண்டி	t͡ʃ i ʈː ɾ u ɳ ɖ i
சிற்றூர்	t͡ʃ i ʈː ɾ uː ɾ̪
சிலந்தி	t͡ʃ i l̪ a n̪ d̪ i
சிவ	t͡ʃ i ʋ a
சிவப்புக்கல்	t͡ʃ i ʋ a pː u kː a l̪
சிவளிகைக்கச்சு	t͡ʃ i ʋ a ɭ i ɡ a ɪ̯ kː a t͡ʃː u
சிஷ்டம்	t͡ʃ i ʂ ʈ a m
சிஷ்யன்	t͡ʃ i ʂ j a n
சீக்கிரம்	t͡ʃ iː kː i ɾ̪ a m
சீடை	t͡ʃ iː ɖ a ɪ̯
சீனா	t͡ʃ iː n aː
சீபாதம்	t͡ʃ iː b aː d̪ a m
சீமைச்சீரகம்	t͡ʃ iː m a ɪ̯ t͡ʃː iː ɾ̪ a ɡ a m
சீரகம்	t͡ʃ iː ɾ̪ a ɡ a m
சீழ்	t͡ʃ iː ɻ
சுக்கை	t͡ʃ u kː a ɪ̯
சுட்டாமுட்டி	t͡ʃ u ʈː aː m u ʈː i
சுட்டுவிரல்	t͡ʃ u ʈː u ʋ i ɾ̪ a l̪
சுண்டெலி	t͡ʃ u ɳ ɖ e l̪ i
சுண்ணம்	t͡ʃ u ɳː a m
சுதந்தரம்	t͡ʃ u d̪ a n̪ d̪ a ɾ̪ a m
சுந்தரம்	t͡ʃ u n̪ d̪ a ɾ̪ a m
சுனாமி	t͡ʃ u n aː m i
சுனை	t͡ʃ u n a ɪ̯
சுரம்	t͡ʃ u ɾ̪ a m
சுருட்டு	t͡ʃ u ɾ̪ u ʈː u
சுருதி	t͡ʃ u ɾ̪ u d̪ i
சுரும்பு	t͡ʃ u ɾ̪ u m b u
சுருளி	t͡ʃ u ɾ̪ u ɭ i
சுரை	t͡ʃ u ɾ̪ a ɪ̯
சுறா	t͡ʃ u r aː
சுற்றம்	t͡ʃ u ʈː ɾ a m
சுற்று	t͡ʃ u ʈː ɾ u
சுற்றுச்சூழல்	t͡ʃ u ʈː ɾ u t͡ʃː uː ɻ a l̪
சுவடி	t͡ʃ u ʋ a ɖ i
சுவடு	t͡ʃ u ʋ a ɖ u
சுவாசம்	t͡ʃ u ʋ aː s a m
சுவாசியா	t͡ʃ u ʋ aː s i j aː
சுவையான	t͡ʃ u ʋ a ɪ̯ j aː n a
சூரியன்	t͡ʃ uː ɾ̪ i j a n
சூறை	t͡ʃ uː r a ɪ̯
சூழலியல்	t͡ʃ uː ɻ a l̪ i j a l̪
சூழல்	t͡ʃ uː ɻ a l̪
செங்	t͡ʃ e ŋ
செங்கந்தகம்	t͡ʃ e ŋ ɡ a n̪ d̪ a ɡ a m
செங்கல்	t͡ʃ e ŋ ɡ a l̪
செங்கல்மால்	t͡ʃ e ŋ ɡ a l̪ m aː l̪
செங்கிழங்கு	t͡ʃ e ŋ ɡ i ɻ a ŋ ɡ u
செங்கோல்	t͡ʃ e ŋ ɡ oː l̪
செச்சினியா	t͡ʃ e t͡ʃː i n i j aː
செடி	t͡ʃ e ɖ i
செடிகொடி	t͡ʃ e ɖ i ɡ o ɖ i
செந்	t͡ʃ e n̪
செந்தமிழ்	t͡ʃ e n̪ d̪ a m i ɻ
செந்தாமரை	t͡ʃ e n̪ d̪ aː m a ɾ̪ a ɪ̯
சென்னை	t͡ʃ e nː a ɪ̯
செபக்குடம்	t͡ʃ e b a kː u ɖ a m
செபம்	t͡ʃ e b a m
செப்பம்	t͡ʃ e pː a m
செப்பு	t͡ʃ e pː u
செம்	t͡ʃ e m
செம்பு	t͡ʃ e m b u
செயசூறை	t͡ʃ e j a s uː r a ɪ̯
