't	t
gangsal	ɡ a ŋ s a l
ganid	ɡ a n i d
gansa	ɡ a n s a
gansal	ɡ a n s a l
ganti	ɡ a n t i
ganzon	ɡ a n s o n
gao	ɡ a w
garalde	ɡ a ɾ a l d ɛ
garapata	ɡ a ɾ a p a t a
garay	ɡ a ɾ a i
garces	ɡ a ɾ s ɛ s
garchitorena	ɡ a ɾ t͡ʃ i t o ɾ ɛ n a
garciano	ɡ a ɾ s i a n o
gargaran	ɡ a ɾ ɡ a ɾ a n
gascon	ɡ a s k o n
gaslaw	ɡ a s l a u
gasolinahan	ɡ a s o l i n a h a n
gaspang	ɡ a s p a ŋ
gaston	ɡ a s t o n
gatbonton	ɡ a t b o n t o n
gatchalian	ɡ a t t͡ʃ a l j a n
gatong	ɡ aː t ɔ ŋ
gavilan	ɡ a b i l a n
gaviola	ɡ a b j o l a
gayuma	ɡ a j u m a
gerilya	ɡ ɛ ɾ i l j a
gerodias	d͡ʒ ɛ ɾ o d j a s
geron	ɡ ɛ ɾ o n
geronimo	h ɛ ɾ o n i m o
gigil	ɡ i ɡ i l
gilagid	ɡ i l a ɡ i d
ginhawa	ɡ i n h a w a
ginto	ɡ i n t o ʔ
gipalpal	ɡ i p a l p a l
giron	h i ɾ o n
gisa	ɡ i s a
gising	ɡ i s i ŋ
gitara	ɡ i t a ɾ a
gitlawas	ɡ i t l a w a s
gitna	ɡ i t n a ʔ
giwa	ɡ i w a ʔ
go	ɡ ɔ
godoy	ɡ o d o i
goh	ɡ o
grabe	ɡ ɾ a b ɛ
gradweyt	ɡ ɾ a d w ɛ i t
grasa	ɡ ɾ a s a
grasya	ɡ ɾ a s j a
grumadweyt	ɡ ɾ u m a d w ɛ i t
guanzon	ɡ u a n s o n
gubat	ɡ u b a t
guerra	ɡ ɛ ɾ a
guinto	ɡ i n t o
gulang	ɡ u l a ŋ
gulay	ɡ u l a j
gulpi	ɡ u l p i
gumagad	ɡ u m a ɡ a d
gumala	ɡ u m a l a ʔ
gumaling	ɡ u m a l i ŋ
gumapac	ɡ u m a p a k
gumawa	ɡ u m a w a ʔ
gumilid	ɡ u m i l i d
gumiran	ɡ u m i ɾ a n
gumising	ɡ u m i s i ŋ
gumuho	ɡ u m u h ɔ ʔ
gumulong	ɡ u m u l ɔ ŋ
guwantes	ɡ u a n t ɛ s
guwardiya	ɡ u a ɾ d j a
habagat	h a b a ɡ a t
hagikgik	h a ɡ ɪ k ɡ ɪ k
hagod	h a ɡ o d
hagok	h a ɡ o k
hagulgol	h a ɡ u l ɡ o l
hagulhol	h a ɡ u l h o l
hagupit	h a ɡ u p i t
halabos	h a l a b o s
halaga	h a l a ɡ a
halalan	h a l a l a n
halari	h a l a ɾ i ʔ
halasan	h a l a s a n
haligi	h a l i ɡ i
halik	h a l i k
halimaw	h a l i m a u
hambalang	h a m b a l a ŋ
hamog	h a m o ɡ
hamon	h a m o n
hangal	h a ŋ a l
hangin	h a ŋ i n
hanginsigan	h a ŋ i n s i ɡ a n
hangintigilan	h a ŋ i n t i ɡ i l a n
hapdi	h a p d i ʔ
hapit	h a p i t
hapo	h a p o ʔ
hapones	h a p o n ɛ s
hapunan	h a p u n a n
harana	h a ɾ a n a
harang	h a ɾ a ŋ
harap	h a ɾ a p
hardin	h ɐ r d i n
hardinera	h ɐ r d ɪ n e r a
hardinero	h ɐ r d ɪ n e r o
hasik	h a s i k
hati	h a t i ʔ
hatinig	h a t i n i ɡ
hatol	h a t o l
hau	h a w
haw	h a w
hawa	h a w a
hawak	h a w a k
hawakan	h a w a k a n
hawla	h a u l a
hayag	h a i a ɡ
hayag	h a j a ɡ
haynayan	h a j n a j a n
hayop	h a j o p
hene	h e n e
henetika	h e n e t i k ɐ
heng	h e ŋ
herradura	ʔ ɛ ɾ a d u ɾ a
hesusmaryosep	h ɛ s u s m a ɾ i ɔː s e p
hibi	h i b i
higanti	h i ɡ a n t i ʔ
higlikas	h i ɡ l i k a s
higliknayan	h i ɡ l i k n a j a n
higop	h i ɡ o p
higsipnayan	h i ɡ s i p n a j a n
higtao	h i ɡ t a ʔ ɔ
hikaw	h i k a w
hilab	h i l a b
hilaga	h i l a ɡ a ʔ
hilaw	h i l a u
hilera	h i l ɛ ɾ a
himagas	h i m a ɡ a s
himala	h i m a l a ʔ
himanting	h i m a n t i ŋ
himasok	h i m a s o k
himatayin	h i m a t a j i n
himbabahay	h i m b a b a h a j
hina	h i n a ʔ
hinagpis	h i n a ɡ p i s
hinala	h i n a l a ʔ
hindi	h i n d i
hindi	h i n d ɛ
hindi	h ɛ n d ɛ
hinga	h i ŋ a
hinlalaki	h i n l a l a k i
hinog	h i n o ɡ
hintuturo	h i n t u t u ɾ o ʔ
hipolito	h i p o l i t o
hipon	h i p o n
hira	h i ɾ a
hira	h i ɾ a ʔ
hirap	h i ɾ a p
hita	h i t a ʔ
hithit	h i t h i t
hito	h i t o ʔ
hitso	h i t s o
hitsura	h i t͡ʃ u ɾ a
hiwalay	h i w a l a i
hiya	h i j a ʔ
hiyaw	h i a u
hizon	h i s o n
ho	h ɔ
homiliya	h o m i l i a
hong	h o ŋ
hopya	h o p j a ʔ
hortaleza	h o ɾ t a l ɛ s a
hoy	h o j
huli	h u l i
huli	h u l i ʔ
hulog	h u l o ɡ
humadlang	h u m a d l a ŋ
humagulgol	h u m a ɡ u l ɡ o l
humalik	h u m a l i k
humanda	h u m a n d a ʔ
humandusay	h u m a n d u s a i
humiga	h u m i ɡ a ʔ
humingi	h u m i ŋ i ʔ
huminto	h u m i n t o ʔ
humiram	h u m i ɾ a m
humirap	h u m i r a p
hung	h u ŋ
huni	h u n i
huramentado	h u ɾ a m e n t a d o
huron	h u r o n
husga	h u s ɡ a
husgado	h u s ɡ a d o
husgahan	h u s ɡ a h a n
huwebes	h u w ɛ b e s
huweteng	h u ɛ t ɛ ŋ
huy	h u j
huyad	h u j a d
huyong	h u j o ŋ
hwan	h w ɐ n
ibagsak	i b a ɡ s a k
ibahaw	i b a h a w
ibalik	i b a l i k
ibasco	ʔ i b a s k o
ibay	ʔ i b a j
ibili	i b i l i
ibutod	i b u t o d
idalum	ʔ i d a l u m
igib	ʔ i ɡ i b
igkasin	ʔ i ɡ k a s i n
ignacio	ʔ i ɡ n a s j o
ignoransiya	ʔ i ɡ n o ɾ a n s j a
ignorante	ʔ i ɡ n o ɾ a n t ɛ
ihi	ʔ i h i ʔ
ikabilanggo	ʔ i k a b i l a ŋ ɡ o ʔ
ikagalit	ʔ i k a ɡ a l i t
ikaw	i k a w
ikmo	i k m o
ikuha	i k u h a
ilag	ʔ i l a ɡ
ilao	ʔ i l a u
iling	ʔ i l i ŋ
ilog	ʔ i l o ɡ
ilong	ʔ i l o ŋ
ilustre	ʔ i l u s t ɾ ɛ
imahen	ʔ i m a h ɛ n
imbentaryo	ʔ i m b ɛ n t a ɾ j o
imperial	ʔ i m p ɛ ɾ j a l
impluwensiya	ʔ i m p l u ɛ n s i a
impluwensiya	ʔ i m p l u ɛ n s j a
importansiya	ʔ i m p o ɾ t a n s j a
importante	ʔ i m p o ɾ t a n t ɛ
ina	ʔ i n a
inahin	ʔ i n a h i n
infante	ʔ i n p a n t ɛ
ingay	ʔ i ŋ a i
inggit	ʔ i ŋ ɡ i t
inggitero	ʔ i ŋ ɡ i t ɛ ɾ o
inggles	i ŋ ɡ l ɛ s
inggo	ʔ i ŋ ɡ o ʔ
inglesero	i ŋ ɡ l ɛ s ɛː ɾ ɔ
ingrato	ʔ i ŋ ɡ ɾ a t o
inip	ʔ i n i p
init	ʔ i n i t
initan	ʔ i n i t a n
initbutod	ʔ i n i t b u t ɔ d
initdagitban	ʔ i n i t d a ɡ i t b a n
initkapnayan	ʔ i n i t k a p n a j a n
initsigan	ʔ i n i t s i ɡ a n
inosente	ʔ i n o s ɛ n t ɛ
insulto	ʔ i n s u l t o
interbiyu	i n t e r b j u
interbiyu	ʔ i n t ɛ ɾ b i u
interes	ʔ i n t ɛ ɾ ɛ s
intindi	ʔ i n t i n d i
intsik	ʔ i n t͡ʃ i k
inumin	ʔ i n u m i n
inutil	ʔ i n u t i l
inyo	i n j o
ip	ɪ p
ipagbilin	ʔ i p a ɡ b i l i n
ipakausap	i p a k a u s a p
ipakuha	i p a k u h a
ipamigay	ʔ i p a m i ɡ a i
ipatapon	i p a t a p o n
ipis	ʔ i p i s
ipo	ʔ i p o
iprint	i p r i n t
irebisa	ʔ i ɾ ɛ b i s a
isa	ʔ i s a
isagani	ʔ i s a ɡ a n i
isangkot	ʔ i s a ŋ k o t
isauli	i s a u l i
iscan	i s k a n
iset	i s ɛ t
ishinare	ʔ i s h i n ɛ ɾ
isidro	ʔ i s i d ɾ o
isigan	i s i ɡ a n
isipin	ʔ i s i p i n
isisi	ʔ i s i s i
iskedyul	ʔ i s k ɛ d j u l
iskolar	ʔ i s k o l a ɾ
iskrip	ʔ i s k ɾ i p
isoli	i s o l i
istorya	ʔ i s t o ɾ j a
isuot	ʔ i s u ʔ ɔ t
itago	i t a ɡ o
itim	ɪ t i m
itlog	ʔ i t l o ɡ
itmo	i t m o
ito	ʔ i t o
ixerox	i s ɛ r o k s
iyan	i j a n
iyan	j a n
iyo	i j o
iyon	i j ɔ n
iyon	j o n
jalandoni	d͡ʒ a l a n d o n i
jamisola	d͡ʒ a m i s o l a
jara	d͡ʒ a ɾ a
jaramillo	d͡ʒ a ɾ a m i l l o
jaranilla	d͡ʒ a ɾ a n i l l a
jologs	d͡ʒ o l o ɡ s
jologs	d͡ʒ o l o ɡ z
jontis	d͡ʒ ɔ n t i s
juan	h w a n
juan	h w ɐ n
juarez	d͡ʒ u a ɾ ɛ s
julalay	d͡ʒ u l a l a j
jumarang	d͡ʒ u m a ɾ a ŋ
juntilla	d͡ʒ u n t i l l a
jurado	d͡ʒ u ɾ a d o
jusi	d͡ʒ u s i
justiniano	d͡ʒ u s t i n i a n o
kaagulo	k a a ɡ u l ɔ ʔ
kaalit	k a ʔ a l i t
kaanak	k a ʔ a n a k
kaanib	k a ʔ a n i b
kababaihan	k a b a b a ʔ i h a n
kabaligtaran	k a b a l i ɡ t a ɾ a n
kabalintunaan	k a b a l i n t u n a ʔ a n
kabaong	k a b a o ŋ
kabarkada	k a b a r k a d a
kabasangal	k a b a s a ŋ a l
kabastusan	k a b a s t u s a n
kabayo	k a b a j o
kaberdehan	k a b ɛ ɾ d ɛ h a n
kabig	k a b i ɡ
kabiling	k a b i l i ŋ
kabuwanan	k a b u a n a n
kadena	k a d ɛ n a
kadugo	k a d u ɡ o ʔ
kadyos	k a d j o s
kadyot	k ɑ d j ɔ t̚
kadyot	k ɑ d ʑ ɔ t̚
kagalingan	k a ɡ a l i ŋ a n
kagaw	k a ɡ a u
kaha	k a h a
kahabagan	k a h a b a ɡ a n
kahandaan	k a h a n d a ʔ a n
kaharian	k a h a ɾ i a n
kahel	k ɐ h ɛ l
kahero	k a h ɛ ɾ o
kahihiyan	k a h i h i a n
kahoy	k a h o i
kaibigan	k a i b i ɡ a n
kaibigan	k a ʔ i b i ɡ a n
kailan	k a ʔ i l a n
kailan	k ɛ l a n
kain	k a ʔ i n
kakainin	k a k a ʔ i n i n
kakaphay	k a k a p h a j
kakarampot	k a k a ɾ a m p o t
kakayahan	k a k ɐ y ɐ h a n
kakulangan	k a k u l a ŋ a n
kakulawas	k a k u l a w a s
kalaguyo	k a l a ɡ u j o ʔ
kalakpan	k a l a k p a n
kalaliman	k a l a l i m a n
kalan	k a l a n
kalansay	k a l a n s a j
kalantas	k a l a n t a s
kalaswaan	k a l a s w a ʔ a n
kalat	k a l a t
kalatas	k a l a t a s
kalatsutsi	k a l a t͡ʃ u t͡ʃ i ʔ
kalawang	k a l a w a ŋ
kalawangin	k a l a w a ŋ i n
kalayaan	k a l ɐ i ɪ a ʔ ɐ n
kalbaryo	k a l b a ɾ j o
kaldero	k a l d ɛ ɾ o
kalendaryo	k a l ɛ n d a ɾ j o
kalesa	k ɐ l ɛː s a
kalibre	k a l i b ɾ ɛ
kalibugan	k a l i b u ɡ a n
kalidad	k a l i d a d
kaligayahan	k a l i ɡ a j a h a n
kaligkig	k a l i ɡ k i ɡ
kalihim	k a l i h i m
kalima	k a l i m a
kalis	k a l i s
kaliskis	k a l i s k i s
kaliwanagan	k a l i w a n a ɡ a n
kaliwete	k a l i w ɛ t ɛ
kalso	k a l s o
kaluban	k ɐ l u b ɐ n
kalungsuran	k a l u ŋ s u ɾ a n
kaluwalhatian	k a l u l u a l h a t i ʔ a n
kalyo	k a l j o
kamanahan	k a m a n a h a n
kamandag	k a m a n d a ɡ
kamangmangan	k a m a ŋ m a ŋ a n
kamatayan	k a m a t a j a n
kambal	k a m b a l
kambyo	k a m b j o
kami	k a m ɛ
kami	k a m ɪ
kamihasnan	k a m i h a s n a n
kampana	k a m p a n a ʔ
kampante	k a m p a n t ɛ
kampanya	k a m p a n j a
kampyon	k a m p j o n
kamukha	k a m u k h a ʔ
kamunduhan	k a m u n d u h a n
kandidato	k a n d i d a t o
kandila	k a n d i l a ʔ
kanduli	k a n d u l i ʔ
kang	k a ŋ
kangkungan	k a ŋ k u ŋ a n
kanina	k a n i n a
kanino	k a n i n o
kaniyugan	k a n j u ɡ a n
kanlong	k a n l o ŋ
kanlungan	k a n l u ŋ a n
kanselasyon	k a n s ɛ l a s j o n
kanser	k a n s ɛ ɾ
kanta	k a n t a
kantahin	k a n t a h i n
kantutin	k a n t u t i n
kanyon	k a ɲ o n
kaopisina	k a o p i s i n a
kapabayaan	k a p a b a j a a n
kapakanan	k a p a k a n a n
kapakanan	k a p a k a n ʔ a n
kapalit	k a p a l i t
kapanahunan	k a p a n a h u n a n
kapatawaran	k a p a t a w a ɾ a n
kaphay	k a p h a j
kapid	k a p i d
kapiraso	k a p i ɾ a s o
kapitan	k a p i t a n
kaplastikan	k a p l a s t i k a n
kapon	k a p o n
kapotgayong	k a p o t ɡ a j o ŋ
kapre	k a p ɾ ɛ
kapuluan	k a p u l u a n
kaputsino	k a p u t͡ʃ i n o
karakter	k a ɾ a k t ɛ ɾ
karambola	k a ɾ a m b o l a
karamihan	k a ɾ a m i h a n
karampatan	k a ɾ a m p a t a n
karapatan	k a ɾ a p a t a n
karayom	k a ɾ a j o m
karbon	k a ɾ b o n
karelyebo	k a r ɛ ʎ ɛ b o
karerahan	k a ɾ ɛ ɾ a h a n
karibal	k a ɾ i b a l
karitela	k a ɾ i t ɛ l a
kariton	k a ɾ i t o n
karo	k a ɾ o
karpintero	k a ɾ p i n t ɛ ɾ o
karton	k a ɾ t o n
karunungan	k a ɾ u n u ŋ a n
karupukan	k a ɾ u p u k a n
karuwagan	k a ɾ u a ɡ a n
kasalanan	k a s a l a n a n
kasambahay	k a s a m b a h a i
kasera	k a s ɛ ɾ a
kasero	k a s ɛ ɾ o
kaserola	k a s ɛ ɾ o l a
kasiguraduhan	k a s i ɡ u ɾ a d u h a n
kasintahan	k a s i n t a h a n
kasinungalingan	k a s i n u ŋ a l i ŋ a n
kaso	k a s ɔ
kasoy	k a s o i
kastigo	k a s t i ɡ o
kastiguhin	k a s t i ɡ u h i n
kasubha	k a s u b h a ʔ
kata	k a t a
kata	k a t a ʔ
kataga	k a t a ɡ a ʔ
katagalugan	k a t a ɡ a l u ɡ a n
katakawan	k a t a k a w a n
katang	k a t a ŋ
katangahan	k a t a ŋ a h a n
katarata	k a t a ɾ a t a
katawan	k a t a u ʔ a n
katawan	k a t a w a n
katedral	k a t ɛ d ɾ a l
kati	k a t i
kati	k ɐ t i
kati	k ɐ t i ʔ
katigbak	k a t i ɡ b a k
katiwalian	k a t i w a l i a n
kato	k a t o ʔ
katolisismo	k a t o l i s i s m o
katropa	k a t r o p a
katungkulan	k a t u ŋ k u l a n
katuruan	k a t u r u ʔ a n
katuwang	k a t u a ŋ
kaunti	k a ʔ u n t i ʔ
kaunti	k ɔ n t ɛ ʔ
kausap	k a u s a p
kausapin	k a u s a p i n
kawad	k a w a d
kay	k a i
kaya	k a ɪ a ʔ
kaya	k aː ɪ a
kayumanggi	k a j u m a ŋ ɡ i
kelot	k ɛ l ɔ t
kendi	k ɛ n d i
keri	k ɛ ɾ i
ketongin	k ɛ t o ŋ i n
khoo	k uː
kiamzon	k i a m s o n
kidsulid	k i d s u l i d
kikil	k i k i l
kiko	k i k o ʔ
kilay	k i l a j
kilikili	k i l i k i l i
kilo	k i l o
kilo	k i l o ʔ
kilos	k i l o s
kilusan	k i l u s a n
kimika	k i m ɪ k ɐ
kindat	k i n ʔ d a t
king	k i ŋ
kintsay	k i n t͡ʃ a i
kita	k i t a
kitikiti	k i t i k i t i
kiyo	k i j o ʔ
klima	k l i m a
klinika	k l i n i k a
kloropila	k l o r o p i l ɐ
ko	k o
ko	k ɔ
kolera	k o l ɛ ɾ a
komander	k o m a n d ɛ ɾ
kombinasyon	k o m b i n a s j o n
komedya	k o m ɛ d j a
komento	k o m ɛ n t o
kometa	k o m ɛ t a
kompleto	k o m p l ɛ t o
komplikasyon	k o m p l i k a s j o n
komunidad	k o m u n i d a d
komunikasyon	k o m u n i k a s j o n
komunista	k o m u n i s t ɐ
kondenahin	k o n d ɛ n a h i n
kondisyon	k o n d i s j o n
kong	k ɔ ŋ
konstitusyon	k o n s t i t u s j o n
konsumisyon	k o n s u m i s j o n
kontak	k o n t a k
kontakin	k o n t a k i n
kontrobersiya	k o n t ɾ o b ɛ ɾ s i a
kontrobersiya	k o n t ɾ o b ɛ ɾ s j a
koral	k o ɾ a l
korona	k o ɾ o n a
koronahan	k o ɾ o n a h a n
koronel	k o ɾ o n ɛ l
kotse	k o t s ɛ
kotse	k o t͡ʃ ɛ
krimen	k ɾ i m ɛ n
kriminal	k ɾ i m i n a l
kritiko	k ɾ i t i k o
kromatina	k r o m ɐ t i n ɐ
kromosoma	k r o m o s o m ɐ
kroni	k ɾ o n i
kroniyismo	k ɾ o n i j i s m o
kua	k u w a
kua	k w a
kuba	k u b a ʔ
kubeta	k u b ɛ t a
kubo	k u b o
kudkurin	k u d k u ɾ i n
kuha	k u h a
kulambo	k u l a m b o ʔ
kulangi	k u l a ŋ i ʔ
kulangot	k u l a ŋ o t
kulasim	k u l a s i m
kulay	k u l a j
kulayin	k u l a j i n
kulaylawas	k u l a j l a w a s
kulayputol	k u l a j p u t o l
kulig	k u l i ɡ
kulimlim	k u l i m l i m
kuliti	k u l i t i ʔ
kulos	k u l o s
kulugo	k u l u ɡ o
kumabig	k u m a b i ɡ
kumain	k u m a ʔ i n
kumanta	k u m a n t a
kumbensiyon	k u m b ɛ n s i o n
kumbento	k u m b ɛ n t o
kumbinsihin	k u m b i n s i h i n
kumbulsiyon	k u m b u l s i o n
kumintab	k u m i n t a b
kumot	k u m o t
kumpas	k u m p a s
kumpederasyon	k u m p ɛ d ɛ ɾ a s j o n
kumpisal	k u m p i s a l
kumpyansa	k u m p j a n s a
kumuha	k u m u h a
kumulimlim	k u m u l i m l i m
kumunoy	k u m u n o i
kumupas	k u m u p a s
kumusta	k u m u s t a
kumuyakoy	k u m u j a k o i
kunan	k u n a n
kunin	k u n i n
kupal	k uː p a l
kupas	k u p a s
kurag	k u ɾ a ɡ
kurarap	k u ɾ a ɾ a p
kurba	k u ɾ b a
kurbata	k u ɾ b a t a
kurot	k u ɾ o t
kurse	k u ɾ s e
kursonada	k u ɾ s o n a d a
kurtina	k u ɾ t i n a
kuryusidad	k u r j u s i d a d
kusi	k u s i
kusina	k u s i n a
kuskos	k u s k o s
kustodiya	k u s t o d i a
kuting	k u t i ŋ
kutis	k u t i s
kuto	k u t o
kuto	k u t o ʔ
kutsara	k u t s a ɾ a
kutsara	k u t͡ʃ a ɾ a
kutsarita	k u t͡ʃ a r i t a
kutson	k u t͡ʃ o n
kutya	k u t j a ʔ
kuwan	k u a n
kwok	k w ɔ k
kyut	k j u t
laba	l a b a
labada	l a b a d a
labag	l a b a ɡ
labas	l a b a s
labaskaphay	l a b a s k a p h a j
labastida	l a b a s t i d a
labawsugnayan	l a b a u s u ɡ n a j a n
labhan	l a b h a n
labi	l a b i
labi	l a b i ʔ
labimpito	l a b i m p i t o
labindalawa	l a b i n d a l a w a
labingwalo	l a b i ŋ w a l o
labinlima	l a b i n l i m a
labinsiyam	l a b i n s i j a m
labintatlo	l a b i n t a t l o
labnot	l a b n o t
labong	l a b o ŋ
lacambra	l a k a m b ɾ a
lacap	l a k a p
laganap	l a ɡ a n a p
lagay	l a ɡ a i
lagaylay	l a ɡ a j l a j
lagda	l a ɡ d a ʔ
lagdameo	l a ɡ d a m ɛ o
lagkit	l a ɡ k i t
lagmak	l a ɡ m a k
lagmay	l a ɡ m a i
lagnat	l a ɡ n a t
lagumlalangin	l a ɡ u m l a l a ŋ i n
lagundi	l a ɡ u n d i
lahat	l a h a t
laitin	l a i t i n
lakan	l a k a n
lakdawkaphay	l a k d a w k a p h a j
lakdawyugto	l a k d a w j u ɡ t o ʔ
laktaw	l a k t a w
lalagyan	l a l a ɡ j a n
lalamunan	l a l a m u n a n
lalanghutan	l a l a ŋ h u t a n
lamad	l a m a d
lamang	l a m a ŋ
lamig	l a m i ɡ
lamig	l a m ʔ i ɡ
lampara	l a m p a ɾ a
lampin	l a m p i n
lana	l a n a
landa	l a n d a
landrito	l a n d ɾ i t o
lang	l a ŋ
langkaan	l a ŋ k a ʔ a n
lansangan	l a n s a ŋ a n
lanting	l a n t i ŋ
lantsa	l a n t͡ʃ a
lanunab	l a n u n a b
lanuza	l a n u s a
lao	l a ʊ
lapis	l a p i s
lapnos	l a p n o s
lapuz	l a p u s
laquindanum	l a k i n d a n u m
larawan	l a ɾ a w a n
lascano	l a s k a n o
lasing	l a s i ŋ
laspag	l a s p a ɡ
lastiko	l a s t i k o
laswa	l a s w a ʔ
latayan	l a t a j a n
lawa	l a w a ʔ
lawaan	l a w a ʔ a n
laway	l a w a i
lawlaw	l a u l a u
laxamana	l a k s a m a n a
layag	l a j a ɡ
layas	l a j a s
layaw	l a j ɐ w
layaw	l ɐ j a w
laygo	l a i ɡ o
laylayan	l a i l a j a n
laylo	l a i l o
layno	l a i n o
lazarte	l a s a ɾ t ɛ
lazatin	l a s a t i n
lebadura	l e b a d u r ɐ
lehitimo	l ɛ h i t i m o
lengguwahe	l ɛ ŋ ɡ w a h ɛ
leong	l j o ŋ
leung	l j u ŋ
lew	l ʊ
leynes	l ɛ i n ɛ s
libak	l i b a k
libradilla	l i b ɾ a d i l l a
libre	l i b ɾ ɛ
libro	l i b r o
libuntaon	l i b u n t a ʔ ɔ n
lichauco	l i t͡ʃ a u k o
licup	l i k u p
ligpit	l i ɡ p i t
liha	l i h a
liham	l i h a m
lihim	l i h i m
lihukan	l i h u k a n
likas	l i k a s
likha	l i k h a
likha	l i k h a ʔ
liknayan	l i k n a j a n
liko	l i k o ʔ
lila	l ɪː l ɐ
lilom	l i l o m
lim	l i m
lima	l i m a
limahi	l i m a h i ʔ
limahid	l i m a h i d
limampu	l i m a m p u ʔ
limandaan	l i m a n d a a n
limanlaksa	l i m a n l a k s a ʔ
limay	l i m a j
limbaga	l i m b a ɡ a
limit	l i m i t
limjoco	l i m d͡ʒ o k o
limos	l i m o s
linatoc	l i n a t o k
lindol	l i n d ɔ l
lingad	l i ŋ a d
linggo	l i ŋ ɡ o
linggo	l i ŋ ɡ ɔ
lingon	l i ŋ o n
linisan	l i n i s a n
linisin	l i n i s i n
linta	l i n t a ʔ
liong	l j o ŋ
lipon	l i p o n
lipunan	l i p u n a n
liquigan	l i k i ɡ a n
lising	l i s i ŋ
lislis	l i s l i s
liso	l i s o
literasiya	l i t ɛ ɾ a s i a
litrato	l i t ɾ a t o
liwag	l i w a ɡ
lizada	l i s a d a
llanera	l l a n ɛ ɾ a
llanto	l l a n t o
lo	l o
lodi	l o d i
logarta	l o ɡ a ɾ t a
lojo	l o d͡ʒ o
loka	l o k a
loko	l o k o
lola	l o l a
lomibao	l o m i b a u
lomocso	l o m o k s o
lona	l o n a
longganisa	l o ŋ ɡ a n i s a
longhitud	l o ŋ h i t u d
loo	l u
loob	l ɔ ʔ ɔ b
loobkaphay	l o ʔ o b k a p h a j
look	l o ʔ o k
lorenzana	l o ɾ ɛ n s a n a
loterya	l o t ɛ ɾ j a
lozada	l o s a d a
lu	l u
lubak	l u b a k
lubha	l u b h a ʔ
lubiano	l u b j a n o
lugami	l u ɡ a m i ʔ
luho	l u h o ʔ
lukban	l u k b a n
lula	l u l a ʔ
luma	l u m a ʔ
lumabas	l u m a b a s
lumabo	l u m a b o ʔ
lumad	l u m a d
lumagui	l u m a ɡ i
lumakdang	l u m a k d a ŋ
lumamig	l u m a m i ɡ
lumanglas	l u m a ŋ l a s
lumangoy	l u m a ŋ o j
lumapit	l u m a p i t
lumayo	l u m a j o ʔ
lumbang	l u m b a ŋ
lumbao	l u m b a u
lumbo	l u m b ɔ
lumbo	l u m b ɔ ʔ
lumboy	l u m b ɔ j
lumibao	l u m i b a u
lumikha	l u m i k h a ʔ
luminaw	l u m i n a w
lumindol	l u m i n d o l
lumipad	l u m i p a d
lumiwanag	l u m i w a n a ɡ
lumot	l u m o t
lumutang	l u m u t a ŋ
lumuwag	l u m u w a ɡ
lunes	l u n ɛ s
lungkag	l u ŋ k a ɡ
luntian	l ú nː t í ɐ n
lupa	l u p a ʔ
lupain	l u p a ʔ i n
lusaw	l u s a w
luto	l u t o
luto	l u t o ʔ
luwag	l u a ɡ
luwalhati	l u w a l h a t i ʔ
luwat	l u w a t
luy	l ʊ j
luyos	l u j o s
luzano	l u s a n o
luzon	l u s o n
luzuriaga	l u s u ɾ j a ɡ a
maagrabyado	m a ʔ a ʔ ɡ ɾ a b j a d o
maambunan	m a ʕ a m b u n a n
maanak	m a ʔ a n a k
maangas	m a ʔ a ŋ a s
maanta	m a ʔ a n t a
mababa	m a b a b a ʔ
mabagal	m a b a ɡ a l
mabalot	m a b a l o t
mabato	m a b a t o
mabigat	m a b i ɡ a t
mabigo	m a b i ɡ o ʔ
mabilis	m a b i l i s
mabini	m a b i n i
mabuhay	m a b u h a y
mabulaklak	m a b u l a k l a k
maburyong	m a b u ɾ j o ŋ
mabuti	m a b u t i
mabuwisit	m a b u i s i t
macababbad	m a k a b a b b a d
macadangdang	m a k a d a ŋ d a ŋ
macalalad	m a k a l a l a d
macalindong	m a k a l i n d o ŋ
macapagal	m a k a p a ɡ a l
macapinlac	m a k a p i n l a k
macapugay	m a k a p u ɡ a i
macaranas	m a k a ɾ a n a s
macasaet	m a k a s a ɛ t
macasieb	m a k a s i ɛ b
macaspac	m a k a s p a k
macatulad	m a k a t u l a d
maceda	m a s ɛ d a
macuha	m a k u h a
madalas	m a d a l a s
madali	m a d a l i ʔ
madilim	m a d i l i m
madlangbayan	m a d l a ŋ b a j a n
madriaga	m a d ɾ i a ɡ a
madulas	m a d u l a s
magalang	m a ɡ a l a ŋ
magaling	m a ɡ a l i ŋ
magallanes	m a ɡ a l l a n ɛ s
magalona	m a ɡ a l o n a
maganda	m a ɡ a n d a
magandahan	m a ɡ a n d a h a n
magaso	m a ɡ a s o
magbabaon	n a ɡ b a ʔ o n
magbalik	m a ɡ b a l i k
magbanua	m a ɡ b a n u a
magbaon	m a ɡ b a ʔ o n
magbarena	m a ɡ b a ɾ ɛ n a
magbasanlot	m a ɡ b a s a n l ɔ t
magbayad	m a ɡ b a j a d
magbenta	m a ɡ b e n t a
magbihis	m a ɡ b i h i s
magbili	m a ɡ b i l i
magbinata	m a ɡ b i n a t a ʔ
magbiro	m a ɡ b i ɾ o ʔ
magbisikleta	m a ɡ b i s i k l ɛ t a
magbiyahe	m a ɡ b i j a h e
magboo	m a ɡ b o o
magbubukid	m a ɡ b u b u k i d
magbuhat	m a ɡ b u h a t
magbulakbol	m a ɡ b u l a k b o l
