ա	ɑ
երեւակայելի	j ɛ ɾ ɛ v ɑ k ɑ j ɛ l i
երեւակայություն	j ɛ ɾ ɛ v ɑ k ɑ j u tʰ j u n
երեւակայվել	j ɛ ɾ ɛ v ɑ k ɑ j v ɛ l
երեւան	j ɛ ɾ ɛ v ɑ n
երեւանյան	j ɛ ɾ ɛ v ɑ n j ɑ n
երեւելի	j ɛ ɾ ɛ v ɛ l i
երեւի	j ɛ ɾ ɛ v i
երեւիլ	j ɛ ɾ ɛ v i l
երեւում	j ɛ ɾ ɛ v u m
երեւույթ	j ɛ ɾ ɛ v u j tʰ
երեք	j ɛ ɾ ɛ kʰ
երեքկին	j ɛ ɾ ɛ kʰ k i n
երեքնուկ	j ɛ ɾ ɛ kʰ n u k
երեքշաբթի	j ɛ ɾ ɛ kʰ ʃ ɑ pʰ tʰ i
երթ	j ɛ ɾ tʰ
երթալ	j ɛ ɾ tʰ ɑ l
երթեւեկել	j ɛ ɾ tʰ ɛ v ɛ k ɛ l
երթեւեկություն	j ɛ ɾ tʰ ɛ v ɛ k u tʰ j u n
երթեւեկում	j ɛ ɾ tʰ ɛ v ɛ k u m
երթիկ	j ɛ ɾ tʰ i k
երթիք	j ɛ ɾ tʰ i kʰ
երթուղային	j ɛ ɾ tʰ u ʁ ɑ j i n
երթուղի	j ɛ ɾ tʰ u ʁ i
երթուղիչ	j ɛ ɾ tʰ u ʁ i t͡ʃʰ
երթուղղիչ	j ɛ ɾ tʰ u ʁː i t͡ʃʰ
երի	j ɛ ɾ i
երիկամ	j ɛ ɾ i k ɑ m
երիկամունք	j ɛ ɾ i k ɑ m u ŋ kʰ
երիմանթոս	j ɛ ɾ i m ɑ n tʰ ɔ s
երինջ	j ɛ ɾ i n d͡ʒ
երիվար	j ɛ ɾ i v ɑ ɾ
երիտասարդ	j ɛ ɾ i t ɑ s ɑ ɾ tʰ
երիտասարդություն	j ɛ ɾ i t ɑ s ɑ ɾ d u tʰ j u n
երիցուկ	j ɛ ɾ i t͡sʰ u k
երիցս	j ɛ ɾ i t͡sʰ ə s
երիքով	j ɛ ɾ i kʰ ɔ v
երկ	j ɛ ɾ k
երկաթ	j ɛ ɾ k ɑ tʰ
երկաթգիծ	j ɛ ɾ k ɑ tʰ ɡ i t͡s
երկաթե	j ɛ ɾ k ɑ tʰ ɛ
երկաթեղեն	j ɛ ɾ k ɑ tʰ ɛ ʁ ɛ n
երկաթյա	j ɛ ɾ k ɑ tʰ j ɑ
երկաթուղային	j ɛ ɾ k ɑ tʰ u ʁ ɑ j i n
երկաթուղի	j ɛ ɾ k ɑ tʰ u ʁ i
երկախոսություն	j ɛ ɾ k ɑ χ ɔ s u tʰ j u n
երկայն	j ɛ ɾ k ɑ j n
երկայնաբազուկ	j ɛ ɾ k ɑ j n ɑ b ɑ z u k
երկայնաբան	j ɛ ɾ k ɑ j n ɑ b ɑ n
երկայնաբանություն	j ɛ ɾ k ɑ j n ɑ b ɑ n u tʰ j u n
երկայնամտություն	j ɛ ɾ k ɑ j n ɑ m ə t u tʰ j u n
երկայնանալ	j ɛ ɾ k ɑ j n ɑ n ɑ l
երկայնել	j ɛ ɾ k ɑ j n ɛ l
երկայնք	j ɛ ɾ k ɑ j ŋ kʰ
երկան	j ɛ ɾ k ɑ n
երկանաքար	j ɛ ɾ k ɑ n ɑ kʰ ɑ ɾ
երկանք	j ɛ ɾ k ɑ ŋ kʰ
երկար	j ɛ ɾ k ɑ ɾ
երկարաժամկետ	j ɛ ɾ k ɑ ɾ ɑ ʒ ɑ m k ɛ t
երկարամյա	j ɛ ɾ k ɑ ɾ ɑ m j ɑ
երկարավուն	j ɛ ɾ k ɑ ɾ ɑ v u n
երկարացնել	j ɛ ɾ k ɑ ɾ ɑ t͡sʰ n ɛ l
երկարություն	j ɛ ɾ k ɑ ɾ u tʰ j u n
երկբայաբար	j ɛ ɾ k b ɑ j ɑ b ɑ ɾ
երկբայանալ	j ɛ ɾ k b ɑ j ɑ n ɑ l
երկբայանք	j ɛ ɾ k b ɑ j ɑ ŋ kʰ
երկբայել	j ɛ ɾ k b ɑ j ɛ l
երկբայելի	j ɛ ɾ k b ɑ j ɛ l i
երկբայորեն	j ɛ ɾ k b ɑ j ɔ ɾ ɛ n
երկբայություն	j ɛ ɾ k b ɑ j u tʰ j u n
երկբարբառ	j ɛ ɾ k b ɑ ɾ b ɑ r
երկընտրանք	j ɛ ɾ k ə n t ɾ ɑ ŋ kʰ
երկիմաստ	j ɛ ɾ k i m ɑ s t
երկինք	j ɛ ɾ k i ŋ kʰ
երկիր	j ɛ ɾ k i ɾ
երկիցս	j ɛ ɾ k i t͡sʰ ə s
երկխոսություն	j ɛ ɾ k χ ɔ s u tʰ j u n
երկկենցաղ	j ɛ ɾ kː ɛ n t͡sʰ ɑ ʁ
երկկողմ	j ɛ ɾ kː ɔ ʁ m
երկկտտացնել	j ɛ ɾ kː ə tː ɑ t͡sʰ n ɛ l
երկմտանք	j ɛ ɾ k m ə t ɑ ŋ kʰ
երկմտել	j ɛ ɾ k m ə t ɛ l
երկմտի	j ɛ ɾ k m ə t i
երկմտորեն	j ɛ ɾ k m ə t ɔ ɾ ɛ n
երկյուղ	j ɛ ɾ k j u ʁ
երկյուղաբեկ	j ɛ ɾ k j u ʁ ɑ b ɛ k
երկյուղագին	j ɛ ɾ k j u ʁ ɑ ɡ i n
երկյուղազդեցիկ	j ɛ ɾ k j u ʁ ɑ z d ɛ t͡sʰ i k
երկյուղալի	j ɛ ɾ k j u ʁ ɑ l i
երկյուղալիր	j ɛ ɾ k j u ʁ ɑ l i ɾ
երկյուղալից	j ɛ ɾ k j u ʁ ɑ l i t͡sʰ
երկյուղախառն	j ɛ ɾ k j u ʁ ɑ χ ɑ r ə n
երկյուղած	j ɛ ɾ k j u ʁ ɑ t͡s
երկյուղածաբար	j ɛ ɾ k j u ʁ ɑ t͡s ɑ b ɑ ɾ
երկյուղածել	j ɛ ɾ k j u ʁ ɑ t͡s ɛ l
երկյուղածորեն	j ɛ ɾ k j u ʁ ɑ t͡s ɔ ɾ ɛ n
երկյուղածություն	j ɛ ɾ k j u ʁ ɑ t͡s u tʰ j u n
երկյուղահար	j ɛ ɾ k j u ʁ ɑ h ɑ ɾ
երկյուղամիտ	j ɛ ɾ k j u ʁ ɑ m i t
երկյուղավոր	j ɛ ɾ k j u ʁ ɑ v ɔ ɾ
երկյուղել	j ɛ ɾ k j u ʁ ɛ l
երկնագույն	j ɛ ɾ k n ɑ ɡ u j n
երկնաթռիչ	j ɛ ɾ k n ɑ tʰ ə r i t͡ʃʰ
երկնակամար	j ɛ ɾ k n ɑ k ɑ m ɑ ɾ
երկնակառույց	j ɛ ɾ k n ɑ k ɑ r u j t͡sʰ
երկնաքար	j ɛ ɾ k n ɑ kʰ ɑ ɾ
երկնաքեր	j ɛ ɾ k n ɑ kʰ ɛ ɾ
երկնչել	j ɛ ɾ k ə n t͡ʃʰ ɛ l
երկնչոտ	j ɛ ɾ k ə n t͡ʃʰ ɔ t
երկոտանի	j ɛ ɾ k ɔ t ɑ n i
երկու	j ɛ ɾ k u
երկունք	j ɛ ɾ k u ŋ kʰ
երկուշաբթի	j ɛ ɾ k u ʃ ɑ pʰ tʰ i
երկուս	j ɛ ɾ k u s
երկչոտ	j ɛ ɾ k t͡ʃʰ ɔ t
երկսայր	j ɛ ɾ k s ɑ j ɾ
երկսայրի	j ɛ ɾ k s ɑ j ɾ i
երկվայրկյան	j ɛ ɾ k v ɑ j ɾ k j ɑ n
երկվայրկյան	j ɛ ɾ k v ɑ ɾ k j ɑ n
երկվորյակ	j ɛ ɾ k v ɔ ɾ j ɑ k
երկվորյակներ	j ɛ ɾ k v ɔ ɾ j ɑ k n ɛ ɾ
երկրաբան	j ɛ ɾ k ɾ ɑ b ɑ n
երկրաբանություն	j ɛ ɾ k ɾ ɑ b ɑ n u tʰ j u n
երկրագունդ	j ɛ ɾ k ɾ ɑ ɡ u n d
երկրաշարժ	j ɛ ɾ k ɾ ɑ ʃ ɑ ɾ ʒ
երկրաչափական	j ɛ ɾ k ɾ ɑ t͡ʃʰ ɑ pʰ ɑ k ɑ n
երկրաչափություն	j ɛ ɾ k ɾ ɑ t͡ʃʰ ɑ pʰ u tʰ j u n
երկրորդ	j ɛ k ɾ ɔ ɾ tʰ
երկրորդ	j ɛ ɾ k ɾ ɔ ɾ tʰ
երկրպագու	j ɛ ɾ k ə ɾ p ɑ ɡ u
երնեկ	j ɛ ɾ n ɛ k
երնջակ	j ɛ ɾ ə n d͡ʒ ɑ k
երնջնակ	j ɛ ɾ ə n d͡ʒ n ɑ k
երշիկ	j ɛ ɾ ʃ i k
երուսաղեմ	j ɛ ɾ u s ɑ ʁ ɛ m
երջանիկ	j ɛ ɾ d͡ʒ ɑ n i k
երջանկահիշատակ	j ɛ ɾ d͡ʒ ɑ ŋ k ɑ h i ʃ ɑ t ɑ k
երջանկություն	j ɛ ɾ d͡ʒ ɑ ŋ k u tʰ j u n
երվազ	j ɛ ɾ v ɑ z
երվանդ	j ɛ ɾ v ɑ n d
երվինյան	j ɛ ɾ v i n j ɑ n
երրորդ	j ɛ ɾː ɔ ɾ tʰ
եւս	j ɛ v ə s
եփել	j ɛ pʰ ɛ l
եփեսոս	j ɛ pʰ ɛ s ɔ s
եփրատ	j ɛ pʰ ɾ ɑ t
եփրեմ	j ɛ pʰ ɾ ɛ m
եք	ɛ kʰ
եքիդնա	j ɛ kʰ i d n ɑ
զ	z ə
զա	z ɑ
զագրեբ	z ɑ ɡ ɾ ɛ b
զազայերեն	z ɑ z ɑ j ɛ ɾ ɛ n
զազրոտի	z ɑ z ɾ ɔ t i
զալում	z ɑ l u m
զալցբուրգ	z ɑ l t͡sʰ b u ɾ ɡ
զահմաթ	z ɑ h m ɑ tʰ
զահմեթ	z ɑ h m ɛ tʰ
զաղար	z ɑ ʁ ɑ ɾ
զամբիա	z ɑ m b j ɑ
զամբիկ	z ɑ m b i k
զամբյուղ	z ɑ m b j u ʁ
զայրույթ	z ɑ j ɾ u j tʰ
զայրուց	z ɑ j ɾ u t͡sʰ
զայրուցք	z ɑ j ɾ u t͡sʰ kʰ
զանազան	z ɑ n ɑ z ɑ n
զանգ	z ɑ ŋ ɡ
զանգակ	z ɑ ŋ ɡ ɑ k
զանգակածաղիկ	z ɑ ŋ ɡ ɑ k ɑ t͡s ɑ ʁ i k
զանգակատուն	z ɑ ŋ ɡ ɑ k ɑ t u n
զանգահարել	z ɑ ŋ ɡ ɑ h ɑ ɾ ɛ l
զանգապան	z ɑ ŋ ɡ ɑ p ɑ n
զանգել	z ɑ ŋ ɡ ɛ l
զանգի	z ɑ ŋ ɡ i
զանգված	z ɑ ŋ ɡ v ɑ t͡s
զանգվածային	z ɑ ŋ ɡ v ɑ t͡s ɑ j i n
զանջաֆիլ	z ɑ n d͡ʒ ɑ f i l
զապորոժիե	z ɑ p ɔ ɾ ɔ ʒ j ɛ
զառ	z ɑ r
զառամ	z ɑ r ɑ m
զառամանալ	z ɑ r ɑ m ɑ n ɑ l
զառամել	z ɑ r ɑ m ɛ l
զառամյալ	z ɑ r ɑ m j ɑ l
զառանցանք	z ɑ r ɑ n t͡sʰ ɑ ŋ kʰ
զառանցել	z ɑ r ɑ n t͡sʰ ɛ l
զառիկ	z ɑ r i k
զավակ	z ɑ v ɑ k
զավեն	z ɑ v ɛ n
զավեշտ	z ɑ v ɛ ʃ t
զավեշտական	z ɑ v ɛ ʃ t ɑ k ɑ n
զավեշտային	z ɑ v ɛ ʃ t ɑ j i n
զավթել	z ɑ f tʰ ɛ l
զավտրիկ	z ɑ f t ɾ i k
զատ	z ɑ t
զատել	z ɑ t ɛ l
զատիկ	z ɑ t i k
զարար	z ɑ ɾ ɑ ɾ
զարբաբ	z ɑ ɾ b ɑ b
զարգանալ	z ɑ ɾ ɡ ɑ n ɑ l
զարգացում	z ɑ ɾ ɡ ɑ t͡sʰ u m
զարդ	z ɑ ɾ tʰ
զարդասեղ	z ɑ ɾ tʰ ɑ s ɛ ʁ
զարդարանք	z ɑ ɾ tʰ ɑ ɾ ɑ ŋ kʰ
զարդարել	z ɑ ɾ tʰ ɑ ɾ ɛ l
զարդարուն	z ɑ ɾ tʰ ɑ ɾ u n
զարդենի	z ɑ ɾ tʰ ɛ n i
զարեհ	z ɑ ɾ ɛ h
զարթնել	z ɑ ɾ tʰ n ɛ l
զարթոնք	z ɑ ɾ tʰ ɔ ŋ kʰ
զարթուցիչ	z ɑ ɾ tʰ u t͡sʰ i t͡ʃʰ
զարկ	z ɑ ɾ k
զարկել	z ɑ ɾ k ɛ l
զարկերակ	z ɑ ɾ k ɛ ɾ ɑ k
զարհուր	z ɑ ɾ h u ɾ
զարհուրաբեր	z ɑ ɾ h u ɾ ɑ b ɛ ɾ
զարհուրագին	z ɑ ɾ h u ɾ ɑ ɡ i n
զարհուրադեմ	z ɑ ɾ h u ɾ ɑ d ɛ m
զարհուրական	z ɑ ɾ h u ɾ ɑ k ɑ n
զարհուրաձայն	z ɑ ɾ h u ɾ ɑ d͡z ɑ j n
զարհուրանք	z ɑ ɾ h u ɾ ɑ ŋ kʰ
զարհուրատես	z ɑ ɾ h u ɾ ɑ t ɛ s
զարհուրատեսք	z ɑ ɾ h u ɾ ɑ t ɛ s kʰ
զարհուրել	z ɑ ɾ h u ɾ ɛ l
զարհուրելի	z ɑ ɾ h u ɾ ɛ l i
զարհուրեցնել	z ɑ ɾ h u ɾ ɛ t͡sʰ n ɛ l
զարհուրեցնող	z ɑ ɾ h u ɾ ɛ t͡sʰ n ɔ ʁ
զարհուրեցուցիչ	z ɑ ɾ h u ɾ ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
զարհուրիկ	z ɑ ɾ h u ɾ i k
զարհուրկոտ	z ɑ ɾ h u ɾ k ɔ t
զարհուրյալ	z ɑ ɾ h u ɾ j ɑ l
զարհուրում	z ɑ ɾ h u ɾ u m
զարմ	z ɑ ɾ m
զարմանալ	z ɑ ɾ m ɑ n ɑ l
զարմանք	z ɑ ɾ m ɑ ŋ kʰ
զարմացած	z ɑ ɾ m ɑ t͡sʰ ɑ t͡s
զարմացնել	z ɑ ɾ m ɑ t͡sʰ n ɛ l
զարմիկ	z ɑ ɾ m i k
զարմուհի	z ɑ ɾ m u h i
զարուհի	z ɑ ɾ u h i
զաքարիա	z ɑ kʰ ɑ ɾ j ɑ
զաքարյան	z ɑ kʰ ɑ ɾ j ɑ n
զաֆրան	z ɑ f ɾ ɑ n
զբաղեցնել	ə z b ɑ ʁ ɛ t͡sʰ n ɛ l
զբաղվել	ə z b ɑ ʁ v ɛ l
զբոսանավ	ə z b ɔ s ɑ n ɑ v
զբոսանք	ə z b ɔ s ɑ ŋ kʰ
զբոսաշրջիկ	ə z b ɔ s ɑ ʃ ə ɾ d͡ʒ i k
զբոսաշրջություն	ə z b ɔ s ɑ ʃ ə ɾ d͡ʒ u tʰ j u n
զբոսարշավ	ə z b ɔ s ɑ ɾ ʃ ɑ v
զբոսնել	ə z b ɔ s n ɛ l
զգալ	ə z ɡ ɑ l
զգածվել	ə z ɡ ɑ t͡s v ɛ l
զգայապատրանք	ə z ɡ ɑ j ɑ p ɑ t ɾ ɑ ŋ kʰ
զգայարան	ə z ɡ ɑ j ɑ ɾ ɑ n
զգայռում	ə z ɡ ɑ j r u m
զգաստ	ə z ɡ ɑ s t
զգաստամիտ	ə z ɡ ɑ s t ɑ m i t
զգաստություն	ə z ɡ ɑ s t u tʰ j u n
զգացմունք	ə z ɡ ɑ t͡sʰ m u ŋ kʰ
զգացում	ə z ɡ ɑ t͡sʰ u m
զգացվել	ə z ɡ ɑ t͡sʰ v ɛ l
զգենալ	ə z ɡ ɛ n ɑ l
զգեստ	ə z ɡ ɛ s t
զգեստապահարան	ə z ɡ ɛ s t ɑ p ɑ h ɑ ɾ ɑ n
զգետնել	ə z ɡ ɛ t n ɛ l
զգոն	ə z ɡ ɔ n
զգոնություն	ə z ɡ ɔ n u tʰ j u n
զգույշ	ə z ɡ u j ʃ
զգուշանալ	ə z ɡ u ʃ ɑ n ɑ l
զգուշացում	ə z ɡ u ʃ ɑ t͡sʰ u m
զեբր	z ɛ b ə ɾ
զեխ	z ɛ χ
զեկույց	z ɛ k u j t͡sʰ
զեղել	z ɛ ʁ ɛ l
զեղխ	z ɛ χː
զեղծել	z ɛ χ t͡s ɛ l
զեղուն	z ɛ ʁ u n
զեղչ	z ɛ χ t͡ʃʰ
զեղչել	z ɛ χ t͡ʃʰ ɛ l
զեղջ	z ɛ ʁ d͡ʒ
զեյթուն	z ɛ j tʰ u n
զենել	z ɛ n ɛ l
զենիթ	z ɛ n i tʰ
զենոն	z ɛ n ɔ n
զենք	z ɛ ŋ kʰ
զեռալ	z ɛ r ɑ l
զեռուն	z ɛ r u n
զետեղել	z ɛ t ɛ ʁ ɛ l
զերդ	z ɛ ɾ tʰ
զերե	z ɛ ɾ ɛ
զերծ	z ɛ ɾ t͡s
զեւս	z ɛ f s
զեփյուռ	z ɛ pʰ j u r
զզվանք	z ə z v ɑ ŋ kʰ
զզվել	z ə z v ɛ l
զզվելի	z ə z v ɛ l i
զիբիլ	z i b i l
զիբիլանոց	z i b i l ɑ n ɔ t͡sʰ
զիբիլի	z i b i l i
զիգզագ	z i ɡ z ɑ ɡ
զիլճյան	z i l t͡ʃ j ɑ n
զիմբաբվե	z i m b ɑ b v ɛ
զինադադար	z i n ɑ d ɑ tʰ ɑ ɾ
զինաթափություն	z i n ɑ tʰ ɑ pʰ u tʰ j u n
զինամթերք	z i n ɑ m ə tʰ ɛ ɾ kʰ
զինանշան	z i n ɑ n ə ʃ ɑ n
զինանոց	z i n ɑ n ɔ t͡sʰ
զինել	z i n ɛ l
զինծառայող	z i n t͡s ɑ r ɑ j ɔ ʁ
զինված	z i n v ɑ t͡s
զինվել	z i n v ɛ l
զինվոր	z i n v ɔ ɾ
զինվորական	z i n v ɔ ɾ ɑ k ɑ n
զինվորականություն	z i n v ɔ ɾ ɑ k ɑ n u tʰ j u n
զիջում	z i t͡ʃʰ u m
զիստ	z i s t
զխկտել	z ə χ k ə t ɛ l
զկեռ	z ə k ɛ r
զղջալ	z ə ʁ d͡ʒ ɑ l
զղջալ	z ə χ t͡ʃʰ ɑ l
զմյուռնիա	z m j u r n j ɑ
զմռնենի	z ə m ə r n ɛ n i
զմռնիտ	z ə m ə r n i t
զմրութ	z ə m ɾ u tʰ
զմրուխտ	z ə m ɾ u χ t
զնդան	z ə n d ɑ n
զննել	z ə nː ɛ l
զննող	z ə nː ɔ ʁ
զնջիլ	z ə n d͡ʒ i l
զոդ	z ɔ d
զոդել	z ɔ d ɛ l
զոդող	z ɔ d ɔ ʁ
զոդում	z ɔ d u m
զոհ	z ɔ h
զոհասեղան	z ɔ h ɑ s ɛ ʁ ɑ n
զոհվել	z ɔ h v ɛ l
զոհրաբ	z ɔ h ɾ ɑ b
զողալ	z ɔ ʁ ɑ l
զոմբի	z ɔ m b i
զոյա	z ɔ j ɑ
զոշաքաղություն	z ɔ ʃ ɑ kʰ ɑ ʁ u tʰ j u n
զոոխորիա	z ɔ ɔ χ ɔ ɾ j ɑ
զոռ	z ɔ r
զոռով	z ɔ r ɔ v
զով	z ɔ v
զոր	z ɔ ɾ
զորախումբ	z ɔ ɾ ɑ χ u m b
զորահավաք	z ɔ ɾ ɑ h ɑ v ɑ kʰ
զորավար	z ɔ ɾ ɑ v ɑ ɾ
զորավարժություն	z ɔ ɾ ɑ v ɑ ɾ ʒ u tʰ j u n
զորավոր	z ɔ ɾ ɑ v ɔ ɾ
զորեղ	z ɔ ɾ ɛ ʁ
զորիկ	z ɔ ɾ i k
զորություն	z ɔ ɾ u tʰ j u n
զորք	z ɔ ɾ kʰ
զուբրիտ	z u b ɾ i t
զուգաբարձ	z u ɡ ɑ b ɑ ɾ t͡sʰ
զուգադիպություն	z u ɡ ɑ d i p u tʰ j u n
զուգահեռ	z u ɡ ɑ h ɛ r
զուգահեռագիծ	z u ɡ ɑ h ɛ r ɑ ɡ i t͡s
զուգահեռանիստ	z u ɡ ɑ h ɛ r ɑ n i s t
զուգաձայն	z u ɡ ɑ d͡z ɑ j n
զուգարան	z u kʰ ɑ ɾ ɑ n
զուգել	z u kʰ ɛ l
զուգվել	z u kʰ v ɛ l
զութխի	z u tʰ χ i
զուլու	z u l u
զույգ	z u j kʰ
զուռնա	z u r n ɑ
զուսպ	z u s p
զուտ	z u t
զուր	z u ɾ
զուրկ	z u ɾ k
զոքանչ	z ɔ kʰ ɑ n t͡ʃʰ
զսպանակ	z ə s p ɑ n ɑ k
զսպաշապիկ	z ə s p ɑ ʃ ɑ p i k
զսպել	z ə s p ɛ l
զվարակ	z ə v ɑ ɾ ɑ k
զվարթ	z ə v ɑ ɾ tʰ
զվարճախոսել	z ə v ɑ ɾ t͡ʃ ɑ χ ɔ s ɛ l
զվարճանալ	z ə v ɑ ɾ t͡ʃ ɑ n ɑ l
զվարճանք	z ə v ɑ ɾ t͡ʃ ɑ ŋ kʰ
զվարճացնել	z ə v ɑ ɾ t͡ʃ ɑ t͡sʰ n ɛ l
զվարճություն	z ə v ɑ ɾ t͡ʃ u tʰ j u n
զտել	z ə t ɛ l
զրադաշտ	z ə ɾ ɑ d ɑ ʃ t
զրահ	z ə ɾ ɑ h
զրահաբաճկոն	z ə ɾ ɑ h ɑ b ɑ t͡ʃ k ɔ n
զրահակիր	z ə ɾ ɑ h ɑ k i ɾ
զրահամորթ	z ə ɾ ɑ h ɑ m ɔ ɾ tʰ
զրահավոր	z ə ɾ ɑ h ɑ v ɔ ɾ
զրիշկ	z ə ɾ i ʃ k
զրկել	z ə ɾ k ɛ l
զրնգալ	z ə ɾ ə ŋ ɡ ɑ l
զրո	z ə ɾ ɔ
զրույց	z ə ɾ u j t͡sʰ
զրուցարան	z ə ɾ u t͡sʰ ɑ ɾ ɑ n
զրուցել	z ə ɾ u t͡sʰ ɛ l
է	j ɛ
է	ɛ
էակ	ɛ j ɑ k
էական	ɛ j ɑ k ɑ n
էբերդին	ɛ b ɛ ɾ d i n
էգ	ɛ kʰ
էգուց	ɛ kʰ u t͡sʰ
էդ	ɛ d
էդգար	ɛ d ɡ ɑ ɾ
էդմոն	ɛ d m ɔ n
էդո	ɛ d ɔ
էդուլ	ɛ d u l
էդուլիկ	ɛ d u l i k
էդվարդ	ɛ d v ɑ ɾ tʰ
էթալ	ɛ tʰ ɑ l
էթիկա	ɛ tʰ i k ɑ
էթնիկ	ɛ tʰ n i k
էժան	ɛ ʒ ɑ n
էլ	ɛ l
էլար	ɛ l ɑ ɾ
էլբակյան	ɛ l b ɑ k j ɑ n
էլեկտրական	ɛ l ɛ k t ɾ ɑ k ɑ n
էլեկտրականություն	ɛ l ɛ k t ɾ ɑ k ɑ n u tʰ j u n
էլեկտրաշոկ	ɛ l ɛ k t ɾ ɑ ʃ ɔ k
էլեկտրոդ	ɛ l ɛ k t ɾ ɔ d
էլեկտրոլիզ	ɛ l ɛ k t ɾ ɔ l i z
էլեկտրոն	ɛ l ɛ k t ɾ ɔ n
էլեկտրոնային	ɛ l ɛ k t ɾ ɔ n ɑ j i n
էլեմենտ	ɛ l ɛ m ɛ n t
էլեմենտար	ɛ l ɛ m ɛ n t ɑ ɾ
էլեն	ɛ l ɛ n
էլզաս	ɛ l z ɑ s
էլզասցի	ɛ l z ɑ s t͡sʰ i
էլիպս	ɛ l i p s
էլիստա	ɛ l i s t ɑ
էլչիբեյ	ɛ l t͡ʃʰ i b ɛ j
էծ	ɛ t͡s
էկոլոգիա	ɛ k ɔ l ɔ ɡ j ɑ
էկող	ɛ k ɔ ʁ
էկոնոմիկա	ɛ k ɔ n ɔ m i k ɑ
էկվադոր	ɛ k v ɑ d ɔ ɾ
էկրան	ɛ k ɾ ɑ n
էղնել	ɛ ʁ n ɛ l
էմիգրանտ	ɛ m i ɡ ɾ ɑ n t
էմին	ɛ m i n
էմիր	ɛ m i ɾ
էմիրություն	ɛ m i ɾ u tʰ j u n
էմիրություններ	ɛ m i ɾ u tʰ j u nː ɛ ɾ
էմոցիա	ɛ m ɔ t͡sʰ j ɑ
էմպեդոկլես	ɛ m p ɛ d ɔ k l ɛ s
էյնշտեյնիում	ɛ j n ʃ t ɛ j n i j u m
էն	ɛ n
էնգելս	ɛ ŋ ɡ ɛ l s
էներգիա	ɛ n ɛ ɾ ɡ j ɑ
էնցեֆալիտ	ɛ n t͡sʰ ɛ f ɑ l i t
էնֆիաջյան	ɛ n f i j ɑ d͡ʒ j ɑ n
էշ	ɛ ʃ
էշայծյամ	ɛ ʃ ɑ j t͡s j ɑ m
էություն	ɛ u tʰ j u n
էպիկենտրոն	ɛ p i k ɛ n t ɾ ɔ n
էպիկուր	ɛ p i k u ɾ
էպիրոս	ɛ p i ɾ ɔ s
էպոս	ɛ p ɔ s
էջ	ɛ d͡ʒ
էջանիշ	ɛ d͡ʒ ɑ n i ʃ
էջմիածին	ɛ t͡ʃʰ m j ɑ t͡s i n
էս	ɛ s
էսկալացիա	ɛ s k ɑ l ɑ t͡sʰ j ɑ
էսպերանտո	ɛ s p ɛ ɾ ɑ n t ɔ
էսսե	ɛ sː ɛ
էստոնական	ɛ s t ɔ n ɑ k ɑ n
էստոնացի	ɛ s t ɔ n ɑ t͡sʰ i
էստոներեն	ɛ s t ɔ n ɛ ɾ ɛ n
էստոնիա	ɛ s t ɔ n j ɑ
էսքիլես	ɛ s kʰ i l ɛ s
էսօր	ɛ s ɔ ɾ
էվթանազիա	ɛ f tʰ ɑ n ɑ z j ɑ
էվոլյուցիա	ɛ v ɔ l j u t͡sʰ j ɑ
էվոլյուցիոն	ɛ v ɔ l j u t͡sʰ j ɔ n
էտ	ɛ t
էտել	ɛ t ɛ l
էտրուսկ	ɛ t ɾ u s k
էտրուսկերեն	ɛ t ɾ u s k ɛ ɾ ɛ n
էտրուսկյան	ɛ t ɾ u s k j ɑ n
էրե	ɛ ɾ ɛ
էրեբունի	ɛ ɾ ɛ b u n i
էրեխա	ɛ ɾ ɛ χ ɑ
էրեկ	ɛ ɾ ɛ k
էրեկցիա	ɛ ɾ ɛ k t͡sʰ j ɑ
էրես	ɛ ɾ ɛ s
էրզրում	ɛ ɾ z ə ɾ u m
էրիկ	ɛ ɾ i k
էրիտրեա	ɛ ɾ i t ɾ ɛ ɑ
էրկաթ	ɛ ɾ k ɑ tʰ
էրկու	ɛ ɾ k u
էրնջակ	ɛ ɾ ə n d͡ʒ ɑ k
էրունջէկ	ɛ ɾ u n d͡ʒ ɛ k
էքսպերիմենտալ	ɛ kʰ s p ɛ ɾ i m ɛ n t ɑ l
էքսպերտ	ɛ kʰ s p ɛ ɾ t
էքստրեմիստ	ɛ kʰ s t ɾ ɛ m i s t
էֆենդի	ɛ f ɛ n d i
ը	ə
ըթ	ə tʰ
ըլլալ	ə lː ɑ l
ըլնել	ə l n ɛ l
ըղձալ	ə ʁ d͡z ɑ l
ըղձական	ə ʁ d͡z ɑ k ɑ n
ըմբիշ	ə m b i ʃ
ըմբշամարտ	ə m b ʃ ɑ m ɑ ɾ t
ըմբշամարտություն	ə m pʰ ʃ ɑ m ɑ ɾ t u tʰ j u n
ըմբոստ	ə m b ɔ s t
ըմպակ	ə m p ɑ k
ըմպանակ	ə m p ɑ n ɑ k
ըմպել	ə m p ɛ l
ըմպելիք	ə m p ɛ l i kʰ
ընգնել	ə ŋ ɡ n ɛ l
ընդամենը	ə n tʰ ɑ m ɛ n ə
ընդավոր	ə n d ɑ v ɔ ɾ
ընդարձակ	ə n tʰ ɑ ɾ t͡sʰ ɑ k
ընդարմանալ	ə n tʰ ɑ ɾ m ɑ n ɑ l
ընդգծել	ə n d ɡ ə t͡s ɛ l
