ͷ	t͡sʼ
ξενοφόντειοσ	k s e n o f o n d i o s
ξενοφόντειοσ	k s e n o f o n t i o s
ξενοφόντειοσ	k s e n o pʰ ó n t eː o s
ξενοφόντειοσ	k s e n o ɸ o n t i o s
ξενοφόντειοσ	k s ɛ n o pʰ o n t i o s
ξενοφύλαξ	k s e n o f i l a k s
ξενοφύλαξ	k s e n o f y l a k s
ξενοφύλαξ	k s e n o pʰ ý l a k s
ξενοφύλαξ	k s e n o ɸ y l a k s
ξενοφύλαξ	k s ɛ n o pʰ y l a k s
ξενοφώντειοσ	k s e n o f o n d i o s
ξενοφώντειοσ	k s e n o f o n t i o s
ξενοφώντειοσ	k s e n o pʰ ɔ̌ː n t eː o s
ξενοφώντειοσ	k s e n o ɸ o n t i o s
ξενοφώντειοσ	k s ɛ n o pʰ o n t i o s
ξενῶν	k s e n o n
ξενῶν	k s e n ɔ̂ː n
ξενῶν	k s ɛ n o n
ξεστήν	k s e s t i n
ξεστήν	k s e s t ɛ̌ː n
ξεστήν	k s ɛ s t e n
ξεστόσ	k s e s t o s
ξεστόσ	k s e s t ó s
ξεστόσ	k s ɛ s t o s
ξηνόσ	k s e n o s
ξηνόσ	k s i n o s
ξηνόσ	k s ɛː n ó s
ξηρίον	k s e r i o n
ξηρίον	k s i r i o n
ξηρίον	k s ɛː r í o n
ξηρόσ	k s e r o s
ξηρόσ	k s i r o s
ξηρόσ	k s ɛː r ó s
ξῖ	k s i
ξῖ	k s îː
ξιφία	k s i f i a
ξιφία	k s i pʰ i a
ξιφία	k s i pʰ í aː
ξιφία	k s i ɸ i a
ξιφίασ	k s i f i a s
ξιφίασ	k s i pʰ i a s
ξιφίασ	k s i pʰ í aː s
ξιφίασ	k s i ɸ i a s
ξιφοδρέπανον	k s i f o ð r e p a n o n
ξιφοδρέπανον	k s i pʰ o d r é p a n o n
ξιφοδρέπανον	k s i pʰ o d r ɛ p a n o n
ξιφοδρέπανον	k s i ɸ o ð r e p a n o n
ξιφοθήκη	k s i f o θ i c i
ξιφοθήκη	k s i pʰ o tʰ e k e
ξιφοθήκη	k s i pʰ o tʰ ɛ̌ː k ɛː
ξιφοθήκη	k s i ɸ o θ i k i
ξιφομάχαιρα	k s i f o m a ç e r a
ξιφομάχαιρα	k s i pʰ o m a kʰ ɛ r a
ξιφομάχαιρα	k s i pʰ o m á kʰ a i̯ r a
ξιφομάχαιρα	k s i ɸ o m a x ɛ r a
ξοῦθοσ	k s u tʰ o s
ξοῦθοσ	k s u θ o s
ξοῦθοσ	k s ôː tʰ o s
ξουθόσ	k s oː tʰ ó s
ξουθόσ	k s u tʰ o s
ξουθόσ	k s u θ o s
ξυήλη	k s i i l i
ξυήλη	k s y e l e
ξυήλη	k s y i l i
ξυήλη	k s y ɛ̌ː l ɛː
ξυγγενέσ	k s i ɲ ɟ e n e s
ξυγγενέσ	k s y ŋ ɡ e n e s
ξυγγενέσ	k s y ŋ ɡ e n é s
ξυγγενέσ	k s y ŋ ɡ ɛ n ɛ s
ξυγγενέσ	k s y ɲ ɟ e n e s
ξυγγενήσ	k s i ɲ ɟ e n i s
ξυγγενήσ	k s y ŋ ɡ e n i s
ξυγγενήσ	k s y ŋ ɡ e n ɛ̌ː s
ξυγγενήσ	k s y ŋ ɡ ɛ n e s
ξυγγενήσ	k s y ɲ ɟ e n i s
ξυγγράφω	k s i ŋ ɡ r a f o
ξυγγράφω	k s y ŋ ɡ r a f o
ξυγγράφω	k s y ŋ ɡ r a pʰ o
ξυγγράφω	k s y ŋ ɡ r a ɸ o
ξυγγράφω	k s y ŋ ɡ r á pʰ ɔː
ξυλαλόη	k s i l a l o i
ξυλαλόη	k s y l a l o e
ξυλαλόη	k s y l a l o i
ξυλαλόη	k s y l aː l ó ɛː
ξυλεία	k s i l i a
ξυλεία	k s y l i a
ξυλεία	k s y l ěː aː
ξυλική	k s i l i c i
ξυλική	k s y l i c i
ξυλική	k s y l i k e
ξυλική	k s y l i k i
ξυλική	k s y l i k ɛ̌ː
ξυλικόσ	k s i l i k o s
ξυλικόσ	k s y l i k o s
ξυλικόσ	k s y l i k ó s
ξυλλαμβάνω	k s i l a m b a n o
ξυλλαμβάνω	k s y l l a m b a n o
ξυλλαμβάνω	k s y l l a m b á n ɔː
ξυλληφθῆναι	k s i l i f θ i n e
ξυλληφθῆναι	k s y l l e pʰ tʰ e n ɛ
ξυλληφθῆναι	k s y l l i f θ i n e
ξυλληφθῆναι	k s y l l i ɸ θ i n ɛ
ξυλληφθῆναι	k s y l l ɛː pʰ tʰ ɛ̂ː n a i̯
ξυλοθήκη	k s i l o θ i c i
ξυλοθήκη	k s y l o tʰ e k e
ξυλοθήκη	k s y l o tʰ ɛ̌ː k ɛː
ξυλοθήκη	k s y l o θ i c i
ξυλοθήκη	k s y l o θ i k i
ξυλοκόποσ	k s i l o k o p o s
ξυλοκόποσ	k s y l o k o p o s
ξυλοκόποσ	k s y l o k ó p o s
ξυμβάσει	k s i m b a s i
ξυμβάσει	k s y m b a s i
ξυμβάσει	k s y m b á s eː
ξυμβάσεωσ	k s i m b a s e o s
ξυμβάσεωσ	k s y m b a s e o s
ξυμβάσεωσ	k s y m b a s ɛ o s
ξυμβάσεωσ	k s y m b á s e ɔː s
ξυμβαίνει	k s i m b e n i
ξυμβαίνει	k s y m b e n i
ξυμβαίνει	k s y m b ǎ i̯ n eː
ξυμβαίνει	k s y m b ɛ n i
ξυμβαίνω	k s i m b e n o
ξυμβαίνω	k s y m b e n o
ξυμβαίνω	k s y m b ǎ i̯ n ɔː
ξυμβαίνω	k s y m b ɛ n o
ξυμβῆναι	k s i m b i n e
ξυμβῆναι	k s y m b e n ɛ
ξυμβῆναι	k s y m b i n e
ξυμβῆναι	k s y m b i n ɛ
ξυμβῆναι	k s y m b ɛ̂ː n a i̯
ξυμμάχοισ	k s i m a ç i s
ξυμμάχοισ	k s y m m a kʰ y s
ξυμμάχοισ	k s y m m a x y s
ξυμμάχοισ	k s y m m a ç y s
ξυμμάχοισ	k s y m m á kʰ o i̯ s
ξυμμάχουσ	k s i m a x u s
ξυμμάχουσ	k s y m m a kʰ u s
ξυμμάχουσ	k s y m m a x u s
ξυμμάχουσ	k s y m m á kʰ oː s
ξυμμάχων	k s i m a x o n
ξυμμάχων	k s y m m a kʰ o n
ξυμμάχων	k s y m m a x o n
ξυμμάχων	k s y m m á kʰ ɔː n
ξυμμένω	k s i m e n o
ξυμμένω	k s y m m e n o
ξυμμένω	k s y m m é n ɔː
ξυμμένω	k s y m m ɛ n o
ξυμμαχία	k s i m a ç i a
ξυμμαχία	k s y m m a kʰ i a
ξυμμαχία	k s y m m a kʰ í aː
ξυμμαχία	k s y m m a x i a
ξυμμαχία	k s y m m a ç i a
ξυμμαχίαν	k s i m a ç i a n
ξυμμαχίαν	k s y m m a kʰ i a n
ξυμμαχίαν	k s y m m a kʰ í aː n
ξυμμαχίαν	k s y m m a x i a n
ξυμμαχίαν	k s y m m a ç i a n
ξυμμαχίασ	k s i m a ç i a s
ξυμμαχίασ	k s y m m a kʰ i a s
ξυμμαχίασ	k s y m m a kʰ í aː s
ξυμμαχίασ	k s y m m a x i a s
ξυμμαχίασ	k s y m m a ç i a s
ξυμμαχικόν	k s i m a ç i k o n
ξυμμαχικόν	k s y m m a kʰ i k o n
ξυμμαχικόν	k s y m m a kʰ i k ó n
ξυμμαχικόν	k s y m m a x i k o n
ξυμμαχικόν	k s y m m a ç i k o n
ξυμμαχικόσ	k s i m a ç i k o s
ξυμμαχικόσ	k s y m m a kʰ i k o s
ξυμμαχικόσ	k s y m m a kʰ i k ó s
ξυμμαχικόσ	k s y m m a x i k o s
ξυμμαχικόσ	k s y m m a ç i k o s
ξυμπάσησ	k s i m b a s i s
ξυμπάσησ	k s y m p a s e s
ξυμπάσησ	k s y m p a s i s
ξυμπάσησ	k s y m p ǎː s ɛː s
ξυμπλέω	k s i m b l e o
ξυμπλέω	k s y m p l e o
ξυμπλέω	k s y m p l é ɔː
ξυμπλέω	k s y m p l ɛ o
ξυμπλεῖν	k s i m b l i n
ξυμπλεῖν	k s y m p l i n
ξυμπλεῖν	k s y m p l êː n
ξυμπολεμέω	k s i m b o l e m e o
ξυμπολεμέω	k s y m p o l e m e o
ξυμπολεμέω	k s y m p o l e m é ɔː
ξυμπολεμέω	k s y m p o l ɛ m ɛ o
ξυμπολεμήσαντεσ	k s i m b o l e m i s a n d e s
ξυμπολεμήσαντεσ	k s y m p o l e m i s a n t e s
ξυμπολεμήσαντεσ	k s y m p o l e m ɛ̌ː s a n t e s
ξυμπολεμήσαντεσ	k s y m p o l ɛ m e s a n t ɛ s
ξυμπολεμήσασ	k s i m b o l e m i s a s
ξυμπολεμήσασ	k s y m p o l e m i s a s
ξυμπολεμήσασ	k s y m p o l e m ɛ̌ː s aː s
ξυμπολεμήσασ	k s y m p o l ɛ m e s a s
ξυμπολεμησάντων	k s i m b o l e m i s a n d o n
ξυμπολεμησάντων	k s y m p o l e m i s a n t o n
ξυμπολεμησάντων	k s y m p o l e m ɛː s á n t ɔː n
ξυμπολεμησάντων	k s y m p o l ɛ m e s a n t o n
ξυμφέρω	k s i m f e r o
ξυμφέρω	k s y m f e r o
ξυμφέρω	k s y m pʰ é r ɔː
ξυμφέρω	k s y m pʰ ɛ r o
ξυμφέρω	k s y m ɸ e r o
ξυμφορά	k s i m f o r a
ξυμφορά	k s y m f o r a
ξυμφορά	k s y m pʰ o r a
ξυμφορά	k s y m pʰ o r ǎː
ξυμφορά	k s y m ɸ o r a
ξυμφοράν	k s i m f o r a n
ξυμφοράν	k s y m f o r a n
ξυμφοράν	k s y m pʰ o r a n
ξυμφοράν	k s y m pʰ o r ǎː n
ξυμφοράν	k s y m ɸ o r a n
ξυμφοράσ	k s i m f o r a s
ξυμφοράσ	k s y m f o r a s
ξυμφοράσ	k s y m pʰ o r a s
ξυμφοράσ	k s y m pʰ o r ǎː s
ξυμφοράσ	k s y m ɸ o r a s
ξυμφορᾶι	k s i m f o r a
ξυμφορᾶι	k s y m f o r a
ξυμφορᾶι	k s y m pʰ o r a
ξυμφορᾶι	k s y m pʰ o r âː i̯
ξυμφορᾶι	k s y m ɸ o r a
ξυμφορᾶσ	k s i m f o r a s
ξυμφορᾶσ	k s y m f o r a s
ξυμφορᾶσ	k s y m pʰ o r a s
ξυμφορᾶσ	k s y m pʰ o r âː s
ξυμφορᾶσ	k s y m ɸ o r a s
ξυμφοραί	k s i m f o r e
ξυμφοραί	k s y m f o r e
ξυμφοραί	k s y m pʰ o r ǎ i̯
ξυμφοραί	k s y m pʰ o r ɛ
ξυμφοραί	k s y m ɸ o r ɛ
ξυμφοραῖσ	k s i m f o r e s
ξυμφοραῖσ	k s y m f o r e s
ξυμφοραῖσ	k s y m pʰ o r â i̯ s
ξυμφοραῖσ	k s y m pʰ o r ɛ s
ξυμφοραῖσ	k s y m ɸ o r ɛ s
ξυμφορῶν	k s i m f o r o n
ξυμφορῶν	k s y m f o r o n
ξυμφορῶν	k s y m pʰ o r o n
ξυμφορῶν	k s y m pʰ o r ɔ̂ː n
ξυμφορῶν	k s y m ɸ o r o n
ξυνάγω	k s i n a ɣ o
ξυνάγω	k s y n a ɡ o
ξυνάγω	k s y n a ɣ o
ξυνάγω	k s y n á ɡ ɔː
ξυνέβη	k s i n e v i
ξυνέβη	k s y n e v i
ξυνέβη	k s y n e β i
ξυνέβη	k s y n é b ɛː
ξυνέβη	k s y n ɛ b e
ξυνέβησαν	k s i n e v i s a n
ξυνέβησαν	k s y n e v i s a n
ξυνέβησαν	k s y n e β i s a n
ξυνέβησαν	k s y n é b ɛː s a n
ξυνέβησαν	k s y n ɛ b e s a n
ξυνέγραψε	k s i n e ɣ r a p s e n
ξυνέγραψε	k s y n e ɣ r a p s e n
ξυνέγραψε	k s y n é ɡ r a p s e n
ξυνέγραψε	k s y n ɛ ɡ r a p s ɛ n
ξυνέγραψεν	k s i n e ɣ r a p s e n
ξυνέγραψεν	k s y n e ɣ r a p s e n
ξυνέγραψεν	k s y n é ɡ r a p s e n
ξυνέγραψεν	k s y n ɛ ɡ r a p s ɛ n
ξυνέθεσαν	k s i n e θ e s a n
ξυνέθεσαν	k s y n e θ e s a n
ξυνέθεσαν	k s y n é tʰ e s a n
ξυνέθεσαν	k s y n ɛ tʰ ɛ s a n
ξυνέμεινεν	k s i n e m i n e n
ξυνέμεινεν	k s y n e m i n e n
ξυνέμεινεν	k s y n é m eː n e n
ξυνέμεινεν	k s y n ɛ m i n ɛ n
ξυνέστη	k s i n e s t i
ξυνέστη	k s y n e s t i
ξυνέστη	k s y n é s t ɛː
ξυνέστη	k s y n ɛ s t e
ξυνήθη	k s i n i θ i
ξυνήθη	k s y n e tʰ e
ξυνήθη	k s y n i θ i
ξυνήθη	k s y n ɛ̌ː tʰ ɛː
ξυνήθησ	k s i n i θ i s
ξυνήθησ	k s y n e tʰ e s
ξυνήθησ	k s y n i θ i s
ξυνήθησ	k s y n ɛ̌ː tʰ ɛː s
ξυνίεσαν	k s i n i e s a n
ξυνίεσαν	k s y n i e s a n
ξυνίεσαν	k s y n i ɛ s a n
ξυνίεσαν	k s y n ǐː e s a n
ξυνίημι	k s i n i i m i
ξυνίημι	k s y n i e m i
ξυνίημι	k s y n i i m i
ξυνίημι	k s y n ǐː ɛː m i
ξυνίστημι	k s i n i s t i m i
ξυνίστημι	k s y n i s t e m i
ξυνίστημι	k s y n i s t i m i
ξυνίστημι	k s y n í s t ɛː m i
ξυναγαγών	k s i n a ɣ o ɣ o n
ξυναγαγών	k s y n a ɡ o ɡ o n
ξυναγαγών	k s y n a ɡ ɔː ɡ ɔ̌ː n
ξυναγαγών	k s y n a ɣ o ɣ o n
ξυνειδότων	k s i n i ð o t o n
ξυνειδότων	k s y n eː d ó t ɔː n
ξυνειδότων	k s y n i d o t o n
ξυνειδότων	k s y n i ð o t o n
ξυνειδώσ	k s i n i ð o s
ξυνειδώσ	k s y n eː d ɔ̌ː s
ξυνειδώσ	k s y n i d o s
ξυνειδώσ	k s y n i ð o s
ξυνειστήκεσαν	k s i n i s t i c e s a n
ξυνειστήκεσαν	k s y n eː s t ɛ̌ː k e s a n
ξυνειστήκεσαν	k s y n i s t e k ɛ s a n
ξυνειστήκεσαν	k s y n i s t i c e s a n
ξυνειστήκεσαν	k s y n i s t i k e s a n
ξυνενεχθῆναι	k s i n e n e x θ i n e
ξυνενεχθῆναι	k s y n e n e kʰ tʰ ɛ̂ː n a i̯
ξυνενεχθῆναι	k s y n e n e x θ i n e
ξυνενεχθῆναι	k s y n e n e x θ i n ɛ
ξυνενεχθῆναι	k s y n ɛ n ɛ kʰ tʰ e n ɛ
ξυνεξέρχομαι	k s i n e k s e r x o m e
ξυνεξέρχομαι	k s y n e k s e r x o m e
ξυνεξέρχομαι	k s y n e k s e r x o m ɛ
ξυνεξέρχομαι	k s y n e k s é r kʰ o m a i̯
ξυνεξέρχομαι	k s y n ɛ k s ɛ r kʰ o m ɛ
ξυνεξῆλθον	k s i n e k s i l θ o n
ξυνεξῆλθον	k s y n e k s i l θ o n
ξυνεξῆλθον	k s y n e k s ɛ̂ː l tʰ o n
ξυνεξῆλθον	k s y n ɛ k s e l tʰ o n
ξυνεχῶσ	k s i n e x o s
ξυνεχῶσ	k s y n e x o s
ξυνεχῶσ	k s y n ɛ kʰ o s
ξυνεχῶσ	k s yː n e kʰ ɔ̂ː s
ξυνηνέχθη	k s i n i n e x θ i
ξυνηνέχθη	k s y n e n ɛ kʰ tʰ e
ξυνηνέχθη	k s y n i n e x θ i
ξυνηνέχθη	k s y n ɛː n é kʰ tʰ ɛː
ξυνθάπτω	k s i n θ a p t o
ξυνθάπτω	k s y n tʰ a p t o
ξυνθάπτω	k s y n tʰ á p t ɔː
ξυνθάπτω	k s y n θ a p t o
ξυνιστάμενον	k s i n i s t a m e n o n
ξυνιστάμενον	k s y n i s t a m e n o n
ξυνιστάμενον	k s y n i s t a m ɛ n o n
ξυνιστάμενον	k s y n i s t á m e n o n
ξυνιστάμενοσ	k s i n i s t a m e n o s
ξυνιστάμενοσ	k s y n i s t a m e n o s
ξυνιστάμενοσ	k s y n i s t a m ɛ n o s
ξυνιστάμενοσ	k s y n i s t á m e n o s
ξυνοικίζω	k s i n i c i z o
ξυνοικίζω	k s y n o i̯ k í z d ɔː
ξυνοικίζω	k s y n y c i z o
ξυνοικίζω	k s y n y k i z o
ξυνοικισθείσ	k s i n i c i s θ i s
ξυνοικισθείσ	k s y n o i̯ k i s tʰ ěː s
ξυνοικισθείσ	k s y n y c i s θ i s
ξυνοικισθείσ	k s y n y k i s tʰ i s
ξυνοικισθείσ	k s y n y k i s θ i s
ξυνοικισθείσησ	k s i n i c i s θ i s i s
ξυνοικισθείσησ	k s y n o i̯ k i s tʰ ěː s ɛː s
ξυνοικισθείσησ	k s y n y c i s θ i s i s
ξυνοικισθείσησ	k s y n y k i s tʰ i s e s
ξυνοικισθείσησ	k s y n y k i s θ i s i s
ξυντίθημι	k s i n d i θ i m i
ξυντίθημι	k s y n t i tʰ e m i
ξυντίθημι	k s y n t i θ i m i
ξυντίθημι	k s y n t í tʰ ɛː m i
ξυντεθαμμένηι	k s i n d e θ a m e n i
ξυντεθαμμένηι	k s y n t e tʰ a m m é n ɛː i̯
ξυντεθαμμένηι	k s y n t e θ a m m e n i
ξυντεθαμμένηι	k s y n t ɛ tʰ a m m ɛ n e
ξυντεθαμμένοσ	k s i n d e θ a m e n o s
ξυντεθαμμένοσ	k s y n t e tʰ a m m é n o s
ξυντεθαμμένοσ	k s y n t e θ a m m e n o s
ξυντεθαμμένοσ	k s y n t ɛ tʰ a m m ɛ n o s
ξυπέτη	k s i p e t i
ξυπέτη	k s y p e t i
ξυπέτη	k s y p é t ɛː
ξυπέτη	k s y p ɛ t e
ξυρίσ	k s i r i s
ξυρίσ	k s y r i s
ξυρίσ	k s y r í s
ξυροθήκη	k s i r o θ i c i
ξυροθήκη	k s y r o tʰ e k e
ξυροθήκη	k s y r o tʰ ɛ̌ː k ɛː
ξυροθήκη	k s y r o θ i c i
ξυροθήκη	k s y r o θ i k i
ξυρόν	k s i r o n
ξυρόν	k s y r o n
ξυρόν	k s y r ó n
ξυστίσ	k s i s t i s
ξυστίσ	k s y s t i s
ξυστίσ	k s y s t í s
ξυστόσ	k s i s t o s
ξυστόσ	k s y s t o s
ξυστόσ	k s y s t ó s
ξόανον	k s o a n o n
ξόανον	k s ó a n o n
ξόϊσ	k s o i s
ξόϊσ	k s ó i s
ξύγκειμαι	k s i ɲ ɟ i m e
ξύγκειμαι	k s y ŋ k i m ɛ
ξύγκειμαι	k s y ɲ ɟ i m e
ξύγκειμαι	k s ý ŋ k eː m a i̯
ξύγκειται	k s i ɲ ɟ i t e
ξύγκειται	k s y ŋ k i t ɛ
ξύγκειται	k s y ɲ ɟ i t e
ξύγκειται	k s ý ŋ k eː t a i̯
ξύλα	k s i l a
ξύλα	k s y l a
ξύλα	k s ý l a
ξύλινοσ	k s i l i n o s
ξύλινοσ	k s y l i n o s
ξύλινοσ	k s ý l i n o s
ξύλον	k s i l o n
ξύλον	k s y l o n
ξύλον	k s ý l o n
ξύμβασιν	k s i m b a s i n
ξύμβασιν	k s y m b a s i n
ξύμβασιν	k s ý m b a s i n
ξύμβασισ	k s i m b a s i s
ξύμβασισ	k s y m b a s i s
ξύμβασισ	k s ý m b a s i s
ξύμβουλοσ	k s i m b u l o s
ξύμβουλοσ	k s y m b u l o s
ξύμβουλοσ	k s ý m b oː l o s
ξύμμαχοι	k s i m a ç i
ξύμμαχοι	k s y m m a kʰ y
ξύμμαχοι	k s y m m a x y
ξύμμαχοι	k s y m m a ç y
ξύμμαχοι	k s ý m m a kʰ o i̯
ξύμμαχον	k s i m a x o n
ξύμμαχον	k s y m m a kʰ o n
ξύμμαχον	k s y m m a x o n
ξύμμαχον	k s ý m m a kʰ o n
ξύμμαχοσ	k s i m a x o s
ξύμμαχοσ	k s y m m a kʰ o s
ξύμμαχοσ	k s y m m a x o s
ξύμμαχοσ	k s ý m m a kʰ o s
ξύμπαν	k s i m b a n
ξύμπαν	k s y m p a n
ξύμπαν	k s ý m p a n
ξύμπαντασ	k s i m b a n d a s
ξύμπαντασ	k s y m p a n t a s
ξύμπαντασ	k s ý m p a n t a s
ξύμπαντεσ	k s i m b a n d e s
ξύμπαντεσ	k s y m p a n t e s
ξύμπαντεσ	k s y m p a n t ɛ s
ξύμπαντεσ	k s ý m p a n t e s
ξύμπασ	k s i m b a s
ξύμπασ	k s y m p a s
ξύμπασ	k s ý m p aː s
ξύμπασα	k s i m b a s a
ξύμπασα	k s y m p a s a
ξύμπασα	k s ý m p aː s a
ξύν	k s i n
ξύν	k s y n
ξύν	k s ý n
ξύνοιδα	k s i n i ð a
ξύνοιδα	k s y n y d a
ξύνοιδα	k s y n y ð a
ξύνοιδα	k s ý n o i̯ d a
ξύστρα	k s i s t r a
ξύστρα	k s y s t r a
ξύστρα	k s ý s t r a
ξύω	k s i o
ξύω	k s y o
ξύω	k s y̌ː ɔː
οὐ	oː
οὐ	u
οὔ	u
οὔ	ǒː
οὔαροσ	u a r o s
οὔατα	u a t a
οὔατα	ǒː a t a
οὔατοσ	u a t o s
οὔατοσ	ǒː a t o s
οὔδει	u d i
οὔδει	u ð i
οὔδει	ǒː d eː
οὔθ'	u tʰ
οὔθ'	u θ
οὔθ'	ǒː tʰ
οὔθα	u tʰ a
οὔθα	u θ a
οὔθα	ǒː tʰ aː
οὔκουν	u k u n
οὔκουν	ǒː k oː n
οὔλασ	u l a s
οὔλασ	ǒː l aː s
οὔλυμπον	u l i m b o n
οὔλυμπον	u l y m p o n
οὔλυμπον	ǒː l y m p o n
οὔλυμποσ	u l i m b o s
οὔλυμποσ	u l y m p o s
οὔλυμποσ	ǒː l y m p o s
οὔλυμπόνδε	u l i m b o n d e
οὔλυμπόνδε	u l y m p o n d e
οὔλυμπόνδε	u l y m p o n d ɛ
οὔλυμπόνδε	ǒː l y m p ó n d e
οὔπω	u p o
οὔπω	ǒː p ɔː
οὔρεοσ	u r e o s
οὔρεοσ	u r ɛ o s
οὔρεοσ	ǒː r e o s
οὔρεσι	u r e s i
οὔρεσι	u r ɛ s i
οὔρεσι	ǒː r e s i
οὔρησισ	u r e s i s
οὔρησισ	u r i s i s
οὔρησισ	ǒː r ɛː s i s
οὔσαιν	u s e n
οὔσαιν	u s ɛ n
οὔσαιν	ǒː s a i̯ n
οὔσαισ	u s e s
οὔσαισ	u s ɛ s
οὔσαισ	ǒː s a i̯ s
οὔσασ	u s a s
οὔσασ	ǒː s aː s
οὔσηι	u s e
οὔσηι	u s i
οὔσηι	ǒː s ɛː i̯
οὔσησ	u s e s
οὔσησ	u s i s
οὔσησ	ǒː s ɛː s
οὔτ'	u t
οὔτ'	ǒː t
οὔτα	u t a
οὔτα	ǒː t aː
οὔτασε	u t a s e
οὔτασε	u t a s ɛ
οὔτασε	ǒː t a s e
οὔτε	u t e
οὔτε	u t ɛ
οὔτε	ǒː t e
οὔτησε	u t e s ɛ
οὔτησε	u t i s e
οὔτησε	ǒː t ɛː s e
οὔτιοι	u t i i
οὔτιοι	u t i y
οὔτιοι	ǒː t i o i̯
οὔτισ	u t i s
οὔτισ	ǒː t i s
οὖ	u
οὖ	ôː
οὖδασ	u d a s
οὖδασ	u ð a s
οὖδασ	ôː d a s
οὖθαρ	u tʰ a r
οὖθαρ	u θ a r
οὖθαρ	ôː tʰ a r
οὖλον	u l o n
οὖλον	ôː l o n
οὖλοσ	u l o s
οὖλοσ	ôː l o s
οὖν	u n
οὖν	ôː n
οὖραξ	u r a k s
οὖραξ	ôː r a k s
οὖρον	u r o n
οὖρον	ôː r o n
οὖροσ	u r o s
οὖροσ	ôː r o s
οὖσ	u s
οὖσ	ôː s
οὖσα	u s a
οὖσα	ôː s a
οὖσαι	u s e
οὖσαι	u s ɛ
οὖσαι	ôː s a i̯
οὖσαν	u s a n
οὖσαν	ôː s a n
οὖσι	u s i
οὖσι	ôː s i
οὖσιν	u s i n
οὖσιν	ôː s i n
οὖσον	u s o n
οὖσον	ôː s o n
οὖτα	u t a
οὖτα	ôː t a
οὐάλησ	u a l i s
οὐάρρων	oː á r̥ r̥ ɔː n
οὐάρρων	u a r o n
οὐάρρων	u a r r o n
οὐάρρων	u a r̥ r̥ o n
οὐίνδιξ	oː í n d i k s
οὐίνδιξ	u i n d i k s
οὐαί	oː ǎ i̯
οὐαί	u e
οὐαί	u ɛ
οὐαλέριοσ	oː a l é r i o s
οὐαλέριοσ	u a l e r i o s
οὐαλέριοσ	u a l ɛ r i o s
οὐαλερία	oː a l e r í aː
οὐαλερία	u a l e r i a
οὐαλερία	u a l ɛ r i a
οὐατίνιοσ	oː a t ǐː n i o s
οὐατίνιοσ	u a t i n i o s
οὐδ'	oː d
οὐδ'	u d
οὐδ'	u ð
οὐδέ	oː d é
οὐδέ	u d ɛ
οὐδέ	u ð e
οὐδέν	oː d é n
οὐδέν	u d ɛ n
οὐδέν	u ð e n
οὐδένα	oː d é n a
οὐδένα	u d ɛ n a
οὐδένα	u ð e n a
οὐδαμοῦ	oː d a m ôː
οὐδαμοῦ	u d a m u
οὐδαμοῦ	u ð a m u
οὐδαμῶσ	oː d a m ɔː s
οὐδαμῶσ	u d a m o s
οὐδαμῶσ	u ð a m o s
οὐδείσ	oː d ěː s
οὐδείσ	u d i s
οὐδείσ	u ð i s
οὐδεμία	oː d e m í a
οὐδεμία	oː d e m í aː
οὐδεμία	u d ɛ m i a
οὐδεμία	u ð e m i a
οὐδεμιᾶι	oː d e m i âː i̯
οὐδεμιᾶι	u d ɛ m i a
οὐδεμιᾶι	u ð e m i a
οὐδεμιᾶσ	oː d e m i âː s
οὐδεμιᾶσ	u d ɛ m i a s
οὐδεμιᾶσ	u ð e m i a s
οὐδενί	oː d e n í
οὐδενί	u d ɛ n i
οὐδενί	u ð e n i
οὐδενόσ	oː d e n ó s
οὐδενόσ	u d ɛ n o s
οὐδενόσ	u ð e n o s
οὐδοῦ	oː d ôː
οὐδοῦ	u d u
οὐδοῦ	u ð u
οὐδόν	oː d ó n
οὐδόν	u d o n
οὐδόν	u ð o n
οὐδόσ	oː d ó s
οὐδόσ	u d o s
οὐδόσ	u ð o s
οὐεργίλιοσ	oː e r ɡ í l i o s
οὐεργίλιοσ	u e r ɣ i l i o s
οὐεργίλιοσ	u e r ʝ i l i o s
οὐεργίλιοσ	u ɛ r ɡ i l i o s
οὐεργιλία	oː e r ɡ i l í aː
οὐεργιλία	u e r ɣ i l i a
οὐεργιλία	u e r ʝ i l i a
οὐεργιλία	u ɛ r ɡ i l i a
οὐεσπασίανοσ	oː e s p a s í aː n o s
οὐεσπασίανοσ	u e s p a s i a n o s
οὐεσπασίανοσ	u ɛ s p a s i a n o s
οὐηΐοι	u i i i
οὐηΐοι	u i i y
οὐιτέλλιοσ	u i t e l i o s
οὐιτέλλιοσ	u i t e l l i o s
οὐκ	oː k
οὐκ	u k
οὐκέτ'	oː k é t
οὐκέτ'	u c e t
οὐκέτ'	u k e t
οὐκέτ'	u k ɛ t
οὐκέτι	oː k é t i
οὐκέτι	u c e t i
οὐκέτι	u k e t i
οὐκέτι	u k ɛ t i
οὐκί	oː k í
οὐκί	u c i
οὐκί	u k i
οὐκαλέγων	oː k a l é ɡ ɔː n
οὐκαλέγων	u k a l e ɣ o n
οὐκαλέγων	u k a l ɛ ɡ o n
οὐκοῦν	oː k ôː n
οὐκοῦν	u k u n
οὐλή	oː l ɛ̌ː
οὐλή	u l e
οὐλή	u l i
οὐλαί	oː l ǎ i̯
οὐλαί	u l e
οὐλαί	u l ɛ
οὐλαμόσ	oː l a m ó s
οὐλαμόσ	u l a m o s
