अ	ɐ
गॄ	ɡ r̩ː
गेह	ɡ eː ɦ ɐ
गेह	ɡ ɐ j ɦ ɐ́
गो	ɡ oː
गो	ɡ ɐ́ w
गोक्षीर	ɡ oː k ʂ iː ɾ ɐ
गोक्षीर	ɡ ɐ w k ʂ iː ɾ ɐ
गोग्रह	ɡ oː ɡ ɾ ɐ ɦ ɐ
गोग्रह	ɡ ɐ w ɡ ɾ ɐ ɦ ɐ
गोत्र	ɡ oː t̪ ɾ ɐ
गोत्र	ɡ ɐ w t̪ ɾ ɐ
गोद	ɡ oː d̪ ɐ
गोद	ɡ ɐ w d̪ ɐ
गोदावरी	ɡ oː d̪ ɑː ʋ ɐ ɾ iː
गोदावरी	ɡ ɐ w d̪ ɑː ʋ ɐ ɾ iː
गोधूम	ɡ oː d̪ʱ uː m ɐ
गोधूम	ɡ ɐ w d̪ʱ úː m ɐ
गोपाल	ɡ oː p ɑː l̪ ɐ
गोपाल	ɡ ɐ w p ɑː l̪ ɐ́
गोपाल	ɡ ɐ́ w p ɑː l̪ ɐ
गोरूप	ɡ oː ɾ uː p ɐ
गोरूप	ɡ ɐ w ɾ uː p ɐ́
गोल	ɡ oː l̪ ɐ
गोल	ɡ ɐ w l̪ ɐ
गोलदीप	ɡ oː l̪ ɐ d̪ iː p ɐ
गोलदीप	ɡ ɐ w l̪ ɐ d̪ iː p ɐ
गोष्ठ	ɡ oː ʂ ʈʰ ɐ
गोष्ठ	ɡ ɐ w ʂ ʈʰ ɐ́
गोस्वामिन्	ɡ oː s̪ ʋ ɑː m i n̪
गोस्वामिन्	ɡ ɐ w s̪ ʋ ɑː m i n̪
गौड	ɡ ɑ w ɖ ɐ
गौड	ɡ ɑː w ɖ ɐ
गौतम	ɡ ɑ w t̪ ɐ m ɐ
गौतम	ɡ ɑː w t̪ ɐ m ɐ́
गौस्	ɡ ɑ w s̪
गौस्	ɡ ɑ́ː w s̪
ग्ना	ɡ n̪ ɑː
ग्ना	ɡ n̪ ɑ́ː
ग्मा	ɡ m ɑː
ग्मा	ɡ m ɑ́ː
ग्रथन	ɡ ɾ ɐ t̪ʰ ɐ n̪ ɐ
ग्रन्थ	ɡ ɾ ɐ n̪ t̪ʰ ɐ
ग्रन्थि	ɡ ɾ ɐ n̪ t̪ʰ i
ग्रन्थि	ɡ ɾ ɐ n̪ t̪ʰ í
ग्रभ्	ɡ ɾ ɐ bʱ
ग्रसति	ɡ ɾ ɐ s̪ ɐ t̪ i
ग्रसति	ɡ ɾ ɐ́ s̪ ɐ t̪ i
ग्रह्	ɡ ɾ ɐ ɦ
ग्राम	ɡ ɾ ɑː m ɐ
ग्राम	ɡ ɾ ɑ́ː m ɐ
ग्रामचर्या	ɡ ɾ ɑː m ɐ t͡ɕ ɐ ɾ j ɑː
ग्रामचर्या	ɡ ɾ ɑ́ː m ɐ t͡ɕ ɐ ɾ j ɑː
ग्रावन्	ɡ ɾ ɑː ʋ ɐ n̪
ग्रावन्	ɡ ɾ ɑ́ː ʋ ɐ n̪
ग्रीवा	ɡ ɾ iː ʋ ɑː
ग्रीवा	ɡ ɾ iː ʋ ɑ́ː
ग्रीष्म	ɡ ɾ iː ʂ m ɐ
ग्रीष्म	ɡ ɾ iː ʂ m ɐ́
ग्लौ	ɡ l̪ ɑ w
ग्लौ	ɡ l̪ ɑː w
घ	ɡʱ ɐ
घकार	ɡʱ ɐ k ɑː ɾ ɐ
घन	ɡʱ ɐ n̪ ɐ
घन	ɡʱ ɐ n̪ ɐ́
घर्म	ɡʱ ɐ ɾ m ɐ
घर्म	ɡʱ ɐ ɾ m ɐ́
घर्षति	ɡʱ ɐ ɾ ʂ ɐ t̪ i
घर्षति	ɡʱ ɐ́ ɾ ʂ ɐ t̪ i
घास	ɡʱ ɑː s̪ ɐ
घास	ɡʱ ɑː s̪ ɐ́
घिण्ण्	ɡʱ i ɳ ɳ
घूर्ण्	ɡʱ uː ɾ ɳ
घृण	ɡʱ r̩ ɳ ɐ
घृण	ɡʱ r̩ ɳ ɐ́
घृणा	ɡʱ r̩ ɳ ɑː
घृणा	ɡʱ r̩ ɳ ɑ́ː
घृणोति	ɡʱ r̩ ɳ oː t̪ i
घृणोति	ɡʱ r̩ ɳ ɐ́ w t̪ i
घृण्	ɡʱ r̩ ɳ
घृत	ɡʱ r̩ t̪ ɐ
घृत	ɡʱ r̩ t̪ ɐ́
घोर	ɡʱ oː ɾ ɐ
घोर	ɡʱ ɐ w ɾ ɐ́
घोष	ɡʱ oː ʂ ɐ
घोष	ɡʱ ɐ́ w ʂ ɐ
घ्रंस	ɡʱ ɾ ɐ̃ s̪ ɐ
घ्रंस	ɡʱ ɾ ɐ̃ s̪ ɐ́
ङकार	ŋ ɐ k ɑː ɾ ɐ
च	t͡ɕ ɐ
चकार	t͡ɕ ɐ k ɑː ɾ ɐ
चकृतिम	t͡ɕ ɐ k r̩ t̪ i m ɐ
चक्र	t͡ɕ ɐ k ɾ ɐ
चक्र	t͡ɕ ɐ k ɾ ɐ́
चक्रवर्तिनी	t͡ɕ ɐ k ɾ ɐ ʋ ɐ ɾ t̪ i n̪ iː
चक्रवर्तिन्	t͡ɕ ɐ k ɾ ɐ ʋ ɐ ɾ t̪ i n̪
चक्रवात	t͡ɕ ɐ k ɾ ɐ ʋ ɑː t̪ ɐ
चक्षु	t͡ɕ ɐ k ʂ u
चक्षु	t͡ɕ ɐ́ k ʂ u
चटक	t͡ɕ ɐ ʈ ɐ k ɐ
चण	t͡ɕ ɐ ɳ ɐ
चण्ड	t͡ɕ ɐ ɳ ɖ ɐ
चण्ड	t͡ɕ ɐ́ ɳ ɖ ɐ
चण्डिमन्	t͡ɕ ɐ ɳ ɖ i m ɐ n̪
चतुर्	t͡ɕ ɐ t̪ u ɾ
चतुर्	t͡ɕ ɐ́ t̪ u ɾ
चतुर्दश	t͡ɕ ɐ t̪ u ɾ d̪ ɐ ɕ ɐ
चतुर्दश	t͡ɕ ɐ́ t̪ u ɾ d̪ ɐ ɕ ɐ
चतुर्विंशति	t͡ɕ ɐ t̪ u ɾ ʋ ĩ ɕ ɐ t̪ i
चतुर्विंशति	t͡ɕ ɐ́ t̪ u ɾ ʋ ĩ ɕ ɐ t̪ i
चत्वारस्	t͡ɕ ɐ t̪ ʋ ɑː ɾ ɐ s̪
चत्वारस्	t͡ɕ ɐ t̪ ʋ ɑ́ː ɾ ɐ s̪
चत्वारिंशत्	t͡ɕ ɐ t̪ ʋ ɑː ɾ ĩ ɕ ɐ t̪
चत्वारिंशत्	t͡ɕ ɐ t̪ ʋ ɑː ɾ ĩ ɕ ɐ́ t̪
चनस्	t͡ɕ ɐ n̪ ɐ s̪
चनस्	t͡ɕ ɐ́ n̪ ɐ s̪
चन्द्र	t͡ɕ ɐ n̪ d̪ ɾ ɐ
चन्द्र	t͡ɕ ɐ n̪ d̪ ɾ ɐ́
चन्द्रमः	t͡ɕ ɐ n̪ d̪ ɾ ɐ m ɐ h
चन्द्रमस्	t͡ɕ ɐ n̪ d̪ ɾ ɐ m ɐ s̪
चन्द्रमाः	t͡ɕ ɐ n̪ d̪ ɾ ɐ m ɑː h
चन्द्रमास्	t͡ɕ ɐ n̪ d̪ ɾ ɐ m ɑː s̪
चमति	t͡ɕ ɐ m ɐ t̪ i
चमति	t͡ɕ ɐ́ m ɐ t̪ i
चमस	t͡ɕ ɐ m ɐ s̪ ɐ
चमस	t͡ɕ ɐ m ɐ s̪ ɐ́
चमू	t͡ɕ ɐ m uː
चमू	t͡ɕ ɐ m úː
चम्	t͡ɕ ɐ m
चयते	t͡ɕ ɐ j ɐ t̪ eː
चयते	t͡ɕ ɐ́ j ɐ t̪ ɐ j
चरति	t͡ɕ ɐ ɾ ɐ t̪ i
चरति	t͡ɕ ɐ́ ɾ ɐ t̪ i
चरित्र	t͡ɕ ɐ ɾ i t̪ ɾ ɐ
चरित्र	t͡ɕ ɐ ɾ í t̪ ɾ ɐ
चरु	t͡ɕ ɐ ɾ u
चरु	t͡ɕ ɐ ɾ ú
चर्मन्	t͡ɕ ɐ ɾ m ɐ n̪
चर्मन्	t͡ɕ ɐ́ ɾ m ɐ n̪
चषक	t͡ɕ ɐ ʂ ɐ k ɐ h
चष्टे	t͡ɕ ɐ ʂ ʈ eː
चष्टे	t͡ɕ ɐ́ ʂ ʈ ɐ j
चातुर्य	t͡ɕ ɑː t̪ u ɾ j ɐ
चान्द्र	t͡ɕ ɑː n̪ d̪ ɾ ɐ
चिकित्सक	t͡ɕ i k i t̪ s̪ ɐ k ɐ
चिकित्सकः	t͡ɕ i k i t̪ s̪ ɐ k ɐ h
चिकित्सकम्	t͡ɕ i k i t̪ s̪ ɐ k ɐ m
चिकित्सकयोः	t͡ɕ i k i t̪ s̪ ɐ k ɐ j oː h
चिकित्सकयोः	t͡ɕ i k i t̪ s̪ ɐ k ɐ j ɐ w h
चिकित्सकस्य	t͡ɕ i k i t̪ s̪ ɐ k ɐ s̪ j ɐ
चिकित्सकाः	t͡ɕ i k i t̪ s̪ ɐ k ɑː h
चिकित्सकात्	t͡ɕ i k i t̪ s̪ ɐ k ɑː t̪
चिकित्सकानाम्	t͡ɕ i k i t̪ s̪ ɐ k ɑː n̪ ɑː m
चिकित्सकान्	t͡ɕ i k i t̪ s̪ ɐ k ɑː n̪
चिकित्सकाभ्याम्	t͡ɕ i k i t̪ s̪ ɐ k ɑː bʱ j ɑː m
चिकित्सकाय	t͡ɕ i k i t̪ s̪ ɐ k ɑː j ɐ
चिकित्सकासः	t͡ɕ i k i t̪ s̪ ɐ k ɑː s̪ ɐ h
चिकित्सके	t͡ɕ i k i t̪ s̪ ɐ k eː
चिकित्सके	t͡ɕ i k i t̪ s̪ ɐ k ɐ j
चिकित्सकेन	t͡ɕ i k i t̪ s̪ ɐ k eː n̪ ɐ
चिकित्सकेन	t͡ɕ i k i t̪ s̪ ɐ k ɐ j n̪ ɐ
चिकित्सकेभिः	t͡ɕ i k i t̪ s̪ ɐ k eː bʱ i h
चिकित्सकेभिः	t͡ɕ i k i t̪ s̪ ɐ k ɐ j bʱ i h
चिकित्सकेभ्यः	t͡ɕ i k i t̪ s̪ ɐ k eː bʱ j ɐ h
चिकित्सकेभ्यः	t͡ɕ i k i t̪ s̪ ɐ k ɐ j bʱ j ɐ h
चिकित्सकेषु	t͡ɕ i k i t̪ s̪ ɐ k eː ʂ u
चिकित्सकेषु	t͡ɕ i k i t̪ s̪ ɐ k ɐ j ʂ u
चिकित्सकैः	t͡ɕ i k i t̪ s̪ ɐ k ɑ j h
चिकित्सकैः	t͡ɕ i k i t̪ s̪ ɐ k ɑː j h
चिकित्सकौ	t͡ɕ i k i t̪ s̪ ɐ k ɑ w
चिकित्सकौ	t͡ɕ i k i t̪ s̪ ɐ k ɑː w
चिकित्सालय	t͡ɕ i k i t̪ s̪ ɑː l̪ ɐ j ɐ
चिकित्सिकया	t͡ɕ i k i t̪ s̪ i k ɐ j ɑː
चिकित्सिकयोः	t͡ɕ i k i t̪ s̪ i k ɐ j oː h
चिकित्सिकयोः	t͡ɕ i k i t̪ s̪ i k ɐ j ɐ w h
चिकित्सिका	t͡ɕ i k i t̪ s̪ i k ɑː
चिकित्सिकाः	t͡ɕ i k i t̪ s̪ i k ɑː h
चिकित्सिकानाम्	t͡ɕ i k i t̪ s̪ i k ɑː n̪ ɑː m
चिकित्सिकाभिः	t͡ɕ i k i t̪ s̪ i k ɑː bʱ i h
चिकित्सिकाभ्यः	t͡ɕ i k i t̪ s̪ i k ɑː bʱ j ɐ h
चिकित्सिकाभ्याम्	t͡ɕ i k i t̪ s̪ i k ɑː bʱ j ɑː m
चिकित्सिकाम्	t͡ɕ i k i t̪ s̪ i k ɑː m
चिकित्सिकायाः	t͡ɕ i k i t̪ s̪ i k ɑː j ɑː h
चिकित्सिकायाम्	t͡ɕ i k i t̪ s̪ i k ɑː j ɑː m
चिकित्सिकायै	t͡ɕ i k i t̪ s̪ i k ɑː j ɑ j
चिकित्सिकायै	t͡ɕ i k i t̪ s̪ i k ɑː j ɑː j
चिकित्सिकासु	t͡ɕ i k i t̪ s̪ i k ɑː s̪ u
चिकित्सिके	t͡ɕ i k i t̪ s̪ i k eː
चिकित्सिके	t͡ɕ i k i t̪ s̪ i k ɐ j
चिकेति	t͡ɕ i k eː t̪ i
चिकेति	t͡ɕ í k ɐ j t̪ i
चिकेत्ति	t͡ɕ i k eː t̪ t̪ i
चिकेत्ति	t͡ɕ í k ɐ j t̪ t̪ i
चित्	t͡ɕ i t̪
चित्र	t͡ɕ i t̪ ɾ ɐ
चित्र	t͡ɕ i t̪ ɾ ɐ́
चिन्तयति	t͡ɕ i n̪ t̪ ɐ j ɐ t̪ i
चीन	t͡ɕ iː n̪ ɐ
चुकोट्ट	t͡ɕ u k oː ʈ ʈ ɐ
चुकोट्ट	t͡ɕ u k ɐ w ʈ ʈ ɐ
चुद्	t͡ɕ u d̪
चेतना	t͡ɕ eː t̪ ɐ n̪ ɑː
चेतना	t͡ɕ ɐ j t̪ ɐ n̪ ɑː
चेतस्	t͡ɕ eː t̪ ɐ s̪
चेतस्	t͡ɕ ɐ́ j t̪ ɐ s̪
चेतिष्यति	t͡ɕ eː t̪ i ʂ j ɐ t̪ i
चेतिष्यति	t͡ɕ ɐ j t̪ i ʂ j ɐ t̪ i
चैत्र	t͡ɕ ɑ j t̪ ɾ ɐ
चैत्र	t͡ɕ ɑː j t̪ ɾ ɐ
चोदति	t͡ɕ oː d̪ ɐ t̪ i
चोदति	t͡ɕ ɐ́ w d̪ ɐ t̪ i
चोर	t͡ɕ oː ɾ ɐ
चोर	t͡ɕ ɐ w ɾ ɐ́
चोरयति	t͡ɕ oː ɾ ɐ j ɐ t̪ i
चोरयति	t͡ɕ ɐ w ɾ ɐ j ɐ t̪ i
च्यवते	t͡ɕ j ɐ ʋ ɐ t̪ eː
च्यवते	t͡ɕ j ɐ ʋ ɐ t̪ ɐ j
च्युप	t͡ɕ j u p ɐ
छकार	t͡ɕʰ ɐ k ɑː ɾ ɐ
छत्त्र	t͡ɕʰ ɐ t̪ t̪ ɾ ɐ
छत्र	t͡ɕʰ ɐ t̪ ɾ ɐ
छत्रक	t͡ɕʰ ɐ t̪ ɾ ɐ k ɐ
छदि	t͡ɕʰ ɐ d̪ i
छदिस्	t͡ɕʰ ɐ d̪ i s̪
छदिस्	t͡ɕʰ ɐ d̪ í s̪
छद्म	t͡ɕʰ ɐ d̪ m ɐ
छद्मन्	t͡ɕʰ ɐ d̪ m ɐ n̪
छद्मन्	t͡ɕʰ ɐ́ d̪ m ɐ n̪
छन्दस्	t͡ɕʰ ɐ n̪ d̪ ɐ s̪
छन्दस्	t͡ɕʰ ɐ́ n̪ d̪ ɐ s̪
छर्दति	t͡ɕʰ ɐ ɾ d̪ ɐ t̪ i
छर्दति	t͡ɕʰ ɐ́ ɾ d̪ ɐ t̪ i
छल	t͡ɕʰ ɐ l̪ ɐ
छला	t͡ɕʰ ɐ l̪ ɑː
छात्त्र	t͡ɕʰ ɑː t̪ t̪ ɾ ɐ
छात्र	t͡ɕʰ ɑː t̪ ɾ ɐ
छात्रा	t͡ɕʰ ɑː t̪ ɾ ɑː
छाया	t͡ɕʰ ɑː j ɑː
छाया	t͡ɕʰ ɑː j ɑ́ː
छिद्	t͡ɕʰ i d̪
छिद्र	t͡ɕʰ i d̪ ɾ ɐ
छिद्र	t͡ɕʰ i d̪ ɾ ɐ́
छिनत्ति	t͡ɕʰ i n̪ ɐ t̪ t̪ i
छिनत्ति	t͡ɕʰ i n̪ ɐ́ t̪ t̪ i
छिन्न	t͡ɕʰ i n̪ n̪ ɐ
छिन्न	t͡ɕʰ i n̪ n̪ ɐ́
छुरी	t͡ɕʰ u ɾ iː
छेदि	t͡ɕʰ eː d̪ i
छेदि	t͡ɕʰ ɐ́ j d̪ i
छ्यवते	t͡ɕʰ j ɐ ʋ ɐ t̪ eː
छ्यवते	t͡ɕʰ j ɐ ʋ ɐ t̪ ɐ j
ज	d͡ʑ ɐ
ज	d͡ʑ ɐ́
जंहस्	d͡ʑ ɐ̃ ɦ ɐ s̪
जंहस्	d͡ʑ ɐ̃́ ɦ ɐ s̪
जकार	d͡ʑ ɐ k ɑː ɾ ɐ
जक्षत्	d͡ʑ ɐ k ʂ ɐ t̪
जक्षत्	d͡ʑ ɐ́ k ʂ ɐ t̪
जगम	d͡ʑ ɐ ɡ ɐ m ɐ
जगमिथ	d͡ʑ ɐ ɡ ɐ m i t̪ʰ ɐ
जगाम	d͡ʑ ɐ ɡ ɑː m ɐ
जग्ध	d͡ʑ ɐ ɡ d̪ʱ ɐ
जग्ध	d͡ʑ ɐ ɡ d̪ʱ ɐ́
जग्म	d͡ʑ ɐ ɡ m ɐ
जग्मतुः	d͡ʑ ɐ ɡ m ɐ t̪ u h
जग्मथुः	d͡ʑ ɐ ɡ m ɐ t̪ʰ u h
जग्मथुर्	d͡ʑ ɐ ɡ m ɐ t̪ʰ u ɾ
जग्मिम	d͡ʑ ɐ ɡ m i m ɐ
जग्मिव	d͡ʑ ɐ ɡ m i ʋ ɐ
जग्मुः	d͡ʑ ɐ ɡ m u h
जङ्गम	d͡ʑ ɐ ŋ ɡ ɐ m ɐ
जङ्घा	d͡ʑ ɐ ŋ ɡʱ ɑː
जङ्घा	d͡ʑ ɐ́ ŋ ɡʱ ɑː
जजन्ति	d͡ʑ ɐ d͡ʑ ɐ n̪ t̪ i
जज्ञे	d͡ʑ ɐ d͡ʑ ɲ eː
जज्ञे	d͡ʑ ɐ d͡ʑ ɲ ɐ j
जज्ञौ	d͡ʑ ɐ d͡ʑ ɲ ɑ w
जज्ञौ	d͡ʑ ɐ d͡ʑ ɲ ɑː w
जठर	d͡ʑ ɐ ʈʰ ɐ ɾ ɐ
जठर	d͡ʑ ɐ ʈʰ ɐ́ ɾ ɐ
जतु	d͡ʑ ɐ t̪ u
जतु	d͡ʑ ɐ́ t̪ u
जन	d͡ʑ ɐ n̪ ɐ
जन	d͡ʑ ɐ́ n̪ ɐ
जनक	d͡ʑ ɐ n̪ ɐ k ɐ
जनता	d͡ʑ ɐ n̪ ɐ t̪ ɑː
जनता	d͡ʑ ɐ n̪ ɐ́ t̪ ɑː
जनति	d͡ʑ ɐ n̪ ɐ t̪ i
जनति	d͡ʑ ɐ́ n̪ ɐ t̪ i
जननी	d͡ʑ ɐ n̪ ɐ n̪ iː
जनयति	d͡ʑ ɐ n̪ ɐ j ɐ t̪ i
जनयति	d͡ʑ ɐ n̪ ɐ́ j ɐ t̪ i
जनस्	d͡ʑ ɐ n̪ ɐ s̪
जनस्	d͡ʑ ɐ́ n̪ ɐ s̪
जनि	d͡ʑ ɐ n̪ i
जनि	d͡ʑ ɐ́ n̪ i
जनितृ	d͡ʑ ɐ n̪ i t̪ r̩
जनितृ	d͡ʑ ɐ n̪ i t̪ ŕ̩
जनितोस्	d͡ʑ ɐ n̪ i t̪ oː s̪
जनितोस्	d͡ʑ ɐ́ n̪ i t̪ ɐ w s̪
जनिमन्	d͡ʑ ɐ n̪ i m ɐ n̪
जनिमन्	d͡ʑ ɐ́ n̪ i m ɐ n̪
जनी	d͡ʑ ɐ n̪ iː
जनी	d͡ʑ ɐ́ n̪ iː
जनु	d͡ʑ ɐ n̪ u
जनुस्	d͡ʑ ɐ n̪ u s̪
जनुस्	d͡ʑ ɐ n̪ ú s̪
जनू	d͡ʑ ɐ n̪ uː
जनू	d͡ʑ ɐ n̪ úː
जन्तु	d͡ʑ ɐ n̪ t̪ u
जन्तु	d͡ʑ ɐ n̪ t̪ ú
जन्म	d͡ʑ ɐ n̪ m ɐ
जन्म	d͡ʑ ɐ́ n̪ m ɐ
जन्मन्	d͡ʑ ɐ n̪ m ɐ n̪
जन्मन्	d͡ʑ ɐ́ n̪ m ɐ n̪
जन्य	d͡ʑ ɐ n̪ j ɐ
जन्य	d͡ʑ ɐ́ n̪ j ɐ
जम्बुद्वीप	d͡ʑ ɐ m b u d̪ ʋ iː p ɐ
जम्भ	d͡ʑ ɐ m bʱ ɐ
जम्भ	d͡ʑ ɐ́ m bʱ ɐ
जय	d͡ʑ ɐ j ɐ
जय	d͡ʑ ɐ j ɐ́
जयति	d͡ʑ ɐ j ɐ t̪ i
जयति	d͡ʑ ɐ́ j ɐ t̪ i
जरत्	d͡ʑ ɐ ɾ ɐ t̪
जरत्	d͡ʑ ɐ́ ɾ ɐ t̪
जर्जर	d͡ʑ ɐ ɾ d͡ʑ ɐ ɾ ɐ
जल	d͡ʑ ɐ l̪ ɐ
जल	d͡ʑ ɐ l̪ ɐ́
जलद	d͡ʑ ɐ l̪ ɐ d̪ ɐ
जलूका	d͡ʑ ɐ l̪ uː k ɑː
जव	d͡ʑ ɐ ʋ ɐ
जव	d͡ʑ ɐ́ ʋ ɐ
जवति	d͡ʑ ɐ ʋ ɐ t̪ i
जवस्	d͡ʑ ɐ ʋ ɐ s̪
जवस्	d͡ʑ ɐ́ ʋ ɐ s̪
जवा	d͡ʑ ɐ ʋ ɑː
जस्यति	d͡ʑ ɐ s̪ j ɐ t̪ i
जस्यति	d͡ʑ ɐ́ s̪ j ɐ t̪ i
जहका	d͡ʑ ɐ ɦ ɐ k ɑː
जहका	d͡ʑ ɐ́ ɦ ɐ k ɑː
जहाति	d͡ʑ ɐ ɦ ɑː t̪ i
जहाति	d͡ʑ ɐ́ ɦ ɑː t̪ i
जा	d͡ʑ ɑː
जा	d͡ʑ ɑ́ː
जात	d͡ʑ ɑː t̪ ɐ
जात	d͡ʑ ɑː t̪ ɐ́
जाति	d͡ʑ ɑː t̪ i
जाति	d͡ʑ ɑː t̪ í
जान	d͡ʑ ɑː n̪ ɐ
जान	d͡ʑ ɑ́ː n̪ ɐ
जानाति	d͡ʑ ɑː n̪ ɑː t̪ i
जानाति	d͡ʑ ɑː n̪ ɑ́ː t̪ i
जानि	d͡ʑ ɑː n̪ i
जानि	d͡ʑ ɑ́ː n̪ i
जानीते	d͡ʑ ɑː n̪ iː t̪ eː
जानीते	d͡ʑ ɑː n̪ iː t̪ ɐ j
जानु	d͡ʑ ɑː n̪ u
जानु	d͡ʑ ɑ́ː n̪ u
जाबालिपुर	d͡ʑ ɑː b ɑː l̪ i p u ɾ ɐ
जामातृ	d͡ʑ ɑː m ɑː t̪ r̩
जामातृ	d͡ʑ ɑ́ː m ɑː t̪ r̩
जामित्र	d͡ʑ ɑː m i t̪ ɾ ɐ
जायते	d͡ʑ ɑː j ɐ t̪ eː
जायते	d͡ʑ ɑ́ː j ɐ t̪ ɐ j
जाल	d͡ʑ ɑː l̪ ɐ
जाल	d͡ʑ ɑː l̪ ɐ́
जालपृष्ठ	d͡ʑ ɑː l̪ ɐ p r̩ ʂ ʈʰ ɐ
जासयति	d͡ʑ ɑː s̪ ɐ j ɐ t̪ i
जासयति	d͡ʑ ɑː s̪ ɐ́ j ɐ t̪ i
जास्पति	d͡ʑ ɑː s̪ p ɐ t̪ i
जास्पति	d͡ʑ ɑ́ː s̪ p ɐ t̪ i
जिगमिषति	d͡ʑ i ɡ ɐ m i ʂ ɐ t̪ i
जिगांसते	d͡ʑ i ɡ ɑ̃ː s̪ ɐ t̪ eː
जिगांसते	d͡ʑ i ɡ ɑ̃ː s̪ ɐ t̪ ɐ j
जिगाति	d͡ʑ i ɡ ɑː t̪ i
जिघर्ति	d͡ʑ i ɡʱ ɐ ɾ t̪ i
जिघर्ति	d͡ʑ í ɡʱ ɐ ɾ t̪ i
जिघ्रति	d͡ʑ i ɡʱ ɾ ɐ t̪ i
जिघ्रति	d͡ʑ í ɡʱ ɾ ɐ t̪ i
जिज्ञासते	d͡ʑ i d͡ʑ ɲ ɑː s̪ ɐ t̪ eː
जिज्ञासते	d͡ʑ í d͡ʑ ɲ ɑː s̪ ɐ t̪ ɐ j
जित	d͡ʑ i t̪ ɐ
जित	d͡ʑ i t̪ ɐ́
जिन	d͡ʑ i n̪ ɐ
जिहर्ति	d͡ʑ i ɦ ɐ ɾ t̪ i
जिहर्ति	d͡ʑ í ɦ ɐ ɾ t̪ i
जिहीते	d͡ʑ i ɦ iː t̪ eː
जिहीते	d͡ʑ i ɦ iː t̪ ɐ j
जिह्म	d͡ʑ i ɦ m ɐ
जिह्म	d͡ʑ i ɦ m ɐ́
जिह्रेति	d͡ʑ i ɦ ɾ eː t̪ i
जिह्रेति	d͡ʑ i ɦ ɾ ɐ j t̪ i
जिह्वा	d͡ʑ i ɦ ʋ ɑː
जिह्वा	d͡ʑ i ɦ ʋ ɑ́ː
जिह्वामूलीय	d͡ʑ i ɦ ʋ ɑː m uː l̪ iː j ɐ
जिह्वामूलीय	d͡ʑ i ɦ ʋ ɑ́ː m uː l̪ iː j ɐ
जीत	d͡ʑ iː t̪ ɐ
जीत	d͡ʑ iː t̪ ɐ́
जीर्ण	d͡ʑ iː ɾ ɳ ɐ
जीर्ण	d͡ʑ iː ɾ ɳ ɐ́
जीर्यति	d͡ʑ iː ɾ j ɐ t̪ i
जीर्यति	d͡ʑ íː ɾ j ɐ t̪ i
जीव	d͡ʑ iː ʋ ɐ
जीव	d͡ʑ iː ʋ ɐ́
जीवति	d͡ʑ iː ʋ ɐ t̪ i
जीवति	d͡ʑ íː ʋ ɐ t̪ i
जीवन	d͡ʑ iː ʋ ɐ n̪ ɐ
जीवित	d͡ʑ iː ʋ i t̪ ɐ
जीवित	d͡ʑ iː ʋ i t̪ ɐ́
जुघुक्षति	d͡ʑ u ɡʱ u k ʂ ɐ t̪ i
जुवस्	d͡ʑ u ʋ ɐ s̪
जुवस्	d͡ʑ ú ʋ ɐ s̪
जुषते	d͡ʑ u ʂ ɐ t̪ eː
जुषते	d͡ʑ u ʂ ɐ́ t̪ ɐ j
जुष्ट	d͡ʑ u ʂ ʈ ɐ
जुष्ट	d͡ʑ u ʂ ʈ ɐ́
जुष्ट	d͡ʑ ú ʂ ʈ ɐ
जुहू	d͡ʑ u ɦ uː
जुहू	d͡ʑ u ɦ úː
जुहोति	d͡ʑ u ɦ oː t̪ i
जुहोति	d͡ʑ u ɦ ɐ́ w t̪ i
जू	d͡ʑ uː
जू	d͡ʑ úː
जूति	d͡ʑ uː t̪ i
जूति	d͡ʑ uː t̪ í
जूर्ण	d͡ʑ uː ɾ ɳ ɐ
जूर्ण	d͡ʑ uː ɾ ɳ ɐ́
जॄ	d͡ʑ r̩ː
जेन्य	d͡ʑ eː n̪ j ɐ
जेन्य	d͡ʑ ɐ́ j n̪ j ɐ
जैन	d͡ʑ ɑ j n̪ ɐ
जैन	d͡ʑ ɑː j n̪ ɐ
ज्ञा	d͡ʑ ɲ ɑː
ज्ञात	d͡ʑ ɲ ɑː t̪ ɐ
ज्ञात	d͡ʑ ɲ ɑː t̪ ɐ́
ज्ञाता	d͡ʑ ɲ ɑː t̪ ɑː
ज्ञाति	d͡ʑ ɲ ɑː t̪ i
ज्ञाति	d͡ʑ ɲ ɑː t̪ í
ज्ञातुं	d͡ʑ ɲ ɑː t̪ u m
ज्ञातुम्	d͡ʑ ɲ ɑː t̪ u m
ज्ञातोस्	d͡ʑ ɲ ɑː t̪ oː s̪
ज्ञातोस्	d͡ʑ ɲ ɑ́ː t̪ ɐ w s̪
ज्ञान	d͡ʑ ɲ ɑː n̪ ɐ
ज्ञान	d͡ʑ ɲ ɑ́ː n̪ ɐ
ज्ञानिन्	d͡ʑ ɲ ɑː n̪ i n̪
ज्ञापयति	d͡ʑ ɲ ɑː p ɐ j ɐ t̪ i
ज्या	d͡ʑ i j ɑ́ː
ज्या	d͡ʑ j ɑː
ज्युत्	d͡ʑ j u t̪
ज्येष्ठ	d͡ʑ j eː ʂ ʈʰ ɐ
ज्येष्ठ	d͡ʑ j ɐ j ʂ ʈʰ ɐ́
