't	t
en	e n
endlech	æ n t l e χ
eneen	e n eː n
eng	æ ŋ
engem	æ ŋ e m
engen	æ ŋ e n
enger	æ ŋ e ʀ
engersäits	æ ŋ ɐ z æː ɪ̯ t͡s
england	æ ŋ l a n t
englesch	æ ŋ l e ʃ
englänner	æ ŋ l æ n e ʀ
enk	æ ŋ k
enkel	æ ŋ k e l
enkelin	æ ŋ k e l i n
enn	æ n
enorm	e n o ʀ m
enregistréieren	ã ʀ e ʒ i s t ʀ e i̯ ʀ e n
enseignant	ãː s æ n j ãː
entbannen	æ n t b a n e n
entdecken	æ n t d æ k e n
entfléien	æ n t f l e i̯ e n
entsat	æ n t z aː t
entschlofen	æ n t ʃ l oː f e n
entschloss	æ n t ʃ l o s
entschléissen	æ n t ʃ l e i̯ s e n
entschëllegen	æ n t ʃ e l e ʁ e n
entschëllegt	æ n t ʃ e l e χ t
entsetzen	æ n t z æ t s e n
entspriechen	æ n t ʃ p ʀ i e̯ χ e n
entstoen	æ n t ʃ t oː ə n
entweder	æ n t v eː d e ʀ
entwéckelen	æ n t v e k e l e n
entwécklung	æ n t v e k l u ŋ
entwëschen	æ n t v e ʃ e n
enveloppe	ã v e l o p
enveloppe	ã v l o p
epicier	e p i s j eː
epidemie	e p i d e m iː
epidemiolog	e p i d e m i o l oː k
epidemiologie	e p i d e m i o l o ɡ iː
eppes	æ p e s
equipe	e k i p
equipe	eː k i p
equipe	æ k i p
eraleeën	e ʀ a l e e n
erbaarmen	e ʀ b aː ʀ m e n
erfrëschen	e ʀ f ʀ e ʃ e n
ergätzen	e ʀ ɡ æ t s e n
erhuuschen	e ʀ h uː ʃ e n
erhuuschten	e ʀ h uː ʃ t e n
eriwwer	e ʀ i v e ʀ
erkennen	e ʀ k æ n e n
erlaben	e ʀ l aː b e n
erof	e ʀ oː f
eroffalen	e ʀ oː f f aː l e n
erofsetzen	e ʀ oː f z æ t s e n
eropsetzen	e ʀ o p z æ t͡s e n
ersetzen	e ʀ z æ t͡s e n
erstaunlech	ɐ ʃ t ɑ ʊ̯ n l ə ɕ
erstécken	e ʀ ʃ t e k e n
erwaarden	e ʀ v aː ʀ d e n
erwëschen	e ʀ v e ʃ e n
erzéien	e ʀ t s e i̯ e n
erzéiung	e ʀ t s e i̯ u ŋ
eréischt	e ʀ e i̯ ʃ t
erëffnung	e ʀ e f n u ŋ
erënneren	e ʀ e n e ʁ e n
erënnerung	e ʀ e n e ʀ u ŋ
esou	e z e u̯
esou	e z u
esoubal	e z u b aː l
esouguer	e z u ɡ uː ʀ
esoulaang	e z u l aː ŋ
esseg	æ s e χ
estland	æ s t l a n t
et	e t
etapp	e t a p
etapp	eː t a p
etlech	æ t l e χ
ettelbréck	æ t e l b ʀ e k
etude	eː t yː t
ewech	e v æ χ
ewell	e v æ l
ewéi	e v e i̯
ewéi	e v i
exageréieren	æ k z a ʒ e ʀ e i̯ ʀ e n
exploitatioun	æ k s p l v a t a t s j e u̯ n
exteren	æ k s t e ʀ e n
faarf	f aː ʀ f
faart	f aː ʀ t
faarweblann	f aː ʀ v e b l a n
faaschten	f aː ʃ t e n
faaschtenzäit	f aː ʃ t e n t s æ i̯ t
faass	f aː s
faassen	f aː s e n
fach	f a χ
fad	f aː t
fahrlehrer	f aː ʀ l eː ʀ e ʀ
fakel	f aː k e l
fal	f aː l
falen	f aː l e n
fall	f a l
fallek	f a l e k
falls	f a l s
famill	f a m i l
fanger	f a ŋ e ʀ
fangernol	f a ŋ e ʀ n oː l
fangerspëtz	f a ŋ e ʀ ʃ p e t s
fann	f a n
fannen	f a n e n
fannt	f a n t
far	f aː ʀ
farcéieren	f a ʀ s e i̯ ʀ e n
fascht	f a ʃ t
fassad	f a s aː t
faszinatioun	f a s t s i n a t s j e u̯ n
fatz	f a t s
faulen	f a u̯ l e n
faulenzen	f æ u̯ l æ n t s e n
fauscht	f æ u̯ ʃ t
februar	f eː b ʀ u aː ʀ
fee	f eː
feelen	f eː l e n
feeler	f eː l e ʀ
feescht	f eː ʃ t
feeën	f e e n
feier	f a i̯ e ʀ
feierblumm	f a i̯ e ʀ b l u m
feierdag	f a i̯ e ʀ d aː χ
feieren	f a i̯ ʀ e n
feil	f a i̯ l
feind	f a i̯ n t
feld	f æ l t
feldhong	f æ l t h o ŋ
fest	f æ s t
festsetzen	f æ s t z æ t s e n
feststellen	f æ s t ʃ t æ l e n
feuter	f øː t e ʀ
fichier	f i ʃ j e
fidderen	f i d e ʀ e n
fieder	f i e̯ d e ʀ
fiederball	f i e̯ d e ʀ b a l
fiels	f i e̯ l s
fierkel	f i e̯ k e l
fierschter	f i e̯ ʀ ʃ t e ʀ
fierwen	f i e̯ v e n
fies	f i e̯ s
fiffi	f i f i
fig	f iː k
figebam	f iː ɡ e b aː m
figur	f i ɡ uː ʀ
fiicht	f iː χ t
fiichtegkeet	f iː χ t e χ k eː t
fiischt	f iː ʃ t
fillen	f i l e n
fils	f i s
filz	f i l s
filzstëft	f i l s ʃ t e f t
finn	f i n
fir	f e ʀ
fir	f iː ʀ
firwat	f i ə̯ v aː t
firwat	f ə v aː t
fiselen	f i z e l e n
fisemreen	f i z e m ʀ eː n
fit	f i t
fixfeier	f i k s f a i̯ e ʀ
fixspoun	f i k s ʃ p e u̯ n
fixspéin	f i k s ʃ p ɜ ɪ̯ n
flaach	f l aː χ
flack	f l a k
fladderen	f l a d e ʀ e n
flam	f l aː m
flanell	f l a n æ l
flank	f l a ŋ k
flapp	f l a p
flappseg	f l ɑ p s ə ɕ
flechten	f l æ χ t e n
fleck	f l æ k
fleegeheem	f l eː ʁ e h eː m
fleesch	f l eː ʃ
flic	f l i k
flich	f l i ɕ
flicht	f l i χ t
fliedermaus	f l i e̯ d e ʀ m æ u̯ s
fligel	f l i ʁ e l
fliger	f l iː ʁ e ʀ
fliicht	f l iː χ t
flirten	f l œː ʀ t e n
flitt	f l i t
flitts	f l i t s
flitzen	f l i t s e n
flom	f l oː m
floss	f l o s
flott	f l o t
flou	f l o u̯
flou	f l u
flouer	f l e u̯ e ʀ
flouernumm	f l e u̯ e ʀ n u m
floumaart	f l e u̯ m aː ʀ t
fluch	f l u χ
fluchen	f l u χ ə n
fluchfeld	f l u χ f æ l t
fluchgesellschaft	f l u χ ɡ ə z æ l ʃ a f t
flued	f l u e̯ t
fluess	f l u e̯ s
fluesssom	f l u e̯ s z oː m
flutschen	f l u t ʃ e n
fläch	f l æ χ
flächen	f l æ ɕ ə n
fläiss	f l æ i̯ s
fläissen	f l æ i̯ s e n
fläsch	f l æ ʃ
fléck	f l e k
flécken	f l e k e n
fléi	f l e i̯
fléi	f l ɜ ɪ̯
fléien	f l e i̯ e n
fléimouk	f l e i̯ m e u̯ k
fléissen	f l e i̯ s e n
flënt	f l e n t
flëss	f l ə s
flütt	f l y t
fofzeg	f o f t s e χ
fofzéng	f o f t s e ŋ
fofzéngt	f o f t s e ŋ t
folleg	f o l e χ
follegen	f o l e ʁ e n
fong	f o ŋ
fonk	f o ŋ k
fonnt	f o n t
fooschen	f oː ʃ e n
force	f o ʀ s
forchette	f o ʀ ʃ æ t
formatéieren	f o ʀ m a t e i̯ ʀ e n
formidabel	f o ʀ m i d aː b e l
forschett	f o ʀ ʃ æ t
fotell	f oː t æ l
fou	f e u̯
fouen	f e u̯ e n
fouer	f e u̯ e ʀ
fouss	f o u̯ s
foussball	f e u̯ s b a l
foussbäll	f ə ʊ̯ z b æ l
foussen	f e u̯ s e n
foussgänger	f e u̯ s ɡ æ ŋ e ʀ
foussnout	f e u̯ s n e u̯ t
fousssuel	f e u̯ s z u e̯ l
fra	f ʀ a
frachtschëff	f ʀ a χ t ʃ e f
frack	f ʀ a k
frankräich	f ʀ a ŋ k ʀ æ i̯ χ
fransous	f ʀ a n z e u̯ s
franséisch	f ʀ a n z e i̯ ʃ
franséisin	f ʀ a n z e i̯ z i n
frascht	f ʀ a ʃ t
frechheet	f ʀ æ χ h eː t
freed	f ʀ eː t
freeën	f ʀ e e n
freideg	f ʀ a i̯ d e χ
freien	f ʀ a i̯ e n
frell	f ʀ æ l
fridden	f ʀ i d e n
friddlech	f ʀ i t l e χ
frieden	f ʀ i e̯ d e n
friem	f ʀ i e̯ m
friess	f ʀ i e̯ s
friessen	f ʀ i e̯ s e n
friesst	f ʀ i e̯ s t
fritt	f ʀ i t
fritten	f ʀ i t e n
fro	f ʀ o
froen	f ʀ o e n
fromm	f ʀ o m
frooss	f ʀ oː s
frou	f ʀ e u̯
frust	f ʀ u s t
fruucht	f ʀ uː χ t
fräi	f ʀ æ i̯
fräistouss	f ʀ æ i̯ ʃ t e u̯ s
fräsch	f ʀ æ ʃ
fréi	f ʀ e i̯
fréier	f ʀ e i̯ e ʀ
fréieren	f ʀ e i̯ ʀ e n
fréijoer	f ʀ e i̯ j oː e ʀ
frënd	f ʀ e n t
frësch	f ʀ e ʃ
frëss	f ʀ e s
frësst	f ʀ e s t
fudder	f u d e ʀ
fuedem	f u e̯ d e m
fuer	f uː ʀ
fueren	f uː ʀ e n
fuererflucht	f uː ʀ e ʀ f l u χ t
fuerplang	f uː ʀ p l a ŋ
fuerschen	f u e̯ ʃ e n
fuert	f uː ʀ t
fuerz	f u e̯ t s
fuerzen	f u e̯ t s e n
futti	f u t i
fuuss	f uː s
fächer	f æ χ e ʀ
fäeg	f e e χ
fäeg	f æ e χ
fäerdeg	f eː ʀ d e χ
fäerten	f eː ʀ t e n
fähr	f eː ʀ
fäil	f æ i̯ l
fäischt	f æ i̯ ʃ t
fälleg	f æ l e χ
fälschen	f æ l ʃ e n
fändel	f æ n d e l
fänken	f æ ŋ k e n
fécken	f e k e n
féieren	f e i̯ ʀ e n
féiss	f e i̯ s
féiwer	f e i̯ v e ʀ
fëllen	f ə l ə n
fëmmen	f e m e n
fënnef	f e n e f
fënneft	f e n e f t
fënns	f e n s
fënnt	f e n t
fënster	f e n s t e ʀ
fësch	f e ʃ
fëschen	f e ʃ e n
fëscher	f e ʃ e ʀ
gaalgen	ɡ aː l ʁ e n
gaapsen	ɡ aː p s e n
gaardeboun	ɡ aː ʀ d e b e u̯ n
gaarf	ɡ aː ʀ f
gaart	ɡ aː ʀ t
gaascht	ɡ aː ʃ t
gaass	ɡ aː s
gafel	ɡ aː f e l
gal	ɡ aː l
gamm	ɡ a m
gang	ɡ a ŋ
gank	ɡ a ŋ k
ganz	ɡ a n s
gar	ɡ aː ʀ
gare	ɡ aː ʀ
garrelen	ɡ a ʀ e l e n
gas	ɡ aː s
gebai	ɡ e b a i̯
gebass	ɡ e b a s
gebeess	ɡ e b eː s
gebiet	ɡ e b i e̯ t
gebitt	ɡ e b i t
geblitt	ɡ e b l i t
geblosen	ɡ e b l oː z e n
gebonnen	ɡ e b o n e n
gebot	ɡ e b oː t
gebrach	ɡ e b ʀ a χ
gebrauchen	ɡ e b ʀ æ u̯ χ e n
gebroden	ɡ e b ʀ oː d e n
gebräichlech	ɡ e b ʀ æ i̯ χ l e χ
gebueden	ɡ e b u e̯ d e n
gebuert	ɡ e b uː ʀ t
gedanken	ɡ e d a ŋ k e n
gediechtnes	ɡ e d i e̯ χ t n e s
gedoen	ɡ e d o e n
gedold	ɡ e d o l t
gedriwwen	ɡ e d ʀ i v e n
gedroen	ɡ e d ʀ o e n
gedronk	ɡ e d ʀ o ŋ k
geescht	ɡ eː ʃ t
geeschteg	ɡ eː ʃ t e χ
geeschter	ɡ eː ʃ t e ʀ
geeschtlech	ɡ eː ʃ t l e χ
geeschtlechen	ɡ eː ʃ t l e χ e n
geeschtlechkeet	ɡ eː ʃ t l e χ k eː t
geess	ɡ eː s
geessebock	ɡ eː s e b o k
gefaach	ɡ e f aː χ
gefalen	ɡ e f aː l e n
gefier	ɡ e f iː ʀ
gefill	ɡ e f i l
gefisems	ɡ e f i z e m s
geflass	ɡ e f l a s
geflunn	ɡ e f l u n
gefor	ɡ e f oː ʀ
gefriess	ɡ e f ʀ i e̯ s
gefuer	ɡ e f uː ʀ
gefäll	ɡ e f æ l
gehacktes	ɡ e h a k t e s
gehaen	ɡ e h a e n
gehalen	ɡ e h aː l e n
geheechnes	ɡ e h eː χ n e s
geheien	ɡ e h a i̯ e n
geheim	ɡ e h a i̯ m
geheimnis	ɡ e h a i̯ m n i s
gehir	ɡ e h iː ʀ
geholl	ɡ e h o l
gehuewen	ɡ e h u e̯ v e n
gehéiereg	ɡ e h e i̯ ʀ e χ
gehéieren	ɡ e h e i̯ ʀ e n
gei	ɡ a i̯
gejot	ɡ e j oː t
gejot	ɡ e ʒ oː t
geklommen	ɡ e k l o m e n
gel	ʒ æ l
gelaf	ɡ e l aː f
geleeën	ɡ e l e e n
gelidden	ɡ e l i d e n
gellecht	ɡ æ l e χ t
gelooss	ɡ e l oː s
gelungen	ɡ e l u ŋ e n
gelunn	ɡ e l u n
geléngen	ɡ e l e ŋ e n
gemaach	ɡ e m aː χ
gemeng	ɡ e m æ ŋ
gemidden	ɡ e m i d e n
gemitt	ɡ e m i t
geméis	ɡ e m e i̯ s
genee	ɡ e n e
genereel	ʒ e n e ʀ eː l
generol	ʒ e n e ʀ oː l
genie	ʒ e n i
genoss	ɡ e n o s
genuch	ɡ e n u χ
genéieren	ʒ e n e i̯ ʀ e n
genéissen	ɡ e n e i̯ s e n
gepaakt	ɡ e p aː k t
gepëspers	ɡ e p e s p e ʀ s
geraf	ɡ e ʀ aː f
geraimeg	ɡ e ʀ a i̯ m e χ
gerass	ɡ e ʀ a s
gerecht	ɡ e ʀ æ χ t
gerechtegkeet	ɡ e ʀ æ χ t e χ k eː t
gereest	ɡ e ʀ eː s t
geridden	ɡ e ʀ i d e n
geriicht	ɡ e ʀ iː χ t
geriwwen	ɡ e ʀ i v e n
germanesch	ɡ eː ʀ m aː n e ʃ
geroden	ɡ e ʀ oː d e n
geräisch	ɡ e ʀ æ i̯ ʃ
geräischer	ɡ e ʀ æ i̯ ʃ e ʀ
geréieren	ʒ e ʀ e i̯ ʀ ə n
geschass	ɡ e ʃ a s
gescheit	ɡ ə ʃ ɑ ɪ̯ t
geschicht	ɡ e ʃ i χ t
geschitt	ɡ e ʃ i t
geschlass	ɡ e ʃ l a s
geschlechtsflësseg	ɡ e ʃ l æ χ t s f l e s e χ
geschlechtsverkéier	ɡ e ʃ l æ χ t s f e ʀ k e i̯ e ʀ
geschmaach	ɡ e ʃ m aː χ
geschmass	ɡ e ʃ m a s
geschwënn	ɡ e ʃ v e n
geschäft	ɡ ə ʃ æ f t
geschéien	ɡ e ʃ e i̯ e n
gesell	ɡ e z æ l
gesetz	ɡ e z æ t s
gesetzlech	ɡ e z æ t s l e χ
gesiicht	ɡ e z iː χ t
gesinn	ɡ e z i n
gesond	ɡ e z o n t
gespier	ɡ ə ʃ p iː ʀ
gesprongen	ɡ e ʃ p ʀ o ŋ e n
gespréich	ɡ e ʃ p ʀ e i̯ χ
gespréicheg	ɡ e ʃ p ʀ e i̯ χ e χ
gestraich	ɡ e ʃ t ʀ a i̯ χ
gestreits	ɡ e ʃ t ʀ a i̯ t s
gesträift	ɡ e ʃ t ʀ æ i̯ f t
getratt	ɡ e t ʀ a t
getrueden	ɡ e t ʀ u e̯ d e n
getëppelt	ɡ e t e p e l t
gewannen	ɡ e v a n e n
gewierz	ɡ e v i e̯ t s
gewiicht	ɡ e v iː χ t
gewinnen	ɡ e v i n e n
gewosst	ɡ e v o s t
gewuess	ɡ e v u e̯ s
gewuesst	ɡ e v u e̯ s t
gewunnecht	ɡ e v u n e χ t
gewënn	ɡ e v e n
gewëssen	ɡ e v e s e n
gezei	ɡ e t s a i̯
gezunn	ɡ e t s u n
gezwitschert	ɡ e t s v i t ʃ e ʀ t
giedel	ɡ i e̯ d e l
giel	ɡ i e̯ l
gierwen	ɡ i e̯ v e n
gierwer	ɡ i e̯ ʀ v e ʀ
gierwerei	ɡ i e̯ v e ʀ a i̯
giess	ɡ i e̯ s
gif	ɡ iː f
giicht	ɡ iː χ t
ginn	ɡ i n
gipsen	ɡ i p s ə n
gipser	ɡ i p s ɐ
giraff	ʒ i ʀ a f
gitt	ɡ i t
gittar	ɡ i t aː ʀ
glace	ɡ l a s
glaf	ɡ l aː f
glanz	ɡ l a n s
glas	ɡ l aː s
glasbléiser	ɡ l aː z b l ɜ ɪ̯ z ɐ
glaseg	ɡ l aː z e χ
glat	ɡ l aː t
glatz	ɡ l a t s
glawen	ɡ l aː v e n
gleewen	ɡ l eː v e n
glidd	ɡ l i t
glidderen	ɡ l i d e ʀ e n
gliesen	ɡ l i e̯ z e n
glott	ɡ l o t
glous	ɡ l e u̯ s
glousen	ɡ l e u̯ t s e n
gläich	ɡ l æ i̯ χ
gläichen	ɡ l æ i̯ χ e n
gléck	ɡ l e k
glécken	ɡ l e k e n
glëtsch	ɡ l e t ʃ
glëtz	ɡ l e t s
gnod	ɡ n oː t
goen	ɡ o e n
gof	ɡ oː f
gol	ɡ oː l
gold	ɡ o l t
goldfësch	ɡ o l t f e ʃ
golf	ɡ o l f
gomm	ɡ o m
gonnen	ɡ o n e n
gonscht	ɡ o n ʃ t
goss	ɡ o s
gott	ɡ o t
goût	ɡ u
graf	ɡ ʀ aː f
graff	ɡ ʀ a f
grafschrëft	ɡ ʀ aː f ʃ ʀ e f t
grafsteen	ɡ ʀ aː f ʃ t eː n
gramm	ɡ ʀ a m
granat	ɡ ʀ a n aː t
granatapel	ɡ ʀ a n aː t aː p ə l
grand	ɡ ʀ a n t
grapp	ɡ ʀ a p
gras	ɡ ʀ aː s
graskaarp	ɡ ʀ aː s k aː ʀ p
gratinéieren	ɡ ʀ a t i n e i̯ ʀ e n
gravitatioun	ɡ ʀ a v i t a t s j e u̯ n
gravitéit	ɡ ʀ a v i t e i̯ t
greef	ɡ ʀ eː f
grell	ɡ ʀ æ l
grenz	ɡ ʁ æ n t͡s
griich	ɡ ʀ iː χ
griicheland	ɡ ʀ iː χ e l a n t
griichesch	ɡ ʀ iː χ e ʃ
grill	ɡ ʀ i l
grillen	ɡ ʀ i l ə n
grimmel	ɡ ʀ i m e l
gripp	ɡ ʀ i p
gro	ɡ ʀ o
grof	ɡ ʀ oː f
gromees	ɡ ʀ oː m eː s
grommelen	ɡ ʀ o m e l e n
gromper	ɡ ʀ o m p e ʀ
grond	ɡ ʀ o n t
grondel	ɡ ʀ o n d e l
grott	ɡ ʀ o t
grouf	ɡ ʀ e u̯ f
grouss	ɡ ʀ e u̯ s
groussem	ɡ ʀ e u̯ s e m
groussen	ɡ ʀ e u̯ s e n
grousser	ɡ ʀ e u̯ s e ʀ
groussmamm	ɡ ʀ e u̯ s m a m
grousspapp	ɡ ʀ e u̯ s p a p
grousst	ɡ ʀ e u̯ s t
gruef	ɡ ʀ u e̯ f
gruewen	ɡ ʀ u e̯ v e n
grupp	ɡ ʀ u p
gräifen	ɡ ʀ æ i̯ f e n
gräisslech	ɡ ʀ æ i̯ s l e χ
gréif	ɡ ʀ e i̯ f
gréissen	ɡ ʀ e i̯ s e n
gréisst	ɡ ʀ e i̯ s t
gréiwemaacher	ɡ ʀ e i̯ v e m aː χ e ʀ
gréng	ɡ ʀ e ŋ
gréngen	ɡ ʀ e ŋ e n
grëff	ɡ ʀ e f
grënnen	ɡ ʀ e n e n
grënner	ɡ ʀ e n e ʀ
grëtz	ɡ ʀ e t s
guckuck	ɡ u k u k
guddem	ɡ u d e m
gudden	ɡ u d e n
gudder	ɡ u d e ʀ
gued	ɡ u e̯ t
guer	ɡ uː ʀ
gumm	ɡ u m
gutt	ɡ u t
gäertner	ɡ eː ʀ t n e ʀ
gäipmännchen	ɡ æ i̯ p m æ n χ e n
gäissel	ɡ æ i̯ s ə l
gäisselen	ɡ æ i̯ s e l e n
gäiz	ɡ æ i̯ t s
gäizen	ɡ æ i̯ t s e n
gäng	ɡ æ ŋ
gäns	ɡ æ n s
gänsen	ɡ æ n z ə n
gär	ɡ ɛː ə̯
gäscht	ɡ æ ʃ t
gässen	ɡ æ s e n
géi	ɡ e i̯
géigend	ɡ e i̯ ʁ e n t
géigner	ɡ e i̯ χ n e ʀ
géint	ɡ e i̯ n t
géinteneen	ɡ e i̯ n t e n eː n
géintiwwer	ɡ e i̯ n t i v e ʀ
géissen	ɡ e i̯ s e n
gëft	ɡ e f t
gëllen	ɡ e l e n
gënnen	ɡ e n e n
gëscht	ɡ e ʃ t
gëschter	ɡ e ʃ t e ʀ
ha	h a
haalt	h aː l t
haaptfach	h aː p t f a χ
haaptsaach	h aː p t z aː χ
haaptstad	h aː p t ʃ t aː t
haaptsächlech	h aː p t z æ χ l e χ
haart	h aː ʀ t
haarz	h aː ʀ t s
haass	h aː s
haassen	h aː s e n
hachéieren	h a ʃ e i̯ ʀ e n
hackernoss	h a k e ʀ n o s
haen	h a e n
haff	h a f
hafteg	h ɑ f t ə ɕ
haifësch	h a i̯ f e ʃ
hait	h a i̯ t
haiteg	h a i̯ t e χ
hal	h aː l
halen	h aː l e n
hall	h a l
hall	h o l
hall	h oː l
hallef	h a l e f
hallefnuecht	h a l e f n u e̯ χ t
hallem	h a l e m
hals	h a l s
halschent	h a l ʃ e n t
ham	h aː m
hambier	h a m b iː ʀ
hammel	h ɑ m ə l
hamster	h a m s t e ʀ
hamsteren	h ɑ m s t ə ʁ ə n
hand	h a n t
handbrems	h a n t b ʀ æ m s
handduch	h a n t d u χ
handelen	h a n d e l e n
handgelenk	h a n t ɡ e l æ ŋ k
handlung	h a n t l u ŋ
handy	h æ n d i
handyen	h æ n d i e n
hanf	h a n f
hank	h a ŋ k
hannen	h a n e n
hannendran	h a n e n d ʀ a n
hannendrun	h a n e n d ʀ u n
hannenno	h a n e n n o
hanner	h a n e ʀ
hannereneen	h a n e ʀ e n eː n
hannerwands	h a n e ʀ v a n s
hanneschtsetzen	h a n e ʃ t z æ t s e n
hannevir	h a n e f iː ʀ
happ	h a p
har	h aː ʀ
hardenne	h ɑ ʁ d æ n
harespel	h a ʀ æ s p e l
harespel	h aː ʀ æ s p e l
harf	h a ʀ f
hat	h aː t
hatt	h a t
hauf	h a u̯ f
haus	h æ u̯ s
hausdéier	h æ u̯ s d e i̯ e ʀ
haut	h a u̯ t
haut	h æ u̯ t
hautdesdaags	h ɑ ʊ̯ t d ə z d aː χ s
hautdokter	h a u̯ t d o k t e ʀ
hauwemees	h a u̯ v e m eː s
heck	h æ k
hee	h e
heed	h eː t
heefen	h eː f e n
heel	h eː l
heelen	h eː l e n
heelung	h eː l u ŋ
heem	h eː m
heemecht	h eː m e χ t
heemechtshaus	h eː m e χ t s h æ u̯ s
heemschécken	h eː m ʃ e k e n
hees	h eː s
heeschen	h eː ʃ e n
heeschnapp	h eː ʃ n a p
heesprénger	h eː ʃ p ʀ e ŋ ɐ
heet	h eː t
heften	h æ f t e n
hei	h a i̯
heiansdo	h a i̯ a n s d o
heizkierper	h a i̯ t s k i e̯ p e ʀ
held	h æ l t
hell	h æ l
hellblo	h æ l b l o
helleg	h æ l e χ
hellegspriechen	h æ l e χ ʃ p ʀ i e̯ χ e n
helm	h æ l m
hengscht	h æ ŋ ʃ t
herno	h e ʀ n o
herrlech	h æ ʀ l e χ
herrlechkeet	h æ ʀ l e χ k eː t
herzog	h æ ʀ t s o χ
herzogtum	h æ ʀ t s o χ t u m
hessesch	h æ s e ʃ
hetz	h æ t s
hexen	h æ k s e n
hicken	h i k e n
hidden	h i d e n
hiecht	h i e̯ χ t
hief	h i e̯ f
hiel	h i e̯ l
hielenner	h i e̯ l æ n e ʀ
hiem	h i e̯ m
hien	h i e̯ n
hier	h iː ʀ
hierk	h i e̯ k
hierscht	h i e̯ ʃ t
hierschtkueb	h i e̯ ʃ t k u e̯ p
hiert	h i e̯ ʀ t
hiert	h iː ʀ t
hieselnoss	h i e̯ z e l n o s
hieselter	h i e̯ z e l t e ʀ
hiewan	h i ə̯ v aː n
hiewel	h i e̯ v e l
hiewen	h i e̯ v e n
him	h i m
himmel	h i m e l
himmelblo	h i m e l b l o
himmelen	h i m e l e n
himmelräich	h i m e l ʀ æ i̯ χ
himmelsdéierchen	h i m e l s d e i̯ e ʀ χ e n
hindeiten	h i n d a i̯ t e n
hinnen	h i n e n
hir	h iː ʀ
hirsch	h i ʀ ʃ
historesch	h i s t oː ʀ e ʃ
historiker	h i s t oː ʀ i k e ʀ
hiweisen	h i v a i̯ z e n
hiwwel	h i v e l
ho	h o
hoer	h oː e ʀ
hoerbiischt	h oː e ʀ b iː ʃ t
hoff	h o f
hoffen	h o f e n
hol	h oː l
holland	h o l a n t
hollännesch	h o l æ n e ʃ
hollännesch	h o l æ n ə ʃ
holz	h o l s
homard	h o m aː ʀ
hond	h o n t
hong	h o ŋ
honger	h o ŋ e ʀ
honnert	h o n e ʀ t
hoppelen	h o p e l e n
horaire	h o ʀ eː ʀ
horaire	h oː ʀ eː ʀ
hospitaliséieren	h ɔ s p i t ɑ l i z ɜ ɪ̯ ə ʁ ə n
hotel	h o t æ l
hotel	h oː t æ l
hott	h o t
houer	h e u̯ e ʀ
houf	h e u̯ f
houfeisen	h e u̯ f a i̯ z e n
houfert	h e u̯ f e ʀ t
houfreg	h e u̯ f ʀ e χ
houfschmadd	h e u̯ f ʃ m a t
houscht	h e u̯ ʃ t
houschten	h e u̯ ʃ t e n
huel	h u e̯ l
huelen	h u e̯ l e n
huelt	h u e̯ l t
huer	h uː ʀ
huerteg	h ʊ ə̯ ʀ t e χ
hues	h u e̯ s
huesenziwwi	h u e̯ z e n t s i v i
huewer	h u e̯ v e ʀ
hummer	h u m e ʀ
hummeren	h u m ə ʀ ə n
hunn	h u n
hunneg	h u n e χ
huppen	h u p e n
huschen	h u ʃ e n
hutt	h u t
huwwel	h u v e l
huwwelen	h u v e l e n
häerd	h eː ʀ t
häerden	h eː ʀ d e n
häerz	h eː ʀ t s
häerzer	h ɛː ɐ̯ t͡s ɐ
häip	h æ i̯ p
häll	h æ l
hällewull	h æ l e v u l
häls	h æ l s
hält	h æ l t
hämmel	h æ m ə l
hämmelfleesch	h æ m e l f l eː ʃ
händchen	h æ n t χ e n
händsch	h æ n t ʃ
hänken	h æ ŋ k e n
hänn	h æ n
hännercher	h æ n ɐ ɕ ɐ
hänselen	h æ n z e l e n
hätschelen	h æ t ʃ e l e n
héchstens	h e k s t e n s
héich	h e i̯ χ
héichhaus	h e i̯ χ h æ u̯ s
héichsprong	h e i̯ χ ʃ p ʀ o ŋ
héicht	h e i̯ χ t
héichtenangscht	h e i̯ χ t e n a ŋ ʃ t
héichuewen	h e i̯ χ u e̯ v e n
héieren	h e i̯ ʀ e n
héiflech	h e i̯ f l e χ
héiflechkeet	h e i̯ f l e χ k eː t
héijen	h e i̯ ʁ e n
héil	h e i̯ l
héiss	h e i̯ s
héissen	h e i̯ s e n
hénger	h e ŋ e ʀ
héngeree	h e ŋ e ʀ e
héngerhaut	h e ŋ e ʀ h æ u̯ t
hëft	h e f t
hëllef	h e l e f
hëllefen	h e l e f e n
hëllefsverb	h e l e f s v æ ʀ p
hëls	h e l s
hëlt	h e l t
hëlzen	h e l t s e n
hënn	h ə n
hënt	h e n t
hëtzen	h e t s e n
hëtzt	h e t s t
ideal	i d e aː l
ideal	i d i aː l
iech	e χ
iech	i e̯ χ
iechternach	i e̯ χ t e ʀ n a χ
ielebou	i e̯ l e b e u̯
ierbes	i e̯ b e s
ierflech	i e̯ f l e χ
iergenden	i e̯ ʁ e n t e n
iergendeng	i e̯ ʁ e n t æ ŋ
iergendengem	i e̯ ʁ e n t æ ŋ e m
iergendenger	i e̯ ʁ e n t æ ŋ e ʀ
ierger	i e̯ ʁ e ʀ
iergeren	i e̯ ʁ e ʀ e n
ierwen	i e̯ v e n
iesel	i e̯ z e l
iess	i e̯ s
iessen	i e̯ s e n
iessläffel	i e̯ s l æ f e l
