ँ	ə̃
गुणा	ɡ ʊ ɳ äː
गुणांक	ɡ ʊ ɳ ä̃ː k
गुदा	ɡ ʊ d̪ äː
गुदाद्वार	ɡ ʊ d̪ äː d̪ w äː ɾ
गुनगुनाना	ɡ ʊ̃ n̪ ɡ ʊ n̪ äː n̪ äː
गुनना	ɡ ʊ̃ n̪ n̪ äː
गुनाह	ɡ ʊ n̪ äː ɦ
गुप्तचर	ɡ ʊ p t̪̚ t͡ʃ ə ɾ
गुप्तांग	ɡ ʊ p t̪ ä̃ː ŋ ɡ
गुफ़ा	ɡ ʊ f äː
गुफ़्तार	ɡ ʊ f t̪ äː ɾ
गुफ़्तार	ɡ ʊ pʰ t̪ äː ɾ
गुफा	ɡ ʊ f äː
गुफा	ɡ ʊ pʰ äː
गुबरैला	ɡ ʊ b ɾ ɛː l̪ äː
गुब्बारा	ɡ ʊ b̚ b äː ɾ äː
गुब्बारा	ɣ ʊ b̚ b äː ɾ äː
गुम	ɡ ʊ̃ m
गुमना	ɡ ʊ̃ m n̪ äː
गुमनाम	ɡ ʊ̃ m n̪ ä̃ː m
गुमशुदा	ɡ ʊ̃ m ʃ ʊ d̪ äː
गुमसुम	ɡ ʊ̃ m s̪ ʊ̃ m
गुरबानी	ɡ ʊ ɾ b äː n̪ iː
गुरुकुल	ɡ ʊ ɾ ʊ k ʊ l̪
गुरुत्व	ɡ ʊ ɾ ʊ t̪ w ə
गुरुत्वीय	ɡ ʊ ɾ ʊ t̪ w iː jᵊ
गुरुद्वारा	ɡ ʊ ɾ ʊ d̪ w äː ɾ äː
गुरुवार	ɡ ʊ ɾ ʊ ʋ äː ɾ
गुर्जिस्तान	ɡ ʊ ɾ d͡ʒ ɪ s̪ t̪ ä̃ː n̪
गुर्दा	ɡ ʊ ɾ d̪ äː
गुल	ɡ ʊ l̪
गुलज़ार	ɡ ʊ l̪ d͡ʒ äː ɾ
गुलज़ार	ɡ ʊ l̪ z äː ɾ
गुलदस्ता	ɡ ʊ l̪ d̪ ə s̪ t̪ äː
गुलदान	ɡ ʊ l̪ d̪ ä̃ː n̪
गुलशन	ɡ ʊ l̪ ʃ ə̃ n̪
गुलाब	ɡ ʊ l̪ äː b
गुलाब	ɡ ʊ l̪ ə b
गुलाबी	ɡ ʊ l̪ äː b iː
गुलाम	ɡ ʊ l̪ ä̃ː m
गुलाम	ɣ ʊ l̪ ä̃ː m
गुलूबंद	ɡ ʊ l̪ uː b ə̃ n̪ d̪
गुलेल	ɡ ʊ l̪ eː l̪
गुल्लक	ɡ ʊ l̪ l̪ ə k
गुवाहाटी	ɡ ʊ ʋ äː ɦ äː ʈ iː
गुस्ताख़	ɡ ʊ s̪ t̪ äː kʰ
गुस्ताख़	ɡ ʊ s̪ t̪ äː x
गुस्ताख़ी	ɡ ʊ s̪ t̪ äː kʰ iː
गुस्ताख़ी	ɡ ʊ s̪ t̪ äː x iː
गुस्सा	ɡ ʊ s̪ s̪ äː
गुस्सा	ɣ ʊ s̪ s̪ äː
गुहा	ɡ ʊ ɦ äː
गुहार	ɡ ʊ ɦ äː ɾ
गूंगा	ɡ ũː ŋ ɡ äː
गूंज	ɡ ũː n̪ d͡ʒ
गूंजना	ɡ ũː n̪ d͡ʒ n̪ äː
गूगल	ɡ uː ɡ ə l̪
गृहमंत्री	ɡ ɾ ɪ ɦ m ə̃ n̪ t̪ ɾ iː
गृहस्थ	ɡ ɾ ɪ ɦ ə s̪ t̪ʰ
गेरुआ	ɡ eː ɾ ʊ äː
गैंडा	ɡ ɛ̃ː ɳ ɖ äː
गैलन	ɡ ɛː l̪ ə̃ n̪
गैस	ɡ æ s̪
गैस	ɡ ɛː s̪
गॉर्डन	ɡ ɔ ɾ ɖ ə̃ n̪
गोंद	ɡ õː n̪ d̪
गोड़ना	ɡ oː ɽ n̪ äː
गोधूम	ɡ oː d̪ʱ ũː m
गोपनीयता	ɡ oː p n̪ iː j t̪ äː
गोबरैला	ɡ oː b ɾ ɛː l̪ äː
गोरक्षा	ɡ oː ɾ ə k ʃ äː
गोरखा	ɡ oː ɾ kʰ äː
गोरिल्ला	ɡ oː ɾ ɪ l̪ äː
गोल	ɡ oː l̪
गोलंदाज़	ɡ oː l̪ ə̃ n̪ d̪ äː d͡ʒ
गोलंदाज़	ɡ oː l̪ ə̃ n̪ d̪ äː z
गोलगप्पा	ɡ oː l̪ ɡ ə p̚ p äː
गोलबंदी	ɡ oː l̪ b ə̃ n̪ d̪ iː
गोलमाल	ɡ oː l̪ m äː l̪
गोला	ɡ oː l̪ äː
गोली	ɡ oː l̪ iː
गोलीबारी	ɡ oː l̪ iː b äː ɾ iː
गोवा	ɡ oː ʋ äː
गोष्ठी	ɡ oː ʃ ʈʰ iː
गौरवशाली	ɡ ɔː ɾ ə ʋ ʃ äː l̪ iː
गौरवान्वित	ɡ ɔː ɾ ə ʋ ä̃ː n̪ w ɪ t̪
गौरैया	ɡ ɔː ɾ ə̯ i j äː
गौशाला	ɡ ɔː ʃ äː l̪ äː
ग्यारह	ɡ j äː ɾ äː
ग्यारह	ɡ j äː ɾ ə ɦ
ग्यारह	ɡ j äː ɾ ɛː
ग्रंथकार	ɡ ɾ ə̃ n̪ t̪ʰ k äː ɾ
ग्रंथालय	ɡ ɾ ə̃ n̪ t̪ʰ äː l̪ ɛː
ग्रथन	ɡ ɾ ə t̪ʰ ə̃ n̪
ग्राम	ɡ ɾ ä̃ː m
ग्रामचर्या	ɡ ɾ ä̃ː m t͡ʃ ə ɾ j äː
ग्रामीण	ɡ ɾ äː m ĩː ɳ
ग्राहक	ɡ ɾ äː ɦ ə k
ग्रीष्म	ɡ ɾ iː ʃ mᵊ
ग्रीस	ɡ ɾ iː s̪
ग्लासगो	ɡ l̪ äː s̪ ɡ oː
ग्वाटेमाला	ɡ ʋ äː ʈ eː m äː l̪ äː
ग्वार	ɡ ʋ äː ɾ
ग्वारपाठा	ɡ ʋ äː ɾ p äː ʈʰ äː
ग्वाला	ɡ ʋ äː l̪ äː
ग्वालियर	ɡ ʋ äː l̪ i j ə ɾ
घंटा	ɡʱ ə ɳ ʈ aː
घटना	ɡʱ ə ʈ n̪ äː
घटनास्थल	ɡʱ ə ʈ n̪ äː s̪ t̪ʰ ə l̪
घटाना	ɡʱ ə ʈ äː n̪ äː
घटिया	ɡʱ ə ʈ i j äː
घड़ियाल	ɡʱ ə ɽ i j äː l̪
घन	ɡʱ ə̃ n̪
घनचक्कर	ɡʱ ə̃ n̪ t͡ʃ ə k̚ k ə ɾ
घनत्व	ɡʱ ə n̪ ə t̪ wᵊ
घना	ɡʱ ə n̪ äː
घनीय	ɡʱ ə n̪ iː jᵊ
घबराना	ɡʱ ə b ɾ äː n̪ äː
घबराहट	ɡʱ ə b ɾ äː ɦ ə ʈ
घमंड	ɡʱ ə m ə̃ ɳ ɖ
घमंडी	ɡʱ ə m ə̃ ɳ ɖ iː
घमासान	ɡʱ ə m äː s̪ ä̃ː n̪
घराना	ɡʱ ə ɾ äː n̪ äː
घरेलू	ɡʱ ə ɾ eː l̪ uː
घर्षण	ɡʱ ə ɾ ʃ ə̃ ɳ
घसियारा	ɡʱ ə s̪ i j äː ɾ äː
घसीटना	ɡʱ ə s̪ iː ʈ n̪ äː
घाट	ɡʱ äː ʈ
घाटा	ɡʱ äː ʈ äː
घाटी	ɡʱ äː ʈ iː
घात	ɡʱ äː t̪
घातीय	ɡʱ äː t̪ iː jᵊ
घाना	ɡʱ äː n̪ äː
घायल	ɡʱ äː j ə l̪
घाव	ɡʱ äː ʋ
घिरना	ɡʱ ɪ ɾ n̪ äː
घीया	ɡʱ iː j äː
घुँघरू	ɡʱ ʊ̃ ŋ ɡʱ ɾ uː
घुंघरू	ɡʱ ʊ̃ ŋ ɡʱ ɾ uː
घुंडी	ɡʱ ʊ̃ ɳ ɖ iː
घुटना	ɡʱ ʊ ʈ n̪ äː
घुड़सवार	ɡʱ ʊ ɽ s̪ ə ʋ äː ɾ
घुड़सवारी	ɡʱ ʊ ɽ s̪ ə ʋ äː ɾ ɪː
घुसड़ना	ɡʱ ʊ s̪ ə ɽ n̪ äː
घुसपैठ	ɡʱ ʊ s̪ p ɛː ʈʰ
घुसपैठिया	ɡʱ ʊ s̪ p ɛː ʈʰ i j äː
घूँघट	ɡʱ ũː ŋ ɡʱ ə ʈ
घूम	ɡʱ ũː m
घूरना	ɡʱ uː ɾ n̪ äː
घूर्णन	ɡʱ uː ɾ ɳ ə̃ n̪
घूर्णवायु	ɡʱ uː ɾ ɳ ə ʋ äː j uː
घूस	ɡʱ uː s̪
घूसख़ोर	ɡʱ uː s̪ kʰ oː ɾ
घूसख़ोर	ɡʱ uː s̪ x oː ɾ
घूसख़ोरी	ɡʱ uː s̪ kʰ oː ɾ iː
घूसख़ोरी	ɡʱ uː s̪ x oː ɾ iː
घृणास्पद	ɡʱ ɾ ɪ ɳ äː s̪ p ə d̪
घेरना	ɡʱ eː ɾ n̪ äː
घेरा	ɡʱ eː ɾ äː
घेराव	ɡʱ eː ɾ äː ʋ
घोंगा	ɡʱ õː ŋ ɡ äː
घोंघा	ɡʱ õː ŋ ɡʱ äː
घोटाला	ɡʱ oː ʈ äː l̪ äː
घोड़ा	ɡʱ oː ɽ äː
घोराही	ɡʱ oː ɾ äː ɦ iː
घोल	ɡʱ oː l̪
घोलना	ɡʱ oː l̪ n̪ äː
घोषक	ɡʱ oː ʃ ə k
घोषणा	ɡʱ oː ʃ ɳ äː
घोषित	ɡʱ oː ʃ ɪ t̪
चंकट	t͡ʃ ə̃ ŋ k ə ʈ
चंडीगढ़	t͡ʃ ə̃ ɳ ɖ iː ɡ ə ɽʱ
चंद	t͡ʃ ə̃ n̪ d̪
चंदा	t͡ʃ ə̃ n̪ d̪ äː
चंद्र	t͡ʃ ə̃ n̪ d̪ ɾᵊ
चंद्रगुप्त	t͡ʃ ə̃ n̪ d̪ ɾ ə ɡ ʊ p t̪
चंद्रग्रहण	t͡ʃ ə̃ n̪ d̪ ɾ ə ɡ ɾ ɛ ɦ ɛ̃ ɳ
चंद्रबिंदु	t͡ʃ ə̃ n̪ d̪ ɾ ə b ɪ̃ n̪ d̪ uː
चंद्रमा	t͡ʃ ə̃ n̪ d̪ ɾ ə m äː
चंद्रवार	t͡ʃ ə̃ n̪ d̪ ɾ ə ʋ äː ɾ
चंद्रिका	t͡ʃ ə̃ n̪ d̪ ɾ ɪ k äː
चंपा	t͡ʃ ə̃ m p äː
चकाचौंध	t͡ʃ ə k äː t͡ʃ ɔ̃ː n̪ d̪ʱ
चकोतरा	t͡ʃ ə k oː t̪ ɾ äː
चक्कर	t͡ʃ ə k̚ k ə ɾ
चक्का	t͡ʃ ə k̚ k äː
चक्रवृद्धि	t͡ʃ ə k ɾ ə ʋ ɾ ɪ d̪̚ d̪ʱ iː
चक्षु	t͡ʃ ə k ʃ uː
चक्षुदान	t͡ʃ ə k ʃ ʊ d̪ ä̃ː n̪
चखना	t͡ʃ ə kʰ n̪ äː
चटकारा	t͡ʃ ə ʈ k äː ɾ äː
चटगांव	t͡ʃ ə ʈ ɡ ä̃ː m w
चटनी	t͡ʃ ə ʈ n̪ iː
चट्टान	t͡ʃ ə ʈ̚ ʈ ä̃ː n̪
चड्डी	t͡ʃ ə ɖ̚ ɖ iː
चढ़ना	t͡ʃ ə ɽʱ n̪ äː
चढ़ाई	t͡ʃ ə ɽʱ äː iː
चतुराई	t͡ʃ ə t̪ ʊ ɾ äː iː
चना	t͡ʃ ə n̪ äː
चन्द	t͡ʃ ə̃ n̪ d̪
चन्द्र	t͡ʃ ə̃ n̪ d̪ ɾᵊ
चन्द्रमा	t͡ʃ ə̃ n̪ d̪ ɾ ə m äː
चन्द्रवार	t͡ʃ ə̃ n̪ d̪ ɾ ə ʋ äː ɾ
चन्द्रिका	t͡ʃ ə̃ n̪ d̪ ɾ ɪ k äː
चपरासी	t͡ʃ ə p ɾ äː s̪ iː
चपाती	t͡ʃ ə p äː t̪ iː
चप्पल	t͡ʃ ə p̚ p ə l̪
चबाना	t͡ʃ ə b äː n̪ äː
चमकदार	t͡ʃ ə m ə k d̪ äː ɾ
चमकना	t͡ʃ ə m ə k n̪ äː
चमगादड़	t͡ʃ ə̃ m ɡ äː d̪ ə ɽ
चमचमाना	t͡ʃ ə̃ m t͡ʃ ə m äː n̪ äː
चमचा	t͡ʃ ə̃ m t͡ʃ äː
चमची	t͡ʃ ə̃ m t͡ʃ iː
चमड़ा	t͡ʃ ə̃ m ɽ äː
चमड़ी	t͡ʃ ə̃ m ɽ iː
चमत्कार	t͡ʃ ə m ə t̪ k äː ɾ
चमत्कारी	t͡ʃ ə m ə t̪ k äː ɾ iː
चमस	t͡ʃ ə m ə s̪
चयन	t͡ʃ ə j ə̃ n̪
चरख़ा	t͡ʃ ə ɾ kʰ äː
चरख़ा	t͡ʃ ə ɾ x äː
चरखा	t͡ʃ ə ɾ kʰ äː
चरखा	t͡ʃ ə ɾ x äː
चरण	t͡ʃ ə ɾ ə̃ ɳ
चरना	t͡ʃ ə ɾ n̪ äː
चरमपंथी	t͡ʃ ə ɾ ə̃ m p ə̃ n̪ t̪ʰ iː
चरवाहा	t͡ʃ ə ɾ ʋ äː ɦ äː
चरागाह	t͡ʃ ə ɾ äː ɡ äː ɦ
चर्चा	t͡ʃ ə ɾ t͡ʃ äː
चल	t͡ʃ ə l̪
चलचित्र	t͡ʃ ə l̪ t͡ʃ ɪ t̪ ɾᵊ
चलचित्रण	t͡ʃ ə l̪ t͡ʃ ɪ t̪ ɾ ə̃ ɳ
चलन	t͡ʃ ə l̪ ə̃ n̪
चलना	t͡ʃ ə l̪ n̪ äː
चलवाना	t͡ʃ ə l̪ ʋ äː n̪ äː
चलाना	t͡ʃ ə l̪ äː n̪ äː
चवन्नी	t͡ʃ ə ʋ ə̃ n̪ n̪ iː
चवालीस	t͡ʃ ə ʋ äː l̪ iː s̪
चव्वन	t͡ʃ ə ʋ ʋ ə̃ n̪
चश्मा	t͡ʃ ə ʃ m äː
चषक	t͡ʃ ə ʃ ə k
चाँटा	t͡ʃ ä̃ː ʈ äː
चाँद	t͡ʃ ä̃ː n̪ d̪
चाँदनी	t͡ʃ ä̃ː n̪ d̪ n̪ iː
चाँदी	t͡ʃ ä̃ː n̪ d̪ iː
चांद	t͡ʃ ä̃ː n̪ d̪
चांदी	t͡ʃ ä̃ː n̪ d̪ iː
चांद्र	t͡ʃ ä̃ː n̪ d̪ ɾᵊ
चांपानेर	t͡ʃ ä̃ː p äː n̪ eː ɾ
चांसलर	t͡ʃ ä̃ː n̪ s̪ l̪ ə ɾ
चाइना	t͡ʃ äː ɪ n̪ äː
चाक	t͡ʃ äː k
चाकलेट	t͡ʃ äː k l̪ eː ʈ
चाकू	t͡ʃ äː k uː
चाचा	t͡ʃ äː t͡ʃ äː
चाची	t͡ʃ äː t͡ʃ iː
चाट	t͡ʃ äː ʈ
चाटना	t͡ʃ äː ʈ n̪ äː
चातुर्य	t͡ʃ äː t̪ ʊ ɾ jᵊ
चान्द्र	t͡ʃ ä̃ː n̪ d̪ ɾᵊ
चाप	t͡ʃ äː p
चाबी	t͡ʃ äː b iː
चाभी	t͡ʃ äː bʱ iː
चाय	t͡ʃ äː j
चायख़ाना	t͡ʃ äː j kʰ äː n̪ äː
चायख़ाना	t͡ʃ äː j x äː n̪ äː
चायदान	t͡ʃ äː j d̪ ä̃ː n̪
चायदानी	t͡ʃ äː j d̪ äː n̪ iː
चार	t͡ʃ äː ɾ
चारपाई	t͡ʃ äː ɾ p äː iː
चारा	t͡ʃ äː ɾ äː
चाल	t͡ʃ äː l̪
चालक	t͡ʃ äː l̪ ə k
चालकता	t͡ʃ äː l̪ ə k t̪ äː
चालान	t͡ʃ äː l̪ ä̃ː n̪
चालीस	t͡ʃ äː l̪ iː s̪
चालीसपद	t͡ʃ äː l̪ iː s̪ p ə d̪
चालुक्य	t͡ʃ äː l̪ ʊ k jᵊ
चाव	t͡ʃ äː ʋ
चावल	t͡ʃ äː ʋ ə l̪
चाशनी	t͡ʃ äː ʃ n̪ iː
चाह	t͡ʃ äː ɦ
चाहत	t͡ʃ äː ɦ ə t̪
चाहना	t͡ʃ äː ɦ n̪ äː
चाहे	t͡ʃ äː ɦ eː
चिंगहई	t͡ʃ ɪ̃ ŋ ɡʱ ə iː
चिंगारी	t͡ʃ ɪ̃ ŋ ɡ äː ɾ iː
चिंता	t͡ʃ ɪ̃ n̪ t̪ äː
चिंताजनक	t͡ʃ ɪ̃ n̪ t̪ äː d͡ʒ ə n̪ ə k
चिकना	t͡ʃ ɪ k n̪ äː
चिकित्सक	t͡ʃ ɪ k ɪ t̪ s̪ ə k
चिकित्सालय	t͡ʃ ɪ k ɪ t̪ s̪ äː l̪ ə j
चिट्टी	t͡ʃ ɪ ʈ̚ ʈ iː
चिट्ठी	t͡ʃ ɪ ʈ̚ ʈʰ iː
चिड़वा	t͡ʃ ɪ ɽ ʋ äː
चिड़िया	t͡ʃ ɪ ɽ i j äː
चिढ़ना	t͡ʃ ɪ ɽʱ n̪ äː
चिढ़ाना	t͡ʃ ɪ ɽʱ äː n̪ äː
चित्ताकर्षक	t͡ʃ ɪ t̪̚ t̪ äː k ə ɾ ʃ ə k
चित्तूर	t͡ʃ ɪ t̪̚ t̪ uː ɾ
चित्रकला	t͡ʃ ɪ t̪ ɾᵊ k ə l̪ äː
चित्रकार	t͡ʃ ɪ t̪ ɾ ə k äː ɾ
चित्रकारी	t͡ʃ ɪ t̪ ɾ ə k äː ɾ iː
चित्रण	t͡ʃ ɪ t̪ ɾ ə̃ ɳ
चिथड़ा	t͡ʃ ɪ t̪ʰ ɽ äː
चिनिया	t͡ʃ ɪ n̪ i j äː
चिपकना	t͡ʃ ɪ p ə k n̪ äː
चिपचिपा	t͡ʃ ɪ p t͡ʃ ɪ p äː
चिमटा	t͡ʃ ɪ̃ m ʈ äː
चिमनी	t͡ʃ ɪ̃ m n̪ iː
चिरंजीव	t͡ʃ ɪ ɾ ə̃ n̪ d͡ʒ iː ʋ
चिरस्थायित्व	t͡ʃ ɪ ɾ s̪ t̪ʰ äː j ɪ t̪ wᵊ
चिरस्थायी	t͡ʃ ɪ ɾ s̪ t̪ʰ äː j iː
चिराग़	t͡ʃ ɪ ɾ äː ɡ
चिराग़	t͡ʃ ɪ ɾ äː ɣ
चिलम	t͡ʃ ɪ l̪ ə̃ m
चिलवन	t͡ʃ ɪ l̪ ʋ ə̃ n̪
चिली	t͡ʃ ɪ l̪ iː
चींटा	t͡ʃ ĩː ʈ äː
चीख़ना	t͡ʃ iː kʰ n̪ äː
चीख़ना	t͡ʃ iː x n̪ äː
चीज़बस्त	t͡ʃ iː d͡ʒ b ə s̪ t̪
चीज़बस्त	t͡ʃ iː z b ə s̪ t̪
चीता	t͡ʃ iː t̪ äː
चीन	t͡ʃ ĩː n̪
चीना	t͡ʃ iː n̪ äː
चीनिया	t͡ʃ iː n̪ i j äː
चीनी	t͡ʃ iː n̪ iː
चीरना	t͡ʃ iː ɾ n̪ äː
चील	t͡ʃ iː l̪
चीला	t͡ʃ iː l̪ äː
चुंबक	t͡ʃ ʊ̃ m b ə k
चुंबकत्व	t͡ʃ ʊ̃ m b ə k ə t̪ wᵊ
चुंबकीय	t͡ʃ ʊ̃ m b ə k iː jᵊ
चुंबन	t͡ʃ ʊ̃ m b ə̃ n̪
चुकंदर	t͡ʃ ʊ k ə̃ n̪ d̪ ə ɾ
चुकंदर	t͡ʃ ʊ q ə̃ n̪ d̪ ə ɾ
चुकना	t͡ʃ ʊ k n̪ äː
चुक़ंदर	t͡ʃ ʊ k ə̃ n̪ d̪ ə ɾ
चुक़ंदर	t͡ʃ ʊ q ə̃ n̪ d̪ ə ɾ
चुक़न्दर	t͡ʃ ʊ k ə̃ n̪ d̪ ə ɾ
चुक़न्दर	t͡ʃ ʊ q ə̃ n̪ d̪ ə ɾ
चुकाना	t͡ʃ ʊ k äː n̪ äː
चुगना	t͡ʃ ʊ ɡ n̪ äː
चुटकुला	t͡ʃ ʊ ʈ k ʊ l̪ äː
चुड़ैल	t͡ʃ ʊ ɽ ɛː l̪
चुदना	t͡ʃ ʊ d̪̚ n̪ äː
चुदवाना	t͡ʃ ʊ d̪ w äː n̪ äː
चुदाना	t͡ʃ ʊ d̪ äː n̪ äː
चुनाव	t͡ʃ ʊ n̪ äː ʋ
चुनौती	t͡ʃ ʊ n̪ ɔː t̪ iː
चुपचाप	t͡ʃ ʊ p t͡ʃ äː p
चुपड़ना	t͡ʃ ʊ p ə ɽ n̪ äː
चुप्पी	t͡ʃ ʊ p̚ p iː
चुभना	t͡ʃ ʊ bʱ n̪ äː
चुम्मा	t͡ʃ ʊ̃ m m äː
चुलबुल	t͡ʃ ʊ l̪ b ʊ l̪
चुल्ल	t͡ʃ ʊ l̪ l̪
चुसकी	t͡ʃ ʊ s̪ k iː
चुसना	t͡ʃ ʊ s̪ n̪ äː
चूकना	t͡ʃ uː k n̪ äː
चूज़ा	t͡ʃ uː d͡ʒ äː
चूज़ा	t͡ʃ uː z äː
चूतिया	t͡ʃ uː t̪ i j äː
चूना	t͡ʃ uː n̪ äː
चूमना	t͡ʃ ũː m n̪ äː
चूल्हा	t͡ʃ uː l̪ ɦ äː
चूहा	t͡ʃ uː ɦ äː
चेचेन	t͡ʃ eː t͡ʃ ẽː n̪
चेतना	t͡ʃ eː t̪̚ n̪ äː
चेताना	t͡ʃ eː t̪ äː n̪ äː
चेतावनी	t͡ʃ eː t̪ äː ʋ n̪ iː
चेना	t͡ʃ eː n̪ äː
चेन्नई	t͡ʃ ẽː n̪ n̪ ə iː
चेरापूंजी	t͡ʃ eː ɾ äː p ũː n̪ d͡ʒ iː
चेला	t͡ʃ eː l̪ äː
चेहरा	t͡ʃ eː ɦ ɾ äː
चैन	t͡ʃ ɛ̃ː n̪
चॉकलेट	t͡ʃ ɔ k l̪ eː ʈ
चॉकलेट	t͡ʃ ɔ k ə l̪ eː ʈ
चोंच	t͡ʃ õː n̪ t͡ʃ
चोखा	t͡ʃ oː kʰ äː
चोग़ा	t͡ʃ oː ɡ äː
चोग़ा	t͡ʃ oː ɣ äː
चोदना	t͡ʃ oː d̪̚ n̪ äː
चोरना	t͡ʃ oː ɾ n̪ äː
चोल	t͡ʃ oː l̪
चोला	t͡ʃ oː l̪ äː
चोली	t͡ʃ oː l̪ iː
चौंकना	t͡ʃ ɔ̃ː ŋ k n̪ äː
चौंकाना	t͡ʃ ɔ̃ː ŋ k äː n̪ äː
चौंतीस	t͡ʃ ɔ̃ː n̪ t̪ iː s̪
चौंसठ	t͡ʃ ɔ̃ː n̪ s̪ ə ʈʰ
चौकस	t͡ʃ ɔː k ə s̪
चौका	t͡ʃ ɔː k äː
चौकीदार	t͡ʃ ɔː k iː d̪ äː ɾ
चौड़ा	t͡ʃ ɔː ɽ aː
चौड़ाई	t͡ʃ ɔː ɽ äː iː
चौताल	t͡ʃ ɔː t̪ äː l̪
चौथा	t͡ʃ ɔː t̪ʰ äː
चौथाई	t͡ʃ ɔː t̪ʰ äː iː
चौपाई	t͡ʃ ɔː p äː iː
चौबीस	t͡ʃ ɔː b iː s̪
चौरानवे	t͡ʃ ɔː ɾ ä̃ː n̪ w eː
चौरासी	t͡ʃ ɔː ɾ äː s̪ iː
चौराहा	t͡ʃ ɔː ɾ äː ɦ äː
चौवन	t͡ʃ ə̯ u ʋ ə̃ n̪
चौहत्तर	t͡ʃ ɔː ɦ ə t̪̚ t̪ ə ɾ
च्यवनप्राश	t͡ʃ j ə ʋ ə̃ n̪ p ɾ äː ʃ
च्वॉइस	t͡ʃ ʋ ɔ ɪ s̪
छंटना	t͡ʃʰ ə̃ ɳ ʈ n̪ äː
छंद	t͡ʃʰ ə̃ n̪ d̪
छक्का	t͡ʃʰ ə k̚ k äː
छटपटाना	t͡ʃʰ ə ʈ p ə ʈ äː n̪ äː
छटा	t͡ʃʰ ə ʈ äː
छठवाँ	t͡ʃʰ ə ʈʰ ʋ ä̃ː
छत्तीस	t͡ʃʰ ə t̪̚ t̪ iː s̪
छत्तीसगढ़	t͡ʃʰ ə t̪̚ t̪ iː s̪ ɡ ə ɽʱ
छद्मनाम	t͡ʃʰ ə d̪ m ə n̪ ä̃ː m
छन	t͡ʃʰ ə̃ n̪
छननी	t͡ʃʰ ə̃ n̪ n̪ iː
छप्पन	t͡ʃʰ ə p̚ p ə̃ n̪
छब्बीस	t͡ʃʰ ə b̚ b iː s̪
छब्बीस	t͡ʃʰ ə b̚ b ɪ s̪
छमाही	t͡ʃʰ ə m äː ɦ iː
छरहरा	t͡ʃʰ ə ɾ ɛ ɦ ɾ äː
छर्रा	t͡ʃʰ ə ɾ ɾ äː
छल	t͡ʃʰ ə l̪
छलकना	t͡ʃʰ ə l̪ ə k n̪ äː
छलना	t͡ʃʰ ə l̪ n̪ äː
छलाँग	t͡ʃʰ ə l̪ ä̃ː ŋ ɡ
छलाँगना	t͡ʃʰ ə l̪ ä̃ː ŋ ɡ n̪ äː
छलावा	t͡ʃʰ ə l̪ äː ʋ äː
छलिया	t͡ʃʰ ə l̪ i j äː
छली	t͡ʃʰ ə l̪ iː
छाँव	t͡ʃʰ ä̃ː ʋ
छांटना	t͡ʃʰ ä̃ː ʈ n̪ äː
छाई	t͡ʃʰ äː iː
छाछ	t͡ʃʰ äː t͡ʃʰ
छाती	t͡ʃʰ äː t̪ iː
छात्र	t͡ʃʰ äː t̪ ɾᵊ
छात्रवृत्ति	t͡ʃʰ äː t̪ ɾ ə ʋ ɾ ɪ t̪̚ t̪ iː
छात्रसंघ	t͡ʃʰ äː t̪ ɾ ə s̪ ə̃ ŋ ɡʱ
छात्रा	t͡ʃʰ äː t̪ ɾ äː
छात्रावास	t͡ʃʰ äː t̪ ɾ äː ʋ äː s̪
छानना	t͡ʃʰ ä̃ː n̪ n̪ äː
छाप	t͡ʃʰ äː p
छापशाला	t͡ʃʰ äː p ʃ äː l̪ äː
छापा	t͡ʃʰ äː p äː
छापाख़ाना	t͡ʃʰ äː p äː kʰ äː n̪ äː
छापाख़ाना	t͡ʃʰ äː p äː x äː n̪ äː
छापामार	t͡ʃʰ äː p äː m äː ɾ
छापाशाला	t͡ʃʰ äː p äː ʃ äː l̪ äː
छापेख़ाना	t͡ʃʰ äː p eː kʰ äː n̪ äː
छापेख़ाना	t͡ʃʰ äː p eː x äː n̪ äː
छाया	t͡ʃʰ äː j äː
छायाकार	t͡ʃʰ äː j äː k äː ɾ
छायावाद	t͡ʃʰ äː j äː ʋ äː d̪
छाल	t͡ʃʰ äː l̪
छाला	t͡ʃʰ äː l̪ äː
छावनी	t͡ʃʰ äː ʋ n̪ iː
छिटकना	t͡ʃʰ ɪ ʈ ə k n̪ äː
छिड़काव	t͡ʃʰ ɪ ɽ k äː ʋ
छितराना	t͡ʃʰ ɪ t̪ ɾ äː n̪ äː
छिन	t͡ʃʰ ɪ̃ n̪
छिपकली	t͡ʃʰ ɪ p k ə l̪ iː
छिपाना	t͡ʃʰ ɪ p äː n̪ äː
छियानवे	t͡ʃʰ i j ä̃ː n̪ w eː
छियालीस	t͡ʃʰ i j äː l̪ iː s̪
छियासठ	t͡ʃʰ i j äː s̪ ə ʈʰ
छियासी	t͡ʃʰ i j äː s̪ iː
छिलका	t͡ʃʰ ɪ l̪ k äː
छिहत्तर	t͡ʃʰ ɪ ɦ ə t̪̚ t̪ ə ɾ
छीनाझपटी	t͡ʃʰ iː n̪ äː d͡ʒʱ ə p ʈ iː
छुआछूत	t͡ʃʰ ʊ äː t͡ʃʰ uː t̪
छुट्टी	t͡ʃʰ ʊ ʈ̚ ʈ iː
छुपना	t͡ʃʰ ʊ p n̪ äː
छुपा	t͡ʃʰ ʊ p äː
