ae	ʔ a i ˨˦
liggaeuq	l i k ˧ k a u ˧˥
lij	l i ˥
lijbai	l i ˥ p aː i ˧˥
lijsing	l i ˥ θ i ŋ ˧˥
lik	l i k ˥
lingq	l i ŋ ˧˥
lingz	l i ŋ ˧˩
linh	l i n ˧
linx	l i n ˦˨
linzgvei	l i n ˧˩ kʷ e i ˧˥
liujcouh	l i u ˥ ɕ o u ˧
lizsij	l i ˧˩ θ i ˥
lo	l o ˨˦
loeg	l o k ˧
loeghozraez	l o k ˧ h o ˧˩ ɣ a i ˧˩
loek	l o k ˥
loekraemx	l o k ˥ ɣ a m ˦˨
loengx	l o ŋ ˦˨
loh	l o ˧
loq	l o ˧˥
loqsiengj	l o ˧˥ θ iː ŋ ˥
loxlez	l o ˦˨ l e ˧˩
loz	l o ˧˩
lozcwngz	l o ˧˩ ɕ ɯ ŋ ˧˩
lozdoz	l o ˧˩ t o ˧˩
lozmajnizya	l o ˧˩ m a ˥ n i ˧˩ j a ˨˦
lueg	l uː k ˧
luengz	l uː ŋ ˧˩
lumj	l u m ˥
lumz	l u m ˧˩
lungz	l u ŋ ˧˩
lungzanh	l u ŋ ˧˩ ʔ aː n ˧
lwed	l ɯː t ˧
lwg	l ɯ k ˧
lwgbaed	l ɯ k ˧ p a t ˧
lwgbag	l ɯ k ˧ p aː k ˧
lwgbieng	l ɯ k ˧ p iː ŋ ˨˦
lwgdin	l ɯ k ˧ t i n ˨˦
lwgdumh	l ɯ k ˧ t u m ˧
lwgfwngz	l ɯ k ˧ f ɯ ŋ ˧˩
lwgfwngzcaemj	l ɯ k ˧ f ɯ ŋ ˧˩ ɕ a m ˥
lwgfwngzcod	l ɯ k ˧ f ɯ ŋ ˧˩ ɕ oː t ˧
lwgfwngzgyang	l ɯ k ˧ f ɯ ŋ ˧˩ kʲ aː ŋ ˨˦
lwgfwngzyinx	l ɯ k ˧ f ɯ ŋ ˧˩ j i n ˦˨
lwggaet	l ɯ k ˧ k a t ˥
lwggva	l ɯ k ˧ kʷ a ˨˦
lwggwz	l ɯ k ˧ k ɯ ˧˩
lwghaemz	l ɯ k ˧ h a m ˧˩
lwglan	l ɯ k ˧ l aː n ˨˦
lwgmanh	l ɯ k ˧ m aː n ˧
lwgnyez	l ɯ k ˧ ɲ e ˧˩
lwgraz	l ɯ k ˧ ɣ a ˧˩
lwgsai	l ɯ k ˧ θ aː i ˨˦
lwgsau	l ɯ k ˧ θ aː u ˨˦
lwgvuengz	l ɯ k ˧ β uː ŋ ˧˩
ma	m a ˨˦
ma dai maet caez dai	m a ˨˦ t aː i ˨˦ m a t ˥ ɕ a i ˧˩ t aː i ˨˦
maenz	m a n ˧˩
maenzgat	m a n ˧˩ k aː t ˧˥
maet	m a t ˥
maiq	m aː i ˧˥
majlaizsihya	m a ˥ l aː i ˧˩ θ i ˧ j a ˧˥
majlingzsuz	m a ˥ l i ŋ ˧˩ θ u ˧˩
mak	m aː k ˧˥
makbingzgoj	m aː k ˧˥ p i ŋ ˧˩ k o ˥
makbinzgoj	m aː k ˧˥ p i n ˧˩ k o ˥
makbug	m aː k ˧˥ p u k ˧
makdumh	m aː k ˧˥ t u m ˧
makit	m aː k ˧˥ ʔ i t ˥
makmaenj	m aː k ˧˥ m a n ˥
makmanghgoj	m aː k ˧˥ m aː ŋ ˧ k o ˥
maknam	m aː k ˧˥ n aː m ˨˦
maknganx	m aː k ˧˥ ŋ aː n ˦˨
makningzmungx	m aː k ˧˥ n i ŋ ˧˩ m u ŋ ˦˨
makyungz	m aː k ˧˥ j u ŋ ˧˩
manaez	m a ˨˦ n a i ˧˩
mang	m aː ŋ ˨˦
manh	m aː n ˧
mauh	m aː u ˧
maux	m aː u ˦˨
mauznanzcuz	m aː u ˧˩ n aː n ˧˩ ɕ u ˧˩
max	m a ˦˨
maxgai	m a ˦˨ k aː i ˨˦
maxlaeuz	m a ˦˨ l a u ˧˩
maxlangzgangz	m a ˦˨ l aː ŋ ˧˩ k aː ŋ ˧˩
maxloeg	m a ˦˨ l o k ˧
maz	m a ˧˩
mazcoz	m a ˧˩ ɕ o ˧˩
mbaengq	ɓ a ŋ ˧˥
mbaeq	ɓ a i ˧˥
mbaeu	ɓ a u ˨˦
mbaj	ɓ a ˥
mbang	ɓ aː ŋ ˨˦
mbanj	ɓ aː n ˥
mbaq	ɓ a ˧˥
mbaw	ɓ a ɯ ˨˦
mbei	ɓ e i ˨˦
mbin	ɓ i n ˨˦
mbinj	ɓ i n ˥
mboengqneix	ɓ o ŋ ˧˥ n e i ˦˨
mbonq	ɓ oː n ˧˥
mboq	ɓ o ˧˥
mboqraemxraeuj	ɓ o ˧˥ ɣ a m ˦˨ ɣ a u ˥
mbouj	ɓ o u ˥
mbungqmbaj	ɓ u ŋ ˧˥ ɓ a ˥
mbwk	ɓ ɯ k ˥
mbwn	ɓ ɯ n ˨˦
mbwnnamh	ɓ ɯ n ˨˦ n aː m ˧
meh	m e ˧
mehfwngz	m e ˧ f ɯ ŋ ˧˩
meijgoz	m e i ˥ k o ˧˩
meiq	m e i ˧˥
menbauh	m eː n ˧˥ p aː u ˧
mengz	m eː ŋ ˧˩
menjden	m eː n ˥ t eː n ˧˥
meuz	m eː u ˧˩
mienh	m iː n ˧
mienhbau	m iː n ˧ p aː u ˨˦
mimiz	m i ˧˥ m i ˧˩
minzcuj	m i n ˧˩ ɕ u ˥
minzcuz	m i n ˧˩ ɕ u ˧˩
minzgoeng	m i n ˧˩ k o ŋ ˧˥
miux	m i u ˦˨
miz	m i ˧˩
miznaj	m i ˧˩ n a ˥
mizyauq	m i ˧˩ j aː u ˧˥
moeb	m o p ˧
moed	m o t ˧
moeggva	m o k ˧ kʷ a ˨˦
moegsawz	m o k ˧ θ a ɯ ˧˩
moengj	m o ŋ ˥
mohdozceh	m o ˧ t o ˧˩ ɕ e ˧
moix	m oː i ˦˨
mok	m oː k ˧˥
mokfaenx	m oː k ˧˥ f a n ˦˨
moq	m o ˧˥
mou	m o u ˨˦
mounoh	m o u ˨˦ n o ˧
mouraq	m o u ˨˦ ɣ a ˧˥
moz	m o ˧˩
muengx	m uː ŋ ˦˨
mui	m uː i ˨˦
mulaujcuz	m u ˧˥ l aː u ˥ ɕ u ˧˩
mumh	m u m ˧
munggyahlahgoz	m u ŋ ˧˥ kʲ a ˧ l a ˧ k o ˧˩
mungzguj	m u ŋ ˧˩ k u ˥
mwngz	m ɯ ŋ ˧˩
mwngz ndei	m ɯ ŋ ˧˩ ɗ e i ˨˦
mwz	m ɯ ˧˩
myauzcuz	mʲ aː u ˧˩ ɕ u ˧˩
myonzlieng	mʲ oː n ˧˩ l iː ŋ ˨˦
na	n a ˨˦
nae	n a i ˨˦
naehang	n a i ˨˦ h aː ŋ ˨˦
naek	n a k ˥
naemj	n a m ˥
naeng	n a ŋ ˨˦
naengh	n a ŋ ˧
naenz	n a n ˧˩
naeuh	n a u ˧
naeuz	n a u ˧˩
nag	n aː k ˧
naijsoemj	n aː i ˥ θ o m ˥
naijyouz	n aː i ˥ j o u ˧˩
naiq	n aː i ˧˥
naj	n a ˥
najbyak	n a ˥ pʲ aː k ˧˥
namh	n aː m ˧
namz	n aː m ˧˩
namzging	n aː m ˧˩ k i ŋ ˨˦
namzgva	n aː m ˧˩ kʷ a ˨˦
namzningz	n aː m ˧˩ n i ŋ ˧˩
nanzcangh	n aː n ˧˩ ɕ aː ŋ ˧
nanzgingh	n aː n ˧˩ k i ŋ ˧
naz	n a ˧˩
ndaej	ɗ a i ˥
ndaej dangj vuengzdaeq sieng dangj sien	ɗ a i ˥ t aː ŋ ˥ β uː ŋ ˧˩ t a i ˧˥ θ iː ŋ ˨˦ t aː ŋ ˥ θ iː n ˨˦
ndaem	ɗ a m ˨˦
ndaeng	ɗ a ŋ ˨˦
ndaengq	ɗ a ŋ ˧˥
ndaep	ɗ a p ˥
ndaij	ɗ aː i ˥
ndang	ɗ aː ŋ ˨˦
ndat	ɗ aː t ˧˥
ndaundeiq	ɗ aː u ˨˦ ɗ e i ˧˥
ndaw	ɗ a ɯ ˨˦
ndei	ɗ e i ˨˦
ndeu	ɗ eː u ˨˦
nding	ɗ i ŋ ˨˦
ndo	ɗ o ˨˦
ndoeng	ɗ o ŋ ˨˦
ndoengfaex	ɗ o ŋ ˨˦ f a i ˦˨
ndok	ɗ oː k ˧˥
nduk	ɗ u k ˥
ndwen	ɗ ɯː n ˨˦
neimungzguj	n e i ˧˥ m u ŋ ˧˩ k u ˥
neix	n e i ˦˨
nengz	n eː ŋ ˧˩
nengzgengz	n eː ŋ ˧˩ k eː ŋ ˧˩
nengzgoemj	n eː ŋ ˧˩ k o m ˥
nengznyaen	n eː ŋ ˧˩ ɲ a n ˨˦
neq	n e ˧˥
ngaenz	ŋ a n ˧˩
ngaenzhangz	ŋ a n ˧˩ h aː ŋ ˧˩
ngazcat	ŋ a ˧˩ ɕ aː t ˧˥
ngeih	ŋ e i ˧
ngeih cib	ŋ e i ˧ ɕ i p ˧
ngoenz	ŋ o n ˧˩
ngoenzbyug	ŋ o n ˧˩ pʲ u k ˧
ngoenzcog	ŋ o n ˧˩ ɕ oː k ˧
ngoenzgoeng	ŋ o n ˧˩ k o ŋ ˨˦
ngoenzhong	ŋ o n ˧˩ h oː ŋ ˨˦
ngoenzlwenz	ŋ o n ˧˩ l ɯː n ˧˩
ngoenzneix	ŋ o n ˧˩ n e i ˦˨
ngoh	ŋ o ˧
ngozlozswh	ŋ o ˧˩ l o ˧˩ θ ɯ ˧
ngux	ŋ u ˦˨
ngux nyied co'ngux	ŋ u ˦˨ ɲ iː t ˧ ɕ o ˨˦ ŋ u ˦˨
ngwnz	ŋ ɯ n ˧˩
ngwz	ŋ ɯ ˧˩
ngwzdoeg	ŋ ɯ ˧˩ t o k ˧
nienz	n iː n ˧˩
nij	n i ˥
ningq	n i ŋ ˧˥
ningzya	n i ŋ ˧˩ j a ˧˥
ninz	n i n ˧˩
noh	n o ˧
noix	n oː i ˦˨
nou	n o u ˨˦
noucoengz	n o u ˨˦ ɕ o ŋ ˧˩
nuem	n uː m ˨˦
nuengx	n uː ŋ ˦˨
nungzminz	n u ŋ ˧˩ m i n ˧˩
nyaeb maet haeuj ndang	ɲ a p ˧ m a t ˥ h a u ˥ ɗ aː ŋ ˨˦
nyaen	ɲ a n ˨˦
nyaengq	ɲ a ŋ ˧˥
nyaenmeuz	ɲ a n ˨˦ m eː u ˧˩
nyamx	ɲ aː m ˦˨
nyauh	ɲ aː u ˧
nyauj	ɲ aː u ˥
nyib	ɲ i p ˧
nyied	ɲ iː t ˧
nyieg	ɲ iː k ˧
nyouh	ɲ o u ˧
nyued	ɲ uː t ˧
nyungz	ɲ u ŋ ˧˩
nywj	ɲ ɯ ˥
oij	ʔ oː i ˥
ok	ʔ oː k ˧˥
okdaeuj	ʔ oː k ˧˥ t a u ˥
onj	ʔ oː n ˥
ouhcouh	ʔ o u ˧ ɕ o u ˧
ra	ɣ a ˨˦
raemj	ɣ a m ˥
raemx	h a m ⁴
raemx	l a m ⁴
raemx	n a m ⁴
raemx	n oː m ⁴
raemx	r a m ⁴
raemx	s a m ⁴
raemx	z a m ⁴
raemx	ɣ a m ³
raemx	ɣ a m ˦˨
raemx	ɣ a m ⁴
raemxda	ɣ a m ˦˨ t a ˨˦
raemxhom	ɣ a m ˦˨ h oː m ˨˦
raemxsaw	ɣ a m ˦˨ θ a ɯ ˨˦
raen	ɣ a n ˨˦
raeu	ɣ a u ˨˦
raeuq	ɣ a u ˧˥
raeuz	ɣ a u ˧˩
raez	ɣ a i ˧˩
rag	ɣ aː k ˧
ranz	ɣ aː n ˧˩
raq	ɣ a ˧˥
rauq	ɣ aː u ˧˥
reih	ɣ e i ˧
rengj	ɣ eː ŋ ˥
rengx	ɣ eː ŋ ˦˨
rib	ɣ i p ˧
rieng	ɣ iː ŋ ˨˦
rij	ɣ i ˥
rim	ɣ i m ˨˦
rin	ɣ i n ˨˦
riuj	ɣ i u ˥
riuj haizcauj	ɣ i u ˥ h aː i ˧˩ ɕ aː u ˥
riunyumj	ɣ i u ˨˦ ɲ u m ˥
roeg	ɣ o k ˧
roegam	ɣ o k ˧ ʔ aː m ˨˦
roegbeghag	ɣ o k ˧ p eː k ˧ h aː k ˧
roegbit	ɣ o k ˧ p i t ˥
roegcaeuq	ɣ o k ˧ ɕ a u ˧˥
roegdingfaex	ɣ o k ˧ t i ŋ ˨˦ f a i ˦˨
roegdoxgap	ɣ o k ˧ t o ˦˨ k aː p ˧˥
roegenq	ɣ o k ˧ ʔ eː n ˧˥
roegfek	ɣ o k ˧ f eː k ˧˥
roegga	ɣ o k ˧ k a ˨˦
roeggacak	ɣ o k ˧ k a ˨˦ ɕ aː k ˧˥
roeggae	ɣ o k ˧ k a i ˨˦
roeggeuq	ɣ o k ˧ k eː u ˧˥
roeggumj	ɣ o k ˧ k u m ˥
roeggungjcoz	ɣ o k ˧ k u ŋ ˥ ɕ o ˧˩
roeggyaeujmeuz	ɣ o k ˧ kʲ a u ˥ m eː u ˧˩
roeghenj	ɣ o k ˧ h eː n ˥
roeglaej	ɣ o k ˧ l a i ˥
roegraeu	ɣ o k ˧ ɣ a u ˨˦
roegyengj	ɣ o k ˧ j eː ŋ ˥
roek	ɣ o k ˥
roen	ɣ o n ˨˦
roengq	ɣ o ŋ ˧˥
roet	ɣ o t ˥
romh	ɣ oː m ˧
rongh	ɣ oː ŋ ˧
ronghndwen	ɣ oː ŋ ˧ ɗ ɯː n ˨˦
ronghrib	ɣ oː ŋ ˧ ɣ i p ˧
rongz	ɣ oː ŋ ˧˩
rongzgyau	ɣ oː ŋ ˧˩ kʲ aː u ˨˦
rox	ɣ o ˦˨
rueg	ɣ uː k ˧
ruenz	ɣ uː n ˧˩
rumz	ɣ u m ˧˩
rumzhwx	ɣ u m ˧˩ h ɯ ˦˨
ruz	ɣ u ˧˩
rwed	ɣ ɯː t ˧
rwet	ɣ ɯː t ˧˥
rwi	ɣ ɯː i ˨˦
rwz	ɣ ɯ ˧˩
sa	θ a ˨˦
sae	θ a i ˨˦
saeceij	θ a i ˨˦ ɕ e i ˥
saedyienh	θ a t ˧ j iː n ˧
saek	θ a k ˥
saen	θ a n ˨˦
saen saelanz	θ a n ˨˦ θ a i ˨˦ l aː n ˧˩
saenz	θ a n ˧˩
saeq	θ a i ˧˥
saeu	θ a u ˨˦
sai	θ aː i ˨˦
saidoengz	θ aː i ˨˦ t o ŋ ˧˩
sam	θ aː m ˨˦
san	θ aː n ˨˦
sang	θ aː ŋ ˨˦
sanghaij	θ aː ŋ ˧˥ h aː i ˥
sanhdungh	θ aː n ˧ t u ŋ ˧
sanhsih	θ aː n ˧ θ i ˧
sanjsih	θ aː n ˥ θ i ˧
sap	θ aː p ˧˥
sau	θ aː u ˨˦
saw	θ a ɯ ˨˦
sawcuengh	θ a ɯ ˨˦ ɕ uː ŋ ˧
sawgun	θ a ɯ ˨˦ k u n ˨˦
sawloih	θ a ɯ ˨˦ l oː i ˧
sawndip	θ a ɯ ˨˦ ɗ i p ˥
sei	θ e i ˨˦
seiq	θ e i ˧˥
seiqgyaiq	θ e i ˧˥ kʲ aː i ˧˥
seng	θ eː ŋ ˨˦
sengj	θ eː ŋ ˥
sevei	θ e ˧˥ β e i ˧˥
seveicujyi	θ e ˧˥ β e i ˧˥ ɕ u ˥ j i ˧˥
si	θ i ˧˥
sien	θ iː n ˨˦
siengj	θ iː ŋ ˥
siet	θ iː t ˧˥
sih'anh	θ i ˧ ʔ aː n ˧
sihbanhyaz	θ i ˧ p aː n ˧ j a ˧˩
sihcang	θ i ˧ ɕ aː ŋ ˧˥
sihningz	θ i ˧ n i ŋ ˧˩
sik	θ i k ˥
sim	θ i m ˨˦
simhai	θ i m ˨˦ h aː i ˨˦
singqmingz	θ i ŋ ˧˥ m i ŋ ˧˩
singz	θ i ŋ ˧˩
sinhgyahboh	θ i n ˧ kʲ a ˧ p o ˧
sinhgyangh	θ i n ˧ kʲ aː ŋ ˧
sinhsihlanz	θ i n ˧ θ i ˧ l aː n ˧˩
sinhvwnz	θ i n ˧ β ɯ n ˧˩
sinjyangz	θ i n ˥ j aː ŋ ˧˩
sinq	θ i n ˧˥
siujyoz	θ i u ˥ j o ˧˩
sizgyahcangh	θ i ˧˩ kʲ a ˧ ɕ aː ŋ ˧
soemj	θ o m ˥
soh	θ o ˧
sojmiz	θ o ˥ m i ˧˩
sok	θ oː k ˧˥
son	θ oː n ˨˦
song	θ oː ŋ ˨˦
sou	θ o u ˨˦
soujduh	θ o u ˥ t u ˧
soujgih	θ o u ˥ k i ˧
suen	θ uː n ˨˦
suenq	θ uː n ˧˥
suijcuz	θ uː i ˥ ɕ u ˧˩
suiz	θ uː i ˧˩
suj	θ u ˥
suliu	θ u ˧˥ l i u ˧˥
suyoz	θ u ˧˥ j o ˧˩
swcicouh	θ ɯ ˧˥ ɕ i ˧˥ ɕ o u ˧
swcigih	θ ɯ ˧˥ ɕ i ˧˥ k i ˧
swconh	θ ɯ ˧˥ ɕ oː n ˧
swhyienz	θ ɯ ˧ j iː n ˧˩
swix	θ ɯː i ˦˨
swiz	θ ɯː i ˧˩
swnggingh	θ ɯ ŋ ˧˥ k i ŋ ˧
swnghvuz	θ ɯ ŋ ˧ β u ˧˩
swngj	θ ɯ ŋ ˥
swt	θ ɯ t ˥
swyouz	θ ɯ ˧˥ j o u ˧˩
swyouzcujyi	θ ɯ ˧˥ j o u ˧˩ ɕ u ˥ j i ˧˥
swzdenj	θ ɯ ˧˩ t eː n ˥
uk	ʔ u k ˥
uq	ʔ u ˧˥
va	β a ˨˦
vah	β a ˧
vahcuengh	β a ˧ ɕ uː ŋ ˧
vahgun	β a ˧ k u n ˨˦
vahmbanj	β a ˧ ɓ aː n ˥
vaihfaij	β aː i ˧ f aː i ˥
vaiz	β aː i ˧˩
vamaedlaeh	β a ˨˦ m a t ˧ l a i ˧
vangz	β aː ŋ ˧˩
vangzgoz	β aː ŋ ˧˩ k o ˧˩
vayoz	β a ˨˦ j o ˧˩
veijyenzvei	β e i ˥ j eː n ˧˩ β e i ˧˥
veisingh	β e i ˨˦ θ i ŋ ˧
veiz	β e i ˧˩
veizcuz	β e i ˧˩ ɕ u ˧˩
viz	β i ˧˩
vuengz	β uː ŋ ˧˩
vuengzdaeq	β uː ŋ ˧˩ t a i ˧˥
vuenyungz	β uː n ˨˦ j u ŋ ˧˩
vuhlujmuzciz	β u ˧ l u ˥ m u ˧˩ ɕ i ˧˩
vujhan	β u ˥ h aː n ˨˦
vujmingz	β u ˥ m i ŋ ˧˩
vumzvauz	β u m ˧˩ β aː u ˧˩
vunqdiz	β u n ˧˥ t i ˧˩
vunz	β u n ˧˩
vunzguhnaz	β u n ˧˩ k u ˧ n a ˧˩
vunzsoq	β u n ˧˩ θ o ˧˥
vuz	β u ˧˩
vuzcouh	β u ˧˩ ɕ o u ˧
vuzcwngfujcujyi	β u ˧˩ ɕ ɯ ŋ ˧˥ f u ˥ ɕ u ˥ j i ˧˥
vwnhgohvaz	β ɯ n ˧ k o ˧ β a ˧˩
vwnzva	β ɯ n ˧˩ β a ˧˥
vwnzyoz	β ɯ n ˧˩ j o ˧˩
w	ʔ ɯ ˨˦
wngdang	ʔ ɯ ŋ ˨˦ t aː ŋ ˨˦
yacouh	j a ˧˥ ɕ o u ˧
yaekseiz	j a k ˥ θ e i ˧˩
yaem	j a m ˨˦
yaeuh	j a u ˧
yaeuj	j a u ˥
yah	j a ˧
yahmaiq	j a ˧ m aː i ˧˥
yameijnizya	j a ˨˦ m e i ˥ n i ˧˩ j a ˨˦
yanghgangj	j aː ŋ ˧ k aː ŋ ˥
yangj	j aː ŋ ˥
yangz	j aː ŋ ˧˩
yangzcoeng	j aː ŋ ˧˩ ɕ o ŋ ˨˦
yauzcuz	j aː u ˧˩ ɕ u ˧˩
yawj	j a ɯ ˥
yehsuh	j e ˧ θ u ˧
yehsuh gihduz	j e ˧ θ u ˧ k i ˧ t u ˧˩
yen	j eː n ˧˥
yenfaz	j eː n ˧˥ f a ˧˩
yeznanz	j e ˧˩ n aː n ˧˩
yidali	j i ˧˥ t a ˧˥ l i ˧˥
yieb	j iː p ˧
yiebdaeuz	j iː p ˧ t a u ˧˩
yiemzsih	j iː m ˧˩ θ i ˧
yiengh	j iː ŋ ˧
yiengz	j iː ŋ ˧˩
yienhsiengq	j iː n ˧ θ iː ŋ ˧˥
yienz	j iː n ˧˩
yihswngh	j i ˧ θ ɯ ŋ ˧
yihyen	j i ˧ j eː n ˧˥
yijfaz	j i ˥ f a ˧˩
yijvwnz	j i ˥ β ɯ n ˧˩
yijyenz	j i ˥ j eː n ˧˩
yilinz	j i ˧˥ l i n ˧˩
yindu	j i n ˧˥ t u ˧˥
yinghgoz	j i ŋ ˧ k o ˧˩
yinhyoz	j i n ˧ j o ˧˩
yinz	j i n ˧˩
yinzconh	j i n ˧˩ ɕ oː n ˧
yinzgouj	j i n ˧˩ k o u ˥
yinzhangz	j i n ˧˩ h aː ŋ ˧˩
yinzminz	j i n ˧˩ m i n ˧˩
yinzminzbi	j i n ˧˩ m i n ˧˩ p i ˧˥
yinznanz	j i n ˧˩ n aː n ˧˩
yiuh	j i u ˧
yiuhrumz	j i u ˧ ɣ u m ˧˩
yizbwnj	j i ˧˩ p ɯ n ˥
yizcuz	j i ˧˩ ɕ u ˧˩
youq	j o u ˧˥
youx	j o u ˦˨
youz	j o u ˧˩
yozvei	j o ˧˩ β e i ˧˥
yozyau	j o ˧˩ j aː u ˧˥
yungh	j u ŋ ˧
yunghyazli	j u ŋ ˧ j a ˧˩ l i ˨˦
yw	j ɯ ˨˦
ywgikrengz	j ɯ ˨˦ k i k ˥ ɣ eː ŋ ˧˩
ywraemx	j ɯ ˨˦ ɣ a m ˦˨
