aaleniano	aleˈnjano
desguazadas	desɡwaˈsadas
desguazar	desɡwaˈθaɾ
desguazar	desɡwaˈsaɾ
desguinzado	desɡinˈθado
desguinzado	desɡinˈsado
deshebrado	deseˈbɾado
deshechas	desˈet͡ʃas
deshechos	desˈet͡ʃos
deshidratado	desidɾaˈtado
deshidratar	desidɾaˈtaɾ
deshidrogenaciones	ðesiðɾoxenaˈθjones
deshidrogenaciones	ðesiðɾoxenaˈsjones
deshilar	desiˈlaɾ
deshojado	desoˈxado
deshonesta	desoˈnesta
deshonra	desˈonra
deshonrar	desonˈraɾ
deshumanizado	desumaniˈθado
deshumanizado	desumaniˈsado
deshumidificar	desumidifiˈkaɾ
designación	desiɡnaˈθjon
designación	desiɡnaˈsjon
desimpresionar	desimpɾesjoˈnaɾ
desinsectada	desinseɡˈtada
desinsectados	desinseɡˈtados
desintegración	desinteɡɾaˈθjon
desintegración	desinteɡɾaˈsjon
desintegrado	desinteˈɡɾado
desintoxicada	desintoɡsiˈkada
desintoxicadas	desintoɡsiˈkadas
desinvertidas	desimberˈtidas
desinvertido	desimberˈtido
desistidos	desisˈtidos
desligada	desliˈɡada
deslocalizados	deslokaliˈθados
deslocalizados	deslokaliˈsados
deslustrando	deslusˈtɾando
deslustraremos	deslustɾaˈɾemos
deslustres	desˈlustɾes
desmadejada	desmadeˈxada
desmadejadas	desmadeˈxadas
desmadejados	desmadeˈxados
desmadrada	desmaˈdɾada
desmadrado	desmaˈdɾado
desmandada	desmanˈdada
desmarcada	desmarˈkada
desmarcado	desmarˈkado
desmarimbadas	desmaɾimˈbadas
desmarimbado	desmaɾimˈbado
desmejorada	desmexoˈɾada
desmejorado	desmexoˈɾado
desmelenar	desmeleˈnaɾ
desmembradas	desmemˈbɾadas
desmentido	desmenˈtido
desmentir	desmenˈtiɾ
desmenuzada	desmenuˈθada
desmenuzada	desmenuˈsada
desmenuzadas	desmenuˈθadas
desmenuzadas	desmenuˈsadas
desmenuzados	desmenuˈθados
desmenuzados	desmenuˈsados
desmesurados	desmesuˈɾados
desminadas	desmiˈnadas
desminados	desmiˈnados
desmitificar	desmitifiˈkaɾ
desmochado	desmoˈt͡ʃado
desmochar	desmoˈt͡ʃaɾ
desmoldada	desmolˈdada
desmontadas	desmonˈtadas
desmoronada	desmoɾoˈnada
desmovilizado	desmobiliˈθado
desmovilizado	desmobiliˈsado
desniveladas	desnibeˈladas
desocupadas	desokuˈpadas
desordenado	desordeˈnado
desorientada	desoɾjenˈtada
desorientadas	desoɾjenˈtadas
desorientados	desoɾjenˈtados
desosada	desoˈsada
desosegado	desoseˈɡado
desovada	desoˈbada
desovado	desoˈbado
desovar	desoˈbaɾ
despabilados	despabiˈlados
despachada	despaˈt͡ʃada
despachado	despaˈt͡ʃado
despacito	despaˈθito
despacito	despaˈsito
desparecidas	despaɾeˈθidas
desparecidas	despaɾeˈsidas
desparecido	despaɾeˈθido
desparecido	despaɾeˈsido
desparpajada	desparpaˈxada
desparpajado	desparpaˈxado
desparpajados	desparpaˈxados
desparramadas	desparaˈmadas
desparramar	desparaˈmaɾ
despatarrados	despataˈrados
despedidas	despeˈdidas
despeinada	despeiˈnada
despeinadas	despeiˈnadas
despeinados	despeiˈnados
despejada	despeˈxada
despejadas	despeˈxadas
despejados	despeˈxados
despellejada	despeʎeˈxada
despellejada	despeɟ͡ʝeˈxada
despellejados	despeʎeˈxados
despellejados	despeɟ͡ʝeˈxados
despelotada	despeloˈtada
despelotado	despeloˈtado
despelotados	despeloˈtados
despeñados	despeˈɲados
despenalizadas	despenaliˈθadas
despenalizadas	despenaliˈsadas
desperada	despeˈɾada
desperado	despeˈɾado
desperdiciado	desperdiˈθjado
desperdiciado	desperdiˈsjado
desperecidas	despeɾeˈθidas
desperecidas	despeɾeˈsidas
desperecidos	despeɾeˈθidos
desperecidos	despeɾeˈsidos
desperezadas	despeɾeˈθadas
desperezadas	despeɾeˈsadas
desperezados	despeɾeˈθados
desperezados	despeɾeˈsados
despersonalizado	despersonaliˈθado
despersonalizado	despersonaliˈsado
despersonalizados	despersonaliˈθados
despersonalizados	despersonaliˈsados
despertada	desperˈtada
despertado	desperˈtado
despiezada	despjeˈθada
despiezada	despjeˈsada
despintar	despinˈtaɾ
desplazado	desplaˈθado
desplazado	desplaˈsado
desplegada	despleˈɡada
despojamiento	despoxaˈmjento
despolitizada	despolitiˈθada
despolitizada	despolitiˈsada
despolitizados	despolitiˈθados
despolitizados	despolitiˈsados
despolitizar	despolitiˈθaɾ
despolitizar	despolitiˈsaɾ
desposada	despoˈsada
desposamos	despoˈsamos
déspota	ˈdespota
despreciar	despɾeˈθjaɾ
despreciar	despɾeˈsjaɾ
desprecintadas	despɾeθinˈtadas
desprecintadas	despɾesinˈtadas
desprestigiado	despɾestiˈxjado
desproporcionada	despɾopoɾθjoˈnada
desproporcionada	despɾoporsjoˈnada
desprotegido	despɾoteˈxido
desprotegidos	despɾoteˈxidos
desproveyera	despɾobeˈɟ͡ʝeɾa
desquiciada	deskiˈθjada
desquiciada	deskiˈsjada
desquiciadas	deskiˈθjadas
desquiciadas	deskiˈsjadas
desquiciado	deskiˈθjado
desquiciado	deskiˈsjado
desquitado	deskiˈtado
desrabada	desɾaˈbada
desrabado	desɾaˈbado
desrabados	desɾaˈbados
destacada	destaˈkada
destacamento	destakaˈmento
destapadas	destaˈpadas
destartalar	destartaˈlaɾ
destazar	destaˈθaɾ
destazar	destaˈsaɾ
destellada	desteˈʎada
destellada	desteˈɟ͡ʝada
destellado	desteˈʎado
destellado	desteˈɟ͡ʝado
desteñidas	desteˈɲidas
destensada	destenˈsada
destensado	destenˈsado
destensar	destenˈsaɾ
desternillada	desterniˈʎada
desternillada	desterniˈɟ͡ʝada
desternillarse	desterniˈʎarse
desternillarse	desterniˈɟ͡ʝarse
desterrados	desteˈrados
desterrar	desteˈraɾ
destinadas	destiˈnadas
destinaras	destiˈnaɾas
destinares	destiˈnaɾes
destinas	desˈtinas
destinaste	destiˈnaste
destinemos	destiˈnemos
destines	desˈtines
destocada	destoˈkada
destocadas	destoˈkadas
destorcer	destoɾˈθeɾ
destorcer	destorˈseɾ
destorcida	destoɾˈθida
destorcida	destorˈsida
destorcidos	destoɾˈθidos
destorcidos	destorˈsidos
destrabado	destɾaˈbado
destrancada	destɾanˈkada
destripados	destɾiˈpados
destronado	destɾoˈnado
destronados	destɾoˈnados
destrozados	destɾoˈθados
destrozados	destɾoˈsados
destruí	desˈtɾwi
destruidas	desˈtɾwidas
desturcadas	desturˈkadas
desunido	desuˈnido
desunir	desuˈniɾ
desvaído	desbaˈido
desvaídos	desbaˈidos
desvainada	desbaiˈnada
desvalijado	desbaliˈxado
desvanecer	desbaneˈθeɾ
desvanecer	desbaneˈseɾ
desvariada	desbaˈɾjada
desvariadas	desbaˈɾjadas
desvencijados	desbenθiˈxados
desvencijados	desbensiˈxados
desvestidas	desbesˈtidas
desviados	desˈbjados
desvirgadas	desbirˈɡadas
desvivida	desbiˈbida
detalle	deˈtaʎe
detalle	deˈtaɟ͡ʝe
detenido	deteˈnido
detente	deˈtente
detergí	deterˈxi
determinados	determiˈnados
deudo	ˈdeudo
deuterón	deuteˈɾon
devanagari	debanaˈɡaɾi
devanar	debaˈnaɾ
devastadas	debasˈtadas
devastados	debasˈtados
develados	debeˈlados
devenidas	debeˈnidas
devorado	deboˈɾado
devorados	deboˈɾados
devorar	deboˈɾaɾ
devotísimo	deboˈtisimo
devueltas	deˈbweltas
diablo	ˈdjablo
diacrítica	djaˈkɾitika
diagnosticables	djaɡnostiˈkables
diagonalizables	djaɡonaliˈθables
diagonalizables	djaɡonaliˈsables
diagonalizar	djaɡonaliˈθaɾ
diagonalizar	djaɡonaliˈsaɾ
diagrama	djaˈɡɾama
dialectólogo	djaleɡˈtoloɡo
dialogado	djaloˈɡado
dialogó	djaloˈɡo
diamantar	djamanˈtaɾ
diamante	djaˈmante
diametrales	djameˈtɾales
diámetro	ˈdjametɾo
Diana	ˈdjana
diaplejía	djapleˈxia
diariero	djaˈɾjeɾo
dice	ˈdiθe
dice	ˈdise
dichas	ˈdit͡ʃas
dichoso	diˈt͡ʃoso
dicótomo	diˈkotomo
dicroico	diˈkɾoiko
dictaminada	diɡtamiˈnada
dictaminado	diɡtamiˈnado
dictaminar	diɡtamiˈnaɾ
didaquista	didaˈkista
diégesis	ˈdjexesis
Diego	ˈdjeɡo
diegueño	djeˈɡeɲo
dientudo	djenˈtudo
diéresis	ˈdjeɾesis
dieta	ˈdjeta
dietada	djeˈtada
dietados	djeˈtados
dietario	djeˈtaɾjo
dieto	ˈdjeto
diezmadas	djeθˈmadas
diezmadas	djesˈmadas
difamado	difaˈmado
difamados	difaˈmados
diferencia	difeˈɾenθja
diferencia	difeˈɾensja
diferido	difeˈɾido
difractadas	difɾaɡˈtadas
difractado	difɾaɡˈtado
difractados	difɾaɡˈtados
difuminar	difumiˈnaɾ
difunto	diˈfunto
digamma	diˈɡamma
digitadas	dixiˈtadas
digital	dixiˈtal
digitar	dixiˈtaɾ
digitaras	dixiˈtaɾas
digitas	diˈxitas
digitaste	dixiˈtaste
digitemos	dixiˈtemos
digites	diˈxites
dignada	diɡˈnada
dignadas	diɡˈnadas
dije	ˈdixe
dijerais	diˈxeɾais
dijeras	diˈxeɾas
dijereis	diˈxeɾeis
dijeren	diˈxeɾen
dijeses	diˈxeses
dijimos	diˈximos
dilapidada	dilapiˈdada
dilapidadas	dilapiˈdadas
dilapidado	dilapiˈdado
dilapidados	dilapiˈdados
dilatado	dilaˈtado
dilatados	dilaˈtados
dilema	diˈlema
diligentísimo	dilixenˈtisimo
diluviada	diluˈbjada
diluviados	diluˈbjados
dimensión	dimenˈsjon
dimensionado	dimensjoˈnado
dimidiar	dimiˈdjaɾ
diminuta	dimiˈnuta
diminutas	dimiˈnutas
diminutos	dimiˈnutos
dimitidos	dimiˈtidos
dimitir	dimiˈtiɾ
dinamitado	dinamiˈtado
dinamitar	dinamiˈtaɾ
dinamito	dinaˈmito
dinamizadas	dinamiˈθadas
dinamizadas	dinamiˈsadas
dinamo	diˈnamo
dinástico	diˈnastiko
dinero	diˈneɾo
diosa	ˈdjosa
diplomar	diploˈmaɾ
directos	diˈɾeɡtos
dirigidos	diɾiˈxidos
dirime	diˈɾime
dirimidas	diɾiˈmidas
dirimido	diɾiˈmido
dirimidos	diɾiˈmidos
dirimimos	diɾiˈmimos
dirimir	diɾiˈmiɾ
discernidos	disθerˈnidos
discernidos	disserˈnidos
disciplinadas	disθipliˈnadas
disciplinadas	dissipliˈnadas
disco	ˈdisko
discográfica	diskoˈɡɾafika
discográfico	diskoˈɡɾafiko
discontinuada	diskontiˈnwada
discordado	diskorˈdado
discretas	disˈkɾetas
discreteadas	diskɾeteˈadas
discreteados	diskɾeteˈados
discriminado	diskɾimiˈnado
discriminador	diskɾiminaˈdoɾ
discriminados	diskɾimiˈnados
discriminante	diskɾimiˈnante
disculpar	diskulˈpaɾ
discurso	disˈkurso
discusión	diskuˈsjon
discutido	diskuˈtido
disecado	diseˈkado
diseccionada	diseɡθjoˈnada
diseccionada	diseɡsjoˈnada
diseccionadas	diseɡθjoˈnadas
diseccionadas	diseɡsjoˈnadas
diseccionado	diseɡθjoˈnado
diseccionado	diseɡsjoˈnado
diseminado	disemiˈnado
diseñadas	diseˈɲadas
diseñados	diseˈɲados
diseño	diˈseɲo
disentida	disenˈtida
disentidas	disenˈtidas
disfraz	disˈfɾaθ
disfraz	disˈfɾas
disfrazados	disfɾaˈθados
disfrazados	disfɾaˈsados
disfrutada	disfɾuˈtada
disgregador	disɡɾeɡaˈdoɾ
disgregadoras	disɡɾeɡaˈdoɾas
disímbolo	diˈsimbolo
disipadas	disiˈpadas
disjuntor	dis.xunˈtoɾ
disminuida	dismiˈnwida
disociativo	disoθjaˈtibo
disociativo	disosjaˈtibo
disonada	disoˈnada
disonados	disoˈnados
disparados	dispaˈɾados
disparate	dispaˈɾate
dispertar	disperˈtaɾ
disputable	dispuˈtable
disputará	disputaˈɾa
disputare	dispuˈtaɾe
disputaremos	disputaˈɾemos
disputares	dispuˈtaɾes
disputas	disˈputas
disputemos	dispuˈtemos
distada	disˈtada
distal	disˈtal
distintiva	distinˈtiba
distorsión	distorˈsjon
distorsionadas	distorsjoˈnadas
distorsionados	distorsjoˈnados
distribuido	distɾiˈbwido
distribuidos	distɾiˈbwidos
disuadida	diswaˈdida
disuadidos	diswaˈdidos
disyunción	disɟ͡ʝunˈθjon
disyunción	disɟ͡ʝunˈsjon
disyunto	disˈɟ͡ʝunto
diurético	djuˈɾetiko
diva	ˈdiba
divagadas	dibaˈɡadas
divagar	dibaˈɡaɾ
diván	diˈban
diversificadas	dibersifiˈkadas
diversificado	dibersifiˈkado
divertido	diberˈtido
divido	diˈbido
divinada	dibiˈnada
divinado	dibiˈnado
divinador	dibinaˈdoɾ
divisado	dibiˈsado
divisar	dibiˈsaɾ
divisible	dibiˈsible
divorciada	diboɾˈθjada
divorciada	diborˈsjada
divorciado	diboɾˈθjado
divorciado	diborˈsjado
divulgación	dibulɡaˈθjon
divulgación	dibulɡaˈsjon
divulgaciones	dibulɡaˈθjones
divulgaciones	dibulɡaˈsjones
diyiridú	diɟ͡ʝiɾiˈdu
dóberman	ˈdoberman
dobladas	doˈbladas
doblados	doˈblados
doblar	doˈblaɾ
doblegar	dobleˈɡaɾ
doblete	doˈblete
docena	doˈθena
docena	doˈsena
docentes	doˈθentes
docentes	doˈsentes
doctor	doɡˈtoɾ
doctrinal	doɡtɾiˈnal
documentalismo	dokumentaˈlismo
docuserie	dokuˈseɾje
dodecaedro	dodekaˈedɾo
dodecafónico	dodekaˈfoniko
dogma	ˈdoɡma
dolado	doˈlado
dólar	ˈdolaɾ
dolidas	doˈlidas
dolidos	doˈlidos
doloridamente	doloˌɾidaˈmente
dolorido	doloˈɾido
dolos	ˈdolos
domareis	doˈmaɾeis
dome	ˈdome
domeñado	domeˈɲado
doméstica	doˈmestika
domesticados	domestiˈkados
domesticáramos	domestiˈkaɾamos
domesticaremos	domestikaˈɾemos
domesticares	domestiˈkaɾes
domesticaríamos	domestikaˈɾiamos
dominado	domiˈnado
dominar	domiˈnaɾ
domingo	doˈminɡo
Dominica	domiˈnika
dominiquesa	dominiˈkesa
dominiquesas	dominiˈkesas
domo	ˈdo.mo
donaire	doˈnaiɾe
doncella	donˈθe.ʎa
doncella	donˈse.ʝa
doncella	donˈse.ʎa
doncella	donˈθe.ʝa
Doñihue	doˈɲiwe
dopadas	doˈpadas
dope	ˈdope
dopo	ˈdopo
Dora	ˈdoɾa
doraditos	doɾaˈditos
dorado	doˈɾado
doria	ˈdoɾja
dormida	dorˈmida
dormidos	dorˈmidos
dormir	dorˈmiɾ
dorsolateral	dorsolateˈɾal
dos	dos
dosificada	dosifiˈkada
dosificado	dosifiˈkado
dosificar	dosifiˈkaɾ
dotada	doˈtada
dotadas	doˈtadas
dote	ˈdo.te
dragado	dɾaˈɡado
dramatizando	dɾamatiˈθando
dramatizando	dɾamatiˈsando
dramatizaras	dɾamatiˈθaɾas
dramatizaras	dɾamatiˈsaɾas
dramatizareis	dɾamatiˈθaɾeis
dramatizareis	dɾamatiˈsaɾeis
dramatizaremos	dɾamatiθaˈɾemos
dramatizaremos	dɾamatisaˈɾemos
dramatizares	dɾamatiˈθaɾes
dramatizares	dɾamatiˈsaɾes
dramatizo	dɾamaˈtiθo
dramatizo	dɾamaˈtiso
dríada	ˈdɾiada
driblado	dɾiˈblado
dribleado	dɾibleˈado
droga	ˈdɾoɡa
drogados	dɾoˈɡados
drone	ˈdɾon
dudadas	duˈdadas
duelo	ˈdwelo
duendecillo	dwendeˈθiʎo
duendecillo	dwendeˈsiɟ͡ʝo
dueño	ˈdweɲo
dulcera	dulˈθeɾa
dulcera	dulˈseɾa
dulceras	dulˈθeɾas
dulceras	dulˈseɾas
dulzona	dulˈθona
dulzona	dulˈsona
duraznillo	duɾaθˈniʎo
duraznillo	duɾasˈniɟ͡ʝo
duro	ˈduɾo
e	e
eche	ˈet͡ʃe
ecográfico	ekoˈɡɾafiko
ecología	ekoloˈxia
economizados	ekonomiˈθados
economizados	ekonomiˈsados
ecosistema	ekosisˈtema
Ecuador	ekwaˈdoɾ
ecuatoguineanos	ekwatoɡineˈanos
ecuatorianas	ekwatoˈɾjanas
ecuatorianos	ekwatoˈɾjanos
eczema	eɡˈθema
eczema	eɡˈsema
editadas	ediˈtadas
editor	ediˈtoɾ
educadas	eduˈkadas
educados	eduˈkados
educida	eduˈθida
educida	eduˈsida
educido	eduˈθido
educido	eduˈsido
educo	eˈduko
edulcorada	edulkoˈɾada
edulcorar	edulkoˈɾaɾ
eduzco	eˈduθko
eduzco	eˈdusko
efectivos	efeɡˈtibos
efectuadas	efeɡˈtwadas
efervescentes	eferbesˈθentes
efervescentes	eferbesˈsentes
efesio	eˈfesjo
égida	ˈexida
egipciana	exibˈθjana
egipciana	exibˈsjana
Egipto	eˈxibto
egresada	eɡɾeˈsada
eh	ˈe
einstenio	einsˈtenjo
ejemplarizadoras	exemplaɾiθaˈdoɾas
ejemplarizadoras	exemplaɾisaˈdoɾas
ejercer	exeɾˈθeɾ
ejercer	exerˈseɾ
ejercida	exeɾˈθida
ejercida	exerˈsida
ejercidas	exeɾˈθidas
ejercidas	exerˈsidas
ejercido	exeɾˈθido
ejercido	exerˈsido
ejercito	exeɾˈθito
ejercito	exeɾˈsito
el	ˈel
elastoplástico	elastoˈplastiko
ele	ˈele
electa	eˈleɡta
electos	eˈleɡtos
eléctricos	eˈleɡtɾikos
electrificación	eleɡtɾifikaˈθjon
electrificación	eleɡtɾifikaˈsjon
electrocardiografía	eleɡtɾokardjoɡɾaˈfia
electrocutado	eleɡtɾokuˈtado
electroforético	eleɡtɾofoˈɾetiko
elegiaco	eleˈxjako
elegido	eleˈxido
elegidos	eleˈxidos
elevadas	eleˈbadas
elevados	eleˈbados
elevar	eleˈbaɾ
eligida	eliˈxida
elimina	eliˈmina
eliminadas	elimiˈnadas
eliminamos	elimiˈnamos
eliminara	elimiˈnaɾa
eliminareis	elimiˈnaɾeis
eliminares	elimiˈnaɾes
eliminaste	elimiˈnaste
elipsis	eˈlibsis
elíxir	eˈliɡsiɾ
ella	ˈeʎa
ella	ˈeɟ͡ʝa
ella	ˈeʒa
ella	ˈeʃa
ello	ˈeʎo
ello	ˈeɟ͡ʝo
elogiado	eloˈxjado
elucidadas	eluθiˈdadas
elucidadas	elusiˈdadas
eludiste	eluˈdiste
emancipación	emanθipaˈθjon
emancipación	emansipaˈsjon
emancipados	emanθiˈpados
emancipados	emansiˈpados
emascular	emaskuˈlaɾ
embadurnado	embadurˈnado
embaídas	embaˈidas
embaído	embaˈido
embajador	embaxaˈdoɾ
embalas	emˈbalas
embalo	emˈbalo
embalsamada	embalsaˈmada
embarcadero	embarkaˈdeɾo
embargada	embarˈɡada
embargado	embarˈɡado
embargados	embarˈɡados
embarullar	embaɾuˈʎaɾ
embarullar	embaɾuˈɟ͡ʝaɾ
embellecido	embeʎeˈθido
embellecido	embeɟ͡ʝeˈsido
embestido	embesˈtido
embetunadas	embetuˈnadas
embobadas	emboˈbadas
embobado	emboˈbado
embobados	emboˈbados
embocar	emboˈkaɾ
embolar	emboˈlaɾ
embolsada	embolˈsada
embolsado	embolˈsado
emboquillar	embokiˈʎaɾ
emboquillar	embokiˈɟ͡ʝaɾ
embotar	emboˈtaɾ
embrazados	embɾaˈθados
embrazados	embɾaˈsados
embreados	embɾeˈados
embretar	embɾeˈtaɾ
embriagada	embɾjaˈɡada
embriagados	embɾjaˈɡados
embridados	embɾiˈdados
embrollado	embɾoˈʎado
embrollado	embɾoˈɟ͡ʝado
embromada	embɾoˈmada
embrujada	embɾuˈxada
embrujado	embɾuˈxado
embrutecidos	embɾuteˈθidos
embrutecidos	embɾuteˈsidos
embullado	embuˈʎado
embullado	embuˈɟ͡ʝado
embutida	embuˈtida
embutido	embuˈtido
eme	ˈeme
emergencia	emerˈxenθja
emergencia	emerˈxensja
emergidas	emerˈxidas
emergidos	emerˈxidos
emigradas	emiˈɡɾadas
Emilia	eˈmilja
eminencias	emiˈnenθjas
eminencias	emiˈnensjas
eminente	emiˈnente
emir	eˈmiɾ
empachadas	empaˈt͡ʃadas
empachados	empaˈt͡ʃados
empadronado	empadɾoˈnado
empalada	empaˈlada
empaladas	empaˈladas
empalado	empaˈlado
empalagado	empalaˈɡado
empalagados	empalaˈɡados
empalar	empaˈlaɾ
empalizada	empaliˈθada
empalizada	empaliˈsada
empanada	empaˈnada
empanadas	empaˈnadas
empapado	empaˈpado
empapados	empaˈpados
empapelado	empapeˈlado
emparedada	empaɾeˈdada
emparedado	empaɾeˈdado
emparentado	empaɾenˈtado
empastada	empasˈtada
empastadas	empasˈtadas
empastilladas	empastiˈʎadas
empastilladas	empastiˈɟ͡ʝadas
empavesar	empabeˈsaɾ
empecinada	empeθiˈnada
empecinada	empesiˈnada
empedrar	empeˈdɾaɾ
empellidos	empeˈʎidos
empellidos	empeˈɟ͡ʝidos
empenachadas	empenaˈt͡ʃadas
empeñado	empeˈɲado
empeñados	empeˈɲados
empeñosa	empeˈɲosa
empeñoso	empeˈɲoso
empeorado	empeoˈɾado
empeoramiento	empeoɾaˈmjento
empeorar	empeoˈɾaɾ
empequeñecidas	empekeɲeˈθidas
empequeñecidas	empekeɲeˈsidas
emperador	empeɾaˈdoɾ
emperejilada	empeɾexiˈlada
empezadas	empeˈθadas
empezadas	empeˈsadas
empezar	empeˈθaɾ
empezar	empeˈsaɾ
empinamos	empiˈnamos
empinando	empiˈnando
empinará	empinaˈɾa
empinaras	empiˈnaɾas
empinemos	empiˈnemos
empino	emˈpino
empíreo	emˈpiɾeo
emplazar	emplaˈθaɾ
emplazar	emplaˈsaɾ
empleabilidad	empleabiliˈdad
empleadas	empleˈadas
empobrecida	empobɾeˈθida
empobrecida	empobɾeˈsida
empodrecidas	empodɾeˈθidas
empodrecidas	empodɾeˈsidas
empodrecido	empodɾeˈθido
empodrecido	empodɾeˈsido
empollado	empoˈʎado
empollado	empoˈɟ͡ʝado
emprestadas	empɾesˈtadas
emproblemado	empɾobleˈmado
empujado	empuˈxado
emular	emuˈlaɾ
emungente	e.mun.ˈxente
emungente	e.mun.ˈhente
en	en
enalmagrar	enalmaˈɡɾaɾ
enamorada	enamoˈɾada
encadenados	enkadeˈnados
encadenar	enkadeˈnaɾ
encajar	enkaˈxaɾ
encalabozados	enkalaboˈθados
encalabozados	enkalaboˈsados
encalladas	enkaˈʎadas
encalladas	enkaˈɟ͡ʝadas
encallecido	enkaʎeˈθido
encallecido	enkaɟ͡ʝeˈsido
encantadas	enkanˈtadas
encantar	enkanˈtaɾ
encantara	enkanˈtaɾa
encantaras	enkanˈtaɾas
encantas	enˈkantas
encaperuzar	enkapeɾuˈθaɾ
encaperuzar	enkapeɾuˈsaɾ
encaprichada	enkapɾiˈt͡ʃada
encaprichadas	enkapɾiˈt͡ʃadas
encaprichados	enkapɾiˈt͡ʃados
encapuchado	enkapuˈt͡ʃado
encarcelada	enkaɾθeˈlada
encarcelada	enkarseˈlada
encarecidos	enkaɾeˈθidos
encarecidos	enkaɾeˈsidos
encarnación	enkarnaˈθjon
encarnación	enkarnaˈsjon
encarnaciones	enkarnaˈθjones
encarnaciones	enkarnaˈsjones
encarnadas	enkarˈnadas
encarne	enˈkarne
encarnecer	enkarneˈθeɾ
encarnecer	enkarneˈseɾ
encarno	enˈkarno
encasquetados	enkaskeˈtados
encasquetar	enkaskeˈtaɾ
encastrada	enkasˈtɾada
encastrados	enkasˈtɾados
encebar	enθeˈbaɾ
encebar	enseˈbaɾ
encerrando	enθeˈrando
encerrando	enseˈrando
encerrará	enθeraˈɾa
encerrará	enseraˈɾa
encerraremos	enθeraˈɾemos
encerraremos	enseraˈɾemos
encharcar	ent͡ʃarˈkaɾ
enchilado	ent͡ʃiˈlado
enchironar	ent͡ʃiɾoˈnaɾ
enchuflados	ent͡ʃufˈlados
encimar	enθiˈmaɾ
encimar	ensiˈmaɾ
enclaustrados	enklausˈtɾados
encofrados	enkofˈɾados
encomendadas	enkomenˈdadas
encontrara	enkonˈtɾaɾa
encontrareis	enkonˈtɾaɾeis
encorazar	enkoɾaˈθaɾ
encorazar	enkoɾaˈsaɾ
encuartelada	enkwarteˈlada
encubierto	enkuˈbjerto
enculada	enkuˈlada
enculadas	enkuˈladas
enculado	enkuˈlado
endeble	en.ˈde.ble
endemoniadas	endemoˈnjadas
endeudada	endeuˈdada
endeudadas	endeuˈdadas
endeudados	endeuˈdados
endiablados	endjaˈblados
endibia	enˈdibja
endilgada	endilˈɡada
endiosadas	endjoˈsadas
endiosados	endjoˈsados
endodérmico	endoˈdermiko
endogeneidad	endoxeneiˈdad
endomingados	endominˈɡados
endospora	endosˈpoɾa
endotelina	endoteˈlina
endrina	enˈdɾina
endulzante	endulˈθante
endulzante	endulˈsante
endulzantes	endulˈθantes
endulzantes	endulˈsantes
endurecida	enduɾeˈθida
endurecida	enduɾeˈsida
endurecidas	enduɾeˈθidas
endurecidas	enduɾeˈsidas
eñe	ˈeɲe
eneldo	eˈneldo
energizar	enerxiˈθaɾ
energizar	enerxiˈsaɾ
enervados	enerˈbados
enfadado	enfaˈdado
enfadados	enfaˈdados
enfadar	enfaˈdaɾ
énfasis	ˈenfasis
enfermo	enˈfermo
enflacadas	enflaˈkadas
enfoscar	enfosˈkaɾ
enfrentadas	enfɾenˈtadas
enfrentado	enfɾenˈtado
enfrentados	enfɾenˈtados
enfrentársele	enfɾenˈtarsele
enfriaderos	enfɾjaˈdeɾos
enfundada	enfunˈdada
enfurruñada	enfuruˈɲada
enfurruñadas	enfuruˈɲadas
engalanados	enɡalaˈnados
engalgar	enɡalˈɡaɾ
engañadas	enɡaˈɲadas
engañar	enɡaˈɲaɾ
enganchada	enɡanˈt͡ʃada
engangrenadas	enɡanɡɾeˈnadas
engarruchadas	enɡaruˈt͡ʃadas
engarzar	enɡarˈθaɾ
engarzar	enɡarˈsaɾ
engastadas	enɡasˈtadas
engolfarse	enɡolˈfarse
engominados	enɡomiˈnados
engramado	enɡɾaˈmado
engravecer	enɡɾabeˈθeɾ
engravecer	enɡɾabeˈseɾ
engreídas	enɡɾeˈidas
engreído	enɡɾeˈido
engreídos	enɡɾeˈidos
engrudar	enɡɾuˈdaɾ
engrupido	enɡɾuˈpido
enguirnaldar	enɡirnalˈdaɾ
engullidas	enɡuˈʎidas
engullidas	enɡuˈɟ͡ʝidas
engullidos	enɡuˈʎidos
engullidos	enɡuˈɟ͡ʝidos
engullir	enɡuˈʎiɾ
engullir	enɡuˈɟ͡ʝiɾ
enhornada	enorˈnada
enhornados	enorˈnados
enigma	eˈniɡma
enjaezada	enxaeˈθada
enjaezada	enxaeˈsada
enjaezado	enxaeˈθado
enjaezado	enxaeˈsado
enjaezar	enxaeˈθaɾ
enjaezar	enxaeˈsaɾ
enjalma	enˈxalma
enjaretados	enxaɾeˈtados
enjuagada	enxwaˈɡada
enjuagadas	enxwaˈɡadas
enjuagados	enxwaˈɡados
enjuncado	enxunˈkado
enjuncar	enxunˈkaɾ
enlace	enˈlaθe
enlazador	enlaθaˈdoɾ
enlazador	enlasaˈdoɾ
enlazados	enlaˈθados
enlazados	enlaˈsados
enloquecidos	enlokeˈθidos
enloquecidos	enlokeˈsidos
enloquezco	enloˈkeθko
enloquezco	enloˈkesko
enlutada	enluˈtada
enlutado	enluˈtado
enlutar	enluˈtaɾ
enmaderada	emmadeˈɾada
enmaderado	emmadeˈɾado
enmarañada	emmaɾaˈɲada
enmarañadas	emmaɾaˈɲadas
enmarañados	emmaɾaˈɲados
enmarcada	emmarˈkada
enmarcadas	emmarˈkadas
