'da	d a
natakrot	n ɐ t ɐ k ɾ o t
Natonin	n ɐ t o n i n
naulep	n ɐ ʔ u l e p
naulep	n ɐ ʔ u l ɯ p
nepo	n e p o
niaeta	ɲ ɐ e t a
niog	ɲ o ɡ
nipa	n i p ɐ ʔ
nuang	n w ɐ ŋ
nuebe	n w e b e
nyaeta	n j ɐ e t a
nga'd	ŋ a d
ngalod	ŋ ɐ l o d
ngarod	ŋ ɐ ɾ o d
ngarud	ŋ ɐ ɾ u d
ngay	ŋ a ɪ̯
ngipen	ŋ i p e n
ngipen	ŋ i p ɯ n
obispo	ʔ o b i s p o
Okinawa	ʔ o k i n n a w a
Oktubre	ʔ o k t u b ɾ e
onse	ʔ o n s e
otro	ʔ o t ɾ o
otso	ʔ o t͡ʃ o
Pacdal	p ɐ k d a l
padi	p ɐ d i
paet	p ɐ ʔ e t
paet	p ɐ ɯ t
Pagaduan	p ɐ ɡ a d w ɐ n
Pagdilao	p ɐ ɡ d i l a ʊ̯
pagtayaban	p ɐ ɡ t ɐ j a b a n
Paguirigan	p ɐ ɡ i ɾ i ɡ a n
pakasaritaan	p ɐ k ɐ s ɐ ɾ i t a ɐ n
pakdaar	p ɐ k d a ʔ ɐ ɾ
palakol	p ɐ l ɐ k o l
palasio	p ɐ l a ʃ o
palayaw	p ɐ l a j a ʊ̯
paltog	p ɐ l t o ɡ
pamilia	p ɐ m i ʎ ɐ
pamilia	p ɐ m i l j a
pampam	p ɐ m p a m
Panagbenga	p ɐ n ɐ ɡ b ɯ ŋ a
Panagbenga	p ɐ n ɐ ɡ b ɯ ŋ ŋ a
panday	p ɐ n d a ɪ̯
pandemia	p ɐ n d e m j ɐ
panio	p ɐ ɲ o
panniki	p ɐ n n i k i
pangnagan	p ɐ ŋ n a ɡ a n
Paoay	p ɐ w a ɪ̯
Paracelis	p ɐ ɾ ɐ s e l i s
parit	p ɐ ɾ i t
parsua	p ɐ ɾ s w ɐ
Pascua	p ɐ s k w ɐ
Pasdong	p ɐ s d o ŋ
Paskua	p ɐ s k w ɐ
patay	p ɐ t a ɪ̯
patay	p ɐ t a ɪ̯
pateg	p ɐ t e ɡ
pateg	p ɐ t ɯ ɡ
paway	p ɐ w a ɪ̯
pay	p a ɪ̯
payong	p ɐ j o ŋ
Pebrero	p e b ɾ e ɾ o
pelikula	p e l i k u l a
Peñarrubia	p e ɲ ɐ r u b j ɐ
Peralta	p e ɾ a l t a
periodiko	p e ɾ j o d i k o
perlas	p e ɾ l a s
permiso	p e ɾ m i s o
persen	p e r s e n
persen	p ɯ r s ɯ n
Pidigan	p i d i ɡ a n
Pilar	p i l a ɾ
pinikpikan	p i n i k p i k a n
Pinsao	p i n s a ʊ̯
pintas	p i n t a s
Pingad	p i ŋ a d
Pinget	p i ŋ e t
Pinget	p i ŋ ɯ t
pinggan	p i ŋ ɡ a n
pipino	p i p i n o
pito	p i t o
pito	p i t o
presio	p ɾ e ʃ o
presio	p ɾ e s i j o
probinsia	p ɾ o b i n ʃ a
problema	p ɾ o b l e m a
propeta	p ɾ o p e t a
pudno	p u d n o
pudot	p u d o t
puente	p w e n t e
puerto	p w e ɾ t o
Puguis	p u ɡ i s
pukaw	p u k a ʊ̯
pukis	p u k i s
puro	p u ɾ o ʔ
pusa	p u s a
pusil	p u s i l
puso	p u s o
puso	p u s u
puspuso	p u s p u s o
puspuso	p u s p u s u
pusta	p u s t a
puyupoy	p u j u p o ɪ̯
py	p a ɪ̯
rabii	ɾ ɐ b i i
radio	ɾ ɐ d͡ʒ o
ragsak	ɾ ɐ ɡ s a k
Raguindin	ɾ ɐ ɡ i n d i n
Ramirez	ɾ ɐ m i ɾ e s
Ramos	ɾ ɐ m o s
Raquepo	ɾ ɐ k e p o
relo	ɾ e l o
ribo	ɾ i b o
Rigonan	ɾ i ɡ o n a n
rosario	ɾ o s a ɾ j o
Rumbaoa	ɾ u m b a w a
ruot	ɾ u ʔ o t
saan	s ɐ ɐ n
saba	s ɐ b a
Sabado	s ɐ b ɐ d o
Sabangan	s ɐ b a ŋ a n
sabangan	s ɐ b a ŋ a n
Sablan	s ɐ b l a n
sabon	s ɐ b o n
Sadanga	s ɐ d ɐ ŋ ɡ a
sadut	s ɐ d u t
Sagada	s ɐ ɡ a d a
sagana	s ɐ ɡ a n a
saiddek	s ɐ i d d e k
saiddek	s ɐ i d d ɯ k
sais	s ɐ ʔ i s
saklolo	s ɐ k l o l o
saksi	s ɐ k s i
sala	s ɐ l a
salamat	s ɐ l a m a t
Salazar	s ɐ l ɐ s a ɾ
Sallapadan	s ɐ l l ɐ p a d a n
salomagi	s ɐ l o m a ɡ i
Salomague	s ɐ l o m a ɡ w e
Sanchez	s ɐ n t͡ʃ e s
sandalia	s ɐ n d a ʎ ɐ
sandia	s ɐ n d i ɐ
sandinagan	s ɐ n d i n a ɡ a n
sangapulo	s ɐ ŋ ɐ p u l o
sangit	s ɐ ŋ i t
Sanglay	s ɐ ŋ l a ɪ̯
sapatos	s ɐ p a t o s
sarming	s ɐ ɾ m i ŋ
Saud	s ɐ ʔ u d
selio	s e ʎ o
semana	s e m a n a
sementerio	s e m e n t e ɾ j o
serbesa	s e ɾ b e s a
Setiembre	s e t͡ʃ e m b ɾ e
shet	ʃ e t
siak	ʃ a k
siak	s i j a k
siam	ʃ a m
siam	s i j a m
sibuyas	s i b u j a s
sibuyas	s e b u j a s
sida	s i d a
siete	ʃ e t e
siete	s i j e t e
sigarilio	s i ɡ ɐ ɾ i ʎ o
sikami	s i x ɐ m i
sikayo	s i x ɐ j o
sikayo	s i x ɐ j u
silindro	s i l i n d ɾ o
simbaan	s i m b a ɐ n
sinonimo	s i n o n i m o
singko	s i ŋ k o
Singson	s i ŋ s o n
sita	s iː t a
sitaw	s i t a ʊ̯
sitayo	s i t ɐ j o
sitayo	s i t ɐ j u
sitio	s i t͡ʃ o
siudad	ʃ u d a d
soldado	s o l d a d o
Subec	s u b e k
suka	s u k a
susi	s u s i
tabbed	t ɐ b b e d
tabbed	t ɐ b b ɯ d
Tacder	t ɐ k d e ɾ
Tacder	t ɐ k d ɯ ɾ
Tacderan	t ɐ k d e ɾ a n
Tacderan	t ɐ k d ɯ ɾ a n
Tadian	t ɐ d d͡ʒ ɐ n
takki	t ɐ k k i
takrot	t ɐ k ɾ o t
takuri	t ɐ k u ɾ i
tallo	t ɐ l l o
Tamayo	t ɐ m a j o
taning	t ɐ n i ŋ
tangad	t ɐ ŋ a d
tangrib	t a ŋ ɡ ɾ i b
tao	t aː ʔ o
tao	t aː ʔ u
tapok	t ɐ p o k
taraki	t ɐ ɾ a k i
taraki	t ɐ ɾ a k i
taraok	t ɐ ɾ a ʔ o k
tawen	t ɐ w e n
tawen	t ɐ w ɯ n
Tayum	t ɐ j u m
teknolohia	t e k n o l o h j ɐ
telebision	t e l e b i ʃ o n
teltel	t e l t e l
templa	t e m p l a
tia	t i j a
Tineg	t i n e ɡ
Tineg	t i n ɯ ɡ
tinidor	t i n i d o ɾ
tinidor	t e n e d o ɾ
tio	t i j o
tipon	t i p o n
toy	t o ɪ̯
tradision	t ɾ ɐ d i ʃ o n
tradision	t ɾ ɐ d i s i j o n
trahedia	t ɾ ɐ h e d͡ʒ ɐ
trahedia	t ɾ ɐ h e d i j a
Trancoville	t ɾ ɐ ŋ k o b i l
tres	t ɾ e s
trese	t ɾ e s e
tsinelas	t͡ʃ i n e l a s
tualia	t w ɐ ʎ ɐ
Tublay	t u b l a ɪ̯
Tubo	t u b o
tugtog	t u ɡ t o ɡ
Tuguegarao	t u ɡ e ɡ ɐ ɾ a ʊ̯
tulang	t u l a ŋ
tulisan	t u l i s a n
tulong	t u l o ŋ
tuloy	t u l o ɪ̯
Tumacder	t u m a k d e ɾ
Tumacder	t u m a ɡ d e ɾ
Tumagos	t u m a ɡ o s
tumakder	t u m ɐ k d e ɾ
tumakder	t u m ɐ ɡ d e ɾ
tumakder	t u m ɐ k d ɯ ɾ
tumakder	t u m ɐ ɡ d ɯ ɾ
tumulong	t u m u l o ŋ
tunaw	t u n a ʊ̯
turog	t u ɾ o ɡ
tuyo	t u j o
uging	ʔ u ɡ i ŋ
ukay	ʔ u k a ɪ̯
uken	ʔ u k e n
ukina	ʔ u k i n n a
ukinna	ʔ u k i n n a
ukis	ʔ u k i s
ukis	ʔ u k i s
ukom	ʔ u k o m
ulep	ʔ u l e p
ulep	ʔ u l ɯ p
Ulep	ʔ u l e p
Ulep	ʔ u l ɯ p
uliteg	ʔ u l i t e ɡ
umay	ʔ u m a ɪ̯
umisem	ʔ u m i s e m
umisem	ʔ u m i s ɯ m
uno	ʔ u n o
uong	ʔ u o ŋ
uppat	ʔ u p p a t
uray	ʔ u ɾ a ɪ̯
urok	ʔ u ɾ o k
utong	ʔ u t o ŋ
uwak	ʔ u w a k
uyek	ʔ u j e k
uyek	ʔ u j ɯ k
uyokan	ʔ u j o k a n
Valdez	b ɐ l d e s
Villaviciosa	b i ʎ ɐ b i ʃ o s a
Villaviciosa	b i ʎ ɐ b i s i j o s a
Viloria	b i l o ɾ j ɐ
wak	w a k
wak	ʔ u w a k
walo	w ɐ l o
Wangal	w ɐ ŋ a l
wayawaya	w ɐ j ɐ w ɐ j a
wenno	w e n n o
wenno	w ɯ n n o
ya	j ɐ ʔ
Yadao	j ɐ d a ʊ̯
yenna	j e n n a
yoyo	j o j o
