ء	ʔ
ان‌شاءالله	e n ʃ ɒː ʔ æ l l ɒː h
ان‌شاءالله	i n ʃ ɑː ʔ a l l ɑː h
ان‌شاءالله	i n ʃ ɔː ʔ a l l ɔː h
ان‌شاءالله	ɪ n ʃ ɒː ʔ a l l ɒː h
اهریمن	ʔ æ h ɾ iː m æ n
اهواز	æ h w ɒː z
اهورامزدا	a h u ɾ ɔː m a z d ɔː
اهورامزدا	a h uː ɾ ɑː m a z d ɑː
اهورامزدا	a h uː ɾ ɒː m a z d ɒː
اهورامزدا	æ h uː ɾ ɒː m æ z d ɒː
او	oː
او	uː
او	ɵː
اورشلیم	ʔ o ɾ ʃ æ l iː m
اورنگ	a v ɾ a n ɡ
اورنگ	a w ɾ a n ɡ
اورنگ	o w ɾ æ n ɡ
اولی	æ v v æ l iː
اوکی	o kʰ e j
اوگاندا	u ɡ ɔː n d ɔː
اوگاندا	uː ɡ ɑː n d ɑː
اوگاندا	uː ɡ ɒː n d ɒː
اً	t æ n v i n
اً	æ n
اژدها	a ʒ d a h ɑː
اژدها	a ʒ d a h ɒː
اژدها	a ʒ d a h ɔː
اژدها	æ ʒ d æ h ɒː
اگرچه	æ ɡ æ ɾ t ʃ e
اگیر	a ɡ i ɾ ~ i ɡ i ɾ
اگیر	a ɡ iː ɾ ~ i ɡ iː ɾ
اگیر	a ɡ iː ɾ ~ ɪ ɡ iː ɾ
اگیر	æ ɡ iː ɾ ~ e ɡ iː ɾ
ای	e j
ای	æ j
ایالت	i j ɑː l a t
ایالت	i j ɒː l a t
ایالت	i j ɒː l æ t
ایالت	i j ɔː l a t
ایام	ʔ æ j j ɒː m
ایدون	e d u n
ایدون	eː d uː n
ایدون	iː d uː n
ایران	e ɾ ɔː n
ایران	eː ɾ ɑː n
ایران	eː ɾ ɒː n
ایران	iː ɾ ɒː n
ایرانشهر	e ɾ ɔː n ʃ a h ɾ
ایرانشهر	eː ɾ ɑː n ʃ a h ɾ
ایرانشهر	eː ɾ ɒː n ʃ a h ɾ
ایرانشهر	iː ɾ ɒː n ʃ æ h ɾ
ایرانی	e ɾ ɔː n iː
ایرانی	eː ɾ ɑː n iː
ایرانی	eː ɾ ɒː n iː
ایرانی	iː ɾ ɒː n iː
ایرانیان	iː ɾ ɒː n i j ɒː n
ایران‌ویج	e ɾ ɔː n v e d͡ʒ
ایران‌ویج	eː ɾ ɑː n v eː d͡ʒ
ایران‌ویج	eː ɾ ɒː n w eː d͡ʒ
ایران‌ویج	iː ɾ ɒː n v iː d͡ʒ
ایشان	e ʃ ɔː n
ایشان	eː ʃ ɑː n
ایشان	eː ʃ ɒː n
ایشان	iː ʃ ɒː n
ایمان	i m ɔː n
ایمان	iː m ɑː n
ایمان	iː m ɒː n
ایمان‌دار	i m ɔː n d ɔː ɾ
ایمان‌دار	iː m ɑː n d ɑː ɾ
ایمان‌دار	iː m ɒː n d ɒː ɾ
این	i n
این	iː n
با	b ɒː
باب	b ɑː b
باب	b ɒː b
باب	b ɔː b
بابک	b ɒː b æ k
باجی	b ɒː d ʒ iː
باحال‌تر	b ɒː h ɒː l t æ ɾ
باحال‌ترین	b ɒː h ɒː l t æ ɾ iː n
باد	b ɑː d
باد	b ɒː d
باد	b ɔː d
بادرنگ	b ɑː d ɾ a n ɡ
بادرنگ	b ɒː d ɾ a n ɡ
بادرنگ	b ɒː d ɾ æ n ɡ
بادرنگ	b ɔː d ɾ a n ɡ
بار	b ɒː ɾ
باران	b ɒː ɾ ɒː n
باردار	b ɑː ɾ d ɑː ɾ
باردار	b ɒː ɾ d ɒː ɾ
باردار	b ɔː ɾ d ɔː ɾ
بارداری	b ɑː ɾ d ɑː ɾ iː
بارداری	b ɒː ɾ d ɒː ɾ iː
بارداری	b ɔː ɾ d ɔː ɾ iː
بارش	b ɑː ɾ i ʃ
بارش	b ɒː ɾ e ʃ
بارش	b ɒː ɾ ɪ ʃ
بارش	b ɔː ɾ i ʃ
باره	b ɑː ɾ a
باره	b ɒː ɾ a
باره	b ɒː ɾ e
باره	b ɔː ɾ a
باروت	b ɒː ɾ uː t
بارود	b ɒː ɾ uː d
باریک	b ɒː ɾ iː k
باریک‌تر	b ɒː ɾ iː k t æ ɾ
باریک‌ترین	b ɒː ɾ iː k t æ ɾ iː n
باز	b ɑː z
باز	b ɒː z
باز	b ɔː z
بازار	b ɑː z ɑː ɾ
بازار	b ɒː z ɒː ɾ
بازار	b ɔː z ɔː ɾ
بازرگان	b ɑː z a ɾ ɡ ɑː n
بازرگان	b ɒː z a ɾ ɡ ɒː n
بازرگان	b ɒː z æ ɾ ɡ ɒː n
بازرگان	b ɔː z a ɾ ɡ ɔː n
بازیچه	b ɒː z iː t ʃʰ e
باستانی	b ɒː s t ɒː n iː
باستان‌شناس	b ɑː s t ɑː n ʃ i n ɑː s
باستان‌شناس	b ɒː s t ɒː n ʃ e n ɒː s
باستان‌شناس	b ɒː s t ɒː n ʃ ɪ n ɒː s
باستان‌شناس	b ɔː s t ɔː n ʃ i n ɔː s
باغ	b ɑː ɣ
باغ	b ɒː ɣ
باغ	b ɔː ɣ
باغات	b ɒː ɣ ɒː t̪
باغبان	b ɑː ɣ b ɑː n
باغبان	b ɒː ɣ b ɒː n
باغبان	b ɔː ɣ b ɔː n
باغ‌ها	b ɒː ɣ h ɒː
باف	b ɒː f
بال	b ɒː l
بالغ	b ɒː l e ɣ
بام	b ɒː m
بامداد	b ɑː m d ɑː n
بامداد	b ɒː m d ɒː n
بامداد	b ɔː m d ɔː n
بامزه	b ɒː m æ z e
بامزه‌تر	b ɒː m æ z e t æ ɾ
بامزه‌ترین	b ɒː m æ z e t æ ɾ iː n
بانو	b ɑː n uː
بانو	b ɒː n uː
بانو	b ɔː n u
بانک	b ɑː n k
بانک	b ɒː n k
بانک	b ɔː n k
باور	b ɑː v a ɾ
باور	b ɒː v æ ɾ
باور	b ɒː w a ɾ
باور	b ɔː v a ɾ
باژ	b ɑː ʒ
باژ	b ɒː ʒ
باژ	b ɔː ʒ
باژدار	b ɑː ʒ d ɑː ɾ
باژدار	b ɒː ʒ d ɒː ɾ
باژدار	b ɔː ʒ d ɔː ɾ
باید	b ɒː j æ d
بایست	b ɒː j e s t
بایستی	b ɒː j æ s t iː
ببر	b a b ɾ
ببر	b æ b ɾ
بحث	b a h s
بحث	b æ h s
بحر	b æ h r
بحران	b o h ɾ ɒː n
بحران	b u h ɾ ɑː n
بحران	b ɵː h ɾ ɔː n
بحران	b ʊ h ɾ ɒː n
بخار	b o x ɒː ɾ
بخار	b u x ɑː ɾ
بخار	b u x ɔː ɾ
بخار	b ʊ x ɒː ɾ
بخارا	b o x ɒː ɾ ɒː
بخارا	b ʊ x ɒː ɾ ɒː
بخاطر	b a x ɑː t i ɾ i
بخاطر	b a x ɒː t ɪ ɾ ɪ
بخاطر	b a x ɔː t i ɾ i
بخاطر	b e x ɒː t e ɾ e
بختر	b e x t æ ɾ
بختیار	b a x t i j ɑː ɾ
بختیار	b a x t i j ɒː ɾ
بختیار	b a x t i j ɔː ɾ
بختیار	b æ x t i j ɒː ɾ
بخش	b a x ʃ
بخش	b æ x ʃ
بخشش	b a x ʃ i ʃ
بخشش	b a x ʃ ɪ ʃ
بخشش	b æ x ʃ e ʃ
بد	b æ d
بدبخت	b a d b a x t
بدبخت	b æ d b æ x t
بدرود	b e d ɾ uː d
بدن	b a d a n
بدن	b æ d æ n
بر	b æ ɾ
برابر	b a ɾ ɑː b a ɾ
برابر	b a ɾ ɒː b a ɾ
برابر	b a ɾ ɔː b a ɾ
برابر	b æ ɾ ɒː b æ ɾ
برای	b a ɾ ɑː j i
برای	b a ɾ ɒː j ɪ
برای	b a ɾ ɔː j i
برای	b æ ɾ ɒː j e
برخوردار	b æ ɾ x o ɾ d ɒː ɾ
برخوردار	b æ ɾ x u ɾ d ɒː ɾ
برخوردار	b æ ɾ xʷ æ ɾ d ɒː ɾ
برخی	b æ r x iː
بردار	b a ɾ d ɑː ɾ
بردار	b a ɾ d ɒː ɾ
بردار	b a ɾ d ɔː ɾ
بردار	b æ ɾ d ɒː ɾ
برداشتن	b a ɾ d ɑː ʃ t a n
برداشتن	b a ɾ d ɒː ʃ t a n
برداشتن	b a ɾ d ɔː ʃ t a n
برداشتن	b æ ɾ d ɒː ʃ t æ n
بردن	b o ɾ d æ n
بردن	b u ɾ d a n
بردن	b ʊ ɾ d a n
برزیستن	b a r z iː s t æ n
برس	b o ɾ s
برس	b u ɾ s
برس	b ʊ ɾ s
برنامه	b æ ɾ n ɒː m æ
برهنه	b a ɾ a h n a
برهنه	b e ɾ æ h n e
برگ	b æ ɾ ɡ
برگشتن	b a ɾ ɡ a ʃ t a n
برگشتن	b æ ɾ ɡ æ ʃ t æ n
بری	b e ɾ e j
بری	b æ ɾ e j
بری	b æ ɾ o j
بریدن	b o ɾ iː d æ n
بز	b o z
بز	b u z
بز	b ʊ z
بزاق	b o z ɒː ɣ
بزرگ	b o z o ɾ ɡ
بزرگ	b u z u ɾ ɡ
بزرگ	b ʊ z ʊ ɾ ɡ
بزرگ‌امید	b o z o ɾ ɡ ʔ o m iː d
بزرگ‌امید	b ʊ z ʊ ɾ ɡ ʔ ʊ m m eː d
بستن	b a s t a n
بستن	b æ s t æ n
بسد	b o s æ d ~ b e s æ d
بسد	b u s a d ~ b i s a d
بسد	b ʊ s a d ~ b ɪ s a d
بسنده	b æ s æ n d e
بسیار	b e s j ɒː ɾ
بسیار	b i s j ɑː ɾ
بسیار	b i s j ɔː ɾ
بسیار	b ɪ s j ɒː ɾ
بشقاب	b o ʃ ɣ ɒː b
بشقاب	b u ʃ q ɑː b
بشقاب	b u ʃ q ɔː b
بشقاب	b ʊ ʃ q ɒː b
بشکه	b o ʃ k e
بعث	b a ʔ s
بعث	b æ ʔ s
بعد	b a ʔ d
بعد	b o ʔ d
بعد	b u ʔ d
بعد	b æ ʔ d
بعد	b ɵː ʔ d
بعد	b ʊ ʔ d
بغداد	b a ɣ d ɑː d
بغداد	b a ɣ d ɒː d
بغداد	b a ɣ d ɔː d
بغداد	b æ ɣ d ɒː d
بفرمایید	b e f æ ɾ m ɒː j iː d
بلا	b e l ɒː
بلا	b æ l ɒː
بلافاصله	b e l ɒː f ɒː s e l e
بلال	b a l ɑː l
بلال	b a l ɒː l
بلال	b a l ɔː l
بلال	b æ l ɒː l
بلاگ	b l ɒː ɡ
بلبل	b o l b o l
بلبل	b u l b u l
بلبل	b ʊ l b ʊ l
بلد	b a l a d
بلد	b æ l æ d
بلعیدن	b æ l ʔ iː d æ n
بلور	b ɪ l oː ɾ
بلوط	b a l u t
بلوط	b a l uː t
بلوط	b æ l uː t
بلگ	b æ l ɡ
بلی	b a l e
بلی	b a l eː
بلی	b æ l iː
بم	b ə m
بندر	b a n d a ɾ
بندر	b æ n d æ ɾ
بنگ	b æ ŋ ɡ
بنیاد	b o n j ɒː d
بنیاد	b u n j ɑː d
بنیاد	b u n j ɔː d
بنیاد	b ʊ n j ɒː d
بنین	b e n iː n
بنین	b i n iː n
بنین	b ɪ n iː n
به	b a
به	b e
به	b e h
به	b i h
به	b ɪ h
بهار	b a h ɑː ɾ
بهار	b a h ɒː ɾ
بهار	b a h ɔː ɾ
بهار	b æ h ɒː ɾ
بهاری	b æ h ɒː ɾ iː
بهبود	b e h b uː d
بهتان	b o h t u n
بهتان	b o h t ɒ n
بهتر	b e h t a ɾ
بهتر	b e h t æ ɾ
بهتر	b i h t a ɾ
بهتر	b ɪ h t a ɾ
بهترین	b e h t a ɾ i n
بهترین	b e h t æ ɾ iː n
بهترین	b i h t a ɾ iː n
بهترین	b ɪ h t a ɾ iː n
بهشت	b e h e ʃ t
بهشت	b i h i ʃ t
بهشت	b ɪ h ɪ ʃ t
بهمان	b a h m ɑː n
بهمان	b a h m ɒː n
بهمان	b a h m ɔː n
بهمان	b æ h m ɒː n
بهمن	b a h m a n
بهمن	b æ h m æ n
به‌آفرید	b e h ɒː f æ ɾ iː d
به‌آفرید	b e h ɔː f a ɾ i d
به‌آفرید	b i h ɑː f a ɾ iː d
به‌آفرید	b ɪ h ɒː f a ɾ iː d
بو	b oː
بو	b uː
بو	b ɵː
بوته	b oː t æ
بوته	b uː t e
بودن	b u d a n
بودن	b uː d a n
بودن	b uː d æ n
بوران	b uː ɾ ɒ n
بوزه	b oː z æ
بوزه	b uː z e
بوستان	b oː s t ɑː n
بوستان	b oː s t ɒː n
بوستان	b uː s t ɒː n
بوستان	b ɵː s t ɔː n
بوسه	b oː s a
بوسه	b uː s e
بوسه	b ɵː s a
بوسیدن	b oː s iː d æ n
بوسیدن	b uː s iː d æ n
بون	b uː n
بوی	b oː j
بوی	b uː j
بوی	b ɵː j
بوییدن	b uː j iː d a n
بوییدن	b uː j iː d æ n
بوییدن	b ɵː j i d a n
بچه	b a t t͡ʃ a ~ b a t͡ʃ a
بچه	b e t ʃ e
بچه	b e tː ʃ e
بچه	b æ t t͡ʃ e ~ b æ t͡ʃ e
بچگی	b a t t͡ʃ a ɡ iː ~ b a t͡ʃ a ɡ iː
بچگی	b æ t t͡ʃ e ɡ iː ~ b æ t͡ʃ e ɡ iː
بژ	b e ʒ
بی	b e
بی	b eː
بی	b iː
بیابان	b i j ɑː b ɑː n
بیابان	b i j ɒː b ɒː n
بیابان	b i j ɔː b ɔː n
بیان	b a j ɑː n
بیان	b a j ɒː n
بیان	b a j ɔː n
بیان	b æ j ɒː n
بیجاده	b i d͡ʒ ɔː d i
بیجاده	b iː d͡ʒ ɑː d i
بیجاده	b iː d͡ʒ ɒː d e
بیجاده	b iː d͡ʒ ɒː d ɪ
بیخودی	b i x u d iː
بیخودی	b iː x o d iː
بیخودی	b iː x u d iː
بیخودی	b iː x ʊ d iː
بیدادی	b eː d ɒː d iː
بیدادی	b iː d ɒː d iː
بیرق	b a j ɾ a q
بیرق	b e j ɾ æ ɣ
بیرون	b e ɾ u n
بیرون	b eː ɾ uː n
بیرون	b iː ɾ uː n
بیرونی	b eː ɾ uː n iː
بیرونی	b iː ɾ uː n iː
بیش	b e ʃ
بیش	b eː ʃ
بیش	b i ʃ
بیش	b iː ʃ
بیشتر	b e ʃ t a ɾ
بیشتر	b eː ʃ t a ɾ
بیشتر	b iː ʃ t æ ɾ
بیشه	b e ʃ a
بیشه	b eː ʃ a
بیشه	b iː ʃ e
بیضه	b a j z a
بیضه	b e j z e
بیل	b e l
بیل	b eː l
بیل	b iː l
بیمار	b e m ɔː ɾ
بیمار	b eː m ɑː ɾ
بیمار	b eː m ɒː ɾ
بیمار	b iː m ɒː ɾ
بیمارتر	b iː m ɒː ɾ t æ ɾ
بیمارترین	b iː m ɒː ɾ t æ ɾ iː n
بیمارستان	b e m ɔː ɾ i s t ɔː n
بیمارستان	b eː m ɑː ɾ i s t ɑː n
بیمارستان	b eː m ɒː ɾ ɪ s t ɒː n
بیمارستان	b iː m ɒː ɾ e s t ɒː n
بین	b a j n
بین	b e j n
بین	b e n
بین	b eː n
بین	b iː n
بینی	b i n iː
بینی	b iː n iː
بیور	b eː w æ ɾ
بیور	b iː v æ ɾ
بیچاره	b e t͡ʃ ɔː ɾ a
بیچاره	b eː t͡ʃ ɑː ɾ a
بیچاره	b eː t͡ʃ ɒː ɾ a
بیچاره	b iː t͡ʃ ɒː ɾ e
بیژن	b eː ʒ a n
بیژن	b iː ʒ æ n
بیکار	b e k ɔː ɾ
بیکار	b eː k ɑː ɾ
بیکار	b eː k ɒː ɾ
بیکار	b iː k ɒː ɾ
بیگانه	b iː ɡ ɒː n e
بی‌شمار	b iː ʃ o m ɒː ɾ
بی‌نظیر	b iː n æ z iː ɾ
بی‌هوش	b e h ɵː ʃ
بی‌هوش	b eː h oː ʃ
بی‌هوش	b iː h uː ʃ
بی‌وقفه	b e v a q f a
بی‌وقفه	b eː v a q f a
بی‌وقفه	b eː w a q f a
بی‌وقفه	b iː v æ ɣ f e
بەت	b æː t
تأکید	t a ʔ k i d
تأکید	t a ʔ k iː d
تأکید	t æ ʔ k iː d
تا	tʰ ɑː
تا	tʰ ɒː
تا	tʰ ɔː
تابستان	t ɑː b i s t ɑː n
تابستان	t ɒː b e s t ɒː n
تابستان	t ɒː b ɪ s t ɒː n
تابستان	t ɔː b i s t ɔː n
تاج	t ɑː d͡ʒ
تاج	t ɒː d͡ʒ
تاج	t ɔː d͡ʒ
تاجور	t ɒː d ʒ v æ ɾ
تاجور	t ɒː d ʒ w æ ɾ
تاجیک	t ɑː d͡ʒ i k ~ t ɑː d͡ʒ iː k
تاجیک	t ɒː d͡ʒ e k ~ t ɒː d͡ʒ iː k
تاجیک	t ɒː d͡ʒ ɪ k ~ t ɒː d͡ʒ iː k
تاجیک	t ɔː d͡ʒ i k ~ t ɔː d͡ʒ i k
تاجیکستان	t ɑː d͡ʒ iː k i s t ɑː n
تاجیکستان	t ɒː d͡ʒ iː k e s t ɒː n
تاجیکستان	t ɒː d͡ʒ iː k ɪ s t ɒː n
تاجیکستان	t ɔː d͡ʒ i k i s t ɔː n
تاریخ	t ɑː ɾ iː x
تاریخ	t ɒː ɾ iː x
تاریخ	t ɔː ɾ i x
تاریخچه	t ɑː ɾ iː x t͡ʃ a
تاریخچه	t ɒː ɾ iː x t͡ʃ a
تاریخچه	t ɒː ɾ iː x t͡ʃ e
تاریخچه	t ɔː ɾ i x t͡ʃ a
تاریک‌تر	t ɒː ɾ iː k t æ ɾ
تاریک‌ترین	t ɒː ɾ iː k t æ ɾ iː n
تازه	t ɑː z a
تازه	t ɒː z a
تازه	t ɒː z e
تازه	t ɔː z a
تازه‌تر	t ɒː z e t æ ɾ
تازه‌ترین	t ɒː z e t æ ɾ iː n
تازگی	t ɑː z a ɡ iː
تازگی	t ɒː z a ɡ iː
تازگی	t ɒː z e ɡ iː
تازگی	t ɔː z a ɡ iː
تباه	t a b ɑː h
تباه	t a b ɒː h
تباه	t a b ɔː h
تباه	t æ b ɒː h
تبدیل	t a b d i l
تبدیل	t a b d iː l
تبدیل	t æ b d iː l
تبر	t a b a ɾ
تبر	t æ b æ ɾ
تجربه	t a d͡ʒ ɾ u b a ~ t a d͡ʒ ɾ i b a
تجربه	t a d͡ʒ ɾ ʊ b a ~ t a d͡ʒ ɾ ɪ b a
تجربه	t æ d͡ʒ ɾ o b e ~ t æ d͡ʒ ɾ e b e
تجربی	t æ d ʒ ɾ o b iː
تحت	t a h t i
تحت	t a h t ɪ
تحت	t æ h t e
تحصیل	t a h s i l
تحصیل	t a h s iː l
تحصیل	t æ h s iː l
تحفه	t o h f e
تحفه	t u h f a
تحفه	t ɵː h f a
تحفه	t ʊ h f a
تحقیق	t a h q i q
تحقیق	t a h q iː q
تحقیق	t æ h ɣ iː ɣ
تخت	t a x t
تخت	t æ x t
تخته	t æ x t e
تخته	t æ x t æ
تخریب	t a x ɾ i b
تخریب	t a x ɾ iː b
تخریب	t æ x ɾ iː b
تخم	t o x m
تخم	t u x m
تخم	t ʊ x m
تذرو	t a z a ɾ v
تذرو	t a z a ɾ w
تذرو	t a ð a ɾ v
تذرو	t æ z æ ɾ v
ترازو	t a ɾ ɑː z uː
ترازو	t a ɾ ɒː z uː
ترازو	t a ɾ ɔː z u
ترازو	t æ ɾ ɒː z uː
ترجمه	t a ɾ d͡ʒ u m a
ترجمه	t a ɾ d͡ʒ ʊ m a
ترجمه	t æ ɾ d͡ʒ o m e
ترساندن	t a ɾ s ɑː n d a n
ترساندن	t a ɾ s ɒː n d a n
ترساندن	t a ɾ s ɔː n d a n
ترساندن	t æ ɾ s ɒː n d æ n
ترسایی	t æ ɾ s ɒː j iː
ترسیدن	t a ɾ s i d a n
ترسیدن	t a ɾ s iː d a n
ترسیدن	t æ ɾ s iː d æ n
ترشی	t o ɾ ʃ iː
ترشی	t u ɾ ʃ iː
ترشی	t ʊ ɾ ʃ iː
ترنج	t o ɾ o n d͡ʒ
ترنج	t o ɾ æ n d͡ʒ
ترنج	t u ɾ a n d͡ʒ
ترنج	t u ɾ u n d͡ʒ
ترنج	t ʊ ɾ a n d͡ʒ
ترنج	t ʊ ɾ ʊ n d͡ʒ
ترک	t o ɾ k
ترک	t u ɾ k
ترک	t ʊ ɾ k
ترکیدن	t æ ɾ æ kʲ iː d æ n
ترگمان	t a ɾ ɡ u m ɑː n
ترگمان	t a ɾ ɡ u m ɔː n
ترگمان	t a ɾ ɡ ʊ m ɒː n
ترگمان	t æ ɾ ɡ o m ɒː n
تسو	t a s uː
تسو	t a s ʊ
تسو	t æ s uː
تشکر	t a ʃ a k k u ɾ
تشکر	t a ʃ a k k ʊ ɾ
تشکر	t æ ʃ æ k k o ɾ
تصادف	t a s ɑː d u f
تصادف	t a s ɒː d ʊ f
تصادف	t a s ɔː d u f
تصادف	t æ s ɒː d o f
تصحیح	t æ s h iː h
تصویب	t a s v i b
تصویب	t a s v iː b
تصویب	t a s w iː b
تصویب	t æ s v iː b
تصویر	t a s v i ɾ
تصویر	t a s v iː ɾ
تصویر	t a s w iː ɾ
تصویر	t æ s v iː ɾ
تعارف	t a ʔ ɑː ɾ u f
تعارف	t a ʔ ɒː ɾ ʊ f
تعارف	t a ʔ ɔː ɾ u f
تعارف	t æ ʔ ɒː ɾ o f
تعداد	t e ʔ d ɒː d
تعداد	t e ʔ d ɔː d
تعداد	t i ʔ d ɑː d
تعداد	t ɪ ʔ d ɒː d
تعریف	t a ʔ ɾ i f
تعریف	t a ʔ ɾ iː f
تعریف	t æ ʔ ɾ iː f
تعلق	t a ʔ a l l u q
تعلق	t a ʔ a l l ʊ q
تعلق	t æ ʔ æ l l o ɣ
تعلیم	t æ ʔ l i m
تغییر	t æ ɣ j iː ɾ
تغییرات	t æ ɣ j iː ɾ ɒː t
تفاوت	t a f ɑː v u t
تفاوت	t a f ɒː w ʊ t
تفاوت	t a f ɔː v u t
تفاوت	t æ f ɒː v o t
تفریح	t a f ɾ e h
تفریح	t a f ɾ iː h
تفریح	t æ f ɾ iː h
تفنگ	t o f æ ŋ ɡ
تفنگ	t u f a ŋ ɡ
تفنگ	t ʊ f a ŋ ɡ
تقدیر	t a q d i ɾ
تقدیر	t a q d iː ɾ
تقدیر	t æ ɣ d iː ɾ
تقریبا	t æ ɣ ɾ iː b æ n
تقریباً	t a q ɾ i b a n
تقریباً	t a q ɾ iː b a n
تقریباً	t æ ɣ ɾ iː b æ n
تقصیر	t æ ɣ s iː ɾ
تقوا	t a q v ɑː
تقوا	t a q v ɔː
تقوا	t a q w ɒː
تقوا	t æ ɣ v ɒː
تلاش	t a l ɑː ʃ
تلاش	t a l ɒː ʃ
تلاش	t a l ɔː ʃ
تلاش	t æ l ɒː ʃ
تلخ	t æ l x
تلف	t a l a f
تلف	t æ l æ f
تلویحی	t æ l v iː h iː
تمام	t a m ɑː m
تمام	t a m ɒː m
تمام	t a m ɔː m
تمام	t æ m ɒː m
تمساح	t e m s ɒː h
تمساح	t i m s ɑː h
تمساح	t i m s ɔː h
تمساح	t ɪ m s ɒː h
تمیزتر	t æ m iː z t æ ɾ
تمیزترین	t æ m iː z t æ ɾ iː n
تنبان	t o m b ɒ n
تنبور	t a n b u ɾ
تنبور	t a n b uː ɾ
تنبور	t æ n b uː ɾ
تندیس	t æ n d iː s
تنیدن	t æ n iː d æ n
تهران	t e h ɾ ɒː n
تهران	t e h ɾ ɔː n
تهران	t i h ɾ ɑː n
تهران	t ɪ h ɾ ɒː n
تهرون	t e h ɾ uː n
تو	t o
تو	t oː
تو	t u
تو	t uː
توجه	t a v a d d͡ʒ u h
توجه	t a v a d d͡ʒ ɵː h
توجه	t a w a d d͡ʒ ʊ h
توجه	t æ v æ d d͡ʒ o h
تور	t o w æ ɾ
تور	t æ v æ ɾ
توزیع	tʰ o ʊ̯ z iː ʔ
توسعه	t a v s i ʔ a
توسعه	t a w s i ʔ a
توسعه	t a w s ɪ ʔ a
توسعه	t o w s e ʔ e
توسی	t uː s iː
توصیه	t a v s i j a
توصیه	t a w s i j a
توصیه	t o w s i j e
توقع	t a v a q q u ʔ
توقع	t a v a q q ɵː ʔ
توقع	t a w a q q ʊ ʔ
توقع	t æ v æ ɣ ɣ o ʔ
تولد	t a v a l l u d
تولد	t a w a l l ʊ d
تولد	t æ v æ l l o d
توپ	t oː p
توپ	t uː p
توپ	t ɵː p
تکفور	t æ k f uː ɾ
تکور	t æ k v o ɾ
تکور	t æ k w u ɾ
تکوک	t æ k oː k
تکوک	t æ k uː k
تکیدن	t a k i d a n
تکیدن	t a k iː d a n
تکیدن	t æ k iː d æ n
تکیه	t a k j a
تکیه	t æ k j e
تیرداد	t iː ɾ d ɒː d
تیز	t e z
تیز	t eː z
تیز	t iː z
تیزاب	t e z ɔː b
تیزاب	t eː z ɑː b
تیزاب	t eː z ɒː b
تیزاب	t iː z ɒː b
تیله	t e l a
تیله	t eː l a
تیله	t iː l e
تیمارستان	t i m ɔː ɾ i s t ɔː n
تیمارستان	t iː m ɑː ɾ i s t ɑː n
تیمارستان	t iː m ɒː ɾ e s t ɒː n
تیمارستان	t iː m ɒː ɾ ɪ s t ɒː n
تیهو	t i h ɵː
تیهو	t iː h oː
تیهو	t iː h uː
ثابت	s ɒː b e tʰ
ثابت‌ها	s ɒː b e tʰ h ɒː
ثانیه	s ɑː n i j a
ثانیه	s ɒː n i j a
ثانیه	s ɒː n i j e
ثانیه	s ɔː n i j a
جا	d͡ʒ ɑː j
جا	d͡ʒ ɒː j
جا	d͡ʒ ɔː j
جادو	d͡ʒ ɑː d uː
جادو	d͡ʒ ɒː d uː
جادو	d͡ʒ ɔː d u
جاری	d͡ʒ ɑː ɾ i
جاری	d͡ʒ ɒː ɾ e
جاری	d͡ʒ ɒː ɾ ɪ
جاری	d͡ʒ ɔː ɾ i
جام	d͡ʒ ɒː m
جامعه	d͡ʒ ɑː m i ʔ a
جامعه	d͡ʒ ɒː m e ʔ e
جامعه	d͡ʒ ɒː m ɪ ʔ a
جامعه	d͡ʒ ɔː m i ʔ a
جامعه‌شناس	d͡ʒ ɑː m i ʔ a ʃ i n ɑː s
جامعه‌شناس	d͡ʒ ɒː m e ʔ e ʃ e n ɒː s
جامعه‌شناس	d͡ʒ ɒː m ɪ ʔ a ʃ ɪ n ɒː s
جامعه‌شناس	d͡ʒ ɔː m i ʔ a ʃ i n ɔː s
جامه‌دان	d͡ʒ ɑː m i d ɑː n
جامه‌دان	d͡ʒ ɒː m e d ɒː n
جامه‌دان	d͡ʒ ɒː m ɪ d ɒː n
جامه‌دان	d͡ʒ ɔː m i d ɔː n
جان	d͡ʒ ɑː n
جان	d͡ʒ ɒː n
جان	d͡ʒ ɔː n
جانور	d͡ʒ ɑː n v a ɾ
جانور	d͡ʒ ɒː n v æ ɾ
جانور	d͡ʒ ɒː n w a ɾ
جانور	d͡ʒ ɔː n v a ɾ
جاوید	d͡ʒ ɑː v eː d
جاوید	d͡ʒ ɒː v iː d
جاوید	d͡ʒ ɒː w eː d
جاوید	d͡ʒ ɔː v e d
جایزه	d͡ʒ ɑː j i z a
جایزه	d͡ʒ ɒː j e z e
جایزه	d͡ʒ ɒː j ɪ z a
جایزه	d͡ʒ ɔː j i z a
جبار	d ʒ æ b ɒː ɾ
جبر	d͡ʒ a b ɾ
جبر	d͡ʒ æ b ɾ
جبهه	d͡ʒ e b h e
جبهه	d͡ʒ i b h a
جبهه	d͡ʒ ɪ b h a
جدا	d͡ʒ e d d æ n
جدا	d͡ʒ i d d a n
جدا	d͡ʒ o d ɒː
جدا	d͡ʒ u d ɑː
جدا	d͡ʒ u d ɔː
جدا	d͡ʒ ɪ d d a n
جدا	d͡ʒ ʊ d ɒː
جدایی	d͡ʒ o d ɒː j iː
جدایی	d͡ʒ u d ɑː j iː
جدایی	d͡ʒ u d ɔː j iː
جدایی	d͡ʒ ʊ d ɒː j iː
