є	j ɛ
буржуазний	b ʊ r ʒ ʊ ɑ z n e i̯
бурлак	b ʊ r ɫ ɑ k
бурмило	b ʊ r m ɪ ɫ ɔ
бурулька	b ʊ r u lʲ k ɐ
бурунді	b ʊ r u nʲ dʲ i
бурштин	b ʊ r ʃ t ɪ n
бурштиновий	b ʊ r ʃ t e n ɔ ʋ e i̯
буря	b u rʲ ɐ
буряк	b ʊ rʲ ɑ k
бутан	b ʊ t ɑ n
бутерброд	b ʊ t e r b r ɔ d
бути	b u t e
буття	b ʊ tʲː ɑ
буття	b ʊ tʲː ɑ
бухарест	b ʊ x ɐ r ɛ s t
бухгалтер	b ʊ ɦ ɦ ɑ ɫ t e r
бухгалтерка	b ʊ ɦ ɦ ɑ ɫ t e r k ɐ
бюджет	bʲ ʊ d͡ʒ ɛ t
бюро	bʲ ʊ r ɔ
бюрократ	bʲ ʊ r ɔ k r ɑ t
бюрократія	bʲ ʊ r ɔ k r ɑ tʲ i j ɐ
бюрократичний	bʲ ʊ r ɔ k r ɐ t ɪ t͡ʃ n e i̯
бюрократка	bʲ ʊ r ɔ k r ɑ t k ɐ
бюст	bʲ u s t
в'єтнам	ʋ j e t n ɑ m
в'єтнамський	ʋ j e t n ɑ m sʲ k e i̯
в'їзд	ʋ j i z d
в'язень	ʋ j ɑ z e nʲ
в'язи	ʋ j ɑ z e
в'язниця	ʋ j ɐ z n ɪ t͡sʲ ɐ
в'ячеслав	ʋ j ɐ t͡ʃ e s ɫ ɑ u̯
віє	ʋʲ i j e
вією	ʋʲ i j e j ʊ
вії	ʋʲ i j i
вівера	ʋʲ i ʋ ɛ r ɐ
вівсі	ʋʲ i u̯ sʲ i
вівсів	ʋʲ i u̯ sʲ i u̯
вівсів	ʋʲ i u̯ sʲ i u̯
вівса	ʋʲ i u̯ s ɑ
вівса	ʋʲ i u̯ s ɐ
вівсам	ʋʲ i u̯ s ɐ m
вівсам	ʋʲ i u̯ s ɑ m
вівсами	ʋʲ i u̯ s ɐ m e
вівсами	ʋʲ i u̯ s ɑ m e
вівсах	ʋʲ i u̯ s ɐ x
вівсах	ʋʲ i u̯ s ɑ x
вівсе	ʋʲ i u̯ s e
вівси	ʋʲ i u̯ s ɪ
вівсові	ʋʲ i u̯ s ɔ ʋʲ i
вівсом	ʋʲ i u̯ s ɔ m
вівсу	ʋʲ i u̯ s u
вівсяний	ʋʲ i u̯ sʲ ɑ n e i̯
вівтар	ʋʲ i u̯ t ɑ r
вівтар	ʋʲ i u̯ t ɑ r
вівтар	ʋʲ i u̯ t ɐ r
вівтарний	ʋʲ i u̯ t ɐ r n e i̯
вівтарний	ʋʲ i u̯ t ɑ r n e i̯
вівторковий	ʋʲ i u̯ t ɔ r k ɔ ʋ e i̯
вівторок	ʋʲ i u̯ t ɔ r ɔ k
вівця	ʋʲ i u̯ t͡sʲ ɑ
від	ʋʲ i d
від'їбатися	ʋʲ i d j i b ɑ t e sʲ ɐ
відати	ʋʲ i d ɐ t e
відбуватися	ʋʲ i d b ʊ ʋ ɑ t e sʲ ɐ
відбутися	ʋʲ i d b u t e sʲ ɐ
відвідати	ʋʲ i dʲ ʋʲ i d ɐ t e
відвідувати	ʋʲ i dʲ ʋʲ i d ʊ ʋ ɐ t e
відвідувач	ʋʲ i dʲ ʋʲ i d ʊ ʋ ɐ t͡ʃ
відвага	ʋʲ i d ʋ ɑ ɦ ɐ
відважний	ʋʲ i d ʋ ɑ ʒ n e i̯
відвернути	ʋʲ i d ʋ e r n u t e
відвертати	ʋʲ i d ʋ e r t ɑ t e
відгороджувати	ʋʲ i d ɦ ɔ r ɔ d͡ʒ ʊ ʋ ɐ t e
відгородити	ʋʲ i d ɦ ɔ r ɔ d ɪ t e
відділити	ʋʲ i dʲː i ɫ ɪ t e
відділяти	ʋʲ i dʲː i lʲ ɑ t e
віддаленість	ʋʲ i dː ɑ ɫ e nʲ i sʲ tʲ
віддалений	ʋʲ i dː ɑ ɫ e n e i̯
віддалити	ʋʲ i dː ɐ ɫ ɪ t e
віддаль	ʋʲ i dː ɐ lʲ
віддаляти	ʋʲ i dː ɐ lʲ ɑ t e
відданість	ʋʲ i dː ɐ nʲ i sʲ tʲ
відданий	ʋʲ i dː ɐ n e i̯
віденський	ʋʲ i d e nʲ sʲ k e i̯
відень	ʋʲ i d e nʲ
відео	ʋʲ i d e ɔ
відеогра	ʋʲ i d e ɔ ɦ r ɑ
відзвітувати	zʲ ʋʲ i t ʊ ʋ ɑ t e
відкладати	ʋʲ i d k ɫ ɐ d ɑ t e
відкласти	ʋʲ i d k ɫ ɑ s t e
відкривати	ʋʲ i d k r e ʋ ɑ t e
відкрити	ʋʲ i d k r ɪ t e
відкриття	ʋʲ i d k r e tʲː ɑ
відлік	ʋʲ i dʲ lʲ i k
відлітати	ʋʲ i dʲ lʲ i t ɑ t e
відлічити	ʋʲ i dʲ lʲ i t͡ʃ ɪ t e
відлічувати	ʋʲ i dʲ lʲ i t͡ʃ ʊ ʋ ɐ t e
відлетіти	ʋʲ i d ɫ e tʲ i t e
відлякати	ʋʲ i dʲ lʲ ɐ k ɑ t e
відлякувати	ʋʲ i dʲ lʲ ɑ k ʊ ʋ ɐ t e
відміна	ʋʲ i dʲ mʲ i n ɐ
відмінний	ʋʲ i dʲ mʲ i nː e i̯
відмінок	ʋʲ i dʲ mʲ i n ɔ k
відміну	ʋʲ i dʲ mʲ i n ʊ
відмінювання	ʋʲ i dʲ mʲ i nʲ ʊ ʋ ɐ nʲː ɐ
відмежовувати	ʋʲ i d m e ʒ ɔ w ʊ ʋ ɐ t e
відмежувати	ʋʲ i d m e ʒ ʊ ʋ ɑ t e
відмова	ʋʲ i d m ɔ ʋ ɐ
віднести	ʋʲ i d n e s t ɪ
відновити	ʋʲ i d n ɔ ʋ ɪ t e
відновлювати	ʋʲ i d n ɔ u̯ lʲ ʊ ʋ ɐ t e
відносини	ʋʲ i d n ɔ s e n e
відносний	ʋʲ i d n ɔ s n e i̯
відносно	ʋʲ i d n ɔ s n ɔ
відображати	ʋʲ i d ɔ b r ɐ ʒ ɑ t e
відобразити	ʋʲ i d ɔ b r ɐ z ɪ t e
відокремити	ʋʲ i d ɔ k r ɛ m e t e
відокремлювати	ʋʲ i d ɔ k r ɛ m lʲ ʊ ʋ ɐ t e
відомий	ʋʲ i d ɔ m e i̯
відомство	ʋʲ i d ɔ m s t w ɔ
відповідальність	ʋʲ i d p ɔ ʋʲ i d ɑ lʲ nʲ i sʲ tʲ
відповідальний	ʋʲ i d p ɔ ʋʲ i d ɑ lʲ n e i̯
відповідати	ʋʲ i d p ɔ ʋʲ i d ɑ t e
відповідний	ʋʲ i d p ɔ ʋʲ i d n e i̯
відповідь	ʋʲ i d p ɔ ʋʲ i dʲ
відповісти	ʋʲ i d p ɔ ʋʲ i s t ɪ
відповісти	ʋʲ i d p ɔ ʋʲ i s t e
відпочивати	ʋʲ i d p ɔ t͡ʃ e ʋ ɑ t e
відпочилий	ʋʲ i d p ɔ t͡ʃ ɪ ɫ e i̯
відпочинок	ʋʲ i d p ɔ t͡ʃ ɪ n ɔ k
відпочити	ʋʲ i d p ɔ t͡ʃ ɪ t e
відпустка	ʋʲ i d p u s t k ɐ
відрізнятися	ʋʲ i dʲ rʲ i zʲ nʲ ɑ t e sʲ ɐ
відреагувати	ʋʲ i d r e ɐ ɦ ʊ ʋ ɑ t e
відро	ʋʲ i d r ɔ
відродження	ʋʲ i d r ɔ d͡ʒ e nʲː ɐ
відродження	ʋʲ i d r ɔ d͡ʒ e nʲː ɐ
відроджувати	ʋʲ i d r ɔ d͡ʒ ʊ ʋ ɐ t e
відродити	ʋʲ i d r ɔ d ɪ t e
відсвяткувати	ʋʲ i d͡z sʲ ʋʲ ɐ t k ʊ ʋ ɑ t e
відсотковий	ʋʲ i d͡z s ɔ t k ɔ ʋ e i̯
відсоток	ʋʲ i d͡z s ɔ t ɔ k
відстань	ʋʲ i d͡z s t ɐ nʲ
відстоювати	ʋʲ i d͡z s t ɔ j ʊ ʋ ɐ t e
відстояти	ʋʲ i d͡z s t ɔ j ɑ t e
відстрочити	ʋʲ i d͡z s t r ɔ t͡ʃ e t e
відстрочувати	ʋʲ i d͡z s t r ɔ t͡ʃ ʊ ʋ ɐ t e
відсутній	ʋʲ i d͡z s u tʲ nʲ i i̯
відсутність	ʋʲ i d͡z s u tʲ nʲ i sʲ tʲ
відтік	ʋʲ i dʲ tʲ i k
відтік	ʋʲ i dʲ tʲ i k
відтворити	ʋʲ i d t w ɔ r ɪ t e
відтворювати	ʋʲ i d t w ɔ rʲ ʊ ʋ ɐ t e
відфільтровувати	ʋʲ i dʲ fʲ i lʲ t r ɔ w ʊ ʋ ɐ t e
відфільтрувати	ʋʲ i dʲ fʲ i lʲ t r ʊ ʋ ɑ t e
відчай	ʋʲ i d͡ʒ t͡ʃ ɐ i̯
відчинити	ʋʲ i d͡ʒ t͡ʃ e n ɪ t e
відчиняти	ʋʲ i d͡ʒ t͡ʃ e nʲ ɑ t e
відчувати	ʋʲ i d͡ʒ t͡ʃ ʊ ʋ ɑ t e
відчути	ʋʲ i d͡ʒ t͡ʃ u t e
відчутний	ʋʲ i d͡ʒ t͡ʃ u t n e i̯
відчуття	ʋʲ i d͡ʒ t͡ʃ ʊ tʲː ɑ
віз	ʋʲ i z
віза	ʋʲ i z ɐ
візантій	ʋʲ i z ɑ nʲ tʲ i i̯
візантійський	ʋʲ i z ɐ nʲ tʲ i i̯ sʲ k e i̯
візантія	ʋʲ i z ɐ nʲ tʲ i j ɐ
візантія	ʋʲ i z ɑ nʲ tʲ i j ɐ
візовий	ʋʲ i z ɔ ʋ e i̯
візок	ʋʲ i z ɔ k
візуалізація	ʋʲ i z ʊ ɐ lʲ i z ɑ t͡sʲ i j ɐ
візуальний	ʋʲ i z ʊ ɑ lʲ n e i̯
вій	ʋʲ i i̯
війна	ʋʲ i i̯ n ɑ
військо	ʋʲ i i̯ sʲ k ɔ
військовий	ʋʲ i i̯ sʲ k ɔ ʋ ɪ i̯
військовий	ʋʲ i i̯ sʲ k ɔ ʋ e i̯
військовослужбовець	ʋʲ i i̯ sʲ k ɔ w ɔ s ɫ ʊ ʒ b ɔ ʋ e t͡sʲ
вік	ʋʲ i k
вікіпедія	ʋʲ i kʲ i p ɛ dʲ i j ɐ
вікісловник	ʋʲ i kʲ i s ɫ ɔ u̯ n ɪ k
вікісловника	ʋʲ i kʲ i s ɫ ɔ u̯ n e k ɑ
вікісловникові	ʋʲ i kʲ i s ɫ ɔ u̯ n e k ɔ ʋʲ i
вікісловником	ʋʲ i kʲ i s ɫ ɔ u̯ n e k ɔ m
вікісловнику	ʋʲ i kʲ i s ɫ ɔ u̯ n e k u
вікно	ʋʲ i k n ɔ
вікно	ʋʲ i k n ɔ
віко	ʋʲ i k ɔ
віковічний	ʋʲ i k ɔ ʋʲ i t͡ʃ n e i̯
віконце	ʋʲ i k ɔ n t͡s e
віктор	ʋʲ i k t ɔ r
вікторія	ʋʲ i k t ɔ rʲ i j ɐ
віл	ʋʲ i ɫ
вільна	ʋʲ i lʲ n ɐ
вільний	ʋʲ i lʲ n e i̯
вільнодумець	ʋʲ i lʲ n o d u m e t͡sʲ
вільнодумка	ʋʲ i lʲ n o d u m k ɐ
вільнодумство	ʋʲ i lʲ n o d u m s t w ɔ
вільнюс	ʋʲ i lʲ nʲ ʊ s
він	ʋʲ i n
вінниця	ʋʲ i nː e t͡sʲ ɐ
віно	ʋʲ i n ɔ
віра	ʋʲ i r ɐ
віра	ʋʲ i r ɐ
вірити	ʋʲ i r e t e
вірменія	ʋʲ i r m ɛ nʲ i j ɐ
вірменський	ʋʲ i r m ɛ nʲ sʲ k e i̯
вірний	ʋʲ i r n e i̯
віросповідання	ʋʲ i r ɔ s p ɔ ʋʲ i d ɑ nʲː ɐ
віртуальна	ʋʲ i r t ʊ ɑ lʲ n ɐ
віртуальний	ʋʲ i r t ʊ ɑ lʲ n e i̯
віру	ʋʲ i r ʊ
вірувати	ʋʲ i r ʊ ʋ ɐ t e
вірус	ʋʲ i r ʊ s
вірш	ʋʲ i r ʃ
вірьовка	ʋʲ i rʲ ɔ u̯ k ɐ
вісім	ʋʲ i sʲ i m
вісімдесят	ʋʲ i sʲ i m d e sʲ ɑ t
вісімдесятий	ʋʲ i sʲ i m d e sʲ ɑ t e i̯
вісімнадцятий	ʋʲ i sʲ i m n ɑ d͡zʲ t͡sʲ ɐ t e i̯
вісімнадцять	ʋʲ i sʲ i m n ɑ d͡zʲ t͡sʲ ɐ tʲ
вісімсот	ʋʲ i sʲ i m s ɔ t
віск	ʋʲ i s k
віскі	ʋʲ i sʲ kʲ i
вісла	ʋʲ i s ɫ ɐ
вість	ʋʲ i sʲ tʲ
вісь	ʋʲ i sʲ
віталень	ʋʲ i t ɑ ɫ e nʲ
вітальні	ʋʲ i t ɑ lʲ nʲ i
вітальне	ʋʲ i t ɑ lʲ n e
вітальнею	ʋʲ i t ɑ lʲ n e j ʊ
вітальню	ʋʲ i t ɑ lʲ nʲ ʊ
вітальня	ʋʲ i t ɑ lʲ nʲ ɐ
вітальням	ʋʲ i t ɑ lʲ nʲ ɐ m
вітальнями	ʋʲ i t ɑ lʲ nʲ ɐ m e
вітальнях	ʋʲ i t ɑ lʲ nʲ ɐ x
вітамін	ʋʲ i t ɐ mʲ i n
вітати	ʋʲ i t ɑ t e
вітебськ	ʋʲ i t e b sʲ k
вітер	ʋʲ i t e r
вітка	ʋʲ i t k ɐ
вітка	ʋʲ i t k ɐ
вітрило	ʋʲ i t r ɪ ɫ ɔ
вітрильний	ʋʲ i t r ɪ lʲ n e i̯
вітряний	ʋʲ i tʲ rʲ ɐ n e i̯
вітчизна	ʋʲ i t͡ʃː ɪ z n ɐ
вітчизняний	ʋʲ i t͡ʃː e zʲ nʲ ɑ n e i̯
вітчизняний	ʋʲ i t͡ʃː ɪ zʲ nʲ ɐ n e i̯
вічко	ʋʲ i t͡ʃ k ɔ
вічність	ʋʲ i t͡ʃ nʲ i sʲ tʲ
вічний	ʋʲ i t͡ʃ n e i̯
вішати	ʋʲ i ʃ ɐ t e
вію	ʋʲ i j ʊ
вія	ʋʲ i j ɐ
віям	ʋʲ i j ɐ m
віями	ʋʲ i j ɐ m e
віяти	ʋʲ i j ɐ t e
віях	ʋʲ i j ɐ x
вагінальний	ʋ ɐ ɦʲ i n ɑ lʲ n e i̯
вагітність	ʋ ɐ ɦʲ i tʲ nʲ i sʲ tʲ
вагітна	ʋ ɐ ɦʲ i t n ɐ
вагітний	ʋ ɐ ɦʲ i t n e i̯
вага	ʋ ɐ ɦ ɑ
вагання	ʋ ɐ ɦ ɑ nʲː ɐ
вагатися	ʋ ɐ ɦ ɑ t e sʲ ɐ
ваги	ʋ ɑ ɦ e
ваги	ʋ ɐ ɦ ɪ
ваговий	ʋ ɐ ɦ ɔ ʋ ɪ i̯
вад	ʋ ɑ d
ваді	ʋ ɑ dʲ i
вада	ʋ ɑ d ɐ
вадам	ʋ ɑ d ɐ m
вадами	ʋ ɑ d ɐ m e
вадах	ʋ ɑ d ɐ x
вади	ʋ ɑ d e
вадо	ʋ ɑ d ɔ
вадою	ʋ ɑ d ɔ j ʊ
ваду	ʋ ɑ d ʊ
важіль	ʋ ɑ ʒʲ i lʲ
важкий	ʋ ɐ ʒ k ɪ i̯
важко	ʋ ɑ ʒ k ɔ
важкодоступний	ʋ ɐ ʒ k ɔ d o s t u p n e i̯
важливість	ʋ ɐ ʒ ɫ ɪ ʋʲ i sʲ tʲ
важливий	ʋ ɐ ʒ ɫ ɪ ʋ e i̯
важчий	ʋ ɑ ʒ t͡ʃ e i̯
вайло	ʋ ɐ i̯ ɫ ɔ
вакації	ʋ ɐ k ɑ t͡sʲ i j i
вакцина	ʋ ɐ k t͡s ɪ n ɐ
вакцинація	ʋ ɐ k t͡s e n ɑ t͡sʲ i j ɐ
вакцинувати	ʋ ɐ k t͡s e n ʊ ʋ ɑ t e
валіза	ʋ ɐ lʲ i z ɐ
валентина	ʋ ɐ ɫ e n t ɪ n ɐ
валець	ʋ ɐ ɫ ɛ t͡sʲ
валюта	ʋ ɐ lʲ u t ɐ
валютний	ʋ ɐ lʲ u t n e i̯
вам	ʋ ɑ m
вами	ʋ ɑ m e
ванна	ʋ ɑ nː ɐ
вантажівка	ʋ ɐ n t ɐ ʒʲ i u̯ k ɐ
вантажити	ʋ ɐ n t ɑ ʒ e t e
варіант	ʋ ɐ rʲ i ɑ n t
варіанті	ʋ ɐ rʲ i ɑ nʲ tʲ i
варіантів	ʋ ɐ rʲ i ɑ nʲ tʲ i u̯
варіанта	ʋ ɐ rʲ i ɑ n t ɐ
варіантам	ʋ ɐ rʲ i ɑ n t ɐ m
варіантами	ʋ ɐ rʲ i ɑ n t ɐ m e
варіантах	ʋ ɐ rʲ i ɑ n t ɐ x
варіанти	ʋ ɐ rʲ i ɑ n t e
варіантові	ʋ ɐ rʲ i ɑ n t ɔ ʋʲ i
варіантом	ʋ ɐ rʲ i ɑ n t ɔ m
варіанту	ʋ ɐ rʲ i ɑ n t ʊ
варіація	ʋ ɐ rʲ i ɑ t͡sʲ i j ɐ
вареник	ʋ ɐ r ɛ n e k
вареників	ʋ ɐ r ɛ n e kʲ i u̯
вареники	ʋ ɐ r ɛ n e k e
варити	ʋ ɐ r ɪ t e
вартість	ʋ ɑ r tʲ i sʲ tʲ
варшав'янин	ʋ ɐ r ʃ ɐ ʋ j ɑ n e n
варшав'янка	ʋ ɐ r ʃ ɐ ʋ j ɑ n k ɐ
варшава	ʋ ɐ r ʃ ɑ ʋ ɐ
варшавський	ʋ ɐ r ʃ ɑ u̯ sʲ k e i̯
вас	ʋ ɑ s
василь	ʋ ɐ s ɪ lʲ
вата	ʋ ɑ t ɐ
ватра	ʋ ɑ t r ɐ
ватру	ʋ ɑ t r ʊ
ватрушка	ʋ ɐ t r u ʃ k ɐ
ваш	ʋ ɑ ʃ
ваші	ʋ ɑ ʃʲ i
ваша	ʋ ɑ ʃ ɐ
ваше	ʋ ɑ ʃ e
вашингтон	ʋ ɐ ʃ e n ɦ t ɔ n
вбивати	w b e ʋ ɑ t e
вбивство	w b ɪ u̯ s t w ɔ
вбити	w b ɪ t e
ввімкнути	ʋʲː i m k n u t e
ввічливий	ʋʲː i t͡ʃ ɫ e ʋ e i̯
вважати	ʋː ɐ ʒ ɑ t e
вважатися	ʋː ɐ ʒ ɑ t e sʲ ɐ
ввести	ʋː e s t ɪ
ввесь	ʋː ɛ sʲ
ввечері	ʋː ɛ t͡ʃ e rʲ i
вводити	ʋː ɔ d e t e
вголос	w ɦ ɔ ɫ ɔ s
вдова	w d ɔ ʋ ɑ
вдовець	w d ɔ ʋ ɛ t͡sʲ
вдосвіта	w d ɔ sʲ ʋʲ i t ɐ
вдруге	w d r u ɦ e
вдячність	w dʲ ɑ t͡ʃ nʲ i sʲ tʲ
вдячний	w dʲ ɑ t͡ʃ n e i̯
ведмідь	ʋ e dʲ mʲ i dʲ
ведуча	ʋ e d u t͡ʃ ɐ
ведучий	ʋ e d u t͡ʃ e i̯
вежа	ʋ ɛ ʒ ɐ
везти	ʋ e z t ɪ
великдень	ʋ e ɫ ɪ ɡ d e nʲ
великий	ʋ e ɫ ɪ k e i̯
великобританія	ʋ e ɫ e k ɔ b r e t ɑ nʲ i j ɐ
великодній	ʋ e ɫ e k ɔ dʲ nʲ i i̯
великодушність	ʋ e ɫ e k o d u ʃ nʲ i sʲ tʲ
великодушний	ʋ e ɫ e k o d u ʃ n e i̯
великомученик	ʋ e ɫ e k o m u t͡ʃ e n e k
великомучениця	ʋ e ɫ e k o m u t͡ʃ e n e t͡sʲ ɐ
величезний	ʋ e ɫ e t͡ʃ ɛ z n e i̯
велиґдень	ʋ e ɫ ɪ ɡ d e nʲ
велосипед	ʋ e ɫ ɔ s e p ɛ d
велосипедист	ʋ e ɫ ɔ s e p e d ɪ s t
велосипедистка	ʋ e ɫ ɔ s e p e d ɪ s t k ɐ
велоспорт	ʋ e ɫ ɔ s p ɔ r t
вельможа	ʋ e lʲ m ɔ ʒ ɐ
вен	ʋ ɛ n
вені	ʋ ɛ nʲ i
вена	ʋ ɛ n ɐ
венам	ʋ ɛ n ɐ m
венами	ʋ ɛ n ɐ m e
венах	ʋ ɛ n ɐ x
венесуела	ʋ e n e s ʊ ɛ ɫ ɐ
венеціанець	ʋ e n e t͡sʲ i ɑ n e t͡sʲ
венеціанка	ʋ e n e t͡sʲ i ɑ n k ɐ
венеціанський	ʋ e n e t͡sʲ i ɑ nʲ sʲ k e i̯
венеція	ʋ e n ɛ t͡sʲ i j ɐ
вени	ʋ ɛ n e
вено	ʋ ɛ n ɔ
веною	ʋ ɛ n ɔ j ʊ
вентиляція	ʋ e n t e lʲ ɑ t͡sʲ i j ɐ
вену	ʋ ɛ n ʊ
вепр	ʋ ɛ p r
вербальний	ʋ e r b ɑ lʲ n e i̯
верблюд	ʋ e r b lʲ u d
верем'я	ʋ e r ɛ m j ɐ
верес	ʋ ɛ r e s
вересень	ʋ ɛ r e s e nʲ
веретено	ʋ e r e t ɛ n ɔ
верифікація	ʋ e r e fʲ i k ɑ t͡sʲ i j ɐ
вероніка	ʋ e r o nʲ i k ɐ
версія	ʋ ɛ r sʲ i j ɐ
верства	ʋ e r s t ʋ ɑ
вертіти	ʋ e r tʲ i t e
вертикальний	ʋ e r t e k ɑ lʲ n e i̯
вертоліт	ʋ e r t o lʲ i t
верф	ʋ ɛ r f
верх	ʋ ɛ r x
верхній	ʋ ɛ r x nʲ i i̯
верховна	ʋ e r x ɔ u̯ n ɐ
верховний	ʋ e r x ɔ u̯ n e i̯
вершина	ʋ e r ʃ ɪ n ɐ
вершків	ʋ e r ʃ kʲ i u̯
вершки	ʋ e r ʃ k ɪ
весілля	ʋ e sʲ i lʲː ɐ
весільна	ʋ e sʲ i lʲ n ɐ
весільний	ʋ e sʲ i lʲ n e i̯
веселий	ʋ e s ɛ ɫ e i̯
веселка	ʋ e s ɛ ɫ k ɐ
весна	ʋ e s n ɑ
весняний	ʋ e sʲ nʲ ɑ n e i̯
весняний	ʋ e sʲ nʲ ɐ n ɪ i̯
вестернізація	ʋ e s t e r nʲ i z ɑ t͡sʲ i j ɐ
вести	ʋ e s t ɪ
вестися	ʋ e s t ɪ sʲ ɐ
весь	ʋ ɛ sʲ
ветхий	ʋ ɛ t x e i̯
вечір	ʋ ɛ t͡ʃʲ i r
вечірка	ʋ e t͡ʃʲ i r k ɐ
вечірній	ʋ e t͡ʃʲ i r nʲ i i̯
вечер	ʋ e t͡ʃ ɛ r
вечері	ʋ e t͡ʃ ɛ rʲ i
вечеря	ʋ e t͡ʃ ɛ rʲ ɐ
вечеряти	ʋ e t͡ʃ ɛ rʲ ɐ t e
вечорі	ʋ ɛ t͡ʃ ɔ rʲ i
вечорів	ʋ e t͡ʃ o rʲ i u̯
вечора	ʋ ɛ t͡ʃ ɔ r ɐ
вечори	ʋ e t͡ʃ ɔ r ɪ
вже	w ʒ ɛ
вживати	w ʒ e ʋ ɑ t e
вжити	w ʒ ɪ t e
взірець	w zʲ i r ɛ t͡sʲ
взірцеві	w zʲ i r t͡s ɛ ʋʲ i
взірцевий	w zʲ i r t͡s ɛ ʋ e i̯
взаємний	w z ɐ j ɛ m n e i̯
взаємно	w z ɐ j ɛ m n ɔ
взаємодія	w z ɐ j e m o dʲ i j ɐ
взаємодіяння	w z ɐ j e m o dʲ i j ɐ nʲː ɐ
взаємодіяти	w z ɐ j e m o dʲ i j ɐ t e
взаємозалежність	w z ɐ j e m ɔ z ɐ ɫ ɛ ʒ nʲ i sʲ tʲ
взаємозалежний	w z ɐ j e m ɔ z ɐ ɫ ɛ ʒ n e i̯
взаємоповага	w z ɐ j e m ɔ p ɔ ʋ ɑ ɦ ɐ
взагалі	w z ɐ ɦ ɐ lʲ i
взимку	w z ɪ m k ʊ
взуттєвий	w z ʊ tʲː ɛ ʋ e i̯
взуття	w z ʊ tʲː ɑ
взяти	w zʲ ɑ t e
ви	ʋ ɪ
вибір	ʋ ɪ bʲ i r
вибачати	ʋ e b ɐ t͡ʃ ɑ t e
вибачити	ʋ ɪ b ɐ t͡ʃ e t e
вибачте	ʋ ɪ b ɐ t͡ʃ t e
вибирати	ʋ e b e r ɑ t e
вибиратися	ʋ e b e r ɑ t e sʲ ɐ
виборі	ʋ ɪ b ɔ rʲ i
виборів	ʋ ɪ b ɔ rʲ i u̯
виборам	ʋ ɪ b ɔ r ɐ m
виборами	ʋ ɪ b ɔ r ɐ m e
виборах	ʋ ɪ b ɔ r ɐ x
виборець	ʋ ɪ b ɔ r e t͡sʲ
вибори	ʋ ɪ b ɔ r e
виборові	ʋ ɪ b ɔ r ɔ ʋʲ i
вибором	ʋ ɪ b ɔ r ɔ m
вибору	ʋ ɪ b ɔ r ʊ
виборчий	ʋ ɪ b ɔ r t͡ʃ e i̯
вибрати	ʋ ɪ b r ɐ t e
вибратися	ʋ ɪ b r ɐ t e sʲ ɐ
вибудовувати	ʋ e b ʊ d ɔ w ʊ ʋ ɐ t e
вибудувати	ʋ ɪ b ʊ d ʊ ʋ ɐ t e
вибух	ʋ ɪ b ʊ x
вибуховий	ʋ e b ʊ x ɔ ʋ e i̯
вивільга	ʋ ɪ ʋʲ i lʲ ɦ ɐ
вивезти	ʋ ɪ ʋ e z t e
виверження	ʋ ɪ ʋ e r ʒ e nʲː ɐ
вивчати	ʋ e u̯ t͡ʃ ɑ t e
вивчити	ʋ ɪ u̯ t͡ʃ e t e
вигідний	ʋ ɪ ɦʲ i d n e i̯
вигляд	ʋ ɪ ɦ lʲ ɐ d
виглядати	ʋ e ɦ lʲ ɐ d ɑ t e
виглянути	ʋ ɪ ɦ lʲ ɐ n ʊ t e
вигода	ʋ ɪ ɦ ɔ d ɐ
виграш	ʋ ɪ ɦ r ɐ ʃ
вигук	ʋ ɪ ɦ ʊ k
вид	ʋ ɪ d
видіння	ʋ e dʲ i nʲː ɐ
видання	ʋ e d ɑ nʲː ɐ
видання	ʋ e d ɐ nʲː ɑ
видатний	ʋ e d ɐ t n ɪ i̯
виделка	ʋ e d ɛ ɫ k ɐ
видимість	ʋ ɪ d e mʲ i sʲ tʲ
видимий	ʋ ɪ d e m e i̯
видовище	ʋ e d ɔ ʋ e ʃ t͡ʃ e
видра	ʋ ɪ d r ɐ
видужати	ʋ ɪ d ʊ ʒ ɐ t e
видужувати	ʋ e d u ʒ ʊ ʋ ɐ t e
виживання	ʋ e ʒ e ʋ ɑ nʲː ɐ
виживати	ʋ e ʒ e ʋ ɑ t e
вижити	ʋ ɪ ʒ e t e
вижлоктати	ʋ ɪ ʒ ɫ ɔ k t ɐ t e
вижлуктати	ʋ ɪ ʒ ɫ ʊ k t ɐ t e
вижлуктити	ʋ ɪ ʒ ɫ ʊ k t e t e
виз	ʋ ɪ z
визнавати	ʋ e z n ɐ ʋ ɑ t e
визнання	ʋ e z n ɑ nʲː ɐ
визнати	ʋ ɪ z n ɐ t e
визначальний	ʋ e z n ɐ t͡ʃ ɑ lʲ n e i̯
визначати	ʋ e z n ɐ t͡ʃ ɑ t e
визначення	ʋ ɪ z n ɐ t͡ʃ e nʲː ɐ
визначити	ʋ ɪ z n ɐ t͡ʃ e t e
визначний	ʋ e z n ɐ t͡ʃ n ɪ i̯
вийти	ʋ ɪ i̯ t e
викидень	ʋ ɪ k e d e nʲ
виклад	ʋ ɪ k ɫ ɐ d
викладач	ʋ e k ɫ ɐ d ɑ t͡ʃ
виклик	ʋ ɪ k ɫ e k
виключати	ʋ e k lʲ ʊ t͡ʃ ɑ t e
виключити	ʋ ɪ k lʲ ʊ t͡ʃ e t e
виключний	ʋ ɪ k lʲ ʊ t͡ʃ n e i̯
