ԱԱ	ɑ ɑ
արդ	ɑ ɾ tʰ
արդար	ɑ ɾ tʰ ɑ ɾ
արդարադատություն	ɑ ɾ tʰ ɑ ɾ ɑ d ɑ t u tʰ j u n
արդարացի	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ i
արդարացնել	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ n e l
արդարացում	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ u m
արդարություն	ɑ ɾ tʰ ɑ ɾ u tʰ j u n
արդարև	ɑ ɾ tʰ ɑ ɾ e v
արդեն	ɑ ɾ tʰ e n
արդի	ɑ ɾ d i
արդիական	ɑ ɾ d i j ɑ k ɑ n
արդիականացում	ɑ ɾ d i j ɑ k ɑ n ɑ t͡sʰ u m
արդյամբ	ɑ ɾ d j ɑ m pʰ
արդյան	ɑ ɾ d j ɑ n
արդյուն	ɑ ɾ tʰ j u n
արդյունաբերական	ɑ ɾ tʰ j u n ɑ b e ɾ ɑ k ɑ n
արդյունաբերություն	ɑ ɾ tʰ j u n ɑ b e ɾ u tʰ j u n
արդյունավետ	ɑ ɾ tʰ j u n ɑ v e t
արդյունք	ɑ ɾ tʰ j u n kʰ
արդյոք	ɑ ɾ tʰ j o kʰ
արդուկ	ɑ ɾ tʰ u k
արդուկել	ɑ ɾ tʰ u k e l
արեգ	ɑ ɾ e ɡ
արեգակ	ɑ ɾ e ɡ ɑ k
արեգակնային	ɑ ɾ e ɡ ɑ k n ɑ j i n
արթնանալ	ɑ ɾ tʰ n ɑ n ɑ l
արթնացնել	ɑ ɾ tʰ n ɑ t͡sʰ n e l
արթուն	ɑ ɾ tʰ u n
արժան	ɑ ɾ ʒ ɑ n
արժանահավատ	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ t
արժանահավատություն	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ t u tʰ j u n
արժանանալ	ɑ ɾ ʒ ɑ n ɑ n ɑ l
արժանապատվություն	ɑ ɾ ʒ ɑ n ɑ p ɑ t v u tʰ j u n
արժանի	ɑ ɾ ʒ ɑ n i
արժել	ɑ ɾ ʒ e l
արժեմ	ɑ ɾ ʒ e m
արժենալ	ɑ ɾ ʒ e n ɑ l
արժեք	ɑ ɾ ʒ e kʰ
արժեքավորել	ɑ ɾ ʒ e kʰ ɑ v o ɾ e l
արժեքի	ɑ ɾ ʒ e kʰ i
արժույթ	ɑ ɾ ʒ u j tʰ
արի	ɑ ɾ i
արիական	ɑ ɾ i ɑ k ɑ n
արիշտա	ɑ ɾ i ʃ t ɑ
արիություն	ɑ ɾ i j u tʰ j u n
արխ	ɑ ɾ χ
արխալուղ	ɑ ɾ χ ɑ l u ʁ
արխային	ɑ ɾ χ ɑ j i n
արխիվ	ɑ ɾ χ i v
արծաթ	ɑ ɾ t͡s ɑ tʰ
արծաթապատ	ɑ ɾ t͡s ɑ tʰ ɑ p ɑ t
արծաթասիրություն	ɑ ɾ t͡s ɑ tʰ ɑ s i ɾ u tʰ j u n
արծաթե	ɑ ɾ t͡s ɑ tʰ e
արծաթի	ɑ ɾ t͡s ɑ tʰ i
արծաթյա	ɑ ɾ t͡s ɑ tʰ j ɑ
արծարծել	ɑ ɾ t͡s ɑ ɾ t͡s e l
արծիվ	ɑ ɾ t͡s i v
արծնել	ɑ ɾ t͡s n e l
արծվաբույն	ɑ ɾ t͡s v ɑ b u j n
արծվաբուն	ɑ ɾ t͡s v ɑ b u n
արծվառյուծ	ɑ ɾ t͡s v ɑ r j u t͡s
արծվի	ɑ ɾ t͡s v i
արծրունյաց	ɑ ɾ t͡s ɾ u n j ɑ t͡sʰ
արկ	ɑ ɾ k
արկանել	ɑ ɾ k ɑ n e l
արկել	ɑ ɾ k e l
արկղ	ɑ ɾ k ə ʁ
արհամարհ	ɑ r h ɑ m ɑ ɾ
արհամարհ	ɑ ɾ h ɑ m ɑ ɾ
արհամարհել	ɑ r h ɑ m ɑ ɾ e l
արհամարհել	ɑ ɾ h ɑ m ɑ ɾ e l
արհեստ	ɑ ɾ h e s t
արհեստական	ɑ ɾ h e s t ɑ k ɑ n
արհեստանոց	ɑ ɾ h e s t ɑ n o t͡sʰ
արհեստավոր	ɑ ɾ h e s t ɑ v o ɾ
արձագանք	ɑ ɾ d͡z ɑ ɡ ɑ n kʰ
արձագանքել	ɑ ɾ d͡z ɑ ɡ ɑ n kʰ e l
արձակ	ɑ ɾ t͡sʰ ɑ k
արձակել	ɑ ɾ t͡sʰ ɑ k e l
արձակուրդ	ɑ ɾ t͡sʰ ɑ k u ɾ tʰ
արձան	ɑ ɾ d͡z ɑ n
արձան	ɑ ɾ t͡sʰ ɑ n
արձանագրել	ɑ ɾ d͡z ɑ n ɑ ɡ ɾ e l
արձանագրություն	ɑ ɾ d͡z ɑ n ɑ ɡ ɾ u tʰ j u n
արճիճ	ɑ ɾ t͡ʃ i t͡ʃ
արմ	ɑ ɾ m
արմանալ	ɑ ɾ m ɑ n ɑ l
արմավ	ɑ ɾ m ɑ v
արմավենի	ɑ ɾ m ɑ v e n i
արմատ	ɑ ɾ m ɑ t
արմատաքի	ɑ ɾ m ɑ t ɑ kʰ i
արմո	ɑ ɾ m o
արմունկ	ɑ ɾ m u n k
արմունկոսկր	ɑ ɾ m u n k o s k ə ɾ
արյուն	ɑ ɾ j u n
արյունաբանություն	ɑ ɾ j u n ɑ b ɑ n u tʰ j u n
արյունահոսել	ɑ ɾ j u n ɑ h o s e l
արյունահոսություն	ɑ ɾ j u n ɑ h o s u tʰ j u n
արյունաքամ	ɑ ɾ j u n ɑ kʰ ɑ m
արյունոտ	ɑ ɾ j u n o t
արնախում	ɑ ɾ n ɑ χ u m
արշալույս	ɑ ɾ ʃ ɑ l u j s
արշավ	ɑ ɾ ʃ ɑ v
արշավանք	ɑ ɾ ʃ ɑ v ɑ n kʰ
արշավել	ɑ ɾ ʃ ɑ v e l
արշին	ɑ ɾ ʃ i n
արշիպելագ	ɑ ɾ ʃ i p e l ɑ ɡ
արոս	ɑ ɾ o s
արոտ	ɑ ɾ o t
արոտավայր	ɑ ɾ o t ɑ v ɑ j ɾ
արոր	ɑ ɾ o ɾ
արորել	ɑ ɾ o ɾ e l
արու	ɑ ɾ u
արույր	ɑ ɾ u j ɾ
արուն	ɑ ɾ u n
արջ	ɑ ɾ t͡ʃʰ
արջամուկ	ɑ ɾ t͡ʃʰ ɑ m u k
արջառ	ɑ ɾ t͡ʃʰ ɑ r
արջասպ	ɑ ɾ d͡ʒ ɑ s p
արջուկ	ɑ ɾ t͡ʃʰ u k
արսեն	ɑ ɾ s e n
արվարձան	ɑ ɾ v ɑ ɾ d͡z ɑ n
արվեստ	ɑ ɾ v e s t
արվեստագետ	ɑ ɾ v e s t ɑ ɡ e t
արտ	ɑ ɾ t
արտագաղթ	ɑ ɾ t ɑ ɡ ɑ χ tʰ
արտագաղթել	ɑ ɾ t ɑ ɡ ɑ χ tʰ e l
արտագաղթող	ɑ ɾ t ɑ ɡ ɑ χ tʰ o ʁ
արտադրանք	ɑ ɾ t ɑ d ɾ ɑ n kʰ
արտադրել	ɑ ɾ t ɑ d ɾ e l
արտադրող	ɑ ɾ t ɑ d ɾ o ʁ
արտադրողականություն	ɑ ɾ t ɑ d ɾ o ʁ ɑ k ɑ n u tʰ j u n
արտադրություն	ɑ ɾ t ɑ d ɾ u tʰ j u n
արտալա	ɑ ɾ t ɑ l ɑ
արտախուրակ	ɑ ɾ t ɑ χ u ɾ ɑ k
արտակարգ	ɑ ɾ t ɑ k ɑ ɾ kʰ
արտահայտություն	ɑ ɾ t ɑ h ɑ j t u tʰ j u n
արտահանձնում	ɑ ɾ t ɑ h ɑ n d͡z n u m
արտահանում	ɑ ɾ t ɑ h ɑ n u m
արտահերթ	ɑ ɾ t ɑ h e ɾ tʰ
արտահոսք	ɑ ɾ t ɑ h o s kʰ
արտամղել	ɑ ɾ t ɑ m ə ʁ e l
արտամղում	ɑ ɾ t ɑ m ə ʁ u m
արտամղվել	ɑ ɾ t ɑ m ə ʁ v e l
արտաշիրմել	ɑ ɾ t ɑ ʃ i ɾ m e l
արտաշիրմում	ɑ ɾ t ɑ ʃ i ɾ m u m
արտապատվիրում	ɑ ɾ t ɑ p ɑ t v i ɾ u m
արտառոց	ɑ ɾ t ɑ r o t͡sʰ
արտասահման	ɑ ɾ t ɑ s ɑ h m ɑ n
արտասահմանցի	ɑ ɾ t ɑ s ɑ h m ɑ n t͡sʰ i
արտասանել	ɑ ɾ t ɑ s ɑ n e l
արտասանություն	ɑ ɾ t ɑ s ɑ n u tʰ j u n
արտասովոր	ɑ ɾ t ɑ s o v o ɾ
արտասունք	ɑ ɾ t ɑ s u n kʰ
արտասուք	ɑ ɾ t ɑ s u kʰ
արտասվել	ɑ ɾ t ɑ s v e l
արտավար	ɑ ɾ t ɑ v ɑ ɾ
արտարժույթ	ɑ ɾ t ɑ ɾ ʒ u j tʰ
արտացոլում	ɑ ɾ t ɑ t͡sʰ o l u m
արտաքին	ɑ ɾ t ɑ kʰ i n
արտաքո	ɑ ɾ t ɑ kʰ o
արտաքուստ	ɑ ɾ t ɑ kʰ u s t
արտաքսել	ɑ ɾ t ɑ kʰ s e l
արտգործնախարարություն	ɑ ɾ t ɡ o ɾ t͡s n ɑ χ ɑ ɾ ɑ ɾ u tʰ j u n
արտոնագիր	ɑ ɾ t o n ɑ ɡ i ɾ
արտոնություն	ɑ ɾ t o n u tʰ j u n
արտոսր	ɑ ɾ t o s ə ɾ
արտորալ	ɑ ɾ t o ɾ ɑ l
արտորայք	ɑ ɾ t o ɾ ɑ j kʰ
արտույտ	ɑ ɾ t u j t
արտևան	ɑ ɾ t e v ɑ n
արտևանունք	ɑ ɾ t e v ɑ n u n kʰ
արցախյան	ɑ ɾ t͡sʰ ɑ χ j ɑ n
արցախցի	ɑ ɾ t͡sʰ ɑ χ t͡sʰ i
արցունք	ɑ ɾ t͡sʰ u n kʰ
արցունքաբեր	ɑ ɾ t͡sʰ u n kʰ ɑ b e ɾ
արփենի	ɑ ɾ pʰ e n i
արփի	ɑ ɾ pʰ i
արքա	ɑ ɾ kʰ ɑ
արքադ	ɑ ɾ kʰ ɑ d
արքայադուստր	ɑ ɾ kʰ ɑ j ɑ d u s t ə ɾ
արքայազն	ɑ ɾ kʰ ɑ j ɑ z ə n
արքայախնձոր	ɑ ɾ kʰ ɑ j ɑ χ ə n d͡z o ɾ
արքայական	ɑ ɾ kʰ ɑ j ɑ k ɑ n
արքայամոր	ɑ ɾ kʰ ɑ j ɑ m o ɾ
արքայամորի	ɑ ɾ kʰ ɑ j ɑ m o ɾ i
արքայանարինջ	ɑ ɾ kʰ ɑ j ɑ n ɑ ɾ i n d͡ʒ
արքայասպան	ɑ ɾ kʰ ɑ j ɑ s p ɑ n
արքայություն	ɑ ɾ kʰ ɑ j u tʰ j u n
արքատ	ɑ ɾ kʰ ɑ t
արքունի	ɑ ɾ kʰ u n i
արքունիք	ɑ ɾ kʰ u n i kʰ
արև	ɑ ɾ e v
արևադարձ	ɑ ɾ e v ɑ d ɑ ɾ t͡sʰ
արևածագ	ɑ ɾ e v ɑ t͡s ɑ kʰ
արևածաղիկ	ɑ ɾ e v ɑ t͡s ɑ ʁ i k
արևակեզ	ɑ ɾ e v ɑ k e z
արևային	ɑ ɾ e v ɑ j i n
արևապաշտպան	ɑ ɾ e v ɑ p ɑ ʃ p ɑ n
արևապաշտպան	ɑ ɾ e v ɑ p ɑ ʃ t p ɑ n
արևելագետ	ɑ ɾ e v e l ɑ ɡ e t
արևելագիտական	ɑ ɾ e v e l ɑ ɡ i t ɑ k ɑ n
արևելահայ	ɑ ɾ e v e l ɑ h ɑ j
արևելահայերեն	ɑ ɾ e v e l ɑ h ɑ j e ɾ e n
արևելյան	ɑ ɾ e v e l j ɑ n
արևելք	ɑ ɾ e v e l kʰ
արևմուտք	ɑ ɾ e v m u t kʰ
արևմտահայ	ɑ ɾ e v m ə t ɑ h ɑ j
արևմտահայերեն	ɑ ɾ e v m ə t ɑ h ɑ j e ɾ e n
արևմտյան	ɑ ɾ e v m ə t j ɑ n
ափ	ɑ pʰ
ափափա	ɑ pʰ ɑ pʰ ɑ
ափի	ɑ pʰ i
ափիոն	ɑ pʰ i j o n
ափիոն	ɑ pʰ j o n
ափու	ɑ pʰ u
ափսար	ɑ pʰ s ɑ ɾ
ափսե	ɑ pʰ s e
ափսոս	ɑ pʰ s o s
ափսոսանք	ɑ pʰ s o s ɑ n kʰ
աք	ɑ kʰ
աքաղաղ	ɑ kʰ ɑ ʁ ɑ ʁ
աքայական	ɑ kʰ ɑ j ɑ k ɑ n
աքացի	ɑ kʰ ɑ t͡sʰ i
աքեմենյան	ɑ kʰ e m e n j ɑ n
աքիլեսյան	ɑ kʰ i l e s j ɑ n
աքիլլեսյան	ɑ kʰ i l l e s j ɑ n
աքիս	ɑ kʰ i s
աքլոր	ɑ kʰ l o ɾ
աքլորականչ	ɑ kʰ l o ɾ ɑ k ɑ n t͡ʃʰ
աքլորանալ	ɑ kʰ l o ɾ ɑ n ɑ l
աքսիոմ	ɑ kʰ s i j o m
աքսոր	ɑ kʰ s o ɾ
աքսորաբնակ	ɑ kʰ s o ɾ ɑ b ə n ɑ k
աքսորաբնակություն	ɑ kʰ s o ɾ ɑ b ə n ɑ k u tʰ j u n
աքսորական	ɑ kʰ s o ɾ ɑ k ɑ n
աքսորակից	ɑ kʰ s o ɾ ɑ k i t͡sʰ
աքսորանք	ɑ kʰ s o ɾ ɑ n kʰ
աքսորավայր	ɑ kʰ s o ɾ ɑ v ɑ j ɾ
աքսորատեղի	ɑ kʰ s o ɾ ɑ t e ʁ i
աքսորել	ɑ kʰ s o ɾ e l
աքսորյալ	ɑ kʰ s o ɾ j ɑ l
աքսորում	ɑ kʰ s o ɾ u m
աքսորվել	ɑ kʰ s o ɾ v e l
աքցան	ɑ kʰ t͡sʰ ɑ n
աքքադերեն	ɑ kʰ kʰ ɑ d e ɾ e n
աֆարերեն	ɑ f ɑ ɾ e ɾ e n
աֆերիմ	ɑ f e ɾ i m
աֆերիստ	ɑ f e ɾ i s t
աֆղան	ɑ f ʁ ɑ n
աֆղաներեն	ɑ f ʁ ɑ n e ɾ e n
աֆրիկական	ɑ f ɾ i k ɑ k ɑ n
աֆրիկանս	ɑ f ɾ i k ɑ n s
աֆրիկացի	ɑ f ɾ i k ɑ t͡sʰ i
աֆրիկյան	ɑ f ɾ i k j ɑ n
բ	b ə
բաբան	b ɑ b ɑ n
բագաժնիկ	b ɑ ɡ ɑ ʒ n i k
բագին	b ɑ ɡ i n
բադ	b ɑ d
բադակտուց	b ɑ d ɑ k ə t u t͡sʰ
բադմինտոն	b ɑ d m i n t o n
բադրիջան	b ɑ d ɾ i d͡ʒ ɑ n
բազա	b ɑ z ɑ
բազազ	b ɑ z ɑ z
բազալտ	b ɑ z ɑ l t
բազե	b ɑ z e
բազկաթան	b ɑ z k ɑ tʰ ɑ n
բազկաթոռ	b ɑ z k ɑ tʰ o r
բազկերակ	b ɑ z k e ɾ ɑ k
բազմաբևեռություն	b ɑ z m ɑ b e v e r u tʰ j u n
բազմագիտակարգային	b ɑ z m ɑ ɡ i t ɑ k ɑ ɾ kʰ ɑ j i n
բազմագույն	b ɑ z m ɑ ɡ u j n
բազմազան	b ɑ z m ɑ z ɑ n
բազմազանություն	b ɑ z m ɑ z ɑ n u tʰ j u n
բազմաթիվ	b ɑ z m ɑ tʰ i v
բազմածաղիկ	b ɑ z m ɑ t͡s ɑ ʁ i k
բազմակնություն	b ɑ z m ɑ k ə n u tʰ j u n
բազմամարդ	b ɑ z m ɑ m ɑ ɾ tʰ
բազմանալ	b ɑ z m ɑ n ɑ l
բազմապատկել	b ɑ z m ɑ p ɑ t k e l
բազմապատկիչ	b ɑ z m ɑ p ɑ t k i t͡ʃʰ
բազմապատկում	b ɑ z m ɑ p ɑ t k u m
բազմաստվածություն	b ɑ z m ɑ s t v ɑ t͡s u tʰ j u n
բազմացում	b ɑ z m ɑ t͡sʰ u m
բազմել	b ɑ z m e l
բազմերանգ	b ɑ z m e ɾ ɑ n ɡ
բազմիցս	b ɑ z m i t͡sʰ ə s
բազմոց	b ɑ z m o t͡sʰ
բազմություն	b ɑ z m u tʰ j u n
բազուկ	b ɑ z u k
բազում	b ɑ z u m
բազրիք	b ɑ z ɾ i kʰ
բաժ	b ɑ ʒ
բաժակ	b ɑ ʒ ɑ k
բաժանել	b ɑ ʒ ɑ n e l
բաժանմունք	b ɑ ʒ ɑ n m u n kʰ
բաժանորդ	b ɑ ʒ ɑ n o ɾ tʰ
բաժանորդագիր	b ɑ ʒ ɑ n o ɾ tʰ ɑ ɡ i ɾ
բաժանում	b ɑ ʒ ɑ n u m
բաժանվել	b ɑ ʒ ɑ n v e l
բաժին	b ɑ ʒ i n
բաժնել	b ɑ ʒ n e l
բաժնետոմս	b ɑ ʒ n e t o m s
բալ	b ɑ l
բալալայկա	b ɑ l ɑ l ɑ j k ɑ
բալախ	b ɑ l ɑ χ
բալակլավա	b ɑ l ɑ k l ɑ v ɑ
բալանս	b ɑ l ɑ n s
բալատուր	b ɑ l ɑ t u ɾ
բալատրենի	b ɑ l ɑ t ɾ e n i
բալենի	b ɑ l e n i
բալետ	b ɑ l e t
բալթիկ	b ɑ l tʰ i k
բալիկ	b ɑ l i k
բալնիցա	b ɑ l n i t͡sʰ ɑ
բալօղի	b ɑ l o ʁ i
բախ	b ɑ χ
բախել	b ɑ χ e l
բախյուն	b ɑ χ j u n
բախում	b ɑ χ u m
բախչա	b ɑ χ t͡ʃʰ ɑ
բախտ	b ɑ χ t
բախտախաղ	b ɑ χ t ɑ χ ɑ ʁ
բակ	b ɑ k
բակլա	b ɑ k l ɑ
բակտերիա	b ɑ k t e ɾ i ɑ
բակտրերեն	b ɑ k t ɾ e ɾ e n
բահ	b ɑ h
բահակ	b ɑ h ɑ k
բահամյան	b ɑ h ɑ m j ɑ n
բահայի	b ɑ h ɑ j i
բահեր	b ɑ h e ɾ
բահերի	b ɑ h e ɾ i
բահի	b ɑ h i
բահիկ	b ɑ h i k
բաղ	b ɑ ʁ
բաղադրիչ	b ɑ ʁ ɑ d ɾ i t͡ʃʰ
բաղաձայն	b ɑ ʁ ɑ d͡z ɑ j n
բաղարջ	b ɑ ʁ ɑ ɾ d͡ʒ
բաղբանջել	b ɑ ʁ b ɑ n d͡ʒ e l
բաղբաջանք	b ɑ ʁ b ɑ d͡ʒ ɑ n kʰ
բաղբաջել	b ɑ ʁ b ɑ d͡ʒ e l
բաղդատական	b ɑ ʁ d ɑ t ɑ k ɑ n
բաղեղ	b ɑ ʁ e ʁ
բաղխել	b ɑ χ χ e l
բաղխում	b ɑ χ χ u m
բաղկանալ	b ɑ χ k ɑ n ɑ l
բաղձալ	b ɑ ʁ d͡z ɑ l
բաղձանք	b ɑ ʁ d͡z ɑ n kʰ
բաղնիք	b ɑ ʁ n i kʰ
բաղչա	b ɑ χ t͡ʃʰ ɑ
բաճկոն	b ɑ t͡ʃ k o n
բամբակ	b ɑ m b ɑ k
բամբաս	b ɑ m b ɑ s
բամբասանք	b ɑ m b ɑ s ɑ n kʰ
բամբասել	b ɑ m b ɑ s e l
բամբարա	b ɑ m b ɑ ɾ ɑ
բամբիշ	b ɑ m b i ʃ
բամիա	b ɑ m i ɑ
բայ	b ɑ j
բայղուշ	b ɑ j ʁ u ʃ
բայոց	b ɑ j o t͡sʰ
բայց	b ɑ j t͡sʰ
բան	b ɑ n
բանադրանք	b ɑ n ɑ d ɾ ɑ n kʰ
բանալ	b ɑ n ɑ l
բանալի	b ɑ n ɑ l i
բանախոս	b ɑ n ɑ χ o s
բանակ	b ɑ n ɑ k
բանական	b ɑ n ɑ k ɑ n
բանականություն	b ɑ n ɑ k ɑ n u tʰ j u n
բանակցել	b ɑ n ɑ k t͡sʰ e l
բանակցել	b ɑ n ɑ k ə t͡sʰ e l
բանակցություն	b ɑ n ɑ k t͡sʰ u tʰ j u n
բանաձև	b ɑ n ɑ d͡z e v
բանան	b ɑ n ɑ n
բանասեր	b ɑ n ɑ s e ɾ
բանասիրություն	b ɑ n ɑ s i ɾ u tʰ j u n
բանաստեղծ	b ɑ n ɑ s t e χ t͡s
բանաստեղծություն	b ɑ n ɑ s t e χ t͡s u tʰ j u n
բանաստեղծուհի	b ɑ n ɑ s t e χ t͡s u h i
բանավեճ	b ɑ n ɑ v e t͡ʃ
բանավոր	b ɑ n ɑ v o ɾ
բանբեր	b ɑ n b e ɾ
բանդա	b ɑ n d ɑ
բանդագուշել	b ɑ n d ɑ ɡ u ʃ e l
բանել	b ɑ n e l
բաներ	b ɑ n e ɾ
բանեցնել	b ɑ n e t͡sʰ n e l
բանկ	b ɑ n k
բանկա	b ɑ n k ɑ
բանկային	b ɑ n k ɑ j i n
բանկլ	b ɑ n k ə l
բաննա	b ɑ n n ɑ
բանուկ	b ɑ n u k
բանջար	b ɑ n d͡ʒ ɑ ɾ
բանջարանոց	b ɑ n d͡ʒ ɑ ɾ ɑ n o t͡sʰ
բանջարեղեն	b ɑ n d͡ʒ ɑ ɾ e ʁ e n
բանսարկու	b ɑ n s ɑ ɾ k u
բանվոր	b ɑ n v o ɾ
բանտ	b ɑ n t
բանտարկել	b ɑ n t ɑ ɾ k e l
բանտարկյալ	b ɑ n t ɑ ɾ k j ɑ l
բանտարկություն	b ɑ n t ɑ ɾ k u tʰ j u n
բաշ	b ɑ ʃ
բաշիբոզուկ	b ɑ ʃ i b o z u k
բաշխել	b ɑ ʃ χ e l
բաշկիրերեն	b ɑ ʃ k i ɾ e ɾ e n
բաոբաբ	b ɑ o b ɑ b
բաջաղանք	b ɑ d͡ʒ ɑ ʁ ɑ n kʰ
բաջաղել	b ɑ d͡ʒ ɑ ʁ e l
բաջանաղ	b ɑ d͡ʒ ɑ n ɑ ʁ
բաջի	b ɑ d͡ʒ i
բառ	b ɑ r
բառագիրք	b ɑ r ɑ ɡ i ɾ kʰ
բառադի	b ɑ r ɑ d i
բառախաղ	b ɑ r ɑ χ ɑ ʁ
բառակազմություն	b ɑ r ɑ k ɑ z m u tʰ j u n
բառակապակցություն	b ɑ r ɑ k ɑ p ɑ k t͡sʰ u tʰ j u n
բառամթերք	b ɑ r ɑ m ə tʰ e ɾ kʰ
բառապաշար	b ɑ r ɑ p ɑ ʃ ɑ ɾ
բառապատճեն	b ɑ r ɑ p ɑ t t͡ʃ e n
բառապատճենում	b ɑ r ɑ p ɑ t t͡ʃ e n u m
բառարան	b ɑ r ɑ ɾ ɑ n
բառարանագիր	b ɑ r ɑ ɾ ɑ n ɑ ɡ i ɾ
բառարանագրություն	b ɑ r ɑ ɾ ɑ n ɑ ɡ ɾ u tʰ j u n
բառացանկ	b ɑ r ɑ t͡sʰ ɑ n k
բառացի	b ɑ r ɑ t͡sʰ i
բառգիրք	b ɑ r ɡ i ɾ kʰ
բառիգ	b ɑ r i ɡ
բառնալ	b ɑ r n ɑ l
բառույթ	b ɑ r u j tʰ
բասկետբոլ	b ɑ s k e b o l
բասկետբոլ	b ɑ s k e t b o l
բասկետբոլիստ	b ɑ s k e t b o l i s t
բասկետբոլիստուհի	b ɑ s k e t b o l i s t u h i
բասկերեն	b ɑ s k e ɾ e n
բաստուրմա	b ɑ s t u ɾ m ɑ
բավ	b ɑ v
բավական	b ɑ v ɑ k ɑ n
բավականաչափ	b ɑ v ɑ k ɑ n ɑ t͡ʃʰ ɑ pʰ
բավարար	b ɑ v ɑ ɾ ɑ ɾ
բավարարել	b ɑ v ɑ ɾ ɑ ɾ e l
բավարացի	b ɑ v ɑ ɾ ɑ t͡sʰ i
բավիղ	b ɑ v i ʁ
բատիսկաֆ	b ɑ t i s k ɑ f
բար	b ɑ ɾ
բարակ	b ɑ ɾ ɑ k
բարբանջ	b ɑ ɾ b ɑ n d͡ʒ
բարբանջանք	b ɑ ɾ b ɑ n d͡ʒ ɑ n kʰ
բարբանջել	b ɑ ɾ b ɑ n d͡ʒ e l
բարբաջ	b ɑ ɾ b ɑ d͡ʒ
բարբաջանք	b ɑ ɾ b ɑ d͡ʒ ɑ n kʰ
բարբաջել	b ɑ ɾ b ɑ d͡ʒ e l
բարբառ	b ɑ ɾ b ɑ r
բարբառային	b ɑ ɾ b ɑ r ɑ j i n
բարբառել	b ɑ ɾ b ɑ r e l
բարբարոս	b ɑ ɾ b ɑ ɾ o s
բարգավաճ	b ɑ ɾ ɡ ɑ v ɑ t͡ʃ
բարդ	b ɑ ɾ tʰ
բարդացնել	b ɑ ɾ tʰ ɑ t͡sʰ n e l
բարդի	b ɑ ɾ d i
բարդություն	b ɑ ɾ tʰ u tʰ j u n
բարեբախտ	b ɑ ɾ e b ɑ χ t
բարեբախտաբար	b ɑ ɾ e b ɑ χ t ɑ b ɑ ɾ
բարեգործական	b ɑ ɾ e ɡ o ɾ t͡s ɑ k ɑ n
բարեգործություն	b ɑ ɾ e ɡ o ɾ t͡s u tʰ j u n
բարելավել	b ɑ ɾ e l ɑ v e l
բարեկամ	b ɑ ɾ e k ɑ m
բարեկամական	b ɑ ɾ e k ɑ m ɑ k ɑ n
բարեկամություն	b ɑ ɾ e k ɑ m u tʰ j u n
բարեկենդան	b ɑ ɾ e k e n tʰ ɑ n
բարեկիրթ	b ɑ ɾ e k i ɾ tʰ
բարեհամբյուր	b ɑ ɾ e h ɑ m pʰ j u ɾ
բարեհամբույր	b ɑ ɾ e h ɑ m pʰ u j ɾ
բարեմասնություն	b ɑ ɾ e m ɑ s n u tʰ j u n
բարեպաշտ	b ɑ ɾ e p ɑ ʃ t
բարեպաշտություն	b ɑ ɾ e p ɑ ʃ t u tʰ j u n
բարեսեր	b ɑ ɾ e s e ɾ
բարեփոխում	b ɑ ɾ e pʰ o χ u m
բարի	b ɑ ɾ i
բարիդրացիական	b ɑ ɾ i d ə ɾ ɑ t͡sʰ i ɑ k ɑ n
բարիկադ	b ɑ ɾ i k ɑ d
բարիշել	b ɑ ɾ i ʃ e l
բարիոն	b ɑ ɾ i j o n
բարկ	b ɑ ɾ k
բարկանալ	b ɑ ɾ k ɑ n ɑ l
բարկացած	b ɑ ɾ k ɑ t͡sʰ ɑ t͡s
բարկություն	b ɑ ɾ k u tʰ j u n
բարկօղի	b ɑ ɾ k o ʁ i
բարձ	b ɑ ɾ t͡sʰ
բարձիթող	b ɑ ɾ t͡sʰ i tʰ o ʁ
բարձիթողի	b ɑ ɾ t͡sʰ i tʰ o ʁ i
բարձունք	b ɑ ɾ t͡sʰ u n kʰ
բարձունքներ	b ɑ ɾ t͡sʰ u n kʰ n e ɾ
բարձվենյակ	b ɑ ɾ t͡sʰ v e n j ɑ k
բարձր	b ɑ ɾ t͡sʰ ə ɾ
բարձրաբերձ	b ɑ ɾ t͡sʰ ɾ ɑ b e ɾ t͡sʰ
բարձրագույն	b ɑ ɾ t͡sʰ ɾ ɑ ɡ u j n
բարձրահասակ	b ɑ ɾ t͡sʰ ɾ ɑ h ɑ s ɑ k
բարձրաձայն	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ j n
բարձրաձայնել	b ɑ ɾ t͡sʰ ɾ ɑ d͡z ɑ j n e l
բարձրանալ	b ɑ ɾ t͡sʰ ɾ ɑ n ɑ l
բարձրավանդակ	b ɑ ɾ t͡sʰ ɾ ɑ v ɑ n d ɑ k
բարձրացնել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n e l
բարձրացում	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ u m
բարձրորակ	b ɑ ɾ t͡sʰ ɾ o ɾ ɑ k
բարձրություն	b ɑ ɾ t͡sʰ ɾ u tʰ j u n
բարձրունք	b ɑ ɾ t͡sʰ ə ɾ u n kʰ
