ং	ŋ
চেপটা	t ʃ e p ʈ a
চেয়ে	t ʃ e
চেয়ে	t ʃ e e
চৈনিক	t͡ʃ o i̯ n i k
চোখ	t ʃ o kʰ
চোদা	t ʃ o d̪ a
চোষা	t ʃ o ʃ a
চ্যাপটা	t ʃ æ p ʈ a
ছ	t͡ʃʰ ɔ
ছাওয়াল	t͡ʃʰ a w a l
ছিপ	t͡ʃʰ i p
ছিপি	t͡ʃʰ i p i
জাপান	d͡ʒ a p a n
জিব্ভা	d͡ʒ i b bʱ a
জিষ্ণু	d͡ʒ i ʃ n u
জেলেনস্কি	d͡ʒ e l e n ʃ k i
ঝ	d͡ʒʱ ɔ
ঝোলা	d͡ʒʱ o l a
ট	ʈ ɔ
টমটম	ʈ ɔ m ʈ ɔ m
টমেটো	ʈ ɔ m e ʈ o
টাংকি	ʈ a ŋ k i
টাউট	ʈ a u̯ ʈ
টাক	ʈ a k
টাকা	ʈ a k a
টানা	ʈ a n a
টিকটিকি	ʈ i k ʈ i k i
টিকা	ʈ i k a
টিকিট	ʈ i k i ʈ
টিয়া	ʈ i̯ a
টীকা	ʈ i k a
টুপি	ʈ u p i
টেবিল	ʈ e b i l
টেলক	ʈ æ l ɔ k
টেলিফোন	ʈ e l i pʰ o n
টেলিভিশন	ʈ e l i bʱ i ʃ ɔ n
টোনি	ʈ o n i
ট্যাক্সি	ʈ æ k ʃ i
ঠ	ʈʰ ɔ
ঠান্ডা	ʈʰ a n ɖ a
ঠিক	ʈʰ i k
ঠিকানা	ʈʰ i k a n a
ঠ্যাং	ʈʰ æ ŋ
ড	ɖ ɔ
ডঙ্কা	ɖ ɔ ŋ k a
ডবল	ɖ ɔ b o l
ডলফিন	ɖ ɔ l f i n
ডাকনাম	ɖ a k n a m
ডাকা	ɖ a k a
ডাঙা	ɖ a ŋ a
ডান	ɖ a n
ডানা	ɖ a n a
ডান্ডা	ɖ a n ɖ a
ডাব	ɖ a b
ডাবু	ɖ a b u
ডাবু	ɖ æ b u
ডাল	ɖ a l
ডিভিডি	ɖ i bʱ i ɖ i
ডিম	ɖ i m
ডিলডো	ɖ i l ɖ o
ডিল্ডো	ɖ i l ɖ o
ডুবা	ɖ u b a
ডেকচি	ɖ e k t ʃ i
ডোবা	ɖ o b a
ডোবানো	ɖ o b a n o
ঢ	ɖʱ ɔ
ঢাকনা	ɖʱ a k n a
ঢাকা	ɖʱ a k a
ঢালিউড	ɖʱ a l i u ɖ
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ঢেউ	ɖʱ e u
ঢোল	ɖʱ o l
ণ	n ɔ
ণই	n o i̯
ত	t ɔ
তটিনী	t o ʈ i n i
তড়িৎ	t̪ o ɽ i t̪
তত্ত্ব	t̪ ɔ t̪ː o
তদানীং	t̪ ɔ d̪ a n i ŋ
তদ্ভব	t̪ ɔ d̪ bʱ ɔ b o
তনিমা	t̪ o n i m a
তনুকা	t̪ o n u k a
তফাত	t̪ ɔ f a t̪
তবু	t̪ o b u
তবুও	t̪ o b u̯ o
তবে	t̪ ɔ b e
তলব	t̪ ɔ l o b
তলা	t̪ ɔ l a
তল্লাশি	t ɔ l l a ʃ i
তা	t̪ a
তাং	t̪ a ŋ
তাই	t̪ a i̯
তাইওয়ান	t̪ a i̯ o̯ a n
তাইপে	t̪ a i p e
তাওয়া	t̪ a o̯ a
তাড়ানো	t̪ a ɽ a n o
তাণ্ডব	t̪ a n ɖ ɔ b
তাপ	t̪ a p
তাবাসসুম	t̪ a b a sː u m
তামলি	t̪ a m o l i
তামা	t̪ a m a
তামাক	t̪ a m a k
তামাশা	t̪ a m a ʃ a
তামিলনাড়ু	t̪ a m i l n a ɽ u
তালব্য	t̪ a l ɔ bː o
তালা	t a l a
তালাশ	t̪ a l a ʃ
তালিকা	t̪ a l i k a
তিন	t̪ i n
তিনি	t̪ i n i
তিমি	t̪ i m i
তিল	t̪ i l
তিলক	t̪ i l ɔ k
তিষ্ণা	t̪ i ʃ n a
তিসি	t i ʃ i
তুফান	t̪ u f a n
তুমি	t̪ u m i
তুলনা	t̪ u l o n a
তুলনামূলক	t̪ u l n a m u l ɔ k
তুলসী	t̪ u l ʃ i
তুলি	t u l i
তুলো	t̪ u l o
তে	t̪ e
তেওড়া	t̪ e o ɽ a
তেওড়া	t̪ æ o ɽ a
তেড়া	t̪ æ ɽ a
তেল	t̪ e l
তোকমা	t̪ o k m a
তোয়াক্কা	t̪ o̯ a kː a
তোয়ালে	t̪ o̯ a l e
তোলপাড়	t̪ o l p a ɽ
তোলা	t̪ o l a
তোশক	t̪ o ʃ o k
ত্বক	t̪ ɔ k
তৎসম	t̪ ɔ t̪ ʃ ɔ m o
থ	t̪ʰ ɔ
থলি	t̪ʰ ɔ l i
থাকানো	t̪ʰ a k a n o
থানকুনি	tʰ a n k u n i
থানা	t̪ʰ a n a
থামা	tʰ a m a
থালা	t h a l a
থুতু	t̪ʰ u t̪ u
থেকে	t̪ʰ e k e
থোক	t̪ʰ o k
দ	d̪ ɔ
দই	d o i
দক্ষিণ	d̪ ɔ kʰː i n
দখল	d̪ ɔ kʰ o l
দড়ি	d o ɽ i
দণ্ড	d̪ ɔ n ɖ o
দত্ত	d̪ ɔ t̪ː o
দন্ত	d̪ ɔ n t̪ o
দন্ত্য	d̪ ɔ n t̪ː o
দফা	d̪ ɔ f a
দমা	d̪ ɔ m a
দয়াল	d̪ ɔ e̯ a l
দয়ালু	d̪ ɔ e̯ a l u
দল	d̪ ɔ l
দলিত	d o l i t
দশ	d̪ ɔ ʃ
দশক	d̪ ɔ ʃ ɔ k
দশমাংশ	d ɔ ʃ ɔ m a ŋ ʃ ɔ
দা	d̪ a
দাই	d̪ a i̯
দাউদাউ	d̪ a u̯ d̪ a u̯
দাওয়াই	d̪ a o̯ a i̯
দাওয়াত	d̪ a o̯ a t̪
দাখিল	d̪ a kʰ i l
দাড়ি	d̪ a ɽ i
দাতা	d̪ a t̪ a
দাদা	d̪ a d̪ a
দাদী	d̪ a d̪ i
দানা	d a n a
দান্দান	d̪ a n d̪ a n
দাব	d̪ a b
দাবানল	d̪ a b a n ɔ l
দাম	d̪ a m
দামড়া	d̪ a m ɽ a
দালান	d̪ a l a n
দাস	d̪ a ʃ
দাসী	d̪ a ʃ i
দিওয়ালি	d̪ i̯ o̯ a l i
দিকে	d̪ i k e
দিঘি	d̪ i ɡʱ i
দিদিভাই	d̪ i d̪ i bʱ a i̯
দিন	d̪ i n
দিবস	d̪ i b ɔ ʃ
দিবা	d̪ i b a
দিল	d̪ i l
দিলীপ	d̪ i l i p
দিল্লি	d i l l i
দীপান্বিতা	d̪ i p a nː i t̪ a
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দীয়া	d̪ i̯ a
দু	d̪ u
দুঃস্বপ্ন	d̪ u h ʃː ɔ p n o
দুই	d̪ u̯ i
দুধ	d̪ u d̪ʱ
দুনিয়া	d̪ u n i̯ a
দুম্বা	d u m b æ
দুশমন	d̪ u ʃ m o n
দুশমন	d̪ u ʃ m ɔ n
দে	d̪ e
দেওয়া	d̪ a o̯ a
দেওয়া	d̪ e o̯ a
দেওয়া	d̪ æ o̯ a
দেওয়ানা	d̪ e o̯ a n a
দেওয়াল	d̪ e a l
দেওয়াল	d̪ e o̯ a l
দেওয়ালি	d̪ e o̯ a l i
দেখা	d̪ æ kʰ a
দেখানো	d̪ æ kʰ a n o
দেড়	d̪ e ɽ
দেব	d̪ e b
দেব	d̪ e b o
দেবতা	d̪ e b o t̪ a
দেবদাস	d̪ e b d̪ a ʃ
দেবদাসী	d̪ e b d̪ a ʃ i
দেবী	d̪ e b i
দেশ	d̪ e ʃ
দেশলাই	d̪ e ʃ l a i̯
দেশি	d e ʃ i
দৈব	d̪ o i̯ b ɔ
দো	d̪ o
দোকান	d o k a n
দোভাষী	d̪ o bʱ a ʃ i
দোয়া	d̪ o̯ a
দোয়েল	d̪ o e l
দোলনা	d̪ o l n a
দোলা	d̪ o l a
দোষ	d̪ o ʃ
দৌড়ানো	d̪ o u̯ ɽ a n o
দৌলত	d̪ o u̯ l ɔ t̪
দ্বাদশ	d̪ a d̪ ɔ ʃ
দ্বীপ	d̪ i p
দ্বৈত	d̪ o i̯ t̪
ধ	dʱ ɔ
ধন	d̪ʱ ɔ n
ধনবাদ	d̪ʱ ɔ n b a d̪
ধনিয়া	d̪ʱ o n i̯ a
ধনী	dʱ o n i
ধনে	d̪ʱ o n e
ধন্যবাদ	d̪ʱ o nː o b a d̪
ধাওয়া	d̪ʱ a o̯ a
ধাতু	dʱ a t u
ধান	d̪ʱ a n
ধুতি	d̪ʱ u t̪ i
ধূমকেতু	d̪ʱ u m k e t̪ u
ধূমপান	dʱ u m p a n
ধোনি	dʱ o n i
ধোয়া	d̪ʱ o̯ a
ধ্বনি	dʱ o n i
ন	n ɔ
নং	n ɔ ŋ
নকল	n ɔ k o l
নকশা	n ɔ k ʃ a
নকশাল	n ɔ k ʃ a l
নখ	n ɔ kʰ
নড়া	n ɔ ɽ a
নতুন	n o t̪ u n
নদিয়া	n o d̪ i̯ a
নদী	n o d̪ i
নব	n ɔ b
নব	n ɔ b o
নবডঙ্কা	n ɔ b o ɖ ɔ ŋ k a
নবাব	n ɔ b a b
নবিস	n o b i ʃ
নবী	n o b i
নভেল	n ɔ bʱ e l
নয়	n ɔ e̯
নয়ন	n ɔ e̯ o n
নয়া	n ɔ e̯ a
নষ্ট	n ɔ ʃ ʈ o
না	n a
নাক	n a k
নাঙ্গা	n a ŋ a
নাচা	n a t ʃ a
নাটক	n a ʈ o k
নাতনী	n a t̪ n i
নাতি	n a t̪ i
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n o
নাথ	n a t̪ʰ
নাদান	n a d̪ a n
নানা	n a n a
নানী	n a n i
নাপিত	n a p i t̪
নাপ্পি	n a pː i
নাবালক	n a b a l ɔ k
নাম	n a m
নামক	n a m ɔ k
নামহীন	n a mː i n
নামা	n a m a
নালিশ	n a l i ʃ
নাশকতা	n a ʃ ɔ k ɔ t̪ a
নিঃশ্বসন	n i h ʃː ɔ ʃ ɔ n
নিউক্লিয়াস	n i u k l i a ʃ
নিকড়িয়া	n i k o ɽ i̯ a
নিকাহ	n i k a
নিজ	n i d͡ʒ
নিজে	n i d͡ʒ e
নিধি	n i d̪ʱ i
নিম্ন	n i m n o
নিম্নে	n i m n e
নিয়ম	n i̯ o m
নিয়ে	n i̯ e
নিলাম	n i l a m
নিশান	n i ʃ a n
নিশ্বসন	n i ʃː ɔ ʃ ɔ n
নিশ্বাস	n i ʃː a ʃ
নিষিদ্ধ	n i ʃ i d̪ʱː o
নুন	n u n
নুনি	n u n i
নুনু	n u n u
নূতন	n u t̪ ɔ n
নেউল	n e u l
নেওয়া	n a o̯ a
নেওয়া	n e o̯ a
নেওয়া	n æ o̯ a
নেকড়ে	n e k ɽ e
নেপচুন	n e p t ʃ u n
নেপাল	n e p a l
নেপিদ	n e p i d̪ ɔ
নেবা	n e b a
নেবানো	n e b a n o
নেভানো	n e bʱ a n o
নেমন্তন্ন	n e m o n t̪ o n n o
নেয়ামৎ	n e a m ɔ t̪
নোয়াখাইল্লা	n o̯ a kʰ a i̯ lː a
নোয়াখালী	n o̯ a kʰ a l i
নৌকা	n o u̯ k a
ন্যায়	n ɛ e̯
ন্যূনতম	n u n o t̪ ɔ m o
প	p ɔ
পকেট	p ɔ k e ʈ
পক্ষী	p o k kʰ i
পক্ষে	p ɔ kʰː e
পচা	p ɔ t ʃ a
পঞ্চান্ন	p ɔ n t ʃ a nː o
পঞ্চায়েত	p ɔ n t ʃ a e̯ t̪
পঞ্চাশ	p ɔ n t ʃ a ʃ
পটেল	p ɔ ʈ e l
পটোল	p ɔ ʈ o l
পড়শী	p o ɽ ʃ i
পড়া	p ɔ ɽ a
পণ্ডিত	p o n ɖ i t̪
পতাকা	p ɔ t̪ a k a
পথ	p ɔ t̪ʰ
পদ্মাসন	p ɔ d̪ d̪ a ʃ o n
পয়লা	p ɔ e̯ l a
পর্ন	p ɔ ɹ n
পল্টন	p ɔ l ʈ ɔ n
পল্লি	p ɔ lː i
পশ্চিমবাংলা	p ɔ ʃ t ʃ i m b a ŋ l a
পা	p a
পাওয়া	p a o̯ a
পাকা	p a k a
পাখা	p a kʰ a
পাখি	p a kʰ i
পাখী	p a kʰ i
পাঙ্গাশ	p a ŋ a ʃ
পাঠ	p a ʈʰ
পাঠা	p a ʈʰ a
পাঠান	p a ʈʰ a n
পাঠানো	p a ʈʰ a n o
পাড়া	p a ɽ a
পাণ	p a n
পাতক	p a t̪ ɔ k
পাতলা	p a t̪ l a
পাতা	p a t a
পাত্তা	p a t̪ː a
পান	p a n
পানি	p a n i
পানিয়ালা	p a n i a l a
পান্ডা	p a n ɖ a
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পাপ	p a p
পাপড়ি	p a p ɽ i
পাপী	p a p i
পাবনা	p a b n a
পাবনাইয়া	p a b n a i̯ a
পায়স	p a e ʃ
পার্সেল	p a ɹ ʃ e l
পালক	p a l o k
পালন	p a l o n
পালানো	p a l a n o
পাহাড়	p a h a ɽ
পিঠ	p i ʈʰ
পিঠা	p i ʈʰ a
পিতা	p i t̪ a
পিনাকী	p i n a k i
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ন	p i̯ o n
পিয়া	p i̯ a
পিয়াস	p i̯ a ʃ
পিসি	p i ʃ i
পুঙ্খানুপুঙ্খ	p u ŋ kʰ a n u p u ŋ kʰ o
পুজো	p u d͡ʒ o
পুটকি	p u ʈ k i
পুত	p u t
পুতুল	p u t̪ u l
পুদিনা	p u d̪ i n a
পুনঃ	p u n ɔ h
পুব	p u b
পুল	p u l
পুলিশ	p u l i ʃ
পুষ্প	p u ʃ p ɔ
পূতিবাত	p u t i b a t
পেঁচ	p æ̃ t ʃ
পেঁচা	p ɛ̃ t ʃ a
পেঁড়া	p æ̃ ɽ a
পেখম	p e kʰ ɔ m
পেটা	p e ʈ a
পেনিস	p e n i ʃ
পেয়ালা	p e a l a
পোকা	p o k a
পোড়া	p o ɽ a
পোশাক	p o ʃ a k
পৌনে	p o u̯ n e
পৌষ	p o u̯ ʃ
প্যাঁচা	p æ̃ t ʃ a
প্যান্ডেল	p æ n ɖ e l
প্যালেস্টাইন	p æ l e ʃ ʈ a i̯ n
প্রাকৃত	p ɹ a k i t̪ o
প্রাকৃত	p ɹ a k ɹ i t̪ o
প্লাস্টিক	p l a ʃ ʈ i k
প্লুটো	p l u ʈ o
ফ	f ɔ
ফ	pʰ ɔ
ফ	ɸ ɔ
ফকিন্নি	f ɔ k i nː i
ফটো	f o ʈ o
ফড়িং	f o ɽ i ŋ
ফতে	f o t̪ e
ফতোয়া	f ɔ t̪ o̯ a
ফল	f ɔ l
ফল	pʰ ɔ l
ফল	ɸ ɔ l
ফলসা	pʰ ɔ l ʃ a
ফলাফল	f ɔ l a f ɔ l
ফাটাফাটি	f a ʈ a f a ʈ i
ফাতেমা	f a t̪ e m a
ফানুস	f a n u ʃ
ফায়দা	f a e̯ d̪ a
ফালতু	pʰ a l t̪ u
ফালুদা	f a l u d̪ a
ফিতা	f i t̪ a
ফিনল্যান্ড	f i n l æ n ɖ
ফিলিপাইন	f i l i p a i̯ n
ফুটপাত	f u ʈ p a t̪
ফুটপাথ	f u ʈ p a t̪ʰ
ফুটবল	pʰ u ʈ ɔ b ɔ l ɔ
ফুটি	pʰ u ʈ i
ফুফু	f u f u
ফুয়েল	f u̯ e l
ফুল	f u l
ফুল	pʰ u l
ফুল	ɸ u l
ফেনা	f æ n a
ফেলা	f æ l a
ফেসবুক	pʰ e ʃ b u k
ফোটা	f o ʈ a
ফোটা	pʰ o ʈ a
ফোটানো	f o ʈ a n o
ফোটানো	pʰ o ʈ a n o
ফোন	f o n
ফোলা	f o l a
ফোলা	pʰ o l a
ফোলা	ɸ o l a
ফোলানো	pʰ o l a n o
ফ্যান	f æ n
ফ্লপি	f l ɔ p i
ফ্ল্যাট	pʰ l e̯ a ʈ
ব	b ɔ
বঁধু	b ɔ̃ d̪ʱ u
বংশ	b ɔ ŋ ʃ o
বই	b o i
বউ	b o u̯
বক	b ɔ k
বকশিশ	b o k ʃ i ʃ
বকুল	b o k u l
বট	b ɔ ʈ
বড়	b ɔ ɽ
বড়	b ɔ ɽ o
বড়ি	b o ɽ i
বত্ব	b ɔ t̪ː o
বদমাইশ	b ɔ d̪ m a i̯ ʃ
বদলে	b ɔ d o l e
বন	b o n
বন	b ɔ n
বনানী	b ɔ n a n i
বন্দ্যোপাধ্যায়	b ɔ n d̪ o p a d̪ʱː a e̯
বন্ধ	b ɔ n d̪ʱ o
বন্ধু	b o n d̪ʱ u
বন্ধুত্ব	b o n d̪ʱ u t̪ː o
বন্যা	b ɔ nː a
বন্‌ধ	b ɔ n d̪ʱ
বমি	b o m i
বম্বে	b ɔ m b e
বয়ঃসন্ধি	b ɔ e̯ ɔ h ʃ ɔ n d̪ʱ i
বয়স	b ɔ e̯ o ʃ
বয়স	b ɔ e̯ ʃ
বয়ান	b ɔ e̯ a n
বলকান	b ɔ l o k a n
বলদ	b ɔ l o d̪
বলা	b ɔ l a
বলিউড	b o l i u̯ ɖ
বল্টু	b ɔ l ʈ u
বসন্ত	b ɔ ʃ o n t̪ o
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বা	b a
বাংলা	b a ŋ l a
বাংলাদেশ	b a ŋ l a d̪ e ʃ
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাংলাদেশে	b a ŋ l a d̪ e ʃ e
বাংলায়	b a ŋ l a e̯
বাইচ	b a i̯ t ʃ
বাইট	b a i̯ ʈ
বাউল	b a u̯ l
বাকি	b a k i
বাকী	b a k i
বাক্য	b a kː o
বাক্স	b a k ʃ o
বাঘ	b a ɡʱ
বাঘিনি	b a ɡʱ i n i
বাঙালি	b a ŋ a l i
বাচাল	b a t ʃ a l
বাচ্চা	b a t ʃː a
বাটপাড়	b a ʈ p a ɽ
বাটি	b a ʈ i
বাড়া	b a ɽ a
বাড়ি	b a ɽ i
বাড্ডা	b a ɖː a
বাত	b a t̪
বাতাস	b a t a ʃ
বাদ	b a d̪
বাদক	b a d̪ ɔ k
বাদশাহ	b a d̪ ʃ a
বাদাম	b a d̪ a m
বাদুড়	b a d̪ u ɽ
বান	b a n
বানান	b a n a n
বানানো	b a n a n o
বান্ধবী	b a n d̪ʱ o b i
বাবলা	b a b l a
বাবা	b a b a
বাবু	b a b u
বাবুই	b a b u̯ i
বাম	b a m
বাল	b a l
বালতি	b a l t̪ i
বালি	b a l i
বালিশ	b a l i ʃ
বাষ্প	b a ʃ p o
বাস	b a ʃ
বাসনা	b a ʃ n a
বাসনা	b a ʃ o n a
বাসন্তী	b a ʃ o n t̪ i
বাসমতী	b a ʃ m ɔ t̪ i
বাসা	b a ʃ a
বিকাল	b i k a l
বিজেপি	b i d͡ʒ e p i
বিড়ি	b i ɽ i
বিদায়	b i d̪ a e̯
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিদেশিনী	b i d̪ e ʃ i n i
বিদ্যুৎ	b i d d u t
বিধবা	b i d̪ʱ o b a
বিনষ্ট	b i n ɔ ʃ ʈ o
বিনা	b i n a
বিনোদ	b i n o d̪
বিন্দু	b i n d̪ u
বিপাশা	b i p a ʃ a
বিভিন্ন	b i bʱ i nː o
বিভিন্নতা	b i bʱ i nː o t̪ a
বিভিন্নতা	b i bʱ i nː ɔ t̪ a
বিমল	b i m ɔ l
বিমা	b i m a
বিয়াই	b i̯ a i̯
বিয়ান	b i̯ a n
বিয়ে	b i̯ e
বিলাতি	b i l a t̪ i
বিলিতি	b i l i t̪ i
বিলেতি	b i l e t̪ i
বিল্ব	b i l l o
বিশ	b i ʃ
বিশাল	b i ʃ a l
বিশেষ	b i ʃ e ʃ
বিশেষণ	b i ʃ e ʃ ɔ n
বিশেষ্য	b i ʃ e ʃː o
বিশ্ব	b i ʃː o
বিশ্বব্যাপী	b i ʃː o b æ p i
বিশ্বশক্তি	b i ʃː ɔ ʃ ɔ k t̪ i
বিশ্বাস	b i ʃː a ʃ
বিষ	b i ʃ
বিষয়	b i ʃ ɔ e̯
বিষয়ে	b i ʃ ɔ e
বিষ্টু	b i ʃ ʈ u
বিহ্বল	b i u̯ bʱ ɔ l
বীচি	b i t ʃ i
বীণা	b i n a
বুত	b u t̪
বুদাপেস্ট	b u d̪ a p e ʃ ʈ
বুদ্ধি	b u d̪ʱː i
বুলবুল	b u l b u l
বে	b e
বেওয়াকেফ	b e o̯ a k e f
বেকুব	b e k u b
বেটা	b æ ʈ a
বেড়াল	b e ɽ a l
বেদনা	b e d̪ o n a
বেদানা	b e d a n a
বেদে	b e d̪ e
বেল	b e l
বেলফাস্ট	b e l f a ʃ ʈ
বেলা	b æ l a
বেলি	b e l i
বেশী	b e ʃ i
বেশ্যা	b e ʃː a
বেসন	b æ ʃ o n
বৈকঙ্কত	b o i̯ k ɔ ŋ k ɔ t
বৈঠা	b o i̯ ʈʰ a
বৈশাখ	b o i̯ ʃ a kʰ
বৈশিষ্ট্য	b o i̯ ʃ i ʃ ʈː o
বৈশ্য	b o i ʃ ʃ o
বৈষ্ণব	b o i̯ ʃ n ɔ b
বোকা	b o k a
বোতল	b o t̪ o l
বোতাম	b o t̪ a m
বোধ	b o d̪ʱ
বোন	b o n
বোবা	b o b a
বোমা	b o m a
বোম্বাই	b o m b a i̯
বোষ্টম	b o ʃ ʈ ɔ m
বোস	b o ʃ
বৌদ্ধ	b o u̯ d̪ʱː o
ব্যক্তি	b e k t̪ i
ব্যক্তিত্ব	b e k t i t t o
ব্যথা	b æ t̪ʰ a
ব্যবসা	b æ b ʃ a
ব্যাঙ্ক	b æ ŋ k o
ব্যাঙ্কক	b æ ŋ k ɔ k
ব্যাদ	b æ d̪
ব্যাধি	b æ dʱ i
ব্যাপক	b æ p ɔ k
ব্যায়াম	b e a m
ব্যায়াম	b æ a m
ভ	bʱ o
ভণ্ড	bʱ ɔ n ɖ o
ভদকা	bʱ ɔ d̪ o k a
ভনভন	bʱ ɔ n bʱ ɔ n
ভবিষ্যতে	bʱ ɔ b i ʃ ʃ ɔ t̪ e
ভবিষ্যদ্বাণী	bʱ o b i ʃː ɔ d̪ b a n i
ভবিষ্যৎ	bʱ o b i ʃː ɔ t̪
ভয়	bʱ ɔ e̯
ভাং	bʱ a ŋ
ভাই	bʱ a i̯
ভাঙা	bʱ a ŋ a
ভাটা	bʱ a ʈ a
ভাটি	bʱ a ʈ i
ভাড়া	bʱ a ɽ a
ভাড়াটিয়া	bʱ a ɽ a ʈ i̯ a
ভাড়াটে	bʱ a ɽ a ʈ e
ভাত	bʱ a t̪
ভাবনা	bʱ a b n a
ভাবনা	bʱ a b ɔ n a
ভারতীয়	bʱ a ɹ o t̪ i̯ o
ভাল	bʱ a l
ভাল	bʱ a l o
ভালবাসা	bʱ a l ɔ b a ʃ a
ভালভা	bʱ a l bʱ a
ভালুক	bʱ a l u k
ভালো	bʱ a l o
ভালোনাম	bʱ a l o n a m
ভালোবাসা	bʱ a l o b a ʃ a
ভাল্লুক	bʱ a lː u k
ভাষা	bʱ a ʃ a
ভাসা	bʱ a ʃ a
ভিডিও	bʱ i ɖ i̯ o
ভিত	bʱ i t̪ o
ভিত্তি	bʱ i t̪ː i
ভিসা	bʱ i ʃ a
ভিসি	bʱ i ʃ i
ভুখ	bʱ u kʰ
ভুটান	bʱ u ʈ a n
ভুট্টা	bʱ u ʈː a
ভুবন	bʱ u b o n
ভুয়া	bʱ u̯ a
ভুল	bʱ u l
ভূত	bʱ u t̪
ভূমি	bʱ u m i
ভেটা	bʱ e ʈ a
ভেড়া	bʱ æ ɽ a
ভেড়া	bʱ æ̃ ɽ a
ভোদা	bʱ o d a
ভৌম	bʱ o u̯ m o
ম	m ɔ
মই	m ɔ i
মওলা	m ɔ o̯ l a
মওলানা	m ɔ o̯ l a n a
মকতব	m ɔ k t̪ o b
মকতব	m ɔ k t̪ ɔ b
মচমচে	m ɔ t ʃ m ɔ t ʃ e
মড়া	m ɔ ɽ a
মণি	m o n i
মণীশ	m o n i ʃ
মণ্ডল	m o n d o l
মণ্ডলী	m ɔ n ɖ o l i
মত	m o t̪ o
মত	m ɔ t̪
মত	m ɔ t̪ o
মতি	m o t̪ i
মতো	m ɔ t̪ o
মদ	m ɔ d̪
মদ্যপান	m ɔ d d o p a n
মধু	m o d̪ʱ u
মধ্য	m o d̪ʱː o
মধ্যে	m ɔ d̪ʱː e
মন	m o n
মন	m ɔ n o
মনসা	m ɔ n o ʃ a
মনিব	m o n i b
মনিষ	m o n i ʃ
মনুষ্য	m o n u ʃː o
মন্দ	m ɔ n d̪
মন্দ	m ɔ n d̪ o
মন্দ	m ɔ n d̪ ɔ
মন্দা	m ɔ n d a
মফস্বল	m ɔ f o ʃː ɔ l
মম	m ɔ m o
ময়দা	m ɔ e̯ d̪ a
ময়দান	m ɔ e̯ d̪ a n
ময়না	m ɔ e̯ n a
ময়ূর	m ɔ j u ɹ
ময়ূর	m ɔ j u ɽ
ময়ূরী	m ɔ j u ɹ i
ময়ূরী	m ɔ j u ɽ i
মলম	m ɔ l o m
মলাট	m ɔ l a ʈ
মল্লিকা	m o lː i k a
মশলা	m ɔ ʃ l a
মশাই	m ɔ ʃ a i̯
মশাল	m ɔ ʃ a l
মা	m a
মাং	m a ŋ
মাংস	m a ŋ ʃ ɔ
মাইক	m a i̯ k
মাখন	m a kʰ o n
মাখা	m a kʰ a
মাঘ	m a ɡʱ
মাটি	m a ʈ i
মাঠ	m a ʈʰ
মাড়	m a ɽ
মাড়ি	m a ɽ i
মাতা	m a t̪ a
মাথা	m a tʰ a
মাদল	m a d̪ ɔ l
মাধ্যমে	m a d̪ʱː ɔ m e
মানব	m a n o b
মানসিক	m a n o ʃ i k
মানা	m a n a
মানুষ	m a n u ʃ
মানে	m a n e
মাপা	m a p a
মাফ	m a f
মামড়ি	m a m ɽ i
মামলা	m a m l a
মামা	m a m a
মামুলী	m a m u l i
মায়া	m a e̯ a
মাল	m a l
মালদা	m a l d̪ a
মালদ্বীপ	m a l d̪ i p
মালয়েশিয়া	m a l e ʃ i a
মালা	m a l a
মালাউন	m a l a u̯ n
মালিক	m a l i k
মালিকানা	m a l i k a n a
মাশাআল্লাহ	m a ʃ a lː a
মাস	m a ʃ
মাসি	m a ʃ i
মিউনিখ	m i u n i kʰ
মিটা	m i ʈ a
মিঠা	m i ʈʰ a
মিথেন	m i t̪ʰ e n
মিথ্যুক	m i t̪ʰː u k
মিনসা	m i n ʃ a
মিনিট	m i n i ʈ
মিষ্টি	m i ʃ ʈ i
মু	m u
মুক্ত	m u k t̪ o
মুক্তা	m u k t̪ a
মুক্তি	m u k t̪ i
মুক্তো	m u k t̪ o
মুখ	m u kʰ
মুখোপাধ্যায়	m u kʰ o p a d̪ʱː a e̯
মুখোশ	m u kʰ o ʃ
মুখ্য	m u kʰː o
মুঘল	m u ɡʱ o l
মুচি	m u t ʃ i
মুড়ি	m u ɽ i
মুত	m u t̪
মুন্ডা	m u n ɖ a
মুভি	m u bʱ i
মুম্বই	m u m b o i̯
মুশকিল	m u ʃ k i l
মুষল	m u ʃ o l
মূঢ়	m u ɽ o
মূঢ়	m u ɽʱ o
মূল	m u l
মূল্যবান	m u l l o b a n
মে	m e
মেক্সিকো	m e k ʃ i k o
মেঘ	m e ɡʱ
মেঘনা	m e ɡʱ ɔ n a
মেঘালয়	m e ɡʱ a l ɔ e̯
মেচ	m e t ʃ
মেথী	m e tʰ i
মেম	m e m
মেম	m æ m
মেয়াদ	m e a d̪
মেয়ে	m e
