अ	ə
ओळंबणे	o ɭ̆ ə m b ɳ e
ओळंबणे	o ɭ̆ ə m b ɳ ə
ओळंबा	o ɭ̆ ə m b a
ओळखणे	o ɭ̆ ə kʰ ɳ e
ओळखणे	o ɭ̆ ə kʰ ɳ ə
ओवणे	o ʋ ɳ e
ओवणे	o ʋ ɳ ə
ओवा	o ʋ a
ओसंडणे	o s ə ɳ ɖ ə ɳ e
ओसंडणे	o s ə ɳ ɖ ə ɳ ə
ओसरणे	o s ə ɾ ɳ e
ओसरणे	o s ə ɾ ɳ ə
ओहायो	o ɦ a j o
औ	ə u
औद्योगिक	ə u d̪ j o ɡ i k
औद्योगिकीकरण	ə u d̪ j o ɡ i k i k ɾ ə ɳ
औरंगाबाद	ə u ɾ ə ŋ ɡ a b a d̪
औषध	ə u ʂ ə d̪ʱ
क	k ə
कंगणी	k ə ŋ ɡ ɳ i
कंटाळणे	k ə ɳ ʈ a ɭ̆ ɳ e
कंटाळणे	k ə ɳ ʈ a ɭ̆ ɳ ə
कंटाळा	k ə ɳ ʈ a ɭ̆ a
कंठ	k ə ɳ ʈʰ ə
कंठकार्कश्य	k ə ɳ ʈʰ ə k a ɾ k ə ɕ j ə
कंठकोकिला	k ə ɳ ʈʰ ə k o k i l a
कंठभूषण	k ə ɳ ʈʰ bʱ u ʂ ə ɳ
कंठमणी	k ə ɳ ʈʰ ə m ə ɳ i
कंठस्थ	k ə ɳ ʈʰ ə s t̪ʰ ə
कंत्राट	k ə n t̪ ɾ a ʈ
कंत्राटदार	k ə n t̪ ɾ a ʈ d̪ a ɾ
कंदील	k ə n d̪ i l
कंबर	k ə m b ə ɾ
कंबल	k ə m b ə l
कचरा	k ə t͡s ɾ a
कचेरी	k ə t͡ɕ e ɾ i
कट	k ə ʈ
कटि	k ə ʈ i
कटिबद्ध	k ə ʈ i b ə d̪ d̪ʱ ə
कट्यार	k ə ʈ j a ɾ
कठीण	k ə ʈʰ i ɳ
कडक	k ə ɖ ə k
कडू	k ə ɖ u
कढई	k ə ɖʱ ə i
कढण	k ə ɖʱ ə ɳ
कढी	k ə ɖʱ i
कण	k ə ɳ
कतार	k ə t̪ a ɾ
कत्तल	k ə t̪ t̪ ə l
कथा	k ə t̪ʰ a
कदाचित	k ə d̪ a t͡ɕ i t̪
कधी	k ə d̪ʱ i
कन्नड	k ə n n ə ɖ
कपडा	k ə p ɖ a
कपाट	k ə p a ʈ
कपाटे	k ə p a ʈ e
कपाटे	k ə p a ʈ ə
कपाळ	k ə p a ɭ̆
कपाळे	k ə p a ɭ̆ e
कपाळे	k ə p a ɭ̆ ə
कपोत	k ə p o t̪
कफ	k ə pʰ
कबुतर	k ə b u t̪ ə ɾ
कबूतर	k ə b u t̪ ə ɾ
कमकुवत	k ə m k u ʋ ə t̪
कमळ	k ə m ə ɭ̆
कमाल	k ə m a l
कमी	k ə m i
कमीपणा	k ə m i p ə ɳ a
करंगळी	k ə ɾ ə ŋ ɡ ɭ̆ i
करंज	k ə ɾ ə n d͡ʑ ə
करंजी	k ə ɾ ə n d͡ʑ i
करंजेल	k ə ɾ ə n d͡ʑ e l
करणे	k ə ɾ ɳ e
करणे	k ə ɾ ɳ ə
करपणे	k ə ɾ ə p ɳ e
करपणे	k ə ɾ ə p ɳ ə
करपवणे	k ə ɾ p ə ʋ ɳ e
करपवणे	k ə ɾ p ə ʋ ɳ ə
करवंटी	k ə ɾ ʋ ə ɳ ʈ i
करवंद	k ə ɾ ʋ ə n d̪ ə
करवा	k ə ɾ ʋ a
कराची	k ə ɾ a t͡ɕ i
करिता	k ə ɾ i t̪ a
करुणा	k ə ɾ u ɳ a
कर्क	k ə ɾ k ə
कर्ण	k ə ɾ ɳ ə
कर्णधार	k ə ɾ ɳ ə d̪ʱ a ɾ
कर्तव्य	k ə ɾ t̪ ə ʋ j ə
कर्तव्यदक्षपणा	k ə ɾ t̪ ə ʋ j ə d̪ ə k ʂ ə p ɳ a
कर्ता	k ə ɾ t̪ a
कर्तृत्व	k ə ɾ t̪ ɾ u t̪ ʋ ə
कर्बोदक	k ə ɾ b o d̪ ə k
कर्बोदके	k ə ɾ b o d̪ k e
कर्बोदके	k ə ɾ b o d̪ k ə
कर्म	k ə ɾ m ə
कलंडणे	k ə l ə ɳ ɖ ɳ e
कलंडणे	k ə l ə ɳ ɖ ɳ ə
कलम	k ə l ə m
कलवार	k ə l ʋ a ɾ
कला	k ə l a
कलाकार	k ə l a k a ɾ
कलाप	k ə l a p
कलाल	k ə l a l
कलिंगड	k ə l i ŋ ɡ ə ɖ
कलिंगडे	k ə l i ŋ ɡ ɖ e
कल्की	k ə l k i
कल्पक	k ə l p ə k
कल्पकता	k ə l p ə k t̪ a
कल्पना	k ə l p ə n a
कल्पनाजाल	k ə l p ə n a d͡ʑ a l
कल्पनातीत	k ə l p ə n a t̪ i t̪
कल्पनाबाज	k ə l p ə n a b a d͡ʑ
कल्पनाशक्ती	k ə l p ə n a ɕ ə k t̪ i
कल्पनीय	k ə l p ə n i j
कल्लोळ	k ə l l o ɭ̆
कळ	k ə ɭ̆
कळणे	k ə ɭ̆ ɳ e
कळणे	k ə ɭ̆ ɳ ə
कळप	k ə ɭ̆ ə p
कळवणे	k ə ɭ̆ ə ʋ ɳ e
कळवणे	k ə ɭ̆ ə ʋ ɳ ə
कळशी	k ə ɭ̆ ɕ i
कळी	k ə ɭ̆ i
कळ्या	k ə ɭ̆ j a
कळ्हो	k ə ɭ̆ ɦ o
कवठ	k ə ʋ ə ʈʰ
कवडीमोल	k ə ʋ ɖ i m o l
कवयित्री	k ə ʋ j i t̪ ɾ i
कवाईत	k ə ʋ a i t̪
कवि	k ə ʋ i
कविता	k ə ʋ i t̪ a
कवी	k ə ʋ i
कशिदा	k ə ɕ i d̪ a
कष्ट	k ə ʂ ʈ ə
कसं	k ə s ə
कसणे	k ə s ɳ e
कसणे	k ə s ɳ ə
कसबी	k ə s b i
कसा	k ə s a
कसे	k ə s e
कसे	k ə s ə
कसोटी	k ə s o ʈ i
कहाणी	k ə ɦ a ɳ i
का	k a
कांड	k a ɳ ɖ ə
कांडी	k a ɳ ɖ i
कांडें	k a ɳ ɖ ẽ
कांदा	k a n d̪ a
काऊ	k a u
काकडी	k a k ɖ i
काकण	k a k ə ɳ
काकणे	k a k ɳ e
काकणे	k a k ɳ ə
काका	k a k a
काकू	k a k u
कागद	k a ɡ ə d̪
कागदपत्र	k a ɡ ə d̪ p ə t̪ ɾ ə
काच	k a t͡s
काजळ	k a d͡z ə ɭ̆
काजवा	k a d͡z ʋ a
काटा	k a ʈ a
काटेरी	k a ʈ e ɾ i
काठ	k a ʈʰ
काठी	k a ʈʰ i
काठ्या	k a ʈʰ j a
काढणे	k a ɖʱ ɳ e
काढणे	k a ɖʱ ɳ ə
काढा	k a ɖʱ a
काणा	k a ɳ a
कातरणे	k a t̪ ə ɾ ɳ e
कातरणे	k a t̪ ə ɾ ɳ ə
कात्या	k a t̪ j a
कात्री	k a t̪ ɾ i
कादंबरी	k a d̪ ə m b ɾ i
कादंबरीकार	k a d̪ ə m b ɾ i k a ɾ
कान	k a n
कानपूर	k a n p u ɾ
कानातले	k a n a t̪ l e
कानातले	k a n a t̪ l ə
कापड	k a p ə ɖ
कापडे	k a p ɖ e
कापडे	k a p ɖ ə
कापणे	k a p ɳ e
कापणे	k a p ɳ ə
कापूर	k a p u ɾ
कापूस	k a p u s
काफी	k a pʰ i
काम	k a m
कामगार	k a m ɡ a ɾ
काय	k a j
कायदा	k a j d̪ a
कायम	k a j ə m
कारखाना	k a ɾ kʰ a n a
कारण	k a ɾ ə ɳ
कारणीभूत	k a ɾ ɳ i bʱ u t̪
कारणे	k a ɾ ɳ e
कारणे	k a ɾ ɳ ə
कारले	k a ɾ l e
कारले	k a ɾ l ə
कारस्थान	k a ɾ ə s t̪ʰ a n
कारागीर	k a ɾ a ɡ i ɾ
कार्तिकेय	k a ɾ t̪ i k e j
कार्य	k a ɾ j ə
कार्यक्रम	k a ɾ j ə k ɾ ə m
काल	k a l
कालवण	k a l ʋ ə ɳ
कालवणे	k a l ə ʋ ɳ e
काल्पनिक	k a l p ə n i k
काल्पनिकता	k a l p ə n i k ə t̪ a
काळ	k a ɭ̆
काळजी	k a ɭ̆ d͡ʑ i
काळवीट	k a ɭ̆ ʋ i ʈ
काळा	k a ɭ̆ a
काळीज	k a ɭ̆ i d͡z
काळे	k a ɭ̆ e
काळोख	k a ɭ̆ o kʰ
काळोखे	k a ɭ̆ o kʰ e
काळोखे	k a ɭ̆ o kʰ ə
कावरेबावरे	k a ʋ ɾ e b a ʋ ɾ e
कावळा	k a ʋ ɭ̆ a
कावळे	k a ʋ ɭ̆ e
कावेबाज	k a ʋ e b a d͡ʑ
कावेरी	k a ʋ e ɾ i
काव्य	k a ʋ j ə
काव्ये	k a ʋ j e
काव्ये	k a ʋ j ə
काशी	k a ɕ i
कास	k a s
कासव	k a s ə ʋ
काही	k a ɦ i
किंचाळणे	k i n t͡ɕ a ɭ̆ ɳ e
किंचाळणे	k i n t͡ɕ a ɭ̆ ɳ ə
किंचित	k i n t͡ɕ i t̪
किंमत	k i m m ə t̪
किंवा	k i u ʋ a
किडा	k i ɖ a
किडे	k i ɖ e
किडे	k i ɖ ə
कितिं	k i t̪ ĩ
किनारा	k i n a ɾ a
किमान	k i m a n
किरण	k i ɾ ə ɳ
किल्ला	k i l l a
किल्ली	k i l l i
किल्लेदार	k i l l e d̪ a ɾ
किल्ल्या	k i l l j a
किल्वर	k i l ʋ ə ɾ
किळस	k i ɭ̆ ə s
किळोस	k i ɭ̆ o s
किवडा	k i ʋ ɖ a
की	k i
कीबोर्ड	k i b o ɾ ɖ ə
कीर्तन	k i ɾ t̪ ə n
कीर्तनकार	k i ɾ t̪ ə n k a ɾ
कीर्ती	k i ɾ t̪ i
कीव	k i ʋ
कुंकू	k u ŋ k u
कुंकूं	k u ŋ k ũ
कुंभ	k u m bʱ ə
कुंभार	k u m bʱ a ɾ
कुंभीर	k u m bʱ i ɾ
कुचकट	k u t͡ɕ ə k ə ʈ
कुजणे	k u d͡ʑ ɳ e
कुजणे	k u d͡ʑ ɳ ə
कुटणे	k u ʈ ɳ e
कुटुंब	k u ʈ u m b ə
कुटुंबीय	k u ʈ u m b i j
कुठे	k u ʈʰ e
कुतूहल	k u t̪ u ɦ ə l
कुत्रा	k u t̪ ɾ a
कुबट	k u b ə ʈ
कुरकुरीत	k u ɾ k u ɾ i t̪
कुरवाळणे	k u ɾ ʋ a ɭ̆ ɳ e
कुरवाळणे	k u ɾ ʋ a ɭ̆ ɳ ə
कुराण	k u ɾ a ɳ
कुरूप	k u ɾ u p
कुऱ्हाड	k u ɾʱ a ɖ
कुलकर्णी	k u l k ə ɾ ɳ i
कुलपे	k u l p e
कुलपे	k u l p ə
कुलवधू	k u l ə ʋ d̪ʱ u
कुलुपे	k u l u p e
कुलुपे	k u l u p ə
कुलूप	k u l u p
कुळ	k u ɭ̆
कुवत	k u ʋ ə t̪
कुवेत	k u ʋ e t̪
कुस्ती	k u s t̪ i
कूर्म	k u ɾ m ə
कृतघ्न	k ɾ u t̪ ə ɡʱ n ə
कृतघ्नता	k ɾ u t̪ ə ɡʱ n ə t̪ a
कृतज्ञ	k ɾ u t̪ ə d͡ʑ n ə
कृतज्ञता	k ɾ u t̪ ə d͡ʑ n ə t̪ a
कृती	k ɾ u t̪ i
कृपा	k ɾ u p a
कृष्ण	k ɾ u ʂ ɳ ə
केंद्र	k e n d̪ ɾ ə
केणे	k e ɳ e
केणे	k e ɳ ə
केतकी	k e t̪ k i
केरळ	k e ɾ ə ɭ̆
केळं	k e ɭ̆ ə
केळे	k e ɭ̆ e
केळे	k e ɭ̆ ə
केवडा	k e ʋ ɖ a
केश	k e ɕ
केशर	k e ɕ ə ɾ
केशरी	k e ɕ ɾ i
केस	k e s
केसाळ	k e s a ɭ̆
कोंडणे	k o ɳ ɖ ɳ e
कोंडणे	k o ɳ ɖ ɳ ə
कोंबणे	k o m b ɳ e
कोईल	k o i l
कोकण	k o k ə ɳ
कोची	k o t͡ɕ i
कोटी	k o ʈ i
कोठडी	k o ʈʰ ɖ i
कोड	k o ɖ
कोडे	k o ɖ e
कोडे	k o ɖ ə
कोण	k o ɳ
कोणते	k o ɳ t̪ e
कोन	k o n
कोप	k o p
कोमजणे	k o m ə d͡z ɳ e
कोमट	k o m ə ʈ
कोय	k o j
कोयता	k o j t̪ a
कोयती	k o j t̪ i
कोरणे	k o ɾ ɳ e
कोरणे	k o ɾ ɳ ə
कोरे	k o ɾ e
कोरे	k o ɾ ə
कोर्ट	k o ɾ ʈ ə
कोल	k o l
कोलकाता	k o l k a t̪ a
कोलाहल	k o l a ɦ ə l
कोल्हा	k o lʱ a
कोल्हापूर	k o lʱ a p u ɾ
कोळंबी	k o ɭ̆ ə m b i
कोळसा	k o ɭ̆ s a
कोवळे	k o ʋ ɭ̆ e
कोवळे	k o ʋ ɭ̆ ə
कोशिंबीर	k o ɕ i m b i ɾ
कोशीस	k o ɕ i s
कोसळणे	k o s ə ɭ̆ ɳ e
कोसळणे	k o s ə ɭ̆ ɳ ə
कौटुंबिक	k ə u ʈ u m b i k
कौतुक	k ə u t̪ u k
कौतुकास्पद	k ə u t̪ u k a s p ə d̪
कौरव	k ə u ɾ ə ʋ
क्यीव	k j i ʋ
क्रांती	k ɾ a n t̪ i
क्रिकेट	k ɾ i k e ʈ
क्रिकेटर	k ɾ i k e ʈ ə ɾ
क्रिया	k ɾ i j a
क्रियाकलाप	k ɾ i j a k l a p
क्रियापद	k ɾ i j a p ə d̪
क्रूस	k ɾ u s
क्रोध	k ɾ o d̪ʱ
क्रोधित	k ɾ o d̪ʱ i t̪
क्लिष्ट	k l i ʂ ʈ ə
क्वचित	k ʋ ə t͡ɕ i t̪
क्ष	k ʂ ə
क्षण	k ʂ ə ɳ
क्षती	k ʂ ə t̪ i
क्षमता	k ʂ ə m ə t̪ a
क्षमा	k ʂ ə m a
क्षम्य	k ʂ ə m j ə
क्षार	k ʂ a ɾ
क्षितिज	k ʂ i t̪ i d͡ʑ
क्षुल्लक	k ʂ u l l ə k
क्षेत्र	k ʂ e t̪ ɾ ə
क्षेत्रज्ञ	k ʂ e t̪ ɾ ə d͡ʑ n ə
क्षेत्रफळ	k ʂ e t̪ ɾ ə pʰ ə ɭ̆
क्षेत्ररक्षण	k ʂ e t̪ ɾ ə ɾ ə k ʂ ə ɳ
क्षेप	k ʂ e p
ख	kʰ ə
खंत	kʰ ə n t̪ ə
खचणे	kʰ ə t͡s ɳ e
खचणे	kʰ ə t͡s ɳ ə
खचित	kʰ ə t͡ɕ i t̪
खचितार्थ	kʰ ə t͡ɕ i t̪ a ɾ t̪ʰ ə
खचिती	kʰ ə t͡ɕ i t̪ i
खजिना	kʰ ə d͡ʑ i n a
खजूर	kʰ ə d͡z u ɾ
खटला	kʰ ə ʈ l a
खट्याळ	kʰ ə ʈ j a ɭ̆
खट्याळणे	kʰ ə ʈ j a ɭ̆ ɳ e
खट्याळणे	kʰ ə ʈ j a ɭ̆ ɳ ə
खट्याळपणा	kʰ ə ʈ j a ɭ̆ ə p ɳ a
खट्वा	kʰ ə ʈ ʋ a
खडाण	kʰ ə ɖ a ɳ
खडू	kʰ ə ɖ u
खड्डा	kʰ ə ɖ ɖ a
खणणे	kʰ ə ɳ ɳ e
खणणे	kʰ ə ɳ ɳ ə
खत्रप	kʰ ə t̪ ɾ ə p
खदखदा	kʰ ə d̪ kʰ ə d̪ a
खपणे	kʰ ə p ɳ e
खपणे	kʰ ə p ɳ ə
खबर	kʰ ə b ə ɾ
खमंग	kʰ ə m ə ŋ ɡ ə
खमंगाई	kʰ ə m ə ŋ ɡ a i
खमक्या	kʰ ə m ə k j a
खरवस	kʰ ə ɾ ʋ ə s
खरे	kʰ ə ɾ e
खरे	kʰ ə ɾ ə
खरेदी	kʰ ə ɾ e d̪ i
खर्च	kʰ ə ɾ t͡s ə
खर्चणे	kʰ ə ɾ t͡s ə ɳ e
खर्चणे	kʰ ə ɾ t͡s ə ɳ ə
खलनायक	kʰ ə l n a j ə k
खलनायिका	kʰ ə l n a j i k a
खलाशी	kʰ ə l a ɕ i
खसखस	kʰ ə s kʰ ə s
खांडणे	kʰ a ɳ ɖ ɳ e
खांडणे	kʰ a ɳ ɖ ɳ ə
खांब	kʰ a m b ə
खाऊ	kʰ a u
खाज	kʰ a d͡z
खाजगी	kʰ a d͡z ɡ i
खाजगीकरण	kʰ a d͡z ɡ i k ɾ ə ɳ
खाजणे	kʰ a d͡z ɳ e
खाजणे	kʰ a d͡z ɳ ə
खाजवणे	kʰ a d͡z ə ʋ ɳ e
खाजवणे	kʰ a d͡z ə ʋ ɳ ə
खाजें	kʰ a d͡ʑ ẽ
खाट	kʰ a ʈ
खाण	kʰ a ɳ
खाणावळ	kʰ a ɳ a ʋ ə ɭ̆
खातर	kʰ a t̪ ə ɾ
खाते	kʰ a t̪ e
खाते	kʰ a t̪ ə
खात्री	kʰ a t̪ ɾ i
खादाड	kʰ a d̪ a ɖ
खानदेश	kʰ a n d̪ e ɕ
खाना	kʰ a n a
खार	kʰ a ɾ
खारट	kʰ a ɾ ə ʈ
खाली	kʰ a l i
खास	kʰ a s
खिंडार	kʰ i ɳ ɖ a ɾ
खिडकी	kʰ i ɖ k i
खिडक्या	kʰ i ɖ ə k j a
खिमा	kʰ i m a
खीर	kʰ i ɾ
खुजे	kʰ u d͡z e
खुजे	kʰ u d͡z ə
खुडणे	kʰ u ɖ ɳ e
खुडणे	kʰ u ɖ ɳ ə
खुद्द	kʰ u d̪ d̪ ə
खुर्ची	kʰ u ɾ t͡ɕ i
खुर्च्या	kʰ u ɾ t͡ɕ j a
खुळा	kʰ u ɭ̆ a
खुळे	kʰ u ɭ̆ e
खुळे	kʰ u ɭ̆ ə
खुश	kʰ u ɕ
खुशाली	kʰ u ɕ a l i
खुशी	kʰ u ɕ i
खूण	kʰ u ɳ
खून	kʰ u n
खूप	kʰ u p
खूळ	kʰ u ɭ̆
खेंव	kʰ e u ʋ ə
खेंवा	kʰ e u ʋ a
खेकडा	kʰ e k ɖ a
खेचणे	kʰ e t͡s ɳ e
खेचणे	kʰ e t͡s ɳ ə
खेडे	kʰ e ɖ e
खेडे	kʰ e ɖ ə
खेद	kʰ e d̪
खेळणे	kʰ e ɭ̆ ɳ e
खेळणे	kʰ e ɭ̆ ɳ ə
खैरा	kʰ ə i ɾ a
खोकला	kʰ o k ə l a
खोचणे	kʰ o t͡s ɳ e
खोचणे	kʰ o t͡s ɳ ə
खोटे	kʰ o ʈ e
खोटे	kʰ o ʈ ə
खोड	kʰ o ɖ
खोडकर	kʰ o ɖ k ə ɾ
खोडणे	kʰ o ɖ ɳ e
खोडणे	kʰ o ɖ ɳ ə
खोडरबर	kʰ o ɖ ə ɾ b ə ɾ
खोडा	kʰ o ɖ a
खोदणे	kʰ o d̪ ɳ e
खोदणे	kʰ o d̪ ɳ ə
खोल	kʰ o l
खोली	kʰ o l i
ख्याती	kʰ j a t̪ i
ख्रिस्त	kʰ ɾ i s t̪
ख्रिस्ती	kʰ ɾ i s t̪ i
ग	ɡ ə
गंगा	ɡ ə ŋ ɡ a
गंगाजल	ɡ ə ŋ ɡ a d͡ʑ ə l
गंगाधर	ɡ ə ŋ ɡ a d̪ʱ ə ɾ
गंगाभागीरथी	ɡ ə ŋ ɡ a bʱ a ɡ i ɾ t̪ʰ i
गंगावन	ɡ ə ŋ ɡ a ʋ ə n
गंगास्नान	ɡ ə ŋ ɡ a s n a n
गंगोत्री	ɡ ə ŋ ɡ o t̪ ɾ i
गंध	ɡ ə n d̪ʱ ə
गंधक	ɡ ə n d̪ʱ ə k
गंभीर	ɡ ə m bʱ i ɾ
गगन	ɡ ə ɡ ə n
गगनमंडल	ɡ ə ɡ ə n m ə ɳ ɖ ə l
गच्च	ɡ ə t͡ɕ t͡ɕ ə
गजरा	ɡ ə d͡ʑ ɾ a
गट	ɡ ə ʈ
गटार	ɡ ə ʈ a ɾ
गठ्ठा	ɡ ə ʈ ʈʰ a
गड	ɡ ə ɖ
गडबड	ɡ ə ɖ b ə ɖ
गडबडणे	ɡ ə ɖ b ə ɖ ɳ e
गडबडणे	ɡ ə ɖ b ə ɖ ɳ ə
गड्डी	ɡ ə ɖ ɖ i
गणपती	ɡ ə ɳ ə p t̪ i
गणित	ɡ ə ɳ i t̪
गति	ɡ ə t̪ i
गतिमान	ɡ ə t̪ i m a n
गती	ɡ ə t̪ i
गत्यंतर	ɡ ə t̪ j ə n t̪ ə ɾ
गफलत	ɡ ə pʰ l ə t̪
गरज	ɡ ə ɾ ə d͡z
गरजणे	ɡ ə ɾ ə d͡z ɳ e
गरजणे	ɡ ə ɾ ə d͡z ɳ ə
गरम	ɡ ə ɾ ə m
गरमी	ɡ ə ɾ ə m i
गरीब	ɡ ə ɾ i b
गरीबी	ɡ ə ɾ i b i
गरोदर	ɡ ə ɾ o d̪ ə ɾ
गरोदरपणा	ɡ ə ɾ o d̪ ɾ ə p ɳ a
गर्भ	ɡ ə ɾ bʱ ə
गर्भधारण	ɡ ə ɾ bʱ ə d̪ʱ a ɾ ə ɳ
गर्भधारणा	ɡ ə ɾ bʱ ə d̪ʱ a ɾ ɳ a
गर्भपात	ɡ ə ɾ bʱ ə p a t̪
गर्भाधान	ɡ ə ɾ bʱ a d̪ʱ a n
गल्ली	ɡ ə l l i
गळणे	ɡ ə ɭ̆ ɳ e
गळणे	ɡ ə ɭ̆ ɳ ə
गळा	ɡ ə ɭ̆ a
गळे	ɡ ə ɭ̆ e
गळे	ɡ ə ɭ̆ ə
गवत	ɡ ə ʋ ə t̪
गवसणे	ɡ ə ʋ ə s ɳ e
गवसणे	ɡ ə ʋ ə s ɳ ə
गहन	ɡ ə ɦ ə n
गहिरे	ɡ ə ɦ i ɾ e
गहिरे	ɡ ə ɦ i ɾ ə
गहू	ɡ ə ɦ u
गांगरणे	ɡ a ŋ ɡ ə ɾ ɳ e
गांगरणे	ɡ a ŋ ɡ ə ɾ ɳ ə
गांड	ɡ a ɳ ɖ ə
गांडूळ	ɡ a ɳ ɖ u ɭ̆
गांधीलमाशी	ɡ a n d̪ʱ i l m a ɕ i
गांभीर्य	ɡ a m bʱ i ɾ j ə
गांवधें	ɡ a u ʋ d̪ʱ ẽ
गाजणे	ɡ a d͡z ɳ e
गाजणे	ɡ a d͡z ɳ ə
गाजर	ɡ a d͡z ə ɾ
गाझियाबाद	ɡ a d͡zʱ i j a b a d̪
गाठ	ɡ a ʈʰ
गाठणे	ɡ a ʈʰ ɳ e
गाठणे	ɡ a ʈʰ ɳ ə
गाठोडे	ɡ a ʈʰ o ɖ e
गाठोडे	ɡ a ʈʰ o ɖ ə
गाडी	ɡ a ɖ i
गाढ	ɡ a ɖʱ
गाढव	ɡ a ɖʱ ə ʋ
गाणे	ɡ a ɳ e
गाणे	ɡ a ɳ ə
गादी	ɡ a d̪ i
गाभा	ɡ a bʱ a
गाभारा	ɡ a bʱ a ɾ a
गाभीण	ɡ a bʱ i ɳ
गाय	ɡ a j
गायक	ɡ a j ə k
गायब	ɡ a j ə b
गायिका	ɡ a j i k a
गार	ɡ a ɾ
गारुडी	ɡ a ɾ u ɖ i
गाल	ɡ a l
गालिचा	ɡ a l i t͡ɕ a
गाळण	ɡ a ɭ̆ ə ɳ
गाळणी	ɡ a ɭ̆ ɳ i
गाळणे	ɡ a ɭ̆ ɳ e
गाळणे	ɡ a ɭ̆ ɳ ə
गावं	ɡ a ʋ ə
गावे	ɡ a ʋ e
गावे	ɡ a ʋ ə
गिंडी	ɡ i ɳ ɖ i
गिधाड	ɡ i d̪ʱ a ɖ
गिरणी	ɡ i ɾ ɳ i
गिरीश	ɡ i ɾ i ɕ
गिळणे	ɡ i ɭ̆ ɳ e
गिळणे	ɡ i ɭ̆ ɳ ə
गीह्म	ɡ i ɦ m ə
गुंज	ɡ u n d͡z ə
गुंजडा	ɡ u n d͡z ɖ a
गुंतणे	ɡ u n t̪ ə ɳ e
गुंतणे	ɡ u n t̪ ə ɳ ə
गुंतवणे	ɡ u n t̪ ə ʋ ɳ e
गुंतवणे	ɡ u n t̪ ə ʋ ɳ ə
गुंफणे	ɡ u m pʰ ə ɳ e
गुंफणे	ɡ u m pʰ ə ɳ ə
गुज	ɡ u d͡z
गुजरात	ɡ u d͡z ɾ a t̪
गुजराती	ɡ u d͡z ɾ a t̪ i
गुढी	ɡ u ɖʱ i
गुढें	ɡ u ɖʱ ẽ
गुण	ɡ u ɳ
गुणगुणणे	ɡ u ɳ ɡ u ɳ ɳ e
गुणगुणणे	ɡ u ɳ ɡ u ɳ ɳ ə
गुणसूत्र	ɡ u ɳ ə s u t̪ ɾ ə
गुदगुली	ɡ u d̪ ɡ u l i
गुदमरणे	ɡ u d̪ m ə ɾ ɳ e
गुदमरणे	ɡ u d̪ m ə ɾ ɳ ə
गुन्हा	ɡ u nʱ a
गुन्हेगार	ɡ u nʱ e ɡ a ɾ
गुपित	ɡ u p i t̪
गुप्त	ɡ u p t̪ ə
गुबगुबीत	ɡ u b ɡ u b i t̪
गुराखी	ɡ u ɾ a kʰ i
गुरुवार	ɡ u ɾ u ʋ a ɾ
गुरू	ɡ u ɾ u
गुऱ्हाळ	ɡ u ɾʱ a ɭ̆
गुलाब	ɡ u l a b
गुलाबी	ɡ u l a b i
गुहा	ɡ u ɦ a
गूळ	ɡ u ɭ̆
गृह	ɡ ɾ u ɦ
गृहकलह	ɡ ɾ u ɦ k ə l ə ɦ
गृहपाठ	ɡ ɾ u ɦ p a ʈʰ
गृहप्रवेश	ɡ ɾ u ɦ ə p ɾ ə ʋ e ɕ
गृहस्थ	ɡ ɾ u ɦ ə s t̪ʰ ə
गृहिणी	ɡ ɾ u ɦ i ɳ i
गृहीत	ɡ ɾ u ɦ i t̪
गैर	ɡ ə i ɾ
गैरवापर	ɡ ə i ɾ ʋ a p ə ɾ
गैरसमज	ɡ ə i ɾ s ə m ə d͡z
गैरसोय	ɡ ə i ɾ s o j
गैरहजर	ɡ ə i ɾ ə ɦ d͡z ə ɾ
गैरहजेरी	ɡ ə i ɾ ə ɦ d͡ʑ e ɾ i
गोंगाट	ɡ o ŋ ɡ a ʈ
गोंधळ	ɡ o n d̪ʱ ə ɭ̆
गोखले	ɡ o kʰ l e
गोठा	ɡ o ʈʰ a
गोड	ɡ o ɖ
गोडसे	ɡ o ɖ s e
गोणी	ɡ o ɳ i
गोदावरी	ɡ o d̪ a ʋ ɾ i
गोपाळ	ɡ o p a ɭ̆
गोफण	ɡ o pʰ ə ɳ
गोमांस	ɡ o m a u s ə
गोरे	ɡ o ɾ e
गोरे	ɡ o ɾ ə
गोल	ɡ o l
गोळा	ɡ o ɭ̆ a
गोळी	ɡ o ɭ̆ i
गोवळा	ɡ o ʋ ɭ̆ a
गोष्ट	ɡ o ʂ ʈ ə
गोसावी	ɡ o s a ʋ i
गोस्वामी	ɡ o s ʋ a m i
गौण	ɡ ə u ɳ
गौणकल्प	ɡ ə u ɳ k ə l p ə
गौणपक्ष	ɡ ə u ɳ p ə k ʂ ə
गौरव	ɡ ə u ɾ ə ʋ
ग्रंथ	ɡ ɾ ə n t̪ʰ ə
ग्रंथपाल	ɡ ɾ ə n t̪ʰ p a l
ग्रंथालय	ɡ ɾ ə n t̪ʰ a l ə j
ग्रह	ɡ ɾ ə ɦ ə
ग्रहण	ɡ ɾ ə ɦ ə ɳ
ग्वाल्हेर	ɡ ʋ a lʱ e ɾ
घ	ɡʱ ə
घटणे	ɡʱ ə ʈ ɳ e
घटणे	ɡʱ ə ʈ ɳ ə
घटस्फोट	ɡʱ ə ʈ ə s pʰ o ʈ
