Aaju	aː j ʊ
immuk	y m m ʊ k
immussuaq	y m m ʊ s s ʊ ɑ q
inappaa	i n ə p p əː
inatsivoq	i n ə t t͡s ɪ v ɔ q
ineriartortitsineq	i n ɜ ʁ ɪ ə t t ɔ t t͡s ɪ t t͡s ɪ n ɜ q
inerpoq	i n ɜ p p ɔ q
inersimasoq	i n ɜ s s y m ə s ɔ q
ingerlavoq	i ŋ ɜ ɬ ɬ ə v ɔ q
ingitippaa	i ŋ ɪ t͡s y p p əː
ini	i n ɪ
inissisimavoq	i n ɪ s s ɪ s y m ə v ɔ q
innuttaasoq	i n n ʉ t t əː s ɔ q
innuttaasut	i n n ʉ t t əː s ʉ t
inooqatigiinneq	i n ɔː q ə t͡s ɪ ɣ ɪː n n ɜ q
inoqat	i n ɔ q ə t
inuiaat	i n ʊ ɪ əː t
inunngorpoq	i n ʊ ŋ ŋ ɔ p p ɔ q
inupiluk	i n ʊ p ɪ l ʊ k
inussiaq	i n ʉ s s ɪ ɑ q
inuttuumasoq	i n ʉ t t ʊː m ə s ɔ q
inuulluaqquaa	i n ʊː ɬ ɬ ʊ ɑ q q ʊ əː
inuuneq	i n ʉː n ɜ q
inuusoq	i n ʉː s ɔ q
inuusuppoq	i n ʉː s ʊ p p ɔ q
inuusuttoq	i n ʉː s ʉ t t ɔ q
inuusuttuaraq	i n ʉː s ʉ t t ʊ ɑ ʁ ɑ q
inuuvoq	i n ʊʷ ɔ q
ippassaq	y p p ə s s ɑ q
ippat	y p p ə t
ippernaaqqut	y p p ɜ n n ɑː q q ʊ t
ippernaq	y p p ɜ n n ɑ q
isaqqilavoq	i s ɑ q q ɪ l ə v ɔ q
isaqqivoq	i s ɑ q q ɪ v ɔ q
isaroq	i s ɑ ʁ ɔ q
iseriappoq	i s ɜ ʁ ɪ ə p p ɔ q
iserpaa	i s ɜ p p əː
iserpoq	i s ɜ p p ɔ q
isertarfik	i s ɜ t t ə f f ɪ k
isertugaq	i s ɜ t t ʊ ɣ ɑ q
isigammaasaaraq	i s ɪ ɣ ə m m əː s ɑː ʁ ɑ q
isiginnaartartut	i s ɪ ɣ ɪ n n əʶː t t ə t t ʉ t
isiginnaartitsisarfik	i s ɪ ɣ ɪ n n əʶː t t͡s ɪ t t͡s ɪ s ə f f ɪ k
isiginnaartitsisartoq	i s ɪ ɣ ɪ n n əʶː t t͡s ɪ t t͡s ɪ s ə t t ɔ q
isiginnaartitsivoq	i s ɪ ɣ ɪ n n əʶː t t͡s ɪ t t͡s ɪ v ɔ q
isikku	i s ɪ k k ʊ
isissutissaq	i s ɪ s s ʉ t͡s ɪ s s ɑ q
issiavik	i s s ɪ ə v ɪ k
issiavoq	i s s ɪ ə v ɔ q
issingigassaat	i s s ɪ ŋ ɪ ɣ ə s s əː t
issulipoq	i s s ʉ l y p ɔ q
issuusaq	i s s ʉː s ɑ q
isuma	i s ʊ m ə
isumaappoq	i s ʊ m əː p p ɔ q
isumagissaarpoq	i s ʊ m ə ɣ ɪ s s əʶː p p ɔ q
isumaliorpoq	i s ʊ m ə l ɪ ɔ p p ɔ q
isumaluppoq	i s ʊ m ə l ʊ p p ɔ q
isumaqarpoq	i s ʊ m ɑ q ə p p ɔ q
isumaqatiginninniarpoq	i s ʊ m ɑ q ə t͡s ɪ ɣ ɪ n n ɪ n n ɪ ə p p ɔ q
isumavoq	i s ʊ m ə v ɔ q
isunngarujussuaq	i s ʊ ŋ ŋ ɑ ʁ ʊ j ʊ s s ʊ ɑ q
italiamiu	i t ə l ɪ ə m ɪ ʊ
iteq	i t ɜ q
itigarpoq	i t͡s ɪ ɣ ə p p ɔ q
itigartippaa	i t͡s ɪ ɣ ə t t͡s y p p əː
ivigaq	i v ɪ ɣ ɑ q
japanimiutut	j ə p ə n y m ɪ ʊ t ʉ t
kaagi	k əː ɣ ɪ
kaak	k əː k
kaasarfik	k əː s ə f f ɪ k
kajorpoq	k ə j ɔ p p ɔ q
kakkik	k ə k k ɪ k
kakkiviaq	k ə k k ɪ v ɪ ɑ q
kakku	k ə k k ʊ
kakkua	k ə k k ʊ ə
kalaaleq	k ə l əː l ɜ q
kalaalimernit	k ə l əː l y m ɜ n n ɪ t
kalaallisut	k ə l əː ɬ ɬ ɪ s ʉ t
kamaginnittoq	k ə m ə ɣ ɪ n n ɪ t t ɔ q
kamappoq	k ə m ə p p ɔ q
kanajoq	k ə n ə j ɔ q
kangoq	k ə ŋ ɔ q
kanngorooq	k ə ŋ ŋ ɔ ʁ ɔː q
kanngussak	k ə ŋ ŋ ʊ s s ə k
kapitali	k ə p ɪ t ə l ɪ
kartoffeli	k ə t t ɔ f f ɜ l ɪ
katersugaasivik	k ə t ɜ s s ʊ ɣ əː s ɪ v ɪ k
katersuuppoq	k ə t ɜ s s ʊː p p ɔ q
katillugit	k ə t͡s ɪ ɬ ɬ ʊ ɣ ɪ t
kiak	k ɪ ə k
kiappoq	k ɪ ə p p ɔ q
kiassuseq	k ɪ ə s s ʉ s ɜ q
kiffaq	k ɪ f f ɑ q
kigut	k ɪ ɣ ʊ t
kiinaaleeraq	k ɪː n əː l ɜː ʁ ɑ q
kiinamiu	k ɪː n ə m ɪ ʊ
kiisalu	k ɪː s ə l ʊ
killeq	k ɪ ɬ ɬ ɜ q
killilerpaa	k ɪ ɬ ɬ ɪ l ɜ p p əː
kina	k ɪ n ə
kinamiutut	k ɪ n ə m ɪ ʊ t ʉ t
kinguaaq	k ɪ ŋ ʊ ɑː q
kinguaassiuutit	k ɪ ŋ ʊ əː s s ɪ ʊː t͡s ɪ t
kingullerpaaq	k ɪ ŋ ʊ ɬ ɬ ɜ p p ɑː q
kinguneq	k ɪ ŋ ʊ n ɜ q
kinguporsorpoq	k ɪ ŋ ʊ p ɔ s s ɔ p p ɔ q
kipivaa	k y p ɪ v əː
kisianni	k ɪ s ɪ ə n n ɪ
kisitsineq	k ɪ s ɪ t t͡s ɪ n ɜ q
kisitsit	k ɪ s ɪ t t͡s ɪ t
kissaviarsuk	k ɪ s s ə v ɪ ə s s ʊ k
kissavik	k ɪ s s ə v ɪ k
klaveri	k l ə v ɜ ʁ ɪ
koruuni	k ɔ ʁ ʊː n ɪ
kujalleq	k ʊ j ə ɬ ɬ ɜ q
kukkukooq	k ʊ k k ʊ k ɔː q
kukkukuuaraq	k ʊ k k ʊ k ʊː ɑ ʁ ɑ q
kukkuvoq	k ʊ k k ʊʷ ɔ q
kunik	k ʊ n ɪ k
kunippaa	k ʊ n y p p əː
kunissivoq	k ʊ n ɪ s s ɪ v ɔ q
kunngeqarfik	k ʊ ŋ ŋ ɜ q ə f f ɪ k
kunngi	k ʊ ŋ ŋ ɪ
kuuk	k ʊː k
kuukkooriaasarsuaq	k ʊː k k ɔː ʁ ɪ əː s ə s s ʊ ɑ q
kuukkooriarsuaq	k ʊː k k ɔː ʁ ɪ ə s s ʊ ɑ q
kuulti	k ʊː l t͡s ɪ
latinerisut	l ə t͡s ɪ n ɜ ʁ ɪ s ʉ t
maajooq	m əː j ɔː q
maanna	m əː n n ə
maannakkut	m əː n n ə k k ʊ t
makku	m ə k k ʊ
malamuk	m ə l ə m ʊ k
maliarsuk	m ə l ɪ ə s s ʊ k
malillugu	m ə l ɪ ɬ ɬ ʊ ɣ ʊ
malugaa	m ə l ʊ ɣ əː
mannik	m ə n n ɪ k
marserpaa	m ə s s ɜ p p əː
marserpoq	m ə s s ɜ p p ɔ q
martsi	m ə t t t͡s ɪ
matu	m ə t ʊ
matuerpaa	m ə t ʊ ɜ p p əː
matuersaaserfik	m ə t ʊ ɜ s s əː s ɜ f f ɪ k
matuersaat	m ə t ʊ ɜ s s əː t
matuma	m ə t ʊ m ə
matumuuna	m ə t ʊ m ʊː n ə
meeqqerivik	m ɜː q q ɜ ʁ ɪ v ɪ k
meeqqerivoq	m ɜː q q ɜ ʁ ɪ v ɔ q
meqqut	m ɜ q q ʊ t
mianeraa	m ɪ ə n ɜ ʁ əː
mianersoqquaa	m ɪ ə n ɜ s s ɔ q q ʊ əː
mianersorpoq	m ɪ ə n ɜ s s ɔ p p ɔ q
mikisoq	m ɪ k ɪ s ɔ q
mikivoq	m ɪ k ɪ v ɔ q
milippaa	m ɪ l y p p əː
milippoq	m ɪ l y p p ɔ q
millivaa	m ɪ ɬ ɬ ɪ v əː
millivoq	m ɪ ɬ ɬ ɪ v ɔ q
milluaasartut	m ɪ ɬ ɬ ʊ əː s ə t t ʉ t
miloriuppaa	m ɪ l ɔ ʁ ɪ ʊ p p əː
miluumasoq	m ɪ l ʊː m ə s ɔ q
ministeriuneq	m ɪ n ɪ s t ɜ ʁ ɪ ʊ n ɜ q
mippoq	m y p p ɔ q
misilitsinneq	m ɪ s ɪ l ɪ t t͡s ɪ n n ɜ q
misissorpaa	m ɪ s ɪ s s ɔ p p əː
mitiusat	m ɪ t͡s ɪ ʊ s ə t
musaq	m ʊ s ɑ q
naagga	n əː x x ə
naaja	n əː j ə
naajaaq	n əː j ɑː q
naajavaaq	n əː j ə v ɑː q
naajavaarsuk	n əː j ə v əʶː s s ʊ k
naalagaq	n əː l ə ɣ ɑ q
naalakkerpaa	n əː l ə k k ɜ p p əː
naalakkersorpaa	n əː l ə k k ɜ s s ɔ p p əː
naalakkersueriaaseq	n əː l ə k k ɜ s s ʊ ɜ ʁ ɪ əː s ɜ q
naalakkersuisoq	n əː l ə k k ɜ s s ʊ ɪ s ɔ q
naalakkersuivoq	n əː l ə k k ɜ s s ʊ ɪ v ɔ q
naalliuut	n əː ɬ ɬ ɪ ʊː t
naalliuutigaa	n əː ɬ ɬ ɪ ʊː t͡s ɪ ɣ əː
naamik	n əː m ɪ k
naamivik	n əː m ɪ v ɪ k
naappoq	n əː p p ɔ q
naartu	n əʶː t t ʊ
naartuvoq	n əʶː t t ʊʷ ɔ q
naasoq	n əː s ɔ q
naassuseq	n əː s s ʉ s ɜ q
naatsiiaq	n əː t t͡s ɪː ɑ q
naatsiiat	n əː t t͡s ɪː ə t
naatsiivik	n əː t t͡s ɪː v ɪ k
naatsorsuineq	n əː t t͡s ɔ s s ʊ ɪ n ɜ q
naatsorsuivoq	n əː t t͡s ɔ s s ʊ ɪ v ɔ q
naggat	n ə x̟ x̟ ə t
naja	n ə j ə
nakimavoq	n ə k y m ə v ɔ q
nakimmappoq	n ə k y m m ə p p ɔ q
nakkuppaa	n ə k k ʊ p p əː
nakkutilliineq	n ə k k ʊ t͡s ɪ ɬ ɬ ɪː n ɜ q
nakorsaat	n ə k ɔ s s əː t
nakorsaq	n ə k ɔ s s ɑ q
nakuvoq	n ə k ʊʷ ɔ q
naleqqiuppoq	n ə l ɜ q q ɪ ʊ p p ɔ q
naleqqiussineq	n ə l ɜ q q ɪ ʊ s s ɪ n ɜ q
naliliineq	n ə l ɪ l ɪː n ɜ q
nalinginnaq	n ə l ɪ ŋ ɪ n n ɑ q
nallersuuppoq	n ə ɬ ɬ ɜ s s ʊː p p ɔ q
nalunaaqut	n ə l ʉ n ɑː q ʊ t
nalunaaqutaq	n ə l ʉ n ɑː q ʊ t ɑ q
nalunaaqutserpaa	n ə l ʉ n ɑː q ʊ t t͡s ɜ p p əː
nalunaqaaq	n ə l ʉ n ɑ q ɑː q
nalunarpoq	n ə l ʉ n ə p p ɔ q
naluvoq	n ə l ʊʷ ɔ q
nammineq	n ə m m ɪ n ɜ q
nanoq	n a n o q ~ n a n ɔ q
nappaassuaq	n ə p p əː s s ʊ ɑ q
nappaat	n ə p p əː t
nappaatipiluk	n ə p p əː t͡s y p ɪ l ʊ k
nappaq	n ə p p ɑ q
napparpaa	n ə p p ə p p əː
napparpoq	n ə p p ə p p ɔ q
napparsimmavik	n ə p p ə s s y m m ə v ɪ k
naqinneq	n ɑ q ɪ n n ɜ q
naqippaa	n ɑ q y p p əː
naqiterivoq	n ɑ q ɪ t ɜ ʁ ɪ v ɔ q
naqiterpaa	n ɑ q ɪ t ɜ p p əː
naqitigaaraq	n ɑ q ɪ t͡s ɪ ɣ ɑː ʁ ɑ q
naqitigaq	n ɑ q ɪ t͡s ɪ ɣ ɑ q
naqitsineq	n ɑ q ɪ t t͡s ɪ n ɜ q
naqitsivoq	n ɑ q ɪ t t͡s ɪ v ɔ q
narlorpoq	n ə ɬ ɬ ɔ p p ɔ q
narlumukaaq	n ə ɬ ɬ ʊ m ʊ k ɑː q
narlusooq	n ə ɬ ɬ ʊ s ɔː q
narsaq	n ə s s ɑ q
nasaq	n ə s ɑ q
nassaaq	n ə s s ɑː q
nassaaraa	n ə s s ɑː ʁ əː
nassuk	n ə s s ʊ k
nataaq	n ə t ɑː q
nateq	n ə t ɜ q
natsit	n ə t t͡s ɪ t
nattoralik	n ə t t ɔ ʁ ə l ɪ k
nattoraliusaq	n ə t t ɔ ʁ ə l ɪ ʊ s ɑ q
neqi	n ɜ q ɪ
neqissaq	n ɜ q ɪ s s ɑ q
neqituumasoq	n ɜ q ɪ t ʊː m ə s ɔ q
nerivaa	n ɜ ʁ ɪ v əː
nerivoq	n ɜ ʁ ɪ v ɔ q
nerleq	n ɜ ɬ ɬ ɜ q
nerrivik	n ɜ χ χ ɪ v ɪ k
niisa	n ɪː s ə
nilak	n ɪ l ə k
nilattarpoq	n ɪ l ə t t ə p p ɔ q
nillerpoq	n ɪ ɬ ɬ ɜ p p ɔ q
nimeq	n y m ɜ q
nimeriaq	n y m ɜ ʁ ɪ ɑ q
nimeriarluk	n y m ɜ ʁ ɪ ə ɬ ɬ ʊ k
nimissiaq	n y m ɪ s s ɪ ɑ q
nipaappoq	n y p əː p p ɔ q
nipersuaq	n y p ɜ s s ʊ ɑ q
niperujoorpoq	n y p ɜ ʁ ʊ j ɔʶː p p ɔ q
nipi	n y p ɪ
nipilersoqatigiissuit	n y p ɪ l ɜ s s ɔ q ə t͡s ɪ ɣ ɪː s s ʊ ɪ t
nipilersorpoq	n y p ɪ l ɜ s s ɔ p p ɔ q
nipilersortartoq	n y p ɪ l ɜ s s ɔ t t ə t t ɔ q
nipilersortartut	n y p ɪ l ɜ s s ɔ t t ə t t ʉ t
nipiliuut	n y p ɪ l ɪ ʊː t
nittaalaq	n ɪ t t əː l ɑ q
niu	n ɪ ʊ
niuerneq	n ɪ ʊ ɜ n n ɜ q
niuerpoq	n ɪ ʊ ɜ p p ɔ q
niulu	n ɪ ʊ l ʊ
niviarsiaq	n ɪ v ɪ ə s s ɪ ɑ q
niviarsiaraq	n ɪ v ɪ ə s s ɪ ɑ ʁ ɑ q
normu	n ɔ m m ʊ
norskeq	n ɔ s s k ɜ q
nuak	n ʊ ə k
nuakoorfik	n ʊ ə k ɔʶː f f ɪ k
nualluk	n ʊ ə ɬ ɬ ʊ k
nuannaarpoq	n ʊ ə n n əʶː p p ɔ q
nuannaraa	n ʊ ə n n ɑ ʁ əː
nuannarineqartoq	n ʊ ə n n ɑ ʁ ɪ n ɜ q ə t t ɔ q
nuannarinnittoq	n ʊ ə n n ɑ ʁ ɪ n n ɪ t t ɔ q
nuannerpoq	n ʊ ə n n ɜ p p ɔ q
nuappaa	n ʊ ə p p əː
nuappoq	n ʊ ə p p ɔ q
nuffarliorpoq	n ʊ f f ə ɬ ɬ ɪ ɔ p p ɔ q
nuiaq	n ʊ ɪ ɑ q
nuiavoq	n ʊ ɪ ə v ɔ q
nuivoq	n ʊ ɪ v ɔ q
nuka	n ʊ k ə
nukarleq	n ʊ k ə ɬ ɬ ɜ q
nummerplade	n ʊ m m ɜ p p l ə t ɜ
nuna	n ʉ n ə
nunaat	n ʉ n əː t
nunalerineq	n ʉ n ə l ɜ ʁ ɪ n ɜ q
nunarput	n ʉ n ə p p ʊ t
nunarsuaq	n ʉ n ə s s ʊ ɑ q
nunasarneq	n ʉ n ə s ə n n ɜ q
nunasiaq	n ʉ n ə s ɪ ɑ q
nunasiaqarneq	n ʉ n ə s ɪ ɑ q ə n n ɜ q
nunataq	n ʉ n ə t ɑ q
nunavik	n ʉ n ə v ɪ k
nutaaq	n ʉ t ɑː q
nutaarsiassat	n ʉ t əʶː s s ɪ ə s s ə t
nutserisoq	n ʉ t t͡s ɜ ʁ ɪ s ɔ q
nutserivoq	n ʉ t t͡s ɜ ʁ ɪ v ɔ q
nutsigaq	n ʉ t t͡s ɪ ɣ ɑ q
oqaasaq	ɔ q əː s ɑ q
oqaaseeraq	ɔ q əː s ɜː ʁ ɑ q
oqaaseq	ɔ q əː s ɜ q
oqaaseqarneq	ɔ q əː s ɜ q ə n n ɜ q
oqaasersiaq	ɔ q əː s ɜ s s ɪ ɑ q
oqaatigaa	ɔ q əː t͡s ɪ ɣ əː
oqaatigiumasaq	ɔ q əː t͡s ɪ ɣ ɪ ʊ m ə s ɑ q
oqaatsit	ɔ q əː t t͡s ɪ t
oqaatsoq	ɔ q əː t t͡s ɔ q
oqallinneq	ɔ q ə ɬ ɬ ɪ n n ɜ q
oqallipput	ɔ q ə ɬ ɬ y p p ʊ t
oqaluffik	ɔ q ə l ʊ f f ɪ k
oqaluinnamiut	ɔ q ə l ʊ ɪ n n ə m ɪ ʊ t
oqaluppoq	ɔ q ə l ʊ p p ɔ q
oqaluttuaq	ɔ q ə l ʉ t t ʊ ɑ q
oqaluttuarpoq	ɔ q ə l ʉ t t ʊ ə p p ɔ q
oqaluttuassartaq	ɔ q ə l ʉ t t ʊ ə s s ə t t ɑ q
oqaluut	ɔ q ə l ʉː t
oqaq	ɔ q ɑ q
oqarfigaa	ɔ q ə f f ɪ ɣ əː
oqarpoq	ɔ q ə p p ɔ q
oqorutit	ɔ q ɔ ʁ ʊ t͡s ɪ t
ordbogi	ɔ ʁ t p ɔ ɣ ɪ
orpigaq	ɔ p p ɪ ɣ ɑ q
orpik	ɔ p p ɪ k
orpikkat	ɔ p p ɪ k k ə t
orpimmiutaq	ɔ p p y m m ɪ ʊ t ɑ q
orpimmiutarsuaq	ɔ p p y m m ɪ ʊ t ə s s ʊ ɑ q
orpippalik	ɔ p p y p p ə l ɪ k
orpippassuit	ɔ p p y p p ə s s ʊ ɪ t
orsoq	ɔ s s ɔ q
orsussaq	ɔ s s ʉ s s ɑ q
paannaaq	p əː n n ɑː q
paaq	p ɑː q
paarnaq	p əʶː n n ɑ q
paarnaqulluk	p əʶː n n ɑ q ʊ ɬ ɬ ʊ k
paasissaalluanngilaq	p əː s ɪ s s əː ɬ ɬ ʊ ə ŋ ŋ ɪ l ɑ q
paasivaa	p əː s ɪ v əː
pana	p ə n ə
panaanneq	p ə n əː n n ɜ q
panaasalik	p ə n əː s ə l ɪ k
panteri	p ə n t ɜ ʁ ɪ
pasillerpaa	p ə s ɪ ɬ ɬ ɜ p p əː
pasivaa	p ə s ɪ v əː
pattalaarpaa	p ə t t ə l əʶː p p əː
peqarpoq	p ɜ q ə p p ɔ q
peqqiippoq	p ɜ q q yː p p ɔ q
peqqinneq	p ɜ q q ɪ n n ɜ q
peqqippoq	p ɜ q q y p p ɔ q
peqqissaasoq	p ɜ q q ɪ s s əː s ɔ q
periarfissippaa	p ɜ ʁ ɪ ə f f ɪ s s y p p əː
persuaq	p ɜ s s ʊ ɑ q
piffik	p ɪ f f ɪ k
piffissaq	p ɪ f f ɪ s s ɑ q
pigaa	p ɪ ɣ əː
pikoorfik	p ɪ k ɔʶː f f ɪ k
pilerpoq	p ɪ l ɜ p p ɔ q
pilikki	p ɪ l ɪ k k ɪ
pilikkiusaq	p ɪ l ɪ k k ɪ ʊ s ɑ q
pilluarit	p ɪ ɬ ɬ ʊ ɑ ʁ ɪ t
pilluaritsi	p ɪ ɬ ɬ ʊ ɑ ʁ ɪ t t͡s ɪ
pilluarpoq	p ɪ ɬ ɬ ʊ ə p p ɔ q
pillugu	p ɪ ɬ ɬ ʊ ɣ ʊ
piloqut	p ɪ l ɔ q ʊ t
pilorsuit	p ɪ l ɔ s s ʊ ɪ t
pilu	p ɪ l ʊ
pineqartoq	p ɪ n ɜ q ə t t ɔ q
pingaarpoq	p ɪ ŋ əʶː p p ɔ q
pingaartumik	p ɪ ŋ əʶː t t ʊ m ɪ k
pingu	p ɪ ŋ ʊ
pingujak	p ɪ ŋ ʊ j ə k
pinngoqqaat	p ɪ ŋ ŋ ɔ q q əː t
pinnguarpoq	p ɪ ŋ ŋ ʊ ə p p ɔ q
pisiniarfik	p ɪ s ɪ n ɪ ə f f ɪ k
pisooq	p ɪ s ɔː q
pisoq	p ɪ s ɔ q
pisortaaneq	p ɪ s ɔ t t əː n ɜ q
pissuseq	p ɪ s s ʉ s ɜ q
pissusilerissut	p ɪ s s ʉ s ɪ l ɜ ʁ ɪ s s ʉ t
pissusissamisoorpoq	p ɪ s s ʉ s ɪ s s ə m ɪ s ɔʶː p p ɔ q
pissusissamisoortoq	p ɪ s s ʉ s ɪ s s ə m ɪ s ɔʶː t t ɔ q
pissut	p ɪ s s ʉ t
pissutaaqataavoq	p ɪ s s ʉ t ɑː q ə t əː v ɔ q
pissuteqarluarluni	p ɪ s s ʉ t ɜ q ə ɬ ɬ ʊ ə ɬ ɬ ʊ n ɪ
pissutigalugu	p ɪ s s ʉ t͡s ɪ ɣ ə l ʊ ɣ ʊ
pisuppoq	p ɪ s ʊ p p ɔ q
pisuujuvoq	p ɪ s ʊː j ʊʷ ɔ q
piumassuseq	p ɪ ʊ m ə s s ʉ s ɜ q
piumavoq	p ɪ ʊ m ə v ɔ q
poorski	p ɔʶː s s k ɪ
portusooq	p ɔ t t ʉ s ɔː q
portuvoq	p ɔ t t ʊʷ ɔ q
programmiliortoq	p ʁ ɔ ɣ ʁ ə m m ɪ l ɪ ɔ t t ɔ q
pualasooq	p ʊ ə l ə s ɔː q
pualavoq	p ʊ ə l ə v ɔ q
pujortaat	p ʊ j ɔ t t əː t
pulaarpoq	p ʊ l əʶː p p ɔ q
pulateriaarsuk	p ʊ l ə t ɜ ʁ ɪ əʶː s s ʊ k
punneq	p ʊ n n ɜ q
pupik	p ʊ p ɪ k
pupissoq	p ʊ p ɪ s s ɔ q
pupiutaajaat	p ʊ p ɪ ʊ t əː j əː t
putooruttoq	p ʊ t ɔː ʁ ʊ t t ɔ q
putu	p ʊ t ʊ
putugoq	p ʊ t ʊ ɣ ɔ q
puutinngi	p ʊː t͡s ɪ ŋ ŋ ɪ
qaamaneq	q əː m ə n ɜ q
qaamasoq	q əː m ə s ɔ q
qaamavoq	q əː m ə v ɔ q
qaammaliaq	q əː m m ə l ɪ ɑ q
qaammat	q əː m m ə t
qaammataasaq	q əː m m ə t əː s ɑ q
qaammatisiutit	q əː m m ə t͡s ɪ s ɪ ʊ t͡s ɪ t
qaarpoq	q əʶː p p ɔ q
qaartartoq	q əʶː t t ə t t ɔ q
qaffatarneq	q ə f f ə t ə n n ɜ q
qajaq	q ə j ɑ q
qajoq	q ə j ɔ q
qallunaaq	q ə ɬ ɬ ʊ n ɑː q
qallunaatut	q ə ɬ ɬ ʊ n əː t ʉ t
qanga	q ə ŋ ə
qanganisaq	q ə ŋ ə n ɪ s ɑ q
qangatavoq	q ə ŋ ə t ə v ɔ q
qanik	q ə n ɪ k
qanittukkut	q ə n ɪ t t ʊ k k ʊ t
qannerpoq	q ə n n ɜ p p ɔ q
qanoq	q ə n ɔ q
qaqorpoq	q ɑ q ɔ p p ɔ q
qaqorteqqasut	q ɑ q ɔ t t ɜ q q ə s ʉ t
qaqqaq	q ɑ q q ɑ q
qaqugu	q ɑ q ʊ ɣ ʊ
qaqulluk	q ɑ q ʊ ɬ ɬ ʊ k
qaqullunnaq	q ɑ q ʊ ɬ ɬ ʊ n n ɑ q
qarasaasiaq	q ɑ ʁ ə s əː s ɪ ɑ q
qarasaq	q ɑ ʁ ə s ɑ q
qaratserfik	q ɑ ʁ ə t t͡s ɜ f f ɪ k
qarluutitoornaq	q ə ɬ ɬ ʊː t͡s ɪ t ɔʶː n n ɑ q
qarluutitoorsuaq	q ə ɬ ɬ ʊː t͡s ɪ t ɔʶː s s ʊ ɑ q
qarmaasoq	q ə m m əː s ɔ q
qarsaaq	q ə s s ɑː q
qarsoq	q ə s s ɔ q
qarsulivik	q ə s s ʉ l ɪ v ɪ k
qaserpoq	q ə s ɜ p p ɔ q
qasilitsut	q ə s ɪ l ɪ t t͡s ʉ t
qasseersiut	q ə s s ɜʶː s s ɪ ʊ t
qassit	q ə s s ɪ t
qasunarpoq	q ə s ʉ n ə p p ɔ q
qasuvoq	q ə s ʊʷ ɔ q
qatanngutigaa	q ə t ə ŋ ŋ ʊ t͡s ɪ ɣ əː
qeeraasaq	q ɜː ʁ əː s ɑ q
qeqertaq	q ɜ q ɜ t t ɑ q
qeriiak	q ɜ ʁ ɪː ə k
qeriiaq	q ɜ ʁ ɪː ɑ q
qernerpoq	q ɜ n n ɜ p p ɔ q
qiiaq	q ɪː ɑ q
qiiavoq	q ɪː ə v ɔ q
qilerneq	q ɪ l ɜ n n ɜ q
qilernerusaq	q ɪ l ɜ n n ɜ ʁ ʊ s ɑ q
qilerpaa	q ɪ l ɜ p p əː
qillerut	q ɪ ɬ ɬ ɜ ʁ ʊ t
qimaasoq	q y m əː s ɔ q
qimaavoq	q y m əː v ɔ q
qimeriaq	q y m ɜ ʁ ɪ ɑ q
qimmiaraq	q y m m ɪ ɑ ʁ ɑ q
qimuttuarsuk	q y m ʊ t t ʊ ə s s ʊ k
qimuttuarsuusannguaq	q y m ʊ t t ʊ ə s s ʉː s ə ŋ ŋ ʊ ɑ q
qimuttuitsut	q y m ʊ t t ʊ ɪ t t͡s ʉ t
qinersineq	q ɪ n ɜ s s ɪ n ɜ q
qingakkoorpaluk	q ɪ ŋ ə k k ɔʶː p p ə l ʊ k
qingakkoorpoq	q ɪ ŋ ə k k ɔʶː p p ɔ q
qingalissuaq	q ɪ ŋ ə l ɪ s s ʊ ɑ q
qinngorpoq	q ɪ ŋ ŋ ɔ p p ɔ q
qinnut	q ɪ n n ʉ t
qipoqqarpoq	q y p ɔ q q ə p p ɔ q
qiteq	q ɪ t ɜ q
qitsuk	q ɪ t t͡s ʊ k
qooroq	q ɔː ʁ ɔ q
qoqassivaa	q ɔ q ə s s ɪ v əː
qorsorpaluppoq	q ɔ s s ɔ p p ə l ʊ p p ɔ q
quiasaarneq	q ʊ ɪ ə s əʶː n n ɜ q
quiasaarpoq	q ʊ ɪ ə s əʶː p p ɔ q
quiasaartartoq	q ʊ ɪ ə s əʶː t t ə t t ɔ q
quiasaarut	q ʊ ɪ ə s ɑː ʁ ʊ t
quiasuppoq	q ʊ ɪ ə s ʊ p p ɔ q
qujaaannarpunga	q ʊ j əː ə n n ə p p ʊ ŋ ə
qujanaq	q ʊ j ə n ɑ q
qujanarsuaq	q ʊ j ə n ə s s ʊ ɑ q
qujanarujussuaq	q ʊ j ə n ɑ ʁ ʊ j ʊ s s ʊ ɑ q
qulaaluat	q ʊ l əː l ʊ ə t
qulaappaa	q ʊ l əː p p əː
qulisimavoq	q ʊ l ɪ s y m ə v ɔ q
qulleq	q ʊ ɬ ɬ ɜ q
qungaseq	q ʊ ŋ ə s ɜ q
qussuk	q ʊ s s ʊ k
raajaleriffik	ʁ əː j ə l ɜ ʁ ɪ f f ɪ k
raajaqarfik	ʁ əː j ɑ q ə f f ɪ k
raajarniarneq	ʁ əː j ə n n ɪ ə n n ɜ q
raajarniut	ʁ əː j ə n n ɪ ʊ t
raajarpoq	ʁ əː j ə p p ɔ q
rabarberi	ʁ ə p ɑ ʁ p ɜ ʁ ɪ
republikki	ʁ ɜ p ʊ p l ɪ k k ɪ
russeq	ʁ ʊ s s ɜ q
russisut	ʁ ʊ s s ɪ s ʉ t
ruusa	ʁ ʊː s ə
saamerleq	s əː m ɜ ɬ ɬ ɜ q
saamisut	s əː m ɪ s ʉ t
saarullik	s ɑː ʁ ʊ ɬ ɬ ɪ k
sajunneq	s ə j ʊ n n ɜ q
