ab	ɑ b
bənək	b æ n æ j
bənək	b æ n æ ç
bəniz	b æ n i z
bəniz	b æ ŋ i z
bənna	b æ nː ɑ
bənövşə	b æ n œ v ʃ æ
bənövşəyi	b æ n œ v ʃ æ j i
bənzər	b æ n z æ r
bənzərsiz	b æ n z æ r s i z
bərabərləşmək	b æ ɾ ɑː b æ ɾ l æ ʃ m æ c
bərabərlik	b æ ɾ ɑː b æ ɾ l i c
bəraət	b æ ɾ ɑː æ t
bərbad	b æ r b ɑ d
bərbər	b æ r b æ ɾ
bərbərxana	b æ ɾ b æ ɾ x ɑ n ɑ
Bərdə	b æ ɾ d æ
bərə	b æ ɾ æ
bərəkallah	b æ r æ c ɑ ɫː ɑ h
bərəkallah	b æ r æ t ʃ ɑ nː ɑ h
bərəkət	b æ r æ c æ t
bərəkət	b æ r æ t͡ʃ æ t
bəri	b æ ɾ i
bərk	b æ r c
bərkdən	b æ r c d æ n
bərkitmək	b æ r c i t m æ c
bərklikölçən	b æ ɾ c l i j œ l t͡ʃ æ n
bərklikölçən	b æ ɾ c l i j œ l t͡s æ n
bərq	b æ ɾ ɡ
bərnamə	b æ ɾ nː ɑ m æ
bərpa	b æ r p ɑ
bəs	b æ s
bəsit	b æ s i t
bəsləmək	b æ s l æ m æ c
bəsləmək	b æ s d æ m æ c
bəstə	b æ s t æ
bəstə	b æ s d æ
bəstəkar	b æ s t æ c ɑ ɾ
bəstəkar	b æ s d æ c ɑ ɾ
bəstələmək	b æ s t æ l æ m æ c
bəstələmək	b æ s d æ l æ m æ c
bəşər	b æ ʃ æ r
bəşəriyyət	b æ ʃ æ ɾ i j æ t
Bəşir	b æ ʃ i ɾ
bəy	b æ j
Bəyan	b æ j ɑ n
bəyannamə	b æ j ɑ nː ɑ m æ
bəyənmək	b æ j æ mː æ ç
bəyim	b æ j i m
bəz	b æ z
bəzək	b æ z æ ç
bəzəkli	b æ z æ c l i
bəzəkli	b æ z æ ç l i
bəzəmək	b æ z æ m æ c
bəzən	b æː z æ n
bəzən	b æ z æ n
bəzən	b æ z æ n
bəzənmək	b æ z æ n m æ c
bəzənmək	b æ z æ mː æ c
bəzgək	b æ z ɟ æ c
bəzi	b æ z i
bıçaq	b ɯ t͡ʃ ɑ x
bıçaq	p ɯ t͡ʃ ɑ x
bıçaq	p t͡ʃ ɑ x
bıçaq	p ɯ t͡s ɑ χ
bıçaq	p t͡s ɑ χ
bıçaqçı	b ɯ t͡ʃ ɑ x t͡ʃ ɯ
bıçaqçı	b ɯ t͡s ɑ x t͡s ɯ
bıçaqlamaq	b ɯ t͡ʃ ɑ x ɫ ɑ m ɑ x
bıçaqlamaq	b ɯ t͡s ɑ x ɫ ɑ m ɑ x
bıçaqlaşma	b ɯ t͡ʃ ɑ x ɫ ɑ ʃ m ɑ
bıçaqlaşma	b ɯ t͡s ɑ x ɫ ɑ ʃ m ɑ
bıçaqlaşmaq	b ɯ t͡ʃ ɑ x ɫ ɑ ʃ m ɑ x
bıçaqlaşmaq	b ɯ t͡s ɑ x ɫ ɑ ʃ m ɑ x
bıy	b ɯ j
biabır	b i j ɑː b ɯ ɾ
biabırçı	b i j ɑː b ɯ ɾ t͡ʃ ɯ
biabırçı	b i j ɑː b ɯ ɾ t͡s ɯ
biabırçılıq	b i j ɑː b ɯ ɾ t͡ʃ ɯ ɫ ɯ x
biabırçılıq	b i j ɑː b ɯ ɾ t͡s ɯ ɫ ɯ x
bibər	b i b æ ɾ
bibi	b i b i
bibiqızı	b i b i ɡ ɯ z ɯ
bibiqızı	b i b ɡ ɯ z ɯ
bibioğlu	b i b i o ɣ ɫ u
bibioğlu	b i b o ɣ ɫ u
bic	b i d͡ʒ
bic	b i d͡z
biclik	b i d͡ʒ l i c
biclik	b i d͡z l i c
biclik	b i ʒ d i c
biçarə	b i t͡ʃ ɑː ɾ æ
biçarə	b i t͡s ɑː ɾ æ
biçin	b i t͡ʃ i n
biçin	b i t͡s i n
bidayət	b i d ɑː j æ t
biganə	b i ɟ ɑː n æ
bihuş	b iː h u ʃ
bihuşluq	b iː h u ʃ ɫ u x
bihuşluq	b iː h u ʃ d u x
biqeyrət	b iː ɡ e j r æ t
Bilal	b i ɫ ɑ ɫ
bilavasitə	b i ɫ ɑ v ɑː s i t æ
bilavasitə	b i ɫ ɑ v ɑː s t æ
bilavasitə	b i ɫ ɑ v ɑː s d æ
bildir	b i l d i ɾ
bildirçin	b i l d i r t͡ʃ i n
bildirçin	b ɯ ɫ d ɯ r t͡ʃ ɯ n
bildiriş	b i l d i ɾ i ʃ
bildirmək	b i l d i ɾ m æ c
bilet	b i l e t
bilək	b i l æ c
bilərzik	b i l æ ɾ z i c
Biləsuvar	b i l æ s u v ɑ ɾ
bilgi	b i l ɟ i
bilgisayar	b i l ɟ i s ɑ j ɑ ɾ
bilici	b i l i d͡ʒ i
bilici	b i l i d͡z i
bilik	b i l i c
bilik	b i l i j
bilik	b i l i ç
bilim	b i l i m
bilinmək	b i l i mː æ c
biliş	b i l i ʃ
bilmək	b i l m æ c
bilmək	b i l m e j
bilmək	b i l m ɑ χ
bilmək	b y l m ɑ χ
bina	b i n ɑ
binamus	b i n ɑː m u s
binəzir	b iː n æ z i ɾ
biologiya	b i j o ɫ o ɟ i j a
biologiya	b i j ɑ ɫ o ɟ i j a
bioloji	b i j o ɫ o ʒ i
bioloji	b i j o ɫ o ʒ ɯ
bioloji	b i j ɑ ɫ o ʒ ɯ
bir	b i r
birbaşa	b i ɾ b ɑ ʃ ɑ
bircə	b i r d͡ʒ æ
bircə	b i r d͡z æ
birçək	b i r t͡ʃ æ c
birçək	b i r t͡s æ t͡ʃ
birdən	b i r d æ n
birər	b i ɾ æ ɾ
birgə	b i r ɟ æ
birhədli	b i ɾ h æ d l i
birinci	b i r i n d͡ʒ i
birinci	b i r i n d͡z i
birinci	b i r i m d͡z i
birisigün	b i r i s i ɟ y n
birisigün	b y r s y ɟ y n
birləşdirici	b i ɾ l æ ʃ d i ɾ i d͡ʒ i
birləşdirici	b i rː æ ʃ d i ɾ i d͡ʒ i
birləşdirmək	b i r l æ ʃ d i r m æ c
birləşdirmək	b i rː æ ʃ d i r m æ ç
birləşdirmək	b i r l æ ʃ d i r m æ j
birləşdirmək	b i rː æ ʃ d i r m æ j
birləşmə	b i rː æ ʃ m æ
birləşmə	b i r l æ ʃ m æ
birləşmək	b i r l æ ʃ m æ c
birləşmək	b i rː æ ʃ m æ ç
birləşmək	b i r l æ ʃ m æ j
birləşmək	b i rː æ ʃ m æ j
birlik	b i r l i c
birlik	b i rː i ç
birlikdə	b i r l i c d æ
birlikdə	b i rː i ç d æ
birmənalı	b i ɾ m æː n a ɫ ɯ
birmənalılıq	b i ɾ m æː n a ɫ ɯ ɫ ɯ x
birtərəfli	b i r t æ r æ f l i
bişərəf	b i ʃ æ r æ f
bişinti	b i ʃ i n t i
bişirmək	p i ʃ i r m æ k
bişirmək	b i ʃ i r m æ k
bişirmək	p i ʃ i r m e j
bişirmək	p i ʃ i r m ɑ χ
bişməcə	b i ʃ m æ d͡ʒ æ
bişməcə	b i ʃ m æ d͡z æ
bişməcə	p i ʃ m æ d͡ʒ æ
bişmək	p i ʃ m æ k
bişmək	b i ʃ m æ k
bişmək	p i ʃ m e j
bişmək	p i ʃ m ɑ χ
bitərəf	b iː t æ ɾ æ f
bitirmək	b i t i r m æ k
bitirmək	b i t i r m æ j
bitirmək	b i t i r m æ t͡ʃ
bitişik	b i t i ʃ i k
bitki	b i t ɟ i
bitki	b i t c i
bitmək	b i t m æ k
bitmək	b i t m æ j
bitmək	b i t m e j
bitmək	b i t m ɑ χ
biyabanlıq	b i j ɑ b ɑ n ɫ ɯ χ
biyabanlıq	b i j ɑ b ɑ nː ɯ χ
biyabanlıq	b i j ɑ v ɑ nː ɯ χ
bizik	b i z i c
bloklamaq	b ɫ o k ɫ ɑ m ɑ x
boğaz	b o ɣ ɑ z
boğmaq	b o ɣ m ɑ χ
boğulmaq	b o ɣ u ɫ m ɑ χ
bolqar	b o ɫ ɡ ɑ r
bolluq	b o ɫː u χ
bombalamaq	b o m b ɑ ɫ ɑ m ɑ x
borc	b o r d͡ʒ
borc	b o r d͡z
boru	b o r u
boru	b o r i
boş	b o ʃ
boşalmaq	b o ʃ ɑ ɫ m ɑ χ
boşanma	b o ʃ ɑ n m ɑ
boşanma	b o ʃ ɑ mː ɑ
boşanma	b o ʃ ɑ n m ɑ
boşanma	b o ʃ ɑ mː ɑ
boşanmaq	b o ʃ ɑ mː ɑ x
boşboğaz	b o ʃ b o ɣ ɑ z
boşqab	b o ʃ ɡ ɑ b
boşqab	b u ʃ ɣ a b
boşluq	b o ʃ d u x
boşluq	b o ʃ ɫ u x
boyaqotu	b o j ɑ ɣ o t u
boyalamaq	b o j ɑ ɫ ɑ m ɑ χ
boyamaq	b o j ɑ m ɑ χ
boyölçən	b o j œ l t͡ʃ æ n
boyölçən	b o j œ l t͡s æ n
boyun	b o j u n
boyunbağı	b o j u n b ɑ ɣ ɯ
boyunbağı	b o j u m b ɑ ɣ ɯ
boyunca	b o j u n d͡ʒ ɑ
boyunca	b o j u n d͡z ɑ
boyunduruq	b o j u n d u r u χ
bozbaş	b o z b ɑ ʃ
böhran	b œ h r ɑ n
bölən	b œ l æ n
bölmə	b œ l m æ
bölünən	b œ l y n æ n
börk	b œ r c
böyələk	b œ j æ l æ c
böyründə	b œ j r y n d æ
böyük	b œ j y c
böyümək	b œ j y m æ c
böyür	b œ j y r
böyürmək	b œ j y r m æ k
böyürmək	b œ j y r m æ ç
böyürmək	b œ j y r m æ j
böyürtkən	b œ j y r t c æ n
böyütmək	b œ j y t m æ k
braziliyalı	b ɾ ɑ z i l i j ɑ ɫ ɯ
bucaq	b u d͡ʒ ɑ x
bucaq	b u d͡z ɑ x
bucaqölçən	b u d͡ʒ ɑ ɣ œ l t͡ʃ æ n
bucaqölçən	b u d͡z ɑ ɣ œ l t͡s æ n
budaq	b u d ɑ χ
bugünkü	b u d͡ʒ y n t͡ʃ y
buğa	b u ɣ ɑ
Buğa	b u ɣ ɑ
buğur	b u ɣ u r
buğur	b ɯ ɣ ɯ r
buğur	b u ɣ u r
buğur	b ɯ ɣ ɯ r
buxaq	b u χ ɑ χ
buxur	b u x u r
bulaq	b u ɫ ɑ x
bulanıq	b u l ɑ n ɯ χ
bulanlıq	b u ɫ ɑ n ɫ ɯ χ
bulanlıq	b u ɫ ɑ nː ɯ χ
bulmaq	b u ɫ m ɑ χ
bunca	b u n d͡ʒ ɑ
bunca	b u n d͡z ɑ
burada	b u r ɑ d ɑ
buradan	b u r ɑ d ɑ n
buradan	b u r d ɑ n
buraxmaq	b u r ɑ χ m ɑ χ
buraxmaq	b r ɑ χ m ɑ χ
burda	b u ɾ d ɑ
burğac	b u r ɣ ɑ d͡ʒ
burğac	b u r ɣ ɑ d͡z
burmaq	b u r m ɑ χ
buruq	b u r u χ
burun	b u r u n
buruntaq	b u r u n t ɑ χ
butulka	b u t ɯ ɫ k a
butulka	p u t u l k a
butulka	p t u l k a
butulka	p u t ɯ l k a
butulka	p t ɯ l k a
buynuz	b u j n u z
buynuzvari	b u j n u z v ɑː r i
buyruq	b u j r u x
buyurmaq	b u j u r m ɑ χ
buyurtma	b u j u r t m ɑ
buyurtma	b u j u r t m ɑ
buyurtmaq	b u j u r t m ɑ x
buzlu	b u z ɫ u
buzluq	b u z d u x
buzluq	b u z ɫ u x
buzov	b u z o v
bükmək	b y k m æ k
bükmək	b y k m æ j
bükmək	b y t͡ʃ m æ t͡ʃ
bükmək	b y ç m ɑ χ
bükmək	b y h m ɑ χ
bülbül	b y l b y l
büllur	b y ɫː u r
bülöv	b y l œ v
bülövləmək	b y l œ v l æ m æ k
bünövrə	b y n œ v r æ
bünyad	b y n j ɑ d
bütpərəst	b y t p æ r æ s t
bütpərəstlik	b y t p æ ɾ æ s d i ç
bütünlüklə	b y t y n l y c l æ
c	d ʒ
c	d z
c	d ʒ e
c	d ʒ ɯ
c	d z e
c	d z ɯ
C	d ʒ
C	d z
C	d ʒ e
C	d ʒ ɯ
C	d z e
C	d z ɯ
cadu	d͡ʒ ɑː d u
cadu	d͡z ɑː d u
calaq	d͡ʒ ɑ ɫ ɑ x
calaq	d͡z ɑ ɫ ɑ x
calamaq	d͡ʒ ɑ ɫ ɑ m ɑ χ
calamaq	d͡z ɑ ɫ ɑ m ɑ χ
camaat	d͡ʒ ɑ m ɑ ɑ t
camaat	d͡z ɑ m ɑ ɑ t
camaat	d͡ʒ ɑ m ɑ h ɑ t
camaat	d͡z ɑ m ɑ h ɑ t
camaşır	d͡ʒ ɑ m ɑ ʃ ɯ ɾ
can	d͡ʒ ɑ n
can	d͡z ɑ n
canavar	d͡ʒ ɑ n ɑ v ɑ r
canavar	d͡z ɑ n ɑ v ɑ r
cangüdən	d͡ʒ ɑ n ɡ y d æ n
cangüdən	d͡z ɑ n d͡ʒ y d æ n
canlandırmaq	d͡ʒ ɑ n ɫ ɑ n d ɯ r m ɑ x
canlandırmaq	d͡z ɑ n ɫ ɑ n d ɯ r m ɑ x
canlı	d͡ʒ ɑ n ɫ ɯ
canlı	d ʒ ɑ nː ɯ
canlı	d͡z ɑ n ɫ ɯ
canlı	d͡z ɑ nː ɯ
cansızlıq	d͡ʒ ɑ n s ɯ z d ɯ x
casus	d͡ʒ ɑː s u s
casus	d͡z ɑː s u s
cavab	d͡ʒ ɑ v ɑ b
cavab	d͡z ɑ v ɑ b
cavab	d͡z ɑ v ɑ f
cavablandırmaq	d͡ʒ ɑ v ɑ b ɫ ɑ n d ɯ r m ɑ χ
cavablandırmaq	d͡z ɑ v ɑ b ɫ ɑ n d ɯ r m ɑ χ
cavan	d͡ʒ ɑ v ɑ n
cavan	d͡z ɑ v ɑ n
cavanlıq	d͡ʒ ɑ v ɑ n ɫ ɯ χ
cavanlıq	d͡z ɑ v ɑ n ɫ ɯ χ
cavanlıq	d͡ʒ ɑ v ɑ nː ɯ χ
cavanlıq	d͡z ɑ v ɑ nː ɯ χ
cazibə	d͡ʒ ɑː z i b æ
cazibə	d͡z ɑː z i b æ
ce	d͡ʒ eː
cəbhəçi	d͡ʒ æ p h æ t͡ʃ i
cəbhəçi	d͡ʒ æ p æ t͡ʃ i
cəbhəçi	d͡z æ p h æ t͡s i
cəbhəçi	d͡z æ p æ t͡s i
Cəbrayıl	d͡ʒ æ b ɾ ɑ j ɯ ɫ
Cəbrayıl	d͡z æ b ɾ ɑ j ɯ ɫ
cəbri	d͡ʒ æ b r i
cəbri	d͡z æ b r i
Cəfər	d͡ʒ æː f æ r
Cəfər	d͡z æː f æ r
cəhan	d͡ʒ æ h ɑ n
cəhd	d͡ʒ æ h d
cəhd	d͡z æ h d
cəhənnəm	d͡ʒ æ h æ nː æ m
cəhənnəm	d͡z æ h a nː æ m
cəm	d͡ʒ æ m
cəm	d͡z æ m
cəmi	d͡ʒ æ m i
cəmi	d͡z æ m i
cəmiyyət	d͡ʒ æ m i j æ t
cəmiyyət	d͡z æ m i j æ t
cənab	d͡ʒ æ n ɑ b
cənnət	d͡ʒ æ nː æ t
cənnət	d͡z æ nː æ t
cənub	d͡ʒ æ n u b
cənub	d͡z æ n u b
cərəyan	d͡ʒ æ ɾ æ j ɑ n
cərəyan	d͡z æ ɾ æ j ɑ n
cərəyanölçən	d͡ʒ æ ɾ æ j ɑ n œ l t͡ʃ æ n
cərəyanölçən	d͡z æ ɾ æ j ɑ n œ l t͡s æ n
cərimə	d͡ʒ æ r i m æ
cərimə	d͡z æ r i m æ
cərimələmək	d͡ʒ æ r i m æ l æ m æ c
cərimələmək	d͡z æ r i m æ l æ m æ c
cərimələnmək	d͡ʒ æ r i m æ l æ n m æ c
cərimələnmək	d͡z æ r i m æ l æ n m æ c
cəsarət	d͡ʒ æ s ɑː r æ t
cəsarət	d͡z æ s ɑː r æ t
cəsəd	d͡ʒ æ s æ d
cəsəd	d͡z æ s æ d
cəvabən	d͡ʒ æ v ɑː b æ n
cəvabən	d͡z æ v ɑː b æ n
cəvabən	d͡ʒ ɑ v ɑː b æ n
cəviz	d͡ʒ æ v i z
cəviz	d z æ v i z
cəza	d͡ʒ æ z ɑ
cəza	d͡z æ z ɑ
cəzalandırıcı	d͡ʒ æ z ɑ ɫ ɑ n d ɯ r ɯ d͡ʒ ɯ
cəzalandırıcı	d͡z æ z ɑ ɫ ɑ n d ɯ r ɯ d͡z ɯ
cəzalandırmaq	d͡ʒ æ z ɑ ɫ ɑ n d ɯ r m ɑ χ
cəzalandırmaq	d͡z æ z ɑ ɫ ɑ n d ɯ r m ɑ χ
cəzalanmaq	d͡ʒ æ z ɑ ɫ ɑ n m ɑ χ
cəzalanmaq	d͡z æ z ɑ ɫ ɑ n m ɑ χ
cığal	d͡ʒ ɯ ɣ ɑ ɫ
cığır	d͡ʒ ɯ ɣ ɯ r
cığır	d͡z ɯ ɣ ɯ r
cındır	d͡ʒ ɯ n d ɯ r
cındır	d͡z ɯ n d ɯ r
cırhacır	d͡ʒ ɯ r h ɑ d͡ʒ ɯ r
cırıq	d͡ʒ ɯ r ɯ x
cırıq	d͡z ɯ r ɯ x
cırmaq	d͡ʒ ɯ r m ɑ χ
cırmaq	d͡z ɯ r m ɑ χ
cızıq	d͡ʒ ɯ r ɯ χ
cızıq	d͡z ɯ r ɯ χ
cib	d͡ʒ i b
cib	d͡z i b
cihad	d͡z i h ɑ d
cilovlamaq	d͡ʒ i ɫ o v ɫ ɑ m ɑ x
cilovlamaq	d͡z i ɫ o v ɫ ɑ m ɑ x
cincilim	d͡ʒ i n d͡ʒ i l i m
cincilim	d͡z i n d͡z i l i m
cingilti	d͡ʒ i n d͡ʒ i l t i
cinsi	d͡ʒ i n s i
cinsi	d͡z i n s i
civi	d͡ʒ i v i
civi	d͡z i v i
cizgi	d͡ʒ i z ɡ i
cizgi	d͡z i z d͡ʒ i
cizyə	d͡ʒ i z j æ
cizyə	d͡z i z j æ
coğrafiya	d͡ʒ o ɣ ɾ ɑ f i j ɑ
coğrafiya	d͡z o ɣ ɾ ɑ f i j ɑ
cuhud	d͡ʒ u h u d
cuhud	d͡z u h u d
curcur	d͡ʒ u r d͡ʒ u r
curcur	d͡z u r d͡z u r
Cübeyl	d͡ʒ y b e j l
cücə	d͡ʒ y d͡ʒ æ
cücə	d͡z y d͡z æ
cümhuriyyət	d͡ʒ y m h uː r i j æ t
cümhuriyyət	d͡ʒ y m h u r i j æ t
cümhuriyyət	d͡z y m h uː r i j æ t
cümhuriyyət	d͡z y m h u r i j æ t
cümlə	d͡ʒ y m l æ
cümlə	d͡z y m l æ
cüt	d͡ʒ y t
cüt	d͡z y t
cütçü	d͡ʒ y t t͡ʃ y
cütçü	d͡z y t t͡s y
cütçülük	d͡ʒ y t t͡ʃ y l y k
cütçülük	d͡z y t t͡s y l y k
cütlük	d͡ʒ y t l y k
cütlük	d͡z y t l y k
çağ	t͡ʃ ɑ ɣ
çağ	t͡s ɑ ɣ
çağa	t͡ʃ ɑ ɣ ɑ
çağa	t͡s ɑ ɣ ɑ
çağdaş	t͡ʃ a ɣ d a ʃ
çağdaş	t͡s a ɣ d a ʃ
çağırım	t͡ʃ ɑ ɣ ɯ r ɯ m
çağırım	t͡s ɑ ɣ ɯ r ɯ m
çağırış	t͡ʃ ɑ ɣ ɯ r ɯ ʃ
çağırış	t͡s ɑ ɣ ɯ r ɯ ʃ
çağırmaq	t͡ʃ ɑ ɣ ɯ r m ɑ χ
çağırmaq	t͡s ɑ ɣ ɯ r m ɑ χ
çaxmaq	t͡ʃ ɑ χ m ɑ χ
çaxmaq	t͡s ɑ χ m ɑ χ
çaxmaq	ʃ ɑ χ m ɑ χ
çaxnaşma	t͡ʃ ɑ x n ɑ ʃ m ɑ
çaxnaşma	t͡s ɑ x n ɑ ʃ m ɑ
çaqqal	t͡ʃ ɑ k ɡ ɑ l
çaqqı	t͡s ɑ kː ɯ
çal	t͡ʃ ɑ ɫ
çal	t͡s ɑ ɫ
çalağan	t͡ʃ ɑ ɫ ɑ ɣ ɑ n
çalağan	t͡s ɑ ɫ ɑ ɣ ɑ n
çalışqan	t͡ʃ ɑ ɫ ɯ ʃ ɡ ɑ n
çalışqan	t͡s ɑ ɫ ɯ ʃ ɡ ɑ n
çalışmaq	t͡ʃ ɑ ɫ ɯ ʃ m ɑ χ
çalışmaq	t͡s ɑ ɫ ɯ ʃ m ɑ χ
çalma	t͡ʃ ɑ ɫ m ɑ
çalma	t͡s ɑ ɫ m ɑ
çalma	t͡ʃ ɑ ɫ m ɑ
çalma	t͡s ɑ ɫ m ɑ
çalma	t͡ʃ ɑ ɫ m ɑ
çalma	t͡s ɑ ɫ m ɑ
çalmaq	t͡ʃ ɑ ɫ m ɑ χ
çalmaq	t͡s ɑ ɫ m ɑ χ
çanta	t͡ʃ ɑ n t ɑ
çanta	t͡s ɑ n t ɑ
çap	t͡ʃ ɑ p
çap	t͡s ɑ p
çapovul	t͡ʃ ɑ p o v u ɫ
çapovul	t͡s ɑ p o v u ɫ
çar	t͡ʃ ɑ r
çar	t͡s ɑ r
çardaq	t͡ʃ ɑ r d ɑ x
çardaq	t͡s ɑ r d ɑ x
çarə	t͡ʃ ɑː r æ
çarə	t͡s ɑː r æ
çarpazlıq	t͡ʃ a r p a z ɫ ɯ χ
çarpışmaq	t͡ʃ ɑ r p ɯ ʃ m ɑ x
çarpışmaq	t͡s ɑ r p ɯ ʃ m ɑ x
çarpmaq	t͡ʃ ɑ r p m ɑ x
çarpmaq	t͡s ɑ r p m ɑ x
çaşdırmaq	t͡ʃ ɑ ʃ t ɯ r m ɑ χ
çaşdırmaq	t͡s ɑ ʃ t ɯ r m ɑ χ
çaşmaq	t͡ʃ ɑ ʃ m ɑ χ
çaşmaq	t͡s ɑ ʃ m ɑ χ
çataq	t͡ʃ ɑ t ɑ x
çataq	t͡s ɑ t ɑ x
çatdırmaq	t͡ʃ ɑ tː ɯ r m ɑ χ
çatdırmaq	t͡s ɑ tː ɯ r m ɑ χ
çatışmaq	t͡ʃ ɑ t ɯ ʃ m ɑ χ
çatışmaq	t͡s ɑ t ɯ ʃ m ɑ χ
çatışmamazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmamazlıq	t͡s ɑ t ɯ ʃ m ɑ m ɑ z ɫ ɯ χ
çatışmazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çatışmazlıq	t͡s ɑ t ɯ ʃ m ɑ z ɫ ɯ χ
çatlamaq	t͡ʃ ɑ t ɫ ɑ m ɑ x
çatlamaq	t͡ʃ ɑ t d ɑ m ɑ x
çatlamaq	t͡s ɑ t ɫ ɑ m ɑ x
çatlamaq	t͡s ɑ t d ɑ m ɑ x
çatmaq	t͡ʃ ɑ t m ɑ x
çatmaq	t͡s ɑ t m ɑ x
çavuş	t͡ʃ ɑ v u ʃ
çavuş	t͡s ɑ v u ʃ
çayan	t͡ʃ ɑ j ɑ n
çayxana	t͡ʃ ɑ j χ ɑ n ɑ
çayxana	t͡s ɑ j χ ɑ n ɑ
çaytikanı	t͡ʃ ɑ j t i k a n ɯ
çaytikanı	t͡s ɑ j t i k a n ɯ
çe	t͡ʃ eː
çerez	t͡ʃ e ɾ e z
çerez	t͡s e ɾ e z
çeşidləmək	t͡ʃ e ʃ i t d æ m æ ç
çeşidləmək	t͡s e ʃ i t l æ m æ c
çeşidləmək	t͡s e ʃ i t d æ m æ c
çeşidlənmək	t͡ʃ e ʃ i t d æ mː æ ç
çeşidlənmək	t͡s e ʃ i t d æ mː æ ç
çeşmək	t͡ʃ e ʃ m æ k
çeşmək	t͡ʃ e ʃ m æ j
çeşmək	t͡ʃ e ʃ m æ ç
çeşmək	t͡s e ʃ m æ t͡ʃ
çeşmək	t͡s e ʃ m æ ç
çevirgəc	t͡ʃ e v i r ɟ æ d͡ʒ
çevirgəc	t͡s e v i r ɟ æ d͡z
çevrə	t͡ʃ e v r æ
çevrə	t͡s e v r æ
çəki	t͡ʃ æ k i
çəki	t͡s æ t͡ʃ i
çəkic	t͡ʃ æ k i d͡ʒ
çəkic	t͡s æ t͡ʃ i d͡z
çəkiliş	t͡ʃ æ k i l i ʃ
çəkiliş	t͡s æ t͡ʃ i l i ʃ
çəkilmək	t͡ʃ æ k i l m æ k
çəkilmək	t͡ʃ æ k i l m æ j
çəkilmək	t͡s æ k i l m æ j
çəkmək	t͡ʃ æ c m æ c
çəkmək	t͡ʃ æ c m æ j
çəkmək	t͡s æ c m æ c
çəkmək	t͡s æ c m æ j
çəkmək	t͡s æ h m ɑ χ
çələbi	t͡ʃ æ l æ b i
çələbi	t͡s æ l æ b i
çəlləkçi	t͡ʃ æ lː æ k t͡ʃ i
çəlləkçi	t͡s æ lː æ t͡ʃ t͡s i
Çənab	t͡ʃ æ n ɑ b
çənə	t͡ʃ æ n æ
çəngəl	t͡ʃ æ ŋ ɡ æ l
çəngəl	t͡s æ ŋ ɡ æ l
çərçivə	t͡ʃ æ r t͡ʃ i v æ
çərçivə	t͡s æ r t͡s i v æ
çərkəz	t͡ʃ æ r k æ z
çətin	t͡ʃ æ t i n
çətin	t͡s æ t i n
çətir	t͡ʃ æ t i r
çətir	t͡s æ t i r
ÇXR	t͡ʃ e x eː ɾ
ÇXR	t͡s e x eː ɾ
çıx	t͡ʃ ɯ x
çıx	t͡s ɯ x
çıxarmaq	t͡ʃ ɯ χ ɑ r t m ɑ χ
çıxarmaq	t͡ʃ χ ɑ r t m ɑ χ
çıxarmaq	t͡s ɯ χ ɑ r t m ɑ χ
çıxarmaq	t͡s χ ɑ r t m ɑ χ
çıxış	t͡ʃ ɯ χ ɯ ʃ
çıxış	t͡s ɯ χ ɯ ʃ
çıxmaq	t͡ʃ ɯ χ m ɑ χ
çıxmaq	t͡s ɯ χ m ɑ χ
çılğın	t͡ʃ ɯ ɫ ɣ ɯ n
çılğın	t͡s ɯ ɫ ɣ ɯ n
çıraq	t͡ʃ ɯ r ɑ χ
çıraq	t͡s ɯ r ɑ χ
çırçır	t͡ʃ ɯ r t͡ʃ ɯ r
çırpışdırmaq	t͡ʃ ɯ r p ɯ ʃ d ɯ r m ɑ χ
çırpışdırmaq	t͡s ɯ r p ɯ ʃ d ɯ r m ɑ χ
çırtma	t͡ʃ ɯ r t m ɑ
çibin	t͡ʃ i b i n
çibin	t͡s i b i n
çibin	t͡s i v i n
çiçək	t͡ʃ i t͡ʃ æ k
çiçək	t͡s i t͡s æ k
çiçəkləmək	t͡ʃ i t͡ʃ æ k l æ m æ k
çiçəkləmək	t͡s i t͡s æ t͡ʃ l æ m æ t͡ʃ
çilingər	t͡ʃ i l i n ɟ æ r
çilingər	t͡s i l i n d͡ʒ æ r
çimdik	t͡ʃ i m d i c
çimizdirmək	t͡ʃ i m i z d i r m æ k
çimizdirmək	t͡s i m i z d i r m æ k
çimizdirmək	t͡ʃ i m i z d i r m æ j
çirk	t͡ʃ i r k
çirk	t͡s i r t͡ʃ
çirk	t͡s i r t͡ʃ
çirk	t͡s i ç
çirkin	t͡ʃ i r c i n
çirkin	t͡s i r t͡ʃ i n
çirkli	t͡ʃ i r k l i
çirkli	t͡s i r t͡ʃ l i
çisələmək	t͡ʃ i s æ l æ m æ k
çisələmək	t͡s i s æ l æ m æ t͡ʃ
çisəmək	t͡ʃ i s æ m æ k
çisəmək	t͡s i s æ m æ t͡ʃ
çiskinləmək	t͡ʃ i s k i n l æ m æ k
çiskinləmək	t͡s i s t͡ʃ i n l æ m æ t͡ʃ
çiş	t͡ʃ i ʃ
çiy	t͡ʃ i j
çiy	t͡s i j
çiyələk	t͡ʃ i j æ l æ k
çiyid	t͡ʃ i j i d
çiyid	t͡s i j i d
