ঁ	ɔ̃
ক্যা	k ɛ
ক্যাঁ	k æ̃
ক্যাঁচাল	k ɛ t ɕ a l
ক্যানোপাস	k æ n o p a s
ক্যান্ডি	k ɛ n d i
ক্যামেরা	k æ m e ɹ a
ক্যারাম	k æ r a m
ক্যারাম	k æ r æ m
ক্যালগারি	k ɛ l ɡ a ɹ i
ক্যালিফর্নিয়া	k ɛ l i f o ɹ n i̯ a
ক্যালিফর্নিয়া	k ɛ l i f ɔ ɹ n i̯ a
ক্যালিফোর্নিয়া	k ɛ l i f o ɹ n i̯ a
ক্যালিফোর্নিয়াবাসী	k ɛ l i f o ɹ n i̯ a b a ʃ i
ক্রমাগত	k ɹ ɔ m a ɡ ɔ t̪ o
ক্রিকেট	k i k e t
ক্রিকেট	k ɹ i k e t
ক্রিয়া	k ɹ i̯ a
ক্রিয়াপদ	k ɹ i̯ a p ɔ d̪
ক্রুশ	k ɹ u ʃ
ক্রোধ	k ɹ o d̪ʱ
ক্রোশ	k ɹ o ʃ
ক্লম	k l o m
ক্লান্তি	k l a n t̪ i
ক্লাস	k l a s
ক্লাস	k l a ʃ
ক্লাসরুম	k l a ʃ o ɹ u m
ক্ষত	kʰ ɔ t̪ o
ক্ষতি	kʰ o t̪ i
ক্ষতিকর	kʰ o t̪ i k ɔ ɹ
ক্ষত্রিয়	kʰ o t̪ ɹ i̯ o
ক্ষমতা	kʰ ɔ m o t̪ a
ক্ষমতাশালী	kʰ ɔ m o t̪ a ʃ a l i
ক্ষমা	kʰ ɔ m a
ক্ষমাহীন	kʰ ɔ m a h i n
ক্ষার	kʰ a ɹ
ক্ষারমৃত্তিকা	kʰ a ɹ ɔ m ɹ i t̪ː i k a
ক্ষীর	kʰ i ɹ
ক্ষুদ্র	kʰ u d̪ ɾ o
ক্ষুদ্রান্ত্র	kʰ u d r a n t o
ক্ষুধা	kʰ u d̪ a
ক্ষুধা	kʰ u d̪ʱ a
ক্ষুধার্ত	kʰ u d̪ a ɾ t̪ o
ক্ষুধার্ত	kʰ u d̪ʱ a ɾ t̪ o
ক্ষেত্র	kʰ e t̪ ɹ o
ক্ষেপ	kʰ e p
ক্ষেপণাস্ত্র	kʰ e p o n a s t̪ ɹ o
ক্ষেপণাস্ত্র	kʰ e p o n a s t̪ ɾ o
ক্ষ্বীর	kʰ i ɹ
কৎ	k ɔ t̪
কৎবেল	k ɔ t̪ b e l
খ	kʰ ɔ
খঞ্জর	kʰ ɔ n d ʑ ɔ ɹ
খড়্গ	kʰ ɔ ɹ ɡ o
খণ্ড	kʰ ɔ n d o
খতম	kʰ ɔ t̪ o m
খতরা	kʰ ɔ t̪ ɹ a
খত্তম	kʰ ɔ t̪ː o m
খত্তম	x ɔ t̪ː o m
খত্ম	kʰ ɔ t̪ː o
খত্ম	x ɔ t̪ː o
খদ্দর	kʰ ɔ d̪ː ɔ ɹ
খনন	kʰ ɔ n o n
খন্দকার	kʰ o n d̪ o k a ɹ
খন্দকার	kʰ ɔ n d̪ o k a ɹ
খবর	kʰ ɔ b o ɹ
খবরদার	kʰ ɔ b o ɹ d̪ a ɹ
খবিশ	kʰ o b i ʃ
খয়রাত	kʰ ɔ e̯ ɹ a t̪
খয়ের	kʰ ɔ e ɹ
খরগোশ	kʰ ɔ ɹ ɡ o s
খরগোশ	kʰ ɔ ɹ ɡ o ʃ
খরচ	kʰ ɔ ɹ o t ɕ
খর্জুর	kʰ o ɹ d ʑ u ɹ
খলিফা	kʰ o l i f a
খসড়া	kʰ ɔ ʃ ɔ ɹ a
খসরু	kʰ o s ɾ u
খসরু	kʰ o ʃ ɾ u
খসা	kʰ ɔ ʃ a
খাঁচা	kʰ a t ɕ a
খাঁটি	kʰ a t i
খাঁড়া	kʰ a ɹ a
খাঁড়ি	kʰ a ɹ i
খাই	kʰ a i̯
খাইশ	kʰ a i̯ ʃ
খাওয়া	kʰ a o̯ a
খাগড়া	kʰ a ɡ ɹ a
খাচ্চর	kʰ a t ɕː ɔ ɹ
খাজনা	kʰ a d ʑ n a
খাজনা	kʰ a z n a
খাজা	kʰ a d ʑ a
খাট	kʰ a ʈ
খাটা	kʰ a t a
খাটুলি	kʰ a t u l i
খাট্টা	kʰ a tː a
খাড়া	kʰ a ɹ a
খাড়ি	kʰ a ɹ i
খাতা	kʰ a t̪ a
খাতির	kʰ a t̪ i ɹ
খাদি	kʰ a d̪ i
খাদেম	kʰ a d̪ e m
খান	kʰ a n
খানকি	kʰ a n k i
খানকি	kʰ a ŋ k i
খানদান	kʰ a n d̪ a n
খানা	kʰ a n a
খাবার	kʰ a b a ɹ
খাম	kʰ a m
খামচান	kʰ a m t ɕ a n
খামাখা	kʰ a m a k a
খামাখা	kʰ a m a kʰ a
খামোশ	kʰ a m o ʃ
খায়েশ	kʰ a e̯ ʃ
খারাপ	kʰ a ɹ a p
খারাব	kʰ a ɹ a b
খাল	kʰ a l
খালা	kʰ a l a
খালি	kʰ a l i
খালু	kʰ a l u
খালেদ	kʰ a l e d̪
খাসী	kʰ a ʃ i
খাহেশ	kʰ a e̯ ʃ
খাহেশ	kʰ a h e ʃ
খিচুড়ি	kʰ i t ɕ u ɹ i
খিড়কি	kʰ i ɹ ɔ k i
খিদা	kʰ i d̪ a
খির	kʰ i ɹ
খীর	kʰ i ɹ
খুজুটিপাড়া	kʰ u d ʑ u t i p a ɹ a
খুব	kʰ u b
খুবসুরত	kʰ u b s u ɹ ɔ t̪
খুবসুরত	kʰ u p s u ɾ ɔ t̪
খুবসুরতি	kʰ u b ʃ u ɹ o t̪ i
খুশকি	kʰ u ʃ k i
খুশবু	kʰ u ʃ b u
খুশি	kʰ u ʃ i
খূব	kʰ u b
খৃস্টানী	kʰ ɹ i s t a n i
খৃস্টানী	kʰ ɹ i ʃ t a n i
খেঁচা	kʰ e t ɕ a
খেই	kʰ e i̯
খেজুর	kʰ e d ʑ u ɾ
খেত	kʰ e t̪
খেদমত	kʰ e d̪ m ɔ t̪
খেদা	kʰ e d̪ a
খেয়া	kʰ e a
খেয়ানত	kʰ e a n ɔ t̪
খেয়াল	kʰ e a l
খেয়াল	kʰ ɛ a l
খেলনা	kʰ æ l n a
খেলা	kʰ æ l a
খেলাধুলা	kʰ ɛ l a d̪ʱ u l a
খেলোয়াড়	kʰ ɛ l o̯ a ɹ
খেশী	kʰ e ʃ i
খোঁজ	kʰ o d ʑ
খোঁজ	kʰ õ d ʑ
খোঁজা	kʰ o d ʑ a
খোঁজা	kʰ õ d ʑ a
খোঁড়া	kʰ o ɽ a
খোঁড়ানো	kʰ o ɽ a n o
খোঁপা	kʰ õ p a
খোকা	kʰ o k a
খোদ	kʰ o d̪
খোদা	kʰ o d̪ a
খোয়াব	kʰ o̯ a b
খোয়াব	x o̯ a b
খোলাখুলি	kʰ o l a kʰ u l i
খোলাখুলিভাবে	kʰ o l a kʰ u l i bʱ a b e
খোশ	kʰ o ʃ
খোশবিয়ান	kʰ o ʃ b i̯ a n
খ্বাইশ	kʰ a i̯ ʃ
খ্বাব	kʰ a b
খ্যামা	kʰ ɛ m a
খ্রিস্ট	kʰ ɹ i s t o
খ্রিস্ট	kʰ ɹ i ʃ t o
খ্রিস্টধর্ম	kʰ ɹ i s t o d̪ʱ ɔ ɹ m o
খ্রিস্টধর্ম	kʰ ɹ i ʃ t o d̪ʱ ɔ ɹ m o
খ্রিস্টপূর্ব	kʰ ɹ i s t ɔ p u ɹ b o
খ্রিস্টপূর্ব	kʰ ɹ i ʃ t ɔ p u ɹ b o
খ্রিস্টান	kʰ ɹ i ʃ t a n
খৎম	kʰ ɔ t̪ m
খৎম	kʰ ɔ t̪ m o
খৎম	x ɔ t̪ m
খৎম	x ɔ t̪ m o
গ	ɡ ɔ
গং	ɡ ɔ ŋ
গগন	ɡ ɔ ɡ o n
গগনচুম্বী	ɡ ɔ ɡ o n t͡ʃ u m b i
গঙ্গা	ɡ ɔ ŋ ɡ a
গঙ্গোপাধ্যায়	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
গজল	ɡ ɔ d ʑ o l
গজল	ɡ ɔ z o l
গঞ্জ	ɡ ɔ n d ʑ
গঠন	ɡ ɔ tʰ ɔ n
গঠিত	ɡ ɔ tʰ i t̪ o
গড়	ɡ ɔ ɹ
গড়ন	ɡ ɔ ɹ o n
গড়বড়	ɡ ɔ ɹ b ɔ ɹ
গড়া	ɡ ɔ ɹ a
গণ	ɡ ɔ n
গণঅভ্যুত্থান	ɡ ɔ n o bʱː u t̪ʰː a n
গণইফতার	ɡ ɔ n o i̯ f t̪ a ɹ
গণতন্ত্র	ɡ ɔ n o t̪ ɔ n t̪ ɹ o
গণতান্ত্রিক	ɡ ɔ n o t̪ a n t̪ ɹ i k
গণনা	ɡ ɔ n o n a
গণপোস্টাতন্ত্রী	ɡ ɔ n o p o s t a t̪ ɔ n t̪ ɹ i
গণপোস্টাতন্ত্রী	ɡ ɔ n o p o ʃ t a t̪ ɔ n t̪ ɹ i
গণপ্রজাতন্ত্রী	ɡ ɔ n o p ɹ o d ʑ a t̪ ɔ n t̪ ɹ i
গণহত্যা	ɡ ɔ n o h o t̪ː a
গণিকা	ɡ ɔ n i k a
গণিত	ɡ o n i t̪
গণেশ	ɡ ɔ n e ʃ
গণ্ডার	ɡ ɔ n d a ɹ
গণ্য	ɡ o nː o
গত	ɡ ɔ t̪ o
গতকাল	ɡ ɔ t̪ o k a l
গতি	ɡ o t̪ i
গতিবেগ	ɡ ɔ t̪ i b e ɡ
গদ্দার	ɡ ɔ d̪ː a ɹ
গন্ডার	ɡ ɔ n d a ɹ
গন্ধ	ɡ ɔ n d̪ʱ o
গন্ধক	ɡ ɔ n d̪ʱ ɔ k
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গন্ধরস	ɡ ɔ n d̪ʱ ɔ ɹ o ʃ
গন্ধসার	ɡ ɔ n d̪ʱ ɔ ʃ a ɹ
গবাক্ষ	ɡ ɔ b a kʰː o
গভীর	ɡ o bʱ i ɹ
গভীরভাবে	ɡ o bʱ i ɹ bʱ a b e
গম	ɡ ɔ m
গয়না	ɡ ɔ e̯ n a
গরজ	ɡ ɔ ɹ o d ʑ
গরম	ɡ ɔ ɹ o m
গরমকাল	ɡ ɔ ɹ o m k a l
গরিলা	ɡ o ɹ i l a
গরীব	ɡ o ɹ i b
গরু	ɡ o ɹ u
গরুড়	ɡ o ɾ u ɹ
গর্ত	ɡ ɔ ɾ t̪ o
গর্দভ	ɡ ɔ ɹ d̪ o bʱ
গর্দান	ɡ ɔ ɹ d̪ a n
গর্ভসম্ভূতা	ɡ ɔ ɹ bʱ ɔ ʃ ɔ m bʱ u t̪ a
গলা	ɡ ɔ l a
গলি	ɡ o l i
গল্প	ɡ ɔ l p o
গহনা	ɡ ɔ h o n a
গহির	ɡ o ɦ iˑ ɾ
গা	ɡ a
গাঁ	ɡ a
গাঁইয়া	ɡ a i̯ a
গাঁও	ɡ a o̯
গাঁও	ɡ a õ̯
গাঁওয়ালী	ɡ a o̯ a l i
গাঁজা	ɡ a d ʑ a
গাঁজা	ɡ a n d ʑ a
গাঁট	ɡ a t
গাঁড়	ɡ ã ɽ
গাঁথা	ɡ a t̪ʰ a
গাই	ɡ a i̯
গাওয়া	ɡ a o̯ a
গাঙ্গুলি	ɡ a ŋ ɡ u l i
গাঙ্গেয়	ɡ a ŋ ɡ e o
গাছ	ɡ a t ɕʰ
গাজর	ɡ a d ʑ ɔ ɹ
গাজী	ɡ a d ʑ i
গাড়া	ɡ a ɹ a
গাড়ি	ɡ a ɹ i
গাঢ়	ɡ a ɹ o
গাত্র	ɡ a t̪ ɹ o
গান	ɡ a n
গান্ধারী	ɡ a n d̪ʱ a ɹ i
গান্ধী	ɡ a n d̪ʱ i
গান্ধীনগর	ɡ a n d̪ʱ i n ɡ ɔ ɹ
গাব	ɡ a b
গাভিন	ɡ a bʱ i n
গাভুর	ɡ a bʱ u ɹ
গামছা	ɡ a m t ɕʰ a
গামলা	ɡ a m l a
গায়ক	ɡ a e̯ ɔ k
গায়রত	ɡ a e̯ ɔ ɹ o t̪
গারবা	ɡ a ɹ b a
গাল	ɡ a l
গালা	ɡ a l a
গালি	ɡ a l i
গালিচা	ɡ a l i t ɕ a
গালিব	ɡ a l i b
গালিব	ɡ a l ɪ b
গালেব	ɡ a l e b
গালেব	ɡ a l ɪ b
গিজার	ɡ i d̪͡ʒ a ɾ
গিজার	ɡ i z a ɾ
গিটার	ɡ i t a ɹ
গিয়ে	ɡ i̯ e
গিয়েছিল	ɡ i̯ e t ɕʰ i l o
গির্জা	ɡ i ɹ d ʑ a
গী	ɡ i
গীতিনাট্য	ɡ i t̪ i n a tː o
গু	ɡ u
গুগগুল	ɡ u ɡː u l
গুগগুলু	ɡ u ɡː u l u
গুগল	ɡ u ɡ l o
গুগল	ɡ u ɡ ɔ l
গুজরাট	ɡ u d ʑ o ɹ a t
গুজরাট	ɡ u d ʑ ɹ a t
গুজরাটি	ɡ u d ʑ ɹ a t i
গুজরাত	ɡ u d ʑ o ɹ a t̪
গুজরাত	ɡ u d ʑ ɹ a t̪
গুঞ্জা	ɡ u n d ʑ a
গুণ	ɡ u n
গুণা	ɡ u n a
গুণাবলি	ɡ u n a b o l i
গুদাম	ɡ u d̪ a m
গুন	ɡ u n
গুনাগার	ɡ u n a ɡ a ɹ
গুনাহ	ɡ u n a
গুনাহ	ɡ u n a ɦ
গুপ্ত	ɡ u p t̪ o
গুফা	ɡ u f a
গুবাক	ɡ u b a k
গুম	ɡ u m
গুমোট	ɡ u m o t
গুম্ফা	ɡ u m f a
গুম্বজ	ɡ u m b ɔ d ʑ
গুরু	ɡ u ɹ u
গুরুত্ব	ɡ u ɹ u t̪ː o
গুরুত্বপূর্ণ	ɡ u ɹ u t̪ː ɔ p u ɹ n o
গুল	ɡ u l
গুলজার	ɡ u l z a ɹ
গুলদাস্তা	ɡ u l d̪ a s t̪ a
গুলবনফ্‌শা	ɡ u l b ɔ n o f ʃ a
গুলশান	ɡ u l ʃ a n
গুলাল	ɡ u l a l
গুলি	ɡ u l i
গুলিস্তাঁ	ɡ u l i s t̪ a
গুলিস্তান	ɡ u l i s t̪ a n
গুহা	ɡ u h a
গৃহ	ɡ ɹ i h o
গেঁদা	ɡ e d̪ a
গেঁয়ো	ɡ e o
গেজা	ɡ e d ʑ a
গেঞ্জি	ɡ e n d ʑ i
গেঞ্জি	ɡ e n z i
গেরাম	ɡ e ɹ a m
গৈরিক	ɡ o i̯ ɹ i k
গোঁড়	ɡ o ɹ
গোঁড়	ɡ õ ɹ
গোঁয়ানো	ɡ o̯ a n o
গোঁয়ানো	ɡ õ a n o
গোঁষা	ɡ o ʃ a
গোঁষা	ɡ õ ʃ a
গোঁসা	ɡ o ʃ a
গোঁসা	ɡ õ ʃ a
গোঠ	ɡ o tʰ
গোনা	ɡ o n a
গোপন	ɡ o p o n
গোপন	ɡ o p ɔ n
গোপাল	ɡ o p a l
গোফা	ɡ o pʰ ɑ
গোবর	ɡ ɔ b o ɹ
গোমাংস	ɡ o m a ŋ ʃ ɔ
গোমূত্র	ɡ o m u t̪ ɹ o
গোয়া	ɡ o̯ a
গোয়াল	ɡ o̯ a l
গোয়ালা	ɡ o̯ a l a
গোয়েন্দা	ɡ o e n d̪ a
গোরু	ɡ o ɹ u
গোরু	ɡ o ɾ u
গোল	ɡ o l
গোলন্দাজ	ɡ o l ɔ n d̪ a d ʑ
গোলসাগু	ɡ o l ʃ a ɡ u
গোলাপ	ɡ o l a p
গোলাপজল	ɡ o l a b d ʑ ɔ l
গোলাপজল	ɡ o l a p d ʑ ɔ l
গোলাপজাম	ɡ o l a p d ʑ a m
গোলাম	ɡ o l a m
গোল্লা	ɡ o lː a
গোশ	ɡ o ʃ
গোশত	ɡ o s t̪
গোশত	ɡ o s t̪ o
গোশত	ɡ o ʃ t̪
গোশত	ɡ o ʃ t̪ o
গোশালা	ɡ o ʃ a l a
গোষ্ঠী	ɡ o ʃ tʰ i
গোসল	ɡ o s o l
গোসল	ɡ o s u l
গোসল	ɡ o t ɕʰ o l
গোসল	ɡ o ʃ o l
গোসাঁই	ɡ o ʃ a i̯
গোস্ত	ɡ o s t̪ o
গোস্ত	ɡ o ʃ t̪ o
গোস্বা	ɡ o ʃː ɑ
গোস্বামী	ɡ o ʃː a m i
গোস্যা	ɡ o sː a
গোস্যা	ɡ o ʃː a
গোস্‌সা	ɡ o sː a
গোস্‌সা	ɡ o ʃː a
গোহাল	ɡ o h a l
গৌড়	ɡ o u̯ ɹ
গৌতম	ɡ o u̯ t̪ o m
গৌরব	ɡ o u̯ ɹ ɔ b
গৌরবহীন	ɡ o u̯ ɹ ɔ b h i n
গৌরাঙ্গ	ɡ o u̯ ɹ a ŋ ɡ o
গ্যাঞ্জাম	ɡ ɛ n d ʑ a m
গ্যারেজ	ɡ æ ɹ e d ʑ
গ্যালারি	ɡ e l a ɹ i
গ্যালারি	ɡ ɛ l a ɹ i
গ্যালারি	ɡ ɪ l a ɹ i
গ্যাস	ɡ æ ʃ
গ্রন্থকার	ɡ ɹ o n t̪ʰ o k a ɹ
গ্রন্থাগার	ɡ ɹ o n t̪ʰ a ɡ a ɹ
গ্রন্থি	ɡ ɹ ɔ n t̪ʰ i
গ্রহ	ɡ ɹ o h o
গ্রহণ	ɡ ɹ o h o n
গ্রাম	ɡ ɹ a m
গ্রামীণ	ɡ ɹ a m i n
গ্রিস	ɡ ɾ i s
গ্রীষ্ম	ɡ ɹ i ʃː o
গ্রেপ্তার	ɡ ɹ e p t̪ a ɹ
গ্রেফতার	ɡ ɹ e f t̪ a ɹ
গ্লানি	ɡ l a n i
গ্লাস	ɡ l a s
গ্লাস	ɡ l a ʃ
গ্লোব	ɡ l o b
ঘ	ɡʱ ɔ
ঘটনা	ɡʰ ɔ ʈ o n a
ঘড়ি	ɡʱ o ɹ i
ঘণ্টা	ɡʱ ɔ n t a
ঘনিষ্ঠ	ɡʱ o n i ʃ tʰ o
ঘর	ɡʱ ɔ ɾ
ঘষা	ɡʱ ɔ ʃ a
ঘাঁটা	ɡʰ ã ʈ ɑ
ঘাড়	ɡʱ a ɹ
ঘাবড়ান	ɡʱ a b ɹ a n o
ঘাবড়ানো	ɡʱ a b ɹ a n o
ঘাম	ɡʱ a m
ঘামা	ɡʱ a m a
ঘাস	ɡʱ a ʃ
ঘি	ɡʱ i
ঘুচা	ɡʱ u t ɕ a
ঘুড়ি	ɡʱ u ɹ i
ঘুষ	ɡʱ u ʃ
ঘৃণা	ɡʱ ɹ i n a
ঘেঁষা	ɡʱ ɛ ʃ a
ঘেরা	ɡʰ e r a
ঘোঙ্গা	ɡʱ o ŋ ɡ ä
ঘোড়া	ɡʱ o ɹ a
ঘোমটা	ɡʱ o m t a
ঘোষ	ɡʱ o ʃ
ঘোষক	ɡʱ o ʃ ɔ k
ঘোষণা	ɡʱ o ʃ o n a
ঘোষাল	ɡʱ o ʃ a l
ঙ	u m ɔ
ঙ	ŋ ɔ
ঙাপ্পি	ŋ a pː i
চ	t ɕ ɔ
চওড়া	t ɕ ɔ o̯ ɹ a
চকলেট	t ɕ ɔ k l e t
চকলেট	t ɕ ɔ k o l e t
চকোর	t ɕ ɔ k o ɹ
চক্কর	t ɕ ɔ kː o ɹ
চক্র	t ɕ ɔ k ɹ o
চক্রবর্তী	t ɕ ɔ k ɹ ɔ b o ɹ t̪ i
চচ্চড়ি	t ɕ ɔ t ɕː o ɹ i
চঞ্চলতা	t ɕ ɔ n t ɕ ɔ l o t̪ a
চট্টগ্রাম	t ɕ ɔ tː o ɡ ɹ a m
চট্টোপাধ্যায়	t ɕ ɔ tː o p a d̪ʱː a e̯
চড়া	t ɕ ɔ ɹ a
চড়াই	t ɕ ɔ ɹ a i̯
চণ্ডীগড়	t ɕ o n d i ɡ ɔ ɹ
চতুর্দশ	t ɕ o t̪ u ɹ d̪ ɔ ʃ
চন্দন	t ɕ ɔ n d̪ ɔ n
চন্দ্র	t ɕ ɔ n d̪ ɾ o
চন্দ্রগ্রহণ	t ɕ ɔ n d̪ ɹ ɔ ɡ ɹ ɔ h o n
চন্দ্রবিন্দু	t ɕ ɔ n d̪ ɾ o b i n d̪ u
চন্দ্রমুখী	t͡ʃ ɔ n d ɾ ɔ m u kʰ i
চন্দ্রোদয়	t ɕ ɔ n d̪ ɹ o d̪ o e̯
চব্বিশ	t ɕ o bː i ʃ
চম্পা	t ɕ ɔ m p a
চমৎকার	t ɕ ɔ m ɔ t̪ k a ɹ
চরকা	t ɕ ɔ ɹ k a
চরণ	t ɕ ɔ ɹ o n
চরম	t ɕ ɔ ɹ o m
চরানো	t ɕ ɔ ɹ a n o
চর্বি	t ɕ o ɹ b i
চর্যাপদ	t ɕ ɔ ɹ d ʑ a p ɔ d̪
চলচ্চিত্র	t ɕ ɔ l o t ɕ i t̪ ɹ o
চলচ্চিত্র	t ɕ ɔ l o t ɕː i t̪ ɹ o
চলা	t͡ʃ ɔ l a
চলিত	t ɕ o l i t̪ o
চল্লিশ	t ɕ ɔ lː i ʃ
চশম	t ɕ ɔ ʃ o m
চশমা	t ɕ ɔ ʃ m a
চষা	t ɕ ɔ ʃ a
চা	t ɕ a
চাঁকা	t ɕ a k a
চাঁছা	t ɕ a t ɕʰ a
চাঁটগাঁ	t ɕ a t ɡ a
চাঁদ	t ɕ a d̪
চাঁদনি	t ɕ a d̪ n i
চাঁদনী	t ɕ a d̪ n i
চাঁদিনী	t ɕ a d̪ i n i
চাঁদ্নী	t ɕ a d̪ n i
চাঁপা	t ɕ a p a
চাই	t ɕ a i̯
চাউর	t ɕ a u̯ ɹ
চাউল	t ɕ a u̯ l
চাওয়া	t ɕ a o̯ a
চাকমা	t ɕ a k m a
চাকরানী	t ɕ a k ɹ a n i
চাকরিস্থল	t ɕ a k ɹ i s t̪ʰ ɔ l
চাকরী	t ɕ a k ɹ i
চাকরীজীবন	t ɕ a k ɹ i d ʑ i b o n
চাকরীজীবী	t ɕ a k ɹ i d ʑ i b i
চাকরীদাতা	t ɕ a k ɹ i d̪ a t̪ a
চাকরীবাকরী	t ɕ a k ɹ i b a k ɹ i
চাকরীস্থল	t ɕ a k ɹ i s t̪ʰ ɔ l
চাকা	t ɕ a k a
চাকু	t ɕ a k u
চাখোর	t ɕ a kʰ o ɹ
চাগা	t ɕ a ɡ a
চাচা	t ɕ a t ɕ a
চাচ্চা	t ɕ a t ɕː a
চাচ্চু	t ɕ a t ɕː u
চাটগাঁ	t ɕ a t ɡ a
চাটনি	t ɕ a t n i
চাটা	t ɕ a t a
চাটুজ্জে	t ɕ a t u d ʑː e
চাড়ি	t ɕ a ɹ i
চাতক	t ɕ a t̪ o k
চাদ	t ɕ a d̪
চাদর	t ɕ a d̪ o ɹ
চান্দ্র	t ɕ a n d̪ ɹ o
চাপ	t ɕ a p
চাপাতি	t ɕ a p a t̪ i
চাবি	t ɕ a b i
চাবুক	t ɕ a b u k
চামচ	t ɕ a m o t ɕ
চামচ	t ɕ a m u t ɕ
চামচা	t ɕ a m t ɕ a
চামচিকা	t͡ʃ a m t͡ʃ i k a
চামড়া	t ɕ a m ɹ a
চামাটি	t ɕ a m a t i
চামেলি	t ɕ a m e l i
চায়	t ɕ a e̯
চার	t ɕ a ɹ
চারিদিক	t ɕ a ɹ i d̪ i k
চার্চ	t ɕ a ɹ t ɕ
চার্লস	t ɕ a ɹ l s
চাল	t ɕ a l
চালকুমড়া	t ɕ a l k u m ɹ a
চালকুমড়ো	t ɕ a l k u m ɹ o
চালতা	t͡ʃ a l t a
চালানো	t͡ʃ a l a n o
চালু	t ɕ a l u
চাষ	t ɕ a ʃ
চাহিদা	t ɕ a h i d̪ a
চিঁড়া	t ɕ i ɹ a
চিংড়ি	t ɕ i ŋ ɹ i
চিকন	t ɕ i k o n
চিকিত্সা	t ɕ i k i t̪ ʃ a
চিকিৎসক	t ɕ i k i t̪ ʃ o k
চিকিৎসক	t ɕ i k i ʃː o k
চিকিৎসাধীন	t ɕ i k i t̪ ʃ a d̪ʱ i n
চিকুৎকুৎ	t ɕ i k u t̪ k u t̪
চিজ	t ɕ i d ʑ
চিজ	t ɕ i z
চিটাগুড়	t ɕ i t a ɡ u ɹ
চিঠা	t͡ʃ i ʈʰ a
চিঠি	t ɕ i tʰ i
চিড়িয়াখানা	t ɕ i ɹ i̯ a kʰ a n a
চিতল	t ɕ i t̪ o l
চিতা	t ɕ i t̪ a
চিত্ত	t ɕ i t̪ː o
চিত্র	t ɕ i t̪ ɾ o
চিত্রগ্রীব	t ɕ i t̪ ɹ ɔ ɡ ɹ i b
চিত্রনাট্য	t ɕ i t̪ ɹ ɔ n a tː o
চিত্রনাট্যকার	t ɕ i t̪ ɹ ɔ n a tː o k a ɹ
চিত্রিত	t ɕ i t̪ ɹ i t̪ o
চিনি	t ɕ i n i
চিন্তন	t ɕ i n t̪ o n
চিন্তন	t ɕ i n t̪ ɔ n
চিন্তা	t ɕ i n t̪ a
চিন্তাপরাধ	t ɕ i n t̪ a p ɔ ɹ a d̪ʱ
চিন্তাভাবনা	t ɕ i n t̪ a bʱ a b n a
চিন্তাভাবনা	t ɕ i n t̪ a bʱ a b o n a
চিবানো	t ɕ i b a n o
চিমনি	t ɕ i m n i
চির	t ɕ i ɹ
চির	t ɕ i ɹ o
চিরকাল	t ɕ i ɹ o k a l
চিরন্তন	t ɕ i ɹ ɔ n t̪ ɔ n
চিরপ্রতিদ্বন্দ্বী	t ɕ i ɹ ɔ p ɹ o t̪ i d̪ː ɔ n d̪ i
চিরস্থায়ী	t ɕ i ɹ ɔ s t̪ʰ a i̯
চিলমচি	t͡ʃ i l ɔ m t͡ʃ i
চিলি	t ɕ i l i
চিল্লাচিল্লি	t ɕ i lː a t ɕ i lː i
চিহ্ন	t ɕ i n h o
চিহ্ন	t ɕ i nː o
চিৎ	t ɕ i t̪
চীজ	t ɕ i d ʑ
চীজ	t ɕ i z
চীন	t ɕ i n
চীনাংশুক	t ɕ i n a ŋ ʃ u k
চীনামাটি	t ɕ i n a m a t i
চুঁকা	t ɕ u k a
চুকা	t ɕ u k a
চুকিৎকিৎ	t ɕ u k i t̪ k i t̪
চুদা	t ɕ u d̪ a
চুদি	t ɕ u d̪ i
চুন	t ɕ u n
চুম্বন	t͡ʃ u m b ɔ n
চুরট	t͡ʃ u ɾ ɔ ʈ̟
চুরানব্বই	t ɕ u ɹ a n ɔ bː o i̯
চুরি	t ɕ u ɹ i
চুরুট	t ɕ u ɹ u t
চুরুলিয়া	t ɕ u ɹ u l i̯ a
চুল	t ɕ u l
চুলকানি	t ɕ u l k a n i
চুলা	t ɕ u l a
চূড়া	t ɕ u ɹ a
চূর্ণ	t ɕ u ɹ n o
চেত	t͡ʃ e t̪ o
চেতা	t͡ʃ e t̪ a
চেনা	t ɕ e n a
চেন্নাই	t ɕ e nː a i̯
চেপটা	t ɕ e p t a
চেয়ার	t ɕ e a ɹ
চেয়ে	t ɕ e
চেরা	t ɕ e ɹ a
চেষ্টা	t ɕ e ʃ t a
চেহারা	t ɕ e h a ɹ a
চেহারা	t ɕ ɛ h a ɹ a
চৈতন্য	t ɕ o i̯ t̪ ɔ nː o
চৈত্র	t ɕ o i̯ t̪ ɹ o
চৈনিক	t͡ʃ o i̯ n i k
চোখ	t ɕ o kʰ
চোথা	t͡ʃ o t̪ʰ a
চোদা	t ɕ o d̪ a
চোদ্দ	t ɕ o d̪ː o
চোদ্দো	t ɕ o d̪ː o
চোদ্দো	t ɕ o u̯ d̪ː o
চোবানো	t ɕ o b a n o
চোর	t ɕ o ɹ
চোষা	t ɕ o ʃ a
চৌঃ	t ɕ o u h
চৌথ	t ɕ o u̯ t̪ʰ
