Ա	ɑ
աշտե	ɑ ʃ t e
աշտեն	ɑ ʃ t e n
աշտուճ	ɑ ʃ t u d͡ʒ
աուդիտոր	ɑ u tʰ i d o ɾ
աութսորսինգ	ɑ u tʰ s o ɾ s i ŋ kʰ
աուտիզմ	ɑ u d i z m
աչ	ɑ t͡ʃʰ
աչալուրջ	ɑ t͡ʃʰ ɑ l u ɾ t͡ʃʰ
աչեղ	ɑ t͡ʃʰ e ʁ
աչիկ	ɑ t͡ʃʰ i ɡ
աչք	ɑ t͡ʃʰ kʰ
աչքաթող	ɑ t͡ʃʰ kʰ ɑ tʰ o ʁ
աչքածակ	ɑ t͡ʃʰ kʰ ɑ d͡z ɑ ɡ
ապա	ɑ b ɑ
ապաբախտ	ɑ b ɑ pʰ ɑ χ t
ապագա	ɑ b ɑ kʰ ɑ
ապագաղութացում	ɑ b ɑ kʰ ɑ ʁ u tʰ ɑ t͡sʰ u m
ապազգային	ɑ b ɑ s kʰ ɑ j i n
ապաթարց	ɑ b ɑ tʰ ɑ ɾ t͡sʰ
ապակառուցողական	ɑ b ɑ ɡ ɑ ɾ u t͡sʰ o ʁ ɑ ɡ ɑ n
ապակատար	ɑ b ɑ ɡ ɑ d ɑ ɾ
ապակի	ɑ b ɑ ɡ i
ապահարզան	ɑ b ɑ h ɑ ɾ z ɑ n
ապահով	ɑ b ɑ h o v
ապահովագրություն	ɑ b ɑ h o v ɑ kʰ ɾ u tʰ ʏ n
ապահովագրում	ɑ b ɑ h o v ɑ kʰ ɾ u m
ապահովանալ	ɑ b ɑ h o v ɑ n ɑ l
ապահովացնել	ɑ b ɑ h o v ɑ t͡sʰ ə n e l
ապահովել	ɑ b ɑ h o v e l
ապահովեցնել	ɑ b ɑ h o v e t͡sʰ ə n e l
ապահովություն	ɑ b ɑ h o v u tʰ ʏ n
ապահովում	ɑ b ɑ h o v u m
ապահովվել	ɑ b ɑ h o vː e l
ապամոնտաժվել	ɑ b ɑ m o n d ɑ ʒ v e l
ապաշխարել	ɑ b ɑ ʃ χ ɑ ɾ e l
ապաշրջափակել	ɑ b ɑ ʃ ə ɾ t͡ʃʰ ɑ pʰ ɑ ɡ e l
ապաշրջափակում	ɑ b ɑ ʃ ə ɾ t͡ʃʰ ɑ pʰ ɑ ɡ u m
ապառաժ	ɑ b ɑ ɾ ɑ ʒ
ապառնի	ɑ b ɑ ɾ n i
ապառք	ɑ b ɑ ɾ kʰ
ապաստան	ɑ b ɑ s t ɑ n
ապաստարան	ɑ b ɑ s t ɑ ɾ ɑ n
ապավեն	ɑ b ɑ v e n
ապավինել	ɑ b ɑ v i n e l
ապատ	ɑ b ɑ d
ապատեղեկատվություն	ɑ b ɑ d e ʁ e ɡ ɑ d v u tʰ ʏ n
ապար	ɑ b ɑ ɾ
ապարանջան	ɑ b ɑ ɾ ɑ n t͡ʃʰ ɑ n
ապարանցի	ɑ b ɑ ɾ ɑ n t͡sʰ i
ապարանք	ɑ b ɑ ɾ ɑ ŋ kʰ
ապարատ	ɑ b ɑ ɾ ɑ d
ապարոշ	ɑ b ɑ ɾ o ʃ
ապացույց	ɑ b ɑ t͡sʰ u j t͡sʰ
ապացուցանել	ɑ b ɑ t͡sʰ u t͡sʰ ɑ n e l
ապացուցել	ɑ b ɑ t͡sʰ u t͡sʰ e l
ապացուցող	ɑ b ɑ t͡sʰ u t͡sʰ o ʁ
ապացուցողական	ɑ b ɑ t͡sʰ u t͡sʰ o ʁ ɑ ɡ ɑ n
ապացուցում	ɑ b ɑ t͡sʰ u t͡sʰ u m
ապացուցվել	ɑ b ɑ t͡sʰ u t͡sʰ v e l
ապաքեն	ɑ b ɑ kʰ e n
ապաքինել	ɑ b ɑ kʰ i n e l
ապե	ɑ b e
ապենինյան	ɑ b e n i n j ɑ n
ապեր	ɑ b e ɾ
ապերախտ	ɑ b e ɾ ɑ χ t
ապերախտություն	ɑ b e ɾ ɑ χ t u tʰ ʏ n
ապերջանիկ	ɑ b e ɾ t͡ʃʰ ɑ n i ɡ
ապիկ	ɑ b i ɡ
ապիկար	ɑ b i ɡ ɑ ɾ
ապիկի	ɑ b i ɡ i
ապիրատ	ɑ b i ɾ ɑ d
ապշել	ɑ b ʃ e l
ապուխտ	ɑ b u χ t
ապուշ	ɑ b u ʃ
ապուր	ɑ b u ɾ
ապսպրել	ɑ b ə s p ɾ e l
ապստամբ	ɑ b ə s t ɑ m pʰ
ապստամբել	ɑ b ə s t ɑ m pʰ e l
ապստամբություն	ɑ b ə s t ɑ m pʰ u tʰ ʏ n
ապտակ	ɑ pʰ tʰ ɑ ɡ
ապտակել	ɑ b d ɑ ɡ e l
ապրանք	ɑ b ɾ ɑ ŋ kʰ
ապրանքագիր	ɑ b ɾ ɑ ŋ kʰ ɑ kʰ i ɾ
ապրել	ɑ b ɾ e l
ապրես	ɑ b ɾ e s
ապրիլ	ɑ b ɾ i l
ապրիլյան	ɑ b ɾ i l j ɑ n
ապրշում	ɑ b ə ɾ ʃ u m
ապրուստ	ɑ b ɾ u s t
ապօրինի	ɑ b o ɾ i n i
աջ	ɑ t͡ʃʰ
աջաբ	ɑ t͡ʃʰ ɑ pʰ
աջաբսանդալ	ɑ t͡ʃʰ ɑ pʰ s ɑ n tʰ ɑ l
աջակցել	ɑ t͡ʃʰ ɑ kʰ t͡sʰ e l
աջակցիլ	ɑ t͡ʃʰ ɑ kʰ t͡sʰ i l
աջարական	ɑ t͡ʃʰ ɑ ɾ ɑ ɡ ɑ n
աջարացի	ɑ t͡ʃʰ ɑ ɾ ɑ t͡sʰ i
աջափսանդալ	ɑ t͡ʃʰ ɑ pʰ s ɑ n tʰ ɑ l
աջլիկ	ɑ t͡ʃʰ l i ɡ
աջող	ɑ t͡ʃʰ o ʁ
առ	ɑ ɾ
առա	ɑ ɾ ɑ
առագաստ	ɑ ɾ ɑ kʰ ɑ s t
առագաստանավ	ɑ ɾ ɑ kʰ ɑ s t ɑ n ɑ v
առագոներեն	ɑ ɾ ɑ kʰ o n e ɾ e n
առած	ɑ ɾ ɑ d͡z
առակ	ɑ ɾ ɑ ɡ
առակախոս	ɑ ɾ ɑ ɡ ɑ χ o s
առայժմ	ɑ ɾ ɑ j ʒ ə m
առանձին	ɑ ɾ ɑ n t͡sʰ i n
առանձնասենյակ	ɑ ɾ ɑ n t͡sʰ n ɑ s e n j ɑ ɡ
առանձնատուն	ɑ ɾ ɑ n t͡sʰ n ɑ d u n
առանձնյակ	ɑ ɾ ɑ n t͡sʰ n j ɑ ɡ
առանց	ɑ ɾ ɑ n t͡sʰ
առանցք	ɑ ɾ ɑ n t͡sʰ kʰ
առանցքակալ	ɑ ɾ ɑ n t͡sʰ kʰ ɑ ɡ ɑ l
առանցքային	ɑ ɾ ɑ n t͡sʰ kʰ ɑ j i n
առապար	ɑ ɾ ɑ b ɑ ɾ
առաջ	ɑ ɾ ɑ t͡ʃʰ
առաջաբան	ɑ ɾ ɑ t͡ʃʰ ɑ pʰ ɑ n
առաջադեմ	ɑ ɾ ɑ t͡ʃʰ ɑ tʰ e m
առաջադիմական	ɑ ɾ ɑ t͡ʃʰ ɑ tʰ i m ɑ ɡ ɑ n
առաջադիմել	ɑ ɾ ɑ t͡ʃʰ ɑ tʰ i m e l
առաջադիմություն	ɑ ɾ ɑ t͡ʃʰ ɑ tʰ i m u tʰ ʏ n
առաջադիմում	ɑ ɾ ɑ t͡ʃʰ ɑ tʰ i m u m
առաջադրանք	ɑ ɾ ɑ t͡ʃʰ ɑ tʰ ɾ ɑ ŋ kʰ
առաջավոր	ɑ ɾ ɑ t͡ʃʰ ɑ v o ɾ
առաջավորասիական	ɑ ɾ ɑ t͡ʃʰ ɑ v o ɾ ɑ s i j ɑ ɡ ɑ n
առաջատար	ɑ ɾ ɑ t͡ʃʰ ɑ d ɑ ɾ
առաջարկ	ɑ ɾ ɑ t͡ʃʰ ɑ ɾ ɡ
առաջարկել	ɑ ɾ ɑ t͡ʃʰ ɑ ɾ ɡ e l
առաջարկություն	ɑ ɾ ɑ t͡ʃʰ ɑ ɾ ɡ u tʰ ʏ n
առաջացում	ɑ ɾ ɑ t͡ʃʰ ɑ t͡sʰ u m
առաջընթաց	ɑ ɾ ɑ t͡ʃʰ ə n tʰ ɑ t͡sʰ
առաջիկա	ɑ ɾ ɑ t͡ʃʰ i ɡ ɑ
առաջին	ɑ ɾ ɑ t͡ʃʰ i n
առաջնային	ɑ ɾ ɑ t͡ʃʰ n ɑ j i n
առաջնեկ	ɑ ɾ ɑ t͡ʃʰ n e ɡ
առաջնորդ	ɑ ɾ ɑ t͡ʃʰ n o ɾ tʰ
առաջնորդել	ɑ ɾ ɑ t͡ʃʰ n o ɾ tʰ e l
առաջնություն	ɑ ɾ ɑ t͡ʃʰ n u tʰ ʏ n
առասան	ɑ ɾ ɑ s ɑ n
առասպել	ɑ ɾ ɑ s p e l
առասպելական	ɑ ɾ ɑ s p e l ɑ ɡ ɑ n
առաստաղ	ɑ ɾ ɑ s t ɑ ʁ
առավել	ɑ ɾ ɑ v e l
առավելագույն	ɑ ɾ ɑ v e l ɑ kʰ u j n
առավելապես	ɑ ɾ ɑ v e l ɑ b e s
առավելություն	ɑ ɾ ɑ v e l u tʰ ʏ n
առավոտ	ɑ ɾ ɑ v o d
առավոտադեմ	ɑ ɾ ɑ v o d ɑ tʰ e m
առավոտականչ	ɑ ɾ ɑ v o d ɑ ɡ ɑ n t͡ʃʰ
առավոտանալ	ɑ ɾ ɑ v o d ɑ n ɑ l
առավոտանց	ɑ ɾ ɑ v o d ɑ n t͡sʰ
առավոտյան	ɑ ɾ ɑ v o d j ɑ n
առատ	ɑ ɾ ɑ d
առատության	ɑ ɾ ɑ d u tʰ j ɑ n
առատություն	ɑ ɾ ɑ d u tʰ ʏ n
առատուկ	ɑ ɾ ɑ d u ɡ
առարկա	ɑ ɾ ɑ ɾ ɡ ɑ
առարկայություն	ɑ ɾ ɑ ɾ ɡ ɑ j u tʰ ʏ n
առաքել	ɑ ɾ ɑ kʰ e l
առաքելություն	ɑ ɾ ɑ kʰ e l u tʰ ʏ n
առաքինաբար	ɑ ɾ ɑ kʰ i n ɑ pʰ ɑ ɾ
առաքինի	ɑ ɾ ɑ kʰ i n i
առաքինություն	ɑ ɾ ɑ kʰ i n u tʰ ʏ n
առաքյալ	ɑ ɾ ɑ kʰ j ɑ l
առաքում	ɑ ɾ ɑ kʰ u m
առեղ	ɑ ɾ e ʁ
առեղծված	ɑ ɾ e ʁ d͡z v ɑ d͡z
առերես	ɑ ɾ e ɾ e s
առերեսել	ɑ ɾ e ɾ e s e l
առերեսում	ɑ ɾ e ɾ e s u m
առերեսվել	ɑ ɾ e ɾ e s v e l
առերևույթ	ɑ ɾ e ɾ e v u j tʰ
առզել	ɑ ɾ z e l
առէջ	ɑ ɾ e t͡ʃʰ
առէջք	ɑ ɾ e t͡ʃʰ kʰ
առթիվ	ɑ ɾ tʰ i v
առիթ	ɑ ɾ i tʰ
առինչ	ɑ ɾ i n t͡ʃʰ
առիք	ɑ ɾ i kʰ
առլյուծ	ɑ ɾ l ʏ d͡z
առկա	ɑ ɾ ɡ ɑ
առկախ	ɑ ɾ ɡ ɑ χ
առկախել	ɑ ɾ ɡ ɑ χ e l
առկախուկ	ɑ ɾ ɡ ɑ χ u ɡ
առկախվել	ɑ ɾ ɡ ɑ χ v e l
առկայծ	ɑ ɾ ɡ ɑ j d͡z
առկայծել	ɑ ɾ ɡ ɑ j d͡z e l
առկայծում	ɑ ɾ ɡ ɑ j d͡z u m
առկայծուն	ɑ ɾ ɡ ɑ j d͡z u n
առկայծվել	ɑ ɾ ɡ ɑ j d͡z v e l
առկայություն	ɑ ɾ ɡ ɑ j u tʰ ʏ n
առկայուն	ɑ ɾ ɡ ɑ j u n
առհասարակ	ɑ ɾ h ɑ s ɑ ɾ ɑ ɡ
առհավատչեք	ɑ ɾ h ɑ v ɑ tʰ t͡ʃʰ e kʰ
առհավատչյա	ɑ ɾ h ɑ v ɑ d t͡ʃʰ j ɑ
առհարյուր	ɑ ɾ h ɑ ɾ ʏ ɾ
առձեռն	ɑ ɾ t͡sʰ e ɾ ə n
առճակատում	ɑ ɾ d͡ʒ ɑ ɡ ɑ d u m
առյուծ	ɑ ɾ ʏ d͡z
առյուծիկ	ɑ ɾ ʏ d͡z i ɡ
առն	ɑ ɾ ə n
առնական	ɑ ɾ n ɑ ɡ ɑ n
առնանդամ	ɑ ɾ n ɑ n tʰ ɑ m
առնել	ɑ ɾ n e l
առնետ	ɑ ɾ n e d
առնետավազք	ɑ ɾ n e d ɑ v ɑ s kʰ
առնմանություն	ɑ ɾ n ə m ɑ n u tʰ ʏ n
առնչել	ɑ ɾ ə n t͡ʃʰ e l
առնչություն	ɑ ɾ ə n t͡ʃʰ u tʰ ʏ n
առնչվել	ɑ ɾ ə n t͡ʃʰ v e l
առնվազն	ɑ ɾ n ə v ɑ z n
առշերտ	ɑ ɾ ʃ e ɾ d
առոգանել	ɑ ɾ o kʰ ɑ n e l
առոգանություն	ɑ ɾ o kʰ ɑ n u tʰ ʏ n
առոգել	ɑ ɾ o kʰ e l
առողջ	ɑ ɾ o χ t͡ʃʰ
առողջանալ	ɑ ɾ o χ t͡ʃʰ ɑ n ɑ l
առողջարան	ɑ ɾ o χ t͡ʃʰ ɑ ɾ ɑ n
առողջարար	ɑ ɾ o χ t͡ʃʰ ɑ ɾ ɑ ɾ
առողջացնել	ɑ ɾ o χ t͡ʃʰ ɑ t͡sʰ ə n e l
առողջություն	ɑ ɾ o χ t͡ʃʰ u tʰ ʏ n
առորմի	ɑ ɾ o ɾ m i
առու	ɑ ɾ u
առումիներեն	ɑ ɾ u m i n e ɾ e n
առույգ	ɑ ɾ u j kʰ
առջև	ɑ ɾ t͡ʃʰ e v
առվույտ	ɑ ɾ v u j d
առտու	ɑ ɾ d u
առցանց	ɑ ɾ t͡sʰ ɑ n t͡sʰ
առևանգել	ɑ ɾ e v ɑ ŋ kʰ e l
առևանգում	ɑ ɾ e v ɑ ŋ kʰ u m
առևտուր	ɑ ɾ e v d u ɾ
առևտրային	ɑ ɾ e v d ə ɾ ɑ j i n
աս	ɑ s
ասած	ɑ s ɑ d͡z
ասանկ	ɑ s ɑ ŋ ɡ
ասացվածք	ɑ s ɑ t͡sʰ v ɑ t͡sʰ kʰ
ասբեստ	ɑ s pʰ e s t
ասել	ɑ s e l
ասեկոսե	ɑ s e ɡ o s e
ասեղ	ɑ s e ʁ
ասիական	ɑ s i j ɑ ɡ ɑ n
ասկետիզմ	ɑ s k e d i z m
ասղաման	ɑ s ʁ ɑ m ɑ n
ասմունք	ɑ s m u ŋ kʰ
ասոնք	ɑ s o ŋ kʰ
ասորագետ	ɑ s o ɾ ɑ kʰ e d
ասորագիտություն	ɑ s o ɾ ɑ kʰ i d u tʰ ʏ n
ասորեստաներեն	ɑ s o ɾ e s t ɑ n e ɾ e n
ասորերեն	ɑ s o ɾ e ɾ e n
ասորի	ɑ s o ɾ i
ասոցացնել	ɑ s o t͡sʰ ɑ t͡sʰ ə n e l
ասոցիացիա	ɑ s o t͡sʰ i j ɑ t͡sʰ i j ɑ
ասուլիս	ɑ s u l i s
ասուն	ɑ s u n
ասուպ	ɑ s u b
ասուրագետ	ɑ s u ɾ ɑ kʰ e d
ասուրագիտություն	ɑ s u ɾ ɑ kʰ i d u tʰ ʏ n
ասուրերեն	ɑ s u ɾ e ɾ e n
ասպազեն	ɑ s p ɑ z e n
ասպազենք	ɑ s p ɑ z e ŋ kʰ
ասպականի	ɑ s p ɑ ɡ ɑ n i
ասպանդակ	ɑ s p ɑ n tʰ ɑ ɡ
ասպաստան	ɑ s p ɑ s t ɑ n
ասպատակ	ɑ s p ɑ d ɑ ɡ
ասպար	ɑ s p ɑ ɾ
ասպարեզ	ɑ s p ɑ ɾ e z
ասպետ	ɑ s p e d
ասպետական	ɑ s p e d ɑ ɡ ɑ n
ասպիրանտ	ɑ s p i ɾ ɑ n d
ասպնջական	ɑ s p ə n t͡ʃʰ ɑ ɡ ɑ n
ասսամի	ɑ sː ɑ m i
ասվեղ	ɑ s v e ʁ
ասվի	ɑ s v i
ասվյա	ɑ s v j ɑ
աստատ	ɑ s t ɑ d
աստեղաբան	ɑ s t e ʁ ɑ pʰ ɑ n
աստեղաբանություն	ɑ s t e ʁ ɑ pʰ ɑ n u tʰ ʏ n
աստերոիդ	ɑ s t e ɾ o j i tʰ
աստիճան	ɑ s t i d͡ʒ ɑ n
աստիճանավոր	ɑ s t i d͡ʒ ɑ n ɑ v o ɾ
աստիճաններ	ɑ s t i d͡ʒ ɑ nː e ɾ
աստղ	ɑ s t ə ʁ
աստղ	ɑ s t χ
աստղ	ɑ s χ
աստղաբան	ɑ s t ʁ ɑ pʰ ɑ n
աստղաբանություն	ɑ s t ʁ ɑ pʰ ɑ n u tʰ ʏ n
աստղաբաշխություն	ɑ s t ʁ ɑ pʰ ɑ ʃ χ u tʰ ʏ n
աստղաբույլ	ɑ s t ʁ ɑ pʰ u j l
աստղագիտություն	ɑ s t ʁ ɑ kʰ i d u tʰ ʏ n
աստղագնաց	ɑ s t ʁ ɑ kʰ ə n ɑ t͡sʰ
աստղագուշակություն	ɑ s t ʁ ɑ kʰ u ʃ ɑ ɡ u tʰ ʏ n
աստղադիտակ	ɑ s t ʁ ɑ tʰ i d ɑ ɡ
աստղադիտարան	ɑ s t ʁ ɑ tʰ i d ɑ ɾ ɑ n
աստղակերպ	ɑ s t ʁ ɑ ɡ e ɾ b
աստղանիշ	ɑ s t ʁ ɑ n i ʃ
աստղանման	ɑ s t ʁ ɑ n ə m ɑ n
աստղաֆիզիկա	ɑ s t ʁ ɑ f i z i ɡ ɑ
աստուճ	ɑ s t u d͡ʒ
աստված	ɑ s t v ɑ d͡z
աստվածաբան	ɑ s t v ɑ d͡z ɑ pʰ ɑ n
աստվածաբանական	ɑ s t v ɑ d͡z ɑ pʰ ɑ n ɑ ɡ ɑ n
աստվածաբանություն	ɑ s t v ɑ d͡z ɑ pʰ ɑ n u tʰ ʏ n
աստվածածանոթ	ɑ s t v ɑ d͡z ɑ d͡z ɑ n o tʰ
աստվածածանոթություն	ɑ s t v ɑ d͡z ɑ d͡z ɑ n o tʰ u tʰ ʏ n
աստվածամերժություն	ɑ s t v ɑ d͡z ɑ m e ɾ ʒ u tʰ ʏ n
աստվածաշունչ	ɑ s t v ɑ d͡z ɑ ʃ u n t͡ʃʰ
աստվածեղեն	ɑ s t v ɑ d͡z e ʁ e n
աստվածյան	ɑ s t v ɑ d͡z j ɑ n
աստվածուհի	ɑ s t v ɑ d͡z u h i
աստրոլաբ	ɑ s t ɾ o l ɑ pʰ
ասր	ɑ s ə ɾ
ասք	ɑ s kʰ
ասֆալտ	ɑ s f ɑ l d
ավագ	ɑ v ɑ kʰ
ավագանի	ɑ v ɑ kʰ ɑ n i
ավագանու	ɑ v ɑ kʰ ɑ n u
ավազ	ɑ v ɑ z
ավազակ	ɑ v ɑ z ɑ ɡ
ավազականոց	ɑ v ɑ z ɑ ɡ ɑ n o t͡sʰ
ավազան	ɑ v ɑ z ɑ n
ավազաքար	ɑ v ɑ z ɑ kʰ ɑ ɾ
ավազուտ	ɑ v ɑ z u d
ավաղ	ɑ v ɑ ʁ
ավան	ɑ v ɑ n
ավանակ	ɑ v ɑ n ɑ ɡ
ավանդ	ɑ v ɑ n tʰ
ավանդական	ɑ v ɑ n tʰ ɑ ɡ ɑ n
ավանդել	ɑ v ɑ n tʰ e l
ավանդություն	ɑ v ɑ n tʰ u tʰ ʏ n
ավանդույթ	ɑ v ɑ n tʰ u j tʰ
ավատ	ɑ v ɑ d
ավար	ɑ v ɑ ɾ
ավարերեն	ɑ v ɑ ɾ e ɾ e n
ավարտ	ɑ v ɑ ɾ d
ավարտել	ɑ v ɑ ɾ d e l
ավարտում	ɑ v ɑ ɾ d u m
ավարտուն	ɑ v ɑ ɾ d u n
ավարտված	ɑ v ɑ ɾ d v ɑ d͡z
ավարտվածություն	ɑ v ɑ ɾ d v ɑ d͡z u tʰ ʏ n
ավարտվել	ɑ v ɑ ɾ d v e l
ավել	ɑ v e l
ավելացնել	ɑ v e l ɑ t͡sʰ ə n e l
ավելացված	ɑ v e l ɑ t͡sʰ v ɑ d͡z
ավելացվել	ɑ v e l ɑ t͡sʰ v e l
ավելի	ɑ v e l i
ավելյաց	ɑ v e l j ɑ t͡sʰ
ավելնորդ	ɑ v e l n o ɾ tʰ
ավելորդ	ɑ v e l o ɾ tʰ
ավելուկ	ɑ v e l u ɡ
ավեստերեն	ɑ v e s t e ɾ e n
ավետ	ɑ v e d
ավետարան	ɑ v e d ɑ ɾ ɑ n
ավետիս	ɑ v e d i s
ավետիք	ɑ v e d i kʰ
ավետչեք	ɑ v e tʰ t͡ʃʰ e kʰ
ավետչյա	ɑ v e d t͡ʃʰ j ɑ
ավեր	ɑ v e ɾ
ավերակ	ɑ v e ɾ ɑ ɡ
ավերանք	ɑ v e ɾ ɑ ŋ kʰ
ավերել	ɑ v e ɾ e l
ավիաընկերություն	ɑ v i j ɑ ə ŋ ɡ e ɾ u tʰ ʏ n
ավիացիա	ɑ v i j ɑ t͡sʰ i j ɑ
ավինյոնյան	ɑ v i n j o n j ɑ n
ավիշ	ɑ v i ʃ
ավիրել	ɑ v i ɾ e l
ավյուն	ɑ v ʏ n
ավստրալիական	ɑ f s t ɾ ɑ l i j ɑ ɡ ɑ n
ավստրալիական	ɑ v ə s t ɾ ɑ l i j ɑ ɡ ɑ n
ավստրալիացի	ɑ f s t ɾ ɑ l j ɑ t͡sʰ i
ավստրիական	ɑ f s t ɾ i j ɑ ɡ ɑ n
ավստրիական	ɑ v ə s t ɾ i j ɑ ɡ ɑ n
ավտոկայանատեղի	ɑ v d o ɡ ɑ j ɑ n ɑ d e ʁ i
ավտոմայրուղի	ɑ f d o m ɑ j ɾ u ʁ i
ավտոմեքենա	ɑ v d o m e kʰ e n ɑ
ավտոպարկ	ɑ f d o b ɑ ɾ ɡ
ավտոռեֆերատ	ɑ v d o ɾ e f e ɾ ɑ d
ավտովարորդ	ɑ v d o v ɑ ɾ o ɾ tʰ
ավտոտնակ	ɑ f d o d ə n ɑ ɡ
ատ	ɑ d
ատակ	ɑ d ɑ ɡ
ատաղձ	ɑ d ɑ χ t͡sʰ
ատաղձագործ	ɑ d ɑ χ t͡sʰ ɑ kʰ o ɾ d͡z
ատամ	ɑ d ɑ m
ատաման	ɑ d ɑ m ɑ n
ատամնաբույժ	ɑ d ɑ m n ɑ pʰ u j ʒ
ատամնաբույժ	ɑ t ɑ m n ɑ b u ʒ
ատամնային	ɑ d ɑ m n ɑ j i n
ատամնաշար	ɑ d ɑ m n ɑ ʃ ɑ ɾ
ատամնափորիչ	ɑ d ɑ m n ɑ pʰ o ɾ i t͡ʃʰ
ատամները	ɑ d ɑ m n e ɾ ə
ատանկ	ɑ d ɑ ŋ ɡ
ատել	ɑ d e l
ատելություն	ɑ d e l u tʰ ʏ n
ատեն	ɑ d e n
ատենախոսություն	ɑ d e n ɑ χ o s u tʰ ʏ n
ատեստատ	ɑ d e s t ɑ d
ատկատ	ɑ d ɡ ɑ d
ատյան	ɑ d j ɑ n
ատյան	ɑ t͡s j ɑ n
ատոլ	ɑ d o l
ատոմ	ɑ d o m
ատոմային	ɑ d o m ɑ j i n
ատոնք	ɑ d o ŋ kʰ
ատոք	ɑ d o kʰ
ատտա	ɑ dː ɑ
ատրագույն	ɑ d ɾ ɑ kʰ u j n
ատրճան	ɑ d ə ɾ d͡ʒ ɑ n
ատրճանակ	ɑ d ə ɾ d͡ʒ ɑ n ɑ ɡ
ատրուշան	ɑ d ɾ u ʃ ɑ n
ար	ɑ ɾ
արա	ɑ ɾ ɑ
արաբ	ɑ ɾ ɑ pʰ
արաբական	ɑ ɾ ɑ pʰ ɑ ɡ ɑ n
արաբերեն	ɑ ɾ ɑ pʰ e ɾ e n
արագ	ɑ ɾ ɑ kʰ
արագաշարժ	ɑ ɾ ɑ kʰ ɑ ʃ ɑ ɾ ʒ
արագաչափ	ɑ ɾ ɑ kʰ ɑ t͡ʃʰ ɑ pʰ
արագարար	ɑ ɾ ɑ kʰ ɑ ɾ ɑ ɾ
արագացում	ɑ ɾ ɑ kʰ ɑ t͡sʰ u m
արագացուցիչ	ɑ ɾ ɑ kʰ ɑ t͡sʰ u t͡sʰ i t͡ʃʰ
արագիլ	ɑ ɾ ɑ kʰ i l
արագոնացի	ɑ ɾ ɑ kʰ o n ɑ t͡sʰ i
արագոներեն	ɑ ɾ ɑ kʰ o n e ɾ e n
արագություն	ɑ ɾ ɑ kʰ u tʰ ʏ n
արած	ɑ ɾ ɑ d͡z
արածել	ɑ ɾ ɑ d͡z e l
արածեցնել	ɑ ɾ ɑ d͡z e t͡sʰ ə n e l
արական	ɑ ɾ ɑ ɡ ɑ n
արահետ	ɑ ɾ ɑ h e d
արաղ	ɑ ɾ ɑ ʁ
արամբի	ɑ ɾ ɑ m pʰ i
արամեացի	ɑ ɾ ɑ m e ɑ t͡sʰ i
արամեերեն	ɑ ɾ ɑ m eː ɾ e n
արամերեն	ɑ ɾ ɑ m e ɾ e n
արատ	ɑ ɾ ɑ d
արատավոր	ɑ ɾ ɑ d ɑ v o ɾ
արար	ɑ ɾ ɑ ɾ
արարած	ɑ ɾ ɑ ɾ ɑ d͡z
արարել	ɑ ɾ ɑ ɾ e l
արարիչ	ɑ ɾ ɑ ɾ i t͡ʃʰ
արարյալ	ɑ ɾ ɑ ɾ j ɑ l
արարողություն	ɑ ɾ ɑ ɾ o ʁ u tʰ ʏ n
արարք	ɑ ɾ ɑ ɾ kʰ
արաց	ɑ ɾ ɑ t͡sʰ
արբանյակ	ɑ ɾ pʰ ɑ n j ɑ ɡ
արբանյակային	ɑ ɾ pʰ ɑ n j ɑ ɡ ɑ j i n
արբել	ɑ ɾ pʰ e l
արբենալ	ɑ ɾ pʰ e n ɑ l
արբուն	ɑ ɾ pʰ u n
արբունք	ɑ ɾ pʰ u ŋ kʰ
արգահատել	ɑ ɾ kʰ ɑ h ɑ d e l
արգանակ	ɑ ɾ kʰ ɑ n ɑ ɡ
արգանդ	ɑ ɾ kʰ ɑ n tʰ
արգանդային	ɑ ɾ kʰ ɑ n tʰ ɑ j i n
արգանդափող	ɑ ɾ kʰ ɑ n tʰ ɑ pʰ o ʁ
արգասիք	ɑ ɾ kʰ ɑ s i kʰ
արգավանդ	ɑ ɾ kʰ ɑ v ɑ n tʰ
արգել	ɑ ɾ kʰ e l
արգելակ	ɑ ɾ kʰ e l ɑ ɡ
արգելան	ɑ ɾ kʰ e l ɑ n
արգելել	ɑ ɾ kʰ e l e l
արգելոց	ɑ ɾ kʰ e l o t͡sʰ
արգելք	ɑ ɾ kʰ e l kʰ
արգումենտ	ɑ ɾ kʰ u m e n d
արդ	ɑ ɾ tʰ
արդար	ɑ ɾ tʰ ɑ ɾ
արդարադատություն	ɑ ɾ tʰ ɑ ɾ ɑ tʰ ɑ d u tʰ ʏ n
արդարացի	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ i
արդարացնել	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ ə n e l
արդարացում	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ u m
արդարություն	ɑ ɾ tʰ ɑ ɾ u tʰ ʏ n
արդարև	ɑ ɾ tʰ ɑ ɾ e v
արդեն	ɑ ɾ tʰ e n
արդի	ɑ ɾ tʰ i
արդիական	ɑ ɾ tʰ i j ɑ ɡ ɑ n
արդիականացում	ɑ ɾ tʰ i j ɑ ɡ ɑ n ɑ t͡sʰ u m
արդյամբ	ɑ ɾ tʰ j ɑ m pʰ
արդյան	ɑ ɾ tʰ j ɑ n
