A	a
pīle	p īː l ɛ
pīzda	p īː z d a
pīķis	p īː c i s
pļaujmašīna	p ʎ ā w m a ʃ īː n a
pļaut	p ʎ ā ū t
pļava	p ʎ a v a
pļāpāt	p ʎ āː p â t
pūce	p ūː t͡s ɛ
pūst	p ùː s t
pūt	p ūː t
pūķis	p ūː c i s
pūšana	p ùː ʃ a n a
pūšana	p ūː ʃ a n a
r	ɾ
ragana	ɾ a ɡ a n a
rags	ɾ a k s
raize	r a î z ɛ
raksts	ɾ a k s t s
raksturs	ɾ a k s t u ɾ s
rakstīt	ɾ a k s t îː t
rakt	ɾ a k t
rambutāns	r a m b u t a n s
rast	ɾ a s t
rats	ɾ a t s
rauda	ɾ ā ū d a
raudāt	ɾ a û d â t
raža	ɾ a ʒ a
redzēt	ɾ ɛ d z ɛ̂ː t
resns	r æ s n s
rets	ɾ æ t s
reņģe	ɾ ɛ̄ ɲ ɟ ɛ
režīms	ɾ ɛ ʒ īː m s
riet	r i ɛ̂ t
rinda	ɾ ī n d a
rits	ɾ i t s
roka	ɾ ù o k a
ronis	ɾ ū ō n i s
roze	r ū ō z ɛ
rudens	ɾ u d ɛ n s
runcis	ɾ ū n t s i s
rātns	ɾ āː t n s
rīks	ɾ ìː k s
rīt	ɾ îː t
rīt	ɾ īː t
rītdiena	ɾ îː d d ì ɛ n a
rīts	ɾ îː t͡s
rītā	ɾ îː t âː
rūgts	ɾ ûː k t
rūsa	ɾ ûː s a
rūsa	ɾ ūː s a
rūsēt	ɾ ùː s ɛ̂ː t
rūķītis	r uː c iː t i s
s	s
saart	s a â ɾ t
sacept	s a t s ɛ p t
sacīt	s a t͡s îː t
saiklis	s ā j k l i s
sala	s a l a
salds	s â l t s
salmiņš	s a l m i ɲ ʃ
salns	s â l n s
samts	s a m t s
sargs	s â ɾ k s
sargāt	s â r ɡ āː t
sarkans	s â ɾ k a n s
sarkanīgs	s a ɾ k a n iː ɡ s
sauss	s à w s
sauļot	s ā ū ʎ u ô t
sedulka	s æ d u l k a
sega	s æ ɡ a
segli	s æ ɡ l i
seglot	s æ ɡ l u ô t
sekls	s æ k l s
sekss	s ɛ k s
selga	s ǣ l ɡ a
sen	s ɛ n
sence	s ɛ̄ n t͡s ɛ
sencis	s ɛ̄ n t͡s i s
sens	s æ n s
sentence	s e n t e n t s æ
septiņi	s ɛ p t i ɲ i
sermulis	s æ̂ ɾ m u l i s
seši	s ɛ ʃ i
siekalas	s ī ɛ̄ k a l a s
siena	s i ê n a
siens	s ì e n s
siers	s ī ɛ̄ ɾ s
sieva	s ī ɛ̄ v a
sils	s i l s
silts	s ī l t s
siltumnīca	s i l t u m n iː t s a
sirds	s î ɾ t͡s
sirms	s ī ɾ m s
sirpis	s ì ɾ p i s
skaidrot	s k ā ī d r u ô t
skaidrs	s k ā ī d r s
skaists	s k ā ī s t s
skaitīt	s k à j t îː t
skate	s k a t ɛ
skatīt	s k a t îː t
skaļrunis	s k a ʎ ɾ u n i s
skaļš	s k a ʎ ʃ
skumjas	s k ù m j a s
skumjums	s k ù m j u m s
skumt	s k ù m t
skābs	s k âː b s
skābt	s k âː p t
skūpsts	s k ûː p s t s
skūpstīt	s k ûː p s t īː t
slaids	s l a î t s
slaiks	s l a î k s
slaucīt	s l ā w t͡s îː t
slaukt	s l à w k t
slepkava	s l æ p k a v a
slieksnis	s l ì ɛ k s n i s
slikts	s l i k t͡s
slinks	s l ī n k s
sliņķis	s l ī ɲ c i s
sloka	s l ù o k a
slota	s l u ô t a
slēpt	s l ɛ̀ː p t
smags	s m a k s
smaids	s m ā ī t s
smaidīt	s m ā ī d îː t
smiekls	s m i ɛ̂ k l s
smuks	s m u k s
smukums	s m u k u m s
sniegs	s n ì ɛ k s
sods	s ù o t s
spainis	s p ā ī n i s
spalgs	s p â l k s
spalva	s p ā l v a
speķis	s p ɛ c i s
spilgts	s p ī l k t s
spilve	s p ì l v e
spilve	s p ī l v e
spilvens	s p ì l v æ n s
spirgts	s p ī ɾ k t s
spodrs	s p u ô d ɾ s
spogulis	s p ū ō ɡ u l i s
sportisks	s p o ɾ t i s k s
sportiskums	s p o ɾ t i s k u m s
spriedums	s p ɾ i ɛ̂ d u m s
spriest	s p ɾ i ɛ̂ s t
spuldze	s p û l d z ɛ
spulgs	s p û l k s
spārns	s p àː ɾ n s
spējš	s p ɛ̀ː j ʃ
spējš	s p ɛ̄ː j ʃ
spēks	s p æ̀ː k s
spēle	s p ɛː l ɛ
spēlēt	s p ɛː l ɛː t
spļaut	s p ʎ ā ū t
staigns	s t à j ɡ n s
starp	s t a ɾ p
stingrs	s t î ŋ ɡ ɾ s
stingrs	s t ī ŋ ɡ ɾ s
stings	s t ī ŋ ɡ s
stiprs	s t i p ɾ s
stirna	s t ī ɾ n a
stirnāzis	s t i ɾ n âː z i s
stops	s t ū ō p s
straujš	s t ɾ à u j ʃ
strauts	s t r ā ū t s
strādāt	s t ɾ àː d âː t
strēle	s t ɾ ɛ̂ː l ɛ
studente	s t u d æː n t æ
students	s t u d æː n t s
studēt	s t u d ɛ̂ː t
stulbs	s t ù l p s
stulms	s t û l m s
stumt	s t ù m t
stumt	s t ū m t
stāds	s t àː t s
stādīt	s t āː d îː t
stārķis	s t āː ɾ ɟ i s
stāsts	s t âː s t s
stāstīt	s t âː s t îː t
stāvoklis	s t āː v u o k l i s
stāvēt	s t āː v ɛ̂ː t
stīvs	s t īː w s
suga	s u ɡ a
svaine	s v â j n ɛ
svainis	s v â j n i s
sveiks	s v ɛ̀ j k s
svešs	s v ɛ ʃ
sviests	s v i ɛ̂ s t s
svārki	s v àː ɾ k i
svārki	s v āː ɾ k i
sākt	s âː k t
sāls	s àː l s
sāmenis	s aː m e n i s
sārts	s āː ɾ t s
sēklis	s ɛ̀ː k l i s
sēklis	s ɛ̄ː k l i s
sēne	s ɛ̄ː n ɛ
sērs	s ǣː ɾ s
sēta	s ǣː t a
sīks	s îː k s
sīvs	s īː w s
sūds	s ūː t͡s
sūkt	s ùː k t
sūna	s ûː n a
sūrs	s ūː ɾ s
sūtījums	s ùː t īː j u m s
sūtīt	s ùː t îː t
t	t
tabaka	t a b a k a
tabakmaks	t a b a k m a k s
tagad	t a ɡ a t
takts	t a k t͡s
taktsātrums	t a k t͡s āː t ɾ u m s
tapirs	t a p i ɾ s
tapt	t a p t
tas	t a s
tastatūra	t a s t a t ūː ɾ a
taurs	t à u r s
taurs	t ā ū r s
taustīt	t â w s t îː t
tauta	t à w t a
taču	t a t͡ʃ u
tecēt	t ɛ t͡s ɛ̂ː t
teika	t ē ī k a
teikt	t ɛ̀ i k t
telts	t ɛ̄ l t͡s
temperatūra	t ɛ̄ m p ɛ ɾ a t ūː ɾ a
temperatūra	t ɛ̄ m p ɾ a t ūː ɾ a
ticēt	t i t s ɛ̂ː t
tievs	t i ê w s
tilts	t ī l t s
tinte	t ī n t e
tirgus	t ì ɾ ɡ u s
traks	t ɾ a k s
trakums	t ɾ a k u m s
traucēt	t r à w t s ɛ̂ː t
trīs	t r iː s
trūkt	t ɾ ūː k t
tu	t u
tuksnesis	t u k s n ɛ s i s
tulkot	t ū l k u ô t
tulks	t ū l k s
tumšs	t ù m ʃ
tundra	t u n d ɾ a
tur	t ù ɾ
turpinājums	t ù ɾ p i n âː j u m s
turpināt	t ù ɾ p i n âː t
turpmāks	t ū ɾ p m âː k
turēt	t u ɾ ɛ̂ː t
tuvs	t u w s
tā	t àː
tā	t âː
tā	t āː
tāds	t âː t͡s
tāfele	t āː f ɛ l ɛ
tāls	t âː l s
tāss	t āː s s
tē	t ɛː
tētis	t ɛ̄ː t i s
tēvocis	t ǣː v u ô t͡s i s
tēvs	t ǣː w s
tīrs	t īː ɾ s
u	u
ubagot	u b a ɡ u ô t
ubags	u b a k s
uguns	u ɡ u n s
un	ù n
upuris	u p u ɾ i s
uzart	s a â ɾ t
uzcept	u s t s ɛ p t
uzdevums	u z d ɛ v u m s
uzsvars	u s v a ɾ s
uzticēt	u z t i t s ɛ̂ː t
v	v
vabole	v a b ù o l ɛ
vads	v a t s
vadīt	v a d îː t
vai	v a î
vai	v à i
vai	v ā ī
vaina	v ā ī n a
vaisla	v à j s l a
vajadzēt	v a j a d͡z ɛ̂ː t
vakar	v a k a r
vakardiena	v a k a ɾ d ì ɛ n a
vakariņas	v a k a ɾ i ɲ a s
vakars	v a k a ɾ s
valgs	v ā l k s
valis	v a l i s
valks	v â l k s
valoda	v a l u ô d a
valsts	v à l s t s
valūta	v a l ùː t a
varavīksne	v a ɾ a v îː k s n ɛ
varde	v â r d ɛ
varēt	v a ɾ ɛ̂ː t
vasks	v a s k s
vecs	v æ t͡s
vedekla	v æ d æ k l a
veids	v ɛ̄ ī t s
veikals	v ɛ̄ ī k a l s
velns	v ǣ l n s
verbs	v æ ɾ b s
verbs	v ɛ ɾ b s
vesels	v æ s æ l s
viegls	v ì ɛ ɡ l s
vienpadsmit	v i͡ɛ n p a t s m i t
viesis	v ì ɛ s i s
viesnīca	v ì e s n īː t s a
vilciens	v ì l c i e n s
vilks	v ì l k s
vilna	v ī l n a
vilnis	v î l n i s
vingrot	v ī ŋ ɡ ɾ u ô t
vingrs	v ī ŋ ɡ ɾ s
virs	v ì r s
virsa	v ì r s a
virsis	v ì r s i s
virsus	v ì r s u s
visacīgākais	a t s iː ɡ aː k a i s
visbīstamāk	v i s b iː s t a m aː k
visbīstamākais	v i s b iː s t a m aː k a i s
viss	v i s
visētiskāk	v i s eː t i s k aː k
visētiskākais	v i s eː t i s k aː k a i s
viņš	v i ɲ ʃ
vāci	v āː t s i
vājš	v âː j ʃ
vāks	v âː k s
vālodze	v āː l u ô d z ɛ
vārds	v àː ɾ d s
vārna	v āː ɾ n a
vārīt	v àː ɾ îː t
vārīt	v āː ɾ îː t
vāvere	v āː v ɛ ɾ ɛ
vāverēns	v āː v ɛ ɾ ɛ̄ː n s
vē	v ɛː
vēdeklis	v ɛ̄ː d ɛ k l i s
vēders	v æ̂ː d æ ɾ s
vēdzele	v ɛ̂ː d z ɛ l ɛ
vējš	v ɛ̄ː j ʃ
vēl	v ǣː l
vēl	v ɛ̂ː l
vēlreiz	v ɛ̂ l r e ī z
vēls	v æ̂ː l s
vērsis	v ɛ̀ː r s i s
vērts	v ǣː ɾ t͡s
vēsma	v ǣː s m a
vēss	v ǣː s
vēstule	v æ̀ː s t u l ɛ
vēsture	v æ̀ː s t u ɾ ɛ
vēsturniece	v æ̀ː s t u ɾ n i ɛ t s ɛ
vēsturnieks	v æ̀ː s t u ɾ n i ɛ k s
vētra	v ǣː t ɾ a
vēzis	v ɛ̂ː z i s
vīle	v ìː l ɛ
vīle	v īː l ɛ
vīns	v īː n s
vīrietis	v īː ɾ i e t i s
vīrs	v īː ɾ s
z	z
zagle	z a ɡ l ɛ
zaglis	z a ɡ l i s
zaldāts	z ā l d āː t s
zarna	z â ɾ n a
zars	z ā ɾ s
zaudēt	z à w d ɛ̂ː t
zaķis	z a c i s
zaļš	z a ʎ ʃ
zelt	z ê l t
zelts	z æ̀ l t s
zeme	z ɛ m ɛ
zems	z æ m s
zeņķis	z ɛ̄ ɲ c i s
zibens	z i b ɛ n s
ziema	z ì ɛ m a
ziemot	z ì ɛ m u ô t
zintēt	z i n t ɛː t
zintēties	z i n t eː t i e s
zināt	z i n âː t
zinātne	z i n âː t n ɛ
zirdziņš	z î ɾ d͡z i ɲ ʃ
zirgs	z î ɾ k s
zirnis	z ī ɾ n i s
zivs	z i w s
ziņote	z i ɲ u ô t ɛ
znots	z n u ō t s
zoss	z ù o s
zust	z u s t
zvaigzne	z v à j ɡ z n ɛ
zvejot	z v e j u ô t
zviegt	z v ì ɛ k t
zvirbulis	z v ī ɾ b u l i s
zvērs	z v æ̂ː ɾ s
zvīņa	z v īː ɲ a
zābaks	z àː b a k s
zāle	z âː l ɛ
zāle	z āː l ɛ
zāģis	z āː ɟ i s
zāģēt	z āː ɟ ɛ̂ː t
zē	z ɛː
zēns	z ǣː n s
zīlīte	z īː l ìː t ɛ
zīmulis	z ìː m u l i s
zīst	z î s t
Ā	aː
Ādaži	aː d a ʒ i
ā	aː
ābele	âː b ɛ l e
āda	âː d a
ājurvēda	aː j u ɾ v æː d a
ālants	āː l a n t s
āliņģis	āː l ī ɲ ɟ i s
āmurs	āː m u ɾ s
āpsis	âː p s i s
āre	âː ɾ ɛ
āre	āː ɾ ɛ
ārs	âː ɾ s
ārs	āː ɾ s
ārsts	āː r s t s
ātrs	āː t ɾ s
ātrums	āː t ɾ u m s
āzenis	aː z e n i s
āzis	âː z i s
Č	t ʃ
č	t ʃ
čakls	t ʃ a k l s
čakste	t͡ʃ a k s t e
četri	t s æ t r i
četri	t ʃ ɛ t r i
čiekurs	t ʃ i ē k u r s
čoms	t ʃ o m s
čē	t ʃ ɛː
čība	t ʃ īː b a
čūska	t͡ʃ ūː s k a
Ē	æː
Ē	ɛː
Ēģipte	æː ɟ i p t e
ē	æː
ē	ɛː
ēdiens	êː d i e n s
ēna	ǣː n a
ērce	ɛ̄ː ɾ t͡s ɛ
ērglis	ɛ̀ː ɾ ɡ l i s
ērkšķis	êː r k ʃ t͡ʃ i s
ērkšķis	ɛ̄ː ɾ k ʃ t͡ʃ i s
ērts	æ̀ː ɾ t s
ēst	ɛ̂ː s t
ētiskais	eː t i s k a i s
ētiski	eː t i s k i
ētisks	eː t i s k s
ētiskāks	eː t i s k aː k s
ēzelis	ɛ̄ː z ɛ l i s
Ģ	ɟ
ģ	ɟ
ģerbonis	ɟ æ̀ r b ù o n i s
ģerbonis	ɟ æ̂ː r b u o n i s
ģimene	ɟ i m ɛ n ɛ
ģints	ɟ ì n t s
ģē	ɟ ɛː
Ī	iː
ī	iː
īgns	î ɡ n s
īgt	îː k t
īlens	īː l æ n s
īpašs	īː p a ʃ
īpašība	īː p a ʃ ìː b a
īss	îː s
īstens	īː s t ɛ n s
īsts	īː s t s
īstums	īː s t u m s
Ķ	c
ķ	c
ķauķis	c a u c i s
ķeizariste	c e i z a r i s t e
ķeksis	c ɛ k s i s
ķemme	c ɛ̄ m m ɛ
ķermenis	c ɛ̄ ɾ m ɛ n i s
ķieģelis	c ī ɛ̄ ɟ ɛ l i s
ķiploks	c i p l u ō k s
ķirbis	c ī ɾ b i s
ķirsis	c î ɾ s i s
ķirzaka	c ī ɾ z a k a
ķē	c ɛː
ķēde	c ɛ̄ː d ɛ
ķēniņš	c ɛ̄ː n i ɲ ʃ
ķēve	c ɛ̄ː v ɛ
ķīsis	c īː s i s
Ļ	ʎ
ļ	ʎ
ļaudis	ʎ à w d i s
ļauns	ʎ ā ū n s
ļoti	ʎ ù o t i
Ņ	ɲ
ņ	ɲ
ņemt	ɲ ɛ̂ m t
ņiprs	ɲ i p ɾ s
Š	ʃ
š	ʃ
šakālis	ʃ a k aː l i s
šaurs	ʃ à u ɾ s
šausmas	ʃ ā ū s m a s
šašliks	ʃ a ʃ l i k s
šeit	ʃ ɛ î t
šeit	ʃ ɛ̄ ī t
šimpanze	ʃ ī m p ā n z e
šmaukt	ʃ m à w k t
šāds	ʃ âː t͡s
šķidrs	ʃ c i d ɾ s
šķirklis	ʃ c ī ɾ k l i s
šķēps	ʃ c æ̀ p s
šķēres	ʃ c ɛ̄ː ɾ ɛ s
šķērslis	ʃ c ɛ̀ː ɾ s l i s
šķērsot	ʃ c ɛ̀ː ɾ s u ô t
šķērss	ʃ c ɛ̀ː ɾ s
šķērst	ʃ c ɛ̀ː ɾ s t
šķīsts	ʃ c îː s t s
šķīvis	ʃ c īː v i s
šņabis	ʃ ɲ a b i s
šūt	ʃ ūː t
Ū	uː
ū	uː
ūdens	ûː d ɛ n s
ūdrs	ûː d ɾ s
ūsa	ūː s a
Ž	ʒ
ž	ʒ
žagas	ʒ a ɡ a s
žargonvārds	ʒ a r ɡ o n v aː r d s
žigls	ʒ i ɡ l s
žirgts	ʒ ī ɾ k t s
žogs	ʒ ù o ɡ s
žoklis	ʒ u ô k l i s
žults	ʒ u l t s
žurka	ʒ ù ɾ k a
žurka	ʒ ū ɾ k a
žurnāls	ʒ u r n aː l s
žē	ʒ ɛː
žēl	ʒ ǣː l
žīds	ʒ īː d s
