A	ʔ aː ˧˧
chỉnh	t͡ɕ ï ŋ ˧˩
chỉnh đốn	t͡ɕ ï ŋ ˧˩ ʔ ɗ o n ˧˦
chỉnh hình	t͡ɕ ï ŋ ˧˩ h ï ŋ ˨˩
chỉnh hợp	t͡ɕ ï ŋ ˧˩ h əː p̚ ˧˨ ʔ
chỉnh huấn	t͡ɕ ï ŋ ˧˩ h w ə n ˧˦
chỉnh lí	t͡ɕ ï ŋ ˧˩ l i ˧˦
chỉnh lưu	t͡ɕ ï ŋ ˧˩ l i w ˧˧
chỉnh sửa	t͡ɕ ï ŋ ˧˩ s ɨ ə ˧˩
chỉnh tề	t͡ɕ ï ŋ ˧˩ t e ˨˩
chỉnh thể	t͡ɕ ï ŋ ˧˩ tʰ e ˧˩
chỉnh trang	t͡ɕ ï ŋ ˧˩ t͡ɕ aː ŋ ˧˧
chỉnh trị	t͡ɕ ï ŋ ˧˩ t͡ɕ i ˧˨ ʔ
chĩnh	t͡ɕ ï ŋ ˦ˀ˥
chính	t͡ɕ ï ŋ ˧˦
chính biến	t͡ɕ ï ŋ ˧˦ ʔ ɓ i ə n ˧˦
chính chuyên	t͡ɕ ï ŋ ˧˦ t͡ɕ w i ə n ˧˧
chính cống	t͡ɕ ï ŋ ˧˦ k ə w ŋ͡m ˧˦
chính cương	t͡ɕ ï ŋ ˧˦ k ɨ ə ŋ ˧˧
chính danh	t͡ɕ ï ŋ ˧˦ z a j ŋ̟ ˧˧
chính diện	t͡ɕ ï ŋ ˧˦ z i ə n ˧˨ ʔ
chính đại	t͡ɕ ï ŋ ˧˦ ʔ ɗ aː j ˧˨ ʔ
chính đảng	t͡ɕ ï ŋ ˧˦ ʔ ɗ aː ŋ ˧˩
chính đáng	t͡ɕ ï ŋ ˧˦ ʔ ɗ aː ŋ ˧˦
chính đạo	t͡ɕ ï ŋ ˧˦ ʔ ɗ aː w ˧˨ ʔ
chính đề	t͡ɕ ï ŋ ˧˦ ʔ ɗ e ˨˩
chính giáo	t͡ɕ ï ŋ ˧˦ z aː w ˧˦
chính giới	t͡ɕ ï ŋ ˧˦ z əː j ˧˦
chính giữa	t͡ɕ ï ŋ ˧˦ z ɨ ə ˦ˀ˥
chính gốc	t͡ɕ ï ŋ ˧˦ ɣ ə w k͡p̚ ˧˦
chính hãng	t͡ɕ ï ŋ ˧˦ h aː ŋ ˦ˀ˥
chính hiệu	t͡ɕ ï ŋ ˧˦ h i ə w ˧˨ ʔ
chính khách	t͡ɕ ï ŋ ˧˦ x a j k̟̚ ˧˦
chính kiến	t͡ɕ ï ŋ ˧˦ k i ə n ˧˦
chính lưu	t͡ɕ ï ŋ ˧˦ l i w ˧˧
chính mình	t͡ɕ ï ŋ ˧˦ m ï ŋ ˨˩
chính nghĩa	t͡ɕ ï ŋ ˧˦ ŋ i ə ˦ˀ˥
chính phái	t͡ɕ ï ŋ ˧˦ f aː j ˧˦
chính phạm	t͡ɕ ï ŋ ˧˦ f aː m ˧˨ ʔ
chính phủ	t͡ɕ ï ŋ ˧˦ f u ˧˩
chính phủ lưu vong	t͡ɕ ï ŋ ˧˦ f u ˧˩ l i w ˧˧ v a w ŋ͡m ˧˧
chính quốc	t͡ɕ ï ŋ ˧˦ k u ə k̚ ˧˦
chính quy	t͡ɕ ï ŋ ˧˦ k w i ˧˧
chính quyền	t͡ɕ ï ŋ ˧˦ k w i ə n ˨˩
chính ra	t͡ɕ ï ŋ ˧˦ z aː ˧˧
chính sách	t͡ɕ ï ŋ ˧˦ s a j k̟̚ ˧˦
chính sử	t͡ɕ ï ŋ ˧˦ s ɨ ˧˩
chính sự	t͡ɕ ï ŋ ˧˦ s ɨ ˧˨ ʔ
chính tả	t͡ɕ ï ŋ ˧˦ t aː ˧˩
chính tắc	t͡ɕ ï ŋ ˧˦ t a k̚ ˧˦
chính tâm	t͡ɕ ï ŋ ˧˦ t ə m ˧˧
chính thất	t͡ɕ ï ŋ ˧˦ tʰ ə t̚ ˧˦
chính thể	t͡ɕ ï ŋ ˧˦ tʰ e ˧˩
chính thống	t͡ɕ ï ŋ ˧˦ tʰ ə w ŋ͡m ˧˦
Chính thống giáo	t͡ɕ ï ŋ ˧˦ tʰ ə w ŋ͡m ˧˦ z aː w ˧˦
chính thức	t͡ɕ ï ŋ ˧˦ tʰ ɨ k̚ ˧˦
chính tông	t͡ɕ ï ŋ ˧˦ t ə w ŋ͡m ˧˧
chính trị	t͡ɕ ï ŋ ˧˦ t͡ɕ i ˧˨ ʔ
chính trị gia	t͡ɕ ï ŋ ˧˦ t͡ɕ i ˧˨ ʔ z aː ˧˧
chính trị học	t͡ɕ ï ŋ ˧˦ t͡ɕ i ˧˨ ʔ h a w k͡p̚ ˧˨ ʔ
chính trị phạm	t͡ɕ ï ŋ ˧˦ t͡ɕ i ˧˨ ʔ f aː m ˧˨ ʔ
chính trị viên	t͡ɕ ï ŋ ˧˦ t͡ɕ i ˧˨ ʔ v i ə n ˧˧
chính trực	t͡ɕ ï ŋ ˧˦ t͡ɕ ɨ k̚ ˧˨ ʔ
chính trường	t͡ɕ ï ŋ ˧˦ t͡ɕ ɨ ə ŋ ˨˩
chính uỷ	t͡ɕ ï ŋ ˧˦ ʔ w i ˧˩
chính văn	t͡ɕ ï ŋ ˧˦ v a n ˧˧
chính xác	t͡ɕ ï ŋ ˧˦ s aː k̚ ˧˦
chính yếu	t͡ɕ ï ŋ ˧˦ ʔ i ə w ˧˦
chip	t͡ɕ i p̚ ˧˦
chíp	t͡ɕ i p̚ ˧˦
chíp chíp	t͡ɕ i p̚ ˧˦ t͡ɕ i p̚ ˧˦
chít	t͡ɕ i t̚ ˧˦
chịt	t͡ɕ i t̚ ˧˨ ʔ
chiu	t͡ɕ i w ˧˧
chiu chít	t͡ɕ i w ˧˧ t͡ɕ i t̚ ˧˦
chiu chíu	t͡ɕ i w ˧˧ t͡ɕ i w ˧˦
chíu	t͡ɕ i w ˧˦
chíu chít	t͡ɕ i w ˧˦ t͡ɕ i t̚ ˧˦
chịu	t͡ɕ i w ˧˨ ʔ
chịu chơi	t͡ɕ i w ˧˨ ʔ t͡ɕ əː j ˧˧
chịu đựng	t͡ɕ i w ˧˨ ʔ ʔ ɗ ɨ ŋ ˧˨ ʔ
chịu khó	t͡ɕ i w ˧˨ ʔ x ɔ ˧˦
chịu lửa	t͡ɕ i w ˧˨ ʔ l ɨ ə ˧˩
chịu nhiệt	t͡ɕ i w ˧˨ ʔ ɲ i ə t̚ ˧˨ ʔ
chịu phép	t͡ɕ i w ˧˨ ʔ f ɛ p̚ ˧˦
chịu thua	t͡ɕ i w ˧˨ ʔ tʰ u ə ˧˧
cho	t͡ɕ ɔ ˧˧
cho ... xin hai chữ "bình yên"	t͡ɕ ɔ ˧˧ s i n ˧˧ h aː j ˧˧ t͡ɕ ɨ ˦ˀ˥ ʔ ɓ ï ŋ ˨˩ ʔ i ə n ˧˧
cho biết	t͡ɕ ɔ ˧˧ ʔ ɓ i ə t̚ ˧˦
cho dù	t͡ɕ ɔ ˧˧ z u ˨˩
cho đến	t͡ɕ ɔ ˧˧ ʔ ɗ e n ˧˦
cho hay	t͡ɕ ɔ ˧˧ h a j ˧˧
cho không	t͡ɕ ɔ ˧˧ x ə w ŋ͡m ˧˧
cho là	t͡ɕ ɔ ˧˧ l aː ˨˩
cho nên	t͡ɕ ɔ ˧˧ n e n ˧˧
cho phép	t͡ɕ ɔ ˧˧ f ɛ p̚ ˧˦
cho rằng	t͡ɕ ɔ ˧˧ z a ŋ ˨˩
cho tên	t͡ɕ ɔ ˧˧ t e n ˧˧
cho thấy	t͡ɕ ɔ ˧˧ tʰ ə j ˧˦
cho thuê	t͡ɕ ɔ ˧˧ tʰ w e ˧˧
chò	t͡ɕ ɔ ˨˩
chò chỉ	t͡ɕ ɔ ˨˩ t͡ɕ i ˧˩
chỏ	t͡ɕ ɔ ˧˩
chõ	t͡ɕ ɔ ˦ˀ˥
chó	t͡ɕ ɔ ˧˦
Chó	t͡ɕ ɔ ˧˦
chó biển	t͡ɕ ɔ ˧˦ ʔ ɓ i ə n ˧˩
chó chăn cừu Đức	t͡ɕ ɔ ˧˦ t͡ɕ a n ˧˧ k i w ˨˩ ʔ ɗ ɨ k̚ ˧˦
chó chê mèo lắm lông	t͡ɕ ɔ ˧˦ t͡ɕ e ˧˧ m ɛ w ˨˩ l a m ˧˦ l ə w ŋ͡m ˧˧
chó chê mèo mửa	t͡ɕ ɔ ˧˦ t͡ɕ e ˧˧ m ɛ w ˨˩ m ɨ ə ˧˩
chó chết	t͡ɕ ɔ ˧˦ t͡ɕ e t̚ ˧˦
chó cỏ	t͡ɕ ɔ ˧˦ k ɔ ˧˩
chó cứ sủa còn đoàn người cứ đi	t͡ɕ ɔ ˧˦ k ɨ ˧˦ s u ə ˧˩ k ɔ n ˨˩ ʔ ɗ w aː n ˨˩ ŋ ɨ ə j ˨˩ k ɨ ˧˦ ʔ ɗ i ˧˧
chó đẻ	t͡ɕ ɔ ˧˦ ʔ ɗ ɛ ˧˩
chó đểu	t͡ɕ ɔ ˧˦ ʔ ɗ e w ˧˩
chó đốm	t͡ɕ ɔ ˧˦ ʔ ɗ o m ˧˦
chó hoang châu Phi	t͡ɕ ɔ ˧˦ h w aː ŋ ˧˧ t͡ɕ ə w ˧˧ f i ˧˧
chó lài	t͡ɕ ɔ ˧˦ l aː j ˨˩
chó má	t͡ɕ ɔ ˧˦ m aː ˧˦
chó ngáp phải ruồi	t͡ɕ ɔ ˧˦ ŋ aː p̚ ˧˦ f aː j ˧˩ z u ə j ˨˩
chó rừng	t͡ɕ ɔ ˧˦ z ɨ ŋ ˨˩
chó rừng lông vàng	t͡ɕ ɔ ˧˦ z ɨ ŋ ˨˩ l ə w ŋ͡m ˧˧ v aː ŋ ˨˩
chó săn	t͡ɕ ɔ ˧˦ s a n ˧˧
chó sói	t͡ɕ ɔ ˧˦ s ɔ j ˧˦
chó sói đất	t͡ɕ ɔ ˧˦ s ɔ j ˧˦ ʔ ɗ ə t̚ ˧˦
chó sói lửa	t͡ɕ ɔ ˧˦ s ɔ j ˧˦ l ɨ ə ˧˩
chó vàng	t͡ɕ ɔ ˧˦ v aː ŋ ˨˩
chó xù	t͡ɕ ɔ ˧˦ s u ˨˩
choa	t͡ɕ w aː ˧˧
choai	t͡ɕ w aː j ˧˧
choài	t͡ɕ w aː j ˨˩
choãi	t͡ɕ w aː j ˦ˀ˥
choại	t͡ɕ w aː j ˧˨ ʔ
choán	t͡ɕ w aː n ˧˦
Choang	t͡ɕ w aː ŋ ˧˧
choàng	t͡ɕ w aː ŋ ˨˩
choảng	t͡ɕ w aː ŋ ˧˩
choáng	t͡ɕ w aː ŋ ˧˦
choáng ngợp	t͡ɕ w aː ŋ ˧˦ ŋ əː p̚ ˧˨ ʔ
choáng váng	t͡ɕ w aː ŋ ˧˦ v aː ŋ ˧˦
choắt	t͡ɕ w a t̚ ˧˦
chọc	t͡ɕ a w k͡p̚ ˧˨ ʔ
chọc ghẹo	t͡ɕ a w k͡p̚ ˧˨ ʔ ɣ ɛ w ˧˨ ʔ
chọc giận	t͡ɕ a w k͡p̚ ˧˨ ʔ z ə n ˧˨ ʔ
chọc lét	t͡ɕ a w k͡p̚ ˧˨ ʔ l ɛ t̚ ˧˦
chọc phá	t͡ɕ a w k͡p̚ ˧˨ ʔ f aː ˧˦
chọc quê	t͡ɕ a w k͡p̚ ˧˨ ʔ k w e ˧˧
chọc tiết	t͡ɕ a w k͡p̚ ˧˨ ʔ t i ə t̚ ˧˦
chọc trời	t͡ɕ a w k͡p̚ ˧˨ ʔ t͡ɕ əː j ˨˩
chọc tức	t͡ɕ a w k͡p̚ ˧˨ ʔ t ɨ k̚ ˧˦
choe choé	t͡ɕ w ɛ ˧˧ t͡ɕ w ɛ ˧˦
choé	t͡ɕ w ɛ ˧˦
choi choi	t͡ɕ ɔ j ˧˧ t͡ɕ ɔ j ˧˧
chòi	t͡ɕ ɔ j ˨˩
chòi canh	t͡ɕ ɔ j ˨˩ k a j ŋ̟ ˧˧
chòi mòi	t͡ɕ ɔ j ˨˩ m ɔ j ˨˩
chỏi	t͡ɕ ɔ j ˧˩
chói	t͡ɕ ɔ j ˧˦
chói chang	t͡ɕ ɔ j ˧˦ t͡ɕ aː ŋ ˧˧
chói loá	t͡ɕ ɔ j ˧˦ l w aː ˧˦
chọi	t͡ɕ ɔ j ˧˨ ʔ
chòm	t͡ɕ ɔ m ˨˩
chòm sao	t͡ɕ ɔ m ˨˩ s aː w ˧˧
chòm xóm	t͡ɕ ɔ m ˨˩ s ɔ m ˧˦
chỏm	t͡ɕ ɔ m ˧˩
chon chót	t͡ɕ ɔ n ˧˧ t͡ɕ ɔ t̚ ˧˦
chọn	t͡ɕ ɔ n ˧˨ ʔ
chọn lọc	t͡ɕ ɔ n ˧˨ ʔ l a w k͡p̚ ˧˨ ʔ
chọn lựa	t͡ɕ ɔ n ˧˨ ʔ l ɨ ə ˧˨ ʔ
chong	t͡ɕ a w ŋ͡m ˧˧
chong chóng	t͡ɕ a w ŋ͡m ˧˧ t͡ɕ a w ŋ͡m ˧˦
chòng	t͡ɕ a w ŋ͡m ˨˩
chòng chọc	t͡ɕ a w ŋ͡m ˨˩ t͡ɕ a w k͡p̚ ˧˨ ʔ
chỏng	t͡ɕ a w ŋ͡m ˧˩
chõng	t͡ɕ a w ŋ͡m ˦ˀ˥
chóng	t͡ɕ a w ŋ͡m ˧˦
chóng mặt	t͡ɕ a w ŋ͡m ˧˦ m a t̚ ˧˨ ʔ
chóng vánh	t͡ɕ a w ŋ͡m ˧˦ v a j ŋ̟ ˧˦
chóp	t͡ɕ ɔ p̚ ˧˦
chóp bu	t͡ɕ ɔ p̚ ˧˦ ʔ ɓ u ˧˧
chót	t͡ɕ ɔ t̚ ˧˦
chót vót	t͡ɕ ɔ t̚ ˧˦ v ɔ t̚ ˧˦
chọt	t͡ɕ ɔ t̚ ˧˨ ʔ
chỗ	t͡ɕ o ˦ˀ˥
chỗ đứng	t͡ɕ o ˦ˀ˥ ʔ ɗ ɨ ŋ ˧˦
chỗ kín	t͡ɕ o ˦ˀ˥ k i n ˧˦
chỗ ngồi	t͡ɕ o ˦ˀ˥ ŋ o j ˨˩
chỗ ở	t͡ɕ o ˦ˀ˥ ʔ əː ˧˩
chỗ phạm	t͡ɕ o ˦ˀ˥ f aː m ˧˨ ʔ
chộ	t͡ɕ o ˧˨ ʔ
chốc	t͡ɕ ə w k͡p̚ ˧˦
chốc chốc	t͡ɕ ə w k͡p̚ ˧˦ t͡ɕ ə w k͡p̚ ˧˦
chốc lát	t͡ɕ ə w k͡p̚ ˧˦ l aː t̚ ˧˦
chốc lở	t͡ɕ ə w k͡p̚ ˧˦ l əː ˧˩
chồi	t͡ɕ o j ˨˩
chổi	t͡ɕ o j ˧˩
chối	t͡ɕ o j ˧˦
chối bỏ	t͡ɕ o j ˧˦ ʔ ɓ ɔ ˧˩
chối cãi	t͡ɕ o j ˧˦ k aː j ˦ˀ˥
chối từ	t͡ɕ o j ˧˦ t ɨ ˨˩
chôm	t͡ɕ o m ˧˧
chôm chỉa	t͡ɕ o m ˧˧ t͡ɕ i ə ˧˩
chôm chôm	t͡ɕ o m ˧˧ t͡ɕ o m ˧˧
chồm	t͡ɕ o m ˨˩
chồm hỗm	t͡ɕ o m ˨˩ h o m ˦ˀ˥
chôn	t͡ɕ o n ˧˧
chôn cất	t͡ɕ o n ˧˧ k ə t̚ ˧˦
chôn nhau cắt rốn	t͡ɕ o n ˧˧ ɲ a w ˧˧ k a t̚ ˧˦ z o n ˧˦
chôn rau cắt rốn	t͡ɕ o n ˧˧ z a w ˧˧ k a t̚ ˧˦ z o n ˧˦
chôn sống	t͡ɕ o n ˧˧ s ə w ŋ͡m ˧˦
chôn vùi	t͡ɕ o n ˧˧ v u j ˨˩
chồn	t͡ɕ o n ˨˩
chồn hôi	t͡ɕ o n ˨˩ h o j ˧˧
chồn nâu	t͡ɕ o n ˨˩ n ə w ˧˧
chốn	t͡ɕ o n ˧˦
chộn rộn	t͡ɕ o n ˧˨ ʔ z o n ˧˨ ʔ
chông	t͡ɕ ə w ŋ͡m ˧˧
chông gai	t͡ɕ ə w ŋ͡m ˧˧ ɣ aː j ˧˧
chồng	t͡ɕ ə w ŋ͡m ˨˩
chồng chất	t͡ɕ ə w ŋ͡m ˨˩ t͡ɕ ə t̚ ˧˦
chổng	t͡ɕ ə w ŋ͡m ˧˩
chổng kềnh	t͡ɕ ə w ŋ͡m ˧˩ k ə j ŋ̟ ˨˩
chống	t͡ɕ ə w ŋ͡m ˧˦
chống án	t͡ɕ ə w ŋ͡m ˧˦ ʔ aː n ˧˦
chống báng	t͡ɕ ə w ŋ͡m ˧˦ ʔ ɓ aː ŋ ˧˦
chống chế	t͡ɕ ə w ŋ͡m ˧˦ t͡ɕ e ˧˦
chống chếnh	t͡ɕ ə w ŋ͡m ˧˦ t͡ɕ ə j ŋ̟ ˧˦
chống chọi	t͡ɕ ə w ŋ͡m ˧˦ t͡ɕ ɔ j ˧˨ ʔ
chống cự	t͡ɕ ə w ŋ͡m ˧˦ k ɨ ˧˨ ʔ
chống đẩy	t͡ɕ ə w ŋ͡m ˧˦ ʔ ɗ ə j ˧˩
chống đối	t͡ɕ ə w ŋ͡m ˧˦ ʔ ɗ o j ˧˦
chống đỡ	t͡ɕ ə w ŋ͡m ˧˦ ʔ ɗ əː ˦ˀ˥
chống giữ	t͡ɕ ə w ŋ͡m ˧˦ z ɨ ˦ˀ˥
chống lại	t͡ɕ ə w ŋ͡m ˧˦ l aː j ˧˨ ʔ
chống lưng	t͡ɕ ə w ŋ͡m ˧˦ l ɨ ŋ ˧˧
chống nạnh	t͡ɕ ə w ŋ͡m ˧˦ n a j ŋ̟ ˧˨ ʔ
chống phá	t͡ɕ ə w ŋ͡m ˧˦ f aː ˧˦
chống phát xít	t͡ɕ ə w ŋ͡m ˧˦ f aː t̚ ˧˦ s i t̚ ˧˦
chống trả	t͡ɕ ə w ŋ͡m ˧˦ t͡ɕ aː ˧˩
chộp	t͡ɕ o p̚ ˧˨ ʔ
chốt	t͡ɕ o t̚ ˧˦
chột	t͡ɕ o t̚ ˧˨ ʔ
chột bụng	t͡ɕ o t̚ ˧˨ ʔ ʔ ɓ ʊ w ŋ͡m ˧˨ ʔ
chột dạ	t͡ɕ o t̚ ˧˨ ʔ z aː ˧˨ ʔ
chơ	t͡ɕ əː ˧˧
Chơ Ro	t͡ɕ əː ˧˧ z ɔ ˧˧
chơ vơ	t͡ɕ əː ˧˧ v əː ˧˧
chờ	t͡ɕ əː ˨˩
chờ chực	t͡ɕ əː ˨˩ t͡ɕ ɨ k̚ ˧˨ ʔ
chờ đợi	t͡ɕ əː ˨˩ ʔ ɗ əː j ˧˨ ʔ
chờ mong	t͡ɕ əː ˨˩ m a w ŋ͡m ˧˧
chở	t͡ɕ əː ˧˩
chớ	t͡ɕ əː ˧˦
chợ	t͡ɕ əː ˧˨ ʔ
chợ búa	t͡ɕ əː ˧˨ ʔ ʔ ɓ u ə ˧˦
chợ cóc	t͡ɕ əː ˧˨ ʔ k a w k͡p̚ ˧˦
chợ đầu mối	t͡ɕ əː ˧˨ ʔ ʔ ɗ ə w ˨˩ m o j ˧˦
chợ đêm	t͡ɕ əː ˧˨ ʔ ʔ ɗ e m ˧˧
Chợ Gạo	t͡ɕ əː ˧˨ ʔ ɣ aː w ˧˨ ʔ
Chợ Lớn	t͡ɕ əː ˧˨ ʔ l əː n ˧˦
chợ nổi	t͡ɕ əː ˧˨ ʔ n o j ˧˩
chợ phiên	t͡ɕ əː ˧˨ ʔ f i ə n ˧˧
chợ trời	t͡ɕ əː ˧˨ ʔ t͡ɕ əː j ˨˩
chợ xanh	t͡ɕ əː ˧˨ ʔ s a j ŋ̟ ˧˧
chợ xổm	t͡ɕ əː ˧˨ ʔ s o m ˧˩
chơi	t͡ɕ əː j ˧˧
chơi ác	t͡ɕ əː j ˧˧ ʔ aː k̚ ˧˦
chơi bời	t͡ɕ əː j ˧˧ ʔ ɓ əː j ˨˩
chơi chữ	t͡ɕ əː j ˧˧ t͡ɕ ɨ ˦ˀ˥
chơi đẹp	t͡ɕ əː j ˧˧ ʔ ɗ ɛ p̚ ˧˨ ʔ
chơi đểu	t͡ɕ əː j ˧˧ ʔ ɗ e w ˧˩
chơi đĩ	t͡ɕ əː j ˧˧ ʔ ɗ i ˦ˀ˥
chơi điện tử	t͡ɕ əː j ˧˧ ʔ ɗ i ə n ˧˨ ʔ t ɨ ˧˩
chơi đùa	t͡ɕ əː j ˧˧ ʔ ɗ u ə ˨˩
chơi hụi	t͡ɕ əː j ˧˧ h u j ˧˨ ʔ
chơi khăm	t͡ɕ əː j ˧˧ x a m ˧˧
chơi ngang	t͡ɕ əː j ˧˧ ŋ aː ŋ ˧˧
chơi nhởi	t͡ɕ əː j ˧˧ ɲ əː j ˧˩
chơi trội	t͡ɕ əː j ˧˧ t͡ɕ o j ˧˨ ʔ
chơi vơi	t͡ɕ əː j ˧˧ v əː j ˧˧
chơi xỏ	t͡ɕ əː j ˧˧ s ɔ ˧˩
chới với	t͡ɕ əː j ˧˦ v əː j ˧˦
chơm chởm	t͡ɕ əː m ˧˧ t͡ɕ əː m ˧˩
chớm	t͡ɕ əː m ˧˦
chờn chợn	t͡ɕ əː n ˨˩ t͡ɕ əː n ˧˨ ʔ
chờn vờn	t͡ɕ əː n ˨˩ v əː n ˨˩
chợn	t͡ɕ əː n ˧˨ ʔ
chớp	t͡ɕ əː p̚ ˧˦
chớp bóng	t͡ɕ əː p̚ ˧˦ ʔ ɓ a w ŋ͡m ˧˦
chớp mắt	t͡ɕ əː p̚ ˧˦ m a t̚ ˧˦
chớp nhoáng	t͡ɕ əː p̚ ˧˦ ɲ w aː ŋ ˧˦
chợp	t͡ɕ əː p̚ ˧˨ ʔ
chợp mắt	t͡ɕ əː p̚ ˧˨ ʔ m a t̚ ˧˦
chớt	t͡ɕ əː t̚ ˧˦
chớt nhả	t͡ɕ əː t̚ ˧˦ ɲ aː ˧˩
chợt	t͡ɕ əː t̚ ˧˨ ʔ
chu	t͡ɕ u ˧˧
Chu	t͡ɕ u ˧˧
chu cấp	t͡ɕ u ˧˧ k ə p̚ ˧˦
chu cha	t͡ɕ u ˧˧ t͡ɕ aː ˧˧
chu choa	t͡ɕ u ˧˧ t͡ɕ w aː ˧˧
chu du	t͡ɕ u ˧˧ z u ˧˧
chu đáo	t͡ɕ u ˧˧ ʔ ɗ aː w ˧˦
chu kì	t͡ɕ u ˧˧ k i ˨˩
chu kì bán rã	t͡ɕ u ˧˧ k i ˨˩ ʔ ɓ aː n ˧˦ z aː ˦ˀ˥
chu kì tế bào	t͡ɕ u ˧˧ k i ˨˩ t e ˧˦ ʔ ɓ aː w ˨˩
chu niên	t͡ɕ u ˧˧ n i ə n ˧˧
Chu Ru	t͡ɕ u ˧˧ z u ˧˧
chu sa	t͡ɕ u ˧˧ s aː ˧˧
chu tất	t͡ɕ u ˧˧ t ə t̚ ˧˦
chu toàn	t͡ɕ u ˧˧ t w aː n ˨˩
chu trình	t͡ɕ u ˧˧ t͡ɕ ï ŋ ˨˩
Chu Tước	t͡ɕ u ˧˧ t ɨ ə k̚ ˧˦
chu vi	t͡ɕ u ˧˧ v i ˧˧
chù vù	t͡ɕ u ˨˩ v u ˨˩
chủ	t͡ɕ u ˧˩
chủ âm	t͡ɕ u ˧˩ ʔ ə m ˧˧
chủ biên	t͡ɕ u ˧˩ ʔ ɓ i ə n ˧˧
chủ bút	t͡ɕ u ˧˩ ʔ ɓ u t̚ ˧˦
chủ chốt	t͡ɕ u ˧˩ t͡ɕ o t̚ ˧˦
chủ chứa	t͡ɕ u ˧˩ t͡ɕ ɨ ə ˧˦
chủ công	t͡ɕ u ˧˩ k ə w ŋ͡m ˧˧
chủ đạo	t͡ɕ u ˧˩ ʔ ɗ aː w ˧˨ ʔ
chủ đề	t͡ɕ u ˧˩ ʔ ɗ e ˨˩
chủ đích	t͡ɕ u ˧˩ ʔ ɗ ï k̟̚ ˧˦
chủ điền	t͡ɕ u ˧˩ ʔ ɗ i ə n ˨˩
chủ định	t͡ɕ u ˧˩ ʔ ɗ ï ŋ ˧˨ ʔ
chủ động	t͡ɕ u ˧˩ ʔ ɗ ə w ŋ͡m ˧˨ ʔ
chủ hôn	t͡ɕ u ˧˩ h o n ˧˧
chủ khảo	t͡ɕ u ˧˩ x aː w ˧˩
chủ kiến	t͡ɕ u ˧˩ k i ə n ˧˦
chủ lực	t͡ɕ u ˧˩ l ɨ k̚ ˧˨ ʔ
chủ lưu	t͡ɕ u ˧˩ l i w ˧˧
chủ mưu	t͡ɕ u ˧˩ m i w ˧˧
chủ nghĩa	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥
chủ nghĩa bài Do Thái	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ ʔ ɓ aː j ˨˩ z ɔ ˧˧ tʰ aː j ˧˦
chủ nghĩa bài Hoa Kì	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ ʔ ɓ aː j ˨˩ h w aː ˧˧ k i ˨˩
chủ nghĩa bài Trung Quốc	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ ʔ ɓ aː j ˨˩ t͡ɕ ʊ w ŋ͡m ˧˧ k u ə k̚ ˧˦
chủ nghĩa bài Việt Nam	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ ʔ ɓ aː j ˨˩ v i ə t̚ ˧˨ ʔ n aː m ˧˧
chủ nghĩa bảo thủ	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ ʔ ɓ aː w ˧˩ tʰ u ˧˩
chủ nghĩa cá nhân	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ k aː ˧˦ ɲ ə n ˧˧
chủ nghĩa cấp tiến	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ k ə p̚ ˧˦ t i ə n ˧˦
chủ nghĩa chiết trung	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ t͡ɕ i ə t̚ ˧˦ t͡ɕ ʊ w ŋ͡m ˧˧
chủ nghĩa chủng tộc	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ t͡ɕ ʊ w ŋ͡m ˧˩ t ə w k͡p̚ ˧˨ ʔ
chủ nghĩa công lợi	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ k ə w ŋ͡m ˧˧ l əː j ˧˨ ʔ
chủ nghĩa cộng sản	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ k ə w ŋ͡m ˧˨ ʔ s aː n ˧˩
chủ nghĩa dân tộc	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ z ə n ˧˧ t ə w k͡p̚ ˧˨ ʔ
chủ nghĩa dân tuý	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ z ə n ˧˧ t w i ˧˦
chủ nghĩa Do Thái phục quốc	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ z ɔ ˧˧ tʰ aː j ˧˦ f ʊ w k͡p̚ ˧˨ ʔ k u ə k̚ ˧˦
chủ nghĩa duy tâm	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ z w i ˧˧ t ə m ˧˧
chủ nghĩa duy vật	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ z w i ˧˧ v ə t̚ ˧˨ ʔ
chủ nghĩa duy vật biện chứng	t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ z w i ˧˧ v ə t̚ ˧˨ ʔ ʔ ɓ i ə n ˧˨ ʔ t͡ɕ ɨ ŋ ˧˦
