a	ɒ
gyárak	ɟ aː r ɒ k
gyári	ɟ aː r i
gyárilag	ɟ aː r i l ɒ ɡ
gyáros	ɟ aː r o ʃ
gyárt	ɟ aː r t
gyártani	ɟ aː r t ɒ n i
gyárthat	ɟ aː r t h ɒ t
gyártmány	ɟ aː r t m aː ɲ
gyártmányok	ɟ aː r t m aː ɲ o k
gyártok	ɟ aː r t o k
gyártás	ɟ aː r t aː ʃ
gyártása	ɟ aː r t aː ʃ ɒ
gyártási	ɟ aː r t aː ʃ i
gyártások	ɟ aː r t aː ʃ o k
gyártású	ɟ aː r t aː ʃ uː
gyártó	ɟ aː r t oː
gyártók	ɟ aː r t oː k
gyász	ɟ aː s
gyászjelentés	ɟ aː s j ɛ l ɛ n t eː ʃ
gyászjelentések	ɟ aː s j ɛ l ɛ n t eː ʃ ɛ k
gyászmise	ɟ aː s m i ʃ ɛ
gyászmisék	ɟ aː s m i ʃ eː k
gyászok	ɟ aː s o k
gyászol	ɟ aː s o l
gyászos	ɟ aː s o ʃ
gyászosabb	ɟ aː s o ʃ ɒ bː
gyászt	ɟ aː s t
gyászzene	ɟ aː zː ɛ n ɛ
gyáva	ɟ aː v ɒ
gyávaság	ɟ aː v ɒ ʃ aː ɡ
gyávaságok	ɟ aː v ɒ ʃ aː ɡ o k
gyávább	ɟ aː v aː bː
gyé	ɟ eː
gyémánt	ɟ eː m aː n t
gyémántok	ɟ eː m aː n t o k
gyér	ɟ eː r
gyí	ɟ iː
gyík	ɟ iː k
gyíkok	ɟ iː k o k
gyógyfürdő	ɟ oː c f y r d øː
gyógyfürdők	ɟ oː c f y r d øː k
gyógyfüvek	ɟ oː c f y v ɛ k
gyógyfű	ɟ oː c f yː
gyógyhatású	ɟ oː c h ɒ t aː ʃ uː
gyógykezelés	ɟ oː c k ɛ z ɛ l eː ʃ
gyógynövény	ɟ oː ɟ n ø v eː ɲ
gyógynövények	ɟ oː ɟ n ø v eː ɲ ɛ k
gyógypedagógia	ɟ oː c p ɛ d ɒ ɡ oː ɡ i j ɒ
gyógyszer	ɟ oː c s ɛ r
gyógyszerek	ɟ oː c s ɛ r ɛ k
gyógyszeres	ɟ oː c s ɛ r ɛ ʃ
gyógyszerhatástan	ɟ oː c s ɛ r ɦ ɒ t aː ʃ t ɒ n
gyógyszeripar	ɟ oː c s ɛ r i p ɒ r
gyógyszerkönyv	ɟ oː c s ɛ r k ø ɲ v
gyógyszerkönyvek	ɟ oː c s ɛ r k ø ɲ v ɛ k
gyógyszermérgezés	ɟ oː c s ɛ r m eː r ɡ ɛ z eː ʃ
gyógyszermérgezések	ɟ oː c s ɛ r m eː r ɡ ɛ z eː ʃ ɛ k
gyógyszerre	ɟ oː c s ɛ rː ɛ
gyógyszert	ɟ oː c s ɛ r t
gyógyszertár	ɟ oː c s ɛ r t aː r
gyógyszertár	ɟ oː t͡sː ɛ r t aː r
gyógyszertárak	ɟ oː c s ɛ r t aː r ɒ k
gyógyszertári	ɟ oː c s ɛ r t aː r i
gyógyszertári	ɟ oː t͡sː ɛ r t aː r i
gyógyszervegyészet	ɟ oː c s ɛ r v ɛ ɟ eː s ɛ t
gyógyszerész	ɟ oː c s ɛ r eː s
gyógyszerészek	ɟ oː c s ɛ r eː s ɛ k
gyógyszerészet	ɟ oː c s ɛ r eː s ɛ t
gyógyszerészetek	ɟ oː c s ɛ r eː s ɛ t ɛ k
gyógyszerészeti	ɟ oː c s ɛ r eː s ɛ t i
gyógysör	ɟ oː c ʃ ø r
gyógytorna	ɟ oː c t o r n ɒ
gyógytornász	ɟ oː c t o r n aː s
gyógyul	ɟ oː ɟ u l
gyógyulás	ɟ oː ɟ u l aː ʃ
gyógyulások	ɟ oː ɟ u l aː ʃ o k
gyógyvíz	ɟ oː ɟ v iː z
gyógyász	ɟ oː ɟ aː s
gyógyászat	ɟ oː ɟ aː s ɒ t
gyógyászati	ɟ oː ɟ aː s ɒ t i
gyógyászatok	ɟ oː ɟ aː s ɒ t o k
gyógyászok	ɟ oː ɟ aː s o k
gyógyír	ɟ oː ɟ iː r
gyógyít	ɟ oː ɟ iː t
gyógyíthatatlan	ɟ oː ɟ iː t h ɒ t ɒ t l ɒ n
gyógyíthatatlanabb	ɟ oː ɟ iː t h ɒ t ɒ t l ɒ n ɒ bː
gyógyítható	ɟ oː ɟ iː t h ɒ t oː
gyógyíthatóbb	ɟ oː ɟ iː t h ɒ t oː bː
gyógyítok	ɟ oː ɟ iː t o k
gyógyítás	ɟ oː ɟ iː t aː ʃ
gyógyító	ɟ oː ɟ iː t oː
gyógyítóbb	ɟ oː ɟ iː t oː bː
gyógyítók	ɟ oː ɟ iː t oː k
gyón	ɟ oː n
gyónhat	ɟ oː n ɦ ɒ t
gyónik	ɟ oː n i k
gyónj	ɟ oː ɲː
gyónsz	ɟ oː n s
gyónt	ɟ oː n t
gyök	ɟ ø k
gyökeredzik	ɟ ø k ɛ r ɛ d͡zː i k
gyökerek	ɟ ø k ɛ r ɛ k
gyökeres	ɟ ø k ɛ r ɛ ʃ
gyökeresen	ɟ ø k ɛ r ɛ ʃ ɛ n
gyökerestül	ɟ ø k ɛ r ɛ ʃ t y l
gyökerezik	ɟ ø k ɛ r ɛ z i k
gyökerű	ɟ ø k ɛ r yː
gyöktétel	ɟ ø k t eː t ɛ l
gyökér	ɟ ø k eː r
gyökérkezelés	ɟ ø k eː r k ɛ z ɛ l eː ʃ
gyökérkönyvtár	ɟ ø k eː r k ø ɲ f t aː r
gyökértelen	ɟ ø k eː r t ɛ l ɛ n
gyökértelenség	ɟ ø k eː r t ɛ l ɛ n ʃ eː ɡ
gyökérzet	ɟ ø k eː r z ɛ t
gyökérzöldség	ɟ ø k eː r z ø l t͡ʃ eː ɡ
gyökök	ɟ ø k ø k
gyömbér	ɟ ø m b eː r
gyömbérek	ɟ ø m b eː r ɛ k
gyömbérsör	ɟ ø m b eː r ʃ ø r
gyönge	ɟ ø ŋ ɡ ɛ
gyöngy	ɟ ø ɲ ɟ
gyöngybaglyok	ɟ ø ɲ ɟ b ɒ ɡ j o k
gyöngybagoly	ɟ ø ɲ ɟ b ɒ ɡ o j
gyöngyhalász	ɟ ø ɲ c h ɒ l aː s
gyöngyhalászok	ɟ ø ɲ c h ɒ l aː s o k
gyöngyház	ɟ ø ɲ c h aː z
gyöngyszürke	ɟ ø ɲ c s y r k ɛ
gyöngytyúk	ɟ ø ɲ c uː k
gyöngytyúkok	ɟ ø ɲ c uː k o k
gyöngyvirág	ɟ ø ɲ ɟ v i r aː ɡ
gyöngyvirágok	ɟ ø ɲ ɟ v i r aː ɡ o k
gyöngyök	ɟ ø ɲ ɟ ø k
gyöngébb	ɟ ø ŋ ɡ eː bː
gyöngül	ɟ ø ŋ ɡ y l
gyönyör	ɟ ø ɲ ø r
gyönyörök	ɟ ø ɲ ø r ø k
gyönyörű	ɟ ø ɲ ø r yː
gyönyörűbb	ɟ ø ɲ ø r yː bː
gyönyörűen	ɟ ø ɲ ø r yː ɛ n
gyönyörűség	ɟ ø ɲ ø r yː ʃ eː ɡ
györgy	ɟ ø r ɟ
györgyi	ɟ ø r ɟ i
gyötrelem	ɟ ø t r ɛ l ɛ m
gyötrelme	ɟ ø t r ɛ l m ɛ
gyötrelmek	ɟ ø t r ɛ l m ɛ k
gyötrődik	ɟ ø t r øː d i k
gyötör	ɟ ø t ø r
gyújt	ɟ uː j t
gyújtogatás	ɟ uː j t o ɡ ɒ t aː ʃ
gyújtogatások	ɟ uː j t o ɡ ɒ t aː ʃ o k
gyújtogató	ɟ uː j t o ɡ ɒ t oː
gyújtok	ɟ uː j t o k
gyújts	ɟ uː j t͡ʃ
gyújtsd	ɟ uː j d͡ʒ d
gyújtás	ɟ uː j t aː ʃ
gyújtások	ɟ uː j t aː ʃ o k
gyúl	ɟ uː l
gyúlj	ɟ uː jː
gyúlsz	ɟ uː l s
gyúlt	ɟ uː l t
gyúlékony	ɟ uː l eː k o ɲ
gyúr	ɟ uː r
gyúrhat	ɟ uː r ɦ ɒ t
gyúrj	ɟ uː r ʝ
gyúrsz	ɟ uː r s
gyúrt	ɟ uː r t
gyúrta	ɟ uː r t ɒ
gyülekezet	ɟ y l ɛ k ɛ z ɛ t
gyülekezetek	ɟ y l ɛ k ɛ z ɛ t ɛ k
gyülekezeti	ɟ y l ɛ k ɛ z ɛ t i
gyülekezik	ɟ y l ɛ k ɛ z i k
gyülekszik	ɟ y l ɛ k s i k
gyümölcs	ɟ y m ø l t͡ʃ
gyümölcsbor	ɟ y m ø l d͡ʒ b o r
gyümölcsfa	ɟ y m ø l t͡ʃ f ɒ
gyümölcsfáim	ɟ y m ø l t͡ʃ f aː j i m
gyümölcsfák	ɟ y m ø l t͡ʃ f aː k
gyümölcshús	ɟ y m ø l t͡ʃ h uː ʃ
gyümölcshúsok	ɟ y m ø l t͡ʃ h uː ʃ o k
gyümölcskosár	ɟ y m ø l t͡ʃ k o ʃ aː r
gyümölcslevek	ɟ y m ø l t͡ʃ l ɛ v ɛ k
gyümölcslé	ɟ y m ø l t͡ʃ l eː
gyümölcstelen	ɟ y m ø l t͡ʃ t ɛ l ɛ n
gyümölcsíz	ɟ y m ø l t͡ʃ iː z
gyümölcsízek	ɟ y m ø l t͡ʃ iː z ɛ k
gyümölcsízű	ɟ y m ø l t͡ʃ iː z yː
gyümölcsök	ɟ y m ø l t͡ʃ ø k
gyümölcsös	ɟ y m ø l t͡ʃ ø ʃ
gyümölcsösebb	ɟ y m ø l t͡ʃ ø ʃ ɛ bː
gyümölcsösök	ɟ y m ø l t͡ʃ ø ʃ ø k
gyümölcsöt	ɟ y m ø l t͡ʃ ø t
gyümölcsözik	ɟ y m ø l t͡ʃ ø z i k
gyümölcsözés	ɟ y m ø l t͡ʃ ø z eː ʃ
gyümölcsözések	ɟ y m ø l t͡ʃ ø z eː ʃ ɛ k
győr	ɟ øː r
győrben	ɟ øː r b ɛ n
győri	ɟ øː r i
győrött	ɟ øː r ø tː
győz	ɟ øː z
győzd	ɟ øː z d
győzelem	ɟ øː z ɛ l ɛ m
győzelemben	ɟ øː z ɛ l ɛ m b ɛ n
győzelme	ɟ øː z ɛ l m ɛ
győzelmek	ɟ øː z ɛ l m ɛ k
győzelmeket	ɟ øː z ɛ l m ɛ k ɛ t
győzelmes	ɟ øː z ɛ l m ɛ ʃ
győzelmesebb	ɟ øː z ɛ l m ɛ ʃ ɛ bː
győzelmet	ɟ øː z ɛ l m ɛ t
győzhet	ɟ øː s h ɛ t
győzni	ɟ øː z n i
győztes	ɟ øː s t ɛ ʃ
győzz	ɟ øː zː
győzött	ɟ øː z ø tː
győző	ɟ øː z øː
gyűjt	ɟ yː j t
gyűjteménnyel	ɟ yː j t ɛ m eː ɲː ɛ l
gyűjteménnyé	ɟ yː j t ɛ m eː ɲː eː
gyűjtemény	ɟ yː j t ɛ m eː ɲ
gyűjteménybe	ɟ yː j t ɛ m eː ɲ b ɛ
gyűjteményben	ɟ yː j t ɛ m eː ɲ b ɛ n
gyűjteményből	ɟ yː j t ɛ m eː ɲ b øː l
gyűjteménye	ɟ yː j t ɛ m eː ɲ ɛ
gyűjtemények	ɟ yː j t ɛ m eː ɲ ɛ k
gyűjteményekbe	ɟ yː j t ɛ m eː ɲ ɛ ɡ b ɛ
gyűjteményekben	ɟ yː j t ɛ m eː ɲ ɛ ɡ b ɛ n
gyűjteményekből	ɟ yː j t ɛ m eː ɲ ɛ ɡ b øː l
gyűjteményeken	ɟ yː j t ɛ m eː ɲ ɛ k ɛ n
gyűjteményeket	ɟ yː j t ɛ m eː ɲ ɛ k ɛ t
gyűjteményekhez	ɟ yː j t ɛ m eː ɲ ɛ k h ɛ z
gyűjteményekig	ɟ yː j t ɛ m eː ɲ ɛ k i ɡ
gyűjteményekkel	ɟ yː j t ɛ m eː ɲ ɛ kː ɛ l
gyűjteményekké	ɟ yː j t ɛ m eː ɲ ɛ kː eː
gyűjteményekként	ɟ yː j t ɛ m eː ɲ ɛ kː eː n t
gyűjteményeknek	ɟ yː j t ɛ m eː ɲ ɛ k n ɛ k
gyűjteményeknél	ɟ yː j t ɛ m eː ɲ ɛ k n eː l
gyűjteményekre	ɟ yː j t ɛ m eː ɲ ɛ k r ɛ
gyűjteményekről	ɟ yː j t ɛ m eː ɲ ɛ k r øː l
gyűjteményektől	ɟ yː j t ɛ m eː ɲ ɛ k t øː l
gyűjteményeké	ɟ yː j t ɛ m eː ɲ ɛ k eː
gyűjteményekért	ɟ yː j t ɛ m eː ɲ ɛ k eː r t
gyűjteményen	ɟ yː j t ɛ m eː ɲ ɛ n
gyűjteményhez	ɟ yː j t ɛ m eː ɲ ɦ ɛ z
gyűjteményig	ɟ yː j t ɛ m eː ɲ i ɡ
gyűjteményként	ɟ yː j t ɛ m eː ɲ k eː n t
gyűjteménynek	ɟ yː j t ɛ m eː ɲ n ɛ k
gyűjteménynél	ɟ yː j t ɛ m eː ɲ n eː l
gyűjteményre	ɟ yː j t ɛ m eː ɲ r ɛ
gyűjteményről	ɟ yː j t ɛ m eː ɲ r øː l
gyűjteményt	ɟ yː j t ɛ m eː ɲ t
gyűjteménytől	ɟ yː j t ɛ m eː ɲ t øː l
gyűjteményé	ɟ yː j t ɛ m eː ɲ eː
gyűjteményért	ɟ yː j t ɛ m eː ɲ eː r t
gyűjteni	ɟ yː j t ɛ n i
gyűjts	ɟ yː j t͡ʃ
gyűjtsd	ɟ yː j d͡ʒ d
gyűjtés	ɟ yː j t eː ʃ
gyűjtések	ɟ yː j t eː ʃ ɛ k
gyűjtök	ɟ yː j t ø k
gyűjtő	ɟ yː j t øː
gyűjtőerek	ɟ yː j t øː ɛ r ɛ k
gyűjtők	ɟ yː j t øː k
gyűjtőnév	ɟ yː j t øː n eː v
gyűjtőér	ɟ yː j t øː j eː r
gyűlik	ɟ yː l i k
gyűlj	ɟ yː jː
gyűlsz	ɟ yː l s
gyűlt	ɟ yː l t
gyűlés	ɟ yː l eː ʃ
gyűlöl	ɟ yː l ø l
gyűlölet	ɟ yː l ø l ɛ t
gyűlöletbeszéd	ɟ yː l ø l ɛ d b ɛ s eː d
gyűlöletek	ɟ yː l ø l ɛ t ɛ k
gyűlöletes	ɟ yː l ø l ɛ t ɛ ʃ
gyűlöletesebb	ɟ yː l ø l ɛ t ɛ ʃ ɛ bː
gyűlölködés	ɟ yː l ø l k ø d eː ʃ
gyűlölködő	ɟ yː l ø l k ø d øː
gyűlölködőbb	ɟ yː l ø l k ø d øː bː
gyűr	ɟ yː r
gyűrhet	ɟ yː r ɦ ɛ t
gyűrhetetlen	ɟ yː r ɦ ɛ t ɛ t l ɛ n
gyűrj	ɟ yː r ʝ
gyűrsz	ɟ yː r s
gyűrt	ɟ yː r t
gyűrődés	ɟ yː r øː d eː ʃ
gyűrődések	ɟ yː r øː d eː ʃ ɛ k
gyűrű	ɟ yː r yː
gyűrűddz	ɟ yː r yː d͡zː
gyűrűitek	ɟ yː r yː j i t ɛ k
gyűrűje	ɟ yː r yː j ɛ
gyűrűjéből	ɟ yː r yː j eː b øː l
gyűrűk	ɟ yː r yː k
gyűrűporc	ɟ yː r yː p o r t͡s
gyűrűporcok	ɟ yː r yː p o r t͡s o k
gyűrűs	ɟ yː r yː ʃ
gyűrűt	ɟ yː r yː t
gyűrűtök	ɟ yː r yː t ø k
gyűszű	ɟ yː s yː
gyűszűk	ɟ yː s yː k
gyűszűvirág	ɟ yː s yː v i r aː ɡ
gyűszűvirágok	ɟ yː s yː v i r aː ɡ o k
gá	ɡ aː
gábor	ɡ aː b o r
gácsér	ɡ aː t͡ʃ eː r
gácsérok	ɡ aː t͡ʃ eː r o k
gágog	ɡ aː ɡ o ɡ
gál	ɡ aː l
gála	ɡ aː l ɒ
gálya	ɡ aː j ɒ
gályarab	ɡ aː j ɒ r ɒ b
gályarabok	ɡ aː j ɒ r ɒ b o k
gályák	ɡ aː j aː k
gálát	ɡ aː l aː t
gáncs	ɡ aː n t͡ʃ
gányol	ɡ aː ɲ o l
gárda	ɡ aː r d ɒ
gáspár	ɡ aː ʃ p aː r
gát	ɡ aː t
gátak	ɡ aː t ɒ k
gátfutás	ɡ aː t f u t aː ʃ
gátlástalan	ɡ aː t l aː ʃ t ɒ l ɒ n
gátló	ɡ aː t l oː
gátlóbb	ɡ aː t l oː bː
gátol	ɡ aː t o l
gáz	ɡ aː z
gázkamra	ɡ aː s k ɒ m r ɒ
gázlok	ɡ aː z l o k
gázlámpa	ɡ aː z l aː m p ɒ
gázlámpák	ɡ aː z l aː m p aː k
gázló	ɡ aː z l oː
gázlók	ɡ aː z l oː k
gázok	ɡ aː z o k
gázol	ɡ aː z o l
gázon	ɡ aː z o n
gázpedál	ɡ aː s p ɛ d aː l
gázsi	ɡ aː ʒ i
gázszerelő	ɡ aː sː ɛ r ɛ l øː
gázt	ɡ aː s t
gáztűzhely	ɡ aː s t yː s h ɛ j
gáztűzhelyek	ɡ aː s t yː s h ɛ j ɛ k
gázóra	ɡ aː z oː r ɒ
gázórák	ɡ aː z oː r aː k
gé	ɡ eː
gége	ɡ eː ɡ ɛ
gégefedő	ɡ eː ɡ ɛ f ɛ d øː
gégefedők	ɡ eː ɡ ɛ f ɛ d øː k
gégegarat	ɡ eː ɡ ɛ ɡ ɒ r ɒ t
gégegaratok	ɡ eː ɡ ɛ ɡ ɒ r ɒ t o k
gégék	ɡ eː ɡ eː k
gégész	ɡ eː ɡ eː s
gégészek	ɡ eː ɡ eː s ɛ k
gél	ɡ eː l
gélek	ɡ eː l ɛ k
gém	ɡ eː m
gémek	ɡ eː m ɛ k
gémes	ɡ eː m ɛ ʃ
gémeskutak	ɡ eː m ɛ ʃ k u t ɒ k
gémeskút	ɡ eː m ɛ ʃ k uː t
gén	ɡ eː n
gének	ɡ eː n ɛ k
géniusz	ɡ eː n i j u s
géniuszok	ɡ eː n i j u s o k
gép	ɡ eː p
gépe	ɡ eː p ɛ
gépek	ɡ eː p ɛ k
gépeken	ɡ eː p ɛ k ɛ n
gépeket	ɡ eː p ɛ k ɛ t
gépekkel	ɡ eː p ɛ kː ɛ l
gépel	ɡ eː p ɛ l
gépely	ɡ eː p ɛ j
gépem	ɡ eː p ɛ m
gépen	ɡ eː p ɛ n
gépet	ɡ eː p ɛ t
gépezet	ɡ eː p ɛ z ɛ t
gépezetek	ɡ eː p ɛ z ɛ t ɛ k
gépfegyver	ɡ eː p f ɛ ɟ v ɛ r
gépfegyverek	ɡ eː p f ɛ ɟ v ɛ r ɛ k
gépgyár	ɡ eː b ɟ aː r
gépi	ɡ eː p i
gépjármű	ɡ eː p j aː r m yː
gépjárművek	ɡ eː p j aː r m yː v ɛ k
gépkocsi	ɡ eː p k o t͡ʃ i
gépkocsiipar	ɡ eː p k o t͡ʃ i i p ɒ r
géppel	ɡ eː pː ɛ l
géppuska	ɡ eː pː u ʃ k ɒ
géppuskák	ɡ eː pː u ʃ k aː k
gépre	ɡ eː p r ɛ
gépágyú	ɡ eː p aː ɟ u
gépágyú	ɡ eː p aː ɟ uː
gépén	ɡ eː p eː n
gépész	ɡ eː p eː s
gépészek	ɡ eː p eː s ɛ k
gépészmérnök	ɡ eː p eː s m eː r n ø k
gésa	ɡ eː ʃ ɒ
gésák	ɡ eː ʃ aː k
géz	ɡ eː z
géza	ɡ eː z ɒ
gézek	ɡ eː z ɛ k
gírosz	ɡ iː r o s
gíroszok	ɡ iː r o s o k
góbi	ɡ oː b i
gój	ɡ oː j
gója	ɡ oː j ɒ
gól	ɡ oː l
gólem	ɡ oː l ɛ m
gólja	ɡ oː jː ɒ
gólkülönbség	ɡ oː l k y l ø m p ʃ eː ɡ
góllal	ɡ oː lː ɒ l
gólok	ɡ oː l o k
gólt	ɡ oː l t
gólya	ɡ oː j ɒ
gólyahír	ɡ oː j ɒ ɦ iː r
gólyaláb	ɡ oː j ɒ l aː b
gólyalábak	ɡ oː j ɒ l aː b ɒ k
gólyaorr	ɡ oː j ɒ o rː
gólyaorrok	ɡ oː j ɒ o rː o k
gólyák	ɡ oː j aː k
gór	ɡ oː r
górcsövek	ɡ oː r t͡ʃ ø v ɛ k
górcső	ɡ oː r t͡ʃ øː
górj	ɡ oː r ʝ
góré	ɡ oː r eː
górék	ɡ oː r eː k
gótikus	ɡ oː t i k u ʃ
göd	ɡ ø d
gödi	ɡ ø d i
gödre	ɡ ø d r ɛ
gödrök	ɡ ø d r ø k
gödrös	ɡ ø d r ø ʃ
gödény	ɡ ø d eː ɲ
gödények	ɡ ø d eː ɲ ɛ k
gödör	ɡ ø d ø r
gömb	ɡ ø m b
gömbi	ɡ ø m b i
gömbvillám	ɡ ø m b v i lː aː m
gömböc	ɡ ø m b ø t͡s
gömböcök	ɡ ø m b ø t͡s ø k
gömbök	ɡ ø m b ø k
gömbölyded	ɡ ø m b ø j d ɛ d
göndör	ɡ ø n d ø r
göndörebb	ɡ ø n d ø r ɛ bː
göndörít	ɡ ø n d ø r iː t
göndörödik	ɡ ø n d ø r ø d i k
görbe	ɡ ø r b ɛ
görbébb	ɡ ø r b eː bː
görbék	ɡ ø r b eː k
görbít	ɡ ø r b iː t
görbíthető	ɡ ø r b iː t h ɛ t øː
görbül	ɡ ø r b y l
görbület	ɡ ø r b y l ɛ t
görbületek	ɡ ø r b y l ɛ t ɛ k
görbületi	ɡ ø r b y l ɛ t i
görcs	ɡ ø r t͡ʃ
görcsök	ɡ ø r t͡ʃ ø k
gördeszka	ɡ ø r d ɛ s k ɒ
gördeszkák	ɡ ø r d ɛ s k aː k
gördülékeny	ɡ ø r d y l eː k ɛ ɲ
gördülőállomány	ɡ ø r d y l øː aː lː o m aː ɲ
görget	ɡ ø r ɡ ɛ t
görgicse	ɡ ø r ɡ i t͡ʃ ɛ
görkorcsolya	ɡ ø r k o r t͡ʃ o j ɒ
görkorcsolyák	ɡ ø r k o r t͡ʃ o j aː k
görkorcsolyázik	ɡ ø r k o r t͡ʃ o j aː z i k
görl	ɡ ø r l
görény	ɡ ø r eː ɲ
görények	ɡ ø r eː ɲ ɛ k
görög	ɡ ø r ø ɡ
görögdinnye	ɡ ø r ø ɡ d i ɲː ɛ
görögdinnyék	ɡ ø r ø ɡ d i ɲː eː k
görögország	ɡ ø r ø ɡ o r s aː ɡ
görögországi	ɡ ø r ø ɡ o r s aː ɡ i
görögök	ɡ ø r ø ɡ ø k
gúla	ɡ uː l ɒ
gúlák	ɡ uː l aː k
gúny	ɡ uː ɲ
gúnynevek	ɡ uː ɲ n ɛ v ɛ k
gúnynév	ɡ uː ɲ n eː v
gúnyok	ɡ uː ɲ o k
gúnyol	ɡ uː ɲ o l
gúnyos	ɡ uː ɲ o ʃ
gúnyosabb	ɡ uː ɲ o ʃ ɒ bː
gúnyt	ɡ uː ɲ t
gúnár	ɡ uː n aː r
gúnárok	ɡ uː n aː r o k
gümő	ɡ y m øː
gümőkór	ɡ y m øː k oː r
gőg	ɡ øː ɡ
gőgös	ɡ øː ɡ ø ʃ
gőte	ɡ øː t ɛ
gőz	ɡ øː z
gőzerő	ɡ øː z ɛ r øː
gőzfürdő	ɡ øː s f y r d øː
gőzfürdők	ɡ øː s f y r d øː k
gőzhajó	ɡ øː s h ɒ j oː
gőzhajók	ɡ øː s h ɒ j oː k
gőzmozdony	ɡ øː z m o z d o ɲ
gőzök	ɡ øː z ø k
gőzölög	ɡ øː z ø l ø ɡ
gőzös	ɡ øː z ø ʃ
gőzösebb	ɡ øː z ø ʃ ɛ bː
gőzösök	ɡ øː z ø ʃ ø k
h	h aː
h	h o ɟ
h	x
ha	h ɒ
hab	h ɒ b
habakuk	h ɒ b ɒ k u k
habar	h ɒ b ɒ r
habarcs	h ɒ b ɒ r t͡ʃ
habarcsok	h ɒ b ɒ r t͡ʃ o k
habarovszk	h ɒ b ɒ r o f s k
habba	h ɒ bː ɒ
habbal	h ɒ bː ɒ l
habban	h ɒ bː ɒ n
habcsók	h ɒ p t͡ʃ oː k
habkő	h ɒ p k øː
hableány	h ɒ b l ɛ aː ɲ
hableányok	h ɒ b l ɛ aː ɲ o k
habog	h ɒ b o ɡ
habok	h ɒ b o k
habon	h ɒ b o n
habot	h ɒ b o t
habozik	h ɒ b o z i k
habozz	h ɒ b o zː
habsburg	h ɒ b z b u r ɡ
habszivacs	h ɒ p s i v ɒ t͡ʃ
habzik	h ɒ b z i k
habzó	h ɒ b z oː
habár	h ɒ b aː r
hacker	h ɛ kː ɛ r
had	h ɒ d
hada	h ɒ d ɒ
hadak	h ɒ d ɒ k
hadar	h ɒ d ɒ r
hadaró	h ɒ d ɒ r oː
hadaróbb	h ɒ d ɒ r oː bː
hadat	h ɒ d ɒ t
hadd	h ɒ d
hadd	h ɒ ɟ
haddá	h ɒ dː aː
hadgyakorlat	h ɒ d ɟ ɒ k o r l ɒ t
hadgyakorlatok	h ɒ d ɟ ɒ k o r l ɒ t o k
hadi	h ɒ d i
hadifogoly	h ɒ d i f o ɡ o j
hadihajó	h ɒ d i ɦ ɒ j oː
hadijáték	h ɒ d i j aː t eː k
haditengerészet	h ɒ d i t ɛ ŋ ɡ ɛ r eː s ɛ t
hadjárat	h ɒ d j aː r ɒ t
hadjáratok	h ɒ d j aː r ɒ t o k
hadművelet	h ɒ d m yː v ɛ l ɛ t
hadnagy	h ɒ d n ɒ ɟ
hadra	h ɒ d r ɒ
hadsereg	h ɒ t͡ʃː ɛ r ɛ ɡ
hadseregek	h ɒ t͡ʃː ɛ r ɛ ɡ ɛ k
hadtörténész	h ɒ tː ø r t eː n eː s
hadászat	h ɒ d aː s ɒ t
hadászati	h ɒ d aː s ɒ t i
hadüzenet	h ɒ d y z ɛ n ɛ t
hafnium	h ɒ f n i j u m
hagy	h ɒ ɟ
hagyatkozik	h ɒ ɟ ɒ t k o z i k
hagyd	h ɒ ɟ d
hagyhat	h ɒ c h ɒ t
hagyj	h ɒ ɟː
hagyja	h ɒ ɟː ɒ
hagyjad	h ɒ ɟː ɒ d
hagyjak	h ɒ ɟː ɒ k
hagyjalak	h ɒ ɟː ɒ l ɒ k
hagyjam	h ɒ ɟː ɒ m
hagyjanak	h ɒ ɟː ɒ n ɒ k
hagyjatok	h ɒ ɟː ɒ t o k
hagyjon	h ɒ ɟː o n
hagyjuk	h ɒ ɟː u k
hagyjunk	h ɒ ɟː u ŋ k
hagyják	h ɒ ɟː aː k
hagyjál	h ɒ ɟː aː l
hagyjátok	h ɒ ɟː aː t o k
hagylak	h ɒ ɟ l ɒ k
hagyma	h ɒ ɟ m ɒ
hagymakupola	h ɒ ɟ m ɒ k u p o l ɒ
hagymakupolák	h ɒ ɟ m ɒ k u p o l aː k
hagymamoly	h ɒ ɟ m ɒ m o j
hagymák	h ɒ ɟ m aː k
hagyna	h ɒ ɟ n ɒ
hagynak	h ɒ ɟ n ɒ k
hagyni	h ɒ ɟ n i
hagynia	h ɒ ɟ n i j ɒ
hagyniuk	h ɒ ɟ n i j u k
hagynod	h ɒ ɟ n o d
hagynom	h ɒ ɟ n o m
hagynotok	h ɒ ɟ n o t o k
hagynunk	h ɒ ɟ n u ŋ k
hagyná	h ɒ ɟ n aː
hagynád	h ɒ ɟ n aː d
hagynák	h ɒ ɟ n aː k
hagynál	h ɒ ɟ n aː l
hagynálak	h ɒ ɟ n aː l ɒ k
hagynám	h ɒ ɟ n aː m
hagynának	h ɒ ɟ n aː n ɒ k
hagynánk	h ɒ ɟ n aː ŋ k
hagynátok	h ɒ ɟ n aː t o k
hagynék	h ɒ ɟ n eː k
hagyod	h ɒ ɟ o d
hagyok	h ɒ ɟ o k
hagyom	h ɒ ɟ o m
hagyománnyal	h ɒ ɟ o m aː ɲː ɒ l
hagyománnyá	h ɒ ɟ o m aː ɲː aː
hagyomány	h ɒ ɟ o m aː ɲ
