aba	a b a
cremă	k r e m ə
crescut	k r e s k u t
creștea	k r e ʃ t e̯ a
creștinească	k r e ʃ t i n e̯ a s k ə
creștinesc	k r e ʃ t i n e s k
creștinește	k r e ʃ t i n e ʃ t e
creștinești	k r e ʃ t i n e ʃ tʲ
creț	k r e t͡s
criminolog	k r i m i n o l o ɡ
criminologist	k r i m i n o l o d͡ʒ i s t
criminologistă	k r i m i n o l o d͡ʒ i s t ə
criminologă	k r i m i n o l o ɡ ə
crin	k r i n
crini	k r i nʲ
cristian	k r i s t i a n
cristian	k r i s t j a n
critic	k r i t i k
criticabil	k r i t i k a b i l
criză	k r i z ə
croat	k r o a t
croată	k r o a t ə
crocodil	k r o k o d i l
crom	k r o m
cronc	k r o ŋ k
cronic	k r o n i k
cruciș	k r u t͡ʃ i ʃ
crud	k r u d
crăciun	k r ə t ʃ j u n
crăpăt	k r ə p ə t
cu	k u
cuc	k u k
cuceritor	k u t͡ʃ e r i t o r
cuculă	k u k u l ə
cucuvea	k u k u v e̯ a
culca	k u l k a
culcuș	k u l k u ʃ
culori	k u l o rʲ
cult	k u l t
cuminte	k u m i n t e
cumplit	k u m p l i t
cumpărături	k u m p ə r ə t u rʲ
cumpăt	k u m p ə t
cunoscut	k u n o s k u t
cunoscător	k u n o s k ə t o r
cuprins	k u p r i n s
cuprinzător	k u p r i n z ə t o r
cupru	k u p r u
cuptor	k u p t o r
cur	k u r
curaj	k u r a ʒ
curajos	k u r a ʒ o s
curat	k u r a t
curcan	k u r k a n
curcă	k u r k ə
curea	k u r e̯ a
curent	k u r e n t
curios	k u r i o s
curist	k u r i s t
cursiv	k u r s i v
curul	k u r u
curul	k u r u l
cururile	k u r u r i l e
curva	k u r v a
curățat	k u r ə t͡s a t
cuscru	k u s k r u
cuscră	k u s k r ə
cusut	k u s u t
cutare	k u t a r e
cute	k u t e
cuviincios	k u v i i n t͡ʃʲ o s
cuvios	k u v i o s
cuvânta	k u v ɨ n t a
cuvântare	k u v ɨ n t a r e
cvas	k v a s
câine	k ɨ j n e
câinos	k ɨ j n o s
câmpean	k ɨ m p e̯ a n
câmpenească	k ɨ m p e n e̯ a s k ə
câmpenesc	k ɨ m p e n e s k
câmpenești	k ɨ m p e n e ʃ tʲ
cândva	k ɨ n d v a
cântat	k ɨ n t a t
cânte	k ɨ n t e
cântec	k ɨ n t e k
cântăreața	k ɨ n t ə r e̯ a t͡s a
cântăreț	k ɨ n t ə r e t͡s
cântărețele	k ɨ n t ə r e t͡s e l e
cântăreții	k ɨ n t ə r e t͡s iʲ
cântărețul	k ɨ n t ə r e t͡s u
cântărețul	k ɨ n t ə r e t͡s u l
cântări	k ɨ n t ə r i
cântător	k ɨ n t ə t o r
cârjă	k ɨ r ʒ ə
cârn	k ɨ r n
cârpitură	k ɨ r p i t u r ə
cârtiță	k ɨ r t i t͡s ə
cât	k ɨ t
câte	k ɨ t e
câtă	k ɨ t ə
câți	k ɨ t͡sʲ
căci	k ə t͡ʃʲ
căciulă	k ə t͡ʃʲ u l ə
căi	k ə j
călare	k ə l a r e
căldăraș	k ə l d ə r a ʃ
călugăr	k ə l u ɡ ə r
călugăriță	k ə l u ɡ ə r i t͡s ə
călător	k ə l ə t o r
cămașă	k ə m a ʃ ə
cămilă	k ə m i l ə
căpetenie	k ə p e t e n i e
căpos	k ə p o s
căprească	k ə p r e̯ a s k ə
căpresc	k ə p r e s k
căprești	k ə p r e ʃ tʲ
căprui	k ə p r u j
căpușă	k ə p u ʃ ə
căpățânos	k ə p ə t͡s ɨ n o s
căpșor	k ə p ʃ o r
căpșună	k ə p ʃ u n ə
cărbune	k ə r b u n e
cărindar	k ə r i n d a r
cărnos	k ə r n o s
cărunt	k ə r u n t
cărăbuș	k ə r ə b u ʃ
cărămiziu	k ə r ə m i z i w
căscăund	k ə s k ə u n d
căsnicie	k ə s n i t͡ʃ i j e
căuș	k ə u ʃ
căzut	k ə z u t
cățel	k ə t͡s e l
cățeluș	k ə t͡s e l u ʃ
cățelușă	k ə t͡s e l u ʃ ə
d	d
da	d a
dacia	d a t͡ʃ i a
damnat	d a m n a t
dansator	d a n s a t o r
dar	d a r
darămite	d a r ə m i t e
dator	d a t o r
datorită	d a t o r i t ə
de	d e
deasupra	d e̯ a s u p r a
debandadă	d e b a n d a d ə
decafeinizat	d e k a f e i n i z a t
decembrie	d e t͡ʃ e m b r i j e
declarație	d e k l a r a t͡s i e
declarații	d e k l a r a t͡s iː
declinare	d e k l i n a r e
dedesubt	d e d e s u b t
dedesubt	d e d e s u p t
defileu	d e f i l e w
defileuri	d e f i l e u rʲ
definiție	d e f i n i t͡s i e
degenera	d e d͡ʒ e n e r a
degresa	d e ɡ r e s a
degresat	d e ɡ r e s a t
dejun	d e ʒ u n
delecta	d e l e k t a
delectare	d e l e k t a r e
delectări	d e l e k t ə rʲ
delibera	d e l i b e r a
delicat	d e l i k a t
delicate	d e l i k a t e
deliciu	d e l i t͡ʃ j u
demn	d e m n
demograf	d e m o ɡ r a f
demografă	d e m o ɡ r a f ə
demonstrabil	d e m o n s t r a b i l
dentist	d e n t i s t
dentistă	d e n t i s t ə
deoarece	d e o̯ a r e t͡ʃ e
departe	d e p a r t e
dependent	d e p e n d e n t
deplinătate	d e p l i n ə t a t e
deprimat	d e p r i m a t
depărta	d e p ə r t a
depărtare	d e p ə r t a r e
deranja	d e r a n ʒ a
dermatolog	d e r m a t o l o ɡ
dermatologă	d e r m a t o l o ɡ ə
derviș	d e r v i ʃ
des	d e s
descriere	d e s k r i e r e
desculț	d e s k u l t͡s
descurcăreț	d e s k u r k ə r e t͡s
descătușa	d e s k ə t u ʃ a
desfăta	d e s f ə t a
desfătare	d e s f ə t a r e
desfătări	d e s f ə t ə rʲ
despotic	d e s p o t i k
despărțitor	d e s p ə r t͡s i t o r
destinat	d e s t i n a t
destinație	d e s t i n a t͡s i e
detaliat	d e t a l i a t
detaliu	d e t a l j u
deteriorat	d e t e r i o r a t
determina	d e t e r m i n a
devreme	d e v r e m e
dezambala	d e z a m b a l a
dezamăgi	d e z a m ə d͡ʒ i
dezamăgit	d e z a m ə d͡ʒ i t
dezamăgitor	d e z a m ə d͡ʒ i t o r
dezgustător	d e z ɡ u s t ə t o r
dezice	d e z i t͡ʃ e
dezmierda	d e z m j e r d a
dezvoltat	d e z v o l t a t
deșert	d e ʃ e r t
deșteptul	d e ʃ t e p t u l
deșteptăciune	d e ʃ t e p t ə t͡ʃ j u n e
deșuruba	d e ʃ u r u b a
diacon	d i a k o n
diacritic	d i a k r i t i k
dialect	d i a l e k t
dialectal	d i a l e k t a l
diamant	d i a m a n t
diastolic	d i a s t o l i k
dicționar	d i k t͡s i o n a r
diferi	d i f e r i
diferit	d i f e r i t
dificil	d i f i t͡ʃ i l
digital	d i d͡ʒ i t a l
dihanie	d i h a n i e
dihor	d i h o r
dimineața	d i m i n e̯ a t͡s a
dimineață	d i m i n e̯ a t s ə
din	d i n
dinamic	d i n a m i k
dinozaur	d i n o z a u r
dintru	d i n t r u
dințișor	d i n t͡s i ʃ o r
direct	d i r e k t
discuție	d i s k u t͡s i e
distanța	d i s t a n t͡s a
distanță	d i s t a n t͡s ə
distinct	d i s t i n k t
distrate	d i s t r a t e
distrați	d i s t r a t͡sʲ
distruge	d i s t ɾ u d͡ʒ e
divers	d i v e r s
diversificare	d i v e r s i f i k a r e
divin	d i v i n
doar	d o̯ a r
doctoră	d o k t o r ə
dogmatic	d o ɡ m a t i k
doi	d o j
doilea	d o j l e̯ a
doisprezece	d o j s p r e z e t͡ʃ e
doisprezecelea	d o j s p r e z e t͡ʃ e l e̯ a
doișpe	d o j ʃ p e
doișpelea	d o j ʃ p e l e̯ a
domestic	d o m e s t i k
domestici	d o m e s t i t͡ʃ i
domnească	d o m n e̯ a s k ə
domnesc	d o m n e s k
domnești	d o m n e ʃ tʲ
domnitor	d o m n i t o r
domol	d o m o l
doua	d o w a
două	d o w ə
douăsprezece	d o w ə s p r e z e t͡ʃ e
douăsprezecea	d o w ə s p r e z e t͡ʃ e̯ a
douăzecea	d o w ə z e t͡ʃ e̯ a
douăzeci	d o w ə z e t͡ʃʲ
douăzecilea	d o w ə z e t͡ʃ i l e̯ a
douășpe	d o w ə ʃ p e
douășpea	d o w ə ʃ p e̯ a
dragon	d r a ɡ o n
dragoste	d r a ɡ o s t e
dragostei	d r a ɡ o s t e j
dramatic	d r a m a t i k
drenaj	d r e n a ʒ
drepnea	d r e p n e̯ a
dreptaci	d r e p t a t͡ʃʲ
dreptunghiular	d r e p t u ŋ ɟ u l a r
drogat	d r o ɡ a t
droguri	d r o ɡ u rʲ
dromader	d r o m a d e r
drongo	d r o n ɡ o
dropie	d r o p i e
drăcos	d r ə k o s
drăcușor	d r ə k u ʃ o r
dubios	d u b i o s
dublu	d u b l u
duh	d u h
duios	d u j o s
dulce	d u l t͡ʃ e
dulceag	d u l t͡ʃ e̯ a ɡ
dulceață	d u l t͡ʃ e̯ a t͡s ə
dumesnic	d u m e s n i k
duminica	d u m i n i k a
duminică	d u m i n i k ə
dumneaei	d u m n e̯ a j e j
dumnealor	d u m n e̯ a l o r
dumnealui	d u m n e̯ a l u j
dumneata	d u m n e̯ a t a
dumnezeiască	d u m n e z e j a s k ə
dumnezeiesc	d u m n e z e j e s k
dumnezeiești	d u m n e z e j e ʃ tʲ
dumnezeu	d u m n e z e w
dumă	d u m ə
dungat	d u ŋ ɡ a t
dur	d u r
dura	d u r a
durea	d u r e̯ a
durere	d u r e r e
dureros	d u r e r o s
dururos	d u r u r o s
duș	d u ʃ
dărâma	d ə r ɨ m a
e	e
e	j e
ea	j a
echidnă	e k i d n ə
echilibru	e k i l i b r u
echinocțiu	e k i n o k t s i u̯
eclectic	e k l e k t i k
ecolog	e k o l o ɡ
ecologă	e k o l o ɡ ə
econom	e k o n o m
economic	e k o n o m i k
economist	e k o n o m i s t
economistă	e k o n o m i s t ə
ecran	e k r a n
ecuadorian	e k u a d o r i a n
ecuatorial	e k u a t o r i a l
editorial	e d i t o r j a l
ediție	e d i t͡s i e
educație	e d u k a t͡s i e
efectiv	e f e k t i v
eficace	e f i k a t͡ʃ e
egal	e ɡ a l
ei	j e j
el	j e l
ele	j e l e
electric	e l e k t r i k
electrician	e l e k t r i t͡ʃ i a n
electriciană	e l e k t r i t͡ʃ i a n ə
electromagnetic	e l e k t r o m a ɡ n e t i k
elefant	e l e f a n t
elementar	e l e m e n t a r
emerit	e m e r i t
emoțional	e m o t͡s i o n a l
empiric	e m p i r i k
enciclopedia	e n t͡ʃ i k l o p e d i j a
enciclopedie	e n t͡ʃ i k l o p e d i j e
englez	e ŋ ɡ l e z
engleze	e ŋ ɡ l e z e
englezești	e ŋ ɡ l e z e ʃ tʲ
enorm	e n o r m
entomolog	e n t o m o l o ɡ
entomologă	e n t o m o l o ɡ ə
epifanie	e p i f a n i j e
episcopal	e p i s k o p a l
eronat	e r o n a t
erpetolog	e r p e t o l o ɡ
erpetologă	e r p e t o l o ɡ ə
estetician	e s t e t i t͡ʃ i a n
esteticiană	e s t e t i t͡ʃ i a n ə
eston	e s t o n
estonian	e s t o n i a n
estoniene	e s t o n i e n e
etcetera	e t t ʃ e t e r a
eterogen	e t e r o d͡ʒ e n
etil	e t i l
etilic	e t i l i k
etnolog	e t n o l o ɡ
etnologă	e t n o l o ɡ ə
europa	e u r o p a
european	e u r o p e̯ a n
evaziv	e v a z i v
evlavios	e v l a v i o s
evreiască	e v r e j a s k ə
evreică	e v r e j k ə
evreiesc	e v r e j e s k
evreiești	e v r e j e ʃ tʲ
evreu	e v r e̯ u
exact	e ɡ z a k t
exagerat	e k s a d͡ʒ e r a t
exagerație	e k s a d͡ʒ e r a t͡s i e
exasperat	e ɡ z a s p e r a t
excelent	e k s t͡ʃ e l e n t
excepțional	e k s t͡ʃ e p t͡s i o n a l
exclude	e k s k l u d e
excreție	e k s k r e t͡s i e
execuție	e ɡ z e k u t͡s i e
exercita	e ɡ z e r t͡ʃ i t a
exotic	e ɡ z o t i k
experimentat	e k s p e r i m e n t a t
expirație	e k s p i r a t͡s i e
explicativ	e k s p l i k a t i v
exploatare	e k s p l o a t a r e
explozibil	e k s p l o z i b i l
expresie	e k s p r e s i e
exterior	e k s t e r i o r
externa	e k s t e r n a
extraordinar	e k s t r a o r d i n a r
eșarfă	e ʃ a r f ə
ețetera	e t͡s e t e r a
f	f
facere	f a t͡ʃ e r e
fad	f a d
faimos	f a j m o s
fain	f a j n
fals	f a l s
falus	f a l u s
faptă	f a p t ə
far	f a r
farmacist	f a r m a t͡ʃ i s t
farmacistă	f a r m a t͡ʃ i s t ə
farmacolog	f a r m a k o l o ɡ
farmacologă	f a r m a k o l o ɡ ə
fazan	f a z a n
față	f a t s ə
februarie	f e b r u a r i j e
fecioară	f e t͡ʃ j o̯ a r ə
federal	f e d e r a l
federație	f e d e r a t͡s i e
felia	f e l i a
felină	f e l i n ə
feluri	f e l u r i
feluri	f e l u rʲ
felurit	f e l u r i t
femeia	f e m e j a
femeiască	f e m e j a s k ə
femeiesc	f e m e j e s k
femeiești	f e m e j e ʃ tʲ
femele	f e m e l e
femelă	f e m e l ə
feminine	f e m i n i n e
ferestrui	f e r e s t r u i
ferestruit	f e r e s t r u i t
ferice	f e r i t͡ʃ e
fericirea	f e r i t͡ʃ i r e̯ a
fericit	f e r i t͡ʃ i t
fermeca	f e r m e k a
fermecător	f e r m e k ə t o r
fermentație	f e r m e n t a t͡s i e
fertil	f e r t i l
fesă	f e s ə
feudalism	f e u d a l i s m
feți	f e t͡sʲ
fețișoară	f e t͡s i ʃ o̯ a r ə
fier	f j e r
fierbincior	f j e r b i n t͡ʃʲ o r
fiert	f j e r t
fierăstruit	f i e r ə s t r u i t
ființa	f i i n t͡s a
ființe	f i i n t͡s e
ființă	f i i n t͡s ə
fiji	f i d͡ʒ i
fijian	f i d͡ʒ i a n
filamentos	f i l a m e n t o s
filantropic	f i l a n t r o p i k
filozofie	f i l o z o f i e
fin	f i n
finisa	f i n i s a
fir	f i r
firav	f i r a v
firească	f i r e̯ a s k ə
firesc	f i r e s k
firetic	f i r e t i k
firești	f i r e ʃ tʲ
fitolog	f i t o l o ɡ
fitologă	f i t o l o ɡ ə
fizic	f i z i k
fizician	f i z i t͡ʃ i a n
fiziciană	f i z i t͡ʃ i a n ə
fiziolog	f i z i o l o ɡ
fiziologă	f i z i o l o ɡ ə
fițuică	f i t͡s u j k ə
flamand	f l a m a n d
flamingo	f l a m i n ɡ o
flecar	f l e k a r
flexibil	f l e k s i b i l
floare	f l o̯ a r e
floarea	f l o̯ a r e̯ a
flocos	f l o k o s
flor	f l o r
florar	f l o r a r
florentin	f l o r e n t i n
florentina	f l o r e n t i n a
florentine	f l o r e n t i n e
florentini	f l o r e n t i nʲ
florentină	f l o r e n t i n ə
florența	f l o r e n t͡s a
florist	f l o r i s t
floristă	f l o r i s t ə
flotant	f l o t a n t
fluor	f l o r
fluor	f l u o r
flăcău	f l ə k ə w
flămând	f l ə m ɨ n d
flămânzi	f l ə m ɨ n z i
foc	f o k
focos	f o k o s
focă	f o k ə
foios	f o j o s
fond	f o n d
fondator	f o n d a t o r
fonduri	f o n d u rʲ
fonetic	f o n e t i k
forestier	f o r e s t i e r
formal	f o r m a l
format	f o r m a t
formata	f o r m a t a
formată	f o r m a t ə
formație	f o r m a t͡s i e
formidabil	f o r m i d a b i l
formulă	f o r m u l ə
fosfor	f o s f o r
fotbalist	f o t b a l i s t
fotbalistă	f o t b a l i s t ə
fotoliu	f o t o l j u
fraged	f r a d͡ʒ e d
fragil	f r a d͡ʒ i l
fragă	f r a ɡ ə
fraier	f r a j e r
franc	f r a ŋ k
franceze	f r a n t͡ʃ e z e
franțuz	f r a n t͡s u z
franțuzească	f r a n t͡s u z e̯ a s k ə
franțuzesc	f r a n t͡s u z e s k
franțuzești	f r a n t͡s u z e ʃ tʲ
frecvent	f r e k v e n t
fricos	f r i k o s
frică	f r i k ə
friguroasă	f r i ɡ u r o̯ a s ə
friguros	f r i ɡ u r o s
fript	f r i p t
frizeriță	f r i z e r i t͡s ə
frumusețea	f r u m u s e t͡s e̯ a
frunziș	f r u n z i ʃ
frunzos	f r u n z o s
frâmbiat	f r ɨ m b i a t
frânge	f r ɨ n d͡ʒ e
frânt	f r ɨ n t
frăgezi	f r ə d͡ʒ e z i
fudul	f u d u l
fugaci	f u ɡ a t͡ʃʲ
fugi	f u d͡ʒ i
fugări	f u ɡ ə r i
fulg	f u l ɡ
fulgerător	f u l d͡ʒ e r ə t o r
fulgui	f u l ɡ u i
fumar	f u m a r
fumuriu	f u m u r i w
fundamental	f u n d a m e n t a l
fundaș	f u n d a ʃ
fundație	f u n d a t͡s i e
furios	f u r i o s
furnicar	f u r n i k a r
furtunos	f u r t u n o s
futabil	f u t a b i l
futangiu	f u t a n d͡ʒ i w
futând	f u t ɨ n d
fâsă	f ɨ s ə
făcător	f ə k ə t o r
făinos	f ə i n o s
fălcos	f ə l k o s
făptaș	f ə p t a ʃ
făptașă	f ə p t a ʃ ə
făpturi	f ə p t u rʲ
făptură	f ə p t u r ə
făurar	f ə w r a r
fățiș	f ə t͡s i ʃ
g	d ʒ
g	ɡ
gaiță	ɡ a j t͡s ə
galben	ɡ a l b e n
galbeni	ɡ a l b e nʲ
galfed	ɡ a l f e d
galiu	ɡ a l j u
galvanizat	ɡ a l v a n i z a t
gamba	ɡ a m b a
gambă	ɡ a m b ə
garaj	ɡ a r a ʒ
garnizoană	ɡ a r n i z o̯ a n ə
garson	ɡ a r s o n
gastric	ɡ a s t r i k
gata	ɡ a t a
gavial	ɡ a v i a l
gazelă	ɡ a z e l ə
geacă	d ʒ e̯ a k ə
geamăn	d͡ʒ e̯ a m ə n
gelos	d͡ʒ e l o s
gen	d͡ʒ e n
genealogist	d͡ʒ e n e a l o d͡ʒ i s t
genealogistă	d͡ʒ e n e a l o d͡ʒ i s t ə
general	d͡ʒ e n e r a l
generic	d ʒ e n e r i k
genetician	d͡ʒ e n e t i t͡ʃ i a n
geneticiană	d͡ʒ e n e t i t͡ʃ i a n ə
geofizician	d͡ʒ e o f i z i t͡ʃ i a n
geofiziciană	d͡ʒ e o f i z i t͡ʃ i a n ə
geograf	d͡ʒ e o ɡ r a f
geografic	d͡ʒ e o ɡ r a f i k
geografă	d͡ʒ e o ɡ r a f ə
geolog	d͡ʒ e o l o ɡ
geologie	d͡ʒ e o l o d͡ʒ i e
geologă	d͡ʒ e o l o ɡ ə
georgian	d͡ʒ e̯ o r d͡ʒ i a n
gerar	d͡ʒ e r a r
geriatru	d͡ʒ e r i a t r u
geriatră	d͡ʒ e r i a t r ə
german	d͡ʒ e r m a n
germaniu	d͡ʒ e r m a n j u
germană	d͡ʒ e r m a n ə
germănar	d͡ʒ e r m ə n a r
gestiona	d͡ʒ e s t i o n a
gestionar	d͡ʒ e s t i o n a r
gestionari	d͡ʒ e s t i o n a rʲ
gestiune	d͡ʒ e s t i u n e
gestiuni	d͡ʒ e s t i u nʲ
get	d͡ʒ e t
ghepard	ɡ e p a r d
ghicit	ɡ i t͡ʃ i t
ghicitoare	ɡ i t͡ʃ i t o̯ a r e
ghid	ɡ i d
ghidă	ɡ i d ə
ghimpe	ɡ i m p e
ghinduros	ɟ i n d u r o s
ghionoaie	ɡ i o n o̯ a j e
ghiont	ɡ j o n t
gimnast	d͡ʒ i m n a s t
gimnastă	d͡ʒ i m n a s t ə
ginecolog	d͡ʒ i n e k o l o ɡ
ginecologă	d͡ʒ i n e k o l o ɡ ə
ginere	d͡ʒ i n e r e
gingaș	d͡ʒ i ŋ ɡ a ʃ
girafa	d͡ʒ i r a f a
girafă	d͡ʒ i r a f ə
glaciolog	ɡ l a t͡ʃ i o l o ɡ
glaciologă	ɡ l a t͡ʃ i o l o ɡ ə
gladiolă	ɡ l a d i o l ə
glandulos	ɡ l a n d u l o s
glas	ɡ l a s
glonț	ɡ l o n t͡s
glorificator	ɡ l o r i f i k a t o r
glucoze	ɡ l u k o z e
glucoză	ɡ l u k o z ə
glumă	ɡ l u m ə
gnostic	ɡ n o s t i k
gogoașă	ɡ o ɡ o̯ a ʃ ə
gogoși	ɡ o ɡ o ʃʲ
gogă	ɡ o ɡ ə
gol	ɡ o l
goni	ɡ o n i
gorilă	ɡ o r i l ə
gospodar	ɡ o s p o d a r
gospodină	ɡ o s p o d i n ə
gospodărească	ɡ o s p o d ə r e̯ a s k ə
gospodăresc	ɡ o s p o d ə r e s k
gospodărești	ɡ o s p o d ə r e ʃ tʲ
grafit	ɡ r a f i t
grangur	ɡ r a n ɡ u r
gras	ɡ r a s
graur	ɡ r a u r
grav	ɡ r a v
gravat	ɡ r a v a t
gravid	ɡ r a v i d
gravidă	ɡ r a v i d ə
gravitațional	ɡ r a v i t a t͡s i o n a l
grație	ɡ r a t͡s i e
greacă	ɡ r e̯ a k ə
grebla	ɡ r e b l a
grec	ɡ r e k
grecească	ɡ r e t͡ʃ e̯ a s k ə
grecesc	ɡ r e t͡ʃ e s k
grecești	ɡ r e t͡ʃ e ʃ tʲ
gregar	ɡ r e ɡ a r
greier	ɡ r e j e r
greoi	ɡ r e o j
gresa	ɡ r e s a
greu	ɡ r e w
greși	ɡ r e ʃ i
grețos	ɡ r e t͡s o s
gri	ɡ r i
grijanie	ɡ r i ʒ a n i e
grijuliu	ɡ r i ʒ u l i w
groaznic	ɡ r o̯ a z n i k
groh	ɡ r o x
gros	ɡ r o s
gruie	ɡ r u j e
grâu	ɡ r ɨ w
grădinar	ɡ r ə d i n a r
grădini	ɡ r ə d i nʲ
grădiniță	ɡ r ə d i n i t͡s ə
grădinăreasă	ɡ r ə d i n ə r e̯ a s ə
grădinări	ɡ r ə d i n ə r i
grămăjoară	ɡ r ə m ə ʒ o̯ a r ə
grăsun	ɡ r ə s u n
grăsuț	ɡ r ə s u t͡s
guguștiuc	ɡ u ɡ u ʃ t j u k
gunoier	ɡ u n o j e r
gunoieră	ɡ u n o j e r ə
guraliv	ɡ u r a l i v
gureș	ɡ u r e ʃ
gust	ɡ u s t
gustar	ɡ u s t a r
gustos	ɡ u s t o s
gustul	ɡ u s t u l
guvernamental	ɡ u v e r n a m e n t a l
guvernant	ɡ u v e r n a n t
guvernante	ɡ u v e r n a n t e
guvernantă	ɡ u v e r n a n t ə
guvernanți	ɡ u v e r n a n t͡sʲ
gâmba	ɡ ɨ m b a
gând	ɡ ɨ n d
gârbov	ɡ ɨ r b o v
gâscan	ɡ ɨ s k a n
găină	ɡ ə i n ə
gălbenuș	ɡ ə l b e n u ʃ
gălbiu	ɡ ə l b i w
gălbui	ɡ ə l b u j
gălăgie	ɡ ə l ə d͡ʒ i e
gălăgios	ɡ ə l ə d͡ʒ i o s
găoace	ɡ ə o̯ a t͡ʃ e
găoci	ɡ ə o t͡ʃʲ
găunos	ɡ ə u n o s
h	h
haide	h a j d e
haitian	h a i t i a n
halat	h a l a t
ham	h a m
hamster	h a m s t e r
harfă	h a r f ə
harnic	h a r n i k
hau	h a w
hazardat	h a z a r d a t
hazliu	h a z l i w
haț	h a t͡s
hectogram	h e k t o ɡ r a m
heliu	h e l j u
hematit	h e m a t i t
hematologie	h e m a t o l o d͡ʒ i e
hering	h e r i ŋ ɡ
heterosexual	h e t e r o s e k s u a l
hidrați	h i d r a t sʲ
hidrogen	h i d r o d͡ʒ e n
hidrolog	h i d r o l o ɡ
hidrologă	h i d r o l o ɡ ə
hiperbolă	h i p e r b o l ə
hipopotam	h i p o p o t a m
hispanic	h i s p a n i k
histologic	h i s t o l o d͡ʒ i k
homofobic	h o m o f o b i k
homosexual	h o m o s e k s u a l
horticultoare	h o r t i k u l t o̯ a r e
horticultor	h o r t i k u l t o r
hotel	h o t e l
hrană	h r a n ə
hrean	h r e̯ a n
hristos	h r i s t o s
hrișcă	h r i ʃ k ə
hulit	h u l i t
hârbui	h ɨ r b u i
hârciog	h ɨ r t͡ʃʲ o ɡ
hârtie	h ɨ r t i j e
i	i
i	j
i	ʲ
ia	j a
iac	j a k
iacă	j a k ə
iadă	j a d ə
ianuarie	j a n w a r i j e
iapă	j a p ə
iarnă	j a r n ə
iată	j a t ə
icre	i k r e
icră	i k r ə
identic	i d e n t i k
idiot	i d i o t
ie	i j e
ied	j e d
iede	j e d e
ieftin	j e f t i n
ieftini	j e f t i n i
ienibahar	j e n i b a h a r
ienuperi	j e n u p e rʲ
ienupăr	j e n u p ə r
iepe	j e p e
iepurar	j e p u r a r
iepure	j e p u r e
iepuri	j e p u rʲ
ierbar	j e r b a r
ierbos	j e r b o s
iernatic	j e r n a t i k
ierni	j e r nʲ
iertat	j e r t a t
ieruncă	j e r u ŋ k ə
iezmăciune	j e z m ə t͡ʃ u n e
ihtiolog	i h t i o l o ɡ
ihtiologă	i h t i o l o ɡ ə
ilegal	i l e ɡ a l
iluminație	i l u m i n a t͡s i e
iluzoriu	i l u z o r j u
imaginație	i m a d͡ʒ i n a t͡s i e
imam	i m a m
imbus	i m b u s
imitare	i m i t a r e
imoral	i m o r a l
imortal	i m o r t a l
imos	i m o s
impas	i m p a s
imperfect	i m p e r f e k t
imperial	i m p e r i a l
implicație	i m p l i k a t͡s i e
imposibil	i m p o s i b i l
imprecație	i m p r e k a t͡s i e
impredictibil	i m p r e d i k t i b i l
imputație	i m p u t a t͡s i e
imunolog	i m u n o l o ɡ
imunologă	i m u n o l o ɡ ə
inamiciție	i n a m i t͡ʃ i t͡s i e
inbus	i n b u s
include	i n k l u d e
incomplet	i ŋ k o m p l e t
incompleta	i ŋ k o m p l e t a
indiferent	i n d i f e r e n t
indispensabil	i n d i s p e n s a b i l
indisponibil	i n d i s p o n i b i l
indonezian	i n d o n e z i a n
indoneziană	i n d o n e z i a n ə
industrial	i n d u s t r j a l
industrializat	i n d u s t r i a l i z a t
inel	i n e l
inelar	i n e l a r
inerție	i n e r t͡s i e
inestetic	i n e s t e t i k
inestimabil	i n e s t i m a b i l
inexplicabil	i n e k s p l i k a b i l
inexprimabil	i n e k s p r i m a b i l
inferior	i n f e r i o r
infirm	i n f i r m
infirma	i n f i r m a
infirmare	i n f i r m a r e
infirmi	i n f i r mʲ
infirmier	i n f i r m i e r
infirmieră	i n f i r m i e r ə
infirmări	i n f i r m ə rʲ
inflamabil	i n f l a m a b i l
inflație	i n f l a t͡s i e
inflexibil	i n f l e k s i b i l
influență	i n f l u e n t͡s ə
informatică	i n f o r m a t i k ə
informație	i n f o r m a t͡s i e
inimiciție	i n i m i t͡ʃ i t͡s i e
inimos	i n i m o s
inocent	i n o t͡ʃ e n t
inovație	i n o v a t͡s i e
ins	i n s
inscripție	i n s k r i p t͡s i e
inseparabil	i n s e p a r a b i l
inserție	i n s e r t͡s i e
insidios	i n s i d i o s
inspectoare	i n s p e k t o̯ a r e
inspector	i n s p e k t o r
inspirație	i n s p i r a t͡s i e
instabil	i n s t a b i l
instantaneu	i n s t a n t a n e w
instinct	i n s t i n k t
instituție	i n s t i t u t͡s i e
instituții	i n s t i t u t͡s iː
instituțional	i n s t i t u t͡s i o n a l
instructoare	i n s t r u k t o̯ a r e
instructor	i n s t r u k t o r
insurmontabil	i n s u r m o n t a b i l
intact	i n t a k t
integrabil	i n t e ɡ r a b i l
integral	i n t e ɡ r a l
integru	i n t e ɡ r u
intelectual	i n t e l e k t u a l
inteligent	i n t e l i d͡ʒ e n t
inteligibil	i n t e l i d͡ʒ i b i l
intempestiv	i n t e m p e s t i v
intempestive	i n t e m p e s t i v e
intens	i n t e n s
intensifica	i n t e n s i f i k a
intenție	i n t e n t͡s i e
interferență	i n t e r f e r e n t͡s ə
intermediar	i n t e r m e d i a r
internațional	i n t e r n a t͡s i o n a l
interzice	i n t e r z i t͡ʃ e
interzis	i n t e r z i s
intim	i n t i m
