@	a̠ t̚ t o̞
好青年	k o̞ː s e̞ː n ẽ̞ ɴ
恒星年	k o̞ː s e̞ː n ẽ̞ ɴ
高性能	k o̞ː s e̞ː n o̞ː
厚生労働省	k o̞ː s e̞ː ɾ o̞ː d o̞ː ɕ o̞ː
功績	k o̞ː s e̞ kʲ i
皇籍	k o̞ː s e̞ kʲ i
荒瘠	k o̞ː s e̞ kʲ i
鉱石	k o̞ː s e̞ kʲ i
硬石膏	k o̞ː s e̞ k̚ k o̞ː
交戦	k o̞ː s ẽ̞ ɴ
交線	k o̞ː s ẽ̞ ɴ
光線	k o̞ː s ẽ̞ ɴ
公選	k o̞ː s ẽ̞ ɴ
好戦	k o̞ː s ẽ̞ ɴ
抗戦	k o̞ː s ẽ̞ ɴ
鋼線	k o̞ː s ẽ̞ ɴ
公然	k o̞ː z ẽ̞ ɴ
鏗然	k o̞ː z ẽ̞ ɴ
好戦的	k o̞ː s ẽ̞ n t e̞ kʲ i
公訴	k o̞ː s o̞
控訴	k o̞ː s o̞
江蘇	k o̞ː s o̞
酵素	k o̞ː s o̞
高祖	k o̞ː s o̞
楮	k o̞ː z o̞
控訴院	k o̞ː s o̞ ĩ ɴ
咬創	k o̞ː s o̞ː
抗争	k o̞ː s o̞ː
構想	k o̞ː s o̞ː
鏗鏘	k o̞ː s o̞ː
香草	k o̞ː s o̞ː
高僧	k o̞ː s o̞ː
高層	k o̞ː s o̞ː
構造	k o̞ː z o̞ː
航三	k o̞ː z o̞ː
構造式	k o̞ː z o̞ː ɕ i kʲ i
構造的	k o̞ː z o̞ː t e̞ kʲ i
高祖母	k o̞ː s o̞ b o̞
剛太	ɡ o̞ː t a̠
コウタイ	k o̞ː t a̠ i
交代	k o̞ː t a̠ i
後退	k o̞ː t a̠ i
抗体	k o̞ː t a̠ i
剛体	ɡ o̞ː t a̠ i
広大	k o̞ː d a̠ i
皇太子	k o̞ː t a̠ i ɕ i
香蕈	k o̞ː t a̠ k e̞
合田草	ɡ o̞ː d a̠ s o̞ː
荒誕	k o̞ː t ã̠ ɴ
降誕	k o̞ː t ã̠ ɴ
公団	k o̞ː d ã̠ ɴ
降誕祭	k o̞ː t ã̠ ɰ̃ s a̠ i
交趾	k o̞ː t͡ɕ i
後置	k o̞ː t͡ɕ i
拘置	k o̞ː t͡ɕ i
耕地	k o̞ː t͡ɕ i
高地	k o̞ː t͡ɕ i
高知	k o̞ː t͡ɕ i
高知県	k o̞ː t͡ɕ i k ẽ̞ ɴ
後置詞	k o̞ː t͡ɕ i ɕ i
拘置所	k o̞ː t͡ɕ i ɕ o̞
紅茶	k o̞ː t͡ɕ a̠
皇儲	k o̞ː ɕ i
好調	k o̞ː t͡ɕ o̞ː
校長	k o̞ː t͡ɕ o̞ː
紅潮	k o̞ː t͡ɕ o̞ː
腔腸	k o̞ː t͡ɕ o̞ː
高潮	k o̞ː t͡ɕ o̞ː
公聴会	k o̞ː t͡ɕ o̞ː k a̠ i
後頭葉	k o̞ː t o̞ː j o̞ː
轟沈	ɡ o̞ː t͡ɕ ĩ ɴ
こうて	k o̞ː t e̞
公定	k o̞ː t e̞ː
公邸	k o̞ː t e̞ː
孝悌	k o̞ː t e̞ː
工程	k o̞ː t e̞ː
後庭	k o̞ː t e̞ː
校庭	k o̞ː t e̞ː
校訂	k o̞ː t e̞ː
皇帝	k o̞ː t e̞ː
肯定	k o̞ː t e̞ː
行程	k o̞ː t e̞ː
高低	k o̞ː t e̞ː
高弟	k o̞ː t e̞ː
黄帝	k o̞ː t e̞ː
拘泥	k o̞ː d e̞ː
豪邸	ɡ o̞ː t e̞ː
肯定的	k o̞ː t e̞ː t e̞ kʲ i
公的	k o̞ː t e̞ kʲ i
交点	k o̞ː t ẽ̞ ɴ
好天	k o̞ː t ẽ̞ ɴ
好転	k o̞ː t ẽ̞ ɴ
後天	k o̞ː t ẽ̞ ɴ
耕田	k o̞ː d ẽ̞ ɴ
光電子	k o̞ː d ẽ̞ ɰ̃ ɕ i
後天性	k o̞ː t ẽ̞ ɰ̃ s e̞ː
後天的	k o̞ː t ẽ̞ n t e̞ kʲ i
光度	k o̞ː d o̞
高度	k o̞ː d o̞
公党	k o̞ː t o̞ː
公稲	k o̞ː t o̞ː
勾当	k o̞ː t o̞ː
口頭	k o̞ː t o̞ː
叩頭	k o̞ː t o̞ː
好投	k o̞ː t o̞ː
後唐	k o̞ː t o̞ː
後頭	k o̞ː t o̞ː
洪濤	k o̞ː t o̞ː
荒唐	k o̞ː t o̞ː
降等	k o̞ː t o̞ː
香頭	k o̞ː t o̞ː
高等	k o̞ː t o̞ː
高踏	k o̞ː t o̞ː
高騰	k o̞ː t o̞ː
公同	k o̞ː d o̞ː
公道	k o̞ː d o̞ː
劫盗	ɡ o̞ː t o̞ː
坑道	k o̞ː d o̞ː
孝道	k o̞ː d o̞ː
強盗	ɡ o̞ː t o̞ː
皇道	k o̞ː d o̞ː
行動	k o̞ː d o̞ː
講堂	k o̞ː d o̞ː
豪宕	ɡ o̞ː t o̞ː
香道	k o̞ː d o̞ː
高堂	k o̞ː d o̞ː
高道	k o̞ː d o̞ː
黄道	k o̞ː d o̞ː
鼇頭	ɡ o̞ː t o̞ː
合同	ɡ o̞ː d o̞ː
黄道吉日	k o̞ː d o̞ː kʲ i t͡ɕ i ɲ̟ i t͡ɕ i
合同誌	ɡ o̞ː d o̞ː ɕ i
紅頭嶼	k o̞ː t o̞ː ɕ o̞
黄道帯	k o̞ː d o̞ː t a̠ i
高踏派	k o̞ː t o̞ː h a̠
皇道派	k o̞ː d o̞ː h a̠
黄道面	k o̞ː d o̞ː m ẽ̞ ɴ
高度計	k o̞ː d o̞ k e̞ː
口内	k o̞ː n a̠ i
喉内	k o̞ː n a̠ i
校内	k o̞ː n a̠ i
構内	k o̞ː n a̠ i
口内炎	k o̞ː n a̠ i ẽ̞ ɴ
喉内音	k o̞ː n a̠ i õ̞ ɴ
小女子	k o̞ː n a̠ ɡ o̞
江南	k o̞ː n ã̠ ɴ
高二	k o̞ː ɲ̟ i
抗日	k o̞ː ɲ̟ i t͡ɕ i
公認	k o̞ː ɲ̟ ĩ ɴ
弘仁	k o̞ː ɲ̟ ĩ ɴ
後任	k o̞ː ɲ̟ ĩ ɴ
康寧	k o̞ː n e̞ː
光年	k o̞ː n ẽ̞ ɴ
後年	k o̞ː n ẽ̞ ɴ
荒年	k o̞ː n ẽ̞ ɴ
更年期	k o̞ː n ẽ̞ ŋʲ kʲ i
功能	k o̞ː n o̞ː
効能	k o̞ː n o̞ː
鸛	k o̞ː n o̞ t o̞ ɾʲ i
光波	k o̞ː h a̠
洪波	k o̞ː h a̠
硬派	k o̞ː h a̠
後背	k o̞ː h a̠ i
後輩	k o̞ː h a̠ i
興廃	k o̞ː h a̠ i
荒廃	k o̞ː h a̠ i
勾配	k o̞ː b a̠ i
購買	k o̞ː b a̠ i
後背位	k o̞ː h a̠ i i
広背筋	k o̞ː h a̠ i kʲ ĩ ɴ
購買者	k o̞ː b a̠ i ɕ a̠
荒廃地	k o̞ː h a̠ i t͡ɕ i
勾配標	k o̞ː b a̠ i ç o̞ː
香ばしい	k o̞ː b a̠ ɕ i i
幸原	k o̞ː h a̠ ɾ a̠
業腹	ɡ o̞ː h a̠ ɾ a̠
広範	k o̞ː h ã̠ ɴ
後半	k o̞ː h ã̠ ɴ
攪拌	k o̞ː h ã̠ ɴ
紅斑	k o̞ː h ã̠ ɴ
交番	k o̞ː b ã̠ ɴ
合板	ɡ o̞ː h ã̠ ɴ
香盤	k o̞ː b ã̠ ɴ
広範囲	k o̞ː h ã̠ ɰ̃ i
公判廷	k o̞ː h ã̠ n t e̞ː
公費	k o̞ː ç i
工費	k o̞ː ç i
交尾	k o̞ː bʲ i
合否	ɡ o̞ː ç i
公表	k o̞ː ç o̞ː
好評	k o̞ː ç o̞ː
神戸	k o̞ː b e̞
こうへい	k o̞ː h e̞ː
公平	k o̞ː h e̞ː
工兵	k o̞ː h e̞ː
幸平	k o̞ː h e̞ː
降冪	k o̞ː b e̞ kʲ i
抗弁	k o̞ː b ẽ̞ ɴ
合弁会社	ɡ o̞ː b ẽ̞ ŋ ɡ a̠ i ɕ a̠
候補	k o̞ː h o̞
公募	k o̞ː b o̞
公報	k o̞ː h o̞ː
公法	k o̞ː h o̞ː
工法	k o̞ː h o̞ː
広報	k o̞ː h o̞ː
後方	k o̞ː h o̞ː
航法	k o̞ː h o̞ː
高峰	k o̞ː h o̞ː
公妨	k o̞ː b o̞ː
号砲	ɡ o̞ː h o̞ː
合法	ɡ o̞ː h o̞ː
工房	k o̞ː b o̞ː
広袤	k o̞ː b o̞ː
攻防	k o̞ː b o̞ː
豪放	ɡ o̞ː h o̞ː
高坊	k o̞ː b o̞ː
合法化	ɡ o̞ː h o̞ː k a̠
後方互換性	k o̞ː h o̞ː ɡ o̞ k ã̠ ɰ̃ s e̞ː
合法性	ɡ o̞ː h o̞ː s e̞ː
合法的	ɡ o̞ː h o̞ː t e̞ kʲ i
候補者	k o̞ː h o̞ ɕ a̠
高慢	k o̞ː m ã̠ ɴ
傲慢	ɡ o̞ː m ã̠ ɴ
高慢ちき	k o̞ː m ã̠ ɲ̟ t͡ɕ i kʲ i
巧妙	k o̞ː mʲ o̞ː
光明丹	k o̞ː mʲ o̞ː t ã̠ ɴ
公民	k o̞ː mʲ ĩ ɴ
皇民	k o̞ː mʲ ĩ ɴ
皇民化	k o̞ː mʲ ĩ ŋ k a̠
公民権	k o̞ː mʲ ĩ ŋ k ẽ̞ ɴ
公明	k o̞ː m e̞ː
校名	k o̞ː m e̞ː
高名	k o̞ː m e̞ː
合名会社	ɡ o̞ː m e̞ː ɡ a̠ i ɕ a̠
公明正大	k o̞ː m e̞ː s e̞ː d a̠ i
公明党	k o̞ː m e̞ː t o̞ː
紅毛	k o̞ː m o̞ː
剛毛	ɡ o̞ː m o̞ː
紅毛人	k o̞ː m o̞ː ʑ ĩ ɴ
蛤蟆塘	k o̞ː m o̞ t o̞ː
蝙蝠	k o̞ː m o̞ ɾʲ i
蝙蝠蛾	k o̞ː m o̞ ɾʲ i ɡ a̠
蝙蝠傘	k o̞ː m o̞ ɾʲ i ɡ a̠ s a̠
蝙蝠草	k o̞ː m o̞ ɾʲ i s o̞ː
蝙蝠蛸	k o̞ː m o̞ ɾʲ i d a̠ k o̞
後門	k o̞ː m õ̞ ɴ
校門	k o̞ː m õ̞ ɴ
肛門	k o̞ː m õ̞ ɴ
黄門	k o̞ː m õ̞ ɴ
拷問	ɡ o̞ː m õ̞ ɴ
広野	k o̞ː j a̠
荒野	k o̞ː j a̠
高野箒	k o̞ː j a̠ b o̞ː kʲ i
公用	k o̞ː j o̞ː
効用	k o̞ː j o̞ː
後葉	k o̞ː j o̞ː
綱要	k o̞ː j o̞ː
高揚	k o̞ː j o̞ː
公用語	k o̞ː j o̞ː ɡ o̞
甲羅	k o̞ː ɾ a̠
後来	k o̞ː ɾ a̠ i
高麗縁	k o̞ː ɾ a̠ i b e̞ ɾʲ i
攪乱	k o̞ː ɾ ã̠ ɴ
高覧	k o̞ː ɾ ã̠ ɴ
行李	k o̞ː ɾʲ i
合理	ɡ o̞ː ɾʲ i
合理化	ɡ o̞ː ɾʲ i k a̠
合理性	ɡ o̞ː ɾʲ i s e̞ː
合理的	ɡ o̞ː ɾʲ i t e̞ kʲ i
考慮	k o̞ː ɾʲ o̞
稿料	k o̞ː ɾʲ o̞ː
綱領	k o̞ː ɾʲ o̞ː
考量	k o̞ː ɾʲ o̞ː
香料	k o̞ː ɾʲ o̞ː
光臨	k o̞ː ɾʲ ĩ ɴ
光輪	k o̞ː ɾʲ ĩ ɴ
降臨	k o̞ː ɾʲ ĩ ɴ
好例	k o̞ː ɾ e̞ː
恒例	k o̞ː ɾ e̞ː
高齢	k o̞ː ɾ e̞ː
皇霊祭	k o̞ː ɾ e̞ː s a̠ i
高齢者	k o̞ː ɾ e̞ː ɕ a̠
航路	k o̞ː ɾ o̞
行路	k o̞ː ɾ o̞
香炉	k o̞ː ɾ o̞
高炉	k o̞ː ɾ o̞
功労	k o̞ː ɾ o̞ː
厚労省	k o̞ː ɾ o̞ː ɕ o̞ː
公論	k o̞ː ɾ õ̞ ɴ
口論	k o̞ː ɾ õ̞ ɴ
声	k o̞ e̞
肥	k o̞ e̞
護衛	ɡ o̞ e̞ː
御詠歌	ɡ o̞ e̞ː k a̠
護衛艦	ɡ o̞ e̞ː k ã̠ ɴ
古英語	k o̞ e̞ː ɡ o̞
こえぇ	k o̞ e̞ː
こええ	k o̞ e̞ː
肥桶	k o̞ e̞ o̞ k e̞
こえかけ	k o̞ e̞ k a̠ k e̞
こえがけ	k o̞ e̞ ɡ a̠ k e̞
小枝	k o̞ e̞ d a̠
こえだし	k o̞ e̞ d a̠ ɕ i
こえだめ	k o̞ e̞ d a̠ m e̞
五右衛門	ɡ o̞ e̞ m õ̞ ɴ
誤嚥	ɡ o̞ ẽ̞ ɴ
五円玉	ɡ o̞ ẽ̞ n d a̠ m a̠
ゴー	ɡ o̞ː
コーカソイド	k o̞ː k a̠ s o̞ i d o̞
コーカンド	k o̞ː k ã̠ n d o̞
ゴーギャン	ɡ o̞ː ɡʲ ã̠ ɴ
コーダ	k o̞ː d a̠
コーダー	k o̞ː d a̠ː
コーチ	k o̞ː t͡ɕ i
コーチシナ	k o̞ː t͡ɕ i ɕ i n a̠
コーデ	k o̞ː d e̞
コート	k o̞ː t o̞
コード	k o̞ː d o̞
ゴードン	ɡ o̞ː d õ̞ ɴ
コーナー	k o̞ː n a̠ː
小鬼田平子	k o̞ː ɲ̟ i t a̠ bʲ i ɾ a̠ k o̞
コーヒー	k o̞ː ç iː
コーヒーメーカー	k o̞ː ç iː m e̞ː k a̠ː
ゴーヤ	ɡ o̞ː j a̠
ゴーヤー	ɡ o̞ː j a̠ː
コーラ	k o̞ː ɾ a̠
コーラン	k o̞ː ɾ ã̠ ɴ
こおり	k o̞ː ɾʲ i
冰	ç o̞ː
凍り	k o̞ː ɾʲ i
氷	k o̞ː ɾʲ i
氷襲	k o̞ː ɾʲ i ɡ a̠ s a̠ n e̞
氷菓子	k o̞ː ɾʲ i ɡ a̠ ɕ i
こおりじめ	k o̞ː ɾʲ i ʑ i m e̞
コーリャン	k o̞ː ɾʲ ã̠ ɴ
高粱	k o̞ː ɾʲ o̞ː
氷屋	k o̞ː ɾʲ i j a̠
蛼	k o̞ː ɾ o̞ ɡʲ i
蟋蟀	k o̞ː ɾ o̞ ɡʲ i
呉音	ɡ o̞ õ̞ ɴ
五回	ɡ o̞ k a̠ i
五戒	ɡ o̞ k a̠ i
戸外	k o̞ ɡ a̠ i
沙蚕	ɡ o̞ k a̠ i
誤解	ɡ o̞ k a̠ i
子会社	k o̞ ɡ a̠ i ɕ a̠
コカイン	k o̞ k a̠ ĩ ɴ
小顔	k o̞ ɡ a̠ o̞
小書き	k o̞ ɡ a̠ kʲ i
木陰	k o̞ k a̠ ɡ e̞
コカコーラ	k o̞ k a̠ k o̞ː ɾ a̠
小型	k o̞ ɡ a̠ t a̠
小型車	k o̞ ɡ a̠ t a̠ ɕ a̠
古楽器	k o̞ ɡ a̠ k̚ʲ kʲ i
黄金苺	k o̞ ɡ a̠ n e̞ː t͡ɕ i ɡ o̞
黄金色	k o̞ ɡ a̠ n e̞ i ɾ o̞
小鴨	k o̞ ɡ a̠ m o̞
小雀	k o̞ ɡ a̠ ɾ a̠
こがらし	k o̞ ɡ a̠ ɾ a̠ ɕ i
股間	k o̞ k ã̠ ɴ
こがん	k o̞ ɡ ã̠ ɴ
互換	ɡ o̞ k ã̠ ɴ
五官	ɡ o̞ k ã̠ ɴ
湖岸	k o̞ ɡ ã̠ ɴ
語幹	ɡ o̞ k ã̠ ɴ
護岸	ɡ o̞ ɡ ã̠ ɴ
後漢書	ɡ o̞ k ã̠ ɲ̟ d͡ʑ o̞
互換性	ɡ o̞ k ã̠ ɰ̃ s e̞ː
こき	k o̞ kʲ i
古器	k o̞ kʲ i
古希	k o̞ kʲ i
子機	k o̞ kʲ i
狐疑	k o̞ ɡʲ i
語気	ɡ o̞ kʲ i
誤記	ɡ o̞ kʲ i
語義	ɡ o̞ ɡʲ i
漕江	k o̞ ɡʲ i e̞
ご機嫌	ɡ o̞ kʲ i ɡ ẽ̞ ɴ
小刻み	k o̞ kʲ i z a̠ mʲ i
漕田	k o̞ ɡʲ i t a̠
こぎたない	k o̞ ɡʲ i t a̠ n a̠ i
小切手	k o̞ ɡʲ i t̚ t e̞
小切手帳	k o̞ ɡʲ i t̚ t e̞ t͡ɕ o̞ː
漕野	k o̞ ɡʲ i n o̞
こぎゃん	k o̞ ɡʲ ã̠ ɴ
故郷	k o̞ kʲ o̞ː
五経	ɡ o̞ kʲ o̞ː
五行	ɡ o̞ ɡʲ o̞ː
御形	ɡ o̞ ɡʲ o̞ː
小奇麗	k o̞ ɡʲ i ɾ e̞ː
古今	k o̞ kʲ ĩ ɴ
胡琴	k o̞ kʲ ĩ ɴ
御近所さん	ɡ o̞ kʲ ĩ ɲ̟ d͡ʑ o̞ s ã̠ ɴ
苔	k o̞ k e̞
固形	k o̞ k e̞ː
語形	ɡ o̞ k e̞ː
虚仮威し	k o̞ k e̞ o̞ d o̞ ɕ i
コケコッコー	k o̞ k e̞ k o̞ k̚ k o̞ː
こけし	k o̞ k e̞ ɕ i
苔玉	k o̞ k e̞ d a̠ m a̠
焦げ茶	k o̞ ɡ e̞ t͡ɕ a̠
御家人	ɡ o̞ k e̞ ɲ̟ ĩ ɴ
苔桃	k o̞ k e̞ m o̞ m o̞
杮	k o̞ k e̞ ɾ a̠
こけらおとし	k o̞ k e̞ ɾ a̠ o̞ t o̞ ɕ i
沽券	k o̞ k ẽ̞ ɴ
語源	ɡ o̞ ɡ ẽ̞ ɴ
五賢帝	ɡ o̞ k ẽ̞ n t e̞ː
語源的	ɡ o̞ ɡ ẽ̞ n t e̞ kʲ i
ここ	k o̞ k o̞
個個	k o̞ k o̞
呱呱	k o̞ k o̞
戸戸	k o̞ k o̞
五個	ɡ o̞ k o̞
古語	k o̞ ɡ o̞
午後	ɡ o̞ ɡ o̞
ココア	k o̞ k o̞ a̠
ここいら	k o̞ k o̞ i ɾ a̠
孤高	k o̞ k o̞ː
糊口	k o̞ k o̞ː
股肱	k o̞ k o̞ː
小声	k o̞ ɡ o̞ e̞
古語辞典	k o̞ ɡ o̞ ʑ i t ẽ̞ ɴ
心地	k o̞ k o̞ t͡ɕ i
小言	k o̞ ɡ o̞ t o̞
九重	k o̞ k o̞ n o̞ e̞
九日	k o̞ k o̞ n o̞ k a̠
小駒	k o̞ ɡ o̞ m a̠
小米花	k o̞ ɡ o̞ m e̞ b a̠ n a̠
ココ椰子	k o̞ k o̞ j a̠ ɕ i
ここらへん	k o̞ k o̞ ɾ a̠ h ẽ̞ ɴ
心	k o̞ k o̞ ɾ o̞
こころあたり	k o̞ k o̞ ɾ o̞ a̠ t a̠ ɾʲ i
心得	k o̞ k o̞ ɾ o̞ e̞
心掛け	k o̞ k o̞ ɾ o̞ ɡ a̠ k e̞
心構え	k o̞ k o̞ ɾ o̞ ɡ a̠ m a̠ e̞
志	k o̞ k o̞ ɾ o̞ z a̠ ɕ i
心して	k o̞ k o̞ ɾ o̞ ɕ i̥ t e̞
こころない	k o̞ k o̞ ɾ o̞ n a̠ i
心做し	k o̞ k o̞ ɾ o̞ n a̠ ɕ i
こころばかり	k o̞ k o̞ ɾ o̞ b a̠ k a̠ ɾʲ i
心細い	k o̞ k o̞ ɾ o̞ b o̞ s o̞ i
試み	k o̞ k o̞ ɾ o̞ mʲ i
心持ち	k o̞ k o̞ ɾ o̞ m o̞ t͡ɕ i
心許ない	k o̞ k o̞ ɾ o̞ m o̞ t o̞ n a̠ i
快い	k o̞ k o̞ ɾ o̞ j o̞ i
語根	ɡ o̞ k õ̞ ɴ
ここんとこ	k o̞ k õ̞ n t o̞ k o̞
誤差	ɡ o̞ s a̠
御座	ɡ o̞ z a̠
茣蓙	ɡ o̞ z a̠
コサイン	k o̞ s a̠ ĩ ɴ
小阪	k o̞ s a̠ k a̠
小賢しい	k o̞ z a̠ k a̠ ɕ iː
小魚	k o̞ z a̠ k a̠ n a̠
小鷺	k o̞ s a̠ ɡʲ i
小酒	k o̞ s a̠ k e̞
コサ語	k o̞ s a̠ ɡ o̞
小匙	k o̞ s a̠ ʑ i
こざっぱり	k o̞ z a̠ p̚ p a̠ ɾʲ i
阜偏	k o̞ z a̠ t o̞ h ẽ̞ ɴ
小皺	k o̞ s a̠ bʲ i
小雨	k o̞ s a̠ m e̞
小皿	k o̞ z a̠ ɾ a̠
五叉路	ɡ o̞ s a̠ ɾ o̞
古参	k o̞ s ã̠ ɴ
午餐	ɡ o̞ s ã̠ ɴ
誤算	ɡ o̞ s ã̠ ɴ
五山	ɡ o̞ z ã̠ ɴ
午餐会	ɡ o̞ s ã̠ ŋ k a̠ i
御三家	ɡ o̞ s ã̠ ŋ k e̞
こし	k o̞ ɕ i
腰	k o̞ ɕ i
越し	k o̞ ɕ i
輿	k o̞ ɕ i
五指	ɡ o̞ ɕ i
古字	k o̞ ʑ i
古寺	k o̞ ʑ i
固持	k o̞ ʑ i
固辞	k o̞ ʑ i
孤児	k o̞ ʑ i
小師	k o̞ ʑ i
後史	ɡ o̞ ɕ i
誇示	k o̞ ʑ i
語誌	ɡ o̞ ɕ i
五時	ɡ o̞ ʑ i
午時	ɡ o̞ ʑ i
誤字	ɡ o̞ ʑ i
孤児院	k o̞ ʑ i ĩ ɴ
午時花	ɡ o̞ ʑ i k a̠
こしかけ	k o̞ ɕ i̥ k a̠ k e̞
こしき	k o̞ ɕ i kʲ i
漉し器	k o̞ ɕ i kʲ i
甑	k o̞ ɕ i kʲ i
乞食	k o̞ ʑ i kʲ i
五色	ɡ o̞ ɕ i kʲ i
ごしごし	ɡ o̞ ɕ i ɡ o̞ ɕ i
子獅子	k o̞ ʑ i ɕ i
こじし座	k o̞ ʑ i ɕ i z a̠
虎視眈々	k o̞ ɕ i t ã̠ n t ã̠ ɴ
こしばき	k o̞ ɕ i b a̠ kʲ i
こしパン	k o̞ ɕ i p ã̠ ɴ
小島	k o̞ ʑ i m a̠
瞽者	k o̞ ɕ a̠
コシャリ	k o̞ ɕ a̠ ɾʲ i
古書	k o̞ ɕ o̞
御所	ɡ o̞ ɕ o̞
互助	ɡ o̞ ʑ o̞
古称	k o̞ ɕ o̞ː
呼称	k o̞ ɕ o̞ː
小姓	k o̞ ɕ o̞ː
故障	k o̞ ɕ o̞ː
湖沼	k o̞ ɕ o̞ː
胡椒	k o̞ ɕ o̞ː
誇称	k o̞ ɕ o̞ː
孤城	k o̞ ʑ o̞ː
後生	ɡ o̞ ɕ o̞ː
後衝	ɡ o̞ ɕ o̞ː
誤称	ɡ o̞ ɕ o̞ː
五常	ɡ o̞ ʑ o̞ː
五條	ɡ o̞ ʑ o̞ː
誤乗	ɡ o̞ ʑ o̞ː
ご紹介	ɡ o̞ ɕ o̞ː k a̠ i
後生大事	ɡ o̞ ɕ o̞ː d a̠ i ʑ i
誤情報	ɡ o̞ ʑ o̞ː h o̞ː
こしょばい	k o̞ ɕ o̞ b a̠ i
ゴジラ	ɡ o̞ ʑ i ɾ a̠
拵え事	k o̞ ɕ i ɾ a̠ e̞ ɡ o̞ t o̞
個人	k o̞ ʑ ĩ ɴ
古人	k o̞ ʑ ĩ ɴ
故人	k o̞ ʑ ĩ ɴ
誤信	ɡ o̞ ɕ ĩ ɴ
誤審	ɡ o̞ ɕ ĩ ɴ
誤診	ɡ o̞ ɕ ĩ ɴ
護身	ɡ o̞ ɕ ĩ ɴ
吾人	ɡ o̞ ʑ ĩ ɴ
個人的	k o̞ ʑ ĩ n t e̞ kʲ i
古神道	k o̞ ɕ ĩ n t o̞ː
個人用	k o̞ ʑ ĩ ɰ̃ j o̞ː
護身用	ɡ o̞ ɕ ĩ ɰ̃ j o̞ː
瞽女	ɡ o̞ z e̞
個性	k o̞ s e̞ː
古制	k o̞ s e̞ː
古聖	k o̞ s e̞ː
孤棲	k o̞ s e̞ː
湖西	k o̞ s e̞ː
糊精	k o̞ s e̞ː
鼓声	k o̞ s e̞ː
五星紅旗	ɡ o̞ s e̞ː k o̞ː kʲ i
古生代	k o̞ s e̞ː d a̠ i
個性的	k o̞ s e̞ː t e̞ kʲ i
こせがれ	k o̞ s e̞ ɡ a̠ ɾ e̞
コセカント	k o̞ s e̞ k ã̠ n t o̞
戸籍	k o̞ s e̞ kʲ i
こせこせ	k o̞ s e̞ k o̞ s e̞
小銭	k o̞ z e̞ ɲ̟ i
小競り合い	k o̞ z e̞ ɾʲ i a̠ i
互選	ɡ o̞ s ẽ̞ ɴ
五千	ɡ o̞ s ẽ̞ ɴ
午前	ɡ o̞ z ẽ̞ ɴ
御膳	ɡ o̞ z ẽ̞ ɴ
跨線橋	k o̞ s ẽ̞ ŋʲ kʲ o̞ː
こそ	k o̞ s o̞
こそあど	k o̞ s o̞ a̠ d o̞
固相	k o̞ s o̞ː
吾曹	ɡ o̞ s o̞ː
小僧	k o̞ z o̞ː
護送	ɡ o̞ s o̞ː
五臓	ɡ o̞ z o̞ː
古壮字	k o̞ s o̞ː ʑ i
護送車	ɡ o̞ s o̞ː ɕ a̠
こそこそ	k o̞ s o̞ k o̞ s o̞
子育て	k o̞ s o̞ d a̠ t e̞
挙って	k o̞ z o̞ t̚ t e̞
こそどろ	k o̞ s o̞ d o̞ ɾ o̞
こそ練	k o̞ s o̞ ɾ ẽ̞ ɴ
ご存知	ɡ o̞ z õ̞ ɲ̟ d͡ʑ i
個体	k o̞ t a̠ i
固体	k o̞ t a̠ i
五体	ɡ o̞ t a̠ i
古代	k o̞ d a̠ i
誇大	k o̞ d a̠ i
五大湖	ɡ o̞ d a̠ i k o̞
古第三紀	k o̞ d a̠ i s ã̠ ŋʲ kʲ i
古代人	k o̞ d a̠ i ʑ ĩ ɴ
誇大宣伝	k o̞ d a̠ i s ẽ̞ n d ẽ̞ ɴ
誇大妄想	k o̞ d a̠ i m o̞ː s o̞ː
答え	k o̞ t a̠ e̞
小高い	k o̞ d a̠ k a̠ i
古武	k o̞ t a̠ k e̞
小竹	k o̞ t a̠ k e̞
木立	k o̞ d a̠ t͡ɕ i
戸建て	k o̞ d a̠ t e̞
子種	k o̞ d a̠ n e̞
此度	k o̞ t a̠ bʲ i
木霊	k o̞ d a̠ m a̠
五段	ɡ o̞ d ã̠ ɴ
コタンジェント	k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
故地	k o̞ t͡ɕ i
東風	k o̞ t͡ɕ i
ごち	ɡ o̞ t͡ɕ i
御馳走	ɡ o̞ t͡ɕ i s o̞ː
此方人等	k o̞ t͡ɕ i t o̞ ɾ a̠
古茶	k o̞ t͡ɕ a̠
ごちゃ	ɡ o̞ t͡ɕ a̠
ごちゃごちゃ	ɡ o̞ t͡ɕ a̠ ɡ o̞ t͡ɕ a̠
ごちゃまぜ	ɡ o̞ t͡ɕ a̠ m a̠ z e̞
胡蝶	k o̞ t͡ɕ o̞ː
誇張	k o̞ t͡ɕ o̞ː
伍長	ɡ o̞ t͡ɕ o̞ː
語調	ɡ o̞ t͡ɕ o̞ː
古朝鮮	k o̞ t͡ɕ o̞ː s ẽ̞ ɴ
こちょこちょ	k o̞ t͡ɕ o̞ k o̞ t͡ɕ o̞
こちら	k o̞ t͡ɕ i ɾ a̠
こちらこそ	k o̞ t͡ɕ i ɾ a̠ k o̞ s o̞
小ぢんまり	k o̞ ʑ ĩ mː a̠ ɾʲ i
国家	k o̞ k̚ k a̠
国歌	k o̞ k̚ k a̠
国花	k o̞ k̚ k a̠
