aba	a b a
bidés	b i d e s
bido	b i ð o̝
bidueiro	b i ð u e j ɾ o̝
bidê	b i d e
bieiteira	b i e j t e j ɾ a̝
bieiteiro	b i e j t e j ɾ o̝
Bieito	b i e j t o̝
bieito	b i e j t o̝
bigode	b i ɣ ɔ ð e̝
bigornia	b i ɡ ɔ ɾ n j a
bigornia	b i ɡ ɔ ɾ n j a
bigornia	b i ħ ɔ ɾ n j a
bigote	b i ɣ ɔ t ɪ
bilingüe	b i l i ŋ ɡ w e
bilingüe	b i l i ŋ ɡ w e
bilingüe	b i l i ŋ ħ w e
bilingüismo	b i l i ŋ ɡ w i s m o
bilingüismo	b i l i ŋ ɡ w i s m o
bilingüismo	b i l i ŋ ħ w i s m o
billarda	b i ʎ a ɾ ð a̝
billardo	b i ʎ a ɾ ð o̝
bilurico	b i l u ɾ i k o̝
binguelete	b i ŋ ɡ e l e t e̝
biofísica	b j o f i s i k a
biofísico	b j o f i s i k o
biográfica	b i ɔ ɡ ɾ a f i k a
biográfica	b i ɔ ɡ ɾ a f i k a
biográfica	b i ɔ ħ ɾ a f i k a
biográficas	b i o ɡ ɾ a f i k a s
biográficas	b i o ɡ ɾ a f i k a s
biográficas	b i o ħ ɾ a f i k a s
biográfico	b i o ɡ ɾ a f i k o
biográfico	b i o ɡ ɾ a f i k o
biográfico	b i o ħ ɾ a f i k o
biográficos	b i o ɡ ɾ a f i k o s
biográficos	b i o ɡ ɾ a f i k o s
biográficos	b i o ħ ɾ a f i k o s
biombo	b i o m b o
biosbardo	b i o s β a ɾ ð o̝
biqueira	b i k e j ɾ a̝
birlo	b i ɾ l o
birmano	b i ɾ m a n o
birollo	b i ɾ o ʎ o̝
birollo	b i ɾ ɔ ʎ o̝
bisarma	b i s a ɾ m a
bisavó	b i s a b o
bisbar	b i s β a ɾ
bisbarra	b i s b a r a̝
Biscaia	b i s k a j a
biscar	b i s k a ɾ
biscoito	b i s k o j t o
biso	b i s o
bisonte	b i s o n t e
bispo	b i s p o
blao	b l a o
blasfemar	b l a s f e m a ɾ
blasfemia	b l a s f ɛ m j a
bloquear	b l o k e a ɾ
bo	b o
boa	b o a
boas	b o ɐ s
bobinar	b ɔ b i n a ɾ
boca	b o k a
bocexar	b o θ e ʃ a ɾ
bocexar	b o θ e ʃ a ɾ
bocexar	b o s e ʃ a ɾ
bocha	b ɔ t͡ʃ a̝
boche	b ɔ t͡ʃ e
bode	b ɔ ð e̝
boedo	b o e ð o̝
boeta	b o e t a̝
bofe	b o f e̝
boga	b ɔ ɣ a̝
boh	b ɔ
boi	b o j
boia	b ɔ j a̝
boira	b ɔ j ɾ a̝
boirao	b ɔ j ɾ a w
boirao	b ɔ j ɾ a o̝
bola	b o l a
bolboreta	b o l β o ɾ e t ɐ
boletín	b o l e t i ŋ
boliviano	b o l i β j ɐ n ʊ
bolo	b ɔ l o
bolo	b o l o
bolsa	b o l s a
bolsas	b o l s a s
boneca	b o n ɛ k a
bonita	b o n i t a
bonito	b o n i t o
Bonome	b o n ɔ m e̝
Boo	b o
Boo	b oː
boquexar	b o k e ʃ a ɾ
bordear	b o ɾ ð e a ɾ
bordinga	b o ɾ ð i ŋ ɡ a̝
bordo	b o ɾ d o
bordo	b ɔ ɾ d o
bordón	b o ɾ ð o ŋ
bordón	b o ɾ ð o ŋ
boroa	b o ɾ o a̝
borra	b o r a
borralla	b o ɾ a ɟ a
borraxe	b o r a ʃ e̝
borrea	b o r e a̝
borreiro	b o r e j ɾ o̝
borro	b o r o
bortel	b o ɾ t ɛ l
bortelar	b o ɾ t e l a ɾ
bosque	b ɔ s k e
bosta	b ɔ s t a
bota	b ɔ t a
bota	b ɔ t a̝
bota	b o t a̝
bota	b o t a̝
bota	b ɔ t a̝
botafumeiro	b o t a f u m e j ɾ o̝
botánica	b o t a n i k a
botar	b o t a r
botella	b o t e ɟ a
botelo	b o t ɛ l o̝
botelo	b ʊ t ɛ l o̝
boto	b o t o̝
boto	b ɔ t o̝
botón	b o t o ŋ
bou	b o w
bouba	b o w b a
Boubeta	b o w β e t a̝
boubín	b o w β i ŋ
boullón	b o w ʎ o ŋ
bourar	b o w ɾ a ɾ
bourear	b o w ɾ e a ɾ
bousán	b o w s a ŋ
bousán	b ɔ w s a ŋ
Boutureira	b o w t u ɾ e j ɾ a̝
bouza	b o w θ a̝
bouza	b o w s a̝
bóveda	b ɔ b e d a
Bóveda	b ɔ β e̝ ð a̝
bozo	b o θ o
bozo	b o θ o
bozo	b o s o
braceiro	b ɾ a θ e j ɾ o̝
bradar	b ɾ a ð a ɾ
braga	b ɾ a ɡ a
braga	b ɾ a ɡ a
braga	b ɾ a ħ a
bramar	b ɾ a m a ɾ
branca	b ɾ a ŋ k a
Brancaneves	b ɾ a ŋ k a̝ n ɛ β e̝ s
brancas	b ɾ a ŋ k ɐ s
branco	b ɾ a ŋ k o
brancos	b ɾ a ŋ k o s
branda	b ɾ a n d a
Brandán	b ɾ a n ð a ŋ
Brandarís	b ɾ a n d a ɾ i s
Brandariz	b ɾ a n d a ɾ i θ
brandariz	b ɾ a n d a ɾ i θ
brandariz	b ɾ a n d a ɾ i s
Brandián	b ɾ a n d i a ŋ
brandir	b ɾ a n d i ɾ
brandón	b ɾ a n ð o ŋ
Brandufe	b ɾ a n d u f e̝
braña	b ɾ a ɲ a̝
brañego	b ɾ a ɲ ɛ ɣ o̝
brañento	b ɾ a ɲ e n t o̝
brañento	b ɾ a ɲ ɛ n t o̝
brasa	b ɾ a s a
brasileiro	b ɾ a s i l e j ɾ ʊ
braveza	b ɾ a b e θ a
braveza	b ɾ a b e θ a
braveza	b ɾ a b e s a
bravío	b ɾ a b i o
bravo	b ɾ a b o
braza	b ɾ a θ a̝
braza	b ɾ a s a̝
brazo	b ɾ a θ o
brazo	b ɾ a θ o
brazo	b ɾ a s o
Brea	b ɾ e a̝
bregantín	b ɾ e ɡ a n t i ŋ
bregantín	b ɾ e ɡ a n t i ŋ
bregantín	b ɾ e ħ a n t i ŋ
breixo	b ɾ e j ʃ o
Breixo	b ɾ e j ʃ o̝
Bréixome	b ɾ e j ʃ o m e
bremar	b ɾ e m a ɾ
brenza	b ɾ e n θ a̝̝
brenza	b ɾ e n s a̝̝
brétema	b ɾ e t e m a
breu	b ɾ ɛ w
breva	b ɾ e b a
brexo	b ɾ ɛ ʃ o̝
brica	b ɾ i k a̝
brilante	b ɾ i l a n t e
brillante	b ɾ i ɟ a n t e
brillantes	b ɾ i ʎ a n t ɪ s
brillantez	b ɾ i ɟ a n t e θ
brillantez	b ɾ i ɟ a n t e θ
brillantez	b ɾ i ɟ a n t e s
brinco	b ɾ i ŋ k o
brindar	b ɾ i n d a ɾ
bringa	b ɾ i ŋ ɡ a̝
bringuelo	b ɾ i ŋ ɡ ɛ l o̝
brío	b ɾ i o̝
Brión	b ɾ i o ŋ
brión	b ɾ i o ŋ
británico	b ɾ i t a n i k o
britar	b ɾ i t a ɾ
broca	b ɾ ɔ k a̝
brocado	b ɾ ɔ k a d o
brocha	b ɾ ɔ t͡ʃ a̝
brocha	b ɾ ɔ t͡ʃ a̝
broco	b ɾ ɔ k o̝
brócoli	b ɾ o k o l i
brodio	b ɾ ɔ d j o
broeiro	b ɾ o e j ɾ o̝
bronce	b ɾ o n θ e
bronce	b ɾ o n θ e
bronce	b ɾ o n s e
brondo	b ɾ o n d o̝
bronquial	b ɾ o ŋ k j a l
brosa	b ɾ ɔ s a
brosque	b ɾ ɔ s k e
brouca	b ɾ ɔ w k a̝
broucar	b ɾ o w k a ɾ
broza	b ɾ ɔ θ a
broza	b ɾ ɔ θ a
broza	b ɾ ɔ s a
broza	b ɾ o θ a
broza	b ɾ o θ a
broza	b ɾ o s a
brúa	b ɾ u a̝
bruar	b ɾ u a ɾ
bruión	b ɾ u j o ŋ
bruño	b ɾ u ɲ o
brúo	b ɾ u o
bruxaría	b ɾ u ʃ a ɾ i a
Bruxas	b ɾ u ʃ a s
brêtema	b ɾ e t e m a
bubela	b u b ɛ l a
buceta	b u θ e t a
buceta	b u θ e t a
buceta	b u s e t a
Buceta	b u θ e t a
Buceta	b u θ e t a
Buceta	b u s e t a
bucina	b u θ i n a̝
bucina	b u s i n a̝
bucio	b u θ j o
bucio	b u θ j o
bucio	b u s j o
budión	b u ð i o ŋ
bufanda	b u f a n d a
bufandas	b u f a n d a s
bufar	b u f a ɾ
bufarda	b u f a ɾ d a
bugallo	b u ɡ a ɟ o
bugallo	b u ɡ a ɟ o
bugallo	b u ħ a ɟ o
Bugallo	b u ɣ a ʎ o̝
buguina	b u ɡ i n a
buguina	b u ɡ i n a
buguina	b u ħ i n a
buio	b u j o
bulicio	b u l i θ j o̝
bulicio	b u l i s j o̝
buligar	b u l i ɡ a ɾ
bulir	b u l i ɾ
bullar	b u ɟ a ɾ
bulleiro	b u ʎ e j ɾ o̝
bulleiro	b u ʎ ɛ j ɾ o̝
bullo	b u ɟ o
bulló	b u ʎ ɔ
bulra	b u l r a̝
buque	b u k e
buraco	b u ɾ a k o̝
buraz	b u ɾ a θ
buraz	b u ɾ a s
burbulla	b u ɾ β u ʎ a̝
burbullar	b u ɾ β u ʎ a ɾ
burdiar	b u ɾ d j a ɾ
burel	b u ɾ ɛ l
burela	b u ɾ ɛ l ɐ
burga	b u ɾ ɡ a
burga	b u ɾ ɡ a
burga	b u ɾ ħ a
burgo	b u ɾ ɣ o̝
burgo	b u ɾ ɣ o̝
burgueiro	b u ɾ ɣ e j ɾ o̝
burla	b u ɾ l a
burlar	b u ɾ l a ɾ
burro	b u r o
buscar	b u s k a ɾ
buso	b u s o̝
buso	b u s̻ o̝
busto	b u s t o̝
Bustofreán	b u s t o f ɾ e a ŋ
búsula	b u s u l a̝
Bután	b u t a ŋ
buxa	b u ʃ a
buxán	b u ʃ a ŋ
buxarda	b u ʃ a ɾ ð a̝
buxardo	b u ʃ a ɾ ð̝ o
buxeo	b u ʃ e o
buxeu	b u ʃ e w
buxola	b u ʃ ɔ l a̝
buxón	b u ʃ o ŋ
buzaco	b u θ a k o̝
buzaco	b u s a k o̝
Caamouco	k a m o w k o̝
cabaleiro	k a b a l e j ɾ o
Cabaleiro	k a β a l e j ɾ o̝
cabalgar	k a b a l ɡ a ɾ
cabalgar	k a b a l ɡ a ɾ
cabalgar	k a b a l ħ a ɾ
cabaliños	k a b a l i ɲ o s
cabalo	k a b a l o
cabalos	k a b a l o s
cabana	k a β a n a̝
cabaneiro	k a β a n e j ɾ o̝
cabanón	k a β a n o ŋ
cabaza	k a β a θ a̝
cabaza	k a β a s a̝
cabazo	k a b a θ o
cabazo	k a b a θ o
cabazo	k a b a s o
cabeiro	k a b e j ɾ o
cabelo	k a b ɛ l o
cabeludo	k a b e l u d o
caber	k a b e ɾ
cabestro	k a β e s t ɾ o̝
cabeza	k a b e θ a
cabeza	k a b e θ a
cabeza	k a b e s a
cabezada	k a β e θ a ð a̝
cabezada	k a β e s a ð a̝
cabezal	k a β e θ a l
cabezal	k a β e s a l
cabezudo	k a b e θ u d o
cabezudo	k a b e θ u d o
cabezudo	k a b e s u d o
cabido	k a β i ð o̝
cable	k a b l e
cabo	k a b o
cabodano	k a β o ð a n o̝
cabra	k a b ɾ a
cabrafigo	k a β ɾ a̝ f i ɣ o̝
cabrón	k a b ɾ o ŋ
cabuxa	k a b u ʃ a
cabuxeiro	k a b u ʃ e j ɾ o
cabuxo	k a b u ʃ o
caca	k a k a̝
cacarexar	k a k a ɾ e ʃ a ɾ
cacatúa	k a k a t u a
cacha	k a t͡ʃ a
cachalote	k a t͡ʃ a l ɔ t e
cachar	k a t͡ʃ a ɾ
cacharela	k a t͡ʃ a ɾ ɛ l a̝
cacharro	k a t͡ʃ a r o
cachaza	k a t͡ʃ a θ a
cachaza	k a t͡ʃ a θ a
cachaza	k a t͡ʃ a s a
cachear	k a t͡ʃ e a ɾ
cacheira	k a t͡ʃ e j ɾ a̝
cacheira	k a t͡ʃ e j ɾ a̝
cachelo	k a t͡ʃ ɛ l o̝
cachena	k a t͡ʃ e n a̝
cacho	k a t͡ʃ o
cachola	k a t͡ʃ ɔ l a
cachón	k a t͡ʃ o ŋ
cachote	k a t͡ʃ ɔ t e̝
cachucha	k a t͡ʃ u t͡ʃ a
cacique	k a θ i k e
cacique	k a θ i k e
cacique	k a s i k e
cacto	k a k t o
cada	k a d a
cadaleito	k a ð a l e j t ʊ
Cadarnoxo	k a ð a ɾ n o ʃ o̝
cadáver	k a d a b e ɾ
cádavo	k a ð a̝ β o̝
cadea	k a d e a
cadeado	k a d e a d o
cadeira	k a d e j ɾ a
cadeirado	k a ð e j ɾ a ð o
cadeiras	k a d e j ɾ a s
cadela	k a ð ɛ l a̝
cadillo	k a ð i ʎ o̝
cadoiro	k a d o j ɾ o
cadrar	k a ð ɾ a ɾ
cadril	k a d ɾ i l
cadro	k a d ɾ o
caeira	k ɐ ɛ j ɾ ɐ
caer	k a e ɾ
caes	k a j s
Caetano	k a e t a n o̝
Caetano	k a e̯ t a n o̝
café	k a f ɛ
cafetaría	k a f e t a ɾ i ɐ
cafúa	k a f u a̝
cafurna	k a f u ɾ n a̝
cágado	k a ɡ a d o
cágado	k a ɡ a d o
cágado	k a ħ a d o
cagalla	k a ɣ a ʎ a̝
cagalleta	k a ɣ a ʎ e t a̝
cagallón	k a ɣ a ʎ o ŋ
cagar	k a ɣ a ɾ
cagar	k a ħ a ɾ
cai	k a j
caída	k a i d a
cailón	k a j l o ŋ
caíño	k a i ɲ o̝
cairo	k a j ɾ o
caivanca	k a j β a ŋ k a̝
caixa	k a j ʃ a
caixas	k a j ʃ a s
caixón	k a j ʃ o ŋ
cal	k a l
calacú	k a l a k u
calafatear	k a l a f a t e a ɾ
calar	k a l a ɾ
calaza	k a l a θ a
calaza	k a l a θ a
calaza	k a l a s a
calcañar	k a l k a ɲ a ɾ
calcaño	k a l k a ɲ o̝
calcar	k a l k a ɾ
calcule	k a l k u l e
calcules	k a l k u l e s
calda	k a l d a̝
caldas	k a l d a̝ s
caldeira	k a l d e j ɾ a
caldeirada	k a l d e j ɾ a ð a̝
caldeireiro	k a l d e j ɾ e j ɾ o̝
caldeiro	k a l d e j ɾ o
caldo	k a l d o
calella	k a l e ʎ a̝
caléndula	k a l ɛ n d u l a
cálice	k a l i θ e
cálice	k a l i θ e
cálice	k a l i s e
caligráfica	k a l i ɡ ɾ a f i k a
caligráfica	k a l i ɡ ɾ a f i k a
caligráfica	k a l i ħ ɾ a f i k a
caligráfico	k a l i ɡ ɾ a f i k o
caligráfico	k a l i ɡ ɾ a f i k o
caligráfico	k a l i ħ ɾ a f i k o
caligráficos	k a l i ɡ ɾ a f i k o s
caligráficos	k a l i ɡ ɾ a f i k o s
caligráficos	k a l i ħ ɾ a f i k o s
cális	k a l i s
calixen	k a l i ʃ e̝ ŋ
cáliz	k a l i θ
cáliz	k a l i θ
cáliz	k a l i s
callar	k a ɟ a ɾ
callau	k a ʎ a w
callo	k a ʎ o̝
Callobre	k a ʎ ɔ β ɾ e̝
calma	k a l m a
calmo	k a l m o
calor	k a l o ɾ
caloroso	k a l o ɾ o s o̝
caloteiro	k a l ɔ t e j ɾ o
calvario	k a l b a ɾ j o
calvo	k a l β o̝
calza	k a l θ a
calza	k a l θ a
calza	k a l s a
calzada	k a l θ a d a
calzada	k a l θ a d a
calzada	k a l s a d a
calzar	k a l θ a ɾ
calzar	k a l θ a ɾ
calzar	k a l s a ɾ
calzón	k a l θ o ŋ
calzón	k a l θ o ŋ
calzón	k a l s o ŋ
cama	k a m a
camaleón	k a m a l e o ŋ
cámara	k a m a ɾ a
camareiro	k a m a ɾ e j ɾ o
camariña	k a m a ɾ i ɲ a̝
camarón	k a m a ɾ o ŋ
camba	k a m b a
cambada	k a m b a d a
cambiar	k a m b j a ɾ
cambio	k a m b j o
cambito	k a m b i t o
cambo	k a m b o̝
cambota	k a m b ɔ t a̝
cambra	k a m b ɾ a̝
Cambra	k a m b ɾ a̝
camelo	k a m e l o
camiño	k a m i ɲ o
camión	k a m j o ŋ
camioneiro	k a m j o n e j ɾ o
camioneiro	k a m j o n e ɾ o
camisa	k a m i s a
camisas	k a m i s a s
camouco	k a m o w k o̝
Camouco	k a m o w k o̝
campa	k a m p a
campa	k a m p a
campá	k a m p aː
campanario	k a m p a n a ɾ j o
campaza	k a m p a θ a̝
campión	k a m p j o ŋ
campo	k a m p o
camposa	k a m p o s a̝
camposanto	k a m p o s a n t o
camuflar	k a m u f l a ɾ
camurza	k a m u ɾ θ ɐ
camurza	k a m u ɾ z̻ ɐ
can	k a ŋ
cana	k a n a
cánaba	k a n a b a
cánabo	k a n a̝ β o̝
canada	k a n a ð a̝
Canadá	k a n a d a
canadense	k a n a n d e n s e
canado	k a n a ð o̝
canafrecha	k a n a f ɾ e t͡ʃ a̝
canal	k a n a l
canario	k a n a ɾ j o
canaval	k a n a β a l
cancela	k a n θ ɛ l a̝
cancela	k a n s ɛ l a̝
cancelo	k a n θ ɛ l o̝
cancelo	k a n s ɛ l o̝
cancil	k a n θ i l
cancil	k a n s i l
canción	k a n θ j o ŋ
canción	k a n θ j o ŋ
canción	k a n s j o ŋ
cancioneiro	k a n θ j o n e j ɾ o
cancioneiro	k a n θ j o n e j ɾ o
cancioneiro	k a n s j o n e j ɾ o
canda	k a n d a̝
candea	k a n d e a
candeeiro	k a n d e e j ɾ o
candeeiro	k a n d j e j ɾ o
Candeloria	k a n d e l ɔ ɾ j a̝
candidato	k a n d i d a t o
candorca	k a n d ɔ ɾ k a
caneca	k a n ɛ k a
caneco	k a n ɛ k o
Canedo	k a n e ð o̝
canedo	k a n e ð o̝
caneiro	k a n e j ɾ o̝
canela	k a n ɛ l a
canella	k a n e ʎ a̝
canexa	k a n e ʃ a̝
canfurna	k a n f u ɾ n a
canga	k a ŋ ɡ a
canga	k a ŋ ɡ a
canga	k a ŋ ħ a
canga	k a ŋ k a
cangar	k a ŋ ɡ a ɾ
cangar	k a ŋ ɡ a ɾ
cangar	k a ŋ ħ a ɾ
cango	k a ŋ ɡ o̝
cango	k a ŋ k o̝
canguro	k a ŋ ɡ u ɾ o
canguro	k a ŋ ɡ u ɾ o
canguro	k a ŋ ħ u ɾ o
canil	k a n i l
canizo	k a n i θ o̝
canizo	k a n i s o̝
cano	k a n o̝
cano	k a n o̝
canoa	k a n ɔ a
canónico	k a n o n i k o
cans	k a ŋ s
canta	k a n t ɐ
Cantabria	k a n t a b ɾ j a
cantar	k a n t a ɾ
cántara	k a n t a̝ ɾ a̝
cántaro	k a n t a̝ ɾ o̝
cantas	k a n t ɐ s
cantazo	k a n t a θ o
cantazo	k a n t a θ o
cantazo	k a n t a s o
canteira	k a n t e j ɾ a̝
canteiro	k a n t e j ɾ o
canterla	k a n t ɛ ɾ l a̝
cantiga	k a n t i ɡ a
cantiga	k a n t i ɡ a
cantiga	k a n t i ħ a
cantil	k a n t i l
canto	k a n t o̝
cantón	k a n t o ŋ
canudo	k a n u ð o̝
Canzobre	k a n θ ɔ b ɾ e̝
cançom	k a n θ o ŋ
cançom	k a n θ o ŋ
cançom	k a n s o ŋ
canção	k a n θ o ŋ
canção	k a n θ o ŋ
canção	k a n s o ŋ
caña	k a ɲ a̝
cañoto	k a ɲ o t o̝
Cao	k a o̯
caótico	k a ɔ t i k o
capa	k a p a̝
capacidade	k a p a θ i d a d e
capacidade	k a p a θ i d a d e
capacidade	k a p a s i d a d e
capacitación	k a p a θ i t a θ j o ŋ
capacitación	k a p a θ i t a θ j o ŋ
capacitación	k a p a s i t a s j o ŋ
capador	k a p a d o ɾ
capear	k a p e a ɾ
capeirote	k a p e j ɾ ɔ t e̝̝
capela	k a p ɛ l a
capelán	k a p e l a ŋ
capelo	k a p e l o̝
Capetón	k a p e t o ŋ
capitalismo	k a p i t a l i s m o
capitalista	k a p i t a l i s t a
capitán	k a p i t a ŋ
capón	k a p o ŋ
captar	k a p t a ɾ
capuchino	k a p u t͡ʃ i n o
capudre	k a p u d ɾ e
caqui	k a k i
cara	k a ɾ a
carabela	k a ɾ a b ɛ l a
carabuña	k a ɾ a β u ɲ a̝
carabuxa	k a ɾ a β u ʃ a̝
caracha	k a ɾ a t͡ʃ a
caracol	k a ɾ a k ɔ l
característica	k a ɾ a k t e ɾ i s t i k a
carafuncho	k a ɾ a f u n t͡ʃ o
carallada	k a ɾ a ʎ a ð a̝
carallo	k a ɾ a ɟ o
carambelo	k a ɾ a m b e l o
carambelo	k a ɾ a m b ɛ l o
carambo	k a ɾ a m b o
caramecha	k a ɾ a m e t͡ʃ a̝
caramuxo	k a ɾ a m u ʃ o
carantoña	k a ɾ a n t o ɲ a
carapucha	k a ɾ a p u t͡ʃ a̝
carapucho	k a ɾ a p u t͡ʃ o̝
caras	k a ɾ a s
caravel	k ɑ ɾ a β ɛ l
caravel	k ɑ ɾ a β ɛ l
caravilla	k a ɾ a β i ʎ a̝
carazo	k a ɾ a θ o̝
carba	k a ɾ b a
carballa	k a ɾ β a ʎ a̝
carballal	k a ɾ b a ɟ a l
carballeira	k a ɾ b a ɟ e j ɾ a
Carballo	k a ɾ b a ɟ o
carballo	k a ɾ b a ɟ o
carbón	k a ɾ b o ŋ
carbónica	k a ɾ b ɔ n i k a
carbónicas	k a ɾ b ɔ n i k a s
carbónico	k a ɾ b ɔ n i k o
carbónicos	k a ɾ b ɔ n i k o s
carbúnculo	k a ɾ b u ŋ k u l o
carcán	k a ɾ k a ŋ
carcás	k a ɾ k a s
cárcere	k a ɾ θ e ɾ e
cárcere	k a ɾ θ e ɾ e
cárcere	k a ɾ s e ɾ e
cardar	k ɑ ɾ ð a ɾ
cardeña	k a ɾ d e ɲ a
cárdeo	k a ɾ ð e o̝
cardo	k a ɾ ð o̝
cardume	k a ɾ d u m e
careixa	k a ɾ e j ʃ a̝
carepa	k a ɾ e p a̝
carexar	k a ɾ e ʃ a ɾ
careza	k a ɾ e θ a
careza	k a ɾ e θ a
careza	k a ɾ e s a
cargar	k a ɾ ɣ a ɾ
caricia	k a ɾ i θ j a
caricia	k a ɾ i θ j a
caricia	k a ɾ i s j a
caridade	k a ɾ i d a d e
Carintia	k a ɾ i n t j a
carioca	k a ɾ j ɔ k a
Carlos	k a ɾ l o s
Carlota	k a ɾ l o t ɐ
carlou	k a ɾ l o w
carmear	k a ɾ m e a ɾ
Carmela	k a ɾ m ɛ l a
Carmiña	k a ɾ m i ɲ a
carne	k a ɾ n e̝
carneiro	k a ɾ n e j ɾ o̝
carniceiro	k a ɾ n i θ e j ɾ o
carniceiro	k a ɾ n i θ e j ɾ o
carniceiro	k a ɾ n i s e j ɾ o
carnicería	k a ɾ n i θ e ɾ i a
carnicería	k a ɾ n i θ e ɾ i a
carnicería	k a ɾ n i s e ɾ i a
carniza	k a ɾ n i θ a
carniza	k a ɾ n i θ a
carniza	k a ɾ n i s a
carnizaría	k a ɾ n i θ a ɾ i a
carnizaría	k a ɾ n i θ a ɾ i a
carnizaría	k a ɾ n i s a ɾ i a
carnocho	k a ɾ n o t͡ʃ o
carnoedo	k a ɾ n o e ð o̝
caro	k a ɾ o
carolo	k a ɾ ɔ l o̝
caros	k a ɾ o s
carozo	k a ɾ o θ o
carozo	k a ɾ o θ o
carozo	k a ɾ o s o
carpais	k a ɾ p a j s
carpear	k a ɾ p e a ɾ
carpintaría	k a ɾ p i n t a ɾ i a
carpinteiro	k a ɾ p i n t e j ɾ o
Carpinteiro	k a ɾ p i n t e j ɾ o̝
carpir	k a ɾ p i ɾ
carqueixa	k a ɾ k e j ʃ a̝
carrabouxo	k a r a β o w ʃ o̝
carraca	k a r a k a
carracha	k a r a t͡ʃ a̝
carracho	k a r a t͡ʃ o̝
carranca	k a r a ŋ k a̝
carrasco	k a r a s k o
carraxe	k a r a ʃ e
carreira	k a r e j ɾ a
carreta	k a r e t a
carretar	k a r e t a ɾ
carretilla	k a r e t i ɟ a
carreto	k a r e t o̝
carriza	k a r i θ ɐ
carriza	k a r i s̻ ɐ
carrizo	k a r i θ o
carrizo	k a r i θ o
carrizo	k a r i s o
carro	k a r o
Carro	k a r o̝
carros	k a r o s
carroucha	k a r o w t͡ʃ a̝
carruaxe	k a r u a ʃ e
carta	k a ɾ t a
cartilaxe	k a ɾ t i l a ʃ e
cartilla	k a ɾ t i ɟ a
carto	k a ɾ t o
cartón	k a ɾ t o ŋ
cartos	k a ɾ t o s
cas	k a s
casa	k a s a
casal	k a s a l
Casal	k a s a l
Casanova	k a s a n ɔ b a
casas	k a s a s
cascabel	k a s k a b ɛ l
cascallo	k a s k a ʎ o̝
cascar	k a s k a ɾ
casco	k a s k o
cascón	k a s k o ŋ
cascuda	k a s k u ð a̝
caseiro	k a s e j ɾ o̝
casiña	k a s i ɲ a
casqueiro	k a s k e j ɾ o̝
casquete	k a s k e t e̝
casta	k a s t a
castaña	k a s t a ɲ a
castañal	k a s t a ɲ a l
castañeta	k a s t a ɲ e t a
castaño	k a s t a ɲ o
caste	k a s t e
Castela	k a s t ɛ l a
castelán	k a s t e l a ŋ
castelo	k a s t ɛ l o
Castelo	k a s t ɛ l o̝
castidade	k a s t i d a d e
castigar	k a s t i ɡ a ɾ
castigar	k a s t i ɡ a ɾ
castigar	k a s t i ħ a ɾ
castizal	k a s t i θ a l
castizal	k a s t i s a l
castizo	k a s t i θ o̝
castor	k a s t o ɾ
castrapo	k a s t ɾ a p o̝
castrexo	k a s t ɾ e ʃ o
castro	k a s t ɾ o
Castromaior	k a s t ɾ o m a j o ɾ
Castromil	k a s t ɾ o m i l
castrón	k a s t ɾ o ŋ
Castrove	k a s t ɾ ɔ β e̝
catadura	k a t a ð u ɾ a̝
catafalco	k a t a f a l k o
catalán	k a t a l a ŋ
Cataluña	k a t a l u ɲ a
catar	k a t a ɾ
Catarina	k a t a ɾ i n ɐ
catasol	k a t a s o l
catedral	k a t e d ɾ a l
categoría	k a t e ɡ o ɾ i a
categoría	k a t e ɡ ɔ ɾ i a
categoría	k a t e ɡ o ɾ i a
categoría	k a t e ɡ ɔ ɾ i a
categoría	k a t e ħ o ɾ i a
categoría	k a t e ħ ɔ ɾ i a
cativo	k a t i β o̝
catorce	k a t o ɾ θ e
catorce	k a t o ɾ θ e
catorce	k a t o ɾ s e
catro	k a t ɾ o
Catuxa	k a t u ʃ a̝
Cáucaso	k a w k a s o
causa	k a w s a
causela	k o w s e l a̝
causela	k a w s e l a̝
caustra	k a w s t ɾ a̝
cavada	k a β a ð a̝
cavar	k a β a ɾ
cavaxe	k a β a ʃ e̝
cavorco	k a β ɔ ɾ k o̝
caza	k a θ a
caza	k a θ a
caza	k a s a
cazacú	k a θ a k u
cazacú	k a s a k u
cazando	k a θ a n d o
cazando	k a θ a n d o
cazando	k a s a n d o
cazar	k a θ a ɾ
cazar	k a θ a ɾ
cazar	k a s a ɾ
cazón	k a θ o ŋ
cazón	k a θ o ŋ
cazón	k a s o ŋ
cação	k a θ o ŋ
ce	θ e
ce	θ e
ce	s e
cea	θ e a
cea	θ e a
cea	s e a
cear	θ e a ɾ
cear	s e a ɾ
cear	θ e a ɾ
cear	s e a ɾ
cear	s e a ɾ
cebada	θ e b a d a
cebada	θ e b a d a
cebada	s e b a d a
cebeira	θ ɪ β̞ e j r ɐ
cebeira	s ɪ β̞ e j r ɐ
cebola	θ e b o l a
cebola	θ ɛ b ɔ l a
cebola	θ e b o l a
cebola	θ ɛ b ɔ l a
cebola	s e b o l a
cebola	s ɛ b ɔ l a
cebrisca	θ e β ɾ i s k a̝
cebro	θ e β ɾ o̝
cebro	θ e β ɾ o̝
Cedofeita	θ e ð o f e j t a̝
Cedofeito	s e ð o f e j t o̝
cego	θ ɛ ɡ o
cego	θ ɛ ɡ o
cego	θ ɛ ħ o
cego	s ɛ ħ o
ceibar	θ e j β a ɾ
