־י	i
לובסטר	l o b s t e ʁ
לחייך	l e χ a j e χ
לחיים	l e χ a j i m
לחם	l e χ e m
ליבי	l i b i
ליד	l e j a d
לילה	l a j l a
לימד	l i m ɛ d
לינוק	l i n o k
ליקק	l i k e k
לישון	l i ʃ o n
לכאן	l e k a n
לכאן	l e χ a n
לכתוב	l i χ t ɔ v
ללמוד	l i l m o d
למה	l ɔ m m ɔ
למה	l ɔ m ɔ
למוד	l a m u d
לנשוב	l i n ʃ o v
לספר	l ə s a p e ʁ
לעזאזל	l a ʔ a z a z e l
לעזאזל	l e ʔ a z a z e l
לעטון	l a ʕ a t o n
לפה	l e f o
לפה	l e p o
לקוח	l a k o a x
לקנות	l i k n ɔ t
לקק	l i q e q
לקק	l u q a q
לקרוא	l i k r o
לשון	l a ʃ o n
לשון	l a ʃ oː n
לשון	l ɔ ʃ o j n
לשון	l ɔ ʃ o n
לשון	l ɔ ʃ ø n
לשוני	l e ʃ o n i
לשים	l a s i m
לשמוע	l i ʃ m o a ʕ
לשמור	l i ʃ m o ʁ
לשתות	l i ʃ t ɔ t
לתפור	l i t f o r
לתפור	l i t p o r
ל״י	l a j
מ־	m i
מאוד	m e o d
מאות	m e ʔ o t
מאות	m o t
מארב	m a ʔ a ʁ a v
מאתיים	m a t a j i m
מאתיים	m a ʔ a t a j i m
מברג	m a v ʁ e ɡ
מגדל	m i ɡ d a l
מגדל	m i ɣ d ɔː l
מגדלור	m i ɡ d aː l l oː ʁ
מגזר	m i ɡ z ɔ ʀ
מגן	m a ɡ e n
מגן	m ɔ ɣ e n
מג׳נטה	m a d͡ʒ e n t a
מג״ב	m a ɡ a v
מדין	m i d j a n
מדינה	m e d i n a
מדע	m a d a ʕ
מדפסת	m a d p e s e t
מדרשים	m i d r a ʃ i m
מד״א	m a d a
מה	m aː
מה	m ɔ
מהיר	m a h i ʁ
מהפך	m a h a p a χ
מהפכה	m a h a p e χ a
מהר	m a h e ʁ
מוות	m a v e t
מוזיקה	m u z i k a
מוזר	m u z a ʁ
מוח	m o a χ
מוט	m o t
מושלם	m u ʃ l a m
מזיק	m a z i k
מזיק	m e z i k
מזל	m a z a l
מזל	m a z z aː l
מזל	m a z z ɔː l
מזל	m a z ɔ l
מזלג	m a z l e ɡ
מזרח	m i z ʀ ɔ ħ
מחבל	m e χ a b e l
מחלה	m a χ a l a
מחסנית	m a χ s a n i t
מחץ	m a χ a t͡s
מחצבה	m a χ t s aː v a
מחק	m a χ a k
מחקים	m e χ a k i m
מחר	m ɑ χ ɑ r
מחרתיים	m a ħ o r a t a j i m
מחרתיים	m a ħ o r a θ a j i m
מחרתיים	m o χ o ʁ a t a j i m
מחרתיים	m o χ ʁ a t a j i m
מחרתיים	m o χ ʁ o t a j i m
מחשב	m a ħ ʃ eː v
מחשב	m a χ ʃ e v
מחשבה	m a χ ʃ a v a
מחשבון	m a χ ʃ e v o n
מחשבון	m a χ ʃ e v o n i m
מטוס	m a t o s
מטורף	m e t̪ o ʁ aː f
מטטרון	m e t a t ʁ o n
מטר	m a t a ʁ
מטר	m ɔː tˀ ɔː r
מיזם	m e ɪ z a m
מיכאל	m i χ a ʔ e l
מיכה	m i x a
מיכה	m i x ɔ
מילון	m i l o n
מילניום	m iː l e n j uː m
מים	m a j m
מימון	m a j m o n
מין	m i n
מיני	m i n i
מיקרופון	m i k ʁ ɔ f ɔ n
מישהו	m i ʃ u
מישהו	m i ʃ ɛ h u
מכבי	m a k a b i
מלאך	m a l ʔ a χ
מלוח	m a l u a χ
מלון	m a l o n
מלון	m e l o n
מלון	m i l o n
מלח	m æ l a ħ
מלחין	m a l χ i n
מלך	m a l a k
מלך	m a l a χ
מלך	m a l k
מלך	m e l e χ
מלך	m ɔː l a x
מלך	m ɛː l ɛ x
מלכה	m a l k a
מלכות	m a l χ u t
מלכים	m l a χ i m
מלפפון	m e l a f e f o n
ממש	m a m a ʃ
ממש	m a m ə ʃ
מנוחה	m e n u χ a
מנורה	m e n o ʁ a
מניין	m i n j a n
מניין	m i n j ɔ n
מסדרון	m i s d a ʁ o n
מסדרון	m i s d ə ʁ o n
מסך	m a s a χ
מסכת	m a s e χ e t
מסכת	m a s s ɛː χ ɛ θ
מסכתות	m a s e χ t o t
מסעדה	m i s ʔ a d a
מעלה	m a ʕ a l a
מעלה	m a ʕ a l ɔː
מעלה	m a ʕ l a
מעלה	m a ʕ l ɔː
מעליב	m a ʔ a l i v
מערב	m a ʕ ă ʀ ɔ v
מערך	m a ʔ a ʁ a χ
מפיבשת	m e f i b o ʃ e t
מפסידן	m a f s i d a n
מפעל	m i f ʔ a l
מפתח	m a f t e a ħ
מפתח	m a f t e a χ
מפתח	m a f t e j a x
מפתח	m a p t eː ħ
מפתח	m æ f t e æ ħ
מצא	m a t s a
מצה	m a t͡s a
מצחף	m i t͡s χ a f
מצית	m a t͡s i t
מצית	m e t͡s i t
מצץ	m a t͡s a t͡s
מצרים	m i t͡s ʁ a j i m
מקום	m a k o m
מקום	m e k o m
מקסיקו	m ɛ k s i k ɔ
מקפצה	m a k p e t͡s a
מר	m a ʁ
מרבד	m a ʁ v a d
מרדכי	m o r d e χ a j
מרדכי	m o r d o χ a j
מרור	m a ʁ o ʁ
מריחואנה	m a ʁ i χ w a n a
מריחואנה	w
מרכבה	m e ʁ k a v a
מרכול	m a ʁ k o l
מרפק	m a ʁ p ɛ k
מרפק	m i ʁ p ɛ k
מרשתת	m i r ʃ e t e t
משאית	m a s a ʔ i t
משה	m o ʃ e
משהו	m a ʃ ɛ h u
משוגע	m ɛ ʃ ʊ ɡ a
משוש	m a s o s
משחק	m i s χ a k
משכן	m i ʃ k a n
משמעותי	m a ʃ m a ʔ u t i
משפחה	m i ʃ p a χ a
משתלה	m a ʃ t e l a
משתלה	m i ʃ t a l a
מתודה	m e t o d a
מתי	m a t a j
מתי	m a t i
מתקדם	m i t k a d e m
מתתיהו	m a t i t j a h u
מתתיהו	m a t i θ j ɔ h u
מתתיהו	m a t t a θ j aː h uː
מתתיהו	m a t t i θ j aː h uː
מתתיהו	m a t t i θ j ɔ h u
מתתיהו	m a t ɪ s j ɔ h u
נאבד	n e ʔ e v a d
נאבק	n e ʔ e v a k
נאט״ו	n a t o
נאט״ו	n e t o
נאט״ו	n e ɪ t o
נאץ	n a ʔ a t͡s
נאץ	n i ʔ e t͡s
נבוכדנאצר	n e v u χ a d n ɛ t s a ʁ
נבוכדנאצר	n ə b uː χ a ð n ɛ sˤ sˤ a r
נגב	n e ɡ e v
נגב	n i ɡ ɡ e v
נגב	n ɛ ɣ ɛ v
נגמר	n i ɡ m a ʁ
נגע	n a ɡ a
נדן	n a d a n
נדן	n a d̪ ä n
נדן	n aː ð aː n
נדן	n ɔ d ɔ n
נדן	n ɔ ð ɔ n
נדן	n ɔː ð ɔː n
נהג	n a h a ɡ
נהג	n aː h a ɡ
נהג	n ɔ h a ɡ
נהג	n ɔ h a ɣ
נהג	n ɔ h æ ɣ
נהר	n a h a ʁ
נותן	n o t e n
נותן	n o t̪ e n
נותן	n o θ e n
נותן	n ø θ e n
נותן	n ɔ ɪ s e ɪ n
נזיר	n a z i r
נזיר	n a z i ʁ
נזיר	n aː z iː r
נזיר	n ɔː z iː r
נזיר	n ɔː z ə ʁ
נילוס	n i l u s
נישא	n i s a
ניתוח	n i t u a χ
נכס	n a χ a s
נכס	n ɛ χ ɛ s
נלחם	n i l χ a m
נם	n a m
נמל	n a m a l
נמל	n a m e l
נמלט	n i m l a t
נמצא	n i m t͡s a
נעמי	n o m i
נעמי	n o ʔ o m i
נעמי	n ɔ ʕ ɔ m iː
נער	n a ʔ a ʁ
נער	n a ʕ a r
נפל	n a f a l
נפשות	n e f a ʃ o t
נפשט	n i f ʃ a t
נקבה	n a q eː v ɔː
נקבה	n e k e v a
נרטב	n i ʁ t a v
נשב	n a ʃ a v
נשבה	n i ʃ b a
נשבע	n i ʃ b a ʕ
נשבר	n i ʃ b a ʁ
נשכח	n i ʃ k a χ
נשכר	n i s k a ʁ
נשמה	n a ʃ m a
נשמה	n e ʃ a m a
נתפס	n i t f a s
נתפס	n i t p a s
סבון	s a b o n
סדן	s a d a n
סדר	s e d e r
סדר	s e ð ɛ r
סוד	s ɔ d
סומליה	s o m a l i j a
סונכרן	s u n k r a n
סונכרן	s u n χ r a n
סוס	s u s
סוף	s o f
סופגנייה	s u f ɡ a n i j a
סופגנייה	s u f ɡ a n j a
סופ״ש	s o f a ʃ
סיבוך	s i b u χ
סיוט	s i u t
סינכרן	s i n k r e n
סינכרן	s i n χ r e n
סיפק	s i p ɛ k
סיפר	s i p ɛ ʁ
סמיכות	s m i χ u t
סמכות	s a m χ u t
סמכותי	s a m χ u t i
סמל	s a m a l
סמל	s ɛ m ɛ l
סנפיר	s n a p i ʁ
סעודה	s e ʔ u d a
ספטמבר	s e p t e m b e ʁ
ספרד	s f a ʁ a d
ספרדית	s f a ʁ a d i t
ספרייה	s i f r i j a
סקוטלנד	s k o t l a n d
סקסי	s e k s i
סקרנות	s a k ʁ a n u t
סרטון	s i ʁ t o n
סריס	s a ʁ i s
סתם	s t a m
עבד	e v e d
עבד	ʔ a v a d
עבד	ʕ a b d
עבד	ʕ ɛ v ɛ ð
עבודה	a v o d a
עבודה	a v o j d ɔ
עבודה	ʕ a v o d a
עבודה	ʕ ă v o ð ɔ
עברות	ʔ i v ʁ u t
עברית	i v r i s
עברית	i v ʁ i t
עברית	ʕ i b r i t
עברית	ʕ i b r i θ
עברית	ʕ i v r i t
עברית	ʕ i v r i θ
עברית	ʕ i v ʀ i θ
עברית	ʕ iː b r iː t
עד	ʔ a d
עד	ʔ e d
עדכון	i d k u n
עדלם	ʔ a d u l a m
עדן	ʕ a d e n
עדן	ʕ e d e n
עדשה	ʔ a d a ʃ a
עובדיה	a w a d i a
עובדיה	o v a d j a
עוגה	ʕ u ɡ a
עוגות	u ɡ o t
עוגייה	u ɡ i j a
עוון	ɔ v ɔ j n
עוון	ʔ a v o n
עוון	ʕ ɑ w o n
עולם	o l a m
עולם	o ɪ l ɔ m
עולם	ʕ o l a m
עולם	ʕ o l ɔ m
עולם	ʕ oː l a m
עולם	ʕ øː l ɔ m
עומר	ʕ o m e r
עומר	ʕ o m ɛ r
עוף	o f
עוף	u f
עופר	ʔ o f e ʁ
עור	o ʁ
עורב	ʔ o ʁ e v
עזה	a z ɔ
עזה	ɣ ɑ zː ɑː
עזה	ʁ ɑ zː ɑː
עזה	ʔ a z a
עזה	ʕ a z a
עזה	ʕ a zː ɔ
עזה	ʕ æ zː ɔ
עזיז	ʕ a z i z
עט	ʔ e t
עט	ʕ eː tˤ
עטן	ʕ a t a n
עטן	ʕ e t a n
עיבר	ʔ i b e ʁ
עיוור	i v ɛ ʁ
עיין	ʕ i j j e n
עייף	ʕ a j a f
עייף	ʕ a j e f
עייף	ʕ i j e f
עין	a j i n
עין	ʕ a j i n
עיפרון	ʔ i p a ʁ o n
עיר	i ʁ
עכוז	a k u z
על	a l
על	ŋ a l
על	ʕ a l
עלה	ʔ a l a
עלה	ʔ a l e
עלה	ʕ a l a
עלוב	ʕ a l u v
עלמה	a l m a
עם	a m
עם	i m
עמד	ʕ a m a d
עמורה	ɣ ɑ m oː r ɑ
עמורה	ʁ ɑ m oː r ɑ
עמורה	ʔ a m o ʁ a
עמנואל	ʔ i m a n u ʔ e l
עמ׳	ʔ m u d
עמ׳	ʔ m u d i m
עמ׳	ʕ m u d
עמ׳	ʕ m u d i m
ענבל	i n b a l
ענן	ʕ a n a n
עף	a f
עף	ʔ a f
עף	ʕ a f
עפרונות	ʔ e f ʁ o n o t
עץ	e j t͡s
עץ	e t͡s
עץ	ʕ e s
עץ	ʕ i sˤ
עצים	ʕ e t͡s i m
עצלן	a t s l a n
עצם	e t s e m
עצם	ʕ a sˀ m
עצם	ʕ e sˀ e m
עצם	ʕ e t s e m
עצם	ʕ æ sˀ æ m
עצם	ʕ ɛ sˀ ɛ m
עקרב	a k ʁ a b
עקרב	a k ʁ a v
עקרב	ʕ a q r ɔ v
עקרבים	a k ʁ a b i m
עקרבים	ʕ a q r a b b i m
עקשן	ʔ a k ʃ a n
ערב	e ʁ e v
ערבית	a ʁ a v i t
ערבית	a ʁ v i t
ערום	a ʁ u m
ערמון	ʕ a r m o n
ערס	ʔ a ʁ s
עש	a ʃ
עשב	ʔ e s e v
עשה	u s u
עשה	ɔ s ɔ
עשה	ʔ a s a
עשה	ʕ a s a
עשה	ʕ aː s aː
עשה	ʕ aː ɬ aː
עשה	ʕ ɔ s ɔ
עשה	ʕ ɔː s ɔː
עשים	a ʃ i m
עשרה	ʔ a s a ʁ a
עשרה	ʔ e s ʁ e
עשרה	ʕ ă s ɔ r ɔ
עת	ʔ e t
עת	ʕ eː θ
פאה	p e a
פאה	p e ɪ̯ ɔ
פאה	p e ʔ a
פאה	p e ʔː ɔ
פאה	p eː ʔ ɑː
פדרציה	f e d e ʁ a t͡s j a
פולקלור	f o l k l o r
פונדק	p u n d a k
פופאי	p o p a j
פופולרי	p o p u l a ʁ i
פושט	p u ʃ a t
פושט	p ɔ ʃ ɛ t
פח	p a χ
פח	p a χ i m
פחדן	p a χ d a n
פחה	p e χ a
פטל	p e t e l
פטמה	p i t m a
פי	p i
פיזי	f i z i
פין	p i n
פיסח	p i s e a χ
פיצה	p i t s a
פירגון	f i ʁ ɡ u n
פירגן	f i ʁ ɡ e n
פירק	p e ʁ e k
פישון	p i ʃ o n
פישט	p i ʃ ɛ t
פך	p a χ
פלונטר	p l o n t e r
פלסטין	f a l a s t i n
פלשת	p e l e ʃ e d
פלשת	p e l e ʃ e t
פלשת	p l e ʃ e s
פלשת	p l e ʃ e t
פלשת	p æ̆ l æ ʃ æ θ
פלשת	p ă l ɛː ʃ ɛ θ
פלשתינה	p a l e s t i n a
פן	p e n
פנס	p a n a s
פסול	p a s u l
פסח	p a s a χ
פסח	p e s a χ
פסחא	p a s χ a
פסנתר	p s a n t e ʁ
פעם	p a ʔ a m
פעם	p e ʔ e m
פקודה	p k u d a
פקיד	p a k i d
פרה	p a ʁ a
פרוטקציה	p ʁ o t e k t s j a
פרחים	p ə r aː ħ iː m
פרי	p ʁ i
פרסה	p a r s a
פרסית	p a ʁ s i t
פרעה	p a ʁ ʔ o
פשט	p a ʃ a t
פשטות	p a ʃ t u t
פשלה	f a ʃ l a
פתרון	p i t a ʁ o n
פתרון	p i t ʁ o n
צבא	sˤ a b a ʔ
צבא	t͡s a v a
צבאי	sˤ a b a ʔ iː
צבעוני	t s i v ʔ o n i
צד	t͡s a d
צדיק	sˤ a d d i q
צדק	s e d e k
צדק	sˤ æ ð æ q
צדק	sˤ ɛ ð ɛ q
צדק	t͡s e d e k
צדקה	sˤ ă ð ɔ q ɔ
צדקה	t͡s d a k a
צהריים	t͡s a h a ʁ a j i m
צהריים	t͡s o h o ʁ a j i m
צופר	t͡s o f a ʁ
צחק	t͡s a χ a k
צי	t͡s i
ציאן	t͡s i a n
ציבור	sˤ i b b u ʀ
ציון	sˤ i j j oː n
ציון	sˤ i j oː n
ציון	sˤ i j øː n
ציון	t͡s i j o n
ציון	t͡s i j o ɪ n
ציון	t͡s i j o̞ n
צייר	t s a j a ʁ
צייר	t s i j ɛ ʁ
צימוקים	s i m u k i m
צימוקים	sˀ i mː u q i m
צימוקים	t s i m u k i m
צימוקים	t s m ʊ k m̩
צימוקים	t s ə m u k ɪ m
צינגלה	t s i n ɡ a l e
ציפור	t͡s i p o ʁ
ציפורה	t s i p o ʁ a
צירף	t͡s e ʁ e f
צמח	sˤ eː m æ ħ
צמח	sˤ ɛ m a ħ
צמח	t͡s a m a x
צמח	t͡s e m a x
צמח	t͡s e m a ħ
צניעות	sˤ ă n i ʕ u θ
צער	t s a ʔ a ʁ
צער	t s a ʕ a ʁ
צער	t s aː ʁ
צפון	sˤ aː p oː n
צפון	sˤ aː ɸ oː n
צפון	sˤ ɔ f o n
צפון	t s a f o n
צפורה	t͡s i p o ʁ a
צפן	t s ɑ f aˑ n
צפן	t͡s a f a n
צרח	t s a ʁ a χ
צריך	s a r i x
צריך	sˤ aː r i k
צריך	sˤ ɔ r i x
צריך	t͡s a ʁ i χ
צריך	t͡s ɔ r i x
צרכן	t͡s a ʁ χ a n
צרפת	sˤ aː r f a θ
צרפת	sˤ ɔ r f a θ
צרפת	t s a ʁ f a t
צרפתית	t s a ʁ f a t i t
צ׳ק	t ʃ e k
קבלה	k a b a l a
קדח	k a d a χ
קדח	k ɔ ð a ħ
קדם	q i d d e m
קדם	q o ð ɛ m
קדם	q ă ð a m
קדם	q ɔ ð a m
קדם	q ɛ ð ɛ m
קדמי	k i d m i
קדמי	q i ð m i
קדר	k e d a ʁ
קדשנו	k a d ɨ ʃ e n u
קדשנו	k i d a ʃ n u
קדשנו	k i d ɨ ʃ a n u
קהיר	k a h i ʁ
קהל	k a h a l
קהל	ɡ ɔː h ɔː l
קודש	k o d e ʃ
קודש	k u d a ʃ
קול	k o j l
קול	k o l
קול	k u l
קול	q oː l
קול	ɡ øː l
קולנוע	k o l n o a
קולני	k o l a n i
קום	k u m
קומבינה	k o m b i n a
קומזיץ	k u m z i t͡s
קונסוליה	k o n s u l j a
קוף	k ɔ f
קוראן	k u ʁ ʔ a n
קח	k a χ
קטון	k a t o n
קטל	k a t a l
קטל	k e t e l
קטל	k i t e l
קטל	q ɔ tˤ a l
קטלאנית	k a t a l a n i t
קטן	k a t a n
קיבוץ	q i b b u sˤ
קיטר	k i t e ʁ
קין	k a j i n
קיץ	k a j i t s
קישקע	k i ʃ k e
קל	k a l
קלה	k a l a
קם	k a m
קמין	k a m i n
קן	k e n
קנה	k a n a
קנה	q ɔ n ɔ
קניון	k a n j o n
קניון	k e n j o n
קציר	k a t͡s i ʁ
קרא	k a r a ʔ
קרא	k a ʁ a ʔ
קרא	k ɔ r ɔ
קרא	q aː r aː ʔ
קרא	q ɔ r ɔ ʔ
קרא	q ɔ ʀ ɔ ʔ
קרה	k a ʁ a
קרח	k ɛ ʁ a χ
קריא	k a ʁ i
קריזה	k r i z ɑ
קרע	k a ʁ a ʕ
קש	k a ʃ
קשישא	k ʃ i ʃ ɑ
קשר	q a ʃ ɔ ʀ
קשר	q i ʃ e ʀ
קשר	q ɔ ʃ a ʀ
קשר	q ɛ ʃ ɛ ʀ
קשת	k a ʃ a t
קשת	k e j ʃ e j s
קשת	k e ʃ e s
קשת	k e ʃ e t̪
קשת	k ɛ ʃ ɛ t
קשת	q e ʃ e t
קשת	q e ʃ e θ
קשת	q ɛ ʃ ɛ θ
קשת	ɡ æ ʃ æ θ
ראה	r ɔ ʔ ɔ
ראש	r o ʃ
ראש	ʀ o ʃ
ראש	ʁ o ʃ
ראשון	ʁ i ʃ o n
ראשית	ʁ e̞ ʃ i t
רב	ʀ a v
רב	ʀ ɔ v
רבץ	ʁ a v a t͡s
רבקה	r i b q a
רבקה	r i b q aː
רבקה	r i v k aː
רבקה	r i v k ɔ
רבקה	r i v q ɔ
רבקה	r i v ɡ ɔː
רבקה	ʁ i v k a
רגל	ʁ e ɡ e l
רגש	ʁ ɛ ɡ ɛ ʃ
רדה	ʁ a d a
רוב	ʀ o v
רווק	r a w w aː q
רווק	ʁ a v a k
רווקה	r a w w aː q aː
רווקה	ʁ a v a k a
רוח	r u a ħ
רוח	r u a χ
רוח	r u w w a ħ
רוח	ʁ u a x
רומניה	ʁ o m a n j a
רומנית	ʁ ɔ m a n i t
רוצות	ʁ ɔ t s ɔ t
רוצים	ʁ ɔ t s i m
רוק	r a w w aː q
רוק	r o q
רוק	r oː q
רוק	ʁ a v a k
רוק	ʁ o k
רוקה	r a w w aː q aː
רוקה	ʁ a v a k a
רחוב	r ə ħ oː v
רחוב	ʁ ɛ χ o v
רחוק	ʁ a χ ɔ k
רחל	r aː ħ i l
רחל	r aː χ i l
רחל	ʀ ɔ ħ e l
רחל	ʁ a χ e l
ריבה	ʁ i b a
ריח	ʁ e a χ
רימון	ʁ i m o n
ריפוד	r i p u d
רישות	ʁ i ʃ u t
רך	ʁ a χ
רכב	r ɛ χ ɛ v
רמונים	ʁ i m ɔ n i m
רע	ʁ a
רעיון	ʁ a a j o n
רפא	ʁ a f a
רפאל	ʁ a f a ʔ e l
רפת	ʁ e f e t
רץ	ʁ a t͡s
רצה	ʁ a t s a
רצח	ʁ a t͡s a χ
רצח	ʁ e t s a χ
רציתי	ʁ a t s i t i
רצפט	ʁ e t͡s e p t
רקיע	r aː q iː a ʕ
רקיע	r ɔː q iː a ʕ
רקיע	ʁ a k i a
רקע	r a k a
רקע	r e k a
ר״מ	r a m
שאול	ʃ a ʔ u l
שאול	ʃ e ʔ o l
שאול	ʃ ʔ o l
שאלה	ʃ e ʔ e l a
שבוע	ʃ a v u a ʕ
שבור	ʃ a v u ʁ
שבור	ʃ v u ʁ
שבע	ʃ a b a ʕ
שבע	ʃ e v a
שבע	ʃ ɛ v a ʕ
שבעה	ʃ i b ʕ a h
שבעה	ʃ i v ʔ a
שבעה	ʃ i v ʕ ɔ
שבת	ʃ a b ɔ s
שבת	ʃ æ b b ɔː θ
שד	ʃ a d
שד	ʃ e d
שדה	s a d e
שדר	ʃ a d a ʁ
שדר	ʃ ɛ d ɛ ʁ
שדרן	ʃ a d ʁ a n
שוב	ʃ u v
שובל	ʃ o v a l
שובל	ʃ o v e l
שווא	ʃ v a
שווה	ʃ a v e
שוחד	ʃ o x a d
שוחד	ʃ u x a d
שוטר	ʃ o t e ʁ
שולחן	ʃ u l ħ ɔ n
שומר	ʃ o j m e j r
שומר	ʃ o m e r
שומר	ʃ o m e ʁ
שומר	ʃ oː m eː r
שומר	ʃ oː m i r u
שומר	ʃ u m a ʁ
שומר	ʃ ø m e r
שונא	s o n e
שונא	s o n e ʔ
שונא	s o ɪ̯ n e ɪ̯
שונא	s oː n eː ʔ
שונא	s ø n e ʔ
שונא	ɬ oː n eː ʔ
שונא	ɬ oː n i ʔ u
שוני	ʃ o n i
שוף	ʃ u f
שופכה	ʃ ɔ f χ a
שופכן	ʃ ɔ f χ a n
שוקולד	ʃ o k o l a d
שורש	ʃ o ʁ e ʃ
שזף	ʃ a z a f
שחיטה	ʃ ă ħ i tˤ ɔ
שחיטה	ʃ χ i t a
שחמט	ʃ a χ m a t
שחק	s a χ a k
שחק	ɬ a ħ a q
שט	ʃ a t
שטח	ʃ a t a χ
שטח	ʃ e t a χ
שטח	ʃ i t e a χ
שיבולת	ʃ i b o l e t
שידור	ʃ i d u ʁ
שיחה	s i χ a
שימש	ʃ i m e ʃ
שיקר	ʃ i k e ʁ
שיר	ʃ i ʁ
שירות	ʃ e ʁ u t
שישה	ʃ i ʃ a
שישה	ʃ i ʃ ʃ a h
שישה	ʃ i ʃ ʃ ɔ
שית	ʃ i t
שכב	ʃ a χ a v
שכונה	ʃ χ u n a
שכח	ʃ a χ a χ
שכינה	ʃ χ i n a
שכלול	ʃ i χ l u l
שלום	ʃ a l o m
שלום	ʃ a l oː m
שלום	ʃ ɔ l o m
שלום	ʃ ɔ l o ɪ m
שלוף	ʃ a l u f
שלוש	ʃ a l o ʃ
שלוש	ʃ a l oː ʃ
שלושה	ʃ a l oː ʃ aː
שלושה	ʃ e l o ʃ a
שלושה	ʃ l o ʃ a
שלושה	ʃ ă l o ʃ ɔ
שלטון	ʃ i l t o n
שלטוני	ʃ i l t o n i
שלמה	ʃ a l oː m oː
שלמה	ʃ l o m o
שלמה	ʃ ă l o m o
שלף	ʃ a l a f
שם	ʃ e m
שם	ʃ i m
שם	ʃ ɛ m
שמואל	ʃ e m u e l
שמואל	ʃ m u e j l
שמואל	ʃ m u e l
שמואל	ʃ æ̆ m u ʔ e l
שמואל	ʃ ă m u ʔ e l
שמואל	ʃ ə m uː ʔ eː l
שמונה	ʃ m o n a
שמים	ʃ a m a j i m
שמימי	ʃ m e j m i
שמן	ʃ a m a n
שמן	ʃ e m e n
שמן	ʃ u m a n
שמנת	ʃ a m ɛ n ɛ t
שמע	ʃ a m a
שמע	ʃ a m a ʕ
שמע	ʃ e j m a
שמע	ʃ e m a
שמע	ʃ e m a ʕ
שמע	ʃ e m æ ʕ
שמע	ʃ m a
שמע	ʃ æ m æ ʕ
שמע	ʃ ă m a ʕ
שמע	ʃ ɔ m a
שמע	ʃ ɔ m a ʕ
שמע	ʃ ɔ m æ ʕ
שמעון	ʃ i m o n
שמעון	ʃ i m ʔ o n
שמעון	ʃ i m ʕ o n
שמעון	ʃ i m ʕ oː n
שמעון	ʃ i m ʕ œ n
שמעון	ʃ ɪ m ə n
שמעי	ʃ i m ʔ i
שמש	ʃ e m e ʃ
שמשון	ʃ i m ʃ o n
שן	ʃ e n
שנא	s a n e
שנא	s a n e ʔ
שנא	s aː n eː ʔ
שנא	s ɔ n e ɪ̯
שנא	s ɔ n e ʔ
שנא	ɬ aː n eː ʔ
שנאה	s i n ʔ a
שנה	ʃ a n a
שניים	ʃ n a j i m
שניצל	ʃ n i t͡s e l
שנקל	ʃ n ɛ k ɛ l
שעה	ʃ a ʔ a
שעונית	ʃ a ʔ o n i t
שערה	s a ʔ a ʁ a
שערה	s e ʔ a ʁ a
שפיץ	ʃ p i t͡s
שפיצי	ʃ p i t͡s i
שפם	s a f a m
שפריץ	ʃ p ʁ i t͡s
שפשף	ʃ i f ʃ e f
שפתיים	s f a t a j i m
שק	s a k
שקים	s a k i m
שקיעה	ʃ k i j ʕ a
שקיעה	ʃ k i ʕ a
שקל	ʃ a k a l
שקל	ʃ aː q a l
שקל	ʃ e q e l
שקל	ʃ ɛ k ɛ l
שקלים	ʃ k a l i m
שקר	ʃ e k e r
שקר	ʃ e k e ʁ
שקר	ʃ e q e r
שקר	ʃ æ ɡ æ r
שקר	ʃ ɛ q ɛ r
שקרן	ʃ a k ʁ a n
שקשוקה	ʃ a k ʃ u k a
שרב	ʃ a ʁ a v
שרי	s a ʁ a j
שרי	s a ʁ e
שריר	ʃ ə ʁ i ʁ
שריר	ʃ ʁ i ʁ
שרך	ʃ a ʁ a χ
שש	ʃ e ʃ
שש	ʃ i ʃ
שת	ʃ a t
שת	ʃ e t
שתה	ʃ a t a
שתיים	ʃ t a j m
שתל	ʃ a t a l
ש״ח	ʃ a χ
ש״ץ	ʃ a t s
תא	t a
תאום	t ĕ ʔ o m
תבע	t a v a ʕ
תהלה	t e h i l a
תוהו	t o h u
תוכאים	t u k a ʔ i m
תוכניתן	t o χ n i t a n
תולדה	t o l a d a
תולעת	t o l a ʔ a t
תועבה	t o ʔ e v a
תועבה	t o ʕ e v a
תורה	t o j r ɔ
תורה	t o ʀ ɔ
תורה	t o ʁ a
תורה	t ø r ɔ
תורה	t̪ o ɾ a
תורה	t̪ oː r aː
תות	t u t
תחת	t a x a s
תחת	t a ħ a t
תחת	t a ħ a θ
תחת	t a χ a t
תחת	t æ ħ æ θ
תיירות	t a j a ʁ u t
תיירותי	t a j a ʁ u t i
תינוק	t i n o k
תיקונצ׳יק	t i k u n t ʃ i k
תלוי	t a l u i
תלוי	t a l u j
תלם	t e l e m
תלמי	t a l m a j
תמונה	t m u n a
תמנון	t a m n u n
תמנון	t m a n u n
תמסח	t i m s a χ
תפארת	t i f e ʁ e t
תפוז	t a p u z
תפוח	t a p p uː ħ a
תפוח	t a p u a χ
תפילה	t f i l a
תפירה	t f i ʁ a
תפקיד	t a f k i d
תפר	t a f a r
תצליל	t a t͡s l i l
תרועה	t a r u ʕ ɔ
תרועה	t e r u ʕ a
תרועה	t ə r uː ʕ aː
תרועה	t ə r uː ʕ ɔː
תרועה	t ə ʁ u ɔ
תרועה	t ʁ u ə
תרועה	t ʁ u ʔ a
תרועות	t a r u ʕ œ θ
תרועות	t e r u ʕ o t
תרועות	t ə r uː ʕ oː θ
