A	ʔ aː ˧˧
giao thoa	z aː w ˧˧ tʰ w aː ˧˧
giao thông	z aː w ˧˧ tʰ ə w ŋ͡m ˧˧
giao thông công cộng	z aː w ˧˧ tʰ ə w ŋ͡m ˧˧ k ə w ŋ͡m ˧˧ k ə w ŋ͡m ˧˨ ʔ
giao thương	z aː w ˧˧ tʰ ɨ ə ŋ ˧˧
giao thời	z aː w ˧˧ tʰ əː j ˨˩
giao thừa	z aː w ˧˧ tʰ ɨ ə ˨˩
giao tiếp	z aː w ˧˧ t i ə p̚ ˧˦
giao tranh	z aː w ˧˧ t͡ɕ a j ŋ̟ ˧˧
giao tuyến	z aː w ˧˧ t w i ə n ˧˦
giao tế	z aː w ˧˧ t e ˧˦
giao tử	z aː w ˧˧ t ɨ ˧˩
giao điểm	z aː w ˧˧ ʔ ɗ i ə m ˧˩
giao ước	z aː w ˧˧ ʔ ɨ ə k̚ ˧˦
gieo	z ɛ w ˧˧
gieo nhân nào gặt quả nấy	z ɛ w ˧˧ ɲ ə n ˧˧ n aː w ˨˩ ɣ a t̚ ˧˨ ʔ k w aː ˧˩ n ə j ˧˦
gieo rắc	z ɛ w ˧˧ z a k̚ ˧˦
gieo sạ	z ɛ w ˧˧ s aː ˧˨ ʔ
gio	z ɔ ˧˧
giong	z a w ŋ͡m ˧˧
gioăng	z w a ŋ ˧˧
giun	z u n ˧˧
giun chỉ	z u n ˧˧ t͡ɕ i ˧˩
giun dẹp	z u n ˧˧ z ɛ p̚ ˧˨ ʔ
giun kim	z u n ˧˧ k i m ˧˧
giun lươn	z u n ˧˧ l ɨ ə n ˧˧
giun sán	z u n ˧˧ s aː n ˧˦
giun tròn	z u n ˧˧ t͡ɕ ɔ n ˨˩
giun đũa	z u n ˧˧ ʔ ɗ u ə ˦ˀ˥
giun đất	z u n ˧˧ ʔ ɗ ə t̚ ˧˦
giun đốt	z u n ˧˧ ʔ ɗ o t̚ ˧˦
giuýp	z w i p̚ ˧˦
giuống	z u ə ŋ ˧˦
giuộc	z u ə k̚ ˧˨ ʔ
già	z aː ˨˩
già chơi trống bỏi	z aː ˨˩ t͡ɕ əː j ˧˧ t͡ɕ ə w ŋ͡m ˧˦ ʔ ɓ ɔ j ˧˩
già cả	z aː ˨˩ k aː ˧˩
già cốc	z aː ˨˩ k ə w k͡p̚ ˧˦
già cốc đế	z aː ˨˩ k ə w k͡p̚ ˧˦ ʔ ɗ e ˧˦
già cỗi	z aː ˨˩ k o j ˦ˀ˥
già dặn	z aː ˨˩ z a n ˧˨ ʔ
già giặn	z aː ˨˩ z a n ˧˨ ʔ
già khú	z aː ˨˩ x u ˧˦
già lam	z aː ˨˩ l aː m ˧˧
già nua	z aː ˨˩ n u ə ˧˧
già yếu	z aː ˨˩ ʔ i ə w ˧˦
già đòn non lẽ	z aː ˨˩ ʔ ɗ ɔ n ˨˩ n ɔ n ˧˧ l ɛ ˦ˀ˥
giàn	z aː n ˨˩
giàn giáo	z aː n ˨˩ z aː w ˧˦
giàn giụa	z aː n ˨˩ z u ə ˧˨ ʔ
giàng	z aː ŋ ˨˩
giành	z a j ŋ̟ ˨˩
giành giật	z a j ŋ̟ ˨˩ z ə t̚ ˧˨ ʔ
giàu	z a w ˨˩
giàu có	z a w ˨˩ k ɔ ˧˦
giàu mạnh	z a w ˨˩ m a j ŋ̟ ˧˨ ʔ
giàu sang	z a w ˨˩ s aː ŋ ˧˧
giày	z a j ˨˩
giày bata	z a j ˨˩ ʔ ɓ aː ˧˧ t aː ˧˧
giày cao gót	z a j ˨˩ k aː w ˧˧ ɣ ɔ t̚ ˧˦
giày dép	z a j ˨˩ z ɛ p̚ ˧˦
giày sô	z a j ˨˩ s o ˧˧
giày vò	z a j ˨˩ v ɔ ˨˩
giày ống	z a j ˨˩ ʔ ə w ŋ͡m ˧˦
giá	z aː ˧˦
giá biểu	z aː ˧˦ ʔ ɓ i ə w ˧˩
giá chuộc	z aː ˧˦ t͡ɕ u ə k̚ ˧˨ ʔ
giá chợ	z aː ˧˦ t͡ɕ əː ˧˨ ʔ
giá cả	z aː ˧˦ k aː ˧˩
giá lạnh	z aː ˧˦ l a j ŋ̟ ˧˨ ʔ
giá rét	z aː ˧˦ z ɛ t̚ ˧˦
giá thành	z aː ˧˦ tʰ a j ŋ̟ ˨˩
giá thú	z aː ˧˦ tʰ u ˧˦
giá trị	z aː ˧˦ t͡ɕ i ˧˨ ʔ
giá trị lớn nhất	z aː ˧˦ t͡ɕ i ˧˨ ʔ l əː n ˧˦ ɲ ə t̚ ˧˦
giá trị nhỏ nhất	z aː ˧˦ t͡ɕ i ˧˨ ʔ ɲ ɔ ˧˩ ɲ ə t̚ ˧˦
giá trị trao đổi	z aː ˧˦ t͡ɕ i ˧˨ ʔ t͡ɕ aː w ˧˧ ʔ ɗ o j ˧˩
giá trị tuyệt đối	z aː ˧˦ t͡ɕ i ˧˨ ʔ t w i ə t̚ ˧˨ ʔ ʔ ɗ o j ˧˦
giá trị tổng kiểm	z aː ˧˦ t͡ɕ i ˧˨ ʔ t ə w ŋ͡m ˧˩ k i ə m ˧˩
giá vốn	z aː ˧˦ v o n ˧˦
giá đỗ	z aː ˧˦ ʔ ɗ o ˦ˀ˥
giác	z aː k̚ ˧˦
giác mạc	z aː k̚ ˧˦ m aː k̚ ˧˨ ʔ
giác ngộ	z aː k̚ ˧˦ ŋ o ˧˨ ʔ
giác quan	z aː k̚ ˧˦ k w aː n ˧˧
giác sát	z aː k̚ ˧˦ s aː t̚ ˧˦
giái	z aː j ˧˦
giám	z aː m ˧˦
giám hộ	z aː m ˧˦ h o ˧˨ ʔ
giám khảo	z aː m ˧˦ x aː w ˧˩
giám mục	z aː m ˧˦ m ʊ w k͡p̚ ˧˨ ʔ
giám ngục	z aː m ˧˦ ŋ ʊ w k͡p̚ ˧˨ ʔ
giám sát	z aː m ˧˦ s aː t̚ ˧˦
giám thị	z aː m ˧˦ tʰ i ˧˨ ʔ
giám tỉnh	z aː m ˧˦ t ï ŋ ˧˩
giám định	z aː m ˧˦ ʔ ɗ ï ŋ ˧˨ ʔ
giám đốc	z aː m ˧˦ ʔ ɗ ə w k͡p̚ ˧˦
gián	z aː n ˧˦
gián cách	z aː n ˧˦ k a j k̟̚ ˧˦
gián hoặc	z aː n ˧˦ h w a k̚ ˧˨ ʔ
gián thu	z aː n ˧˦ tʰ u ˧˧
gián tiếp	z aː n ˧˦ t i ə p̚ ˧˦
gián điệp	z aː n ˧˦ ʔ ɗ i ə p̚ ˧˨ ʔ
gián đoạn	z aː n ˧˦ ʔ ɗ w aː n ˧˨ ʔ
giáng	z aː ŋ ˧˦
giáng hạ	z aː ŋ ˧˦ h aː ˧˨ ʔ
giáng lâm	z aː ŋ ˧˦ l ə m ˧˧
giáng sinh	z aː ŋ ˧˦ s ï ŋ ˧˧
giáng thuỷ	z aː ŋ ˧˦ tʰ w i ˧˩
giáng thế	z aː ŋ ˧˦ tʰ e ˧˦
giáng trần	z aː ŋ ˧˦ t͡ɕ ə n ˨˩
giáo	z aː w ˧˦
giáo chủ	z aː w ˧˦ t͡ɕ u ˧˩
giáo cả	z aː w ˧˦ k aː ˧˩
giáo dân	z aː w ˧˦ z ə n ˧˧
giáo dưỡng	z aː w ˧˦ z ɨ ə ŋ ˦ˀ˥
giáo dục	z aː w ˧˦ z ʊ w k͡p̚ ˧˨ ʔ
giáo dục học	z aː w ˧˦ z ʊ w k͡p̚ ˧˨ ʔ h a w k͡p̚ ˧˨ ʔ
giáo dục quốc phòng	z aː w ˧˦ z ʊ w k͡p̚ ˧˨ ʔ k u ə k̚ ˧˦ f a w ŋ͡m ˨˩
giáo dục thể chất	z aː w ˧˦ z ʊ w k͡p̚ ˧˨ ʔ tʰ e ˧˩ t͡ɕ ə t̚ ˧˦
giáo giở	z aː w ˧˦ z əː ˧˩
giáo hoàng	z aː w ˧˦ h w aː ŋ ˨˩
giáo hạt	z aː w ˧˦ h aː t̚ ˧˨ ʔ
giáo hội	z aː w ˧˦ h o j ˧˨ ʔ
giáo khoa	z aː w ˧˦ x w aː ˧˧
giáo khu	z aː w ˧˦ x u ˧˧
giáo lí	z aː w ˧˦ l i ˧˦
giáo phái	z aː w ˧˦ f aː j ˧˦
giáo phận	z aː w ˧˦ f ə n ˧˨ ʔ
giáo sĩ	z aː w ˧˦ s i ˦ˀ˥
giáo sư	z aː w ˧˦ s ɨ ˧˧
giáo thụ	z aː w ˧˦ tʰ u ˧˨ ʔ
giáo triều	z aː w ˧˦ t͡ɕ i ə w ˨˩
giáo trình	z aː w ˧˦ t͡ɕ ï ŋ ˨˩
giáo tỉnh	z aː w ˧˦ t ï ŋ ˧˩
giáo viên	z aː w ˧˦ v i ə n ˧˧
giáo xứ	z aː w ˧˦ s ɨ ˧˦
giáo án	z aː w ˧˦ ʔ aː n ˧˦
giáo điều	z aː w ˧˦ ʔ ɗ i ə w ˨˩
giáo đường	z aː w ˧˦ ʔ ɗ ɨ ə ŋ ˨˩
giáp	z aː p̚ ˧˦
giáp cốt	z aː p̚ ˧˦ k o t̚ ˧˦
giáp cốt văn	z aː p̚ ˧˦ k o t̚ ˧˦ v a n ˧˧
giáp lá cà	z aː p̚ ˧˦ l aː ˧˦ k aː ˨˩
giáp trạng	z aː p̚ ˧˦ t͡ɕ aː ŋ ˧˨ ʔ
giâm	z ə m ˧˧
giâu	z ə w ˧˧
giây	z ə j ˧˧
giây lát	z ə j ˧˧ l aː t̚ ˧˦
giây phút	z ə j ˧˧ f u t̚ ˧˦
giã	z aː ˦ˀ˥
giã từ	z aː ˦ˀ˥ t ɨ ˨˩
giãi	z aː j ˦ˀ˥
giãi bày	z aː j ˦ˀ˥ ʔ ɓ a j ˨˩
giãn	z aː n ˦ˀ˥
giãn cách	z aː n ˦ˀ˥ k a j k̟̚ ˧˦
giãn cách xã hội	z aː n ˦ˀ˥ k a j k̟̚ ˧˦ s aː ˦ˀ˥ h o j ˧˨ ʔ
giãy	z a j ˦ˀ˥
giãy chết	z a j ˦ˀ˥ t͡ɕ e t̚ ˧˦
giãy nảy	z a j ˦ˀ˥ n a j ˧˩
gièm	z ɛ m ˨˩
gièm pha	z ɛ m ˨˩ f aː ˧˧
gié	z ɛ ˧˦
giéo	z ɛ w ˧˦
giéo giắt	z ɛ w ˧˦ z a t̚ ˧˦
giê	z e ˧˧
giê dưới	z e ˧˧ z ɨ ə j ˧˦
giêng	z i ə ŋ ˧˧
giò	z ɔ ˨˩
giò cháo quẩy	z ɔ ˨˩ t͡ɕ aː w ˧˦ k w ə j ˧˩
giò lụa	z ɔ ˨˩ l u ə ˧˨ ʔ
giò thủ	z ɔ ˨˩ tʰ u ˧˩
giòi	z ɔ j ˨˩
giòn	z ɔ n ˨˩
giòn giã	z ɔ n ˨˩ z aː ˦ˀ˥
giòn rụm	z ɔ n ˨˩ z u m ˧˨ ʔ
giòn tan	z ɔ n ˨˩ t aː n ˧˧
gió	z ɔ ˧˦
gió Lào	z ɔ ˧˦ l aː w ˨˩
gió bấc	z ɔ ˧˦ ʔ ɓ ə k̚ ˧˦
gió chiều nào theo chiều ấy	z ɔ ˧˦ t͡ɕ i ə w ˨˩ n aː w ˨˩ tʰ ɛ w ˧˧ t͡ɕ i ə w ˨˩ ʔ ə j ˧˦
gió chướng	z ɔ ˧˦ t͡ɕ ɨ ə ŋ ˧˦
gió giật	z ɔ ˧˦ z ə t̚ ˧˨ ʔ
gió lùa	z ɔ ˧˦ l u ə ˨˩
gió lốc	z ɔ ˧˦ l ə w k͡p̚ ˧˦
gió mùa	z ɔ ˧˦ m u ə ˨˩
gió mậu dịch	z ɔ ˧˦ m ə w ˧˨ ʔ z ï k̟̚ ˧˨ ʔ
gió táp mưa sa	z ɔ ˧˦ t aː p̚ ˧˦ m ɨ ə ˧˧ s aː ˧˧
gió vàng	z ɔ ˧˦ v aː ŋ ˨˩
gióc	z a w k͡p̚ ˧˦
gióng	z a w ŋ͡m ˧˦
giông	z ə w ŋ͡m ˧˧
giông bão	z ə w ŋ͡m ˧˧ ʔ ɓ aː w ˦ˀ˥
giõi	z ɔ j ˦ˀ˥
giùi	z u j ˨˩
giùm	z u m ˨˩
giú	z u ˧˦
giúp	z u p̚ ˧˦
giúp lễ	z u p̚ ˧˦ l e ˦ˀ˥
giúp việc	z u p̚ ˧˦ v i ə k̚ ˧˨ ʔ
giúp ích	z u p̚ ˧˦ ʔ ï k̟̚ ˧˦
giúp đỡ	z u p̚ ˧˦ ʔ ɗ əː ˦ˀ˥
giăm	z a m ˧˧
giăng	z a ŋ ˧˧
giũ	z u ˦ˀ˥
giũa	z u ə ˦ˀ˥
giơ	z əː ˧˧
giơ cao đánh khẽ	z əː ˧˧ k aː w ˧˧ ʔ ɗ a j ŋ̟ ˧˦ x ɛ ˦ˀ˥
giương	z ɨ ə ŋ ˧˧
giường	z ɨ ə ŋ ˨˩
giạ	z aː ˧˨ ʔ
giại	z aː j ˧˨ ʔ
giạng	z aː ŋ ˧˨ ʔ
giạt	z aː t̚ ˧˨ ʔ
giả	z aː ˧˩
giả bộ	z aː ˧˩ ʔ ɓ o ˧˨ ʔ
giả cách	z aː ˧˩ k a j k̟̚ ˧˦
giả câm giả điếc	z aː ˧˩ k ə m ˧˧ z aː ˧˩ ʔ ɗ i ə k̚ ˧˦
giả cầy	z aː ˧˩ k ə j ˨˩
giả danh	z aː ˧˩ z a j ŋ̟ ˧˧
giả dược	z aː ˧˩ z ɨ ə k̚ ˧˨ ʔ
giả dối	z aː ˧˩ z o j ˧˦
giả dụ	z aː ˧˩ z u ˧˨ ʔ
giả khoa học	z aː ˧˩ x w aː ˧˧ h a w k͡p̚ ˧˨ ʔ
giả kim	z aː ˧˩ k i m ˧˧
giả kim thuật	z aː ˧˩ k i m ˧˧ tʰ w ə t̚ ˧˨ ʔ
giả lập	z aː ˧˩ l ə p̚ ˧˨ ʔ
giả mạo	z aː ˧˩ m aː w ˧˨ ʔ
giả nhân giả nghĩa	z aː ˧˩ ɲ ə n ˧˧ z aː ˧˩ ŋ i ə ˦ˀ˥
giả như	z aː ˧˩ ɲ ɨ ˧˧
giả sử	z aː ˧˩ s ɨ ˧˩
giả thiết	z aː ˧˩ tʰ i ə t̚ ˧˦
giả thuyết	z aː ˧˩ tʰ w i ə t̚ ˧˦
giả thử	z aː ˧˩ tʰ ɨ ˧˩
giả trang	z aː ˧˩ t͡ɕ aː ŋ ˧˧
giả tá	z aː ˧˩ t aː ˧˦
giả tưởng	z aː ˧˩ t ɨ ə ŋ ˧˩
giả tạo	z aː ˧˩ t aː w ˧˨ ʔ
giả vờ	z aː ˧˩ v əː ˨˩
giả đò	z aː ˧˩ ʔ ɗ ɔ ˨˩
giả định	z aː ˧˩ ʔ ɗ ï ŋ ˧˨ ʔ
giải	z aː j ˧˩
giải cứu	z aː j ˧˩ k i w ˧˦
giải giáp	z aː j ˧˩ z aː p̚ ˧˦
giải khát	z aː j ˧˩ x aː t̚ ˧˦
giải lao	z aː j ˧˩ l aː w ˧˧
giải mã	z aː j ˧˩ m aː ˦ˀ˥
giải nghĩa	z aː j ˧˩ ŋ i ə ˦ˀ˥
giải nghệ	z aː j ˧˩ ŋ e ˧˨ ʔ
giải nguyên	z aː j ˧˩ ŋ w i ə n ˧˧
giải ngân	z aː j ˧˩ ŋ ə n ˧˧
giải ngũ	z aː j ˧˩ ŋ u ˦ˀ˥
giải ngố	z aː j ˧˩ ŋ o ˧˦
giải nhiệt	z aː j ˧˩ ɲ i ə t̚ ˧˨ ʔ
giải oan	z aː j ˧˩ ʔ w aː n ˧˧
giải pháp	z aː j ˧˩ f aː p̚ ˧˦
giải phóng	z aː j ˧˩ f a w ŋ͡m ˧˦
giải phẫu	z aː j ˧˩ f ə w ˦ˀ˥
giải phẫu bệnh lí	z aː j ˧˩ f ə w ˦ˀ˥ ʔ ɓ ə j ŋ̟ ˧˨ ʔ l i ˧˦
giải phẫu học	z aː j ˧˩ f ə w ˦ˀ˥ h a w k͡p̚ ˧˨ ʔ
giải quyết	z aː j ˧˩ k w i ə t̚ ˧˦
giải quyết nỗi buồn	z aː j ˧˩ k w i ə t̚ ˧˦ n o j ˦ˀ˥ ʔ ɓ u ə n ˨˩
giải thoát	z aː j ˧˩ tʰ w aː t̚ ˧˦
giải thuật	z aː j ˧˩ tʰ w ə t̚ ˧˨ ʔ
giải thích	z aː j ˧˩ tʰ ï k̟̚ ˧˦
giải thưởng	z aː j ˧˩ tʰ ɨ ə ŋ ˧˩
giải thể	z aː j ˧˩ tʰ e ˧˩
giải toả	z aː j ˧˩ t w aː ˧˩
giải trãi	z aː j ˧˩ t͡ɕ aː j ˦ˀ˥
giải trình	z aː j ˧˩ t͡ɕ ï ŋ ˨˩
giải trí	z aː j ˧˩ t͡ɕ i ˧˦
giải tán	z aː j ˧˩ t aː n ˧˦
giải tích	z aː j ˧˩ t ï k̟̚ ˧˦
giải âm	z aː j ˧˩ ʔ ə m ˧˧
giải đáp	z aː j ˧˩ ʔ ɗ aː p̚ ˧˦
giải độc	z aː j ˧˩ ʔ ɗ ə w k͡p̚ ˧˨ ʔ
giảm	z aː m ˧˩
giảm bớt	z aː m ˧˩ ʔ ɓ əː t̚ ˧˦
giảm giá	z aː m ˧˩ z aː ˧˦
giảm hình	z aː m ˧˩ h ï ŋ ˨˩
giảm nhiệt	z aː m ˧˩ ɲ i ə t̚ ˧˨ ʔ
giảm phân	z aː m ˧˩ f ə n ˧˧
giảm sút	z aː m ˧˩ s u t̚ ˧˦
giảm thiểu	z aː m ˧˩ tʰ i ə w ˧˩
giảm tốc	z aː m ˧˩ t ə w k͡p̚ ˧˦
giảm đau	z aː m ˧˩ ʔ ɗ a w ˧˧
giản	z aː n ˧˩
giản dị	z aː n ˧˩ z i ˧˨ ʔ
giản thể	z aː n ˧˩ tʰ e ˧˩
giản đơn	z aː n ˧˩ ʔ ɗ əː n ˧˧
giản đồ	z aː n ˧˩ ʔ ɗ o ˨˩
giảng	z aː ŋ ˧˩
giảng dạy	z aː ŋ ˧˩ z a j ˧˨ ʔ
giảng dụ	z aː ŋ ˧˩ z u ˧˨ ʔ
giảng giải	z aː ŋ ˧˩ z aː j ˧˩
giảng hoà	z aː ŋ ˧˩ h w aː ˨˩
giảng viên	z aː ŋ ˧˩ v i ə n ˧˧
giảng đường	z aː ŋ ˧˩ ʔ ɗ ɨ ə ŋ ˨˩
giảng đạo	z aː ŋ ˧˩ ʔ ɗ aː w ˧˨ ʔ
giảnh	z a j ŋ̟ ˧˩
giảo	z aː w ˧˩
giảo hoạt	z aː w ˧˩ h w aː t̚ ˧˨ ʔ
giấc	z ə k̚ ˧˦
giấc hoè	z ə k̚ ˧˦ h w ɛ ˨˩
giấc mơ	z ə k̚ ˧˦ m əː ˧˧
giấc mơ Mĩ	z ə k̚ ˧˦ m əː ˧˧ m i ˦ˀ˥
giấc điệp	z ə k̚ ˧˦ ʔ ɗ i ə p̚ ˧˨ ʔ
giấm	z ə m ˧˦
giấm trắng	z ə m ˧˦ t͡ɕ a ŋ ˧˦
giấu	z ə w ˧˦
giấu giếm	z ə w ˧˦ z i ə m ˧˦
giấu như mèo giấu cứt	z ə w ˧˦ ɲ ɨ ˧˧ m ɛ w ˨˩ z ə w ˧˦ k ɨ t̚ ˧˦
giấu nhẹm	z ə w ˧˦ ɲ ɛ m ˧˨ ʔ
giấy	z ə j ˧˦
giấy bạc	z ə j ˧˦ ʔ ɓ aː k̚ ˧˨ ʔ
giấy bồi	z ə j ˧˦ ʔ ɓ o j ˨˩
giấy can	z ə j ˧˦ k aː n ˧˧
giấy chứng nhận	z ə j ˧˦ t͡ɕ ɨ ŋ ˧˦ ɲ ə n ˧˨ ʔ
giấy dó	z ə j ˧˦ z ɔ ˧˦
giấy nhám	z ə j ˧˦ ɲ aː m ˧˦
giấy nến	z ə j ˧˦ n e n ˧˦
giấy phép	z ə j ˧˦ f ɛ p̚ ˧˦
giấy phép lái xe	z ə j ˧˦ f ɛ p̚ ˧˦ l aː j ˧˦ s ɛ ˧˧
giấy sáp	z ə j ˧˦ s aː p̚ ˧˦
giấy than	z ə j ˧˦ tʰ aː n ˧˧
giấy thông hành	z ə j ˧˦ tʰ ə w ŋ͡m ˧˧ h a j ŋ̟ ˨˩
giấy tờ	z ə j ˧˦ t əː ˨˩
giấy vệ sinh	z ə j ˧˦ v e ˧˨ ʔ s ï ŋ ˧˧
giấy xuất cảnh	z ə j ˧˦ s w ə t̚ ˧˦ k a j ŋ̟ ˧˩
giấy ướt	z ə j ˧˦ ʔ ɨ ə t̚ ˧˦
giầm	z ə m ˨˩
giần	z ə n ˨˩
giần giật	z ə n ˨˩ z ə t̚ ˧˨ ʔ
giầu	z ə w ˨˩
giầy	z ə j ˨˩
giầy dép	z ə j ˨˩ z ɛ p̚ ˧˦
giẫm	z ə m ˦ˀ˥
giẫm đạp	z ə m ˦ˀ˥ ʔ ɗ aː p̚ ˧˨ ʔ
giậm	z ə m ˧˨ ʔ
giậm chân	z ə m ˧˨ ʔ t͡ɕ ə n ˧˧
giậm chân tại chỗ	z ə m ˧˨ ʔ t͡ɕ ə n ˧˧ t aː j ˧˨ ʔ t͡ɕ o ˦ˀ˥
giậm giật	z ə m ˧˨ ʔ z ə t̚ ˧˨ ʔ
giận	z ə n ˧˨ ʔ
giận cá chém thớt	z ə n ˧˨ ʔ k aː ˧˦ t͡ɕ ɛ m ˧˦ tʰ əː t̚ ˧˦
giận dỗi	z ə n ˧˨ ʔ z o j ˦ˀ˥
giận dữ	z ə n ˧˨ ʔ z ɨ ˦ˀ˥
giận hờn	z ə n ˧˨ ʔ h əː n ˨˩
giập	z ə p̚ ˧˨ ʔ
giập giờn	z ə p̚ ˧˨ ʔ z əː n ˨˩
giật	z ə t̚ ˧˨ ʔ
giật gân	z ə t̚ ˧˨ ʔ ɣ ə n ˧˧
giật mình	z ə t̚ ˧˨ ʔ m ï ŋ ˨˩
giậu	z ə w ˧˨ ʔ
giắt	z a t̚ ˧˦
giằm	z a m ˨˩
giằng	z a ŋ ˨˩
giằng xé	z a ŋ ˨˩ s ɛ ˧˦
giặc	z a k̚ ˧˨ ʔ
giặc cỏ	z a k̚ ˧˨ ʔ k ɔ ˧˩
giặc giã	z a k̚ ˧˨ ʔ z aː ˦ˀ˥
giặc lái	z a k̚ ˧˨ ʔ l aː j ˧˦
giặt	z a t̚ ˧˨ ʔ
giặt giũ	z a t̚ ˧˨ ʔ z u ˦ˀ˥
giặt gỵa	z a t̚ ˧˨ ʔ z i ə ˧˨ ʔ
giẹp	z ɛ p̚ ˧˨ ʔ
giẻ	z ɛ ˧˩
giẻ cùi	z ɛ ˧˩ k u j ˨˩
giẻ rách	z ɛ ˧˩ z a j k̟̚ ˧˦
giếm	z i ə m ˧˦
giếng	z i ə ŋ ˧˦
giếng dầu	z i ə ŋ ˧˦ z ə w ˨˩
giếng trời	z i ə ŋ ˧˦ t͡ɕ əː j ˨˩
giết	z i ə t̚ ˧˦
giết chết	z i ə t̚ ˧˦ t͡ɕ e t̚ ˧˦
giết gà dùng dao mổ trâu	z i ə t̚ ˧˦ ɣ aː ˨˩ z ʊ w ŋ͡m ˨˩ z aː w ˧˧ m o ˧˩ t͡ɕ ə w ˧˧
giết hại	z i ə t̚ ˧˦ h aː j ˧˨ ʔ
giết mổ	z i ə t̚ ˧˦ m o ˧˩
giết người	z i ə t̚ ˧˦ ŋ ɨ ə j ˨˩
giền	z e n ˨˩
giềng	z i ə ŋ ˨˩
giềng giềng	z i ə ŋ ˨˩ z i ə ŋ ˨˩
giễu	z i ə w ˦ˀ˥
giọi	z ɔ j ˧˨ ʔ
giọng	z a w ŋ͡m ˧˨ ʔ
giọng ca	z a w ŋ͡m ˧˨ ʔ k aː ˧˧
giọng nói	z a w ŋ͡m ˧˨ ʔ n ɔ j ˧˦
giọng điệu	z a w ŋ͡m ˧˨ ʔ ʔ ɗ i ə w ˧˨ ʔ
giọt	z ɔ t̚ ˧˨ ʔ
giọt nước tràn li	z ɔ t̚ ˧˨ ʔ n ɨ ə k̚ ˧˦ t͡ɕ aː n ˨˩ l i ˧˧
giỏ	z ɔ ˧˩
giỏi	z ɔ j ˧˩
giỏi giang	z ɔ j ˧˩ z aː ŋ ˧˧
giốc	z ə w k͡p̚ ˧˦
giống	z ə w ŋ͡m ˧˦
giống bột	z ə w ŋ͡m ˧˦ ʔ ɓ o t̚ ˧˨ ʔ
giống cái	z ə w ŋ͡m ˧˦ k aː j ˧˦
giống má	z ə w ŋ͡m ˧˦ m aː ˧˦
giống nhau như đúc	z ə w ŋ͡m ˧˦ ɲ a w ˧˧ ɲ ɨ ˧˧ ʔ ɗ ʊ w k͡p̚ ˧˦
giống như	z ə w ŋ͡m ˧˦ ɲ ɨ ˧˧
giống nòi	z ə w ŋ͡m ˧˦ n ɔ j ˨˩
giống trung	z ə w ŋ͡m ˧˦ t͡ɕ ʊ w ŋ͡m ˧˧
giống đực	z ə w ŋ͡m ˧˦ ʔ ɗ ɨ k̚ ˧˨ ʔ
giồ	z o ˨˩
giồi	z o j ˨˩
giồng	z ə w ŋ͡m ˨˩
giồng giọt	z ə w ŋ͡m ˨˩ z ɔ t̚ ˧˨ ʔ
giỗ	z o ˦ˀ˥
giỗ chạp	z o ˦ˀ˥ t͡ɕ aː p̚ ˧˨ ʔ
giỗ kị	z o ˦ˀ˥ k i ˧˨ ʔ
giội	z o j ˧˨ ʔ
giới	z əː j ˧˦
giới chức	z əː j ˧˦ t͡ɕ ɨ k̚ ˧˦
giới hạn	z əː j ˧˦ h aː n ˧˨ ʔ
giới luật	z əː j ˧˦ l w ə t̚ ˧˨ ʔ
giới nghiêm	z əː j ˧˦ ŋ i ə m ˧˧
giới thiệu	z əː j ˧˦ tʰ i ə w ˧˨ ʔ
giới trẻ	z əː j ˧˦ t͡ɕ ɛ ˧˩
giới tính	z əː j ˧˦ t ï ŋ ˧˦
giới từ	z əː j ˧˦ t ɨ ˨˩
giờ	z əː ˨˩
giờ Dần	z əː ˨˩ z ə n ˨˩
giờ Dậu	z əː ˨˩ z ə w ˧˨ ʔ
giờ Hợi	z əː ˨˩ h əː j ˧˨ ʔ
giờ Mão	z əː ˨˩ m aː w ˦ˀ˥
giờ Mùi	z əː ˨˩ m u j ˨˩
giờ Ngọ	z əː ˨˩ ŋ ɔ ˧˨ ʔ
giờ Sửu	z əː ˨˩ s i w ˧˩
giờ Thân	z əː ˨˩ tʰ ə n ˧˧
giờ Thìn	z əː ˨˩ tʰ i n ˨˩
giờ Tuất	z əː ˨˩ t w ə t̚ ˧˦
giờ Tí	z əː ˨˩ t i ˧˦
giờ Tị	z əː ˨˩ t i ˧˨ ʔ
giờ cao su	z əː ˨˩ k aː w ˧˧ s u ˧˧
giờ cao điểm	z əː ˨˩ k aː w ˧˧ ʔ ɗ i ə m ˧˩
giờ dây thun	z əː ˨˩ z ə j ˧˧ tʰ u n ˧˧
giờ giấc	z əː ˨˩ z ə k̚ ˧˦
giờ hành chính	z əː ˨˩ h a j ŋ̟ ˨˩ t͡ɕ ï ŋ ˧˦
giờ khắc	z əː ˨˩ x a k̚ ˧˦
giờ phút	z əː ˨˩ f u t̚ ˧˦
giờ tối	z əː ˨˩ t o j ˧˦
giờ đây	z əː ˨˩ ʔ ɗ ə j ˧˧
giời	z əː j ˨˩
giời leo	z əː j ˨˩ l ɛ w ˧˧
giở	z əː ˧˩
giở chứng	z əː ˧˩ t͡ɕ ɨ ŋ ˧˦
giở quẻ	z əː ˧˩ k w ɛ ˧˩
giở trò	z əː ˧˩ t͡ɕ ɔ ˨˩
giỡn	z əː n ˦ˀ˥
giỡn mặt	z əː n ˦ˀ˥ m a t̚ ˧˨ ʔ
giục	z ʊ w k͡p̚ ˧˨ ʔ
