a	eː
better	b ɛ ɾ ɚ
better	b ɛ tʰ ɚ ~ b ɛ θ̠ ɚ ~ b ɛ t̪ ɚ
better	b ɛ ʔ ɚ ~ b ɛ ʔ ə ɾ
betther	b ɛ t̪ ɚ
betting	b ɛ ɾ ɪ ŋ
between	b ɪ tʰ w i n
bhang	b e ɪ̯ ŋ
bhang	b ɛ̃ ŋ
bidder	b ɪ ɾ ɚ
bidding	b ɪ ɾ ɪ ŋ
bigger	b ɪ ɡ ɚ
bigger	b ɪ ɡ ɹ̩
biker	b a ɪ̯ k ɚ
biker	b a ɪ̯ k ɹ̩
biker	b ɐ ɪ̯ k ɚ
biker	b ɐ ɪ̯ k ɹ̩
bill	b ɪ ɫ
bill	b ɪ ʊ̯
Bill	b ɪ ɫ
bin	b ɪ n
bird	b ɜː d
bird	b ɐ̝ː d
bird	b ɛː d
bird	b eː d
bird	b ɔː d
bird	b ɜ̝ː d
bird	b ɘː d
bird	b øː d
bird	b ɜ ɪ̯ d
bird	b ɝˑ d
bird	b ɚ̞ d
bird	b ø ˞ː d
bird	b ʊ̈ː ɹ d
bird	b ɪ ɹ d
birdie	b ɚ ɾ i
biscotti	b ɪ s k ɑ ɾ i
bitcoin	b̥ ɪ t̚ k ɔ ɪ̯ n
bitcoin	b̥ ɪ ʔ k ɔ ɪ̯ n
bitey	b a ɪ̯ ɾ i
bitten	b ɪ t n̩
bitten	b ɪ ʔ n̩
bitter	b ɪ ɾ ɚ
bittersweet	b ɪ ɾ ɚ s w i ʔ t̚
bland	b l e ə n d
bland	b l ɛ ə n d
blank	b l e ɪ̯ ŋ k
blank	b l ɛ̃ ŋ k
blanket	b l æ ŋ kʰ ɪ t
blanket	b l e ɪ̯ ŋ kʰ ɪ t
blanket	b l ɛ̃ ŋ kʰ ɪ t
blanket	b l æ ŋ kʰ ə t
blanket	b l e ɪ̯ ŋ kʰ ə t
blanket	b l ɛ̃ ŋ kʰ ə t
bleach	b l i t͡ʃ
bleach	b l iː t͡ʃ
bleacher	b l ɪ i̯ t͡ʃ ɚ
bleacher	b l ɪ i̯ t͡ʃ ɹ̩
bleating	b l i ɾ ɪ ŋ
bleed	b l ɪ i̯ d
blem	b l ɛ m
blem	b l ɛ m
blicky	b l ɪ k i
blighter	b l a ɪ ɾ ɚ
blind	b l a ɪ̯ n d
blind	b l aː n d
blink	b l ɪ ŋ k
blipper	b l ɪ p ɚ
blipper	b l ɪ p ɹ̩
blizzard	b l̥ ɪ z ɚ d
blizzard	b l̥ ɪ z ɹ̩ d
blockage	b l ɑ k ɪ d͡ʒ
blocker	b l ɑ̟ k ɚ
blocker	b l ɑ̟ k ɹ̩
blossom	b l ɑ s m̩
blunder	b l ʌ̈ n d ɚ
blunder	b l ʌ̈ n d ɹ̩
bluntness	b l ʌ n ʔ n ɪ s
blush	b l ʌ ʃ
board	b oː ɾ d
boated	b o ʊ̯ ɾ ɨ d
boating	b o ʊ̯ ɾ ɪ ŋ
boatings	b o ʊ̯ ɾ ɪ ŋ z
bockety	b ɑ k ə t iː
boded	b o ʊ̯ d ɨ d
bodies	b ɑ ɾ i z
body	b ɑ d ɪ i̯
body	b ɑ ɾ ɪ i̯
bodybuilder	b ɑː ɾ i b ɪ ɫ ɾ ɚ
bogus	b o ʊ̯ ɡ ə s
bogus	b ɔ̝ ʊ̯ ɡ ə s
bonfire	b ɒ ɱ f a ɪ̯ ɚ
bonfire	b̥ ɒ̃ ɱ f a ɛ̯ ɚ
boomerang	b u m ɚ e ɪ̯ ŋ
boomerang	b u m ɚ ɛ̃ ŋ
border	b o̞ ɹ d ɚ
bordure	b o̞ ɹ d͡ʒ ɚ
born	b o̞ ɹ n
borne	b o̞ ɹ n
botany	b ɑ ɾ ə n i
both	b ə ʊ θ
both	b o ʊ θ
both	b ɜ ʊ̯ θ
both	b ɐ ʉ θ
both	b oː θ
both	b o θ
both	b o ʊ ɫ θ
both	b oː ɫ θ
bottler	b ɑ ɾ l̩ ɚ
bottom	b ɑ ɾ ə m
bottomhood	b ɑ ɾ ə m h ʊ̈ d
bottoms	b ɑ ɾ ə m z
Boudreaux	b u w d͡ʒ ɹ ə w
bough	b a ʊ̯
bough	b æ ʊ̯
bountiful	b a ʊ̯ n ɾ ə f ə ɫ
bountiful	b a ʊ̯ n ə f ə ɫ
bounty	b̥ a ʊ̯ ɾ̃ i
bourne	b o̞ ɹ n
Bourne	b o̞ ɹ n
boutta	b a ʊ ɾ ə
boutye	b ɐ ʏ t͡ʃ ə
bra	b ɹ ɐ̞
braai	b ɹʷ a ɪ̯
braille	b ɹʷ e ɪ̯ l
brakeforce	b ɹ e ɪ k f ɔː ɹ s
brakeforce	b ɹ e ɪ k f ɔː s
bramble	b ɹ ɛ ə m b ə l
bramble	b ɹ ɛ ə m b l̩
brand	b ɹʷ æ n d
brand	b ɹʷ e ə̯ n d
brand	b ɹʷ ɛ ə̯ n d
Brand	b ɹ æ n d
brang	b ɹʷ e ɪ̯ ŋ
brang	b ɹʷ ɛ̃ ŋ
brank	b ɹʷ e ɪ̯ ŋ k
brank	b ɹʷ ɛ̃ ŋ k
brash	b ɹʷ æ ʃ
brattily	b ɹ æ ɾ ɪ l i
bratty	b ɹ æ ɾ i
brazen	b ɹ e ɪ z n̩
breacher	b ɹʷ ɪ i̯ t͡ʃ ɚ
breacher	b ɹʷ ɪ i̯ t͡ʃ ɹ̩
break	b ɹʷ e ɪ̯ k
breakneck	b ɹʷ e ɪ̯ k n ɛ k
breakneck	b ɹ e ɪ̯ k n ɛ k
breath	b ɹ̠ʷ ɛ θ
Breault	b ɹ o ʊ̯
Breaux	b ɹ ə w
breech	b ɹʷ ɪ i̯ t͡ʃ
breed	b ɹʷ ɪ i̯ d
brevity	b ɹ ɛ v ə ɾ i
brevity	b ɹ ɛ v ɾ i
brew	b ɹ u ʊ̯
Brewton	b ɹ u ʔ n̩
bricolage	b ɹ i k o ʊ l ɑ ʒ
bright	b ɹʷ a ɪ̯ t
bright	b ɹʷ aː t
brighten	b ɹ a ɪ̯ ʔ n̩
brighter	b ɹ a ɪ̯ ɾ ɚ
brink	b ɹʷ ɪ ŋ k
brink	b ɹʷ i ŋ k
brink	b ɹʷ ɪ̝ ŋ k
Britain	b ɹ ɪ ɾᵊ n̩
Britain	b ɹ ɪ ʔᵊ n̩
British	b ɹ ɪ t ɪ ʃ
British	b ɹ ɪ ɾ ɪ ʃ
British	b ɹ ɪ ʔ ɪ ʃ
Brittany	b ɹ ɪ ʔ n̩ n i
Brittany	b ɹ ɪ ʔ n i
brittle	b ɹʷ ɪ ɾ ə l
brittle	b ɹʷ ɪ ɾ l̩
brizz	b ɹ ɪ z
bro	b ɹʷ o ʊ̯
bro	b ɹʷ ɔ̝ ʊ̯
bro	b ɹʷ oː
broaden	b ɹ ɑ d n̩
broaden	b ɹ ɔ d n̩
broader	b ɹ ɔ ɾ ɚ
broader	b ɹ ɑ ɾ ɚ
broha	b ɹ o ʊ̯ h ɑ
brr	ʙ̩ː
Brummie	b ɹ ʌ m i
brutal	b ɹ u ɾ ə l
brutalize	b ɹ u ɾ ə l a ɪ z
bubble	b ʌ b ə l
bubble	b ʌ b l̩
bubbler	b ʌ b l ə
buccal	b ʌ k ɫ̩
buccalization	b ʌ k ə l a ɪ z e ɪ ʃ n̩
buccopalatal	b ʌ kʰ o ʊː pʰ æː l ə ɾ ɫ̩
buckle	b ʌ k ɫ̩
Buddha	b ʊ dːʱ ə
buddy	b ʌ ɾ i
Bulacan	b ʊ l ɑ k ɛ ə n
bulla	b ʊ ɫ ə
bumboclaat	b ʌ m b ə k l ɑ t
bump	b ʌ m̥ p
bump	b ɐ m̥ p
bureaucratic	b j ʊ ɹ ə k ɹ æ ɾ ɪ k
bush	b ʊ ʃ
but	b ʌ̈ t
butted	b ʌ ɾ ɨ d
butter	b ʌ ɾ ɚ
butterfly	b ʌ t ə f l a ɪ
butterfly	b ʌ ɾ ɚ f l a ɪ
butterfly	b ʌ ɾ ə f l ɑ ɪ
butters	b ʌ ɾ ɚ z
butting	b ʌ ɾ ɪ ŋ
buttings	b ʌ ɾ ɪ ŋ z
buttock	b ʌ ɾ ə k
button	b ʌ tʰ ə n
button	b ʌ tʰ n̩
button	b ʌ t̚ n̩
button	b ʌ ʔ ə n
button	b ʌ ʔ n̩
buttons	b ʌ t n̩ z
buttons	b ʌ ʔ n̩ z
buy	b a ɪ
buy	b ɑ j
buy	b a ɪ
buy	b ə j
buy	b ɑ ɪ
b'y	b ʌ i̯
b'y	b ɤ i̯
b'y	b ə i̯
cacoepy	k ə k ə ʊ ɪ p ɪ
cadel	kʰ e ɪ d l̩
cadence	kʰ e ɪ̯ d ə n s
cadence	kʰ e ɪ̯ d n̩ s
cadenza	kʰ ə d ɛ n z ə
cadenza	kʰ ə d ɪ̟ n z ə
Cain	kʰ e ɪ n
cake	k̟ʰ e ɪ̯ k̚
CALAX	k ɐ l a k s
calculable	kʰ æ ɫ k j ə l ə b l̩
calculatable	kʰ æ ɫ k j ə l e ɪ̯ ɾ ə b l̩
calculator	kʰ æ ɫ k j ə l e ɪ̯ ɾ ɚ
calendar	kʰ æ l ə n d ɚ
calendar	kʰ æ l n d ɚ
call	kʰ ɔ ɫ
call	kʰ ɑ ɫ
called	kʰ ɔ ɫ d
called	kʰ ɔ ə d
calling	kʰ ɔ l ɪ ŋ
cam	kʰ e ə̯ m
cam	kʰ ɛ ə̯ m
came	kʰ e ɪ̯ m
came	kʰ eː m
Camelot	k ɛ ə m ə l ɑ t
camp	kʰ e ə̯ m p
camp	kʰ ɛ ə̯ m p
can	kʰ æ n
can	kʰ a n
can	kʰ æː n
can	kʰ ɛ n
can	kʰ e ə̯ n
can	kʰ ɛ ə̯ n
can	kʰ eː n
can	kʰ ɛ n
can	kʰ ə n
can	kʰ n̩
can	k e ə n
Canada	kʰ ɛ ə ɾ̃ ə ɾ ə
Canada	kʰ e ə n ə d ə
Canadia	kʰ ə n e ɪ̯ ɾ i ə
Canadian	kʰ ə n e ɪ ɾ i ə n
candid	kʰ æ n d ɪ d
candid	k e ə̯ n d ɪ d
candid	k ɛ ə̯ n d ɪ d
candidacy	k ɛ ə n d ɪ d ə s i
candidate	k ɛ ə n d ɪ d ɪ t
candidate	k ɛ ə n d ɪ d e ɪ t
candle	cʰ æ n d l̩
candle	cʰ e ə n d l̩
candle	cʰ ɛ ə n d l̩
candor	k ɛ ə n d ɚ
canned	k e ə n d
canned	k ɛ ə n d
cannibalize	k ɛ ə n ɪ b ə l a ɪ z
cannot	kʰ æ n ɑ t
cannot	kʰ e ə̯ n ɑ t
cannot	kʰ ɛ ə̯ n ɑ t
cannot	kʰ ə n ɑ t
canonical	k ə n ɑ n ɪ k ɫ̩
can't	kʰ æ n t
can't	kʰ e ə̯ n t
can't	kʰ ɛ ə̯ n t
can't	kʰ ä n t
can't	k ä n t
can't	kʰ ẽ ɪ̃ n t
can't	kʰ ẽ ɪ̃ n ʔ
can't	kʰ ẽ ɪ̃ n
canteen	kʰ ɛ ə̯ n tʰ i n
canter	k ɛ ə n t ɚ
cantilever	k ɛ ə n t ɪ l i v ɚ
cantina	kʰ ɛ ə n t i n ə
cantina	kʰ e ə n t i n ə
Cantonese	k ɛ ə n t ə n i z
canvass	k ɛ ə n v ə s
cap	kʰ æ p
capability	k e ɪ p ə b ɪ l ə ɾ i
capable	kʰ e ɪ̯ p ə b ɫ̩
capacity	k ə p æ s ɪ ɾ i
capital	kʰ æ p ɪ ɾ ə l
capital	kʰ æ p ɪ ɾ l̩
cap'n	k æ ʔ m̩
capsicum	kʰ æ p s ɪ kʰ ə m
captain	k æ p n̩
captain	k æ p m̩
captivating	k æ p t ɪ v e ɪ ɾ ɪ ŋ
capture	kʰ æ p t ʃ ɚ
capture	kʰ æ p ʃ ɚ
capture	kʰ æ p t ʃ ɹ̩
capture	kʰ æ p ʃ ɹ̩
car	kʰ ɑ̝͗ ɹ
car	kʰ aː
caramba	k a ɹ a m b a
card	kʰ ɑː d
card	kʰ ɑ ɹ d
card	kʰ äː d
card	kʰ ɐː d
cardinal	kʰ ɑ ɹ d ɪ n ə l
cardinal	kʰ ɑ ɹ d n ə l
cardinal	kʰ ɑ ɹ d ɪ n l̩
cardinal	kʰ ɑ ɹ d n l̩
care	kʰ e ə̯ ɹ
care	kʰ e ɹ
care	kʰ ɛ ə̯ ɹ
care	kʰ ɛ ɹ
carefree	k ɛ ɹ̩ f ɹ ɪ i̯
careful	k ɛ ɹ f ə ɫ
careful	k ɛ ɹ f ɫ̩
carfie	kʰ aː f i
carload	kʰ ɑ ɹ l o ʊ d
carnival	k ɑ ɹ n ɪ v l̩
Carolina	k æ ə l aː n ə
cartage	kʰ ɑ ɹ tʰ ɪ d͡ʒ
cartage	kʰ ɑ ɹ ɾ ɪ d͡ʒ
carton	kʰ ɑ ɹ ʔ n̩
cartouche	kʰ ɑ ɹ tʰ ʊ u̯ ʃ
cartridge	k ɑ ɹ t ɹ̝̊ʷ ɪ d͡ʒ
cartridge	k ɑ ɹ t̠ ɹ̠̊ ˔ʷ ɪ d͡ʒ
cash	kʰ æ ʃ
Caspar	kʰ æ s p ɚ
Caspar	kʰ æ s p ɹ̩
Casper	kʰ æ s p ɚ
Casper	kʰ æ s p ɹ̩
cat	kʰ æ t
catabolism	kʰ ə tʰ æ b ə ɫ ɪ z ə m
catalyst	k æ ɾ ə l ɪ s t
catastrophic	k æ ɾ ə s t ɹ ɑ f ɪ k
categories	k æ ɾ ɪ ɡ ɔ ɹ i z
categories	k æ ɾ ə ɡ ɔ ɹ i z
category	kʰ æ ɾ ə ɡ ɔ ɹ i
category	k æ ɾ ə ɡ ɔ ɹ i
catering	k e ɪ ɾ ɚ ɪ ŋ
catfish	kʰ æ t̚ f ɪ ʃ
catio	k æ ɾ i o ʊ
cattle	kʰ æ ɾ ə l
cattle	kʰ æ ɾ l̩
catty	kʰ æ ɾ i
caught	kʰ ɔ t
caught	kʰ ɔ ə̯ t
caught	kʰ o ə̯ t
caught	kʰ ʊ ə̯ t
caught	kʰ ɑ t
causality	kʰ ɒː z̥ æ l ɪ t ɪ
causation	kʰ ɒː z̥ e ɪ ʃ ə n
causative	k ɔ z ə ɾ ɪ v
caused	kʰ ɒ z d
cauterization	kʰ ɔ ɾ ə ɹ a ɪ z e ɪ ʃ ə n
cauterization	kʰ ɑ ɾ ə ɹ a ɪ z e ɪ ʃ ə n
cauterize	kʰ ɔ ɾ ə ɹ a ɪ z
cauterize	kʰ ɑ ɾ ə ɹ a ɪ z
CAVITEX	k ɐː v i t ɛ k s
CAVITEX	k ɐ v iː t ɛ k s
cavity	kʰ æ v ɨ ɾ i
ceili	k e ɪ l i
celebrated	s ɛ l ə b ɹ e ɪ ɾ ɪ d
CENOMAR	s ɛː n̪ o m a ɾ
center	s ɛ̟ n tʰ ɚ
center	s ɛ̟ n tʰ ɹ̩
center	s ɛ̟ ɾ̃ ɚ
center	s ɛ̟ ɾ̃ ɹ̩
center	s ɪ̟ n tʰ ɚ
center	s ɪ̟ n tʰ ɹ̩
center	s ɪ̟ ɾ̃ ɚ
center	s ɪ̟ ɾ̃ ɹ̩
central	s ɛ̟ n t ɹ̝̊ ə l
central	s ɛ̟ n t ɹ̝̊ l̩
central	s ɪ̟ n t ɹ̝̊ ə l
central	s ɪ̟ n t ɹ̝̊ l̩
centrality	s ɛ n t ɹ æ l ə ɾ i
centre	s ɛ n tʰ ɚ
centre	s ɛ n tʰ ɹ̩
centre	s ɛ ɾ̃ ɚ
centre	s ɛ ɾ̃ ɹ̩
centre	s ɪ̟ n tʰ ɚ
centre	s ɪ̟ n tʰ ɹ̩
centre	s ɪ̟ ɾ̃ ɚ
centre	s ɪ̟ ɾ̃ ɹ̩
centres	s ɪ ɾ̃ ɚ z
centricity	s ɛ n t ɹ ɪ s ɪ ɾ i
centrum	s ɛ̟ n t ɹ̝̊ ə m
centrum	s ɛ̟ n t ɹ̝̊ m̩
centrum	s ɪ̟ n t ɹ̝̊ ə m
centrum	s ɪ̟ n t ɹ̝̊ m̩
ceramah	t͡ʃ ə ɹ a m ʌ
certainly	s ɝ ʔ n̩ l i
certamen	k ɛ ɹ t ɑː m ɛ n
certification	s ɝ ɾ ɪ f ɪ k e ɪ ʃ ə n
certify	s ɝ ɾ ɪ f a ɪ
chair	t͡ʃ eː ɹ
chair	t͡ʃ ɛː ɹ
chalcanthite	kʰ æ ɫ kʰ ɛ͡ə n θ ʌ ɪ t̚
chalcanthite	~ kʰ e͡ə n ~
chamber	t͡ʃʰ e ɪ̯ m b ɚ
chamber	t͡ʃʰ e ɪ̯ m b ɹ̩
chamberlain	t͡ʃʰ e ɪ̯ m b ɚ l ɪ n
chamfer	t͡ʃ ɛ ə m f ɚ
chance	t͡ʃʰ æ n s
chance	t͡ʃʰ a n s
chance	t͡ʃʰ e ə̯ n s
chance	t͡ʃʰ ɛ ə̯ n s
chance	t͡ʃʰ eː n s
Chance	t͡ʃʰ ɛ ə n s ~ t͡ʃʰ e ə n s
Chance	t͡ʃʰ æ n s ~ t͡ʃʰ a n s
change	t͡ʃʰ e ɪ̯ n d͡ʒ
chank	t͡ʃʰ e ɪ̯ ŋ k
chank	t͡ʃʰ ɛ̃ ŋ k
channel	t͡ʃ æ n ə l
channel	t͡ʃ æ n l̩
channel	t͡ʃ e ə̯ n ə l
channel	t͡ʃ e ə̯ n l̩
channel	t͡ʃ ɛ ə̯ n ə l
channel	t͡ʃ ɛ ə̯ n l̩
chaotic	k e ɪ ɑ ɾ ɪ k
chaparral	ʃ æ p ɚ ɹ æ l
chaparral	ʃ æ p ɚ æ l
chaparral	ʃ æ p ɚ ɹ ɛ l
chaparral	ʃ æ p ɚ ɛ l
chapel	t͡ʃ æ p ə ɫ
chapel	t͡ʃ æ p ɫ̩
char	t͡ʃ ɑ ɹ
char	t͡ʃ ɑ ˞
char	t͡ʃ a ɹ
char	t͡ʃ a ˞
char	t͡ʃ ɑ ɹ
char	t͡ʃ ɑ ˞
char	t͡ʃ ɑ ɹ
char	t͡ʃ ɑ ˞
characteristic	kʰ æ ɹ ə k t ə ɹ ɪ s t ɪ k
charcuterie	ʃ ɑ ɹ k u ɾ ə ɹ i
charge	t͡ʃʰ ɑ ɹ d͡ʒ
charitable	t͡ʃ æ ɹ ə ɾ ə b ɫ̩
charitable	t͡ʃ æ ɹ ɾ ə b ɫ̩
charitable	t͡ʃ ɛ ɹ ə ɾ ə b ɫ̩
charitable	t͡ʃ ɛ ɹ ɾ ə b ɫ̩
charity	t͡ʃ ɛ ɹ ə ɾ i
charity	t͡ʃ æ ɹ ə ɾ i
charnel	t ʃ ɑː ɹ n ə l
chastity	t͡ʃ æ s t ɪ ɾ i
Chattanooga	t͡ʃ æ ɾ ə n u ɡ ə
chatted	t͡ʃ æ ɾ ɨ d
chatty	t͡ʃ æ ɾ i
chaver	h ɑ v ɛ ɹ
chayav	x a j a v
cheap	t͡ʃʰ ɪ i̯ p
cheat	t͡ʃʰ ɪ i̯ t
cheated	t͡ʃ i ɾ ɨ d
Chechnya	t͡ʃ ɛ t ʃ ɲ i ə
check	t͡ʃʰ ɛ k̚
child	t͡ʃʰ a ɪ̯ ɫ d
child	t͡ʃʰ aː l d
chiliastic	kʰ ɪ ɫ i æ s t ɪ k
chiller	t͡ʃʰ ɪ l ɚ
chiller	t͡ʃʰ ɪ l ɹ̩
chin	t͡ʃʰ ɪ n
China	t͡ʃʰ a ɪ̯ n ə
China	t͡ʃ a ɪ̯ n ə
china	t͡ʃʰ a ɪ̯ n ə
Chinaman	t͡ʃʰ a ɪ̯ n ə m ɪ̽ n
chip	t͡ʃʰ ɪ p
chipmunk	t̠͡ʃ ɪ ʔ m ʌ ŋ k
chitterlings	t͡ʃ ɪ ɾ ɚ l ɪ ŋ z
chorea	kʰ ɵ ɹ i ə
chortle	t͡ʃ ɔ ɹ ɾ ɫ̩
chubby	t͡ʃʰ ʌ̈ b i
chubby	t͡ʃʰ ɜ b i
chutzpah	χ ʊ t s p ə
chutzpah	h ʊ t s p ə
cicada	s ɪ̈ kʰ e ɪ̯ ɾ ə
cicada	s ɪ̈ kʰ ɑ ɾ ə
cinder	s ɪ̟ n d ɚ
cinder	s ɪ̟ n d ɹ̩
cital	s a ɪ d l̩
citation	s a ɪ tʰ e ɪ ʃ n̩
cited	s ɐ ɪ̯ ɾ ɪ d
cited	s ɐ ɪ̯ ɾ ə d
Citian	s ɪ ɾ i ə n
citing	s a ɪ̯ ɾ ɪ ŋ
city	s ɪ tʰ iː
city	s ɪ tʰ ɪ j
city	s ɪ ʔ ɪ j
city	s ɪ ɾ i
city	s i ɾ iː
city	s ɪ ɾ iː
city	s ɪ ʔ e
city	s ɪ tʰ e
city	s ɪ ʔ ɪ
city	s ɪ tʰ ɪ
city	s ɪ ʔ i
city	s ɪ tʰ i
civilian	s ɪ v ɪ l j n̩
Claire	kʰ l̥ ɛ ɚ
Claire	kʰ l̥ ɛ ɹ̩
Claire	k l̥ e ɹ
clam	k l e ə m
clam	k l ɛ ə m
clamming	k l a m ɘ n
clamp	kʰ l æ m p
clamp	kʰ l e ə̯ m p
clamp	kʰ l ɛ ə̯ m p
clang	kʰ l æ ŋ
clang	kʰ l e ɪ̯ ŋ
clang	kʰ l ɛ̃ ŋ
clank	kʰ l̥ e ɪ̯ ŋ k
clank	kʰ l̥ ɛ̃ ŋ k
clanker	kʰ l̥ æ ŋ k ɚ
clanker	kʰ l̥ e ɪ̯ ŋ k ɚ
clanker	kʰ l̥ ɛ̃ ŋ k ɚ
clarity	k l ɛ ɹ ə ɾ i
clash	kʰ l̥ æ ʃ
classical	k l æ s ɪ k ɫ̩
classmate	k l æ s m e ɪ t
clatter	k l æ ɾ ɹ̩
clay	k l̥ e ɪ
clean	kʰ l̥ ĩː n
cleanup	kʰ l iː n ʌ p
clear	kʰ l ɪ ɚ
clear	kʰ l ɪ ɹ̩
clear	k l iː ɹ
clearance	kʰ l ɪ ɚ ə n s
clearance	kʰ l ɪ ɹ̩ n̩ s
cleave	kʰ l̥ ɪ i̯ v
cleft	kʰ l̥ ɛ f t
click	kʰ l̥ ɪ k
clientele	k l a ɪ n̩ t ɛ l
clientèle	k l a ɪ n̩ t ɛ l
clientelism	k l a ɪ ə n t ɛ l ɪ z m̩
clientelism	k l a ɪ n̩ t ɛ l ɪ z m̩
clientelist	k l a ɪ n̩ t ɛ l ɪ s t
clientelist	k l i n̩ t ɛ l ɪ s t
cliff	kʰ l̥ ɪ f
climb	kʰ l̥ a ɪ̯ m
climber	kʰ l̥ a ɪ̯ m ɚ
climber	kʰ l̥ a ɪ̯ m ɹ̩
Clinton	k l ɪ n ʔ n̩
Clinton	k l ɪ n ʔ ə n
clip	kʰ l̥ ɪ p
clipper	kʰ l̥ ɪ p ɚ
clipper	kʰ l̥ ɪ p ɹ̩
clit	kʰ l̥ ɪ t
close	kʰ l̥ o ʊ̯ z
close	kʰ l̥ ɔ ʊ̯ z
cloud	kʰ l̥ a ʊ̯ d
cloud	kʰ l̥ æ ʊ̯ d
cloudy	kʰ l a ʊ̯ d ɪ i̯
cloudy	k l a ʊ̯ ɾ iː
cloudy	kʰ l a ʊ̯ ɾ ɪ i̯
cloudy	kʰ l a ʊ̯ d ɪ i̯
clout	k l ʌ ʊ t
clumb	kʰ l̥ ʌ m
clutch	kʰ l̥ ʌ t͡ʃ
clutter	k l ʌ ɾ ɚ
coach	kʰ o ʊ̯ t͡ʃ
coal	kʰ o ɫ
coarse	kʰ o̞ ɹ s
coat	kʰ o ʊ̯ t
coated	kʰ o ʊ̯ ɾ ɨ d
coating	kʰ o ʊ̯ ɾ ɪ ŋ
coatings	kʰ o ʊ̯ ɾ ɪ ŋ z
cobble	k ɑ b l̩
coccus	kʰ ɑ k ə s
coconut	kʰ o ʊ̯ k ə n ʌ t
codify	k ɑ ɾ ɪ f a ɪ
codify	k o ʊ ɾ ɪ f a ɪ
cognitive	k ɑ ɡ n ɪ ɾ ɪ v
cognitively	k ɑ ɡ n ɪ ɾ ɪ v l i
cohort	kʰ o ʊ̯ h ɔ ɹ t
coliseum	kʰ ɒ l ə s iː ə m
coliseum	k ɒ l ə s iː ə m
coliseum	kʰ ɑ ɫ ə s i ə m
coliseum	kʰ ɔ l ə s ɪ j ə m
collaboration	kʰ ə l æ b ə ɹ e ɪ̯ ʃ ə n
collectivism	k ə l ɛ k t ə v ɪ z m̩
colon	kʰ ɔ ɫ n̩
colonel	k ɝ n l̩
colonelcy	kʰ ɚ n l̩ s i
Colton	kʰ o ʊ̯ l tʰ ə n
Colton	kʰ o ʊ̯ l tʰ n
Colton	kʰ o ʊ̯ l ʔ n̩
combinator	k ɑ m b ɪ n e ɪ ɾ ɚ
combustible	k ə ɱ b ʌ s tʰ ə b ə l
combustible	k ə ɱ b ʌ s tʰ ə b l̩
combustion	k ə ɱ b ʌ s t͡ʃʰ ə n
combustion	k ə ɱ b ʌ s t͡ʃʰ n̩
come	kʰ ʌ m
comeback	kʰ ʌ m b æ k
comfort	kʰ ɐ ɱ f ɚ t
comfortability	k ə m f ɚ ɾ ə b ɪ l ə ɾ i
comfortable	k ɵ̠ m f ə ɹ̠ θ̠ ə b ə l
comfortable	k ɵ̠ m f ə ɹ̠ θ̠ ə b l
comforter	kʰ ʌ ɱ f ɚ ɾ ɚ
comfy	kʰ ʌ ɱ f i
comfy	kʰ ʌ m p f i
committed	k ə m ɪ ɾ ɪ d
committed	k ə m ɪ ɾ ə d
communicator	k ə m j u n ɪ k e ɪ ɾ ɚ
communism	k ɑ m j u n ɪ z m̩
communism	k ɑ m j ə n ɪ z m̩
community	k ə m j u n ə ɾ i
community	k m j u n ə ɾ i
comorbidity	k o ʊ m o ɹ b ɪ ɾ ɪ ɾ i
comparable	kʰ ɑ m pʰ ɚ ə b ə l
comparable	kʰ ɑ m pʰ ɹ̩ ə b l̩
comparable	k ə m p ɛ ɹ ə b ə l
comparable	k ə m p ɛ ɹ ə b l̩
comparable	k ə m p æ ɹ ə b ə l
comparable	k ə m p æ ɹ ə b l̩
compare	k ə m p ɛ ɚ
compare	k ə m p ɛ ɹ
compare	k ə m p e ɚ
compare	k ə m p e ɹ
compatibility	k ə m p æ ɾ ə b ɪ l ə ɾ i
compatible	k m̩ p æ t ə b l̩
competitive	k ə m p ɛ ɾ ɪ t ɪ v
competitive	k ə m p ɛ ɾ ə t ɪ v
competitive	k ə m p ɛ ɾ ə ɾ ɪ v
complicated	k ɑ m p l ɪ k e ɪ ɾ ɪ d
compose	k ə m p ɐ ʉ z
computer	k ə m p j u ɾ ɚ
concentrated	k ɑ n s ə n t ɹ e ɪ ɾ ɪ d
concoct	kʰ ə ŋ kʰ ɒ k t
Concorde	kʰ ɑ̃ ŋ k ɔ ɹ d̥
concrete	k ɑ ŋ k ɹ iː t
concrete	k ɑ ŋ k ɹ iː t
conditioner	k ə n d ɪ ʃ n ɚ
confer	kʰ ə̥ ɱ f ɝ
conference	kʰ ɑ ɱ f ɹ ə n s
conference	kʰ ɑ ɱ f ɹ n̩ s
confidence	k ɔ̟ n f ə d ə n s
confident	kʰ ɑ ɱ f ə d ə n t
confirmation	kʰ ɑ ɱ f ɚ m e ɪ ʃ n̩
conjecture	kʰ ə n d͡ʒ ɛ k t͡ʃ ɚ
conjecture	kʰ ə n d͡ʒ ɛ k t͡ʃ ɹ̩
Connecticut	k ə n ɛ ɾ ɪ k ə t
conservancy	k ə n s ɝ v ə n s ɪ
conservator	k ə n s ɝ v ə ɾ ɚ
consider	k ə n s ɪ ɾ ɚ
consider	k n̩ s ɪ ɾ ɚ
consoler	kʰ ə n s o ʊ̯ l ɚ
consortium	k ə n s o ɹ ɾ i ə m
constellation	k ɑ n s t ə l e ɪ ʃ n̩
