Ааӷәа	aː ʁʷ a
фабҙаҭә	f a b ʑ a tʰʷ
фагьыӷа	f a ɡʲ ə ʁ a
фаиада	f a j a d a
фалааԥԯа	f a l aː pʰ ɬ a
фау	f a w ə
фауаакьа	f a w aː kʼʲ a
фашаԥш	f a ʂ a pʰ ʂ
фашь	f a ʃ
фашьеиа	f a ʃ e̞ j a
фашьишьа	f a ʃ ə j ʃ a
фаҟ	f a qʼ
фаҟәа	f a qʼʷ a
фаҟәаҭәыџь	f a qʼʷ a tʰʷ ə d ʒ
фаҟәаԯьа	f a qʼʷ a ɬʼ a
фаҵьа	f a t ɕʼ a
фаҵьабзы	f a t ɕʼ a b z ə
фаҵьаԥшьаҭхә	f a t ɕʼ a pʰ ʃ a tʰ χʷ
фаҷа	f a t ʃʼ a
фаҷаҭә	f a t ʃʼ a tʰʷ
фаҷы	f a t ʃʼ ə
фаԥха	f a pʰ χ a
фаԥхьа	f a pʰ χʲ a
фаԥԯа	f a pʰ ɬ a
фицар	f i t sʰ a r
франгьбза	f r a n ɡʲ b z a
фы	f ə
фым	f ə m
фырыџьан	f ə r ə d ʒ a n
фыҽы	f ə ʈ ʂʰ ə
фыӷәа	f ə ʁʷ a
х'абзы	χˤ a b z ə
х'ашь	χˤ a ʃ
х'ыцәа	χˤ ə t ɕʰʷ a
х'әа	χˤʷ a
хааҫа	χ aː ɕ a
хааҭа	χː a tʰ a
хазына	χ a z ə n a
хаироон	χ a j r o̞ː n
хандық	χ a n d ə kʰ
ханым	χ a n ə m
хапрааҫәа	χ a pʼ r aː ɕʷ a
хау	χ a w
хаџы	χ a ɖ ʐ ə
хьаакә	χʲ aː kʼʷ
хәарыш	χʷ a r ə ʂ
хәорош	χʷ o̞ r o̞ ʂ
ца	t sʰ a
цагәа	t sʰ a ɡʷ a
цадӷоҫәа	t sʰ a d ʁ o̞ ɕʷ a
цакьы	t sʰ a kʼʲ ə
цакьыԯафа	t sʰ a kʼʲ ə ɬ a f a
цалаӷ'әа	t sʰ a l a ʁˤʷ a
цамха	t sʰ a m x a
цанхәыреи	t sʰ a n χʷ ə r e̞ j
цанцахәа	t sʰ a n t sʰ χʷ a
цанцышь	t sʰ a n t sʰ ə ʃ
цаны	t sʰ a n ə
цаныб'а	t sʰ a n ə bˤ a
цаныпҟьа	t sʰ a n ə pʼ qʼʲ a
цанышә	t sʰ a n ə ʃʷ
цанышәкәы	t sʰ a n ə ʃʷ kʼʷ ə
цанышәышә	t sʰ a n ə ʃʷ ə ʃʷ
цанҭха	t sʰ a n tʰ χ a
цахь	t sʰ a χʲ
цаца	t sʰ a t sʰ a
цаҟ'	t sʰ a qˤʼ
цаҭхәы	t sʰ a tʰ χʷ ə
цаӄ'аԥ'ы	t sʰ a qˤ a pˤʰ ə
цаӷа	t sʰ a ʁ a
цаԥҫаб'ҟа	t sʰ a pʰ ɕ a bˤ qʼ a
цаԥҫагәыҟа	t sʰ a pʰ ɕ a ɡʷ ə qʼ a
цынцахәеи	t sʰ ə n t sʰ χʷ e̞ j
цышх	t sʰ ə ʂ χ
ць	t ɕʰ
цьа	t ɕʰ a
цьал	t ɕʰ a l
цьахь	t ɕʰ a χʲ
цьаца	t ɕʰ a t sʰ a
цьх'	t ɕʰ χˤ
цьхы	t ɕʰ x ə
цьыхатәа	t ɕʰ ə χ a tʼʷ a
цьыцьа	t ɕʰ ə t ɕʰ a
цьыҟ'	t ɕʰ ə qˤʼ
цәа	t ɕʰʷ a
цәаабӷа	t ɕʰʷ aː b ʁ a
цәааԥа	t ɕʰʷ aː pʰ a
цәабжь	t ɕʰʷ a b ʒ
цәабҙа	t ɕʰʷ a b ʑ a
цәагьыцәаб'а	t ɕʰʷ a ɡʲ ə t ɕʰʷ a bˤ a
цәагьыҭә	t ɕʰʷ a ɡʲ ə tʰʷ
цәада	t ɕʰʷ a d a
цәадыҟәашәа	t ɕʰʷ a d ə qʼʷ a ʃʷ a
цәадыҟәаҟа	t ɕʰʷ a d ə qʼʷ a qʼ a
цәажәа	t ɕʰʷ a ʒʷ a
цәала	t ɕʰʷ a l a
цәамааџьа	t ɕʰʷ a m aː d ʒ a
цәамыӷаатәа	t ɕʰʷ a m ə ʁ aː tʼʷ a
цәамӷьа	t ɕʰ o m ʁ e
цәафаӡьа	t ɕʰʷ a f a d ʑ a
цәаха	t ɕʰʷ a x a
цәахааҭа	t ɕʰʷ a χ aː tʰ a
цәаш	t ɕʰʷ a ʂ
цәашаӷ	t ɕʰʷ a ʂ a ʁ
цәашх	t ɕʰʷ a ʂ χ
цәашәадады	t ɕʰʷ a ʃʷ a d a d ə
цәаџьа	t ɕʰʷ a d ʒ a
цәаҟ'ына	t ɕʰʷ a qˤʼ ə n a
цәаҟа	t ɕʰʷ a qʼ a
цәаҟәа	t ɕʰʷ a qʼʷ a
цәаҷа	t ɕʰʷ a t ʃʼ a
цәаӡьа	t ɕʰʷ a d ʑ a
цәаӷ'әы	t ɕʰʷ a ʁˤʷ ə
цәаӷ'әыҫәа	t ɕʰʷ a ʁˤʷ ə ɕʷ a
цәаӷ'әыԥԯы	t ɕʰʷ a ʁˤʷ ə pʰ ɬ ə
цәаӷәа	t ɕʰʷ a ʁʷ a
цәаԯа	t ɕʰʷ a ɬ a
цәаԯабжьа	t ɕʰʷ a ɬ a b ʒ a
цәеи	t ɕʰʷ e̞ j
цәиа	t ɕʰʷ ə j a
цәу'ҟәа	t ɕʰʷ ə wˤ qʼʷ a
цәуԥҫ	ɕʷ uː pʰ ɕ e
цәх'а	t ɕʰʷ χˤ a
цәы	t ɕʰʷ ə
цәыбана	t ɕʰʷ ə b a n a
цәыбжьы	t ɕʰʷ ə b ʒ ə
цәымӷь	t ɕʰʷ ə m ʁʲ
цәымӷьы	t ɕʰʷ ə m ʁʲ ə
цәынҭа	t ɕʰʷ ə n tʰ a
цәыцы	t ɕʰʷ ə t sʰ ə
цәыҙа	t ɕʰʷ ə ʑ a
цәықәа	t ɕʰʷ ə kʰʷ a
ч	t ʃʰ
ча	t ʃʰ a
чаасӄәа	t ʃʰ aː s qʷ a
чаахьа	t ʃʰ aː χʲ a
чааҭа	t ʃʰ aː tʰ a
чааҭәа	t ʃʰ aː tʰʷ a
чааԯа	t ʃʰ aː ɬ a
чабӷьас	t ʃʰ a b ʁʲ a s
чадыр	t ʃʰ a d ə r
чамагь	t ʃʰ a m a ɡʲ
чамбыл	t ʃʰ a m b ə l
чарх	t ʃʰ a r χ
часԯаӄ	t ʃʰ a s ɬ a q
чатәаҟа	t ʃʰ a tʼʷ a qʼ a
чах'ә	t ʃʰ a χˤʷ
чашаҫәа	t ʃʰ a ʂ a ɕʷ a
чаџьы	t ʃʰ a d ʒ ə
чаҙәатәа	t ʃʰ a ʑʷ a tʼʷ a
чақәыца	t ʃʰ a kʰʷ ə t sʰ a
чаҭра	t ʃʰ a tʰ r a
чаӡьа	t ʃʰ a d ʑ a
чаӷьа	t ʃʰ a ʁʲ a
чаԥс	t ʃʰ a pʰ s
чаԥҫы	t ʃʰ a pʰ ɕ ə
чаԯмыӄ	t ʃʰ a ɬ m ə q
чуаауа	t ʃʰ ə w aː w a
чуана	t ʃʰ ə w a n a
чы	t ʃʰ ə
чыбахахоу	t ʃʰ ə b a χ a χ o̞ w
чыбжьиа	t ʃʰ ə b ʒ ə j a
чыгьыблы	t ʃʰ ə ɡʲ ə b l ə
чыгьыс	t ʃʰ ə ɡʲ ə s
чыда	t ʃʰ ə d a
чыдаҟәы	t ʃʰ ə d a qʼʷ ə
чыдыӄ'а	t ʃʰ ə d ə qˤ a
чынчоу	t ʃʰ ə n t ʃʰ o̞ w
чынҭәа	t ʃʰ ə n tʰʷ a
чысы	t ʃʰ ə s ə
чыу'ҟ'әа	t ʃʰ ə wˤ qˤʼʷ a
чыфа	t ʃʰ ə f a
чыфаҷаҭәшәа	t ʃʰ ə f a t ʃʼ a tʰʷ ʃʷ a
чыца	t ʃʰ ə t sʰ a
чычаҟа	t ʃʰ ə t ʃʰ a qʼ a
чышақәа	t ʃʰ ə ʂ a kʰʷ a
чықә	t ʃʰ ə kʰʷ
чыҟ'әы	t ʃʰ ə qˤʼʷ ə
чыҟ'әыҭәаны	t ʃʰ ə qˤʼʷ ə tʰʷ a n ə
чыҟ'әыԯах	t ʃʰ ə qˤʼʷ ə ɬ a χ
чыҟа	t ʃʰ ə qʼ a
чыҟәаҷоу	t ʃʰ ə qʼʷ a t ʃʼ o̞ w
чыҷаԯ	t ʃʰ ə t ʃʼ a ɬ
чыҿаԯ	t ʃʰ ə ʈ ʂʼ a ɬ
чыӄәымаала	t ʃʰ ə qʷ ə m aː l a
чыӡа	t ʃʰ ə d z a
чыӡадәа	t ʃʰ ə d z a dʷ a
чыӡьа	t ʃʰ ə d ʑ a
чыԥааԥа	t ʃʰ ə pʰ aː pʰ a
чыԥшьыкь	t ʃʰ ə pʰ ʃ ə kʼʲ
шанҭәа	ʂ a n tʰʷ a
шашаԥш	ʂ a ʂ a pʰ ʂ
шаҳар	ʂ a h a r
шаԥсоу	ʂ a pʰ s a w
шьаршьаф	ʃ a r ʃ a f
шьақьар	ʃ a kʰʲ a r
шьха	ʃ x a
шьхаҟа	ʃ x a qʼ a
шьхы	ʃ χ ə
шьхыӷәыны	ʃ x ə ʁʷ ə n ə
шьыных	ʃ ə n ə χ
шьыԯа	ʃ ə ɬ a
шәаӄафа	ʃʷ a q a f a
шәеицәа	ʃʷ e̞ j t ɕʰʷ a
шәыҟа	ʃʷ ə qʼ a
шәыҭне	ʃʷ y tʰ n e̞
џ	ɖ ʐ
џамиа	ɖ ʐ a m ə j a
џанаса	ɖ ʐ ä n ä s ä
џарӷа	ɖ ʐ a r ʁ a
џеваб	ɖ ʐ e v a b
џьа	d ʒ a
џьааӷа	d ʒ aː ʁ a
џьабиа	d ʒ a b ə j a
џьагьа	d ʒ a ɡʲ a
џьагьыс	d ʒ a ɡʲ ə s
џьадыӷаӡьа	d ʒ a d ə ʁ a d ʑ a
џьаз	d ʒ a z
џьаиаџь	d ʒ a j a d ʒ
џьан	d ʒ a n
џьарма	d ʒ a r m a
џьатә	d ʒ a tʼʷ
џьауџь	d ʒ a w ə d ʒ
џьаӷ	d ʒ a ʁ a
џьаӷа	d ʒ a ʁ a
џьаӷәа	d ʒ a ʁʷ a
џьаӷәах	d ʒ a ʁʷ a χ
џьаӷәашәа	d ʒ a ʁʷ a ʃʷ a
џьаӷәаӷәы	d ʒ a ʁʷ a ʁʷ ə
џьаԥхьа	d ʒ a pʰ χʲ a
џьаԥхьагьыӡа	d ʒ a pʰ χʲ a ɡʲ ə d z a
џьаԥхьаташә	d ʒ a pʰ χʲ a tʼ a ʃʷ
џьаԥԯаџь	d ʒ a pʰ ɬ a d ʒ
џьы	d ʒ ə
џьыба	d ʒ ə b a
џьыбаҭа	d ʒ ə b a tʰ a
џьыбзы	d ʒ ə b z ə
џьыгәындыр	d ʒ ə ɡʷ ə n d ə r
џьыи	d ʒ ə j ə
џьыиԥха	d ʒ ə j ə pʰ χ a
џьыца	d ʒ ə t sʰ a
џьыцьа	d ʒ ə t ɕʰ a
џьыџьаӷа	d ʒ ə d ʒ a ʁ a
џьыџьаӷагьыҭә	d ʒ ə d ʒ a ʁ a ɡʲ ə tʰʷ
џьыҟ	d ʒ ə qʼ
џьыԯа	d ʒ ə ɬ a
џьыԯагьыӡа	d ʒ ə ɬ a ɡʲ ə d z a
џьыԯаташә	d ʒ ə ɬ a tʼ a ʃʷ
џьыԯацаца	d ʒ ə ɬ a t sʰ a t sʰ a
џьыԯаӷажә	d ʒ ə ɬ a ʁ a ʒʷ
Ҙәаӷьооҟаԯа	ʑʷ a ʁʲ o̞ː qʼ a ɬ a
Ҙәыда	ʑʷ ə d a
ҙаҙа	ʑ a ʑ a
ҙаҙаакьа	ʑ a ʑ aː kʼʲ a
ҙынгәа	ʑ ə n ɡʷ a
ҙынгәаабӷьа	ʑ ə n ɡʷ aː b ʁʲ a
ҙынҭу	ʑ ə n tʰ ə w
ҙәа	ʑʷ a
ҙәабаӡьы	ʑʷ a b a d ʑ ə
ҙәаӡы	ʑʷ a d z ə
ҙәаӡыбзы	ʑʷ a d z ə b z ə
ҙәаӡьа	ʑʷ a d a
ҙәаӷа	ʑʷ a ʁ a
ҙәымҵа	ʑʷ ə m t sʼ a
ҙәымҵаԥԯы	ʑʷ ə m t sʼ a pʰ ɬ ə
Қаламаҭ	kʰ a l a m a tʰ
Қәышьықә	kʰʷ ə ʃ ə kʰʷ
қамԥ	kʰ a m pʰ
қаса	kʰ a s a
қауар	kʰ a w a r
қефҽы	kʰ e̞ f ʈ ʂʰ ə
қилиса	kʰ i l i s a
қоза	kʰ o z a
қьааҳаҭ	kʰʲ aː h a tʰ
қьаӷ	kʰʲ a ʁ
қьаԥоу	kʰʲ a pʰ o̞ w
қьир	kʰʲ i r
қьои	kʰʲ o̞ j
қьыныҫәа	kʰʲ ə n ə ɕʷ a
қәабжа	kʰʷ a b ʐ a
қәы	kʰʷ ə
қәыԯамыџь	kʰʷ ə ɬ a m ə d ʒ
Ҟамлаҭ	qʼ a m l a tʰ
Ҟасеҭшәабла	qʼ a s e̞ tʰ ʃʷ a b l a
ҟ'аб'агьы	qˤʼ a bˤ a ɡʲ ə
ҟ'аб'цәа	qˤʼ a bˤ t ɕʰʷ a
ҟ'амаҟ'	qˤʼ a m a qˤʼ
ҟ'анӡаҟ'ә	qˤʼ a n d z a qˤʼʷ
ҟ'әы	qˤʼʷ ə
ҟ'әызаҷы	qˤʼʷ ə z a t ʃʼ ə
ҟаапа	qʼ aː pʼ a
ҟааҭа	qʼ aː tʰ a
ҟада	qʼ a d a
ҟапа	qʼ a pʼ a
ҟасаба	qʼ a s a b a
ҟасеҭбза	qʼ a s e̞ tʰ b z a
ҟауа	qʼ a w a
ҟауж	qʼ a w ə ʐ
ҟашха	qʼ a ʂ χ a
ҟашхауаԯ	qʼ a ʂ χ a w a ɬ
ҟаԯьа	qʼ a ɬʼ a
ҟынҭәа	qʼ ə n tʰʷ a
ҟьыҵә	qʼʲ ə t ɕʼʷ
ҟьыҵәҟа	qʼʲ ə t ɕʼʷ qʼ a
ҟәарыҵәа	qʼʷ a r ə t ɕʼʷ a
ҟәау	qʼʷ a w ə
Ҫоуԯьыхә	ɕ o̞ w ɬʼ ə χʷ
ҫа	ɕ a
ҫаба	ɕ a b a
ҫыҫы	ɕ ə ɕ ə
ҫәаны	ɕʷ a n ə
ҫәаԯа	ɕʷ a ɬ a
ҫәымб'а	ɕʷ ə m bˤ a
ҫәыҟа	ɕʷ ə qʼ a
Ҭырқәшәабла	tʰ ə r kʰʷ ʃʷ a b l a
ҭабақа	tʰ a b a kʰ a
ҭалмашь	tʰ a l m a ʃ
ҭамӷа	tʰ a m ʁ a
ҭашьмыҟ'ә	tʰ a ʃ m ə qˤʼʷ
ҭаҟәысаҫ	tʰ a qʼʷ ə s a ɕ
ҭаҳҭабиҭ	tʰ a h tʰ a b ə j tʰ
ҭаӄым	tʰ a q ə m
ҭемам	tʰ e̞ m a m
ҭенџере	tʰ e̞ n ɖ ʐ e̞ r e̞
ҭорба	tʰ ɔ r b a
ҭоу	tʰ a w
ҭохҭеи	tʰ o̞ χ tʰ e̞ j
ҭоԥ	tʰ o̞ pʰ
ҭоԥҽы	tʰ o̞ pʰ ʈ ʂʰ ə
ҭрамуаи	tʰ r a m w a j
ҭуҭун	tʰ u tʰ u n
ҭхамааҭа	tʰ χ a m aː tʰ a
ҭхоу	t x a w
ҭырқә	tʰ ə r kʰʷ
ҭырқәбза	tʰ ə r kʰʷ b z a
ҭырҟә	tʰ ə r qʼʷ
ҭыҭ	tʰ ə tʰ
ҭыҭб'ыҟә	tʰ ə tʰ b ə qˤʼʷ
ҭыҭгьыбӷы	tʰ ə tʰ ɡʲ ə b ʁ ə
ҭыҭлеишәа	tʰ ə tʰ l a j ʃʷ a
ҭыҭышь	tʰ ə tʰ ə ʃ
ҭәахыбза	tʰʷ a χ ə b z a
Ҳанашхә	h a n a ʂ χʷ
Ҳанаҫә	ħ a n a ɕʷ
ҳаб	h a b
ҳазнадар	h a z n a d a r
ҳазыр	h a z ə r
ҳаи	ħ a j
ҳаиуан	h a j w a n
ҳалаиқ	h a l a j ə kʰ
ҳалы	h a l ə
ҳарам	h a r a m
ҳауз	h a w ə z
ҳедиа	h e̞ d ə j a
ҳем	h e m
ҳилеҟаӷ	h i l e̞ qʼ a ʁ
ҳисар	h ə j s a r
ҳоџа	h o̞ ɖ ʐ a
ҳында	h ə n d a
ҳырқьа	h ə r kʰʲ a
ҵа	t sʼ a
ҵааӷа	t sʼ aː ʁ a
ҵатәа	t sʼ a tʼʷ a
ҵаҟә	t sʼ a qʼʷ
ҵаҭәа	t sʼ a tʰʷ a
ҵаԥа	t sʼ a pʰ a
ҵаԥха	t sʼ a pʰ χ a
ҵына	t sʼ ə n a
ҵышха	t sʼ ə ʂ χ a
ҵыҭәа	t sʼ ə tʰʷ a
ҵьа	t ɕʼ a
ҵьаапҟьа	t ɕʼ aː pʼ qʼʲ a
ҵьада	t ɕʼ a d a
ҵьаста	t ɕʼ a s tʼ a
ҵьашь	t ɕʼ a ʃ
ҵьашә	t ɕʼ a ʃʷ
ҵьаӡьаӡьа	t ɕʼ a d ʑ a d ʑ a
ҵьыкь	t ɕʼ ə kʼʲ
ҵьынӡьа	t ɕʼ ə n d ʑ a
ҵьынӡьаҟа	t ɕʼ ə n d ʑ a qʼ a
ҵьыҫы	t ɕʼ ə ɕ ə
ҵәа	t ɕʼʷ a
ҵәанажь	t ɕʼʷ a n a ʒ
ҵәанкь	t ɕʼʷ a n kʼʲ
ҵәанҭа	t ɕʼʷ a n tʰ a
ҵәаца	t ɕʼʷ a t sʰ a
ҵәаҫа	t ɕʼʷ a ɕ a
ҵәаҵә	t ɕʼʷ a t ɕʼʷ
ҵәаҵәы	t ɕʼʷ a t ɕʼʷ ə
ҵәынҭоу	t ɕʼʷ ə n tʰ o̞ w
ҵәыԥшьыкь	t ɕʼʷ ə pʰ ʃ ə kʼʲ
ҷа	t ʃʼ a
ҷаацәа	t ʃʼ aː t ɕʰʷ a
ҷааҷа	t ʃʼ aː t ʃʼ a
ҷааӡа	t ʃʼ aː d z a
ҷабзы	t ʃʼ a b z ə
ҷабҙауча	t ʃʼ a b ʑ a w ə t ʃʰ a
ҷагьиа	t ʃʼ a ɡʲ ə j a
ҷагьыс	t ʃʼ a ɡʲ ə s
ҷагьытә	t ʃʼ a ɡʲ ə tʼʷ
ҷагьытәас	t ʃʼ a ɡʲ ə tʼʷ a s
ҷагьыу	t ʃʼ a ɡʲ ə w ə
ҷагьыҟәа	t ʃʼ a ɡʲ ə qʼʷ a
ҷагьыҭә	t ʃʼ a ɡʲ ə tʰʷ
ҷакәа	t ʃʼ a kʼʷ a
ҷакәацәа	t ʃʼ a kʼʷ a t ɕʰʷ a
ҷалаҭә	t ʃʼ a ɡʲ ə tʰʷ
ҷапҟьа	t ʃʼ a pʼ qʼʲ a
ҷарыҷан	t ʃʼ a r ə t ʃʼ a n
ҷас	t ʃʼ a s
ҷахәа	t ʃʼ a χʷ a
ҷахәах	t ʃʼ a χʷ a χ
ҷацәа	t ʃʼ a t ɕʰʷ a
ҷашалацәа	t ʃʼ a ʂ a l a t ɕʰʷ a
ҷаҙы	t ʃʼ a ʑ ə
ҷаҟ	t ʃʼ a qʼ
ҷаҽа	t ʃʼ a ʈ ʂʰ a
ҷаӷ'а	t ʃʼ a ʁˤ a
ҷаӷа	t ʃʼ a ʁ a
ҷаӷәа	t ʃʼ a ʁʷ a
ҷаԥшьа	t ʃʼ a pʰ ʃ a
ҷаԥԯа	t ʃʼ a pʰ ɬ a
ҷоутәоу	t ʃʼ o̞ w tʼʷ o̞ w
ҷынҷаӷь	t ʃʼ ə n t ʃʼ a ʁʲ
ҷыркәа	t ʃʼ ə r kʼʷ a
ҷыча	t ʃʼ ə t ʃʰ a
ҷыҷаха	t ʃʼ ə t ʃʼ a x a
ҽады	ʈ ʂʰ a d ə
ҽадыҟа	ʈ ʂʰ a d ə qʼ a
ҽадыӄьа	ʈ ʂʰ a d ə qʲ a
ҽан	ʈ ʂʰ a n
ҽанҽаԥԯы	ʈ ʂʰ a n ʈ ʂʰ a pʰ ɬ ə
ҽаҟәы	ʈ ʂʰ a qʼʷ ə
ҽыгә	ʈ ʂʰ ə ɡʷ
ҽып	ʈ ʂʰ ə pʼ
ҽыфҭ	ʈ ʂʰ ə f tʰ
ҽыҟа	ʈ ʂʰ ə qʼ a
ҿа	ʈ ʂʼ a
ҿас	ʈ ʂʼ a s
ҿафа	ʈ ʂʼ a f a
ҿафау	ʈ ʂʼ a f a w ə
ҿафацакь	ʈ ʂʼ a f a t sʰ a kʼʲ
ҿахындаҟа	ʈ ʂʼ a χ ə n d a qʼ a
ҿашь	ʈ ʂʼ a ʃ
ҿаҟәаҭә	ʈ ʂʼ a qʼʷ a tʰʷ
ҿеиаҷа	ʈ ʂʼ e̞ j a t ʃʼ a
Ӄ'әыҟ'әышә	qˤʷ ə qˤʼʷ ə ʃʷ
Ӄурӏан	q u r ʔ a n
ӄ'ала	qˤ a l a
ӄ'ыԯы	qˤ ə ɬ ə
ӄ'әаӷ'ы	qˤʷ a ʁˤ ə
ӄа	q a
ӄабасӄа	q a b a s q a
ӄадифа	q a d i f a
ӄадыԯшәа	q a d ə ɬ ʃʷ a
ӄаз	q a z
ӄаиқ	q a j ə kʰ
ӄаиқџы	q a j ə kʰ ɖ ʐ ə
ӄаиҵәадыԯшәа	q a j t ɕʼʷ a d ə ɬ ʃʷ a
ӄалаҟа	q a l a qʼ a
ӄамчы	q a m t ʃʰ ə
ӄарар	q a r a r
ӄароу	q a r a w
ӄасы	q a s ə
ӄацәиа	q a t ɕʰʷ ə j a
ӄаџыӄ	q a ɖ ʐ ə q
ӄаҭыр	q a tʰ ə r
ӄырԥыз	q ə r pʰ ə z
ӄыҟа	q ə qʼ a
ӄәымаала	qʷ ə m aː l a
ӡ	d z
ӡа	d z a
ӡаахәа	d z aː χʷ a
ӡамӷа	d z a m ʁ a
ӡамӷьаша	d z a m ʁʲ a ʂ a
ӡамӷьаҷа	d z a m ʁʲ a t ʃʼ a
ӡамӷьаҷаԥӄы	d z a m ʁʲ a t ʃʼ a pʰ q ə
ӡана	d z a n a
ӡаҟәа	d z a qʼʷ a
ӡаҭә	d ʒ a tʰʷ
ӡаӷ'әа	d z a ʁˤʷ a
ӡаԥ'аш	d z a pˤʰ a ʂ
ӡьа	d ʑ a
ӡьаада	d ʑ aː d a
ӡьааԥха	d ʑ aː pʰ χ a
ӡьама	d ʑ a m a
ӡьамазаҟаала	d ʑ a m a z a qʼ aː l a
ӡьаны	d ʑ a n ə
ӡьаҫа	d ʑ a ɕ a
ӡьаӡь	d ʑ a d ʑ
ӡьаӡьааԥа	d ʑ a d ʑ aː pʰ a
ӡьаӡьбзааԥа	d ʑ a d ʑ b z aː pʰ a
ӡәа	d ʑʷ a
ӡәадашь	d ʑʷ a d a ʃ
ӡәадәа	d ʑʷ a dʷ a
ӡәашәа	d ʑʷ a ʃʷ a
ӡәаҟы	d ʑʷ a qʼ ə
ӡәаҟҟа	d ʑʷ a qʼ qʼ a
ӡәаҭа	d ʑʷ a tʰ a
ӡәаҭаҫа	d ʑʷ a tʰ a ɕ a
ӡәаӡәа	d ʑʷ a d ʑʷ a
ӡәаӡәагьыӡа	d ʑʷ a d ʑʷ a ɡʲ ə d z a
ӡәаԥшьа	d ʑʷ a pʰ ʃ a
ӡәоу	d ʑʷ o̞ w
ӡӷа	d z ʁ a
ӷ	ʁ
ӷ'	ʁˤ
ӷ'аанца	ʁˤ aː n t sʰ a
ӷ'аб'а	ʁˤ a bˤ a
ӷ'алу'а	ʁˤ a l wˤ a
ӷ'аца	ʁˤ a t sʰ a
ӷ'ача	ʁˤ a t ʃʰ a
ӷ'аҟа	ʁˤ a qʼ a
ӷ'ыԯа	ʁˤ ə ɬ a
ӷаанцәых	ʁ aː n t ɕʼʷ ə χ
ӷагәада	ʁ a ɡʷ a d a
ӷаз	ʁ a z
ӷакьа	ʁ a kʼʲ a
ӷала	ʁ a l a
ӷалаҵьафы	ʁ a l a t ɕʼ a f ə
ӷанча	ʁ a n t ʃʰ a
ӷатә	ʁ a tʼʷ
ӷау	ʁ a w ə
ӷачада	ʁ a t ʃʰ a d a
ӷашахыман	ɣ a ʂ a χ ə m a n
ӷашмақ	ʁ a ʂ m a kʰ
ӷаџьах	ʁ a d ʒ a χ
ӷаҭхә	ʁ a tʰ χʷ
ӷаҵа	ʁ a t sʼ a
ӷаҵабҙаҭә	ʁ a t sʼ a b ʑ a tʰʷ
ӷаҵатә	ʁ a t sʼ a tʼʷ
ӷаҵатәас	ʁ a t sʼ a tʼʷ a s
ӷаҵау	ʁ a t sʼ a w ə
ӷаҵах	ʁ a t sʼ a χ
ӷаҵаҫә	ʁ a t sʼ a ɕʷ
ӷаҵаҭә	ʁ a t sʼ a tʰʷ
ӷаҵаӷәа	ʁ a t sʼ a ʁʷ a
ӷаҵаӷәоу	ʁ a t sʼ a ʁʷ o̞ w
ӷаҵеиа	ʁ a t sʼ a j a
ӷаҵеиаӷәа	ʁ a t sʼ a j a ʁʷ a
ӷаӷәа	ʁ a ʁʷ a
ӷаӷәашәаԯадыча	ʁ a ʁʷ a ʃʷ a ɬ a d ə t ʃʰ a
ӷеиа	ʁ a j a
ӷыба	ʁ ə b a
ӷыбза	ʁ ə b z a
ӷыз	ʁ ə z
ӷырԥхьадыкә	ʁ ə r pʰ χʲ a d ə kʼʷ
ӷьа	ʁʲ a
ӷьада	ʁʲ a d a
ӷьадыӷҟа	ʁʲ a d ə ʁ qʼ a
ӷьакьа	ʁʲ a kʼʲ a
ӷьафына	ʁʲ a f ə n a
ӷьаҙәацьа	ʁʲ a ʑʷ a t ɕʰ a
ӷәа	ʁʷ a
ӷәадыҟы	ʁʷ a d ə qʼ ə
ӷәаза	ʁʷ a z a
ӷәала	ʁʷ a l a
ӷәалабзы	ʁʷ a l a b z ə
ӷәалагьыӡа	ʁʷ a l a ɡʲ ə d z a
ӷәана	ʁʷ a n a
ӷәанцәа	ʁʷ a n t ɕʰʷ a
ӷәараҫәы	ʁʷ a r a ɕʷ ə
ӷәатә	ʁʷ a tʼʷ
ӷәатәыџь	ʁʷ a tʼʷ ə d ʒ
ӷәау	ʁʷ a w ə
ӷәах	ʁʷ a χ
ӷәаца	ʁʷ a t sʰ a
ӷәацаҟа	ʁʷ a t sʰ a qʼ a
ӷәаџь	ʁʷ a d ʒ
ӷәаҟ	ʁʷ a qʼ
ӷәаҟа	ʁʷ a qʼ a
ӷәаҫә	ʁʷ a ɕʷ
ӷәаҷыӷ	ʁʷ a t ʃʼ ə ʁ
ӷәаҽа	ʁʷ a ʈ ʂʰ a
ӷәаӡьада	ʁʷ a d ʑ a d a
ӷәаӷәы	ʁʷ a ʁʷ ə
ӷәаԥча	ʁʷ a pʰ t ʃʰ a
ӷәоомыл	ʁʷ o̞ː m ə l
ӷәоу	ʁʷ o̞ w
ӷәы	ʁʷ ə
ӷәымтым	ʁʷ ə m tʼ ə m
ӷәына	ʁʷ ə n a
ӷәынаакә	ʁʷ ə n aː kʼʷ
ӷәынаҫәа	ʁʷ ə n a ɕʷ a
ӷәынгьа	ʁʷ ə n ɡʲ a
ӷәындәаабӷьа	ʁʷ ə n dʷ aː b ʁʲ a
ӷәындәы	ʁʷ ə n dʷ ə
ӷәындәыџьа	ʁʷ ə n dʷ ə d ʒ a
ӷәындәыҟәоу	ʁʷ ə n dʷ ə qʼʷ o̞ w
ӷәыны	ʁʷ ə n ə
ӷәырбашь	ʁʷ ə r b a ʃ
