AFI	a f i
anticonstitucionalidad	a n t i k o n s t i t u θ j o n a l i d a d
anticonverso	a n t i k o m b e ɾ s o
anticristiana	a n t i k ɾ i s t j a n a
anticristianas	a n t i k ɾ i s t j a n a s
anticristiano	a n t i k ɾ i s t j a n o
anticristianos	a n t i k ɾ i s t j a n o s
anticrítica	a n t i k ɾ i t i k a
anticríticas	a n t i k ɾ i t i k a s
anticríticos	a n t i k ɾ i t i k o s
anticuada	a n t i k w a d a
anticuadas	a n t i k w a d a s
anticuado	a n t i k w a d o
anticuados	a n t i k w a d o s
anticuar	a n t i k w a ɾ
anticuario	a n t i k w a ɾ j o
anticuchería	a n t i k u t͡ʃ e ɾ i a
anticucho	a n t i k u t͡ʃ o
anticuerpo	a n t i k w e ɾ p o
anticultural	a n t i k u l t u ɾ a l
anticuáramos	a n t i k w a ɾ a m o s
anticíclica	a n t i θ i k l i k a
anticíclicas	a n t i θ i k l i k a s
anticíclico	a n t i θ i k l i k o
anticíclicos	a n t i θ i k l i k o s
antidemocracia	a n t i d e m o k ɾ a θ j a
antidepresiva	a n t i d e p ɾ e s i b a
antidepresivas	a n t i d e p ɾ e s i b a s
antidepresivo	a n t i d e p ɾ e s i b o
antidepresivos	a n t i d e p ɾ e s i b o s
antidiabético	a n t i d j a b e t i k o
antidictatoriales	a n t i d i ɡ t a t o ɾ j a l e s
antidiscriminación	a n t i d i s k ɾ i m i n a θ j o n
antidiscriminatorio	a n t i d i s k ɾ i m i n a t o ɾ j o
antidominicana	a n t i d o m i n i k a n a
antidominicanas	a n t i d o m i n i k a n a s
antidominicano	a n t i d o m i n i k a n o
antidominicanos	a n t i d o m i n i k a n o s
antidumping	a n t i d a m p i n
antieconómica	a n t j e k o n o m i k a
antieconómicas	a n t j e k o n o m i k a s
antieconómico	a n t j e k o n o m i k o
antieconómicos	a n t j e k o n o m i k o s
antielectrones	a n t i e l e ɡ t ɾ o n e s
antielectrón	a n t i e l e ɡ t ɾ o n
antier	a n t j e ɾ
antiesclavitud	a n t j e s k l a b i t u d
antiespasmódico	a n t j e s p a s m o d i k o
antiespañolismo	a n t j e s p a ɲ o l i s m o
antiestatal	a n t j e s t a t a l
antiestrés	a n t j e s t ɾ e s
antifascistas	a n t i f a s θ i s t a s
antifaz	a n t i f a θ
antiferromagnético	a n t i f e r o m a ɡ n e t i k o
antifilibustero	a n t i f i l i b u s t e ɾ o
antifonario	a n t i f o n a ɾ j o
antifosfolípidos	a n t i f o s f o l i p i d o s
antifrancés	a n t i f ɾ a n θ e s
antifúngico	a n t i f u n x i k o
antiglobal	a n t i ɡ l o b a l
antigomecismo	a n t i ɡ o m e θ i s m o
antigua	a n t i ɡ w a
antiguada	a n t i ɡ w a d a
antiguadas	a n t i ɡ w a d a s
antiguado	a n t i ɡ w a d o
antiguados	a n t i ɡ w a d o s
antiguano	a n t i ɡ w a n o
antiguar	a n t i ɡ w a ɾ
antiguas	a n t i ɡ w a s
antiguo	a n t i ɡ w o
antigénico	a n t i x e n i k o
antigónida	a n t i ɡ o n i d a
antigüedad	a n t i ɡ w e d a d
antigüeño	a n t i ɡ w e ɲ o
antihaitianismo	a n t i a i t j a n i s m o
antiheroína	a n t j e ɾ o i n a
antihielo	a n t i j e l o
antihipertensivo	a n t i i p e ɾ t e n s i b o
antihuellas	a n t i w e ʝ a s
antihéroe	a n t j e ɾ o e
antiigualitario	a n t i i ɡ w a l i t a ɾ j o
antiindustrial	a n t i i n d u s t ɾ j a l
antiinstitucionalista	a n t i i n s t i t u θ j o n a l i s t a
antijudío	a n t i x u d i o
antillano	a n t i ʝ a n o
antilógica	a n t i l o x i k a
antilógicas	a n t i l o x i k a s
antilógico	a n t i l o x i k o
antilógicos	a n t i l o x i k o s
antimalárica	a n t i m a l a ɾ i k a
antimaláricas	a n t i m a l a ɾ i k a s
antimalárico	a n t i m a l a ɾ i k o
antimaláricos	a n t i m a l a ɾ i k o s
antimateria	a n t i m a t e ɾ j a
antimatrimonio	a n t i m a t ɾ i m o n j o
antimexicano	a n t i m e x i k a n o
antimicrobial	a n t i m i k ɾ o b j a l
antimicrobiana	a n t i m i k ɾ o b j a n a
antimicrobiano	a n t i m i k ɾ o b j a n o
antimisil	a n t i m i s i l
antimodernismo	a n t i m o d e ɾ n i s m o
antimodernista	a n t i m o d e ɾ n i s t a
antimonio	a n t i m o n j o
antimonita	a n t i m o n i t a
antimonárquico	a n t i m o n a ɾ k i k o
antimoral	a n t i m o ɾ a l
antimotines	a n t i m o t i n e s
antimusulmán	a n t i m u s u l m a n
antinarco	a n t i n a ɾ k o
antinefrítica	a n t i n e f ɾ i t i k a
antinefríticas	a n t i n e f ɾ i t i k a s
antinefrítico	a n t i n e f ɾ i t i k o
antinefríticos	a n t i n e f ɾ i t i k o s
antineoliberal	a n t i n e o l i b e ɾ a l
antineutrino	a n t i n e u t ɾ i n o
antinieblas	a n t i n j e b l a s
antinomia	a n t i n o m j a
antinomianismo	a n t i n o m j a n i s m o
antinomianista	a n t i n o m j a n i s t a
antinomiano	a n t i n o m j a n o
antinomismo	a n t i n o m i s m o
antinomista	a n t i n o m i s t a
antiofídico	a n t j o f i d i k o
antioqueno	a n t j o k e n o
antipalúdica	a n t i p a l u d i k a
antipalúdicas	a n t i p a l u d i k a s
antipalúdico	a n t i p a l u d i k o
antipalúdicos	a n t i p a l u d i k o s
antipapa	a n t i p a p a
antipapistas	a n t i p a p i s t a s
antipar	a n t i p a ɾ
antiparalelo	a n t i p a ɾ a l e l o
antiparalelogramo	a n t i p a ɾ a l e l o ɡ ɾ a m o
antiparasitario	a n t i p a ɾ a s i t a ɾ j o
antiparras	a n t i p a r a s
antipartisano	a n t i p a ɾ t i s a n o
antipartícula	a n t i p a ɾ t i k u l a
antipatica	a n t i p a t i k a
antipatico	a n t i p a t i k o
antipatrón	a n t i p a t ɾ o n
antipatía	a n t i p a t i a
antipodal	a n t i p o d a l
antipornografía	a n t i p o ɾ n o ɡ ɾ a f i a
antiproliferativo	a n t i p ɾ o l i f e ɾ a t i b o
antiprotón	a n t i p ɾ o t o n
antipsicótico	a n t i b s i k o t i k o
antipánico	a n t i p a n i k o
antipático	a n t i p a t i k o
antiqueño	a n t i k e ɲ o
antirracistas	a n t i r a θ i s t a s
antirradiación	a n t i r a d j a θ j o n
antirreleccionista	a n t i r e l e ɡ θ j o n i s t a
antirrepublicano	a n t i r e p u b l i k a n o
antirretorno	a n t i r e t o ɾ n o
antirreumática	a n t i r e u m a t i k a
antirreumáticas	a n t i r e u m a t i k a s
antirreumático	a n t i r e u m a t i k o
antirreumáticos	a n t i r e u m a t i k o s
antisatélite	a n t i s a t e l i t e
antisecuestro	a n t i s e k w e s t ɾ o
antisecular	a n t i s e k u l a ɾ
antisemitismo	a n t i s e m i t i s m o
antisentido	a n t i s e n t i d o
antisepsia	a n t i s e b s j a
antiseñorial	a n t i s e ɲ o ɾ j a l
antisocial	a n t i s o θ j a l
antisolar	a n t i s o l a ɾ
antisubversivo	a n t i s u b b e ɾ s i b o
antisuero	a n t i s w e ɾ o
antiséptico	a n t i s e b t i k o
antisísmico	a n t i s i s m i k o
antitauromaquia	a n t i t a u ɾ o m a k j a
antitiroideos	a n t i t i ɾ o i d e o s
antitripsina	a n t i t ɾ i b s i n a
antitrombina	a n t i t ɾ o m b i n a
antituberculoso	a n t i t u b e ɾ k u l o s o
antitusivo	a n t i t u s i b o
antitérmica	a n t i t e ɾ m i k a
antitérmicas	a n t i t e ɾ m i k a s
antitérmico	a n t i t e ɾ m i k o
antitérmicos	a n t i t e ɾ m i k o s
antitético	a n t i t e t i k o
antitóxica	a n t i t o ɡ s i k a
antitóxico	a n t i t o ɡ s i k o
antivaho	a n t i b a o
antivariólico	a n t i b a ɾ j o l i k o
antiveneno	a n t i b e n e n o
antivida	a n t i b i d a
antiviento	a n t i b j e n t o
antiviral	a n t i b i ɾ a l
antiziganismo	a n t i θ i ɡ a n i s m o
antojada	a n t o x a d a
antojadas	a n t o x a d a s
antojadizamente	a n t o x a d i θ a m e n t e
antojadizo	a n t o x a d i θ o
antojado	a n t o x a d o
antojados	a n t o x a d o s
antojar	a n t o x a ɾ
antojarse	a n t o x a ɾ s e
antojito	a n t o x i t o
antojo	a n t o x o
antologada	a n t o l o ɡ a d a
antologadas	a n t o l o ɡ a d a s
antologado	a n t o l o ɡ a d o
antologador	a n t o l o ɡ a d o ɾ
antologadora	a n t o l o ɡ a d o ɾ a
antologados	a n t o l o ɡ a d o s
antologar	a n t o l o ɡ a ɾ
antologizada	a n t o l o x i θ a d a
antologizadas	a n t o l o x i θ a d a s
antologizado	a n t o l o x i θ a d o
antologizados	a n t o l o x i θ a d o s
antologizar	a n t o l o x i θ a ɾ
antología	a n t o l o x i a
antológico	a n t o l o x i k o
antoniniano	a n t o n i n j a n o
antonomasia	a n t o n o m a s j a
antorcha	a n t o ɾ t͡ʃ a
antracita	a n t ɾ a θ i t a
antracosis	a n t ɾ a k o s i s
antro	a n t ɾ o
antropización	a n t ɾ o p i θ a θ j o n
antropizada	a n t ɾ o p i θ a d a
antropizadas	a n t ɾ o p i θ a d a s
antropizado	a n t ɾ o p i θ a d o
antropizados	a n t ɾ o p i θ a d o s
antropizar	a n t ɾ o p i θ a ɾ
antropocentrismo	a n t ɾ o p o θ e n t ɾ i s m o
antropocéntrico	a n t ɾ o p o θ e n t ɾ i k o
antropofagia	a n t ɾ o p o f a x j a
antropogénica	a n t ɾ o p o x e n i k a
antropogénicas	a n t ɾ o p o x e n i k a s
antropogénico	a n t ɾ o p o x e n i k o
antropogénicos	a n t ɾ o p o x e n i k o s
antropoide	a n t ɾ o p o i d e
antropología	a n t ɾ o p o l o x i a
antropológica	a n t ɾ o p o l o x i k a
antropológico	a n t ɾ o p o l o x i k o
antropomorfizada	a n t ɾ o p o m o ɾ f i θ a d a
antropomorfizadas	a n t ɾ o p o m o ɾ f i θ a d a s
antropomorfizado	a n t ɾ o p o m o ɾ f i θ a d o
antropomorfizados	a n t ɾ o p o m o ɾ f i θ a d o s
antropomorfizar	a n t ɾ o p o m o ɾ f i θ a ɾ
antropomorfo	a n t ɾ o p o m o ɾ f o
antropométrica	a n t ɾ o p o m e t ɾ i k a
antropométricas	a n t ɾ o p o m e t ɾ i k a s
antropométrico	a n t ɾ o p o m e t ɾ i k o
antropométricos	a n t ɾ o p o m e t ɾ i k o s
antropomórfica	a n t ɾ o p o m o ɾ f i k a
antropomórficas	a n t ɾ o p o m o ɾ f i k a s
antropomórfico	a n t ɾ o p o m o ɾ f i k o
antropomórficos	a n t ɾ o p o m o ɾ f i k o s
antroponimia	a n t ɾ o p o n i m j a
antroponímico	a n t ɾ o p o n i m i k o
antroposófica	a n t ɾ o p o s o f i k a
antroposóficas	a n t ɾ o p o s o f i k a s
antroposófico	a n t ɾ o p o s o f i k o
antroposóficos	a n t ɾ o p o s o f i k o s
antropófago	a n t ɾ o p o f a ɡ o
antropóloga	a n t ɾ o p o l o ɡ a
antropólogo	a n t ɾ o p o l o ɡ o
antropónimo	a n t ɾ o p o n i m o
antruejo	a n t ɾ w e x o
antruejos	a n t ɾ w e x o s
antrópica	a n t ɾ o p i k a
antrópicas	a n t ɾ o p i k a s
antrópico	a n t ɾ o p i k o
antrópicos	a n t ɾ o p i k o s
anturio	a n t u ɾ j o
antárctico	a n t a ɾ ɡ t i k o
antártico	a n t a ɾ t i k o
antídoto	a n t i d o t o
antífona	a n t i f o n a
antífrasis	a n t i f ɾ a s i s
antígeno	a n t i x e n o
antílope	a n t i l o p e
antípoda	a n t i p o d a
antítesis	a n t i t e s i s
antófilo	a n t o f i l o
antóloga	a n t o l o ɡ a
antólogo	a n t o l o ɡ o
antónima	a n t o n i m a
antónimas	a n t o n i m a s
antónimo	a n t o n i m o
antónimos	a n t o n i m o s
anua	a n w a
anual	a n w a l
anualidad	a n w a l i d a d
anualizada	a n w a l i θ a d a
anualizadas	a n w a l i θ a d a s
anualizado	a n w a l i θ a d o
anualizados	a n w a l i θ a d o s
anualizar	a n w a l i θ a ɾ
anualmente	a n w a l m e n t e
anuario	a n w a ɾ j o
anuas	a n w a s
anublada	a n u b l a d a
anubladas	a n u b l a d a s
anublado	a n u b l a d o
anublados	a n u b l a d o s
anublar	a n u b l a ɾ
anudada	a n u d a d a
anudadas	a n u d a d a s
anudado	a n u d a d o
anudados	a n u d a d o s
anudamiento	a n u d a m j e n t o
anudar	a n u d a ɾ
anudare	a n u d a ɾ e
anudaré	a n u d a ɾ e
anuencia	a n w e n θ j a
anuente	a n w e n t e
anulabilidad	a n u l a b i l i d a d
anulable	a n u l a b l e
anulación	a n u l a θ j o n
anulada	a n u l a d a
anuladas	a n u l a d a s
anulado	a n u l a d o
anulados	a n u l a d o s
anular	a n u l a ɾ
anulares	a n u l a ɾ e s
anunciación	a n u n θ j a θ j o n
anunciada	a n u n θ j a d a
anunciadas	a n u n θ j a d a s
anunciado	a n u n θ j a d o
anunciador	a n u n θ j a d o ɾ
anunciados	a n u n θ j a d o s
anunciamiento	a n u n θ j a m j e n t o
anunciamos	a n u n θ j a m o s
anunciando	a n u n θ j a n d o
anunciar	a n u n θ j a ɾ
anuncio	a n u n θ j o
anuo	a n w o
anuos	a n w o s
anuro	a n u ɾ o
anuros	a n u ɾ o s
anverso	a m b e ɾ s o
anzoateguiense	a n θ o a t e ɡ j e n s e
anzoatiguense	a n θ o a t i ɡ e n s e
anzuelo	a n θ w e l o
anáfora	a n a f o ɾ a
análisis	a n a l i s i s
análoga	a n a l o ɡ a
análogas	a n a l o ɡ a s
análogo	a n a l o ɡ o
análogos	a n a l o ɡ o s
anápsido	a n a b s i d o
anárquico	a n a ɾ k i k o
anástrofe	a n a s t ɾ o f e
anécdota	a n e ɡ d o t a
anélido	a n e l i d o
anélidos	a n e l i d o s
anémica	a n e m i k a
anémicas	a n e m i k a s
anémico	a n e m i k o
anémicos	a n e m i k o s
anémona	a n e m o n a
anímico	a n i m i k o
anís	a n i s
anódico	a n o d i k o
anómala	a n o m a l a
anómalas	a n o m a l a s
anómalo	a n o m a l o
anómalos	a n o m a l o s
anómero	a n o m e ɾ o
anómico	a n o m i k o
anón	a n o n
anónimo	a n o n i m o
anósmico	a n o s m i k o
anúrico	a n u ɾ i k o
aojada	a o x a d a
aojadas	a o x a d a s
aojado	a o x a d o
aojados	a o x a d o s
aojar	a o x a ɾ
aoristo	a o ɾ i s t o
aorta	a o ɾ t a
aorticorrenal	a o ɾ t i k o r e n a l
aorticorrenales	a o ɾ t i k o r e n a l e s
aovada	a o b a d a
aovadas	a o b a d a s
aovado	a o b a d o
aovados	a o b a d o s
aovar	a o b a ɾ
apa	a p a
apabullada	a p a b u ʝ a d a
apabulladas	a p a b u ʝ a d a s
apabullado	a p a b u ʝ a d o
apabullados	a p a b u ʝ a d o s
apabullante	a p a b u ʝ a n t e
apabullar	a p a b u ʝ a ɾ
apacentada	a p a θ e n t a d a
apacentadas	a p a θ e n t a d a s
apacentado	a p a θ e n t a d o
apacentados	a p a θ e n t a d o s
apacentar	a p a θ e n t a ɾ
apachada	a p a t͡ʃ a d a
apachadas	a p a t͡ʃ a d a s
apachado	a p a t͡ʃ a d o
apachados	a p a t͡ʃ a d o s
apachar	a p a t͡ʃ a ɾ
apache	a p a t͡ʃ e
apachurrada	a p a t͡ʃ u r a d a
apachurradas	a p a t͡ʃ u r a d a s
apachurrado	a p a t͡ʃ u r a d o
apachurrados	a p a t͡ʃ u r a d o s
apachurrar	a p a t͡ʃ u r a ɾ
apacibilidad	a p a θ i b i l i d a d
apacible	a p a θ i b l e
apaciguada	a p a θ i ɡ w a d a
apaciguadas	a p a θ i ɡ w a d a s
apaciguado	a p a θ i ɡ w a d o
apaciguados	a p a θ i ɡ w a d o s
apaciguar	a p a θ i ɡ w a ɾ
apadrinada	a p a d ɾ i n a d a
apadrinadas	a p a d ɾ i n a d a s
apadrinado	a p a d ɾ i n a d o
apadrinados	a p a d ɾ i n a d o s
apadrinar	a p a d ɾ i n a ɾ
apagable	a p a ɡ a b l e
apagada	a p a ɡ a d a
apagadas	a p a ɡ a d a s
apagado	a p a ɡ a d o
apagador	a p a ɡ a d o ɾ
apagados	a p a ɡ a d o s
apagafuegos	a p a ɡ a f w e ɡ o s
apagamos	a p a ɡ a m o s
apagar	a p a ɡ a ɾ
apagarse	a p a ɡ a ɾ s e
apagón	a p a ɡ o n
apalabrada	a p a l a b ɾ a d a
apalabradas	a p a l a b ɾ a d a s
apalabrado	a p a l a b ɾ a d o
apalabrados	a p a l a b ɾ a d o s
apalabrar	a p a l a b ɾ a ɾ
apalache	a p a l a t͡ʃ e
apalancada	a p a l a n k a d a
apalancadas	a p a l a n k a d a s
apalancado	a p a l a n k a d o
apalancados	a p a l a n k a d o s
apalancamiento	a p a l a n k a m j e n t o
apalancar	a p a l a n k a ɾ
apaleada	a p a l e a d a
apaleadas	a p a l e a d a s
apaleado	a p a l e a d o
apaleados	a p a l e a d o s
apalear	a p a l e a ɾ
apalizada	a p a l i θ a d a
apalizadas	a p a l i θ a d a s
apalizado	a p a l i θ a d o
apalizados	a p a l i θ a d o s
apalizar	a p a l i θ a ɾ
apamate	a p a m a t e
apanada	a p a n a d a
apanadas	a p a n a d a s
apanado	a p a n a d o
apanados	a p a n a d o s
apanar	a p a n a ɾ
apancora	a p a n k o ɾ a
apandada	a p a n d a d a
apandadas	a p a n d a d a s
apandado	a p a n d a d o
apandados	a p a n d a d o s
apandar	a p a n d a ɾ
apandés	a p a n d e s
apaniguada	a p a n i ɡ w a d a
apaniguadas	a p a n i ɡ w a d a s
apaniguado	a p a n i ɡ w a d o
apaniguados	a p a n i ɡ w a d o s
apaniguar	a p a n i ɡ w a ɾ
apantallado	a p a n t a ʝ a d o
apantallar	a p a n t a ʝ a ɾ
apapachada	a p a p a t͡ʃ a d a
apapachadas	a p a p a t͡ʃ a d a s
apapachado	a p a p a t͡ʃ a d o
apapachados	a p a p a t͡ʃ a d o s
apapachar	a p a p a t͡ʃ a ɾ
apapacho	a p a p a t͡ʃ o
apara	a p a ɾ a
aparada	a p a ɾ a d a
aparadas	a p a ɾ a d a s
aparado	a p a ɾ a d o
aparador	a p a ɾ a d o ɾ
aparados	a p a ɾ a d o s
aparamos	a p a ɾ a m o s
aparando	a p a ɾ a n d o
aparar	a p a ɾ a ɾ
aparara	a p a ɾ a ɾ a
apararas	a p a ɾ a ɾ a s
aparareis	a p a ɾ a ɾ e i s
apararemos	a p a ɾ a ɾ e m o s
aparares	a p a ɾ a ɾ e s
aparará	a p a ɾ a ɾ a
apararás	a p a ɾ a ɾ a s
apararíamos	a p a ɾ a ɾ i a m o s
aparas	a p a ɾ a s
aparaste	a p a ɾ a s t e
aparataje	a p a ɾ a t a x e
aparatico	a p a ɾ a t i k o
aparatillo	a p a ɾ a t i ʝ o
aparatito	a p a ɾ a t i t o
aparato	a p a ɾ a t o
aparatología	a p a ɾ a t o l o x i a
aparatos	a p a ɾ a t o s
aparatosidad	a p a ɾ a t o s i d a d
aparatoso	a p a ɾ a t o s o
aparcabicicletas	a p a ɾ k a b i θ i k l e t a s
aparcada	a p a ɾ k a d a
aparcadas	a p a ɾ k a d a s
aparcado	a p a ɾ k a d o
aparcados	a p a ɾ k a d o s
aparcamiento	a p a ɾ k a m j e n t o
aparcar	a p a ɾ k a ɾ
aparcera	a p a ɾ θ e ɾ a
aparcero	a p a ɾ θ e ɾ o
aparcería	a p a ɾ θ e ɾ i a
apare	a p a ɾ e
apareada	a p a ɾ e a d a
apareadas	a p a ɾ e a d a s
apareado	a p a ɾ e a d o
apareados	a p a ɾ e a d o s
aparear	a p a ɾ e a ɾ
aparece	a p a ɾ e θ e
aparecemos	a p a ɾ e θ e m o s
aparecer	a p a ɾ e θ e ɾ
apareceremos	a p a ɾ e θ e ɾ e m o s
aparecerá	a p a ɾ e θ e ɾ a
aparecerás	a p a ɾ e θ e ɾ a s
apareceríamos	a p a ɾ e θ e ɾ i a m o s
apareces	a p a ɾ e θ e s
aparecida	a p a ɾ e θ i d a
aparecidas	a p a ɾ e θ i d a s
aparecido	a p a ɾ e θ i d o
aparecidos	a p a ɾ e θ i d o s
apareciose	a p a ɾ e θ j o s e
aparecióse	a p a ɾ e θ j o s e
aparecíamos	a p a ɾ e θ i a m o s
aparejada	a p a ɾ e x a d a
aparejadas	a p a ɾ e x a d a s
aparejado	a p a ɾ e x a d o
aparejador	a p a ɾ e x a d o ɾ
aparejadora	a p a ɾ e x a d o ɾ a
aparejados	a p a ɾ e x a d o s
aparejar	a p a ɾ e x a ɾ
aparemos	a p a ɾ e m o s
aparentada	a p a ɾ e n t a d a
aparentadas	a p a ɾ e n t a d a s
aparentado	a p a ɾ e n t a d o
aparentados	a p a ɾ e n t a d o s
aparentar	a p a ɾ e n t a ɾ
aparente	a p a ɾ e n t e
aparentemente	a p a ɾ e n t e m e n t e
apares	a p a ɾ e s
aparezco	a p a ɾ e θ k o
aparición	a p a ɾ i θ j o n
apariencia	a p a ɾ j e n θ j a
aparo	a p a ɾ o
apartada	a p a ɾ t a d a
apartadas	a p a ɾ t a d a s
apartadero	a p a ɾ t a d e ɾ o
apartado	a p a ɾ t a d o
apartados	a p a ɾ t a d o s
apartamentico	a p a ɾ t a m e n t i k o
apartamento	a p a ɾ t a m e n t o
apartamiento	a p a ɾ t a m j e n t o
apartamos	a p a ɾ t a m o s
apartar	a p a ɾ t a ɾ
aparte	a p a ɾ t e
apartheid	a p a ɾ x e i d
aparáramos	a p a ɾ a ɾ a m o s
apasionada	a p a s j o n a d a
apasionadas	a p a s j o n a d a s
apasionado	a p a s j o n a d o
apasionados	a p a s j o n a d o s
apasionadísimo	a p a s j o n a d i s i m o
apasionar	a p a s j o n a ɾ
apaste	a p a s t e
apateísmo	a p a t e i s m o
apatita	a p a t i t a
apatito	a p a t i t o
apatridia	a p a t ɾ i d j a
apatrullada	a p a t ɾ u ʝ a d a
apatrulladas	a p a t ɾ u ʝ a d a s
apatrullado	a p a t ɾ u ʝ a d o
apatrullados	a p a t ɾ u ʝ a d o s
apatrullar	a p a t ɾ u ʝ a ɾ
apatía	a p a t i a
apayasada	a p a ʝ a s a d a
apayasadas	a p a ʝ a s a d a s
apayasado	a p a ʝ a s a d o
apayasados	a p a ʝ a s a d o s
apayasar	a p a ʝ a s a ɾ
apañada	a p a ɲ a d a
apañadas	a p a ɲ a d a s
apañado	a p a ɲ a d o
apañados	a p a ɲ a d o s
apañar	a p a ɲ a ɾ
apaño	a p a ɲ o
apañárselas	a p a ɲ a ɾ s e l a s
apeada	a p e a d a
apeadas	a p e a d a s
apeadero	a p e a d e ɾ o
apeado	a p e a d o
apeados	a p e a d o s
apear	a p e a ɾ
apechugada	a p e t͡ʃ u ɡ a d a
apechugadas	a p e t͡ʃ u ɡ a d a s
apechugado	a p e t͡ʃ u ɡ a d o
apechugados	a p e t͡ʃ u ɡ a d o s
apechugar	a p e t͡ʃ u ɡ a ɾ
apedazada	a p e d a θ a d a
apedazadas	a p e d a θ a d a s
apedazado	a p e d a θ a d o
apedazados	a p e d a θ a d o s
apedazar	a p e d a θ a ɾ
apedrada	a p e d ɾ a d a
apedradas	a p e d ɾ a d a s
apedrado	a p e d ɾ a d o
apedrados	a p e d ɾ a d o s
apedreada	a p e d ɾ e a d a
apedreadas	a p e d ɾ e a d a s
apedreado	a p e d ɾ e a d o
apedreados	a p e d ɾ e a d o s
apedrear	a p e d ɾ e a ɾ
apegada	a p e ɡ a d a
apegadas	a p e ɡ a d a s
apegado	a p e ɡ a d o
apegados	a p e ɡ a d o s
apegar	a p e ɡ a ɾ
apego	a p e ɡ o
apela	a p e l a
apelable	a p e l a b l e
apelación	a p e l a θ j o n
apelada	a p e l a d a
apeladas	a p e l a d a s
apelado	a p e l a d o
apelados	a p e l a d o s
apelamos	a p e l a m o s
apelando	a p e l a n d o
apelante	a p e l a n t e
apelar	a p e l a ɾ
apelara	a p e l a ɾ a
apelaras	a p e l a ɾ a s
apelareis	a p e l a ɾ e i s
apelaremos	a p e l a ɾ e m o s
apelares	a p e l a ɾ e s
apelará	a p e l a ɾ a
apelarás	a p e l a ɾ a s
apelaríamos	a p e l a ɾ i a m o s
apelas	a p e l a s
apelaste	a p e l a s t e
apelativo	a p e l a t i b o
apele	a p e l e
apelemos	a p e l e m o s
apeles	a p e l e s
apellidada	a p e ʝ i d a d a
apellidadas	a p e ʝ i d a d a s
apellidado	a p e ʝ i d a d o
apellidados	a p e ʝ i d a d o s
apellidar	a p e ʝ i d a ɾ
apellido	a p e ʝ i d o
apelmaza	a p e l m a θ a
apelmazamiento	a p e l m a θ a m j e n t o
apelmazamientos	a p e l m a θ a m j e n t o s
apelmazar	a p e l m a θ a ɾ
apelmazas	a p e l m a θ a s
apelmazo	a p e l m a θ o
apelotada	a p e l o t a d a
apelotadas	a p e l o t a d a s
apelotado	a p e l o t a d o
apelotados	a p e l o t a d o s
apelotar	a p e l o t a ɾ
apelotonada	a p e l o t o n a d a
apelotonadas	a p e l o t o n a d a s
apelotonado	a p e l o t o n a d o
apelotonados	a p e l o t o n a d o s
apelotonar	a p e l o t o n a ɾ
apeláramos	a p e l a ɾ a m o s
apena	a p e n a
apenada	a p e n a d a
apenadas	a p e n a d a s
apenado	a p e n a d o
apenados	a p e n a d o s
apenamos	a p e n a m o s
apenando	a p e n a n d o
apenar	a p e n a ɾ
apenara	a p e n a ɾ a
apenaras	a p e n a ɾ a s
apenareis	a p e n a ɾ e i s
apenaremos	a p e n a ɾ e m o s
apenares	a p e n a ɾ e s
apenará	a p e n a ɾ a
apenarás	a p e n a ɾ a s
apenaréis	a p e n a ɾ e i s
apenaríamos	a p e n a ɾ i a m o s
apenas	a p e n a s
apenaste	a p e n a s t e
apencada	a p e n k a d a
apencadas	a p e n k a d a s
apencado	a p e n k a d o
apencados	a p e n k a d o s
apencar	a p e n k a ɾ
apendicectomía	a p e n d i θ e ɡ t o m i a
apendicitis	a p e n d i θ i t i s
apendicular	a p e n d i k u l a ɾ
apene	a p e n e
apenemos	a p e n e m o s
apenes	a p e n e s
apenitas	a p e n i t a s
apeno	a p e n o
apenáramos	a p e n a ɾ a m o s
apeo	a p e o
apepista	a p e p i s t a
aperado	a p e ɾ a d o
aperador	a p e ɾ a d o ɾ
aperadora	a p e ɾ a d o ɾ a
apercibida	a p e ɾ θ i b i d a
apercibidas	a p e ɾ θ i b i d a s
apercibido	a p e ɾ θ i b i d o
apercibidos	a p e ɾ θ i b i d o s
aperitivo	a p e ɾ i t i b o
apero	a p e ɾ o
aperos	a p e ɾ o s
aperrado	a p e r a d o
aperrar	a p e r a ɾ
apersonada	a p e ɾ s o n a d a
apersonadas	a p e ɾ s o n a d a s
apersonado	a p e ɾ s o n a d o
apersonados	a p e ɾ s o n a d o s
apersonarse	a p e ɾ s o n a ɾ s e
apersoná	a p e ɾ s o n a
apertrechada	a p e ɾ t ɾ e t͡ʃ a d a
apertrechadas	a p e ɾ t ɾ e t͡ʃ a d a s
apertrechado	a p e ɾ t ɾ e t͡ʃ a d o
apertrechados	a p e ɾ t ɾ e t͡ʃ a d o s
apertura	a p e ɾ t u ɾ a
aperturada	a p e ɾ t u ɾ a d a
aperturadas	a p e ɾ t u ɾ a d a s
aperturado	a p e ɾ t u ɾ a d o
aperturados	a p e ɾ t u ɾ a d o s
aperturar	a p e ɾ t u ɾ a ɾ
apertures	a p e ɾ t u ɾ e s
apesadumbrada	a p e s a d u m b ɾ a d a
apesadumbradas	a p e s a d u m b ɾ a d a s
apesadumbrado	a p e s a d u m b ɾ a d o
apesadumbrados	a p e s a d u m b ɾ a d o s
apesadumbrar	a p e s a d u m b ɾ a ɾ
apesarar	a p e s a ɾ a ɾ
apestada	a p e s t a d a
