ա	ɑ
արթուն	ɑ ɾ tʰ u n
արթուր	ɑ ɾ tʰ u ɾ
արժան	ɑ ɾ ʒ ɑ n
արժանահավատ	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ d
արժանապատվություն	ɑ ɾ ʒ ɑ n ɑ b ɑ d v u tʰ ʏ n
արժանթին	ɑ ɾ ʒ ɑ n tʰ i n
արժանի	ɑ ɾ ʒ ɑ n i
արժեմ	ɑ ɾ ʒ ɛ m
արժենալ	ɑ ɾ ʒ ɛ n ɑ l
արժեք	ɑ ɾ ʒ ɛ kʰ
արժույթ	ɑ ɾ ʒ u j tʰ
արի	ɑ ɾ i
արիական	ɑ ɾ j ɑ ɡ ɑ n
արիշտա	ɑ ɾ i ʃ t ɑ
արիոս	ɑ ɾ i j ɔ s
արիություն	ɑ ɾ i j u tʰ ʏ n
արիստակես	ɑ ɾ i s t ɑ ɡ ɛ s
արիստոտել	ɑ ɾ i s t ɔ d ɛ l
արիստոփանես	ɑ ɾ i s t ɔ pʰ ɑ n ɛ s
արխալուղ	ɑ ɾ χ ɑ l u ʁ
արխային	ɑ ɾ χ ɑ j i n
արխանգելսկ	ɑ ɾ χ ɑ ŋ kʰ ɛ l s k
արխիվ	ɑ ɾ χ i v
արծաթ	ɑ ɾ d͡z ɑ tʰ
արծաթասիրություն	ɑ ɾ d͡z ɑ tʰ ɑ s i ɾ u tʰ ʏ n
արծաթե	ɑ ɾ d͡z ɑ tʰ ɛ
արծաթի	ɑ ɾ d͡z ɑ tʰ i
արծաթյա	ɑ ɾ d͡z ɑ tʰ j ɑ
արծարծել	ɑ ɾ d͡z ɑ ɾ d͡z ɛ l
արծիվ	ɑ ɾ d͡z i v
արծնել	ɑ ɾ d͡z n ɛ l
արծվաբույն	ɑ ɾ d͡z v ɑ pʰ u j n
արծվաբուն	ɑ ɾ d͡z v ɑ pʰ u n
արծվառյուծ	ɑ ɾ d͡z v ɑ ɾ ʏ d͡z
արծվի	ɑ ɾ d͡z v i
արծրուն	ɑ ɾ d͡z ɾ u n
արծրունի	ɑ ɾ d͡z ɾ u n i
արծրունյաց	ɑ ɾ d͡z ɾ u n j ɑ t͡sʰ
արկ	ɑ ɾ ɡ
արկադի	ɑ ɾ ɡ ɑ tʰ i
արկադիոս	ɑ ɾ ɡ ɑ tʰ i j ɔ s
արկանել	ɑ ɾ ɡ ɑ n ɛ l
արկել	ɑ ɾ ɡ ɛ l
արկղ	ɑ ɾ ɡ ə ʁ
արհամարհել	ɑ ɾ h ɑ m ɑ ɾ ɛ l
արհեստ	ɑ ɾ h ɛ s t
արհեստական	ɑ ɾ h ɛ s t ɑ ɡ ɑ n
արհեստանոց	ɑ ɾ h ɛ s t ɑ n ɔ t͡sʰ
արհեստավոր	ɑ ɾ h ɛ s t ɑ v ɔ ɾ
արձագանք	ɑ ɾ t͡sʰ ɑ kʰ ɑ ŋ kʰ
արձագանքել	ɑ ɾ t͡sʰ ɑ kʰ ɑ ŋ kʰ ɛ l
արձակ	ɑ ɾ t͡sʰ ɑ ɡ
արձակել	ɑ ɾ t͡sʰ ɑ ɡ ɛ l
արձակուրդ	ɑ ɾ t͡sʰ ɑ ɡ u ɾ tʰ
արձան	ɑ ɾ t͡sʰ ɑ n
արձանագրել	ɑ ɾ t͡sʰ ɑ n ɑ kʰ ɾ ɛ l
արճիճ	ɑ ɾ d͡ʒ i d͡ʒ
արմ	ɑ ɾ m
արմանալ	ɑ ɾ m ɑ n ɑ l
արմավ	ɑ ɾ m ɑ v
արմավենի	ɑ ɾ m ɑ v ɛ n i
արմավիր	ɑ ɾ m ɑ v i ɾ
արմատ	ɑ ɾ m ɑ d
արմատաքի	ɑ ɾ m ɑ d ɑ kʰ i
արմեն	ɑ ɾ m ɛ n
արմենակ	ɑ ɾ m ɛ n ɑ ɡ
արմին	ɑ ɾ m i n
արմինե	ɑ ɾ m i n ɛ
արմունկ	ɑ ɾ m u ŋ ɡ
արմունկոսկր	ɑ ɾ m u ŋ ɡ ɔ s k ə ɾ
արյուն	ɑ ɾ ʏ n
արյունաբանություն	ɑ ɾ ʏ n ɑ pʰ ɑ n u tʰ ʏ n
արյունահոսել	ɑ ɾ ʏ n ɑ h ɔ s ɛ l
արյունահոսություն	ɑ ɾ ʏ n ɑ h ɔ s u tʰ ʏ n
արյունաքամ	ɑ ɾ ʏ n ɑ kʰ ɑ m
արյունոտ	ɑ ɾ ʏ n ɔ d
արշալույս	ɑ ɾ ʃ ɑ l u j s
արշակ	ɑ ɾ ʃ ɑ ɡ
արշակունի	ɑ ɾ ʃ ɑ ɡ u n i
արշակունյաց	ɑ ɾ ʃ ɑ ɡ u n j ɑ t͡sʰ
արշավ	ɑ ɾ ʃ ɑ v
արշավանք	ɑ ɾ ʃ ɑ v ɑ ŋ kʰ
արշավել	ɑ ɾ ʃ ɑ v ɛ l
արշին	ɑ ɾ ʃ i n
արշիպելագ	ɑ ɾ ʃ i b ɛ l ɑ kʰ
արո	ɑ ɾ ɔ
արոնյան	ɑ ɾ ɔ n j ɑ n
արոտ	ɑ ɾ ɔ d
արոտավայր	ɑ ɾ ɔ d ɑ v ɑ j ɾ
արոր	ɑ ɾ ɔ ɾ
արորել	ɑ ɾ ɔ ɾ ɛ l
արու	ɑ ɾ u
արույր	ɑ ɾ u j ɾ
արուսյակ	ɑ ɾ u s j ɑ ɡ
արջ	ɑ ɾ t͡ʃʰ
արջամուկ	ɑ ɾ t͡ʃʰ ɑ m u ɡ
արջառ	ɑ ɾ t͡ʃʰ ɑ ɾ
արջասպ	ɑ ɾ t͡ʃʰ ɑ s p
արսեն	ɑ ɾ s ɛ n
արսենի	ɑ ɾ s ɛ n i
արսենյան	ɑ ɾ s ɛ n j ɑ n
արվարձան	ɑ ɾ v ɑ ɾ t͡sʰ ɑ n
արվեստ	ɑ ɾ v ɛ s t
արվեստագետ	ɑ ɾ v ɛ s t ɑ kʰ ɛ d
արտ	ɑ ɾ d
արտագաղթ	ɑ ɾ d ɑ kʰ ɑ χ tʰ
արտագաղթել	ɑ ɾ d ɑ kʰ ɑ χ tʰ ɛ l
արտագաղթող	ɑ ɾ d ɑ kʰ ɑ χ tʰ ɔ ʁ
արտադրանք	ɑ ɾ d ɑ tʰ ɾ ɑ ŋ kʰ
արտադրել	ɑ ɾ d ɑ tʰ ɾ ɛ l
արտադրող	ɑ ɾ d ɑ tʰ ɾ ɔ ʁ
արտադրություն	ɑ ɾ d ɑ tʰ ɾ u tʰ ʏ n
արտախուրակ	ɑ ɾ d ɑ χ u ɾ ɑ ɡ
արտակ	ɑ ɾ d ɑ ɡ
արտակարգ	ɑ ɾ d ɑ ɡ ɑ ɾ kʰ
արտահայտություն	ɑ ɾ d ɑ h ɑ j d u tʰ ʏ n
արտահանձնում	ɑ ɾ d ɑ h ɑ n t͡sʰ n u m
արտահանում	ɑ ɾ d ɑ h ɑ n u m
արտահերթ	ɑ ɾ d ɑ h ɛ ɾ tʰ
արտաշատ	ɑ ɾ d ɑ ʃ ɑ d
արտաշես	ɑ ɾ d ɑ ʃ ɛ s
արտաշիր	ɑ ɾ d ɑ ʃ i ɾ
արտապատվիրում	ɑ ɾ d ɑ b ɑ d v i ɾ u m
արտասահման	ɑ ɾ d ɑ s ɑ h m ɑ n
արտասահմանցի	ɑ ɾ d ɑ s ɑ h m ɑ n t͡sʰ i
արտասանություն	ɑ ɾ d ɑ s ɑ n u tʰ ʏ n
արտասովոր	ɑ ɾ d ɑ s ɔ v ɔ ɾ
արտասունք	ɑ ɾ d ɑ s u ŋ kʰ
արտասուք	ɑ ɾ d ɑ s u kʰ
արտասվել	ɑ ɾ d ɑ s v ɛ l
արտավան	ɑ ɾ d ɑ v ɑ n
արտավար	ɑ ɾ d ɑ v ɑ ɾ
արտարժույթ	ɑ ɾ d ɑ ɾ ʒ u j tʰ
արտացոլում	ɑ ɾ d ɑ t͡sʰ ɔ l u m
արտաքին	ɑ ɾ d ɑ kʰ i n
արտաքո	ɑ ɾ d ɑ kʰ ɔ
արտաքուստ	ɑ ɾ d ɑ kʰ u s t
արտաքսել	ɑ ɾ d ɑ kʰ s ɛ l
արտեմիս	ɑ ɾ d ɛ m i s
արտեւան	ɑ ɾ d ɛ v ɑ n
արտեւանունք	ɑ ɾ d ɛ v ɑ n u ŋ kʰ
արտյոմ	ɑ ɾ d j ɔ m
արտոնագիր	ɑ ɾ d ɔ n ɑ kʰ i ɾ
արտոնություն	ɑ ɾ d ɔ n u tʰ ʏ n
արտոսր	ɑ ɾ d ɔ s ə ɾ
արտորալ	ɑ ɾ d ɔ ɾ ɑ l
արտորայք	ɑ ɾ d ɔ ɾ ɑ j kʰ
արտույտ	ɑ ɾ d u j d
արտուքյան	ɑ ɾ d u kʰ j ɑ n
արցախ	ɑ ɾ t͡sʰ ɑ χ
արցախյան	ɑ ɾ t͡sʰ ɑ χ j ɑ n
արցունք	ɑ ɾ t͡sʰ u ŋ kʰ
արփենի	ɑ ɾ pʰ ɛ n i
արփի	ɑ ɾ pʰ i
արքա	ɑ ɾ kʰ ɑ
արքադ	ɑ ɾ kʰ ɑ tʰ
արքայադուստր	ɑ ɾ kʰ ɑ j ɑ tʰ u s t ə ɾ
արքայազն	ɑ ɾ kʰ ɑ j ɑ z ə n
արքայախնձոր	ɑ ɾ kʰ ɑ j ɑ χ ə n t͡sʰ ɔ ɾ
արքայական	ɑ ɾ kʰ ɑ j ɑ ɡ ɑ n
արքայամոր	ɑ ɾ kʰ ɑ j ɑ m ɔ ɾ
արքայամորի	ɑ ɾ kʰ ɑ j ɑ m ɔ ɾ i
արքայանարինջ	ɑ ɾ kʰ ɑ j ɑ n ɑ ɾ i n t͡ʃʰ
արքայասպան	ɑ ɾ kʰ ɑ j ɑ s p ɑ n
արքայություն	ɑ ɾ kʰ ɑ j u tʰ ʏ n
արքատ	ɑ ɾ kʰ ɑ d
արքիլոքոս	ɑ ɾ kʰ i l ɔ kʰ ɔ s
արքիմեդ	ɑ ɾ kʰ i m ɛ tʰ
արքունի	ɑ ɾ kʰ u n i
արքունիք	ɑ ɾ kʰ u n i kʰ
արօս	ɑ ɾ ɔ s
ափ	ɑ pʰ
ափափա	ɑ pʰ ɑ pʰ ɑ
ափի	ɑ pʰ i
ափիոն	ɑ pʰ i j ɔ n
ափիոն	ɑ pʰ j ɔ n
ափու	ɑ pʰ u
ափսար	ɑ pʰ s ɑ ɾ
ափսե	ɑ pʰ s ɛ
ափսոս	ɑ pʰ s ɔ s
ափրիկե	ɑ pʰ ɾ i ɡ ɛ
աք	ɑ kʰ
աքաղաղ	ɑ kʰ ɑ ʁ ɑ ʁ
աքայա	ɑ kʰ ɑ j ɑ
աքայական	ɑ kʰ ɑ j ɑ ɡ ɑ n
աքացի	ɑ kʰ ɑ t͡sʰ i
աքեմենյան	ɑ kʰ ɛ m ɛ n j ɑ n
աքիլլես	ɑ kʰ i lː ɛ s
աքիլլեսյան	ɑ kʰ i lː ɛ s j ɑ n
աքիս	ɑ kʰ i s
աքլոր	ɑ kʰ l ɔ ɾ
աքլորականչ	ɑ kʰ l ɔ ɾ ɑ ɡ ɑ n t͡ʃʰ
աքսիոմ	ɑ kʰ s i j ɔ m
աքսոր	ɑ kʰ s ɔ ɾ
աքսորաբնակ	ɑ kʰ s ɔ ɾ ɑ pʰ ə n ɑ ɡ
աքսորաբնակություն	ɑ kʰ s ɔ ɾ ɑ pʰ ə n ɑ ɡ u tʰ ʏ n
աքսորական	ɑ kʰ s ɔ ɾ ɑ ɡ ɑ n
աքսորակից	ɑ kʰ s ɔ ɾ ɑ ɡ i t͡sʰ
աքսորանք	ɑ kʰ s ɔ ɾ ɑ ŋ kʰ
աքսորավայր	ɑ kʰ s ɔ ɾ ɑ v ɑ j ɾ
աքսորատեղի	ɑ kʰ s ɔ ɾ ɑ d ɛ ʁ i
աքսորել	ɑ kʰ s ɔ ɾ ɛ l
աքսորյալ	ɑ kʰ s ɔ ɾ j ɑ l
աքսորում	ɑ kʰ s ɔ ɾ u m
աքսորվել	ɑ kʰ s ɔ ɾ v ɛ l
աքցան	ɑ kʰ t͡sʰ ɑ n
աքքա	ɑ kʰː ɑ
աքքադերեն	ɑ kʰː ɑ tʰ ɛ ɾ ɛ n
աֆանասի	ɑ f ɑ n ɑ s i
աֆարերեն	ɑ f ɑ ɾ ɛ ɾ ɛ n
աֆղան	ɑ f ʁ ɑ n
աֆղաներեն	ɑ f ʁ ɑ n ɛ ɾ ɛ n
աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ n
աֆրիկա	ɑ f ɾ i ɡ ɑ
աֆրիկական	ɑ f ɾ i ɡ ɑ ɡ ɑ n
աֆրիկանս	ɑ f ɾ i ɡ ɑ n s
աֆրիկացի	ɑ f ɾ i ɡ ɑ t͡sʰ i
աֆրիկյան	ɑ f ɾ i ɡ j ɑ n
բ	pʰ ə
բաալբեկ	pʰ ɑ ɑ l pʰ ɛ ɡ
բաբայան	pʰ ɑ pʰ ɑ j ɑ n
բաբան	pʰ ɑ pʰ ɑ n
բաբաջանյան	pʰ ɑ pʰ ɑ t͡ʃʰ ɑ n j ɑ n
բաբելոն	pʰ ɑ pʰ ɛ l ɔ n
բաբլոյան	pʰ ɑ pʰ l ɔ j ɑ n
բագարատ	pʰ ɑ kʰ ɑ ɾ ɑ d
բագին	pʰ ɑ kʰ i n
բագրատ	pʰ ɑ kʰ ɾ ɑ d
բագրատունի	pʰ ɑ kʰ ɾ ɑ d u n i
բագրատունյաց	pʰ ɑ kʰ ɾ ɑ d u n j ɑ t͡sʰ
բադ	pʰ ɑ tʰ
բադակտուց	pʰ ɑ tʰ ɑ ɡ ə d u t͡sʰ
բադարա	pʰ ɑ tʰ ɑ ɾ ɑ
բադմինտոն	pʰ ɑ tʰ m i n d ɔ n
բադրիջան	pʰ ɑ tʰ ɾ i t͡ʃʰ ɑ n
բազա	pʰ ɑ z ɑ
բազազ	pʰ ɑ z ɑ z
բազալտ	pʰ ɑ z ɑ l d
բազարդյուզյու	pʰ ɑ z ɑ ɾ tʰ ʏ z ʏ
բազե	pʰ ɑ z ɛ
բազկաթան	pʰ ɑ z ɡ ɑ tʰ ɑ n
բազկաթոռ	pʰ ɑ z ɡ ɑ tʰ ɔ ɾ
բազկերակ	pʰ ɑ z ɡ ɛ ɾ ɑ ɡ
բազմագիտակարգային	pʰ ɑ z m ɑ kʰ i d ɑ ɡ ɑ ɾ kʰ ɑ j i n
բազմագույն	pʰ ɑ z m ɑ kʰ u j n
բազմազան	pʰ ɑ z m ɑ z ɑ n
բազմազանություն	pʰ ɑ z m ɑ z ɑ n u tʰ ʏ n
բազմածաղիկ	pʰ ɑ z m ɑ d͡z ɑ ʁ i ɡ
բազմակնություն	pʰ ɑ z m ɑ ɡ ə n u tʰ ʏ n
բազմամարդ	pʰ ɑ z m ɑ m ɑ ɾ tʰ
բազմանալ	pʰ ɑ z m ɑ n ɑ l
բազմապատկել	pʰ ɑ z m ɑ b ɑ d ɡ ɛ l
բազմապատկիչ	pʰ ɑ z m ɑ b ɑ d ɡ i t͡ʃʰ
բազմապատկում	pʰ ɑ z m ɑ b ɑ d ɡ u m
բազմաստվածություն	pʰ ɑ z m ɑ s t v ɑ d͡z u tʰ ʏ n
բազմացում	pʰ ɑ z m ɑ t͡sʰ u m
բազմել	pʰ ɑ z m ɛ l
բազմերանգ	pʰ ɑ z m ɛ ɾ ɑ ŋ kʰ
բազմիցս	pʰ ɑ z m i t͡sʰ ə s
բազմոց	pʰ ɑ z m ɔ t͡sʰ
բազմություն	pʰ ɑ z m u tʰ ʏ n
բազուկ	pʰ ɑ z u ɡ
բազում	pʰ ɑ z u m
բազրիք	pʰ ɑ z ɾ i kʰ
բաթու	pʰ ɑ tʰ u
բաթում	pʰ ɑ tʰ u m
բաթումի	pʰ ɑ tʰ u m i
բաժ	pʰ ɑ ʒ
բաժակ	pʰ ɑ ʒ ɑ ɡ
բաժանել	pʰ ɑ ʒ ɑ n ɛ l
բաժանորդ	pʰ ɑ ʒ ɑ n ɔ ɾ tʰ
բաժանորդագիր	pʰ ɑ ʒ ɑ n ɔ ɾ tʰ ɑ kʰ i ɾ
բաժանում	pʰ ɑ ʒ ɑ n u m
բաժանվել	pʰ ɑ ʒ ɑ n v ɛ l
բաժին	pʰ ɑ ʒ i n
բաժնետոմս	pʰ ɑ ʒ n ɛ d ɔ m s
բալ	pʰ ɑ l
բալալայկա	pʰ ɑ l ɑ l ɑ j ɡ ɑ
բալախ	pʰ ɑ l ɑ χ
բալակլավա	pʰ ɑ l ɑ ɡ l ɑ v ɑ
բալայան	pʰ ɑ l ɑ j ɑ n
բալանս	pʰ ɑ l ɑ n s
բալատուր	pʰ ɑ l ɑ d u ɾ
բալատրենի	pʰ ɑ l ɑ d ɾ ɛ n i
բալենի	pʰ ɑ l ɛ n i
բալետ	pʰ ɑ l ɛ d
բալթիկ	pʰ ɑ l tʰ i ɡ
բալիկ	pʰ ɑ l i ɡ
բալկաններ	pʰ ɑ l ɡ ɑ nː ɛ ɾ
բալնիցա	pʰ ɑ l n i t͡sʰ ɑ
բալօղի	pʰ ɑ l ɔ ʁ i
բախ	pʰ ɑ χ
բախել	pʰ ɑ χ ɛ l
բախյուն	pʰ ɑ χ ʏ n
բախում	pʰ ɑ χ u m
բախչիսարայ	pʰ ɑ χ t͡ʃʰ i s ɑ ɾ ɑ j
բախտ	pʰ ɑ χ t
բախտախաղ	pʰ ɑ χ t ɑ χ ɑ ʁ
բակ	pʰ ɑ ɡ
բակլա	pʰ ɑ ɡ l ɑ
բակո	pʰ ɑ ɡ ɔ
բակուր	pʰ ɑ ɡ u ɾ
բակտերիա	pʰ ɑ ɡ d ɛ ɾ j ɑ
բակտրերեն	pʰ ɑ ɡ d ɾ ɛ ɾ ɛ n
բակքիլիդես	pʰ ɑ kʰː i l i tʰ ɛ s
բահ	pʰ ɑ h
բահակ	pʰ ɑ h ɑ ɡ
բահամյան	pʰ ɑ h ɑ m j ɑ n
բահամներ	pʰ ɑ h ɑ m n ɛ ɾ
բահայի	pʰ ɑ h ɑ j i
բահիկ	pʰ ɑ h i ɡ
բահրեյն	pʰ ɑ h ɾ ɛ j n
բաղադրիչ	pʰ ɑ ʁ ɑ tʰ ɾ i t͡ʃʰ
բաղաձայն	pʰ ɑ ʁ ɑ t͡sʰ ɑ j n
բաղարջ	pʰ ɑ ʁ ɑ ɾ t͡ʃʰ
բաղբանջել	pʰ ɑ χ pʰ ɑ n t͡ʃʰ ɛ l
բաղբաջանք	pʰ ɑ χ pʰ ɑ t͡ʃʰ ɑ ŋ kʰ
բաղբաջել	pʰ ɑ χ pʰ ɑ t͡ʃʰ ɛ l
բաղդադ	pʰ ɑ χ tʰ ɑ tʰ
բաղդասար	pʰ ɑ χ tʰ ɑ s ɑ ɾ
բաղդասարյան	pʰ ɑ χ tʰ ɑ s ɑ ɾ j ɑ n
բաղեղ	pʰ ɑ ʁ ɛ ʁ
բաղխել	pʰ ɑ χː ɛ l
բաղձալ	pʰ ɑ χ t͡sʰ ɑ l
բաղձանք	pʰ ɑ χ t͡sʰ ɑ ŋ kʰ
բաղնիք	pʰ ɑ ʁ n i kʰ
բաղչա	pʰ ɑ χ t͡ʃʰ ɑ
բաղրամյան	pʰ ɑ ʁ ɾ ɑ m j ɑ n
բաճկոն	pʰ ɑ d͡ʒ ɡ ɔ n
բամակո	pʰ ɑ m ɑ ɡ ɔ
բամբակ	pʰ ɑ m pʰ ɑ ɡ
բամբաս	pʰ ɑ m pʰ ɑ s
բամբասանք	pʰ ɑ m pʰ ɑ s ɑ ŋ kʰ
բամբասել	pʰ ɑ m pʰ ɑ s ɛ l
բամբարա	pʰ ɑ m pʰ ɑ ɾ ɑ
բամբիշ	pʰ ɑ m pʰ i ʃ
բամիա	pʰ ɑ m j ɑ
բայ	pʰ ɑ j
բայբարս	pʰ ɑ j pʰ ɑ ɾ s
բայկալ	pʰ ɑ j ɡ ɑ l
բայղուշ	pʰ ɑ j ʁ u ʃ
բայոց	pʰ ɑ j ɔ t͡sʰ
բայց	pʰ ɑ j t͡sʰ
բան	pʰ ɑ n
բանալ	pʰ ɑ n ɑ l
բանալի	pʰ ɑ n ɑ l i
բանակ	pʰ ɑ n ɑ ɡ
բանական	pʰ ɑ n ɑ ɡ ɑ n
բանականություն	pʰ ɑ n ɑ ɡ ɑ n u tʰ ʏ n
բանակցել	pʰ ɑ n ɑ kʰ t͡sʰ ɛ l
բանակցել	pʰ ɑ n ɑ ɡ ə t͡sʰ ɛ l
բանակցություն	pʰ ɑ n ɑ kʰ t͡sʰ u tʰ ʏ n
բանաձեւ	pʰ ɑ n ɑ t͡sʰ ɛ v
բանան	pʰ ɑ n ɑ n
բանասիրություն	pʰ ɑ n ɑ s i ɾ u tʰ ʏ n
բանաստեղծ	pʰ ɑ n ɑ s t ɛ ʁ d͡z
բանաստեղծություն	pʰ ɑ n ɑ s t ɛ ʁ d͡z u tʰ ʏ n
բանաստեղծուհի	pʰ ɑ n ɑ s t ɛ ʁ d͡z u h i
բանավեճ	pʰ ɑ n ɑ v ɛ d͡ʒ
բանավոր	pʰ ɑ n ɑ v ɔ ɾ
բանբեր	pʰ ɑ n pʰ ɛ ɾ
բանգալուր	pʰ ɑ ŋ kʰ ɑ l u ɾ
բանգլադեշ	pʰ ɑ ŋ kʰ l ɑ tʰ ɛ ʃ
բանդունգ	pʰ ɑ n tʰ u ŋ kʰ
բանել	pʰ ɑ n ɛ l
բանեցնել	pʰ ɑ n ɛ t͡sʰ ə n ɛ l
բանկ	pʰ ɑ ŋ ɡ
բանկա	pʰ ɑ ŋ ɡ ɑ
բանկային	pʰ ɑ ŋ ɡ ɑ j i n
բանկլ	pʰ ɑ ŋ ɡ ə l
բաննա	pʰ ɑ nː ɑ
բանջար	pʰ ɑ n t͡ʃʰ ɑ ɾ
բանջարանոց	pʰ ɑ n t͡ʃʰ ɑ ɾ ɑ n ɔ t͡sʰ
բանջարեղեն	pʰ ɑ n t͡ʃʰ ɑ ɾ ɛ ʁ ɛ n
բանջուլ	pʰ ɑ n t͡ʃʰ u l
բանսարկու	pʰ ɑ n s ɑ ɾ ɡ u
բանվոր	pʰ ɑ n v ɔ ɾ
բանտ	pʰ ɑ n d
բանտարկել	pʰ ɑ n d ɑ ɾ ɡ ɛ l
բանտարկյալ	pʰ ɑ n d ɑ ɾ ɡ j ɑ l
բանտարկություն	pʰ ɑ n d ɑ ɾ ɡ u tʰ ʏ n
բաշիբոզուկ	pʰ ɑ ʃ i pʰ ɔ z u ɡ
բաշխել	pʰ ɑ ʃ χ ɛ l
բաշկիրերեն	pʰ ɑ ʃ k i ɾ ɛ ɾ ɛ n
բաոբաբ	pʰ ɑ ɔ pʰ ɑ pʰ
բաջաղանք	pʰ ɑ t͡ʃʰ ɑ ʁ ɑ ŋ kʰ
բաջաղել	pʰ ɑ t͡ʃʰ ɑ ʁ ɛ l
բաջանաղ	pʰ ɑ t͡ʃʰ ɑ n ɑ ʁ
բաջի	b ɑ d͡ʒ i
բառ	pʰ ɑ ɾ
բառագիրք	pʰ ɑ ɾ ɑ kʰ i ɾ kʰ
բառադի	pʰ ɑ ɾ ɑ tʰ i
բառախաղ	pʰ ɑ ɾ ɑ χ ɑ ʁ
բառակազմություն	pʰ ɑ ɾ ɑ ɡ ɑ z m u tʰ ʏ n
բառակապակցություն	pʰ ɑ ɾ ɑ ɡ ɑ b ɑ kʰ t͡sʰ u tʰ ʏ n
բառամթերք	pʰ ɑ ɾ ɑ m ə tʰ ɛ ɾ kʰ
բառապաշար	pʰ ɑ ɾ ɑ b ɑ ʃ ɑ ɾ
բառապատճեն	pʰ ɑ ɾ ɑ b ɑ d d͡ʒ ɛ n
բառապատճենում	pʰ ɑ ɾ ɑ b ɑ d d͡ʒ ɛ n u m
բառարան	pʰ ɑ ɾ ɑ ɾ ɑ n
բառացանկ	pʰ ɑ ɾ ɑ t͡sʰ ɑ ŋ ɡ
բառացի	pʰ ɑ ɾ ɑ t͡sʰ i
բառգիրք	pʰ ɑ ɾ kʰ i ɾ kʰ
բառնալ	pʰ ɑ ɾ n ɑ l
բառնաուլ	pʰ ɑ ɾ n ɑ u l
բառույթ	pʰ ɑ ɾ u j tʰ
բասկետբոլ	pʰ ɑ s k ɛ tʰ pʰ ɔ l
բասկերեն	pʰ ɑ s k ɛ ɾ ɛ n
բաստուրմա	pʰ ɑ s t u ɾ m ɑ
բավ	pʰ ɑ v
բավական	pʰ ɑ v ɑ ɡ ɑ n
բավարար	pʰ ɑ v ɑ ɾ ɑ ɾ
բավարարել	pʰ ɑ v ɑ ɾ ɑ ɾ ɛ l
բավարացի	pʰ ɑ v ɑ ɾ ɑ t͡sʰ i
բավարիա	pʰ ɑ v ɑ ɾ j ɑ
բավիղ	pʰ ɑ v i ʁ
բատ	pʰ ɑ d
բատիսկաֆ	pʰ ɑ d i s k ɑ f
բար	pʰ ɑ ɾ
բարակ	pʰ ɑ ɾ ɑ ɡ
բարաք	pʰ ɑ ɾ ɑ kʰ
բարբադոս	pʰ ɑ ɾ pʰ ɑ tʰ ɔ s
բարբանջ	pʰ ɑ ɾ pʰ ɑ n t͡ʃʰ
բարբանջանք	pʰ ɑ ɾ pʰ ɑ n t͡ʃʰ ɑ ŋ kʰ
բարբանջել	pʰ ɑ ɾ pʰ ɑ n t͡ʃʰ ɛ l
բարբաջ	pʰ ɑ ɾ pʰ ɑ t͡ʃʰ
բարբաջանք	pʰ ɑ ɾ pʰ ɑ t͡ʃʰ ɑ ŋ kʰ
բարբաջել	pʰ ɑ ɾ pʰ ɑ t͡ʃʰ ɛ l
բարբառ	pʰ ɑ ɾ pʰ ɑ ɾ
բարբառային	pʰ ɑ ɾ pʰ ɑ ɾ ɑ j i n
բարբառել	pʰ ɑ ɾ pʰ ɑ ɾ ɛ l
բարբարոս	pʰ ɑ ɾ pʰ ɑ ɾ ɔ s
բարգավաճ	pʰ ɑ ɾ kʰ ɑ v ɑ d͡ʒ
բարդ	pʰ ɑ ɾ tʰ
բարդացնել	pʰ ɑ ɾ tʰ ɑ t͡sʰ ə n ɛ l
բարդություն	pʰ ɑ ɾ tʰ u tʰ ʏ n
բարդուղիմեոս	pʰ ɑ ɾ tʰ u ʁ i m ɛ ɔ s
բարդույթ	pʰ ɑ ɾ tʰ u j tʰ
բարեգործական	pʰ ɑ ɾ ɛ kʰ ɔ ɾ d͡z ɑ ɡ ɑ n
բարեգործություն	pʰ ɑ ɾ ɛ kʰ ɔ ɾ d͡z u tʰ ʏ n
բարելավել	pʰ ɑ ɾ ɛ l ɑ v ɛ l
բարեկամ	pʰ ɑ ɾ ɛ ɡ ɑ m
բարեկամական	pʰ ɑ ɾ ɛ ɡ ɑ m ɑ ɡ ɑ n
բարեկամություն	pʰ ɑ ɾ ɛ ɡ ɑ m u tʰ ʏ n
բարեկենդան	pʰ ɑ ɾ ɛ ɡ ɛ n tʰ ɑ n
բարեմասնություն	pʰ ɑ ɾ ɛ m ɑ s n u tʰ ʏ n
բարեպաշտ	pʰ ɑ ɾ ɛ b ɑ ʃ t
բարեպաշտություն	pʰ ɑ ɾ ɛ b ɑ ʃ t u tʰ ʏ n
բարեսեր	pʰ ɑ ɾ ɛ s ɛ ɾ
բարեւ	pʰ ɑ ɾ ɛ v
բարեւել	pʰ ɑ ɾ ɛ v ɛ l
բարեփոխում	pʰ ɑ ɾ ɛ pʰ ɔ χ u m
բարի	pʰ ɑ ɾ i
բարիկադ	pʰ ɑ ɾ i ɡ ɑ tʰ
բարիշել	pʰ ɑ ɾ i ʃ ɛ l
բարիոն	pʰ ɑ ɾ i j ɔ n
բարիք	pʰ ɑ ɾ i kʰ
բարխուդար	pʰ ɑ ɾ χ u tʰ ɑ ɾ
