A	a
betorkik	b e t o r k i k
betorkin	b e t o r k i n
betorkio	b e t o r k i o
betorkit	b e t o r k i t
betorkizu	b e t o r k i s̻ u
betorkizu	b e t o r k i s̻ u
betorkizu	b e t o r k i s̺ u
betorkizue	b e t o r k i s̻ u e
betorkizue	b e t o r k i s̻ u e
betorkizue	b e t o r k i s̺ u e
betoz	b e t o s̻
betoz	b e t o s̻
betoz	b e t o s̺
betozkie	b e t o s̻ k i e
betozkie	b e t o s̻ k i e
betozkie	b e t o s̺ k i e
betozkigu	b e t o s̻ k i ɡ u
betozkigu	b e t o s̻ k i ɡ u
betozkigu	b e t o s̺ k i ɡ u
betozkik	b e t o s̻ k i k
betozkik	b e t o s̻ k i k
betozkik	b e t o s̺ k i k
betozkin	b e t o s̻ k i n
betozkin	b e t o s̻ k i n
betozkin	b e t o s̺ k i n
betozkio	b e t o s̻ k i o
betozkio	b e t o s̻ k i o
betozkio	b e t o s̺ k i o
betozkit	b e t o s̻ k i t
betozkit	b e t o s̻ k i t
betozkit	b e t o s̺ k i t
betozkizu	b e t o s̻ k i s̻ u
betozkizu	b e t o s̻ k i s̻ u
betozkizu	b e t o s̺ k i s̺ u
betozkizue	b e t o s̻ k i s̻ u e
betozkizue	b e t o s̻ k i s̻ u e
betozkizue	b e t o s̺ k i s̺ u e
betxekie	b e t͡ʃ e k i e
betxekigu	b e t͡ʃ e k i ɡ u
betxekik	b e t͡ʃ e k i k
betxekin	b e t͡ʃ e k i n
betxekio	b e t͡ʃ e k i o
betxekit	b e t͡ʃ e k i t
betxekizu	b e t͡ʃ e k i s̻ u
betxekizu	b e t͡ʃ e k i s̻ u
betxekizu	b e t͡ʃ e k i s̺ u
betxekizue	b e t͡ʃ e k i s̻ u e
betxekizue	b e t͡ʃ e k i s̻ u e
betxekizue	b e t͡ʃ e k i s̺ u e
betxezkie	b e t͡ʃ e s̻ k i e
betxezkie	b e t͡ʃ e s̻ k i e
betxezkie	b e t͡ʃ e s̺ k i e
betxezkigu	b e t͡ʃ e s̻ k i ɡ u
betxezkigu	b e t͡ʃ e s̻ k i ɡ u
betxezkigu	b e t͡ʃ e s̺ k i ɡ u
betxezkik	b e t͡ʃ e s̻ k i k
betxezkik	b e t͡ʃ e s̻ k i k
betxezkik	b e t͡ʃ e s̺ k i k
betxezkin	b e t͡ʃ e s̻ k i n
betxezkin	b e t͡ʃ e s̻ k i n
betxezkin	b e t͡ʃ e s̺ k i n
betxezkio	b e t͡ʃ e s̻ k i o
betxezkio	b e t͡ʃ e s̻ k i o
betxezkio	b e t͡ʃ e s̺ k i o
betxezkit	b e t͡ʃ e s̻ k i t
betxezkit	b e t͡ʃ e s̻ k i t
betxezkit	b e t͡ʃ e s̺ k i t
betxezkizu	b e t͡ʃ e s̻ k i s̻ u
betxezkizu	b e t͡ʃ e s̻ k i s̻ u
betxezkizu	b e t͡ʃ e s̺ k i s̺ u
betxezkizue	b e t͡ʃ e s̻ k i s̻ u e
betxezkizue	b e t͡ʃ e s̻ k i s̻ u e
betxezkizue	b e t͡ʃ e s̺ k i s̺ u e
betza	b e t͡s̻ a
betzulo	b e t͡s̻ u l o
beude	b e u̯ d e
beuka	b e u̯ k a
beukate	b e u̯ k a t e
beutse	b e u̯ t͡s̺ e
beutse	b e u̯ t͡s̺ e
beutse	b e u̯ t͡s̻ e
beutsete	b e u̯ t͡s̺ e t e
beutsete	b e u̯ t͡s̺ e t e
beutsete	b e u̯ t͡s̻ e t e
beutso	b e u̯ t͡s̺ o
beutso	b e u̯ t͡s̺ o
beutso	b e u̯ t͡s̻ o
beutsote	b e u̯ t͡s̺ o t e
beutsote	b e u̯ t͡s̺ o t e
beutsote	b e u̯ t͡s̻ o t e
beutza	b e u̯ t͡s̻ a
beuzka	b e u̯ s̻ k a
beuzka	b e u̯ s̻ k a
beuzka	b e u̯ s̺ k a
beuzkate	b e u̯ s̻ k a t e
beuzkate	b e u̯ s̻ k a t e
beuzkate	b e u̯ s̺ k a t e
beza	b e s̻ a
beza	b e s̻ a
beza	b e s̺ a
bezagu	b e s̻ a ɡ u
bezagu	b e s̻ a ɡ u
bezagu	b e s̺ a ɡ u
bezagute	b e s̻ a ɡ u t e
bezagute	b e s̻ a ɡ u t e
bezagute	b e s̺ a ɡ u t e
bezaguzki	b e s̻ a ɡ u s̻ k i
bezaguzki	b e s̻ a ɡ u s̻ k i
bezaguzki	b e s̺ a ɡ u s̺ k i
bezaguzkite	b e s̻ a ɡ u s̻ k i t e
bezaguzkite	b e s̻ a ɡ u s̻ k i t e
bezaguzkite	b e s̺ a ɡ u s̺ k i t e
bezala	b e s̻ a l a
bezala	b e s̻ a l a
bezala	b e s̺ a l a
bezate	b e s̻ a t e
bezate	b e s̻ a t e
bezate	b e s̺ a t e
bi	b i
bibote	b i b o t e
bidaia	b i d a i̯ a
Bidarte	b i d a r t e
bide	b i d e
bidegorri	b i d e ɡ o r i
bidesari	b i d e s̺ a ɾ i
Bielorrusia	b i e l o r u s̺ i a
bielorrusiera	b i e l o r u s̺ i e ɾ a
biera	b i e ɾ a
bigarren	b i ɡ a r e n
bihar	b i h a r
bihar	b i a r
bihardu	b i h a r d u
bihardu	b i a r d u
biharduka	b i h a r d u k a
biharduka	b i a r d u k a
bihardukate	b i h a r d u k a t e
bihardukate	b i a r d u k a t e
bihardute	b i h a r d u t e
bihardute	b i a r d u t e
biharko	b i h a r k o
biharko	b i a r k o
biharrera	b i h a r e ɾ a
biharrera	b i a r e ɾ a
bihartik	b i h a r t i k
bihartik	b i a r t i k
bihitegi	b i h i t e ɡ i
bihitegi	b i t e ɡ i
bihoa	b i h o a
bihoa	b i x o a
bihoakie	b i h o a k i e
bihoakie	b i x o a k i e
bihoakigu	b i h o a k i ɡ u
bihoakigu	b i x o a k i ɡ u
bihoakik	b i h o a k i k
bihoakik	b i x o a k i k
bihoakin	b i h o a k i n
bihoakin	b i x o a k i n
bihoakio	b i h o a k i o
bihoakio	b i x o a k i o
bihoakit	b i h o a k i t
bihoakit	b i x o a k i t
bihoakizu	b i h o a k i s̻ u
bihoakizu	b i x o a k i s̻ u
bihoakizu	b i x o a k i s̻ u
bihoakizu	b i x o a k i s̺ u
bihoakizue	b i h o a k i s̻ u e
bihoakizue	b i x o a k i s̻ u e
bihoakizue	b i x o a k i s̻ u e
bihoakizue	b i x o a k i s̺ u e
bihoaz	b i h o a s̻
bihoaz	b i x o a s̻
bihoaz	b i x o a s̻
bihoaz	b i x o a s̺
bihoazkie	b i h o a s̻ k i e
bihoazkie	b i x o a s̻ k i e
bihoazkie	b i x o a s̻ k i e
bihoazkie	b i x o a s̺ k i e
bihoazkigu	b i h o a s̻ k i ɡ u
bihoazkigu	b i x o a s̻ k i ɡ u
bihoazkigu	b i x o a s̻ k i ɡ u
bihoazkigu	b i x o a s̺ k i ɡ u
bihoazkik	b i h o a s̻ k i k
bihoazkik	b i x o a s̻ k i k
bihoazkik	b i x o a s̻ k i k
bihoazkik	b i x o a s̺ k i k
bihoazkin	b i h o a s̻ k i n
bihoazkin	b i x o a s̻ k i n
bihoazkin	b i x o a s̻ k i n
bihoazkin	b i x o a s̺ k i n
bihoazkio	b i h o a s̻ k i o
bihoazkio	b i x o a s̻ k i o
bihoazkio	b i x o a s̻ k i o
bihoazkio	b i x o a s̺ k i o
bihoazkit	b i h o a s̻ k i t
bihoazkit	b i x o a s̻ k i t
bihoazkit	b i x o a s̻ k i t
bihoazkit	b i x o a s̺ k i t
bihoazkizu	b i h o a s̻ k i s̻ u
bihoazkizu	b i x o a s̻ k i s̻ u
bihoazkizu	b i x o a s̻ k i s̻ u
bihoazkizu	b i x o a s̺ k i s̺ u
bihoazkizue	b i h o a s̻ k i s̻ u e
bihoazkizue	b i x o a s̻ k i s̻ u e
bihoazkizue	b i x o a s̻ k i s̻ u e
bihoazkizue	b i x o a s̺ k i s̺ u e
bihotz	b i h o t͡s̻
bihotz	b i o t͡s̻
bihotzerre	b i h o t͡s̻ e r e
bihotzerre	b i o t͡s̻ e r e
bihur	b i u r
bihur	b i h u r
bihurri	b i h u r i
bihurri	b i u r i
bihurritu	b i u r i t u
bihurritu	b i h u r i t u
bihurtu	b i u r t u
bihurtu	b i h u r t u
bikain	b i k a i̯ n
Bikendi	b i k e n d i
bikoitz	b i k o i̯ t͡s̻
bikote	b i k o t e
bila	b i l a
bila	b i ʎ a
bilaketa	b i l a k e t a
bilaketa	b i ʎ a k e t a
bilatu	b i l a t u
bilatu	b i ʎ a t u
Bilbo	b i l b o
bilbotar	b i l b o t a r
bildil	b i l d i l
bildots	b i l d o t͡s̺
bildots	b i l d o t͡s̺
bildots	b i l d o t͡s̻
bildu	b i l d u
bildumagile	b i l d u m a ɡ i l e
bildumagile	b i l d u m a ɡ i ʎ e
bilur	b i l u r
bilur	b i ʎ u r
Bingen	b i n ɡ e n
biologia	b i o l o ɡ i a
biologiak	b i o l o ɡ i a k
biologo	b i o l o ɡ o
bira	b i ɾ a
birao	b i ɾ a o
birau	b i ɾ a u̯
biraute	b i ɾ a u̯ t e
biribilketa	b i ɾ i b i l k e t a
birika	b i ɾ i k a
birudi	b i ɾ u d i
birudite	b i ɾ u d i t e
bisexualitate	b i s̺ e k s̺ u a l i t a t e
bisexualitate	b i s̺ e k s̺ w a l i t a t e
bisita	b i s̺ i t a
bista	b i s̺ t a
bisuts	b i s̺ u t͡s̺
bisuts	b i s̺ u t͡s̺
bisuts	b i s̺ u t͡s̻
bitartean	b i t a r t e a n
bitez	b i t e s̻
bitez	b i t e s̻
bitez	b i t e s̺
bitza	b i t͡s̻ a
bitzate	b i t͡s̻ a t e
Bixente	b i ʃ e n t e
Bixintxo	b i ʃ i n t͡ʃ o
biz	b i s̻
biz	b i s̻
biz	b i s̺
bizar	b i s̻ a r
bizar	b i s̻ a r
bizar	b i s̺ a r
bizargile	b i s̻ a r ɡ i l e
bizargile	b i s̻ a r ɡ i ʎ e
bizargile	b i s̻ a r ɡ i ʎ e
bizargile	b i s̺ a r ɡ i ʎ e
Bizen	b i s̻ e n
Bizen	b i s̻ e n
Bizen	b i s̺ e n
Bizente	b i s̻ e n t e
Bizente	b i s̻ e n t e
Bizente	b i s̺ e n t e
bizi	b i s̻ i
bizi	b i s̻ i
bizi	b i s̺ i
bizikleta	b i s̻ i k l e t a
bizikleta	b i s̻ i k l e t a
bizikleta	b i s̺ i k l e t a
bizimodu	b i s̻ i m o d u
bizimodu	b i s̻ i m o d u
bizimodu	b i s̺ i m o d u
bizitza	b i s̻ i t͡s̻ a
bizitza	b i s̻ i t͡s̻ a
bizitza	b i s̺ i t͡s̻ a
Bizkaia	b i s̻ k a i̯ a
Bizkaia	b i s̻ k a i̯ a
Bizkaia	b i s̺ k a i̯ a
bizkar	b i s̻ k a r
bizkar	b i s̻ k a r
bizkar	b i s̺ k a r
bizkor	b i s̻ k o r
bizkor	b i s̻ k o r
bizkor	b i s̺ k o r
bizpahiru	b i s̻ p a h i ɾ u
bizpahiru	b i s̻ p a i̯ ɾ u
bizpahiru	b i s̻ p a i̯ ɾ u
bizpahiru	b i s̺ p a i̯ ɾ u
bizpahirunaka	b i s̻ p a h i ɾ u n a k a
bizpahirunaka	b i s̻ p a i̯ ɾ u n a k a
bizpahirunaka	b i s̻ p a i̯ ɾ u n a k a
bizpahirunaka	b i s̺ p a i̯ ɾ u n a k a
biztanle	b i s̻ t a n l e
biztanle	b i s̻ t a n l e
biztanle	b i s̺ t a n l e
bloke	b l o k e
boilur	b o i̯ l u r
boilur	b o ʎ u r
bolada	b o l a d a
bolante	b o l a n t e
boli	b o l i
Bolibar	b o l i b a r
boligrafo	b o l i ɡ r a f o
borda	b o r d a
bordak	b o r d a k
bordako	b o r d a k o
bordalde	b o r d a l d e
bordaldea	b o r d a l d e a
bordaldeak	b o r d a l d e a k
bordaldean	b o r d a l d e a n
bordaldearekin	b o r d a l d e a ɾ e k i n
bordaldearen	b o r d a l d e a ɾ e n
bordaldearengatik	b o r d a l d e a ɾ e n ɡ a t i k
bordaldearentzat	b o r d a l d e a ɾ e n t͡s̻ a t
bordaldeari	b o r d a l d e a ɾ i
bordaldeaz	b o r d a l d e a s̻
bordaldeaz	b o r d a l d e a s̻
bordaldeaz	b o r d a l d e a s̺
bordaldeei	b o r d a l d e e i̯
bordaldeek	b o r d a l d e e k
bordaldeekin	b o r d a l d e e k i n
bordaldeen	b o r d a l d e e n
bordaldeengatik	b o r d a l d e e n ɡ a t i k
bordaldeentzat	b o r d a l d e e n t͡s̻ a t
bordaldeetako	b o r d a l d e e t a k o
bordaldeetan	b o r d a l d e e t a n
bordaldeetara	b o r d a l d e e t a ɾ a
bordaldeetaraino	b o r d a l d e e t a ɾ a i̯ n o
bordaldeetaraino	b o r d a l d e e t a ɾ a ɲ o
bordaldeetarako	b o r d a l d e e t a ɾ a k o
bordaldeetarantz	b o r d a l d e e t a ɾ a n t͡s̻
bordaldeetatik	b o r d a l d e e t a t i k
bordaldeez	b o r d a l d e e s̻
bordaldeez	b o r d a l d e e s̻
bordaldeez	b o r d a l d e e s̺
bordaldek	b o r d a l d e k
bordaldeko	b o r d a l d e k o
bordaldera	b o r d a l d e ɾ a
bordalderaino	b o r d a l d e ɾ a i̯ n o
bordalderaino	b o r d a l d e ɾ a ɲ o
bordalderako	b o r d a l d e ɾ a k o
bordalderantz	b o r d a l d e ɾ a n t͡s̻
bordalderekin	b o r d a l d e ɾ e k i n
bordalderen	b o r d a l d e ɾ e n
bordalderengatik	b o r d a l d e ɾ e n ɡ a t i k
bordalderentzat	b o r d a l d e ɾ e n t͡s̻ a t
bordalderi	b o r d a l d e ɾ i
bordalderik	b o r d a l d e ɾ i k
bordaldetako	b o r d a l d e t a k o
bordaldetan	b o r d a l d e t a n
bordaldetara	b o r d a l d e t a ɾ a
bordaldetaraino	b o r d a l d e t a ɾ a i̯ n o
bordaldetaraino	b o r d a l d e t a ɾ a ɲ o
bordaldetarako	b o r d a l d e t a ɾ a k o
bordaldetarantz	b o r d a l d e t a ɾ a n t͡s̻
bordaldetatik	b o r d a l d e t a t i k
bordaldetik	b o r d a l d e t i k
bordaldetzat	b o r d a l d e t͡s̻ a t
bordaldez	b o r d a l d e s̻
bordaldez	b o r d a l d e s̻
bordaldez	b o r d a l d e s̺
bordan	b o r d a n
bordara	b o r d a ɾ a
bordaraino	b o r d a ɾ a i̯ n o
bordaraino	b o r d a ɾ a ɲ o
bordarako	b o r d a ɾ a k o
bordarantz	b o r d a ɾ a n t͡s̻
bordarekin	b o r d a ɾ e k i n
bordaren	b o r d a ɾ e n
bordarengatik	b o r d a ɾ e n ɡ a t i k
bordarentzat	b o r d a ɾ e n t͡s̻ a t
bordari	b o r d a ɾ i
bordaria	b o r d a ɾ i a
bordariak	b o r d a ɾ i a k
bordarian	b o r d a ɾ i a n
bordariarekin	b o r d a ɾ i a ɾ e k i n
bordariaren	b o r d a ɾ i a ɾ e n
bordariarengan	b o r d a ɾ i a ɾ e n ɡ a n
bordariarengana	b o r d a ɾ i a ɾ e n ɡ a n a
bordariarenganaino	b o r d a ɾ i a ɾ e n ɡ a n a i̯ n o
bordariarenganaino	b o r d a ɾ i a ɾ e n ɡ a n a ɲ o
bordariarenganako	b o r d a ɾ i a ɾ e n ɡ a n a k o
bordariarenganantz	b o r d a ɾ i a ɾ e n ɡ a n a n t͡s̻
bordariarengandik	b o r d a ɾ i a ɾ e n ɡ a n d i k
bordariarengatik	b o r d a ɾ i a ɾ e n ɡ a t i k
bordariarentzat	b o r d a ɾ i a ɾ e n t͡s̻ a t
bordariari	b o r d a ɾ i a ɾ i
bordariaz	b o r d a ɾ i a s̻
bordariaz	b o r d a ɾ i a s̻
bordariaz	b o r d a ɾ i a s̺
bordariei	b o r d a ɾ i e i̯
bordariek	b o r d a ɾ i e k
bordariekin	b o r d a ɾ i e k i n
bordarien	b o r d a ɾ i e n
bordariengan	b o r d a ɾ i e n ɡ a n
bordariengana	b o r d a ɾ i e n ɡ a n a
bordarienganaino	b o r d a ɾ i e n ɡ a n a i̯ n o
bordarienganaino	b o r d a ɾ i e n ɡ a n a ɲ o
bordarienganako	b o r d a ɾ i e n ɡ a n a k o
bordarienganantz	b o r d a ɾ i e n ɡ a n a n t͡s̻
bordariengandik	b o r d a ɾ i e n ɡ a n d i k
bordariengatik	b o r d a ɾ i e n ɡ a t i k
bordarientzat	b o r d a ɾ i e n t͡s̻ a t
bordarietako	b o r d a ɾ i e t a k o
bordarietan	b o r d a ɾ i e t a n
bordarietara	b o r d a ɾ i e t a ɾ a
bordarietaraino	b o r d a ɾ i e t a ɾ a i̯ n o
bordarietaraino	b o r d a ɾ i e t a ɾ a ɲ o
bordarietarako	b o r d a ɾ i e t a ɾ a k o
bordarietarantz	b o r d a ɾ i e t a ɾ a n t͡s̻
bordarietatik	b o r d a ɾ i e t a t i k
bordariez	b o r d a ɾ i e s̻
bordariez	b o r d a ɾ i e s̻
bordariez	b o r d a ɾ i e s̺
bordarik	b o r d a ɾ i k
bordariko	b o r d a ɾ i k o
bordarira	b o r d a ɾ i ɾ a
bordariraino	b o r d a ɾ i ɾ a i̯ n o
bordariraino	b o r d a ɾ i ɾ a ɲ o
bordarirako	b o r d a ɾ i ɾ a k o
bordarirantz	b o r d a ɾ i ɾ a n t͡s̻
bordarirekin	b o r d a ɾ i ɾ e k i n
bordariren	b o r d a ɾ i ɾ e n
bordarirengan	b o r d a ɾ i ɾ e n ɡ a n
bordarirengana	b o r d a ɾ i ɾ e n ɡ a n a
bordarirenganaino	b o r d a ɾ i ɾ e n ɡ a n a i̯ n o
bordarirenganaino	b o r d a ɾ i ɾ e n ɡ a n a ɲ o
bordarirenganako	b o r d a ɾ i ɾ e n ɡ a n a k o
bordarirenganantz	b o r d a ɾ i ɾ e n ɡ a n a n t͡s̻
bordarirengandik	b o r d a ɾ i ɾ e n ɡ a n d i k
bordarirengatik	b o r d a ɾ i ɾ e n ɡ a t i k
bordarirentzat	b o r d a ɾ i ɾ e n t͡s̻ a t
bordariri	b o r d a ɾ i ɾ i
bordaririk	b o r d a ɾ i ɾ i k
bordaritako	b o r d a ɾ i t a k o
bordaritan	b o r d a ɾ i t a n
bordaritara	b o r d a ɾ i t a ɾ a
bordaritaraino	b o r d a ɾ i t a ɾ a i̯ n o
bordaritaraino	b o r d a ɾ i t a ɾ a ɲ o
bordaritarako	b o r d a ɾ i t a ɾ a k o
bordaritarantz	b o r d a ɾ i t a ɾ a n t͡s̻
bordaritatik	b o r d a ɾ i t a t i k
bordaritik	b o r d a ɾ i t i k
bordaritzat	b o r d a ɾ i t͡s̻ a t
bordariz	b o r d a ɾ i s̻
bordariz	b o r d a ɾ i s̻
bordariz	b o r d a ɾ i s̺
bordatako	b o r d a t a k o
bordatan	b o r d a t a n
bordatara	b o r d a t a ɾ a
bordataraino	b o r d a t a ɾ a i̯ n o
bordataraino	b o r d a t a ɾ a ɲ o
bordatarako	b o r d a t a ɾ a k o
bordatarantz	b o r d a t a ɾ a n t͡s̻
bordatatik	b o r d a t a t i k
bordatik	b o r d a t i k
bordatxo	b o r d a t͡ʃ o
bordatzat	b o r d a t͡s̻ a t
bordaz	b o r d a s̻
bordaz	b o r d a s̻
bordaz	b o r d a s̺
bordei	b o r d e i̯
bordek	b o r d e k
bordekin	b o r d e k i n
borden	b o r d e n
bordengatik	b o r d e n ɡ a t i k
bordentzat	b o r d e n t͡s̻ a t
bordetako	b o r d e t a k o
bordetan	b o r d e t a n
bordetara	b o r d e t a ɾ a
bordetaraino	b o r d e t a ɾ a i̯ n o
bordetaraino	b o r d e t a ɾ a ɲ o
bordetarako	b o r d e t a ɾ a k o
bordetarantz	b o r d e t a ɾ a n t͡s̻
bordetatik	b o r d e t a t i k
bordez	b o r d e s̻
bordez	b o r d e s̻
bordez	b o r d e s̺
boro	b o ɾ o
borondate	b o ɾ o n d a t e
boronde	b o ɾ o n d e
borrero	b o r e ɾ o
bosgarren	b o s̺ ɡ a r e n
boskoitz	b o s̺ k o i̯ t͡s̻
bosniera	b o s̺ n i e ɾ a
bost	b o s̺ t
bost	b o s̺
bosten	b o s̺ t e n
bostortz	b o s̺ t o r t͡s̻
bota	b o t a
botere	b o t e ɾ e
botila	b o t i l a
botila	b o t i ʎ a
boto	b o t o
botoi	b o t o i̯
boz	b o s̻
boz	b o s̻
boz	b o s̺
bozkatu	b o s̻ k a t u
bozkatu	b o s̻ k a t u
bozkatu	b o s̺ k a t u
bozketa	b o s̻ k e t a
bozketa	b o s̻ k e t a
bozketa	b o s̺ k e t a
bretoiera	b r e t o i̯ e ɾ a
brusa	b r u s̺ a
bukaera	b u k a e ɾ a
bukatu	b u k a t u
bular	b u l a r
bularki	b u l a r k i
bularretako	b u l a r e t a k o
bulegari	b u l e ɡ a ɾ i
bulego	b u l e ɡ o
Bulgaria	b u l ɡ a ɾ i a
Bulgarian	b u l ɡ a ɾ i a n
bulgariera	b u l ɡ a ɾ i e ɾ a
bumeran	b u m e ɾ a n
burdina	b u r d i n a
burdina	b u r d i ɲ a
burdinbide	b u r d i m b i d e
burdingintza	b u r d i n ɡ i n t͡s̻ a
burezur	b u ɾ e s̻ u r
burezur	b u ɾ e s̻ u r
burezur	b u ɾ e s̺ u r
burko	b u r k o
buru	b u ɾ u
burugogor	b u ɾ u ɡ o ɡ o r
buruil	b u ɾ u i̯ l
burukomin	b u ɾ u k o m i n
burumuin	b u ɾ u m u i̯ n
burusoil	b u ɾ u s̺ o i̯ l
buruz	b u ɾ u s̻
buruz	b u ɾ u s̻
buruz	b u ɾ u s̺
busti	b u s̺ t i
bustialdi	b u s̺ t i a l d i
bustidura	b u s̺ t i d u ɾ a
buztan	b u s̻ t a n
buztan	b u s̻ t a n
buztan	b u s̺ t a n
buztingile	b u s̻ t i n ɡ i l e
buztingile	b u s̻ t i n ɡ i ʎ e
buztingile	b u s̻ t i n ɡ i ʎ e
buztingile	b u s̺ t i n ɡ i ʎ e
bypass	b a i̯ p a s̺
byte	b a i̯ t
büü	b y y
c	k
c	s̻
C	k
C	s̻
caboverdetar	k a b o b e r d e t a r
camembert	k a m e m b e r
camembert	k a m e m b e r t
camping	k a m p i n
campus	k a m p u s̺
cancer	k a n s̻ e r
cancer	k a n s̻ e r
cancer	k a n s̺ e r
Cancer	k a n s̻ e r
Cancer	k a n s̻ e r
Cancer	k a n s̺ e r
capoeira	k a p o e i̯ ɾ a
Capricornus	k a p r i k o r n u s̺
capricornus	k a p r i k o r n u s̺
casting	k a s̺ t i n
catering	k a t e ɾ i n
cava	k a b a
cello	t͡ʃ e l o
chantilly	ʃ a n t i ʎ i
charleston	t͡ʃ a r l e s̺ t o n
charter	t͡ʃ a r t e r
chauvinista	t͡ʃ o b i n i s̺ t a
chef	t͡ʃ e f
chef	ʃ e f
chihuahua	t͡ʃ i w a w a
cicerone	s̻ i s̻ e ɾ o n e
cicerone	s̻ i s̻ e ɾ o n e
cicerone	s̺ i s̺ e ɾ o n e
clown	k l a u̯ n
collage	k o l a ʒ
collage	k o l a ʃ
collie	k o l i
copyleft	k o p i l e f t
copyright	k o p i r a i̯ t
corpus	k o r p u s̺
Corpus	k o r p u s̺
costarricar	k o s̺ t a r i k a r
coulomb	k u l o m
coulomb	k u l o m b
country	k a u̯ n t r i
cowboy	k a u̯ b o i̯
cricket	k r i k e t
croissant	k r w a s̺ a n
cromlech	k r o m l e t͡ʃ
cross	k r o s̺
cumbia	k u m b i a
curling	k u r l i n
curriculum	k u r i k u l u m
curry	k u r i
d	d e
D	d e
da	d a
Dabi	d a b i
Dabid	d a b i d
dabil	d a b i l
dabilela	d a b i l e l a
dabilela	d a b i ʎ e l a
dabilen	d a b i l e n
dabilen	d a b i ʎ e n
dabilke	d a b i l k e
dabilkiake	d a b i l k i a k e
dabilkian	d a b i l k i a n
dabilkidake	d a b i l k i d a k e
dabilkidan	d a b i l k i d a n
dabilkie	d a b i l k i e
dabilkieke	d a b i l k i e k e
dabilkien	d a b i l k i e n
dabilkigu	d a b i l k i ɡ u
dabilkiguke	d a b i l k i ɡ u k e
dabilkigun	d a b i l k i ɡ u n
dabilkik	d a b i l k i k
dabilkin	d a b i l k i n
dabilkinake	d a b i l k i n a k e
dabilkinake	d a b i l k i ɲ a k e
dabilkinan	d a b i l k i n a n
dabilkinan	d a b i l k i ɲ a n
dabilkio	d a b i l k i o
dabilkioke	d a b i l k i o k e
dabilkion	d a b i l k i o n
dabilkit	d a b i l k i t
dabilkizu	d a b i l k i s̻ u
dabilkizu	d a b i l k i s̻ u
dabilkizu	d a b i l k i s̺ u
dabilkizue	d a b i l k i s̻ u e
dabilkizue	d a b i l k i s̻ u e
dabilkizue	d a b i l k i s̺ u e
dabilkizueke	d a b i l k i s̻ u e k e
dabilkizueke	d a b i l k i s̻ u e k e
dabilkizueke	d a b i l k i s̺ u e k e
dabilkizuen	d a b i l k i s̻ u e n
dabilkizuen	d a b i l k i s̻ u e n
dabilkizuen	d a b i l k i s̺ u e n
dabilkizuke	d a b i l k i s̻ u k e
dabilkizuke	d a b i l k i s̻ u k e
dabilkizuke	d a b i l k i s̺ u k e
dabilkizun	d a b i l k i s̻ u n
dabilkizun	d a b i l k i s̻ u n
dabilkizun	d a b i l k i s̺ u n
dabiltza	d a b i l t͡s̻ a
dabiltzala	d a b i l t͡s̻ a l a
dabiltzan	d a b i l t͡s̻ a n
dabilzke	d a b i l s̻ k e
dabilzke	d a b i l s̻ k e
dabilzke	d a b i l s̺ k e
dabilzkiake	d a b i l s̻ k i a k e
dabilzkiake	d a b i l s̻ k i a k e
dabilzkiake	d a b i l s̺ k i a k e
dabilzkian	d a b i l s̻ k i a n
dabilzkian	d a b i l s̻ k i a n
dabilzkian	d a b i l s̺ k i a n
dabilzkidake	d a b i l s̻ k i d a k e
dabilzkidake	d a b i l s̻ k i d a k e
dabilzkidake	d a b i l s̺ k i d a k e
dabilzkidan	d a b i l s̻ k i d a n
dabilzkidan	d a b i l s̻ k i d a n
dabilzkidan	d a b i l s̺ k i d a n
dabilzkie	d a b i l s̻ k i e
dabilzkie	d a b i l s̻ k i e
dabilzkie	d a b i l s̺ k i e
dabilzkieke	d a b i l s̻ k i e k e
dabilzkieke	d a b i l s̻ k i e k e
dabilzkieke	d a b i l s̺ k i e k e
dabilzkien	d a b i l s̻ k i e n
dabilzkien	d a b i l s̻ k i e n
dabilzkien	d a b i l s̺ k i e n
dabilzkigu	d a b i l s̻ k i ɡ u
dabilzkigu	d a b i l s̻ k i ɡ u
dabilzkigu	d a b i l s̺ k i ɡ u
dabilzkiguke	d a b i l s̻ k i ɡ u k e
dabilzkiguke	d a b i l s̻ k i ɡ u k e
dabilzkiguke	d a b i l s̺ k i ɡ u k e
dabilzkigun	d a b i l s̻ k i ɡ u n
dabilzkigun	d a b i l s̻ k i ɡ u n
dabilzkigun	d a b i l s̺ k i ɡ u n
dabilzkik	d a b i l s̻ k i k
dabilzkik	d a b i l s̻ k i k
dabilzkik	d a b i l s̺ k i k
dabilzkin	d a b i l s̻ k i n
dabilzkin	d a b i l s̻ k i n
dabilzkin	d a b i l s̺ k i n
dabilzkinake	d a b i l s̻ k i n a k e
dabilzkinake	d a b i l s̻ k i ɲ a k e
dabilzkinake	d a b i l s̻ k i ɲ a k e
dabilzkinake	d a b i l s̺ k i ɲ a k e
dabilzkinan	d a b i l s̻ k i n a n
dabilzkinan	d a b i l s̻ k i ɲ a n
dabilzkinan	d a b i l s̻ k i ɲ a n
dabilzkinan	d a b i l s̺ k i ɲ a n
dabilzkio	d a b i l s̻ k i o
dabilzkio	d a b i l s̻ k i o
dabilzkio	d a b i l s̺ k i o
dabilzkioke	d a b i l s̻ k i o k e
dabilzkioke	d a b i l s̻ k i o k e
dabilzkioke	d a b i l s̺ k i o k e
