㟤	l ɔ k̚ ²
日頭	z i e k̚ ² tʰ a u ² ²
旦	t a ŋ ² ¹
早	t͡s a u ³ ¹
早	t͡s a ³ ¹
早糜	t͡s a ³ ¹ m u ɛ ² ²
旰	k u a ² ¹
旱	h a ŋ ³ ³
昌	t͡sʰ i a ŋ ³ ⁵
明	m i ŋ ² ²
星	s i ŋ ³ ⁵
星	t͡sʰ ɛ ³ ⁵
映	i ŋ ² ¹
春	t͡sʰ u ŋ ³ ⁵
春節	t͡sʰ u ŋ ³ ⁵ ⁻ ³ ³ t͡s ɔ i ⁵ ⁵
昨暗	t͡s a ³ ³ a m ² ¹
昨暗日	t͡s a ³ ³ a m ² ¹ z i e k̚ ⁵
昨暝	t͡s a ³ ³ m ɛ ² ²
昨暝昏	t͡s a ³ ³ m ɛ ² ² h u i ³ ⁵
昭	t͡s i a u ³ ⁵
是	s u ³ ³
時	s i ² ²
晉	t͡s i e ŋ ² ¹
晝	t a u ² ¹
晨	s i e ŋ ² ²
景	k i ŋ ³ ¹
晶	t͡s i ŋ ³ ⁵
暖	n u a ŋ ³ ¹
暖壺	n u a ŋ ³ ¹ h u ² ²
暝	m e ŋ ² ²
暝	m ɛ ² ²
暝宵	m ɛ ² ² s i a u ³ ⁵
暝旰	m ɛ ² ² k u a ² ¹
暝昏	m ɛ ² ² h u i ³ ⁵
暝昏糜	m ɛ ² ² h u i ³ ⁵ ⁻ ³ ³ m u ɛ ² ²
暝昏頭	m ɛ ² ² h u i ³ ⁵ ⁻ ³ ³ tʰ a u ² ²
暝頭	m ɛ ² ² tʰ a u ² ²
曆	l i ⁵ ⁵
曆	l ɛ ³ ³
曆囝	l ɛ ³ ³ k i a ³ ¹
書	s i ³ ⁵
書	t͡s u ³ ⁵
替	tʰ i ² ¹
替	tʰ ɔ i ² ¹
最	t͡s u i ² ¹
月	b u ɛ ³ ³
月	z i e k̚ ⁵
月內	b u ɛ ³ ³ l a i ³ ³
月內病	b u ɛ ³ ³ l a i ³ ³ p ɛ ³ ⁵
月娘	b u ɛ ³ ³ n i ɔ ² ²
月嬭	b u ɛ ³ ³ n ɛ ³ ¹
月尾	b u ɛ ³ ³ b u ɛ ³ ¹
月當央	b u ɛ ³ ³ t a ³ ⁵ ⁻ ³ ³ ɔ ³ ⁵
有	u ³ ³
有	z i u ⁵ ⁵
朗	l a ŋ ³ ³
望	b a ŋ ⁵ ⁵
望	m ɔ ³ ⁵
木	m ɔ k̚ ⁵
木蝨	b a ² ² s a k̚ ⁵
本	p u i ³ ¹
本	p u ŋ ³ ¹
朱	t͡s u ³ ⁵
李	l i ³ ¹
李子	l i ³ ¹ ⁻ ⁵ ⁵ t͡s i ³ ¹
杏	h i m ⁵ ⁵
杏仁	h i m ⁵ ⁵ z i e ŋ ² ²
杯	p u i ³ ⁵
東	t a ŋ ³ ⁵
東	t ɔ ŋ ³ ⁵
松針	s ɔ ŋ ² ² t͡s i ³ ¹
板	p a i ³ ¹
板	p a ŋ ³ ¹
枕	t͡s i m ³ ¹
枕頭心	t͡s i m ³ ¹ ⁻ ⁵ ⁵ tʰ a u ² ² s i m ³ ⁵
枕頭袋	t͡s i m ³ ¹ ⁻ ⁵ ⁵ tʰ a u ² ² tʰ ɛ ³ ⁵
林	l i m ² ²
果	k u ɛ ³ ¹
果	k ɔ ³ ¹
枝	k i ³ ⁵
枝	t͡s i ³ ⁵
枯	kʰ u ³ ⁵
查某孫	t͡s a ³ ⁵ ⁻ ³ ³ b ɛ u ³ ¹ ⁻ ⁵ ⁵ s u ŋ ³ ⁵
柬	k a ŋ ³ ¹
柱	tʰ i a u ³ ³
柱	t͡s i ³ ¹
柳	l i u ³ ¹
柴	t͡sʰ a ² ²
柴冬瓜	t͡sʰ a ² ² t a ŋ ³ ⁵ ⁻ ³ ³ k u ɛ ³ ⁵
核子	h u k̚ ² t͡s i ³ ¹
根	k i e ŋ ³ ⁵
桂	k u i ² ¹
案	a ŋ ² ¹
桑	s u a ŋ ³ ⁵
桶	tʰ a ŋ ³ ¹
桶	tʰ ɔ ŋ ³ ¹
梁	l i a ŋ ² ²
梁	l i ɔ ² ²
梅	b u i ² ²
梅	b u ɛ ² ²
條	t i a u ² ²
條	tʰ i a u ² ²
梨	l a i ² ²
梨	l i ² ²
梯	tʰ i ³ ⁵
梯	tʰ u i ³ ⁵
梳毛	s ɔ i ³ ⁵ ⁻ ³ ³ m ɔ ² ²
棋	k i ² ²
棧	t͡s a ŋ ² ¹
椅徛	i ³ ¹ ⁻ ⁵ ⁵ kʰ i a ³ ⁵
椏	ŋ ɛ ³ ⁵
椒	t͡s i a u ³ ⁵
椒	t͡s i ɔ ³ ⁵
椰子菜	i a ² ² t͡s i ³ ¹ t͡sʰ a i ² ¹
楊	i a ŋ ² ²
楊	i ɔ ² ²
業	n i a p̚ ²
榮	i ɔ ŋ ² ²
樓	l a u ² ²
樓	l ɛ u ² ²
樣	i ɔ ³ ⁵
樣	z i a ŋ ⁵ ⁵
樹	s i ⁵ ⁵
樹	t͡sʰ i u ³ ⁵
樽	t͡s u ŋ ³ ⁵
樽喙	t͡s u ŋ ³ ⁵ ⁻ ³ ³ t͡sʰ u i ² ¹
樽塔	t͡s u ŋ ³ ⁵ ⁻ ³ ³ tʰ a ⁵ ⁵
機	k i ³ ⁵
橫	h e ŋ ² ²
橫	h u ɛ ² ²
橫直	h u ɛ ² ² t i e k̚ ²
檣	t͡sʰ i a ŋ ² ²
檣	t͡sʰ i ɔ ² ²
櫓蔸籽	l ɛ u ³ ¹ ⁻ ⁵ ⁵ t a u ² ² t͡s i ³ ¹
權	kʰ i e ŋ ² ²
欠	kʰ i a m ² ¹
欠數	kʰ i a m ² ¹ ⁻ ⁵ ⁵ s i a u ² ¹
次	t͡sʰ u ² ¹
欣	h i e ŋ ³ ⁵
欲	z i ɔ k̚ ⁵
欽	kʰ i m ³ ⁵
歌	k u a ³ ⁵
歌	k ɔ ³ ⁵
歌冊	k u a ³ ⁵ ⁻ ³ ³ t͡sʰ ɛ ⁵ ⁵
歐陽	a u ³ ⁵ ⁻ ³ ³ z i a ŋ ² ²
歡	h u a ŋ ³ ⁵
止	t͡s i ³ ¹
此	s u ³ ¹
步	p u ⁵ ⁵
步	p ɛ u ³ ⁵
武	m u ³ ¹
歸	k u i ³ ⁵
歹毒	t a i ³ ¹ t a k̚ ²
死	s i ³ ¹
殖	t͡s i k̚ ⁵
殘	t͡sʰ a ŋ ² ²
段	t u a ŋ ³ ³
殺	s a k̚ ⁵
殺	s u a ⁵ ⁵
殼升	kʰ a ⁵ ⁵ t͡s i e ŋ ³ ⁵
毀	h u i ³ ¹
毒	t a k̚ ²
毒	t ɔ k̚ ²
毛	m a u ² ²
毛	m ɔ ² ²
毛籬	m ɔ ² ² l i ² ²
毫	h a u ² ²
毽	k i e ŋ ² ¹
民	m i e ŋ ² ²
氣	kʰ i ² ¹
氣	kʰ u i ² ¹
水	s u i ³ ¹
水	t͡s u i ³ ¹
水果	t͡s u i ³ ¹ ⁻ ⁵ ⁵ k u ɛ ³ ¹
水腳	t͡s u i ³ ¹ k i ɔ ⁵ ⁵
水鞋	t͡s u i ³ ¹ ɔ i ² ²
永	i ɔ ŋ ³ ¹
汁	t͡s i a p̚ ⁵
求	kʰ i u ² ²
汗	h a ŋ ³ ³
汝	n i ³ ¹
江	k i a ŋ ³ ⁵
決	kʰ i e k̚ ⁵
汽	kʰ i ² ¹
沖涼	t͡sʰ ɔ ŋ ³ ⁵ ⁻ ³ ³ l i ɔ ² ²
沙	s a ³ ⁵
沙	s u a ³ ⁵
沙烏	s a ³ ⁵ ⁻ ³ ³ ɔ ³ ⁵
沝	t͡s u i ³ ¹
沫	pʰ u ɛ ³ ³
油	i u ² ²
油	z i u ² ²
治	t͡s i ³ ³
沿	z i e ŋ ² ²
法	b a k̚ ⁵
波	p ɔ ³ ⁵
波	p ɔ ⁵ ⁵
泥	n i ² ²
泰	tʰ a i ² ¹
洋	i ɔ ² ²
洋	z i a ŋ ² ²
洗浴	s ɔ i ³ ¹ i a k̚ ²
活	h u a k̚ ⁵
活	u a ³ ³
派	pʰ a i ² ¹
流	l a u ² ²
流	l i u ² ²
浩	h a u ⁵ ⁵
浪	l a ŋ ⁵ ⁵
海	h a i ³ ¹
海公	h a i ³ ¹ k ɔ ŋ ³ ⁵
海公魚	h a i ³ ¹ ⁻ ⁵ ⁵ k ɔ ŋ ³ ⁵ h u ² ²
海吼	h a i ³ ¹ h a u ³ ¹
海坡	h a i ³ ¹ ⁻ ⁵ ⁵ pʰ ɔ ³ ¹
海坪	h a i ³ ¹ ⁻ ⁵ ⁵ pʰ i a ² ²
海賊	h a i ³ ¹ t͡sʰ a k̚ ²
消	s i a u ³ ⁵
涼	l i a ŋ ² ²
淡	t a m ³ ³
深	t͡sʰ i m ³ ⁵
清	t͡sʰ i ŋ ³ ⁵
測	t͡sʰ e k̚ ⁵
港	k a ŋ ³ ¹
湊	t͡sʰ a u ² ¹
湊	t͡sʰ ɛ u ² ¹
湊巧	t͡sʰ a u ² ¹ ⁻ ⁵ ⁵ kʰ a ³ ¹
湖	h u ² ²
湛江	t͡s a m ⁵ ⁵ k i a ŋ ³ ⁵
湯	tʰ a ŋ ³ ⁵
湯	tʰ ɔ ³ ⁵
溝	k a u ³ ⁵
溪	h i ³ ⁵
溪	kʰ ɔ i ³ ⁵
滑	k u k̚ ²
滾	k u ŋ ³ ¹
演	z i e ŋ ³ ¹
潭	tʰ a m ² ²
澀肉	s i p̚ ⁵ h i p̚ ²
澈	tʰ ɛ ⁵ ⁵
澈	t͡sʰ i e k̚ ⁵
澈潔	tʰ ɛ ⁵ ⁵ k ɔ i ⁵ ⁵
澡	t͡sʰ a u ² ¹
濃	n ɔ ŋ ² ²
濟	t͡s ɔ i ³ ⁵
火	h u ɛ ³ ¹
火	h ɔ ³ ¹
火擦	h u ɛ ³ ¹ t͡sʰ u a ⁵ ⁵
火機	h u ɛ ³ ¹ ⁻ ⁵ ⁵ k ɔ i ³ ⁵
火水	h u ɛ ³ ¹ ⁻ ⁵ ⁵ t͡s u i ³ ¹
火船	h u ɛ ³ ¹ t͡s u ŋ ² ²
火車	h u ɛ ³ ¹ ⁻ ⁵ ⁵ t͡sʰ i a ³ ⁵
火雞	h u ɛ ³ ¹ ⁻ ⁵ ⁵ k ɔ i ³ ⁵
灰	h u i ³ ⁵
灰	h u ɛ ³ ⁵
灶前	t͡s i u ² ¹ ⁻ ⁵ ⁵ t͡s a i ² ²
災	t͡s a i ³ ⁵
炊	t͡sʰ u i ³ ⁵
炊	t͡sʰ u ɛ ³ ⁵
炊籠	t͡sʰ u ɛ ³ ⁵ ⁻ ³ ³ l a ŋ ² ²
炒	t͡sʰ a u ³ ¹
炒	t͡sʰ a ³ ¹
炭	tʰ a ŋ ² ¹
炭	tʰ u a ² ¹
炮	pʰ a u ² ¹
烈	l i e k̚ ⁵
烏	u ³ ⁵
烏	ɛ u ³ ⁵
烏板	ɛ u ³ ⁵ ⁻ ³ ³ p a i ³ ¹
烏青	ɛ u ³ ⁵ ⁻ ³ ³ t͡sʰ ɛ ³ ⁵
無	b u ² ²
無	b ɔ ² ²
無著	b ɔ ² ² t i ɔ ³ ³
無該	b ɔ ² ² k a i ³ ⁵
然	z i e ŋ ² ²
煎	t͡s i e ŋ ³ ⁵
煞尾手囝	s u a ⁵ ⁵ b u ɛ ³ ¹ t͡sʰ i u ³ ¹ ⁻ ⁵ ⁵ k i a ³ ¹
煞氣	s u a ⁵ ⁵ kʰ i ² ¹
煤	b u i ² ²
煤	b u ɛ ² ²
照	t͡s i a u ² ¹
照	t͡s i ɔ ² ¹
熱	z i e k̚ ²
熱	z u a ³ ³
熱假	z u a ³ ³ k ɛ ² ¹
燃	z i e ŋ ² ²
燈	t e ŋ ³ ⁵
燈	t i ŋ ³ ⁵
燈籠	t i ŋ ³ ⁵ ⁻ ³ ³ l a ŋ ² ²
燒	s i ɔ ³ ⁵
燒水	s i ɔ ³ ⁵ ⁻ ³ ³ t͡s u i ³ ¹
燒酒	s i ɔ ³ ⁵ ⁻ ³ ³ t͡s i u ³ ¹
燕鳥	i ⁵ ⁵ t͡s i a u ³ ¹
燙斗	tʰ ɔ ² ¹ ⁻ ⁵ ⁵ t a u ³ ¹
燙毛	tʰ ɔ ² ¹ ⁻ ⁵ ⁵ m ɔ ² ²
營	i a ² ²
營	z i ŋ ² ²
爛	l a ŋ ⁵ ⁵
爪	t͡s a u ³ ¹
片	pʰ i e ŋ ² ¹
片糖	pʰ i e ŋ ² ¹ ⁻ ⁵ ⁵ tʰ ɔ ² ²
版	p a ŋ ³ ¹
牙	i a ² ²
牙	ŋ ɛ ² ²
牛	b u ² ²
牛囝	b u ² ² k i a ³ ¹
牧	m ɔ k̚ ²
物	b e k̚ ⁵
特	t e k̚ ²
特意	t i e k̚ ² i ² ¹
狐	h u ² ²
狗	k a u ³ ¹
狗公	k a u ³ ¹ ⁻ ⁵ ⁵ k a ŋ ³ ⁵
狗囝	k a u ³ ¹ ⁻ ⁵ ⁵ k i a ³ ¹
狗岫	k a u ³ ¹ ⁻ ⁵ ⁵ s i u ³ ⁵
狗母	k a u ³ ¹ ⁻ ⁵ ⁵ b ɔ ³ ¹
狗母	k a u ³ ¹ ⁻ ⁵ ⁵ m u ³ ¹
狗熊	k a u ³ ¹ ⁻ ⁵ ⁵ h i ɔ ŋ ² ²
狗猻	k a u ³ ¹ s u i ³ ⁵
獄	ŋ i ɔ k̚ ²
玄	h i e ŋ ² ²
玉	z i ɔ k̚ ⁵
王	h i a ŋ ² ²
王	h u a ŋ ² ²
珍	t͡s i e ŋ ³ ⁵
班	p a ŋ ³ ⁵
現	h i e ŋ ² ¹
現	h i e ŋ ³ ³
球	kʰ i u ² ²
理	l i ³ ¹
理	l ɔ i ³ ¹
琴	kʰ i m ² ²
琴蛇	kʰ i m ² ² t͡s u a ² ²
瑞	s u i ³ ³
環	h u a ŋ ² ²
瓜	k u a ³ ⁵
瓜	k u ɛ ³ ⁵
瓦	h i a ³ ³
瓦	u a ³ ¹
瓶塔	p a ŋ ² ² tʰ a ⁵ ⁵
瓶水	p a ŋ ² ² s u i ³ ¹
瓷	t͡sʰ u ² ²
甘	k a m ³ ⁵
甚	s i m ³ ³
甜	t i a m ² ²
甜	tʰ i e ŋ ² ²
生	s e ŋ ³ ⁵
生	s ɛ ³ ⁵
生	t͡sʰ ɛ ³ ⁵
生日	s ɛ ³ ⁵ ⁻ ³ ³ z i e k̚ ²
生相	s ɛ ³ ⁵ ⁻ ³ ³ s i ɔ ² ¹
產	s a ŋ ³ ¹
用	z ɔ ŋ ³ ³
田	tʰ i e ŋ ² ²
田	t͡sʰ a ŋ ² ²
田岸	t͡sʰ a ŋ ² ² h u a ³ ⁵
由	z i u ² ²
界	k a i ² ¹
界	k ɔ i ² ¹
留	l a u ² ²
留	l i u ² ²
番豆	h u a ŋ ³ ⁵ ⁻ ³ ³ t a u ³ ⁵
番豆仁	h u a ŋ ³ ⁵ ⁻ ³ ³ t a u ³ ⁵ ⁻ ³ ³ z i e ŋ ² ²
番豆油	h u a ŋ ³ ⁵ ⁻ ³ ³ t a u ³ ⁵ ⁻ ³ ³ i u ² ²
當	t a ŋ ² ¹
當	t a ŋ ³ ⁵
當	t ɔ ² ¹
當	t ɔ ³ ⁵
當前	t a ŋ ³ ⁵ ⁻ ³ ³ t͡s a i ² ²
當奉囝	t ɔ ŋ ³ ⁵ ⁻ ³ ³ h ɔ ŋ ² ¹ ⁻ ⁵ ⁵ k i a ³ ¹
疫	b i k̚ ⁵
疫	m u a k̚ ²
疫情	b i k̚ ⁵ t͡sʰ i ŋ ² ²
疲	pʰ i ² ²
疼	tʰ i a ² ¹
病	p i ŋ ⁵ ⁵
病	p ɛ ³ ⁵
病囝	p ɛ ³ ⁵ ⁻ ³ ³ k i a ³ ¹
痰	tʰ a m ² ²
瘡	t͡sʰ a ŋ ³ ⁵
瘡	t͡sʰ ɔ ³ ⁵
癢	t͡s i ɔ ³ ³
癢	z i a ŋ ³ ¹
癲狗	t i e ŋ ³ ⁵ k a u ³ ¹
登	t e ŋ ³ ⁵
發	b a k̚ ⁵
發	h u a k̚ ⁵
白	p ɛ ³ ³
白吳魚	p ɛ ³ ³ ŋ ɛ u ² ² h u ² ²
白果	p ɛ ³ ³ k ɔ ³ ¹
白濁	p ɛ ³ ³ t͡s u a k̚ ²
白粉	p ɛ ³ ³ h u ŋ ³ ¹
百厭	p ɛ ⁵ ⁵ i a m ² ¹
皇	h u a ŋ ² ²
皮	pʰ i ² ²
皮	pʰ u ɛ ² ²
盆	pʰ u ŋ ² ²
盈	i ŋ ² ²
益	i k̚ ⁵
盜	t a u ⁵ ⁵
監	k i a m ³ ⁵
監倉	k i a m ³ ⁵ ⁻ ³ ³ t͡sʰ ɔ ³ ⁵
目	m a k̚ ²
目	m ɔ k̚ ⁵
目屎	m a k̚ ² s a i ³ ¹
目水	m a k̚ ² t͡s u i ³ ¹
目汁	m a k̚ ² t͡s i a p̚ ⁵
目澀	m a k̚ ² s i a p̚ ⁵
目眉	m a k̚ ² b a i ² ²
目睭	m a k̚ ² t͡s i u ³ ⁵
目笛	m a k̚ ² t a k̚ ²
目鏡	m a k̚ ² k i a ² ¹
直	t i e k̚ ²
直	t͡s i k̚ ²
眉	b a i ² ²
眉	m i ² ²
看	kʰ a ŋ ² ¹
看	kʰ a ŋ ³ ⁵
真	t͡s i e ŋ ³ ⁵
眩船	h i e ŋ ² ² t͡s u ŋ ² ²
眩車	h i e ŋ ² ² t͡sʰ i a ³ ⁵
眼	ŋ a ŋ ³ ¹
睏	kʰ u ŋ ² ¹
瞌	kʰ ɔ i ⁵ ⁵
知	t͡s a i ³ ⁵
知	t͡s i ³ ⁵
石	s i k̚ ⁵
石	t͡s i ɔ ³ ³
矺錢	t ɛ ⁵ ⁵ t͡s i ² ²
矺霧	t e p̚ ⁵ b ɛ u ² ¹
矺頭錢	t ɛ ⁵ ⁵ tʰ a u ² ² t͡s i ² ²
砍樹	kʰ a m ³ ¹ ⁻ ⁵ ⁵ s i u ³ ⁵
破碗	pʰ u a ² ¹ ⁻ ⁵ ⁵ u a ³ ¹
硬	ŋ e ŋ ⁵ ⁵
硬	ŋ ɛ ³ ³
碎	t͡sʰ u i ² ¹
碗	u a ³ ¹
碱	h a m ³ ⁵
確	kʰ ɔ k̚ ⁵
碼子	b ɛ ³ ¹ t͡s i ³ ¹
磚	t͡s i e ŋ ³ ⁵
磚	t͡s u i ³ ⁵
磚坯	t͡s u i ³ ⁵ ⁻ ³ ³ pʰ u ɛ ³ ⁵
磚頭	t͡s u i ³ ⁵ ⁻ ³ ³ tʰ a u ² ²
磨	b u a ² ²
磨	m ɔ ² ²
磨	m ɔ ³ ⁵
磨	m ɔ ⁵ ⁵
社	s i a ³ ³
社	s i ɛ ⁵ ⁵
祈	kʰ i ² ²
祖	t͡s u ³ ¹
祖	t͡s ɛ u ³ ¹
神	s i e ŋ ² ²
祠	t͡sʰ u ² ²
祥	s i a ŋ ² ²
祭	t͡s i ² ¹
祭	t͡s ɔ i ² ¹
禁	k i m ² ¹
禁氣	k i m ² ¹ ⁻ ⁵ ⁵ kʰ u i ² ¹
福	h ɔ k̚ ⁵
禮	l i ³ ¹
禮	l ɔ i ³ ¹
禽	kʰ i m ² ²
禾	h ɔ ² ²
秀	s i u ² ¹
私	s u ³ ⁵
私塾	s u ³ ⁵ ⁻ ³ ³ s ɔ k̚ ⁵
私己	s u ³ ⁵ ⁻ ³ ³ k i ³ ¹
科	kʰ ɔ ³ ⁵
秦椒	t͡sʰ i ŋ ² ² t͡s i ɔ ³ ⁵
秫	t͡s u k̚ ²
秫米	t͡s u k̚ ² b i ³ ¹
移	i ² ²
稀	h i ³ ⁵
稅	s u i ² ¹
稅	s u ɛ ² ¹
積	t͡s i k̚ ⁵
穩	u ŋ ³ ¹
穿	t͡sʰ i e ŋ ³ ⁵
穿	t͡sʰ u i ³ ⁵
窗	tʰ i a ŋ ³ ⁵
窗	t͡sʰ ɔ ŋ ³ ⁵
窗曝	tʰ i a ŋ ³ ⁵ ⁻ ³ ³ pʰ a k̚ ²
立	l i p̚ ²
章	t͡s i a ŋ ³ ⁵
童	tʰ ɔ ŋ ² ²
端	t u a ŋ ³ ⁵
竹	t i p̚ ⁵
竹	t͡s ɔ k̚ ⁵
竹篾	t i p̚ ⁵ b i ³ ³
笑	s i a u ² ¹
笑	t͡sʰ i ɔ ² ¹
笛	t a k̚ ²
笛	t i k̚ ⁵
第	t i ⁵ ⁵
第	t ɔ i ³ ⁵
筅	s i e ŋ ³ ¹
筆	p i e k̚ ⁵
筆錔	p i e k̚ ⁵ tʰ a p̚ ⁵
筋	k i e ŋ ³ ⁵
筍乾	s u ŋ ² ¹ ⁻ ⁵ ⁵ k a ŋ ³ ⁵
策	t͡sʰ e k̚ ⁵
算	s u a ŋ ² ¹
算	s u i ² ¹
管	k u a ŋ ³ ¹
箭	t͡s i ² ¹
箸	t u ³ ⁵
箸	t͡s u ⁵ ⁵
節	t͡s a k̚ ⁵
節	t͡s i e k̚ ⁵
節	t͡s ɔ i ⁵ ⁵
篩	s u ³ ⁵
篩	tʰ a i ³ ⁵
篷	pʰ a ŋ ² ²
篷	pʰ ɔ ŋ ² ²
篾	b i ³ ³
篾	m i e k̚ ⁵
篾瓤	b i ³ ³ n ɔ ² ²
篾皮	b i ³ ³ pʰ u ɛ ² ²
米	b i ³ ¹
粉	h u ŋ ³ ¹
粒	l i a p̚ ²
粞	t͡sʰ ɔ i ² ¹
粱	l i a ŋ ² ²
粽	t͡s a ŋ ² ¹
粽	t͡s ɔ ŋ ³ ⁵
精	t͡s i a ³ ⁵
精	t͡s i ŋ ³ ⁵
糖	tʰ a ŋ ² ²
糖	tʰ ɔ ² ²
糖囝	tʰ ɔ ² ² k i a ³ ¹
糖客	tʰ ɔ ² ² kʰ ɛ ⁵ ⁵
糖廠	tʰ ɔ ² ² t͡sʰ i a ŋ ³ ¹
糖糕	tʰ ɔ ² ² k a u ³ ⁵
糖膽	tʰ ɔ ² ² t a ³ ¹
糖蜂	tʰ ɔ ² ² pʰ a ŋ ³ ⁵
糜	b i ² ²
糜	m u ɛ ² ²
糜箸	m u ɛ ² ² t u ³ ⁵
約	i ɔ k̚ ⁵
紅	a ŋ ² ²
紅	h ɔ ŋ ² ²
紅毛塗	a ŋ ² ² m ɔ ² ² tʰ ɛ u ² ²
純	s u ŋ ² ²
紙	t͡s i ³ ¹
紙	t͡s u a ³ ¹
級	kʰ i p̚ ⁵
素	s u ² ¹
細娘	s ɔ i ² ¹ ⁻ ⁵ ⁵ n i ɔ ² ²
結	k i e k̚ ⁵
絕	t͡s i e k̚ ²
絞絲爿	k i a u ² ¹ ⁻ ⁵ ⁵ s i ³ ⁵ p a i ² ²
統	tʰ ɔ ŋ ³ ¹
絲	s i ³ ⁵
經	k i ŋ ³ ⁵
綠	l i a k̚ ²
綠	l ɔ k̚ ⁵
綢	t i u ² ²
維	b i ² ²
線	s i e ŋ ⁵ ⁵
線	s u a ² ¹
編	pʰ i e ŋ ³ ⁵
緩	h u a ŋ ⁵ ⁵
練	l i e ŋ ⁵ ⁵
縣	h i e ŋ ⁵ ⁵
縣	k u a i ³ ⁵
總	t͡s ɔ ŋ ³ ¹
繹	z i k̚ ⁵
罩	t͡s a u ³ ³
罪	t͡s u i ³ ³
罵	m ɛ ³ ⁵
罵無毒拍無疼	m ɛ ³ ⁵ ⁻ ³ ³ b ɔ ² ² t a k̚ ² pʰ a ⁵ ⁵ b ɔ ² ² tʰ i a ² ¹
罷	p a ³ ³
羅鯉鱗	l ɔ ² ² l i ⁵ ⁵ l a ŋ ² ²
羊	i ɔ ² ²
羊	z i a ŋ ² ²
美	m u i ³ ¹
義	ŋ i ³ ³
羽	i ³ ¹
翁	ɔ ŋ ³ ⁵
翔	t͡sʰ i a m ² ²
翔	t͡sʰ i a ŋ ² ²
翠	t͡sʰ u i ² ¹
老	l a u ³ ³
老	l a u ³ ¹
考	kʰ a u ³ ¹
者	t͡s ɛ ³ ¹
而	l u ² ²
耕	k e ŋ ³ ⁵
耕	k ɛ ³ ⁵
耘	z i e ŋ ² ²
耳	h i ³ ³
耳	l u ² ²
耳空	h i ³ ³ kʰ a ŋ ³ ⁵
耳鏡	h i ³ ³ k i a ² ¹
耽	t a m ³ ⁵
聘	pʰ i ŋ ² ¹
聘禮	pʰ i ŋ ² ¹ ⁻ ⁵ ⁵ l ɔ i ³ ¹
聞	b i e ŋ ² ²
聞	m u i ² ²
聲	s i a ³ ⁵
聲	s i ŋ ³ ⁵
職	t͡s e k̚ ⁵
聽	tʰ i a ³ ⁵
聽	tʰ i ŋ ² ²
肆	s i ² ¹
肆	s u ² ¹
肉	h i p̚ ²
肉	z i ɔ k̚ ⁵
肉豆	h i p̚ ² t a u ³ ⁵
肌	k i ³ ⁵
肏	p u ɛ ⁵ ⁵
肝	k a ŋ ³ ⁵
肝	k u a ³ ⁵
肩頭	k a ³ ⁵ ⁻ ³ ³ tʰ a u ² ²
肺	h u i ² ¹
胃	u i ² ¹
胡蜞	h ɛ u ² ² kʰ i ² ²
胡蠅	h ɛ u ² ² s i e ŋ ² ²
能	n e ŋ ² ²
腹寒	p a k̚ ⁵ k u a ² ²
膚	h u ³ ⁵
膽	t a m ³ ¹
膽	t a ³ ¹
臟	t͡s a ŋ ³ ³
臥	ŋ ɔ ⁵ ⁵
自	t͡s u ³ ³
臺	tʰ a i ² ²
與	i ³ ¹
興	h i ŋ ² ¹
興	h i ŋ ³ ⁵
舉	k i ³ ¹
舉	k u ³ ¹
舊	k u ³ ⁵
船	t͡s u ŋ ² ²
船檣	t͡s u ŋ ² ² t͡sʰ i ɔ ² ²
船甲	t͡s u ŋ ² ² k a ⁵ ⁵
船篷	t͡s u ŋ ² ² pʰ a ŋ ² ²
艦	l a m ³ ¹
良	l i a ŋ ² ²
良心	l i a ŋ ² ² s i m ³ ⁵
色	s e k̚ ⁵
艾	ŋ a i ³ ³
艾囝	ŋ a i ³ ³ k i a ³ ¹
艾絨	ŋ a i ³ ³ z i ɔ ŋ ² ²
芥菜	kʰ a i ² ¹ ⁻ ⁵ ⁵ t͡sʰ a i ² ¹
花	h u a ³ ⁵
花	h u ɛ ³ ⁵
芳	b a ŋ ³ ⁵
芳	pʰ a ŋ ³ ⁵
芹菜	kʰ i e ŋ ² ² t͡sʰ a i ² ¹
苗	m i a u ² ²
苦	kʰ u ³ ¹
苦	kʰ ɛ u ³ ¹
英	i ŋ ³ ⁵
英文	i ŋ ³ ⁵ ⁻ ³ ³ b i e ŋ ² ²
茉莉花	m u a k̚ ⁵ l i ⁵ ⁵ h u ɛ ³ ⁵
茭筍	k a u ³ ⁵ ⁻ ³ ³ s u ŋ ² ¹
茶	t ɛ ² ²
草	t͡sʰ a u ³ ¹
草	t͡sʰ ɔ ³ ¹
荒	h u a ŋ ³ ⁵
莫	b ɔ ³ ³
莫	m ɔ k̚ ²
菊	kʰ ɔ k̚ ⁵
菜	t͡sʰ a i ² ¹
菠蘿	p ɔ ³ ⁵ ⁻ ³ ³ l ɔ ² ²
菱	l e ŋ ² ²
萬	b a ŋ ³ ⁵
萬	b a ŋ ⁵ ⁵
落	l ɔ ³ ³
落	l ɔ ³ ¹
落公	l ɔ ³ ³ k ɔ ŋ ³ ⁵
落囝	l a k̚ ⁵ k i a ³ ¹
落囝	l ɔ ³ ³ k i a ³ ¹
落囝	l ɔ ³ ¹ ⁻ ⁵ ⁵ k i a ³ ¹
落堂	l ɔ ³ ³ t ɔ ² ²
落塗	l ɔ ³ ³ tʰ ɛ u ² ²
落士	l ɔ ³ ³ s u ³ ³
