㑚	n a ʔ ⁴
垿	ɬ y ¹ ¹
埂	k ɛ ŋ ⁴ ⁵ ³
埃及	a i ⁵ ³ ³ ⁻ ¹ ¹ k i ʔ ⁴
城	ɬ i a ¹ ³
城	ɬ i ŋ ¹ ³
城區	ɬ i a ¹ ³ ⁻ ¹ ¹ kʰ y ⁵ ³ ³
城南	ɬ i ŋ ¹ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
城廂	ɬ i ŋ ¹ ³ ⁻ ¹ ¹ ɬ y ɒ ŋ ⁵ ³ ³
城裡	ɬ i a ¹ ³ ⁻ ¹ ¹ i ⁴ ⁵ ³
城裡	ɬ i a ¹ ³ ⁻ ¹ ¹ l i ⁴ ⁵ ³
城裡人	ɬ i a ¹ ³ ⁻ ¹ ¹ i ⁴ ⁵ ³ ⁻ ¹ ³ n a ŋ ¹ ³
城裡人	ɬ i a ¹ ³ ⁻ ¹ ¹ l i ⁴ ⁵ ³ ⁻ ¹ ³ n a ŋ ¹ ³
城關	ɬ i ŋ ¹ ³ ⁻ ¹ ¹ k u a ŋ ⁵ ³ ³
城隍爺	ɬ i ŋ ¹ ³ ⁻ ¹ ¹ n ɒ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i a ¹ ³
埔	p ɔ u ⁵ ³ ³
埔	pʰ ɔ u ⁴ ⁵ ³
埕	t i a ¹ ³
埕	t i ŋ ¹ ³
域	y ʔ ⁴
埭頭	t ø ¹ ¹ l a u ¹ ³
埵	t ɒ ⁴ ⁵ ³
執	t͡s i ʔ ² ¹
執政	t͡s i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i ŋ ⁴ ²
執法	t͡s i ʔ ² ¹ ⁻ ⁴ ² h a ʔ ² ¹
執照	t͡s i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i e u ⁴ ²
執行	t͡s i ʔ ² ¹ ⁻ ⁴ ⁵ h ɛ ŋ ¹ ³
培養	p u e i ¹ ³ ⁻ ¹ ¹ i e u ⁴ ⁵ ³
基	k i ⁵ ³ ³
基因	k i ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³
基本	k i ⁵ ³ ³ ⁻ ¹ ¹ p ɔ ŋ ⁴ ⁵ ³
基督	k i ⁵ ³ ³ ⁻ ¹ ³ t ɒ ʔ ² ¹
基路伯	k i ⁵ ³ ³ ⁻ ¹ ³ l ɔ u ¹ ¹ ⁻ ⁴ ² p ɛ ʔ ² ¹
埻	t͡s ɔ ŋ ⁴ ⁵ ³
堂	t u ŋ ¹ ³
堂	t ɒ ŋ ¹ ³
堅	k ɛ ŋ ⁵ ³ ³
堆	t u i ⁵ ³ ³
堪	kʰ a ŋ ⁵ ³ ³
堯	k i e u ¹ ³
堰	ɛ ŋ ⁴ ²
報	p o ⁴ ²
報	p ɒ ⁴ ²
報仇	p ɒ ⁴ ² ɬ i u ¹ ³
報到	p ɒ ⁴ ² ⁻ ⁵ ⁵ t ɒ ⁴ ²
報名	p o ⁴ ² m i a ¹ ³
報告	p ɒ ⁴ ² ⁻ ⁵ ⁵ k ɒ ⁴ ²
報喜	p ɒ ⁴ ² ⁻ ⁵ ⁵ h i ⁴ ⁵ ³
報國	p ɒ ⁴ ² k ɒ ʔ ² ¹
報導	p ɒ ⁴ ² t ɒ ¹ ¹
報復	p ɒ ⁴ ² ⁻ ⁵ ⁵ h ɒ ʔ ⁴
報恩	p ɒ ⁴ ² ⁻ ⁵ ⁵ y ŋ ⁵ ³ ³
報應	p ɒ ⁴ ² ⁻ ⁵ ⁵ i ŋ ⁴ ²
報案	p ɒ ⁴ ² ⁻ ⁵ ⁵ a ŋ ⁴ ²
報答	p ɒ ⁴ ² t a ʔ ² ¹
報紙	p o ⁴ ² ⁻ ⁵ ⁵ l y ɒ ⁴ ⁵ ³
報警	p ɒ ⁴ ² ⁻ ⁵ ⁵ k i ŋ ⁴ ⁵ ³
報銷	p ɒ ⁴ ² ⁻ ⁵ ⁵ l i e u ⁵ ³ ³
場	t i e u ¹ ³
場	t y ɒ ŋ ¹ ³
堵	t ɔ u ⁴ ⁵ ³
塃	h ɒ ŋ ⁵ ³ ³
塊	kʰ u e i ⁴ ²
塒	ɬ i ¹ ³
塔	tʰ a ʔ ² ¹
塕塵	ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɒ ŋ ¹ ³
塗	t ɔ u ¹ ³
塗	tʰ ɔ u ¹ ³
塗埕	tʰ ɔ u ¹ ³ ⁻ ¹ ¹ t i a ¹ ³
塗嶺	tʰ ɔ u ¹ ³ ⁻ ¹ ¹ n i a ⁴ ⁵ ³
塗水	tʰ ɔ u ¹ ³ ⁻ ¹ ¹ l u i ⁴ ⁵ ³
塗沙	t ɔ u ¹ ³ ⁻ ¹ ¹ l u a ⁵ ³ ³
塗粉	tʰ ɔ u ¹ ³ ⁻ ¹ ¹ ɔ ŋ ⁴ ⁵ ³
塘嶼	tʰ u ŋ ¹ ³ ⁻ ⁴ ² n y ¹ ¹
塚	tʰ œ ŋ ⁴ ⁵ ³
塞	ɬ e ¹ ¹
塞	ɬ ɛ ʔ ² ¹
塢	ɔ u ⁴ ²
塤	h ɔ ŋ ⁵ ³ ³
填	tʰ i ɛ ŋ ⁴ ²
填	tʰ ɔ ŋ ⁴ ²
塵	t i ŋ ¹ ³
塵	tʰ ɔ ŋ ¹ ³
塾	ɬ œ ʔ ⁴
墁	m a ŋ ¹ ¹
境	k i ŋ ⁴ ⁵ ³
墊	t i ɛ ŋ ¹ ¹
墓	m ɔ u ⁴ ²
墓	p ɔ u ¹ ¹
墜	t u i ¹ ¹
墜	tʰ u i ¹ ¹
增	t͡s ɛ ŋ ⁵ ³ ³
增加	t͡s ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k a ⁵ ³ ³
墟	h y ⁵ ³ ³
墣	pʰ ɒ ʔ ² ¹
墨	p a ʔ ⁴
墨	p ɛ ʔ ⁴
墨斗	p a ʔ ⁴ ⁻ ² ¹ t a u ⁴ ⁵ ³
墨水	p a ʔ ⁴ ⁻ ² ¹ t͡s u i ⁴ ⁵ ³
墨粉	p a ʔ ⁴ ⁻ ² ¹ h ɔ ŋ ⁴ ⁵ ³
墨膏	p a ʔ ⁴ ⁻ ² ¹ k o ⁵ ³ ³
墩	t ɔ ŋ ⁵ ³ ³
墮	t ɒ ¹ ¹
墳	h ɔ ŋ ⁴ ⁵ ³
墾	kʰ y ŋ ⁴ ⁵ ³
墿	t ɔ u ¹ ¹
墿喙	t ɔ u ¹ ¹ ⁻ ⁵ ⁵ t͡sʰ u i ⁴ ²
墿囝	t ɔ u ¹ ¹ y ɒ ⁴ ⁵ ³
墿龍	t ɔ u ¹ ¹ l œ ŋ ¹ ³
壁	p i a ¹ ¹
壁	p i ʔ ² ¹
壁堵	p i a ¹ ¹ ⁻ ⁵ ⁵ l ɔ u ⁴ ⁵ ³
壁角	p i a ¹ ¹ ⁻ ⁴ ² a ʔ ² ¹
壁邊	p i a ¹ ¹ ⁻ ⁵ ⁵ i ŋ ⁵ ³ ³
壓	a ʔ ² ¹
壓力	a ʔ ² ¹ ⁻ ⁴ ⁵ l i ʔ ⁴
壞	h u e i ¹ ¹
士	ɬ o ¹ ¹
士師記	ɬ o ¹ ¹ ⁻ ⁵ ⁵ l o ⁵ ³ ³ ⁻ ¹ ³ k i ⁴ ²
壬	t͡s i ŋ ¹ ³
壯	t͡s u ŋ ⁴ ²
壯	t͡s ɒ ŋ ⁴ ²
壺	h ɔ u ¹ ³
壺	ɔ u ¹ ³
壽	ɬ i u ¹ ¹
夏	h a ¹ ¹
夏	ɒ ¹ ¹
夏娃	h a ¹ ¹ u a ⁵ ³ ³
夏至	h a ¹ ¹ ⁻ ⁵ ⁵ l i ⁴ ²
夐	k y ŋ ⁴ ²
夕	ɬ i ʔ ⁴
外	k u a ¹ ¹
外	k u e i ¹ ¹
外人	k u e i ¹ ¹ n a ŋ ¹ ³
外國	k u e i ¹ ¹ ⁻ ⁴ ² ɒ ʔ ² ¹
外地人	k u e i ¹ ¹ ⁻ ⁵ ⁵ t i ¹ ¹ n a ŋ ¹ ³
外家	k u a ¹ ¹ ɒ ⁵ ³ ³
外語	k u e i ¹ ¹ k y ⁴ ⁵ ³
外邦人	k u e i ¹ ¹ p a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
夙	ɬ œ ʔ ² ¹
多	t ɒ ⁵ ³ ³
多馬	t ɒ ⁵ ³ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
夜	i a ¹ ¹
夠額	k a u ⁴ ² ⁻ ⁵ ⁵ ɛ ʔ ⁴
夢	m a ŋ ⁴ ²
夢	m ɒ ŋ ⁴ ²
大	t a i ¹ ¹
大	t u a ¹ ¹
大伯	t u a ¹ ¹ ⁻ ⁴ ² a ¹ ¹
大公	t u a ¹ ¹ ɒ ŋ ⁵ ³ ³
大力士	t a i ¹ ¹ l i ʔ ⁴ ɬ o ¹ ¹
大同	t a i ¹ ¹ l ɒ ŋ ¹ ³
大囝	t u a ¹ ¹ y ɒ ⁴ ⁵ ³
大字	t u a ¹ ¹ ⁻ ⁴ ² l i ¹ ¹
大學	t a i ¹ ¹ a ʔ ⁴
大寫	t u a ¹ ¹ l i a ⁴ ⁵ ³
大巴	t u a ¹ ¹ p a ⁵ ³ ³
大廈	t a i ¹ ¹ ⁻ ⁴ ² h a ¹ ¹
大廳	t u a ¹ ¹ tʰ i a ⁵ ³ ³
大房	t u a ¹ ¹ a ŋ ¹ ³
大暑	t u a ¹ ¹ l y ⁴ ⁵ ³
大會	t a i ¹ ¹ ⁻ ⁴ ² u e i ¹ ¹
大某	t u a ¹ ¹ ɔ u ⁴ ⁵ ³
大概	t a i ¹ ¹ ⁻ ⁵ ⁵ kʰ a i ⁴ ²
大樓	t u a ¹ ¹ l a u ¹ ³
大水	t u a ¹ ¹ l u i ⁴ ⁵ ³
大洋	t u a ¹ ¹ i e u ¹ ³
大澳	t u a ¹ ¹ ⁻ ⁵ ⁵ ɒ ⁴ ²
大濟	t u a ¹ ¹ ⁻ ⁵ ⁵ l ɔ ŋ ⁴ ²
大火	t u a ¹ ¹ u e i ⁴ ⁵ ³
大班	t u a ¹ ¹ p a ŋ ⁵ ³ ³
大田	t a i ¹ ¹ t͡sʰ ɛ ŋ ¹ ³
大白菜	t u a ¹ ¹ a ¹ ³ ⁻ ⁵ ⁵ l a i ⁴ ²
大米	t u a ¹ ¹ i ⁴ ⁵ ³
大約	t a i ¹ ¹ ⁻ ⁴ ² y ɒ ʔ ² ¹
大腸	t u a ¹ ¹ l u ŋ ¹ ³
大腸癌	t u a ¹ ¹ l u ŋ ¹ ³ ⁻ ¹ ¹ ŋ a ŋ ¹ ³
大衛	t a i ¹ ¹ ⁻ ⁴ ² e ¹ ¹
大衣	t u a ¹ ¹ i ⁵ ³ ³
大西洋	t a i ¹ ¹ ɬ e ⁵ ³ ³ ⁻ ¹ ¹ y ɒ ŋ ¹ ³
大躍進	t a i ¹ ¹ œ ʔ ⁴ t͡s i ŋ ⁴ ²
大量	t a i ¹ ¹ ⁻ ⁴ ² l y ɒ ŋ ¹ ¹
大銃	t u a ¹ ¹ ⁻ ⁴ ² l œ ŋ ¹ ¹
大門	t u a ¹ ¹ m u e i ¹ ³
大闢	t a i ¹ ¹ p i ʔ ⁴
大陸	t a i ¹ ¹ l œ ʔ ⁴
大隊	t a i ¹ ¹ ⁻ ⁴ ² t u i ¹ ¹
大雨	t u a ¹ ¹ ⁻ ⁴ ² ɔ u ¹ ¹
大雪	t a i ¹ ¹ ⁻ ⁴ ² ɬ ø ¹ ¹
大雪	t u a ¹ ¹ ⁻ ⁴ ² ɬ ø ¹ ¹
大頭鰱	t u a ¹ ¹ l a u ¹ ³ ⁻ ¹ ¹ l ɛ ŋ ¹ ³
大馬士革	t a i ¹ ¹ m a ⁴ ⁵ ³ ⁻ ¹ ³ ɬ o ¹ ¹ ⁻ ⁴ ² k ɛ ʔ ² ¹
天	tʰ i ŋ ⁵ ³ ³
天	tʰ ɛ ŋ ⁵ ³ ³
天下	tʰ i ŋ ⁵ ³ ³ ⁻ ¹ ³ n ɒ ¹ ¹
天主	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n y ⁴ ⁵ ³
天使	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ n o ⁴ ²
天光	tʰ i ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ k u ŋ ⁵ ³ ³
天命	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ m i ŋ ¹ ¹
天國	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ k ɒ ʔ ² ¹
天堂	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t ɒ ŋ ¹ ³
天安門	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ a ŋ ⁵ ³ ³ ⁻ ¹ ¹ m u e i ¹ ³
天差地	tʰ i ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ t͡sʰ a ⁵ ³ ³ ⁻ ¹ ³ t e ¹ ¹
天氣	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ kʰ i ⁴ ²
天津	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ⁵ ³ ³
天火	tʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u e i ⁴ ⁵ ³
天然	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɛ ŋ ¹ ³
天父	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ h u ¹ ¹
天窗	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n œ ŋ ⁵ ³ ³
天罡	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ ɒ ŋ ⁵ ³ ³
天罡神	tʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ¹ ³
天頂	tʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɛ ŋ ⁴ ⁵ ³
太	tʰ a i ⁴ ²
太原	tʰ a i ⁴ ² ŋ œ ŋ ¹ ³
太平洋	tʰ a i ⁴ ² p i ŋ ¹ ³ ⁻ ¹ ¹ ŋ y ɒ ŋ ¹ ³
夫	h u ⁵ ³ ³
夫	p ɔ u ⁵ ³ ³
夫人	h u ⁵ ³ ³ ⁻ ¹ ¹ l i ŋ ¹ ³
央	y ɒ ŋ ⁵ ³ ³
央	ŋ̍ ⁵ ³ ³
央求	y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k i u ¹ ³
夯	h a ŋ ⁵ ³ ³
失	ɬ i ʔ ² ¹
失守	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ ɬ i u ⁴ ⁵ ³
失察	ɬ i ʔ ² ¹ ⁻ ⁴ ² t͡sʰ a ʔ ² ¹
失常	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ ɬ y ɒ ŋ ¹ ³
失志	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i ⁴ ²
失意	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ i ⁴ ²
失戀	ɬ i ʔ ² ¹ ⁻ ⁴ ² l œ ŋ ¹ ¹
失效	ɬ i ʔ ² ¹ ⁻ ⁴ ² h a u ¹ ¹
失敗	ɬ i ʔ ² ¹ ⁻ ⁴ ² p a i ¹ ¹
失敬	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ k i ŋ ⁴ ²
失業	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ k i ɛ ʔ ⁴
失神	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ ɬ i ŋ ¹ ³
失約	ɬ i ʔ ² ¹ ⁻ ⁴ ² y ɒ ʔ ² ¹
失職	ɬ i ʔ ² ¹ ⁻ ⁴ ² t͡s i ʔ ² ¹
失衡	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ h ɛ ŋ ¹ ³
失誤	ɬ i ʔ ² ¹ ⁻ ⁴ ² k ɔ u ¹ ¹
失調	ɬ i ʔ ² ¹ ⁻ ⁴ ² t i e u ¹ ¹
失調	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ t i e u ¹ ³
失蹤	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s ɒ ŋ ⁵ ³ ³
失身	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ ɬ i ŋ ⁵ ³ ³
失陷	ɬ i ʔ ² ¹ ⁻ ⁴ ² h a ŋ ¹ ¹
夾	k e ¹ ¹
夾	k i ɛ ʔ ² ¹
夾	k ɒ ¹ ¹
奇	k i ¹ ³
奇	k i ⁵ ³ ³
奇	kʰ y ɒ ⁵ ³ ³
奇日	kʰ y ɒ ⁵ ³ ³ ⁻ ¹ ¹ l i ʔ ⁴
奇異	k i ¹ ³ ⁻ ⁴ ² i ¹ ¹
奈	n a i ¹ ¹
奉	h ɒ ŋ ¹ ¹
奉承	h ɒ ŋ ¹ ¹ n i ŋ ¹ ³
奉獻	h ɒ ŋ ¹ ¹ ⁻ ⁴ ² h œ ŋ ¹ ¹
奎	k e ⁵ ³ ³
奐	h u a ŋ ⁴ ²
契	kʰ e ⁴ ²
契	ɬ ɛ ʔ ² ¹
契弟	kʰ e ⁴ ² l e ¹ ¹
契約	kʰ e ⁴ ² y ɒ ʔ ² ¹
奔	p ɔ ŋ ⁵ ³ ³
套	tʰ o ⁴ ²
套	tʰ ɒ ⁴ ²
套房	tʰ o ⁴ ² p a ŋ ¹ ³
套現	tʰ ɒ ⁴ ² h ɛ ŋ ¹ ¹
套用	tʰ o ⁴ ² œ ŋ ¹ ¹
奘	t͡s ɒ ŋ ¹ ¹
奢	ɬ i a ⁵ ³ ³
奧	ɒ ⁴ ²
奧運	ɒ ⁴ ² ɔ ŋ ¹ ¹
奩	l i ɛ ŋ ¹ ³
奪	t u a ʔ ⁴
奭	ɬ i ʔ ² ¹
奮	h ɔ ŋ ⁴ ²
奲	t ɒ ⁴ ⁵ ³
奲	t͡sʰ i a ⁴ ⁵ ³
女	t y ⁴ ⁵ ³
女天罡	t y ⁴ ⁵ ³ ⁻ ¹ ³ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ ɒ ŋ ⁵ ³ ³
女朋友	t y ⁴ ⁵ ³ ⁻ ¹ ³ ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i u ⁴ ⁵ ³
女爿	t y ⁴ ⁵ ³ ⁻ ¹ ³ e ¹ ³
女裝	t y ⁴ ⁵ ³ ⁻ ¹ ¹ t͡s ɒ ŋ ⁵ ³ ³
奴	n u ¹ ³
奴	n ɔ u ¹ ³
奴役	n ɔ u ¹ ³ ⁻ ¹ ¹ y ʔ ⁴
奴才	n ɔ u ¹ ³ ⁻ ¹ ¹ l a i ¹ ³
奶	n a i ⁴ ⁵ ³
奶	n e ⁴ ⁵ ³
奶	n ɛ ŋ ⁵ ³ ³
奶喙	n ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ u i ⁴ ²
奶母	n ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m o ⁴ ⁵ ³
奶罩	n ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ t a u ⁴ ²
奸	k a ŋ ⁵ ³ ³
奸臣	k a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ i ŋ ¹ ³
好	h o ⁴ ⁵ ³
好	h ɒ ⁴ ²
好	h ɒ ⁴ ⁵ ³
好來好去	h o ⁴ ⁵ ³ ⁻ ¹ ³ l a i ¹ ³ h o ⁴ ⁵ ³ ⁻ ¹ ¹ y ⁴ ²
好命	h o ⁴ ⁵ ³ ⁻ ¹ ³ m i a ¹ ¹
好天	h o ⁴ ⁵ ³ ⁻ ¹ ¹ l i ŋ ⁵ ³ ³
好心乞雷拍	h o ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ŋ ⁵ ³ ³ kʰ ɔ ʔ ² ¹ ⁻ ⁴ ⁵ l u i ¹ ³ pʰ a ¹ ¹
好日	h o ⁴ ⁵ ³ ⁻ ¹ ¹ l i ʔ ⁴
好死	h o ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ⁴ ⁵ ³
好看	h o ⁴ ⁵ ³ ⁻ ¹ ¹ u a ⁴ ²
好空	h o ⁴ ⁵ ³ ⁻ ¹ ¹ kʰ a ŋ ⁵ ³ ³
好聽	h o ⁴ ⁵ ³ ⁻ ¹ ¹ l i a ⁵ ³ ³
好處	h o ⁴ ⁵ ³ ⁻ ¹ ¹ t͡sʰ y ⁴ ²
好話	h o ⁴ ⁵ ³ ⁻ ¹ ³ u a ¹ ¹
好頭好尾	h o ⁴ ⁵ ³ ⁻ ¹ ³ l a u ¹ ³ ⁻ ¹ ¹ h o ⁴ ⁵ ³ ⁻ ¹ ¹ p u e i ⁴ ⁵ ³
好食	h o ⁴ ⁵ ³ ⁻ ¹ ¹ l i æ ʔ ⁴
好食	h o ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i æ ʔ ⁴
好食	h ɒ ⁴ ² ⁻ ⁵ ⁵ l i æ ʔ ⁴
如	t͡s y ¹ ³
如何	t͡s y ¹ ³ ⁻ ¹ ¹ h ɒ ¹ ³
如斯	t͡s y ¹ ³ ⁻ ¹ ¹ l o ⁵ ³ ³
如果	t͡s y ¹ ³ ⁻ ¹ ¹ k ɒ ⁴ ⁵ ³
妃	h i ⁵ ³ ³
妄	m ɒ ŋ ¹ ¹
妄言	m ɒ ŋ ¹ ¹ ŋ œ ŋ ¹ ³
妖	i e u ⁵ ³ ³
妖冶	i e u ⁵ ³ ³ ⁻ ¹ ¹ i a ⁴ ⁵ ³
妖魔	i e u ⁵ ³ ³ ⁻ ¹ ¹ m ɒ ¹ ³
妗	k i ŋ ¹ ¹
妙	p i e u ¹ ¹
妝	t͡s u ŋ ⁵ ³ ³
妝	t͡s ɒ ŋ ⁵ ³ ³
妥	tʰ ɒ ⁴ ⁵ ³
妲	t a ʔ ² ¹
妹	m a i ⁴ ²
妹	m u e i ⁴ ²
妹	p u e i ¹ ¹
妻	t͡sʰ e ⁵ ³ ³
姊夫	t͡s i ⁴ ⁵ ³ ⁻ ¹ ¹ u ⁵ ³ ³
姊妹囝	t͡s i ⁴ ⁵ ³ ⁻ ¹ ¹ m u e i ⁴ ² ⁻ ⁵ ⁵ y ɒ ⁴ ⁵ ³
始	ɬ i ⁴ ⁵ ³
姑	k ɔ u ⁵ ³ ³
姑媽	k ɔ u ⁵ ³ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
姒	ɬ o ¹ ¹
姓	ɬ a ⁴ ²
姓	ɬ i ŋ ⁴ ²
委	u i ⁴ ⁵ ³
委員	u i ⁴ ⁵ ³ ⁻ ¹ ³ œ ŋ ¹ ³
姚	i e u ¹ ³
姝	t͡s y ⁵ ³ ³
姦	k a ŋ ⁵ ³ ³
姨	i ¹ ³
姨丈	i ¹ ³ ⁻ ⁴ ² n i e u ¹ ¹
姨囝	i ¹ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
姨媽	i ¹ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
姬	k i ⁵ ³ ³
威	u i ⁵ ³ ³
威力	u i ⁵ ³ ³ ⁻ ¹ ¹ l i ʔ ⁴
威嚴	u i ⁵ ³ ³ ⁻ ¹ ¹ ŋ i ɛ ŋ ¹ ³
威望	u i ⁵ ³ ³ ⁻ ¹ ³ m ɒ ŋ ¹ ¹
威脅	u i ⁵ ³ ³ ⁻ ¹ ¹ h i ɛ ʔ ⁴
娉	pʰ i ŋ ⁵ ³ ³
娘媽	n i e u ¹ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
娘嬭	n i e u ¹ ³ ⁻ ¹ ¹ l e ⁴ ⁵ ³
娘嬭囝	n i e u ¹ ³ ⁻ ¹ ¹ l e ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
娛樂	k y ¹ ³ ⁻ ¹ ¹ l ɒ ʔ ⁴
娥	k ɒ ¹ ³
娩	m ɛ ŋ ⁴ ⁵ ³
娶	t͡sʰ y ⁴ ⁵ ³
娼	t͡sʰ y ɒ ŋ ⁵ ³ ³
婁	l i e u ¹ ³
婆	p o ¹ ³
婉拒	u a ŋ ⁴ ⁵ ³ ⁻ ¹ ³ k y ¹ ¹
婊	p i e u ⁴ ⁵ ³
婚	h ɔ ŋ ⁵ ³ ³
婚姻	h ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ i ŋ ⁵ ³ ³
婚禮	h ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ l e ⁴ ⁵ ³
婚紗	h ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ a ⁵ ³ ³
婞	h ɛ ŋ ¹ ¹
婦	h u ¹ ¹
婦	p u ¹ ¹
婦女	h u ¹ ¹ l y ⁴ ⁵ ³
婦女人	h u ¹ ¹ l y ⁴ ⁵ ³ ⁻ ¹ ³ n a ŋ ¹ ³
婦女囝	h u ¹ ¹ l y ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
婦科	h u ¹ ¹ ɒ ⁵ ³ ³
婭	a ⁴ ²
婷	t ɛ ŋ ¹ ³
婿	t͡sʰ a i ⁴ ²
婿	ɬ a i ⁴ ²
婿	ɬ e ⁴ ²
媒	p u e i ¹ ³
媚	p i ¹ ¹
媛	œ ŋ ¹ ³
媳	ɬ i ʔ ² ¹
媼	ɒ ⁴ ⁵ ³
媽孫	m a ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ ŋ ⁵ ³ ³
媽祖	m a ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³
媽祖生	m a ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ l a ⁵ ³ ³
媽祖麵	m a ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³ ⁻ ¹ ³ m i ŋ ¹ ¹
媾	k i e u ⁴ ²
嫁	k a ⁴ ²
嫁	k ɒ ⁴ ²
嫁妝	k ɒ ⁴ ² ⁻ ⁵ ⁵ l u ŋ ⁵ ³ ³
嫂	ɬ o ⁴ ⁵ ³
嫂	ɬ ɒ ⁴ ⁵ ³
嫌	h i ɛ ŋ ¹ ³
嫖	pʰ i e u ¹ ³
嫦	ɬ y ɒ ŋ ¹ ³
嫳	pʰ ɛ ʔ ² ¹
嬉	h i ⁵ ³ ³
嬛	h u a ŋ ¹ ³
嬪	p i ŋ ⁵ ³ ³
嬲	n i e u ⁴ ⁵ ³
嬸	ɬ i ŋ ⁴ ⁵ ³
嬸娘	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ³ n i e u ¹ ³
嬸娘囝	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ³ n i e u ¹ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
嬸娘孫	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ³ n i e u ¹ ³ ⁻ ¹ ¹ l ɔ ŋ ⁵ ³ ³
孅	ɬ i ɛ ŋ ⁵ ³ ³
孌	l u a ŋ ¹ ³
子	t͡s i ⁴ ⁵ ³
子	t͡s o ⁴ ⁵ ³
子孫	t͡s o ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ ŋ ⁵ ³ ³
子弟	t͡s o ⁴ ⁵ ³ ⁻ ¹ ³ l e ¹ ¹
