'tamo'	t̪ a m o
aleatorizadas	a l e a t̪ o ɾ i s a ð̞ a s
aleatorizado	a l e a t̪ o ɾ i s a ð̞ o
aleatorizador	a l e a t̪ o ɾ i s a ð̞ o ɾ
aleatorizados	a l e a t̪ o ɾ i s a ð̞ o s
aleatorizamos	a l e a t̪ o ɾ i s a m o s
aleatorizar	a l e a t̪ o ɾ i s a ɾ
alebrestá	a l e β̞ ɾ e s t̪ a
alebrestada	a l e β̞ ɾ e s t̪ a ð̞ a
alebrestadas	a l e β̞ ɾ e s t̪ a ð̞ a s
alebrestado	a l e β̞ ɾ e s t̪ a ð̞ o
alebrestados	a l e β̞ ɾ e s t̪ a ð̞ o s
alebrestarse	a l e β̞ ɾ e s t̪ a ɾ s e
alebrije	a l e β̞ ɾ i x e
aleccionada	a l e ɣ̞ s j o n a ð̞ a
aleccionadas	a l e ɣ̞ s j o n a ð̞ a s
aleccionado	a l e ɣ̞ s j o n a ð̞ o
aleccionador	a l e ɣ̞ s j o n a ð̞ o ɾ
aleccionados	a l e ɣ̞ s j o n a ð̞ o s
aleccionamiento	a l e ɣ̞ s j o n a m j ẽ n̪ t̪ o
aleccionar	a l e ɣ̞ s j o n a ɾ
aleccioné	a l e ɣ̞ s j o n e
alecciono	a l e ɣ̞ s j o n o
alechugada	a l e t͡ʃ u ɣ̞ a ð̞ a
alechugadas	a l e t͡ʃ u ɣ̞ a ð̞ a s
alechugado	a l e t͡ʃ u ɣ̞ a ð̞ o
alechugados	a l e t͡ʃ u ɣ̞ a ð̞ o s
alechugar	a l e t͡ʃ u ɣ̞ a ɾ
alecrín	a l e k ɾ ĩ n
alectomancia	a l e ɣ̞ t̪ o m ã n s j a
alectomancía	a l e ɣ̞ t̪ o m ã n s i a
alectoria	a l e ɣ̞ t̪ o ɾ j a
aledaño	a l e ð̞ a ɲ o
álef	a l e f
alefato	a l e f a t̪ o
alefriz	a l e f ɾ i s
álefs	a l e f s
alegación	a l e ɣ̞ a s j õ n
alegada	a l e ɣ̞ a ð̞ a
alegadamente	a l e ɣ̞ a ð̞ a m ẽ n̪ t̪ e
alegadas	a l e ɣ̞ a ð̞ a s
alegado	a l e ɣ̞ a ð̞ o
alegados	a l e ɣ̞ a ð̞ o s
alegal	a l e ɣ̞ a l
alegalidad	a l e ɣ̞ a l i ð̞ a ð̞
alegar	a l e ɣ̞ a ɾ
alegato	a l e ɣ̞ a t̪ o
alegoría	a l e ɣ̞ o ɾ i a
alegórica	a l e ɣ̞ o ɾ i k a
alegóricamente	a l e ɣ̞ o ɾ i k a m ẽ n̪ t̪ e
alegóricas	a l e ɣ̞ o ɾ i k a s
alegórico	a l e ɣ̞ o ɾ i k o
alegóricos	a l e ɣ̞ o ɾ i k o s
alegorismo	a l e ɣ̞ o ɾ i z m o
alegorizada	a l e ɣ̞ o ɾ i s a ð̞ a
alegorizadas	a l e ɣ̞ o ɾ i s a ð̞ a s
alegorizado	a l e ɣ̞ o ɾ i s a ð̞ o
alegorizados	a l e ɣ̞ o ɾ i s a ð̞ o s
alegorizamos	a l e ɣ̞ o ɾ i s a m o s
alegorizar	a l e ɣ̞ o ɾ i s a ɾ
alegrada	a l e ɣ̞ ɾ a ð̞ a
alegradas	a l e ɣ̞ ɾ a ð̞ a s
alegrado	a l e ɣ̞ ɾ a ð̞ o
alegrados	a l e ɣ̞ ɾ a ð̞ o s
alegrando	a l e ɣ̞ ɾ ã n̪ d̪ o
alegranza	a l e ɣ̞ ɾ ã n s a
Alegranza	a l e ɣ̞ ɾ ã n s a
alegrar	a l e ɣ̞ ɾ a ɾ
alegre	a l e ɣ̞ ɾ e
Alegre	a l e ɣ̞ ɾ e
alegremente	a l e ɣ̞ ɾ e m ẽ n̪ t̪ e
alegres	a l e ɣ̞ ɾ e s
alegría	a l e ɣ̞ ɾ i a
Alegría	a l e ɣ̞ ɾ i a
alegrísimo	a l e ɣ̞ ɾ i s i m o
alegro	a l e ɣ̞ ɾ o
alegrón	a l e ɣ̞ ɾ õ n
alehop	a l e o p
Aleixandre	a l e i̯ ɣ̞ s ã n̪ d̪ ɾ e
alejada	a l e x a ð̞ a
alejadas	a l e x a ð̞ a s
alejado	a l e x a ð̞ o
alejador	a l e x a ð̞ o ɾ
alejados	a l e x a ð̞ o s
alejamiento	a l e x a m j ẽ n̪ t̪ o
Alejandra	a l e x ã n̪ d̪ ɾ a
Alejándrez	a l e x ã n̪ d̪ ɾ e s
Alejandría	a l e x ã n̪ d̪ ɾ i a
alejandrina	a l e x ã n̪ d̪ ɾ i n a
Alejandrina	a l e x ã n̪ d̪ ɾ i n a
alejandrino	a l e x ã n̪ d̪ ɾ i n o
Alejandrino	a l e x ã n̪ d̪ ɾ i n o
alejandrita	a l e x ã n̪ d̪ ɾ i t̪ a
Alejandro	a l e x ã n̪ d̪ ɾ o
Alejandrópolis	a l e x ã n̪ d̪ ɾ o p o l i s
alejar	a l e x a ɾ
alejarse	a l e x a ɾ s e
alejas	a l e x a s
aleje	a l e x e
alejo	a l e x o
Alejo	a l e x o
alela	a l e l a
alelada	a l e l a ð̞ a
aleladas	a l e l a ð̞ a s
alelado	a l e l a ð̞ o
alelados	a l e l a ð̞ o s
alelamiento	a l e l a m j ẽ n̪ t̪ o
alelar	a l e l a ɾ
alélica	a l e l i k a
alélicas	a l e l i k a s
alélico	a l e l i k o
alélicos	a l e l i k o s
alelo	a l e l o
alelomorfo	a l e l o m o ɾ f o
alelopatía	a l e l o p a t̪ i a
aleloquímico	a l e l o k i m i k o
aleluya	a l e l u ʝ a
aleluyo	a l e l u ʝ o
alemán	a l e m ã n
Alemán	a l e m ã n
alemana	a l e m a n a
alemanas	a l e m a n a s
alemanda	a l e m ã n̪ d̪ a
alemanes	a l e m a n e s
Alemania	a l e m a n j a
alemánico	a l e m a n i k o
alemanización	a l e m a n i s a s j õ n
aleno	a l e n o
alentada	a l ẽ n̪ t̪ a ð̞ a
alentadas	a l ẽ n̪ t̪ a ð̞ a s
alentado	a l ẽ n̪ t̪ a ð̞ o
alentador	a l ẽ n̪ t̪ a ð̞ o ɾ
alentados	a l ẽ n̪ t̪ a ð̞ o s
alentar	a l ẽ n̪ t̪ a ɾ
alentarse	a l ẽ n̪ t̪ a ɾ s e
alentejana	a l ẽ n̪ t̪ e x a n a
alentejanas	a l ẽ n̪ t̪ e x a n a s
alentejano	a l ẽ n̪ t̪ e x a n o
alentejanos	a l ẽ n̪ t̪ e x a n o s
Alentejo	a l ẽ n̪ t̪ e x o
aleonado	a l e o n a ð̞ o
aleonar	a l e o n a ɾ
alepina	a l e p i n a
alepino	a l e p i n o
Alepo	a l e p o
alera	a l e ɾ a
alerce	a l e ɾ s e
alérgena	a l e ɾ x e n a
alérgenas	a l e ɾ x e n a s
alergénico	a l e ɾ x e n i k o
alergeno	a l e ɾ x e n o
alérgeno	a l e ɾ x e n o
alérgenos	a l e ɾ x e n o s
alergia	a l e ɾ x j a
alérgico	a l e ɾ x i k o
alergóloga	a l e ɾ ɣ̞ o l o ɣ̞ a
alergólogas	a l e ɾ ɣ̞ o l o ɣ̞ a s
alergología	a l e ɾ ɣ̞ o l o x i a
alergólogo	a l e ɾ ɣ̞ o l o ɣ̞ o
alergólogos	a l e ɾ ɣ̞ o l o ɣ̞ o s
alero	a l e ɾ o
alerón	a l e ɾ õ n
alerta	a l e ɾ t̪ a
alertada	a l e ɾ t̪ a ð̞ a
alertadas	a l e ɾ t̪ a ð̞ a s
alertado	a l e ɾ t̪ a ð̞ o
alertados	a l e ɾ t̪ a ð̞ o s
alertamente	a l e ɾ t̪ a m ẽ n̪ t̪ e
alertamiento	a l e ɾ t̪ a m j ẽ n̪ t̪ o
alertando	a l e ɾ t̪ ã n̪ d̪ o
alertar	a l e ɾ t̪ a ɾ
alertear	a l e ɾ t̪ e a ɾ
alertita	a l e ɾ t̪ i t̪ a
alesna	a l e z n a
Alessandro	a l e s ã n̪ d̪ ɾ o
aleta	a l e t̪ a
aletada	a l e t̪ a ð̞ a
aletadas	a l e t̪ a ð̞ a s
aletargada	a l e t̪ a ɾ ɣ̞ a ð̞ a
aletargadas	a l e t̪ a ɾ ɣ̞ a ð̞ a s
aletargado	a l e t̪ a ɾ ɣ̞ a ð̞ o
aletargados	a l e t̪ a ɾ ɣ̞ a ð̞ o s
aletargamiento	a l e t̪ a ɾ ɣ̞ a m j ẽ n̪ t̪ o
aletargar	a l e t̪ a ɾ ɣ̞ a ɾ
aletas	a l e t̪ a s
aletazo	a l e t̪ a s o
aletazos	a l e t̪ a s o s
aleteada	a l e t̪ e a ð̞ a
aleteadas	a l e t̪ e a ð̞ a s
aleteado	a l e t̪ e a ð̞ o
aleteados	a l e t̪ e a ð̞ o s
aletear	a l e t̪ e a ɾ
aleteo	a l e t̪ e o
aletilla	a l e t̪ i ʝ a
aletilla	a l e t̪ i ʝ a
aletín	a l e t̪ ĩ n
aletría	a l e t̪ ɾ i a
aletrina	a l e t̪ ɾ i n a
aleutiana	a l e u̯ t̪ j a n a
aleutiano	a l e u̯ t̪ j a n o
alevantada	a l e β̞ ã n̪ t̪ a ð̞ a
alevantadas	a l e β̞ ã n̪ t̪ a ð̞ a s
alevantado	a l e β̞ ã n̪ t̪ a ð̞ o
alevantados	a l e β̞ ã n̪ t̪ a ð̞ o s
alevantar	a l e β̞ ã n̪ t̪ a ɾ
aleve	a l e β̞ e
aleví	a l e β̞ i
alevín	a l e β̞ ĩ n
alevinaje	a l e β̞ i n a x e
alevino	a l e β̞ i n o
alevinos	a l e β̞ i n o s
alevismo	a l e β̞ i z m o
alevita	a l e β̞ i t̪ a
alevosamente	a l e β̞ o s a m ẽ n̪ t̪ e
alevosía	a l e β̞ o s i a
alevoso	a l e β̞ o s o
Álex	a l e ɣ̞ s
Alexander	a l e ɣ̞ s ã n̪ d̪ e ɾ
Alexander	a l ɪ ɣ̞ s e ə n̪ d̪ ɚ
Alexander	æ l ɪ ɣ̞ s e ə n̪ d̪ ɚ
Alexandrescu	a l e ɣ̞ s ã n̪ d̪ ɾ e s k u
Alexandro	a l e x ã n̪ d̪ ɾ o
Alexandro	a l e ɣ̞ s ã n̪ d̪ ɾ o
Alexis	a l e ɣ̞ s i s
alexitimia	a l e ɣ̞ s i t̪ i m j a
Alexópulos	a l e ɣ̞ s o p u l o s
aleya	a l e ʝ a
aleznar	a l e z n a ɾ
aleznarte	a l e z n a ɾ t̪ e
alfa	a l f a
alfabeta	a l f a β̞ e t̪ a
alfabética	a l f a β̞ e t̪ i k a
alfabéticamente	a l f a β̞ e t̪ i k a m ẽ n̪ t̪ e
alfabéticas	a l f a β̞ e t̪ i k a s
alfabetice	a l f a β̞ e t̪ i s e
alfabeticé	a l f a β̞ e t̪ i s e
alfabético	a l f a β̞ e t̪ i k o
alfabéticos	a l f a β̞ e t̪ i k o s
alfabetismo	a l f a β̞ e t̪ i z m o
alfabetizable	a l f a β̞ e t̪ i s a β̞ l e
alfabetización	a l f a β̞ e t̪ i s a s j õ n
alfabetizada	a l f a β̞ e t̪ i s a ð̞ a
alfabetizadas	a l f a β̞ e t̪ i s a ð̞ a s
alfabetizado	a l f a β̞ e t̪ i s a ð̞ o
alfabetizador	a l f a β̞ e t̪ i s a ð̞ o ɾ
alfabetizadora	a l f a β̞ e t̪ i s a ð̞ o ɾ a
alfabetizados	a l f a β̞ e t̪ i s a ð̞ o s
alfabetizar	a l f a β̞ e t̪ i s a ɾ
alfabetizo	a l f a β̞ e t̪ i s o
alfabetizó	a l f a β̞ e t̪ i s o
alfabeto	a l f a β̞ e t̪ o
alfabloqueante	a l f a β̞ l o k e ã n̪ t̪ e
alfadía	a l f a ð̞ i a
alfaguara	a l f a ɣ̞ w a ɾ a
alfahar	a l f a a ɾ
alfajor	a l f a x o ɾ
alfalfa	a l f a l f a
alfalfada	a l f a l f a ð̞ a
alfalfadas	a l f a l f a ð̞ a s
alfalfado	a l f a l f a ð̞ o
alfalfados	a l f a l f a ð̞ o s
alfalfar	a l f a l f a ɾ
alfalfez	a l f a l f e s
alfamar	a l f a m a ɾ
alfanje	a l f ã ŋ x e
alfaque	a l f a k e
alfaques	a l f a k e s
alfaquí	a l f a k i
alfar	a l f a ɾ
alfarda	a l f a ɾ ð̞ a
alfardón	a l f a ɾ ð̞ õ n
alfarera	a l f a ɾ e ɾ a
alfarería	a l f a ɾ e ɾ i a
alfarero	a l f a ɾ e ɾ o
alfarista	a l f a ɾ i s t̪ a
alfarje	a l f a ɾ x e
Alfaro	a l f a ɾ o
alfaxalona	a l f a ɣ̞ s a l o n a
Alfeche	a l f e t͡ʃ e
alféizar	a l f e i̯ s a ɾ
alfeñique	a l f e ɲ i k e
alferado	a l f e ɾ a ð̞ o
alferazgo	a l f e ɾ a z ɣ̞ o
alferecía	a l f e ɾ e s i a
alférez	a l f e ɾ e s
Alférez	a l f e ɾ e s
alferraces	a l f e r a s e s
alferraz	a l f e r a s
alfetamina	a l f e t̪ a m i n a
alficoz	a l f i k o s
alfil	a l f i l
alfilel	a l f i l e l
alfiler	a l f i l e ɾ
alfilerazo	a l f i l e ɾ a s o
alfilerazos	a l f i l e ɾ a s o s
alfilerillo	a l f i l e ɾ i ʝ o
alfilerillo	a l f i l e ɾ i ʝ o
alfiletero	a l f i l e t̪ e ɾ o
alfiz	a l f i s
alfolí	a l f o l i
alfombra	a l f õ m b ɾ a
alfombrada	a l f õ m b ɾ a ð̞ a
alfombradas	a l f õ m b ɾ a ð̞ a s
alfombrado	a l f õ m b ɾ a ð̞ o
alfombrados	a l f õ m b ɾ a ð̞ o s
alfombrar	a l f õ m b ɾ a ɾ
alfombrilla	a l f õ m b ɾ i ʝ a
alfombrilla	a l f õ m b ɾ i ʝ a
alfombrita	a l f õ m b ɾ i t̪ a
alfóncigo	a l f õ n s i ɣ̞ o
alfóndiga	a l f õ n̪ d̪ i ɣ̞ a
Alfónsez	a l f õ n s e s
alfonsí	a l f õ n s i
alfónsigo	a l f õ n s i ɣ̞ o
Alfonsina	a l f õ n s i n a
alfonsinismo	a l f õ n s i n i z m o
alfonsinista	a l f õ n s i n i s t̪ a
alfonsino	a l f õ n s i n o
Alfonso	a l f õ n s o
alforfón	a l f o ɾ f õ n
alforja	a l f o ɾ x a
alforjero	a l f o ɾ x e ɾ o
alforza	a l f o ɾ s a
alfóstiga	a l f o s t̪ i ɣ̞ a
alfoz	a l f o s
Alfredo	a l f ɾ e ð̞ o
alga	a l ɣ̞ a
algal	a l ɣ̞ a l
algalia	a l ɣ̞ a l j a
algar	a l ɣ̞ a ɾ
algara	a l ɣ̞ a ɾ a
algarabía	a l ɣ̞ a ɾ a β̞ i a
algarada	a l ɣ̞ a ɾ a ð̞ a
algaras	a l ɣ̞ a ɾ a s
Algarbe	a l ɣ̞ a ɾ β̞ e
algaritofe	a l ɣ̞ a ɾ i t̪ o f e
algarroba	a l ɣ̞ a r o β̞ a
algarrobal	a l ɣ̞ a r o β̞ a l
algarrobillo	a l ɣ̞ a r o β̞ i ʝ o
algarrobillo	a l ɣ̞ a r o β̞ i ʝ o
algarrobina	a l ɣ̞ a r o β̞ i n a
algarrobo	a l ɣ̞ a r o β̞ o
Algarve	a l ɣ̞ a ɾ β̞ e
algas	a l ɣ̞ a s
algazara	a l ɣ̞ a s a ɾ a
algazul	a l ɣ̞ a s u l
álgebra	a l x e β̞ ɾ a
algebraicamente	a l x e β̞ ɾ a i̯ k a m ẽ n̪ t̪ e
algebraico	a l x e β̞ ɾ a i̯ k o
algebrista	a l x e β̞ ɾ i s t̪ a
Algeciras	a l x e s i ɾ a s
algecireña	a l x e s i ɾ e ɲ a
algecireño	a l x e s i ɾ e ɲ o
algente	a l x ẽ n̪ t̪ e
Algete	a l x e t̪ e
álgico	a l x i k o
algidez	a l x i ð̞ e s
álgido	a l x i ð̞ o
alginato	a l x i n a t̪ o
algo	a l ɣ̞ o
algodón	a l ɣ̞ o ð̞ õ n
algodonada	a l ɣ̞ o ð̞ o n a ð̞ a
algodonadas	a l ɣ̞ o ð̞ o n a ð̞ a s
algodonado	a l ɣ̞ o ð̞ o n a ð̞ o
algodonados	a l ɣ̞ o ð̞ o n a ð̞ o s
algodonal	a l ɣ̞ o ð̞ o n a l
algodonar	a l ɣ̞ o ð̞ o n a ɾ
algodoncillo	a l ɣ̞ o ð̞ õ n s i ʝ o
algodoncillo	a l ɣ̞ o ð̞ õ n s i ʝ o
algodonera	a l ɣ̞ o ð̞ o n e ɾ a
algodonero	a l ɣ̞ o ð̞ o n e ɾ o
algodonosa	a l ɣ̞ o ð̞ o n o s a
algodonosas	a l ɣ̞ o ð̞ o n o s a s
algodonoso	a l ɣ̞ o ð̞ o n o s o
algodonosos	a l ɣ̞ o ð̞ o n o s o s
algofilia	a l ɣ̞ o f i l j a
Algol	a l ɣ̞ o l
algolagnia	a l ɣ̞ o l a ɣ̞ n j a
algóloga	a l ɣ̞ o l o ɣ̞ a
algología	a l ɣ̞ o l o x i a
algólogo	a l ɣ̞ o l o ɣ̞ o
algometría	a l ɣ̞ o m e t̪ ɾ i a
algómetro	a l ɣ̞ o m e t̪ ɾ o
algonquina	a l ɣ̞ õ ŋ k i n a
algonquino	a l ɣ̞ õ ŋ k i n o
algorín	a l ɣ̞ o ɾ ĩ n
algorítmica	a l ɣ̞ o ɾ i ð̞ m i k a
algorítmicas	a l ɣ̞ o ɾ i ð̞ m i k a s
algorítmico	a l ɣ̞ o ɾ i ð̞ m i k o
algorítmicos	a l ɣ̞ o ɾ i ð̞ m i k o s
algoritmo	a l ɣ̞ o ɾ i ð̞ m o
algosa	a l ɣ̞ o s a
algosas	a l ɣ̞ o s a s
algoso	a l ɣ̞ o s o
algosos	a l ɣ̞ o s o s
algotro	a l ɣ̞ o t̪ ɾ o
alguacil	a l ɣ̞ w a s i l
alguacilazgo	a l ɣ̞ w a s i l a z ɣ̞ o
alguaixte	a l ɣ̞ w a i̯ ɣ̞ s t̪ e
alguashte	a l ɣ̞ w a ʃ t̪ e
alguaste	a l ɣ̞ w a s t̪ e
Alguer	a l ɣ̞ e ɾ
alguerés	a l ɣ̞ e ɾ e s
algueresa	a l ɣ̞ e ɾ e s a
alguereses	a l ɣ̞ e ɾ e s e s
alguien	a l ɣ̞ j ẽ n
alguillo	a l ɣ̞ i ʝ o
alguillo	a l ɣ̞ i ʝ o
alguito	a l ɣ̞ i t̪ o
algun	a l ɣ̞ ũ n
algún	a l ɣ̞ ũ n
alguna	a l ɣ̞ u n a
algunas	a l ɣ̞ u n a s
alguno	a l ɣ̞ u n o
algunos	a l ɣ̞ u n o s
alhábega	a l a β̞ e ɣ̞ a
alhaja	a l a x a
alhajada	a l a x a ð̞ a
alhajadas	a l a x a ð̞ a s
alhajado	a l a x a ð̞ o
alhajados	a l a x a ð̞ o s
alhajamiento	a l a x a m j ẽ n̪ t̪ o
alhajar	a l a x a ɾ
alhajas	a l a x a s
alhajero	a l a x e ɾ o
alhajeros	a l a x e ɾ o s
alhajú	a l a x u
alhamar	a l a m a ɾ
alhamares	a l a m a ɾ e s
Alhambra	a l ã m b ɾ a
alhameño	a l a m e ɲ o
alhamí	a l a m i
alharaca	a l a ɾ a k a
alharaquiento	a l a ɾ a k j ẽ n̪ t̪ o
alhelí	a l e l i
alheña	a l e ɲ a
alheñas	a l e ɲ a s
alholí	a l o l i
alholva	a l o l β̞ a
alhombra	a l õ m b ɾ a
alhombras	a l õ m b ɾ a s
alhóndiga	a l õ n̪ d̪ i ɣ̞ a
alhorre	a l o r e
alhuashte	a l w̝ a ʃ t̪ e
alhuaste	a l w̝ a s t̪ e
alhucema	a l u s e m a
Alí	a l i
aliá	a l j a
aliácea	a l j a s e a
aliáceas	a l j a s e a s
aliáceo	a l j a s e o
aliáceos	a l j a s e o s
aliada	a l j a ð̞ a
aliadas	a l j a ð̞ a s
aliade	a l j a ð̞ e
aliado	a l j a ð̞ o
aliadófila	a l j a ð̞ o f i l a
aliadófilas	a l j a ð̞ o f i l a s
aliadofilia	a l j a ð̞ o f i l j a
aliadófilo	a l j a ð̞ o f i l o
aliadófilos	a l j a ð̞ o f i l o s
aliados	a l j a ð̞ o s
Aliaga	a l j a ɣ̞ a
aliaga	a l j a ɣ̞ a
aliancista	a l j ã n s i s t̪ a
aliando	a l j ã n̪ d̪ o
alianza	a l j ã n s a
aliar	a l j a ɾ
aliaria	a l j a ɾ j a
aliarse	a l j a ɾ s e
alias	a l j a s
álibai	a l i β̞ a i̯
alibi	a l i β̞ i
alibi	a l i β̞ a i̯
alibí	a l i β̞ i
álibi	a l i β̞ i
alicaído	a l i k a i ð̞ o
Alicante	a l i k ã n̪ t̪ e
alicantina	a l i k ã n̪ t̪ i n a
alicantino	a l i k ã n̪ t̪ i n o
alicanto	a l i k ã n̪ t̪ o
alicatada	a l i k a t̪ a ð̞ a
alicatadas	a l i k a t̪ a ð̞ a s
alicatado	a l i k a t̪ a ð̞ o
alicatados	a l i k a t̪ a ð̞ o s
alicatar	a l i k a t̪ a ɾ
alicate	a l i k a t̪ e
Alicia	a l i s j a
aliciente	a l i s j ẽ n̪ t̪ e
alicina	a l i s i n a
alicoche	a l i k o t͡ʃ e
alicornio	a l i k o ɾ n j o
alicorta	a l i k o ɾ t̪ a
alicortas	a l i k o ɾ t̪ a s
alicorto	a l i k o ɾ t̪ o
alicortos	a l i k o ɾ t̪ o s
alícuota	a l i k w o t̪ a
alidada	a l i ð̞ a ð̞ a
alien	a l j ẽ n
alien	e i̯ l j ẽ n
aliena	a l j e n a
alienables	a l j e n a β̞ l e s
alienación	a l j e n a s j õ n
alienada	a l j e n a ð̞ a
alienadas	a l j e n a ð̞ a s
alienado	a l j e n a ð̞ o
alienados	a l j e n a ð̞ o s
alienamos	a l j e n a m o s
alienando	a l j e n ã n̪ d̪ o
alienante	a l j e n ã n̪ t̪ e
alienar	a l j e n a ɾ
alienara	a l j e n a ɾ a
alienará	a l j e n a ɾ a
alienáramos	a l j e n a ɾ a m o s
alienaras	a l j e n a ɾ a s
alienarás	a l j e n a ɾ a s
alienareis	a l j e n a ɾ e i̯ s
alienaremos	a l j e n a ɾ e m o s
alienares	a l j e n a ɾ e s
alienaríamos	a l j e n a ɾ i a m o s
alienas	a l j e n a s
alienaste	a l j e n a s t̪ e
aliene	a l j e n e
alienemos	a l j e n e m o s
alienes	a l j e n e s
alienígena	a l j e n i x e n a
alienígenas	a l j e n i x e n a s
alienígeno	a l j e n i x e n o
alienígenos	a l j e n i x e n o s
alienista	a l j e n i s t̪ a
alienistas	a l j e n i s t̪ a s
alieno	a l j e n o
aliento	a l j ẽ n̪ t̪ o
álif	a l i f
alifara	a l i f a ɾ a
alifático	a l i f a t̪ i k o
alifato	a l i f a t̪ o
alífero	a l i f e ɾ o
aligator	a l i ɣ̞ a t̪ o ɾ
aligátor	a l i ɣ̞ a t̪ o ɾ
aligatores	a l i ɣ̞ a t̪ o ɾ e s
aligátores	a l i ɣ̞ a t̪ o ɾ e s
aligatorino	a l i ɣ̞ a t̪ o ɾ i n o
aligerada	a l i x e ɾ a ð̞ a
aligeradas	a l i x e ɾ a ð̞ a s
aligerado	a l i x e ɾ a ð̞ o
aligerados	a l i x e ɾ a ð̞ o s
aligeramiento	a l i x e ɾ a m j ẽ n̪ t̪ o
aligerar	a l i x e ɾ a ɾ
alígero	a l i x e ɾ o
aligot	a l i ɣ̞ o
aligote	a l i ɣ̞ o t̪ e
aligustre	a l i ɣ̞ u s t̪ ɾ e
alija	a l i x a
alijada	a l i x a ð̞ a
alijadas	a l i x a ð̞ a s
alijado	a l i x a ð̞ o
alijados	a l i x a ð̞ o s
alijamos	a l i x a m o s
alijando	a l i x ã n̪ d̪ o
alijar	a l i x a ɾ
alijara	a l i x a ɾ a
alijará	a l i x a ɾ a
alijarada	a l i x a ɾ a ð̞ a
alijaradas	a l i x a ɾ a ð̞ a s
alijarado	a l i x a ɾ a ð̞ o
alijarados	a l i x a ɾ a ð̞ o s
alijáramos	a l i x a ɾ a m o s
alijarar	a l i x a ɾ a ɾ
alijaras	a l i x a ɾ a s
alijarás	a l i x a ɾ a s
alijareis	a l i x a ɾ e i̯ s
alijaremos	a l i x a ɾ e m o s
alijares	a l i x a ɾ e s
alijaríamos	a l i x a ɾ i a m o s
alijas	a l i x a s
alijaste	a l i x a s t̪ e
alije	a l i x e
alijemos	a l i x e m o s
alijes	a l i x e s
alijo	a l i x o
alil	a l i l
alílico	a l i l i k o
alilo	a l i l o
alimaña	a l i m a ɲ a
alimañero	a l i m a ɲ e ɾ o
alimenta	a l i m ẽ n̪ t̪ a
alimentación	a l i m ẽ n̪ t̪ a s j õ n
alimentaciones	a l i m ẽ n̪ t̪ a s j o n e s
alimentada	a l i m ẽ n̪ t̪ a ð̞ a
alimentadas	a l i m ẽ n̪ t̪ a ð̞ a s
alimentado	a l i m ẽ n̪ t̪ a ð̞ o
alimentador	a l i m ẽ n̪ t̪ a ð̞ o ɾ
alimentados	a l i m ẽ n̪ t̪ a ð̞ o s
alimentamos	a l i m ẽ n̪ t̪ a m o s
alimentando	a l i m ẽ n̪ t̪ ã n̪ d̪ o
alimentar	a l i m ẽ n̪ t̪ a ɾ
alimentara	a l i m ẽ n̪ t̪ a ɾ a
alimentará	a l i m ẽ n̪ t̪ a ɾ a
alimentáramos	a l i m ẽ n̪ t̪ a ɾ a m o s
alimentaras	a l i m ẽ n̪ t̪ a ɾ a s
alimentarás	a l i m ẽ n̪ t̪ a ɾ a s
alimentare	a l i m ẽ n̪ t̪ a ɾ e
alimentareis	a l i m ẽ n̪ t̪ a ɾ e i̯ s
alimentaremos	a l i m ẽ n̪ t̪ a ɾ e m o s
alimentares	a l i m ẽ n̪ t̪ a ɾ e s
alimentaria	a l i m ẽ n̪ t̪ a ɾ j a
alimentaríamos	a l i m ẽ n̪ t̪ a ɾ i a m o s
alimentarias	a l i m ẽ n̪ t̪ a ɾ j a s
alimentario	a l i m ẽ n̪ t̪ a ɾ j o
alimentarios	a l i m ẽ n̪ t̪ a ɾ j o s
alimentas	a l i m ẽ n̪ t̪ a s
alimentaste	a l i m ẽ n̪ t̪ a s t̪ e
alimente	a l i m ẽ n̪ t̪ e
alimentemos	a l i m ẽ n̪ t̪ e m o s
alimentes	a l i m ẽ n̪ t̪ e s
alimenticia	a l i m ẽ n̪ t̪ i s j a
alimenticio	a l i m ẽ n̪ t̪ i s j o
alimento	a l i m ẽ n̪ t̪ o
alimentos	a l i m ẽ n̪ t̪ o s
alimentosa	a l i m ẽ n̪ t̪ o s a
alimentosas	a l i m ẽ n̪ t̪ o s a s
alimentoso	a l i m ẽ n̪ t̪ o s o
alimentosos	a l i m ẽ n̪ t̪ o s o s
alimoche	a l i m o t͡ʃ e
alimón	a l i m õ n
Alina	a l i n a
alinasa	a l i n a s a
alindar	a l ĩ n̪ d̪ a ɾ
alineación	a l i n e a s j õ n
alineada	a l i n e a ð̞ a
alineadas	a l i n e a ð̞ a s
alineado	a l i n e a ð̞ o
alineador	a l i n e a ð̞ o ɾ
alineados	a l i n e a ð̞ o s
alineamiento	a l i n e a m j ẽ n̪ t̪ o
alinear	a l i n e a ɾ
alineo	a l i n e o
aliñada	a l i ɲ a ð̞ a
aliñadas	a l i ɲ a ð̞ a s
aliñado	a l i ɲ a ð̞ o
aliñados	a l i ɲ a ð̞ o s
aliñar	a l i ɲ a ɾ
aliño	a l i ɲ o
alioj	a l j o x
alioli	a l j o l i
alípeda	a l i p e ð̞ a
alípedas	a l i p e ð̞ a s
alípede	a l i p e ð̞ e
alípedes	a l i p e ð̞ e s
alípedo	a l i p e ð̞ o
alípedos	a l i p e ð̞ o s
Alipio	a l i p j o
alipori	a l i p o ɾ i
alipús	a l i p u s
aliquindoi	a l i k ĩ n̪ d̪ o i̯
Alirio	a l i ɾ j o
