'day	d a j
angkas	ʔ a ŋ k a s
angkat	ʔ a ŋ k a t
angkin	ʔ a ŋ k i n
angkla	ʔ a ŋ k l a
angkladero	ʔ a ŋ k l a d e ɾ o
angklahe	ʔ a ŋ k l a h e
angkong	ʔ a ŋ k o ŋ
angkop	ʔ a ŋ k o p
angkora	ʔ a ŋ k o ɾ a
angkorahe	ʔ a ŋ k o ɾ a h e
ango	ʔ a ŋ o
angot	ʔ a ŋ o t
angpao	ʔ a ŋ p a w
anhin	ʔ a n h i n
ani	ʔ a n i
anib	ʔ a n i b
anibersaryo	ʔ a n i b e ɾ s a ɾ j o
anidrita	ʔ a n i d ɾ i t a
anii	ʔ a n i ʔ i
anila	ʔ a n i l a
anilaw	ʔ a n i l a w
anilina	ʔ a n i l i n a
anilya	ʔ a n i l j a
anilyado	ʔ a n i l j a d o
anilyete	ʔ a n i l j e t e
anilyo	ʔ a n i l j o
anim	ʔ a n i m
anima	ʔ a n i m a
animadbersiyon	ʔ a n i m a d b e ɾ s i o n
animadbersyon	ʔ a n i m a d b e ɾ s j o n
animado	ʔ a n i m a d o
animador	ʔ a n i m a d o ɾ
animahan	ʔ a n i m a h a n
animal	ʔ a n i m a l
animas	ʔ a n i m a s
animasyon	ʔ a n i m a s j o n
anime	ʔ a n i m e
animismo	ʔ a n i m i s m o
animista	ʔ a n i m i s t a
animnapu	ʔ a n i m n a p u ʔ
animnaraan	ʔ a n i m n a ɾ a ʔ a n
animo	ʔ a n i m o
animosidad	ʔ a n i m o s i d a d
aninag	ʔ a n i n a ɡ
aninaw	ʔ a n i n a w
anino	ʔ a n i n o
anis	ʔ a n i s
anisado	ʔ a n i s a d o
anisan	ʔ a n i s a n
anislag	ʔ a n i s l a ɡ
anit	ʔ a n i t
anitera	ʔ a n i t e ɾ a
anitismo	ʔ a n i t i s m o
anito	ʔ a n i t o
anitoismo	ʔ a n i t o i s m o
anituismo	ʔ a n i t u i s m o
anituwismo	ʔ a n i t u i s m o
aniya	ʔ a n i a
ankla	ʔ a ŋ k l a
anla	ʔ a n l a
anlabo	ʔ a n l a b o ʔ
anlagkit	ʔ a n l a ɡ k i t
anlakas	ʔ a n l a k a s
anlaki	ʔ a n l a k i
anlala	ʔ a n l a l a ʔ
anlalim	ʔ a n l a l i m
anlambot	ʔ a n l a m b o t
anlamig	ʔ a n l a m i ɡ
anlandi	ʔ a n l a n d i ʔ
anlapad	ʔ a n l a p a d
anlapit	ʔ a n l a p i t
anlapot	ʔ a n l a p o t
anlaw	ʔ a n l a w
anlawak	ʔ a n l a w a k
anlayo	ʔ a n l a j o ʔ
anliit	ʔ a n l i ʔ i t
anlikot	ʔ a n l i k o t
anlinis	ʔ a n l i n i s
anlowage	ʔ a n l o a ɡ e
anlungkot	ʔ a n l u ŋ k o t
anlupet	ʔ a n l u p e t
anlupit	ʔ a n l u p e t
anlupit	ʔ a n l u p i t
anlutong	ʔ a n l u t o ŋ
anluwagi	ʔ a n l u a ɡ i
anmeron	ʔ a n m e ɾ o n
ano	ʔ a n o
anod	ʔ a n o d
anodina	ʔ a n o d i n a
anodinahan	ʔ a n o d i n a h a n
anodino	ʔ a n o d i n o
anodinya	ʔ a n o d i n j a
anodo	ʔ a n o d o
anomalia	ʔ a n o m a l i a
anomaliya	ʔ a n o m a l i a
anomalo	ʔ a n o m a l o
anomalya	ʔ a n o m a l j a
anonang	ʔ a n o n a ŋ
anonas	ʔ a n o n a s
anonima	ʔ a n o n i m a
anonimo	ʔ a n o n i m o
anopeles	ʔ a n o p e l e s
anor	ʔ a n o ɾ
anormal	ʔ a n o ɾ m a l
anormalidad	ʔ a n o ɾ m a l i d a d
anos	ʔ a n o s
anot	ʔ a n o t
anota	ʔ a n o t a
anotado	ʔ a n o t a d o
anotador	ʔ a n o t a d o ɾ
anotahan	ʔ a n o t a h a n
anotasiyon	ʔ a n o t a s i o n
anotasyon	ʔ a n o t a s j o n
anowd	ʔ a n o w d
ansabe	ʔ a n s a b e
ansabi	ʔ a n s a b i
ansagwa	ʔ a n s a ɡ w a ʔ
ansaket	ʔ a n s a k e t
ansakit	ʔ a n s a k i t
ansama	ʔ a n s a m a ʔ
ansarap	ʔ a n s a ɾ a p
ansaya	ʔ a n s a j a
ansestro	ʔ a n s e s t ɾ o
ansikutera	ʔ a n s i k u t e ɾ a
ansikutero	ʔ a n s i k u t e ɾ o
ansiles	ʔ a n s i l e s
ansilis	ʔ a n s i l i s
ansiyana	ʔ a n s i a n a
ansiyanidad	ʔ a n s i a n i d a d
ansiyano	ʔ a n s i a n o
ansyana	ʔ a n s j a n a
ansyanidad	ʔ a n s j a n i d a d
ansyano	ʔ a n s j a n o
anta	ʔ a n t a
antaas	ʔ a n t a ʔ a s
antaba	ʔ a n t a b a ʔ
antabang	ʔ a n t a b a ŋ
antabay	ʔ a n t a b a j
antagal	ʔ a n t a ɡ a l
antagoniko	ʔ a n t a ɡ o n i k o
antagonismo	ʔ a n t a ɡ o n i s m o
antagonista	ʔ a n t a ɡ o n i s t a
antagonistiko	ʔ a n t a ɡ o n i s t i k o
antahimik	ʔ a n t a h i m i k
antak	ʔ a n t a k
antakaw	ʔ a n t a k a w
antala	ʔ a n t a l a
antala	ʔ a n t a l a ʔ
antamad	ʔ a n t a m a d
antamis	ʔ a n t a m i s
antanda	ʔ a n t a n d a ʔ
antanga	ʔ a n t a ŋ a
antangkad	ʔ a n t a ŋ k a d
antangos	ʔ a n t a ŋ o s
antapang	ʔ a n t a p a ŋ
antaray	ʔ a n t a ɾ a j
antas	ʔ a n t a s
antasid	ʔ a n t a s i d
antay	ʔ a n t a j
ante	ʔ a n t e
antedilubyano	ʔ a n t e d i l u b j a n o
antem	ʔ a n t e m
antemano	ʔ a n t e m a n o
antemeridyan	ʔ a n t e m e ɾ i d j a n
antemeridyano	ʔ a n t e m e ɾ i d j a n o
antena	ʔ a n t e n a
antenatal	ʔ a n t e n a t a l
antenupsiyal	ʔ a n t e n u p s i a l
antenupsyal	ʔ a n t e n u p s j a l
anteohos	ʔ a n t e o h o s
antepasado	ʔ a n t e p a s a d o
antepenultima	ʔ a n t e p e n u l t i m a
anteryoridad	ʔ a n t e ɾ j o ɾ i d a d
antes	ʔ a n t e s
antesala	ʔ a n t e s a l a
antesedente	ʔ a n t e s e d e n t e
antesesor	ʔ a n t e s e s o ɾ
anteyohos	ʔ a n t e o h o s
antialkoholiko	ʔ a n t i ʔ a l k o h o l i k o
antibayotiko	ʔ a n t i b a j o t i k o
antibiyotiko	ʔ a n t i b i o t i k o
antidisenteriko	ʔ a n t i d i s e n t e ɾ i k o
antidot	ʔ a n t i d o t
antidoto	ʔ a n t i d o t o
antidowt	ʔ a n t i d o w t
antiemetiko	ʔ a n t i ʔ e m e t i k o
antiepileptik	ʔ a n t i ʔ e p i l e p t i k
antiepileptiko	ʔ a n t i ʔ e p i l e p t i k o
antieskorbutiko	ʔ a n t i ʔ e s k o ɾ b u t i k o
antiespasmodiko	ʔ a n t i ʔ e s p a s m o d i k o
antig	ʔ a n t i ɡ
antigas	ʔ a n t i ɡ a s
antigo	ʔ a n t i ɡ o
antigwedad	ʔ a n t i ɡ w e d a d
antihelmintik	ʔ a n t i h e l m i n t i k
antihelmintiko	ʔ a n t i h e l m i n t i k o
antiherpetik	ʔ a n t i h e ɾ p e t i k
antiherpetiko	ʔ a n t i h e ɾ p e t i k o
antihisterik	ʔ a n t i h i s t e ɾ i k
antihisteriko	ʔ a n t i h i s t e ɾ i k o
antik	ʔ a n t i k
antikatoliko	ʔ a n t i k a t o l i k o
antiklaymaks	ʔ a n t i k l a j m a k s
antiklerikal	ʔ a n t i k l e ɾ i k a l
antiklerikalismo	ʔ a n t i k l e ɾ i k a l i s m o
antiklimaks	ʔ a n t i k l i m a k s
antikomunismo	ʔ a n t i k o m u n i s m o
antikomunista	ʔ a n t i k o m u n i s t a
antikonsepsiyon	ʔ a n t i k o n s e p s i o n
antikonsepsyon	ʔ a n t i k o n s e p s j o n
antikonstitusyonal	ʔ a n t i k o n s t i t u s j o n a l
antikresis	ʔ a n t i k ɾ e s i s
antikuwado	ʔ a n t i k u a d o
antikuwariyo	ʔ a n t i k u a ɾ i o
antikuwaryo	ʔ a n t i k u a ɾ j o
antikuwerpo	ʔ a n t i k u e ɾ p o
antikwado	ʔ a n t i k w a d o
antikwaryo	ʔ a n t i k w a ɾ j o
antikwidad	ʔ a n t i k w i d a d
antilano	ʔ a n t i l a n o
antilope	ʔ a n t i l o p e
antimano	ʔ a n t i m a n o
antimonarkiko	ʔ a n t i m o n a ɾ k i k o
antimonyo	ʔ a n t i m o n j o
antindi	ʔ a n t i n d i
antineuralhiko	ʔ a n t i n e u ɾ a l h i k o
antinomiya	ʔ a n t i n o m i a
antinomya	ʔ a n t i n o m j a
antiohos	ʔ a n t i o h o s
antipalo	ʔ a n t i p a l o
antipaludiko	ʔ a n t i p a l u d i k o
antipara	ʔ a n t i p a ɾ a
antiparas	ʔ a n t i p a ɾ a s
antiparasitiko	ʔ a n t i p a ɾ a s i t i k o
antipas	ʔ a n t i p a s
antipatia	ʔ a n t i p a t i a
antipatika	ʔ a n t i p a t i k a
antipatiko	ʔ a n t i p a t i k o
antipatiya	ʔ a n t i p a t i a
antipatriyota	ʔ a n t i p a t ɾ i o t a
antipatya	ʔ a n t i p a t j a
antipirina	ʔ a n t i p i ɾ i n a
antiplohistiko	ʔ a n t i p l o h i s t i k o
antipoda	ʔ a n t i p o d a
antipodas	ʔ a n t i p o d a s
antipolo	ʔ a n t i p o l o
antipona	ʔ a n t i p o n a
antipulo	ʔ a n t i p u l o
antirelihiyon	ʔ a n t i ɾ e l i h i o n
antisemitiko	ʔ a n t i s e m i t i k o
antisemitismo	ʔ a n t i s e m i t i s m o
antisepsis	ʔ a n t i s e p s i s
antisepsiya	ʔ a n t i s e p s i a
antisepsya	ʔ a n t i s e p s j a
antiseptik	ʔ a n t i s e p t i k
antiseptiko	ʔ a n t i s e p t i k o
antisidente	ʔ a n t i s i d e n t e
antisipasyon	ʔ a n t i s i p a s j o n
antisipo	ʔ a n t i s i p o
antiskorbutik	ʔ a n t i s k o ɾ b u t i k
antisosyal	ʔ a n t i s o s j a l
antispasmodik	ʔ a n t i s p a s m o d i k
antitesis	ʔ a n t i t e s i s
antitetano	ʔ a n t i t e t a n o
antitetikal	ʔ a n t i t e t i k a l
antitetiko	ʔ a n t i t e t i k o
antitoksiko	ʔ a n t i t o k s i k o
antitoksin	ʔ a n t i t o k s i n
antitoksina	ʔ a n t i t o k s i n a
antitoksino	ʔ a n t i t o k s i n o
antituberkuloso	ʔ a n t i t u b e ɾ k u l o s o
antiyohos	ʔ a n t i o h o s
antok	ʔ a n t o k
antolohia	ʔ a n t o l o h i a
antolohiya	ʔ a n t o l o h i a
antolohya	ʔ a n t o l o h j a
antonimo	ʔ a n t o n i m o
antonomasya	ʔ a n t o n o m a s j a
antortsa	ʔ a n t o ɾ t s a
antortsa	ʔ a n t o ɾ t͡ʃ a
antot	ʔ a n t o t
antraks	ʔ a n t ɾ a k s
antrasita	ʔ a n t ɾ a s i t a
antropologo	ʔ a n t ɾ o p o l o ɡ o
antropolohia	ʔ a n t ɾ o p o l o h i a
antropolohikal	ʔ a n t ɾ o p o l o h i k a l
antropolohiko	ʔ a n t ɾ o p o l o h i k o
antropolohista	ʔ a n t ɾ o p o l o h i s t a
antropolohiya	ʔ a n t ɾ o p o l o h i a
antropolohya	ʔ a n t ɾ o p o l o h j a
antropopago	ʔ a n t ɾ o p o p a ɡ o
antropoyde	ʔ a n t ɾ o p o j d e
antsa	ʔ a n t s a
antsa	ʔ a n t͡ʃ a
antsaka	ʔ a n t s a k a
antsaka	ʔ a n t͡ʃ a k a
antso	ʔ a n t s o
antso	ʔ a n t͡ʃ o
antukin	ʔ a n t u k i n
antulang	ʔ a n t u l a ŋ
antulangan	ʔ a n t u l a ŋ a n
antyohos	ʔ a n t j o h o s
anuba	ʔ a n u b a
anubing	ʔ a n u b i ŋ
anubrang	ʔ a n u b ɾ a ŋ
anuhin	ʔ a n u h i n
anula	ʔ a n u l a
anulable	ʔ a n u l a b l e
anulado	ʔ a n u l a d o
anulahin	ʔ a n u l a h i n
anulasyon	ʔ a n u l a s j o n
anumaliya	ʔ a n u m a l i a
anumalya	ʔ a n u m a l j a
anuman	ʔ a n u m a n
anuna	ʔ a n u n a
anunas	ʔ a n u n a s
anunsasyon	ʔ a n u n s a s j o n
anunsiyado	ʔ a n u n s i a d o
anunsiyador	ʔ a n u n s i a d o ɾ
anunsiyante	ʔ a n u n s i a n t e
anunsiyasyon	ʔ a n u n s i a s j o n
anunsiyo	ʔ a n u n s i o
anunsyado	ʔ a n u n s j a d o
anunsyador	ʔ a n u n s j a d o ɾ
anunsyante	ʔ a n u n s j a n t e
anunsyasyon	ʔ a n u n s j a s j o n
anunsyo	ʔ a n u n s j o
anupa	ʔ a n u p a
anuwal	ʔ a n u a l
anuwang	ʔ a n u a ŋ
anuwariyo	ʔ a n u a ɾ i o
anuwaryo	ʔ a n u a ɾ j o
anuwebe	ʔ a n u e b e
anwal	ʔ a n w a l
anwang	ʔ a n w a ŋ
anwaryo	ʔ a n w a ɾ j o
anwebe	ʔ a n w e b e
anyabang	ʔ a n j a b a ŋ
anyare	ʔ a n j a ɾ e
anyari	ʔ a n j a ɾ i
anyaya	ʔ a n j a j a
anyaya	ʔ a n j a j a ʔ
anyeho	ʔ a n j e h o
anyil	ʔ a n j i l
anyo	ʔ a n j o
anyo	ʔ a n j o ʔ
anyos	ʔ a n j o s
ao	ʔ a ʔ o
aonse	ʔ a ʔ o n s e
aorado	ʔ a o ɾ a d o
aoro	ʔ a o ɾ o
aorta	ʔ a o ɾ t a
aortika	ʔ a o ɾ t i k a
aortitis	ʔ a o ɾ t i t i s
aotso	ʔ a ʔ o t s o
aotso	ʔ a ʔ o t͡ʃ o
apa	ʔ a p a
apa	ʔ a p a ʔ
apahap	ʔ a p a h a p
apak	ʔ a p a k
apalit	ʔ a p a l i t
apalya	ʔ a p a l j a
apan	ʔ a p a n
apanado	ʔ a p a n a d o
aparador	ʔ a p a ɾ a d o ɾ
aparatista	ʔ a p a ɾ a t i s t a
aparato	ʔ a p a ɾ a t o
aparatsik	ʔ a p a ɾ a t s i k
aparatsik	ʔ a p a ɾ a t͡ʃ i k
apareha	ʔ a p a ɾ e h a
aparehador	ʔ a p a ɾ e h a d o ɾ
aparisiyon	ʔ a p a ɾ i s i o n
aparisyon	ʔ a p a ɾ i s j o n
aparsera	ʔ a p a ɾ s e ɾ a
aparseriya	ʔ a p a ɾ s e ɾ i a
aparsero	ʔ a p a ɾ s e ɾ o
apartado	ʔ a p a ɾ t a d o
apartamento	ʔ a p a ɾ t a m e n t o
aparte	ʔ a p a ɾ t e
apartel	ʔ a p a ɾ t e l
apartmen	ʔ a p a ɾ t m e n
apartment	ʔ a p a ɾ t m e n t
apasible	ʔ a p a s i b l e
apasya	ʔ a p a s j a
apasyonado	ʔ a p a s j o n a d o
apat	ʔ a p a t
apatan	ʔ a p a t a n
apatetiko	ʔ a p a t e t i k o
apatia	ʔ a p a t i a
apatita	ʔ a p a t i t a
apatiya	ʔ a p a t i a
apatnapu	ʔ a p a t n a p u ʔ
apatnaraan	ʔ a p a t n a ɾ a ʔ a n
apatse	ʔ a p a t s e
apatse	ʔ a p a t͡ʃ e
apatya	ʔ a p a t j a
apaw	ʔ a p a w
apaya	ʔ a p a j a
apdo	ʔ a p d o
apeksiyon	ʔ a p e k s i o n
apekta	ʔ a p e k t a
apektado	ʔ a p e k t a d o
apektasyon	ʔ a p e k t a s j o n
apektibo	ʔ a p e k t i b o
apekto	ʔ a p e k t o
apektuoso	ʔ a p e k t u o s o
apektuwoso	ʔ a p e k t u o s o
apela	ʔ a p e l a
apelable	ʔ a p e l a b l e
apelado	ʔ a p e l a d o
apelante	ʔ a p e l a n t e
apelasyon	ʔ a p e l a s j o n
apelido	ʔ a p e l i d o
apelyido	ʔ a p e l j i d o
apenas	ʔ a p e n a s
apendektomi	ʔ a p e n d e k t o m i
apendektomia	ʔ a p e n d e k t o m i a
apendektomiya	ʔ a p e n d e k t o m i a
apendektomya	ʔ a p e n d e k t o m j a
apendise	ʔ a p e n d i s e
apendisitis	ʔ a p e n d i s i t i s
aperesis	ʔ a p e ɾ e s i s
aperitibo	ʔ a p e ɾ i t i b o
aperkat	ʔ a p e ɾ k a t
apholsteri	ʔ a p h o l s t e ɾ i
api	ʔ a p i
apiapi	ʔ a p i ʔ a p i
apid	ʔ a p i d
apidabit	ʔ a p i d a b i t
apido	ʔ a p i d o
apihin	ʔ a p i h i n
apiho	ʔ a p i h o
apil	ʔ a p i l
apila	ʔ a p i l a
apilado	ʔ a p i l a d o
apilador	ʔ a p i l a d o ɾ
apilasyon	ʔ a p i l a s j o n
apina	ʔ a p i n a
apinado	ʔ a p i n a d o
apinador	ʔ a p i n a d o ɾ
apinadora	ʔ a p i n a d o ɾ a
apinasyon	ʔ a p i n a s j o n
apinidad	ʔ a p i n i d a d
apir	ʔ a p i ɾ
apiran	ʔ a p i ɾ a n
apirma	ʔ a p i ɾ m a
apirmado	ʔ a p i ɾ m a d o
apirmasyon	ʔ a p i ɾ m a s j o n
apirmatiba	ʔ a p i ɾ m a t i b a
apirmatibo	ʔ a p i ɾ m a t i b o
apisyon	ʔ a p i s j o n
apisyonado	ʔ a p i s j o n a d o
apisyunado	ʔ a p i s j u n a d o
apitong	ʔ a p i t o ŋ
apiyan	ʔ a p i a n
aplay	ʔ a p l a j
aplaya	ʔ a p l a j a
aplikado	ʔ a p l i k a d o
aplikant	ʔ a p l i k a n t
aplikante	ʔ a p l i k a n t e
aplikasyon	ʔ a p l i k a s j o n
aplike	ʔ a p l i k e
aplikey	ʔ a p l i k e j
apo	ʔ a p o
apo	ʔ a p o ʔ
apodo	ʔ a p o d o
apog	ʔ a p o ɡ
apoheo	ʔ a p o h e o
aponiko	ʔ a p o n i k o
apora	ʔ a p o ɾ a
aporador	ʔ a p o ɾ a d o ɾ
aporismo	ʔ a p o ɾ i s m o
aporista	ʔ a p o ɾ i s t a
aporistiko	ʔ a p o ɾ i s t i k o
aporo	ʔ a p o ɾ o
aportunado	ʔ a p o ɾ t u n a d o
aposotis	ʔ a p o s o t i s
apostasiya	ʔ a p o s t a s i a
apostata	ʔ a p o s t a t a
apostol	ʔ a p o s t o l
apostolado	ʔ a p o s t o l a d o
apostoles	ʔ a p o s t o l e s
apostoliko	ʔ a p o s t o l i k o
apostrofi	ʔ a p o s t ɾ o f i
apostrofi	ʔ a p o s t ɾ o p i
apostrope	ʔ a p o s t ɾ o p e
apostropi	ʔ a p o s t ɾ o p i
apostropo	ʔ a p o s t ɾ o p o
apoy	ʔ a p o j
apoynt	ʔ a p o j n t
apresasyon	ʔ a p ɾ e s a s j o n
apresyasyon	ʔ a p ɾ e s j a s j o n
aprikot	ʔ a p ɾ i k o t
aprimero	ʔ a p ɾ i m e ɾ o
apritada	ʔ a p ɾ i t a d a
aproba	ʔ a p ɾ o b a
aprobado	ʔ a p ɾ o b a d o
aprodisyako	ʔ a p ɾ o d i s j a k o
aproksimasyon	ʔ a p ɾ o k s i m a s j o n
aprub	ʔ a p ɾ u b
aptitud	ʔ a p t i t u d
apuera	ʔ a p w e ɾ a
apuhap	ʔ a p u h a p
apula	ʔ a p u l a
apula	ʔ a p u l a ʔ
apunta	ʔ a p u n t a
apuntador	ʔ a p u n t a d o ɾ
apura	ʔ a p u ɾ a
apurado	ʔ a p u ɾ a d o
apuwera	ʔ a p u e ɾ a
apuyan	ʔ a p u j a n
apuybilos	ʔ a p u j b i l o s
apwera	ʔ a p w e ɾ a
apyak	ʔ a p j a k
apyan	ʔ a p j a n
apyo	ʔ a p j o
aqidah	ʔ a k i d a
ar	ʔ a ɾ
aragabyado	ʔ a ɾ a ɡ a b j a d o
arakibot	ʔ a ɾ a k i b o t
aral	ʔ a ɾ a l
aralan	ʔ a ɾ a l a n
aralin	ʔ a ɾ a l i n
arang	ʔ a ɾ a ŋ
arangkada	ʔ a ɾ a ŋ k a d a
aranya	ʔ a ɾ a n j a
aranyas	ʔ a ɾ a n j a s
arap	ʔ a ɾ a p
ararawan	ʔ a ɾ a ɾ a w a n
araro	ʔ a ɾ a ɾ o
araru	ʔ a ɾ a ɾ u
aras	ʔ a ɾ a s
arat	ʔ a ɾ a t
aratiles	ʔ a ɾ a t i l e s
aratilis	ʔ a ɾ a t i l i s
arats	ʔ a ɾ a t s
araw	ʔ a ɾ a w
arawan	ʔ a ɾ a w a n
aray	ʔ a ɾ a j
arbolante	ʔ a ɾ b o l a n t e
arbor	ʔ a ɾ b o ɾ
arbotante	ʔ a ɾ b o t a n t e
arbularyo	ʔ a ɾ b u l a ɾ j o
ardel	ʔ a ɾ d e l
ardil	ʔ a ɾ d i l
ardilya	ʔ a ɾ d i l j a
are	ʔ a ɾ e
areglado	ʔ a ɾ e ɡ l a d o
areglo	ʔ a ɾ e ɡ l o
arenda	ʔ a ɾ e n d a
arestado	ʔ a ɾ e s t a d o
aresto	ʔ a ɾ e s t o
aretes	ʔ a ɾ e t e s
argabyado	ʔ a ɾ ɡ a b j a d o
argolya	ʔ a ɾ ɡ o l j a
argumento	ʔ a ɾ ɡ u m e n t o
ari	ʔ a ɾ e
ari	ʔ a ɾ i
ari	ʔ a ɾ i ʔ
ariangaw	ʔ a ɾ i ʔ a ŋ a w
ariba	ʔ a ɾ i b a
aribaybaho	ʔ a ɾ i b a j b a h o
ariin	ʔ a ɾ i ʔ i n
arilyos	ʔ a ɾ i l j o s
arimuhan	ʔ a ɾ i m u h a n
arimuhanan	ʔ a ɾ i m u h a n a n
arimuhunan	ʔ a ɾ i m u h u n a n
arina	ʔ a ɾ i n a
arinda	ʔ a ɾ i n d a
aringkin	ʔ a ɾ i ŋ k i n
arinola	ʔ a ɾ i n o l a
aristokrasya	ʔ a ɾ i s t o k ɾ a s j a
aristokratiko	ʔ a ɾ i s t o k ɾ a t i k o
ariya	ʔ a ɾ i a
arka	ʔ a ɾ k a
arkabala	ʔ a ɾ k a b a l a
arkabalero	ʔ a ɾ k a b a l e ɾ o
arkabus	ʔ a ɾ k a b u s
arkanghel	ʔ a ɾ k a ŋ h e l
arkansiya	ʔ a ɾ k a n s i a
arkeologo	ʔ a ɾ k e o l o ɡ o
arkeolohiya	ʔ a ɾ k e o l o h i a
arkero	ʔ a ɾ k e ɾ o
arkila	ʔ a ɾ k i l a
arkilador	ʔ a ɾ k i l a d o ɾ
arkipelago	ʔ a ɾ k i p e l a ɡ o
arkitekto	ʔ a ɾ k i t e k t o
arkitektura	ʔ a ɾ k i t e k t u ɾ a
arko	ʔ a ɾ k o
arkos	ʔ a ɾ k o s
arlekin	ʔ a ɾ l e k i n
armadilyo	ʔ a ɾ m a d i l j o
armado	ʔ a ɾ m a d o
armador	ʔ a ɾ m a d o ɾ
armalayt	ʔ a ɾ m a l a j t
armas	ʔ a ɾ m a s
armason	ʔ a ɾ m a s o n
arminyo	ʔ a ɾ m i n j o
armonika	ʔ a ɾ m o n i k a
armori	ʔ a ɾ m o ɾ i
arnibal	ʔ a ɾ n i b a l
arnis	ʔ a ɾ n i s
arobo	ʔ a ɾ o b o
arogansiya	ʔ a ɾ o ɡ a n s i a
arogansya	ʔ a ɾ o ɡ a n s j a
arogante	ʔ a ɾ o ɡ a n t e
arok	ʔ a ɾ o k
aroma	ʔ a ɾ o m a
arosero	ʔ a ɾ o s e ɾ o
aroskaldo	ʔ a ɾ o s k a l d o
arpa	ʔ a ɾ p a
arpahol	ʔ a ɾ p a h o l
arpil	ʔ a ɾ p i l
arpiler	ʔ a ɾ p i l e ɾ
arpiya	ʔ a ɾ p i a
arseniko	ʔ a ɾ s e n i k o
arsilya	ʔ a ɾ s i l j a
arsobispado	ʔ a ɾ s o b i s p a d o
arsobispo	ʔ a ɾ s o b i s p o
arte	ʔ a ɾ t e
artemisa	ʔ a ɾ t e m i s a
artikulo	ʔ a ɾ t i k u l o
artipisyal	ʔ a ɾ t i p i s j a l
artista	ʔ a ɾ t i s t a
artistahin	ʔ a ɾ t i s t a h i n
artropodo	ʔ a ɾ t ɾ o p o d o
artseriya	ʔ a ɾ t s e ɾ i a
artseriya	ʔ a ɾ t͡ʃ e ɾ i a
artsidiyosesis	ʔ a ɾ t s i d i o s e s i s
artsidiyosesis	ʔ a ɾ t͡ʃ i d i o s e s i s
artsiduke	ʔ a ɾ t s i d u k e
artsiduke	ʔ a ɾ t͡ʃ i d u k e
artsipiyelago	ʔ a ɾ t s i p i e l a ɡ o
artsipiyelago	ʔ a ɾ t͡ʃ i p i e l a ɡ o
aruga	ʔ a ɾ u ɡ a ʔ
arugaan	ʔ a ɾ u ɡ a ʔ a n
arugain	ʔ a ɾ u ɡ a ʔ i n
aruro	ʔ a ɾ u ɾ o
arusero	ʔ a ɾ u s e ɾ o
aruskaldo	ʔ a ɾ u s k a l d o
aruy	ʔ a ɾ u j
arwa	ʔ a ɾ w a ʔ
arya	ʔ a ɾ j a
aryap	ʔ a ɾ j a p
asa	ʔ a s a
asada	ʔ a s a d a
asado	ʔ a s a d o
asador	ʔ a s a d o ɾ
asahan	ʔ a s a h a n
asainment	ʔ a s a j n m e n t
asais	ʔ a s a ʔ i s
asal	ʔ a s a l
asalan	ʔ a s a l a n
asalin	ʔ a s a l i n
asam	ʔ a s a m
asamblea	ʔ a s a m b l e a
asambleista	ʔ a s a m b l e i s t a
asambleya	ʔ a s a m b l e a
asanorya	ʔ a s a n o ɾ j a
asap	ʔ a s a p
asapran	ʔ a s a p ɾ a n
asar	ʔ a s a ɾ
asarkon	ʔ a s a ɾ k o n
asarol	ʔ a s a ɾ o l
asasinasyon	ʔ a s a s i n a s j o n
asasinesyon	ʔ a s a s i n e s j o n
asawa	ʔ a s a w a
asaynment	ʔ a s a j n m e n t
asbesto	ʔ a s b e s t o
asbok	ʔ a s b o k
asebo	ʔ a s e b o
asedera	ʔ a s e d e ɾ a
aselerador	ʔ a s e l e ɾ a d o ɾ
aselerasyon	ʔ a s e l e ɾ a s j o n
aselga	ʔ a s e l ɡ a
aselgas	ʔ a s e l ɡ a s
asemblea	ʔ a s e m b l e a
asendera	ʔ a s e n d e ɾ a
asendero	ʔ a s e n d e ɾ o
asensado	ʔ a s e n s a d o
asenso	ʔ a s e n s o
asento	ʔ a s e n t o
asentuhan	ʔ a s e n t u h a n
asentuwado	ʔ a s e n t u a d o
asentuwasyon	ʔ a s e n t u a s j o n
asentwado	ʔ a s e n t w a d o
asentwasyon	ʔ a s e n t w a s j o n
aseptable	ʔ a s e p t a b l e
aseptado	ʔ a s e p t a d o
aseptasyon	ʔ a s e p t a s j o n
asera	ʔ a s e ɾ a
aserado	ʔ a s e ɾ a d o
asero	ʔ a s e ɾ o
asesinasyon	ʔ a s e s i n a s j o n
asetato	ʔ a s e t a t o
asete	ʔ a s e t e
asetiko	ʔ a s e t i k o
asetilen	ʔ a s e t i l e n
asetileno	ʔ a s e t i l e n o
asetilin	ʔ a s e t i l i n
aseton	ʔ a s e t o n
asetona	ʔ a s e t o n a
aseyte	ʔ a s e j t e
aseytera	ʔ a s e j t e ɾ a
aseytuna	ʔ a s e j t u n a
aseytunas	ʔ a s e j t u n a s
aseytuno	ʔ a s e j t u n o
asibad	ʔ a s i b a d
asibal	ʔ a s i b a l
asibar	ʔ a s i b a ɾ
asidiko	ʔ a s i d i k o
asido	ʔ a s i d o
asidosis	ʔ a s i d o s i s
asidula	ʔ a s i d u l a
asidulado	ʔ a s i d u l a d o
asidulahan	ʔ a s i d u l a h a n
asignatura	ʔ a s i ɡ n a t u ɾ a
asikaso	ʔ a s i k a s o
asilo	ʔ a s i l o
asim	ʔ a s i m
