ab	ɑˀ b̥
knaš	k n ɑ ʃː
knīplōka	k n iː pˑ l oː kˑ ɑ
koggõrz	k oˀ ɡː ə r z̥
kogtõ	k oˀ k t ə
kok	k o kː
koks	k o kˑ s
konferents	k o nˑ f e r e n t s
kontsert	k o nˑ t s e r tˑ
kougi	k o̯ uˑ ɡ i
kougit	k o̯ uˑ ɡ i tˑ
kougõl	k o̯ uˑ ɡ ə l
kougõn	k o̯ uˑ ɡ ə n
kouš	k o̯ uˑ ʃˑ
kouți	k o̯ uˑ cː i
kouv	k o̯ uˑ v
kouvõ	k o̯ uˑ v ə
kovāl	k o v ɑˑ l
kovālõz	k o v ɑˑ l ə z̥
kovālstiz	k o v ɑˑ l s t i z̥
kōdkimdõz	k ɒːˀ t k i mˑ d ə z̥
kōdõks	k ɒːˀ d ə k s
kōdõkskimdõ	k ɒːˀ d ə k s k i mˑ d ə
kōdõkskimdõz	k ɒːˀ d ə k s k i mˑ d ə z̥
kōdõksmõz	k ɒːˀ d ə k s m ə z̥
kōdõkssadā	k ɒːˀ d ə k s s ɑ d ɑˑ
kōdõkssadāz	k ɒːˀ d ə k s s ɑ d ɑˑ z̥
kōdõkstuoistõn	k ɒːˀ d ə k s t ŭ̯ o̯ iˑ sˑ t ə n
kōdõkstuoistõnz	k ɒːˀ d ə k s t ŭ̯ o̯ iˑ sˑ t ə n z̥
kōdsadāz	k ɒːˀ t s ɑ d ɑˑ z̥
kōdtuoistõnz	k ɒːˀ t t ŭ̯ o̯ iˑ sˑ t ə n z̥
kōgaz	k oː ɡ ɑ z̥
kōgi	k oː ɡ i
kōgiņ	k oː ɡ i ɲ
kōj	k ɒː i̯
kōla	k ɒː l ɑ
kōļõ	k ɒːˀ ʎ ə
kōma	k ɒː m ɑ
kōmal	k ɒː m ɑ l
kōņim	k ɒː ɲ i m
kōņtš	k ɒː ɲ t͡ʃ
kōp	k oː pˑ
kōpmīez	k oː pˑ m iˑ e̯ z̥
kōr	k ɒː r
kōra	k ɒː r ɑ
kōrand	k ɒː r ɑ n d̥
kōraz	k ɒː r ɑ z̥
kōrtõz	k ɒː r tˑ ə z̥
kōŗa	k ɒː rʲ ɑ
kōskõ	k ɒːˀ s k ə
kōsta	k oː s t ɑ
kōtõ	k ɒːˀ tˑ ə
kōv	k ɒː v
kōzgõnd	k ɒː z ɡ ɯ nˑ d̥
kõddõrz	k ɯˀ dː ə r z̥
kõl	k ɯˀ l
kõlā	k ɯ l ɑˑ
kõlbõ	k ɯ lˑ b ə
kõm	k ɯ mː
kõps	k ɯ pˑ s
kõr	k ɯˀ r
kõrd	k ɯ rˑ d̥
kõurõ	k ɯ̯ˀ u r ə
kõuvõ	k ɯ̯ uˑ v ə
kõvīst	k ɯ v iˑ s t
kõvīstõ	k ɯ v iˑ s t ə
kõzā	k ɯ z ɑˑ
kõzātõ	k ɯ z ɑˑ tˑ ə
kõzīņtõ	k ɯ z iˑ ɲ tˑ ə
kõzzi	k ɯˀ zː i
kȭidaz	k ɯː i̯ d ɑ z̥
kȭlbatõ	k ɯː l b ɑ tˑ ə
kȭļim	k ɯː ʎ i m
kȭļimkū	k ɯː ʎ i m k uː
kȭnka	k ɯː ŋ kˑ ɑ
kȭr	k ɯː r
kȭrda	k ɯː r d ɑ
kȭvaz	k ɯː v ɑ z̥
kramā	k r ɑ m ɑˑ
krämp	k r æ mˑ pˑ
Krīevmō	k r iˑˀ e̯ v m ɒː
Krīevõmō	k r iˑˀ e̯ v ə m ɒː
krīzdag	k r iː z d ɑ ɡ̥
krōipa	k r ɒː i̯ pˑ ɑ
krupā	k r u pˑ ɑˑ
kruțk	k r u cˑ k
krūogõ	k r uˑ o̯ ɡ ə
krūz	k r uː z̥
ku	k u
kub	k uˀ b̥
kubbõ	k uˀ bː ə
kubs	k uˀ p s
kud	k uˀ d̥
kud	k uˀ d̥
kuddõ	k uˀ dː ə
kui	k u̯ iˑ
kuigid	k u̯ iˑ ɡ i d̥
kuijõ	k u̯ iˑ j ə
kukki	k u kːː i
kukkõ	k u kːː ə
kukkõr	k u kːː ə r
kukkõrz	k u kːː ə r z̥
kukurūz	k u kˑ u r uˑ z̥
kul	k uˀ l
kuldi	k u lˑ d i
Kuldīg	k u l d iˑ ɡ̥
kullõ	k uˀ lː ə
kultūr	k u lˑ tˑ uˑ r
kuļ	k u ʎː
kummit	k u mːː i tˑ
kunā	k u n ɑˑ
kunāgid	k u n ɑˑ ɡ i d̥
kunāgõst	k u n ɑˑ ɡ ə s t
kuņšt	k u ɲˑ ʃ t
kuņštnikā	k u ɲˑ ʃ t n i kˑ ɑˑ
kuņtš	k u ɲˑ t͡ʃ
kuod	k ŭ̯ oˀ d̥
kuodā	k ŭ̯ o d ɑˑ
kuodāj	k ŭ̯ o d ɑˑ i̯
kuoi	k ŭ̯ o̯ iˑ
kuoig	k ŭ̯ o̯ˀ i ɡ̥
kuolm	k ŭ̯ o lˑ m
kuolmi	k ŭ̯ o lˑ m i
kuolmiņ	k ŭ̯ o lˑ m i ɲː
kuolmkimdõ	k ŭ̯ o lˑ m k i mˑ d ə
kuolmkimdõz	k ŭ̯ o lˑ m k i mˑ d ə z̥
kuolmõndpǟva	k ŭ̯ o l m ə nˑ t p æː v ɑ
kuolmõz	k ŭ̯ o lˑ m ə z̥
kuolmsadā	k ŭ̯ o lˑ m s ɑ d ɑˑ
kuolmsadāz	k ŭ̯ o lˑ m s ɑ d ɑˑ z̥
kuolmtuoistõn	k ŭ̯ o lˑ m t ŭ̯ o̯ iˑ sˑ t ə n
kuolmtuoistõnz	k ŭ̯ o lˑ m t ŭ̯ o̯ iˑ sˑ t ə n z̥
kuondõ	k ŭ̯ oˀ n d ə
kuondõ	k ŭ̯ o nˑ d ə
kuonnõ	k ŭ̯ oˀ nː ə
kuorbõ	k ŭ̯ o rˑ b ə
kuordi	k ŭ̯ o rˑ d i
kuordist	k ŭ̯ o r d i sˑ t
kuordit	k ŭ̯ o rˑ d i tː
kuordõ	k ŭ̯ o rˑ d ə
kuorrõl	k ŭ̯ o rːː ə lː
kuoŗŗõ	k ŭ̯ o rʲːː ə
kuosk	k ŭ̯ o sˑ k
kuostõ	k ŭ̯ o sˑ t ə
Kuoštrõg	k ŭ̯ o ʃˑ t r ə ɡ̥
kuotkānõz	k ŭ̯ o t k ɑˑ n ə z̥
kuoț	k ŭ̯ o cː
kuožžõ	k ŭ̯ oˀ ĭ̯ ʒː ə
kuppõnsēmḑa	k u pːː ə n s eː m ɟ ɑ
kupšā	k u p ʃ ɑˑ
kurā	k u r ɑˑ
Kurāmō	k u r ɑˑ m ɒː
kurg	k u rˑ ɡ̥
kurgmōŗa	k u rˑ ɡ m ɒː rʲ ɑ
kurk	k u rˑ kˑ
kurli	k u rˑ l i
Kurmō	k uˀ r m ɒː
kuŗē	k u rʲ eˑ
kus	k u sː
kuskis	k u sˑ k i sˑ
kutsõ	k u tˑ s ə
kuțā	k u cˑ ɑˑ
kuzzõ	k uˀ zː ə
kuž	k uˀ ĭ̯ ʒ̥
kū	k uː
Kū	k uː
kūdkimdõz	k uː t k i mˑ d ə z̥
kūdõz	k uː d ə z̥
kūdsadāz	k uː t s ɑ d ɑˑ z̥
kūdtuoistõnz	k uː t t ŭ̯ o̯ iˑ sˑ t ə n z̥
kūj	k uːˀ i̯
kūja	k uː j ɑ
kūjastõ	k uː j ɑ s t ə
kūkēra	k uː k eː r ɑ
kūlda	k uː l d ɑ
kūldõ	k uː l d ə
kūlõ	k uː l ə
kūmi	k uː m i
kūoḑi	k uˑˀ o̯ ɟ i
kūoḑõn	k uˑˀ o̯ ɟ ə n
kūoiba	k uˑ o̯ i̯ b ɑ
kūok	k uˑ o̯ kˑ
Kūolka	k uˑ o̯ l kˑ ɑ
kūolõ	k uˑ o̯ l ə
kūolõm	k uˑ o̯ l ə m
kūolta	k uˑ o̯ l tˑ ɑ
kūoltõ	k uˑ o̯ l tˑ ə
kūoļma	k uˑ o̯ ʎ m ɑ
kūona	k uˑ o̯ n ɑ
kūonda	k uˑ o̯ n d ɑ
kūondõ	k uˑ o̯ n d ə
kūora	k uˑ o̯ r ɑ
kūoral	k uˑ o̯ r ɑ l
kūorald	k uˑ o̯ r ɑ l d̥
kūorbastõ	k uˑ o̯ r b ɑ s t ə
kūoršõn	k uˑ o̯ r ʃ ə n
kūortiļ	k uˑ o̯ r tˑ i ʎ
kūoŗ	k uˑ o̯ rʲ
kūoŗštõ	k uˑ o̯ rʲ ʃ t ə
kūož	k uˑ o̯ ʒʲ
kūrna	k uː r n ɑ
kūzõ	k uː z ə
kūzõ	k uːˀ z ə
kūž	k uː ʒ̥
kūžkimdõ	k uː ʃ k i mˑ d ə
kūžsadā	k uː ʃ s ɑ d ɑˑ
kūžtuoistõn	k uː ʃ t ŭ̯ o̯ iˑ sˑ t ə n
labā	l ɑ b ɑˑ
ladā	l ɑ d ɑˑ
lagdõ	l ɑˀ ɡ d ə
laggõ	l ɑˀ ɡː ə
laggõd	l ɑˀ ɡː ə d̥
lagtõ	l ɑˀ k t ə
laid	l ɑ̯ iˑ d̥
laidõr	l ɑ̯ iˑ d ə r
laigā	l ɑ i̯ ɡ ɑˑ
laint	l ɑ̯ iˑ n tˑ
laitõ	l ɑ̯ iˑ tː ə
lajā	l ɑ j ɑˑ
lakād	l ɑ kˑ ɑˑ d̥
lakkõ	l ɑ kːː ə
lakt	l ɑ kˑ t
lamātõks	l ɑ m ɑˑ tˑ ə k s
lamp	l ɑ mˑ pˑ
land	l ɑ nˑ d̥
langõ	l ɑ ŋˑ ɡ ə
lapsttarā	l ɑ pˑ s t t ɑ r ɑˑ
lapsvȱidaji	l ɑ pˑ s v ɤː i̯ d ɑ j i
lask	l ɑ sˑ k
laskõ	l ɑ sˑ k ə
lastā	l ɑ s t ɑˑ
laš	l ɑ ʃː
latǟrn	l ɑ tˑ æˑ r n
laz	l ɑˀ z̥
lāipa	l ɑː i̯ pˑ ɑ
lāiska	l ɑː i̯ s k ɑ
lāmbaz	l ɑː m b ɑ z̥
lānga	l ɑː ŋ ɡ ɑ
läb	l æˀ b̥
läbbõ	l æˀ bː ə
läbḑi	l æˀ b ɟ i
läbōrõn	l æˀ b ɒːˀ r ə n
läpš	l æ pˑ ʃ
läul	l æ̯ uˑ l
lǟdõ	l æːˀ d ə
lǟlam	l æː l ɑ m
lǟlamõz	l æː l ɑ m ə z̥
lǟlamstiz	l æː l ɑ m s t i z̥
lǟnd	l æːˀ n d̥
lǟtšõz	l æː t͡ʃ ə z̥
leb	l eˀ b̥
lebbõ	l eˀ bː ə
Leišmō	l e̯ iˑ ʃˑ m ɒː
Leišõmō	l e̯ iˑ ʃː ə m ɒː
lejā	l e j ɑˑ
lejāvõtāmõd	l e j ɑˑ v ɯ tˑ ɑˑ m ə d̥
lem	l e mː
lešk	l e ʃˑ k
lešknai	l e ʃˑ k n ɑ̯ iˑ
Lețmō	l e cː m ɒː
ležgli	l eˀ ĭ̯ ʒ ɡ l i
ležgõl	l eˀ ĭ̯ ʒ ɡ ə l
lēba	l eː b ɑ
lēbavīļa	l eː b ɑ v iː ʎ ɑ
lēḑ	l eːˀ ɟ̥
lēḑ	l eː ɟ̥
lēḑ	l eː ɟ̥
lēḑkū	l eːˀ c k uː
lēmi	l eːˀ m i
lēņtš	l eː ɲ t͡ʃ
libḑi	l iˀ b ɟ i
lid	l iˀ d̥
liegā	l ĭ̯ e ɡ ɑˑ
liepā	l ĭ̯ e pˑ ɑˑ
lieppõ	l ĭ̯ e pːː ə
liestā	l ĭ̯ e s t ɑˑ
lieudõ	l ĭ̯ e̯ uˑ d ə
liggõ	l iˀ ɡː ə
likkõ	l i kːː ə
liktõ	l i kˑ t ə
lilla	l i lːː ɑ
limā	l i m ɑˑ
linā	l i n ɑˑ
lind	l i nˑ d̥
lindõ	l i nˑ d ə
lipīņtõ	l i pˑ iˑ ɲ tˑ ə
lipšõ	l i pˑ ʃ ə
līdõ	l iː d ə
līebi	l iˑˀ e̯ b i
līednaggõrz	l iˑˀ e̯ d n ɑˀ ɡː ə r z̥
līedõg	l iˑ e̯ d ə ɡ̥
līedpū	l iˑˀ e̯ t p uː
līekõnim	l iˑˀ e̯ kˑ ə n iˀ m
līem	l iˑ e̯ m
līenõ	l iˑ e̯ n ə
līgõ	l iː ɡ ə
līndamašīn	l iː n d ɑ m ɑ ʃˑ iˑ n
līnta	l iː n tˑ ɑ
līst	l iː s t
līt	l iː tˑ
līti	l iː tˑ i
lītiņtõ	l iː tˑ i ɲ tˑ ə
lītõld	l iː tˑ ə l d̥
lītõltõ	l iː tˑ ə l tˑ ə
līvli	l iː v l i
Līvõmō	l iː v ə m ɒː
līvõz	l iː v ə z̥
loļ	l o ʎː
lomāstõ	l o m ɑˑ s t ə
lonkõ	l o ŋˑ kˑ ə
lop	l o pː
lopāndõks	l o pˑ ɑˑ n d ə k s
loppõ	l o pːː ə
loptõ	l o pˑ t ə
lougli	l o̯ uˑ ɡ l i
lougõ	l o̯ uˑ ɡ ə
loul	l o̯ uˑ l
loulõ	l o̯ uˑ l ə
loutš	l o̯ uˑ t͡ʃ
louv	l o̯ uˑ v
lovā	l o v ɑˑ
lōda	l oː d ɑ
lōdaōrõn	l oː d ɑ ɒːˀ r ə n
lōgstõ	l ɒːˀ k s t ə
lōja	l ɒː j ɑ
lōka	l oː kˑ ɑ
lōlaji	l oː l ɑ j i
lōlami	l oː l ɑ m i
lōlatõ	l oː l ɑ tˑ ə
lōnõz	l ɒːˀ n ə z̥
lōņtš	l ɒː ɲ t͡ʃ
lōškõz	l ɒː ʃ k ə z̥
lōtšõz	l ɒːˀ t͡ʃ ə z̥
lõks	l ɯ kˑ s
lõuglõ	l ɯ̯ uˑ ɡ l ə
lõvvõ	l ɯˀ u̯ vː ə
lȭga	l ɯː ɡ ɑ
lȭiga	l ɯː i̯ ɡ ɑ
lȭinag	l ɯː i̯ n ɑ ɡ̥
lȭinagizt	l ɯː i̯ n ɑ ɡ i s t
lȭinagstāiga	l ɯː i̯ n ɑ k s t ɑː i̯ ɡ ɑ
lȭtstõ	l ɯː t s t ə
lubā	l u b ɑˑ
lug	l uˀ ɡ̥
lugdõbrōntõz	l uˀ ɡ d ə b r ɒː n tˑ ə z̥
luggõ	l uˀ ɡː ə
lugsõnā	l uˀ k s ɯ n ɑˑ
lum	l uˀ m
lummi	l uˀ mː i
luoik	l ŭ̯ o̯ iˑ kː
luškõz	l u ʃˑ k ə z̥
lušti	l u ʃˑ t i
lutārusk	l u tˑ ɑˑ r u sˑ k
lū	l uː
lūdõ	l uː d ə
lūk	l uː kˑ
lūod	l uˑ o̯ d̥
lūodõ	l uˑ o̯ d ə
lūoima	l uˑ o̯ i̯ m ɑ
lūoltiji	l uˑ o̯ l tˑ i j i
lūoltõ	l uˑ o̯ l tˑ ə
lūom	l uˑ o̯ m
lūomõz	l uˑ o̯ m ə z̥
lūotõ	l uˑ o̯ tˑ ə
lūotš	l uˑ o̯ t͡ʃ
Lūž	l uːˀ ʒ̥
ļäpā	ʎ æ pˑ ɑˑ
ma	m ɑ
madāli	m ɑ d ɑˑ l i
madāltõ	m ɑ d ɑˑ l tˑ ə
mag	m ɑˀ ɡ̥
magḑi	m ɑˀ ɡ ɟ i
magḑõ	m ɑˀ ɡ ɟ ə
maggõ	m ɑˀ ɡː ə
maigāz	m ɑ i̯ ɡ ɑˑ z̥
maij	m ɑ̯ iˑ j
maits	m ɑ̯ iˑ t s
maitsõ	m ɑ̯ iˑ t s ə
maks	m ɑ kˑ s
maksā	m ɑ k s ɑˑ
maksõ	m ɑ kˑ s ə
mantõl	m ɑ nˑ tˑ ə l
maņņõ	m ɑˀ ɲː ə
mašīn	m ɑ ʃˑ iˑ n
mattõ	m ɑ tːː ə
mäg	m æˀ ɡ̥
mäggõrz	m æˀ ɡː ə r z̥
mänd	m æ nˑ d̥
mäng	m æ ŋˑ ɡ̥
mängõ	m æ ŋˑ ɡ ə
märā	m æ r ɑˑ
märgõ	m æ rˑ ɡ ə
märts	m æ rˑ t s
mätāl	m æ tˑ ɑˑ l
mǟdlõ	m æːˀ d l ə
mǟrga	m æː r ɡ ɑ
mǟrgandõ	m æː r ɡ ɑ n d ə
mǟtõr	m æː tˑ ə r
mer	m eˀ r
merdõ	m eˀ r d ə
mež	m eˀ ĭ̯ ʒ̥
mēg	m eː ɡ̥
mēļ	m eː ʎ
midāgõd	m i d ɑˑ ɡ ə d̥
midžā	m i d ʒ ɑˑ
mier	m ĭ̯ eˀ r
miermīez	m ĭ̯ eˀ r m iˑ e̯ z̥
miernaigā	m ĭ̯ eˀ r n ɑ i̯ ɡ ɑˑ
migriki	m iˀ ɡ r i kˑ i
mikš	m i kˑ ʃ
miljon	m i lˑ j o n
minā	m i n ɑˑ
mingi	m i ŋˑ ɡ i
mingizkõrd	m i ŋˑ ɡ i s k ɯ rˑ d̥
minūt	m i n uˑ tˑ
mis	m i sː
mitikš	m i tː i kˑ ʃ
mits	m i tˑ s
mitskimdõ	m i tˑ s k i mˑ d ə
mitš	m i t͡ʃˑ
mittõ	m i tːː ə
mīdõ	m iː d ə
mīedõ	m iˑ e̯ d ə
mīeldõ	m iˑ e̯ l d ə
mīez	m iˑ e̯ z̥
mīgõ	m iː ɡ ə
mīm	m iː m
mīņa	m iː ɲ ɑ
mīrtõ	m iː r tˑ ə
Moldov	m o lˑ d o v
Moldov	m o lˑ d o̯ uˑ
Moskov	m o sˑ k o v
Moskov	m o sˑ k o̯ uˑ
mō	m ɒː
mō	m ɒːˀ
mōdõ	m ɒːˀ d ə
mōdõ	m ɒː d ə
mōgõr	m ɒː ɡ ə r
mōīlma	m ɒː iː l m ɑ
mōkierā	m ɒː k ĭ̯ e r ɑˑ
mōl	m ɒː l
mōļțõ	m ɒː ʎ cˑ ə
mōmīez	m ɒː m iˑ e̯ z̥
mōnikā	m ɒː n i kˑ ɑˑ
mōŗa	m ɒː rʲ ɑ
mōškõz	m ɒː ʃ k ə z̥
mōzõ	m ɒːˀ z ə
mȯistli	m ɤ̯ iˑ s t l i
mȯistõ	m ɤ̯ iˑ s t ə
mȯizõ	m ɤ̯ iˑ z ə
mȯjjõ	m ɤˀ jː ə
mȯlmõd	m ɤˀ l m ə d̥
mõgā	m ɯ ɡ ɑˑ
mõiti	m ɯ̯ iˑ tː i
mõitiz	m ɯ̯ iˑ tː i z̥
mõlā	m ɯ l ɑˑ
mõltsi	m ɯ lˑ t s i
mõŗžõ	m ɯˀ rʲ ʒ ə
mõtkõz	m ɯ tˑ k ə z̥
mõtlõ	m ɯ tˑ l ə
mõtsā	m ɯ t s ɑˑ
mõtsāizānd	m ɯ t s ɑˑ i z ɑˑ n d̥
mõtsākaits	m ɯ t s ɑˑ k ɑ̯ iˑ t s
mõtsāsigā	m ɯ t s ɑˑ s i ɡ ɑˑ
mõtūks	m ɯ tˑ uˑ k s
mȭk	m ɯː kˑ
mȭka	m ɯː kˑ ɑ
mȭrda	m ɯː r d ɑ
mudā	m u d ɑˑ
mudžõ	m uˀ d ʒ ə
muidlõ	m u̯ˀ i d l ə
muini	m u̯ iˑ n i
mulk	m u lˑ kˑ
muļki	m uˀ ʎ kˑ i
munā	m u n ɑˑ
munādkuoț	m u n ɑˑ t k ŭ̯ o cː
mur	m uˀ r
murd	m u rˑ d̥
murdõ	m u rˑ d ə
murīkšõ	m u r iˑ k ʃ ə
murri	m uˀ rː i
murrõ	m uˀ rː ə
murtõ	m uˀ r tˑ ə
muŗŗõ	m uˀ rʲː ə
muskant	m u sˑ k ɑ n tˑ
mustā	m u s t ɑˑ
Mustānum	m u s t ɑˑ n u mː
muškõz	m u ʃˑ k ə z̥
muzīk	m u z iˑ kˑ
mū	m uː
mūlda	m uː l d ɑ
mūliņ	m uː l i ɲ
mūnda	m uː n d ɑ
mūndakõrd	m uː n d ɑ k ɯ rˑ d̥
mūoštõks	m uˑ o̯ ʃ t ə k s
mūpõ	m uː pˑ ə
mūtõ	m uː tˑ ə
nabā	n ɑ b ɑˑ
naggõl	n ɑˀ ɡː ə l
naggõr	n ɑˀ ɡː ə r
naggõrz	n ɑˀ ɡː ə r z̥
nagrõ	n ɑˀ ɡ r ə
nai	n ɑ̯ iˑ
nanā	n ɑ n ɑˑ
nanāōrõn	n ɑ n ɑˑ ɒːˀ r ə n
nä	n æ
nädīļ	n æ d iˑ ʎ
näg	n æˀ ɡ̥
nägțõ	n æˀ k c ə
nägțõb	n æˀ k c ə b̥
nämād	n æ m ɑˑ d̥
närā	n æ r ɑˑ
närv	n æ rˑ v
nǟ	n æː
nǟ	n æːˀ
nǟdõ	n æːˀ d ə
nǟlga	n æː l ɡ ɑ
nǟlgastõ	n æː l ɡ ɑ s t ə
nǟna	n æː n ɑ
nǟr	n æː r
ne	n e
nei	n e̯ˀ i
neijen	n e̯ˀ i j eˀ n
neiku	n e̯ˀ i k u
neikuinei	n e̯ˀ i k u̯ iˑ n e̯ˀ i
neisiz	n e̯ˀ i s i z̥
neitst	n e̯ iˑ t s t
neitški	n e̯ iˑ t͡ʃ k i
neļļõndpǟva	n e ʎːː ə n t p æː v ɑ
neļļõz	n e ʎːː ə z̥
nemē	n e m eˑ
nēḑi	n eː ɟ i
nēļa	n eː ʎ ɑ
nēļakimdõ	n eː ʎ ɑ k i mˑ d ə
nēļakimdõz	n eː ʎ ɑ k i mˑ d ə z̥
nēļasadā	n eː ʎ ɑ s ɑ d ɑˑ
nēļasadāz	n eː ʎ ɑ s ɑ d ɑˑ z̥
nēļatuoistõn	n eː ʎ ɑ t ŭ̯ o̯ iˑ sˑ t ə n
nēļatuoistõnz	n eː ʎ ɑ t ŭ̯ o̯ iˑ sˑ t ə n z̥
nētša	n eː t͡ʃ ɑ
ni	n i
nigļiki	n iˀ ɡ ʎ i kˑ i
nim	n iˀ m
nimsõnā	n iˀ m s ɯ n ɑˑ
nimtõ	n iˀ m tˑ ə
niŗț	n i rʲˑ cˑ
nizzi	n iˀ zː i
nizzõz	n iˀ zː ə z̥
nīdõd	n iː d ə d̥
nīel	n iˑ e̯ l
nīelõ	n iˑ e̯ l ə
nīem	n iˑˀ e̯ m
nīerõz	n iˑ e̯ r ə z̥
nīlba	n iː l b ɑ
nīnõ	n iː n ə
nīņ	n iː ɲ
nīsk	n iː s k
nīski	n iː s k i
nīskõ	n iː s k ə
nīt	n iː tˑ
nītõ	n iː tˑ ə
nīž	n iː ʒ̥
nīžõ	n iː ʒ ə
no	n o
nodāl	n o d ɑˑ l
nojjõ	n oˀ jː ə
nominatīv	n o m i n ɑ tˑ iˑ v
Norvēgij	n o r v eˑ ɡ i j
Norvēgmō	n o r v eˑ ɡ m ɒː
nougõd	n o̯ˀ u ɡ ə d̥
novembõr	n o v e m b ə r
novvõ	n oˀ u̯ vː ə
nōgi	n ɒːˀ ɡ i
nōgõ	n ɒːˀ ɡ ə
nōļa	n ɒː ʎ ɑ
nōțõz	n ɒː cˑ ə z̥
nōvõ	n ɒːˀ v ə
nõddõr	n ɯˀ dː ə r
nõggõl	n ɯˀ ɡː ə l
nõrrõ	n ɯˀ rː ə
nõtk	n ɯ tˑ k
nõtkāz	n ɯ t k ɑˑ z̥
nõtkõ	n ɯ tˑ k ə
nõtkõm	n ɯ tˑ k ə m
nõv	n ɯˀ u̯ vː
nȭrka	n ɯː r kˑ ɑ
nȭŗka	n ɯː rʲ kˑ ɑ
nȭŗkõz	n ɯː rʲ kˑ ə z̥
nujā	n u j ɑˑ
nukkõr	n u kːː ə r
num	n u mː
nummõrz	n u mːː ə r z̥
nurīkšõ	n u r iˑ k ʃ ə
nuŗm	n u rʲˑ m
nustõ	n u sˑ t ə
nuššõ	n u ʃːː ə
nuttõ	n u tːː ə
nūolõ	n uˑ o̯ l ə
nūoļ	n uˑ o̯ ʎ
nūoŗ	n uˑ o̯ rʲ
nūoŗim	n uˑ o̯ rʲ i m
nūoŗimi	n uˑ o̯ rʲ i m i
nūoŗkazām	n uˑ o̯ rʲ k ɑ z ɑˑ m
nūoŗkū	n uˑ o̯ rʲ k uː
nūoŗmīez	n uˑ o̯ rʲ m iˑ e̯ z̥
nūoŗpōr	n uˑ o̯ rʲ p ɒː r
nūoŗpōŗ	n uˑ o̯ rʲ p ɒː rʲ
nūrka	n uː r kˑ ɑ
nūškõ	n uː ʃ k ə
nūzõ	n uː z ə
ņäpā	ɲ æ pˑ ɑˑ
obāļi	o b ɑˑ ʎ i
obāz	o b ɑˑ z̥
obbõ	oˀ bː ə
oksā	o k s ɑˑ
oksnõ	o kˑ s n ə
okš	o kˑ ʃ
oktōbõr	o k t oˑ b ə r
opātiji	o pˑ ɑˑ tˑ i j i
opātõ	o pˑ ɑˑ tˑ ə
oppõ	o pːː ə
oppõr	o pːː ə r
optõbrōntõz	o pˑ t ə b r ɒː n tˑ ə z̥
ortogrāfij	o rˑ tˑ o ɡ r ɑˑ fˑ i j
oudõ	o̯ uˑ d ə
ougust	o̯ uˑ ɡ u s t
ouk	o̯ uˑ kˑ
ouki	o̯ uˑ kː i
ounõmōŗa	o̯ˀ u n ə m ɒː rʲ ɑ
ounõz	o̯ˀ u n ə z̥
ouŗõ	o̯ uˑ rʲ ə
outō	o u̯ tˑ oˑ
outōbus	o u̯ tˑ oˑ b u sː
outõ	o̯ uˑ tː ə
ov	oˀ u̯ vː
ovār	o v ɑˑ r
ovāri	o v ɑˑ r i
ovāt	o v ɑˑ tˑ
ovpū	oˀ u̯ vː p uː
ōbiļ	ɒːˀ b i ʎ
ōbõ	ɒː b ə
ōda	oː d ɑ
ōdõrz	ɒːˀ d ə r z̥
ōdõz	ɒːˀ d ə z̥
ōgi	ɒːˀ ɡ i
ōik	ɒː i̯ kˑ
ōj	ɒːˀ i̯
ōla	ɒː l ɑ
ōļaz	ɒː ʎ ɑ z̥
ōra	ɒː r ɑ
ōrali	ɒː r ɑ l i
ōrõn	ɒːˀ r ə n
ōŗa	ɒː rʲ ɑ
ōv	ɒːˀ u̯ vː
ōz	ɒː z̥
õbbi	ɯˀ bː i
õbdi	ɯˀ b d i
õbdõ	ɯˀ b d ə
õigi	ɯ̯ iˑ ɡ i
õigiz	ɯ̯ iˑ ɡ i z̥
õldzõ	ɯˀ l d z ə
õrā	ɯ r ɑˑ
õv	ɯˀ u̯ vː
õvā	ɯ v ɑˑ
õvātõ	ɯ v ɑˑ tˑ ə
õvvõ	ɯˀ u̯ vː ə
ȭdõg	ɯːˀ d ə ɡ̥
ȭdõgizt	ɯːˀ d ə ɡ i s t
ȭdõn	ɯːˀ d ə n
ȭg	ɯːˀ ɡ̥
ȭgõ	ɯː ɡ ə
ȭgõ	ɯːˀ ɡ ə
ȭlma	ɯː l m ɑ
ȭn	ɯː n
ȭrikšõ	ɯː r i k ʃ ə
ȭŗõ	ɯː rʲ ə
pa	p ɑ
padā	p ɑ d ɑˑ
paḑā	p ɑ ɟ ɑˑ
pag	p ɑˀ ɡ̥
pagalam	p ɑ ɡ ɑ l ɑ m
pagānõz	p ɑ ɡ ɑˑ n ə z̥
paggõ	p ɑˀ ɡː ə
paggõl	p ɑˀ ɡː ə l
paikõ	p ɑ̯ iˑ kː ə
painõ	p ɑ̯ iˑ n ə
paint	p ɑ̯ iˑ n tˑ
paipõl	p ɑ̯ iˑ pː ə l
paistõ	p ɑ̯ iˑ s t ə
paizõ	p ɑ̯ iˑ z ə
paj	p ɑˀ i̯
pakānd	p ɑ kˑ ɑˑ n d̥
pakkõ	p ɑ kːː ə
palā	p ɑ l ɑˑ
palāg	p ɑ l ɑˑ ɡ̥
palāndõks	p ɑ l ɑˑ n d ə k s
paldīņ	p ɑ l d iˑ ɲ
palg	p ɑ lˑ ɡ̥
pallõ	p ɑ lːː ə
pallõ	p ɑˀ lː ə
pallõ	p ɑˀ lː ə
