á	aː
Cesnak	t͡s e s n a k
cesnakom	t͡s e s n a k ɔ m
cesnakový	t͡s e s n a k ɔ v iː
cesnaku	t͡s e s n a k u
česť	t͡ʃ e s c
cesta	t͡s e s t a
cestár	t͡s e s t aː r
Cestár	t͡s e s t aː r
cestárka	t͡s e s t aː r k a
ceste	t͡s e s c e
čeština	t͡ʃ e ʃ c i n a
češtine	t͡ʃ e ʃ c i ɲ e
češtinou	t͡ʃ e ʃ c i n ɔ v
češtinu	t͡ʃ e ʃ c i n u
češtiny	t͡ʃ e ʃ c i n i
cesto	t͡s e s t ɔ
cestom	t͡s e s t ɔ m
cestoval	t͡s e s t ɔ v a l
cestovala	t͡s e s t ɔ v a l a
cestovali	t͡s e s t ɔ v a ʎ i
cestovanie	t͡s e s t ɔ v a ɲ ɪ̯ e
cestovať	t͡s e s t ɔ v a c
cestovateľ	t͡s e s t ɔ v a c e ʎ
cestovateľka	t͡s e s t ɔ v a c e ʎ k a
cestovina	t͡s e s t ɔ v i n a
cestovinový	t͡s e s t ɔ v i n ɔ v iː
cestovinu	t͡s e s t ɔ v i n u
cestoviny	t͡s e s t ɔ v i n i
cestuj	t͡s e s t u j
cestuje	t͡s e s t u j e
cestujem	t͡s e s t u j e m
cestujeme	t͡s e s t u j e m e
cestuješ	t͡s e s t u j e ʃ
cestujete	t͡s e s t u j e c e
cestujme	t͡s e s t u j m e
cestujú	t͡s e s t u j uː
cestujúci	t͡s e s t u j uː t͡s i
cestujúcich	t͡s e s t u j uː t͡s i x
češú	t͡ʃ e ʃ uː
Čevela	t͡ʃ e v e l a
cez	t͡s ɛ z
cez	t͡s ɛ s
cézium	t͡s eː z i u m
cezo	t͡s e z ɔ
ch	x
Ch	x
Chabada	x a b a d a
chabín	x a b iː n
chabina	x a b i n a
chabý	x a b iː
chájd	x aː j t
chajda	x a j d a
chajdička	x a j ɟ i t͡ʃ k a
chajdou	x a j d ɔ v
chajdy	x a j d i
Chakasko	x a k a s k ɔ
chalan	x a l a n
chalanský	x a l a n s k iː
chalupa	x a l u p a
chalupe	x a l u p e
chalúpka	x a l uː p k a
chameleón	x a m ɛ l ɛ ɔː n
chaos	x a ɔ s
chaotickosť	x a ɔ c i t͡s k ɔ s c
chaoticky	x a ɔ c i t͡s k i
chaotický	x a ɔ c i t͡s k iː
chápadlo	x aː p a d l ɔ
chápanie	x aː p a ɲ ɪ̯ e
Chára	x aː r a
charakter	x a r a k t e r
charaktere	x a r a k c e r e
charakteristický	x a r a k t e r i s t i t͡s k iː
charakteristika	x a r a k t e r i s t i k a
charakterizácia	x a r a k t e r i z aː t͡s i a
charakterizovať	x a r a k t e r i z ɔ v a c
charakterizuje	x a r a k c e r i z u j e
charaktermi	x a r a k c e r m i
charakteroch	x a r a k c e r ɔ x
charakterom	x a r a k c e r ɔ m
charakterov	x a r a k c e r ɔ v
charakteru	x a r a k c e r u
charaktery	x a r a k c e r i
charita	x a r i t a
charizma	x a r i z m a
charizmaticky	x a r i z m a c i t͡s k i
charizmatický	x a r i z m a c i t͡s k iː
Chartúm	x a r t uː m
Charvát	x a r v aː t
Charvátová	x a r v aː t ɔ v aː
chasidizmus	x a s i d i z m u s
chasoň	x a s ɔ ɲ
Čhattísgarh	d͡ʒ ɦ a t c iː z ɡ a r x
chce	x t͡s e
chcejúc	x t͡s e j uː t͡s
chcejúci	x t͡s e j uː t͡s i
chcel	x t͡s e l
chcela	x t͡s e l a
chceli	x t͡s e ʎ i
chcelo	x t͡s e l ɔ
chcem	x t͡s e m
chceme	x t͡s e m e
chcenie	x t͡s e ɲ ɪ̯ e
chcený	x t͡s e n iː
chceš	x t͡s e ʃ
chcete	x t͡s e c e
chci	x t͡s i
chcieť	x t͡s ɪ̯ e c
chcime	x t͡s i m e
chcite	x t͡s i c e
chcú	x t͡s uː
chémia	x eː m i a
chemička	x e m i t͡ʃ k a
chemik	x e m i k
chemoterapia	x e m ɔ t e r a p i a
chí	x iː
Chicago	ʃ i k aː ɡ ɔ
chicht	x i x t
chiméra	x i m eː r a
chimérizmus	x i m eː r i z m u s
Chiňar	x i ɲ a r
chiralita	x i r a l i t a
chirálny	x i r aː l n i
Chládek	x l aː d e k
chladnejší	x l a d ɲ e j ʃ iː
chladnička	x l a d ɲ i t͡ʃ k a
chladný	x l a d n iː
chlap	x l a p
chlapa	x ɫ a p a
chlapča	x l a p t͡ʃ a
chlapče	x l a p t͡ʃ e
chlapčenský	x l a p t͡ʃ e n s k iː
chlapec	x l a p e t͡s
chlapi	x ɫ a p i
chlapmi	x ɫ a p m i
chlapoch	x ɫ a p ɔ x
chlapom	x ɫ a p ɔ m
chlapov	x ɫ a p ɔ u̯
chlapovi	x ɫ a p ɔ v i
chleba	x l ɛ b a
Chleban	x ʎ e b a n
Chlebnická	x ʎ e b ɲ i t͡s k aː
Chlebnický	x ʎ e b ɲ i t͡s k iː
chlieb	x ʎ ɪ̯ e p
chlm	x l̩ m
chlór	x l ɔː r
chlorid	x l ɔ r i t
chloridový	x l ɔ r i d ɔ v iː
chloroform	x l ɔ r ɔ f ɔ r m
chloroformový	x l ɔ r ɔ f ɔ r m ɔ v iː
chloroformu	x l ɔ r ɔ f ɔ r m u
chlorofyl	x l ɔ r ɔ f i l
chlp	x l̩ p
chmeľ	x m e ʎ
Chminianskonovovešťan	x m i ɲ ɪ̯ a n s k ɔ n ɔ v ɔ v e ʃ c a n
Chminianskonovovešťanka	x m i ɲ ɪ̯ a n s k ɔ n ɔ v ɔ v e ʃ c a n k a
chmuľo	x m u ʎ ɔ
Chmúrny	x m uː r n i
chňapka	x ɲ a p k a
chobot	x ɔ b ɔ t
chobotnica	x ɔ b ɔ t ɲ i t͡s a
Chochol	x ɔ x ɔ l
chod	x ɔ t
chodenie	x ɔ ɟ e ɲ ɪ̯ e
chodí	x ɔ ɟ iː
chodia	x ɔ ɟ ɪ̯ a
chodidlo	x ɔ ɟ i d l ɔ
chodidlom	x ɔ ɟ i d l ɔ m
chodil	x ɔ ɟ i l
chodila	x ɔ ɟ i l a
chodím	x ɔ ɟ iː m
chodíme	x ɔ ɟ iː m e
chodíš	x ɔ ɟ iː ʃ
chodiť	x ɔ ɟ i c
chodíte	x ɔ ɟ iː c e
chodník	x ɔ d ɲ iː k
choďte	x ɔ cː e
Chodúr	x ɔ d uː r
chôdza	x u̯ ɔ d͡z a
cholera	x ɔ ʎ e r a
Choleva	x ɔ ʎ e v a
Choma	x ɔ m a
chorá	x ɔ r aː
choré	x ɔ r eː
choreografia	x ɔ r e ɔ ɡ r a f i a
chorí	x ɔ r iː
chorôb	x ɔ r u̯ ɔ p
choroba	x ɔ r ɔ b a
chorobe	x ɔ r ɔ b e
chorobička	x ɔ r ɔ b i t͡ʃ k a
chorôbka	x ɔ r u̯ ɔ p k a
chorobný	x ɔ r ɔ b n iː
choroboplodnosť	x ɔ r ɔ b ɔ p l ɔ d n ɔ s c
chorom	x ɔ r ɔ m
choronymum	x ɔ r ɔ n i m u m
chorou	x ɔ r ɔ v
Chorvát	x ɔ r v aː t
chorvatistika	x ɔ r v a t i s t i k a
Chorvátka	x ɔ r v aː t k a
Chorvátsko	x ɔ r v aː t͡s k ɔ
chorý	x ɔ r iː
Chovan	x ɔ v a n
Chovanec	x ɔ v a ɲ e t͡s
chrabrý	x r a b r iː
chrápal	x r aː p a l
chrápala	x r aː p a l a
chrápať	x r aː p a c
chrápe	x r aː p e
chrápu	x r aː p u
chrastie	x r a s c ɪ̯ e
chrbát	x r̩ b aː t
chrbta	x r̩ p t a
chrbte	x r̩ p c e
chrbtica	x r̩ p c i t͡s a
chrček	x r̩ t͡ʃ e k
chrématonymum	x r eː m a t ɔ n i m u m
chren	x r e n
chrípka	x r iː p k a
christianizácia	x r i s t i a n i z aː t͡s i a
Chrkavá	x r̩ k a v aː
Chrkavý	x r̩ k a v iː
chrľ	x r̩ ʎ
chrliť	x r̩ ʎ i c
chrobák	x r ɔ b aː k
Chrobák	x r ɔ b aː k
chróm	x r ɔː m
chromatografia	x r ɔ m a t ɔ ɡ r a f i a
chrómovať	x r ɔː m ɔ v a c
chromozóm	x r ɔ m ɔ z ɔː m
chronicky	x r ɔ ɲ i t͡s k i
chronický	x r ɔ ɲ i t͡s k iː
chronológia	x r ɔ n ɔ l ɔː ɡ i a
chronologicky	x r ɔ n ɔ l ɔ ɡ i t͡s k i
chronologický	x r ɔ n ɔ l ɔ ɡ i t͡s k iː
chronometria	x r ɔ n ɔ m e t r i a
chrt	x r̩ t
chrta	x r̩ t a
chrtí	x r̩ c iː
chrty	x r̩ t i
chrumkavejší	x r u m k a v e j ʃ iː
chrumkavý	x r u m k a v iː
chrup	x r u p
chrupka	x r u p k a
chrupový	x r u p ɔ v iː
chrúst	x r uː s t
chrústik	x r uː s c i k
chrústika	x r uː s c i k a
Chudá	x u d aː
chudá	x u d aː
chudák	x u d aː k
chudé	x u d eː
chudého	x u d eː ɦ ɔ
chudej	x u ɟ e j
chudému	x u d eː m u
chudí	x u ɟ iː
Chudina	x u ɟ i n a
chudnúť	x u d n uː c
Chudo	x u d ɔ
chudôb	x u d u̯ ɔ p
chudoba	x u d ɔ b a
Chudoba	x u d ɔ b a
chudobný	x u d ɔ b n iː
chudol	x u d ɔ l
chudom	x u d ɔ m
Chudomel	x u d ɔ m e l
Chudovská	x u d ɔ v s k aː
Chudovský	x u d ɔ v s k iː
chudší	x u t͡ʃː iː
chudú	x u d uː
chudý	x u d iː
Chudý	x u d iː
chudých	x u d iː x
chudým	x u d iː m
chuj	x u j
chuja	x u j a
chujava	x u j a v a
chujavica	x u j a v i t͡s a
chujovina	x u j ɔ v i n a
chuligán	x u ʎ i ɡ aː n
chunta	x u n t a
chuť	x u c
chvála	x v aː l a
chvályhodný	x v aː l i ɦ ɔ d n iː
Chvaštula	x v a ʃ t u l a
chvastúň	x v a s t uː ɲ
chvastúnka	x v a s t uː n k a
chvat	x v a t
chvíľa	x v iː ʎ a
chvíľka	x v iː ʎ k a
chvíľočka	x v iː ʎ ɔ t͡ʃ k a
chvojina	x v ɔ j i n a
chvojinka	x v ɔ j i n k a
chvojinou	x v ɔ j i n ɔ v
chvojiny	x v ɔ j i n i
chvost	x v ɔ s t
chvosta	x v ɔ s t a
chvostový	x v ɔ s t ɔ v iː
chýb	x iː p
chyba	x i b a
chybách	x i b aː x
chybám	x i b aː m
chybami	x i b a m i
chybe	x i b e
chybou	x i b ɔ v
chybu	x i b u
chyby	x i b i
chýr	x iː r
Chýrik	x iː r i k
chytá	x i t aː
chytajú	x i t a j uː
chytal	x i t a l
chytala	x i t a l a
chytám	x i t aː m
chytáme	x i t aː m e
chytáš	x i t aː ʃ
chytať	x i t a c
chytáte	x i t aː c e
Chytil	x i c i l
chytrý	x i t r iː
Chytrý	x i t r iː
chyža	x i ʒ a
chyžná	x i ʒ n aː
či	t͡ʃ i
čí	t͡ʃ iː
Čiampor	t͡ʃ ɪ̯ a m p ɔ r
čiapka	t͡ʃ ɪ̯ a p k a
čiapočka	t͡ʃ ɪ̯ a p ɔ t͡ʃ k a
čiaročka	t͡ʃ ɪ̯ a r ɔ t͡ʃ k a
čias	t͡ʃ ɪ̯ a s
čiaš	t͡ʃ ɪ̯ a ʃ
čiaška	t͡ʃ ɪ̯ a ʃ k a
Cíbik	t͡s iː b i k
cibuľa	t͡s i b u ʎ a
Cibuľa	t͡s i b u ʎ a
cibule	t͡s i b u ʎ e
Cibuľka	t͡s i b u ʎ k a
cíc	t͡s iː t͡s
cica	t͡s i t͡s a
cicách	t͡s i t͡s aː x
cicám	t͡s i t͡s aː m
cicami	t͡s i t͡s a m i
cicavec	t͡s i t͡s a v e t͡s
cice	t͡s i t͡s e
Cicholes	t͡s i x ɔ ʎ e s
cici	t͡s i t͡s i
ciciak	t͡s i t͡s ɪ̯ a k
Čičilla	t͡ʃ i t͡ʃ i lː a
cicka	t͡s i t͡s k a
Čička	t͡ʃ i t͡ʃ k a
cicke	t͡s i t͡s k e
Cicko	t͡s i t͡s k ɔ
cicky	t͡s i t͡s k i
cicou	t͡s i t͡s ɔ v
cicu	t͡s i t͡s u
Čiech	t͡ʃ ɪ̯ e x
cieľ	t͡s ɪ̯ e ʎ
cieľa	t͡s ɪ̯ e ʎ a
ciele	t͡s ɪ̯ e ʎ e
cieľový	t͡s ɪ̯ e ʎ ɔ v iː
cien	t͡s ɪ̯ e n
čierna	t͡ʃ ɪ̯ e r n a
Čiernik	t͡ʃ ɪ̯ e r ɲ i k
čiernohorský	t͡ʃ ɪ̯ e r n ɔ ɦ ɔ r s k iː
čierny	t͡ʃ i̯ e r n i
čierťaž	t͡ʃ ɪ̯ e r c a ʃ
čierťažný	t͡ʃ ɪ̯ e r c a ʒ n iː
cieva	t͡s ɪ̯ e v a
cievka	t͡s ɪ̯ e v k a
cigara	t͡s i ɡ a r a
cigareta	t͡s i ɡ a r e t a
Čigáš	t͡ʃ i ɡ aː ʃ
Cíger	t͡s iː ɡ e r
Ciglan	t͡s i ɡ l a n
cigória	t͡s i ɡ ɔː r i a
čihi	t͡ʃ i ɦ i
ciká	t͡s i k aː
cikáda	t͡s i k aː d a
cikádový	t͡s i k aː d ɔ v iː
cikajú	t͡s i k a j uː
cikanie	t͡s i k a ɲ ɪ̯ e
cikať	t͡s i k a c
Čile	t͡ʃ i ʎ e
čilota	t͡ʃ i l ɔ t a
čím	t͡ʃ iː m
Cimerman	t͡s i m e r m a n
cín	t͡s iː n
čin	t͡ʃ i n
Čína	t͡ʃ iː n a
čína	t͡ʃ iː n a
Číňan	t͡ʃ iː ɲ a n
Číňanka	t͡ʃ iː ɲ a n k a
Činčár	t͡ʃ i n t͡ʃ aː r
Cingel	t͡s i n ɡ e l
činiť	t͡ʃ i ɲ i c
činka	t͡ʃ i n k a
Cinkota	t͡s i n k ɔ t a
Cinkotská	t͡s i n k ɔ t͡s k aː
Cinkotský	t͡s i n k ɔ t͡s k iː
činnosť	t͡ʃ i nː ɔ s c
činný	t͡ʃ i nː iː
cínovať	t͡s iː n ɔ v a c
cínovec	t͡s iː n ɔ v e t͡s
cínový	t͡s iː n ɔ v iː
čínsky	t͡ʃ iː n s k i
cintorín	t͡s i n t ɔ r iː n
cintorína	t͡s i n t ɔ r iː n a
cínu	t͡s iː n u
činža	t͡ʃ i n ʒ a
činžiak	t͡ʃ i n ʒ ɪ̯ a k
Cipár	t͡s i p aː r
čipka	t͡ʃ i p k a
Čipkár	t͡ʃ i p k aː r
čipke	t͡ʃ i p k e
čipky	t͡ʃ i p k i
Cirbus	t͡s i r b u s
cirhóza	t͡s i r ɦ ɔː z a
cirhózou	t͡s i r ɦ ɔː z ɔ v
cirhózu	t͡s i r ɦ ɔː z u
cirhózy	t͡s i r ɦ ɔː z i
Čirip	t͡ʃ i r i p
cirkev	t͡s i r k e v
cirok	t͡s i r ɔ k
cisár	t͡s i s aː r
cisárovná	t͡s i s aː r ɔ v n aː
cisársky	t͡s i s aː r s k i
cisárstvo	t͡s i s aː r s t v ɔ
číselný	t͡ʃ iː s e l n iː
číslo	t͡ʃ iː s l ɔ
číslovka	t͡ʃ iː s l ɔ v k a
číslovky	t͡ʃ iː s l ɔ v k i
Čišovská	t͡ʃ i ʃ ɔ v s k aː
Čišovský	t͡ʃ i ʃ ɔ v s k iː
čistej	t͡ʃ i s c ɛ j
čistý	t͡ʃ i s t iː
číta	t͡ʃ iː t a
čítaj	t͡ʃ iː t a j
čítajme	t͡ʃ iː t a j m e
čítajte	t͡ʃ iː t a j c e
čítajú	t͡ʃ iː t a j uː
čítajúc	t͡ʃ iː t a j uː t͡s
čítajúci	t͡ʃ iː t a j uː t͡s i
čítal	t͡ʃ iː t a l
čítala	t͡ʃ iː t a l a
čítali	t͡ʃ iː t a ʎ i
čítalo	t͡ʃ iː t a l ɔ
čítam	t͡ʃ iː t a m
čítame	t͡ʃ iː t a m e
čítanie	t͡ʃ iː t a ɲ ɪ̯ e
čítaný	t͡ʃ iː t a n iː
čítaš	t͡ʃ iː t a ʃ
čítať	t͡ʃ iː t a c
čítate	t͡ʃ iː t a c e
citoslovce	t͡s i t ɔ s l ɔ v t͡s e
Citriak	t͡s i t r ɪ̯ a k
citrón	t͡s i t r ɔː n
čivava	t͡ʃ i v a v a
číž	t͡ʃ iː ʃ
čiže	t͡ʃ i ʒ e
čižiem	t͡ʃ i ʒ ɪ̯ e m
čížik	t͡ʃ iː ʒ i k
Čížik	t͡ʃ iː ʒ i k
čižma	t͡ʃ i ʒ m a
Čižmar	t͡ʃ i ʒ m a r
čižmička	t͡ʃ i ʒ m i t͡ʃ k a
čižmy	t͡ʃ i ʒ m i
čkavka	t͡ʃ k a v k a
čľapkanica	t͡ʃ ʎ a p k a ɲ i t͡s a
členka	t͡ʃ ʎ e n k a
členkový	t͡ʃ ʎ e n k ɔ v iː
členok	t͡ʃ ʎ e n ɔ k
členstvo	t͡ʃ ʎ e n s t v ɔ
clivota	t͡s ʎ i v ɔ t a
čln	t͡ʃ l̩ n
člnok	t͡ʃ l̩ n ɔ k
člnový	t͡ʃ l̩ n ɔ v iː
človeče	t͡ʃ l ɔ v e t͡ʃ e
človek	t͡ʃ l ɔ v e k
človeka	t͡ʃ l ɔ v e k a
človekom	t͡ʃ l ɔ v e k ɔ m
človekovi	t͡ʃ l ɔ v e k ɔ v i
človeku	t͡ʃ l ɔ v e k u
človiečik	t͡ʃ l ɔ v ɪ̯ e t͡ʃ i k
cmar	t͡s m a r
Čmel	t͡ʃ m e l
čmeľ	t͡ʃ m e ʎ
čmelí	t͡ʃ m e ʎ iː
cnosť	t͡s n ɔ s c
cnostný	t͡s n ɔ s t n iː
čo	t͡ʃ ɔ
Čobej	t͡ʃ ɔ b e j
Čobrda	t͡ʃ ɔ b r̩ d a
Čochráč	t͡ʃ ɔ x r aː t͡ʃ
Čoka	t͡ʃ ɔ k a
čokoláda	t͡ʃ ɔ k ɔ l aː d a
čokoľvek	t͡ʃ ɔ k ɔ ʎ v e k
cól	t͡s ɔː l
cóla	t͡s ɔː l a
cóle	t͡s ɔː ʎ e
cóli	t͡s ɔː ʎ i
colníčka	t͡s ɔ l ɲ iː t͡ʃ k a
colník	t͡s ɔ l ɲ iː k
Colorado	k ɔ l ɔ r aː d ɔ
cólový	t͡s ɔː l ɔ v iː
cóly	t͡s ɔː l i
Čomaj	t͡ʃ ɔ m a j
Comorek	t͡s ɔ m ɔ r e k
čomu	t͡ʃ ɔ m u
Čonka	t͡ʃ ɔ n k a
Connecticut	k ɔ ɲ e k c i k a t
cop	t͡s ɔ p
Čop	t͡ʃ ɔ p
Čopák	t͡ʃ ɔ p aː k
Čopík	t͡ʃ ɔ p iː k
čoskoro	t͡ʃ ɔ s k ɔ r ɔ
čpavkový	t͡ʃ p a v k ɔ v iː
čpavok	t͡ʃ p a v ɔ k
čremcha	t͡ʃ r e m x a
črep	t͡ʃ r ɛ p
črevný	t͡ʃ r e v n iː
črevo	t͡ʃ r e v ɔ
črieda	t͡ʃ r ɪ̯ e d a
čriedou	t͡ʃ r ɪ̯ e d ɔ v
čriedu	t͡ʃ r ɪ̯ e d u
čriev	t͡ʃ r ɪ̯ e v
Crkoň	t͡s r̩ k ɔ ɲ
čŕt	t͡ʃ r̩ː t
črta	t͡ʃ r̩ t a
črtách	t͡ʃ r̩ t aː x
črtám	t͡ʃ r̩ t aː m
črtami	t͡ʃ r̩ t a m i
črte	t͡ʃ r̩ c e
črtou	t͡ʃ r̩ t ɔ v
črtu	t͡ʃ r̩ t u
črty	t͡ʃ r̩ t i
cti	t͡s c i
ctí	t͡s c iː
Ctibor	t͡s c i b ɔ r
Čuboň	t͡ʃ u b ɔ ɲ
čuch	t͡ʃ u x
čuchať	t͡ʃ u x a c
čuchový	t͡ʃ u x ɔ v iː
Čuchran	t͡ʃ u x r a n
cuciak	t͡s u t͡s ɪ̯ a k
Čučko	t͡ʃ u t͡ʃ k ɔ
Čučo	t͡ʃ u t͡ʃ ɔ
čučoriedka	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k a
čučoriedke	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k e
čučoriedkou	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k ɔ v
čučoriedkový	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k ɔ v iː
čučoriedku	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k u
čučoriedky	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k i
čučoriedok	t͡ʃ u t͡ʃ ɔ r ɪ̯ e d ɔ k
Cuda	t͡s u d a
čudný	t͡ʃ u d n iː
Cudová	t͡s u d ɔ v aː
Cudrák	t͡s u d r aː k
cudzí	t͡s u d͡z iː
cudzina	t͡s u d͡z i n a
cudzinec	t͡s u d͡z i ɲ e t͡s
cudzinecký	t͡s u d͡z i ɲ e t͡s k iː
cudziniek	t͡s u d͡z i ɲ ɪ̯ e k
cudzinka	t͡s u d͡z i n k a
cudzoložstvo	t͡s u d͡z ɔ l ɔ ʃ s t v ɔ
čugaňa	t͡ʃ u ɡ a ɲ a
čuganí	t͡ʃ u ɡ a ɲ iː
čujný	t͡ʃ u j n iː
Čukan	t͡ʃ u k a n
cukor	t͡s u k ɔ r
Cukor	t͡s u k ɔ r
cukrár	t͡s u k r aː r
cukre	t͡s u k r e
cukrík	t͡s u k r iː k
cukrom	t͡s u k r ɔ m
cukrový	t͡s u k r ɔ v iː
cukru	t͡s u k r u
Čulen	t͡ʃ u ʎ e n
čulý	t͡ʃ u l iː
čumieť	t͡ʃ u m ɪ̯ e c
cumlík	t͡s u m ʎ iː k
cumlíka	t͡s u m ʎ iː k a
cunami	t͡s u n a m i
Cundra	t͡s u n d r a
Cuninka	t͡s u ɲ i n k a
Čuntala	t͡ʃ u n t a l a
Čupeľa	t͡ʃ u p e ʎ a
Čurilla	t͡ʃ u r i lː a
curium	k y r ɪ j ʊ m
Čus	t͡ʃ u s
Čuvan	t͡ʃ u v a n
čvarga	t͡ʃ v a r ɡ a
Cvek	t͡s v e k
cveng	t͡s v e n k
cvíčala	t͡s v iː t͡ʃ a l a
cvičba	t͡s v i d͡ʒ b a
cvikiel	t͡s v i k ɪ̯ e l
cvikla	t͡s v i k l a
cviklička	t͡s v i k ʎ i t͡ʃ k a
cviklový	t͡s v i k l ɔ v iː
cvikly	t͡s v i k l i
čvíkota	t͡ʃ v iː k ɔ t a
Cvinček	t͡s v i n t͡ʃ e k
cyklámen	t͡s i k l aː m e n
cyklámene	t͡s i k l aː m e ɲ e
cyklámenmi	t͡s i k l aː m e n m i
cyklámenoch	t͡s i k l aː m e n ɔ x
cyklámenom	t͡s i k l aː m e n ɔ m
cyklámenov	t͡s i k l aː m e n ɔ v
cyklámenový	t͡s i k l aː m e n ɔ v iː
cyklámenu	t͡s i k l aː m e n u
cyklámeny	t͡s i k l aː m e n i
cyklickosť	t͡s i k ʎ i t͡s k ɔ s c
cyklický	t͡s i k ʎ i t͡s k iː
cyklón	t͡s i k l ɔː n
cynickosť	t͡s i ɲ i t͡s k ɔ s c
cynicky	t͡s i ɲ i t͡s k i
cynický	t͡s i ɲ i t͡s k iː
cynizmus	t͡s i ɲ i z m u s
cyperský	t͡s i p e r s k iː
Cypre	t͡s i p r e
Cyprián	t͡s i p r i aː n
Cypris	t͡s i p r i s
cypriš	t͡s i p r i ʃ
cypriša	t͡s i p r i ʃ a
Cyprom	t͡s i p r ɔ m
Cypru	t͡s i p r u
Cyprus	t͡s i p r u s
cyprus	t͡s i p r u s
Cyril	t͡s i r i l
cysta	t͡s i s t a
cytológia	t͡s i t ɔ l ɔː ɡ i a
cytologický	t͡s i t ɔ l ɔ ɡ i t͡s k iː
cytoplazma	t͡s i t ɔ p l a z m a
d	t
Ď	ɟ
ď	ɟ
dabing	d a b i n k
dabovať	d a b ɔ v a c
dabuje	d a b u j e
dabujem	d a b u j e m
dabujeme	d a b u j e m e
dabuješ	d a b u j e ʃ
dabujete	d a b u j e c e
dabujú	d a b u j uː
dača	d a t͡ʃ a
Ďačovská	ɟ a t͡ʃ ɔ v s k aː
Ďačovský	ɟ a t͡ʃ ɔ v s k iː
dadaizmus	d a d a i z m u s
Ďaďo	ɟ a ɟ ɔ
dagerotyp	d a ɡ e r ɔ t i p
Dagmara	d a ɡ m a r a
daj	d a j
dajme	d a j m e
dajte	d a j c e
Dakar	d a k a r
ďakoval	ɟ a k ɔ v a l
ďakovala	ɟ a k ɔ v a l a
ďakovali	ɟ a k ɔ v a ʎ i
ďakovalo	ɟ a k ɔ v a l ɔ
ďakovať	ɟ a k ɔ v a c
ďakuje	ɟ a k u j e
ďakujem	ɟ a k u j e m
ďakujeme	ɟ a k u j e m e
ďakuješ	ɟ a k u j e ʃ
ďakujete	ɟ a k u j e c e
ďakujú	ɟ a k u j uː
ďakujúci	ɟ a k u j uː t͡s i
ďalekohľad	ɟ a ʎ e k ɔ ɦ ʎ a t
ďalekopis	ɟ a ʎ e k ɔ p i s
ďalekopisný	ɟ a ʎ e k ɔ p i s n iː
ďalekozrakosť	ɟ a ʎ e k ɔ z r a k ɔ s c
ďaleký	ɟ a ʎ e k iː
Dalibor	d a ʎ i b ɔ r
Dalimil	d a l i m i ɫ
Dalmácia	d a l m aː t͡s i a
ďalší	ɟ a l ʃ iː
dáma	d aː m a
Damask	d a m a s k
dámsky	d aː m s k i
daň	d a ɲ
Dán	d aː n
Dana	d a n a
Dancák	d a n t͡s aː k
Dančiak	d a n t͡ʃ ɪ̯ a k
dánčina	d aː n t͡ʃ i n a
Dančo	d a n t͡ʃ ɔ
dandy	d a n d i
dani	d a ɲ i
Danica	d a ɲ i t͡s a
Daniel	d a ɲ ɪ̯ e l
daniel	d a ɲ ɪ̯ e l
Daniela	d a ɲ i e l a
danielča	d a ɲ ɪ̯ e l t͡ʃ a
danielčaťa	d a ɲ ɪ̯ e l t͡ʃ a c a
danielí	d a ɲ ɪ̯ e ʎ iː
danielica	d a ɲ ɪ̯ e ʎ i t͡s a
Danielka	d a ɲ ɪ̯ e l k a
Danielok	d a ɲ ɪ̯ e l ɔ k
Danis	d a ɲ i s
Daniš	d a ɲ i ʃ
Daniška	d a ɲ i ʃ k a
Danka	d a n k a
Dánka	d aː n k a
Danko	d a n k ɔ
Dano	d a n ɔ
Daňo	d a ɲ ɔ
daňou	d a ɲ ɔ v
daňový	d a ɲ ɔ v iː
Dánsko	d aː n s k ɔ
dánsky	d aː n s k i
Danuta	d a n u t a
dar	d a r
darček	d a r t͡ʃ e k
darčekový	d a r t͡ʃ e k ɔ v iː
Dardanely	d a r d a n ɛ l i
dare	d a r e
darebáčka	d a r e b aː t͡ʃ k a
darebák	d a r e b aː k
Darina	d a r i n a
dariť	d a r i c
Dárius	d aː r i u s
Darmovzal	d a r m ɔ v z a l
darmštátium	d a r m ʃ t a t ɪ j ʊ m
daromne	d a r ɔ m ɲ e
daromný	d a r ɔ m n iː
daroval	d a r ɔ v a l
darovala	d a r ɔ v a l a
darovanie	d a r ɔ v a ɲ ɪ̯ e
darovaný	d a r ɔ v a n iː
darovať	d a r ɔ v a c
daruj	d a r u j
daruje	d a r u j e
darujem	d a r u j e m
darujeme	d a r u j e m e
daruješ	d a r u j e ʃ
darujete	d a r u j e c e
darujme	d a r u j m e
darujte	d a r u j c e
darujú	d a r u j uː
darvinista	d a r v i n i s t a
darvinistický	d a r v i ɲ i s c i t͡s k iː
darvinistka	d a r v i n i s t k a
darvinizmus	d a r v i n i z m u s
darvinovský	d a r v i n ɔ v s k iː
Dáša	d aː ʃ a
ďasien	ɟ a s ɪ̯ e n
ďasna	ɟ a s n a
ďasná	ɟ a s n aː
ďasnách	ɟ a s n aː x
ďasnám	ɟ a s n aː m
ďasnami	ɟ a s n a m i
ďasne	ɟ a s ɲ e
