'ch	χ
bioddiraddio	b i o ð ɪ r a ð j ɔ
bioleg	b i ɔ l ɛ ɡ
biolegol	b ɪ ɔ l ɛ ɡ ɔ l
biolegwyr	b ɪ ɔ l ɛ ɡ w ɨ̞ r
biolegydd	b ɪ ɔ l ɛ ɡ ɨ̞ ð
bipa	b ɪ p a
bipes	b ɪ p ɛ s
bipi	b ɪ p i
bipo	b ɪ p ɔ
bisged	b ɪ s ɡ a d
bisged	b ɪ s ɡ ɛ d
bisgedi	b ɪ s k e d i
bismwth	b ɪ s m ʊ θ
biswail	b ɪ s w a i̯ l
biti	b ɪ t ɪ
biwi	b ɪ u̯ ɪ
biws	b ɪ u̯ s
biwïaid	b ɪ u̯ iː a i̯ d
biwïaid	b ɪ u̯ iː ɛ d
bla	b l aː
blacmel	b l a k m ɛ l
blacmelio	b l a k m ɛ l j ɔ
blacmêl	b l a k m eː l
bladur	b l a d ɨ̞ r
blaen	b l aː ɨ̯ n
blaenaf	b l e ɨ̯ n a
blaenaf	b l e ɨ̯ n a v
blaenau	b l e ɨ̯ n a
blaenau	b l e ɨ̯ n a ɨ̯
blaenau	b l e ɨ̯ n ɛ
blaenddodi	b l e ɨ̯ n ð ɔ d i
blaenddodiad	b l e ɨ̯ n ð ɔ d j a d
blaenfain	b l e ɨ̯ n v a i̯ n
blaengar	b l e ɨ̯ ŋ ɡ a r
blaenllym	b l e ɨ̯ n ɬ ɨ̞ m
blaenol	b l e ɨ̯ n ɔ l
blaenor	b l e ɨ̯ n ɔ r
blaenores	b l e ɨ̯ n ɔ r ɛ s
blaenori	b l e ɨ̯ n ɔ r ɪ
blaenoriaeth	b l e ɨ̯ n ɔ r j a ɨ̯ θ
blaenoriaeth	b l e ɨ̯ n ɔ r j ɛ θ
blaenoriaethau	b l e ɨ̯ n ɔ r j e ɨ̯ θ a
blaenoriaethau	b l e ɨ̯ n ɔ r j e ɨ̯ θ a ɨ̯
blaenoriaethau	b l e ɨ̯ n ɔ r j e ɨ̯ θ ɛ
blaenoriaid	b l e ɨ̯ n ɔ r j a i̯ d
blaenoriaid	b l e ɨ̯ n ɔ r j ɛ d
blaenorol	b l e ɨ̯ n ɔ r ɔ l
blaenu	b l e ɨ̯ n ɨ
blaenyrru	b l e ɨ̯ n ə r ɨ̞
blagur	b l a ɡ ɨ̞ r
blaguriad	b l a ɡ ɨ̞ r j a d
blaguro	b l a ɡ ɨ̞ r ɔ
blaguryn	b l a ɡ ɨ̞ r ɨ̞ n
blaid	b l a i̯ d
blaidd	b l a i̯ ð
blanc	b l a ŋ k
blanced	b l a ŋ k a d
blanced	b l a ŋ k ɛ d
blancedi	b l a ŋ k ɛ d ɪ
blaned	b l a n ɛ d
blas	b l aː s
blasau	b l a s a
blasau	b l a s a ɨ̯
blasau	b l a s ɛ
blasu	b l a s ɨ
blasus	b l a s ɨ̞ s
blawd	b l a u̯ d
blawr	b l a u̯ r
ble	b l eː
bleiddiaid	b l e i̯ ð j a i̯ d
bleiddiaid	b l e i̯ ð j ɛ d
bleiddiau	b l e i̯ ð j a
bleiddiau	b l e i̯ ð j a ɨ̯
bleiddiau	b l e i̯ ð j ɛ
bleidiol	b l e i̯ d j ɔ l
bleidleisio	b l e i̯ d l e i̯ ʃ ɔ
blentynnaidd	b l ɛ n t ə n a i̯ ð
blerio	b l ɛ r j ɔ
blew	b l eː u̯
blewog	b l ɛ u̯ ɔ ɡ
blewyn	b l ɛ u̯ ɨ̞ n
blif	b l iː v
blin	b l iː n
blinder	b l ɪ n d a r
blinder	b l ɪ n d ɛ r
blinderog	b l ɪ n d ɛ r ɔ ɡ
blinedig	b l ɪ n ɛ d ɪ ɡ
blingo	b l ɪ ŋ ɔ
blino	b l ɪ n ɔ
blith	b l iː θ
blithog	b l ɪ θ ɔ ɡ
blocyn	b l ɔ k ɨ̞ n
blodau	b l ɔ d a
blodau	b l ɔ d a ɨ̯
blodau	b l ɔ d ɛ
blodeuad	b l ɔ d e ɨ̯ a d
blodeulen	b l ɔ d e ɨ̯ l ɛ n
blodeuo	b l ɔ d e ɨ̯ ɔ
blodeuyn	b l ɔ d e ɨ̯ ɨ̞ n
blodfresych	b l ɔ d v r ɛ s ɨ̞ χ
blodfresychen	b l ɔ d v r ɛ s ə χ a n
blodfresychen	b l ɔ d v r ɛ s ə χ ɛ n
blodiog	b l ɔ d j ɔ ɡ
blodyn	b l ɔ d ɨ̞ n
bloedd	b l oː ɨ̯ ð
bloeddio	b l ɔ ɨ̯ ð j ɔ
bloesg	b l oː ɨ̯ s ɡ
bloesgedd	b l ɔ ɨ̯ s ɡ ɛ ð
bloesgi	b l ɔ ɨ̯ s ɡ ɪ
bloesgni	b l ɔ ɨ̯ s ɡ n ɪ
blog	b l ɔ ɡ
blogiau	b l ɔ ɡ j a
blogiau	b l ɔ ɡ j a ɨ̯
blogiau	b l ɔ ɡ j ɛ
blogio	b l ɔ ɡ j ɔ
blogiwr	b l ɔ ɡ j ʊ r
blogwyr	b l ɔ ɡ w ɨ̞ r
bloneg	b l ɔ n ɛ ɡ
blorai	b l ɔ r a i̯
bloreion	b l ɔ r e i̯ ɔ n
blot	b l ɔ t
blotio	b l ɔ t j ɔ
blotyn	b l ɔ t ɨ̞ n
blows	b l o u̯ s
blowsys	b l o u̯ s ɨ̞ s
blu	b l ɨː
blwch	b l uː χ
blwydd	b l uː ɨ̯ ð
blwyddi	b l ʊ ɨ̯ ð ɪ
blwyddyn	b l ʊ ɨ̯ ð ɨ̞ n
blychau	b l ə χ a ɨ̯
blymio	b l ə m j ɔ
blynedd	b l ə n a ð
blynedd	b l ə n ɛ ð
blynyddoedd	b l ə n ə ð ɔ ɨ̯ ð
blysig	b l ə s ɪ ɡ
blysio	b l ə s j ɔ
blysio	b l ə ʃ ɔ
blêr	b l eː r
bob	b oː b
bobl	b ɔ b l
bobl	b ɔ b ɔ l
bobloedd	b ɔ b l ɔ ɨ̯ ð
boch	b oː χ
bochdew	b ɔ χ d ɛ u̯
bochgoch	b ɔ χ ɡ ɔ χ
bochlwyd	b ɔ χ l ʊ ɨ̯ d
bocs	b ɔ k s
bocsio	b ɔ k ʃ ɔ
bocsiwr	b ɔ k ʃ ʊ r
bocswyr	b ɔ k s w ɨ̞ r
bod	b oː d
bodd	b oː ð
boddi	b ɔ ð i
bodegol	n ɔ d ɛ ɡ ɔ l
bodiau	b ɔ d j a
bodiau	b ɔ d j a ɨ̯
bodiau	b ɔ d j ɛ
bodlon	b ɔ d l ɔ n
bodol	b ɔ d ɔ l
bodoli	b ɔ d ɔ l ɪ
boed	b oː ɨ̯ d
boenen	b ɔ ɨ̯ n ɛ n
boeni	b ɔ ɨ̯ n ɨ
boeth	b oː ɨ̯ θ
boethach	b ɔ i̯ θ a χ
bogail	b ɔ ɡ a i̯ l
boglynnu	b ɔ ɡ l ə n ɨ̞
bohriwm	b ɔ r j ʊ m
boi	b ɔ i̯
bol	b ɔ l
bola	b ɔ l a
bolgi	b ɔ l ɡ i
bolrwym	b ɔ l r u ɨ̯ m
bolrwymiad	b ɔ l r ʊ ɨ̯ m j a d
bolrwymo	b ɔ l r ʊ ɨ̯ m ɔ
bolwen	b ɔ l w ɛ n
bonclust	b ɔ ŋ k l ɨ̞ s d
bonclustiad	b ɔ ŋ k l ɨ̞ s d j a d
bonclustio	b ɔ ŋ k l ɨ̞ s d j ɔ
boncyff	b ɔ ŋ k ɨ̞ f
bondigrybwyll	b ɔ n d ɪ ɡ r ə b ʊ ɨ̯ ɬ
bondo	b ɔ n d ɔ
boneddigaidd	b ɔ n ɛ ð ɪ ɡ a i̯ ð
boneddiges	b ɔ n ɛ ð ɪ ɡ ɛ s
boneddigesau	b ɔ n ɛ ð ɪ ɡ ɛ s a
boneddigesau	b ɔ n ɛ ð ɪ ɡ ɛ s a ɨ̯
boneddigesau	b ɔ n ɛ ð ɪ ɡ ɛ s ɛ
boneddigion	b ɔ n ɛ ð ɪ ɡ j ɔ n
bongorff	b ɔ ŋ ɡ ɔ r f
bonheddig	b ɔ n h ɛ ð ɪ ɡ
bontinog	b ɔ n t ɪ n ɔ ɡ
bop	b ɔ p
bopa	b ɔ p a
boptai	b ɔ p t a i̯
bopty	b ɔ p t ɨ
borau	b ɔ r a ɨ̯
bord	b ɔ r d
bordydd	b ɔ r d ɨ̞ ð
bore	b ɔ r a
bore	b ɔ r ɛ
borebryd	b ɔ r ɛ b r ɨ̞ d
borefwyd	b ɔ r ɛ v u ɨ̯ d
boreubryd	b ɔ r e ɨ̯ b r ɨ̞ d
boreufwyd	b ɔ r e ɨ̯ v u ɨ̯ d
boron	b ɔ r ɔ n
bosib	b ɔ s ɪ b
bost	b ɔ s t
bostio	b ɔ s d j ɔ
botel	b ɔ t a l
botel	b ɔ t ɛ l
both	b oː θ
bothau	b ɔ θ a
bothau	b ɔ θ a ɨ̯
bothau	b ɔ θ ɛ
bowlen	b o u̯ l ɛ n
bowlio	b ɔ u̯ l j ɔ
brac	b r a k
bract	b r a k t
brad	b r aː d
bradu	b r a d ɨ̞
braen	b r aː ɨ̯ n
braenu	b r e i̯ n i
braenu	b r e ɨ̯ n ɨ̞
braf	b r aː v
brag	b r aː ɡ
bragod	b r a ɡ ɔ d
bragu	b r a ɡ ɪ
bragur	b r a ɡ ɨ̞ r
braich	b r a i̯ χ
braidd	b r a i̯ ð
brain	b r a i̯ n
braint	b r a i̯ n t
braith	b r a i̯ θ
bras	b r aː s
brasamcanu	b r a s a m k a n ɨ̞
brasgamu	b r a s ɡ a m ɨ̞
braslun	b r a s l ɨ̞ n
brasluniad	b r a s l ɨ̞ n j a d
braslunio	b r a s l ɨ̞ n j ɔ
brasluniwr	b r a s l ɨ̞ n j ʊ r
braster	b r a s d ɛ r
brasterog	b r a s d ɛ r ɔ ɡ
brat	b r a t
brath	b r aː θ
brathog	b r a θ ɔ ɡ
brathu	b r a θ ɨ̞
brau	b r a ɨ̯
braw	b r aː u̯
brawd	b r a u̯ d
brawddeg	b r a u̯ ð ɛ ɡ
brawiau	b r a u̯ j a
brawiau	b r a u̯ j a ɨ̯
brawiau	b r a u̯ j ɛ
brawychdod	b r a u̯ ə χ d ɔ d
brawychiad	b r a u̯ ə χ j a d
brawychiadau	b r a u̯ ə χ j a d a
brawychiadau	b r a u̯ ə χ j a d a ɨ̯
brawychiadau	b r a u̯ ə χ j a d ɛ
brawychiaeth	b r a u̯ ə χ j a ɨ̯ θ
brawychiaeth	b r a u̯ ə χ j ɛ θ
brawychus	b r a u̯ ə χ ɨ̞ s
brawychwr	b r a u̯ ə χ ʊ r
brawychwyr	b r a u̯ ə χ w ɨ̞ r
bre	b r eː
brech	b r eː χ
brechdan	b r ɛ χ d a n
brechlyn	b r ɛ χ ɬ ɨ̞ n
brechu	b r ɛ χ ɨ̞
brecwast	b r ɛ k w a s t
brecwasta	b r ɛ k w a s t a
brecáu	b r ɛ k aː ɨ̯
bref	b r eː v
brefu	b r ɛ v ɨ̞
breib	b r e i̯ b
breichiau	b r e i̯ χ j a
breichiau	b r e i̯ χ j a ɨ̯
breichiau	b r e i̯ χ j ɛ
breifat	b r e i̯ v a t
breinio	b r e i̯ n j ɔ
breinlen	b r e i̯ n l ɛ n
brelwg	b r ɛ l ʊ ɡ
brenhines	b r ɛ n h ɪ n a s
brenhines	b r ɛ n h ɪ n ɛ s
brenhinoedd	b r ɛ n h ɪ n ɔ ɨ̯ ð
brenhinol	b r ɛ n h ɪ n ɔ l
brenin	b r ɛ n ɪ n
breninesau	b r ɛ n ɪ n ɛ s a
breninesau	b r ɛ n ɪ n ɛ s a ɨ̯
breninesau	b r ɛ n ɪ n ɛ s ɛ
brest	b r ɛ s d
breswyl	b r ɛ s ʊ ɨ̯ l
bresych	b r ɛ s ɨ̞ χ
bresychen	b r ɛ s ə χ a n
bresychen	b r ɛ s ə χ ɛ n
brethyn	b r ɛ θ ɨ̞ n
breuan	b r e ɨ̯ a n
breuddwyd	b r e ɨ̯ ð ʊ ɨ̯ d
breuddwydio	b r e ɨ̯ ð ʊ ɨ̯ d j ɔ
breuddwydion	b r e ɨ̯ ð ʊ ɨ̯ d j ɔ n
breuwydd	b r ɛ ɨ̯ w ɨ̞ ð
bri	b r iː
briallen	b r j a ɬ ɛ n
briallen	b r ɪ a ɬ ɛ n
briallu	b r j a ɬ ɨ̞
briallu	b r ɪ a ɬ ɨ̞
bric	b r ɪ k
briciau	b r i k j a
briciau	b r i k j a ɨ̯
briciau	b r i k j ɛ
brics	b r ɪ k s
bricsen	b r ɪ k s a n
bricsen	b r ɪ k s ɛ n
bricyll	b r ɪ k ɨ̞ ɬ
bricyllen	b r ɪ k ə ɬ ɛ n
brid	b r iː d
bridge	b r ɪ d͡ʒ
bridio	b r ɪ d j ɔ
brif	b r iː v
brifddinas	b r iː v ð ɪ n a s
brifddinas	b r ɪ v ð ɪ n a s
brifo	b r ɪ v ɔ
brig	b r iː ɡ
brigell	b r ɪ ɡ ɛ ɬ
briger	b r ɪ ɡ a r
briger	b r ɪ ɡ ɛ r
brigerben	b r ɪ ɡ ɛ r b ɛ n
brigerog	b r ɪ ɡ ɛ r ɔ ɡ
brigâd	b r i ɡ aː d
briod	b r i ɔ d
briodas	b r j ɔ d a s
briodas	b r ɪ ɔ d a s
briodi	b r i ɔ d i
brith	b r iː θ
brithddu	b r ɪ θ ð ɨ̞
britheg	b r ɪ θ ɛ ɡ
brithion	b r ɪ θ j ɔ n
briw	b r ɪ u̯
briweg	b r ɪ u̯ a ɡ
briweg	b r ɪ u̯ ɛ ɡ
briwell	b r ɪ u̯ ɛ ɬ
briwgig	b r ɪ u̯ ɡ ɪ ɡ
briwio	b r ɪ u̯ j ɔ
briwo	b r ɪ u̯ ɔ
briwydd	b r ɪ w ɨ̞ ð
bro	b r oː
broblem	b r ɔ b l a m
broblem	b r ɔ b l ɛ m
broblemau	b r ɔ b l ɛ m a
broblemau	b r ɔ b l ɛ m a ɨ̯
broblemau	b r ɔ b l ɛ m ɛ
broc	b r ɔ k
broch	b r oː χ
brochell	b r ɔ χ ɛ ɬ
brochion	b r ɔ χ j ɔ n
brochod	b r ɔ χ ɔ d
brochus	b r ɔ χ ɨ̞ s
brocoli	b r ɔ k ɔ l i
brodyr	b r ɔ d ɨ̞ r
broga	b r ɔ ɡ a
brol	b r oː l
brolio	b r ɔ l j ɔ
bromid	b r ɔ m ɪ d
bromin	b r ɔ m ɪ n
bron	b r ɔ n
brongoch	b r ɔ ŋ ɡ ɔ χ
bronlas	b r ɔ n l a s
bronleision	b r ɔ n l e i̯ ʃ ɔ n
bronnau	b r ɔ n a
bronnau	b r ɔ n a ɨ̯
bronrhuddyn	b r ɔ n r̥ ɨ̞ ð ɨ̞ n
bronwen	b r ɔ n w ɛ n
bronwyn	b r ɔ n w ɨ̞ n
brotest	b r ɔ t ɛ s t
browlan	b r o u̯ l a n
brown	b r o u̯ n
brwd	b r uː d
brwdfrydedd	b r ʊ d v r ə d a ð
brwdfrydedd	b r ʊ d v r ə d ɛ ð
brwmstan	b r ʊ m s d a n
brwnt	b r ʊ n t
brws	b r ʊ ʃ
brwsh	b r ʊ ʃ
brwshys	b r ʊ ʃ ɨ̞ s
brwsiau	b r ʊ ʃ a
brwsiau	b r ʊ ʃ a ɨ̯
brwsiau	b r ʊ ʃ ɛ
brwsio	b r ʊ ʃ ɔ
brwsioch	b r ʊ ʃ ɔ χ
brwsiodd	b r ʊ ʃ ɔ ð
brwsion	b r ʊ ʃ ɔ n
brwsys	b r ʊ ʃ ɨ̞ s
brwydr	b r ʊ ɨ̯ d r
brwydrau	b r ʊ ɨ̯ d r a
brwydrau	b r ʊ ɨ̯ d r a ɨ̯
brwydrau	b r ʊ ɨ̯ d r ɛ
brwydro	b r ʊ ɨ̯ d r ɔ
brwydrwr	b r ʊ ɨ̯ d r ʊ r
brwydrwyr	b r ʊ ɨ̯ d r w ɨ̞ r
brwyn	b r uː ɨ̯ n
brwyna	b r ʊ ɨ̯ n a
brwynen	b r ʊ ɨ̯ n a n
brwynen	b r ʊ ɨ̯ n ɛ n
brwysg	b r uː ɨ̯ s ɡ
brych	b r ɨː χ
bryd	b r ɨː d
brydferth	b r ə d v ɛ θ
bryf	b r ɨː v
bryfed	b r ə v a d
bryfed	b r ə v ɛ d
bryn	b r ɨ̞ n
bryna	b r ə n a
bryngaer	b r ə ŋ ɡ a ɨ̯ r
bryngaer	b r ɨ̞ ŋ ɡ a ɨ̯ r
bryniau	b r ə n j a
bryniau	b r ə n j a ɨ̯
bryniau	b r ə n j ɛ
brynoch	b r ə n ɔ χ
brynodd	b r ə n ɔ ð
brynon	b r ə n ɔ ð
brynu	b r ə n ɨ
bryoffyt	b r ɨː ɔ f ɨ̞ t
brys	b r ɨː s
brysio	b r ə ʃ ɔ
brysur	b r ə s ɨ̞ r
brân	b r aː n
brëyr	b r eː ɨ̞ r
bu	b ɨː
buail	b ɨ a i̯ l
bual	b ɨ̞ a l
buan	b ɨː a n
buarth	b ɨː a r θ
bucheddnod	b ɨ̞ χ ɛ ð n ɔ d
bucheddol	b ɨ̞ χ ɛ ð ɔ l
buchfrechiad	b ɨ χ v r ɛ χ j a d
buchfrechu	b ɨ χ v r ɛ χ ɨ̞
buchfrechwr	b ɨ χ v r ɛ χ u r
buchfrechydd	b ɨ χ v r ɛ χ ɨ̞ ð
budd	b ɨː ð
buddai	b ɨ̞ ð a i̯
buddion	b ɨ̞ ð j ɔ n
buddsoddi	b ɨ̞ ð s ɔ ð ɪ
buddug	b ɨ̞ ð ɨ̞ ɡ
buddugol	b ɨ̞ ð ɨ̞ ɡ ɔ l
buddugoliaeth	b ɨ̞ ð ɨ̞ ɡ ɔ l j a ɨ̯ θ
buddugoliaeth	b ɨ̞ ð ɨ̞ ɡ ɔ l j ɛ θ
buddugwr	b ɨ̞ ð ɨ̞ ɡ ʊ r
buddugwyr	b ɨ̞ ð ɨ̞ ɡ w ɨ̞ r
budr	b ɨ̞ d ɨ̞ r
budreddi	b ɨ̞ d r ɛ ð i
bues	b ɨ ɛ s
buest	b ɨ ɛ s t
buest	b ɨː ɛ s t
bufil	b ɨ̞ v ɪ l
bufrechu	b ɨ v r ɛ χ ɨ̞
bugail	b ɪ ɡ a i̯ l
bugail	b ɪ ɡ ɛ l
bugeilio	b ɨ̞ ɡ e i̯ l j ɔ
buladd	b ɨ̞ l a ð
bum	b ɨ̞ m
bumdegau	b ɨ̞ m d ɛ ɡ a
bunnau	b ɨ̞ n a
bunnau	b ɨ̞ n a ɨ̯
bunnau	b ɨ̞ n ɛ
bunt	b ɨ̞ n t
buoch	b ɨ ɔ χ
buodd	b ɨ ɔ ð
buon	b ɨ ɔ n
bur	b ɨː r
burgyn	b ɨ̞ r ɡ ɨ̞ n
busnes	b ɨ̞ s n a s
busnes	b ɨ̞ s n ɛ s
bustach	b ɨ̞ s t a χ
bustachu	b ɨ̞ s d a χ ɨ̞
buwch	b ɨ̞ u̯ χ
bwa	b uː a
bwbach	b ʊ b a χ
bwced	b ʊ k a d
bwced	b ʊ k ɛ d
bwch	b uː χ
bwci	b ʊ k ɪ
bwffe	b ʊ f ɛ
bwg	b uː ɡ
bwgan	b ʊ ɡ a n
bwl	b ʊ l
bwlch	b ʊ l χ
bwletin	b ʊ l ɛ t ɪ n
bwletinau	b ʊ l ɛ t ɪ n a
bwletinau	b ʊ l ɛ t ɪ n a ɨ̯
bwletinau	b ʊ l ɛ t ɪ n ɛ
bwmpen	b ʊ m p a n
bwmpen	b ʊ m p ɛ n
bwn	b ʊ n
bwnglera	b ʊ ŋ ɡ l eː r a
bwnglera	b ʊ ŋ ɡ l ɛ r a
bwnsiaid	b ʊ n ʃ a d
bwnsiaid	b ʊ n ʃ a i̯ d
bwnsiaid	b ʊ n ʃ ɛ d
bwrdd	b ʊ r ð
bwriadol	b ʊ r j a d ɔ l
bwriadu	b ʊ r j a d ɨ̞
bwrlwm	b ʊ r l ʊ m
bwrn	b ʊ r n
bwrw	b ʊ r ʊ
bws	b ʊ s
bwth	b uː θ
bwthyn	b ʊ θ ɨ̞ n
bwyd	b uː ɨ̯ d
bwydlen	b ʊ ɨ̯ d l ɛ n
bwydo	b ʊ ɨ̯ d ɔ
bwydwch	b ʊ ɨ̯ d ʊ χ
bwydydd	b ʊ ɨ̯ d ɨ̞ ð
bwyeill	b ʊ ɨ̯ e i̯ ɬ
bwyell	b ʊ ɨ̯ a ɬ
bwyell	b ʊ ɨ̯ ɛ ɬ
bwyelli	b ʊ ɨ̯ ɛ ɬ ɪ
bwyll	b uː ɨ̯ ɬ
bwys	b uː ɨ̯ s
bwysig	b ʊ ɨ̯ s ɪ ɡ
bwyst	b ʊ ɨ̯ s d
bwyta	b ə t a
bwyta	b ʊ ɨ̯ t a
bwytadwy	b ʊ ɨ̯ t a d ʊ ɨ̯
bwytais	b u ɨ̯ t a i̯ s
bwytais	b ə t ɛ s
bwytaist	b u ɨ̯ t a i̯ s d
bwytaist	b ə t ɛ s d
bwyti	b ʊ ɨ̯ t ɪ
bwytoch	b ə t ɔ χ
bwytoch	b ʊ ɨ̯ t ɔ χ
bwytodd	b ə t ɔ ð
bwytodd	b ʊ ɨ̯ t ɔ ð
bwyton	b ə t ɔ n
bwyton	b ʊ ɨ̯ t ɔ n
bwytwch	b ʊ ɨ̯ t ʊ χ
bwyty	b ʊ ɨ̯ t ɨ̞
bychain	b ə χ a i̯ n
bychain	b ə χ ɛ n
bychan	b ə χ a n
bychanu	b ə χ a n ɨ̞
bychod	b ə χ ɔ d
byd	b ɨː d
bydd	b ɨː ð
bydda	b ə ð a
byddai	b ə ð a
byddai	b ə ð a i̯
byddai	b ə ð ɛ
byddan	b ə ð a n
byddar	b ə ð a r
byddarol	b ə ð a r ɔ l
byddaru	b ə ð a r ɨ̞
bydded	b ə ð d ɛ d
byddi	b ə ð ɪ
byddin	b ə ð ɪ n
byddwch	b ə ð ʊ χ
byddwn	b ə ð ʊ n
bydysawd	b ə d ə s a u̯ d
bygwl	b ə ɡ ʊ l
bygwth	b ə ɡ ʊ θ
bygythiol	b ə ɡ ə θ j ɔ l
bylchog	b ə l χ ɔ ɡ
byliau	b ə l j a
byliau	b ə l j a ɨ̯
byliau	b ə l j ɛ
byngalo	b ə ŋ ɡ a l ɔ
bynnag	b ə n a ɡ
bynnen	b ə n ɛ n
byns	b ə n s
bynsen	b ə n s a n
bynsen	b ə n s ɛ n
byr	b ɨ̞ r
byrbryd	b ə r b r ɨ̞ d
byrddau	b ə r ð a
byrddau	b ə r ð a ɨ̯
byrddau	b ə r ð ɛ
byrddydd	b ə r ð ɨ̞ ð
byrdra	b ə r d r a
byrgoes	b ə r ɡ ɔ ɨ̯ s
byrhau	b ə r h a ɨ̯
byrhoedlog	b ɨ̞ r h oː ɨ̯ d l ɔ ɡ
byrlymau	b ə r l ə m a ɨ̯
byrlymu	b ə r l ə m ɨ̞
byrraf	b ə r a
byrraf	b ə r a v
byrstio	b ə r s d j ɔ
bys	b ɨː s
bysbrint	b ə s b r ɪ n t
bysedd	b ə s a ð
bysedd	b ə s ɛ ð
bysell	b ə s ɛ ɬ
bysellfwrdd	b ə s ɛ ɬ v ʊ r ð
bysgod	b ə s ɡ ɔ d
bysgodyn	b ə s ɡ ɔ d ɨ̯ n
bysgota	b ə s ɡ ɔ t a
bysys	b ə s ɨ̞ s
byth	b ɨː θ
byth	b ɨ̞ θ
bythol	b ə θ ɔ l
bythynnod	b ə θ ə n ɔ d
byw	b ɨ̞ u̯
byw	b ɪ u̯
bywgraffiadur	b ɨ u̯ ɡ r a f j a d ɨ̞ r
bywgraffiadur	b ɪ u̯ ɡ r a f j a d ɨ̞ r
bywiocáu	b ɨ̞ u̯ j ɔ k a ɨ̯
bywiog	b ɨ̞ u̯ j ɔ ɡ
bywiogrwydd	b ɨ̞ u̯ j ɔ ɡ r ʊ ɨ̯ ð
bywyd	b ə u̯ ɨ̞ d
bywydeg	b ə u̯ ə d ɛ ɡ
bywyn	b ɨ̞ u̯ ɨ̞ n
bàth	b a θ
bâr	b aː r
bêl	b eː l
bêr	b eː r
bòs	b ɔ s
bôm	b oː m
bôn	b oː n
bônt	b oː n t
bôr	b oː r
bûm	b ɨː m
bŵl	b uː l
bŵt	b uː t
bỳs	b ə s
ca	k aː
cablu	k a b l ɨ̞
cabol	k a b ɔ l
caboledig	k a b ɔ l ɛ d ɪ ɡ
caboli	k a b ɔ l i
cacen	k a k a n
cacen	k a k ɛ n
cacennau	k a k ɛ n a
cacennau	k a k ɛ n a ɨ̯
cacennau	k a k ɛ n ɛ
cach	k aː χ
cacha	k a χ a
cachai	k a χ a i̯
cachai	k a χ ɛ
cachais	k a χ a i̯ s
cachais	k a χ ɛ s
cachan	k a χ a n
cachen	k a χ ɛ n
caches	k a χ ɛ s
cachet	k a χ ɛ t
cachgi	k a χ ɡ ɪ
cachgwn	k a χ ɡ ʊ n
cachi	k a χ ɪ
cachlwyth	k a χ l ʊ ɨ̯ θ
cachu	k a χ ɨ̞
cacs	k a k s
cactws	k a k t ʊ s
cacwn	k a k ʊ n
cacynen	k a k ə n a n
cacynen	k a k ə n ɛ n
cad	k aː d
cadach	k a d a χ
cadair	k a d a i̯ r
cadair	k a d a r
cadair	k a d ɛ r
cadarn	k a d a r n
cadarnhau	k a d a r n h a ɨ̯
cadarnwedd	k a d a r n w ɛ ð
cadd	k aː ð
caddug	k a ð ɨ̞ ɡ
cadechyn	k a d ɛ χ ɨ̞ n
cadeiriau	k a d e i̯ r j a
cadeiriau	k a d e i̯ r j a ɨ̯
cadeiriau	k a d e i̯ r j ɛ
cadeirio	k a d e ɪ̯ r j ɔ
cadeiriol	k a d e i̯ r j ɔ l
cadeirlan	k a d e i̯ r l a n
cader	k a d ɛ r
cader	k aː d ɛ r
cadernid	k a d ɛ r n ɪ d
cadlas	k a d l a s
cadmiwm	k a d m j ʊ m
cadnawes	k a d n a u̯ ɛ s
cadno	k a d n ɔ
cadnöes	k a d n oː ɛ s
cadoediad	k a d ɔ ɨ̯ d j a d
cadr	k a d r
cadrwch	k a d r ʊ χ
cadw	k a d ʊ
cadwch	k a d ʊ χ
cadwyn	k a d ʊ ɨ̯ n
cae	k aː ɨ̯
caeaf	k e ɨ̯ a
caeaf	k e ɨ̯ a v
caeau	k e ɨ̯ a
caeau	k e ɨ̯ a ɨ̯
caeau	k e ɨ̯ ɛ
caed	k aː ɨ̯ d
caeedig	k e ɨ̯ ɛ d ɪ ɡ
caeir	k e ɨ̯ ɪ r
cael	k aː l
cael	k aː ɨ̯ l
caem	k aː ɨ̯ m
caen	k aː ɨ̯ n
caent	k aː ɨ̯ n t
caer	k aː ɨ̯ r
caerau	k e ɨ̯ r a
caerau	k e ɨ̯ r a ɨ̯
caerau	k e ɨ̯ r ɛ
caeriwrch	k e ɨ̯ r j ʊ r χ
caet	k aː ɨ̯ t
caeth	k aː ɨ̯ θ
caeth	k aː θ
caethgludiad	k e ɨ̯ θ ɡ l ɨ̞ d j a d
caethiwed	k e ɨ θ ɪ u̯ ɛ d
caethiwo	k e ɨ θ ɪ u̯ ɔ
caethoch	k e ɨ̯ θ ɔ χ
caethon	k e ɨ̯ θ ɔ n
caethwas	k e ɨ̯ θ w a s
caethwasiaeth	k e ɨ̯ θ w a ʃ a ɨ̯ θ
caethwasiaeth	k e ɨ̯ θ w a ʃ ɛ θ
caethweision	k e ɨ̯ θ w e i̯ ʃ ɔ n
caf	k aː
caf	k aː v
cafas	k a v a s
caffaeledig	k a f e ɨ̯ l ɛ d ɪ ɡ
caffai	k a f a i̯
caffed	k a f ɛ d
caffel	k a f ɛ l
caffent	k a f ɛ n t
caffer	k a f ɛ r
caffi	k a f ɪ
caffis	k a f ɪ s
caffit	k a f ɪ t
cafflo	k a f l ɔ
