־אַטש	a t͡ʃ
אויקען	ɔ ɪ̯ k ə n
אוירינגל	ʊ i ʀ i ŋ ɡ l
אומבאַקאַנט	ʊ m b a k a n t
אומברענגען	ʊ m b ʁ ɛ ŋ ɡ ə n
אומגעזונט	ʊ m ɡ ɛ z ʊ n t
אומגערעכט	ʊ m ɡ ɛ ʀ ɛ x t
אומדריי	ʊ m d ʀ ɛ j
אומוויסנדיג	ʊ m v i s n d i k
אומוועג	ʊ m v ɛ ɡ
אומזיסט	ʊ m z ɪ s t
אומעט	ʊ m ə t
אומפּינקטלעך	ʊ m p ɪ ŋ k t ɫ ə χ
אומפֿרײַנדלעך	ʊ m f ʁ a ɪ̯ n d ɫ ə χ
אומפֿרײַנדלעכע	ʊ m f ʁ a ɪ̯ n d ɫ ə χ ə
אומקום	ʊ m k ʊ m
אומקומעניש	ʊ m k ʊ m ə n ɪ ʃ
אומקערן	ʊ m k ɛ ʁ n̩
און אַזוי ווײַטער	ɨ n ɔ z ɔ ɪ̯ v a t ə ʁ
און אַזוי ווײַטער	ɪ n a z ɔ ɪ̯ v aː t ə ʁ
און אַזוי ווײַטער	ʊ n a z e ɪ̯ v a ɪ̯ t ə ʁ
און אַזוי ווײַטער	ʊ n a z ɔ ɪ̯ v a ɪ̯ t ə ʁ
אונדזער	ʊ n d͡z ə ʁ
אונדזערע	ʊ n d͡z ə ʁ ə
אונטן	ʊ n t n̩
אונטערהאַנדלען	ʊ n t ə ʁ h a n d ɫ ə n
אונטערהינקען	ʊ n t ə ʁ h ɪ ŋ k ə n
אונטערהעלפֿן	ʊ n t ə ʁ h ɛ l f n̩
אונטערוועש	ʊ n t ə ʁ v ɛ ʃ
אונטערן	u n t ə ʁ n
אונטערצינדן	ʊ n t ə ʁ t͡s ɪ n d n̩
אונטערשטעלן	ʊ n t ə ʁ ʃ t ɛ ɫ n̩
אונץ	ʊ n t͡s
אופֿן	e ɪ̯ f n̩
אופֿן	ɔ ɪ̯ f n̩
אוקראַיִניש	ʊ k r a j ɪ n ɪ ʃ
אוקראַיִנע	ʊ k r a j ɪ n ɜ
אוראײַנוווינער	ʊ r a ɪ̯ n v ɔ ɪ̯ n ə r
אורין	ʊ ʁ ɪ n
אורינירן	ʊ ʁ ɪ n ɪ ʁ n̩
אות	ɔ s
אותיות	ɔ ɪ̯ s j ə s
איבופּראָפֿען	i b ʊ p r ɔ f ɛ n
איבעראַל	i b ə ʁ a ɫ
איבערהאַקן	i b ə ʁ h a k ŋ̩
איבערזעצן	i b ə ʁ z ɛ t͡s n̩
איבערלעבן	iː b ɜ r l e ɪ̯ b n̩
איבערלעבן	ɪ b ɜ r l ɛ b n̩
איבערציִען	ɪ b ə ʁ t͡s ɪ ə n
איבערצײַגונג	i b ə ʁ t͡s a ɡ ɨ ŋ ɡ
איבערצײַגונג	iː b ə ʁ t͡s aː ɡ ɪ ŋ ɡ
איבערצײַגונג	ɪ b ə ʁ t͡s a ɪ̯ ɡ ʊ ŋ ɡ
איבערצײַגן	ɪ b ə ʁ t͡s a ɪ̯ ɡ ŋ̩
איבערקוקן	i b ə ʁ k ʊ k ŋ̩
איבערקערן	i b ə ʁ k ɛ ʁ n̩
איבערשפּרײַזן	i b ə ʁ ʃ p ʁ a ɪ̯ z n̩
אידיאָט	ɪ d j ɔ t
אידעע	ɪ d ɛ ə
איז	i z
איטאַליע	ɪ t a ʎ j ə
איטלעך	ɪ t ɫ ə χ
איי	ɛ ɪ̯
אייגן	ɛ ɪ̯ ɡ n̩
אייגנטום	ɛ ɪ ɡ n̩ t ʊ m
איידעם	ɛ ɪ̯ d ə m
אייל	ɛ ɪ̯ ɫ
איילבערט	ɛ ɪ̯ ɫ b ə ʁ t
איילבערט־אייל	ɛ ɪ̯ ɫ b ə ʁ t ɛ ɪ̯ ɫ
איינזאַם	ɛ ɪ n z a m
אייניקל	ɛ ɪ̯ n ɪ k ɫ̩
אייניקלעך	ɛ ɪ̯ n ə k ɫ ə χ
איינס	a ɪ̯ n s
איינס	aː n s
איינס	e ɪ̯ n s
איינס	ɛ ɪ̯ n s
איינפֿאַך	ɛ ɪ̯ n f a χ
אייערלויף	ɛ j ə r l ɔ ɪ̯ f
אייערנעכטן	ɛ ɪ̯ ə ʁ n ɛ x t ə n
אייראָפּע	a ɪ̯ ʁ ɔ p ə
אייראָפּע	e ɪ̯ ʁ ɔ p ə
אייראָפּע	ɛ ɪ̯ ʁ ɔ p ə
אייראָפּעיִש	ɛ ɪ̯ ʁ ɔ p ɛ ɪ ʃ
איך	ɪ χ
איכ׳ל	ɪ χ ɫ̩
אים	ɪ m
אימפּעט	ɪ m p ɛ t
אין גאַנצן	ɪ n ɡ a n t͡s n̩
אין מיטן	ɪ n m ɪ t n̩
אינדזל	ɪ n d͡z ɫ̩
אינדיווידואַליזירט	ɪ n d ɪ v ɪ d ʊ a ɫ ɪ z ɪ ʁ t
אינדיווידואַליזירן	ɪ n d ɪ v ɪ d ʊ a ɫ ɪ z ɪ ʁ n̩
אינדיק	i n d ɪ k
אינטערנאַציאָנאַל	ɪ n t ə ʁ n a t͡s j ɔ n a ɫ
אינטערנאַציאָנאַלער פֿאָנעטישער אַלפֿאַבעט	d ɛ ʁ ɪ n t ə ʁ n a t͡s j ɔ n a ɫ ə ʁ f ɔ n ɛ t ɪ ʃ ə ʁ a ɫ f a b ɛ t
אינטערנעץ	ɪ n t ə ʁ n ɛ t͡s
אינטערעסאַנט	ɪ n t ɛ ʁ ɛ s a n t
אינלאַנד	ɪ n ɫ a n d
אינסעקט	ɪ n s ɛ k t
אינסצענירן	ɪ n s t͡s ə n iː r n̩
אינעווייניק	ɪ n ə v ɛ ɪ̯ n ɪ k
אינפֿאָרמאַציע	ɪ n f ɔ ʁ m a t͡s j ə
איסלאַנד	ɪ s ɫ a n d
איצט	ɪ t͡s t
איראַן	ɪ ʁ a n
איראַק	ɪ ʁ a k
איריס	ɪ r ɪ s
איריסקע	ɪ r ɪ s k ə
אכזריות	a χ z ɔ ʁ j ə s
אליהו	ɛ ʎ j ɔ h u
אליהו הנבֿיא	ɛ ʎ j ɔ h u h a n ɔ v i
אם־ירצה־השם	m ɛ ʁ t ʃ ə m
אם־ירצה־השם	m ɪ ʁ t s ə ʃ ɛ m
אם־ירצה־השם	ɪ m j ɪ ʁ t s ə a ʃ ɛ m
אמת	ɛ m ə s
אסתּר	ɛ s t ə ʁ
אפֿשר	ɛ f ʃ ə ʁ
אתרוג	ɛ s ʁ ə ɡ
אתרוגים	ɛ s ʁ ɔ ɪ̯ ɡ ə m
אײַז	a ɪ̯ z
אײַז	aː z
אײַזהאָקי	a ɪ̯ z h ɔ k ɪ
אײַזהאָקיי	a ɪ̯ z h ɔ k ɛ ɪ̯
אײַזערן	a ɪ̯ z ɜ r n̩
אײַזקרעם	a ɪ̯ z k ʁ ɛ m
אײַטער	a j t ɛ ʀ
אײַך	a ɪ̯ χ
אײַך	aː χ
אײַן	a ɪ̯ n
אײַנברען	a ɪ̯ n b r ɛ n
אײַנגעוויינען	a ɪ̯ n ɡ ə v ɛ ɪ̯ n ə n
אײַנגעמאַכטס	a ɪ̯ n ɡ ə m a χ t͡s
אײַנוווינען	a ɪ̯ n v ɔ ɪ̯ n ə n
אײַנוווינער	a ɪ̯ n v ɔ ɪ̯ n ə r
אײַנמאַכן	a ɪ̯ n m a χ n̩
אײַנפּלאַצירן	a ɪ̯ n p l a t͡s ɪ r n̩
אײַנפּלאַצירן	aː n p l a t͡s ɪ r n̩
אײַנפֿלוס	a j n f l ʊ s
אײַנקויפֿן	a ɪ̯ n k ɔ ɪ̯ f n̩
אײַנשרײַבן	a ɪ̯ n ʃ ʁ a ɪ̯ b n̩
אײַער	a ɪ̯ ə ʁ
באַאײַנפֿלוסונג	b a a ɪ̯ n f ɫ ʊ s ʊ ŋ ɡ
באַאײַנפֿלוסן	b a a ɪ̯ n f ɫ ʊ s n̩
באַגריסן	b a ɡ ʁ ɪ s ə n
באַדויערונג	b a d o ʊ̯ ə ʁ ɪ ŋ ɡ
באַדויערונג	b a d ɔ ɪ̯ ə ʁ ʊ ŋ ɡ
באַדויערונג	b ɔ d ɔ ɪ̯ ə ʁ ɨ ŋ ɡ
באַדויערן	b a d o ʊ̯ ə ʁ n̩
באַדויערן	b a d ɔ ɪ̯ ə ʁ n̩
באַדויערן	b ɔ d ɔ ɪ̯ ə ʁ n̩
באַהאַלט	b a h a ɫ t
באַהאַלטן	b a h a ɫ t n̩
באַהאַלטסט	b a h a ɫ t s t
באַחנט	b a χ ɛ ɪ̯ n t
באַטעמט	b a t a m t
באַטײַט	b a t a ɪ̯ t
באַלאַגאַן	b a ɫ a ɡ a n
באַלאַנגט	b a ɫ a ŋ k t
באַלאַנגען	b a ɫ a ŋ ɡ ə ŋ
באַלד	b a ɫ d
באַלויפֿונג	b a ɫ ɔ ɪ̯ f ʊ ŋ ɡ
באַלזאַם־יאָדלע	b a l z a m j ɔ d l ə
באַליבט	b a ɫ ɪ b t
באַלקאָן	b a ɫ k ɔ n
באַמבוק	b a m b ʊ k
באַמיע	b a m j ə
באַמערקן	b a m ɛ ʁ k n̩
באַן	b a n
באַנאַל	b a n a ɫ
באַנאַל	b a n a ʎ
באַנאַנע	b a n a n ə
באַניצן	b a n ɪ t͡s n̩
באַניצער	b a n ɪ t͡s ɜ r
באַנק	b a ŋ k
באַנקאָמאַט	b a ŋ k ɔ m a t
באַסיין	b a s ɛ ɪ̯ n
באַפֿרײַ	b a f ʁ a ɪ̯
באַפֿרײַט	b a f ʁ a ɪ̯ t
באַפֿרײַען	b a f ʁ a ɪ̯ ə n
באַצאָל	b a t͡s a ɫ
באַקאַנט	b a k a n t
באַקוועם	b a k v ɛ m
באַקום	b a k ʊ m
באַקומט	b a k ʊ m t
באַקומען	b a k ʊ m ə n
באַקומער	b a k ʊ m ə ʁ
באַקומערס	b a k ʊ m ə ʁ s
באַקלאַוואַ	b a k ɫ a v a
באַקן	b a k n̩
באַקסאָדע	b a k s ɔ d ə
באַקענען	b a k ɛ n ə n
באַראַבאַן	b a ʁ a b a n
באַרגיק	b a ʁ ɡ ɪ k
באַריין	b a ʁ ɛ ɪ̯ n
באַריכט	b a r ɪ χ t
באַריער	b a r ɪ j ɛ r
באַרן	b a ʁ n̩
באַשטיין	b a ʃ t a i n
באַשטיין	b a ʃ t e i n
באַשטיין	b a ʃ t e ɪ n
באַשטיין	b a ʃ t æ i n
באַשטעלונג	b a ʃ t ɛ ɫ ʊ ŋ ɡ
באַשטעלט	b a ʃ t ɛ ɫ t
באַשטעלן	b a ʃ t ɛ ɫ n̩
באַשטערנדלען	b a ʃ t ɛ r n d ɫ ə n
באַשיידן	b a ʃ ɛ ɪ̯ d n̩
באַשמוצן	b a ʃ m ʊ t͡s n̩
באַשערט	b a ʃ ɛ ʁ t
באַשרײַבונג	b a ʃ r a ɪ̯ b ʊ n ɡ
באַשרײַבונג	b a ʃ r aː b ɪ n ɡ
באָבע	b ɔ b ə
באָבע־מעשׂה	b ɔ b ə m a ɪ s ə
באָבע־מעשׂה	b ʊ b ə m a n s ə
באָבקע	b ɔ p k ə
באָבקעס	b ɔ p k ə s
באָד	b u d
באָד	b uː d
באָד	b ɔ d
באָדן	b ɔ d n̩
באָדקאָסטום	b ɔ d k ɔ s t ʊ m
באָזשע מוי	b ɔ ʒ ə m ɔ ɪ̯
באָלניצע	b ɔ ɫ n ɪ t s ə
באָלניצע	b ɔ ʎ n ɪ t s ə
באָסניע און הערצעגאָווינע	b ɔ s n j ə ʊ n h ɛ ʁ t͡s ə ɡ ɔ v ɪ n ə
בדחן	b a d χ ə n
בדלות	b ə d a ɫ ə s
בהמה	b ə ɛ ɪ̯ m ə
בודקע	b ʊ d k ə
בוהײַ	b u h a ɪ̯
בוטערבראָד	b ʊ t ə r b r ɔ d
בוטערבראָד	b ʊ t ə r b r ɔ t
בוי	b ɔ ɪ̯
בויט	b ɔ ɪ̯ t
בוים	b ɔ ɪ̯ m
בויען	b ɔ ɪ̯ ə n
בוכוואַץ	b ʊ χ v a t͡s
בוכווייץ	b ʊ χ v ɛ ɪ̯ t͡s
בוכטשע	b ʊ χ t͡ʃ ə
בוליאָן	b ʊ ʎ ɔ n
בוליאָן־קובל	b ʊ ʎ ɔ n k ʊ b ɫ̩
בולקע	b ʊ ɫ k ə
בורבאָן	b ʊ r b ɔ n
בחור	b ɔ χ ə ʁ
בחורווײַז	b ɔ χ ə ʁ v a ɪ̯ z
בחורים	b ɔ χ ɛ ʁ ə m
בחינה	p χ ɪ n ə
בחינם	b ɜ χ ɪ n ɜ m
בטחון	b ə t ɔ χ n̩
ביאַלי	b j a ɫ ɪ
ביאָלאָגיע	b j ɔ ɫ ɔ ɡ j ə
ביבל	b ɪ b ɫ̩
ביבליאָטעק	b ɪ b ʎ j ɔ t ɛ k
ביוראָ	b j ʊ ʁ ɔ
ביז	b ɨ z
ביז	b ɪ z
ביטומען	b ɪ t ʊ m ə n
ביטע	b ɪ t ə
ביטקוין	b ɪ t k ɔ ɪ̯ n
בייגל	b a ɪ̯ ɡ ɫ̩
בייגל	b ɛ ɪ̯ ɡ ɫ̩
ביידע	b ɛ ɪ̯ d ə
בייז	b ɛ ɪ̯ z
ביין	b ɛ ɪ̯ n
ביינדל	b ɛ ɪ̯ n d ɫ̩
ביינער	b ɛ ɪ̯ n ə ʁ
ביליאָן	b ɪ l j ɔ n
ביליק	b ɪ ɫ ɪ k
ביליק	b ɪ ɫ ɪ ɡ
בילן	b ɪ ɫ n̩
בילסט	b ɪ ɫ s t
בילעט	b ɪ ʎ ɛ t
בין	b ɪ n
בינסט	b ɪ n s t
ביס	b ɪ s
ביסל	b ɪ s ɫ̩
ביפֿסטייק	b iː f s t ɛ ɪ̯ k
ביציקל	b ɪ t͡s ɪ k ɫ̩
ביקס	b ɪ k s
ביר	b ɪ ʁ
בירזשע	b ɪ r ʒ ə
בית	b a ɪ̯ s
בית	b ɛ ɪ̯ s
בית המקדש	b ɛ ɪ s h a m ɪ k d ɜ ʃ
בית־הכּסא	b ɛ ɪ̯ s h a k ɪ s ə
בית־עולם	b ɛ ɪ̯ s ɔ ɪ̯ ɫ ə m
בכלל	b ɪ χ ɫ a ɫ
בלאַט	b ɫ a t
בלאָבלאַט־אַקאַציע	b l ɔ b l a t a k a t͡s j ə
בלאָנדזשען	b ɫ ɔ n d͡ʒ ə n
בלאָע יאָדלע	b l ɔ ə j ɔ d l ə
בלוט	b ɫ iː t
בלוט	b ɫ uː t
בלוט	b ɫ ɨ t
בלוט	b ɫ ʊ t
בלוטיק	b ɫ ʊ t ɪ k
בלוטיקט	b ɫ ʊ t ɪ k t
בלוטיקן	b ɫ ʊ t ɪ k n̩
בלוטיקסט	b ɫ ʊ t ɪ k s t
בלוי	b ɫ o ʊ̯
בלוי	b ɫ oː
בלוי	b ɫ ɔ
בלוי	b ɫ ɔ ɪ̯
בלום	b ɫ ʊ m
בליץ	b ʎ ɪ t͡s
בליצבריוו	b ʎ ɪ t͡s b ʁ ɪ v
בליצמיסט	b ʎ ɪ t͡s m ɪ s t
בלעטל	b ɫ ɛ t ɫ̩
בלײַב	b ɫ a ɪ̯ b
בלײַבן	b ɫ a ɪ̯ b n̩
בן־נח	b ɛ n n ɔ ɪ̯ ə χ
בנין	b ɪ n j ə n
בנינים	b ɪ n j ɔ n ɪ m
בעבל	b ɛ b ɫ̩
בעזעם	b ɛ z ə m
בעט	b i t
בעט	b ɛ t
בעט	b ɛ ɪ̯ t
בעטאָן	b ə t ɔ n
בעטטישל	b ɛ t t ɪ ʃ ɫ̩
בעטן	b i t n̩
בעטן	b ɛ t n̩
בעטן	b ɛ ɪ̯ t n̩
בעכער	b ɛ χ ɛ ɾ
בעל־הבית	b a ɫ ə b ɔ s
בעל־תּשובֿה	b a ɫ t͡ʃ ʊ v ə
בעלי־בתּים	b a ɫ ə b a t ə m
בעלמע	b ɛ l m ɛ
בענדין	b ə n d ɪ n
בענזאָל	b ə n z ɔ ɫ
בענזאָל	b ɛ n z ɔ ɫ
בענזין	b ɛ n z i n
בענזין	b ɛ n z ɪ n
בענכל	b ɛ n χ ɫ̩
בענק	b ɛ ŋ k
בענקל	b ɛ ŋ k ɫ̩
בענקלעך	b ɛ ŋ k ɫ ə x
בעסער	b ɛ s ə ʁ
בעצם	b ɛ t͡s m̩
בעקן	b ɛ k ŋ̩
בערגל	b ɛ ʁ ɡ ɫ̩
בערזע	b ɛ r z ə
בערך	b ɛ ɛ ʀ ɛ x
בערן	b ɛ ʁ n̩
בקיצור	b ə k ɪ t͡s ə ʁ
בר־מינן	b a ʁ m ə n ə n
בר־מיצווה	b a r m ɪ t͡s v ɜ
בראַוואָ	b r a v ɔ
בראָך	b ʁ ɔ χ
בראָנטש	b r ɔ n t͡ʃ
בראָנטש	b r ʌ n t͡ʃ
בראָקאָלי	b r ɔ k ɔ ʎ ɪ
בראשית	b ʁ ɛ ɪ̯ ʃ ə s
ברודער	b ʁ iː d ə ʁ
ברודער	b ʁ uː d ə ʁ
ברודער	b ʁ ɨ d ə ʁ
ברודער	b ʁ ʊ d ə ʁ
ברויט	b r ɔ ɪ̯ t
ברוין	b ʁ o ʊ̯ n
ברוין	b ʁ ɔ ɪ̯ n
ברוך	b u ʁ ə χ
ברוך	b ɔ ʁ ɛ χ
ברוך־הבא	b ɔ r ə χ a b ɔ
ברוך־הבא	b ɔ r ə χ a b ə
ברוך־הבא	b ʊ r ə χ a b ʊ
ברוכים־הבאָים	b ʁ ʊ χ ɪ m h a b ɔ ɪ m
ברוק	b r ʊ k
ברידערשאַפֿט	b ʁ ɪ d ə ʁ ʃ a f t
בריה	b ɪ ʁ j ə
בריוון	b ʁ ɪ v n̩
בריטיש	b ʁ ɪ t ɪ ʃ
ברייזל	b r ɛ ɪ̯ z ɫ̩
ברייט	b r ɛ ɪ̯ t
ברייטער	b r ɛ ɪ̯ t ɜ r
ברילן	b ʁ ɪ ɫ n̩
בריק	b ʁ ɪ k
ברכה	b ʁ ɔ χ ə
ברכות	b ʁ ɔ χ ə s
ברעג ים	b ʁ ɛ ɡ j a m
ברעט	b r ɛ t
ברענגען	b ʁ ɛ ŋ ɡ ə n
ברענט	b ʁ ɛ n t
ברענען	b ʁ ɛ n ə n
בשׂורה	p s ʊ ʁ ə
בשעת	b ə ʃ a s
בשעת	b ə ʃ aː s
בת־ישׂראל	b a s j ɪ s ʁ ɔ ə ɫ
בת־מיצווה	b a s m ɪ t͡s v ə
בײַוואַלן	b a ɪ̯ v a ɫ n̩
בײַזײַן	b a ɪ̯ z a ɪ̯ n
בײַטאָג	b a ɪ̯ t ɔ ɡ
בײַטלען	b a ɪ̯ t l̩ n
בײַכער	b a ɪ̯ χ ə ʁ
בײַנאַכט	b a ɪ̯ n a χ t
בײַסט	b a ɪ̯ s t
בײַסן	b a ɪ̯ s n̩
בײַקומען	b a ɪ̯ k ʊ m ə n
בײַשטײַערונג	b a ɪ̯ ʃ t a ɪ̯ ə ʁ ʊ ŋ ɡ
בײַשטײַערן	b a ɪ̯ ʃ t a ɪ̯ ə ʁ n̩
גאַטקעס	ɡ a t k ə s
גאַלאָן	ɡ a ɫ ɔ n
גאַנדז	ɡ a n d z
גאַנדז	ɡ a n t s
גאַנדז	ɡ ɔ n d z
גאַנץ	ɡ a n t͡s
גאַס	ɡ a s
גאַסט	ɡ a s t
גאַרטל	ɡ a ʁ t ɫ̩
גאָון	ɡ u ə n
גאָון	ɡ ɔ ə n
גאָלד	ɡ ɔ ɫ d
גאָמבע	ɡ ɔ m b ə
גאָפּל	ɡ ɔ p ɫ̩
גאָרטשיצע	ɡ ɔ r t͡ʃ ɪ t͡s ə
גאָרן	ɡ ɔ ʁ n
גאווה	ɡ a j v ɛ
גאולה	ɡ ə ʊ ɫ ə
גאונים	ɡ ə ɔ ɪ n ə m
גאונים	ɡ ə ɛ ɪ n ə m
גבֿיר	ɡ ə v iː r
גבֿירימשאַפֿט	ɡ v iː r ɪ m ʃ a f t
גואַקאַמאָלע	ɡ u a k a m ɔ ɫ ə
גוגל	ɡ ʊ ɡ ɫ̩
גוגלען	ɡ ʊ ɡ ɫ ə n
גוואָזדיקע	ɡ v ɔ z d i k ə
גוואָזדיקע	ɡ v ɔ z d ɪ k ə
גוט־וואָך	ɡ ʊ t v ɔ χ
גוט־עלעף	ɡ ʊ t ɛ ɫ ə f
גוט־שבת	ɡ ʊ t ʃ a b ə s
גולם	ɡ ɔ ɪ̯ l ə m
גומי	ɡ ʊ m ɪ
גומען	ɡ ʊ m ə n
גזלעווויע	ɡ a z ɫ ə v ɔ ɪ̯ ə
גיב	ɡ ɪ b
גיטאַר	ɡ ɪ t a ʁ
גיטאַר־סטרונע	ɡ ɪ t a r s t r ʊ n ə
גיטאַרע	ɡ ɪ t a r ə
גיי	ɡ a ɪ̯
גיי	ɡ ɛ ɪ̯
גיי נאָך	ɡ ɛ ɪ̯ n ɔ χ
גיין	ɡ ɛ ɪ̯ n
גיכשפּײַז	ɡ ɪ χ ʃ p a ɪ̯ z
גיליאָטין	ɡ ɪ ʎ j ɔ t ɪ n
גימנאַסטיק	ɡ ɪ m n a s t ɪ k
גינען	ɡ ɪ n ə n
גיריק	ɡ ɪ r ɪ k
גלאָז	ɡ ɫ ɔ z
גלוטען	ɡ ɫ ʊ t ə n
גלח	ɡ a ɫ ə χ
גליאַנדער	ɡ ʎ a n d ə r
גליווער	ɡ ʎ ɪ v ə r
גליווערן	ɡ ʎ ɪ v ə r n̩
גלײַך	ɡ ɫ a ɪ̯ χ
גלײַך	ɡ ɫ a χ
גלײַך	ɡ ɫ aː χ
גם־אתּם	ɡ a m a t ə m
גנבֿענען	ɡ a n v ə n ə n
געבורטסטאָג	ɡ ə b ʊ ʁ t s t ɔ ɡ
געבליבן	ɡ ə b ʎ ɪ b n̩
געבן	ɡ e ɪ̯ b n̩
געבן	ɡ ɛ b n̩
געבעטן	ɡ ə b ɛ t n̩
געבעקס	ɡ ə b ɛ k s
געגאַנגען	ɡ ə ɡ a ŋ ɡ ə n
געגנט	ɡ ɛ ɡ n̩ t
געגעבן	ɡ ə ɡ ɛ b n̩
געגעסן	ɡ ə ɡ ɛ s n̩
געדויערן	ɡ ə d o ʊ̯ ə ʁ n
געדויערן	ɡ ə d ɔ ɪ̯ ə ʁ n
געהילף	ɡ ə h ɪ ɫ f
געהילפֿן	ɡ ə h ɪ ɫ f n̩
געהערן	ɡ ə h ɛ ʁ n̩
געוואַרט	ɡ ə v a ʁ t
געוווינען	ɡ ə v e ɪ̯ n ə n
געוווינען	ɡ ə v ɔ ɪ̯ n ə n
געוויין	ɡ ə v ɛ ɪ̯ n
געוויינט	ɡ ə v ɛ ɪ̯ n t
געוויינען	ɡ ə v ɛ ɪ̯ n ə n
געוויס	ɡ ə v ɪ s
געוויקס	ɡ ə v ɪ k s
געווען	ɡ ə v e ɪ̯ n
געווען	ɡ ə v eː n
געווען	ɡ ə v ɛ n
געווער	ɡ ɜ v ɛ r
געזאָגט	ɡ ə z u k t
געזאָגט	ɡ ə z ɔ k t
געזאָגט	ɡ ə z ʊ k t
געזונט־אַסיגנאַציע	ɡ ə z ʊ n t a s ɪ ɡ n a t͡s j ə
געזשאַווערט	ɡ ə ʒ a v ə ʁ t
געטאָן	ɡ ə t ɔ n
געטיילט	ɡ ə t ɛ ɪ̯ ɫ t
געטראַנק	ɡ ə t ʁ a ŋ k
געטראַנקן	ɡ ə t ʁ a ŋ k n̩
געל	ɡ ɛ ɫ
געלאָפֿן	ɡ ə ɫ ɔ f n̩
געלב	ɡ ɛ ɫ b
געלט	ɡ ɛ ɫ t
געלייגט	ɡ ə ɫ ɛ ɪ̯ k t
געלינקט	ɡ ə ʎ ɪ ŋ k t
געלעבט	ɡ ə ɫ ɛ p t
געמאַכט	ɡ ə m a χ t
געמיט	ɡ ə m ɪ t
געמיינדע	ɡ e m ɛ ɪ̯ n d ə
געמיינדע	ɡ ə m a ɪ̯ n d ə
געמײַנדע	ɡ e m a ɪ̯ n d ə
געמײַנדע	ɡ ə m aː n d ə
גענדזל	ɡ ɛ n d͡z ɫ̩
גענוג	ɡ ə n ʊ ɡ
גענומען	ɡ ə n ʊ m ə n
געסט	ɡ ɛ s t
געסרחה	ɡ ə s ʁ ɔ χ ə
געפּלאַנט	ɡ ə p l a n t
געפֿונען	ɡ ə f ʊ n ə n
געפֿילטע פֿיש	ɡ ə f ɪ ɫ t ə f ɪ ʃ
געפֿינט	ɡ ə f ɪ n t
געפֿינען	ɡ ə f ɪ n ə n
געפֿעלט	ɡ ə f ɛ ɫ t
געפֿעלן	ɡ ə f ɛ ɫ n̩
געפֿערלעך	ɡ ə f ɛ ʁ ɫ ə χ
געפֿרישט ברויט	ɡ ə f r ɪ ʃ t b r e ɪ̯ t
געפֿרישט ברויט	ɡ ə f r ɪ ʃ t b r ɔ u t
געפֿרישט ברויט	ɡ ə f r ɪ ʃ t b r ɔ ɪ̯ t
געפֿרישט ברויט	ɡ ə f ʁ ɪ ʃ t b ʁ ɔ ɪ̯ t
געצעלט	ɡ ə t͡s ɛ ɫ t
געקענט	ɡ ə k ɛ n t
געקראָכן	ɡ ə k ʁ ɔ χ n̩
גערעגנט	ɡ ə ʁ ɛ ɡ n̩ t
גערעכנט	ɡ ə ʁ ɛ χ n̩ t
געשוואָלן	ɡ ə ʃ v ɔ ɫ n̩
געשוויסטער	ɡ ə ʃ v ɪ s t ə ʁ
געשטאַלט	ɡ ɜ ʃ t a l t
געשטאָרבן	ɡ ə ʃ t ɔ ʁ b n̩
געשטונקען	ɡ ə ʃ t ʊ ŋ k ə n
געשיכטע	ɡ ɜ ʃ ɪ χ t ɜ
געשלעג	ɡ ə ʃ ɫ ɛ ɡ
געשמאַק	ɡ ə ʃ m a k
געשמאַקע	ɡ ə ʃ m a k ə
געשנייט	ɡ ə ʃ n ɛ ɪ̯ t
געשעט	ɡ ə ʃ ɛ t
געשען	ɡ ə ʃ ɛ n
געשעפֿט	ɡ ə ʃ ɛ f t
געשײַנט	ɡ ə ʃ a ɪ̯ n t
גראַגער	ɡ ʁ a ɡ ə ʁ
גראַד	ɡ ʁ a d
גראַמאַטיק	ɡ ʁ a m a t ɪ k
גראַניט	ɡ r a n ɪ t
גראַץ	ɡ ʁ a t͡s
גראָד	ɡ ʁ ɔ d
גרוזיע	ɡ ʁ ʊ z j ə
גרוי	ɡ r o ʊ̯
גרוי	ɡ r oː
גרוי	ɡ r ɔ
גרוי	ɡ r ɔ ɪ̯
גרויס	ɡ r ɔ ɪ̯ s
גרויסהערצאָג	ɡ r ɔ ɪ̯ s h ɛ ʁ t͡s ɔ ɡ
גרויסהערצאָגשאַפֿט	ɡ r ɔ ɪ̯ s h ɛ ʁ t͡s ɔ ɡ ʃ a f t
גרויסע	ɡ ʁ ɔ ɪ̯ s ə
גרונט	ɡ ʁ ʊ n t
גריכיש	ɡ ʁ ɪ χ ɪ ʃ
גריכנלאַנד	ɡ ʁ ɪ χ ɫ a n d
גרין	ɡ ʁ i n
גרין	ɡ ʁ iː n
גרין	ɡ ʁ ɪ n
גרינג	ɡ ʁ ɪ ŋ ɡ
גרינגער	ɡ ʁ ɪ ŋ ɡ ə ʁ
גרינצײַג	ɡ ʁ ɪ n t͡s a ɪ̯ ɡ
גריקע	ɡ r ɪ k ə
גרעסער	ɡ ʁ ɛ s ə ʁ
דאַוונען	d a v n ə n
דאַוונען	d ɔ v n ə n
דאַוונען	d ɔ ɪ n ə n
דאַך	d a χ
דאַלוי	d a ɫ ɔ ɪ̯
דאַנען	d a n ə n
דאַרף	d a ʁ f
דאַרפֿן	d a ʁ f n̩
דאַרפֿסט	d a ʁ f s t
דאָ	d ɔ
דאָ	d ʊ
