'day	d̪ a ɪ̯
bulabog	b ʊ l aː b o ɡ̚
bulabugin	b ʊ l ɐ b uː ɣ ɪ n̪
Bulacan	b ʊ l ɐ x a n̪
bulag	b ʊ l a ɡ̚
bulag	b uː l ɐ ɡ̚
bulaga	b ʊ l ɐ ɣ a ʔ
bulagsak	b ʊ l ɐ ɡ s a k̚
bulagta	b ʊ l ɐ ɡ t̪ a ʔ
bulahaw	b ʊ l aː h a ʊ̯
bulahaw	b ʊ l ɐ h a ʊ̯
bulak	b uː l ɐ k̚
bulak	b ʊ l a k̚
bulakan	b ʊ l aː x ɐ n̪
bulakan	b ʊ l ɐ x a n̪
Bulakan	b ʊ l ɐ x a n̪
bulakbol	b ʊ l ɐ k b o l
bulakbul	b ʊ l ɐ k b ʊ l
Bulakenyo	b ʊ l ɐ x ɛː ɲ o
Bulakenyo	b ʊ l ɐ x ɛ n̪ j o
Bulakenyo	b ʊ l ɐ x ɛ n̪ j o
bulaklak	b ʊ l ɐ k l a k̚
Bulalacao	b ʊ l ɐ l aː x a ʊ̯
bulalakaw	b ʊ l ɐ l aː x a ʊ̯
bulalas	b ʊ l ɐ l a s
bulalas	b ʊ l aː l ɐ s
bulalato	b ʊ l ɐ l aː t̪ o
bulalay	b ʊ l aː l a ɪ̯
bulalayak	b uː l ɐ l ɐ j a k̚
Bulalayao	b ʊ l ɐ l aː j a ʊ̯
bulalo	b ʊ l ɐ l o ʔ
bulalo	b ʊ l ɐ l o
bulan	b uː l ɐ n̪
Bulan	b uː l ɐ n̪
bulandal	b ʊ l ɐ n̪ d̪ a l
Bulanhagui	b ʊ l ɐ n̪ h aː ɣ ɪ
bulantubig	b ʊ l ɐ n̪ t̪ uː b ɪ ɡ̚
bulanglang	b ʊ l ɐ n̪ l a ŋ
bulaos	b ʊ l aː ʔ o s
bulas	b uː l ɐ s
bulastog	b ʊ l ɐ s t̪ o ɡ̚
bulate	b ʊ l aː t̪ ɛ
bulati	b ʊ l aː t̪ ɪ
bulatlat	b ʊ l ɐ t̪ l̪ a t̪̚
bulatlupa	b ʊ l ɐ t̪ l̪ uː p ɐ ʔ
bulaw	b ʊ l a ʊ̯
bulawan	b ʊ l aː w ɐ n̪
bulay	b uː l a ɪ̯
bulbol	b ʊ l b o l
buldog	b u l d̪ o ɡ̚
buldoser	b ʊ l d̪ oː s ɛ ɾ
bulgar	b ʊ l ɡ a ɾ
Bulgaro	b ʊ l ɡ ɐ ɾ o
Bulgarya	b ʊ l ɡ a ɾ j ɐ
buli	b uː l ɪ
buli	b ʊ l ɪ
bulias	b ʊ l ɪ ʔ a s
bulias	b ʊ l iː ʔ ɐ s
bulid	b ʊ l ɪ d̪̚
bulig	b ʊ l ɪ ɡ̚
buliga	b ʊ l iː ɣ ɐ ʔ
bulihala	b ʊ l ɪ h aː l ɐ ʔ
Bulihan	b ʊ l ɪ h a n̪
bulilit	b ʊ l iː l ɪ t̪̚
bulilit	b ʊ l ɪ l ɪ t̪̚
bulilyaso	b ʊ l ɪ l j aː s o
bulinya	b ʊ l ɪ n ɲ a ʔ
bulinya	b ʊ l ɪ n̪ j a ʔ
bulinya	b ʊ l ɪ n̪ j a ʔ
buling	b uː l ɪ ŋ
buling	b ʊ l ɪ ŋ
bulingbuling	b uː l ɪ m b uː l ɪ ŋ
buliyos	b ʊ l iː j o s
bulkan	b ʊ l k a n̪
bulo	b ʊ l o ʔ
bulo	b uː l o
bulod	b uː l o d̪̚
bulog	b uː l o ɡ̚
bulok	b ʊ l o k̚
bulol	b ʊ l o l
bulon	b ʊ l o n̪
bulong	b ʊ l o ŋ
bulsa	b ʊ l s a
bulsa	b u l s ɐ
bulsiko	b ʊ l s iː x o
bulsikot	b ʊ l s iː x o t̪̚
bulsilyo	b ʊ l s i l j o
bulta	b ʊ l t̪ a
bulto	b u l t̪ o
Buluan	b ʊ l uː ʔ ɐ n̪
buluble	b ʊ l uː b l ɛ
bulubod	b ʊ l uː b o d̪̚
bulubor	b ʊ l uː b o ɾ
bulubulo	b uː l ʊ b uː l o ʔ
bulubundukin	b ʊ l ʊ b ʊ n̪ d̪ uː x ɪ n̪
buluburan	b ʊ l ʊ b uː ɾ ɐ n̪
buluburan	b uː l ʊ b ʊ ɾ a n̪
buluburan	b ʊ l ʊ b uː ɾ ɐ n̪
bulugan	b ʊ l uː ɣ ɐ n̪
bululos	b ʊ l ʊ l o s
buluntaryo	b ʊ l ʊ n̪ t̪ a ɾ j o
buluran	b ʊ l uː ɾ ɐ n̪
buluran	b ʊ l ʊ ɾ a n̪
buluranan	b ʊ l ʊ ɾ ɐ n̪ a n̪
buluranin	b ʊ l ʊ ɾ ɐ n̪ ɪ n̪
bulutong	b ʊ l uː t̪ o ŋ
bulutunggo	b ʊ l ʊ t̪ ʊ ŋ ɡ o
bulwacc	b ʊ l w a k̚
bulwag	b ʊ l w a ɡ̚
bulwagan	b ʊ l w aː ɣ ɐ n̪
bulwagan	b ʊ l w ɐ ɣ a n̪
bulwak	b ʊ l w a k̚
bulwang	b ʊ l w a ŋ
bulyas	b ʊ l j a s
bulyaw	b ʊ l j a ʊ̯
bulyos	b ʊ l j o s
bumaba	b ʊ m ɐ b a ʔ
bumaba	b ʊ m aː b ɐ ʔ
bumaba	b ʊ m ɐ b a
bumabagsak	b ʊ m aː b ɐ ɡ s a k̚
bumabahin	b ʊ m aː b ɐ h ɪ n̪
bumabahing	b ʊ m aː b ɐ h ɪ ŋ
bumagal	b ʊ m aː ɣ ɐ l
bumagsak	b ʊ m ɐ ɡ s a k̚
bumagyo	b ʊ m ɐ ɡ j o
bumaha	b ʊ m ɐ h a ʔ
bumahin	b ʊ m ɐ h ɪ n̪
bumahing	b ʊ m ɐ h ɪ ŋ
bumali	b ʊ m aː l ɪ ʔ
bumalik	b ʊ m ɐ l ɪ k̚
bumalikwas	b ʊ m ɐ l ɪ k w a s
bumalintong	b ʊ m ɐ l ɪ n̪ t̪ o ŋ
Bumanlag	b ʊ m ɐ n̪ l a ɡ̚
Bumanglag	b ʊ m ɐ n̪ l a ɡ̚
bumasa	b ʊ m aː s ɐ
bumasa	b ʊ m ɐ s a ʔ
bumasag	b ʊ m aː s ɐ ɡ̚
bumata	b ʊ m aː t̪ ɐ ʔ
bumatak	b ʊ m aː t̪ ɐ k̚
bumatik	b ʊ m ɐ t̪ ɪ k̚
Bumbay	b ʊ m b a ɪ̯
bumbero	b ʊ m b ɛː ɾ o
bumbilya	b ʊ m b i l j ɐ
bumbon	b ʊ m b o n̪
bumbong	b ʊ m b o ŋ
bumbunan	b ʊ m b uː n̪ ɐ n̪
bumbunan	b ʊ m b ʊ n̪ a n̪
bumerang	b uː m ɛ ɾ a ŋ
bumibili	b ʊ m iː b ɪ l ɪ
bumibiyahe	b ʊ m ɪ b j aː h ɛ
bumibiyahe	b ʊ m iː b j aː h ɛ
bumigay	b ʊ m ɪ ɣ a ɪ̯
bumili	b ʊ m ɪ l ɪ
bumilis	b ʊ m ɪ l ɪ s
bumisita	b ʊ m ɪ s iː t̪ ɐ
bumitiw	b ʊ m ɪ t̪ ɪ ʊ̯
bumiyahe	b ʊ m j aː h ɛ
bumoto	b ʊ m oː t̪ o
bumubulong	b ʊ m uː b ʊ l o ŋ
bumula	b ʊ m ʊ l a ʔ
bumulong	b ʊ m ʊ l o ŋ
bumulwak	b ʊ m ʊ l w a k̚
bumuo	b ʊ m ʊ ʔ o ʔ
bumusina	b ʊ m ʊ s iː n̪ ɐ
bumuwelta	b ʊ m w ɛ l t̪ ɐ
Bunag	b uː n̪ ɐ ɡ̚
Bunawan	b ʊ n̪ aː w ɐ n̪
bundat	b ʊ n̪ d̪ a t̪̚
bundok	b ʊ n̪ d̪ o k̚
bundol	b ʊ n̪ d̪ o l
buni	b uː n̪ ɪ
bunito	b ʊ n̪ iː t̪ o
Bunlay	b ʊ n̪ l a ɪ̯
buno	b ʊ n̪ o ʔ
bunot	b ʊ n̪ o t̪̚
bunot	b uː n̪ o t̪̚
bunot	b ʊ n̪ o t̪̚
bunrok	b ʊ n̪ ɾ o k̚
bunso	b ʊ n̪ s o ʔ
bunso	b ʊ n̪ s o
bunsod	b ʊ n̪ s o d̪̚
bunsol	b ʊ n̪ s o l
buntabay	b ʊ n̪ t̪ aː b a ɪ̯
buntal	b ʊ n̪ t̪ a l
buntala	b ʊ n̪ t̪ aː l ɐ ʔ
buntis	b ʊ n̪ t̪ ɪ s
bunto	b ʊ n̪ t̪ o
bunton	b ʊ n̪ t̪ o n̪
buntonghininga	b ʊ n̪ t̪ o ŋ h ɪ n̪ ɪ ŋ a
buntot	b ʊ n̪ t̪ o t̪̚
buntutan	b ʊ n̪ t̪ ʊ t̪ a n̪
bunwelos	b ʊ n̪ w ɛː l o s
bunyag	b ʊ n ɲ a ɡ̚
bunyag	b ʊ n̪ j a ɡ̚
bunyag	b ʊ n̪ j a ɡ̚
Bunye	b uː ɲ ɛ
Bunye	b u n̪ j ɛ
Bunye	b u n̪ j ɛ
bunyi	b ʊ n ɲ ɪ ʔ
bunyi	b ʊ n̪ j ɪ ʔ
bunyi	b ʊ n̪ j ɪ ʔ
Bunyi	b uː ɲ ɪ
Bunyi	b u n̪ j ɪ
Bunyi	b u n̪ j ɪ
bunga	b uː ŋ ɐ
bungal	b ʊ ŋ a l
bungantulog	b uː ŋ ɐ n̪ t̪ uː l o ɡ̚
bunganga	b ʊ ŋ aː ŋ ɐ ʔ
bungangaan	b ʊ ŋ ɐ ŋ aː ʔ ɐ n̪
bungangera	b ʊ ŋ ɐ ŋ ɛː ɾ ɐ
bungangero	b ʊ ŋ ɐ ŋ ɛː ɾ o
bungangkahoy	b uː ŋ ɐ ŋ k aː h o ɪ̯
bungaw	b ʊ ŋ a ʊ̯
bungbong	b ʊ m b o ŋ
bunggabilya	b ʊ ŋ ɡ ɐ b i l j ɐ
bunggalo	b ʊ ŋ ɡ ɐ l o
bunggo	b ʊ ŋ ɡ o ʔ
bungi	b uː ŋ ɪ ʔ
bungi	b ʊ ŋ ɪ ʔ
bungisngis	b ʊ ŋ ɪ s ŋ ɪ s
bungkagin	b ʊ ŋ k ɐ ɣ ɪ n̪
bungkal	b ʊ ŋ k a l
bungkos	b ʊ ŋ k o s
bungkugan	b ʊ ŋ k uː ɣ ɐ n̪
bungo	b ʊ ŋ o ʔ
bungot	b ʊ ŋ o t̪̚
bungoy	b ʊ ŋ o ɪ̯
bungso	b ʊ n̪ s o ʔ
bungso	b ʊ n̪ s o
bungulan	b ʊ ŋ uː l ɐ n̪
buo	b ʊ ʔ o ʔ
buo	b uː ʔ o ʔ
buo	b uː ʔ o
buo	b ʊ ʔ o
buo	b uː ʔ o ʔ
buod	b ʊ ʔ o d̪̚
buod	b uː ʔ o d̪̚
buoin	b ʊ ʔ o ʔ ɪ n̪
buok	b ʊ ʔ o k̚
buol	b ʊ ʔ o l
buol	b uː ʔ o l
buorin	b ʊ ʔ o ɾ ɪ n̪
buot	b ʊ ʔ o t̪̚
buot	b uː ʔ o t̪̚
bupalo	b uː p ɐ l o
bupe	b ʊ p ɛ
bupes	b uː p ɛ s
bupete	b ʊ p ɛː t̪ ɛ
bupey	b ʊ p e ɪ̯
bupis	b uː p ɪ s
Buquid	b uː x ɪ d̪̚
bura	b ʊ ɾ a
bura	b uː ɾ ɐ
burado	b ʊ ɾ aː d̪ o
burahin	b ʊ ɾ ɐ h ɪ n̪
burak	b uː ɾ ɐ k̚
buraot	b ʊ ɾ aː ʔ o t̪̚
burara	b ʊ ɾ ɐ ɾ a ʔ
burara	b ʊ ɾ aː ɾ ɐ ʔ
burat	b ʊ ɾ a t̪̚
buratsera	b ʊ ɾ ɐ t t͡ʃ ɛː ɾ ɐ
buratsera	b ʊ ɾ ɐ t̪ s ɛː ɾ ɐ
buratsera	b ʊ ɾ ɐ t̪ s ɛː ɾ ɐ
buratsero	b ʊ ɾ ɐ t t͡ʃ ɛː ɾ o
buratsero	b ʊ ɾ ɐ t̪ s ɛː ɾ o
buratsero	b ʊ ɾ ɐ t̪ s ɛː ɾ o
burda	b ʊ ɾ d̪ a
burges	b ʊ ɾ ɡ ɛ s
burgesya	b ʊ ɾ ɡ ɛː ʃ ɐ
burgesya	b ʊ ɾ ɡ ɛ s j ɐ
burgesya	b ʊ ɾ ɡ ɛ s j ɐ
burgis	b ʊ ɾ ɡ ɪ s
Burgos	b u ɾ ɡ o s
Burias	b ʊ ɾ j a s
buriko	b ʊ ɾ iː x o
buriwriw	b ʊ ɾ i ʊ̯ ɾ ɪ ʊ̯
burloloy	b ʊ ɾ l oː l o ɪ̯
Burma	b u ɾ m ɐ
Burnham	b ə ɹ n̪ h ɐ m
burnik	b ʊ ɾ n̪ ɪ k̚
buro	b uː ɾ o
buro	b uː ɾ o
buro	b uː ɾ o ʔ
buro	b uː ɾ o
buro	b ʊ ɾ o
burog	b uː ɾ o ɡ̚
burok	b uː ɾ o k̚
burol	b ʊ ɾ o l
burol	b uː ɾ o l
burong	b uː ɾ o ŋ
burot	b uː ɾ o t̪̚
Buruanga	b ʊ ɾ w a ŋ ɡ ɐ
burukinto	b ʊ ɾ ʊ x ɪ n̪ t̪ o
Burundi	b ʊ ɾ u n̪ d̪ ɪ
buryong	b ʊ ɾ j o ŋ
bus	b ʊ s
bus	b a s
busa	b ʊ s a
busa	b uː s ɐ ʔ
busabos	b ʊ s aː b o s
busal	b ʊ s a l
busal	b uː s ɐ l
busan	b uː s ɐ n̪
busangot	b ʊ s aː ŋ o t̪̚
busangot	b ʊ s ɐ ŋ o t̪̚
busay	b ʊ s a ɪ̯
busbos	b ʊ s b o s
buset	b uː s ɛ t̪̚
buset	b ʊ s ɛ t̪̚
busilak	b ʊ s iː l ɐ k̚
busilig	b ʊ s iː l ɪ ɡ̚
busina	b ʊ s iː n̪ ɐ
busisera	b ʊ s ɪ s ɛː ɾ ɐ
busisero	b ʊ s ɪ s ɛː ɾ o
busisi	b ʊ s iː s ɪ ʔ
busisi	b ʊ s ɪ s ɪ ʔ
busisi	b ʊ s iː s ɪ ʔ
busisi	b ʊ s ɪ s ɪ ʔ
buskapiye	b ʊ s k ɐ p j ɛ
buskarido	b ʊ s k ɐ ɾ iː d̪ o
buslo	b ʊ s l o ʔ
buslot	b ʊ s l o t̪̚
busog	b ʊ s o ɡ̚
busog	b uː s o ɡ̚
busol	b ʊ s o l
buson	b ʊ s o n̪
busong	b uː s o ŋ
Bustamante	b ʊ s t̪ ɐ m a n̪ t̪ ɛ
Bustos	b ʊ s t̪ o s
buswang	b ʊ s w a ŋ
busyador	b ʊ ʃ ɐ d̪ o ɾ
busyador	b ʊ s j ɐ d̪ o ɾ
busyador	b ʊ s j ɐ d̪ o ɾ
Butac	b uː t̪ ɐ k̚
butaka	b ʊ t̪ aː x ɐ
butaka	b ʊ t̪ aː x ɐ ʔ
butal	b ʊ t̪ a l
butanding	b ʊ t̪ ɐ n̪ d̪ ɪ ŋ
butang	b ʊ t̪ a ŋ
butangero	b ʊ t̪ ɐ ŋ ɛː ɾ o
butas	b uː t̪ ɐ s
butas	b ʊ t̪ a s
butaw	b uː t̪ a ʊ̯
butaw	b ʊ t̪ a ʊ̯
Butchoy	b ʊ t t͡ʃ o ɪ̯
Butchoy	b ʊ t̪ s o ɪ̯
Butchoy	b ʊ t̪ s o ɪ̯
butete	b ʊ t̪ ɛː t̪ ɛ ʔ
butete	b ʊ t̪ ɛː t̪ ɛ
buthuan	b ʊ t̪ h uː ʔ ɐ n̪
buthuan	b ʊ t̪ h ʊ ʔ a n̪
buti	b uː t̪ ɪ
butig	b ʊ t̪ ɪ ɡ̚
butigan	b ʊ t̪ ɪ ɣ a n̪
butiha	b ʊ t̪ iː h ɐ
butiin	b ʊ t̪ iː ʔ ɪ n̪
butiki	b ʊ t̪ ɪ x ɪ ʔ
butil	b uː t̪ ɪ l
Buting	b uː t̪ ɪ ŋ
butisa	b ʊ t̪ iː s ɐ
butlig	b ʊ t̪ l̪ ɪ ɡ̚
buto	b ʊ t̪ o
buto	b uː t̪ o ʔ
butod	b ʊ t̪ o d̪̚
butod	b uː t̪ o d̪̚
butod	b ʊ t̪ o d̪̚
butones	b ʊ t̪ oː n̪ ɛ s
butot	b ʊ t̪ o t̪̚
butse	b ʊ t t͡ʃ ɛ
butse	b ʊ t t͡ʃ ɪ
butse	b ʊ t̪ s ɛ
butse	b ʊ t̪ s ɪ
butse	b ʊ t̪ s ɛ
butse	b ʊ t̪ s ɪ
butse	b ʊ t t͡ʃ ɛ
butse	b ʊ t̪ s ɛ
butse	b ʊ t̪ s ɛ
butsi	b ʊ t t͡ʃ ɪ
butsi	b uː t͡ʃ ɪ
butsi	b ʊ t̪ s ɪ
butsi	b u t̪ s ɪ
butsi	b ʊ t̪ s ɪ
butsi	b u t̪ s ɪ
butsi	b ʊ t t͡ʃ ɪ
butsi	b ʊ t̪ s ɪ
butsi	b ʊ t̪ s ɪ
Butuan	b u t̪ w ɐ n̪
Butuan	b ʊ t̪ w a n̪
Butuan	b ʊ t̪ uː ʔ ɐ n̪
butuan	b ʊ t̪ uː ʔ ɐ n̪
butuan	b ʊ t̪ ʊ ʔ a n̪
butudkaphay	b ʊ t̪ u d̪ k ɐ p h a ɪ̯
butudkilos	b ʊ t̪ u d̪ k iː l o s
butuhan	b ʊ t̪ ʊ h a n̪
butuhan	b ʊ t̪ ʊ h a n̪
butuhan	b ʊ t̪ uː h ɐ n̪
buturan	b ʊ t̪ uː ɾ ɐ n̪
buuin	b ʊ ʔ ʊ ʔ ɪ n̪
buukin	b uː ʔ uː x ɪ n̪
buumbilang	b ʊ ʔ ʊ m b iː l ɐ ŋ
buurin	b ʊ ʔ ʊ ɾ ɪ n̪
buwa	b w a ʔ
buwa	b uː w ɐ ʔ
buwag	b w a ɡ̚
buwagin	b w ɐ ɣ ɪ n̪
buwagin	b w aː ɣ ɪ n̪
buwakaw	b w aː x a ʊ̯
buwal	b w a l
buwan	b w a n̪
buwan	b uː w ɐ n̪
buwanan	b w aː n̪ ɐ n̪
buwang	b w a ŋ
buwang	b uː w ɐ ŋ
buway	b w a ɪ̯
buwaya	b w aː j ɐ
buwelo	b w ɛː l o
buwelta	b w ɛ l t̪ ɐ
buweltahan	b w ɛ l t̪ ɐ h a n̪
buwenamano	b w ɛː n̪ ɐ m aː n̪ o
buweno	b w ɛː n̪ o
buwig	b w ɪ ɡ̚
buwig	b uː w ɪ ɡ̚
buwik	b w ɪ k̚
buwis	b w ɪ s
buwisan	b w ɪ s a n̪
buwisan	b uː w iː s ɐ n̪
buwisit	b w iː s ɪ t̪̚
buwisit	b w ɪ s ɪ t̪̚
buwitre	b w i t̪ ɾ ɛ
buwo	b uː w o ʔ
buwod	b uː w o d̪̚
buwor	b uː w o ɾ
buya	b uː j ɐ ʔ
buyaya	b ʊ j aː j ɐ ʔ
buyaya	b ʊ j aː j ɐ ʔ
buyaya	b ʊ j ɐ j a ʔ
buyo	b uː j o
buyo	b ʊ j o
buyon	b ʊ j o n̪
buyon	b uː j o n̪
buyuhin	b ʊ j ʊ h ɪ n̪
buyunin	b uː j uː n̪ ɪ n̪
buyunin	b ʊ j ʊ n̪ ɪ n̪
bwisit	b w iː s ɪ t̪̚
byanan	b j ɐ n̪ a n̪
byanda	b j a n̪ d̪ ɐ
byenan	b j ɛ n̪ a n̪
Byetnam	b j ɛ t̪ n̪ a m
byolohiya	b j o l o h iː j ɐ
byolon	b j o l o n̪
byuna	b j uː n̪ ɐ ʔ
c	s ɪ
c	s ɛ
c	k
c	s
c	s ɪ
C	s ɪ
C	s ɛ
C	k
C	s
Cabadbaran	k ɐ b ɐ d̪ b ɐ ɾ a n̪
Cabagay	k ɐ b aː ɣ a ɪ̯
Cabahug	k ɐ b aː h ʊ ɡ̚
Caballero	k ɐ b ɐ l j ɛː ɾ o
Caballeros	k ɐ b ɐ l j ɛː ɾ o s
Cabanalan	k ɐ b ɐ n̪ aː l ɐ n̪
Cabanatuan	k ɐ b ɐ n̪ ɐ t̪ uː ʔ ɐ n̪
Cabangbang	k ɐ b ɐ m b a ŋ
Cabanglasan	k ɐ b ɐ n̪ l ɐ s a n̪
Cabangon	k ɐ b aː ŋ o n̪
Cabasag	k ɐ b aː s ɐ ɡ̚
Cabatuan	k ɐ b ɐ t̪ uː ʔ ɐ n̪
Cabiao	k ɐ b j a ʊ̯
Cabiling	k ɐ b iː l ɪ ŋ
Cabral	k ɐ b ɾ a l
Cabrera	k ɐ b ɾ ɛː ɾ ɐ
Cabrillos	k ɐ b ɾ i l j o s
Cabucgayan	k ɐ b ʊ k ɡ aː j ɐ n̪
Cabuhat	k ɐ b uː h ɐ t̪̚
Cabungcal	k ɐ b ʊ ŋ k a l
Cabusao	k ɐ b uː s a ʊ̯
Cabutihan	k ɐ b ʊ t̪ iː h ɐ n̪
Cabuyao	k ɐ b uː j a ʊ̯
Cacao	k ɐ x a ʊ̯
Cacdac	k ɐ k d̪ a k̚
Cachuela	k ɐ t͡ʃ w ɛː l ɐ
Cachuela	k ɐ t̪ s w ɛː l ɐ
Cachuela	k ɐ t̪ s w ɛː l ɐ
Cadano	k ɐ d̪ aː n̪ o
Cadapan	k ɐ d̪ aː p ɐ n̪
Caday	k aː d̪ a ɪ̯
Cadayona	k ɐ d̪ ɐ j oː n̪ ɐ
Cadiz	k aː d̪ ɪ s
Cafarnaum	k ɐ f ɐ ɾ n̪ ɐ ʔ ʊ m
Cafarnaum	k ɐ p ɐ ɾ n̪ ɐ ʔ ʊ m
Cafarnaum	k ɐ p ɐ ɾ n̪ ɐ ʔ ʊ m
Cagalingan	k ɐ ɣ ɐ l iː ŋ ɐ n̪
Caganap	k ɐ ɣ aː n̪ ɐ p̚
Cagayan	k ɐ ɣ ɐ j a n̪
Cagayan	k ɐ ɣ a ɪ̯ ʔ a n̪
Cagdianao	k ɐ ɡ d͡ʒ aː n̪ a ʊ̯
Cagdianao	k ɐ ɡ d̪ j aː n̪ a ʊ̯
Cagdianao	k ɐ ɡ d̪ j aː n̪ a ʊ̯
Caguiat	k ɐ ɡ j a t̪̚
Caguioa	k ɐ ɣ iː w ɐ
Caguitla	k ɐ ɣ i t̪ l̪ ɐ
Caibigan	k ɐ ʔ ɪ b iː ɣ ɐ n̪
Caibiran	k ɐ ʔ ɪ b ɪ ɾ a n̪
Cain	k ɐ ʔ ɪ n̪
Cainta	k ɐ ʔ ɪ n̪ t̪ a ʔ
Cajucom	k ɐ h uː x o m
Calabanga	k ɐ l ɐ b a ŋ ɡ ɐ
Calaca	k ɐ l ɐ x a ʔ
Calahatian	k ɐ l ɐ h ɐ t̪ iː ʔ ɐ n̪
Calalang	k ɐ l aː l ɐ ŋ
Calalo	k ɐ l aː l o
Calamba	k ɐ l ɐ m b a
Calamba	k ɐ l ɐ m b a ʔ
Calanasan	k ɐ l ɐ n̪ aː s ɐ n̪
Calapan	k ɐ l ɐ p a n̪
Calapati	k ɐ l ɐ p aː t̪ ɪ
Calape	k ɐ l aː p ɛ
Calapit	k ɐ l aː p ɪ t̪̚
calaquian	k ɐ l ɐ x iː j ɐ n̪
calaquian	k ɐ l ɐ x iː ʔ ɐ n̪
calaquiyan	k ɐ l ɐ x iː j ɐ n̪
Calasiao	k ɐ l ɐ ʃ a ʊ̯
Calasiao	k ɐ l ɐ s j a ʊ̯
Calasiao	k ɐ l ɐ s j a ʊ̯
Calatagan	k ɐ l ɐ t̪ ɐ ɣ a n̪
Calauag	k ɐ l aː w ɐ ɡ̚
Calauan	k ɐ l aː w ɐ n̪
Calaunan	k ɐ l ɐ ʔ uː n̪ ɐ n̪
Calayan	k ɐ l aː j ɐ n̪
Calaycay	k ɐ l a ɪ̯ x a ɪ̯
Calderon	k ɐ l d̪ ɛ ɾ o n̪
Calimlim	k ɐ l ɪ m l ɪ m
Calinawan	k ɐ l ɪ n̪ aː w ɐ n̪
Calinisan	k ɐ l ɪ n̪ iː s ɐ n̪
Calintaan	k ɐ l ɪ n̪ t̪ ɐ ʔ a n̪
Calingasan	k ɐ l ɪ ŋ aː s ɐ n̪
Caliwag	k ɐ l iː w ɐ ɡ̚
Calixihan	k ɐ l ɪ k s iː h ɐ n̪
Calixto	k ɐ l i k s t̪ o
Calixto	k ɐ l i s t̪ o
Callao	k aː l a ʊ̯
Calma	k a l m ɐ
Caloocan	k ɐ l o ʔ oː x ɐ n̪
Caloy	k ɐ l o ɪ̯
Caluag	k ɐ l uː w ɐ ɡ̚
Caluag	k ɐ l uː ʔ ɐ ɡ̚
Caluangan	k ɐ l w aː ŋ ɐ n̪
Calumpang	k ɐ l ʊ m p a ŋ
Calumpit	k ɐ l ʊ m p ɪ t̪̚
Caluya	k ɐ l uː j ɐ
Cam	k a m
Camacho	k ɐ m aː t͡ʃ o
Camacho	k ɐ m a t̪ s o
Camacho	k ɐ m a t̪ s o
Camalaniugan	k ɐ m ɐ l ɐ n ɲ uː ɣ ɐ n̪
Camalaniugan	k ɐ m ɐ l ɐ n̪ j uː ɣ ɐ n̪
Camalaniugan	k ɐ m ɐ l ɐ n̪ j uː ɣ ɐ n̪
Camalig	k ɐ m ɐ l ɪ ɡ̚
Camalig	k ɐ m aː l ɪ ɡ̚
Camaligan	k ɐ m ɐ l iː ɣ ɐ n̪
CAMANAVA	k ɐ m ɐ n̪ aː v ɐ
CAMANAVA	k ɐ m ɐ n̪ aː b ɐ
CAMANAVA	k ɐ m ɐ n̪ aː b ɐ
Camantigue	k ɐ m ɐ n̪ t̪ ɪ ɣ ɛ
Camarines	k ɐ m ɐ ɾ iː n̪ ɛ s
Camdas	k ɐ m d̪ a s
Camiguin	k ɐ m ɪ ɣ ɪ n̪
Campo	k a m p o
CamSur	k a m s ʊ ɾ
Canales	k ɐ n̪ aː l ɛ s
Canaman	k ɐ n̪ ɐ m a n̪
Cancio	k a n̪ ʃ o
Cancio	k a n̪ s j o
Cancio	k a n̪ s j o
Candelaria	k ɐ n̪ d̪ ɛ l a ɾ j ɐ
Candijay	k ɐ n̪ d̪ ɪ h a ɪ̯
Canicosa	k ɐ n̪ ɪ x oː s ɐ
Caniedo	k ɐ n ɲ ɛː d̪ o
Caniedo	k ɐ n̪ j ɛː d̪ o
Caniedo	k ɐ n̪ j ɛː d̪ o
Canilao	k ɐ n̪ iː l a ʊ̯
Caniogan	k ɐ n ɲ oː ɣ ɐ n̪
Caniogan	k ɐ n̪ j oː ɣ ɐ n̪
Caniogan	k ɐ n̪ j oː ɣ ɐ n̪
Canlapan	k ɐ n̪ l aː p ɐ n̪
Canlas	k ɐ n̪ l a s
Canlubang	k ɐ n̪ l uː b ɐ ŋ
Canoy	k aː n̪ o ɪ̯
Cantalejo	k ɐ n̪ t̪ ɐ l ɛː h o
Cantiveros	k ɐ n̪ t̪ ɪ v ɛː ɾ o s
Cantiveros	k ɐ n̪ t̪ ɪ b ɛː ɾ o s
Cantiveros	k ɐ n̪ t̪ ɪ b ɛː ɾ o s
Cantos	k a n̪ t̪ o s
Cañedo	k ɐ n ɲ ɛː d̪ o
Cañedo	k ɐ n̪ j ɛː d̪ o
Cañedo	k ɐ n̪ j ɛː d̪ o
Cañeso	k ɐ n ɲ ɛː s o
Cañeso	k ɐ n̪ j ɛː s o
Cañeso	k ɐ n̪ j ɛː s o
Cañete	k ɐ n ɲ ɛː t̪ ɛ
Cañete	k ɐ n̪ j ɛː t̪ ɛ
Cañete	k ɐ n̪ j ɛː t̪ ɛ
Capalonga	k ɐ p ɐ l o ŋ ɡ ɐ
Capangyarihan	k ɐ p ɐ ŋ j ɐ ɾ iː h ɐ n̪
Caparas	k ɐ p ɐ ɾ a s
Capihan	k ɐ p iː h ɐ n̪
Capili	k ɐ p iː l ɪ
Capinpin	k ɐ p ɪ m p ɪ n̪
