aba	a b a
dërgòtac	d ɜ r ɡ w ɛ t a t͡s
dërżeń	d ɜ r ʒ ɛ ɲ
dëszer	d ɜ ʃ ɛ r
dëtk	d ɜ t k
dëtkòwi	d ɜ t k w ɛ v i
dëtkòwnica	d ɜ t k w ɛ v ɲ i t͡s a
dólny	d o l n i
dóm	d o m
dół	d o w
dóńc	d o ɲ t͡s
dôka	d ɞ k a
dôr	d ɞ r
dôwno	d ɞ v n ɔ
dôwny	d ɞ v n i
dôwôcz	d ɞ v ɞ t͡ʃ
dąb	d ɔ̃ p
dąsło	d ɔ̃ s w ɔ
dłudżi	d w u d͡ʒ i
długòsc	d w u ɡ w ɛ s t͡s
dłëbac	d w ɜ b a t͡s
dłóń	d w o ɲ
dż	d ʒ
Dż	d ʒ
dżerstla	d͡ʒ ɛ r s t l a
ebònit	ɛ b w ɛ ɲ i t
ebònitowi	ɛ b w ɛ ɲ i t ɔ v i
echt	ɛ x t
echò	ɛ x w ɛ
edikt	ɛ d i k t
editór	ɛ d i t o r
edukacjô	ɛ d u k a t͡s j ɞ
Elba	ɛ l b a
elektrika	ɛ l ɛ k t r i k a
element	ɛ l ɛ m ɛ n t
elitarny	ɛ l i t a r n i
Elzas	ɛ l z a s
erba	ɛ r b a
erbòwac	ɛ r b w ɛ v a t͡s
esperanto	ɛ s p ɛ r a n t ɔ
Estoniô	ɛ s t ɔ ɲ ɞ
etap	ɛ t a p
etapa	ɛ t a p a
ewòlucjô	ɛ w ɛ l u t͡s j ɞ
Eùropa	ɛ w r ɔ p a
fabrika	f a b r i k a
fabrika	f a b r i k a
fabrikã	f a b r i k ã
fabrëka	f a b r ɜ k a
fabrëka	f a b r ɜ k a
fach	f a x
fachman	f a x m a n
fakt	f a k t
falszëwi	f a l ʃ ɜ v i
familëjô	f a m i l ɜ j ɞ
fana	f a n a
fara	f a r a
fardich	f a r d i x
farmowac	f a r m ɔ v a t͡s
farmôrz	f a r m ɞ r̝
farny	f a r n i
farwa	f a r v a
fau	f a u
fazan	f a z a n
februar	f ɛ b r u a r
fechtowanié	f ɛ x t ɔ v a ɲ e
fela	f ɛ l a
feldmarszal	f ɛ l d m a r ʃ a l
felowac	f ɛ l ɔ v a t͡s
fensterlôdka	f ɛ n s t ɛ r l ɞ t k a
fernës	f ɛ r n ɜ s
fertich	f ɛ r t i x
festin	f ɛ s t i n
festinga	f ɛ s t i ŋ ɡ a
festiwal	f ɛ s t i v a l
ficel	f i t͡s ɛ l
film	f i l m
filowac	f i l ɔ v a t͡s
filozonka	f i l ɔ z ɔ ŋ k a
filter	f i l t ɛ r
Fińskô	f i ɲ s k ɞ
flaba	f l a b a
flach	f l a x
flaka	f l a k a
flaster	f l a s t ɛ r
fliger	f l i ɡ ɛ r
fligerplac	f l i ɡ ɛ r p l a t͡s
fliza	f l i z a
floret	f l ɔ r ɛ t
flot	f l ɔ t
fluor	f l u ɔ r
Francjô	f r a n t͡s j ɞ
fri	f r i
frikas	f r i k a s
frisztëk	f r i ʃ t ɜ k
frizjéra	f r i z j e r a
front	f r ɔ n t
frëchòwny	f r ɜ x w ɛ v n i
fëjn	f ɜ j n
fërszta	f ɜ r ʃ t a
fëst	f ɜ s t
fòrma	f w ɛ r m a
fóra	f w o r a
fôder	f ɞ d ɛ r
fùga	f w u ɡ a
fùl	f w u l
fùndusz	f w u n d u ʃ
fùrgón	f w u r ɡ w o n
fùslapa	f w u s l a p a
fùter	f w u t ɛ r
fùtrowac	f w u t r ɔ v a t͡s
fùńt	f w u ɲ t
gadac	ɡ a d a t͡s
gafla	ɡ a f l a
gafle	ɡ a f l ɛ
galant	ɡ a l a n t
gard	ɡ a r t
gardina	ɡ a r d i n a
gardło	ɡ a r d w ɔ
garnéra	ɡ a r n e r a
gasa	ɡ a s a
gastarabëjter	ɡ a s t a r a b ɜ j t ɛ r
gastuz	ɡ a s t u s
gatënk	ɡ a t ɜ ŋ k
gawera	ɡ a v ɛ r a
gaz	ɡ a s
gazéta	ɡ a z e t a
gazétã	ɡ a z e t ã
gazétą	ɡ a z e t ɔ̃
gbùr	ɡ b w u r
gbùra	ɡ b w u r a
gbùrzë	ɡ b w u r̝ ɜ
gduńsczi	ɡ d u ɲ s t͡ʃ i
Gduńsk	ɡ d u ɲ s k
gdze	ɡ d͡z ɛ
gdë	ɡ d ɜ
gebis	ɡ ɛ b i s
gebùrstach	ɡ ɛ b w u r s t a x
Genua	ɡ ɛ n u a
gepard	ɡ ɛ p a r t
geszeft	ɡ ɛ ʃ ɛ f t
gewërc	ɡ ɛ v ɜ r t͡s
gimnazjô	ɡ i m n a z j ɞ
giskana	ɡ i s k a n a
gloka	ɡ l ɔ k a
glëmza	ɡ l ɜ m z a
glëmzda	ɡ l ɜ m z d a
gnac	ɡ n a t͡s
gnic	ɡ ɲ i t͡s
gniesc	ɡ ɲ ɛ s t͡s
gnôt	ɡ n ɞ t
golfowac	ɡ ɔ l f ɔ v a t͡s
grac	ɡ r a t͡s
graf	ɡ r a f
grajôk	ɡ r a j ɞ k
grańca	ɡ r a ɲ t͡s a
grańdółk	ɡ r a ɲ d o w k
Greckô	ɡ r ɛ t͡s k ɞ
grifòwi	ɡ r i f w ɛ v i
groch	ɡ r ɔ x
grochòwi	ɡ r ɔ x w ɛ v i
grochòwi	ɡ r ɔ x w ɛ v i
grochòwina	ɡ r ɔ x w ɛ v i n a
grochòwinã	ɡ r ɔ x w ɛ v i n ã
grochòwiną	ɡ r ɔ x w ɛ v i n ɔ̃
gromicznik	ɡ r ɔ m i t͡ʃ ɲ i k
groszk	ɡ r ɔ ʃ k
gruńt	ɡ r u ɲ t
grzebiéń	ɡ r̝ ɛ b j e ɲ
grzib	ɡ r̝ i p
grzéch	ɡ r̝ e x
grzëwa	ɡ r̝ ɜ v a
grëbi	ɡ r ɜ b i
grëfel	ɡ r ɜ f ɛ l
grëpa	ɡ r ɜ p a
grëzc	ɡ r ɜ s t͡s
Grëzjô	ɡ r ɜ z j ɞ
grëzôk	ɡ r ɜ z ɞ k
grónk	ɡ r o ŋ k
grôp	ɡ r ɞ p
grôpk	ɡ r ɞ p k
grôpnica	ɡ r ɞ p ɲ i t͡s a
grôpòwi	ɡ r ɞ p w ɛ v i
grôpòwnik	ɡ r ɞ p w ɛ v ɲ i k
gumrubrë	ɡ u m r u b r ɜ
gwizdac	ɡ v i z d a t͡s
gwiôzda	ɡ v j ɞ z d a
gwës	ɡ v ɜ s
gwësnota	ɡ v ɜ s n ɔ t a
gãba	ɡ ã b a
gãs	ɡ ã s
gãsti	ɡ ã s t i
gëdlëc	ɡ ɜ d l ɜ t͡s
gòdnik	ɡ w ɛ d ɲ i k
gòdzëna	ɡ w ɛ d͡z ɜ n a
gòdło	ɡ w ɛ d w ɔ
gònic	ɡ w ɛ ɲ i t͡s
gòralk	ɡ w ɛ r a l k
gòril	ɡ w ɛ r i l
gòrszi	ɡ w ɛ r ʃ i
gòrzczi	ɡ w ɛ r̝ t͡ʃ i
gòsc	ɡ w ɛ s t͡s
Gòsk	ɡ w ɛ s k
gòspòda	ɡ w ɛ s p w ɛ d a
gòspòdôrz	ɡ w ɛ s p w ɛ d ɞ r̝
Gòstk	ɡ w ɛ s t k
gòtowac	ɡ w ɛ t ɔ v a t͡s
gòtowi	ɡ w ɛ t ɔ v i
gòtowim	ɡ w ɛ t ɔ v i m
gòtowima	ɡ w ɛ t ɔ v i m a
gòtowé	ɡ w ɛ t ɔ v e
gòtowégò	ɡ w ɛ t ɔ v e ɡ w ɛ
gòtowémù	ɡ w ɛ t ɔ v e m w u
gòtowëch	ɡ w ɛ t ɔ v ɜ x
gòtowô	ɡ w ɛ t ɔ v ɞ
gòtową	ɡ w ɛ t ɔ v ɔ̃
gòtów	ɡ w ɛ t o f
gòłdny	ɡ w ɛ w d n i
gòłąb	ɡ w ɛ w ɔ̃ p
gòłąbk	ɡ w ɛ w ɔ̃ p k
góra	ɡ w o r a
górnosorbsczi	ɡ w o r n ɔ s ɔ r p s t͡ʃ i
górny	ɡ w o r n i
gółd	ɡ w o w t
góń	ɡ w o ɲ
gôdka	ɡ ɞ t k a
gôrméster	ɡ ɞ r m e s t ɛ r
gôłwa	ɡ ɞ w v a
gùrka	ɡ w u r k a
głos	ɡ w ɔ s
głowa	ɡ w ɔ v a
głupi	ɡ w u p i
głãbòczi	ɡ w ã b w ɛ t͡ʃ i
głównie	ɡ w o v ɲ ɛ
główny	ɡ w o v n i
głôdczi	ɡ w ɞ t t͡ʃ i
halac	x a l a t͡s
Hanófer	x a n o f ɛ r
harfa	x a r f a
heft	x ɛ f t
hiena	x j ɛ n a
himn	x i m n
hipòpòtam	x i p w ɛ p w ɛ t a m
hébama	x e b a m a
hëc	x ɜ t͡s
hëft	x ɜ f t
hërlëk	x ɜ r l ɜ k
hómpelman	x w o m p ɛ l m a n
hôk	x ɞ k
hômer	x ɞ m ɛ r
hùwa	x w u v a
i	i
Indie	i n d j ɛ
indonezëjsczi	i n d ɔ n ɛ z ɜ j s t͡ʃ i
industrëjô	i n d u s t r ɜ j ɞ
infinitiw	i n f i ɲ i t i f
ingber	i ŋ ɡ b ɛ r
inst	i n s t
italsczi	i t a l s t͡ʃ i
Italskô	i t a l s k ɞ
izyben	i z i b ɛ n
ja	j a
jabkò	j a p k w ɛ
jachac	j a x a t͡s
jachta	j a x t a
jaczi	j a t͡ʃ i
jaczis	j a t͡ʃ i s
jadro	j a d r ɔ
jagniã	j a ɡ ɲ ã
jagòda	j a ɡ w ɛ d a
jagòdã	j a ɡ w ɛ d ã
jagódnik	j a ɡ w o d ɲ i k
jagùar	j a ɡ w u a r
jajco	j a j t͡s ɔ
jaje	j a j ɛ
jak	j a k
jaka	j a k a
jakbë	j a ɡ b ɜ
jakò	j a k w ɛ
jakòs	j a k w ɛ s
jamrot	j a m r ɔ t
januar	j a n u a r
Japóńskô	j a p w o ɲ s k ɞ
jarzëbina	j a r̝ ɜ b i n a
jasny	j a s n i
Jaster	j a s t ɛ r
Jastra	j a s t r a
jastrzib	j a s t ʂ i p
Jastrzëbóg	j a s t ʂ ɜ b w o k
Jastrë	j a s t r ɜ
jasón	j a s o n
jaż	j a ʃ
jeden	j ɛ d ɛ n
jedinie	j ɛ d i ɲ ɛ
jediny	j ɛ d i n i
jednak	j ɛ d n a k
jednosc	j ɛ d n ɔ s t͡s
jednôsce	j ɛ d n ɞ s t͡s ɛ
jedwôb	j ɛ d v ɞ p
jeléń	j ɛ l e ɲ
jenot	j ɛ n ɔ t
jesc	j ɛ s t͡s
jesz	j ɛ ʃ
jeséń	j ɛ s e ɲ
jezoro	j ɛ z ɔ r ɔ
jeżownik	j ɛ ʒ ɔ v ɲ i k
jeżozwiérz	j ɛ ʒ ɔ z v j e r̝
jibùng	j i b w u ŋ k
jic	j i t͡s
jigra	j i ɡ r a
jigò	j i ɡ w ɛ
jigła	j i ɡ w a
jigłã	j i ɡ w ã
jilosc	j i l ɔ s t͡s
jinaczi	j i n a t͡ʃ i
Jindie	j i n d j ɛ
Jindiôk	j i n d j ɞ k
jinstitucjô	j i n s t i t u t͡s j ɞ
jinstrumental	j i n s t r u m ɛ n t a l
jinternet	j i n t ɛ r n ɛ t
jinternetowi	j i n t ɛ r n ɛ t ɔ v i
jiny	j i n i
jinzerat	j i n z ɛ r a t
Jirlandiô	j i r l a n d j ɞ
Jislandiô	j i s l a n d j ɞ
jistnik	j i s t ɲ i k
jistota	j i s t ɔ t a
jiwer	j i v ɛ r
jiwrowac	j i v r ɔ v a t͡s
jizba	j i z b a
jo	j ɔ
jodlëna	j ɔ d l ɜ n a
ju	j u
jugò	j u ɡ w ɛ
juli	j u l i
juny	j u n i
jutro	j u t r ɔ
juzowac	j u z ɔ v a t͡s
jãzëk	j ã z ɜ k
jéż	j e ʃ
jô	j ɞ
jôżdż	j ɞ ʃ t͡ʃ
kabôt	k a b ɞ t
kachel	k a x ɛ l
kalcéń	k a l t͡s e ɲ
kali	k a l i
kalk	k a l k
kalmùs	k a l m w u s
kalãdôrz	k a l ã d ɞ r̝
kaléka	k a l e k a
kalékã	k a l e k ã
kaléką	k a l e k ɔ̃
kam	k a m
kamel	k a m ɛ l
kamela	k a m ɛ l a
kamiń	k a m i ɲ
kamë	k a m ɜ
kancelista	k a n t͡s ɛ l i s t a
kandidat	k a n d i d a t
kangùr	k a ŋ ɡ w u r
kanion	k a ɲ ɔ n
kantata	k a n t a t a
kanóna	k a n o n a
kapac	k a p a t͡s
kapibara	k a p i b a r a
kapiténa	k a p i t e n a
kapitón	k a p i t o n
kapka	k a p k a
kapôwen	k a p ɞ v ɛ n
kapùza	k a p w u z a
kara	k a r a
karasela	k a r a s ɛ l a
kark	k a r k
karno	k a r n ɔ
kartun	k a r t u n
karus	k a r u s
karwa	k a r v a
kasjéra	k a s j e r a
kasper	k a s p ɛ r
kasta	k a s t a
kaszalot	k a ʃ a l ɔ t
Kaszëba	k a ʃ ɜ b a
kaszëbsczi	k a ʃ ɜ p s t͡ʃ i
Kaszëbskô	k a ʃ ɜ p s k ɞ
Kaszëbë	k a ʃ ɜ b ɜ
katolëk	k a t ɔ l ɜ k
katéchizm	k a t e x i z m
katézmùs	k a t e z m w u s
kawa	k a v a
kawaleriô	k a v a l ɛ r j ɞ
kazac	k a z a t͡s
kindus	k i n d u s
Kiszëniôw	k i ʃ ɜ ɲ ɞ f
klasa	k l a s a
klawir	k l a v i r
klin	k l i n
klinker	k l i ŋ k ɛ r
klucz	k l u t͡ʃ
klutôk	k l u t ɞ k
kléd	k l e t
kléwer	k l e v ɛ r
klëczec	k l ɜ t͡ʃ ɛ t͡s
klón	k l o n
klósk	k l o s k
klôr	k l ɞ r
klôsztór	k l ɞ ʃ t o r
klôtka	k l ɞ t k a
knap	k n a p
knip	k ɲ i p
knurps	k n u r p s
knéga	k n e ɡ a
knéra	k n e r a
knéwel	k n e v ɛ l
knéżka	k n e ʃ k a
knëga	k n ɜ ɡ a
knëpel	k n ɜ p ɛ l
knôp	k n ɞ p
knôrz	k n ɞ r̝
knąpa	k n ɔ̃ p a
kolowac	k ɔ l ɔ v a t͡s
kopsa	k ɔ p s a
krafy	k r a f i
krajac	k r a j a t͡s
krajowi	k r a j ɔ v i
krajowi	k r a j ɔ v i
krakòwsczi	k r a k w ɛ f s t͡ʃ i
krasc	k r a s t͡s
kret	k r ɛ t
krew	k r ɛ f
krewny	k r ɛ v n i
krok	k r ɔ k
krowa	k r ɔ v a
krowã	k r ɔ v ã
krową	k r ɔ v ɔ̃
kruk	k r u k
krutop	k r u t ɔ p
krutopòwi	k r u t ɔ p w ɛ v i
kruzowany	k r u z ɔ v a n i
krzesznia	k ʂ ɛ ʃ ɲ a
krzeszniã	k ʂ ɛ ʃ ɲ ã
krzesznią	k ʂ ɛ ʃ ɲ ɔ̃
krzidło	k ʂ i d w ɔ
krzik	k ʂ i k
krziż	k ʂ i ʃ
krzón	k ʂ o n
krëc	k r ɜ t͡s
krëczewka	k r ɜ t͡ʃ ɛ f k a
krëgac	k r ɜ ɡ a t͡s
krëgnąc	k r ɜ ɡ n ɔ̃ t͡s
krëk	k r ɜ k
krëpel	k r ɜ p ɛ l
krëszka	k r ɜ ʃ k a
król	k r o l
królewô	k r o l ɛ v ɞ
króm	k r o m
krótczi	k r o t t͡ʃ i
krôj	k r ɞ j
krążëc	k r ɔ̃ ʒ ɜ t͡s
ksztôłt	k ʃ t ɞ w t
ksãżstwò	k s ã ʃ s t f w ɛ
ksãżëc	k s ã ʒ ɜ t͡s
ksądz	k s ɔ̃ t͡s
ksążã	k s ɔ̃ ʒ ã
kurlowac	k u r l ɔ v a t͡s
kwark	k f a r k
kwatéra	k f a t e r a
kwiat	k f j a t
kwiczka	k f i t͡ʃ k a
kãdë	k ã d ɜ
kãpac	k ã p a t͡s
kéfich	k e f i x
kézykùch	k e z i k w u x
kòala	k w ɛ a l a
kòalicjô	k w ɛ a l i t͡s j ɞ
kòbalt	k w ɛ b a l t
kòbiéta	k w ɛ b j e t a
kòbiétã	k w ɛ b j e t ã
kòbiétą	k w ɛ b j e t ɔ̃
kòchac	k w ɛ x a t͡s
kòczkòdan	k w ɛ t͡ʃ k w ɛ d a n
kòl	k w ɛ l
kòlano	k w ɛ l a n ɔ
kòlczatka	k w ɛ l t͡ʃ a t k a
kòmisjô	k w ɛ m i s j ɞ
kòmitet	k w ɛ m i t ɛ t
kòmòra	k w ɛ m w ɛ r a
kòmòrã	k w ɛ m w ɛ r ã
kòmòrą	k w ɛ m w ɛ r ɔ̃
kòmórka	k w ɛ m w o r k a
kòmórkã	k w ɛ m w o r k ã
kòmórką	k w ɛ m w o r k ɔ̃
kòniczëna	k w ɛ ɲ i t͡ʃ ɜ n a
kònieczny	k w ɛ ɲ ɛ t͡ʃ n i
kònspirowac	k w ɛ n s p i r ɔ v a t͡s
kòntakt	k w ɛ n t a k t
kòpac	k w ɛ p a t͡s
kòpalniã	k w ɛ p a l ɲ ã
kòpalniô	k w ɛ p a l ɲ ɞ
kòpalnią	k w ɛ p a l ɲ ɔ̃
kòper	k w ɛ p ɛ r
kòrné	k w ɛ r n e
kòrzéń	k w ɛ r̝ e ɲ
kòrzëstac	k w ɛ r̝ ɜ s t a t͡s
kòróna	k w ɛ r o n a
kòsa	k w ɛ s a
kòsc	k w ɛ s t͡s
kòscół	k w ɛ s t͡s o w
kòsmiczny	k w ɛ s m i t͡ʃ n i
kòsz	k w ɛ ʃ
kòszla	k w ɛ ʃ l a
kòszëla	k w ɛ ʃ ɜ l a
kòt	k w ɛ t
kòwôl	k w ɛ v ɞ l
kòza	k w ɛ z a
kòzeł	k w ɛ z ɛ w
kòło	k w ɛ w ɔ
kòżdi	k w ɛ ʒ d i
kóra	k w o r a
kóń	k w o ɲ
kóńsczi	k w o ɲ s t͡ʃ i
Kôln	k ɞ l n
kôrczownik	k ɞ r t͡ʃ ɔ v ɲ i k
kôta	k ɞ t a
kôzac	k ɞ z a t͡s
kôłbasa	k ɞ w b a s a
kôłp	k ɞ w p
kôłpia	k ɞ w p j a
kôłpiach	k ɞ w p j a x
kôłpiama	k ɞ w p j a m a
kôłpie	k ɞ w p j ɛ
kôłpik	k ɞ w p i k
kôłpiowi	k ɞ w p j ɔ v i
kôłpiu	k ɞ w p j u
kôłpiã	k ɞ w p j ã
kôłpióm	k ɞ w p j o m
kôłpiów	k ɞ w p j o f
kùch	k w u x
kùchniã	k w u x ɲ ã
kùchniô	k w u x ɲ ɞ
kùchnią	k w u x ɲ ɔ̃
kùczer	k w u t͡ʃ ɛ r
kùczrowac	k w u t͡ʃ r ɔ v a t͡s
kùgla	k w u ɡ l a
kùla	k w u l a
kùli	k w u l i
kùling	k w u l i n k
kùlkò	k w u l k w ɛ
kùm	k w u m
kùna	k w u n a
kùpic	k w u p i t͡s
kùrczã	k w u r t͡ʃ ã
kùropatka	k w u r ɔ p a t k a
kùropatkã	k w u r ɔ p a t k ã
kùrwa	k w u r v a
kùrzëc	k w u r̝ ɜ t͡s
kùs	k w u s
kùsk	k w u s k
kùszkac	k w u ʃ k a t͡s
kùńc	k w u ɲ t͡s
kùńszt	k w u ɲ ʃ t
kùńsztméster	k w u ɲ ʃ t m e s t ɛ r
kąpnica	k ɔ̃ p ɲ i t͡s a
kąter	k ɔ̃ t ɛ r
kątor	k ɔ̃ t ɔ r
kłasc	k w a s t͡s
kłonica	k w ɔ ɲ i t͡s a
kłonicã	k w ɔ ɲ i t͡s ã
kłonicą	k w ɔ ɲ i t͡s ɔ̃
kłopòt	k w ɔ p w ɛ t
kłos	k w ɔ s
lajk	l a j k
lama	l a m a
lampart	l a m p a r t
larm	l a r m
larwa	l a r v a
las	l a s
lasfór	l a s f w o r
lasowi	l a s ɔ v i
latac	l a t a t͡s
latawiskò	l a t a v i s k w ɛ
lato	l a t ɔ
latos	l a t ɔ s
lecec	l ɛ t͡s ɛ t͡s
lejerkasta	l ɛ j ɛ r k a s t a
lekcjô	l ɛ k t͡s j ɞ
lemòna	l ɛ m w ɛ n a
leno	l ɛ n ɔ
leopard	l ɛ ɔ p a r t
lepi	l ɛ p i
letczi	l ɛ t t͡ʃ i
leutnant	l ɛ u t n a n t
lew	l ɛ f
lewi	l ɛ v i
lewô	l ɛ v ɞ
lezc	l ɛ s t͡s
leżec	l ɛ ʒ ɛ t͡s
lim	l i m
lipc	l i p t͡s
lizac	l i z a t͡s
lokatiw	l ɔ k a t i f
lorneta	l ɔ r n ɛ t a
lubic	l u b i t͡s
lubòtnik	l u b w ɛ t ɲ i k
lud	l u t
luks	l u k s
Lutich	l u t i x
Lãbórg	l ã b w o r k
lãpa	l ã p a
léberka	l e b ɛ r k a
lécha	l e x a
lékôrz	l e k ɞ r̝
lézowac	l e z ɔ v a t͡s
lëchi	l ɜ x i
lëchò	l ɜ x w ɛ
lëczba	l ɜ d͡ʒ b a
lëczëc	l ɜ t͡ʃ ɜ t͡s
lëdac	l ɜ d a t͡s
lëdze	l ɜ d͡z ɛ
lëft	l ɜ f t
lëpa	l ɜ p a
lëpin	l ɜ p i n
lëpińc	l ɜ p i ɲ t͡s
lës	l ɜ s
lësa	l ɜ s a
lësach	l ɜ s a x
lësama	l ɜ s a m a
lëse	l ɜ s ɛ
lësowi	l ɜ s ɔ v i
lëst	l ɜ s t
lëstopadnik	l ɜ s t ɔ p a d ɲ i k
lëstopôd	l ɜ s t ɔ p ɞ t
lësu	l ɜ s u
lësznia	l ɜ ʃ ɲ a
lëszniô	l ɜ ʃ ɲ ɞ
lëszt	l ɜ ʃ t
lësã	l ɜ s ã
lësë	l ɜ s ɜ
lësóm	l ɜ s o m
lësów	l ɜ s o f
lëter	l ɜ t ɛ r
lëteratura	l ɜ t ɛ r a t u r a
Lëtewskô	l ɜ t ɛ f s k ɞ
Lëtwa	l ɜ t f a
Lëtwã	l ɜ t f ã
lód	l o t
lónowac	l o n ɔ v a t͡s
lórowac	l o r ɔ v a t͡s
lóz	l o s
lôc	l ɞ t͡s
mac	m a t͡s
machac	m a x a t͡s
madraca	m a d r a t͡s a
madrowac	m a d r ɔ v a t͡s
Madżara	m a d͡ʒ a r a
Madżarskô	m a d͡ʒ a r s k ɞ
magazina	m a ɡ a ʑ i n a
majpél	m a j p e l
majs	m a j s
mak	m a k
makak	m a k a k
makerowac	m a k ɛ r ɔ v a t͡s
mala	m a l a
malas	m a l a s
malc	m a l t͡s
malëna	m a l ɜ n a
mamòta	m a m w ɛ t a
mamùt	m a m w u t
mandla	m a n d l a
mangùsta	m a ŋ ɡ w u s t a
manifestacjô	m a ɲ i f ɛ s t a t͡s j ɞ
manowac	m a n ɔ v a t͡s
manësta	m a n ɜ s t a
marc	m a r t͡s
marsnąc	m a r s n ɔ̃ t͡s
marwa	m a r v a
marz	m a r s
maszina	m a ʃ i n a
matka	m a t k a
Matéùsz	m a t e w u ʃ
mało	m a w ɔ
mańtel	m a ɲ t ɛ l
mecz	m ɛ t͡ʃ
medicyna	m ɛ d i t͡s i n a
medzë	m ɛ d͡z ɜ
mer	m ɛ r
merk	m ɛ r k
merkac	m ɛ r k a t͡s
metabòlizm	m ɛ t a b w ɛ l i z m
miara	m j a r a
miarznąc	m j a r z n ɔ̃ t͡s
miasto	m j a s t ɔ
miastowi	m j a s t ɔ v i
midzë	m i d͡z ɜ
miec	m j ɛ t͡s
miech	m j ɛ x
miecz	m j ɛ t͡ʃ
miedwiédz	m j ɛ d v j e t͡s
miedzwiédz	m j ɛ d͡z v j e t͡s
miedzë	m j ɛ d͡z ɜ
miesce	m j ɛ s t͡s ɛ
miesczi	m j ɛ s t͡ʃ i
mieszkac	m j ɛ ʃ k a t͡s
mieszkanié	m j ɛ ʃ k a ɲ e
mieszkańc	m j ɛ ʃ k a ɲ t͡s
miesąc	m j ɛ s ɔ̃ t͡s
miesądz	m j ɛ s ɔ̃ t͡s
mimò	m i m w ɛ
mimòza	m i m w ɛ z a
mindzë	m i n d͡z ɜ
minerôł	m i n ɛ r ɞ w
minister	m i ɲ i s t ɛ r
minuta	m i n u t a
minyster	m i n i s t ɛ r
miodownik	m j ɔ d ɔ v ɲ i k
miono	m j ɔ n ɔ
mitczi	m i t t͡ʃ i
mizë	m i z ɜ
miãdzë	m j ã d͡z ɜ
miãso	m j ã s ɔ
miészk	m j e ʃ k
miónka	m j o ŋ k a
mlékò	m l e k w ɛ
morowac	m ɔ r ɔ v a t͡s
mrok	m r ɔ k
mrówka	m r o f k a
mrówkòjôd	m r o f k w ɛ j ɞ t
mébel	m e b ɛ l
médëch	m e d ɜ x
mélkò	m e l k w ɛ
mést	m e s t
méster	m e s t ɛ r
méter	m e t ɛ r
më	m ɜ
mëc	m ɜ t͡s
mëdło	m ɜ d w ɔ
mëga	m ɜ ɡ a
mëma	m ɜ m a
mërmòt	m ɜ r m w ɛ t
mësac	m ɜ s a t͡s
mësla	m ɜ s l a
mëslëc	m ɜ s l ɜ t͡s
mëslô	m ɜ s l ɞ
mësz	m ɜ ʃ
mëszôk	m ɜ ʃ ɞ k
mët	m ɜ t
mòc	m w ɛ t͡s
mòcny	m w ɛ t͡s n i
mòdlëtwa	m w ɛ d l ɜ t f a
mòdri	m w ɛ d r i
mòdrôk	m w ɛ d r ɞ k
mòjn	m ɔ j n
mòkri	m w ɛ k r i
Mòkòsz	m w ɛ k w ɛ ʃ
Mònakò	m w ɛ n a k w ɛ
mòrsczi	m w ɛ r s t͡ʃ i
mòrze	m w ɛ r̝ ɛ
mòrzé	m w ɛ r̝ e
mòrzëc	m w ɛ r̝ ɜ t͡s
mòrës	m w ɛ r ɜ s
mòst	m w ɛ s t
mòsądz	m w ɛ s ɔ̃ t͡s
mòsąg	m w ɛ s ɔ̃ k
mòtil	m w ɛ t i l
mòtowidło	m w ɛ t ɔ v i d w ɔ
mòtto	m w ɛ t t ɔ
mòwa	m w ɛ v a
mòwny	m w ɛ v n i
mòzdrëch	m w ɛ z d r ɜ x
Mòłdawskô	m w ɛ w d a f s k ɞ
mój	m w o j
mówca	m w o f t͡s a
mówic	m w o v i t͡s
môchnąc	m ɞ x n ɔ̃ t͡s
môj	m ɞ j
môl	m ɞ l
môlnik	m ɞ l ɲ i k
môltëch	m ɞ l t ɜ x
môłczëc	m ɞ w t͡ʃ ɜ t͡s
môłi	m ɞ w i
môłniô	m ɞ w ɲ ɞ
mùca	m w u t͡s a
mùcha	m w u x a
mùder	m w u d ɛ r
mùsk	m w u s k
mùszec	m w u ʃ ɛ t͡s
mùszket	m w u ʃ k ɛ t
mùszkéta	m w u ʃ k e t a
mùtka	m w u t k a
mùzułman	m w u z u w m a n
mùzyka	m w u z i k a
mùńsztuk	m w u ɲ ʃ t u k
mùżôrka	m w u ʒ ɞ r k a
mądri	m ɔ̃ d r i
mąż	m ɔ̃ ʃ
młin	m w i n
młoc	m w ɔ t͡s
młodi	m w ɔ d i
młodzéż	m w ɔ d͡z e ʃ
młoleczka	m w ɔ l ɛ t͡ʃ k a
młot	m w ɔ t
na	n a
nabëc	n a b ɜ t͡s
nabëcé	n a b ɜ t͡s e
nabëtk	n a b ɜ t k
nabëwac	n a b ɜ v a t͡s
nacerac	n a t͡s ɛ r a t͡s
nad	n a t
nade	n a d ɛ
nadwòdny	n a d w ɛ d n i
nadążëc	n a d ɔ̃ ʒ ɜ t͡s
nafùtrowac	n a f w u t r ɔ v a t͡s
nalezc	n a l ɛ s t͡s
namieniony	n a m j ɛ ɲ ɔ n i
napôd	n a p ɞ t
nara	n a r a
narodzenié	n a r ɔ d͡z ɛ ɲ e
narwal	n a r v a l
narzãdzôcz	n a r̝ ã d͡z ɞ t͡ʃ
nasz	n a ʃ
nawet	n a v ɛ t
nawetka	n a v ɛ t k a
nazewac	n a z ɛ v a t͡s
nazwa	n a z v a
