aa	ɑː
Gåssn	ɡ̥ ɔ sː n̩
Gåst	ɡ̥ ɔ s d̥
gö	ɡ̥ œ
Göd	ɡ̥ œː d̥
gölb	ɡ̊ œ l b̥
Gösn	ɡ̥ œː s n̩
götn	ɡ̥ œ d̥ː n̩
gööb	ɡ̥ œː b̥
Haberer	h ɑː β ɐ r ɐ
Hackler	h ɑ ɡ̥ː l̩ ɐ
hackln	h ɑ ɡ̥ː l̩ n
Haderlump	h ɔ d̥ ɐ l u m p
Hadern	h ɔ d̥ ɐ n
haglich	h ɑː ɡ̥ l i ç
haid	h a ɪ̯ d
happig	h ɑ b̥ː i ç
Happl	h ɑ b̥ː l̩
Happl	h ɑ b̥ː œ
Haring	h ɑː r i ŋ
Harpfn	h ɑː b̥ f ɱ̩
haßn	h ɑː s n̩
hatschert	h ɑː d̥͡ʃ ɐ d̥
Haubn	h ɑ ɔ̯ b̥ m̩
Haubn	h ɑ ɔ̯ m
Haubn	h ɒː b̥ m̩
Haubn	h ɒː m
Hauptspeis	h ɑ ɔ̯ b̥ d̥ ʃ b̥ ɑ ɛ̯ s
Hauptspeis	h ɒː b̥ d̥ ʃ b̥ æː s
Haus	h ɒ ɔ̯ s
Hausviech	h a̯ u s f iː ç
Hawara	h ɑˑ β ɐ r ɐ
Haxn	h ɑ ɡ̥ s n̩
hearn	h e̞ ɐ̯ n
hebn	h eː m
Hefl	h e̞ f l̩
Hefn	h e̞ f ɱ̩
Heftl	h e̞ f d̥ l̩
heier	h ɑ ɛ̯ ɐ
heier	h æː ɐ
Heislschmäh	h ɑ ɛ̯ s l̩ ʃ m e̞ː
Heislschmäh	h æː s l̩ ʃ m e̞ː
Hendl	h e̞ n d̥ l̩
Hendl	h ɛ n d̥ l̩
Henn	h eː n
Henna	h eː n ɐ
Hepfa	h e̞ b̥ f ɐ
Hepfn	h e̞ b̥ f ɱ̩
her	h e ɐ̯
herobn	h e ɐ̯ r oː m
Herz	h e ɐ̯ t͡s
Herzkaschperl	h e̞ ɐ̯ d̥ s k ɑ ʃ b̥ ɐ l
Herzkasperl	h e̞ ɐ̯ d̥ s k ɑ ʃ b̥ ɐ l
Hetz	h e̞ t s
hi	h iː
Hiafler	h i ɐ̯ f l ɐ
Himme	h i m e
hinich	h iː n i ç
hinig	h iː n i ɡ̥
hinig	h iː n i ç
hinta	h i n tː ɐ
hinti	h i n tː i
hintra	h i n t r ɐ
hintre	h i n t r ɛ
hintri	h i n t r i
Hirn	h i ɐ n
hoaglich	h ɔ ɐ̯ ɡ̥ l i ç
Hoar	h ɔ ɐ̯
hoaß	h o ɐ̯ s
hoaß	h aː s
hoaßn	h ɔ ɐ̯ s n̩
hoat	h ɔ ɐ̯ d̥
hoib	h o e b̥
hoiber	h o e b̥ ɐ
hoibert	h o e b̥ ɐ d̥
hoidn	h ɔ e̯ d n̩
hoin	h o e̯ n
Hois	h ɔ e s
Holler	h o l ɐ
Hosn	h oː s n̩
huachn	h u ɐ̯ x ŋ
Huat	h u ɐ t
hudln	h uː d̥ l̩ n
Hund	h u n d̥
Hund	h u n t
hundln	h u n d̥ l̩ n
hupfa	h u b̥ f ɱ̩
hupfn	h u b̥ f ɱ̩
Hur	h uː ɐ
Häferl	h e̞ f ɐ l
Häfn	h e̞ f ɱ̩
hängan	h ɛ ŋ ɐ n
Häusl	h a ɪ̯ s l̩
Häusl	h a ɛ̯ s l̩
Häusl	h æː s l̩
håbn	h ɒː m
Håckn	h ɔ ɡ̥ː ŋ
håckn	h ɔ kː ŋ
håmma	h ɔ m ɐ
Håmmer	h ɔ m ɐ
Håmmer	h ɒ̃ː m ɐ
Håmsterradl	h ɔ m s d̥ ɐ r ɑː d̥ l̩
Håmsterradl	h ɒ̃ m s d̥ ɐ r ɑː d̥ l̩
Hånd	h ɑ n d̥
Hånd	h ɔ n d̥
Hånd	h ɒ̃ː n d̥
Håns	h ɒ n s
Hås	h ɔː s
höfn	h œː f ɱ̩
Höi	h ə i̯
i	iː
i	i
Iada	i ɐ̯ d̥ ɐ
iatz	i ɐ̯ t͡s
ihr	i ɐ̯
ihrer	i ɐ̯ r ɐ
Insekt	i n s ɛ k t
Irchsn	i ɐ k s n̩
is	i s
is	iː s
iwahaps	i β ɐ h ɑ b̥ s
iwahaupt	i β ɐ h ɑ ɔ̯ b̥ d̥
iwahaupt	i β ɐ h ɒː b̥ d̥
iwahaupts	i β ɐ h ɑ ɔ̯ b̥ d̥ s
iwahaupts	i β ɐ h ɒː b̥ d̥ s
iwalegn	i β ɐ l e̞ː ŋ
Jausn	j ɑ ɔ̯ s n̩
Jausn	j ɒː s n̩
Jeier	j ɑ ɛ̯ ɐ
Jeier	j æː ɐ
jeiern	j ɑ ɛ̯ ɐ n
jeiern	j æː ɐ n
jessas	j e̞ s ɑ s
jo	j oː
Joahr	j ɔ ɐ̯
jå	j ɒː
jå	j ɔː
Jåar	j ɔ ɐ̯
jågn	j ɔː ŋ
Jåhr	j ɔː
Jåhr	j o ɐ̯
Jåhr	j ɔ ɐ
jössas	j ø s ɑ s
Kaas	kʰ aː s
kaffa	k ɑ f ɐ
Kaffee	k ɔ f e̞
Kaffee	k ɔ f e̞ː
Kaffee	k ɑ f e̞ː
kafn	k ɑː f ɱ̩
Kafää	k a f eː
Kafää	k a f ɛː
Kammerl	kʰ ɑ m ɐ l
Kampe	kʰ ɑ m b̥ː ɛ
Kampl	kʰ ɑ m b̥ː ɛ
Karfiol	k ɑ f iʲ o e
Kas	kʰ aː s
Kas	k χ aː s
Kaschn	kʰ ɑ ʃ n̩
Kaschperl	k ɑ ʃ b̥ ɐ l
Kaschperltheater	k ɑ ʃ b̥ ɐ l d̥ e̞ ɐ̯ d̥ ɐ
Kasler	k ɑː s l ɐ
kasln	kʰ ɑː s l̩ n
Kasperl	k ɑ ʃ b̥ ɐ l
Kasperltheater	k ɑ ʃ b̥ ɐ l d̥ e̞ ɐ̯ d̥ ɐ
kaufn	k ɒː f ɱ̩
kemma	k ɛ m ɐ
kemma	k e m ɐ
kemman	k ɛ m ɐ n
Kenigreich	k e̞ n i ɡ̥ r ɑ ɛ̯ ç
kenna	kʰ e n ɐ
keppln	kʰ e̞ β ɛ n
keppln	kʰ e̞ β ɛ
keppln	kʰ e̞ b̥ː l̩ n
Kerper	kʰ e̞ ɐ̯ b̥ː ɐ
Kersch	kʰ ɛ ɐ̯ ʃ
Kerschn	kʰ ɛ ɐ̯ ʃ n̩
Kieberei	k iː v ə ʁ æː
Kieberei	k iː β ə ʁ æː
Kieberer	k iː v ə ʁ ɐ
Kieberer	k iː β ə ʁ ɐ
Kind	kʰ i n d̥
Kini	kʰ iː n i
Kini	kʰ eː n e
Kipfler	kʰ i b̥ f l ɐ
Kirschn	kʰ i ɐ̯ ʃ n̩
Kiwe	k iˑ β ɛ
kla	ɡ̥ l aː
klaa	ɡ̥ l aː
Kladl	ɡ̥ l ɑː d̥ l̩
klass	ɡ̥ l ɑ s
Klass	ɡ̥ l ɑ s
Klescher	ɡ̥ l e̞ ʃ ɐ
kleschn	ɡ̥ l e̞ ʃ n̩
kloa	ɡ̥ l ɔ ɐ̯
kloan	kˣ l ɔ ɐ̯ n
Klumpert	ɡ̥ l u m b̥ː ɐ t
Kluppn	ɡ̥ l u b̥ m
klågn	ɡ̥ l ɔː ŋ
klågn	ɡ̥ l oː ŋ
Knedl	ɡ̥ n e̞ d̥ l̩
Knia	ɡ̥ n i ɐ̯
Knofe	k n o β ə
knotzn	ɡ̥ n ɔ t͡s n̩
koa	k o ɐ̯
Koatn	k ɔ ɐ d̥ː n̩
kocha	k o̞ː x ɐ
kochn	k o̞ː x ŋ̩
Koffer	k oˑ f ɐ
Koi	k o e
koid	kʰ oː e d̥
koid	kʰ ɔ e d̥
Koni	kʰ oː n i
kostn	kʰ oː s d̥ n̩
Kouh	kʰ o u̯
Kraas	ɡ̥ r ɑː s
krahn	ɡ̊ r aː n
Kraxn	ɡ̊ r ɑ ɡ̊ s n̩
Kreiz	ɡ̥ r ɑ ɛ̯ d̥ s
Kreiz	ɡ̥ r æː d̥ s
Krewecherl	ɡ̥ r e̞ v e̞ ç ɐ l
Krewegerl	ɡ̥ r e̞ v e̞ ɡ̥ ɐ l
Kriag	ɡ̥ r i ɐ̯ ɡ̥
kriagn	ɡ̥ r i ɐ̯ ŋ
Krispindl	ɡ̥ r i ʃ b̥ i n d̥ l̩
Kroas	ɡ̥ r ɔ ɐ̯ s
kräuln	ɡ̥ r ɶː l n̩
kräuln	ɡ̥ r ɶː n
kråchn	k r ɔ χ ŋ̩
Kråft	ɡ̥ r ɔ f d̥
Kråmpn	k r ɔ m b̥ː m̩
Kråmpn	k r ɒ̃ m b̥ː m̩
Kuachn	kʰ u ɐ̯ x ŋ
Kuah	kʰ u ɐ̯
kumma	k u m ɐ
kumman	k u m ɐ n
Kåatn	k ɔ ɐ d̥ː n̩
Kåder	kʰ ɔː d̥ ɐ
Kåmm	kʰ ɔ m
Kåmm	kʰ ɒ̃ m
Kåmmer	kʰ ɔ m ɐ
Kåmmer	kʰ ɒ̃ m ɐ
Kåmpf	kʰ ɔ m b̥ f
Kåmpf	kʰ ɒ̃ m b̥ f
Kåppn	k ɔ b̥ m̩
Kåtz	kʰ ɔ t s
Kåtz	kʰ ɒ t s
Laam	l ɑː m
laar	l aː
laar	l aː r
ladtuan	l ɑ d̥ˑ u ɐ̯ n
laffa	l a fː ɐ
Lahm	l ɑː m
Lamperl	l ɑ m b̥ː ɐ l
lar	l aː
lar	l aː r
Later	l ɑ dː ɐ
laufn	l ɑ ɔ̯ f ɱ̩
laufn	l ɒː f ɱ̩
Laufradl	l ɑ ɔ̯ f r ɑː d̥ l̩
Laufradl	l ɒː f r ɑː d̥ l̩
learna	l e̞ ɐ̯ n ɐ
lebn	l eː m
Leffl	l e fː l̩
Leffl	l e fː e
legn	l e̞ː ŋ
Leiberl	l a ɛ̯ β ɐ l
Leiberl	l æː β ɐ l
Leich	l ɑ ɛ̯ ç
Leich	l æː ç
leicht	l ɑ ɛ ç d̥
leicht	l æː ç d̥
Leidln	l ɑ ɛ̯ d̥ l̩ n
Leidln	l æː d̥ l̩ n
Leit	l a i̯ d̥
Leit	l ɑ ɛ̯ d̥
Leit	l æː d̥
Lenkradl	l e̞ ŋ̩ ɡ̥ r ɑː d̥ l̩
lesn	l eː s n̩
letschert	l ɛ d̥ ʃ ɐ d̥
letschert	l eː d̥ ʃ ɐ d̥
Lewa	l eː β ɐ
Lewa	l eː ʋ ɐ
Lewakas	l eː β ɐ kʰ aː s
liab	l i ɐ̯ b̥
Liacht	l i ɐ̯ x t
liagn	l i ɐ̯ ŋ
liegn	l iː ŋ
lila	l ɪ l ɐ
lila	l iː l ɐ
Lindn	l i n d̥ n̩
Loab	l o ɐ̯ b̥
Loam	l ɔ ɐ m
Loater	l o ɐ̯ tː ɐ
Loater	l o ɐ̯ tː ɐ r
Lois	l o i̯ s
Loitern	l o i̯ tː ɐ n
Lucki	l u kː i
Lung	l u ŋ
Lungan	l u ŋ ɐ n
låcha	l ɒː x ɐ
låchn	l ɔ x ŋ̩
lådn	l ɔː d n̩
Låg	l ɔː ɡ̥
Låmpn	l ɔ m b̥ː ɱ̩
Låmpn	l ɒ̃ m b̥ː ɱ̩
Lånd	l ɔ n d̥
Lånd	l ɒ̃ː n d̥
låssn	l ɔ s n̩
ma	m ɑ
Maal	m a l
Maasn	m ɑː s n̩
Madl	m aː d̥ l̩
mah	m ɑ
Mai	m a i̯
malad	m ɑ l ɑː d̥
manan	m ɑː n ɐ n
Mari	m aː r i
marod	m ɑ r oː d̥
Marün	m ɑ r yː n
Masn	m ɑː s n̩
Master	m ɑː s d̥ ɐ
mechtn	m e̞ x d̥ n̩
megn	m e̞ː ŋ
mei	m ɑ ɛ̯
mei	m æː
meiner	m ɑ ɛ̯ n ɐ
meiner	m æː n ɐ
Meisn	m ɑ ɛ̯ s n̩
Meisn	m æː s n̩
Meu	m ɶː
Mezzie	m e d̥ s iː
mia	m i ɐ̯
miachtln	m i ɐ̯ x d̥ l̩ n
miassn	m i ɐ̯ sː n̩
Midwoch	m i d̥ v o̞ x
Migga	m ɪ ɡ̊ ɐ
Milli	m i l i
Minga	m i ŋː ɐ
Minga	m i ŋ ɐ
Minutn	m i n uː d̥ n̩
mischn	m i ʃ n̩
mitfühn	m i d̥ f yː n
Mitternåcht	m i d̥ː ɐ n ɔ x d̥
Mittn	m i d̥ː n
mittn	m i d̥ː n
Mittåg	m i d̥ː ɔ ɡ̥
Mo	m oː
Moasta	m o ɐ̯ sː d̥ ɐ
moihn	m ɔ e̯ n
moin	m ɔ e̯ n
Mondåg	m oː n d̥ ɔ ɡ̥
Motorradl	m o d̥ ɔ ɐ̯ r ɑː d̥ l̩
Motorradl	m o d̥ː ɔ ɐ̯ r ɑː d̥ l̩
Muada	m u ɐ̯ d̥ ɐ
Muadstrumm	m u ɐ̯ d̥ s d̥ r u m
muadstrumm	m u ɐ̯ d̥ s d̥ r u m
Muatta	m u ɐ̯ tː ɐ
Muich	m u i̯ ç
murgn	m u ɐ ŋ
Musi	m uː s i
Må	m ɔː
Må	m ɒ̃ː
måcha	m ɒː x ɐ
måchn	m ɔ x ŋ̩
Mågn	m ɔː ŋ
Mågn	m oː ŋ
måtschkern	m ɔ d̥ ʃ ɡ̥ ɐ n
mödn	m œː d̥ n̩
Mödung	m œː d̥ u ŋ
Möh	m œː
Müch	m yː ç
naa	n ɑː
narrisch	n ɑˑ r i ʃ
nauf	n a u̯ f
naus	n a u̯ s
nebn	n eː m
nebn	n e̞ː m
ned	n eː d̥
ned	n e̞ d̥
ned	n ɛ d̥
nehman	n e̞ m ɐ n
neich	n a ɪ̯ x
neich	n ɑ ɛ̯ x
neich	n æː x
nein	n ɑ ɛ̯ n
nein	n æː n
net	n e d̥
net	n ɛ d̥
Netsch	n e d̥ ʃ
nia	n i ɐ̯
niachtern	n i ɐ̯ x t ɐ n
Niatn	n i ɐ̯ d̥ː n̩
Niederlåg	n iː d̥ ɐ l ɔː ɡ̥
nimmer	n i m ɐ
nix	n i k s
no	n o
Noar	n ɔ ɐ̯
Nudlaug	n u d̥ l̩ ɑ ɔ̯ ɡ̥
Nudlaug	n u d̥ l̩ ɒː ɡ̥
Nutzviech	n u t s f iː ç
nå	n ɔː
nå	n ɔ i̯
nåch	n ɔː x
nåcher	n ɔ x ɐ
nåchfün	n ɔː x f yː n
Nåchmittåg	n ɔː x m i d̥ː ɔ ɡ̥
nåchsoizn	n ɔː x s ɔ e̯ d̥ s n̩
Nåchspeis	n ɔ x ʃ b̥ ɑ ɛ̯ s
Nåchspeis	n ɔ x ʃ b̥ æː s
Nåcht	n ɔ x d̥
nåckert	n ɔ ɡ̥ ɐ d̥
Någl	n ɔː ɡ̥ l̩
Nåsn	n ɔˑ s n̩
nåss	n ɔ s
oa	o ɐ̯
Oa	o a̯
Oachkatzl	ɔ ɐ χ kʰ ɑ d̥ s l̩
Oachl	o a̯ x l̩
Oachl	o a̯ x e
oans	ɔ ɐ̯ n s
oarg	ɔ ɐ̯ ɡ̥
Oasch	ɔ ɐ̯ ʃ
oasch	ɔ ɐ̯ ʃ
Oaschgrätzn	ɔ ɐ̯ ʃ ɡ̥ r e̞ː t͡s n̩
Oaschgsicht	ɔ ɐ̯ ʃ ɡ̥ s i ç d̥
Oaschkräuler	ɔ ɐ̯ ʃ ɡ̥ r ɶː l ɐ
Oaschloch	ɔ ɐ̯ ʃ l ɔ χ
oaweitn	ɔ ɐ β ɑ ɛ̯ d̥ n̩
obrenna	oː b̥ r ɛ n ɐ
oid	ɔ e d̥
Oida	ɔ e d̥ ɐ
oida	ɔ ɛ̯ d̥ ɐ
ois	ɔ ɛ̯ s
Oiter	ɔ e d̥ː ɐ
oiwei	ɔ ɛ̯ β ɑ ɛ̯
oransch	o r a n ʃ
oransch	o r ɔː ʃ
Packlrass	b̥ ɑ ɡ̊ l r ɑ s
Pallawatsch	b̥ a l a β a d̥ ʃ
Paläster	p a l ɛ s t a
palästern	p a l ɛ s t aː n
Panier	b̥ ɑ n iː ɐ̯
paniern	b̥ ɑ n iː ɐ̯ n̩
Paradeis	b̥ ɑ r ɑ d̥ ɑ ɛ̯ s
Paradeis	b̥ ɑ r ɑ d̥ æː s
Paradeiser	b̥ ɑ r ɑ d̥ ɑ ɛ̯ s ɐ
Paradeiser	b̥ ɑ r ɑ d̥ æː s ɐ
Paradeisåpfe	b̥ ɑ r ɑ d̥ ɑ ɛ̯ s ɔ b̥ː f œ
Paradeisåpfe	b̥ ɑ r ɑ d̥ æː s ɔ b̥ː f œ
passn	b̥ ɑ s n̩
Pedasü	b̥ ɛ d̥ ɐ s yː
pempern	b̥ ɛ m p ɐ n
Pferd	b̥ f ɛ ɐ̯ d̥
Pfinzda	p͡f i n t͡s d̥ ɐ
pflanzn	b̥ f l ɑ n d̥ s n̩
Pfurz	p f ʊ ɐ̯ t s
pfurzn	p f ʊ ɐ̯ t s n̩
Pick	b̥ i ɡ̥ː
pickig	b̥ i ɡ̥ i ɡ̥
pickn	b̥ i ɡ̥ː ɴ̩
picksiaß	b̥ i ɡ̥ː s i ɐ̯ s
Pipn	b̥ i b̥ m̩
pischn	b̥ i ʃ n̩
Pitschn	b̥ i d̥ ʃ n̩
Plutzer	b̥ l u d̥ s ɐ
plågn	b̥ l ɔː ŋ
Plåttn	b̥ l ɔ d̥ː n̩
Poin	p ɔ ɪ n
Popsch	b̥ o̞ b̥ ʃ
Pracker	b̥ r ɑ ɡ̥ː ɐ
prackn	b̥ r ɑ ɡ̥ː ŋ
Pråtzn	b̥ r ɔ d̥ s n̩
pudern	b̥ uː d̥ ɐ n
Puffn	b̥ u f ɱ̩
Puiver	b̥ u e ʋ ɐ
Pumperer	b̥ u m b̥ː ɐ r ɐ
pumperlgsund	b̥ u m b̥ː ɐ l ɡ̥ s u n d̥
pumpern	b̥ u m b̥ː ɐ n
Påscher	b̥ ɔ ʃ ɐ
påtschert	b̥ ɔ d̥ ʃ ɐ d̥
Påtschn	b̥ ɔˑ d̥ ʃ n̩
Påår	b̥ ɔ ɐ̯
påår	b̥ ɔ ɐ̯
Pücher	b̥ yː ç ɐ
Pülcher	b̥ yː ç ɐ
Radl	r aː d̥ l̩
raffa	r a fː ɐ
rafn	r ɑ f ɱ̩
rama	r a m a
rass	r à s s
ratschn	r ɑː d̥ ʃ n̩
Reahrl	r ɛ ɐ l
rearn	r e̞ ɐ̯ n
reckn	r e̞ ɡ̥ː ŋ̩
redn	r eː n
regn	r eː ŋ
regn	r e̞ː ŋ
Regn	r eː ŋ
Regn	r e̞ː ŋ
regna	r e̞ː ŋ ɐ
regnan	r e̞ː ŋ ɐ n
reichn	r ɑ ɛ̯ ç ɴ̩
reichn	r æː ç ɴ̩
reidig	r ɑ ɛ̯ d ɪ k
reidig	r æː d ɪ k
reisn	r ɑ ɛ̯ s n̩
reisn	r æː s n̩
reißn	r ɑ ɛ̯ sː n̩
reißn	r æː sː n̩
Rengschburg	r e ŋ ʃ b̥ u ɐ̯ ɡ̊
rennan	r e̞ n ɐ n
rennan	r ɛ n ɐ n
Rennradl	r e̞ n r ɑː d̥ l̩
Ressl	r e sː l̩
Ressl	r e sː ɐ l̩
riarn	r i ɐ̯ n
Ribisl	r i b̥ i s l̩
richtn	r i ç d̥ː n̩
Rindsbråtn	r i n d̥ s b̥ r ɔ d̥ n̩
Ringlgspü	r i ŋ l̩ ɡ̥ ʃ b̥ yː
Ringlspü	r i ŋ l̩ ʃ b̥ yː
Roas	r o ɐ̯ s
roasn	r o ɐ̯ s n̩
rod	r ɔ u̯ d̥
rod	r o u̯ d̥
rod	r oː d̥
rod	r ɔ ɐ̯ d̥
roin	r o e̯ n
rosa	r oː s ɐ
Rosn	r ɔ u̯ z n̩
Rosn	r o u̯ z n̩
Rosn	r oː z n̩
Rosn	r ɔ ɐ̯ z n̩
Roß	r oː s
Roß	r o s
Rotzpipn	r o d̥͡s b̥ i b̥ː m̩
roud	r ɔ u̯ d̥
roud	r o u̯ d̥
roud	r oː d̥
ruafn	r u ɐ f ɱ̩
Ruah	r u ɐ
Ruam	r ʊ ɐ m
Ruckn	r u ɡ̥ː ŋ̩
Råd	r ɔː d̥
Rånd	r ɔ n d̥
Rånd	r ɒ̃ː n d̥
Råtz	r ɔ d̥ s
Sabotage	s ɑ b̥ o d̥ ɑː ʃ
Sackl	s ɑ ɡ̥ː l̩
Sackl	s ɑ ɡ̥ l̩
Sacklpicker	s ɑ ɡ̥ː l̩ b̥ i ɡ̥ː ɐ
Saf	s ɑː f
saftln	s ɑ f d̥ l̩ n
Salettl	s ɑ l e̞ d̥ː l̩
samma	s ɑ m ɐ
samma	s a m ɐ
Samsda	s ɔ m s d̥ ɐ
Sandler	s ɑː n d̥ l ɐ
sandln	s ɑ n d̥ l̩ n
Sau	s ɑ ɔ̯
saufa	s a u̯ f ɐ
saufn	s ɑ ɔ fː ɴ̩
saufn	s ɒː fː ɴ̩
schaman	ʃ ɑː m ɐ n
Schandamarie	ʃ ɑ n d ɐ m ɑ r iː
Schandi	ʃ ɑ n d i
Schas	ʃ ɑː s
schasln	ʃ ɑː s l n̩
schaugn	ʃ ɑ ɔ̯ ŋ
schaun	ʃ ɑ ɔ̯ n
schaun	ʃ ɒː n
scheangln	ʃ ɛ ɐ̯ ŋ l̩ n
Schedl	ʃ eː d l̩
schee	ʃ eː
Scheibtruchn	ʃ a ɛ̯ b̥ː d̥ r u χ ŋ
Scheibtruchn	ʃ æː b̥ː d̥ r u χ ŋ
scheißn	ʃ ɑ ɛ̯ s n̩
scheißn	ʃ æː s n̩
schejßn	ʃ e i̯ s n̩
Schelln	ʃ œ l n
Schelln	ʃ e i̯ n
Schelln	ʃ œː n
schiabn	ʃ i ɐ m
schiach	ʃ i ɐ̯ x
schiagln	ʃ i ɐ̯ ɡ̥ l̩ n
schiaßn	ʃ i ɐ̯ s n̩
Schichtradl	ʃ i ç d̥ r ɑː d̥ l̩
Schimpl	ʃ i m b̥ː l̩
Schimpl	ʃ i m b̥ː ɛ
Schimpl	ʃ i m b̥ː œ
schimpln	ʃ i m b̥ː l̩ n
Schinakl	ʃ i n ɑ ɡ̥ː l̩
Schissl	ʃ i s l̩
schittn	ʃ i d̥ː n̩
schittn	ʃ iː d̥ n̩
Schlapfa	ʃ l ɑ b̥ ʃ ɐ
Schlapfn	ʃ l ɑ b̥ ʃ ɱ̩
schlatzn	ʃ l ɑ d̥ s n̩
schleichn	ʃ l ɑ ɛ̯ ç ɴ̩
schleichn	ʃ l æː ç ɴ̩
Schlissl	ʃ l i s l̩
schlåffa	ʃ l ɒ fː ɐ
schlåfn	ʃ l ɔ f ɱ̩
Schlåg	ʃ l ɔː ɡ̥
schlågn	ʃ l ɔː ŋ
Schlågobers	ʃ l ɔ ɡ̥ o β ɐ s
schlåmpert	ʃ l ɔ m b̥ː ɐ d̥
schlåmpert	ʃ l ɒ̃ m b̥ː ɐ d̥
Schlångan	ʃ l ɔ ŋ ɐ n
Schlångan	ʃ l ɒ̃ ŋ ɐ n
Schmattes	ʃ m ɑ t ɛ s
schmeißn	ʃ m a i̯ sː n̩
schmeißn	ʃ m ɑ ɛ̯ sː n̩
schmeißn	ʃ m æː sː n̩
Schmoan	ʃ m ɔ ɐ n
schmoi	ʃ m ɔ e
Schmäh	ʃ m e̞ː
Schmårrn	ʃ m ɒ r n
Schmårrn	ʃ m ɒː n
Schmårrn	ʃ m ɔ ɐ n
Schnapsidee	ʃ n ɔ p s i t ɛ
Schneck	ʃ n e̞ ɡ̥ː
Schneckn	ʃ n e̞ ɡ̥ː ŋ
Schnee	ʃ n ɛ i̯
Schnee	ʃ n ɛː
Schnee	ʃ n ɛ ɐ̯
schneibn	ʃ n ɑ ɛ̯ m
schneibn	ʃ n æː m
schneidn	ʃ n ɑ ɛ̯ n̪ː
schneidn	ʃ n æː n̪ː
schniarn	ʃ n i ɐ̯ n
schnoacha	ʃ n ɔ ɐ̯ x ɐ
schnoachn	ʃ n ɔ ɐ̯ x ŋ
Schnåbl	ʃ n ɔː ʋ l̩
Schnåbl	ʃ n ɔː ʋ e
Schnåbl	ʃ n oː b̥ l̩
schnö	ʃ n œː
Schof	ʃ ɔː f
Schoin	ʃ ɔ e n
schoitn	ʃ ɔ e̯ d̥ː n̩
Schoklad	ʃ o̞ ɡ̥ l ɑː d̥
Schori	ʃ oː r i
Schorsch	ʃ o ɐ̯ ʃ
Schouf	ʃ ɔ u̯ f
Schragl	ʃ r ɑː ɡ̥ l̩
Schragn	ʃ r ɑː ɡ̥ n̩
schreibn	ʃ r ɑ ɛ̯ m
schreibn	ʃ r æː m
Schuach	ʃ ʊ ɐ χ
Schucherl	ʃ u x ɐ l
Schui	ʃ u i
Schui	ʃ u e
Schuid	ʃ u e d̥
Schuiter	ʃ u e d̥ː ɐ
Schul	ʃ uː l
schupfn	ʃ u b̥ f ɱ̩
Schupfn	ʃ u b̥ f ɱ̩
Schurl	ʃ u ɐ̯ l
Schurli	ʃ u ɐ̯ l i
schwaar	ʃ ʋ aː
schwaar	ʃ ʋ aː r
Schwammerl	ʃ v ɑ m ɐ l
schwar	ʃ ʋ aː
schwar	ʃ ʋ aː r
Schweinsbråtn	ʃ v ɑ ɛ̯ n s b̥ r ɔ d̥ n̩
schweißln	ʃ v ɑ ɛ̯ s l̩ n
schweißln	ʃ v æː s l̩ n
Schwesta	ʃ β e s t ɐ
schwoarz	ʃ β o ɐ̯ t͡s
schwoarz	ʃ β ɒː t͡s
schwåch	ʃ v ɔ x
Schwåmm	ʃ v ɔ m
Schwåmm	ʃ v ɒ̃ m
schåd	ʃ ɔ d̥
Schåf	ʃ ɔː f
Schåf	ʃ ɒː f
Schåf	ʃ ɔː f
Schåf	ʃ oː f
schåffn	ʃ ɔ f ɱ̩
Schånd	ʃ ɔ n d̥
Schånd	ʃ ɒ̃ː n d̥
schön	ʃ œː n
seas	s e̞ ɐ̯ s
sechs	s e ɡ̊ s
Sechser	s e̞ ɡ̥ s ɐ
See	s ɛ i̯
See	s ɛː
See	s ɛ ɐ̯
segn	s ɛː ŋ
Segn	s e̞ː ŋ
sei	s ɑ ɛ̯
sei	s æː
seid	s ɑ ɛ̯ d̥
seid	s æː d̥
seiner	s ɑ ɛ̯ n ɐ
seiner	s æː n ɐ
Seitn	s a i̯ t n̩
Sekundn	s e̞ ɡ̥ u n d̥ n̩
Sepp	s ɛ p
servas	s e̞ ɐ̯ v ɑ s
servas	s e̞ ɐ̯ β ɑ s
Serviettn	s e̞ ɐ̯ v j e̞ d̥ː n̩
servus	s e̞ ɐ̯ v u s
servus	s e̞ ɐ̯ β u s
setzn	s e̞ d̥ s n̩
siaß	s i ɐ̯ s
siaßn	s i ɐ̯ sː n̩
Sie	s iː
Sie	s i
Siebaner	s iː β ɐ n ɐ
siebm	s iː m
singa	s i ŋ ɐ
sitzn	s i d̥ s n̩
Soatn	s o ɐ̯ t n̩
sogn	s ɔː ŋ
sogn	s oː ŋ
sogår	s o̞ ɡ̥ ɔ ɐ̯
Soiz	s ɔ e̯ d̥ s
soizn	s ɔ e̯ d̥ s n̩
spad	ʃ b̥ aː d̥
Spechtler	ʃ b̥ e̞ ç d̥ l̩ ɐ
spechtln	ʃ b̥ e̞ ç d̥ l̩ n
spechtn	ʃ b̥ e̞ ç d̥ l n̩
speibm	ʃ b̥ ɑ ɛ̯ m
speibm	ʃ b̥ æː m
speibn	ʃ b̥ ɑ ɛ̯ m̩
speibn	ʃ b̥ æː m̩
Speis	ʃ b̥ ɑ ɛ̯ s
Speis	ʃ b̥ æː s
Spiagl	ʃ b̥ i ɐ̯ ɡ̥ l̩
spiarn	ʃ b̥ i ɐ̯ n
