अ	ʌ
जुँगा	d͡z ũ ɡ̞ ä
जुत्ता	d͡z u t̪̚ t̪ ä
जुन	d͡z u n
जुम्रा	d͡z u m r ä
जुवाइँ	d͡z u w ä ĩ
जून	d͡z u n
जेठ	d͡z e ʈʰ
जेठान	d͡z e ʈʰ u
जेठान	d͡z e ʈʰ ä n
जेठानी	d͡z e ʈʰ ä n i
जेब्रा	d͡z e b r ä
जो	d͡z o
जोइ	d͡z o i̯
जोकर	d͡z o k ʌ r
ज्ञ	ɡ j
ज्ञान	ɡ j ä n
ज्येष्ठ	d͡z j e s̠ t̠ʰ ʌ
ज्वरो	d͡z o ɾ o
ज्वाइँ	d͡z w ä ĩ
झ	d͡zʱ ʌ̤
झरी	d͡zʱ ʌ̤ ɾ i
झाँट	d͡zʱ ä̤̃ ʈ
झाक्री	d͡zʱ ä̤ k r i
झाडु	d͡zʱ ä̤ ɽ u
झुम्का	d͡zʱ ṳ m k ä
झोला	d͡zʱ o̤ l ä
झ्याल	d͡zʱ j ä l
ञ	j ʌ̃
ञ	n ʌ
ञकार	j ʌ̃ k ä r
ट	ʈ ʌ
टपरी	ʈ ʌ p ʌ ɾ i
टाउको	ʈ ä u̯ k o
टाढा	ʈ ä ɽ ä
टिकट	ʈ i k ʌ ʈ
टीका	ʈ i k ä
टील	ʈ i l
टेबुल	ʈ e b u l
टोक्नु	ʈ o k n u
टोपी	ʈ o p i
ट्याक्सी	ʈ j ä k s i
ठ	ʈʰ ʌ
ठकुरी	ʈʰ ʌ k u ɾ i
ठन्कनु	ʈʰ ʌ n k ʌ n u
ठन्काउनु	ʈʰ ʌ n k ä u̯ n u
ठाउँ	ʈʰ ä ũ
ठीक	ʈʰ i k
ठीकै	ʈʰ i k ʌ i̯
ठुलो	ʈʰ u l o
ठूलो	ʈʰ u l o
ठोक्	ʈʰ o k
ठोक्नु	ʈʰ o k n u
ड	ɖ ʌ
डङका	ɖ ʌ ŋ k ä
डच	ɖ ʌ t͡s
डढ्नु	ɖ ʌ ɽ ɳ u
डराउनु	ɖ ʌ ɾ ä u̯ n u
डलर	ɖ ʌ l ʌ r
डा	ɖ ä k̚ ʈ ʌ r
डाँका	ɖ ä̃ k ä
डाका	ɖ ä k ä
डाक्टर	ɖ ä k̚ ʈ ʌ r
डाक्टरी	ɖ ä k̚ ʈ ʌ ɾ i
डिसेम्बर	ɖ i s e m b ʌ r
डुङ्गा	ɖ u ŋ ɡ ä
डुल्नु	ɖ u l n u
डेनमार्क	ɖ e n m ä r k
ढ	ɖʱ ʌ̤
ढल्नु	ɖʱ ʌ̤ l n u
ढाँचा	ɖʱ ä̤̃ t͡s ä
ढाक्नु	ɖʱ ä̤ k n u
ढाड	ɖʱ ä̤ ɽ
ढाल्नु	ɖʱ ä̤ l n u
ढिँडो	ɖʱ ĩ ɽ o
ढिलो	ɖʱ i̤ l o
ढुकुर	ɖʱ ṳ k u r
ढुङ्गा	ɖʱ ṳ ŋ ɡ ä
ढोका	ɖʱ o̤ k ä
ण	ɳ ʌ
ण	ɽ̃ ʌ
ण	ʌ̃ ɳ
त	t̪ ʌ
तँ	t̪ ʌ̃
तँमा	t̪ ʌ̃ m ä
तँलाई	t̪ ʌ̃ l ä i̯
तकिया	t̪ ʌ k i j ä
तताउनु	t̪ ʌ t̪ ä u̯ n u
तथा	t̪ ʌ t̪ʰ ä
तथापि	t̪ ʌ t̪ʰ ä p i
तथ्याङ्क	t̪ ʌ t̪ʰ j ä ŋ k ʌ
तन्ना	t̪ ʌ nː ä
तपाईँलाई	t̪ ʌ p ä̃ ĩ̯ l ä i̯
तपाईं	t̪ ʌ p ä ĩ̯
तपाईंको	t̪ ʌ p ä ĩ̯ k o
तपाईंमा	t̪ ʌ p ä ĩ̯ m ä
तपाईंलाई	t̪ ʌ p ä̃ ĩ̯ l ä i̯
तपाईंले	t̪ ʌ p ä̃ ĩ̯ l e
तर	t̪ ʌ r
तर	t̪ ʌ r ʌ
तरकारी	t̪ ʌ r k ä ɾ i
तर्फबाट	t̪ ʌ r pʰ ʌ ‿ b ä ʈ ʌ
तस्बिर	t̪ ʌ s b i r
तातो	t̪ ä t̪ o
तात्नु	t̪ ä t̪ n̪ u
तान्नु	t̪ ä nː u
ताप	t̪ ä p
तापक्रम	t̪ ä p̚ k r ʌ m
तारा	t̪ ä ɾ ä
ताल	t̪ ä l
तास	t̪ ä s
तिक्का	t̪ i k̚ k ä
तिखो	t̪ i k̞ʰ o
तितो	t̪ i t̪ o
तिब्बत	t̪ i b̚ b ʌ t̪
तिमी	t̪ i m i
तिमीमा	t̪ i m i m ä
तिमीलाई	t̪ i m i l ä i̯
तिमीले	t̪ i m i l e
तिम्रो	t̪ i m r o
तिर	t̪ i r
तिर	t̪ i ɾ ʌ
तिरत्तर	t̪ i ɾ ʌ t̪̚ t̪ ʌ r
तिरानब्बे	t̪ i ɾ ä n ʌ b̚ b e
तिरासी	t̪ i ɾ ä s i
तिर्चालिस	t̪ i r t͡s ä l i s
तिर्नु	t̪ i r n u
तिर्पन्न	t̪ i r p ʌ nː ʌ
तिर्सट्ठी	t̪ i r s ʌ ʈ̚ ʈʰ i
तिर्सठ्ठी	t̪ i r s ʌ ʈ̚ ʈʰ i
तिहार	t̪ i ä r
तिहार	t̪ i ɦ ä r
ती	t̪ i
तीन	t̪ i n
तीर	t̪ i r
तीस	t̪ i s
तुतुरो	t̪ u t̪ u ɾ o
तुरी	t̪ u ɾ i
तेईं	t̪ e ĩ̯
तेईस	t̪ e i̯ s
तेजारत	t̪ e d z ä ɾ ʌ t̪
तेत्तीस	t̪ e t̪̚ t̪ i s
तेरो	t̪ e ɾ o
तेर्सिनु	t̪ e r s i n u
तेस्रो	t̪ e s r o
तेह्र	t̪ e ɾ ʌ
तैँले	t̪ ʌ̃ ĩ̯ l e
तैरिनु	t̪ ʌ i̯ ɾ i n u
त्यसको	t̪ e s k o
त्यसमा	t̪ e s m ä
त्यसलाई	t̪ e s l ä i̯
त्यसले	t̪ e s l e
त्यहाँ	t̪ j ä̃
त्यहाँ	t̪ j ä̃ː
त्यहाँ	t̪ j ä̆ ɦ ä̤̃
त्याँः	t̪ j ä̃ː
त्यो	t̪ j o
त्र	t̪ r ʌ
त्रिचालीस	t̪ r i t͡s ä l i s
त्रिपन्न	t̪ r i p ʌ nː ʌ
त्रियानब्बे	t̪ r i j ä n ʌ b̚ b e
त्रियासी	t̪ r i j ä s i
त्रिसट्ठी	t̪ r i s ʌ ʈ̚ ʈʰ i
त्रिहत्तर	t̪ r i ɦ ʌ t̪̚ t̪ ʌ r
थ	t̪ʰ ʌ
थप्दै	t̪ʰ ʌ p̚ d̪ ʌ i̯
थप्न	t̪ʰ ʌ p n ʌ
थप्नु	t̪ʰ ʌ p n u
थर	t̪ʰ ʌ r
थानु	t̪ʰ ä n u
थापा	t̪ʰ ä p ä
थाल	t̪ʰ ä l
थाह	t̪ʰ ä̤ː
थाहा	t̪ʰ ä ʔ ä
थाहा	t̪ʰ ä̤ː
थिचेर	t̪ʰ i t͡s e ɾ ʌ
थिच्नु	t̪ʰ i t͡s n u
थियो	t̪ʰ i j o
थुक्नु	t̪ʰ u k n u
थुरी	t̪ʰ u ɾ i
द	d̪ ʌ
दक्षिण	d̪ ʌ k t͡sʰ ĩ ɽ̃
दक्षिण	d̪ ʌ k̚ kʰ i n
दक्षिण	d̪ ʌ k̚ t͡sʰ j i ɽ̃
दक्षिण	d̪ ʌ t̚ t͡sʰ i ɽ̃
दगुर्नु	d̪ ʌ ɡ̞ u r n u
दबाउनु	d̪ ʌ b ä u̯ n u
दल्नु	d̪ ʌ l n u
दश	d̪ ʌ s
दशैं	d̪ ʌ s ʌ̃ ĩ̯
दस	d̪ ʌ s
दसैँ	d̪ ʌ s ʌ̃ ĩ̯
दहल	d̪ ʌ̤ː l
दाँज्नु	d̪ ä̃ d z n u
दाँत	d̪ ä̃ t̪
दाइ	d̪ ä i̯
दाई	d̪ ä i̯
दाजु	d̪ ä d z j u
दाजु	d̪ ä d z u
दाडिम	d̪ ä ɽ i m
दाना	d̪ ä n ä
दारिम	d̪ ä ɾ i m
दारी	d̪ ä ɾ i
दार्जिलिङ	d̪ ä r d͡z i l i ŋ
दाहिने	d̪ ä i̯ n e
दाह्री	d̪ ä ɾ i
दिउँसो	d̪ i ũ s o
दिक्क	d̪ i k̚ k ʌ
दिदी	d̪ i d̪ i
दिन	d̪ i n
दिन	d̪ i n ʌ
दिनको	d̪ i n k o
दिनु	d̪ i n u
दिन्छ	d̪ i n̻ t͡sʰ ʌ
दिल्ली	d̪ i l l i
दिसा	d̪ i s ä
दुःख	d̪ u k̚ kʰ ʌ
दुःख	d̪ u k̞ʰ ʌ
दुई	d̪ u i̯
दुईवटा	d̪ u i̯ w ʌ ʈ ä
दुक्का	d̪ u k̚ k ä
दुख	d̪ u kʰ ʌ
दुखी	d̪ u k̞ʰ i
दुख्नु	d̪ u k̞ʰ n u
दुतावास	d̪ u t̪ ä b ä s
दुद	d̪ u d̪
दुध	d̪ u d̪
दुना	d̪ u n ä
दुनु	d̪ u n u
दुनो	d̪ u n o
दुलहा	d̪ u l ä̤ː
दुलही	d̪ u l ʌ i̯
दुश्मन	d̪ u s m ʌ n
दुहुनु	d̪ u u̯ n u
दुहुनु	d̪ uː n u
दूतावास	d̪ u t̪ ä b ä s
दूध	d̪ u d̪
दे	d̪ e
देउखुरी	d̪ e u̯ k̞ʰ u ɾ i
देउरानी	d̪ e u̯ ɾ ä n i
देओर	d̪ e o r
देखाउनु	d̪ e k̞ʰ ä u̯ n u
देखि	d̪ e k̞ʰ i
देखिनु	d̪ e k̞ʰ i n u
देख्नु	d̪ e k̞ʰ n u
देवनागरी	d̪ e b ʌ n ä ɡ̞ ʌ ɾ i
देवर	d̪ e w ʌ r
देवरानी	d̪ e u̯ ɾ ä n i
देवरानी	d̪ e w r ä n i
देश	d̪ e s
देसी	d̪ e s i
दोकान	d̪ o k ä n
दौडनु	d̪ ʌ u̯ ɽ i n u
दौडनु	d̪ ʌ u̯ ɽ ʌ n u
द्यौरानी	d̪ e u̯ ɾ ä n i
ध	d̪ʱ ʌ̤
धकेल्नु	d̪ʱ ʌ̤ k e l n u
धत्तेरि	d̪ʱ ʌ̤ t̪̚ t̪ e ɾ i
धत्तेरी	d̪ʱ ʌ̤ t̪̚ t̪ e ɾ i
धनगढी	d̪ʱ ʌ̤ n ɡ ʌ ɽ i
धन्यवाद	d̪ʱ ʌ̤ nː e b ä d̪
धरान	d̪ʱ ʌ̤ ɾ ä n
धराप	d̪ʱ ʌ̤ ɾ ä p
धरापिलो	d̪ʱ ʌ̤ ɾ ä p i l o
धर्ती	d̪ʱ ʌ̤ r t̪ i
धर्म	d̪ʱ ʌ̤ r m ʌ
धुनु	d̪ʱ ṳ n u
धुलो	d̪ʱ ṳ l o
धुवाँ	d̪ʱ ṳ w ä̃
धेरै	d̪ʱ e̤ ɾ ʌ i̯
धोतिनी	d̪ʱ o̤ t̪ i n i
धोती	d̪ʱ o̤ t̪ i
ध्वाँसे	d̪ʱ w ä̃ s e
न	n ʌ
नक्सा	n ʌ k s ä
नगर	n ʌ ɡ̞ ʌ r
नगर	n ʌ ‿ ɡ ʌ ɾ ʌ
नगर्	n ʌ ɡ̞ ʌ r
नङ	n ʌ ŋ
नजिक	n ʌ d z i k
नदी	n ʌ d̪ i
नन्द	n ʌ n̪ d̪ ʌ
नब्बे	n ʌ b̚ b e
नमस्कार	n ʌ m ʌ s k ä r
नमस्ते	n ʌ m ʌ s t̪ e
नयन	n ʌ e n
नयाँ	n ʌ j ä̃
नरक	n ʌ ɾ ʌ k
नराम्रो	n ʌ ɾ ä m r o
नर्क	n ʌ r k ʌ
नर्स	n ʌ r s
नवलपुर	n ʌ u̯ ʌ l p u r
नहल	n ʌ̤ː l
नाइटो	n ä i̯ ʈ o
नाउँ	n ä ũ
नाक	n ä k
नाच	n ä t͡s
नाच	n ä t͡s ʌ
नाच्नु	n ä t͡s n u
नाति	n ä t̪ i
नातिना	n ä t̪ i n ä
नातिनी	n ä t̪ i n i
नाती	n ä t̪ i
नानी	n ä n i
नाम	n ä m
नि	n i
निचर्नु	n i t͡s ʌ r n u
निचोर्नु	n i t͡s o r n u
निद्रा	n i d̪ r ä
निम्ति	n i m t̪ i
निलो	n i l o
निस्कनु	n i s k ʌ n u
नीलो	n i l o
नुन	n u n
नुहाउनु	n u ä u̯ n u
नेपाल	n e p ä l
नेपालका	n e p ä l k ä
नेपालको	n e p ä l k o
नेपालगंज	n e p ä l ɡ ʌ n̻ d͡z
नेपालगञ्ज	n e p ä l ɡ ʌ n̻ d͡z
नेपालमा	n e p ä l m ä
नेपाली	n e p ä l i
नै	n ʌ i̯
नैनु	n ʌ i̯ n u
नौ	n ʌ u̯
न्यानो	n j ä n o
प	p ʌ
पंजा	p ʌ n̻ d͡z ä
पकाउनु	p ʌ k ä u̯ n u
पकौडा	p ʌ k ʌ u̯ ɽ ä
पक्का	p ʌ k̚ k ä
पखाला	p ʌ k̞ʰ ä l ä
पचत्तर	p ʌ t͡s ʌ t̪̚ t̪ ʌ r
पचपन्न	p ʌ t͡s p ʌ nː ʌ
पचहत्तर	p ʌ t͡s ʌ̤ː t̪̚ t̪ ʌ r
पचास	p ʌ t͡s ä s
पचासी	p ʌ t͡s ä s i
पच्चीस	p ʌ t̚ t͡s i s
पछि	p ʌ t͡sʰ i
पञ्चानब्बे	p ʌ n̻ t͡s ä n ʌ b̚ b e
पढ	p ʌ ɖʱ ʌ̤
पढाउनु	p ʌ ɽ ä u̯ n u
पढ्	p ʌ ɽ
पढ्नु	p ʌ ɽ ɳ u
पढ्नुहोस्	p ʌ ɽ ɳ u o s
पत्र	p ʌ t̪ r ʌ
पद	p ʌ d̪
पनाति	p ʌ n ä t̪ i
पनातिनि	p ʌ n ä t̪ i n i
पनि	p ʌ n i
पन्चानब्बे	p ʌ n̻ t͡s ä n ʌ b̚ b e
पन्छी	p ʌ n̻ t͡sʰ i
पन्जा	p ʌ n̻ d͡z ä
पन्द्र	p ʌ n̪ d̪ r ʌ
पन्ध्र	p ʌ n̪ d̪ r ʌ
पर	p ʌ ɾ ʌ
पराल	p ʌ ɾ ä l
परासी	p ʌ ɾ ä s i
परिचय	p ʌ ɾ i t͡s ʌ e
परिपुर्न	p ʌ ɾ i p u r n ʌ
परिपूर्ण	p ʌ ɾ i p u r ɽ̃ ʌ
परिबार	p ʌ ɾ i b ä r
परिवार	p ʌ ɾ i w ä r
परीक्षा	p ʌ ɾ i k̚ t͡sʰ j ä
परे	p ʌ ɾ e
परेको	p ʌ ɾ e k o
परेमा	p ʌ ɾ e m ä
परेली	p ʌ ɾ e l i
पर्खनु	p ʌ r kʰ ʌ n u
पर्दा	p ʌ r d̪ ä
पर्नु	p ʌ r n u
पल्टिनु	p ʌ ɭ ʈ i n u
पश्चिम	p ʌ s t͡s i m
पसल	p ʌ s ʌ l
पस्नु	p ʌ s n u
पहाड	p ä̤ː ɽ
पहिला	p ʌ i̯ l ä
पहिले	p ʌ i̯ l e
पहिलो	p ʌ i̯ l o
पहेँलो	p ʌ ɦ ẽ l o
पहेंलो	p ʌ ɦ ẽ l o
पाँच	p ä̃ t͡s
पाइनु	p ä i̯ n u
पाइने	p ä i̯ n e
पाउ	p ä u̯
पाउनु	p ä u̯ n u
पाक्नु	p ä k n u
पाखुरा	p ä k̞ʰ u ɾ ä
पाठ	p ä ʈʰ
पात	p ä t̪
पाद्नु	p ä d̪ n̪ u
पान	p ä n
पानी	p ä n i
पानु	p ä n u
पार्वती	p ä r b ʌ t̪ i
पाल	p ä l
पाल्नु	p ä l n u
पाहुना	p ä u̯ n ä
पिउनु	p i u̯ n u
पिट्नु	p i ʈ ɳ u
पिठो	p i ʈʰ o
पिता	p i t̪ ä
पिपीलिका	p i p i l i k ä
पिरो	p i ɾ o
पुग्नु	p u ɡ̞ n u
पुछ्नु	p u s n u
पुछ्नु	p u t͡sʰ n u
पुती	p u t̪ i
पुनः	p u n ʌː
पुरातत्त्वशास्त्र	p u ɾ ä t̪ ʌ t̪̚ t̪ o s ä s t̪ r ʌ
पुरानो	p u ɾ ä n o
पुर्न	p u r n ʌ
पुष्टकारी	p u s̠ t̠ ʌ k ä ɾ i
पुस	p u s
पुस्तक	p u s t̪ ʌ k
पुस्तकालय	p u s t̪ ʌ k ä l ʌ e
पुस्नु	p u s n u
पूर्ण	p u r ɽ̃ ʌ
पूर्व	p u r b ʌ
पृथ्वी	p i r t̪ʰ i b i
पृथ्वी	p ɾ i t̪ʰ b i
पृथ्वी	p ɾ i t̪ʰ i b i
पृष्ठ	p ɾ i s̠ t̠ʰ ʌ
पेटी	p e ʈ i
पैँचालीस	p ʌ̃ ĩ̯ t͡s ä l i s
पैँतालीस	p ʌ̃ ĩ̯ t̪ ä l i s
पैँतीस	p ʌ̃ ĩ̯ t̪ i s
पैँसट्ठी	p ʌ̃ ĩ̯ s ʌ ʈ̚ ʈʰ i
पैंतालीस	p ʌ̃ ĩ̯ t̪ ä l i s
पैंतीस	p ʌ̃ ĩ̯ t̪ i s
पैंसट्ठी	p ʌ̃ ĩ̯ s ʌ ʈ̚ ʈʰ i
पैंसठ्ठी	p ʌ̃ ĩ̯ s ʌ ʈʰ ʈʰ i
पैसा	p ʌ i̯ s ä
पोइ	p o i̯
पोखरा	p o k̞ʰ ʌ ɾ ä
पोथी	p o t̪ʰ i
पोलिश	p o l i s
पोल्नु	p o l n u
पोसाक	p o s ä k
पौडिनु	p ʌ u̯ ɽ i n u
पौने	p ʌ u̯ n e
पौष	p ʌ u̯ s
प्यारो	p j ä ɾ o
प्रकाशाणु	p r ʌ k ä s ä ɽ̃ u
प्रकृति	p r ʌ k ɾ i t̪ i
प्रचंड	p r ʌ t͡s ʌ ɳ ɖ ʌ
प्रबिधि	p r ʌ b i d̪ i
प्रभा	p r ʌ b ä
प्रमुख	p r ʌ m u k̞ʰ
प्रयोग	p r ʌ j o ɡ̞
प्रयोगकर्ता	p r ʌ j o ɡ̞ k ʌ r t̪ ä
प्रयोगस्थल	p r ʌ j o ɡ̞ s t̪ʰ ʌ l
प्रविधि	p r ʌ b i d̪ i
प्रश्न	p r ʌ s n ʌ
प्रश्नहरु	p r ʌ s n ʌ̤ː r u
प्रश्नहरू	p r ʌ s n ʌ̤ː r u
प्रहरी	p r ʌ ʔ ʌ ɾ i
प्रहरी	p r ʌ̤ː r i
प्राय	p r ä e
प्रेम	p r e m
फ	pʰ ʌ
फकाउनु	pʰ ʌ k ä u̯ n u
फरक	pʰ ʌ ɾ ʌ k
फर्सी	pʰ ʌ r s i
फल	pʰ ʌ l
फल	pʰ ʌ l ʌ
फलफूल	pʰ ʌ l pʰ u l
फल्नु	pʰ ʌ l n u
फागुन	pʰ ä ɡ̞ u n
फाल्गुन	pʰ ä l ɡ u n
फाल्नु	pʰ ä l n u
फुक्नु	pʰ u k n u
फुपाजु	pʰ u p ä d z u
फुपाज्यू	pʰ u p ä d z j u
फुपु	pʰ u p u
फुपू	pʰ u p u
फुल	pʰ u l
फुसी	pʰ u s i
फुस्रो	pʰ u s r o
फूल	pʰ u l
फेब्रुअरी	pʰ e b r u ʌ ɾ i
फेरि	pʰ e ɾ i
फेर्नु	pʰ e r n u
फ्याँक्नु	pʰ j ä̃ k n u
ब	b ʌ
बग्नु	b ʌ ɡ̞ n u
बच्चा	b ʌ t̚ t͡s ä
बजाउनु	b ʌ d z ä u̯ n u
बजार	b ʌ d z ä r
बजे	b ʌ d z e
बढाउन	b ʌ ɽ ä u̯ n ʌ
बढाउनु	b ʌ ɽ ä u̯ n u
बताउनु	b ʌ t̪ ä u̯ n u
बताउने	b ʌ t̪ ä u̯ n e
बत्तीस	b ʌ t̪̚ t̪ i s
बदर	b ʌ d̪ ʌ r
बदाम्	b ʌ d̪ ä m
बदाम्	b ʌ d̪ ʌ m
बधू	b ʌ d̪ u
बन	b ʌ n
बन	b ʌ n ʌ
बना	b ʌ n ä
बनाउनु	b ʌ n ä u̯ n u
बनाउनुहोला	b ʌ n ä u̯ n u o l ä
बनाऔ	b ʌ n ä ʌ u̯
बनाऔँ	b ʌ n ä ʌ̃ ũ̯
बनाऔं	b ʌ n ä ʌ ũ̯
बनेर	b ʌ n e ɾ ʌ
बन्द	b ʌ n̪ d̪ ʌ
बन्नु	b ʌ nː u
बबल	b ʌ b ʌ l
बयसट्ठी	b ʌ e s ʌ ʈ̚ ʈʰ i
बयसट्ठी	b ʌ i̯ s ʌ ʈ̚ ʈʰ i
बयानब्बे	b ʌ j ä n ʌ b̚ b e
बयालीस	b ʌ j ä l i s
बयासी	b ʌ j ä s i
बर	b ʌ r
बरफ	b ʌ ɾ ʌ ɸ
बरि	b ʌ ɾ i
बर्खा	b ʌ r kʰ ä
बर्ग	b ʌ r ɡ ʌ
बर्ष	b ʌ r s ʌ
बस	b ʌ s
बस	b ʌ s ʌ
बसन्त	b ʌ s ʌ n̪ t̪ ʌ
बस्	b ʌ s
बस्ती	b ʌ s t̪ i
बस्तु	b ʌ s t̪ u
बस्नु	b ʌ s n u
बस‍	b ʌ s ʌ
बहत्तर	b ʌ̤ː t̪̚ t̪ ʌ r
बहिनी	b ʌ i̯ n i
बा	b ä
बाँकी	b ä̃ k i
बाँच्नु	b ä̃ t͡s n u
बाँड्नु	b ä̃ ɽ ɳ u
बाँध्नु	b ä̃ d̪ n̪ u
बाईस	b ä i̯ s
बाउ	b ä u̯
बाउन्न	b ä u̯ nː ʌ
बाकस	b ä k ʌ s
बाख्रा	b ä k̞ʰ r ä
बागमती	b ä ɡ̞ m ʌ t̪ i
बाघ	b ä ɡ̞
बाटो	b ä ʈ o
बाथ	b ä t̪ʰ
बादल	b ä d̪ ʌ l
बादशाह	b ä d̪ s ä̤ː
बादशाह	b ä sː ä
बान्नु	b ä nː u
बाबा	b ä b ä
बाबु	b ä b u
बारेमा	b ä ɾ e m ä
बालुवा	b ä l u w ä
बाहिर	b ä i̯ ɾ ʌ
बाहुन	b ä u n
बाह्र	b ä ɾ ʌ
बिकास	b i k ä s
बिगार्नु	b i ɡ̞ ä r n u
बिजुली	b i d z u l i
बिज्ञान	b i ɡ̞ ɡ j ä n
बिदा	b i d̪ ä
बिन्ति	b i n̪ t̪ i
बिपना	b i p ʌ n ä
बिफर्	b i ɸ ʌ r
बिबाह	b i b ä̤ː
बिभिन्न	b i b i nː ʌ
बिमाख्	b i m ä k̞ʰ
बियर	b i e r
बियर	b i j ʌ ɾ
बिया	b i j ä
बिराटनगर	b i ɾ ä ʈ ɳ ʌ ɡ̞ ʌ r
बिरामी	b i ɾ ä m i
बिरालो	b i ɾ ä l o
बिरुवा	b i ɾ u w ä
बिसौनी	b i s ʌ u̯ n i
बिस्तारै	b i s t̪ ä ɾ ʌ i̯
बिस्तारो	b i s t̪ ä ɾ o
बिहा	b i ɦ ä
बिहा	b i ʔ ä
बिहान	b i ɦ ä n ʌ
बिहिबार	b i̤ː b ä r
बिहीबार	b i i̯ b ä r
बीउ	b i u̯
बीर	b i r
बीस	b i s
बुझ्नु	b u d z n u
बुटवल	b u ʈ o l
बुटवल	b u ʈ ʌ w ʌ l
बुटि	b u ʈ i
बुढा	b u ɽ ä
बुढी	b u ɽ i
बुढो	b u ɽ o
बुद्ध	b u d̪̚ d̪ ʌ
बुद्ध	b u d̪̚ d̪ʱ ʌ̤
बुद्धिचाल	b u d̪̚ d̪ʱ i̤ t͡s ä l
बुधबार	b u d̪ ʌ b ä r
बुन्नु	b u nː u
बुबा	b u b ä
बुवा	b u w ä
बुवा	b u ä
बुहारी	b u ä ɾ i
बूढा	b u ɽ ä
बूढी	b u ɽ i
बूढो	b u ɽ o
बेइजिङ	b e i̯ d z i ŋ
बेलुका	b e l u k ä
बेहुला	b e u̯ l ä
बेहुली	b e u̯ l i
बैंक	b e ŋ k
बैंक	b ʌ i̯ ŋ k
बैगनी	b ʌ i̯ ɡ̞ ʌ n i
बैगुने	b ʌ i̯ ɡ̞ u n e
बैजनी	b ʌ i̯ d z ʌ n i
बैनि	b ʌ i̯ n i
बैसट्ठी	b ʌ i̯ s ʌ ʈ̚ ʈʰ i
बैसठ्ठी	b ʌ i̯ s ʌ ʈ̚ ʈʰ i
बोका	b o k ä
बोको	b o k o
बोट	b o ʈ
बोधो	b o d̪ o
बोल्नु	b o l n u
ब्रह्मदेश	b r ʌ mː ʌ d̪ e s
ब्रह्माण्ड	b r ʌ mː ä ɳ ɖ ʌ
ब्वाँसो	b w ä̃ s o
भ	bʱ ʌ̤
भए	bʱ ʌ̤ e
भएका	bʱ ʌː k ä
भएका	bʱ ʌ̤ e k ä
भएको	bʱ ʌː k o
भएको	bʱ ʌ̤ e k o
भएमा	bʱ ʌ̤ e m ä
भएर	bʱ ʌː ɾ ʌ
भएर	bʱ ʌ̤ e ɾ ʌ
भक्तपुर	bʱ ʌ̤ k̚ t̪ ʌ p u r
भतिज	bʱ ʌ̤ t̪ i d z
भतिजा	bʱ ʌ̤ t̪ i d z ä
भतिजी	bʱ ʌ̤ t̪ i d z i
भतिजो	bʱ ʌ̤ t̪ i d z o
भतीजा	bʱ ʌ̤ t̪ i d z ä
भतीजी	bʱ ʌ̤ t̪ i d z i
भदौ	bʱ ʌ̤ d̪ ʌ u̯
भनिनु	bʱ ʌ̤ n i n u
भनिन्छ	bʱ ʌ̤ n i n̻ t͡sʰ ʌ
भने	bʱ ʌ̤ n e
भनेको	bʱ ʌ̤ n e k o
भनेर	bʱ ʌ̤ n e ɾ ʌ
भन्दा	bʱ ʌ̤ n̪ d̪ ä
भन्नु	bʱ ʌ̤ nː u
भन्ने	bʱ ʌ̤ nː e
भरतपुर	bʱ ʌ̤ ɾ ʌ t̪̚ p u r
भाँच्नु	bʱ ä̤̃ t͡s n u
भाइ	bʱ ä̤ i̯
भाउजु	bʱ ä̤ u̯ d z u
भाउजू	bʱ ä̤ u̯ d z u
भाउज्यू	bʱ ä̤ u̯ d z j u
भाडा	bʱ ä̤ ɽ ä
भाद्र	bʱ ä̤ d̪ r ʌ
भानिज	bʱ ä̤ n i d z
भान्जा	bʱ ä̤ n̻ d͡z ä
भान्जी	bʱ ä̤ n̻ d͡z i
भान्जो	bʱ ä̤ n̻ d͡z o
भारत	bʱ ä̤ ɾ ʌ t̪
भालू	bʱ ä̤ l u
भाषा	bʱ ä̤ s ä
भिजेको	bʱ i̤ d z e k o
भिडियो	bʱ i̤ ɽ i j o
भित्र	bʱ i̤ t̪ r ʌ
भिना	bʱ i̤ n ä
भिनाजु	bʱ i̤ n ä d z u
भिनाज्यू	bʱ i̤ n ä d z j u
भिसा	bʱ i̤ s ä
भीर	bʱ i̤ r
भुइँ	bʱ ũ ĩ̯
भुइँ	bʱ ʌ̤̃ ĩ̯
भुईँचालो	bʱ ṳ̃ ĩ̯ t͡s ä l o
भुटान	bʱ ṳ ʈ ä n
भुत्रो	bʱ ṳ t̪ r o
भूगोल	bʱ ṳ ɡ̞ o l
भेट्नु	bʱ e̤ ʈ ɳ u
भेना	bʱ e̤ n ä
भैँसी	bʱ ʌ̤̃ ĩ̯ s i
भैंसी	bʱ ʌ̤̃ ĩ̯ s i
भोक	bʱ o̤ k
भोलि	bʱ o̤ l i
म	m ʌ
मःम	m ʌ m ʌ
मःमः	m ʌ m ʌ
मकै	m ʌ k ʌ i̯
मङ्गल	m ʌ ŋ ɡ ʌ l
मङ्गलबार	m ʌ ŋ ɡ ʌ l b ä r
मङ्सिर	m ʌ ŋ s i r
मजेन्टा	m ʌ d z e ɳ ʈ ä
मज्जा	m ʌ d z d͡z ä
मदत्	m ʌ d̪ ʌ t̪
मधेश	m ʌ d̪ e s
मन	m ʌ n
मन्त्र	m ʌ n̪ t̪ r ʌ
