ং	ŋ
অরণ্য	ɔ ɹ o nː o
অরবিন্দ	ɔ ɾ ɔ b i n d̪ ɔ
অরিত্র	o ɹ i t̪ ɹ o
অরিন্দম	ɔ ɾ i n d̪ ɔ m
অরুণ	o ɾ u n
অর্ণব	ɔ ɹ n o b
অর্থ	ɔ ɹ t̪ʰ o
অর্থাৎ	ɔ ɹ t̪ʰ a t̪
অর্ধমৃত	ɔ ɹ d̪ʱ o m ɹ i t̪ o
অর্পিতা	ɔ ɹ p i t̪ a
অলস	ɔ l o ʃ
অলাত	ɔ l a t̪
অলৌকিক	ɔ l o u̯ k i k
অশনি	ɔ ʃ o n i
অশিক্ষিত	ɔ ʃ i kʰː i t̪ o
অশোক	ɔ ʃ o k
অশোত	ɔ ʃ o t
অশ্বগন্ধা	ɔ ʃː ɔ ɡ ɔ n d̪ʱ a
অশ্বত্থ	ɔ ʃː ɔ tʰː ɔ
অশ্বেত	ɔ ʃː e t̪
অষ্টাশি	ɔ ʃ t a ʃ i
অসভ্য	ɔ ʃ o bʱː o
অসমীয়া	ɔ ʃ o m i̯ a
অসি	ɔ ʃ i
অসীমা	ɔ ʃ i m a
অসুখ	ɔ ʃ u kʰ
অসুস্থ	ɔ ʃ u s t̪ʰ o
অসুস্থতা	ɔ ʃ u s tʰ ɔ t a
অস্ট্রিয়া	ɔ s t ɹ i̯ a
অস্ট্রিয়া	ɔ ʃ t ɹ i̯ a
অস্ট্রেলিয়া	ɔ s t ɹ e l i̯ a
অস্ট্রেলিয়া	ɔ ʃ t ɹ e l i̯ a
অস্ত্র	ɔ s t̪ ɹ o
অস্থি	o ʃ ʈʰ i
অস্থির	ɔ s t̪ʰ i ɹ
অস্পৃশ্যতা	ɔ ʃ p ɹ i ʃː ɔ t̪ a
অহংকার	ɔ ɦ o ŋ k a ɹ
অহরহ	ɔ ɦ o ɹ ɔ ɦ o
অহর্নিশি	ɔ ɦ o ɹ n i ʃ i
অ্যাঁ	ɛ̃
অ্যানথ্রাক্স	æ n t̪ʰ ɹ a k s
অ্যানিমে	ɛ n i m e
অ্যানিমেশন	ɛ n i m e ʃ ɔ n
অ্যান্টার্কটিকা	ɛ n t a ɹ k t i k a
অ্যাপোলো	ɛ p o l o
অ্যালগরিদম	ɛ l ɡ o ɹ i d̪ m
অ্যালগরিদম	ɛ l ɡ o ɹ i d̪ o m
অ্যালবার্টা	æ l b a ɹ t a
আ	a
আঁকড়া	a k ɹ a
আঁকা	a k a
আঁকাবাঁকা	a k a b a k a
আঁখ	a kʰ
আঁখি	a kʰ i
আঁতাত	a t̪ a t̪
আঁতেল	a t̪ e l
আঁধার	a d̪ʱ a ɹ
আংশিক	a ŋ ʃ i k
আইন	a i̯ n
আইয়ুব	a i̯ u̯ b
আইসক্রিম	a i̯ s k ɹ i m
আইসল্যান্ড	a i̯ s l æ n d
আউলিয়া	a u̯ l i̯ a
আওতা	a o̯ t̪ a
আকবর	a k b ɔ ɹ
আকসার	a k s a ɹ
আকাট	a k a ʈ
আকাঠ	a k a ʈʰ
আকাঠা	a k a ʈʰ a
আকাদেমি	a k a d̪ e m i
আকাম	a k a m
আকালী	a k a l i
আকাশ	a k a ʃ
আকাশি	a k a ʃ i
আক্রান্ত	a k ɹ a n t̪ o
আখ	a kʰ
আখতার	a kʰ t̪ a ɹ
আখবার	a kʰ b a ɹ
আখাত	a kʰ a t̪
আখের	a kʰ e ɹ
আখেরাত	a kʰ e ɹ a t̪
আগষ্ট	a ɡ ɔ s ʈ
আগস্ট	a ɡ o s t
আগস্ট	a ɡ o ʃ t
আগা	a ɡ a
আগানো	a ɡ a n o
আগুন	a ɡ u n
আগ্নেয়গিরি	a ɡ n e e̯ ɡ i ɹ i
আগ্রাবাদ	a ɡ ɾ a b a d
আঘাট	a ɡʱ a ʈ
আঘাটা	a ɡʱ a ʈ a
আঘাত	a ɡʱ a t̪
আঙিনা	a ŋ i n a
আঙুর	a ŋ u ɹ
আঙ্গুল	a ŋ ɡ u l
আচরণ	a t ʃ o ɾ o n
আচরণ	a t ʃ o ɾ ɔ n
আছে	a s e
আজ্ঞা	a ɡː a
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আট	a t
আটা	a t a
আঠা	a ʈʰ a
আড়াই	a ɹ a i̯
আড়াল	a ɹ a l
আণ্ডা	a n d a
আতর	a t̪ o ɹ
আতশ	a t̪ o ʃ
আতা	a t̪ a
আত্মহত্যা	a t t o ɦ o t t a
আত্মা	a t̪ː a
আদম	a d̪ o m
আদমী	a d̪ o m i
আদর	a d̪ o ɹ
আদর্শ	a d̪ o ɹ ʃ o
আদা	a d̪ a
আদালত	a d̪ a l ɔ t̪
আদিবাসী	a d̪ i b a ʃ i
আদেশ	a d̪ e ʃ
আধুনিক	a d̪ʱ u n i k
আনন্দ	a n o n d̪ o
আনা	a n a
আনাড়ি	a n a ɹ i
আনারস	a n a ɹ ɔ ʃ
আনোয়ার	a n o̯ a ɹ
আন্টার্কটিকা	a n t a ɹ k t i k a
আন্তঃনগর	a n t̪ ɔ n o ɡ ɔ ɹ
আন্দোলন	a n d̪ o l o n
আন্দোলন	a n d̪ o l ɔ n
আপকাওয়াস্তে	a p ɔ k a o̯ a s t̪ e
আপন	a p o n
আপনাকে	a p n a k e
আপনাদের	a p n a d̪ e ɹ
আপনার	a p n a ɹ
আপনারা	a p n a ɹ a
আপনি	a p n i
আপা	a p a
আপেল	a p e l
আফগানিস্তান	a pʰ ɡ a n i s t a n
আফতাব	a f t̪ a b
আফসোস	a f s o s
আফিম	a f i m
আফ্রিকা	a f ɹ i k a
আফ্রোদিতি	a f ɹ o d̪ i t̪ i
আব	a b
আবহাওয়া	a b o ɦ a o̯ a
আবার	a b a ɹ
আবিষ্কার	a b i ʃ k a ɹ
আবেগ	a b e ɡ
আবেদ	a b e d̪
আব্দুল	a b d̪ u l
আব্দুল্লাহ	a b d̪ u lː a
আব্বা	a bː a
আব্বু	a bː u
আম	a m
আমড়া	a m ɽ a
আমন্ত্রণ	a m o n t̪ ɹ o n
আমন্ত্রণ	a m o n t̪ ɹ ɔ n
আমবেগুন	a m b e ɡ u n
আমবেগুন	a m b æ ɡ u n
আমরা	a m ɹ a
আমরার	a m ɾ a ɾ
আমল	a m o l
আমলকী	a m l o k i
আমাগর	a m a ɡ ɔ ɾ
আমাদের	a m a d̪ e ɹ
আমানত	a m a n ɔ t̪
আমার	a m a ɹ
আমারে	a m a ɹ e
আমাশয়	a m a ʃ ɔ e̯
আমি	a m i
আমীর	a m i ɹ
আমেরিকা	a m e ɹ i k a
আয়না	a e̯ n a
আয়াতুল্লাহ	a e̯ a t̪ o lː a ɦ
আয়াতুল্লাহ	a e̯ a t̪ u lː a ɦ
আয়ুর্বেদ	a e̯ u ɹ b e d̪
আয়েশা	a e̯ ʃ a
আয়োগ	a j o ɡ
আর	a ɹ
আরক্ষী	a ɾ o k kʰ i
আরণ্যক	a ɾ o nː o k
আরতি	a ɹ o t̪ i
আরব	a ɹ ɔ b
আরাফাত	a ɾ a f a t̪
আরাম	a ɹ a m
আরিফ	a ɾ i f
আরে	a ɹ e
আরেক	a ɹ ɛ k
আর্দ্র	a ɹ d̪ ɹ o
আর্মেনিয়া	a ɹ m e n i̯ a
আলকাতরা	a l k a t̪ ɹ a
আলগা	a l ɡ a
আলপনা	a l p o n a
আলবেনিয়া	a l b e n i̯ a
আলভী	a l bʱ i
আলম	a l o m
আলমারি	a l m a ɹ i
আলাদা	a l a d̪ a
আলাপ	a l a p
আলামত	a l a m o t̪
আলামত	a l a m ɔ t̪
আলী	a l i
আলু	a l u
আলেম	a l e m
আলো	a l o
আলোক	a l o k
আলোকতরঙ্গ	a l o k t ɔ r ɔ ŋ ɡ ɔ
আলোকরশ্মি	a l o k r o ʃ m i
আলোকরশ্মি	a l o k r o ʃ ʃ i
আল্লাহ	a lː a ɦ
আল্লাহ্	a lː a
আশমান	a ʃ m a n
আশা	a ʃ a
আশীর্বাদ	a ʃ i ɹ b a d̪
আশুতোষ	a ʃ u t o ʃ
আশুরা	a ʃ u ɹ a
আশেক	a ʃ e k
আশোত	a ʃ o t
আশ্বিন	a ʃː i n
আশ্রম	a s ɹ ɔ m
আষাঢ়	a ʃ a ɹ
আসগর	a s ɡ ɔ ɹ
আসবাব	a ʃ b a b
আসমা	a s m a
আসমান	a s m a n
আসর	a s o ɹ
আসর	a ʃ o ɹ
আসল	a ʃ o l
আসলে	a s l e
আসলে	a ʃ o l e
আসা	a ʃ a
আসান	a ʃ a n
আসানী	a ʃ a n i
আসাম	a s a m
আসিফ	a s i f
আসিয়া	a s i̯ a
আসিয়া	a ʃ i̯ a
আস্তাবল	a s t̪ a b o l
আস্তে	a s t̪ e
আস্থা	a s t̪ʰ a
আহনাফ	a ɦ n a f
আহমদ	a m ɦ o d̪
আহমদ	a mː o d̪
আহসান	a ɦ s a n
আহ্বান	a u̯ bʱ a n
ই	i
ইংল্যান্ড	i ŋ l ɛ n d
ইউক্রেন	i u k ɾ e n
ইউনান	i u̯ n a n
ইউনানি	i u̯ n a n i
ইউনিয়ন	i u̯ n i̯ o n
ইউনিয়ন	i u̯ n i̯ ɔ n
ইউরেনাস	i u̯ ɹ e n a ʃ
ইউরেশিয়া	i u̯ ɹ e ʃ i̯ a
ইউরো	i u ɾ o
ইউরোপ	i u̯ ɹ o p
ইকুয়েডর	i k u̯ e d ɔ ɹ
ইজতেমা	i t ʃ t̪ e m a
ইটানো	i ʈ a n o
ইতস্তত	i t̪ o s t̪ o t̪ o
ইতস্তত	i t̪ ɔ s t̪ ɔ t̪ o
ইতিমধ্যে	i t̪ i m o d̪ʱː e
ইতিহাস	i t̪ i ɦ a ʃ
ইতোমধ্যে	i t̪ o m o d̪ʱː e
ইত্তেফাক	i t̪ː e f a k
ইত্যাদি	i t̪ː a d̪ i
ইদানীং	i d̪ a n i ŋ
ইনকিলাব	i n k i l a b
ইনকিলাবি	i n k i l a b i
ইনশাআল্লাহ	i n ʃ a l l a h
ইনসান	i n s a n
ইনসাফ	i n s a f
ইনাম	i n a m
ইনি	i n i
ইন্তেকাল	i n t̪ e k a l
ইন্দ্র	i n d̪ ɾ o
ইফতার	i f t̪ a ɾ
ইফতেখার	i f t̪ e kʰ a ɹ
ইব্রাহীম	i b ɹ a ɦ i m
ইমতেহান	i m t̪ e ɦ a n
ইমরান	i m ɹ a n
ইমাম	i m a m
ইয়াদ	i̯ a d̪
ইয়াসমিন	i̯ a s m i n
ইয়াসিন	i̯ a s i n
ইয়োরোপ	i̯ o ɹ o p
ইরফান	i ɾ f a n
ইরাক	i ɹ a k
ইরান	i ɹ a n
ইরিত্রিয়া	i ɹ i t̪ ɹ i̯ a
ইলিয়াস	i l i̯ a s
ইলিশ	i l i ʃ
ইস	i ʃ
ইসলাম	i s l a m
ইস্কুল	i s k u l
ইস্কুল	i ʃ k u l
ইস্তাম্বুল	i s t̪ a m b u l
ইস্তোনিয়া	i s t̪ o n i̯ a
ইস্পাত	i ʃ p a t̪
ঈ	i
ঈগল	i ɡ ɔ l
ঈদ	i d̪
ঈশপ	i ʃ ɔ p
ঈশানী	i ʃ a n i
ঈশ্বর	i ʃː ɔ ɹ
ঈসা	i s a
ঈস্ট	i s t
ঈস্ট	i ʃ t
উ	u
উইকিঅভিধান	u̯ i k i̯ ɔ bʱ i d̪ʱ a n
উইকিপিডিয়া	u̯ i k i p i d i̯ a
উইল	u̯ i l
উইলিয়াম	u̯ i l i̯ a m
উকিল	u k i l
উখড়ানো	u kʰ ɹ a n o
উট	u t
উঠান	u tʰ a n
উড়া	u ɹ a
উড়িষ্যা	u ɹ i ʃː a
উতরানো	u t̪ ɹ a n o
উত্তম	u t̪ː ɔ m
উত্তরাখণ্ড	u t̪ː ɔ ɹ a kʰ ɔ n d o
উদয়	u d̪ ɔ e̯
উদাহরণ	u d̪ a ɦ ɔ ɹ o n
উদ্বোধন	u d̪ b o d̪ʱ ɔ n
উদ্ভিদ	u d̪ bʱ i d̪
উধাও	u d̪ʱ a o̯
উনআশি	u n a ʃ i
উনি	u n i
উন্দূর	u n d̪ u ɾ
উন্মত্ততা	u n m ɔ t̪ː ɔ t̪ a
উপকার	u p o k a ɹ
উপড়ানো	u p ɹ a n o
উপত্যকা	u p ɔ t̪ː ɔ k a
উপদেশ	u p o d̪ e ʃ
উপনয়ন	u p ɔ n o e̯ ɔ n
উপনিষদ	u p o n i ʃ ɔ d̪
উপনীত	u p o n i t̪ o
উপন্যাস	u p o nː a ʃ
উপভাষা	u p ɔ bʱ a ʃ a
উপমহাদেশ	u p ɔ m ɔ ɦ a d̪ e ʃ
উপর	u p o ɹ
উপসাগর	u p o ʃ a ɡ o r
উপহার	u p o ɦ a r
উপায়	u p a e̯
উপাসক	u p a ʃ ɔ k
উপাসনা	u p a ʃ ɔ n a
উফ	u f
উভ	u bʱ o
উভকামী	u bʱ ɔ k a m i
উম্মত	u mː ɔ t̪
উলঙ্গ	u l ɔ ŋ ɡ ɔ
উলু	u l u
উলুখাগড়া	u l u kʰ a ɡ ɹ a
উল্কা	u l k a
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
উৎস	u t̪ ʃ o
উৎসর্গ	u t̪ ʃ ɔ ɹ ɡ o
উৎসাহ	u t ʃ a h o
উৎসাহিত	u t̪ ʃ a ɦ i t̪ o
ঊ	u
ঊর্ধ্ব	u ɾ d̪ʱ o
ঊর্ধ্বতন	u ɹ d̪ʱː ɔ t̪ o n
ঋ	r i
ঋক্ষ	ɹ i kʰː o
ঋগ্বেদ	r i ɡ b e d̪
ঋণ	ɹ i n
ঋতু	ɹ i t̪ u
ঋষি	ɹ i ʃ i
ঌ	l i
এ	e
এ	æ
এঁকে	e k e
এঁদের	e d̪ e ɹ
এই	e i
এইরকম	e i̯ ɹ ɔ k o m
এক	ɛ k
একটু	e k t u
একতা	æ k o t̪ a
একত্রিশ	e k ɔ t̪ ɹ i ʃ
একবার	e k b a ɹ
একলব্য	æ k l o bː o
একলা	ɛ k l a
একাকী	e k a k i
একাডেমি	ɛ k a d e m i
একাত্তর	e k a t̪ː ɔ ɹ
একামত	e k a m ɔ t̪
একামত	i k a m ɔ t̪
একুশে	e k u ʃ e
একেবারে	e k e b a ɹ e
এখতিয়ার	e kʰ t̪ i̯ a ɹ
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এখান	e kʰ a n
এগারো	e ɡ a ɹ o
এগুলা	e ɡ u l a
এটা	e t a
এটি	e t i
এডমন্টন	e d ɔ m ɔ n t ɔ n
এডিনবরা	e ɖ i n b r a
এডিনবরা	e ɖ i n b ɔ r a
এত	ɛ t̪ o
এদের	e d̪ e ɹ
এন্ড্রু	ɛ n d ɹ u
এন্থনি	ɛ n t̪ʰ o n i
এপ্রিল	e p ɹ i l
এবে	e b e
এভাবে	e bʱ a b e
এভাবে	e v a b e
এমন	ɛ m o n
এমনকী	ɛ m ɔ n k i
এর	e ɹ
এরশাদ	e ɹ ʃ a d̪
এরা	e ɹ a
এলাকা	e l a k a
এলাহাবাদ	e l a ɦ a b a d̪
এলেম	e l e m
এলোহিম	e l o ɦ i m
এস্তেমাল	e s t̪ e m a l
ঐ	o i
ঐতিহাসিক	o i̯ t̪ i ɦ a ʃ i k
ঐরাবত	o i r a b ɔ t
ও	o
ওঁ	o m
ওঁর	o ɹ
ওঁরা	o ɹ a
ওই	o i
ওক্ত	o k t̪
ওক্ত	o k t̪ o
ওক্‌ত	o k t̪
ওখান	o kʰ a n
ওখানে	o kʰ a n e
ওগো	o ɡ o
ওঠা	o ʈʰ a
ওড়না	o ɽ n a
ওড়া	o ɹ a
ওড়িশা	o ɹ i ʃ a
ওতফ	o t̪ ɔ f ɔ
ওদের	o d̪ e ɹ
ওফাত	o f a t̪
ওমর	o m o ɹ
ওয়াইন	o̯ a i̯ n
ওয়াকফ	o̯ a k f
ওয়াকফ	o̯ a k ɔ f
ওয়াকেফ	o̯ a k e f
ওয়াক্ত	o̯ a k t̪
ওয়াক্ত	o̯ a k t̪ o
ওয়াক্‌ফ	o̯ a k f
ওয়াতন	o̯ a t̪ ɔ n
ওয়াদা	o̯ a d̪ a
ওয়ারশ	o a r ʃ ɔ
ওয়ারিস	o̯ a ɹ i ʃ
ওয়ালেদ	o̯ a l e d̪
ওয়ালেদা	o̯ a l e d̪ a
ওয়াশিংটন	o̯ a ʃ i ŋ t ɔ n
ওয়াস্তা	o̯ a s t̪ a
ওয়াহেগুরু	o̯ a ɦ e ɡ u ɹ u
ওরফে	o ɾ o f e
ওল	o l
ওলদ	o l o d̪
ওলি	o l i
ওশেনিয়া	o ʃ e n i̯ a
ওষুধ	o ʃ u d̪ʱ
ওষ্ঠ্য	o ʃ tʰː o
ওসমান	o s m a n
ওস্তাদ	o s t̪ a d̪
ওহাইও	o ɦ a i̯ o
ঔ	o u
ঔষধ	o u̯ ʃ ɔ d̪ʱ
ক	k ɔ
কংগ্রেস	k ɔ ŋ ɡ ɹ e s
কংগ্রেস	k ɔ ŋ ɡ ɹ e ʃ
কই	k o i̯
কওয়া	k ɔ o̯ a
কখন	k ɔ kʰ ɔ n
কখনও	k ɔ kʰ ɔ n o
কখনো	k ɔ kʰ o n o
কঙ্কাল	k ɔ ŋ k a l
কঠিন	k ɔ tʰ i n
কঠোর	k ɔ t̪ʰ a ɹ
কণা	k ɔ n a
কণ্ঠ্য	k ɔ n tʰː o
কত	k ɔ t̪ o
কথন	k ɔ t̪ʰ ɔ n
কথা	k ɔ t̪ʰ a
কথাবার্তা	k ɔ t̪ʰ a b a ɹ t̪ a
কথ্য	k o t̪ʰː o
কদবেল	k ɔ d̪ b e l
কদম	k ɔ d ɔ m
কদর	k ɔ d̪ o ɹ
কদু	k o d̪ u
কনুই	k o n u̯ i
কন্ডম	k ɔ n ɖ ɔ m
কপাল	k ɔ p a l
কপি	k o p i
কপিত্থ	k o p i t̪ʰː o
কফ	k ɔ f
কফি	k ɔ f i
কবর	k ɔ b o ɹ
কবি	k o b i
কবিতা	k o b i t̪ a
কবুতর	k o b u t̪ ɔ r
কবুল	k o b u l
কবে	k ɔ b e
কম	k ɔ m
কমলা	k ɔ m l a
কমলা	k ɔ m o l a
কম্পাস	k ɔ m p a s
কম্পাস	k ɔ m p a ʃ
কম্পিউটার	k ɔ m p i u̯ t a ɹ
কম্পিউটিং	k ɔ m p i u̯ t i ŋ
কম্বল	k ɔ m b o l
কয়	k ɔ e̯
কয়থ	k ɔ e̯ o t̪ʰ
কয়লা	k ɔ e̯ l a
কয়লাখনি	k ɔ e̯ l a kʰ o n i
কয়েক	k ɔ e k
কয়েতবেল	k ɔ e̯ e t̪ b e l
কয়েথ	k ɔ e t̪ʰ
কয়েদ	k ɔ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করবী	k ɔ ɾ ɔ b i
করলা	k ɔ ɾ o l a
করা	k ɔ ɹ a
করা	k ɔ ɽ a
করা	k ɔ ɾ a
করাত	k ɔ r a t
করিম	k o ɹ i m
করে	k o ɹ e
করোনা	k ɔ ɹ o n a
করোনাভাইরাস	k ɔ ɹ o n a bʱ a i̯ ɹ a s
কর্ণ	k ɔ ɹ n o
কর্ণপাত	k ɔ ɹ n o p a t̪
কর্ণাটক	k ɔ ɹ n a t ɔ k
কর্তৃত্ব	k o ɹ t̪ ɹ i t̪ː o
কর্পূর	k ɔ ɹ p u ɹ
কর্ম	k ɔ ɹ m o
কর্মকর্তা	k ɔ ɹ m ɔ k ɔ ɹ t̪ a
কলকাতা	k o l k a t̪ a
কলম	k ɔ l o m
কলা	k ɔ l a
কলিকাতা	k o l i k a t̪ a
কল্লা	k ɔ l l a
কষ্ট	k ɔ ʃ t o
কস্তুর	k o s t̪ u ɹ
কস্তুরী	k o s t̪ u ɹ i
কাঁকড়া	k a k ɹ a
কাঁকাল	k a k a l
কাঁঠাল	k a tʰ a l
কাঁদা	k a d̪ a
কাউন	k a u̯ n
কাউয়া	k a u̯ a
কাউর	k a u̯ ɹ
কাক	k a k
কাকাতুয়া	k a k a t̪ u̯ a
কাঠ	k a tʰ
কাঠি	k a ʈʰ i
কাড়া	k a ɹ a
কাতার	k a t̪ a ɹ
কাথিয়াবাড়	k a t̪ʰ i a b a ɹ
কাদা	k a d̪ a
কান	k a n
কান	k a n o
কানন	k a n o n
কানাডা	k a n a ɖ a
কানুন	k a n u n
কানুনগো	k a n u n ɡ o
কান্না	k a nː a
কাপড়	k a p o ɹ
কাপাস	k a p a ʃ
কাফেলা	k a f e l a
কাবাব	k a b a b
কাবুল	k a b u l
কাম	k a m
কামরা	k a m ɹ a
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামানো	k a m a n o
কামুক	k a m u k
কায়েনাত	k a e̯ n a t̪
কায়েম	k a e̯ m
কার	k a ɹ
কারওয়ান	k a ɹ o̯ a n
কারখানা	k a r kʰ a n a
কারণ	k a r o n
কারিগর	k a r i ɡ ɔ r
কারিগরি	k a r i ɡ o r i
কার্ডিয়াক	k a ɹ d i̯ a k
কার্তিক	k a ɹ t̪ i k
কাল	k a l
কালা	k a l a
কালি	k a l i
কালীপ্রসন্ন	k a l i p ɹ o ʃ ɔ nː o
কালো	k a l o
কাল্পনিক	k a l p o n i k
কাশা	k a ʃ a
কাশি	k a ʃ i
কাশ্মীর	k a ʃ m i ɹ
কাহিনি	k a ɦ i n i
কাহিনী	k a ɦ i n i
কি	k i
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɹ t̪ ɔ bː o b i m u ɹ o
কিংখাব	k i ŋ kʰ a b
কিংবা	k i ŋ b a
কিতা	k i t̪ a
কিতাব	k i t̪ a b
কিনার	k i n a r
কিন্তু	k i n t̪ u
কিপটা	k i p t a
কিভাবে	k i bʱ a b e
কিভাবে	k i v a b e
কিরণ	k i ɹ o n
কিরীট	k i ɹ i t
কিশমিশ	k i s m i s
কিশমিশ	k i ʃ m i ʃ
কিশোর	k i ʃ o ɹ
কিসমত	k i s m o t̪
কিসিম	k i s i m
কিসিম	k i ʃ i m
কিস্তিমাত	k i s t̪ i m a t̪
কীভাবে	k i b a b e
কীভাবে	k i bʱ a b e
কুঁকড়া	k u k ɹ a
কুঁড়ে	k u ɹ e
কুইবেক	k u̯ i b e k
কুউ	k u̯ u
কুকুর	k u k u ɹ
কুকুরছানা	k u k u ɽ s a n a
কুড়ি	k u ɹ i
কুড়িগ্রাম	k u ɹ i ɡ ɹ a m
কুত্তা	k u t̪ː a
কুদেতা	k u d̪ e t̪ a
কুবের	k u b e ɹ
কুমড়া	k u m ɹ a
কুমড়ো	k u m ɹ o
কুমার	k u m a ɹ
কুমারীত্ব	k u m a ɹ i t̪ː o
কুমির	k u m i ɹ
কুমীর	k u m i ɹ
কুমোর	k u m o r
কুম্ভ	k u m bʱ o
কুয়াশা	k u̯ a ʃ a
কুরআন	k u ɹ a n
কুরসি	k u ɾ s i
কুলখানি	k u l kʰ a n i
কুষ্টিয়া	k u ʃ ʈ i̯ a
কুষ্ঠ	k u ʃ tʰ o
কুসুম	k u ʃ u m
কুস্তি	k u s t̪ i
কুস্তুন্তুনিয়া	k u s t̪ u n t̪ u n i̯ a
কূটনৈতিক	k u ʈ n o i t i k
কৃতজ্ঞ	k r i t ɔ ɡ ɡ o
কৃত্রিম	k ɹ i t̪ ɹ i m
কৃষক	k ɾ i ʃ ɔ k
কৃষি	k ɹ i ʃ i
কৃষ্ণ	k ɾ i ʃ n o
কৃষ্ণগহ্বর	k r i ʃ n o ɡ ɔ o bʱ ɔ r
কে	k e
কেউ	k e u
কেক	k e k
কেকেকে	k e k e k e
কেটলি	k e t l i
কেতা	k e t̪ a
কেদারা	k e d̪ a ɾ a
কেন	k æ n
কেন	k æ n o
কেনা	k e n a
কেন্দ্র	k e n d̪ ɹ o
কেবল	k e b o l
কেয়া	k e a
কেয়ামত	k e a m ɔ t̪
কেরল	k e ɹ ɔ l
কেরামত	k e ɹ a m ɔ t̪
কেরামতি	k e ɹ a m o t̪ i
কেরালা	k e ɹ a l a
কেরোসিন	k e ɹ o ʃ i n
কেল্লা	k e lː a
কেল্লাফতে	k e lː a f o t̪ e
কেষ্ট	k e ʃ ʈ o
কেষ্টবিষ্টু	k e ʃ ʈ o b i ʃ ʈ u
কৈ	k o i̯
কোকিল	k o k i l
কোঠা	k o tʰ a
কোথায়	k o t̪ʰ a e̯
কোন	k o n
কোনখানে	k o n kʰ a n e
কোনা	k o n a
কোনো	k o n o
কোমর	k o m o ɹ
কোরিয়া	k o ɹ i̯ a
কোলবালিশ	k o l b a l i ʃ
কোষ	k o ʃ
কোষ্টা	k o ʃ ʈ a
কোহিনূর	k o ɦ i n u ɹ
কৌঁসুলি	k o u̯ ʃ u l i
কৌমুদী	k o u̯ m u d̪ i
কৌলিক	k o u̯ l i k
কৌশিক	k o u ʃ i k
ক্যা	k ɛ
ক্যানোপাস	k ɛ n o p a ʃ
ক্যান্ডি	k ɛ n d i
ক্যারাম	k æ r a m
ক্যারাম	k æ r æ m
ক্যালগারি	k ɛ l ɡ a ɹ i
ক্যালিফর্নিয়া	k ɛ l i f ɔ ɹ n i̯ a
ক্রমাগত	k ɹ ɔ m a ɡ ɔ t̪ o
ক্রিয়া	k ɹ i̯ a
ক্রিয়াপদ	k ɹ i̯ a p ɔ d̪
ক্রুশ	k ɹ u ʃ
ক্ষতি	kʰ o t̪ i
ক্ষতিকর	kʰ o t̪ i k ɔ ɹ
ক্ষত্রিয়	kʰ o t̪ ɹ i̯ o
ক্ষমতা	kʰ ɔ m o t̪ a
ক্ষমতাশালী	kʰ ɔ m o t̪ a ʃ a l i
ক্ষমা	kʰ ɔ m a
ক্ষমাহীন	kʰ ɔ m a ɦ i n
ক্ষার	kʰ a ɹ
ক্ষারমৃত্তিকা	kʰ a ɹ ɔ m ɹ i t̪ː i k a
ক্ষীর	kʰ i ɾ
ক্ষুদ্র	kʰ u d̪ ɹ o
ক্ষুদ্রান্ত্র	kʰ u d r a n t o
ক্ষুধা	kʰ u d̪ʱ a
ক্ষুধার্ত	kʰ u d̪ʱ a ɹ t̪ o
ক্ষেত্র	kʰ e t̪ ɹ o
কৎবেল	k ɔ t̪ b e l
খ	kʰ ɔ
খণ্ড	kʰ ɔ n d o
খতম	kʰ ɔ t̪ o m
খন্দকার	kʰ ɔ n d̪ o k a ɹ
খবর	kʰ ɔ b o ɹ
খবরদার	kʰ ɔ b o ɹ d̪ a ɹ
খবিশ	kʰ o b i ʃ
খয়রাত	kʰ ɔ e̯ ɹ a t̪
খয়ের	kʰ ɔ e ɹ
খসরু	kʰ o s ɹ u
খাঁটি	kʰ a t i
খাই	kʰ a i̯
খাওয়া	kʰ a o̯ a
খাগড়া	kʰ a ɡ ɹ a
খাট	kʰ a ʈ
খাড়া	kʰ a ɹ a
খাতা	kʰ a t̪ a
খাতির	kʰ a t̪ i ɹ
খাদেম	kʰ a d̪ e m
খান	kʰ a n
খানকি	kʰ a n k i
খানকি	kʰ a ŋ k i
খানদান	kʰ a n d̪ a n
খানা	kʰ a n a
খাবার	kʰ a b a ɹ
খামাখা	kʰ a m a kʰ a
খায়েশ	kʰ a e̯ ʃ
খারাপ	kʰ a ɹ a p
খারাব	kʰ a ɹ a b
খাল	kʰ a l
খালি	kʰ a l i
খালেদ	kʰ a l e d̪
খাসী	kʰ a ʃ i
খাহেশ	kʰ a ɦ e ʃ
খিদা	kʰ i d̪ a
খুব	kʰ u b
খুবসুরত	kʰ u b s u ɹ ɔ t̪
খুবসুরত	kʰ u p s u ɾ ɔ t̪
খুবসুরতি	kʰ u b ʃ u ɹ o t̪ i
খুশকি	kʰ u ʃ k i
খুশবু	kʰ u ʃ b u
