Abae	aː b e
audīveritis	a u̯ d i v ɛː r i t i s
augeat	aː u̯ d͡ʒ e a t
augmentor	a u̯ ɡ m ɛ n t o r
augmentīs	a u̯ ɡ m ɛ n t i s
auguris	aː u̯ ɡ u r i s
auguror	aː u̯ ɡ u r o r
augurās	aː u̯ ɡ u r a s
augurātus	a u̯ ɡ u r aː t u s
augustum	a u̯ ɡ u s t u m
augustā	a u̯ ɡ u s t a
augustās	a u̯ ɡ u s t a s
augustī	a u̯ ɡ u s t i
augustōs	a u̯ ɡ u s t o s
augē	aː u̯ d͡ʒ e
augēberis	a u̯ d͡ʒ ɛː b e r i s
aula	aː u̯ l a
aulae	aː u̯ l e
aulam	aː u̯ l a m
aulārum	a u̯ l aː r u m
aulās	aː u̯ l a s
aulīs	aː u̯ l i s
aurantiacus	a u̯ r a n t͡s iː a k u s
aure	aː u̯ r e
aurea	aː u̯ r e a
aurea	aː u̯ r e e
aurem	aː u̯ r e m
aureī	aː u̯ r e i
auribus	aː u̯ r i b u s
aurichalcum	a u̯ r i k a l k u m
auriculārēs	a u̯ r i k u l aː r e s
auripīgmenta	a u̯ r i p i ɡ m ɛ n t a
auripīgmentī	a u̯ r i p i ɡ m ɛ n t i
auripīgmentīs	a u̯ r i p i ɡ m ɛ n t i s
auripīgmentō	a u̯ r i p i ɡ m ɛ n t o
auripīgmentōrum	a u̯ r i p i ɡ m e n t ɔː r u m
auris	aː u̯ r i s
aurium	aː u̯ r i u m
aurāria	a u̯ r aː r i a
aurāriā	a u̯ r aː r i a
aurātor	a u̯ r aː t o r
aurēs	aː u̯ r e s
aurī	aː u̯ r i
aurīgineus	a u̯ r i d͡ʒ iː n e u s
aurīginōsus	a u̯ r i d͡ʒ i n ɔː s̬ u s
aurīgō	a u̯ r iː ɡ o
aurīs	aː u̯ r i s
aurō	aː u̯ r o
aurōrās	aː u̯ r o r a s
auscultāre	a u̯ s k u l t aː r e
auserāmus	a u̯ s ɛː r a m u s
ausibus	aː u̯ s i b u s
ausisse	a u̯ s i s s e
auspicēs	a u̯ s p i t͡ʃ e s
austricus	a u̯ s t r i k u s
austronēsicus	a u̯ s t r o n ɛː s̬ i k u s
austronēsiānus	a u̯ s t r o n e s̬ i aː n u s
austroāsiāticus	a u̯ s t r o a s̬ i aː t i k u s
austrāliēnsis	a u̯ s t r a l i ɛ n s i s
austēra	a u̯ s t ɛː r a
austēre	a u̯ s t ɛː r e
austērās	a u̯ s t ɛː r a s
austērī	a u̯ s t ɛː r i
austērō	a u̯ s t ɛː r o
austērōs	a u̯ s t ɛː r o s
ausuum	aː u̯ s u u m
ausuī	aː u̯ s u i
ausū	aː u̯ s u
authenticō	a u̯ t ɛ n t i k o
automata	a u̯ t ɔː m a t a
automatae	a u̯ t ɔː m a t e
automatam	a u̯ t ɔː m a t a m
automate	a u̯ t ɔː m a t e
automatoe	a u̯ t ɔː m a t e
automatopoeēta	a u̯ t o m a t o p e ɛː t a
automatopoeētae	a u̯ t o m a t o p e ɛː t e
automatopoeētam	a u̯ t o m a t o p e ɛː t a m
automatopoeēte	a u̯ t o m a t o p e ɛː t e
automatopoeētum	a u̯ t o m a t o p e ɛː t u m
automatopoeētā	a u̯ t o m a t o p e ɛː t a
automatopoeētārum	a u̯ t o m a t o p e e t aː r u m
automatopoeētās	a u̯ t o m a t o p e ɛː t a s
automatopoeētī	a u̯ t o m a t o p e ɛː t i
automatopoeētīs	a u̯ t o m a t o p e ɛː t i s
automatopoeētō	a u̯ t o m a t o p e ɛː t o
automatopoeētōrum	a u̯ t o m a t o p e e t ɔː r u m
automatopoeētōs	a u̯ t o m a t o p e ɛː t o s
automatān	a u̯ t ɔː m a t a n
automatārum	a u̯ t o m a t aː r u m
automatās	a u̯ t ɔː m a t a s
automatī	a u̯ t ɔː m a t i
automatīs	a u̯ t ɔː m a t i s
automatō	a u̯ t ɔː m a t o
automatōrum	a u̯ t o m a t ɔː r u m
autumnālis	a u̯ t u m n aː l i s
autus	aː u̯ t u s
autī	aː u̯ t i
autō	aː u̯ t o
auxiliārēs	a u̯ k s i l i aː r e s
auxiliātrīce	a u̯ k s i l i a t r iː t͡ʃ e
auxiliō	a u̯ k s iː l i o
auxillae	a u̯ k s i l l e
auxillam	a u̯ k s i l l a m
auxillārum	a u̯ k s i l l aː r u m
auxillās	a u̯ k s i l l a s
auxillīs	a u̯ k s i l l i s
avariae	a v aː r i e
avariam	a v aː r i a m
avariārum	a v a r i aː r u m
avariās	a v aː r i a s
avariīs	a v aː r i i s
ave	aː v e
avem	aː v e m
avestānus	a v e s t aː n u s
aveō	aː v e o
avia	aː v i a
aviam	aː v i a m
avibus	aː v i b u s
avis	aː v i s
avium	aː v i u m
aviāria	a v i aː r i a
aviāriam	a v i aː r i a m
aviārie	a v i aː r i e
aviārium	a v i aː r i u m
aviāriās	a v i aː r i a s
aviāriō	a v i aː r i o
aviāriōs	a v i aː r i o s
aviās	aː v i a s
avum	aː v u m
avē	aː v e
avēs	aː v e s
avē̆	aː v e
avī	aː v i
avīs	aː v i s
axe	a k s e
axem	a k s e m
axibus	a k s i b u s
axicia	a k s iː t͡ʃ i a
axium	a k s i u m
axiō	a k s i o
axiōmaticus	a k s i o m aː t i k u s
axula	a k s u l a
axēs	a k s e s
axī	a k s i
azandicus	a d d͡z a n d i k u s
azoricus	a d d͡z ɔː r i k u s
azorēnsis	a d d͡z o r ɛ n s i s
azōtum	a d d͡z ɔː t u m
aï	aː i
aēnum	a ɛː n u m
babtizō	b a b t i d d͡z o
bacca	b a k k a
baccaris	b a k k a r i s
bacchante	b a k k a n t e
bacchantēs	b a k k a n t e s
bacchar	b a k k a r
bacchārī	b a k k aː r i
bacciballa	b a t t͡ʃ i b a l l a
bacciballī	b a t t͡ʃ i b a l l i
bacciballīs	b a t t͡ʃ i b a l l i s
bacciballō	b a t t͡ʃ i b a l l o
bacciballōrum	b a t t͡ʃ i b a l l ɔː r u m
baccor	b a k k o r
baccāris	b a k k aː r i s
bactriānus	b a k t r i aː n u s
bactēriī	b a k t ɛː r i i
badizō	b a d i d d͡z o
badō	b aː d o
baffinēnsis	b a f f i n ɛ n s i s
bahamēnsis	b a a m ɛ n s i s
bahiēnsis	b a i ɛ n s i s
baicalēnsis	b a i k a l ɛ n s i s
baiulātiō	b a j u l a t t͡s i o
baiulātōrius	b a j u l a t ɔː r i u s
bajulus	b aː j u l u s
bajulātiō	b a j u l a t t͡s i o
bajulātōrius	b a j u l a t ɔː r i u s
bajulō	b aː j u l o
balanca	b a l a ŋ k a
balancī	b a l a n̠ʲ t͡ʃ i
balantia	b a l a n t͡s i a
balanx	b aː l a ŋ k s
balbō	b a l b o
balbūtī	b a l b uː t i
balicus	b aː l i k u s
balista	b a l i s t a
balistia	b a l i s t i a
balistārius	b a l i s t aː r i u s
balistās	b a l i s t a s
ballante	b a l l a n t e
ballantem	b a l l a n t e m
ballantia	b a l l a n t͡s i a
ballantibus	b a l l a n t i b u s
ballantis	b a l l a n t i s
ballantium	b a l l a n t͡s i u m
ballantēs	b a l l a n t e s
ballantī	b a l l a n t i
ballet	b a l l e t
ballistārium	b a l l i s t aː r i u m
ballium	b a l l i u m
ballāre	b a l l aː r e
ballātum	b a l l aː t u m
ballāvī	b a l l aː v i
balteō	b a l t e o
balthicus	b a l t i k u s
balticus	b a l t i k u s
balūca	b a l uː k a
balūx	b aː l u k s
bancānus	b a ŋ k aː n u s
banyulēnsis	b a n j u l ɛ n s i s
banī	b aː n i
baptismālis	b a p t i z m aː l i s
baptizandō	b a p t i d d͡z a n d o
baptizem	b a p t i d d͡z e m
baptizā	b a p t i d d͡z a
baptizārem	b a p t i d d͡z aː r e m
baptizārēs	b a p t i d d͡z aː r e s
baptizās	b a p t i d d͡z a s
baptizēs	b a p t i d d͡z e s
baptīzārās	b a p t i d d͡z aː r a s
baptīzāsse	b a p t i d d͡z a s s e
baptīzāssem	b a p t i d d͡z a s s e m
baptīzāssēs	b a p t i d d͡z a s s e s
barba	b a r b a
barbara	b a r b a r a
barbarica	b a r b aː r i k a
barbaricī	b a r b aː r i t͡ʃ i
barbariēs	b a r b aː r i e s
barbarā	b a r b a r a
barbānis	b a r b aː n i s
barbānus	b a r b aː n u s
barbānīs	b a r b aː n i s
barbās	b a r b a s
barde	b a r d e
bardus	b a r d u s
bardī	b a r d i
bardō	b a r d o
bardōs	b a r d o s
bargina	b a r d͡ʒ i n a
baritona	b a r iː t o n a
baritonae	b a r iː t o n e
baritonam	b a r iː t o n a m
baritonandum	b a r i t o n a n d u m
baritonandī	b a r i t o n a n d i
baritonandō	b a r i t o n a n d o
baritonant	b a r iː t o n a n t
baritonante	b a r i t o n a n t e
baritonantem	b a r i t o n a n t e m
baritonantia	b a r i t o n a n t͡s i a
baritonantibus	b a r i t o n a n t i b u s
baritonantis	b a r i t o n a n t i s
baritonantium	b a r i t o n a n t͡s i u m
baritonantēs	b a r i t o n a n t e s
baritonantī	b a r i t o n a n t i
baritonantīs	b a r i t o n a n t i s
baritonantō	b a r i t o n a n t o
baritonat	b a r iː t o n a t
baritone	b a r iː t o n e
baritonem	b a r iː t o n e m
baritonent	b a r iː t o n e n t
baritonet	b a r iː t o n e t
baritonum	b a r iː t o n u m
baritonus	b a r iː t o n u s
baritonā	b a r iː t o n a
baritonābam	b a r i t o n aː b a m
baritonābant	b a r i t o n aː b a n t
baritonābat	b a r i t o n aː b a t
baritonābimus	b a r i t o n aː b i m u s
baritonābis	b a r i t o n aː b i s
baritonābit	b a r i t o n aː b i t
baritonābitis	b a r i t o n aː b i t i s
baritonābunt	b a r i t o n aː b u n t
baritonābāmus	b a r i t o n a b aː m u s
baritonābās	b a r i t o n aː b a s
baritonābātis	b a r i t o n a b aː t i s
baritonābō	b a r i t o n aː b o
baritonāmus	b a r i t o n aː m u s
baritonāre	b a r i t o n aː r e
baritonārem	b a r i t o n aː r e m
baritonārent	b a r i t o n aː r e n t
baritonāret	b a r i t o n aː r e t
baritonārum	b a r i t o n aː r u m
baritonārēmus	b a r i t o n a r ɛː m u s
baritonārēs	b a r i t o n aː r e s
baritonārētis	b a r i t o n a r ɛː t i s
baritonās	b a r iː t o n a s
baritonāte	b a r i t o n aː t e
baritonātis	b a r i t o n aː t i s
baritonātō	b a r i t o n aː t o
baritonātōte	b a r i t o n a t ɔː t e
baritonēmus	b a r i t o n ɛː m u s
baritonēs	b a r iː t o n e s
baritonētis	b a r i t o n ɛː t i s
baritonī	b a r iː t o n i
baritonīs	b a r iː t o n i s
baritonō	b a r iː t o n o
baritonōrum	b a r i t o n ɔː r u m
baritonōs	b a r iː t o n o s
barriendō	b a r r i ɛ n d o
barritona	b a r r iː t o n a
barritonae	b a r r iː t o n e
barritonam	b a r r iː t o n a m
barritonandum	b a r r i t o n a n d u m
barritonandī	b a r r i t o n a n d i
barritonandō	b a r r i t o n a n d o
barritonant	b a r r iː t o n a n t
barritonante	b a r r i t o n a n t e
barritonantem	b a r r i t o n a n t e m
barritonantia	b a r r i t o n a n t͡s i a
barritonantibus	b a r r i t o n a n t i b u s
barritonantis	b a r r i t o n a n t i s
barritonantium	b a r r i t o n a n t͡s i u m
barritonantēs	b a r r i t o n a n t e s
barritonantī	b a r r i t o n a n t i
barritonantīs	b a r r i t o n a n t i s
barritonantō	b a r r i t o n a n t o
barritonat	b a r r iː t o n a t
barritone	b a r r iː t o n e
barritonem	b a r r iː t o n e m
barritonent	b a r r iː t o n e n t
barritonet	b a r r iː t o n e t
barritonum	b a r r iː t o n u m
barritonus	b a r r iː t o n u s
barritonā	b a r r iː t o n a
barritonābam	b a r r i t o n aː b a m
barritonābant	b a r r i t o n aː b a n t
barritonābat	b a r r i t o n aː b a t
barritonābimus	b a r r i t o n aː b i m u s
barritonābis	b a r r i t o n aː b i s
barritonābit	b a r r i t o n aː b i t
barritonābitis	b a r r i t o n aː b i t i s
barritonābunt	b a r r i t o n aː b u n t
barritonābāmus	b a r r i t o n a b aː m u s
barritonābās	b a r r i t o n aː b a s
barritonābātis	b a r r i t o n a b aː t i s
barritonābō	b a r r i t o n aː b o
barritonāmus	b a r r i t o n aː m u s
barritonāre	b a r r i t o n aː r e
barritonārem	b a r r i t o n aː r e m
barritonārent	b a r r i t o n aː r e n t
barritonāret	b a r r i t o n aː r e t
barritonārum	b a r r i t o n aː r u m
barritonārēmus	b a r r i t o n a r ɛː m u s
barritonārēs	b a r r i t o n aː r e s
barritonārētis	b a r r i t o n a r ɛː t i s
barritonās	b a r r iː t o n a s
barritonāte	b a r r i t o n aː t e
barritonātis	b a r r i t o n aː t i s
barritonātō	b a r r i t o n aː t o
barritonātōte	b a r r i t o n a t ɔː t e
barritonēmus	b a r r i t o n ɛː m u s
barritonēs	b a r r iː t o n e s
barritonētis	b a r r i t o n ɛː t i s
barritonī	b a r r iː t o n i
barritonīs	b a r r iː t o n i s
barritonō	b a r r iː t o n o
barritonōrum	b a r r i t o n ɔː r u m
barritonōs	b a r r iː t o n o s
barytona	b a r iː t o n a
barytonae	b a r iː t o n e
barytonam	b a r iː t o n a m
barytonandum	b a r i t o n a n d u m
barytonandī	b a r i t o n a n d i
barytonandō	b a r i t o n a n d o
barytonant	b a r iː t o n a n t
barytonante	b a r i t o n a n t e
barytonantem	b a r i t o n a n t e m
barytonantia	b a r i t o n a n t͡s i a
barytonantibus	b a r i t o n a n t i b u s
barytonantis	b a r i t o n a n t i s
barytonantium	b a r i t o n a n t͡s i u m
barytonantēs	b a r i t o n a n t e s
barytonantī	b a r i t o n a n t i
barytonantīs	b a r i t o n a n t i s
barytonantō	b a r i t o n a n t o
barytonat	b a r iː t o n a t
barytone	b a r iː t o n e
barytonem	b a r iː t o n e m
barytonent	b a r iː t o n e n t
barytonet	b a r iː t o n e t
barytonoe	b a r iː t o n e
barytonon	b a r iː t o n o n
barytonum	b a r iː t o n u m
barytonā	b a r iː t o n a
barytonābam	b a r i t o n aː b a m
barytonābant	b a r i t o n aː b a n t
barytonābat	b a r i t o n aː b a t
barytonābimus	b a r i t o n aː b i m u s
barytonābis	b a r i t o n aː b i s
barytonābit	b a r i t o n aː b i t
barytonābitis	b a r i t o n aː b i t i s
barytonābunt	b a r i t o n aː b u n t
barytonābāmus	b a r i t o n a b aː m u s
barytonābās	b a r i t o n aː b a s
barytonābātis	b a r i t o n a b aː t i s
barytonābō	b a r i t o n aː b o
barytonāmus	b a r i t o n aː m u s
barytonān	b a r iː t o n a n
barytonāre	b a r i t o n aː r e
barytonārem	b a r i t o n aː r e m
barytonārent	b a r i t o n aː r e n t
barytonāret	b a r i t o n aː r e t
barytonārum	b a r i t o n aː r u m
barytonārēmus	b a r i t o n a r ɛː m u s
barytonārēs	b a r i t o n aː r e s
barytonārētis	b a r i t o n a r ɛː t i s
barytonās	b a r iː t o n a s
barytonāte	b a r i t o n aː t e
barytonātis	b a r i t o n aː t i s
barytonātō	b a r i t o n aː t o
barytonātōte	b a r i t o n a t ɔː t e
barytonēmus	b a r i t o n ɛː m u s
barytonēs	b a r iː t o n e s
barytonētis	b a r i t o n ɛː t i s
barytonī	b a r iː t o n i
barytonīs	b a r iː t o n i s
barytonō	b a r iː t o n o
barytonōrum	b a r i t o n ɔː r u m
barō	b aː r o
base	b aː s̬ e
baseis	b aː s̬ e i s
basem	b aː s̬ e m
baseōs	b aː s̬ e o s
basi	b aː s̬ i
basibus	b aː s̬ i b u s
basicōnicus	b a s̬ i k ɔː n i k u s
basilice	b a s̬ iː l i t͡ʃ e
basilicōs	b a s̬ iː l i k o s
basilīī	b a s̬ i l iː i
basilīō	b a s̬ i l iː o
basim	b aː s̬ i m
basin	b aː s̬ i n
basion	b aː s̬ i o n
basios	b aː s̬ i o s
basium	b aː s̬ i u m
basivertebrālis	b a s̬ i v e r t e b r aː l i s
bassara	b a s s a r a
bassarisca	b a s s a r i s k a
bastō	b a s t o
basāle	b a s̬ aː l e
basālis	b a s̬ aː l i s
basēs	b aː s̬ e s
batillum	b a t i l l u m
batis	b aː t i s
battam	b a t t a m
battant	b a t t a n t
batte	b a t t e
battendī	b a t t ɛ n d i
battendō	b a t t ɛ n d o
battent	b a t t e n t
battere	b a t t e r e
battere	b a t t ɛː r e
batterer	b a t t e r e r
batteris	b a t t e r i s
batteris	b a t t ɛː r i s
battet	b a t t e t
battis	b a t t i s
battit	b a t t i t
battitō	b a t t i t o
battās	b a t t a s
battēns	b a t t e n s
battēs	b a t t e s
battī	b a t t i
battō	b a t t o
batus	b aː t u s
batā̆vicus	b a t aː v i k u s
batī	b aː t i
batīs	b aː t i s
batō	b aː t o
belgicum	b ɛ l̠ʲ d͡ʒ i k u m
bellica	b ɛ l l i k a
bellicī	b ɛ l l i t͡ʃ i
bellicōsa	b e l l i k ɔː s̬ a
bellicōse	b e l l i k ɔː s̬ e
bellicōsī	b e l l i k ɔː s̬ i
bellicōsō	b e l l i k ɔː s̬ o
belligerantēs	b e l l i d͡ʒ e r a n t e s
bellum	b ɛ l l u m
bellātrīcēs	b e l l a t r iː t͡ʃ e s
bellātum	b e l l aː t u m
bellō	b ɛ l l o
bellōnāriae	b e l l o n aː r i e
bellōnāriam	b e l l o n aː r i a m
bellōnāriārum	b e l l o n a r i aː r u m
bellōnāriās	b e l l o n aː r i a s
bellōnāriīs	b e l l o n aː r i i s
bemidjiēnsis	b e m i d j i ɛ n s i s
benedice	b e n ɛː d i t͡ʃ e
benedictūra	b e n e d i k t uː r a
benedicē	b e n ɛː d i t͡ʃ e
benedīce	b e n e d iː t͡ʃ e
benedīcenda	b e n e d i t͡ʃ ɛ n d a
benedīceris	b e n e d i t͡ʃ ɛː r i s
benedīceris	b e n e d iː t͡ʃ e r i s
benedīcimus	b e n e d iː t͡ʃ i m u s
benedīcō	b e n e d iː k o
benedīxerimus	b e n e d i k s e r iː m u s
benedīxerimus	b e n e d i k s ɛː r i m u s
benedīxeris	b e n e d i k s e r i s
benedīxeritis	b e n e d i k s e r iː t i s
benedīxeritis	b e n e d i k s ɛː r i t i s
benefaciam	b e n e f aː t͡ʃ i a m
benefacient	b e n e f aː t͡ʃ i e n t
benefaciet	b e n e f aː t͡ʃ i e t
benefacimus	b e n e f aː t͡ʃ i m u s
benefacis	b e n ɛː f a t͡ʃ i s
benefacit	b e n ɛː f a t͡ʃ i t
benefacitis	b e n e f aː t͡ʃ i t i s
benefaciunt	b e n e f aː t͡ʃ i u n t
benefaciēbam	b e n e f a t͡ʃ i ɛː b a m
benefaciēbant	b e n e f a t͡ʃ i ɛː b a n t
benefaciēbat	b e n e f a t͡ʃ i ɛː b a t
benefaciēbāmus	b e n e f a t͡ʃ i e b aː m u s
benefaciēbās	b e n e f a t͡ʃ i ɛː b a s
benefaciēbātis	b e n e f a t͡ʃ i e b aː t i s
benefaciēmus	b e n e f a t͡ʃ i ɛː m u s
benefaciēs	b e n e f aː t͡ʃ i e s
benefaciētis	b e n e f a t͡ʃ i ɛː t i s
benefica	b e n ɛː f i k a
beneficia	b e n e f iː t͡ʃ i a
beneficiārie	b e n e f i t͡ʃ i aː r i e
beneficiārī	b e n e f i t͡ʃ i aː r i
beneficiō	b e n e f iː t͡ʃ i o
beneficē	b e n ɛː f i t͡ʃ e
beneficī	b e n ɛː f i t͡ʃ i
beneficō	b e n ɛː f i k o
benefit	b ɛː n e f i t
benefī	b ɛː n e f i
benemōria	b e n e m ɔː r i a
benemōriae	b e n e m ɔː r i e
benemōriam	b e n e m ɔː r i a m
benemōrie	b e n e m ɔː r i e
benemōrium	b e n e m ɔː r i u m
benemōriārum	b e n e m o r i aː r u m
benemōriās	b e n e m ɔː r i a s
benemōriī	b e n e m ɔː r i i
benemōriīs	b e n e m ɔː r i i s
benemōriō	b e n e m ɔː r i o
benemōriōrum	b e n e m o r i ɔː r u m
benemōriōs	b e n e m ɔː r i o s
benevestitus	b e n e v ɛ s t i t u s
benevola	b e n ɛː v o l a
benevolentī	b e n e v o l ɛ n t i
benevolēns	b e n ɛː v o l e n s
benevolī	b e n ɛː v o l i
bengalēnsis	b e ŋ ɡ a l ɛ n s i s
benificium	b e n i f iː t͡ʃ i u m
benificus	b e n iː f i k u s
benigna	b e n i ɲ ɲ a
benignās	b e n i ɲ ɲ a s
benignī	b e n i ɲ ɲ i
benignō	b e n i ɲ ɲ o
benignōs	b e n i ɲ ɲ o s
benivolentia	b e n i v o l ɛ n t͡s i a
benivolus	b e n iː v o l u s
benthicus	b ɛ n t i k u s
berkelium	b e r k ɛː l i u m
bermudēnsis	b e r m u d ɛ n s i s
bernissartēnsis	b e r n i s s a r t ɛ n s i s
betula	b ɛː t u l a
betulae	b ɛː t u l e
betulam	b ɛː t u l a m
betule	b ɛː t u l e
betullae	b e t u l l e
betullam	b e t u l l a m
betullārum	b e t u l l aː r u m
betullās	b e t u l l a s
betullīs	b e t u l l i s
betulum	b ɛː t u l u m
betulus	b ɛː t u l u s
betulārum	b e t u l aː r u m
betulās	b ɛː t u l a s
betulī	b ɛː t u l i
betulīs	b ɛː t u l i s
betulō	b ɛː t u l o
betulōrum	b e t u l ɔː r u m
betulōs	b ɛː t u l o s
beverinus	b e v ɛː r i n u s
beās	b ɛː a s
beāta	b e aː t a
beātū	b e aː t u
beēs	b ɛː e s
bhutanēnsis	b u t a n ɛ n s i s
biaeothanatus	b i e o t aː n a t u s
bibale	b iː b a l e
bibendī	b i b ɛ n d i
bibimus	b iː b i m u s
biblia	b iː b l i a
bibliothēcae	b i b l i o t ɛː t͡ʃ e
bibliothēcam	b i b l i o t ɛː k a m
bibliothēcārum	b i b l i o t e k aː r u m
bibliothēcās	b i b l i o t ɛː k a s
bibliothēcē	b i b l i o t ɛː t͡ʃ e
bibliothēcēn	b i b l i o t ɛː t͡ʃ e n
bibliothēcēs	b i b l i o t ɛː t͡ʃ e s
bibliothēcīs	b i b l i o t ɛː t͡ʃ i s
bicentēnārius	b i t͡ʃ e n t e n aː r i u s
bicipitēs	b i t͡ʃ iː p i t e s
bicolōrēs	b i k o l ɔː r e s
bicolōrī	b i k o l ɔː r i
bicornī	b i k ɔ r n i
bicuspidālis	b i k u s p i d aː l i s
bidēns	b iː d e n s
bienne	b i ɛ n n e
biennia	b i ɛ n n i a
biennium	b i ɛ n n i u m
biennī	b i ɛ n n i
bifurcō	b i f u r k o
bifācia	b i f aː t͡ʃ i a
bilanca	b i l a ŋ k a
bilantia	b i l a n t͡s i a
bilībris	b i l iː b r i s
bilībrīs	b i l iː b r i s
bilīce	b i l iː t͡ʃ e
bilīcem	b i l iː t͡ʃ e m
bilīcia	b i l iː t͡ʃ i a
bilīcibus	b i l iː t͡ʃ i b u s
bilīcis	b i l iː t͡ʃ i s
bilīcium	b i l iː t͡ʃ i u m
bilīcēs	b i l iː t͡ʃ e s
bilīcī	b i l iː t͡ʃ i
bilīcīs	b i l iː t͡ʃ i s
biodegradibilis	b i o d e ɡ r a d iː b i l i s
biodīversitās	b i o d i v ɛ r s i t a s
biologus	b i ɔː l o ɡ u s
biologō	b i ɔː l o ɡ o
bipalmis	b i p a l m i s
bipalmus	b i p a l m u s
bipalmīs	b i p a l m i s
bipartīre	b i p a r t iː r e
bipartīta	b i p a r t iː t a
bipartīte	b i p a r t iː t e
bipartītus	b i p a r t iː t u s
bipartītās	b i p a r t iː t a s
bipartītī	b i p a r t iː t i
bipartītōs	b i p a r t iː t o s
bipatentibus	b i p a t ɛ n t i b u s
bipedālis	b i p e d aː l i s
bipedī	b iː p e d i
bipertītus	b i p e r t iː t u s
biplice	b iː p l i t͡ʃ e
biplicem	b iː p l i t͡ʃ e m
biplicia	b i p l iː t͡ʃ i a
biplicibus	b i p l iː t͡ʃ i b u s
biplicis	b iː p l i t͡ʃ i s
biplicium	b i p l iː t͡ʃ i u m
biplicēs	b iː p l i t͡ʃ e s
biplicī	b iː p l i t͡ʃ i
biria	b iː r i a
birmanicus	b i r m aː n i k u s
birotōrum	b i r o t ɔː r u m
bisextilis	b i s̬ ɛ k s t i l i s
bisulca	b i s̬ u l k a
bisulcae	b i s̬ u l̠ʲ t͡ʃ e
bisulcam	b i s̬ u l k a m
bisulce	b i s̬ u l̠ʲ t͡ʃ e
bisulcilinguae	b i s̬ u l̠ʲ t͡ʃ i l i ŋ ɡʷ e
bisulcilinguam	b i s̬ u l̠ʲ t͡ʃ i l i ŋ ɡʷ a m
bisulcilinguārum	b i s̬ u l̠ʲ t͡ʃ i l i ŋ ɡʷ aː r u m
bisulcilinguās	b i s̬ u l̠ʲ t͡ʃ i l i ŋ ɡʷ a s
bisulcilinguīs	b i s̬ u l̠ʲ t͡ʃ i l i ŋ ɡʷ i s
bisulcum	b i s̬ u l k u m
bisulcā	b i s̬ u l k a
bisulcārum	b i s̬ u l k aː r u m
bisulcās	b i s̬ u l k a s
bisulcī	b i s̬ u l̠ʲ t͡ʃ i
bisulcīs	b i s̬ u l̠ʲ t͡ʃ i s
bisulcō	b i s̬ u l k o
bisulcōrum	b i s̬ u l k ɔː r u m
bisulcōs	b i s̬ u l k o s
bivertex	b i v ɛ r t e k s
biviae	b iː v i e
biviam	b iː v i a m
bivie	b iː v i e
biviārum	b i v i aː r u m
biviās	b iː v i a s
biviāī	b i v i aː i
biviī	b iː v i i
biviīs	b iː v i i s
biviō	b iː v i o
biviōrum	b i v i ɔː r u m
biviōs	b iː v i o s
bivī	b iː v i
blanca	b l a ŋ k a
blancum	b l a ŋ k u m
blanda	b l a n d a
blandior	b l a n d i o r
blandiō	b l a n d i o
blandulus	b l a n d u l u s
blandī	b l a n d i
blattāria	b l a t t aː r i a
blattāriā	b l a t t aː r i a
blennorrhāgicus	b l e n n o r r aː d͡ʒ i k u s
blāva	b l aː v a
blāveus	b l aː v e u s
blāvā	b l aː v a
blāvās	b l aː v a s
boae	b ɔː e
boam	b ɔː a m
bobsequa	b ɔ b s e kʷ a
boer	b ɔː e r
bohrium	b ɔː r i u m
bohēmicus	b o ɛː m i k u s
boliviāna	b o l i v i aː n a
boliviāne	b o l i v i aː n e
boliviānās	b o l i v i aː n a s
boliviānī	b o l i v i aː n i
boliviānō	b o l i v i aː n o
boliviānōs	b o l i v i aː n o s
bolus	b ɔː l u s
bolī	b ɔː l i
bombax	b ɔ m b a k s
bombe	b ɔ m b e
bombī	b ɔ m b i
bombō	b ɔ m b o
bomiēnsis	b o m i ɛ n s i s
bona	b ɔː n a
bonae	b ɔː n e
boninēnsis	b o n i n ɛ n s i s
bonā	b ɔː n a
borchgrāvius	b o r k ɡ r aː v i u s
borda	b ɔ r d a
boreānus	b o r e aː n u s
borneēnsis	b o r n e ɛ n s i s
borussicus	b o r u s s i k u s
borīa	b o r iː a
boscō	b ɔ s k o
bosnicus	b ɔ z n i k u s
botryītide	b o t r i iː t i d e
botryītidem	b o t r i iː t i d e m
botryītidibus	b o t r i i t iː d i b u s
botryītidis	b o t r i iː t i d i s
botryītidum	b o t r i iː t i d u m
botryītidēs	b o t r i iː t i d e s
botryītidī	b o t r i iː t i d i
botulīnum	b o t u l iː n u m
botulīnī	b o t u l iː n i
botulīnō	b o t u l iː n o
bovis	b ɔː v i s
boārum	b o aː r u m
boās	b ɔː a s
boīs	b ɔː i s
brachiocephalicus	b r a k i o t͡ʃ e f aː l i k u s
brachypēs	b r aː k i p e s
branchiāta	b r a ŋ k i aː t a
branchiāte	b r a ŋ k i aː t e
branchiātā	b r a ŋ k i aː t a
branchiātī	b r a ŋ k i aː t i
branchiātō	b r a ŋ k i aː t o
brasiliēnsēs	b r a s̬ i l i ɛ n s e s
brasilēnsis	b r a s̬ i l ɛ n s i s
brattea	b r a t t e a
bregma	b r ɛ ɡ m a
breviloquus	b r e v iː l o kʷ u s
brevis	b r ɛː v i s
brevēs	b r ɛː v e s
bria	b r iː a
brisbanēnsis	b r i z b a n ɛ n s i s
britannica	b r i t a n n i k a
