Anne	ɑ n ə
triuwe	t r j oː w ə
troch	t r o x
trochbringe	t r o ɣ b r ɪ ŋ ə
tsaar	t s aː r
tsien	t s i ə̯ n
tsiis	t s iː s
tsjeaf	t s j ɪ ə̯ f
tsjerke	t s j ɛ r k ə
tsjerkhôf	t s j ɛ r k h ɔː f
tsjil	t s j ɪ l
tsjinje	t j ɪ̃ j ə
tsjinje	t ɛ̃ː j ə
tsjinje	t͡s j ɪ̃ j ə
tsjoch	t s j o x
tsjoen	t s j u ə̯ n
tsjoender	t s j u ə̯ n d ə r
tsjoenderij	t s j u ə̯ n d ə r ɛ i̯
tsjoene	t s j u ə̯ n ə
tsjoenster	t s j u ə̯ n s t r
tv	t eː f eː
twa	t v a
twirre	t v ɪ r ə
túch	t yː x
tún	t y n
tút	t y t
tútsje	t y t s j ə
uzes	y z ə s
wa	v aː
wa't	v aː t
waakse	v aː k s ə
waarm	v aː r m
wachtsje	v a x t s j ə
wannear	v ɔ n ɪ ə̯ r
wannear't	v ɛ n ɪ ə̯ t
wat	v ɔ t
weak	v ɪ ə̯ k
web	v ɛ p
webside	v ɛ p s ɪ d ə
webstee	v ɛ p s t eː
wei	v a i̯
wei	v ɛ i̯
wekje	v ɛ k j ə
wenje	v ɛ n j ə
wenne	v ɛ n ə
wetter	v ɛ t ə r
wetterich	v ɛ t ə r ə x
wichtich	v ɪ x t ə x
widske	v ɪ t s k ə
widze	v ɪ d z ə
wiet	v i ə̯ t
wif	v ɪ f
wiid	v iː t
wiis	v iː s
wike	v i k ə
winne	v ɪ n ə
winsk	v eː n s k
winskje	v eː n s k j ə
winst	v eːⁿ s t
winter	v ɪ n t ə r
witte	v ɪ t ə
wittenskip	v ɪ t n̩ s k ɪ p
wiuwe	v j oː w ə
wjirm	v j ɪ r m
wjudde	v j ø d ə
wjûd	v j uː t
woansdei	v aː n z d i
woansdei	v aː n z d j ə
wolkom	v o l k o m
wolle	v o l ə
write	v r i t ə
wrâld	v r ɔː t
wrâldkriich	v r ɔː t k r iː x
wrâldoarloch	v r ɔː t o ə̯ l ɔ x
wurd	v ø t
wurdboek	v ø t b u k
wurde	v ø d ə
wurde	v ø r ə
wurk	v ø r k
wurkje	v ø r k j ə
wy	v i
wy	v ɛ i̯
wyn	v i n
wyt	v i t
wâld	v ɔː t
wêr	v ɛː r
wêr't	v ɛː t
wêrom	v ɛː r o m
wêrom't	v ɛː r o m t
wêze	v ɛː z ə
wûnder	v u n d ə r
ychelbaarch	i x ə l b aː r x
âld	a u̯ t
âld	aː l t
âld	ɔː t
âlden	ɔː d ə n
âlder	ɔː d ə r
âlders	ɔː d ə s
âlje	ɔː l j ə
ôf	ɔ u̯
ôf	ɔː
ôffal	ɔː f ɔ l
ús	y s
ússels	y s ɛ l s
ûle	u l ə
ûnder	u n d ə r
ûnderseeboat	u n d ə r s eː b o ə̯ t
ûne	u n ə
ûne	uː n ə
ûntploffe	u n t p l o f ə
ûntploffing	u n t p l o f ɪ ŋ
