अ	ɐ
कथन	k ɐ tʰ ɐ n ɐ
कथन	k ɐ t̪ʰ ɐ n̪ ɐ
कथम्	k ɐ tʰ ɐ́ m
कथम्	k ɐ t̪ʰ ɐ m
कथयति	k ɐ tʰ ɐ j ɐ t i
कथयति	k ɐ t̪ʰ ɐ j ɐ t̪ i
कथा	k ɐ tʰ ɑː
कथा	k ɐ t̪ʰ ɑː
कथानक	k ɐ tʰ ɑː n ɐ k ɐ
कथानक	k ɐ t̪ʰ ɑː n̪ ɐ k ɐ
कथासरित्सागर	k ɐ tʰ ɑː s ɐ ɾ i t s ɑː ɡ ɐ ɾ ɐ
कथासरित्सागर	k ɐ t̪ʰ ɑː s̪ ɐ ɾ i t̪ s̪ ɑː ɡ ɐ ɾ ɐ
कथित	k ɐ tʰ i t ɐ́
कथित	k ɐ t̪ʰ i t̪ ɐ
कथ्	k ɐ tʰ
कथ्	k ɐ t̪ʰ
कद	k ɐ d ɐ
कद	k ɐ d̪ ɐ
कदः	k ɐ d̪ ɐ h
कदन	k ɐ d ɐ n ɐ
कदन	k ɐ d̪ ɐ n̪ ɐ
कदल	k ɐ d ɐ l ɐ
कदल	k ɐ d̪ ɐ l̪ ɐ
कदली	k ɐ d ɐ l iː
कदली	k ɐ d̪ ɐ l̪ iː
कदा	k ɐ d ɑ́ː
कदा	k ɐ d̪ ɑː
कदाचार	k ɐ d ɑː t͡ɕ ɑː ɾ ɐ
कदाचार	k ɐ d̪ ɑː t͡ɕ ɑː ɾ ɐ
कद्रु	k ɐ d̪ ɾ u
कद्रु	k ɐ́ d ɾ u
कनक	k ɐ n̪ ɐ k ɐ
कनक	k ɐ́ n ɐ k ɐ
कनिष्क	k ɐ n i ʂ k ɐ
कनिष्क	k ɐ n̪ i ʂ k ɐ
कनिष्ठ	k ɐ n i ʂ ʈʰ ɐ́
कनिष्ठ	k ɐ n̪ i ʂ ʈʰ ɐ
कनिष्ठ	k ɐ́ n i ʂ ʈʰ ɐ
कनीन	k ɐ n íː n ɐ
कनीन	k ɐ n̪ iː n̪ ɐ
कनीनिका	k ɐ n íː n i k ɑː
कनीनिका	k ɐ n̪ iː n̪ i k ɑː
कनीयस्	k ɐ n iː j ɐ s
कनीयस्	k ɐ n̪ iː j ɐ s̪
कन्	k ɐ n
कन्	k ɐ n̪
कन्द	k ɐ n d ɐ
कन्द	k ɐ n̪ d̪ ɐ
कन्दर	k ɐ n d ɐ ɾ ɐ
कन्दर	k ɐ n̪ d̪ ɐ ɾ ɐ
कन्दरा	k ɐ n d ɐ ɾ ɑː
कन्दरा	k ɐ n̪ d̪ ɐ ɾ ɑː
कन्दु	k ɐ n d u
कन्दु	k ɐ n̪ d̪ u
कन्दुक	k ɐ n d u k ɐ
कन्दुक	k ɐ n̪ d̪ u k ɐ
कन्धर	k ɐ n dʱ ɐ ɾ ɐ
कन्धर	k ɐ n̪ d̪ʱ ɐ ɾ ɐ
कन्या	k ɐ n í j ɑː
कन्या	k ɐ n̪ j ɑː
कन्यादान	k ɐ n j ɑː d ɑː n ɐ
कन्यादान	k ɐ n̪ j ɑː d̪ ɑː n̪ ɐ
कपर्द	k ɐ p ɐ ɾ d ɐ
कपर्द	k ɐ p ɐ ɾ d̪ ɐ
कपर्दिका	k ɐ p ɐ ɾ d i k ɑː
कपर्दिका	k ɐ p ɐ ɾ d̪ i k ɑː
कपर्दिन्	k ɐ p ɐ ɾ d í n
कपर्दिन्	k ɐ p ɐ ɾ d̪ i n̪
कपाल	k ɐ p ɑː l̪ ɐ
कपाल	k ɐ p ɑ́ː l ɐ
कपि	k ɐ p i
कपित्थ	k ɐ p i t tʰ ɐ
कपित्थ	k ɐ p i t̪ t̪ʰ ɐ
कपिला	k ɐ p i l ɑː
कपिला	k ɐ p i l̪ ɑː
कपिलायाः	k ɐ p i l ɑː j ɑː h
कपिलायाः	k ɐ p i l̪ ɑː j ɑː h
कपिशाक	k ɐ p i ɕ ɑː k ɐ
कपीश	k ɐ p iː ɕ ɐ
कपोत	k ɐ p oː t̪ ɐ
कपोत	k ɐ p ɐ́ w t ɐ
कपोल	k ɐ p oː l̪ ɐ
कपोल	k ɐ p ɐ w l ɐ́
कफ	k ɐ pʰ ɐ
कमर	k ɐ m ɐ ɾ ɐ
कमल	k ɐ m ɐ l̪ ɐ
कमल	k ɐ́ m ɐ l ɐ
कम्	k ɐ m
कम्प	k ɐ m p ɐ
कम्पते	k ɐ m p ɐ t ɐ j
कम्पते	k ɐ m p ɐ t̪ eː
कम्पन	k ɐ m p ɐ n ɐ
कम्पन	k ɐ m p ɐ n̪ ɐ
कम्पित	k ɐ m p i t ɐ
कम्पित	k ɐ m p i t̪ ɐ
कम्प्	k ɐ m p
कम्बल	k ɐ m b ɐ l ɐ
कम्बल	k ɐ m b ɐ l̪ ɐ
कम्बोज	k ɐ m b oː d͡ʑ ɐ
कम्बोज	k ɐ m b ɐ w d͡ʑ ɐ
कय	k ɐ j ɐ
कय	k ɐ́ j ɐ
कर	k ɐ ɾ ɐ
करकट	k ɐ ɾ ɐ k ɐ ʈ ɐ
करट	k ɐ ɾ ɐ ʈ ɐ
करण	k ɐ ɾ ɐ ɳ ɐ
करण	k ɐ́ ɾ ɐ ɳ ɐ
करणीय	k ɐ ɾ ɐ ɳ iː j ɐ
करणीय	k ɐ ɾ ɐ ɳ íː j ɐ
करणीयः	k ɐ ɾ ɐ ɳ iː j ɐ h
करणीयम्	k ɐ ɾ ɐ ɳ iː j ɐ m
करणीयस्	k ɐ ɾ ɐ ɳ iː j ɐ s̪
करणीया	k ɐ ɾ ɐ ɳ iː j ɑː
करणीयानि	k ɐ ɾ ɐ ɳ iː j ɑː n̪ i
करणीयान्	k ɐ ɾ ɐ ɳ iː j ɑː n̪
करणीयास्	k ɐ ɾ ɐ ɳ iː j ɑː s̪
करणीये	k ɐ ɾ ɐ ɳ iː j eː
करणीयौ	k ɐ ɾ ɐ ɳ iː j ɑ w
करदीप	k ɐ ɾ ɐ d iː p ɐ
करदीप	k ɐ ɾ ɐ d̪ iː p ɐ
करम्भ	k ɐ ɾ ɐ m bʱ ɐ
करम्भ	k ɐ ɾ ɐ m bʱ ɐ́
करवस्त्र	k ɐ ɾ ɐ ʋ ɐ s t ɾ ɐ
करवस्त्र	k ɐ ɾ ɐ ʋ ɐ s̪ t̪ ɾ ɐ
करवाल	k ɐ ɾ ɐ ʋ ɑː l ɐ
करवाल	k ɐ ɾ ɐ ʋ ɑː l̪ ɐ
करि	k ɐ ɾ i
करिक	k ɐ ɾ i k ɐ
करिकणा	k ɐ ɾ i k ɐ ɳ ɑː
करिकुम्भ	k ɐ ɾ i k u m bʱ ɐ
करिकुसुम्भ	k ɐ ɾ i k u s u m bʱ ɐ
करिकुसुम्भ	k ɐ ɾ i k u s̪ u m bʱ ɐ
करिकृष्णा	k ɐ ɾ i k r̩ ʂ ɳ ɑː
करिगर्जित	k ɐ ɾ i ɡ ɐ ɾ d͡ʑ i t ɐ
करिगर्जित	k ɐ ɾ i ɡ ɐ ɾ d͡ʑ i t̪ ɐ
करिचर्मन्	k ɐ ɾ i t͡ɕ ɐ ɾ m ɐ n
करिचर्मन्	k ɐ ɾ i t͡ɕ ɐ ɾ m ɐ n̪
करिज	k ɐ ɾ i d͡ʑ ɐ
करिदन्त	k ɐ ɾ i d ɐ n t ɐ
करिदन्त	k ɐ ɾ i d̪ ɐ n̪ t̪ ɐ
करिदारक	k ɐ ɾ i d ɑː ɾ ɐ k ɐ
करिदारक	k ɐ ɾ i d̪ ɑː ɾ ɐ k ɐ
करिन्	k ɐ ɾ i n
करिन्	k ɐ ɾ i n̪
करिप	k ɐ ɾ i p ɐ
करिपत्त्र	k ɐ ɾ i p ɐ t t ɾ ɐ
करिपत्त्र	k ɐ ɾ i p ɐ t̪ t̪ ɾ ɐ
करिपथ	k ɐ ɾ i p ɐ tʰ ɐ
करिपथ	k ɐ ɾ i p ɐ t̪ʰ ɐ
करिपोत	k ɐ ɾ i p oː t̪ ɐ
करिपोत	k ɐ ɾ i p ɐ w t ɐ
करिबन्ध	k ɐ ɾ i b ɐ n dʱ ɐ
करिबन्ध	k ɐ ɾ i b ɐ n̪ d̪ʱ ɐ
करिमकर	k ɐ ɾ i m ɐ k ɐ ɾ ɐ
करिमण्डित	k ɐ ɾ i m ɐ ɳ ɖ i t ɐ
करिमण्डित	k ɐ ɾ i m ɐ ɳ ɖ i t̪ ɐ
करिमाचल	k ɐ ɾ i m ɑː t͡ɕ ɐ l ɐ
करिमाचल	k ɐ ɾ i m ɑː t͡ɕ ɐ l̪ ɐ
करिमुक्ता	k ɐ ɾ i m u k t ɑː
करिमुक्ता	k ɐ ɾ i m u k t̪ ɑː
करिमुख	k ɐ ɾ i m u kʰ ɐ
करियादस्	k ɐ ɾ i j ɑː d ɐ s
करियादस्	k ɐ ɾ i j ɑː d̪ ɐ s̪
करिरत	k ɐ ɾ i ɾ ɐ t ɐ
करिरत	k ɐ ɾ i ɾ ɐ t̪ ɐ
करिवर	k ɐ ɾ i ʋ ɐ ɾ ɐ
करिवैजयन्ती	k ɐ ɾ i ʋ ɑ j d͡ʑ ɐ j ɐ n̪ t̪ iː
करिवैजयन्ती	k ɐ ɾ i ʋ ɑː j d͡ʑ ɐ j ɐ n t iː
करिशावक	k ɐ ɾ i ɕ ɑː ʋ ɐ k ɐ
करिष्यति	k ɐ ɾ i ʂ j ɐ t̪ i
करिष्यति	k ɐ ɾ i ʂ j ɐ́ t i
करिस्कन्ध	k ɐ ɾ i s k ɐ n dʱ ɐ
करिस्कन्ध	k ɐ ɾ i s̪ k ɐ n̪ d̪ʱ ɐ
करिहस्त	k ɐ ɾ i ɦ ɐ s t ɐ
करिहस्त	k ɐ ɾ i ɦ ɐ s̪ t̪ ɐ
करीन्द्र	k ɐ ɾ iː n d ɾ ɐ
करीन्द्र	k ɐ ɾ iː n̪ d̪ ɾ ɐ
करुणा	k ɐ ɾ u ɳ ɑː
करुणा	k ɐ́ ɾ u ɳ ɑː
करोति	k ɐ ɾ oː t̪ i
करोति	k ɐ ɾ ɐ́ w t i
करोतु	k ɐ ɾ oː t̪ u
करोतु	k ɐ ɾ ɐ w t u
कर्कटक	k ɐ ɾ k ɐ ʈ ɐ k ɐ
कर्कटिका	k ɐ ɾ k ɐ ʈ i k ɑː
कर्कारु	k ɐ ɾ k ɑː ɾ u
कर्क्ष्यति	k ɐ ɾ k ʂ j ɐ t i
कर्क्ष्यति	k ɐ ɾ k ʂ j ɐ t̪ i
कर्गद	k ɐ ɾ ɡ ɐ d̪ ɐ
कर्णपत्त्रक	k ɐ ɾ ɳ ɐ p ɐ t t ɾ ɐ k ɐ
कर्णपत्त्रक	k ɐ ɾ ɳ ɐ p ɐ t̪ t̪ ɾ ɐ k ɐ
कर्णाटक	k ɐ ɾ ɳ ɑː ʈ ɐ k ɐ
कर्तति	k ɐ ɾ t ɐ t i
कर्तति	k ɐ ɾ t̪ ɐ t̪ i
कर्तनी	k ɐ ɾ t ɐ n iː
कर्तनी	k ɐ ɾ t̪ ɐ n̪ iː
कर्तरि	k ɐ ɾ t ɐ ɾ i
कर्तरि	k ɐ ɾ t̪ ɐ ɾ i
कर्तवे	k ɐ ɾ t̪ ɐ ʋ eː
कर्तवे	k ɐ́ ɾ t ɐ ʋ ɐ j
कर्तव्य	k ɐ ɾ t̪ ɐ ʋ j ɐ
कर्तव्य	k ɐ ɾ t̪ ɐ ʋ í j ɐ
कर्तव्य	k ɐ́ ɾ t̪ ɐ ʋ i j ɐ
कर्ता	k ɐ ɾ t ɑ́ː
कर्ता	k ɐ ɾ t̪ ɑː
कर्तुम्	k ɐ ɾ t̪ u m
कर्तुम्	k ɐ́ ɾ t u m
कर्तृ	k ɐ ɾ t ŕ̩
कर्तृ	k ɐ ɾ t̪ r̩
कर्तृत्व	k ɐ ɾ t r̩ t ʋ ɐ
कर्तृत्व	k ɐ ɾ t̪ r̩ t̪ ʋ ɐ
कर्तोस्	k ɐ ɾ t̪ oː s̪
कर्तोस्	k ɐ́ ɾ t ɐ w s
कर्त्तरी	k ɐ ɾ t̪ t̪ ɐ ɾ iː
कर्त्तरी	k ɐ́ ɾ t t ɐ ɾ iː
कर्द	k ɐ ɾ d ɐ
कर्द	k ɐ ɾ d̪ ɐ
कर्दम	k ɐ ɾ d ɐ m ɐ
कर्दम	k ɐ ɾ d̪ ɐ m ɐ
कर्पट	k ɐ ɾ p ɐ ʈ ɐ
कर्पास	k ɐ ɾ p ɑː s̪ ɐ
कर्पास	k ɐ ɾ p ɑ́ː s ɐ
कर्पूर	k ɐ ɾ p uː ɾ ɐ
कर्पूर	k ɐ ɾ p úː ɾ ɐ
कर्म	k ɐ ɾ m ɐ
कर्म	k ɐ́ ɾ m ɐ
कर्मधारय	k ɐ ɾ m ɐ dʱ ɑː ɾ ɐ j ɐ
कर्मधारय	k ɐ ɾ m ɐ d̪ʱ ɑː ɾ ɐ j ɐ
कर्मन्	k ɐ ɾ m ɐ n̪
कर्मन्	k ɐ́ ɾ m ɐ n
कर्मार	k ɐ ɾ m ɑː ɾ ɐ
कर्मार	k ɐ ɾ m ɑ́ː ɾ ɐ
कर्ष	k ɐ ɾ ʂ ɐ
कर्षति	k ɐ ɾ ʂ ɐ t̪ i
कर्षति	k ɐ́ ɾ ʂ ɐ t i
कलङ्क	k ɐ l ɐ ŋ k ɐ
कलङ्क	k ɐ l̪ ɐ ŋ k ɐ
कलत्र	k ɐ l ɐ t ɾ ɐ
कलत्र	k ɐ l̪ ɐ t̪ ɾ ɐ
कलन	k ɐ l ɐ n ɐ
कलन	k ɐ l̪ ɐ n̪ ɐ
कलम	k ɐ l ɐ m ɐ
कलम	k ɐ l̪ ɐ m ɐ
कलल	k ɐ l ɐ l ɐ
कलल	k ɐ l̪ ɐ l̪ ɐ
कलविङ्क	k ɐ l ɐ ʋ í ŋ k ɐ
कलविङ्क	k ɐ l̪ ɐ ʋ i ŋ k ɐ
कलश	k ɐ l ɐ́ ɕ ɐ
कलश	k ɐ l̪ ɐ ɕ ɐ
कलह	k ɐ l ɐ ɦ ɐ
कलह	k ɐ l̪ ɐ ɦ ɐ
कला	k ɐ l ɑː
कला	k ɐ l̪ ɑː
कलाप	k ɐ l ɑː p ɐ
कलाप	k ɐ l̪ ɑː p ɐ
कलि	k ɐ l̪ i
कलि	k ɐ́ l i
कलिका	k ɐ l i k ɑː
कलिका	k ɐ l̪ i k ɑː
कलिङ्ग	k ɐ l i ŋ ɡ ɐ
कलिङ्ग	k ɐ l̪ i ŋ ɡ ɐ
कलुष	k ɐ l u ʂ ɐ
कलुष	k ɐ l̪ u ʂ ɐ
कल्	k ɐ l
कल्	k ɐ l̪
कल्क	k ɐ l k ɐ
कल्क	k ɐ l̪ k ɐ
कल्प	k ɐ l̪ p ɐ
कल्प	k ɐ́ l p ɐ
कल्पना	k ɐ l p ɐ n ɑː
कल्पना	k ɐ l̪ p ɐ n̪ ɑː
कल्पयति	k ɐ l p ɐ́ j ɐ t i
कल्पयति	k ɐ l̪ p ɐ j ɐ t̪ i
कल्य	k ɐ l j ɐ
कल्य	k ɐ l̪ j ɐ
कल्यम्	k ɐ l j ɐ m
कल्यम्	k ɐ l̪ j ɐ m
कल्या	k ɐ l j ɑː
कल्या	k ɐ l̪ j ɑː
कल्याण	k ɐ l j ɑː ɳ ɐ
कल्याण	k ɐ l̪ j ɑː ɳ ɐ
कल्लोल	k ɐ l̪ l̪ oː l̪ ɐ
कल्हण	k ɐ l ɦ ɐ ɳ ɐ
कल्हण	k ɐ l̪ ɦ ɐ ɳ ɐ
कवक	k ɐ ʋ ɐ k ɐ
कवि	k ɐ ʋ i
कवि	k ɐ ʋ í
कविता	k ɐ ʋ i t ɑː
कविता	k ɐ ʋ i t̪ ɑː
कश	k ɐ ɕ ɐ
कश	k ɐ́ ɕ ɐ
कशप्लक	k ɐ ɕ ɐ p l̪ ɐ k ɐ
कशप्लक	k ɐ́ ɕ ɐ p l ɐ k ɐ
कश्चन	k ɐ ɕ t͡ɕ ɐ n ɐ
कश्चन	k ɐ ɕ t͡ɕ ɐ n̪ ɐ
कश्चित्	k ɐ ɕ t͡ɕ i t
कश्चित्	k ɐ ɕ t͡ɕ i t̪
कश्मीर	k ɐ ɕ m iː ɾ ɐ
कश्यप	k ɐ ɕ j ɐ p ɐ
कश्यप	k ɐ ɕ j ɐ́ p ɐ
कश्यपमीर	k ɐ ɕ j ɐ p ɐ m iː ɾ ɐ
कश्यपमेरु	k ɐ ɕ j ɐ p ɐ m eː ɾ u
कश्यपमेरु	k ɐ ɕ j ɐ p ɐ m ɐ j ɾ u
कषति	k ɐ ʂ ɐ t̪ i
कषति	k ɐ́ ʂ ɐ t i
कषाय	k ɐ ʂ ɑː j ɐ
कषेरुका	k ɐ ʂ eː ɾ u k ɑː
कषेरुका	k ɐ ʂ ɐ j ɾ u k ɑː
कष्	k ɐ ʂ
कस्तीर	k ɐ s t iː ɾ ɐ
कस्तीर	k ɐ s̪ t̪ iː ɾ ɐ
काक	k ɑː k ɐ
कागद	k ɑː ɡ ɐ d̪ ɐ
काङ्क्षति	k ɑː ŋ k ʂ ɐ t i
काङ्क्षति	k ɑː ŋ k ʂ ɐ t̪ i
काच	k ɑː t͡ɕ ɐ
काच	k ɑː t͡ɕ ɐ́
काचक	k ɑː t͡ɕ ɐ k ɐ
काज	k ɑː d͡ʑ ɐ
काजम्	k ɑː d͡ʑ ɐ m
काजस्य	k ɑː d͡ʑ ɐ s j ɐ
काजस्य	k ɑː d͡ʑ ɐ s̪ j ɐ
काजात्	k ɑː d͡ʑ ɑː t
काजात्	k ɑː d͡ʑ ɑː t̪
काजाय	k ɑː d͡ʑ ɑː j ɐ
काजेन	k ɑː d͡ʑ eː n̪ ɐ
काजेन	k ɑː d͡ʑ ɐ j n ɐ
काजेषु	k ɑː d͡ʑ eː ʂ u
काजेषु	k ɑː d͡ʑ ɐ j ʂ u
काजैः	k ɑː d͡ʑ ɑ j h
काजैः	k ɑː d͡ʑ ɑː j h
काञ्चन	k ɑː ɲ t͡ɕ ɐ n ɐ
काञ्चन	k ɑː ɲ t͡ɕ ɐ n̪ ɐ
काञ्जिक	k ɑː ɲ d͡ʑ i k ɐ
काञ्जिक	k ɑː ɲ d͡ʑ í k ɐ
काञ्जी	k ɑː ɲ d͡ʑ iː
काण	k ɑː ɳ ɐ
काण	k ɑː ɳ ɐ́
काण्ड	k ɑː ɳ ɖ ɐ
काण्ड	k ɑː ɳ ɖ ɐ́
काण्ड	k ɑ́ː ɳ ɖ ɐ
कादम्ब	k ɑː d ɐ m b ɐ
कादम्ब	k ɑː d̪ ɐ m b ɐ
कानन	k ɑː n ɐ n ɐ
कानन	k ɑː n̪ ɐ n̪ ɐ
कान्त	k ɑː n t ɐ
कान्त	k ɑː n̪ t̪ ɐ
कान्ति	k ɑː n t i
कान्ति	k ɑː n̪ t̪ i
कान्तिकर	k ɑː n t i k ɐ ɾ ɐ
कान्तिकर	k ɑː n̪ t̪ i k ɐ ɾ ɐ
कान्तिद	k ɑː n t i d ɐ
कान्तिद	k ɑː n̪ t̪ i d̪ ɐ
कान्तिमत्	k ɑː n t i m ɐ t
कान्तिमत्	k ɑː n̪ t̪ i m ɐ t̪
कान्तिहर	k ɑː n t i ɦ ɐ ɾ ɐ
कान्तिहर	k ɑː n̪ t̪ i ɦ ɐ ɾ ɐ
काफी	k ɑː pʰ iː
काम	k ɑː m ɐ
काम	k ɑ́ː m ɐ
कामकेलि	k ɑː m ɐ k eː l̪ i
कामकेलि	k ɑ́ː m ɐ k ɐ j l i
कामचार	k ɑː m ɐ t͡ɕ ɑː ɾ ɐ
कामचारिन्	k ɑː m ɐ t͡ɕ ɑː ɾ i n
कामचारिन्	k ɑː m ɐ t͡ɕ ɑː ɾ i n̪
कामद	k ɑː m ɐ d ɐ
कामद	k ɑː m ɐ d̪ ɐ
कामना	k ɑː m ɐ n ɑː
कामना	k ɑː m ɐ n̪ ɑː
कामबद्ध	k ɑː m ɐ b ɐ d dʱ ɐ
कामबद्ध	k ɑː m ɐ b ɐ d̪ d̪ʱ ɐ
कामबल	k ɑː m ɐ b ɐ l ɐ
कामबल	k ɑː m ɐ b ɐ l̪ ɐ
कामबाण	k ɑː m ɐ b ɑː ɳ ɐ
कामबिन्दु	k ɑː m ɐ b i n d u
कामबिन्दु	k ɑː m ɐ b i n̪ d̪ u
कामभोग	k ɑː m ɐ bʱ oː ɡ ɐ
कामभोग	k ɑː m ɐ bʱ ɐ w ɡ ɐ
कामलता	k ɑː m ɐ l ɐ t ɑː
कामलता	k ɑː m ɐ l̪ ɐ t̪ ɑː
कामलम्पट	k ɑː m ɐ l ɐ m p ɐ ʈ ɐ
कामलम्पट	k ɑː m ɐ l̪ ɐ m p ɐ ʈ ɐ
कामशास्त्र	k ɑː m ɐ ɕ ɑː s t ɾ ɐ
कामशास्त्र	k ɑː m ɐ ɕ ɑː s̪ t̪ ɾ ɐ
कामुक	k ɑː m u k ɐ
कामुक	k ɑ́ː m u k ɐ
काम्बोज	k ɑː m b oː d͡ʑ ɐ
काम्बोज	k ɑː m b ɐ w d͡ʑ ɐ
काम्य	k ɑː m j ɐ
काम्य	k ɑ́ː m j ɐ
काय	k ɑː j ɐ
कार	k ɑː ɾ ɐ
कारक	k ɑː ɾ ɐ k ɐ
कारक	k ɑ́ː ɾ ɐ k ɐ
कारण	k ɑː ɾ ɐ ɳ ɐ
कारयति	k ɑː ɾ ɐ j ɐ t i
कारयति	k ɑː ɾ ɐ j ɐ t̪ i
कारयान	k ɑː ɾ ɐ j ɑː n̪ ɐ
कारवेल्ल	k ɑː ɾ ɐ ʋ eː l̪ l̪ ɐ
कारवेल्ल	k ɑː ɾ ɐ ʋ ɐ j l l ɐ
कारा	k ɑː ɾ ɑː
कारागार	k ɑː ɾ ɑː ɡ ɑː ɾ ɐ
कारागार	k ɑː ɾ ɑː ɡ ɑː ɾ ɐ́
कार्त्तिक	k ɑː ɾ t t i k ɐ
कार्त्तिक	k ɑː ɾ t̪ t̪ i k ɐ
कार्दम	k ɑː ɾ d̪ ɐ m ɐ
कार्पूर	k ɑː ɾ p uː ɾ ɐ
कार्य	k ɑː ɾ j ɐ
कार्य	k ɑː ɾ í j ɐ
कार्यान	k ɑː ɾ j ɑː n̪ ɐ
काल	k ɑː l ɐ
काल	k ɑː l̪ ɐ
कालक्षेप	k ɑː l ɐ k ʂ ɐ j p ɐ
कालक्षेप	k ɑː l̪ ɐ k ʂ eː p ɐ
कालम्	k ɑː l ɐ m
कालम्	k ɑː l̪ ɐ m
कालयति	k ɑː l ɐ j ɐ t i
कालयति	k ɑː l̪ ɐ j ɐ t̪ i
काला	k ɑː l ɑː
काला	k ɑː l̪ ɑː
कालिका	k ɑː l i k ɑː
कालिका	k ɑː l̪ i k ɑː
कालिय	k ɑː l i j ɐ
कालिय	k ɑː l̪ i j ɐ
काली	k ɑː l iː
काली	k ɑː l̪ iː
कालीन	k ɑː l iː n ɐ
कालीन	k ɑː l̪ iː n̪ ɐ
काल्पनिक	k ɑː l p ɐ n i k ɐ
काल्पनिक	k ɑː l̪ p ɐ n̪ i k ɐ
काल्य	k ɑː l j ɐ
काल्य	k ɑː l̪ j ɐ
काल्यम्	k ɑː l j ɐ m
काल्यम्	k ɑː l̪ j ɐ m
काल्याम्	k ɑː l j ɑː m
काल्याम्	k ɑː l̪ j ɑː m
कावेरी	k ɑː ʋ eː ɾ iː
कावेरी	k ɑː ʋ ɐ j ɾ iː
काव्य	k ɑː ʋ j ɐ
काव्य	k ɑː ʋ j ɐ́
काश	k ɑː ɕ ɐ
काशति	k ɑː ɕ ɐ t i
काशति	k ɑː ɕ ɐ t̪ i
काशते	k ɑː ɕ ɐ t̪ eː
काशते	k ɑ́ː ɕ ɐ t ɐ j
काशि	k ɑː ɕ i
काशी	k ɑː ɕ iː
काश्	k ɑː ɕ
काश्चन	k ɑː ɕ t͡ɕ ɐ n ɐ
काश्चन	k ɑː ɕ t͡ɕ ɐ n̪ ɐ
काश्मीर	k ɑː ɕ m iː ɾ ɐ
काश्यप	k ɑː ɕ j ɐ p ɐ
काषण	k ɑː ʂ ɐ ɳ ɐ
काषाय	k ɑː ʂ ɑː j ɐ
काषायी	k ɑː ʂ ɑː j iː
काष्ठतक्षक	k ɑː ʂ ʈʰ ɐ t ɐ k ʂ ɐ k ɐ
काष्ठतक्षक	k ɑː ʂ ʈʰ ɐ t̪ ɐ k ʂ ɐ k ɐ
कासते	k ɑː s̪ ɐ t̪ eː
कासते	k ɑ́ː s ɐ t ɐ j
कासर	k ɑː s ɐ ɾ ɐ
कासर	k ɑː s̪ ɐ ɾ ɐ
कास्	k ɑː s
कास्	k ɑː s̪
किंनर	k ĩ n ɐ ɾ ɐ
किंनर	k ĩ n̪ ɐ ɾ ɐ
किकि	k i k i
किङ्किणी	k i ŋ k i ɳ iː
किट	k i ʈ ɐ
किटि	k i ʈ i
किट्	k i ʈ
किन्नर	k i n n ɐ ɾ ɐ
किन्नर	k i n̪ n̪ ɐ ɾ ɐ
किमर्थं	k i m ɐ ɾ tʰ ɐ m
किमर्थं	k i m ɐ ɾ t̪ʰ ɐ m
किमर्थम्	k i m ɐ ɾ tʰ ɐ m
किमर्थम्	k i m ɐ ɾ t̪ʰ ɐ m
किम्	k i m
किम्	k í m
किम्पुरुष	k i m p u ɾ u ʂ ɐ
किम्पुरुष	k i m p ú ɾ u ʂ ɐ
कियद्	k i j ɐ d
कियद्	k i j ɐ d̪
किरण	k i ɾ ɐ ɳ ɐ
किरण	k i ɾ ɐ́ ɳ ɐ
किरति	k i ɾ ɐ t̪ i
किरति	k i ɾ ɐ́ t i
किरीट	k i ɾ iː ʈ ɐ
किल	k i l̪ ɐ
किल	k í l ɐ
किलकिलाय	k i l ɐ k i l ɑː j ɐ
किलकिलाय	k i l̪ ɐ k i l̪ ɑː j ɐ
किशोर	k i ɕ oː ɾ ɐ
किशोर	k i ɕ ɐ w ɾ ɐ
किशोरी	k i ɕ oː ɾ iː
किशोरी	k i ɕ ɐ w ɾ iː
किस्	k i s̪
किस्	k í s
कीकि	k iː k i
कीट	k iː ʈ ɐ
कीर	k iː ɾ ɐ
कीर्ति	k iː ɾ t i
कीर्ति	k iː ɾ t̪ i
कु	k u
कुक्कुट	k u k k u ʈ ɐ
कुक्कुट	k u k k u ʈ ɐ́
कुक्कुटः	k u k k u ʈ ɐ h
कुक्कुटः	k u k k u ʈ ɐ́ h
कुक्कुटान्	k u k k u ʈ ɑː n
कुक्कुटान्	k u k k u ʈ ɑː n̪
कुक्कुटी	k u k k u ʈ iː
कुक्कुर	k u k k u ɾ ɐ
कुक्षि	k u k ʂ i
कुक्षि	k u k ʂ í
कुख्याति	k u kʰ j ɑː t i
कुख्याति	k u kʰ j ɑː t̪ i
कुङ्कुम	k u ŋ k u m ɐ
कुज	k u d͡ʑ ɐ
कुञ्चिका	k u ɲ t͡ɕ i k ɑː
कुञ्ज	k u ɲ d͡ʑ ɐ
कुञ्जर	k u ɲ d͡ʑ ɐ ɾ ɐ
कुटि	k u ʈ i
कुटि	k ú ʈ i
कुटिल	k u ʈ i l ɐ
कुटिल	k u ʈ i l̪ ɐ
कुटी	k u ʈ iː
कुटीर	k u ʈ iː ɾ ɐ
कुटुम्ब	k u ʈ u m b ɐ
कुटुम्ब	k ú ʈ u m b ɐ
कुटुम्बिक	k u ʈ u m b i k ɐ
कुट्टयति	k u ʈ ʈ ɐ j ɐ t̪ i
कुट्टयति	k u ʈ ʈ ɐ́ j ɐ t i
कुट्ट्	k u ʈ ʈ
कुठार	k u ʈʰ ɑː ɾ ɐ
कुड्मल	k u ɖ m ɐ l ɐ
कुड्मल	k u ɖ m ɐ l̪ ɐ
