Abel	ǎː b e l
indolencija	i n d o l ě n t͡s i j a
indolentan	i n d o l ě n t a n
indolentno	i n d o l ě n t n o
indolentnost	i n d o l ě n t n oː s t
indolog	i n d ǒ l o ɡ
indologija	i n d o l ǒ ɡ i j a
indološki	i n d ǒ l o ʃ k i
indološki	i n d ǒ l o ʃ k iː
indonezijski	i n d ǒ n eː z iː j s k iː
indukcija	i n d ǔ k t͡s i j a
induktivan	î n d u k t iː ʋ a n
induktivno	î n d u k t iː ʋ n o
industrija	i n d ǔ s t r i j a
industrijalizirati	i n d u s t r i j a l i z ǐː r a t i
industrijski	i n d ǔ s t r iː j s k i
industrijski	i n d ǔ s t r iː j s k iː
inercija	i n ě r t͡s i j a
inertan	i n ě r t a n
inertno	i n ě r t n o
infaman	ǐ n f aː m a n
infantilan	î n f a n t iː l a n
infantilizam	i n f a n t i l ǐ z a m
infantilno	î n f a n t iː l n o
infarkt	ǐ n f a r k t
infekcija	i n f ě k t͡s i j a
inferioran	î n f e r i oː r a n
inferiorno	î n f e r i oː r n o
infinitiv	î n f i n i t iː ʋ
inflacija	i n f l ǎː t͡s i j a
inflacijski	i n f l ǎː t s iː j s k i
inflacijski	i n f l ǎː t s iː j s k iː
infleksija	i n f l ě k s i j a
inflorescencija	i n f l o r e s t͡s ěː n t͡s i j a
informacija	i n f o r m ǎː t͡s i j a
informatika	i n f o r m ǎ t i k a
informativan	î n f o r m a t iː ʋ a n
informativno	î n f o r m a t iː ʋ n o
informatičar	i n f o r m ǎ t i t͡ʃ aː r
informirati	i n f o r m ǐː r a t i
infracrven	ǐ n f r a t͡s r̩ ʋ e n
infrastruktura	i n f r a s t r u k t ǔː r a
infrastrukturni	i n f r a s t r ǔ k t uː r n iː
infuzija	ǐ n f uː z i j a
ingeniozan	î n ɡ e n i oː z a n
inhalacija	i n x a l ǎː t͡s i j a
inhalator	i n x ǎ l aː t o r
inherentan	i n x e r ě n t a n
inhibicija	i n x i b ǐː t͡s i j a
inicijal	i n i t͡s ǐ j aː l
inicijalan	î n i t͡s i j aː l a n
inicijalno	î n i t͡s i j aː l n o
inicijativa	i n i t͡s i j a t ǐː ʋ a
inicijator	i n i t͡s ǐ j aː t o r
inje	îː ɲ e
injekcija	i n j ě k t͡s i j a
inkarnacija	i n k a r n ǎː t͡s i j a
inklinacija	i n k l i n ǎː t͡s i j a
inkompatibilan	î n k o m p a t i b iː l a n
inkompatibilno	î n k o m p a t i b iː l n o
inkorporacija	i n k o r p o r ǎː t͡s i j a
inkriminacija	i n k r i m i n ǎː t͡s i j a
inkubacija	i n k u b ǎː t͡s i j a
inkubator	i n k ǔ b aː t o r
inkunabula	i n k u n ǎ b u l a
inkvizicija	i n k ʋ i z ǐː t͡s i j a
inkvizitor	i n k ʋ ǐ z iː t o r
inkvizitorski	i n k ʋ ǐ z iː t o r s k iː
inokulacija	i n o k u l ǎː t͡s i j a
inostranstvo	i n o s t r ǎː n s t ʋ o
inovacija	i n o ʋ ǎː t͡s i j a
inovativan	î n o ʋ a t iː ʋ a n
inovirati	i n o ʋ ǐː r a t i
inozemni	î n o z eː m n iː
inozemstvo	i n o z ěː m s t ʋ o
insekat	ǐ n s e k a t
insekt	ǐ n s e k t
insekticid	i n s e k t ǐ t͡s iː d
insolventan	i n s o l ʋ ě n t a n
inspekcija	i n s p ě k t͡s i j a
inspekcijski	i n s p ě k t͡s iː j s k iː
inspektor	ǐ n s p e k t o r
inspiracija	i n s p i r ǎː t͡s i j a
inspirirati	i n s p i r ǐː r a t i
instalacija	i n s t a l ǎː t͡s i j a
instinkt	ǐ n s t i n k t
instinktivan	î n s t i n k t iː ʋ a n
instinktivno	î n s t i n k t iː ʋ n o
institucija	i n s t i t ǔː t͡s i j a
institut	i n s t ǐ t uː t
institutski	i n s t ǐ t uː t s k iː
instrukcija	i n s t r ǔ k t͡s i j a
instruktivan	î n s t r u k t iː ʋ a n
instruktor	ǐ n s t r u k t o r
integracija	i n t e ɡ r ǎː t͡s i j a
integralan	î n t e ɡ r aː l a n
integralno	î n t e ɡ r aː l n o
intelekt	i n t ě l e k t
intelektualac	i n t e l e k t u ǎː l a t͡s
intelektualan	î n t e l e k t u aː l a n
intelektualizam	i n t e l e k t u a l ǐ z a m
intelektualka	i n t e l e k t ǔ aː l k a
intelektualno	î n t e l e k t u aː l n o
intelet	i n t ě l e t
inteligencija	i n t e l i ɡ ě n t͡s i j a
inteligentan	i n t e l i ɡ ě n t a n
inteligentno	i n t e l i ɡ ě n t n o
intenzitet	i n t e n z ǐ t eː t
intenzivan	î n t e n z iː ʋ a n
intenzivno	î n t e n z iː ʋ n o
interakcija	i n t e r ǎ k t͡s i j a
interes	î n t e r eː s
interesantan	i n t e r e s ǎ n t a n
interesantno	i n t e r e s ǎ n t n o
interijer	i n t e r ǐ j eː r
internacionalan	î n t e r n a t͡s i o n aː l a n
internacionalist	i n t e r n a t͡s i o n ǎ l i s t
internacionalizam	i n t e r n a t͡s i o n a l ǐ z a m
internet	î n t e r n e t
interni	î n t eː r n iː
internist	i n t ě r n i s t
interpretatorka	i n t e r p r ě t aː t o r k a
interpreter	i n t ě r p r e t e r
interval	i n t ě r ʋ aː l
intervencija	i n t e r ʋ ě n t͡s i j a
intervju	i n t ě r ʋ j uː
intiman	î n t iː m a n
intimno	î n t iː m n o
intimnost	i n t ǐː m n oː s t
intonacija	i n t o n ǎː t͡s i j a
intravenozan	i n t r a ʋ ě n oː z a n
intravenozno	i n t r a ʋ ě n oː z n o
intriga	ǐ n t r iː ɡ a
intrigantan	i n t r i ɡ ǎ n t a n
intrigantno	i n t r i ɡ ǎ n t n o
intrigirati	i n t r i ɡ ǐː r a t i
introspekcija	i n t r o s p ě k t͡s i j a
introspektivan	i n t r o s p ě k t iː ʋ a n
intuicija	i n t u ǐː t͡s i j a
intuitivan	î n t u i t iː ʋ a n
intuitivno	î n t u i t iː ʋ n o
invalid	i n ʋ ǎ l iː d
invaliditet	i n ʋ a l i d ǐ t eː t
invalidski	i n ʋ ǎ l iː d s k iː
invazija	ǐ n ʋ aː z i j a
invazijski	ǐ n ʋ aː z iː j s k iː
invektiva	i n ʋ e k t ǐː ʋ a
invencija	i n ʋ ě n t͡s i j a
inventivan	î n ʋ e n t iː ʋ a n
inventivno	î n ʋ e n t iː ʋ n o
inventivnost	i n ʋ e n t ǐː ʋ n oː s t
inverzan	i n ʋ ě r z a n
investicija	i n ʋ e s t ǐː t͡s i j a
investicijski	i n ʋ e s t ǐː t͡s iː j s k iː
investirati	i n ʋ e s t ǐː r a t i
investitor	i n ʋ ě s t iː t o r
inzulin	i n z ǔ l iː n
inćun	ǐ n t͡ɕ uː n
inč	î n t͡ʃ
inšalah	ǐ n ʃ a l aː x
inšallah	ǐ n ʃ a l aː x
inženjer	i n ʒ ě ɲ eː r
inženjerski	i n ʒ ě ɲ eː r s k i
inženjerski	i n ʒ ě ɲ eː r s k iː
iole	î o l e
ionako	i o n ǎ k oː
ionosfera	i o n o s f ěː r a
ipak	î p aː k
iplik	i p l i k
ipokrit	ǐ p o k r i t
iracionalan	î r a t͡s i o n aː l a n
iracionalizam	i r a t͡s i o n a l ǐ z a m
iracionalno	î r a t͡s i o n aː l n o
iranski	ǐ r aː n s k iː
irački	ǐ r aː t ʃ k i
irački	ǐ r aː t ʃ k iː
irealan	î r e aː l a n
irealno	î r e aː l n o
irealnost	i r e ǎː l n oː s t
iredentizam	i r e d e n t ǐ z a m
iregularan	î r e ɡ u l aː r a n
irelevantan	i r e l e ʋ ǎ n t a n
irelevantno	i r e l e ʋ ǎ n t n o
ireverzibilan	î r e ʋ e r z i b iː l a n
ireverzibilnost	i r e ʋ e r z i b ǐː l n oː s t
irha	ǐ r x a
irigacija	i r i ɡ ǎː t͡s i j a
iritacija	i r i t ǎː t͡s i j a
iritirati	i r i t ǐː r a t i
ironičan	i r ǒ n i t͡ʃ a n
ironično	i r ǒ n i t͡ʃ n o
irski	îː r s k iː
irvas	î r ʋ aː s
isaznati	i s ǎ z n a t i
iscedak	ǐ s t͡s e d a k
iscediti	i s t͡s ěː d i t i
iscelitelj	i s t͡s ě l i t e ʎ
isceliti	i s t͡s ěː l i t i
isceljivati	i s t͡s e ʎ ǐː ʋ a t i
isceđivati	i s t͡s e d͡ʑ ǐː ʋ a t i
iscijediti	i s t͡s i j ěː d i t i
iscijeliti	i s t͡s i j ěː l i t i
iscjedak	ǐ s t͡s j e d a k
iscjelitelj	i s t͡s j ě l i t e ʎ
iscjeljivati	i s t͡s j e ʎ ǐː ʋ a t i
iscjeđivati	i s t͡s j e d͡ʑ ǐː ʋ a t i
iscrpan	î s t͡s r̩ p a n
iscrpljivati	i s t͡s r̩ p ʎ ǐː ʋ a t i
iscrpno	ǐ s t͡s r̩ p n o
iscuriti	i s t͡s ǔː r i t i
iscurivati	i s t͡s u r ǐː ʋ a t i
isecati	i s ěː t͡s a t i
iseliti	i s ě l i t i
iseljavati	i s e ʎ ǎː ʋ a t i
iseći	ǐ s e t͡ɕ i
ishabati	ǐ s x a b a t i
ishod	ǐ s x o d
ishodište	ǐ s x o d iː ʃ t e
ishrana	î s x r a n a
isijecati	i s i j ěː t͡s a t i
isjeći	ǐ s j e t͡ɕ i
iskakati	i s k ǎː k a t i
iskaliti	i s k ǎː l i t i
iskaljivati	i s k a ʎ ǐː ʋ a t i
iskati	ǐ s k a t i
iskazati	i s k ǎː z a t i
iskazivati	i s k a z ǐː ʋ a t i
iskaznica	ǐ s k a z n i t͡s a
iskašljati	i s k ǎ ʃ ʎ a t i
iskašljavati	i s k a ʃ ʎ ǎː ʋ a t i
iskidati	i s k ǐː d a t i
iskidati	ǐ s k i d a t i
iskititi	ǐ s k i t i t i
isključiti	i s k ʎ ǔː t͡ʃ i t i
isključiv	i s k ʎ ǔ t͡ʃ i ʋ
isključivati	i s k ʎ u t͡ʃ ǐː ʋ a t i
isključivo	i s k ʎ ǔ t͡ʃ i ʋ o
isključivost	i s k ʎ ǔ t͡ʃ i ʋ oː s t
iskon	ǐ s k o n
iskonski	ǐ s k o n s k iː
iskopati	i s k ǒ p a t i
iskopavati	i s k o p ǎː ʋ a t i
iskorak	î s k o r aː k
iskoreniti	i s k o r ěː n i t i
iskorenjivati	i s k o r e ɲ ǐː ʋ a t i
iskorijeniti	i s k o r j ěː n i t i
iskoristiti	i s k o r ǐ s t i t i
iskoristiv	i s k o r ǐ s t i ʋ
iskoristivost	i s k o r ǐ s t i ʋ oː s t
iskorištavati	i s k o r i ʃ t ǎː ʋ a t i
iskorjenitelj	i s k o r j ě n i t e ʎ
iskorjenjivati	i s k o r j e ɲ ǐː ʋ a t i
iskočiti	i s k ǒ t͡ʃ i t i
iskra	î s k r a
iskradati	i s k r ǎː d a t i
iskrasti	ǐ s k r a s t i
iskrcavati	i s k r̩ t͡s ǎː ʋ a t i
iskren	î s k r e n
iskreno	î s k r e n o
iskrenost	î s k r e n oː s t
iskrica	î s k r i t͡s a
iskriti	î s k r i t i
iskričav	î s k r i t͡ʃ a ʋ
iskričavo	î s k r i t͡ʃ a ʋ o
iskrvariti	i s k r ʋ ǎː r i t i
iskrvaviti	i s k r ʋ ǎː ʋ i t i
iskrčivati	i s k r̩ t͡ʃ ǐː ʋ a t i
iskupiti	i s k ǔː p i t i
iskupiti	ǐ s k u p i t i
iskusan	î s k uː s a n
iskusiti	i s k ǔː s i t i
iskustven	i s k ǔ s t ʋ e n
iskustvo	i s k ǔː s t ʋ o
iskušati	ǐ s k u ʃ a t i
iskušavati	i s k u ʃ ǎː ʋ a t i
iskvariti	i s k ʋ ǎː r i t i
islam	ǐ s l aː m
islamizacija	i s l a m i z ǎː t͡s i j a
islamizirati	i s l a m i z ǐː r a t i
islamski	ǐ s l aː m s k i
islamski	ǐ s l aː m s k iː
islandski	ǐ s l a n d s k iː
ismejati	i s m ě j a t i
ismejavati	i s m e j ǎː ʋ a t i
ismijati	i s m ǐ j a t i
ismijavati	i s m i j ǎː ʋ a t i
ispadati	ǐ s p a d a t i
ispasti	ǐ s p a s t i
ispatiti	ǐ s p a t i t i
ispeći	ǐ s p e t͡ɕ i
ispijati	i s p ǐː j a t i
ispiliti	i s p ǐː l i t i
ispirati	ǐ s p i r a t i
ispisati	i s p ǐː s a t i
ispisivati	i s p i s ǐː ʋ a t i
ispit	ǐ s p i t
ispitati	i s p ǐː t a t i
ispiti	ǐ s p i t i
ispitivalac	i s p i t ǐ ʋ a l a t͡s
ispitivanje	i s p i t ǐː ʋ aː ɲ e
ispitivati	i s p i t ǐː ʋ a t i
ispitivač	i s p i t ǐ ʋ aː t͡ʃ
ispitivački	i s p i t ǐ ʋ aː t͡ʃ k iː
ispitni	ǐ s p i t n iː
isplata	î s p l a t a
isplatiti	i s p l ǎː t i t i
isplativ	i s p l ǎ t i ʋ
isplativost	i s p l ǎ t i ʋ oː s t
isplaćivati	i s p l a t͡ɕ ǐː ʋ a t i
isplesti	ǐ s p l e s t i
ispletati	ǐ s p l e t a t i
isplivati	ǐ s p l i ʋ a t i
isploviti	i s p l ǒ ʋ i t i
ispod	î s p o d
ispomoć	î s p o m oː t͡ɕ
isporuka	î s p o r u k a
isporučiti	i s p o r ǔː t͡ʃ i t i
isporučivati	i s p o r u t͡ʃ ǐː ʋ a t i
ispostaviti	i s p ǒ s t a ʋ i t i
ispostavljati	i s p ǒ s t a ʋ ʎ a t i
ispoved	î s p o ʋ eː d
ispovest	ǐ s p o ʋ eː s t
ispovijed	î s p o ʋ j eː d
ispovijest	ǐ s p o ʋ j eː s t
isprati	ǐ s p r a t i
isprava	î s p r a ʋ a
ispravak	ǐ s p r a ʋ a k
ispravan	î s p r aː ʋ a n
ispraviti	ǐ s p r a ʋ i t i
ispravljati	ǐ s p r a ʋ ʎ a t i
isprazan	î s p r aː z a n
isprazniti	i s p r ǎː z n i t i
ispražnjavati	i s p r a ʒ ɲ ǎː ʋ a t i
ispred	î s p r e d
ispresti	ǐ s p r e s t i
ispričati	i s p r ǐː t͡ʃ a t i
ispričavati	i s p r i t͡ʃ ǎː ʋ a t i
isprljati	i s p řː ʎ a t i
isprobati	i s p r ǒː b a t i
ispuhati	i s p ǔː x a t i
ispuniti	ǐ s p u n i t i
ispunjavati	i s p u ɲ ǎː ʋ a t i
ispunjiv	i s p ǔ ɲ i ʋ
ispustiti	i s p ǔ s t i t i
ispušiti	ǐ s p u ʃ i t i
ispuštati	i s p ǔː ʃ t a t i
istaknut	ǐ s t a k n uː t
istaknuti	i s t ǎ k n u t i
istaknutost	ǐ s t a k n uː t oː s t
istapati	i s t ǎː p a t i
istarski	î s t a r s k i
istarski	î s t a r s k iː
istaći	ǐ s t a t͡ɕ i
isterati	ǐ s t e r a t i
isteravati	i s t e r ǎː ʋ a t i
isterivati	i s t e r ǐː ʋ a t i
isti	î s t iː
isticati	ǐ s t i t͡s a t i
istina	î s t i n a
istinit	î s t i n i t
istinoljubiv	i s t i n o ʎ ǔ b i ʋ
istinoljubivost	i s t i n o ʎ ǔ b i ʋ oː s t
istinoljublje	î s t i n o ʎ uː b ʎ e
istinski	î s t iː n s k i
istinski	î s t iː n s k iː
istjerati	ǐ s t j e r a t i
istjeravati	i s t j e r ǎː ʋ a t i
istjerivati	i s t j e r ǐː ʋ a t i
istobojan	î s t o b oː j a n
istodoban	i s t ǒ d o b a n
istodobno	i s t ǒ d o b n o
istodobnost	i s t ǒ d o b n oː s t
istoimen	i s t ǒ i m e n
istojezični	i s t o j ě z i t͡ʃ n iː
istok	ǐ s t o k
istokrvan	î s t o k rː ʋ a n
istomišljenik	i s t ǒ m i ʃ ʎ e n iː k
istomišljeništvo	i s t ǒ m i ʃ ʎ e n iː ʃ t ʋ o
istopisnica	î s t o p iː s n i t͡s a
istopiti	i s t ǒ p i t i
istorija	ǐ s t oː r i j a
istorodan	î s t o r o d a n
istorodnost	î s t o r o d n oː s t
istosmeran	î s t o s m eː r a n
istosmerno	î s t o s m eː r n o
istosmjeran	î s t o s m j eː r a n
istosmjerno	î s t o s m j eː r n o
istovar	î s t o ʋ aː r
istovariti	i s t ǒ ʋ a r i t i
istovarivati	i s t o ʋ a r ǐː ʋ a t i
istovarivač	i s t o ʋ a r ǐ ʋ aː t͡ʃ
istoverac	i s t ǒ ʋ e r a t͡s
istovetan	i s t ǒ ʋ e t a n
istovetnost	i s t ǒ ʋ e t n oː s t
istovjerac	i s t ǒ ʋ j e r a t͡s
istovjetan	i s t ǒ ʋ j e t a n
istovjetnost	i s t ǒ ʋ j e t n oː s t
istovremeno	i s t ǒ ʋ r e m e n o
istovrstan	i s t ǒ ʋ r s t a n
istoznačan	i s t ǒ z n a t͡ʃ a n
istoznačnica	i s t ǒ z n a t͡ʃ n i t͡s a
istoznačnost	i s t ǒ z n a t͡ʃ n oː s t
istozvučnica	i s t ǒ z ʋ u t͡ʃ n i t͡s a
istočni	ǐ s t o t͡ʃ n iː
istočnjak	ǐ s t o t͡ʃ ɲ aː k
istočno	ǐ s t o t͡ʃ n o
istraga	î s t r a ɡ a
istražitelj	i s t r ǎ ʒ i t e ʎ
istražiti	i s t r ǎː ʒ i t i
istraživanje	i s t r a ʒ ǐː ʋ aː ɲ e
istraživati	i s t r a ʒ ǐː ʋ a t i
istraživač	i s t r a ʒ ǐ ʋ aː t͡ʃ
istraživački	i s t r a ʒ ǐ ʋ aː t͡ʃ k iː
istrebiti	i s t r ěː b i t i
istrebljenje	i s t r e b ʎ ěː ɲ e
istrebljivati	i s t r e b ʎ ǐː ʋ a t i
istrebljivač	i s t r e b ʎ ǐ ʋ aː t͡ʃ
istrenirati	i s t r e n ǐː r a t i
istrijebiti	i s t r j ěː b i t i
istrošen	ǐ s t r o ʃ e n
istrošiti	i s t r ǒ ʃ i t i
istupati	i s t ǔː p a t i
istupiti	i s t ǔː p i t i
istući	ǐ s t uː t͡ɕ i
isušiti	i s ǔː ʃ i t i
isušivati	i s u ʃ ǐː ʋ a t i
italijanski	i t a l ǐ j aː n s k i
italijanski	i t a l ǐ j aː n s k iː
italski	ǐ t a l s k iː
iterativan	î t e r a t iː ʋ a n
iti	iː t i
itko	î t k o
iva	ǐː ʋ a
ivica	î ʋ i t͡s a
iz	i z
iza	i z a
izabirati	i z ǎ b i r a t i
izabran	î z a b r aː n
izabrati	i z ǎ b r a t i
izagnati	i z ǎ ɡ n a t i
izaslanik	i z a s l ǎ n iː k
izaslanstvo	i z a s l ǎ n s t ʋ o
izazivati	i z a z ǐː ʋ a t i
izazivač	i z a z ǐ ʋ aː t͡ʃ
izazovan	î z a z oː ʋ a n
izazovno	î z a z oː ʋ n o
izazvati	i z ǎ z ʋ a t i
izaći	ǐ z aː t͡ɕ i
izba	ǐ z b a
izbaciti	i z b ǎː t͡s i t i
izbacivati	i z b a t͡s ǐː ʋ a t i
izbadati	i z b ǎː d a t i
izbalansirati	i z b a l a n s ǐː r a t i
izbatinati	i z b a t ǐ n a t i
izbaviti	ǐ z b a ʋ i t i
izbavljati	ǐ z b a ʋ ʎ a t i
izbegavati	i z b e ɡ ǎː ʋ a t i
izbezumljen	i z b ě z uː m ʎ e n
izbezumljeno	i z b ě z uː m ʎ e n o
izbeći	ǐ z b e t͡ɕ i
izbečiti	i z b ěː t͡ʃ i t i
izbeživ	i z b ě ʒ i ʋ
izbežljiv	i z b ě ʒ ʎ i ʋ
izbijati	i z b ǐː j a t i
izbirljiv	i z b ǐ r ʎ i ʋ
izbirljivo	i z b ǐ r ʎ i ʋ o
izbiti	ǐ z b i t i
izbjegavati	i z b j e ɡ ǎː ʋ a t i
izbjeći	ǐ z b j e t͡ɕ i
izbježiv	i z b j ě ʒ i ʋ
izbježljiv	i z b j ě ʒ ʎ i ʋ
izbliza	î z b l iː z a
izbliže	î z b l i ʒ eː
izbljuvati	i z b ʎ ǔ ʋ a t i
izbor	ǐ z b o r
izboriti	i z b ǒ r i t i
izborni	ǐ z b oː r n iː
izbornik	ǐ z b oː r n iː k
izbosti	ǐ z b o s t i
izbočina	ǐ z b o t͡ʃ i n a
izbrbljati	i z b ř b ʎ a t i
izbrisati	ǐ z b r i s a t i
izbrisiv	i z b r ǐ s i ʋ
izbušiti	i z b ǔː ʃ i t i
izdah	î z d aː x
izdahnuti	i z d ǎ x n u t i
izdaja	î z d a j a
izdajica	ǐ z d a j i t͡s a
izdajnik	ǐ z d aː j n iː k
izdajstvo	ǐ z d aː j s t ʋ o
izdaleka	i z d a l ě k a
izdanje	i z d ǎː ɲ e
izdatak	i z d ǎː t a k
izdati	ǐ z d a t i
izdavati	i z d ǎː ʋ a t i
izdavač	i z d ǎ ʋ aː t͡ʃ
izdašan	î z d aː ʃ a n
izdašno	î z d aː ʃ n o
izdisati	ǐ z d i s a t i
izdržati	i z d ř ʒ a t i
izdržavati	i z d r ʒ ǎː ʋ a t i
izdržljiv	i z d ř ʒ ʎ i ʋ
izdržljivo	i z d ř ʒ ʎ i ʋ o
izdržljivost	i z d ř ʒ ʎ i ʋ oː s t
izdvajati	i z d ʋ ǎː j a t i
izdvojiti	i z d ʋ ǒ j i t i
izganjati	i z ɡ ǎː ɲ a t i
izgarati	i z ɡ ǎː r a t i
izgled	î z ɡ l eː d
izgledati	i z ɡ l ěː d a t i
izgnanica	ǐ z ɡ n a n i t͡s a
izgnanik	ǐ z ɡ n a n iː k
izgnanstvo	i z ɡ n ǎ n s t ʋ o
izgnati	ǐ z ɡ n a t i
izgon	ǐ z ɡ o n
izgoniti	i z ɡ ǒ n i t i
izgoreti	i z ɡ ǒ r e t i
izgorjeti	i z ɡ ǒ r j e t i
izgovarati	i z ɡ o ʋ ǎː r a t i
izgovor	î z ɡ o ʋ oː r
izgovoriti	i z ɡ o ʋ ǒ r i t i
izgraditi	i z ɡ r ǎː d i t i
izgradnja	i z ɡ r ǎː d ɲ a
izgrađivati	i z ɡ r a d͡ʑ ǐː ʋ a t i
izgred	î z ɡ r eː d
izgrepsti	ǐ z ɡ r e p s t i
izgristi	ǐ z ɡ r i s t i
izgubiti	i z ɡ ǔ b i t i
izgubljen	ǐ z ɡ u b ʎ e n
iziskivati	i z i s k ǐː ʋ a t i
izići	ǐ z iː t͡ɕ i
izjadati	ǐ z j a d a t i
izjasniti	i z j ǎ s n i t i
izjava	î z j a ʋ a
izjaviti	i z j ǎː ʋ i t i
izjavljivati	i z j a ʋ ʎ ǐː ʋ a t i
izjašnjavati	i z j a ʃ ɲ ǎː ʋ a t i
izjednačiti	i z j e d n ǎː t͡ʃ i t i
izjednačivati	i z j e d n a t͡ʃ ǐː ʋ a t i
izjelica	ǐ z j e l i t͡s a
izjuriti	i z j ǔː r i t i
izjurivati	i z j u r ǐː ʋ a t i
izjutra	î z j u t r a
izlagati	i z l ǎ ɡ a t i
izlaz	î z l aː z
izlazak	ǐ z l a z a k
izlaziti	ǐ z l a z i t i
izlazni	î z l aː z n iː
izlet	ǐ z l e t
izlečiti	i z l ěː t͡ʃ i t i
izlečiv	i z l ě t͡ʃ i ʋ
izlečivost	i z l ě t͡ʃ i ʋ oː s t
izliječiti	i z l i j ěː t͡ʃ i t i
izlizati	i z l ǐː z a t i
izlizivati	i z l i z ǐː ʋ a t i
izlišan	î z l i ʃ a n
izlišno	î z l i ʃ n o
izljev	ǐ z ʎ e ʋ
izlječiv	i z ʎ ě t͡ʃ i ʋ
izlječivost	i z ʎ ě t͡ʃ i ʋ oː s t
izljubiti	i z ʎ ǔː b i t i
izljubljivati	i z ʎ u b ʎ ǐː ʋ a t i
izljutiti	i z ʎ ǔː t i t i
izlog	ǐ z l o ɡ
izlomiti	i z l ǒ m i t i
izložiti	i z l ǒ ʒ i t i
izlučiti	i z l ǔː t͡ʃ i t i
izlučivati	i z l u t͡ʃ ǐː ʋ a t i
izmak	ǐ z m a k
izmaknuti	i z m ǎ k n u t i
izmamiti	i z m ǎː m i t i
izmamljivati	i z m a m ʎ ǐː ʋ a t i
izmaći	ǐ z m a t͡ɕ i
izmena	î z m e n a
izmeničan	î z m e n i t͡ʃ a n
izmenično	î z m e n i t͡ʃ n o
izmeriti	ǐ z m e r i t i
izmerljiv	i z m ě r ʎ i ʋ
izmet	ǐ z m e t
između	î z m e d͡ʑ u
izmicati	ǐ z m i t͡s a t i
izmigoljiti	i z m i ɡ ǒ ʎ i t i
izmisliti	ǐ z m i s l i t i
izmišljati	i z m ǐː ʃ ʎ a t i
izmišljen	ǐ z m i ʃ ʎ e n
izmišljotina	i z m i ʃ ʎ ǒ t i n a
izmjena	î z m j e n a
izmjeničan	î z m j e n i t͡ʃ a n
izmjenično	î z m j e n i t͡ʃ n o
izmjeriti	ǐ z m j e r i t i
izmjeriv	i z m j ě r i ʋ
izmjerljiv	i z m j ě r ʎ i ʋ
izmlatiti	i z m l ǎː t i t i
izmusti	ǐ z m uː s t i
iznad	î z n a d
iznajmiti	i z n ǎ j m i t i
iznajmljivati	i z n a j m ʎ ǐː ʋ a t i
iznebuha	î z n e b uː x a
iznenada	î z n e n aː d a
iznenadan	î z n e n aː d a n
iznenaditi	i z n e n ǎː d i t i
iznenađen	i z n ě n aː d͡ʑ e n
iznenađenje	i z n e n a d͡ʑ ěː ɲ e
iznenađivati	i z n e n a d͡ʑ ǐː ʋ a t i
iznenađujući	i z n e n ǎ d͡ʑ u j uː t͡ɕ i
iznervirati	i z n e r ʋ ǐː r a t i
izneti	ǐ z n eː t i
iznijeti	ǐ z n j eː t i
izniman	ǐ z n iː m a n
iznimka	ǐ z n iː m k a
iznimno	ǐ z n iː m n o
iznjedriti	i z ɲ ěː d r i t i
iznjedriti	ǐ z ɲ e d r i t i
iznos	ǐ z n o s
iznositi	i z n ǒ s i t i
iznova	î z n o ʋ a
iznuda	î z n u d a
iznuditi	ǐ z n u d i t i
iznutra	ǐ z n uː t r a
iznuđivati	i z n u d͡ʑ ǐː ʋ a t i
izobara	i z o b ǎː r a
izobilan	î z o b i l a n
izobilje	î z o b iː ʎ e
izobličavati	i z o b l i t͡ʃ ǎː ʋ a t i
izobličiti	i z o b l ǐː t͡ʃ i t i
izobrazba	î z o b r a z b a
izoglosa	i z o ɡ l ǒ s a
izolacija	i z o l ǎː t͡s i j a
izolator	i z ǒ l aː t o r
izoliran	i z ǒ l iː r a n
izolirano	i z ǒ l iː r a n o
izolirati	i z o l ǐː r a t i
izomorfan	i z o m ǒ r f aː n
izopačen	i z ǒ p aː t͡ʃ e n
izopačeno	i z ǒ p aː t͡ʃ e n o
izopačiti	i z o p ǎː t͡ʃ i t i
izopačivati	i z o p a t͡ʃ ǐː ʋ a t i
izorati	i z ǒ r a t i
izoravati	i z o r ǎː ʋ a t i
izostajati	i z ǒ s t a j a t i
izostati	i z ǒ s t a t i
izostaviti	i z ǒ s t a ʋ i t i
izostavljati	i z ǒ s t a ʋ ʎ a t i
izoštravati	i z o ʃ t r ǎː ʋ a t i
izoštriti	i z ǒ ʃ t r i t i
izraditi	i z r ǎː d i t i
izraelski	î z r a e l s k iː
izraniti	ǐ z r a n i t i
izraslina	ǐ z r a s l i n a
izrastati	i z r ǎː s t a t i
izrasti	ǐ z r aː s t i
izravan	î z r aː ʋ a n
izravnati	i z r ǎ ʋ n a t i
izravnavati	i z r a ʋ n ǎː ʋ a t i
izravno	î z r aː ʋ n o
izrazit	ǐ z r a z i t
izraziti	i z r ǎː z i t i
izrazito	ǐ z r a z i t o
izračiti	i z r ǎː t͡ʃ i t i
izračunati	i z r a t͡ʃ ǔ n a t i
izračunavati	i z r a t͡ʃ u n ǎː ʋ a t i
izrađati	i z r ǎː d͡ʑ a t i
izrađivati	i z r a d͡ʑ ǐː ʋ a t i
izražajan	î z r a ʒ aː j a n
izražavati	i z r a ʒ ǎː ʋ a t i
izreka	î z r e k a
izrezati	ǐ z r e z a t i
izrezbariti	i z r e z b ǎː r i t i
