Aaju	a a j u
latinerisut	l a t i n i r i s u t
maaji	m aː j i
maajooq	m a a j u u q
maanna	m a a n n a
maannakkut	m a a n n a k k u t
makku	m a k k u
malamuk	m a l a m u k
maliarsuk	m a l i a r s u k
malillugu	m a l i l l u ɡ u
malugaa	m a l u ɡ a a
manna	m a nː a
mannik	m a n n i k
marluk	m ɑ ɬ ɬ u k
marserpaa	m a r s i r p a a
marserpoq	m a r s i r p u q
marsi	m ɑ s s i
martsi	m a r t s i
masarsuk	m a s ɑ s s u k
matu	m a t u
matuerpaa	m a t u i r p a a
matuersaaserfik	m a t u i r s a a s i r f i k
matuersaat	m a t u i r s a a t
matuma	m a t u m a
matumuuna	m a t u m u u n a
meeqqerivik	m i i q q i r i v i k
meeqqerivoq	m i i q q i r i v u q
meqqut	m i q q u t
mersorpoq	m ɜ s s ɔ p p ɔ q
mianeraa	m i a n i r a a
mianersoqquaa	m i a n i r s u q q u a a
mianersorpoq	m i a n i r s u r p u q
mikisoq	m i k i s u q
mikivoq	m i k i v u q
milippaa	m i l i p p a a
milippoq	m i l i p p u q
millivaa	m i l l i v a a
millivoq	m i l l i v u q
milluaasartut	m i l l u a a s a r t u t
miloriuppaa	m i l u r i u p p a a
miluumasoq	m i l u u m a s u q
ministeriuneq	m i n i s t i r i u n i q
mippoq	m i p p u q
misilitsinneq	m i s i l i t s i n n i q
misissorpaa	m i s i s s u r p a a
mitiusat	m i t i u s a t
musaq	m u s a q
naagga	n a a ɡ ɡ a
naaja	n a a j a
naajaaq	n a a j a a q
naajavaaq	n a a j a v a a q
naajavaarsuk	n a a j a v a a r s u k
naalagaq	n a a l a ɡ a q
naalakkerpaa	n a a l a k k i r p a a
naalakkersorpaa	n a a l a k k i r s u r p a a
naalakkersueriaaseq	n a a l a k k i r s u i r i a a s i q
naalakkersuisoq	n a a l a k k i r s u i s u q
naalakkersuivoq	n a a l a k k i r s u i v u q
naalliuut	n a a l l i u u t
naalliuutigaa	n a a l l i u u t i ɡ a a
naamik	n a a m i k
naamivik	n a a m i v i k
naappoq	n a a p p u q
naaq	n aː q
naartu	n a a r t u
naartuvoq	n a a r t u v u q
naasoq	n a a s u q
naassuseq	n a a s s u s i q
naatsiiaq	n a a t s i i a q
naatsiiat	n a a t s i i a t
naatsiivik	n a a t s i i v i k
naatsorsuineq	n a a t s u r s u i n i q
naatsorsuivoq	n a a t s u r s u i v u q
naggat	n a ɡ ɡ a t
naja	n a j a
najak	n a j a k
nakimavoq	n a k i m a v u q
nakimmappoq	n a k i m m a p p u q
nakkuppaa	n a k k u p p a a
nakkutilliineq	n a k k u t i l l i i n i q
nakorsaat	n a k u r s a a t
nakorsaq	n a k u r s a q
nakuvoq	n a k u v u q
naleqqiuppoq	n a l i q q i u p p u q
naleqqiussineq	n a l i q q i u s s i n i q
naliliineq	n a l i l i i n i q
nalinginnaq	n a l i ŋ i n n a q
nallersuuppoq	n a l l i r s u u p p u q
nalu	n a l u
nalunaaqut	n a l u n a a q u t
nalunaaqutaq	n a l u n a a q u t a q
nalunaaqutserpaa	n a l u n a a q u t s i r p a a
nalunaqaaq	n a l u n a q a a q
nalunarpoq	n a l u n a r p u q
naluvoq	n a l u v u q
nammineq	n a m m i n i q
nanoq	n a n u q
nappaassuaq	n a p p a a s s u a q
nappaat	n a p p a a t
nappaatipiluk	n a p p a a t i p i l u k
nappaq	n a p p a q
napparpaa	n a p p a r p a a
napparpoq	n a p p a r p u q
napparsimmavik	n a p p a r s i m m a v i k
naqinneq	n a q i n n i q
naqippaa	n a q i p p a a
naqiterivoq	n a q i t i r i v u q
naqiterpaa	n a q i t i r p a a
naqitigaaraq	n a q i t i ɡ a a r a q
naqitigaq	n a q i t i ɡ a q
naqitsineq	n a q i t s i n i q
naqitsivoq	n a q i t s i v u q
narlorpoq	n a r l u r p u q
narlumukaaq	n a r l u m u k a a q
narlusooq	n a r l u s u u q
narsaq	n a r s a q
nasaq	n a s a q
nassaaq	n a s s a a q
nassaaraa	n a s s a a r a a
nassuk	n a s s u k
nataaq	n a t a a q
nateq	n a t i q
natsit	n a t s i t
nattoralik	n a t t u r a l i k
nattoraliusaq	n a t t u r a l i u s a q
neqi	n i q i
neqissaq	n i q i s s a q
neqituumasoq	n i q i t u u m a s u q
nerivaa	n i r i v a a
nerivoq	n i r i v u q
nerleq	n i r l i q
nerrivik	n i r r i v i k
niaqoq	n i a q o q
niisa	n i i s a
nilak	n i l a k
nilattarpoq	n i l a t t a r p u q
nillerpoq	n i l l i r p u q
nimeq	n i m i q
nimeriaq	n i m i r i a q
nimeriarluk	n i m i r i a r l u k
nimissiaq	n i m i s s i a q
nipaappoq	n i p a a p p u q
nipersuaq	n i p i r s u a q
niperujoorpoq	n i p i r u j u u r p u q
nipi	n i p i
nipilersoqatigiissuit	n i p i l i r s u q a t i ɡ i i s s u i t
nipilersorpoq	n i p i l i r s u r p u q
nipilersortartoq	n i p i l i r s u r t a r t u q
nipilersortartut	n i p i l i r s u r t a r t u t
nipiliuut	n i p i l i u u t
nittaalaq	n i t t a a l a q
niu	n i u
niuerneq	n i u i r n i q
niuerpoq	n i u i r p u q
niulu	n i u l u
niviarsiaq	n i v i a r s i a q
niviarsiaraq	n i v i a r s i a r a q
niviorpaa	n i v iʲ ɔ p p aː
niviorpoq	n i v iʲ ɔ p p ɔ q
normu	n u r m u
norskeq	n u r s k i q
nuak	n u a k
nuakoorfik	n u a k u u r f i k
nualluk	n u a l l u k
nuannaarpoq	n u a n n a a r p u q
nuannaraa	n u a n n a r a a
nuannarineqartoq	n u a n n a r i n i q a r t u q
nuannarinnittoq	n u a n n a r i n n i t t u q
nuannerpoq	n u a n n i r p u q
nuappaa	n u a p p a a
nuappoq	n u a p p u q
nuarluk	n uʷ ɑ ɬ ɬ u k
nuffarliorpoq	n u f f a r l i u r p u q
nuiaq	n u i a q
nuiavoq	n u i a v u q
nuivoq	n u i v u q
nuka	n u k a
nukappiaraq	n u k a p p iʲ ɑ ʁ ɑ q
nukaq	n u k ɑ q
nukarleq	n u k a r l i q
nuliaq	n u l iʲ ɑ q
nummerplade	n u m m i r p l a t i
nuna	n u n a
nunaat	n u n a a t
nunalerineq	n u n a l i r i n i q
nunarput	n u n a r p u t
nunarsuaq	n u n a r s u a q
nunasarneq	n u n a s a r n i q
nunasiaq	n u n a s i a q
nunasiaqarneq	n u n a s i a q a r n i q
nunataq	n u n a t a q
nunavik	n u n a v i k
nutaaq	n u t a a q
nutaarsiassat	n u t a a r s i a s s a t
nutserisoq	n u t s i r i s u q
nutserivoq	n u t s i r i v u q
nutsigaq	n u t s i ɡ a q
oqaasaq	u q a a s a q
oqaaseeraq	u q a a s i i r a q
oqaaseq	u q a a s i q
oqaaseqarneq	u q a a s i q a r n i q
oqaasersiaq	u q a a s i r s i a q
oqaatigaa	u q a a t i ɡ a a
oqaatigiumasaq	u q a a t i ɡ i u m a s a q
oqaatsit	u q a a t s i t
oqaatsoq	u q a a t s u q
oqallinneq	u q a l l i n n i q
oqallipput	u q a l l i p p u t
oqaluffik	u q a l u f f i k
oqaluinnamiut	u q a l u i n n a m i u t
oqaluppoq	u q a l u p p u q
oqaluttuaq	u q a l u t t u a q
oqaluttuarpoq	u q a l u t t u a r p u q
oqaluttuassartaq	u q a l u t t u a s s a r t a q
oqaluut	u q a l u u t
oqaq	u q a q
oqarfigaa	u q a r f i ɡ a a
oqarpoq	u q a r p u q
oqorutit	u q u r u t i t
ordbogi	u r t p u ɡ i
orpigaq	u r p i ɡ a q
orpik	u r p i k
orpikkat	u r p i k k a t
orpimmiutaq	u r p i m m i u t a q
orpimmiutarsuaq	u r p i m m i u t a r s u a q
orpippalik	u r p i p p a l i k
orpippassuit	u r p i p p a s s u i t
orsoq	u r s u q
orsussaq	u r s u s s a q
paannaaq	p a a n n a a q
paaq	p a a q
paarnaq	p a a r n a q
paarnaqulluk	p a a r n a q u l l u k
paasissaalluanngilaq	p a a s i s s a a l l u a ŋ ŋ i l a q
paasivaa	p a a s i v a a
paffik	p a f f i k
pana	p a n a
panaanneq	p a n a a n n i q
panaasalik	p a n a a s a l i k
panik	p a n i k
panna	p a nː a
panteri	p a n t i r i
pasillerpaa	p a s i l l i r p a a
pasivaa	p a s i v a a
pattalaarpaa	p a t t a l a a r p a a
peqarpoq	p i q a r p u q
peqqiippoq	p i q q i i p p u q
peqqinneq	p i q q i n n i q
peqqippoq	p i q q i p p u q
peqqissaasoq	p i q q i s s a a s u q
pequsaavaq	p ɜ q u s aː v ɑ q
periarfissippaa	p i r i a r f i s s i p p a a
persuaq	p i r s u a q
piffik	p i f f i k
piffissaq	p i f f i s s a q
pigaa	p i ɡ a a
pikku	p i kː u
pikoorfik	p i k u u r f i k
pilappoq	p i l a p p ɔ q
pilattuut	p i l a t t uː t
pilerpoq	p i l i r p u q
pilikki	p i l i k k i
pilikkiusaq	p i l i k k i u s a q
pillammaavoq	p i ɬ ɬ a m m aː v ɔ q
pillammak	p i ɬ ɬ a m m a k
pilluarit	p i l l u a r i t
pilluaritsi	p i l l u a r i t s i
pilluarpoq	p i l l u a r p u q
pillugu	p i l l u ɡ u
piloqut	p i l u q u t
pilorsuit	p i l u r s u i t
pilu	p i l u
pineqartoq	p i n i q a r t u q
pingaarpoq	p i ŋ a a r p u q
pingaartumik	p i ŋ a a r t u m i k
pingajuat	p i ŋ a j u a t
pingasut	p i ŋ a s u t
pingu	p i ŋ u
pingujak	p i ŋ u j a k
pinnga	p i ŋː a
pinngoqqaat	p i ŋ ŋ u q q a a t
pinnguarpoq	p i ŋ ŋ u a r p u q
pisiniarfik	p i s i n i a r f i k
pisooq	p i s u u q
pisoq	p i s u q
pisortaaneq	p i s u r t a a n i q
pisortaq	p i s ɔ t t ɑ q
pissaavoq	p i s s aː v ɔ q
pissaq	p i s s ɑ q
pissuseq	p i s s u s i q
pissusilerissut	p i s s u s i l i r i s s u t
pissusissamisoorpoq	p i s s u s i s s a m i s u u r p u q
pissusissamisoortoq	p i s s u s i s s a m i s u u r t u q
pissut	p i s s u t
pissutaaqataavoq	p i s s u t a a q a t a a v u q
pissuteqarluarluni	p i s s u t i q a r l u a r l u n i
pissutigalugu	p i s s u t i ɡ a l u ɡ u
pisuppoq	p i s u p p u q
pisuujuvoq	p i s u u j u v u q
piumassuseq	p i u m a s s u s i q
piumavoq	p i u m a v u q
poorski	p u u r s k i
portusooq	p u r t u s u u q
portuvoq	p u r t u v u q
programmiliortoq	p r u ɡ r a m m i l i u r t u q
pualasooq	p u a l a s u u q
pualavoq	p u a l a v u q
pujoorpoq	p u j ɔː p p ɔ q
pujortaat	p u j u r t a a t
pulaarpoq	p u l a a r p u q
pulateriaarsuk	p u l a t i r i a a r s u k
punneq	p u n n i q
pupik	p u p i k
pupissoq	p u p i s s u q
pupiutaajaat	p u p i u t a a j a a t
putooruttoq	p u t u u r u t t u q
putu	p u t u
putugoq	p u t u ɡ u q
puutinngi	p u u t i ŋ ŋ i
q	q
qaamaneq	q a a m a n i q
qaamasoq	q a a m a s u q
qaamavoq	q a a m a v u q
qaammaliaq	q a a m m a l i a q
qaammat	q a a m m a t
qaammataasaq	q a a m m a t a a s a q
qaammatisiutit	q a a m m a t i s i u t i t
qaaq	q aː q
qaarpoq	q a a r p u q
qaartartoq	q a a r t a r t u q
qaffatarneq	q a f f a t a r n i q
qajaq	q a j a q
qajoq	q a j u q
qalaseq	q a l a s ɜ q
qalipaat	q a l i p aː t
qallu	q a ɬ ɬ u
qallunaaq	q a l l u n a a q
qallunaatut	q a l l u n a a t u t
qaneq	q a n ɜ q
qanga	q a ŋ a
qanganisaq	q a ŋ a n i s a q
qangatavoq	q a ŋ a t a v u q
qanik	q a n i k
qanittukkut	q a n i t t u k k u t
qannerpoq	q a n n i r p u q
qanoq	q a n u q
qaqorpoq	q a q u r p u q
qaqorteqqasut	q a q u r t i q q a s u t
qaqortoq	q a q ɔ t t ɔ q
qaqqaq	q a q q a q
qaqugu	q a q u ɡ u
qaqulluk	q a q u l l u k
qaqullunnaq	q a q u l l u n n a q
qarasaasiaq	q a r a s a a s i a q
qarasaq	q a r a s a q
qaratserfik	q a r a t s i r f i k
qarloq	q a ɬ ɬ ɔ q
qarluutitoornaq	q a r l u u t i t u u r n a q
qarluutitoorsuaq	q a r l u u t i t u u r s u a q
qarmaasoq	q a r m a a s u q
qarsaaq	q a r s a a q
qarsoq	q a r s u q
qarsulivik	q a r s u l i v i k
qaserpoq	q a s i r p u q
qasertoq	q a s ɜ t t ɔ q
qasilitsut	q a s i l i t s u t
qasseersiut	q a s s i i r s i u t
qassit	q a s s i t
qasunarpoq	q a s u n a r p u q
qasuvoq	q a s u v u q
qatanngut	q a t a ŋ ŋ u t
qatanngutigaa	q a t a ŋ ŋ u t i ɡ a a
qeeraasaq	q i i r a a s a q
qeqertaq	q i q i r t a q
qeriiak	q i r i i a k
qeriiaq	q i r i i a q
qernerpoq	q i r n i r p u q
qernertoq	q ɜ n n ɜ t t ɔ q
qiiaq	q i i a q
qiiavoq	q i i a v u q
qilerneq	q i l i r n i q
qilernerusaq	q i l i r n i r u s a q
qilerpaa	q i l i r p a a
qillerut	q i l l i r u t
qimaasoq	q i m a a s u q
qimaavoq	q i m a a v u q
qimeriaq	q i m i r i a q
qimmiaraq	q i m m i a r a q
qimmiq	q i m m i q
qimuttuarsuk	q i m u t t u a r s u k
qimuttuarsuusannguaq	q i m u t t u a r s u u s a ŋ ŋ u a q
qimuttuitsut	q i m u t t u i t s u t
qinersineq	q i n i r s i n i q
qingakkoorpaluk	q i ŋ a k k u u r p a l u k
qingakkoorpoq	q i ŋ a k k u u r p u q
qingalissuaq	q i ŋ a l i s s u a q
qingaq	q i ŋ ɑ q
qinngoq	q i ŋ ŋ ɔ q
qinngorpoq	q i ŋ ŋ u r p u q
qinnut	q i n n u t
qipoqqaq	q i p ɔ q q ɑ q
qipoqqarpoq	q i p u q q a r p u q
qipoqqat	q i p ɔ q q a t
qiteq	q i t i q
qitsuk	q i t s u k
qooroq	q u u r u q
qoqassivaa	q u q a s s i v a a
qorsorpaluppoq	q u r s u r p a l u p p u q
qorsuk	q ɔ s s u k
quiasaarneq	q u i a s a a r n i q
quiasaarpoq	q u i a s a a r p u q
quiasaartartoq	q u i a s a a r t a r t u q
quiasaarut	q u i a s a a r u t
quiasuppoq	q u i a s u p p u q
qujaaannarpunga	q u j a a a n n a r p u ŋ a
qujanaq	q u j a n a q
qujanarsuaq	q u j a n a r s u a q
qujanarujussuaq	q u j a n a r u j u s s u a q
qulaaluat	q u l a a l u a t
qulaappaa	q u l a a p p a a
qulingat	q u l i ŋ a t
qulingiluaat	q u l i ŋ i l u aː t
qulingiluat	q u l i ŋ i l u a t
qulisimavoq	q u l i s i m a v u q
qulit	q u l i t
qulleq	q u l l i q
qungaseq	q u ŋ a s i q
qussuk	q u s s u k
quttoraq	q u t t ɔ ʁ a q
raajaleriffik	r a a j a l i r i f f i k
raajaqarfik	r a a j a q a r f i k
raajarniarneq	r a a j a r n i a r n i q
raajarniut	r a a j a r n i u t
raajarpoq	r a a j a r p u q
rabarberi	r a p a r p i r i
republikki	r i p u p l i k k i
russeq	r u s s i q
russisut	r u s s i s u t
ruusa	r u u s a
saamerleq	s a a m i r l i q
saamisut	s a a m i s u t
saaneq	s aː n ɜ q
saaniluk	s aː n i l u k
saarullik	s a a r u l l i k
sajunneq	s a j u n n i q
sajuppoq	s a j u p p u q
sakavoq	s a k a v u q
sakiatsiaariipput	s a k i a t s i a a r i i p p u t
sakissat	s a k i s s a t
sakkortussuseq	s a k k u r t u s s u s i q
sakkortuvoq	s a k k u r t u v u q
saluttoq	s a l u t t u q
samisut	s a m i s u t
sanaaq	s a n a a q
sanasoq	s a n a s u q
sanguvoq	s a ŋ u v u q
saniatigut	s a n i a t i ɡ u t
sanik	s a n i k
sanikoorfik	s a n i k u u r f i k
sanimukaarpoq	s a n i m u k a a r p u q
sanna	s a nː a
sapernarpoq	s a p i r n a r p u q
sapernassuseq	s a p i r n a s s u s i q
saperpaa	s a p i r p a a
saqqummerpoq	s a q q u m m i r p u q
sarsuppoq	s a r s u p p u q
savaaraq	s a v a a r a q
savaasaaraq	s a v a a s a a r a q
savaasaq	s a v a a s a q
savalimmiormioq	s a v a l i m m i u r m i u q
savalimmiormiutut	s a v a l i m m i u r m i u t u t
savik	s a v i k
savimineq	s a v i m i n i q
seeqqoq	s ɜː q q ɔ q
seernaaraq	s i i r n a a r a q
seernaasat	s i i r n a a s a t
sekstanti	s i k s t a n t i
seqineq	s i q i n i q
seqinnerfiusoq	s i q i n n i r f i u s u q
seqinnerpoq	s i q i n n i r p u q
sianeq	s i a n i q
sigguit	s i x x u i t
sigguk	s i x x u k
siggukitsoq	s i ɡ ɡ u k i t s u q
sikkilerpoq	s i k k i l i r p u q
siku	s i k u
sikuijuitsoq	s i k u i j u i t s u q
sikuiuitsoq	s i k u i u i t s u q
sila	s i l a
silaannaq	s i l a a n n a q
silarsuaq	s i l a r s u a q
sineriak	s i n ɜ ʁ iʲ a k
singerneq	s i ŋ ɜ n n ɜ q
sinik	s i n i k
sinilluarna	s i n i l l u a r n a
sininnartoq	s i n i n n a r t u q
sinippoq	s i n i p p u q
siornatigut	s i u r n a t i ɡ u t
sisamaat	s i s a m aː t
sisamat	s i s a m a t
sissaq	s i s s ɑ q
sissarmiutaq	s i s s a r m i u t a q
siulequt	s i u l i q u t
siulittaasoq	s i u l i t t a a s u q
siulittuutigaa	s i u l i t t u u t i ɡ a a
siulleq	s i u ɬ ɬ ɜ q
siullermik	s i u l l i r m i k
siumut	s i u m u t
siut	s i u t
sivikigaa	s i v i k i ɡ a a
sivikippoq	s i v i k i p p u q
sivisuumik	s i v i s u u m i k
sivisuvoq	s i v i s u v u q
sodavandi	s u t a v a n t i
sooq	s u u q
soorunami	s u u r u n a m i
soqutigaa	s u q u t i ɡ a a
soqutiginartoq	s u q u t i ɡ i n a r t u q
soqutiginnippoq	s u q u t i ɡ i n n i p p u q
soqutiginnittoq	s u q u t i ɡ i n n i t t u q
sorleq	s ɔ ɬ ɬ ɜ q
sorluk	s ɔ ɬ ɬ u k
sorsunneq	s u r s u n n i q
sorsuppaa	s u r s u p p a a
sorsuppoq	s u r s u p p u q
spaniamiu	s p a n i a m i u
spaniamiutut	s p a n i a m i u t u t
su	s u
suiaassuseq	s u i a a s s u s i q
suiaqatinoortoq	s u i a q a t i n u u r t u q
suiaqatinoortuuneq	s u i a q a t i n u u r t u u n i q
sukkassuseq	s u k k a s s u s i q
sukkavoq	s u k k a v u q
sukkulaaq	s u k k u l a a q
sukkulaat	s u k k u l a a t
sukuluit	s u k u l u i t
suleqat	s u l i q a t
suleqatigiipput	s u l i q a t i ɡ i i p p u t
suli	s u l i
suliaq	s u l iʲ ɑ q
suliaraa	s u l i a r a a
suliassiissut	s u l i a s s i i s s u t
suliassiivoq	s u l i a s s i i v u q
suliassippaa	s u l i a s s i p p a a
suliffeqarfik	s u l i f f ɜ q ɑ f f i k
suliffeqarfissuaq	s u l i f f i q a r f i s s u a q
suliffik	s u l i f f i k
sulivoq	s u l i v ɔ q
sullivik	s u ɬ ɬ i v i k
suluppaagaq	s u l u p p a a ɡ a q
suna	s u n a
sunaaffa	s u n a a f f a
sungaaqeq	s u ŋ a a q i q
sungaarpoq	s u ŋ a a r p u q
sungaartoq	s u ŋ ɑ t t ɔ q
sungaq	s u ŋ a q
sungiusaasoq	s u ŋ i u s a a s u q
susalik	s u s a l i k
susaq	s u s a q
susaqanngitsoq	s u s a q a ŋ ŋ i t s u q
susoq	s u s u q
suu	s u u
suussuseq	s u u s s u s i q
ta	t a
taa	t a a
taaguut	t a a ɡ u u t
taamaalivoq	t a a m a a l i v u q
taamaallaat	t a a m a a l l a a t
taamaappoq	t a a m a a p p u q
taamaattumik	t a a m a a t t u m i k
taamaattummi	t a a m a a t t u m m i
taaneq	t a a n i q
taanna	t a a n n a
taasaq	t a a s a q
taasineq	t a a s i n i q
taasivoq	t a a s i v u q
taavaa	t a a v a a
tagiut	t a ɡ i u t
takivoq	t a k i v u q
takornariaq	t a k u r n a r i a q
takuaa	t a k u a a
takuneq	t a k u n i q
takusaq	t a k u s a q
takusarpaa	t a k u s a r p a a
takussutissaq	t a k u s s u t i s s a q
taleq	t a l ɜ q
talerpik	t a l i r p i k
tallimaat	t a ɬ ɬ i m aː t
tallimat	t a ɬ ɬ i m a t
tallivaa	t a l l i v a a
tallivoq	t a l l i v u q
talloq	t a ɬ ɬ ɔ q
tamakku	t a m a k k u
tamaq	t a m a q
tamarmik	t a m a r m i k
tarajoq	t a r a j u q
tarajorpaa	t a r a j u r p a a
taratsut	t a r a t s u t
tarnut	t a r n u t
tarraleqisaaq	t a r r a l i q i s a a q
tarrarsuut	t a r r a r s u u t
taseq	t a s i q
tassaarpoq	t a s s a a r p u q
tassaavoq	t a s s a a v u q
tassami	t a s s a m i
tattak	t a t t a k
tattattooq	t a t t a t t ɔː q
taxa	t a x a
teknikeri	t i k n i k i r i
tiguaa	t i ɡ u a a
tigumiarpaa	t i ɡ u m i a r p a a
tii	t i i
tiingavoq	t i i ŋ a v u q
tiitorfik	t i i t u r f i k
tikeqqammeq	t i k i q q a m m i q
tikilluarit	t i k i l l u a r i t
tikippoq	t i k i p p u q
timi	t i m i
timmiakuluk	t i m m i a k u l u k
timmiaq	t i m m i a q
timmik	t i m m i k
timmisartoq	t i m m i s a r t u q
timmisartuusaarneq	t i m m i s a r t u u s a a r n i q
timmivoq	t i m m i v u q
tingajuk	t i ŋ a j u k
tingi	t i ŋ i
tingivoq	t i ŋ i v u q
tinupasoq	t i n u p a s u q
tinuvoq	t i n u v u q
tissappoq	t i s s a p p u q
tissassarpaa	t i s s a s s a r p a a
titartaaneq	t i t a r t a a n i q
tooq	t u u q
toornaarsuk	t u u r n a a r s u k
toorneq	t u u r n i q
toqqarpaa	t u q q a r p a a
toqu	t u q u
toqunartoq	t u q u n a r t u q
toquppaa	t u q u p p a a
toquvoq	t u q u v u q
torloraat	t u r l u r a a t
torlorpaa	t u r l u r p a a
torluk	t u r l u k
transeksueli	t r a n s i k s u i l i
tui	t u i
tukattoq	t u k a t t u q
tulleq	t u ɬ ɬ ɜ q
tullerunnaq	t u l l i r u n n a q
tulliani	t u ɬ ɬ i a n i
tulluuppoq	t u l l u u p p u q
tuloruseq	t u l u r u s i q
tuluk	t u l u k
tumaasaavoq	t u m a a s a a v u q
tungaannarsiut	t u ŋ a a n n a r s i u t
tungu	t u ŋ u
tungujorpoq	t u ŋ u j u r p u q
tungujortoq	t u ŋ u j ɔ t t ɔ q
tungutsorissoq	t u ŋ u t͡s ɔ ʁ i s s ɔ q
tunguusaq	t u ŋ u u s a q
tuniniarpaa	t u n i n i a r p a a
tunngasoq	t u ŋ ŋ a s u q
tunngavoq	t u ŋ ŋ a v u q
tunu	t u n u
tunumioq	t u n u m i u q
tunumiusut	t u n u m i u s u t
tunusuk	t u n u s u k
tupilak	t u p i l a k
tupissut	t u p i s s u t
tusarfik	t u s a r f i k
tusarnaarpoq	t u s a r n a a r p u q
tusarnaartitsineq	t u s a r n a a r t i t s i n i q
tusarpaa	t u s a r p a a
tuttu	t u t t u
tuttunniarfik	t u t t u n n iʲ ɑ f f i k
tuttunniarpoq	t u t t u n n iʲ ɑ p p ɔ q
tuugaalik	t uː ɣ aː l i k
tuugaaq	t u u ɡ a a q
tuullik	t u u l l i k
uaguk	u a ɡ u k
uagut	uʷ a ɣ u t
uanga	u a ŋ a
uffarfik	u f f a r f i k
uffarpaa	u f f a r p a a
uffarpoq	u f f a r p u q
ui	uʷ i
uisorerpoq	u i s u r i r p u q
ujarak	u j a r a k
ukamarpoq	u k a m a r p u q
ukiaq	u k i a q
ukioq	u k i u q
ukioqarpoq	u k i u q a r p u q
ukiortaaq	u k i u r t a a q
uku	u k u
ulapippoq	u l a p i p p ɔ q
ulapisaat	u l a p i s aː t
ullaakkorsiutit	u l l a a k k u r s i u t i t
ulloq	u l l u q
ulloriaq	u l l u r i a q
ullujuersaaq	u l l u j u i r s a a q
ullumi	u l l u m i
ulorianartoq	u l u r i a n a r t u q
uluak	u l u a k
umiaq	u m i a q
umiarsuaaraq	u m i a r s u a a r a q
umiarsualivik	u m i a r s u a l i v i k
umiarsuaq	u m i a r s u a q
umiartortoq	u m i a r t u r t u q
umik	u m i k
una	u n a
ungaloq	u ŋ a l u q
uniaaluk	u n i a a l u k
uniorpaa	u n i u r p a a
universiteti	u n i v i r s i t i t i
unnuaq	u n n uʷ ɑ q
unnuivoq	u n n uʷ i v ɔ q
unnuk	u n n u k
unnukkorsiutit	u n n u k k u r s i u t i t
uppik	u p p i k
uppippoq	u p p i p p u q
urdutut	u r t u t u t
usuk	u s u k
uterpoq	u t i r p u q
utertippaa	u t i r t i p p a a
utimut	u t i m u t
utsuk	u t s u k
uugaq	u u ɡ a q
uuma	u u m a
uumasoq	u u m a s u q
uumassuseq	u u m a s s u s i q
uumassusilik	u u m a s s u s i l i k
uumavoq	u u m a v u q
uuminaq	u u m i n a q
uummat	u u m m a t
uunarpoq	u u n a r p u q
uunnappaa	u u n n a p p a a
vaataparsi	v a a t a p a r s i
vuggestue	v u ɡ ɡ i s t u i
ĸ	q
