'tamo'	t̪ a m o
artrodesis	a ɾ t̪ ɾ o ð̞ e s i s
artrodiro	a ɾ t̪ ɾ o ð̞ i ɾ o
artropatía	a ɾ t̪ ɾ o p a t̪ i a
artroscopia	a ɾ t̪ ɾ o s k o p j a
artroscopias	a ɾ t̪ ɾ o s k o p j a s
artroscopio	a ɾ t̪ ɾ o s k o p j o
artroscopios	a ɾ t̪ ɾ o s k o p j o s
artroscopía	a ɾ t̪ ɾ o s k o p i a
artroscopías	a ɾ t̪ ɾ o s k o p i a s
artroscópica	a ɾ t̪ ɾ o s k o p i k a
artroscópicas	a ɾ t̪ ɾ o s k o p i k a s
artroscópico	a ɾ t̪ ɾ o s k o p i k o
artroscópicos	a ɾ t̪ ɾ o s k o p i k o s
artrosis	a ɾ t̪ ɾ o s i s
artrítica	a ɾ t̪ ɾ i t̪ i k a
artríticas	a ɾ t̪ ɾ i t̪ i k a s
artrítico	a ɾ t̪ ɾ i t̪ i k o
artríticos	a ɾ t̪ ɾ i t̪ i k o s
artrópodo	a ɾ t̪ ɾ o p o ð̞ o
artrósico	a ɾ t̪ ɾ o s i k o
artura	a ɾ t̪ u ɾ a
arturas	a ɾ t̪ u ɾ a s
arturo	a ɾ t̪ u ɾ o
arturos	a ɾ t̪ u ɾ o s
artículo	a ɾ t̪ i k u l o
artífice	a ɾ t̪ i f i s e
artística	a ɾ t̪ i s t̪ i k a
artísticamente	a ɾ t̪ i s t̪ i k a m ẽ n̪ t̪ e
artísticas	a ɾ t̪ i s t̪ i k a s
artístico	a ɾ t̪ i s t̪ i k o
artísticos	a ɾ t̪ i s t̪ i k o s
artúquida	a ɾ t̪ u k i ð̞ a
arubana	a ɾ u β̞ a n a
arubano	a ɾ u β̞ a n o
arubeña	a ɾ u β̞ e ɲ a
arubeño	a ɾ u β̞ e ɲ o
aruñada	a ɾ u ɲ a ð̞ a
aruñadas	a ɾ u ɲ a ð̞ a s
aruñado	a ɾ u ɲ a ð̞ o
aruñados	a ɾ u ɲ a ð̞ o s
aruñar	a ɾ u ɲ a ɾ
arveja	a ɾ β̞ e x a
arvejo	a ɾ β̞ e x o
arvejón	a ɾ β̞ e x õ n
arvense	a ɾ β̞ ẽ n s e
arverja	a ɾ β̞ e ɾ x a
arzobispado	a ɾ s o β̞ i s p a ð̞ o
arzobispo	a ɾ s o β̞ i s p o
arzón	a ɾ s õ n
arábigo	a ɾ a β̞ i ɣ̞ o
aráceo	a ɾ a s e o
arán	a ɾ ã n
arándano	a ɾ ã n̪ d̪ a n o
arás	a ɾ a s
aréola	a ɾ e o l a
arévaca	a ɾ e β̞ a k a
arévaco	a ɾ e β̞ a k o
arúgula	a ɾ u ɣ̞ u l a
arúspice	a ɾ u s p i s e
as	a s
asa	a s a
asada	a s a ð̞ a
asadacho	a s a ð̞ a t͡ʃ o
asadas	a s a ð̞ a s
asadera	a s a ð̞ e ɾ a
asaderas	a s a ð̞ e ɾ a s
asadero	a s a ð̞ e ɾ o
asaderos	a s a ð̞ e ɾ o s
asadito	a s a ð̞ i t̪ o
asado	a s a ð̞ o
asador	a s a ð̞ o ɾ
asados	a s a ð̞ o s
asadura	a s a ð̞ u ɾ a
asaeteada	a s a e t̪ e a ð̞ a
asaeteadas	a s a e t̪ e a ð̞ a s
asaeteado	a s a e t̪ e a ð̞ o
asaeteador	a s a e t̪ e a ð̞ o ɾ
asaeteados	a s a e t̪ e a ð̞ o s
asaetear	a s a e t̪ e a ɾ
asalariado	a s a l a ɾ j a ð̞ o
asalariar	a s a l a ɾ j a ɾ
asaltabancos	a s a l̪ t̪ a β̞ ã ŋ k o s
asaltacunas	a s a l̪ t̪ a k u n a s
asaltada	a s a l̪ t̪ a ð̞ a
asaltadas	a s a l̪ t̪ a ð̞ a s
asaltado	a s a l̪ t̪ a ð̞ o
asaltador	a s a l̪ t̪ a ð̞ o ɾ
asaltados	a s a l̪ t̪ a ð̞ o s
asaltante	a s a l̪ t̪ ã n̪ t̪ e
asaltar	a s a l̪ t̪ a ɾ
asalto	a s a l̪ t̪ o
asamblea	a s ã m b l e a
asambleario	a s ã m b l e a ɾ j o
asamblearismo	a s ã m b l e a ɾ i z m o
asamesa	a s a m e s a
asamesas	a s a m e s a s
asameses	a s a m e s e s
asamos	a s a m o s
asamés	a s a m e s
asana	a s a n a
asando	a s ã n̪ d̪ o
asante	a s ã n̪ t̪ e
asar	a s a ɾ
asara	a s a ɾ a
asaras	a s a ɾ a s
asareis	a s a ɾ e i̯ s
asaremos	a s a ɾ e m o s
asares	a s a ɾ e s
asarona	a s a ɾ o n a
asará	a s a ɾ a
asarás	a s a ɾ a s
asaríamos	a s a ɾ i a m o s
asas	a s a s
asaste	a s a s t̪ e
asaz	a s a s
asaí	a s a i
asbesto	a z β̞ e s t̪ o
asbestosis	a z β̞ e s t̪ o s i s
asca	a s k a
ascacoyote	a s k a k o ʝ o t̪ e
ascania	a s k a n j a
ascendencia	a s ẽ n̪ d̪ ẽ n s j a
ascendente	a s ẽ n̪ d̪ ẽ n̪ t̪ e
ascendentemente	a s ẽ n̪ d̪ ẽ n̪ t̪ e m ẽ n̪ t̪ e
ascender	a s ẽ n̪ d̪ e ɾ
ascendida	a s ẽ n̪ d̪ i ð̞ a
ascendidas	a s ẽ n̪ d̪ i ð̞ a s
ascendido	a s ẽ n̪ d̪ i ð̞ o
ascendidos	a s ẽ n̪ d̪ i ð̞ o s
ascendiente	a s ẽ n̪ d̪ j ẽ n̪ t̪ e
ascensional	a s ẽ n s j o n a l
ascensión	a s ẽ n s j õ n
ascenso	a s ẽ n s o
ascensor	a s ẽ n s o ɾ
asceta	a s e t̪ a
ascetismo	a s e t̪ i z m o
ascidia	a s i ð̞ j a
asciendo	a s j ẽ n̪ d̪ o
ascitis	a s i t̪ i s
asclepina	a s k l e p i n a
asco	a s k o
ascoma	a s k o m a
asconder	a s k õ n̪ d̪ e ɾ
ascondir	a s k õ n̪ d̪ i ɾ
ascos	a s k o s
ascua	a s k w a
ascuas	a s k w a s
ascánida	a s k a n i ð̞ a
ascético	a s e t̪ i k o
ascítico	a s i t̪ i k o
asdingos	a z ð̞ ĩ ŋ ɡ o s
ase	a s e
aseada	a s e a ð̞ a
aseadas	a s e a ð̞ a s
aseado	a s e a ð̞ o
aseados	a s e a ð̞ o s
asean	a s e ã n
asear	a s e a ɾ
asechada	a s e t͡ʃ a ð̞ a
asechadas	a s e t͡ʃ a ð̞ a s
asechado	a s e t͡ʃ a ð̞ o
asechados	a s e t͡ʃ a ð̞ o s
asechanza	a s e t͡ʃ ã n s a
asechar	a s e t͡ʃ a ɾ
asediada	a s e ð̞ j a ð̞ a
asediadas	a s e ð̞ j a ð̞ a s
asediado	a s e ð̞ j a ð̞ o
asediador	a s e ð̞ j a ð̞ o ɾ
asediados	a s e ð̞ j a ð̞ o s
asediante	a s e ð̞ j ã n̪ t̪ e
asediar	a s e ð̞ j a ɾ
asedio	a s e ð̞ j o
asegurable	a s e ɣ̞ u ɾ a β̞ l e
asegurables	a s e ɣ̞ u ɾ a β̞ l e s
aseguración	a s e ɣ̞ u ɾ a s j õ n
asegurada	a s e ɣ̞ u ɾ a ð̞ a
aseguradas	a s e ɣ̞ u ɾ a ð̞ a s
asegurado	a s e ɣ̞ u ɾ a ð̞ o
asegurador	a s e ɣ̞ u ɾ a ð̞ o ɾ
aseguradora	a s e ɣ̞ u ɾ a ð̞ o ɾ a
asegurados	a s e ɣ̞ u ɾ a ð̞ o s
aseguramiento	a s e ɣ̞ u ɾ a m j ẽ n̪ t̪ o
aseguranza	a s e ɣ̞ u ɾ ã n s a
asegurar	a s e ɣ̞ u ɾ a ɾ
aseguró	a s e ɣ̞ u ɾ o
asegún	a s e ɣ̞ ũ n
aseidad	a s e i̯ ð̞ a ð̞
asemejada	a s e m e x a ð̞ a
asemejadas	a s e m e x a ð̞ a s
asemejado	a s e m e x a ð̞ o
asemejados	a s e m e x a ð̞ o s
asemejar	a s e m e x a ɾ
asemejo	a s e m e x o
asemos	a s e m o s
asen	a s ẽ n
asendereada	a s ẽ n̪ d̪ e ɾ e a ð̞ a
asendereadas	a s ẽ n̪ d̪ e ɾ e a ð̞ a s
asendereado	a s ẽ n̪ d̪ e ɾ e a ð̞ o
asendereados	a s ẽ n̪ d̪ e ɾ e a ð̞ o s
asenderear	a s ẽ n̪ d̪ e ɾ e a ɾ
asenso	a s ẽ n s o
asentada	a s ẽ n̪ t̪ a ð̞ a
asentadas	a s ẽ n̪ t̪ a ð̞ a s
asentaderas	a s ẽ n̪ t̪ a ð̞ e ɾ a s
asentadero	a s ẽ n̪ t̪ a ð̞ e ɾ o
asentado	a s ẽ n̪ t̪ a ð̞ o
asentados	a s ẽ n̪ t̪ a ð̞ o s
asentamiento	a s ẽ n̪ t̪ a m j ẽ n̪ t̪ o
asentar	a s ẽ n̪ t̪ a ɾ
asentida	a s ẽ n̪ t̪ i ð̞ a
asentidas	a s ẽ n̪ t̪ i ð̞ a s
asentido	a s ẽ n̪ t̪ i ð̞ o
asentidos	a s ẽ n̪ t̪ i ð̞ o s
asentimiento	a s ẽ n̪ t̪ i m j ẽ n̪ t̪ o
asentir	a s ẽ n̪ t̪ i ɾ
aseo	a s e o
asequibilidad	a s e k i β̞ i l i ð̞ a ð̞
asequible	a s e k i β̞ l e
aser	a s e ɾ
aserción	a s e ɾ s j õ n
asere	a s e ɾ e
aserrada	a s e r a ð̞ a
aserradas	a s e r a ð̞ a s
aserradero	a s e r a ð̞ e ɾ o
aserrado	a s e r a ð̞ o
aserrador	a s e r a ð̞ o ɾ
aserradora	a s e r a ð̞ o ɾ a
aserrados	a s e r a ð̞ o s
aserrar	a s e r a ɾ
aserruchado	a s e r u t͡ʃ a ð̞ o
aserrín	a s e r ĩ n
aserrío	a s e r i o
asertivo	a s e ɾ t̪ i β̞ o
aserto	a s e ɾ t̪ o
ases	a s e s
asesina	a s e s i n a
asesinado	a s e s i n a ð̞ o
asesinar	a s e s i n a ɾ
asesinas	a s e s i n a s
asesinato	a s e s i n a t̪ o
asesino	a s e s i n o
asesinos	a s e s i n o s
asesor	a s e s o ɾ
asesora	a s e s o ɾ a
asesorada	a s e s o ɾ a ð̞ a
asesoradas	a s e s o ɾ a ð̞ a s
asesorado	a s e s o ɾ a ð̞ o
asesorados	a s e s o ɾ a ð̞ o s
asesoramiento	a s e s o ɾ a m j ẽ n̪ t̪ o
asesorar	a s e s o ɾ a ɾ
asesoras	a s e s o ɾ a s
asesoría	a s e s o ɾ i a
asestada	a s e s t̪ a ð̞ a
asestadas	a s e s t̪ a ð̞ a s
asestado	a s e s t̪ a ð̞ o
asestados	a s e s t̪ a ð̞ o s
asestar	a s e s t̪ a ɾ
aseveración	a s e β̞ e ɾ a s j õ n
aseverada	a s e β̞ e ɾ a ð̞ a
aseveradas	a s e β̞ e ɾ a ð̞ a s
aseverado	a s e β̞ e ɾ a ð̞ o
aseverados	a s e β̞ e ɾ a ð̞ o s
aseverar	a s e β̞ e ɾ a ɾ
asexual	a s e ɣ̞ s w a l
asexuales	a s e ɣ̞ s w a l e s
asexualidad	a s e ɣ̞ s w a l i ð̞ a ð̞
asexualmente	a s e ɣ̞ s w a l m ẽ n̪ t̪ e
aseáramos	a s e a ɾ a m o s
asfaltada	a s f a l̪ t̪ a ð̞ a
asfaltadas	a s f a l̪ t̪ a ð̞ a s
asfaltado	a s f a l̪ t̪ a ð̞ o
asfaltados	a s f a l̪ t̪ a ð̞ o s
asfaltar	a s f a l̪ t̪ a ɾ
asfalto	a s f a l̪ t̪ o
asfixia	a s f i ɣ̞ s j a
asfixiada	a s f i ɣ̞ s j a ð̞ a
asfixiadas	a s f i ɣ̞ s j a ð̞ a s
asfixiado	a s f i ɣ̞ s j a ð̞ o
asfixiados	a s f i ɣ̞ s j a ð̞ o s
asfixiando	a s f i ɣ̞ s j ã n̪ d̪ o
asfixiante	a s f i ɣ̞ s j ã n̪ t̪ e
asfixiar	a s f i ɣ̞ s j a ɾ
asfáltico	a s f a l̪ t̪ i k o
asférico	a s f e ɾ i k o
asfíctico	a s f i ɣ̞ t̪ i k o
asfódelo	a s f o ð̞ e l o
asgo	a z ɣ̞ o
ashkenazí	a ʃ k e n a s i
ashwagandha	a ʃ w a ɣ̞ ã n̪ d̪ a
asháninka	a ʃ a n ĩ ŋ k a
asiana	a s j a n a
asiano	a s j a n o
asida	a s i ð̞ a
asidas	a s i ð̞ a s
asidero	a s i ð̞ e ɾ o
asido	a s i ð̞ o
asidos	a s i ð̞ o s
asiduidad	a s i ð̞ w i ð̞ a ð̞
asiduo	a s i ð̞ w o
asiento	a s j ẽ n̪ t̪ o
asientos	a s j ẽ n̪ t̪ o s
asignación	a s i ɣ̞ n a s j õ n
asignada	a s i ɣ̞ n a ð̞ a
asignadas	a s i ɣ̞ n a ð̞ a s
asignado	a s i ɣ̞ n a ð̞ o
asignados	a s i ɣ̞ n a ð̞ o s
asignar	a s i ɣ̞ n a ɾ
asignatario	a s i ɣ̞ n a t̪ a ɾ j o
asignativo	a s i ɣ̞ n a t̪ i β̞ o
asignatura	a s i ɣ̞ n a t̪ u ɾ a
asigún	a s i ɣ̞ ũ n
asilada	a s i l a ð̞ a
asiladas	a s i l a ð̞ a s
asilado	a s i l a ð̞ o
asilados	a s i l a ð̞ o s
asilar	a s i l a ɾ
asilen	a s i l ẽ n
asilla	a s i ʝ a
asillas	a s i ʝ a s
asilo	a s i l o
asilvestrada	a s i l β̞ e s t̪ ɾ a ð̞ a
asilvestradas	a s i l β̞ e s t̪ ɾ a ð̞ a s
asilvestrado	a s i l β̞ e s t̪ ɾ a ð̞ o
asilvestrados	a s i l β̞ e s t̪ ɾ a ð̞ o s
asilvestrar	a s i l β̞ e s t̪ ɾ a ɾ
asimetría	a s i m e t̪ ɾ i a
asimiento	a s i m j ẽ n̪ t̪ o
asimila	a s i m i l a
asimilable	a s i m i l a β̞ l e
asimilacionista	a s i m i l a s j o n i s t̪ a
asimilación	a s i m i l a s j õ n
asimilada	a s i m i l a ð̞ a
asimiladas	a s i m i l a ð̞ a s
asimilado	a s i m i l a ð̞ o
asimilados	a s i m i l a ð̞ o s
asimilar	a s i m i l a ɾ
asimismo	a s i m i z m o
asimétricamente	a s i m e t̪ ɾ i k a m ẽ n̪ t̪ e
asimétrico	a s i m e t̪ ɾ i k o
asina	a s i n a
asincronismo	a s ĩ ŋ k ɾ o n i z m o
asincronía	a s ĩ ŋ k ɾ o n i a
asinina	a s i n i n a
asininas	a s i n i n a s
asinino	a s i n i n o
asininos	a s i n i n o s
asintomáticamente	a s ĩ n̪ t̪ o m a t̪ i k a m ẽ n̪ t̪ e
asintomático	a s ĩ n̪ t̪ o m a t̪ i k o
asintóticamente	a s ĩ n̪ t̪ o t̪ i k a m ẽ n̪ t̪ e
asintótico	a s ĩ n̪ t̪ o t̪ i k o
asir	a s i ɾ
asiria	a s i ɾ j a
asiriología	a s i ɾ j o l o x i a
asiriólogo	a s i ɾ j o l o ɣ̞ o
asistas	a s i s t̪ a s
asistencia	a s i s t̪ ẽ n s j a
asistenta	a s i s t̪ ẽ n̪ t̪ a
asistente	a s i s t̪ ẽ n̪ t̪ e
asistida	a s i s t̪ i ð̞ a
asistidas	a s i s t̪ i ð̞ a s
asistido	a s i s t̪ i ð̞ o
asistidor	a s i s t̪ i ð̞ o ɾ
asistidora	a s i s t̪ i ð̞ o ɾ a
asistidos	a s i s t̪ i ð̞ o s
asistir	a s i s t̪ i ɾ
asistolia	a s i s t̪ o l j a
asiática	a s j a t̪ i k a
asiático	a s j a t̪ i k o
asma	a z m a
asmoneo	a z m o n e o
asmática	a z m a t̪ i k a
asmático	a z m a t̪ i k o
asna	a z n a
asnal	a z n a l
asnejona	a z n e x o n a
asnejón	a z n e x õ n
asnico	a z n i k o
asnicos	a z n i k o s
asno	a z n o
asnos	a z n o s
aso	a s o
asociaciones	a s o s j a s j o n e s
asociacionismo	a s o s j a s j o n i z m o
asociación	a s o s j a s j õ n
asociada	a s o s j a ð̞ a
asociadas	a s o s j a ð̞ a s
asociado	a s o s j a ð̞ o
asociados	a s o s j a ð̞ o s
asocial	a s o s j a l
asociar	a s o s j a ɾ
asociativa	a s o s j a t̪ i β̞ a
asociativas	a s o s j a t̪ i β̞ a s
asociativo	a s o s j a t̪ i β̞ o
asociativos	a s o s j a t̪ i β̞ o s
asocie	a s o s j e
asocio	a s o s j o
asocié	a s o s j e
asoció	a s o s j o
asolada	a s o l a ð̞ a
asoladas	a s o l a ð̞ a s
asolado	a s o l a ð̞ o
asolador	a s o l a ð̞ o ɾ
asolados	a s o l a ð̞ o s
asolamiento	a s o l a m j ẽ n̪ t̪ o
asolapada	a s o l a p a ð̞ a
asolapado	a s o l a p a ð̞ o
asolapar	a s o l a p a ɾ
asolar	a s o l a ɾ
asoleada	a s o l e a ð̞ a
asoleadas	a s o l e a ð̞ a s
asoleado	a s o l e a ð̞ o
asoleados	a s o l e a ð̞ o s
asolear	a s o l e a ɾ
asomada	a s o m a ð̞ a
asomadas	a s o m a ð̞ a s
asomado	a s o m a ð̞ o
asomados	a s o m a ð̞ o s
asomar	a s o m a ɾ
asomarse	a s o m a ɾ s e
asombrada	a s õ m b ɾ a ð̞ a
asombradas	a s õ m b ɾ a ð̞ a s
asombrado	a s õ m b ɾ a ð̞ o
asombrados	a s õ m b ɾ a ð̞ o s
asombrante	a s õ m b ɾ ã n̪ t̪ e
asombrar	a s õ m b ɾ a ɾ
asombro	a s õ m b ɾ o
asombrosamente	a s õ m b ɾ o s a m ẽ n̪ t̪ e
asombroso	a s õ m b ɾ o s o
asomo	a s o m o
asonaba	a s o n a β̞ a
asonaban	a s o n a β̞ ã n
asonabas	a s o n a β̞ a s
asonada	a s o n a ð̞ a
asonado	a s o n a ð̞ o
asonados	a s o n a ð̞ o s
asonamos	a s o n a m o s
asonando	a s o n ã n̪ d̪ o
asonantada	a s o n ã n̪ t̪ a ð̞ a
asonantadas	a s o n ã n̪ t̪ a ð̞ a s
asonantado	a s o n ã n̪ t̪ a ð̞ o
asonantados	a s o n ã n̪ t̪ a ð̞ o s
asonantar	a s o n ã n̪ t̪ a ɾ
asonante	a s o n ã n̪ t̪ e
asonar	a s o n a ɾ
asonara	a s o n a ɾ a
asonarais	a s o n a ɾ a i̯ s
asonaran	a s o n a ɾ ã n
asonaras	a s o n a ɾ a s
asonare	a s o n a ɾ e
asonareis	a s o n a ɾ e i̯ s
asonaremos	a s o n a ɾ e m o s
asonaren	a s o n a ɾ ẽ n
asonares	a s o n a ɾ e s
asonará	a s o n a ɾ a
asonarán	a s o n a ɾ ã n
asonarás	a s o n a ɾ a s
asonaré	a s o n a ɾ e
asonaréis	a s o n a ɾ e i̯ s
asonaría	a s o n a ɾ i a
asonaríamos	a s o n a ɾ i a m o s
asonarían	a s o n a ɾ i ã n
asonarías	a s o n a ɾ i a s
asonase	a s o n a s e
asonaseis	a s o n a s e i̯ s
asonasen	a s o n a s ẽ n
asonases	a s o n a s e s
asonaste	a s o n a s t̪ e
asonasteis	a s o n a s t̪ e i̯ s
asonemos	a s o n e m o s
asoná	a s o n a
asonábamos	a s o n a β̞ a m o s
asonáis	a s o n a i̯ s
asonáramos	a s o n a ɾ a m o s
asonáremos	a s o n a ɾ e m o s
asonás	a s o n a s
asonásemos	a s o n a s e m o s
asoné	a s o n e
asonéis	a s o n e i̯ s
asonó	a s o n o
asordada	a s o ɾ ð̞ a ð̞ a
asordadas	a s o ɾ ð̞ a ð̞ a s
asordado	a s o ɾ ð̞ a ð̞ o
asordados	a s o ɾ ð̞ a ð̞ o s
asordar	a s o ɾ ð̞ a ɾ
aspa	a s p a
aspada	a s p a ð̞ a
aspadas	a s p a ð̞ a s
aspado	a s p a ð̞ o
aspados	a s p a ð̞ o s
aspar	a s p a ɾ
asparagácea	a s p a ɾ a ɣ̞ a s e a
aspartame	a s p a ɾ t̪ a m e
aspartamo	a s p a ɾ t̪ a m o
aspaventada	a s p a β̞ ẽ n̪ t̪ a ð̞ a
aspaventadas	a s p a β̞ ẽ n̪ t̪ a ð̞ a s
aspaventado	a s p a β̞ ẽ n̪ t̪ a ð̞ o
aspaventados	a s p a β̞ ẽ n̪ t̪ a ð̞ o s
aspaventar	a s p a β̞ ẽ n̪ t̪ a ɾ
aspaventoso	a s p a β̞ ẽ n̪ t̪ o s o
aspaviento	a s p a β̞ j ẽ n̪ t̪ o
aspectada	a s p e ɣ̞ t̪ a ð̞ a
aspectadas	a s p e ɣ̞ t̪ a ð̞ a s
aspectado	a s p e ɣ̞ t̪ a ð̞ o
aspectados	a s p e ɣ̞ t̪ a ð̞ o s
aspecto	a s p e ɣ̞ t̪ o
aspectos	a s p e ɣ̞ t̪ o s
aspectual	a s p e ɣ̞ t̪ w a l
aspereza	a s p e ɾ e s a
aspergilo	a s p e ɾ x i l o
aspergiloma	a s p e ɾ x i l o m a
asperidad	a s p e ɾ i ð̞ a ð̞
asperilla	a s p e ɾ i ʝ a
asperjada	a s p e ɾ x a ð̞ a
asperjadas	a s p e ɾ x a ð̞ a s
asperjado	a s p e ɾ x a ð̞ o
asperjados	a s p e ɾ x a ð̞ o s
asperjar	a s p e ɾ x a ɾ
asperones	a s p e ɾ o n e s
aspersor	a s p e ɾ s o ɾ
aspersorio	a s p e ɾ s o ɾ j o
aspersorios	a s p e ɾ s o ɾ j o s
asperón	a s p e ɾ õ n
aspi	a s p i
aspillera	a s p i ʝ e ɾ a
aspiración	a s p i ɾ a s j õ n
aspirada	a s p i ɾ a ð̞ a
aspiradas	a s p i ɾ a ð̞ a s
aspirado	a s p i ɾ a ð̞ o
aspiradora	a s p i ɾ a ð̞ o ɾ a
aspirados	a s p i ɾ a ð̞ o s
aspirante	a s p i ɾ ã n̪ t̪ e
aspirar	a s p i ɾ a ɾ
aspiraste	a s p i ɾ a s t̪ e
aspirina	a s p i ɾ i n a
aspro	a s p ɾ o
aspérrimo	a s p e r i m o
asqueada	a s k e a ð̞ a
asqueadas	a s k e a ð̞ a s
asqueado	a s k e a ð̞ o
asqueados	a s k e a ð̞ o s
asqueante	a s k e ã n̪ t̪ e
asquear	a s k e a ɾ
asquel	a s k e l
asquelín	a s k e l ĩ n
asquenazí	a s k e n a s i
asquerosamente	a s k e ɾ o s a m ẽ n̪ t̪ e
asquerosete	a s k e ɾ o s e t̪ e
asquerosidad	a s k e ɾ o s i ð̞ a ð̞
asquerosito	a s k e ɾ o s i t̪ o
asqueroso	a s k e ɾ o s o
asquienta	a s k j ẽ n̪ t̪ a
asquientas	a s k j ẽ n̪ t̪ a s
asquiento	a s k j ẽ n̪ t̪ o
asquientos	a s k j ẽ n̪ t̪ o s
asquil	a s k i l
asquilín	a s k i l ĩ n
asquito	a s k i t̪ o
asta	a s t̪ a
astado	a s t̪ a ð̞ o
astato	a s t̪ a t̪ o
astaxantina	a s t̪ a ɣ̞ s ã n̪ t̪ i n a
astenia	a s t̪ e n j a
astenosfera	a s t̪ e n o s f e ɾ a
astenósfera	a s t̪ e n o s f e ɾ a
asterisco	a s t̪ e ɾ i s k o
asterismo	a s t̪ e ɾ i z m o
astero	a s t̪ e ɾ o
asteroide	a s t̪ e ɾ o i̯ ð̞ e
asteroideo	a s t̪ e ɾ o i̯ ð̞ e o
asterácea	a s t̪ e ɾ a s e a
astifino	a s t̪ i f i n o
astigmatismo	a s t̪ i ɣ̞ m a t̪ i z m o
astil	a s t̪ i l
astilla	a s t̪ i ʝ a
astillada	a s t̪ i ʝ a ð̞ a
astilladas	a s t̪ i ʝ a ð̞ a s
astillado	a s t̪ i ʝ a ð̞ o
astilladora	a s t̪ i ʝ a ð̞ o ɾ a
astillados	a s t̪ i ʝ a ð̞ o s
astillar	a s t̪ i ʝ a ɾ
astillas	a s t̪ i ʝ a s
astillero	a s t̪ i ʝ e ɾ o
astilloso	a s t̪ i ʝ o s o
astorgano	a s t̪ o ɾ ɣ̞ a n o
astracanada	a s t̪ ɾ a k a n a ð̞ a
astracán	a s t̪ ɾ a k ã n
astrafobia	a s t̪ ɾ a f o β̞ j a
astragalina	a s t̪ ɾ a ɣ̞ a l i n a
astragalinas	a s t̪ ɾ a ɣ̞ a l i n a s
astragalino	a s t̪ ɾ a ɣ̞ a l i n o
astragalinos	a s t̪ ɾ a ɣ̞ a l i n o s
astragalocalcáneo	a s t̪ ɾ a ɣ̞ a l o k a l k a n e o
astral	a s t̪ ɾ a l
astralmente	a s t̪ ɾ a l m ẽ n̪ t̪ e
astreñida	a s t̪ ɾ e ɲ i ð̞ a
astreñidas	a s t̪ ɾ e ɲ i ð̞ a s
astreñido	a s t̪ ɾ e ɲ i ð̞ o
astreñidos	a s t̪ ɾ e ɲ i ð̞ o s
astreñir	a s t̪ ɾ e ɲ i ɾ
astringe	a s t̪ ɾ ĩ ŋ x e
astringencia	a s t̪ ɾ ĩ ŋ x ẽ n s j a
astringente	a s t̪ ɾ ĩ ŋ x ẽ n̪ t̪ e
astringentes	a s t̪ ɾ ĩ ŋ x ẽ n̪ t̪ e s
astringida	a s t̪ ɾ ĩ ŋ x i ð̞ a
astringidas	a s t̪ ɾ ĩ ŋ x i ð̞ a s
astringido	a s t̪ ɾ ĩ ŋ x i ð̞ o
astringidos	a s t̪ ɾ ĩ ŋ x i ð̞ o s
astringir	a s t̪ ɾ ĩ ŋ x i ɾ
astriñir	a s t̪ ɾ i ɲ i ɾ
astro	a s t̪ ɾ o
astrobiología	a s t̪ ɾ o β̞ j o l o x i a
astroblema	a s t̪ ɾ o β̞ l e m a
astrocito	a s t̪ ɾ o s i t̪ o
astrocitoma	a s t̪ ɾ o s i t̪ o m a
astrocitos	a s t̪ ɾ o s i t̪ o s
astrofísica	a s t̪ ɾ o f i s i k a
astrofísicas	a s t̪ ɾ o f i s i k a s
astrofísico	a s t̪ ɾ o f i s i k o
astrofísicos	a s t̪ ɾ o f i s i k o s
astrogación	a s t̪ ɾ o ɣ̞ a s j õ n
astroide	a s t̪ ɾ o i̯ ð̞ e
astrolabio	a s t̪ ɾ o l a β̞ j o
astrología	a s t̪ ɾ o l o x i a
astrológica	a s t̪ ɾ o l o x i k a
astrológicas	a s t̪ ɾ o l o x i k a s
astrológico	a s t̪ ɾ o l o x i k o
astrológicos	a s t̪ ɾ o l o x i k o s
astrométrico	a s t̪ ɾ o m e t̪ ɾ i k o
astromóvil	a s t̪ ɾ o m o β̞ i l
astronauta	a s t̪ ɾ o n a u̯ t̪ a
astronautas	a s t̪ ɾ o n a u̯ t̪ a s
astronave	a s t̪ ɾ o n a β̞ e
astronaves	a s t̪ ɾ o n a β̞ e s
astronomía	a s t̪ ɾ o n o m i a
astronáutica	a s t̪ ɾ o n a u̯ t̪ i k a
astronáuticas	a s t̪ ɾ o n a u̯ t̪ i k a s
astronáutico	a s t̪ ɾ o n a u̯ t̪ i k o
astronáuticos	a s t̪ ɾ o n a u̯ t̪ i k o s
astronómica	a s t̪ ɾ o n o m i k a
astronómicas	a s t̪ ɾ o n o m i k a s
astronómico	a s t̪ ɾ o n o m i k o
astronómicos	a s t̪ ɾ o n o m i k o s
astropartícula	a s t̪ ɾ o p a ɾ t̪ i k u l a
astroquímica	a s t̪ ɾ o k i m i k a
astroquímicas	a s t̪ ɾ o k i m i k a s
astroquímico	a s t̪ ɾ o k i m i k o
astroquímicos	a s t̪ ɾ o k i m i k o s
astros	a s t̪ ɾ o s
astrosa	a s t̪ ɾ o s a
astrosas	a s t̪ ɾ o s a s
astroso	a s t̪ ɾ o s o
astrosos	a s t̪ ɾ o s o s
astroturismo	a s t̪ ɾ o t̪ u ɾ i z m o
astrágalo	a s t̪ ɾ a ɣ̞ a l o
astrálago	a s t̪ ɾ a l a ɣ̞ o
astrífero	a s t̪ ɾ i f e ɾ o
