ഁ	◌̃
എക്കിൾ	e k k i ɭ
എക്സ്പീരിയൻസ്	e k s p iː ɾ i j ɐ n s ɨ̆
എങ്കിലും	e ŋ k i l u m
എങ്ങനെ	e ŋ ŋ ɐ n e
എങ്ങും	e ŋː u m
എങ്ങ്	e ŋ ŋ ə̆
എഞ്ജ	e ɲ d͡ʒ ɐ
എടാ	e ɖ aː
എടീ	e ɖ iː
എടുക്കുക	e ɖ u k k u ɡ ɐ
എടോ	e ɖ oː
എട്ടാം	e ʈ ʈ aː m
എട്ടുകാലി	e ʈ ʈ u ɡ aː l i
എട്ട്	e ʈ ʈ ə̆
എഡിറ്റിങ്	e ɖ i t i ŋ ɨ̆
എണ്ട	e ɳ ɖ ɐ
എണ്ണ	e ɳ ɳ ɐ
എണ്ണം	e ɳː ä m
എണ്ണക്കുരു	e ɳ ɳ ɐ k k u ɾ u
എണ്ണത്തിമിംഗലം	e ɳ ɳ ɐ t̪ t̪ i m i ŋ ɡ ɐ l ɐ m
എണ്ണമറ്റ	e ɳː ä m ä t ä
എണ്ണിനി	e ɳ ɳ i n i
എണ്ണുക	e ɳ ɳ u ɡ ɐ
എണ്ണൂറാം	e ɳ ɳ uː r aː m
എണ്ണൂറ്	e ɳ ɳ uː r ə̆
എണ്ണ്	e ɳ ɳ ə̆
എതിരാളി	e d̪ i ɾ aː ɭ i
എതിരെ	e d̪ i ɾ e
എതിർലിംഗം	e d̪ i r l i ŋ ɡ ɐ m
എത്തപ്പഴം	e t̪ t̪ ɐ p p ɐ ɻ ɐ m
എത്തിക്കുക	e t̪ t̪ i k k u ɡ ɐ
എത്തുക	e t̪ t̪ u ɡ ɐ
എത്രാമത്തെ	e t̪ r aː m ɐ t̪ t̪ e
എന്ത	e n̪ d̪ ɐ
എന്തായാലും	e n̪ t̪ äː j äː l u m
എന്തിന്	e n̪ d̪ i n ə̆
എന്തുകൊണ്ടന്നാൽ	e n̪ d̪ u ɡ o ɳ ɖ ɐ n̪ n̪ aː l
എന്തുകൊണ്ട്	e n̪ d̪ u ɡ o ɳ ɖ ə̆
എന്തെന്നാൽ	e n̪ d̪ e n̪ n̪ aː l
എന്ത്	e n̪ d̪ ə̆
എന്നത്	e nː a d̪ ə
എന്നത്	e n̪ː a d̪ ə
എന്നാലും	e n̪ː äː l u m
എന്നാൽ	e nː äː l
എന്നാൽ	e n̪ː äː l
എന്നിട്ടും	e n̪ː i ʈː u m
എന്നിട്ട്	e n̪ː i ʈː ɨ̆
എന്നുക	e n̪ n̪ u ɡ ɐ
എന്നുടെ	e n n u ɖ e
എന്നെ	e n̪ n̪ e
എന്നോട്	e nː oː ɖ ɨ̆
എന്ന്	e n̪ n̪ ə̆
എന്റ	e n t ɐ
എന്റമ്മോ	e n t ɐ m m oː
എന്റെ	e n t e
എന്റോഴ്സ്	e n t oː ɻ s ə̆
എന്റർപ്രൈസ്	e n d a r p ɾ a i s ɨ̆
എപ്പോഴും	e p p oː ɻ u m
എപ്പോഴ്	e p p oː ɻ ə̆
എപ്പോൾ	e p p oː ɭ
എമണ്ടൻ	e m ɐ ɳ ɖ ɐ n
എമ്പതാം	e m b ɐ d̪ aː m
എമ്പത്	e m b ɐ d̪ ə̆
എയ്യുക	e j j u ɡ ɐ
എയ്യൻ	e j j ɐ n
എയർലൈൻ	e j ɐ r l ä j n
എരിയുക	e ɾ i j u ɡ ɐ
എരിയ്	e ɾ i j ə̆
എരിവ്	e ɾ i ʋ ə̆
എരുത്	e ɾ u d̪ ə̆
എരുന്ത്	e ɾ u n̪ d̪ ə̆
എരുമ	e ɾ u m ɐ
എറണാകുളം	e r ɐ ɳ aː ɡ u ɭ ɐ m
എറിയുക	e r i j u ɡ ɐ
എറിയ്	e r i j ə̆
എറിയൻ	e r i j ɐ n
എറ്റിമോളജി	e t t i m oː ɭ ɐ d͡ʒ i
എലി	e l i
എലിക്കെണി	e l i k k e ɳ i
എലിപ്പെട്ടി	e l i p p e ʈ ʈ i
എലിവിഷം	e l i ʋ i ʂ ɐ m
എലുമ്പ്	e l u m b ə̆
എല്ല	e lː ɐ
എല്ലാ	e l l aː
എല്ലായിടത്തും	e lː äː j i ɖ ɐ t̪ː u m
എല്ലായ്പ്പോഴും	e l l aː j p p oː ɻ u m
എല്ലുംകോലി	e l l u ŋ k oː l i
എല്ല്	e lː ɨ
എളി	e ɭ i
എളുപ്പം	e ɭ u pː ɐ m
എള്ളെണ്ണ	e ɭ ɭ e ɳ ɳ ɐ
എള്ള്	e ɭ ɭ ə̆
എഴിലി	e ɻ i l i
എഴുതുക	e ɻ u d̪ u ɡ ɐ
എഴുത്	e ɻ u d̪ ə̆
എഴുത്ത്	e ɻ u t̪ː ɨ̆
എഴുനൂറ്	e ɻ u n uː r ə̆
എഴുന്നൂറാം	e ɻ u n̪ n̪ uː r aː m
എഴുന്നൂറ്	e ɻ u n̪ n̪ uː r ə̆
എഴുന്നേൽക്കുക	e ɻ u n̪ n̪ eː l k k u ɡ ɐ
എഴുന്നേൽപ്പിക്കുക	e ɻ u n̪ n̪ eː l p p i k k u ɡ ɐ
എഴുപതാം	e ɻ u b ɐ d̪ aː m
എഴുപത്	e ɻ u b ɐ d̪ ə̆
എവ	e ʋ ɐ
എവിടെ	e ʋ i ɖ e
എവിടെയും	e ʋ i ɖ e j u m
എവൻ	e ʋ ɐ n
എവർ	e ʋ ɐ r
എവൾ	e ʋ ɐ ɭ
എസ്റ്റോണിയ	e s t t oː ɳ i j ɐ
എൺപത്	e ɳ p ɐ d̪ ə̆
എൻ	e n
എൽക്ക്	e l kː ɨ̆
എൾ	e ɭ
ഏ	eː
ഏക	eː ɡ ɐ
ഏകദം	eː ɡ ɐ d̪ ɐ m
ഏകദേശ	eː ɡ ɐ d̪ eː ʃ ɐ
ഏകദേശം	eː ɡ ɐ d̪ eː ʃ ɐ m
ഏകദേശമായ	eː ɡ ɐ d̪ eː ʃ ɐ m aː j ɐ
ഏകവചനം	eː ɡ a ʋ a d͡ʒ a n a m
ഏകാഗ്ര	eː ɡ aː ɡ ɾ ɐ
ഏകാഗ്രത	eː ɡ aː ɡ ɾ ɐ d̪ ɐ
ഏകാന്ത	eː ɡ aː n̪ d̪ ɐ
ഏകാന്തത	eː ɡ aː n̪ d̪ ɐ d̪ ɐ
ഏകീകരണം	eː ɡ iː k ɐ ɾ ɐ ɳ ɐ m
ഏകീകൃത	eː ɡ iː k r i d̪ ɐ
ഏകീകൃതം	eː ɡ iː k r i d̪ ɐ m
ഏക്കർ	eː k k ɐ r
ഏടി	eː ɖ i
ഏട്	eː ɖ ə̆
ഏട്ടൻ	eː ʈ ʈ ɐ n
ഏണി	eː ɳ i
ഏതാണ്ട്	eː d̪ aː ɳ ɖ ə̆
ഏത്	eː d̪ ə̆
ഏത്തം	eː t̪ t̪ ɐ m
ഏന്തുക	eː n̪ d̪ u ɡ ɐ
ഏന്ത്രം	eː n̪ d̪ r ɐ m
ഏപ്പ	eː p p ɐ
ഏപ്രിൽ	eː p ɾ i l
ഏഭ്യൻ	eː bʱ j ɐ n
ഏമാൻ	eː m aː n
ഏമ്പക്കം	eː m b ɐ k k ɐ m
ഏരി	eː ɾ i
ഏറുക	eː r u ɡ ɐ
ഏറുമാടം	eː r u m aː ɖ a m
ഏറെ	eː r e
ഏറെക്കുറെ	eː r e k k u r e
ഏറ്	eː r ə̆
ഏറ്റം	eː t t ɐ m
ഏറ്റവും	eː t ä ʋ u m
ഏറ്റെടുക്കുക	eː t e ɖ u kː u ɡ ä
ഏല	eː l ɐ
ഏലം	eː l ɐ m
ഏലക്ക	eː l ɐ k k ɐ
ഏലക്കായ	eː l ɐ k k aː j ɐ
ഏലിയ	eː l i j ɐ
ഏലുക	eː l u ɡ ɐ
ഏഴാം	eː ɻ aː m
ഏഴ്	eː ɻ ə̆
ഏശുക	eː ʃ u ɡ ɐ
ഏഷണി	eː ʂ ɐ ɳ i
ഏഷ്യ	eː ʂ j ɐ
ഏൻ	eː n
ഏർപ്പാട്	eː r p p aː ɖ ə̆
ഏർപ്പെടുക	eː r p p e ɖ u ɡ ɐ
ഏർപ്പെടൽ	eː r p p e ɖ ɐ l
ഏൽ	eː l
ഏൽക്കുക	eː l k k u ɡ ɐ
ഐ	a i̯
ഐകമത്യം	a i̯ ɡ a m a t̪ j a m
ഐങ്കോണം	a i̯ ŋ ɡ oː ɳ ɐ m
ഐങ്കോൺ	a i̯ ŋ ɡ oː ɳ
ഐതിഹാസിക	a i̯ d̪ i h aː s i ɡ ɐ
ഐതിഹ്യം	a i̯ d̪ i h j ɐ m
ഐന്തൽ	ä i n̪ t̪ ɐ l
ഐരാവതം	a i̯ ɾ aː ʋ ɐ d̪ ɐ m
ഐറ്റം	ä j t ɐ m
ഐശ്വര്യം	a i̯ ʃ ʋ ɐ ɾ j ɐ m
ഐസ്	ä j s ɨ̆
ഒ	o
ഒക്കുക	o k k u ɡ ɐ
ഒക്ടോബർ	o k ʈ oː b ɐ r
ഒക്റ്റോബർ	o k t oː b ɐ r
ഒച്ച	o t͡ː ʃ ɐ
ഒച്ച്	o t͡ʃ t͡ʃ ə̆
ഒടിക്കുക	o ɖ i k k u ɡ ɐ
ഒടുക്കം	o ɖ u kː ɐ m
ഒടുങ്ങുക	o ɖ u ŋ ŋ u ɡ ɐ
ഒടുവിൽ	o ɖ u ʋ i l
ഒട്ടകം	o ʈ ʈ ɐ ɡ ɐ m
ഒട്ടകപ്പക്ഷി	o ʈ ʈ ɐ ɡ ɐ p p ɐ k ʂ i
ഒട്ടിക്കുക	o ʈ ʈ i k k u ɡ ɐ
ഒട്ടുക	o ʈ ʈ u ɡ ɐ
ഒട്ടൊക്കെ	o ʈ ʈ o k k e
ഒഡിയ	o ɖ i j ɐ
ഒഡീഷ	o ɖ iː ʂ ɐ
ഒതളം	o t̪ a ɭ a m
ഒതളങ്ങ	o t̪ a ɭ a ŋː a
ഒതുങ്ങുക	o d̪ u ŋ ŋ u ɡ ɐ
ഒത്ത	o t̪ː ä
ഒത്തിരി	o t̪ t̪ i ɾ i
ഒത്തൊരുമ	o t̪ t̪ o ɾ u m ɐ
ഒന്നാം	o n̪ n̪ aː m
ഒന്നാന്തരം	o n̪ n̪ aː n̪ d̪ ɐ ɾ ɐ m
ഒന്നാമത്	o n̪ n̪ aː m ɐ d̪ ə̆
ഒന്നാമത്തെ	o n̪ n̪ aː m ɐ t̪ t̪ e
ഒന്നിച്ച്	o n̪ n̪ i t͡ʃ t͡ʃ ə̆
ഒന്ന്	o n̪ n̪ ə̆
ഒപ്പം	o p p ɐ m
ഒപ്പന	o p p ɐ n ɐ
ഒഫ്താൽമോളജി	o f t̪ äː l m oː ɭ ɐ d͡ʒ i
ഒമ്പതാം	o m b ɐ d̪ aː m
ഒമ്പതിനായിരം	o m b ɐ d̪ i n aː j i ɾ ɐ m
ഒമ്പത്	o m b ɐ d̪ ə̆
ഒരയ്ക്കുക	o ɾ ɐ j k k u ɡ ɐ
ഒരാൾ	o ɾ äː ɭ
ഒരിക്കൽ	o ɾ i k k ɐ l
ഒരു	o ɾ u
ഒരുക്കം	o ɾ u kː ɐ m
ഒരുത്തൻ	o ɾ u t̪ː ɐ n
ഒരുന്നൂറ്	o ɾ u n̪ː uː r ɨ̆
ഒരുപക്ഷേ	o ɾ u b ä k ʂ eː
ഒരുമ	o ɾ u m ɐ
ഒരുമാ	o ɾ u m aː
ഒരൊറ്റ	o ɾ o t ɐ
ഒറിജിനൽ	o r i d͡ʒ i n ɐ l
ഒറീസ	o r iː s ɐ
ഒറ്റ	o t t ɐ
ഒറ്റപ്പദം	o t ɐ pː ä d̪ ɐ m
ഒറ്റപ്പെട്ട	o t t ɐ p p e ʈ ʈ ɐ
ഒറ്റയാൾ	o t ɐ j äː ɭ
ഒറ്റയ്ക്ക്	o t t ɐ j k k ə̆
ഒറ്റുക	o t t u ɡ ɐ
ഒറ്റുകാരൻ	o t t u ɡ aː ɾ ɐ n
ഒറ്റ്	o t t ə̆
ഒലന്ത	o l ɐ n̪ d̪ ɐ
ഒലി	o l i
ഒലിക്കുക	o l i k k u ɡ ɐ
ഒലിക്ക്	o l i k k ə̆
ഒലിപ്പിക്കുക	o l i p p i k k u ɡ ɐ
ഒലിവ്	o l i ʋ ə̆
ഒളിക്കുക	o ɭ i k k u ɡ ɐ
ഒളിച്ചോടുക	o ɭ i t͡ʃ t͡ʃ oː ɖ u ɡ ɐ
ഒളിപ്പിക്കുക	o ɭ i p p i k k u ɡ ɐ
ഒഴികെ	o ɻ i ɡ e
ഒഴിക്കുക	o ɻ i k k u ɡ ɐ
ഒഴിക്കൽ	o ɻ i kː a l
ഒഴിഞ്ഞ	o ɻ i ɲː ä
ഒഴിമുറി	o ɻ i m u r i
ഒഴിയുക	o ɻ i j u ɡ ɐ
ഒഴിവാക്കുക	o ɻ i ʋ äː kː u ɡ ä
ഒഴിവ്	o ɻ i ʋ ə̆
ഒഴുകുക	o ɻ u ɡ u k ɐ
ഒഴുക്കുക	o ɻ u k k u ɡ ɐ
ഒഴുക്ക്	o ɻ u k k ə̆
ഒസാൻ	o s aː n
ഒസ്യത്ത്	o s j ɐ t̪ t̪ ə̆
ഒഹായോ	o h aː j oː
ഒൻപതാം	o n b ɐ d̪ aː m
ഒൻപതിനായിരം	o n p ä t̪ i n äː j i ɾ ɐ m
ഒൻപത്	o n b ɐ d̪ ə
ഓ	oː
ഓം	oː m
ഓംബുഡ്സ്മാൻ	oː m b u ɖ s m äː n
ഓക്കാനം	oː k k aː n ɐ m
ഓക്സിജൻ	oː k s i d͡ʒ a n
ഓഗസ്റ്റ്	oː ɡ a s t ɨ̆
ഓട	oː ɖ ɐ
ഓടം	oː ɖ ɐ m
ഓടക്കുഴൽ	oː ɖ ɐ k k u ɻ ɐ l
ഓടി	oː ɖ i
ഓടിക്കുക	oː ɖ i k k u ɡ ɐ
ഓടുക	oː ɖ u ɡ ɐ
ഓട്	oː ɖ ɨ̆
ഓട്ട	oː ʈ ʈ ɐ
ഓട്ടം	oː ʈ ʈ ɐ m
ഓട്ടി	oː ʈ ʈ i
ഓഡിറ്റോറിയം	oː ɖ i t oː r i j ɐ m
ഓഡ്രം	oː ɖ r ɐ m
ഓണം	oː ɳ ɐ m
ഓതുക	oː d̪ u ɡ ɐ
ഓത്ത്	oː t̪ t̪ ə̆
ഓന്ത്	oː n̪ d̪ ə̆
ഓപ്പോൾ	oː p p oː ɭ
ഓഫാക്കുക	oː f aː k k u ɡ ɐ
ഓഫിസ്	oː f i s ə̆
ഓഫിസർ	oː f i s ɐ r
ഓഫ്	oː f ə̆
ഓമന	oː m ɐ n ɐ
ഓയിന്മെന്റ്	oː j i n m e n t ə̆
ഓരം	oː ɾ ɐ m
ഓരോരോ	oː ɾ oː ɾ oː
ഓറഞ്ച്	oː r ɐ ɲ d͡ʒ ə̆
ഓല	oː l ɐ
ഓലക്കുട	oː l ɐ kː u ɖ ɐ
ഓലഞ്ഞാലി	oː l ɐ ɲ ɲ aː l i
ഓലപുടവൻ	oː l a b u ɖ a ʋ a n
ഓലമീൻ	oː l a m iː n
ഓളം	oː ɭ ɐ m
ഓവി	oː ʋ i
ഓവ്	oː ʋ ə̆
ഓശാരം	oː ʃ aː ɾ ɐ m
ഓഷ്ടം	oː ʂ ʈ ɐ m
ഓഷ്ഠ്യം	oː ʂ ʈʰ j ɐ m
ഓഷ്യാനിയ	oː ʂ j aː n i j ɐ
ഓസ്ട്രേലിയ	oː s ʈ r eː l i j ɐ
ഓസ്സി	oː s s i
ഓൺ	oː ɳ
ഓർക്കുക	oː r k k u ɡ ɐ
ഓർമ്മശക്തി	oː r m ä ʃ ä k t̪ i
ഔ	a u̯
ഔചിത്യം	ä u d͡ʒ i t̪ j ɐ m
ഔജ്ജ്വല്യം	a u̯ d͡ʒ d͡ʒ ʋ ɐ l j ɐ m
ഔത്സുക്യം	a u̯ t̪ s u k j a m
ഔദ്യോഗിക	a u̯ d̪ j oː ɡ i ɡ ɐ
ഔഷധ	a u̯ ʂ ɐ d̪ʱ ɐ
ഔഷധം	a u̯ ʂ ɐ d̪ʱ ɐ m
ക	k
ക	k ɐ
കംബളം	k ɐ m b ɐ ɭ ɐ m
കക്ക	k ɐ k k ɐ
കക്കട	k ɐ k k ɐ ɖ ɐ
കക്കിരിക്ക	k ä kː i ɾ i kʲː ä
കക്കുക	k ɐ k k u ɡ ɐ
കക്കൂസ്	k ɐ k k uː s ə̆
കക്ഷി	k ɐ k ʂ i
കങ്കണം	k ä ŋ k ɐ ɳ ɐ m
കച്ച	k ɐ t͡ʃ t͡ʃ ɐ
കച്ചറ	k ɐ t͡ʃ t͡ʃ ɐ r ɐ
കച്ചവടം	k ɐ t͡ʃ t͡ʃ ɐ ʋ ɐ ɖ ɐ m
കച്ചവടക്കാരൻ	k ä t͡ʃː ɐ ʋ ɐ ɖ ɐ kː äː ɾ ɐ n
കച്ചി	k ɐ t͡ʃ t͡ʃ i
കച്ചിത്തുറു	k ɐ t͡ʃ t͡ʃ i t̪ t̪ u r u
കച്ചിൽ	k ɐ t͡ʃ t͡ʃ i l
കച്ചേരി	k ɐ t͡ʃ t͡ʃ eː ɾ i
കച്ച്	k ɐ t͡ʃ t͡ʃ ə̆
കഞ്ചാവ്	k ɐ ɲ d͡ʒ aː ʋ ə̆
കഞ്ഞി	k ɐ ɲ ɲ i
കട	k ɐ ɖ ɐ
കടം	k ɐ ɖ ɐ m
കടക്കുക	k ɐ ɖ ɐ k k u ɡ ɐ
കടങ്കഥ	k ɐ ɖ ɐ ŋ ɡ ɐ t̪ʰ ɐ
കടത്തുക	k ɐ ɖ ɐ t̪ t̪ u ɡ ɐ
കടത്തുതോണി	k ɐ ɖ ɐ t̪ t̪ u d̪ oː ɳ i
കടത്തുവള്ളം	k ä ɖ ɐ t̪ː ʋ ä ɭː ɐ m
കടത്ത്	k ä ɖ ɐ t̪ː ɨ̆
കടന്നൽ	k ɐ ɖ ɐ n̪ː ɐ l
കടപുഴകുക	k ɐ ɖ ɐ b u ɻ ɐ ɡ u k ɐ
കടമ്പു	k ɐ ɖ ɐ m b u
കടല	k ɐ ɖ ɐ l ɐ
കടലമ്മ	k ɐ ɖ ɐ mː ɐ
കടലാന	k ä ɖ ɐ l äː n ä
കടലാമ	k ɐ ɖ ɐ l aː m ɐ
കടലാസ്	k ɐ ɖ ɐ l aː s ə̆
കടലിടുക്ക്	k ɐ ɖ ɐ l i ɖ u kː ɨ
കടാക്ഷം	k ɐ ɖ aː k ʂ ɐ m
കടി	k ɐ ɖ i
കടിക്കുക	k ɐ ɖ i k k u ɡ ɐ
കടിച്ച	k ä ɖ i t͡ʃː ɐ
കടിഞ്ഞാൺ	k a ɖ i ɲː aː ɳ
കടു	k ɐ ɖ u
കടുംകൈ	k ɐ ɖ u ŋ k ɐ i̯
കടുംപിടിത്തം	k ɐ ɖ u m b i ɖ i t̪ t̪ ɐ m
കടുംവെട്ട്	k ɐ ɖ u m ʋ e ʈ ʈ ə̆
കടുകെണ്ണ	k ɐ ɖ u ɡ e ɳ ɳ ɐ
കടുക്	k ɐ ɖ u ɡ ə̆
കടുപ്പം	k ä ɖ u pː ɐ m
കടുപ്പ്	k ɐ ɖ u p p ə̆
കടുരസം	k ɐ ɖ u ɾ ɐ s ɐ m
കടുവ	k ɐ ɖ u ʋ ɐ
കട്ടയാകുക	k ɐ ʈ ʈ ɐ j aː ɡ u k ɐ
കട്ടയാക്	k ɐ ʈ ʈ ɐ j aː ɡ ə̆
കട്ടള	k ɐ ʈ ʈ ɐ ɭ ɐ
കട്ടായം	k ä ʈː äː j ɐ m
കട്ടി	k ɐ ʈ ʈ i
കട്ടിയുള്ള	k ɐ ʈ ʈ i j u ɭ ɭ ɐ
കട്ടിൽ	k ɐ ʈ ʈ i l
കട്ടൻ	k ɐ ʈ ʈ ɐ n
കടൽ	k ɐ ɖ ɐ l
കടൽക്കാക്ക	k ɐ ɖ ɐ l ɡ aː kː ɐ
കടൽക്കുതിര	k ɐ ɖ ɐ l kː u d̪ i ɾ ɐ
കടൽച്ചേന	k ɐ ɖ ɐ l t͡ʃː eː n ɐ
കടൽച്ചൊറി	k ɐ ɖ ɐ l t͡ʃː o r i
കടൽത്തീരം	k ɐ ɖ ɐ l t̪ t̪ iː ɾ ɐ m
കടൽപ്പാമ്പ്	k ɐ ɖ ɐ l pː aː m b ɨ
കടൽപ്പുറം	k ɐ ɖ ɐ l p p u r ɐ m
കടൽമീൻ	k ɐ ɖ ɐ l m iː n
കഠിന	k ɐ ʈʰ i n ɐ
കഠിനം	k ɐ ʈʰ i n ɐ m
കഠിനമായ	k ɐ ʈʰ i n ɐ m aː j ɐ
കഠൊരം	k ä ʈʰ oː ɾ ɐ m
കണ	k ɐ ɳ ɐ
കണക്ക്	k ɐ ɳ ɐ k k ə̆
കണക്ഷൻ	k ä ɳ ɐ k ʂ ɐ n
കണങ്കാൽ	k ɐ ɳ ɐ ŋ ɡ aː l
കണവ	k ɐ ɳ ɐ ʋ ɐ
കണിക	k ɐ ɳ i ɡ ɐ
കണിക്കൊന്ന	k ɐ ɳ i k k o n̪ n̪ ɐ
കണിശം	k ä ɳ i ʃ ä m
കണ്ടം	k ɐ ɳ ɖ ɐ m
കണ്ടു	k ɐ ɳ ɖ u
കണ്ടുപിടിക്കുക	k ä ɳ ʈ u b i ɖ i kʲː u ɡ ä
കണ്ടുപിടിത്തം	k a ɳ ʈ u b i ɖ i t̪ː a m
കണ്ടുപിടുത്തം	k ɐ ɳ ɖ u b i ɖ u t̪ t̪ ɐ m
കണ്ടെത്തുക	k ä ɳ ʈ e t̪ː u ɡ ä
കണ്ടൻ	k ä ɳ ʈ e n
കണ്ടൻപൂച്ച	k ä ɳ ʈ e n p uː t͡ʃː ä
കണ്ഠ്യം	k ɐ ɳ ɖʰ j ɐ m
കണ്ണ	k ɐ ɳ ɳ ɐ
കണ്ണട	k ɐ ɳː ɐ ɖ ɐ
കണ്ണടയ്ക്കുക	k ɐ ɳ ɳ ɐ ɖ ɐ j k k u ɡ ɐ
കണ്ണാടി	k ɐ ɳ ɳ aː ɖ i
കണ്ണാപ്പ	k ä ɳː äː pː ä
കണ്ണാപ്പി	k ɐ ɳ ɳ aː p p i
കണ്ണി	k ɐ ɳ ɳ i
കണ്ണിമാങ്ങ	k ɐ ɳ ɳ i m aː ŋ ŋ ɐ
കണ്ണീര്	k ɐ ɳ ɳ iː ɾ ə̆
കണ്ണുകടി	k ɐ ɳ ɳ u ɡ ɐ ɖ i
കണ്ണുരുട്ടുക	k ɐ ɳ ɳ u ɾ u ʈ ʈ u ɡ ɐ
കണ്ണൂർ	k ɐ ɳ ɳ uː r
കണ്ണ്	k ɐ ɳ ɳ ə̆
കണ്ണൻ	k ɐ ɳ ɳ ɐ n
കതക്	k a d̪ a ɡ ɨ̆
കതിര്	k ɐ d̪ i ɾ ə̆
കത്തനാർ	k ɐ t̪ t̪ ɐ n aː r
കത്തി	k ɐ t̪ t̪ i
കത്തിക്കല്ല്	k ɐ t̪ t̪ i k k ɐ l l ə̆
കത്തിക്കുക	k ɐ t̪ t̪ i k k u ɡ ɐ
കത്തിരിക്ക	k ä t̪ː i ɾ i kʲː ä
കത്തുക	k ɐ t̪ t̪ u ɡ ɐ
കത്തോലിക്ക	k ɐ t̪ t̪ oː l i k k ɐ
കത്തോലിക്കാ	k ɐ t̪ t̪ oː l i k k aː
കത്ത്	k ɐ t̪ t̪ ə̆
കത്രിക	k ɐ t̪ r i ɡ ɐ
കഥ	k ɐ t̪ʰ ɐ
കഥകളി	k ɐ t̪ʰ ɐ ɡ ɐ ɭ i
കഥനം	k ä t̪ʰ ɐ n ɐ m
കഥനീയം	k ɐ t̪ʰ ɐ n iː j ɐ m
കഥാപാത്രം	k ɐ t̪ʰ aː b aː t̪ r ɐ m
കഥാപ്രസംഗം	k ä t̪ʰ äː p ɾ ɐ s ɐ ŋ ɡ ɐ m
കദലി	k ɐ d̪ ɐ l i
കദലിപ്പഴം	k ɐ d̪ ɐ l i p p ɐ ɻ ɐ m
കദ്രീഞ്ഞ	k ɐ d̪ r iː ɲ ɲ ɐ
കനം	k ɐ n ɐ m
കനക	k ɐ n ɐ ɡ ɐ
കനത്ത	k ɐ n ɐ t̪ t̪ ɐ
കനമുള്ള	k ɐ n ɐ m u ɭ ɭ ɐ
കന്ത്	k ɐ n̪ d̪ ə̆
കന്ദരം	k ɐ n̪ d̪ ɐ ɾ ɐ m
കന്നടം	k ɐ nː ɐ ɖ ɐ m
കന്നഡ	k ɐ n̪ n̪ ɐ ɖ ɐ
കന്നഡിഗ	k ɐ n̪ n̪ ɐ ɖ i ɡ ɐ
കന്നി	k ɐ n n i
കന്നുകാലി	k ɐ n̪ n̪ u ɡ aː l i
കന്നൽ	k ɐ n̪ n̪ ɐ l
കന്യക	k ɐ n j ɐ ɡ ɐ
കനൽ	k a n a l
കപടം	k ä b ä ɖ ɐ m
കപടമായ	k ä b ɐ ɖ ɐ m äː j ä
കപടൻ	k ä b ɐ ɖ e n
കപ്പ	k ɐ p p ɐ
കപ്പം	k ä pː ɐ m
കപ്പലണ്ടി	k ɐ p p ɐ l ɐ ɳ ɖ i
കപ്പിത്താൻ	k ɐ p p i t̪ t̪ aː n
കപ്പേള	k ɐ p p eː ɭ ɐ
കപ്പ്	k ɐ p p ə̆
കപ്പൽ	k ɐ p p ɐ l
കപ്യാർ	k ɐ p j aː r
കഫം	k ɐ f ɐ m
കബറ്	k ɐ b ɐ r ə̆
കബളിപ്പിക്കുക	k ɐ b ɐ ɭ i p p i k k u ɡ ɐ
കബൂർ	k ɐ b uː r
കബൂൽ	k ɐ b uː l
കബ്റ	k a b r a
കബർ	k ɐ b ɐ r
കമലം	k ɐ m ɐ l ɐ m
കമാനം	k ä m äː n ɐ m
കമിട്ടുക	k ɐ m i ʈ ʈ u ɡ ɐ
കമ്പം	k ä m p ɐ m
കമ്പഞ്ഞി	k ɐ m b ɐ ɲ ɲ i
കമ്പനി	k ä m p ɐ n i
കമ്പി	k ɐ m b i
കമ്പിളി	k ɐ m b i ɭ i
കമ്പിളിപ്പുഴു	k ɐ m b i ɭ i p p u ɻ u
കമ്പോളം	k ɐ m b oː ɭ ɐ m
കമ്പ്	k ɐ m b ə̆
കമ്പ്യൂട്ടർ	k a m b j uː ʈː a r
കമ്പ്യൂട്ടർസയൻസ്	k ä m p j uː ʈː ɐ r s ä j ɐ n s ɨ̆
കമ്മട്ടം	k ɐ m m ɐ ʈ ʈ ɐ m
കമ്മൽ	k ä mː ɐ l
കമ്യൂണിസം	k ä m j uː ɳ i s ɐ m
കയറുക	k ä j ɐ r u ɡ ä
കയറ്	k ɐ j ɐ r ə̆
കയറ്റം	k ä j e t e m
കയറ്റുക	k ä j ɐ t u ɡ ä
കയിൽ	k ä j i l
കയ്ക്കുക	k ä j kʲː u ɡ ä
കയ്പ്പക്ക	k ɐ j p p ɐ k k ɐ
കയ്യടി	k ɐ j j ɐ ɖ i
കയ്യേറുക	k ä jː eː r u ɡ ä
കയർ	k a j a r
കയൽ	k ɐ j ɐ l
കര	k ɐ ɾ ɐ
കരം	k ɐ ɾ ɐ m
കരഘോഷം	k ä ɾ ä ɡʱ oː ʂ ɐ m
കരടി	k ɐ ɾ ɐ ɖ i
കരട്	k a ɾ a ɖ ə
കരണ്ടി	k ä ɾ ɐ ɳ ʈ i
കരണ്ട്	k ɐ ɾ ɐ ɳ ɖ ɨ̆
കരയാമ	k ɐ ɾ ɐ j aː m ɐ
കരയാമ്പ്	k ɐ ɾ ɐ j aː m b ə̆
കരയിക്കുക	k ɐ ɾ ɐ j i k k u ɡ ɐ
കരയുക	k ɐ ɾ ɐ j u ɡ ɐ
കരാർ	k ɐ ɾ aː r
