ア	a̠
キャンプファイア	kʲ ã̠ m p ɯ̟̊ᵝ ɸ a̠ i a̠
キャンベラ	kʲ ã̠ m b e̞ ɾ a̠
キャンペーン	kʲ ã̠ m p ẽ̞ː ɴ
キュ	kʲ ɨᵝ
キュクロプス	kʲ ɨᵝ k ɯ̟ᵝ ɾ o̞ p ɯ̟ᵝ s ɨ̥ᵝ
キュクロープス	kʲ ɨᵝ k ɯ̟ᵝ ɾ o̞ː p ɯ̟ᵝ s ɨᵝ
キュビスム	kʲ ɨᵝ bʲ i s ɨᵝ m ɯ̟ᵝ
キュポラ	kʲ ɨᵝ p o̞ ɾ a̠
キュリウム	kʲ ɨᵝ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
キュリー	kʲ ɨᵝ ɾʲ iː
キュロット	kʲ ɨᵝ ɾ o̞ t̚ t o̞
キュー	kʲ ɨᵝː
キューアールコード	kʲ ɨᵝː a̠ː ɾ ɯ̟ᵝ k o̞ː d o̞
キューバ	kʲ ɨᵝː b a̠
キュービズム	kʲ ɨᵝː bʲ i z ɨᵝ m ɯ̟ᵝ
キューピッド	kʲ ɨᵝː pʲ i d̚ d̥ o̞
キューポラ	kʲ ɨᵝː p o̞ ɾ a̠
キョ	kʲ o̞
キョンシー	kʲ õ̞ ɰ̃ ɕ iː
キョンジュ	kʲ õ̞ ɲ̟ d͡ʑ ɨᵝ
キラー	kʲ i ɾ a̠ː
キリシタン	kʲ i ɾʲ i ɕ i t ã̠ ɴ
キリスト	kʲ i ɾʲ i s ɨ̥ᵝ t o̞
キリル	kʲ i ɾʲ i ɾ ɯ̟ᵝ
キル	kʲ i ɾ ɯ̟ᵝ
キルト	kʲ i ɾ ɯ̟ᵝ t o̞
キルレ	kʲ i ɾ ɯ̟ᵝ ɾ e̞
キロ	kʲ i ɾ o̞
キロカロリー	kʲ i ɾ o̞ k a̠ ɾ o̞ ɾʲ iː
キログラム	kʲ i ɾ o̞ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
キンカジュー	kʲ ĩ ŋ k a̠ ʑ ɨᵝː
キンキ	kʲ ĩ ŋʲ kʲ i
キング	kʲ ĩ ŋ ɡ ɯ̟ᵝ
キングストン	kʲ ĩ ŋ ɡ ɯ̟ᵝ s ɨᵝ t õ̞ ɴ
キンセアニェーラ	kʲ ĩ ɰ̃ s e̞ a̠ ɲ̟ e̞ː ɾ a̠
キンパ	kʲ ĩ m p a̠
キー	kʲ iː
キーウ	kʲ iː ɯ̟ᵝ
キーウィ	kʲ iː ɰᵝ i
キース	kʲ iː s ɨᵝ
キーセン	kʲ iː s ẽ̞ ɴ
キービジュ	kʲ iː bʲ i ʑ ɨᵝ
キープ	kʲ iː p ɯ̟ᵝ
キーボード	kʲ iː b o̞ː d o̞
キーマン	kʲ iː m ã̠ ɴ
キールン	kʲ iː ɾ ɯ̟̃ᵝ ɴ
キーワード	kʲ iː ɰᵝ a̠ː d o̞
キーン	kʲ ĩː ɴ
キーンコーンカーンコーン	kʲ ĩː ŋ k õ̞ː ŋ k ã̠ː ŋ k õ̞ː ɴ
ギ	ɡʲ i
ギェ	ɡʲ e̞
ギガワロス	ɡʲ i ɡ a̠ ɰᵝ a̠ ɾ o̞ s ɨᵝ
ギシギシアンアン	ɡʲ i ɕ i ɡʲ i ɕ i ã̠ ɰ̃ ã̠ ɴ
ギタリスト	ɡʲ i t a̠ ɾʲ i s ɨᵝ t o̞
ギター	ɡʲ i t a̠ː
ギニアピッグ	ɡʲ i ɲ̟ i a̠ pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
ギニーピッグ	ɡʲ i ɲ̟ iː pʲ i ɡ̚ ɡ̊ ɯ̟ᵝ
ギビバイト	ɡʲ i bʲ i b a̠ i t o̞
ギビビット	ɡʲ i bʲ i bʲ i t̚ t o̞
ギフト	ɡʲ i ɸ ɯ̟̊ᵝ t o̞
ギブ	ɡʲ i b ɯ̟ᵝ
ギブアップ	ɡʲ i b ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
ギャ	ɡʲ a̠
ギャグセン	ɡʲ a̠ ɡ ɯ̟ᵝ s ẽ̞ ɴ
ギャップ	ɡʲ a̠ p̚ p ɯ̟ᵝ
ギャバ	ɡʲ a̠ b a̠
ギャバジン	ɡʲ a̠ b a̠ ʑ ĩ ɴ
ギャフ	ɡʲ a̠ ɸ ɯ̟ᵝ
ギャラ	ɡʲ a̠ ɾ a̠
ギャラリー	ɡʲ a̠ ɾ a̠ ɾʲ iː
ギャランティ	ɡʲ a̠ ɾ ã̠ n tʲ i
ギャル	ɡʲ a̠ ɾ ɯ̟ᵝ
ギャルゲー	ɡʲ a̠ ɾ ɯ̟ᵝ ɡ e̞ː
ギャルゲーム	ɡʲ a̠ ɾ ɯ̟ᵝ ɡ e̞ː m ɯ̟ᵝ
ギャンブラー	ɡʲ ã̠ m b ɯ̟ᵝ ɾ a̠ː
ギャンブル	ɡʲ ã̠ m b ɯ̟ᵝ ɾ ɯ̟ᵝ
ギュ	ɡʲ ɨᵝ
ギョ	ɡʲ o̞
ギヨチン	ɡʲ i j o̞ t͡ɕ ĩ ɴ
ギリシア	ɡʲ i ɾʲ i ɕ i a̠
ギリシャ	ɡʲ i ɾʲ i ɕ a̠
ギルガメッシュ	ɡʲ i ɾ ɯ̟ᵝ ɡ a̠ m e̞ ɕː ɯ̟ᵝ
ギルロイ	ɡʲ i ɾ ɯ̟ᵝ ɾ o̞ i
ギロチン	ɡʲ i ɾ o̞ t͡ɕ ĩ ɴ
ギンガム	ɡʲ ĩ ŋ ɡ a̠ m ɯ̟ᵝ
ギンギツネ	ɡʲ ĩ ŋʲ ɡʲ i t͡s ɨᵝ n e̞
ギー	ɡʲ iː
ク	k ɯ̟ᵝ
ク゚	ŋ ɯ̟ᵝ
ク゚ヮ	ŋ ɰᵝ a̠
クァ	k ɰᵝ a̠
クアッガ	k ɯ̟ᵝ a̠ ɡ̚ ɡ̊ a̠
クィ	k ɰᵝ i
クィディッチ	k ɰᵝ i dʲ i t̚ t͡ɕ i
クイズ	k ɯ̟ᵝ i z ɨᵝ
クイック	k ɯ̟ᵝ i k̚ k ɯ̟ᵝ
クイッティアオ	k ɯ̟ᵝ i t̚ʲ tʲ i a̠ o̞
クイッティオ	k ɯ̟ᵝ i t̚ʲ tʲ i o̞
クイーン	k ɯ̟ᵝ ĩː ɴ
クェ	k ɰᵝ e̞
クェゼリン	k ɰᵝ e̞ z e̞ ɾʲ ĩ ɴ
クエリ	k ɯ̟ᵝ e̞ ɾʲ i
クエーカー	k ɯ̟ᵝ e̞ː k a̠ː
クエーサー	k ɯ̟ᵝ e̞ː s a̠ː
クォ	k ɰᵝ o̞
クォンタイズ	k ɰᵝ õ̞ n t a̠ i z ɨᵝ
クォーク	k ɰᵝ o̞ː k ɯ̟ᵝ
クォーター	k ɰᵝ o̞ː t a̠ː
クォーターバック	k ɰᵝ o̞ː t a̠ː b a̠ k̚ k ɯ̟ᵝ
クオリア	k ɯ̟ᵝ o̞ ɾʲ i a̠
クオーク	k ɯ̟ᵝ o̞ː k ɯ̟ᵝ
クオータリー	k ɯ̟ᵝ o̞ː t a̠ ɾʲ iː
クオーター	k ɯ̟ᵝ o̞ː t a̠ː
クサイ	k ɯ̟̊ᵝ s a̠ i
クシー	k ɯ̟̊ᵝ ɕ iː
クスクス	k ɯ̟ᵝ s ɨᵝ k ɯ̟ᵝ s ɨᵝ
クソ	k ɯ̟ᵝ s o̞
クソカキコ	k ɯ̟ᵝ s o̞ k a̠ kʲ i k o̞
クチュリエ	k ɯ̟ᵝ t͡ɕ ɨᵝ ɾʲ i e̞
クッキング	k ɯ̟ᵝ k̚ʲ kʲ ĩ ŋ ɡ ɯ̟ᵝ
クッキー	k ɯ̟̊ᵝ k̚ʲ kʲ iː
クッション	k ɯ̟̊ᵝ ɕː õ̞ ɴ
クッパ	k ɯ̟ᵝ p̚ p a̠
クピードー	k ɯ̟ᵝ pʲ iː d o̞ː
クライエント	k ɯ̟ᵝ ɾ a̠ i ẽ̞ n t o̞
クラウドファンディング	k ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ d o̞ ɸ ã̠ n dʲ ĩ ŋ ɡ ɯ̟ᵝ
クラス	k ɯ̟ᵝ ɾ a̠ s ɨᵝ
クラスター	k ɯ̟ᵝ ɾ a̠ s ɨᵝ t a̠ː
クラスパー	k ɯ̟ᵝ ɾ a̠ s ɨᵝ p a̠ː
クラスメイト	k ɯ̟ᵝ ɾ a̠ s ɨᵝ m e̞ː t o̞
クラスメート	k ɯ̟ᵝ ɾ a̠ s ɨᵝ m e̞ː t o̞
クラッキング	k ɯ̟ᵝ ɾ a̠ k̚ʲ kʲ ĩ ŋ ɡ ɯ̟ᵝ
クラファン	k ɯ̟ᵝ ɾ a̠ ɸ ã̠ ɴ
クラブ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
クラブサンドイッチ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ s ã̠ n d o̞ i t̚ t͡ɕ i
クラブチーム	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ t͡ɕ iː m ɯ̟ᵝ
クラブハウス	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ h a̠ ɯ̟ᵝ s ɨᵝ
クラブミュージック	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ mʲ ɨᵝː ʑ i k̚ k ɯ̟ᵝ
クラミジア	k ɯ̟ᵝ ɾ a̠ mʲ i ʑ i a̠
クラリネット	k ɯ̟ᵝ ɾ a̠ ɾʲ i n e̞ t̚ t o̞
クランク	k ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟ᵝ
クランクイン	k ɯ̟ᵝ ɾ ã̠ ŋ k ɯ̟ᵝ ĩ ɴ
クランプ	k ɯ̟ᵝ ɾ ã̠ m p ɯ̟ᵝ
クランベリー	k ɯ̟ᵝ ɾ ã̠ m b e̞ ɾʲ iː
クリア	k ɯ̟ᵝ ɾʲ i a̠
クリアファイル	k ɯ̟ᵝ ɾʲ i a̠ ɸ a̠ i ɾ ɯ̟ᵝ
クリエイター	k ɯ̟ᵝ ɾʲ i e̞ː t a̠ː
クリエイティブ	k ɯ̟ᵝ ɾʲ i e̞ː tʲ i b ɯ̟ᵝ
クリエーター	k ɯ̟ᵝ ɾʲ i e̞ː t a̠ː
クリオーリョ	k ɯ̟ᵝ ɾʲ i o̞ː ɾʲ o̞
クリオール	k ɯ̟ᵝ ɾʲ i o̞ː ɾ ɯ̟ᵝ
クリケット	k ɯ̟ᵝ ɾʲ i k e̞ t̚ t o̞
クリス	k ɯ̟ᵝ ɾʲ i s ɨ̥ᵝ
クリスチャン	k ɯ̟ᵝ ɾʲ i s ɨᵝ t͡ɕ ã̠ ɴ
クリストファー	k ɯ̟ᵝ ɾʲ i s ɨᵝ t o̞ ɸ a̠ː
クリスマス	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ
クリスマスイブ	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨ̥ᵝ i b ɯ̟ᵝ
クリタケ	k ɯ̟ᵝ ɾʲ i t a̠ k e̞
クリック	k ɯ̟ᵝ ɾʲ i k̚ k ɯ̟ᵝ
クリップボード	k ɯ̟ᵝ ɾʲ i p̚ p ɯ̟ᵝ b o̞ː d o̞
クリトリス	k ɯ̟ᵝ ɾʲ i t o̞ ɾʲ i s ɨ̥ᵝ
クリニック	k ɯ̟ᵝ ɾʲ i ɲ̟ i k̚ k ɯ̟ᵝ
クリノリン	k ɯ̟ᵝ ɾʲ i n o̞ ɾʲ ĩ ɴ
クリパ	k ɯ̟ᵝ ɾʲ i p a̠
クリプトン	k ɯ̟ᵝ ɾʲ i p ɯ̟̊ᵝ t õ̞ ɴ
クリヤー	k ɯ̟ᵝ ɾʲ i j a̠ː
クリントン	k ɯ̟ᵝ ɾʲ ĩ n t õ̞ ɴ
クリンナップ	k ɯ̟ᵝ ɾʲ ĩ nː a̠ p̚ p ɯ̟ᵝ
クリー	k ɯ̟ᵝ ɾʲ iː
クリーナー	k ɯ̟ᵝ ɾʲ iː n a̠ː
クリームブリュレ	k ɯ̟ᵝ ɾʲ iː m ɯ̟ᵝ b ɯ̟ᵝ ɾʲ ɨᵝ ɾ e̞
クリーン	k ɯ̟ᵝ ɾʲ ĩː ɴ
クルアーン	k ɯ̟ᵝ ɾ ɯ̟ᵝ ã̠ː ɴ
クルディスタン	k ɯ̟ᵝ ɾ ɯ̟ᵝ dʲ i s ɨ̥ᵝ t ã̠ ɴ
クルー	k ɯ̟ᵝ ɾ ɯ̟ᵝː
クルーカット	k ɯ̟ᵝ ɾ ɯ̟ᵝː k a̠ t̚ t o̞
クレイオス	k ɯ̟ᵝ ɾ e̞ː o̞ s ɨᵝ
クレイオー	k ɯ̟ᵝ ɾ e̞ː o̞ː
クレイジー	k ɯ̟ᵝ ɾ e̞ː ʑ iː
クレオール	k ɯ̟ᵝ ɾ e̞ o̞ː ɾ ɯ̟ᵝ
クレカ	k ɯ̟ᵝ ɾ e̞ k a̠
クレジット	k ɯ̟ᵝ ɾ e̞ ʑ i t̚ t o̞
クレソン	k ɯ̟ᵝ ɾ e̞ s õ̞ ɴ
クレッシェンド	k ɯ̟ᵝ ɾ e̞ ɕː ẽ̞ n d o̞
クレド	k ɯ̟ᵝ ɾ e̞ d o̞
クレパス	k ɯ̟ᵝ ɾ e̞ p a̠ s ɨᵝ
クレヨン	k ɯ̟ᵝ ɾ e̞ j õ̞ ɴ
クレンメ	k ɯ̟ᵝ ɾ ẽ̞ mː e̞
クレープ	k ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ
クレーマー	k ɯ̟ᵝ ɾ e̞ː m a̠ː
クレームブリュレ	k ɯ̟ᵝ ɾ e̞ː m ɯ̟ᵝ b ɯ̟ᵝ ɾʲ ɨᵝ ɾ e̞
クレーン	k ɯ̟ᵝ ɾ ẽ̞ː ɴ
クロケット	k ɯ̟ᵝ ɾ o̞ k e̞ t̚ t o̞
クロスオーバー	k ɯ̟ᵝ ɾ o̞ s ɨᵝ o̞ː b a̠ː
クロスステッチ	k ɯ̟ᵝ ɾ o̞ s ɨᵝ s ɨᵝ t e̞ t̚ t͡ɕ i
クロスフェード	k ɯ̟ᵝ ɾ o̞ s ɨᵝ ɸ e̞ː d o̞
クロスプレイ	k ɯ̟ᵝ ɾ o̞ s ɨᵝ p ɯ̟ᵝ ɾ e̞ː
クロスワード	k ɯ̟ᵝ ɾ o̞ s ɨᵝ ɰᵝ a̠ː d o̞
クロックラジオ	k ɯ̟ᵝ ɾ o̞ k̚ k ɯ̟ᵝ ɾ a̠ ʑ i o̞
クロッケー	k ɯ̟ᵝ ɾ o̞ k̚ k e̞ː
クロノス	k ɯ̟ᵝ ɾ o̞ n o̞ s ɨᵝ
クロマキー	k ɯ̟ᵝ ɾ o̞ m a̠ kʲ iː
クロム	k ɯ̟ᵝ ɾ o̞ m ɯ̟ᵝ
クロモリ	k ɯ̟ᵝ ɾ o̞ m o̞ ɾʲ i
クロラール	k ɯ̟ᵝ ɾ o̞ ɾ a̠ː ɾ ɯ̟ᵝ
クロロフィル	k ɯ̟ᵝ ɾ o̞ ɾ o̞ ɸʲ i ɾ ɯ̟ᵝ
クロロベンゼン	k ɯ̟ᵝ ɾ o̞ ɾ o̞ b ẽ̞ n d͡z ẽ̞ ɴ
クロワッサン	k ɯ̟ᵝ ɾ o̞ ɰᵝ a̠ sː ã̠ ɴ
クローゼット	k ɯ̟ᵝ ɾ o̞ː z e̞ t̚ t o̞
クローバー	k ɯ̟ᵝ ɾ o̞ː b a̠ː
クローラ	k ɯ̟ᵝ ɾ o̞ː ɾ a̠
クロール	k ɯ̟ᵝ ɾ o̞ː ɾ ɯ̟ᵝ
クローン	k ɯ̟ᵝ ɾ õ̞ː ɴ
クヮ	k ɰᵝ a̠
クワタ	k ɯ̟ᵝ ɰᵝ a̠ t a̠
クワルク	k ɯ̟ᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
クンニ	k ɯ̟̃ᵝ ɲ̟ ɲ̟ i
クンニリングス	k ɯ̟̃ᵝ ɲ̟ ɲ̟ i ɾʲ ĩ ŋ ɡ ɯ̟ᵝ s ɨᵝ
クヴァルク	k ɯ̟ᵝ b a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ
クーデター	k ɯ̟ᵝː d e̞ t a̠ː
クーニャン	k ɯ̟ᵝː ɲ̟ ã̠ ɴ
クーポン	k ɯ̟ᵝː p õ̞ ɴ
クーラー	k ɯ̟ᵝː ɾ a̠ː
クーリー	k ɯ̟ᵝː ɾʲ iː
クール	k ɯ̟ᵝː ɾ ɯ̟ᵝ
クーロン	k ɯ̟ᵝː ɾ õ̞ ɴ
グ	ɡ ɯ̟ᵝ
グァ	ɡ ɰᵝ a̠
グアダルーペ	ɡ ɯ̟ᵝ a̠ d a̠ ɾ ɯ̟ᵝː p e̞
グアナコ	ɡ ɯ̟ᵝ a̠ n a̠ k o̞
グアニジン	ɡ ɯ̟ᵝ a̠ ɲ̟ i ʑ ĩ ɴ
グアバ	ɡ ɯ̟ᵝ a̠ b a̠
グィ	ɡ ɰᵝ i
グェ	ɡ ɰᵝ e̞
グエン	ɡ ɯ̟ᵝ ẽ̞ ɴ
グォ	ɡ ɰᵝ o̞
ググラビリティ	ɡ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ a̠ bʲ i ɾʲ i tʲ i
グッ	ɡ ɯ̟ᵝ ʔ
グッジョブ	ɡ ɯ̟ᵝ d̚ d͡ʑ o̞ b ɯ̟ᵝ
グッズ	ɡ ɯ̟ᵝ d̚ d͡z ɨᵝ
グッバイ	ɡ ɯ̟ᵝ b̚ b̥ a̠ i
グッピー	ɡ ɯ̟ᵝ p̚ʲ pʲ iː
グッモーニン	ɡ ɯ̟ᵝ mː o̞ː ɲ̟ ĩ ɴ
グミ	ɡ ɯ̟ᵝ mʲ i
グラス	ɡ ɯ̟ᵝ ɾ a̠ s ɨᵝ
グラデーション	ɡ ɯ̟ᵝ ɾ a̠ d e̞ː ɕ õ̞ ɴ
グラナダ	ɡ ɯ̟̊ᵝ ɾ a̠ n a̠ d a̠
グラノーラ	ɡ ɯ̟ᵝ ɾ a̠ n o̞ː ɾ a̠
グラビア	ɡ ɯ̟ᵝ ɾ a̠ bʲ i a̠
グラフ	ɡ ɯ̟ᵝ ɾ a̠ ɸ ɯ̟ᵝ
グラフィック	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i̥ k̚ k ɯ̟ᵝ
グラフィティ	ɡ ɯ̟ᵝ ɾ a̠ ɸʲ i tʲ i
グラマラス	ɡ ɯ̟ᵝ ɾ a̠ m a̠ ɾ a̠ s ɨᵝ
グラマー	ɡ ɯ̟ᵝ ɾ a̠ m a̠ː
グラム	ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
グラージ	ɡ ɯ̟ᵝ ɾ a̠ː ʑ i
グリコシド	ɡ ɯ̟ᵝ ɾʲ i k o̞ ɕ i d o̞
グリコーゲン	ɡ ɯ̟ᵝ ɾʲ i k o̞ː ɡ ẽ̞ ɴ
グリシン	ɡ ɯ̟ᵝ ɾʲ i ɕ ĩ ɴ
グリズリー	ɡ ɯ̟ᵝ ɾʲ i z ɨᵝ ɾʲ iː
グリセリド	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ i d o̞
グリセリン	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ ĩ ɴ
グリセロール	ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾ o̞ː ɾ ɯ̟ᵝ
グリッサンド	ɡ ɯ̟ᵝ ɾʲ i sː ã̠ n d o̞
グリップ	ɡ ɯ̟ᵝ ɾʲ i p̚ p ɯ̟ᵝ
グリフォン	ɡ ɯ̟ᵝ ɾʲ i ɸ õ̞ ɴ
グリンプス	ɡ ɯ̟ᵝ ɾʲ ĩ m p ɯ̟ᵝ s ɨᵝ
グリーク	ɡ ɯ̟ᵝ ɾʲ iː k ɯ̟ᵝ
グリークラブ	ɡ ɯ̟ᵝ ɾʲ iː k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
グリーグ	ɡ ɯ̟ᵝ ɾʲ iː ɡ ɯ̟ᵝ
グリーンピース	ɡ ɯ̟ᵝ ɾʲ ĩː m pʲ iː s ɨᵝ
グリーンランド	ɡ ɯ̟ᵝ ɾʲ ĩː n ɾ ã̠ n d o̞
グルコース	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ k o̞ː s ɨᵝ
グルジア	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ʑ i a̠
グルタミン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ mʲ ĩ ɴ
グルテン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t ẽ̞ ɴ
グルテンミート	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t ẽ̞ mʲː iː t o̞
グルーオン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː õ̞ ɴ
グループ	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː p ɯ̟ᵝ
グレイ	ɡ ɯ̟ᵝ ɾ e̞ː
グレイ・カップ	ɡ ɯ̟ᵝ ɾ e̞ː k a̠ p̚ p ɯ̟ᵝ
グレゴリー	ɡ ɯ̟ᵝ ɾ e̞ ɡ o̞ ɾʲ iː
グレスケ	ɡ ɯ̟ᵝ ɾ e̞ s ɨᵝ k e̞
グレップ	ɡ ɯ̟ᵝ ɾ e̞ p̚ p ɯ̟ᵝ
グレリン	ɡ ɯ̟ᵝ ɾ e̞ ɾʲ ĩ ɴ
グレンフェル	ɡ ɯ̟ᵝ ɾ ẽ̞ ɰ̃ ɸ e̞ ɾ ɯ̟ᵝ
グレー	ɡ ɯ̟ᵝ ɾ e̞ː
グレースケール	ɡ ɯ̟ᵝ ɾ e̞ː s ɨ̥ᵝ k e̞ː ɾ ɯ̟ᵝ
グレーゾーン	ɡ ɯ̟ᵝ ɾ e̞ː z õ̞ː ɴ
グレーテル	ɡ ɯ̟ᵝ ɾ e̞ː t e̞ ɾ ɯ̟ᵝ
グレービー	ɡ ɯ̟ᵝ ɾ e̞ː bʲ iː
グレープフルーツ	ɡ ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝː t͡s ɨᵝ
グロ	ɡ ɯ̟ᵝ ɾ o̞
グログラン	ɡ ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ ɾ ã̠ ɴ
グロサリー	ɡ ɯ̟ᵝ ɾ o̞ s a̠ ɾʲ iː
グロットグラム	ɡ ɯ̟ᵝ ɾ o̞ t̚ t o̞ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
グロテスク	ɡ ɯ̟ᵝ ɾ o̞ t e̞ s ɨᵝ k ɯ̟ᵝ
グロリア	ɡ ɯ̟ᵝ ɾ o̞ ɾʲ i a̠
グローバリゼーション	ɡ ɯ̟ᵝ ɾ o̞ː b a̠ ɾʲ i z e̞ː ɕ õ̞ ɴ
グローリア	ɡ ɯ̟ᵝ ɾ o̞ː ɾʲ i a̠
グヮ	ɡ ɰᵝ a̠
グンタマ	ɡ ɯ̟̃ᵝ n t a̠ m a̠
グンマー	ɡ ɯ̟̃ᵝ mː a̠ː
グー	ɡ ɯ̟ᵝː
グーグル	ɡ ɯ̟ᵝː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
グーパン	ɡ ɯ̟ᵝː p ã̠ ɴ
ケ	k e̞
ケ゚	ŋ e̞
ケイ	k e̞ i
ケイカル	k e̞ː k a̠ ɾ ɯ̟ᵝ
ケチャップ	k e̞ t͡ɕ a̠ p̚ p ɯ̟ᵝ
ケッパー	k e̞ p̚ p a̠ː
ケツバット	k e̞ t͡s ɨᵝ b a̠ t̚ t o̞
ケトン	k e̞ t õ̞ ɴ
ケニア	k e̞ ɲ̟ i a̠
ケネディ	k e̞ n e̞ dʲ i
ケベック	k e̞ b e̞ k̚ k ɯ̟ᵝ
ケミカル	k e̞ mʲ i k a̠ ɾ ɯ̟ᵝ
ケモナー	k e̞ m o̞ n a̠ː
ケモノ	k e̞ m o̞ n o̞
ケラヴァ	k e̞ ɾ a̠ b a̠
ケリム	k e̞ ɾʲ i m ɯ̟ᵝ
ケルセチン	k e̞ ɾ ɯ̟ᵝ s e̞ t͡ɕ ĩ ɴ
ケルビン	k e̞ ɾ ɯ̟ᵝ bʲ ĩ ɴ
ケルピー	k e̞ ɾ ɯ̟ᵝ pʲ iː
ケルベルス	k e̞ ɾ ɯ̟ᵝ b e̞ ɾ ɯ̟ᵝ s ɨᵝ
ケルベロス	k e̞ ɾ ɯ̟ᵝ b e̞ ɾ o̞ s ɨᵝ
ケルン	k e̞ ɾ ɯ̟̃ᵝ ɴ
ケレド	k e̞ ɾ e̞ d o̞
ケレース	k e̞ ɾ e̞ː s ɨᵝ
ケロイド	k e̞ ɾ o̞ i d o̞
ケロカス	k e̞ ɾ o̞ k a̠ s ɨᵝ
ケン	k ẽ̞ ɴ
ケンカップル	k ẽ̞ ŋ k a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
ケンタウルス	k ẽ̞ n t a̠ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
ケンタウロス	k ẽ̞ n t a̠ ɯ̟ᵝ ɾ o̞ s ɨᵝ
ケント	k ẽ̞ n t o̞
ケンブリッジ	k ẽ̞ m b ɯ̟ᵝ ɾʲ i d̚ d͡ʑ i
ケー	k e̞ː
ケーエス	k e̞ː e̞ s ɨᵝ
ケーキ	k e̞ː kʲ i
ケージ	k e̞ː ʑ i
ケージービー	k e̞ː ʑ iː bʲ iː
ケース	k e̞ː s ɨᵝ
ケータリング	k e̞ː t a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
ケーニヒスベルク	k e̞ː ɲ̟ i ç i s ɨᵝ b e̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ
ケーブル	k e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
ケーペウス	k e̞ː p e̞ ɯ̟ᵝ s ɨᵝ
ケール	k e̞ː ɾ ɯ̟ᵝ
ゲ	ɡ e̞
ゲイ	ɡ e̞ i
ゲェジ	ɡ e̞ː ʑ i
ゲエズ	ɡ e̞ː z ɨᵝ
ゲシュタポ	ɡ e̞ ɕ ɨ̥ᵝ t a̠ p o̞
ゲシュタルト	ɡ e̞ ɕ ɨ̥ᵝ t a̠ ɾ ɯ̟ᵝ t o̞
ゲス	ɡ e̞ s ɨᵝ
ゲスト	ɡ e̞ s ɨᵝ t o̞
ゲゼルシャフト	ɡ e̞ z e̞ ɾ ɯ̟ᵝ ɕ a̠ ɸ ɯ̟ᵝ t o̞
ゲット	ɡ e̞ t̚ t o̞
ゲットー	ɡ e̞ t̚ t o̞ː
ゲニピン	ɡ e̞ ɲ̟ i pʲ ĩ ɴ
ゲノム	ɡ e̞ n o̞ m ɯ̟ᵝ
ゲバルト	ɡ e̞ b a̠ ɾ ɯ̟ᵝ t o̞
ゲマインシャフト	ɡ e̞ m a̠ ĩ ɰ̃ ɕ a̠ ɸ ɯ̟ᵝ t o̞
ゲラ	ɡ e̞ ɾ a̠
ゲリマンダー	ɡ e̞ ɾʲ i m ã̠ n d a̠ː
ゲリラ	ɡ e̞ ɾʲ i ɾ a̠
ゲル	ɡ e̞ ɾ ɯ̟ᵝ
ゲルマニウム	ɡ e̞ ɾ ɯ̟ᵝ m a̠ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
