AFI	a f i
ababillabas	a β̞ a β̞ i ʝ a β̞ a s
ababillada	a β̞ a β̞ i ʝ a ð̞ a
ababilladas	a β̞ a β̞ i ʝ a ð̞ a s
ababillados	a β̞ a β̞ i ʝ a ð̞ o s
ababillamos	a β̞ a β̞ i ʝ a m o s
ababillan	a β̞ a β̞ i ʝ ã n
ababillaos	a β̞ a β̞ i ʝ a o s
ababillar	a β̞ a β̞ i ʝ a ɾ
ababillara	a β̞ a β̞ i ʝ a ɾ a
ababillarais	a β̞ a β̞ i ʝ a ɾ a i̯ s
ababillaran	a β̞ a β̞ i ʝ a ɾ ã n
ababillaras	a β̞ a β̞ i ʝ a ɾ a s
ababillare	a β̞ a β̞ i ʝ a ɾ e
ababillareis	a β̞ a β̞ i ʝ a ɾ e i̯ s
ababillaremos	a β̞ a β̞ i ʝ a ɾ e m o s
ababillaren	a β̞ a β̞ i ʝ a ɾ ẽ n
ababillares	a β̞ a β̞ i ʝ a ɾ e s
ababillarme	a β̞ a β̞ i ʝ a ɾ m e
ababillarnos	a β̞ a β̞ i ʝ a ɾ n o s
ababillaron	a β̞ a β̞ i ʝ a ɾ õ n
ababillaros	a β̞ a β̞ i ʝ a ɾ o s
ababillarse	a β̞ a β̞ i ʝ a ɾ s e
ababillarte	a β̞ a β̞ i ʝ a ɾ t̪ e
ababillará	a β̞ a β̞ i ʝ a ɾ a
ababillarán	a β̞ a β̞ i ʝ a ɾ ã n
ababillarás	a β̞ a β̞ i ʝ a ɾ a s
ababillaré	a β̞ a β̞ i ʝ a ɾ e
ababillaréis	a β̞ a β̞ i ʝ a ɾ e i̯ s
ababillaría	a β̞ a β̞ i ʝ a ɾ i a
ababillaríais	a β̞ a β̞ i ʝ a ɾ i a i̯ s
ababillaríamos	a β̞ a β̞ i ʝ a ɾ i a m o s
ababillarían	a β̞ a β̞ i ʝ a ɾ i ã n
ababillarías	a β̞ a β̞ i ʝ a ɾ i a s
ababillas	a β̞ a β̞ i ʝ a s
ababillase	a β̞ a β̞ i ʝ a s e
ababillaseis	a β̞ a β̞ i ʝ a s e i̯ s
ababillasen	a β̞ a β̞ i ʝ a s ẽ n
ababillases	a β̞ a β̞ i ʝ a s e s
ababillaste	a β̞ a β̞ i ʝ a s t̪ e
ababillasteis	a β̞ a β̞ i ʝ a s t̪ e i̯ s
ababillate	a β̞ a β̞ i ʝ a t̪ e
ababille	a β̞ a β̞ i ʝ e
ababillemos	a β̞ a β̞ i ʝ e m o s
ababillen	a β̞ a β̞ i ʝ ẽ n
ababilles	a β̞ a β̞ i ʝ e s
ababillo	a β̞ a β̞ i ʝ o
ababillábamos	a β̞ a β̞ i ʝ a β̞ a m o s
ababilláis	a β̞ a β̞ i ʝ a i̯ s
ababillándome	a β̞ a β̞ i ʝ ã n̪ d̪ o m e
ababillándonos	a β̞ a β̞ i ʝ ã n̪ d̪ o n o s
ababillándoos	a β̞ a β̞ i ʝ ã n̪ d̪ o o s
ababillándose	a β̞ a β̞ i ʝ ã n̪ d̪ o s e
ababillándote	a β̞ a β̞ i ʝ ã n̪ d̪ o t̪ e
ababilláramos	a β̞ a β̞ i ʝ a ɾ a m o s
ababilláremos	a β̞ a β̞ i ʝ a ɾ e m o s
ababillás	a β̞ a β̞ i ʝ a s
ababillásemos	a β̞ a β̞ i ʝ a s e m o s
ababillé	a β̞ a β̞ i ʝ e
ababilléis	a β̞ a β̞ i ʝ e i̯ s
ababillémonos	a β̞ a β̞ i ʝ e m o n o s
ababillés	a β̞ a β̞ i ʝ e s
ababilló	a β̞ a β̞ i ʝ o
ababol	a β̞ a β̞ o l
ababuy	a β̞ a β̞ u i̯
ababábite	a β̞ a β̞ a β̞ i t̪ e
ababíllate	a β̞ a β̞ i ʝ a t̪ e
ababíllense	a β̞ a β̞ i ʝ ẽ n s e
ababíllese	a β̞ a β̞ i ʝ e s e
abacalera	a β̞ a k a l e ɾ a
abacalero	a β̞ a k a l e ɾ o
abacera	a β̞ a θ e ɾ a
abacero	a β̞ a θ e ɾ o
abacería	a β̞ a θ e ɾ i a
abaciado	a β̞ a θ j a ð̞ o
abacial	a β̞ a θ j a l
abaciales	a β̞ a θ j a l e s
abaciato	a β̞ a θ j a t̪ o
abacora	a β̞ a k o ɾ a
abacoraba	a β̞ a k o ɾ a β̞ a
abacorabais	a β̞ a k o ɾ a β̞ a i̯ s
abacoraban	a β̞ a k o ɾ a β̞ ã n
abacorabas	a β̞ a k o ɾ a β̞ a s
abacorad	a β̞ a k o ɾ a ð̞
abacorada	a β̞ a k o ɾ a ð̞ a
abacoradas	a β̞ a k o ɾ a ð̞ a s
abacorado	a β̞ a k o ɾ a ð̞ o
abacorados	a β̞ a k o ɾ a ð̞ o s
abacoramos	a β̞ a k o ɾ a m o s
abacoran	a β̞ a k o ɾ ã n
abacorando	a β̞ a k o ɾ ã n̪ d̪ o
abacorar	a β̞ a k o ɾ a ɾ
abacorara	a β̞ a k o ɾ a ɾ a
abacorarais	a β̞ a k o ɾ a ɾ a i̯ s
abacoraran	a β̞ a k o ɾ a ɾ ã n
abacoraras	a β̞ a k o ɾ a ɾ a s
abacorare	a β̞ a k o ɾ a ɾ e
abacorareis	a β̞ a k o ɾ a ɾ e i̯ s
abacoraremos	a β̞ a k o ɾ a ɾ e m o s
abacoraren	a β̞ a k o ɾ a ɾ ẽ n
abacorares	a β̞ a k o ɾ a ɾ e s
abacoraron	a β̞ a k o ɾ a ɾ õ n
abacorará	a β̞ a k o ɾ a ɾ a
abacorarán	a β̞ a k o ɾ a ɾ ã n
abacorarás	a β̞ a k o ɾ a ɾ a s
abacoraré	a β̞ a k o ɾ a ɾ e
abacoraréis	a β̞ a k o ɾ a ɾ e i̯ s
abacoraría	a β̞ a k o ɾ a ɾ i a
abacoraríais	a β̞ a k o ɾ a ɾ i a i̯ s
abacoraríamos	a β̞ a k o ɾ a ɾ i a m o s
abacorarían	a β̞ a k o ɾ a ɾ i ã n
abacorarías	a β̞ a k o ɾ a ɾ i a s
abacoras	a β̞ a k o ɾ a s
abacorase	a β̞ a k o ɾ a s e
abacoraseis	a β̞ a k o ɾ a s e i̯ s
abacorasen	a β̞ a k o ɾ a s ẽ n
abacorases	a β̞ a k o ɾ a s e s
abacoraste	a β̞ a k o ɾ a s t̪ e
abacorasteis	a β̞ a k o ɾ a s t̪ e i̯ s
abacore	a β̞ a k o ɾ e
abacoremos	a β̞ a k o ɾ e m o s
abacoren	a β̞ a k o ɾ ẽ n
abacores	a β̞ a k o ɾ e s
abacoro	a β̞ a k o ɾ o
abacorá	a β̞ a k o ɾ a
abacorábamos	a β̞ a k o ɾ a β̞ a m o s
abacoráis	a β̞ a k o ɾ a i̯ s
abacoráramos	a β̞ a k o ɾ a ɾ a m o s
abacoráremos	a β̞ a k o ɾ a ɾ e m o s
abacorás	a β̞ a k o ɾ a s
abacorásemos	a β̞ a k o ɾ a s e m o s
abacoré	a β̞ a k o ɾ e
abacoréis	a β̞ a k o ɾ e i̯ s
abacorés	a β̞ a k o ɾ e s
abacoró	a β̞ a k o ɾ o
abactinal	a β̞ a ɣ̞ t̪ i n a l
abacá	a β̞ a k a
abad	a β̞ a ð̞
abada	a β̞ a ð̞ a
abadejo	a β̞ a ð̞ e x o
abadengo	a β̞ a ð̞ ẽ ŋ ɡ o
abaderna	a β̞ a ð̞ e ɾ n a
abadernaba	a β̞ a ð̞ e ɾ n a β̞ a
abadernabais	a β̞ a ð̞ e ɾ n a β̞ a i̯ s
abadernaban	a β̞ a ð̞ e ɾ n a β̞ ã n
abadernabas	a β̞ a ð̞ e ɾ n a β̞ a s
abadernad	a β̞ a ð̞ e ɾ n a ð̞
abadernada	a β̞ a ð̞ e ɾ n a ð̞ a
abadernadas	a β̞ a ð̞ e ɾ n a ð̞ a s
abadernado	a β̞ a ð̞ e ɾ n a ð̞ o
abadernados	a β̞ a ð̞ e ɾ n a ð̞ o s
abadernamos	a β̞ a ð̞ e ɾ n a m o s
abadernan	a β̞ a ð̞ e ɾ n ã n
abadernando	a β̞ a ð̞ e ɾ n ã n̪ d̪ o
abadernar	a β̞ a ð̞ e ɾ n a ɾ
abadernara	a β̞ a ð̞ e ɾ n a ɾ a
abadernarais	a β̞ a ð̞ e ɾ n a ɾ a i̯ s
abadernaran	a β̞ a ð̞ e ɾ n a ɾ ã n
abadernaras	a β̞ a ð̞ e ɾ n a ɾ a s
abadernare	a β̞ a ð̞ e ɾ n a ɾ e
abadernareis	a β̞ a ð̞ e ɾ n a ɾ e i̯ s
abadernaremos	a β̞ a ð̞ e ɾ n a ɾ e m o s
abadernaren	a β̞ a ð̞ e ɾ n a ɾ ẽ n
abadernares	a β̞ a ð̞ e ɾ n a ɾ e s
abadernaron	a β̞ a ð̞ e ɾ n a ɾ õ n
abadernará	a β̞ a ð̞ e ɾ n a ɾ a
abadernarán	a β̞ a ð̞ e ɾ n a ɾ ã n
abadernarás	a β̞ a ð̞ e ɾ n a ɾ a s
abadernaré	a β̞ a ð̞ e ɾ n a ɾ e
abadernaréis	a β̞ a ð̞ e ɾ n a ɾ e i̯ s
abadernaría	a β̞ a ð̞ e ɾ n a ɾ i a
abadernaríais	a β̞ a ð̞ e ɾ n a ɾ i a i̯ s
abadernaríamos	a β̞ a ð̞ e ɾ n a ɾ i a m o s
abadernarían	a β̞ a ð̞ e ɾ n a ɾ i ã n
abadernarías	a β̞ a ð̞ e ɾ n a ɾ i a s
abadernas	a β̞ a ð̞ e ɾ n a s
abadernase	a β̞ a ð̞ e ɾ n a s e
abadernaseis	a β̞ a ð̞ e ɾ n a s e i̯ s
abadernasen	a β̞ a ð̞ e ɾ n a s ẽ n
abadernases	a β̞ a ð̞ e ɾ n a s e s
abadernaste	a β̞ a ð̞ e ɾ n a s t̪ e
abadernasteis	a β̞ a ð̞ e ɾ n a s t̪ e i̯ s
abaderne	a β̞ a ð̞ e ɾ n e
abadernemos	a β̞ a ð̞ e ɾ n e m o s
abadernen	a β̞ a ð̞ e ɾ n ẽ n
abadernes	a β̞ a ð̞ e ɾ n e s
abaderno	a β̞ a ð̞ e ɾ n o
abaderná	a β̞ a ð̞ e ɾ n a
abadernábamos	a β̞ a ð̞ e ɾ n a β̞ a m o s
abadernáis	a β̞ a ð̞ e ɾ n a i̯ s
abadernáramos	a β̞ a ð̞ e ɾ n a ɾ a m o s
abadernáremos	a β̞ a ð̞ e ɾ n a ɾ e m o s
abadernás	a β̞ a ð̞ e ɾ n a s
abadernásemos	a β̞ a ð̞ e ɾ n a s e m o s
abaderné	a β̞ a ð̞ e ɾ n e
abadernéis	a β̞ a ð̞ e ɾ n e i̯ s
abadernés	a β̞ a ð̞ e ɾ n e s
abadernó	a β̞ a ð̞ e ɾ n o
abades	a β̞ a ð̞ e s
abadesa	a β̞ a ð̞ e s a
abadesas	a β̞ a ð̞ e s a s
abadial	a β̞ a ð̞ j a l
abadí	a β̞ a ð̞ i
abadía	a β̞ a ð̞ i a
abaja	a β̞ a x a
abajaba	a β̞ a x a β̞ a
abajabais	a β̞ a x a β̞ a i̯ s
abajaban	a β̞ a x a β̞ ã n
abajabas	a β̞ a x a β̞ a s
abajad	a β̞ a x a ð̞
abajada	a β̞ a x a ð̞ a
abajadas	a β̞ a x a ð̞ a s
abajadero	a β̞ a x a ð̞ e ɾ o
abajadla	a β̞ a x a ð̞ l a
abajadlas	a β̞ a x a ð̞ l a s
abajadle	a β̞ a x a ð̞ l e
abajadles	a β̞ a x a ð̞ l e s
abajadlo	a β̞ a x a ð̞ l o
abajadlos	a β̞ a x a ð̞ l o s
abajadme	a β̞ a x a ð̞ m e
abajadnos	a β̞ a x a ð̞ n o s
abajado	a β̞ a x a ð̞ o
abajados	a β̞ a x a ð̞ o s
abajala	a β̞ a x a l a
abajalas	a β̞ a x a l a s
abajale	a β̞ a x a l e
abajales	a β̞ a x a l e s
abajalo	a β̞ a x a l o
abajalos	a β̞ a x a l o s
abajame	a β̞ a x a m e
abajamos	a β̞ a x a m o s
abajan	a β̞ a x ã n
abajando	a β̞ a x ã n̪ d̪ o
abajanos	a β̞ a x a n o s
abajaos	a β̞ a x a o s
abajar	a β̞ a x a ɾ
abajara	a β̞ a x a ɾ a
abajarais	a β̞ a x a ɾ a i̯ s
abajaran	a β̞ a x a ɾ ã n
abajaras	a β̞ a x a ɾ a s
abajare	a β̞ a x a ɾ e
abajareis	a β̞ a x a ɾ e i̯ s
abajaremos	a β̞ a x a ɾ e m o s
abajaren	a β̞ a x a ɾ ẽ n
abajares	a β̞ a x a ɾ e s
abajaron	a β̞ a x a ɾ õ n
abajará	a β̞ a x a ɾ a
abajarán	a β̞ a x a ɾ ã n
abajarás	a β̞ a x a ɾ a s
abajaré	a β̞ a x a ɾ e
abajaréis	a β̞ a x a ɾ e i̯ s
abajaría	a β̞ a x a ɾ i a
abajaríais	a β̞ a x a ɾ i a i̯ s
abajaríamos	a β̞ a x a ɾ i a m o s
abajarían	a β̞ a x a ɾ i ã n
abajarías	a β̞ a x a ɾ i a s
abajas	a β̞ a x a s
abajase	a β̞ a x a s e
abajaseis	a β̞ a x a s e i̯ s
abajasen	a β̞ a x a s ẽ n
abajases	a β̞ a x a s e s
abajaste	a β̞ a x a s t̪ e
abajasteis	a β̞ a x a s t̪ e i̯ s
abajate	a β̞ a x a t̪ e
abaje	a β̞ a x e
abajemos	a β̞ a x e m o s
abajen	a β̞ a x ẽ n
abajera	a β̞ a x e ɾ a
abajes	a β̞ a x e s
abajeña	a β̞ a x e ɲ a
abajeño	a β̞ a x e ɲ o
abajo	a β̞ a x o
abajá	a β̞ a x a
abajábamos	a β̞ a x a β̞ a m o s
abajáis	a β̞ a x a i̯ s
abajáramos	a β̞ a x a ɾ a m o s
abajáremos	a β̞ a x a ɾ e m o s
abajás	a β̞ a x a s
abajé	a β̞ a x e
abajéis	a β̞ a x e i̯ s
abajémonos	a β̞ a x e m o n o s
abajémoos	a β̞ a x e m o o s
abajémosla	a β̞ a x e m o s l a
abajémoslas	a β̞ a x e m o s l a s
abajémosle	a β̞ a x e m o s l e
abajémosles	a β̞ a x e m o s l e s
abajémoslo	a β̞ a x e m o s l o
abajémoslos	a β̞ a x e m o s l o s
abajémoste	a β̞ a x e m o s t̪ e
abajés	a β̞ a x e s
abajó	a β̞ a x o
abalance	a β̞ a l ã n̟ θ e
abalancemos	a β̞ a l ã n̟ θ e m o s
abalancen	a β̞ a l ã n̟ θ ẽ n
abalances	a β̞ a l ã n̟ θ e s
abalancé	a β̞ a l ã n̟ θ e
abalancéis	a β̞ a l ã n̟ θ e i̯ s
abalancémonos	a β̞ a l ã n̟ θ e m o n o s
abalancémoos	a β̞ a l ã n̟ θ e m o o s
abalancémosla	a β̞ a l ã n̟ θ e m o s l a
abalancémoslas	a β̞ a l ã n̟ θ e m o s l a s
abalancémosle	a β̞ a l ã n̟ θ e m o s l e
abalancémosles	a β̞ a l ã n̟ θ e m o s l e s
abalancémoslo	a β̞ a l ã n̟ θ e m o s l o
abalancémoslos	a β̞ a l ã n̟ θ e m o s l o s
abalancémoste	a β̞ a l ã n̟ θ e m o s t̪ e
abalancés	a β̞ a l ã n̟ θ e s
abalanza	a β̞ a l ã n̟ θ a
abalanzaba	a β̞ a l ã n̟ θ a β̞ a
abalanzabais	a β̞ a l ã n̟ θ a β̞ a i̯ s
abalanzaban	a β̞ a l ã n̟ θ a β̞ ã n
abalanzabas	a β̞ a l ã n̟ θ a β̞ a s
abalanzad	a β̞ a l ã n̟ θ a ð̞
abalanzada	a β̞ a l ã n̟ θ a ð̞ a
abalanzadas	a β̞ a l ã n̟ θ a ð̞ a s
abalanzadla	a β̞ a l ã n̟ θ a ð̞ l a
abalanzadlas	a β̞ a l ã n̟ θ a ð̞ l a s
abalanzadle	a β̞ a l ã n̟ θ a ð̞ l e
abalanzadles	a β̞ a l ã n̟ θ a ð̞ l e s
abalanzadlo	a β̞ a l ã n̟ θ a ð̞ l o
abalanzadlos	a β̞ a l ã n̟ θ a ð̞ l o s
abalanzadme	a β̞ a l ã n̟ θ a ð̞ m e
abalanzadnos	a β̞ a l ã n̟ θ a ð̞ n o s
abalanzado	a β̞ a l ã n̟ θ a ð̞ o
abalanzados	a β̞ a l ã n̟ θ a ð̞ o s
abalanzala	a β̞ a l ã n̟ θ a l a
abalanzalas	a β̞ a l ã n̟ θ a l a s
abalanzale	a β̞ a l ã n̟ θ a l e
abalanzales	a β̞ a l ã n̟ θ a l e s
abalanzalo	a β̞ a l ã n̟ θ a l o
abalanzalos	a β̞ a l ã n̟ θ a l o s
abalanzame	a β̞ a l ã n̟ θ a m e
abalanzamos	a β̞ a l ã n̟ θ a m o s
abalanzan	a β̞ a l ã n̟ θ ã n
abalanzando	a β̞ a l ã n̟ θ ã n̪ d̪ o
abalanzanos	a β̞ a l ã n̟ θ a n o s
abalanzaos	a β̞ a l ã n̟ θ a o s
abalanzar	a β̞ a l ã n̟ θ a ɾ
abalanzara	a β̞ a l ã n̟ θ a ɾ a
abalanzarais	a β̞ a l ã n̟ θ a ɾ a i̯ s
abalanzaran	a β̞ a l ã n̟ θ a ɾ ã n
abalanzaras	a β̞ a l ã n̟ θ a ɾ a s
abalanzare	a β̞ a l ã n̟ θ a ɾ e
abalanzareis	a β̞ a l ã n̟ θ a ɾ e i̯ s
abalanzaremos	a β̞ a l ã n̟ θ a ɾ e m o s
abalanzaren	a β̞ a l ã n̟ θ a ɾ ẽ n
abalanzares	a β̞ a l ã n̟ θ a ɾ e s
abalanzarla	a β̞ a l ã n̟ θ a ɾ l a
abalanzarlas	a β̞ a l ã n̟ θ a ɾ l a s
abalanzarle	a β̞ a l ã n̟ θ a ɾ l e
abalanzarles	a β̞ a l ã n̟ θ a ɾ l e s
abalanzarlo	a β̞ a l ã n̟ θ a ɾ l o
abalanzarlos	a β̞ a l ã n̟ θ a ɾ l o s
abalanzarme	a β̞ a l ã n̟ θ a ɾ m e
abalanzarnos	a β̞ a l ã n̟ θ a ɾ n o s
abalanzaron	a β̞ a l ã n̟ θ a ɾ õ n
abalanzaros	a β̞ a l ã n̟ θ a ɾ o s
abalanzarse	a β̞ a l ã n̟ θ a ɾ s e
abalanzarte	a β̞ a l ã n̟ θ a ɾ t̪ e
abalanzará	a β̞ a l ã n̟ θ a ɾ a
abalanzarán	a β̞ a l ã n̟ θ a ɾ ã n
abalanzarás	a β̞ a l ã n̟ θ a ɾ a s
abalanzaré	a β̞ a l ã n̟ θ a ɾ e
abalanzaréis	a β̞ a l ã n̟ θ a ɾ e i̯ s
abalanzaría	a β̞ a l ã n̟ θ a ɾ i a
abalanzaríais	a β̞ a l ã n̟ θ a ɾ i a i̯ s
abalanzaríamos	a β̞ a l ã n̟ θ a ɾ i a m o s
abalanzarían	a β̞ a l ã n̟ θ a ɾ i ã n
abalanzarías	a β̞ a l ã n̟ θ a ɾ i a s
abalanzas	a β̞ a l ã n̟ θ a s
abalanzase	a β̞ a l ã n̟ θ a s e
abalanzaseis	a β̞ a l ã n̟ θ a s e i̯ s
abalanzasen	a β̞ a l ã n̟ θ a s ẽ n
abalanzases	a β̞ a l ã n̟ θ a s e s
abalanzaste	a β̞ a l ã n̟ θ a s t̪ e
abalanzasteis	a β̞ a l ã n̟ θ a s t̪ e i̯ s
abalanzate	a β̞ a l ã n̟ θ a t̪ e
abalanzo	a β̞ a l ã n̟ θ o
abalanzá	a β̞ a l ã n̟ θ a
abalanzábamos	a β̞ a l ã n̟ θ a β̞ a m o s
abalanzáis	a β̞ a l ã n̟ θ a i̯ s
abalanzándola	a β̞ a l ã n̟ θ ã n̪ d̪ o l a
abalanzándolas	a β̞ a l ã n̟ θ ã n̪ d̪ o l a s
abalanzándole	a β̞ a l ã n̟ θ ã n̪ d̪ o l e
abalanzándoles	a β̞ a l ã n̟ θ ã n̪ d̪ o l e s
abalanzándolo	a β̞ a l ã n̟ θ ã n̪ d̪ o l o
abalanzándolos	a β̞ a l ã n̟ θ ã n̪ d̪ o l o s
abalanzándome	a β̞ a l ã n̟ θ ã n̪ d̪ o m e
abalanzándonos	a β̞ a l ã n̟ θ ã n̪ d̪ o n o s
abalanzándoos	a β̞ a l ã n̟ θ ã n̪ d̪ o o s
abalanzándose	a β̞ a l ã n̟ θ ã n̪ d̪ o s e
abalanzándote	a β̞ a l ã n̟ θ ã n̪ d̪ o t̪ e
abalanzáramos	a β̞ a l ã n̟ θ a ɾ a m o s
abalanzáremos	a β̞ a l ã n̟ θ a ɾ e m o s
abalanzás	a β̞ a l ã n̟ θ a s
abalanzásemos	a β̞ a l ã n̟ θ a s e m o s
abalanzó	a β̞ a l ã n̟ θ o
abalconado	a β̞ a l k o n a ð̞ o
abaldona	a β̞ a l̪ d̪ o n a
abaldonaba	a β̞ a l̪ d̪ o n a β̞ a
abaldonabais	a β̞ a l̪ d̪ o n a β̞ a i̯ s
abaldonaban	a β̞ a l̪ d̪ o n a β̞ ã n
abaldonabas	a β̞ a l̪ d̪ o n a β̞ a s
abaldonad	a β̞ a l̪ d̪ o n a ð̞
abaldonada	a β̞ a l̪ d̪ o n a ð̞ a
abaldonadas	a β̞ a l̪ d̪ o n a ð̞ a s
abaldonadla	a β̞ a l̪ d̪ o n a ð̞ l a
abaldonadlas	a β̞ a l̪ d̪ o n a ð̞ l a s
abaldonadle	a β̞ a l̪ d̪ o n a ð̞ l e
abaldonadles	a β̞ a l̪ d̪ o n a ð̞ l e s
abaldonadlo	a β̞ a l̪ d̪ o n a ð̞ l o
abaldonadlos	a β̞ a l̪ d̪ o n a ð̞ l o s
abaldonadme	a β̞ a l̪ d̪ o n a ð̞ m e
abaldonadnos	a β̞ a l̪ d̪ o n a ð̞ n o s
abaldonado	a β̞ a l̪ d̪ o n a ð̞ o
abaldonados	a β̞ a l̪ d̪ o n a ð̞ o s
abaldonala	a β̞ a l̪ d̪ o n a l a
abaldonalas	a β̞ a l̪ d̪ o n a l a s
abaldonale	a β̞ a l̪ d̪ o n a l e
abaldonales	a β̞ a l̪ d̪ o n a l e s
abaldonalo	a β̞ a l̪ d̪ o n a l o
abaldonalos	a β̞ a l̪ d̪ o n a l o s
abaldoname	a β̞ a l̪ d̪ o n a m e
abaldonamiento	a β̞ a l̪ d̪ o n a m j ẽ n̪ t̪ o
abaldonamos	a β̞ a l̪ d̪ o n a m o s
abaldonan	a β̞ a l̪ d̪ o n ã n
abaldonando	a β̞ a l̪ d̪ o n ã n̪ d̪ o
abaldonanos	a β̞ a l̪ d̪ o n a n o s
abaldonaos	a β̞ a l̪ d̪ o n a o s
abaldonar	a β̞ a l̪ d̪ o n a ɾ
abaldonara	a β̞ a l̪ d̪ o n a ɾ a
abaldonarais	a β̞ a l̪ d̪ o n a ɾ a i̯ s
abaldonaran	a β̞ a l̪ d̪ o n a ɾ ã n
abaldonaras	a β̞ a l̪ d̪ o n a ɾ a s
abaldonare	a β̞ a l̪ d̪ o n a ɾ e
abaldonareis	a β̞ a l̪ d̪ o n a ɾ e i̯ s
abaldonaremos	a β̞ a l̪ d̪ o n a ɾ e m o s
abaldonaren	a β̞ a l̪ d̪ o n a ɾ ẽ n
abaldonares	a β̞ a l̪ d̪ o n a ɾ e s
abaldonarla	a β̞ a l̪ d̪ o n a ɾ l a
abaldonarlas	a β̞ a l̪ d̪ o n a ɾ l a s
abaldonarle	a β̞ a l̪ d̪ o n a ɾ l e
abaldonarles	a β̞ a l̪ d̪ o n a ɾ l e s
abaldonarlo	a β̞ a l̪ d̪ o n a ɾ l o
abaldonarlos	a β̞ a l̪ d̪ o n a ɾ l o s
abaldonarme	a β̞ a l̪ d̪ o n a ɾ m e
abaldonarnos	a β̞ a l̪ d̪ o n a ɾ n o s
abaldonaron	a β̞ a l̪ d̪ o n a ɾ õ n
abaldonaros	a β̞ a l̪ d̪ o n a ɾ o s
abaldonarse	a β̞ a l̪ d̪ o n a ɾ s e
abaldonarte	a β̞ a l̪ d̪ o n a ɾ t̪ e
abaldonará	a β̞ a l̪ d̪ o n a ɾ a
abaldonarán	a β̞ a l̪ d̪ o n a ɾ ã n
abaldonarás	a β̞ a l̪ d̪ o n a ɾ a s
abaldonaré	a β̞ a l̪ d̪ o n a ɾ e
abaldonaréis	a β̞ a l̪ d̪ o n a ɾ e i̯ s
abaldonaría	a β̞ a l̪ d̪ o n a ɾ i a
abaldonaríais	a β̞ a l̪ d̪ o n a ɾ i a i̯ s
abaldonaríamos	a β̞ a l̪ d̪ o n a ɾ i a m o s
abaldonarían	a β̞ a l̪ d̪ o n a ɾ i ã n
abaldonarías	a β̞ a l̪ d̪ o n a ɾ i a s
abaldonas	a β̞ a l̪ d̪ o n a s
abaldonase	a β̞ a l̪ d̪ o n a s e
abaldonaseis	a β̞ a l̪ d̪ o n a s e i̯ s
abaldonasen	a β̞ a l̪ d̪ o n a s ẽ n
abaldonases	a β̞ a l̪ d̪ o n a s e s
abaldonaste	a β̞ a l̪ d̪ o n a s t̪ e
abaldonasteis	a β̞ a l̪ d̪ o n a s t̪ e i̯ s
abaldonate	a β̞ a l̪ d̪ o n a t̪ e
abaldone	a β̞ a l̪ d̪ o n e
abaldonemos	a β̞ a l̪ d̪ o n e m o s
abaldonen	a β̞ a l̪ d̪ o n ẽ n
abaldones	a β̞ a l̪ d̪ o n e s
abaldono	a β̞ a l̪ d̪ o n o
abaldoná	a β̞ a l̪ d̪ o n a
abaldonábamos	a β̞ a l̪ d̪ o n a β̞ a m o s
abaldonáis	a β̞ a l̪ d̪ o n a i̯ s
abaldonándola	a β̞ a l̪ d̪ o n ã n̪ d̪ o l a
abaldonándolas	a β̞ a l̪ d̪ o n ã n̪ d̪ o l a s
abaldonándole	a β̞ a l̪ d̪ o n ã n̪ d̪ o l e
abaldonándoles	a β̞ a l̪ d̪ o n ã n̪ d̪ o l e s
abaldonándolo	a β̞ a l̪ d̪ o n ã n̪ d̪ o l o
abaldonándolos	a β̞ a l̪ d̪ o n ã n̪ d̪ o l o s
abaldonándome	a β̞ a l̪ d̪ o n ã n̪ d̪ o m e
abaldonándonos	a β̞ a l̪ d̪ o n ã n̪ d̪ o n o s
abaldonándoos	a β̞ a l̪ d̪ o n ã n̪ d̪ o o s
abaldonándose	a β̞ a l̪ d̪ o n ã n̪ d̪ o s e
abaldonándote	a β̞ a l̪ d̪ o n ã n̪ d̪ o t̪ e
abaldonáramos	a β̞ a l̪ d̪ o n a ɾ a m o s
abaldonáremos	a β̞ a l̪ d̪ o n a ɾ e m o s
abaldonás	a β̞ a l̪ d̪ o n a s
abaldonásemos	a β̞ a l̪ d̪ o n a s e m o s
abaldoné	a β̞ a l̪ d̪ o n e
abaldonéis	a β̞ a l̪ d̪ o n e i̯ s
abaldonémonos	a β̞ a l̪ d̪ o n e m o n o s
abaldonémoos	a β̞ a l̪ d̪ o n e m o o s
abaldonémosla	a β̞ a l̪ d̪ o n e m o s l a
abaldonémoslas	a β̞ a l̪ d̪ o n e m o s l a s
abaldonémosle	a β̞ a l̪ d̪ o n e m o s l e
abaldonémosles	a β̞ a l̪ d̪ o n e m o s l e s
abaldonémoslo	a β̞ a l̪ d̪ o n e m o s l o
abaldonémoslos	a β̞ a l̪ d̪ o n e m o s l o s
abaldonémoste	a β̞ a l̪ d̪ o n e m o s t̪ e
abaldonés	a β̞ a l̪ d̪ o n e s
abaldonó	a β̞ a l̪ d̪ o n o
abaldónala	a β̞ a l̪ d̪ o n a l a
abaldónalas	a β̞ a l̪ d̪ o n a l a s
abaldónale	a β̞ a l̪ d̪ o n a l e
abaldónales	a β̞ a l̪ d̪ o n a l e s
abaldónalo	a β̞ a l̪ d̪ o n a l o
abaldónalos	a β̞ a l̪ d̪ o n a l o s
abaldóname	a β̞ a l̪ d̪ o n a m e
abaldónanos	a β̞ a l̪ d̪ o n a n o s
